"sl_cue","sl_fake_cue","sl_target","sl_fake_target","en_cue","en_target"
"umazan","sklezano","ogaben","ogaravno","dirty","disgusting"
"zid","fid","ograja","čmarja","wall","fence"
"prstan","prstočnik","ogrlica","kletlica","ring","necklace"
"velik","talik","ogromen","ogroličen","big","huge"
"ohraniti","ohravijati","vzdrževati","riževati","preserve","maintain"
"premog","viljamog","nafta","cafta","coal","oil"
"ščit","ščisk","oklep","okolp","shield","armor"
"okrogel","okrodba","okoli","groli","round","around"
"september","septatek","oktober","laktober","september","october"
"virus","virič","okužba","obilba","virus","infection"
"krema","tolma","omaka","simka","cream","sauce"
"kabinet","kabitvah","omara","ubora","cabinet","closet"
"operirati","usmerirati","operacija","operaster","operate","surgery"
"profil","okofil","opis","unis","profile","description"
"pojem","konfast","definicija","vkljudelitev","concept","definition"
"oprema","strama","opremiti","oprečkati","equipment","equip"
"odpustiti","oproneti","opravičiti","zamustiti","forgive","excuse"
"zelena","zestična","oranžna","kronažna","green","orange"
"planet","plašid","orbita","orvora","planet","orbit"
"oblast","pribljenost","avtoriteta","avtorganizem","jurisdiction","authority"
"urediti","dolovoriti","organizirati","organidati","arrange","organize"
"krasti","ukranirati","oropati","povopati","steal","rob"
"pištola","pišnica","orožje","okvije","pistol","weapon"
"sam","cam","osamljen","dokamljen","alone","lonely"
"karakter","voščaj","značaj","enernost","character","personality"
"fokus","rekotočiti","osredotočiti se","skonceniti","focus","concentrate"
"obstati","prenodobiti","ostati","sfestati","stay","remain"
"dvomiti","ohomiti","sumiti","brumiti","doubt","suspect"
"svež","svic","osvežiti","navežiti","fresh","refresh"
"dojenček","bojenček","otrok","akrok","baby","child"
"mladost","spedost","otroštvo","stištvo","youth","childhood"
"kazati","vrazati","namigovati","nakazlatiti","point","indicate"
"ovojnica","kuvembrana","paket","pabaj","envelope","package"
"prst","crst","palec","pajal","finger","thumb"
"kabina","zdrobina","paluba","paškroba","cabin","deck"
"krompir","kromnez","paradižnik","paradipljen","potato","tomato"
"nadnaraven","hranaravno","paranormalen","paranosno","supernatural","paranormal"
"šminka","okenka","parfum","parvus","lipstick","perfume"
"stražiti","straživčnost","patruljirati","paprulja","guard","patrol"
"vagina","vaknjena","penis","klanis","vagina","penis"
"idealen","učinalno","popolen","zadopoln","ideal","perfect"
"papir","papenjec","pero","kemero","paper","pen"
"pogled","brogled","perspektiva","peratlantiva","view","perspective"
"album","albez","pesem","pezeg","album","song"
"besedilo","besežno","pesem","gresem","text","poem"
"trezen","trepom","pijan","pites","sober","drunk"
"astronavt","astrošanj","pilot","pimek","astronaut","pilot"
"branje","bravljenje","pisanje","blasanje","reading","writing"
"pesnik","petnež","pisatelj","grisatelj","poet","writer"
"puška","sluška","pištola","pizmlelo","rifle","gun"
"pijača","pijasica","pivo","ogovo","drink","beer"
"pokojnina","okrojnina","plača","gnača","pension","salary"
"ogenj","brenj","plamen","platov","fire","flame"
"cement","celand","plastika","platnis","cement","plastic"
"skleda","skleznica","krožnik","krožig","bowl","plate"
"utoniti","vamniti","plavati","stvovati","drown","swim"
"plen","žven","plenilec","pleniter","prey","predator"
"plesalec","plesanjar","ples","cves","dancer","dance"
"bežati","bležati","uiti","pobegrabiti","flee","escape"
"drag","verg","poceni","poseni","expensive","cheap"
"božič","bodol","praznik","počimljence","christmas","holiday"
"dediščina","dediševina","dedovati","gradedovati","heritage","inherit"
"miš","ciš","podgana","vusgana","mouse","rat"
"žig","dig","podpis","podjec","stamp","signature"
"včasih","kasih","pogosto","pogotnih","sometimes","often"
"krsta","krnela","pogreb","ponerv","coffin","funeral"
"stranišče","stroljka","korito","korivalnik","toilet","sink"
"vstopiti","eksplopiti","iti","eriti","enter","go"
"kockanje","spockanje","poker","pofek","gambling","poker"
"grob","grinc","pokopališče","pokopalistnost","grave","cemetery"
"polnoč","planoč","poldan","opolzljiva","midnight","noon"
"kritičen","kritoven","političen","polikšnemen","critical","political"
"politika","polispletka","politik","politoris","policy","politician"
"novinarstvo","novinkarjenje","politika","zavetika","journalism","politics"
"general","genesalec","polkovnik","brezkovnik","general","colonel"
"prazen","pradel","poln","groln","empty","full"
"status","tuhnje","položaj","polotnim","status","position"
"dragocen","obljugocen","pomemben","pometričen","valuable","important"
"pomen","klomen","pomembnost","pomembrana","meaning","importance"
"nesrečen","baleden","patetičen","lomilovreden","miserable","pathetic"
"pomagati","čohagati","asistirati","asistkati","help","assist"
"podpora","brezpora","pomoč","opostenca","support","assistance"
"tajnik","tajnitez","pomočnik","pomotrnik","secretary","assistant"
"skupen","skugne","popoln","pomlin","total","complete"
"absolutno","poskrivnoma","popolnoma","klovsem","absolutely","completely"
"popraviti","pomembvi","popravilo","posteljvilo","fix","repair"
"potrata","odstreki","zapravljati","poobljubite","waste","spend"
"zmaga","zmastika","poraz","foraz","victory","defeat"
"samski","cemski","poročen","poroskih","single","married"
"narednik","narester","poročnik","pospranik","sergeant","lieutenant"
"ločitev","ločiklub","zakon","glakon","divorce","marriage"
"zaroka","zarobritev","poroka","čaroka","engagement","wedding"
"oseba","disba","posameznik","posamestrešček","person","individual"
"rana","tična","poškodba","posvatbe","wound","injury"
"poskus","skuščipniti","poizkus","razusiti","try","attempt"
"prinesti","vljenesti","poslati","popliniti","bring","send"
"industrija","idnuvzburja","posel","postreb","industry","business"
"poslušati","poslustne","slišati","sližati","listen","hear"
"kredit","kretin","posojilo","posostrolo","credit","loan"
"peron","feron","postaja","postamba","platform","station"
"kavč","plavč","postelja","postenca","sofa","bed"
"spodoben","donjalen","pošten","poškren","decent","honest"
"zvestoba","zvebrazba","poštenost","poskrenost","loyalty","honesty"
"proces","stoces","postopek","postoding","process","procedure"
"pot","ulesta","steza","ret","route","path"
"riniti","potivljajte","vleči","vletegniti","push","pull"
"vozovnica","vovljalnice","potni list","potulj","ticket","passport"
"potrditev","potrdivščin","potrditi","potreščati","confirmation","confirm"
"potrebno","potrezden","potreba","godreba","necessary","need"
"reči","rekon","povedati","doznavedati","say","tell"
"stik","konflot","povezava","kolezava","contact","connection"
"sloj","frast","površina","povrključna","layer","surface"
"čestitati","lestitati","pozdraviti","pozdrezati","congratulate","greet"
"pepel","pepust","prah","pruc","ash","dust"
"dobesedno","dobesegljivo","praktično","sheltično","literally","practically"
"čist","čiliti","prati","prastiti","clean","wash"
"krava","tvova","prašič","praleg","cow","pig"
"nezakonito","nezakreten","zakonito","premonit","illegal","legal"
"narobe","narokrat","pravilno","prastveno","wrong","correct"
"maščevanje","mastljivanje","pravica","pravozkrižje","revenge","justice"
"zvestoba","fikstoba","predanost","predavlje","fidelity","devotion"
"seminar","semiljem","predavanje","gnidavanje","seminar","lecture"
"predlagati","zaprigniti","namigniti","predlasnih","propose","suggest"
"predmet","predlij","osebek","tebek","object","subject"
"zaključek","zaobroček","predpostavka","prepovzklika","conclusion","assumption"
"miza","tavza","stol","sestol","table","chair"
"kancler","kanzlic","predsednik","predsestav","chancellor","president"
"pregledati","prerokbidati","preiskovati","preištljiva","examine","investigate"
"analitik","analikšne","preiskovalec","preiskovastnost","analyst","investigator"
"razbiti","razbecirati","zlomiti","zlodriti","smash","break"
"premakniti","premagram","prenesti","odrenesti","move","transfer"
"prepovedano","ustvarpovedano","prepovedati","prepocirati","forbidden","prohibit"
"krona","krotlina","prestol","prespar","crown","throne"
"prestrašiti","ustraplašiti","preplašiti","prerokbošiti","scare","frighten"
"prihodnost","prihodbina","preteklost","neveklost","future","past"
"podcenjevati","škorenjevati","pretiravati","atlantirati","underestimate","exaggerate"
"preveriti","čegledati","potrditi","dljiveri","check","verify"
"živeti","draveti","preživeti","prežinirati","live","survive"
"ventil","ptitil","prezračevanje","prezravsati","valve","ventilation"
"ven","sčen","okoli","okrozg","out","about"
"počakati","pospletkati","pričakovati","ustvarčakovati","wait","expect"
"priča","upoča","pričanje","graščevanje","witness","testimony"
"prispeti","očispeti","priti","prizliti","arrive","come"
"vzdevek","ozonvek","priimek","priirist","nickname","surname"
"kolega","sodelastnik","prijatelj","prijaškem","colleague","friend"
"odnos","odbek","prijateljstvo","prijagralstvo","relationship","friendship"
"vljuden","uličeden","prijateljski","prijaških","polite","friendly"
"udoben","trgodoben","prijeten","prijenjem","comfortable","pleasant"
"sekundaren","sekunključno","primaren","prignjeno","secondary","primary"
"princesa","osvecesa","princ","prejc","princess","prince"
"pripravljen","pripravšnji","pripraviti","futraviti","ready","prepare"
"zaliv","zapem","pristanišče","pristaničljiv","bay","harbor"
"utrip","velz","pritisk","pritral","pulse","pressure"
"gumb","gujc","pritisniti","pritivljajte","button","press"
"pozornost","nalezornost","privlačiti","priustrečijo","attention","attract"
"priznati","pribelj","spovedati","priskriva","admit","confess"
"težava","tedljiva","problem","prosmeh","trouble","problem"
"kupiti","predpite","prodati","promni","buy","sell"
"dražba","fronba","prodaja","ogledaja","auction","sale"
"dekan","debim","profesor","profežnic","dean","professor"
"projekt","prošekt","program","proškim","project","program"
"ustvariti","atlanrite","proizvajati","prozalivajati","create","produce"
"tovarna","tostvena","proizvodnja","proizvovskih","factory","production"
"zahteva","obrampraševanje","prošnja","proščita","demand","request"
"prosto","prolja","prost","glost","freely","free"
"prostovoljec","prostoobrazca","prostovoljno","prostoastrono","volunteer","voluntarily"
"pravilo","dljivilo","protokol","protostja","rule","protocol"
"model","mosto","prototip","protozard","model","prototype"
"želodec","želotnim","prsni koš","oprsečje","stomach","chest"
"dna","duk","prstni odtis","prsotis","dna","fingerprint"
"tekmovanje","obljumovanje","prvenstvo","prvenport","competition","championship"
"anatomija","ustretomija","psihologija","obrambhologija","anatomy","psychology"
"medicinski","medivsko","psihološki","psiholomljen","medical","psychological"
"metulj","metuster","ptica","ptista","butterfly","bird"
"piščanec","duplokoš","puran","gluran","chicken","turkey"
"dovoliti","doustrelite","pustiti","puvljati","allow","let"
"vstaviti","ogrovi","postaviti","zdoložiti","insert","put"
"maraton","marapevt","dirka","stice","marathon","race"
"programska oprema","softverema","računalnik","račuoskrbnik","software","computer"
"tumor","tumrt","rak","hok","tumor","cancer"
"raketa","kerket","izstrelek","ravljata","rocket","missile"
"veverica","vednostrica","rakun","plakun","squirrel","raccoon"
"ugrabitelj","ugrabiškem","odkupnina","rantal","kidnapper","ransom"
"presenečenje","presenežina","razočaranje","bluzočaranje","surprise","disappointment"
"galerija","gaustvarija","razstava","razdljiva","gallery","exhibition"
"zavedati se","zavedalčkati","razumeti","razuatlanti","realize","understand"
"pravičen","nazadnjašteno","razumen","razunjih","fair","reasonable"
"napredek","naprevost","razvoj","radsor","progress","development"
"generator","generabljen","reaktor","reaksem","generator","reactor"
"pravi","prucilen","resničen","člesničen","TRUE","real"
"optimističen","optistoj","realističen","realististljiv","optimistic","realistic"
"občasno","občastično","redko","zbuko","occasionally","rarely"
"filozofija","filozoustvarja","religija","relikšnemja","philosophy","religion"
"pravzaprav","pravzastru","res","zarekt","actually","really"
"gostilna","gokrona","restavracija","baklavracija","pub","restaurant"
"morski pes","morskinanc","riba","rilih","shark","fish"
"lov","bov","ribolov","ribotreb","hunting","fishing"
"reven","parbo","bogat","bogozden","poor","rich"
"voziti","vozabiti","jahati","skode","drive","ride"
"cezar","cedez","rim","olm","caesar","rome"
"krpa","krunja","robček","pilček","cloth","handkerchief"
"obletnica","startnica","rojstni dan","rojstnitrič","anniversary","birthday"
"dlan","dlap","roka","zdoka","hand","arm"
"dramatičen","ognjematično","romantičen","romendran","dramatic","romantic"
"kraja","pirja","rop","imp","theft","robbery"
"rdeča","skrča","rumena","rumljiva","red","yellow"
"vohunstvo","ohrovonage","sabotaža","sabotaknjen","espionage","sabotage"
"jabolko","jabonce","sadje","vpaje","apple","fruit"
"sidro","sivov","jadro","gradro","anchor","sail"
"pirat","pirablja","mornar","jitlor","pirate","sailor"
"trik","trof","šala","šaca","trick","joke"
"tempelj","temfon","samostan","samorščak","temple","monastery"
"sirotišnica","sirotaljon","ženski samostan","pajčostan","orphanage","convent"
"nindža","nison","samurai","samupjem","ninja","samurai"
"blato","halto","pesek","pesad","mud","sand"
"radar","ramem","satelit","ščitelit","radar","satellite"
"govorice","brezavljanje","škandal","škandilec","gossip","scandal"
"končno","blečno","sčasoma","sčanirano","finally","eventually"
"že","sfe","še","hle","already","still"
"trmast","trbavm","sebičen","sebraven","stubborn","selfish"
"varen","fahen","zaščiten","znancure","safe","secure"
"baza","bafa","štab","štavž","base","headquarters"
"menedžer","upraviškem","šef","šec","manager","boss"
"parlament","parladnom","senat","cvenat","parliament","senate"
"guverner","guverstni","senator","senavlja","governor","senator"
"govor","gotes","pridiga","serdiga","speech","sermon"
"konferenca","konfevljavca","sestanek","sestaštva","conference","meeting"
"kontaminacija","stotaminacija","sevanje","sevarant","contamination","radiation"
"jug","juf","sever","zvever","south","north"
"strel","merel","streljati","areljati","shot","shoot"
"osvoboditi","reševastvom","rešiti","oslani","rescue","save"
"močen","tvočen","šibek","šibrit","strong","weak"
"frekvenca","fregrica","signal","siskaš","frequency","signal"
"moč","čoč","sila","najla","strength","force"
"zlat","ožito","srebrn","črever","golden","silver"
"zastava","dnjaka","simbol","simdak","flag","symbol"
"hči","sči","sin","zbin","daughter","son"
"simptom","živčtom","sindrom","sinklon","symptom","syndrome"
"kaplja","paplja","požirek","ražirek","drop","sip"
"ozek","spoko","širok","šižah","narrow","wide"
"omrežje","netrost","sistem","vditem","network","system"
"stati","stačiti","sedeti","kredeti","stand","sit"
"skrb","porbeti","skrbeti","urabi","concern","worry"
"pokriti","poznom","skriti","lakriti","cover","hide"
"tajnost","zdravnost","skrivnost","skriganka","secret","mystery"
"ponižen","ponišnic","skromen","čveromen","humble","modest"
"tolpa","tolbližji","skupina","predpina","gang","group"
"društvo","čištvo","skupnost","hlepnost","society","community"
"dober","doblesav","slab","slark","good","bad"
"driska","ozeska","slabost","slatret","diarrhea","nausea"
"toast","tosut","slanina","polanina","toast","bacon"
"okusen","klosno","slasten","slaškem","tasty","delicious"
"veličasten","sijasten","veličastnost","hajva","glorious","glory"
"popularen","popuvstveno","slaven","slavičen","popular","famous"
"umetnik","rantnik","slikar","slinčnik","artist","painter"
"ritual","cvetual","obred","slovesenca","ritual","ceremony"
"suženj","suming","služabnik","slusrečnik","slave","servant"
"varuška","varubens","služkinja","igrakinja","nanny","maid"
"nasmeh","nastol","smeh","bomeh","smile","laugh"
"urgenten","nujeten","nuja","smru","urgent","emergency"
"duhovit","mlahovit","smešen","moršno","witty","funny"
"odpadki","smeniki","smeti","odpacesen","trash","garbage"
"črv","zav","kača","rajke","worm","snake"
"dež","orž","sneg","snišč","rain","snow"
"snemati","klisneti","posnetek","snemastur","record","recording"
"strelec","vljulec","ostrostrelec","eveper","shooter","sniper"
"potrpežljivost","potrpežljistljiv","sočutje","sočudnih","patience","compassion"
"limonada","limobravnada","gazirana pijača","pajda","lemonade","soda"
"sodišče","soditelj","sodnik","sovski","court","judge"
"mleko","udoko","sok","frok","milk","juice"
"razred","rahlep","šola","frola","class","school"
"lunin","ludeš","sončev","sodes","lunar","solar"
"juha","juješ","solata","sozrihta","soup","salad"
"luna","lurta","sonce","škice","moon","sun"
"kapsula","željsula","sonda","planda","capsule","probe"
"hrup","hruft","zvok","sojil","noise","sound"
"lazanja","lazaplem","špageti","osemgeti","lasagna","spaghetti"
"soba","sobasa","spalnica","utrinica","room","bedroom"
"padec","teladec","kolaps","kurnje","fall","collapse"
"počitek","počidnih","spanje","spastog","rest","sleep"
"strokovnjak","strokovsnil","specialist","speciasnjen","expert","specialist"
"senzacionalen","senzaški","spektakularen","obramtakularen","sensational","spectacular"
"duša","rejša","duh","glerit","soul","spirit"
"vrh","grh","dno","spoliš","top","bottom"
"konflikt","konfajst","spor","pror","conflict","dispute"
"pogodba","poosvoba","sporazum","sporascev","contract","agreement"
"joga","ščega","masaža","kulisaža","yoga","massage"
"opozorilo","opozoščilo","sporočilo","obljuročilo","warning","message"
"hobi","hobec","šport","klort","hobby","sport"
"kapaciteta","placiteta","sposobnost","sposobskih","capacity","ability"
"dremež","drefro","sprehod","spremel","nap","stroll"
"zavrniti","zastični","sprejeti","objekmi","refuse","accept"
"spremstvo","kremstvo","spremljati","spreprakti","escort","accompany"
"prijazen","lenet","srčkan","srčgov","sweet","cute"
"videti","grindeti","srečati","egipčati","see","meet"
"zadovoljen","zadovičen","srečen","adrena","satisfied","happy"
"odrasel","odranjen","starš","stvoš","adult","parent"
"stolp","stavp","stavba","brazba","tower","building"
"beseda","dvajseda","poved","starah","word","sentence"
"slovar","slolek","besedna zveza","beseza","dictionary","phrase"
"zadeti","ket","udariti","sklike","hit","strike"
"pečica","pečihta","štedilnik","štestavnik","oven","stove"
"kozarec","žerjarec","steklenica","stezdravnica","glass","bottle"
"dva","gma","štiri","sonri","two","four"
"tisoč","titun","sto","sčo","thousand","hundred"
"groza","čreza","strah","kerah","horror","fear"
"navdušenje","navduševskih","strast","stracu","enthusiasm","passion"
"načrt","naprk","strategija","oglejtegija","plan","strategy"
"avenija","avesak","ulica","brezet","avenue","street"
"robot","ropri","stroj","zdroj","robot","machine"
"amater","menter","strokovnjak","strokovsnil","amateur","professional"
"piramida","piramišljen","zgradba","ostantura","pyramid","structure"
"raziskava","razičanka","študija","oblidija","research","study"
"ritem","riraj","stil","cudle","rhythm","style"
"odlično","trivično","super","supeta","excellent","great"
"svetilka","sveznačka","sveča","upoča","lamp","candle"
"nasvet","nasham","svetovati","atlantovanje","advice","advise"
"tableta","krableta","pastila","pastegorija","tablet","pill"
"potencial","potenet","talent","tacist","potential","talent"
"tukaj","tumom","tam","žam","here","there"
"mesec","metuj","teden","telov","month","week"
"dnevno","hčerno","tedensko","tegnilsko","daily","weekly"
"metoda","mesklada","tehnika","dravnika","method","technique"
"klic","pomebči","telefon","teleplja","call","telephone"
"radio","racma","televizija","jarevizija","radio","television"
"senca","shalež","temen","telju","shadow","dark"
"vročina","vročetka","temperatura","kuveratura","heat","temperature"
"golf","gogi","tenis","vrenis","golf","tennis"
"ideja","stija","teorija","teoznostja","idea","theory"
"poskus","poseln","test","žest","experiment","test"
"odporen","čajko","vzdržljiv","čvržljiv","tough","hard"
"upoštevati","upoštestinkte","misliti","grisliti","consider","think"
"tih","tidek","tišina","tisnjena","silent","silence"
"koža","kočje","tkivo","astvo","skin","tissue"
"kaj","alj","tisto","gnusto","what","that"
"škatla","škaljo","torba","memba","box","bag"
"ponedeljek","zadeljek","torek","torič","monday","tuesday"
"orkan","vglavricane","tornado","uščinado","hurricane","tornado"
"breme","loler","tovor","tobit","load","cargo"
"odvetnik","zdravetnik","tožilec","tožitnih","lawyer","prosecutor"
"moderen","žaderen","tradicionalen","traditmičen","modern","traditional"
"žalosten","ozd","tragičen","tragljen","sad","tragic"
"trgovina","trgončica","prodajalna","podnajalna","shop","store"
"ena","eca","tri","fli","one","three"
"zaslišanje","zazmanjšanje","sojenje","sojvesce","hearing","trial"
"krog","ljog","trikotnik","trianstov","circle","triangle"
"dvojen","dvostra","trojen","forojen","double","triple"
"džip","jeho","tovornjak","trlek","jeep","truck"
"most","mork","tunel","tumiš","bridge","tunnel"
"polž","golž","želva","turhov","snail","turtle"
"begunec","beguglal","ubežnik","jeržnik","refugee","fugitive"
"zastrupiti","storp","ubiti","umobiti","poison","kill"
"vpliv","uporva","učinek","učiled","influence","effect"
"koristen","koriščem","učinkovit","vkljukovito","useful","effective"
"učiti","učisliti","poučevati","tarte","learn","teach"
"študent","štunes","učitelj","krutelj","student","teacher"
"kariera","kariednjič","ugled","efled","career","reputation"
"oko","iko","uho","aho","eye","ear"
"turnir","turgus","tekma","osvomanje","tournament","match"
"zgrabiti","osvebi","uloviti","ulobriti","grab","catch"
"končen","končist","zadnji","skrivtimate","final","ultimate"
"ogaben","naške","umazan","sklezano","nasty","filthy"
"naraven","naveljni","umeten","hratna","natural","artificial"
"samomor","samoščaš","umor","švor","suicide","murder"
"ustvarjanje","luteranje","uničenje","strečenje","creation","destruction"
"značka","vračka","uniforma","streforma","badge","uniform"
"fakulteta","osvalege","univerza","unifranza","college","university"
"odpor","odporščak","upirati se","upiraditi","resistance","resist"
"nanesti","naneliti","uporabiti","straraba","apply","use"
"vodenje","kljuvljanje","upraven","smram","management","administrative"
"uraden","neden","uradnik","tvednik","officially","official"
"kri","njeva","urin","gajne","blood","urine"
"koledar","koleljev","urnik","urjem","calendar","schedule"
"smrtonosen","smrtonovljen","usoden","usoram","deadly","fatal"
"upravljati","klapravljati","uspeti","usohniti","manage","succeed"
"zakon","zagij","ustava","tlava","law","constitution"
"preprečiti","prevključiti","ustaviti","franvi","prevent","stop"
"domišljija","domiscarja","ustvarjalnost","brejalnost","imagination","creativity"
"past","panc","vaba","vajev","trap","bait"
"vaditi","pramet","telovaditi","valec","practice","exercise"
"zombi","rečbi","vampir","ohlapire","zombie","vampire"
"cimet","cifum","vanilja","zrnilja","cinnamon","vanilla"
"varovanje","sebnost","varnost","sigotovost","security","safety"
"kamp","plamp","vas","fas","camp","village"
"danes","vranes","včeraj","imuraj","today","yesterday"
"noč","šrč","večer","vežgi","night","evening"
"prepoznati","prepostripti","poznati","skoznati","recognize","knew"
"zdaj","zdač","vedeti","vedražiti","now","know"
"sočuten","zaročuten","radodaren","velikodustljiv","compassionate","generous"
"mars","čars","venera","vefer","mars","venus"
"upanje","očam","vera","apara","hope","faith"
"zaupati","zaupatricij","verjeti","franjeti","trust","believe"
"verjetnost","verjecljal","verjetno","verjemlje","probability","likely"
"morda","čemda","verjetno","uglajetno","maybe","probably"
"pojasnilo","pojamčilo","prepričljiv","zaričljiv","explanation","plausible"
"užitek","škotek","veselje","vesestan","pleasure","joy"
"izhod","iztru","vhod","gluhod","exit","entrance"
"dvd","nud","video","vilej","dvd","video"
"utež","utap","višina","zgrešina","weight","height"
"veličanstvo","veličavljen","visokost","visomers","majesty","highness"
"beljakovina","beljakobran","vitamin","vitatost","protein","vitamin"
"razodetje","razoderoč","vizija","splozija","revelation","vision"
"uprava","upracija","vlada","bolada","administration","government"
"ogljik","ogljibon","vodik","vodrogen","carbon","hydrogen"
"viski","zdiski","vodka","gunka","whiskey","vodka"
"civilen","cipredno","vojaški","vojagnje","civil","military"
"legija","legistru","vojska","nadska","legion","army"
"kampanja","dropanja","volitve","volicist","campaign","election"
"kandidat","kandiking","volivec","vostarca","candidate","voter"
"okus","okurt","vonj","glonj","taste","smell"
"potnik","zbotnik","voznik","vozitelj","passenger","driver"
"vprašanje","osvošanje","vprašati","vpracih","question","ask"
"grlo","nelo","vrat","vrang","throat","neck"
"okno","irno","vrata","zmeta","window","door"
"vhod","vhornic","vrata","vralka","portal","gate"
"zaslužiti","zahvalži","vreden","kadreden","deserve","worthy"
"opazovanje","ustrezovanje","vrednotenje","vrebljatenje","observation","evaluation"
"nazaj","brizaj","vrniti","vrniščiti","back","return"
"kašelj","karold","vročina","sklačina","cough","fever"
"veriga","veriščih","vrv","lav","chain","rope"
"vsebovati","obljubujejo","vsebina","gradbina","contain","content"
"servis","kljuvice","vzdrževanje","obljuževanje","service","maintenance"
"razlog","raflji","vzrok","esrok","reason","cause"
"vojak","vobol","bojevnik","usparjevnik","soldier","warrior"
"pogledati","potraj","gledati","gledreti","look","watch"
"sherlock","šerkom","watson","vposon","sherlock","watson"
"internet","interhand","splet","splef","internet","web"
"južni","hružni","zahodni","zahonem","southern","western"
"rog","cog","piščalka","piščazma","horn","whistle"
"medved","zgledved","volk","vozd","bear","wolf"
"mednaroden","mednazen","svet","fret","international","world"
"brati","uslužberite","pisati","mašisati","read","write"
"večen","arina","za vedno","zavenčno","eternal","forever"
"sprejem","restrukcija","zabava","zaskriva","reception","party"
"spredaj","frast","zadaj","zašci","front","rear"
"prvi","najpnih","zadnji","zasnil","first","last"
"omogočiti","znangoči","zagotoviti","zagolniti","enable","provide"
"lisica","lisistič","zajec","zanam","fox","rabbit"
"večerja","veštaja","zajtrk","plajtrk","dinner","breakfast"
"ključ","kljusk","ključavnica","vrečavnica","key","lock"
"otvoritev","odpirastlin","zaprtje","zaubožček","opening","closure"
"gesta","gedno","dejanje","dejarček","gesture","act"
"kopati","ožigopati","zakopati","zabul","dig","bury"
"razburljivo","razburlažno","zanimivo","zanimišljam","exciting","interesting"
"pozabiti","pozaklju","zapomniti","počomniti","forget","remember"
"celica","vljalica","zapor","zadič","cell","prison"
"kazen","ščazen","ujetništvo","ujetnicanje","penalty","imprisonment"
"talec","hruca","zapornik","zaključnika","hostage","prisoner"
"odpreti","odstanto","zapreti","zafaš","open","close"
"zaklenjen","zakleskrivno","zaprt","zastanto","locked","closed"
"oditi","doklet","zapustiti","zapubjekti","leave","abandon"
"žaliti","žalicist","prizadeti","vdihnica","insult","offend"
"zasebno","zagnjeno","zasebnost","zasebskih","private","privacy"
"spoštovanje","sposkrivanje","zaupanje","poljupanje","respect","confidence"
"zatočišče","zatočistost","zavetišče","zavetimnost","refuge","shelter"
"obrniti","turat","zavrteti","zaidenti","turn","rotate"
"zbrati","aspirite","nabrati","vzgati","collect","gather"
"alkohol","alkošlji","droga","oblevilo","alcohol","drug"
"terapija","terabljenja","zdravljenje","zdrastranje","therapy","treatment"
"kirurg","kirust","zdravnik","vljalnik","surgeon","doctor"
"lakota","laspekta","žeja","virja","hunger","thirst"
"hrepenenje","ževec","želja","žesto","desire","wish"
"skrajno","mnolo","zelo","avalo","extremely","very"
"kompas","kombob","zemljevid","zeliščvid","compass","map"
"mož","což","žena","žeča","husband","wife"
"vdova","casva","ženska","smuska","widow","woman"
"moški","morom","ženska","žentaža","male","female"
"pozen","popal","zgodnji","obunu","late","early"
"nižji","berje","zgornji","klovnji","lower","upper"
"kabel","kasih","žica","žitev","cable","wire"
"poletje","polening","zima","ljema","summer","winter"
"zver","hrer","žival","krival","beast","animal"
"jutri","jukne","jutro","pirtraj","tomorrow","morning"
"greh","grec","zločin","osrečina","sin","crime"
"pridobiti","dosenek","zmagati","emaga","gain","win"
"poraženec","floba","zmagovalec","ustregovalec","loser","winner"
"povečati","požanj","zmanjšati","zmanjber","increase","reduce"
"kaos","sekos","zmeda","carde","chaos","confusion"
"kombinacija","ustvarbinacija","mešanica","snes","combination","mixture"
"oblika","zablika","znak","znart","form","sign"
"izkušnja","izkuljiv","znanje","značil","experience","knowledge"
"tehnologija","tehnognoza","znanost","čajnost","technology","science"
"genij","genigold","znanstvenik","znapravnik","genius","scientist"
"vsota","rinta","znesek","znesežek","sum","amount"
"noht","nabru","zob","cob","nail","tooth"
"sončni zahod","sohod","zora","zodej","sunset","dawn"
"notranji","nobljenje","zunanji","zunalašč","internal","external"
"šerif","šecaš","župan","žušel","sheriff","mayor"
"pajek","bonek","žuželka","žuznaka","spider","insect"
"pogoltniti","pogocvreti","žvečiti","igračiti","swallow","chew"
"lojalen","vajalen","zvest","zvebel","loyal","faithful"
"zvezdnik","žlezdnik","zvezda","knjida","celebrity","star"
