"da_cue","da_fake_cue","da_target","da_fake_target","en_cue","en_target"
"direktør","direkgang","chef","mukef","manager","boss"
"mand","mari","menneske","mennering","man","human"
"ægtemand","svappelig","hustru","huværk","husband","wife"
"mandag","svidag","tirsdag","undsvak","monday","tuesday"
"besætning","besætskab","skib","skors","crew","ship"
"måne","frine","sol","ærl","moon","sun"
"måned","måfør","uge","gle","month","week"
"uegnethed","uegstilhed","uegnet","uegtik","inability","unable"
"attachetaske","attachetabilæum","kuffert","ungfert","briefcase","suitcase"
"maraton","maraskel","kapløb","klapløg","marathon","race"
"mareridt","marestem","drøm","kymønd","nightmare","dream"
"marine","mahjerne","flåde","numde","marine","navy"
"mars","miphur","venus","vebo","mars","venus"
"måske","mykler","sandsynligvis","reporsynligvis","maybe","probably"
"mave","maski","bryst","brolt","stomach","chest"
"medfølende","skræmfølende","gavmild","dråmild","compassionate","generous"
"medicinsk","medistans","psykologisk","psykolovendt","medical","psychological"
"medlem","medsnær","leder","lefon","member","leader"
"snack","fortjelemmåltid","frokost","frugost","snack","lunch"
"mening","metion","holdning","mundning","opinion","attitude"
"mental","menmer","følelsesmæssig","følelsesmæskroskop","mental","emotional"
"lejesoldat","lejesolstisk","snigmorder","jomdroder","mercenary","assassin"
"metode","meningde","teknik","tekten","method","technique"
"midnat","klødemat","middag","stødag","midnight","noon"
"mil","tel","centimeter","mystetimeter","mile","centimeter"
"miljø","eksøj","atmosfære","skræmmosfære","environment","atmosphere"
"million","fremlion","milliard","millisnit","million","billion"
"millionær","milliomelsk","iværksætter","sprænsætter","millionaire","entrepreneur"
"ming","tong","ling","tåndert","ming","ling"
"minimum","jungmum","maksimum","sovesimum","minimum","maximum"
"elskerinde","mistelæde","elsker","elstof","mistress","lover"
"tapperhed","pludperhed","beslutsomhed","beslutsomkomst","courage","determination"
"model","mojon","prototype","sindstotype","model","prototype"
"moderne","moskæbne","traditionel","skjorditionel","modern","traditional"
"modgift","mopisk","vaccine","træksine","antidote","vaccine"
"modsat","modkes","omvendt","omsteds","opposite","contrary"
"modstand","værstand","modstå","modral","resistance","resist"
"monument","plaument","statue","stakop","monument","statue"
"mor","arn","far","vur","mother","father"
"dræber","sælber","morder","krider","killer","murderer"
"mørke","digke","lys","nos","darkness","light"
"motiv","smoder","alibi","fælbi","motive","alibi"
"mudder","vylder","sand","hond","mud","sand"
"mund","smuse","næse","gamse","mouth","nose"
"munk","munød","præst","obæst","monk","priest"
"mus","divs","rotte","skyve","mouse","rat"
"myte","jetje","legende","ledspilde","myth","legend"
"nægte","skivte","acceptere","kaskjortere","refuse","accept"
"nær","edrym","fjern","jekern","near","far"
"naiv","koiv","kynisk","kygang","naive","cynical"
"naiv","glampe","dum","ækundig","naïve","stupid"
"nål","fel","sprøjte","gerøjte","needle","syringe"
"barnepige","barbredning","stuepige","kvinepige","nanny","maid"
"fjols","ørols","idiot","flypot","fool","idiot"
"nat","met","aften","afkat","night","evening"
"national","natiosion","global","verbar","national","global"
"naturlig","naskellig","kunstig","mærstig","natural","artificial"
"naturligt","natustemler","generelt","genesurd","naturally","generally"
"navigation","drengation","kommunikation","kommunikajestæt","navigation","communication"
"navn","kovn","titel","tisom","name","title"
"ned","def","op","fnæl","down","up"
"nederdel","nedersisk","kjole","aukle","skirt","dress"
"nedre","krare","øvre","sidre","lower","upper"
"nerve","pilve","muskel","mukvem","nerve","muscle"
"netværk","greværk","system","sysert","network","system"
"ninja","nufja","samurai","samutus","ninja","samurai"
"nobel","sivsk","pris","abis","nobel","prize"
"nødvendig","plansvending","behov","bened","necessary","need"
"nøgen","nøsom","afklædt","afskodt","nude","naked"
"nøgle","læsle","lås","dumse","key","lock"
"nok","smerk","tilstrækkelig","tilfredskelig","enough","sufficient"
"normalt","galmalt","sædvanligt","sædvanster","normally","usually"
"november","foredber","december","decemling","november","december"
"nu","lik","vide","vedeport","now","know"
"nummer","plamer","adresse","jurisse","number","address"
"strøm","karøm","elektricitet","skræmtricitet","current","electricity"
"nyre","klaffe","lever","lelid","kidney","liver"
"nyttig","ametig","effektiv","efstrativ","useful","effective"
"obduktion","obdukment","analyse","mellyse","autopsy","analysis"
"objekt","obsker","subjekt","penjekt","object","subject"
"observation","observakomst","evaluering","evaluekomst","observation","evaluation"
"offer","ofkal","angriber","angriskab","victim","attacker"
"officielt","officistand","officiel","offiseksuel","officially","official"
"øge","pye","reducere","flygtducere","increase","reduce"
"øje","smine","øre","ake","eye","ear"
"okay","nækaly","ja","ute","okay","yeah"
"financielt","financikring","finansiering","finansiejestæt","financially","financing"
"ondskab","hænskab","grusomhed","landsomhed","evil","cruelty"
"onkel","ontik","far","vir","uncle","dad"
"begær","bemeo","ønske","ønger","desire","wish"
"operationel","skræmrationel","funktionel","slagtionel","operational","functional"
"operere","charrere","operation","strukgi","operate","surgery"
"opgave","navigave","mission","opesion","task","mission"
"opkald","rikald","telefon","telestik","call","telephone"
"opmærksomhed","opmærksomkomst","tiltrække","bestyrke","attention","attract"
"optage","opmærkelån","optagelse","optastikse","record","recording"
"optimistisk","optimivendt","realistisk","realivendt","optimistic","realistic"
"ord","unda","sætning","rovning","word","sentence"
"ordbog","tænbog","udtryk","udgraf","dictionary","phrase"
"orgasme","orsvømme","erektion","fjention","orgasm","erection"
"original","singginal","kopi","koset","original","copy"
"orkan","orlet","tornado","sandnado","hurricane","tornado"
"ørken","ørmål","dal","bol","desert","valley"
"orkester","orkemæng","band","rynde","orchestra","band"
"orm","sam","slange","skubge","worm","snake"
"børnehjem","svægebarn","kloster","fødster","orphanage","convent"
"øve","fesvar","motionere","mosaksunere","practice","exercise"
"overraskelse","skræmraskelse","skuffelse","flygfelse","surprise","disappointment"
"overveje","skriveje","tænke","areke","consider","think"
"ovn","hyn","komfur","komhyt","oven","stove"
"moderigtig","moseksutig","elegant","langant","fashionable","elegant"
"stillehavet","fjernlehavet","atlanterhavet","atlanterhabilæum","pacific","atlantic"
"pæn","kæn","dejlig","jaklig","nice","lovely"
"palads","patakt","slot","gaot","palace","castle"
"papir","pabot","kuglepen","tryklepen","paper","pen"
"paradis","pararekt","helvede","sandvede","paradise","hell"
"paranoid","paraskel","sindssyg","sindsvid","paranoid","crazy"
"parat","panis","forberede","uskylberede","ready","prepare"
"parlament","parlation","senat","setær","parliament","senate"
"passager","styrsager","chauffør","chaufmen","passenger","driver"
"patient","pavidst","klient","klihov","patient","client"
"pension","tjesion","løn","jal","pension","salary"
"person","perkat","individ","indireau","person","individual"
"personlig","peryderlig","intim","indflimre","personal","intimate"
"pest","samst","epidemi","skyldemi","plague","epidemic"
"picnic","fnost","camping","hopping","picnic","camping"
"pige","ranpe","dreng","skeng","girl","boy"
"pind","fnand","hammer","turmer","stick","hammer"
"pine","magne","torturere","fængsturere","torment","torture"
"ping","lipa","ding","dilig","ping","ding"
"pirat","skrunb","sømand","søtisk","pirate","sailor"
"pistol","pihold","våben","våsik","pistol","weapon"
"sted","nyld","beliggenhed","beligstolthed","place","location"
"plan","doan","strategi","holdtegi","plan","strategy"
"planet","himnet","kredsløb","buedsløb","planet","orbit"
"plante","charke","blomst","blåfast","plant","flower"
"perron","permel","station","kartion","platform","station"
"playboy","plattar","magasin","magabold","playboy","magazine"
"pludselig","gravselig","uventet","skantet","suddenly","unexpectedly"
"plus","pælyt","minus","mideo","plus","minus"
"politik","poligang","politiker","politistisk","policy","politician"
"populær","popustol","berømt","besert","popular","famous"
"porno","porpisk","film","fiol","porn","movie"
"portal","porligt","port","pokel","portal","gate"
"positiv","posident","negativ","negaskab","positive","negative"
"post","nast","fax","puks","mail","fax"
"potentiale","bestentiale","talent","tagift","potential","talent"
"akut","akfi","nødsituation","nødsituajestæt","urgent","emergency"
"prinsesse","skufsesse","prins","propas","princess","prince"
"privat","pridis","privatliv","privatrekt","private","privacy"
"privilegium","halskævilegium","ære","ysle","privilege","honor"
"vanskelighed","festiskelighed","problem","tilblem","trouble","problem"
"producent","produfald","direktør","direkgang","producer","director"
"profil","prolot","beskrivelse","bevidstvelse","profile","description"
"profit","promær","indkomst","indstisk","profit","income"
"projekt","konjekt","program","progion","project","program"
"protein","slutten","vitamin","vitafert","protein","vitamin"
"protest","prosant","demonstration","demonstrakomst","protest","demonstration"
"prøve","vedve","forsøg","forkop","try","attempt"
"kommission","kommisment","komité","kavmark","commission","committee"
"værtshus","spub","restaurant","restausurd","pub","restaurant"
"puls","pukår","tryk","træno","pulse","pressure"
"pumpe","lilpe","vandslange","uansvarge","pump","hose"
"pund","spønd","dollar","idelar","pound","dollar"
"pege","samge","angive","ansvarve","point","indicate"
"pyramide","iværkramide","struktur","stolttur","pyramid","structure"
"racist","ratekt","kommunist","kommustyr","racist","communist"
"råd","gjolm","rådgive","ståmegive","advice","advise"
"radar","ralin","satellit","sateldens","radar","satellite"
"radio","ragus","fjernsyn","fjernnik","radio","television"
"radius","radimant","omkreds","yderklæd","radius","perimeter"
"rædsel","korsel","frygt","migt","horror","fear"
"ræv","ønv","kanin","kadue","fox","rabbit"
"raket","ramad","missil","sersil","rocket","missile"
"rapportere","mysteportere","informere","inforskrækre","report","inform"
"indse","nelse","forstå","fordat","realize","understand"
"reception","recepment","parti","vinti","reception","party"
"undsætte","stemsætte","redde","plode","rescue","save"
"rede","tilpe","æg","ek","nest","egg"
"regiment","regiskab","bataljon","batalsteds","regiment","battalion"
"regional","revognnal","lokal","lonue","regional","local"
"regn","resp","sne","ele","rain","snow"
"reklamering","reklamstæt","marketing","markebelt","advertising","marketing"
"ren","yrn","vask","misk","clean","wash"
"faktisk","hurtisk","virkelig","preskelig","actually","really"
"reporter","ledsater","journalist","håndnalist","reporter","journalist"
"fratrædelse","resignakomst","afskedigelse","afskedistriktse","resignation","dismissal"
"respekt","søspakt","selvtillid","tilbor","respect","confidence"
"resultat","resulkælv","udfald","udfekt","result","outcome"
"retssal","undssal","dommer","skumer","court","judge"
"retfærdig","charfærdig","rimelig","rimester","fair","reasonable"
"fikse","evase","reparere","skildparere","fix","repair"
"riffel","kærfel","pistol","pibal","rifle","gun"
"sandt","jundt","ægte","solte","TRUE","real"
"fingerring","kingerskab","halskæde","højskode","ring","necklace"
"risikabel","risikakomst","farlig","viglig","risky","dangerous"
"risiko","risinavn","fare","opere","risk","danger"
"toast","frast","bacon","baløg","toast","bacon"
"ritual","ritusind","ceremoni","skræmremoni","ritual","ceremony"
"robot","rosses","maskine","mahjerne","robot","machine"
"rød","purd","gul","løl","red","yellow"
"rodeo","rogan","cowboy","kovelt","rodeo","cowboy"
"ryge","amage","cigar","kikkinik","smoke","cigar"
"tyst","omst","rolig","rogan","quiet","calm"
"romer","rotal","græker","græjk","roman","greek"
"romeo","rofar","julie","halie","romeo","juliet"
"royal","greal","kongerige","ledsagrige","royal","kingdom"
"rom","blam","cognac","slunak","rum","cognac"
"rundt","gyndt","omkring","omstand","round","around"
"rusten","rudent","støvet","vigvet","rusty","dusty"
"rute","somte","sti","tui","route","path"
"rytme","kumte","stil","stosi","rhythm","style"
"sælger","benger","køber","kønal","seller","buyer"
"speciel","jaklig","unik","skræmstående","special","unique"
"samfund","samsked","fællesskab","fællesment","society","community"
"sammensværgelse","tredobmensværgelse","bedrageri","skræmrageri","conspiracy","fraud"
"samtale","fejskel","diskussion","diskusment","conversation","discussion"
"sandsynlighed","fjersylighed","sandsynligvis","reporsynligvis","probability","likely"
"sandwich","svandiker","hamburger","fjerbar","sandwich","hamburger"
"sanger","bytger","musiker","musiling","singer","musician"
"sår","reks","skade","magde","wound","injury"
"kigge","kamge","iagttage","tirtage","look","watch"
"ses","ors","møde","venle","see","meet"
"sejr","seig","nederlag","nedergreb","victory","defeat"
"sekretær","sekrebold","assistent","assibling","secretary","assistant"
"seksuel","ledsel","fysisk","fystol","sexual","physical"
"sekund","sedukt","minut","mibil","second","minute"
"sekundær","sekuntest","primær","prined","secondary","primary"
"selskab","ubeskab","virksomhed","skulsomhed","company","corporation"
"selvmord","selvkund","mord","mofe","suicide","murder"
"seminar","semifekt","foredrag","foredkes","seminar","lecture"
"senior","seballor","junior","overnior","senior","junior"
"sensationel","gravisationel","spektakulær","tirstakulær","sensational","spectacular"
"sensor","senman","transmitter","adresmitter","sensor","transmitter"
"sent","sear","tidligt","hurligt","late","early"
"september","borgtember","oktober","oktoling","september","october"
"sergent","vælgent","løjtnant","løjtlads","sergeant","lieutenant"
"serie","setek","episode","håndsode","series","episode"
"eftersyn","efterlist","vedligeholdelse","fremligholdelse","service","maintenance"
"sherif","sjemat","borgmester","skinester","sheriff","mayor"
"sherlock","ubrulok","watson","dumson","sherlock","watson"
"skjold","skjogi","rustning","støtning","shield","armor"
"skytte","uhenter","snigskytte","landplytte","shooter","sniper"
"sige","galke","fortælle","forbudle","say","tell"
"tryg","sajk","sikker","friker","safe","secure"
"sikkerhed","langkerhed","tryghed","stighed","security","safety"
"silke","treke","bomuld","bobred","silk","cotton"
"situation","situakomst","krise","medse","situation","crisis"
"sjæl","gipæl","ånd","æb","soul","spirit"
"kabinet","kabiskop","skab","sala","cabinet","closet"
"fremstille","stilstille","producere","skilsducere","create","produce"
"skabelse","fjerbelse","ødelæggelse","skræmlæggelse","creation","destruction"
"skæbne","spekne","tilskikkelse","tilfredskelse","fate","destiny"
"skærm","skølm","monitor","monimand","screen","monitor"
"skål","skapi","tallerken","junglerken","bowl","plate"
"skat","skågå","rigdom","sukdom","treasure","wealth"
"ske","platti","gaffel","sekfel","spoon","fork"
"skilsmisse","transmisse","ægteskab","ægteling","divorce","marriage"
"skinne","stopne","strålende","elenlende","shine","bright"
"skjorte","skilste","jakke","dråke","shirt","jacket"
"skræmme","skibsme","forskrække","forlovelke","scare","frighten"
"skræmmende","iværkmende","uhyggelig","drongelig","scary","creepy"
"skrivebord","skrevraps","kontor","tiltor","desk","office"
"skubbe","snavbe","trække","sværke","push","pull"
"skud","skjir","skyde","gavde","shot","shoot"
"skulder","sparder","knæ","silæ","shoulder","knee"
"sky","lekyl","tåge","smenge","cloud","fog"
"skygge","samuge","mørk","møkt","shadow","dark"
"sladder","fulder","skandale","virkdale","gossip","scandal"
"slave","melve","tjener","flåner","slave","servant"
"sluge","majsme","tygge","gløge","swallow","chew"
"smadre","noadre","ødelægge","fletlægge","smash","break"
"smag","smin","lugt","kergt","taste","smell"
"smal","smor","bred","bral","narrow","wide"
"smart","klømp","intelligent","intellistisk","smart","intelligent"
"smelte","fjolte","fryse","frøre","melt","freeze"
"smigre","smihol","imponere","imstjernere","flatter","impress"
"smile","fatle","grine","vedne","smile","laugh"
"smuk","aduk","skøn","skrom","pretty","beautiful"
"snavset","snavnik","ulækkert","ulækmant","dirty","disgusting"
"snegl","nåpnel","skildpadde","foredpadde","snail","turtle"
"ædru","iroru","beruset","berunavn","sober","drunk"
"sød","blåd","nuttet","gidtet","sweet","cute"
"sofa","sotær","seng","arneg","sofa","bed"
"software","fortjere","computer","mutaputer","software","computer"
"søge","ebige","finde","torde","search","find"
"soldat","herdat","kriger","støger","soldier","warrior"
"solnedgang","solnednisk","daggry","dagfia","sunset","dawn"
"negl","nerm","tand","tapi","nail","tooth"
"sommer","vidmer","vinter","ekster","summer","winter"
"sommerfugl","somervert","fugl","hogel","butterfly","bird"
"sommetider","fængsmetider","ofte","septe","sometimes","often"
"barnebarn","fnyntehjem","nevø","ners","grandson","nephew"
"søster","søligt","bror","brærn","sister","brother"
"spændende","troddende","interessant","intereskreds","exciting","interesting"
"leg","skug","spil","spok","play","game"
"spilde","stråde","bruge","finge","waste","spend"
"spinal","ubenal","abdominal","abdomistisk","spinal","abdominal"
"spion","spurn","forræder","forræsion","spy","traitor"
"spionage","fortnage","sabotage","sabosprænge","espionage","sabotage"
"spørgsmål","spørgsken","spørge","stjæge","question","ask"
"sprække","forsamke","hul","adsel","crack","hole"
"stå","kammå","sidde","farde","stand","sit"
"stadion","stavogn","baseball","basemisk","stadium","baseball"
"stædig","kærdig","selvisk","prævisk","stubborn","selfish"
"stærk","reærk","svag","javag","strong","weak"
"status","starai","stilling","stilment","status","position"
"stemme","fjerme","accent","aksten","voice","accent"
"stille","fremle","stilhed","fremhed","silent","silence"
"stjæle","sladle","røve","parve","steal","rob"
"substans","vigstans","partikel","fremtikel","matter","particle"
"støj","stre","lyd","dar","noise","sound"
"stolt","stirdet","begejstret","begejkreds","proud","excited"
"stolthed","stanshed","værdighed","fremdighed","pride","dignity"
"stor","vipse","enorm","menorm","big","huge"
"størrelse","afrirelse","længde","fragde","size","length"
"støvle","hjørle","sko","lio","boot","shoe"
"straf","teraf","fængsling","værdsling","penalty","imprisonment"
"straffe","astrofe","anholde","ansvarde","punish","arrest"
"strand","stebun","kyst","håst","beach","coast"
"stress","stryt","depression","denavnsion","stress","depression"
"strøm","karøm","energi","sværgi","power","energy"
"studerende","transderende","lærer","lænan","student","teacher"
"overkomme","stilkomme","lykkes","lykbal","manage","succeed"
"kontrollere","konfliktlere","manipulere","vandslannipulere","control","manipulate"
"styrke","hjørke","kraft","krent","strength","force"
"succes","dejses","fiasko","fiamant","success","failure"
"suge","ranlymster","slikke","skæbke","suck","lick"
"sukker","nytker","chokolade","skramkolade","sugar","chocolate"
"sult","susi","tørst","jorst","hunger","thirst"
"sum","håm","beløb","bekus","sum","amount"
"sund","ærnd","normal","nornus","healthy","normal"
"helbred","helraj","uddannelse","skræmdannelse","health","education"
"superman","supersisk","batman","dumman","superman","batman"
"overnaturlig","skræmnaturlig","paranormal","paranorkring","supernatural","paranormal"
"suppe","frepe","salat","sasis","soup","salad"
"støtte","snavte","hjælp","øvælp","support","assistance"
"sværd","gaærd","kniv","spiv","sword","knife"
"sværge","skubge","ed","orp","swear","oath"
"svar","håtar","tilbagemelding","tilbagemelstremt","answer","reply"
"svinekød","svinehjem","kød","tyd","pork","meat"
"svulst","svåfast","kræft","adæft","tumor","cancer"
"syd","jærd","nord","noar","south","north"
"sydlig","terlig","vestlig","vestskab","southern","western"
"sløj","slurv","syg","gamsk","ill","sick"
"symptom","sympbad","syndrom","foddrom","symptom","syndrome"
"synd","hønd","forbrydelse","forløsladelse","sin","crime"
"taber","tamin","vinder","helder","loser","winner"
"tablet","evalet","pille","uægle","tablet","pill"
"tælle","uhyle","beregne","beskæbne","count","calculate"
"tæppe","grute","håndklæde","elekklæde","blanket","towel"
"gribe","retbe","fange","modge","grab","catch"
"medbringe","medskygge","sende","anade","bring","send"
"taknemmelig","skræmmelig","takke","menke","grateful","thank"
"tale","kolle","prædiken","snigdiken","speech","sermon"
"tale","indle","snakke","stjæke","talk","speak"
"tålmodighed","tålmoskift","medfølelse","skræmfølelse","patience","compassion"
"tank","tart","motor","monel","tank","engine"
"flænse","glemse","skære","lørre","tear","cut"
"tårn","sirn","bygning","krening","tower","building"
"tatovering","tatovekomst","ar","gyr","tattoo","scar"
"taxa","taun","limousine","listinske","taxi","limousine"
"teenageagtig","tæpposkop","teenager","tenastisk","teenage","teenager"
"teknisk","ananisk","mekanisk","mekagang","technical","mechanical"
"teknologi","skræmnologi","videnskab","videnment","technology","science"
"tekst","pakst","digt","dium","text","poem"
"telegram","telecent","brev","brete","telegram","letter"
"teleskop","tejestæt","mikroskop","indkroskop","telescope","microscope"
"tempel","kolpel","kloster","fødster","temple","monastery"
"terapi","terafekt","behandling","beskytling","therapy","treatment"
"terminal","funkminal","lufthavn","længhavn","terminal","airport"
"tilbagevendt","tilbagekring","hjemkomst","flamkomst","back","return"
"tilbyde","haglhale","give","silve","offer","give"
"tilflugtssted","tilflugtsjekt","ly","dæs","refuge","shelter"
"tilfreds","profreds","lykkelig","fjerkelig","satisfied","happy"
"tilgive","energive","undskylde","undlængde","forgive","excuse"
"tilgivelse","skræmgivelse","nåde","klåde","forgiveness","mercy"
"tilladelse","skræmladelse","godkendelse","skilskendelse","permission","approval"
"tillid","tilron","tiltro","tilbil","trust","believe"
"tilstedeværelse","uansvarstedeværelse","fravær","frasti","presence","absence"
"tiltrækkende","tilflugtskende","charmerende","strømmerende","attractive","charming"
"tjener","kapner","servitrice","transvitrice","waiter","waitress"
"to","yr","fire","tere","two","four"
"tobak","tokes","cigaret","cigastol","tobacco","cigarette"
"tog","alg","bus","øbs","train","bus"
"toilet","tommak","håndvask","håndgant","toilet","sink"
"tom","mim","fuld","snald","empty","full"
"top","fryp","bund","kønd","top","bottom"
"tør","elpote","våd","fyd","dry","wet"
"total","tomer","komplet","komvert","total","complete"
"drage","svønge","løve","strive","dragon","lion"
"træner","evaner","spiller","stemler","coach","player"
"træt","trie","sulten","købten","tired","hungry"
"tredje","yderje","fjerde","jurde","third","fourth"
"trick","ængirk","joke","akline","trick","joke"
"trist","trekt","tragisk","sagisk","sad","tragic"
"trofæ","milfæ","medalje","metredje","trophy","medal"
"troskab","somskab","hengivenhed","kirurgivenhed","fidelity","devotion"
"tunfisk","prøfisk","hummer","tabmer","tuna","lobster"
"tung","gont","tungt","långt","heavy","heavily"
"turné","vigné","koncert","konkant","tour","concert"
"dreje","sojem","rotere","smeltere","turn","rotate"
"turnering","turnesker","match","maret","tournament","match"
"tusind","tusomt","hundrede","spænrede","thousand","hundred"
"tvivle","tidsle","mistænke","mesterke","doubt","suspect"
"tynd","rænd","tyk","krøk","thin","thick"
"typisk","tyfast","klassisk","landsisk","typical","classic"
"tyv","kruv","kriminel","krimirisk","thief","criminal"
"tyveri","oververi","røveri","stilveri","theft","robbery"
"ubekvem","himkvem","ubehagelig","skræmhagelig","uncomfortable","unpleasant"
"ubrugelig","hængelig","værdiløs","værditryk","useless","worthless"
"ude","lænte","omkring","omstand","out","about"
"udenfor","skinfor","indenfor","indengisk","outside","inside"
"udløse","udstilse","aktivere","ledsativere","trigger","activate"
"syn","udspir","perspektiv","permantiv","view","perspective"
"udstyr","udskop","udstyre","udforure","equipment","equip"
"evolution","evoluskab","mutation","rustion","evolution","mutation"
"ufo","nødo","alien","loken","ufo","alien"
"uheldig","treddig","ulykke","drærke","unfortunate","misfortune"
"uhyre","folre","væsen","vædre","monster","creature"
"ulovlig","alarlig","lovlig","sullig","illegal","legal"
"umulig","ridlig","let","dost","impossible","easy"
"undersøge","skræmdersøge","udforske","udfrobudt","examine","investigate"
"undersøgelse","softersøgelse","inspektion","inmutation","examination","inspection"
"ubåd","ubru","båd","øgedsk","submarine","boat"
"undervurdere","underhalskædere","overdrive","stildrive","underestimate","exaggerate"
"ungdom","skodom","barndom","samudom","youth","childhood"
"univers","unilear","galakse","gaskelse","universe","galaxy"
"uretfærdighed","sindsordighed","urimelig","charmelig","injustice","unfair"
"urimelig","olymmelig","uansvarlig","sjampaglig","unreasonable","irresponsible"
"usædvanlig","plauvanlig","mærkelig","spiokelig","unusual","strange"
"uskyldig","skilddig","skyldig","sværdig","innocent","guilty"
"hændelse","flygdelse","ulykke","smerke","incident","accident"
"uvidenhed","trygdenhed","arrogance","arrogankomst","ignorance","arrogance"
"væg","eføg","hegn","hebi","wall","fence"
"vægt","væna","højde","dagde","weight","height"
"vælge","krege","udpege","udsprande","choose","select"
"værdi","fandi","pris","abis","value","price"
"værdifuld","værdiblem","vigtig","kultig","valuable","important"
"værelse","væklasse","soveværelse","jurisværelse","room","bedroom"
"værksted","uloksted","garage","frumrage","workshop","garage"
"værktøj","skritøj","instrument","infragment","tool","instrument"
"flydende","stæger","væske","vylmer","liquid","fluid"
"vagina","støvina","penis","pemel","vagina","penis"
"vagt","vale","patrulje","paladsje","guard","patrol"
"valg","vaka","mulighed","muskelhed","choice","option"
"varm","murm","kølig","nalig","warm","cool"
"varme","nedme","temperatur","kirurperatur","heat","temperature"
"tilfældigvis","tilfældistand","bevidst","bæstient","accidentally","intentionally"
"vej","jef","motorvej","motorsek","road","highway"
"velgørenhed","landsgørenhed","donation","donaskab","charity","donation"
"velsmagende","slægtmagende","lækker","flideker","tasty","delicious"
"vene","skilk","pulsåre","pulsøge","vein","artery"
"vente","prote","forvente","bebutte","wait","expect"
"ventil","venper","ventilation","ventilakomst","valve","ventilation"
"vidne","busne","vidnesbyrd","vidnesvisk","witness","testimony"
"vidunderlig","vidunderkomst","fantastisk","fantadring","wonderful","fantastic"
"vin","bærn","champagne","uansvarne","wine","champagne"
"vind","lard","storm","kaorm","wind","storm"
"vindue","vinsin","dør","byrs","window","door"
"virkelighed","fængskelighed","fantasi","stiltasi","reality","fantasy"
"virus","farus","infektion","infekment","virus","infection"
"vittig","fretig","sjov","sjipto","witty","funny"
"voksen","atosen","forælder","forælsion","adult","parent"
"vrede","bralde","raseri","rano","anger","rage"
"washington","foredhing","boston","bosert","washington","boston"
"vest","blut","øst","bæt","west","east"
"whisky","vimær","vodka","lonka","whiskey","vodka"
"ydmyg","ydfia","beskeden","behanden","humble","modest"
"yoga","jakga","massage","adresage","yoga","massage"
"zombie","somlem","vampyr","flapyr","zombie","vampire"
"zoo","snov","cirkus","cirpyr","zoo","circus"
