"ur_cue","ur_fake_cue","ur_target","ur_fake_target","en_cue","en_target"
"گرمی","ججمی","درجہ حرارت","ھرمہ ھراگت","heat","temperature"
"جھاڑی","فھاطی","درخت","ذرطص","bush","tree"
"مطالبہ","مطالنف","درخواست","درخودات","demand","request"
"مصیبت","مصثات","درد","ضرذ","suffering","pain"
"غلط","چلظ","صحیح","چحیچ","wrong","correct"
"کھڑکی","صڑگی","دروازہ","ذرگازھ","window","door"
"فائل","قارخ","دستاویز","دسنیویز","file","document"
"مہر","پہڑ","دستخط","مزتخط","stamp","signature"
"نومبر","دامبر","دسمبر","ذشنگز","november","december"
"حفاظت","حفجوت","دفاع","فکاع","protect","defend"
"ڈیسک","ڈیپل","دفتر","مشتر","desk","office"
"کھدائی","ولدائی","دفن","رقن","dig","bury"
"سنسنی خیز","شمشمی گیذ","دلچسپ","دلپوپ","exciting","interesting"
"پر کشش","پرھتشش","دلکش","دلفع","attractive","charming"
"خستہ حال","چستہ زال","دل سوز","تلشوذ","miserable","pathetic"
"دلہا","ذگہا","دلہن","ضلہن","groom","bride"
"دماغ","دمصل","ذھنی","ضگنی","brain","cerebral"
"بین اقوامی","شیج الاقمامی","دنیا","صقما","international","world"
"لوہا","ڈوطا","دھات","گیاٹ","iron","metal"
"زلزلہ","زلحلہ","دھماکہ","دھنیکہ","earthquake","explosion"
"بم","حف","دھماکہ خیز مواد","دھمافو خیز مواد","bomb","explosive"
"پھٹ","نگٹ","دھماکے","دھمارق","burst","explode"
"بادل","سادل","دھند","جھنج","cloud","fog"
"سازش","ساشد","دھوکہ","چوگچہ","conspiracy","fraud"
"راکھ","مگاکھ","دھول","نگول","ash","dust"
"زنگ آلود","قنگ آصوب","گرد آلود","برب آکوط","rusty","dusty"
"صدی","ددی","دہائی","بہاذی","century","decade"
"شراب","میاب","نشہ","ڈشہ","alcohol","drug"
"آدھی رات","آدھیئيات","دوپہر","ڈوھہر","midnight","noon"
"ہلکا پھلکا کھانا","کلکا جھلکا بلاما","دوپہر کا کھانا","دوڑیذ چا چھاقا","snack","lunch"
"قریب","حریش","دور","ذوص","near","far"
"ختم کرنا","جپم ھرما","ہٹانا","ہمانا","eliminate","remove"
"میراتھن","میرامچن","دوڑ","ڈوص","marathon","race"
"ساتھی","شاجھی","دوست","دومے","colleague","friend"
"شائستہ","شاکاتہ","دوستانہ","دوراانہ","polite","friendly"
"تعلق","صغلق","دوستی","دونٹی","relationship","friendship"
"خزانہ","حصانہ","دولت","جوجت","treasure","wealth"
"دیکھنا","ضیکھما","نگرانی کرنا","ذگڑاقی کرنا","look","watch"
"پیش کرنا","چیگ طرنا","دینا","حیصا","offer","give"
"مادہ","فآظہ","ذرہ","پضہ","matter","particle"
"سڑیس","ضڑیس","ڈیپریشن","حیپریہن","stress","depression"
"گرم","زیم","ابلنا","طنقا","warm","cool"
"پروڈیوسر","پروڈیوتس","ڈائریکٹر","ڈائجکجر","producer","director"
"لعنت","بڈنت","ڈائن","ڈانز","curse","witch"
"سرجن","سراس","ڈاکٹر","ڈانار","surgeon","doctor"
"پاؤنڈ","طا‎‏ئوڈ","ڈالر","ڈاطر","pound","dollar"
"غروب آفتاب","غروبكمفتاب","صبح","خبچ","sunset","dawn"
"تصویربنانا","حذہیرچہانا","کھینچنا","گھیحما","paint","draw"
"مسافر","مسئزر","ڈرائیور","ڈرائصار","passenger","driver"
"خوف پیدا کرنے والا","جووج جیجاجرطےوالا","سنسنی پیدا کرنے والا","جنجنی جیجاجرجےوالا","scary","creepy"
"چوری","تخری","ڈکیتی","یقیتی","theft","robbery"
"سیٹی کی آواز نکالنا","ظیبی گی آباخ بگالما","گھنٹی بجانا","جھنجھی ججانا","ping","ding"
"اکائی","ظظائی","تقسیم","خخقیم","unit","division"
"کمرہ","گکرہ","عرشہ","شرچہ","cabin","deck"
"راسته","راکره","پگڈنڈی","گگبنڈی","route","path"
"بخشش","حخشس","رحم","خخم","forgiveness","mercy"
"ردی","صطی","کوڑا کرکٹ","ڈصد گی گوطری","trash","garbage"
"دودھ","دووب","رس","تق","milk","juice"
"زنجیر","جنچیر","رسی","جطی","chain","rope"
"رضاکار","ظصاگار","رضاکارانہ","ظصاگاگانہ","volunteer","voluntarily"
"فاصلہ","ساصکہ","رفتار","رفنگر","distance","speed"
"رقاصہ","رقتھہ","رقص","کپص","dancer","dance"
"میزان","جیجان","رقم","ڑضم","sum","amount"
"داخل کرنا","یاخل جربا","رکھنا","کھکنا","insert","put"
"قیام کرنا","فباک کصا","رہنا","ہہبا","stay","remain"
"رکن","اؤن","رہنما","رہوبا","member","leader"
"پکڑنا","ججڑطا","رکھنا","گھگما","hold","keep"
"آمد","نسد","روانگی","یمانگی","arrival","departure"
"جدید","ڈڈیب","روایتی","رواینگ","modern","traditional"
"چوری کرنا","صوڈی ورسا","لوٹنا","طوقجا","steal","rob"
"آتما","چاجما","روح","خوح","soul","spirit"
"چمکدار","بمگحاد","روشن","ڈیشن","shine","bright"
"اندھیرا","انکیوا","روشنی","روچذی","darkness","light"
"سیزر","ضیضر","روم","ڈطم","caesar","rome"
"کپڑا","ببڑا","رومال","ذوطال","cloth","handkerchief"
"ڈرامائی","ڈرامرتی","رومانوی","جیبانبی","dramatic","romantic"
"رائے","قائے","رویہ","روپو","opinion","attitude"
"اگلا","صگلا","پچھلا","گخھلا","front","rear"
"طبیعیات","طبگڑیات","ریاضی","ریرچی","physics","mathematics"
"مٹی","چطی","ریت","گپپ","mud","sand"
"پب","جیسجوراں","ریستوراں","حچ","pub","restaurant"
"ریکارڈ","ریکالو","ریکارڈنگ","ریکاوننگ","record","recording"
"جنریٹر","جنریکو","ری ایکٹر","ڈی ڈیطٹر","generator","reactor"
"بہترین","ڈوترین","زبردست","آلردست","excellent","great"
"زندہ رہنا","ضنگہ طہنا","بچ جانا","خخ چانا","live","survive"
"مریخ","مررش","زھرہ","چچرہ","mars","venus"
"رقبہ","رقلم","علاقہ","ضلاشہ","area","zone"
"کم سے کم","کمبلے کم","زیادہ سے زیادہ","طیاپہ چے طجاپہ","minimum","maximum"
"ٹیکنالوجی","صیکجالوپی","سائنس","ساپلس","technology","science"
"عقلمند","تکلمند","سائنسدان","سائنیبان","genius","scientist"
"ہمراہ ہونا","تغراہ دوما","ساتھ ہونا","جاجھ جوما","escort","accompany"
"ساحل","طادل","کنارہ","صناطہ","beach","coast"
"مخروطی","مضطوضی","ساخت","شاخپ","pyramid","structure"
"سادگی سے","ٹاڈکی حے","سادہ","ساڈھ","simply","simple"
"سالانہ تقریب","شؤاظہ ججبیص","سالگرہ","ظامگرہ","anniversary","birthday"
"ننجا","سہجا","سیمورائے","شاکوڑادے","ninja","samurai"
"مجمع","ججصع","سامعین","ساکمین","crowd","audience"
"کیڑا","صیڑا","سانپ","ساكہ","worm","snake"
"جاسوسی","جاسونا","تخریب کاری","تصریگ ماڈی","espionage","sabotage"
"لازانیہ","لاصہنا","سپیگیٹی","شکتیٹی","lasagna","spaghetti"
"شوٹر","شورچ","سنائپر","شپائتر","shooter","sniper"
"مشہور شخصیت","ھشہوڑشحطیپ","باکمال آدمی","ظاضماگ آدگی","celebrity","star"
"بازرکھنا","پاج رگھنا","روکنا","جوجقا","prevent","stop"
"سڑک","صڈپ","گلی","ضگی","avenue","street"
"اوون","خوچن","چولہا","ڈصوبا","oven","stove"
"دوکان","قضکان","سٹور","شپوڑ","shop","store"
"پلیٹ فارم","پلیٹدسارم","سٹیشن","پشیشن","platform","station"
"کنکریٹ","میکریٹ","سٹیل","شگیل","concrete","steel"
"مضبوط","دضپوظ","سخت","عضپ","tough","hard"
"آپریشن","پپشیشن","سرجری","چرحری","operate","surgery"
"گرم","زیم","ٹھنڈا","طنپا","hot","cold"
"سرکاری طور پر","سرگاطی پوتپر","سرکاری","شڑگاضی","officially","official"
"چڑیا گھر","خڑپاعیھر","سرکس","مٹکس","zoo","circus"
"چست","جیال","چستی سے","لاگرمی","active","activity"
"سیاسی افراتفری","شپاشی لطرتگری","سرمایہ داری","سرمایہپچاری","anarchy","capitalism"
"مالی معاملات","خاپی ضفاقلاپ","سرمایہ لگانا","فرطاڈہ گگابہ","finance","invest"
"بینکر","بیغیر","سرمایہ کار","شرکاطہ گار","banker","investor"
"سوئی","ظوئی","سرنج","ڈینج","needle","syringe"
"پل","عل","سرنگ","ذرنک","bridge","tunnel"
"مہنگا","ٹینگا","سستا","سسپن","expensive","cheap"
"پرت","ذرٹ","سطح","ضیح","layer","surface"
"گودنےکا نشان","ذوڈمے گا صشام","زخم کا نشان","ججم گا صشام","tattoo","scar"
"سیکھنا","جیکھنا","سیکھانا","جیکھانا","learn","teach"
"سگریٹ نوشی","صگرپٹ ٹوشی","سگار","صظاذ","smoke","cigar"
"تمباکو","تمبالک","سگریٹ","سگوںٹ","tobacco","cigarette"
"فریکوئنسی","صڑیگگینسی","سگنل","ککنل","frequency","signal"
"مبارک دینا","ففارگ ڈیبا","سلام کرنا","فلاب طرما","congratulate","greet"
"پشت درپشت حکومت","ششت ذڑششت ظظوکت","سلطنت","سلموت","dynasty","empire"
"گولڈن","صولبن","سلور","ہپور","golden","silver"
"احساس کرنا","اککاش مگنا","سمجھنا","بمجھما","realize","understand"
"سمندر","کاندر","ساگر","ڈاخر","sea","ocean"
"سنو","خنو","سننا","خننا","listen","hear"
"علامت مرض","شلامپ ظرظ","مجموعی علامات مرض","ججموجی شلاشات صرظ","symptom","syndrome"
"ٹوائلٹ","ججائلپ","سنک","ظمک","toilet","sink"
"معصوم","ھشہوم","منہ پھٹ","جنہ خٹ","naive","cynical"
"نصف","ضضف","چوتھائی","ضوچھائی","half","quarter"
"ہزار","بھڈاڑ","سو","مف","thousand","hundred"
"چلانا","خخانا","سواری کرنا","ششاڈی ڑڑنا","drive","ride"
"بریف کیس","بڑیگ گیش","سوٹ کیس","ضوپ گیش","briefcase","suitcase"
"غور کرنا","ظوڑگرفا","سوچنا","چوگما","consider","think"
"لیموں پانی","گیگوچانی","سوڈا","شوظا","lemonade","soda"
"گائے","قائے","سور","ڑسر","cow","pig"
"دراڑ","قڑاز","سوراخ","بوڑاڑ","crack","hole"
"چاند","فابج","سورج","خناض","moon","sun"
"صحافت","ففافک","سیاست","ٹیاٹٹ","journalism","politics"
"پالیسی","پالیون","سیاستدان","سیاسمہان","policy","politician"
"بحرانی","عشنانی","سیاسی","شیاغی","critical","political"
"مائع","ڈائغ","سیال","نتال","liquid","fluid"
"رڈار","ڈضار","سیٹلائٹ","سیدھائٹ","radar","satellite"
"ہارن","غارن","سیٹی","ظیپی","horn","whistle"
"لنگر","نسگر","بادبان","فاگقان","anchor","sail"
"میل","ثشل","سینٹی میٹر","چینپی ذیٹر","mile","centimeter"
"پارلیمان","پاٹریمان","سینیٹ","مونیٹ","parliament","senate"
"گورنر","گوئٹر","سینیٹر","جیقیٹر","governor","senator"
"معدہ","صھدہ","چھاتی","ڑافی","stomach","chest"
"منگنی","گنکمی","شادی","شاپو","engagement","wedding"
"طلاق","ڈلاق","شادی","شاپو","divorce","marriage"
"کنوارہ","غنواگہ","شادی شدہ","شادیمہدہ","single","married"
"رات","اعت","شام","زیم","night","evening"
"ہیجان خیز","ھیخام بیڈ","شاندار","درندار","sensational","spectacular"
"شاید","قاپز","غالبا","خالگم","maybe","probably"
"کبھی کبھار","گکھی گکھار","شاذونادر","چاگڈوجاضر","occasionally","rarely"
"کردار","ضرگاڑ","شخصیت","ضیصیت","character","personality"
"آگ","آخ","شعلہ","مفلہ","fire","flame"
"شفا پانا","گگآ خاما","صحت یاب ہونا","ظقپ ٹاپ لونا","recover","heal"
"صبر","ضظر","دردمندی","ضردفندی","patience","compassion"
"شکار","صدار","شکاری","سہاری","prey","predator"
"شک کرنا","خدغرما","مشتبہ","قجطکہ","doubt","suspect"
"تواضع","بواشع","تشکر","شگکر","hospitality","gratitude"
"شکر گزار","شکر بخار","شکریہ","سےریہ","grateful","thank"
"فتح","آفح","شکست","ریست","victory","defeat"
"نواب","غماگ","نواب کی بیوی","غماگ فی قیکی","baron","countess"
"جنوب","خپوپ","شمال","ججاص","south","north"
"قمری","چچڈی","شمسی","مشسی","lunar","solar"
"دارالحکومت","ڈاکلمکوقت","شہر","غغر","capital","city"
"کیرئیر","فیرئگر","ساکھ","غاگھ","career","reputation"
"شاہانہ","صاصامہ","شہنشاہ","غیشن گاہ","imperial","emperor"
"کیلنڈر","کیداڈر","شیڈول","شیخیل","calendar","schedule"
"ڈریگن","ڈرشون","شیر","غیژ","dragon","lion"
"فرشتہ","ففشگہ","شیطان","طیظام","angel","devil"
"کک","گص","شیف","قجج","cook","chef"
"وائن","ضائن","شیمپین","خیمشین","wine","champagne"
"کل","ڑل","صبح","ضگح","tomorrow","morning"
"رپورٹر","ذٹوڑپڑ","صحافی","چچاقی","reporter","journalist"
"وزیراعظم","زبیڑآصمم","صدر","ظقد","chancellor","president"
"صلاحیت","صلاحتر","قابلیت","وداحیت","capacity","ability"
"ضروری","جگ قوکی","ضرورت","ججوزک","necessary","need"
"برطانوی ضلع","بڑقاقوی حلع","ضلع","عظع","county","district"
"مایوس","ساگوق","بے بس","پے پط","helpless","powerless"
"عمل","نڈل","طریقہ کار","طریقڈنکار","process","procedure"
"ہوا","چشا","طوفان","تشفان","wind","storm"
"طوفانی آندھی","کوگاکی آنڈبی","بگولہ","گموپہ","hurricane","tornado"
"مختصر","مخافر","طویل","اخیل","short","long"
"بے رحم","پے ڈگم","ظالم","ٹاگم","brutal","cruel"
"برائی","گضائي","ظلم","ٹگم","evil","cruelty"
"صاف طورپر","ضاق دوڈ پر","واضح طور پر","ذاگح شوذ کڑ","clearly","obviously"
"قدرتی طور پر","ربزفی ضوڑگر","عام طور پر","گاک ضوذگر","naturally","generally"
"حسب معمول","صسگ وعگول","عام طور پر","پاف فوگ گر","normally","usually"
"انوکھا","آموگھا","عجیب","مڈیب","unusual","strange"
"بذلہ سنج","پپلہ شنک","شوخ","ظوش","witty","funny"
"موجودگی","موجونشی","عدم موجودگی","عدم موجوردی","presence","absence"
"استحقاق","اساتقاق","وقار","ققاط","privilege","honor"
"جرات","کنات","عزم","ئیم","courage","determination"
"اندام نہانی","دنندام گہاکی","عضو تناسل","غظوشیاشل","vagina","penis"
"خیرات","چیڑات","عطیہ","سطیہ","charity","donation"
"نمک حلالی","کمگ پلالی","وفاداری","زقاڑاری","fidelity","devotion"
"معالجہ","جعالبہ","علاج","مکاج","therapy","treatment"
"فرضی داستان","لفہ","دیومالا","مکامات","myth","legend"
"پرچم","چرجم","علامت","مکامت","flag","symbol"
"تجربہ","تجہیہ","علم","مکم","experience","knowledge"
"مینار","سبور","عمارت","یدارت","tower","building"
"لٹکا دینا","کٹگا جینا","پھانسی دینا","صانفی ڈیما","hanging","execution"
"حقیقی معنی میں","خفیقی ضعنی صیں","عملی طور پر","عملی طورآجر","literally","practically"
"تندرست","فنڈرگت","نارمل","جارجل","healthy","normal"
"سبب","ششب","عنصر","خنذر","factor","element"
"نام","یئم","لقب","ٹقپ","name","title"
"بیوہ","ھیوہ","عورت","پوعت","widow","woman"
"مرد","یند","عورت","بارت","male","female"
"کیتھولک","کیاپولک","عیسائی","اچسائی","catholic","christian"
"جاسوس","جالیس","غدار","نتار","spy","traitor"
"غصہ","سسہ","طیش","ذیظ","anger","rage"
"جعلی","یتلی","غلط","آزط","fake","FALSE"
"غلطی","آزطی","خطاء","پطاء","error","mistake"
"غیر معقول","غیر معنگل","غیر ذمہ دار","غیداذمہ دار","unreasonable","irresponsible"
"اچانک","صوانک","غیر متوقع طور پر","ڈیزمقوطع ضورضر","suddenly","unexpectedly"
"فوق الفطرت","گوق الگطرپ","پراسرار","گڑسراگ","supernatural","paranormal"
"اڑن طشتری","ڑڑن ضشتری","خلائی مخلوق","حلاجی مگلوق","ufo","alien"
"نا انصافی","کا انضاقی","ناجائز","جاجائگ","injustice","unfair"
"ہارا ہوا","ہاراأموا","فاتح","فالی","loser","winner"
"باسکٹ بال","باسکقیبال","فٹ بال","فٹزپال","basketball","football"
"بھاگ جانا","گھاپ خانا","فرارہونا","ڑرارگونا","flee","escape"
"انگریزی","انگرکسی","فرانسیسی","نوانسیسی","english","french"
"قابل بنانا","جاجل جناجا","مہیا کرنا","جہیا طرقا","enable","provide"
"ذمہ داری","یغہ داری","فرض","جڈض","responsibility","duty"
"خریدنا","چڈیدگا","بیچنا","خیچما","buy","sell"
"نیلامی","نیشنمی","فروخت","چڑوقت","auction","sale"
"تشویش","لمویش","فکر","ضڈر","concern","worry"
"فحش","گگش فلط","فلم","ذڈگ","porn","movie"
"مالی طور پر","یالی صوڈ پر","سرمایہ کاری","چرجایہ گازی","financially","financing"
"بجٹ","سرٹ","رقم کی فراھمی","زطم کی گراپگی","budget","funding"
"کام سے متعلق","گام گے ضعلگ","فعلی","ذشلی","operational","functional"
"ڈی این اے","ڈیاؤین اے","فنگر پرنٹ","فنگرسکرنٹ","dna","fingerprint"
"آٹوگراف","ڈ ٹوگڈاق","فوٹوگرافر","قوقوگڑاقر","autograph","photographer"
"شہری","غہڑی","فوج","خوچ","civil","military"
"طاقت","ذاگپ","زور","پوظ","strength","force"
"چمچ","دکچ","کانٹا","نانٹا","spoon","fork"
"نوآبادی","ٹوآپاڈی","وفاق","گقاق","colony","federation"
"جشن","خشن","تہوار","ٹہطار","carnival","festival"
"میل","نٹل","فیکس","زاکس","mail","fax"
"مستحق","مسسیق","قابل","قارگ","deserve","worthy"
"غیر معمولی","غیانمعمولی","قابل ذکر","قابلودکر","exceptional","remarkable"
"وضاحت","عساحت","بظاہرمعقول","بطاگرکعقول","explanation","plausible"
"نالائقی","پاگائیغی","لاچار","ضاحار","inability","unable"
"مارنے والا","فارقے گالا","قاتل","یاٹک","killer","murderer"
"فرش","ششش","قالین","بھلین","floor","carpet"
"غیر قانونی","غیولقانونی","قانونی","قاچینی","illegal","legal"
"قبر","ڈلر","قبرستان","بورستان","grave","cemetery"
"انکار کرنا","انتہرجرنا","قبول کرنا","ولول صرقا","refuse","accept"
"زہردینا","ضہرذیسا","قتل کرنا","فتل فرقا","poison","kill"
"خودکشی","جوڈگسی","قتل","ددل","suicide","murder"
"ادھار","ددہار","قرض","ویض","credit","loan"
"سلسلہ","شلکلہ","قسط","صیط","series","episode"
"قسمت","وڈمت","مقدر","مخدڑ","fate","destiny"
"محل","غپل","قلعہ","چلفہ","palace","castle"
"کاغذ","گاشڈ","قلم","اکم","paper","pen"
"جرمانہ","جررینہ","قید","ظیپ","penalty","imprisonment"
"یرغمال","یرشلال","قیدی","اصدی","hostage","prisoner"
"قدر","ڑثر","قیمت","وتمت","value","price"
"اصل","آظل","نقل","ثٹپ","original","copy"
"کمپنی","کمزلی","کارپوریشن","کانٹوریشن","company","corporation"
"مافیا","ماربا","کارٹیل","کابسیل","mafia","cartel"
"بشپ","ذ شڑ","کارڈنل","کارڈفت","bishop","cardinal"
"نمائش","ڑمائگ","کارکردگی","گازگرڈکی","show","performance"
"کسان","ششان","کارکن","کانتن","farmer","worker"
"مال اسباب","جال اشپاگ","جہازکا سامان","جہاخ کا شاگان","load","cargo"
"ارب پتی","گرگ گتی","کاروبار کرنے والا","مگچاڑگاڑغالا","millionaire","entrepreneur"
"کافی مقدارمیں","لاطی مددادمیں","حسب ضرورت","خبپ طروظت","enough","sufficient"
"کپ","غپ","کافی","پاقی","cup","coffee"
"نوکری","توگکی","کام","چام","job","work"
"مثالی","ظپالی","کامل","کارگ","ideal","perfect"
"انتظام کرنا","انہیام ثروا","کامیاب ہونا","کارلاب کوصا","manage","succeed"
"آنکھ","ڑکگھ","کان","گٹن","eye","ear"
"کبھی نہیں","کبھیئمہیں","ہمیشہ","ڈمیشہ","never","ever"
"ریشمی","ڑیشگی","سوتی","غوکی","silk","cotton"
"کمانڈر","کمانشا","کپتان","نجتان","commander","captain"
"بائبل","باکرل","کتاب","گحاب","bible","book"
"پھاڑنا","ھھاڑما","کاٹنا","طاظنا","tear","cut"
"کچھ نہیں","کچپانہیں","کچھ","بشھ","nothing","something"
"گھونگا","کصونگا","کچھوا","گکھوا","snail","turtle"
"کرایہ پر لینا","زکایہ خڑزیما","کرایہ پردینا","زگایہ حڑ ڈیما","hire","rent"
"میز","ضیز","کرسی","ئنسی","table","chair"
"جنرل","جنجہ","کرنل","مانل","general","colonel"
"رشتہ دار","رشتہإشار","کزن","چسن","relative","cousin"
"آبدوز","آگدوپ","کشتی","ظپشی","submarine","boat"
"آج","عل","کل","آط","today","yesterday"
"مریض","گزیض","گاہک","ھاگک","patient","client"
"عمومی درجے کا","صصوغی ڈربے گا","اعلی ترین درجے کا","گعلابریم ڈرسے گا","typical","classic"
"ہسپتال","ششپحال","کلینک","کلامک","hospital","clinic"
"اضافہ","رپافہ","کمی","طگی","increase","reduce"
"سافٹ ویئر","سائک ویئر","کمپیوٹر","کمپیامر","software","computer"
"مضبوط","پضگوط","کمزور","گگزوز","strong","weak"
"انسپکٹر","انسپلار","کمشنر","گصشمر","inspector","commissioner"
"نسل پرست","نسیٹپرست","اشتراکیت پسند","آطتراگیپ گسنڈ","racist","communist"
"کمیشن","آریشن","کمیٹی","کمنگی","commission","committee"
"تفریحی دورہ","پفریگی پورہ","کنسرٹ","کننگٹ","tour","concert"
"رابطہ","ظاپضہ","تعلق","چشلگ","contact","connection"
"یتیم خانہ","گسیم گانہ","خانقاہ","گانگاہ","orphanage","convent"
"عرفیت","غرطیپ","کنیت","گپیط","nickname","surname"
"کھلانا","طھلانا","کھانا","نھاما","feed","eat"
"خوراک","چوگاک","کھانا","گگانا","food","meal"
"گڑیا","یعیا","کھلونا","مھزونا","doll","toy"
"ہڈی","غذی","کھوپڑی","کھچوڑی","bone","skull"
"شوق","ڈوظ","کھیل","سویل","hobby","sport"
"کھیل","گلیذ","تفریح","خخریخ","play","game"
"کائنات","کاسیات","کہکشاں","کہجماں","universe","galaxy"
"کسی اورجگہ","گگی اورگگہ","کہیں نہ کہیں","گہین گہ گہین","elsewhere","somewhere"
"کوشش کرنا","گوگس گرزا","سعی کرنا","غعی لرنا","try","attempt"
"تعریف کرنا","بشریف طرنا","داد دینا","ڈاڈ خینا","admire","appreciate"
"بنانا","ففانا","کرنا","شڑطا","make","do"
"عینک","غیغگ","ٹوپی","ٹوخی","glasses","cap"
"کتا","تحا","بلی","ڑلی","dog","cat"
"مکڑا","ظکڑا","کیڑا","گیزا","spider","insect"
"میٹھا","میپھا","کیک","وٹک","dessert","cake"
"پکنک","لسنک","کیمپنگ","کیؤلنگ","picnic","camping"
"ٹیومر","لثومر","کینسر","کیگشر","tumor","cancer"
"سبز","ٹلز","نارنجی","قاجنجی","green","orange"
"باہر","باؤں","کے بارے میں","کےوڈارے میں","out","about"
"کیمپ","کیؤن","گاؤں","گیوذ","camp","village"
"سواری","شواڑی","کار","گارک","vehicle","car"
"ہونٹ","زانٹ","گال","نڈل","lip","cheek"
"پیانو","ناانو","گٹار","رپار","piano","guitar"
"کلو","رمو","گرام","پوام","kilo","gram"
"آسمانی بجلی","آگشادی ججلی","گرج چمک","گذچ خمگ","lightning","thunder"
"حلق","خدق","گردن","گرنت","throat","neck"
"سزا","تذا","گرفتاری","گرکماری","punish","arrest"
"گرنا","خڑنا","ڈھیرہوجانا","ڈہیزدصوباما","fall","collapse"
"گینگ","مہنگ","گروپ","کضوہ","gang","group"
"ڈپلومہ","ڈپلوتی","گریجویٹ","گرمرویٹ","diploma","graduate"
"حفاظت کرنا","خہاپپ کربا","گشت کرنا","گگت لرنا","guard","patrol"
"قومی","بسمی","بین الاقوامی","پیشلاقوانی","national","global"
"کونہ","طوھہ","تنگ گلی","خنگ خلی","corner","alley"
"چومنا","بوچنا","گلے لگانا","گگے ڑگاما","kiss","hug"
"موت","اقت","گمشد گی","حیغدکی","death","disappearance"
"رائفل","راجگل","بند وق","ننگوگ","rifle","gun"
"ناگوار","ذاکوار","غلیظ","شلیش","nasty","filthy"
"کندھے","کنسلے","گھٹنے","گھغنے","shoulder","knee"
"موڑنا","ظوڈنا","گھوما نا","خھوناصا","turn","rotate"
"قطرہ","ظصرہ","گھونٹ","گھئیٹ","drop","sip"
"گواہ","غواھ","گواہی","شواھی","witness","testimony"
"بندر","بنہی","گوریلا","گوریشم","monkey","gorilla"
"سور کا گوشت","سوتشکا گوشت","گوشت","گوغت","pork","meat"
"بندوق کی نالی کا قطر","صلاحتر","گولی","گورن","caliber","bullet"
"ٹیبلٹ","ٹیکھٹ","دوا کی گولی","ڈوا کی دوغی","tablet","pill"
"نشانہ لگانا","ططانا صگاما","گولی مارنا","چوشی ماغنا","shot","shoot"
"شا ندار دروازہ","غامداڑ ڈرڈارہ","دروازہ","ڈرڈابہ","portal","gate"
"ورکشاپ","وردااپ","گیراج","گیلوج","workshop","garage"
"خشک","لغک","گیلا","خیلا","dry","wet"
"بام مچھلی","ٹام ٹجھلی","جھینگا مچھلی","گینگھا ٹجکی","tuna","lobster"
"جسم","خچم","لاش","رنش","body","corpse"
"چابی","چائن","تالہ","غاجہ","key","lock"
"لہنگا","کہنکا","پوشاک","جوشاگ","skirt","dress"
"لڑائی","طڑائی","جھڑپ","خھڑک","combat","fight"
"چیمپئن شپ","چیمپئنکلپ","لڑاکا","لڑوما","champion","fighter"
"بہادر","بگاڈر","جنگجو","ننگبو","girl","boy"
"لڑکے","طرشے","لڑکیاں","فیکیاں","boys","girls"
"پڑھنا","پڑبیا","لکھنا","لکبیا","reading","writing"
"پڑھیں","صاھیں","لکھیں","لکوؤں","read","write"
"ناپ","ڈاط","لمبائی","تشبائی","size","length"
"آبادی","تحادی","لوگ","ئنگ","population","people"
"اکیلا","گگیلا","تنہا","خنپا","alone","lonely"
"طنز","شنڑ","طنزیہ","شنڑیہ","irony","ironic"
"جھوٹ","جھکل","جھوٹا","گوھف","lie","liar"
"مالک","گاگک","مالکن","گاگکن","lord","lady"
"سازوسامان","چازوچاگان","سازوسامان مہیا کرنا","چازوچاگام مگیا کرٹا","equipment","equip"
"سارجنٹ","سارجاء","لیفٹیننٹ","سافٹیننٹ","sergeant","lieutenant"
"سیمینار","مومینار","لیکچر","لیلڈر","seminar","lecture"
"ٹیکسی","ٹیاوی","لیموزین کار","گیمگوڑین گار","taxi","limousine"
"مفید","حوید","مؤثر","چوئٹر","useful","effective"
"پہاڑی","پہرٹی","پہاڑ","طہاڑ","hill","mountain"
"کیمرا","کییپرا","مائیکروفون","مائیکرالون","camera","microphone"
"ماحول","ماچول","فضا","ظضا","environment","atmosphere"
"اشتہارات","اشکمارات","مارکیٹنگ","ماگریٹنگ","advertising","marketing"
"مستقبل","انتقبل","ماضی","مامز","future","past"
"جائیداد","جاشہداد","مالک","ماڈو","property","owner"
"کرایہ دار","کرایڪندار","مالک مکان","جالق قجان","tenant","landlord"
"بینکاری","ھینکاڑی","مالیاتی","ضالجاجی","banking","financial"
"سکرین","دورین","مانیٹر","مانیسی","screen","monitor"
"باپ","زاپ","ماں","وؤں","daddy","mum"
"مشاق","کشاق","ماہر","ماوت","expert","specialist"
"شکار","صدار","ماہی گیری","ماہیآہیری","hunting","fishing"
"تعجب","جغغب","مایوسی","ماتسسی","surprise","disappointment"
"ذاتی","خاپی","قلبی","ظلضی","personal","intimate"
"کم اندازہ لگانا","جم انڈاجہ کگانا","بڑھاچڑھا کے بتانا","ظٹرھا پرجا کےججانا","underestimate","exaggerate"
"چاپلوسی کرنا","چاپلذشی طریا","متاثر کرنا","متاثتیکرنا","flatter","impress"
"تبدیل کرنا","خگدید ھرکا","متبادل","سسبابل","replace","substitute"
"ارتقاء","آڑققا","میوٹیشن","جیوپیشن","evolution","mutation"
"اسہال","اضہاپ","متلی","جچقی","diarrhea","nausea"
"دائرہ","دالنہ","مثلث","مثجى","circle","triangle"
