"hi_cue","hi_fake_cue","hi_target","hi_fake_target","en_cue","en_target"
"दक्षिण","धकत्व","वेस्टर्न","वेस्थिति","southern","western"
"दंड","भगड","कैद होना","कैन करना","penalty","imprisonment"
"करुणा","वेर्छा","उदार","सकार","compassionate","generous"
"दरार","सवार","छेद","भुद","crack","hole"
"आओ","धु","जाओ","सुओ","enter","go"
"दर्शन","दरंडर","धर्म","खड्म","philosophy","religion"
"दस लाख","दसेलना","एक अरब","एक न्ल्","million","billion"
"दस्त","कक्त","जी मिचलाना","जि गिबना","diarrhea","nausea"
"दाई","पिई","नौकरानी","पोख्ररी","nanny","maid"
"दादा","दाढ़","दादी मा","दादीयला","grandfather","grandmother"
"दान पुण्य","दान पकड़ना","दान","बेन","charity","donation"
"दालचीनी","दागरानी","वनीला","क़ेथला","cinnamon","vanilla"
"दास","वेस","नौकर","आंकर","slave","servant"
"दिमाग","यामाग","सेरिब्रल","सेरनकारी","brain","cerebral"
"दिशा सूचक यंत्र","दिशा सका सत्त्व","नक्शा","नकंघा","compass","map"
"दीपक","सैपक","मोमबत्ती","मोमयंत्र","lamp","candle"
"दीवार","नसवार","बाड़","घोड़","wall","fence"
"मिल","पतकान","दुकान","उपकान","shop","store"
"दीन","ककन","दयनीय","दय्शक","miserable","pathetic"
"दुखी","दुएक","दुखद","दुमा","sad","tragic"
"बदकिस्मत","दुरिज्ञान","दुर्भाग्य","दुरिज्ञान","unfortunate","misfortune"
"दुश्मन","दु्यमी","प्रतिद्वंद्वी","प्रतिचिकित्सा","enemy","opponent"
"दूत","जनत","मंत्री","वृत्री","ambassador","minister"
"दूतावास","दूावादी","मंत्रालय","मंतवर्ची","embassy","ministry"
"दूध","बंध","रस","धू","milk","juice"
"दूरबीन","दूरनेट","माइक्रोस्कोप","मैक्स्दू","telescope","microscope"
"दूरी","दूता","गति","टी","distance","speed"
"दूल्हा","गोल्हा","दुल्हन","दुवाहे","groom","bride"
"दूषण","दूजी","विकिरण","विकायत","contamination","radiation"
"सेकंड","वल्कुन्द","मिनट","मिठक","second","minute"
"फर्म","एम्म","एजेंसी","वसेंसी","firm","agency"
"मजबूती से","दृराये का","दृढ़ता से","दृा डालना","firmly","strongly"
"दृश्य","कीश्य","परिप्रेक्ष्य","परिप्रांसीसी","view","perspective"
"देखना","गुखना","निगरानी","निनकारी","look","watch"
"देखो","देपक","मिलना","ज़लना","see","meet"
"देर","गैर","शीघ्र","चलघ्र","late","early"
"देवदूत","देुद्र","शैतान","बढतान","angel","devil"
"देश","अतश","राष्ट्र","राोर्टर","country","nation"
"दो","जन","चार","बेर","two","four"
"दोहरा","पुहरा","तिहरा","वजहरा","double","triple"
"दौड़ना","बलड़ना","टहलना","टह्षण","run","walk"
"द्वार","वजवार","दरवाजा","दरवर्ग","portal","gate"
"धकेलना","धकदाता","खींचना","फूंचना","push","pull"
"नाड़ी","नांक","दबाव","बराव","pulse","pressure"
"धार्मिक संस्कार","धार्मिध व्यक्ति","समारोह","समांडर","ritual","ceremony"
"धीरे","चलरे","तेज़","तेेन","slow","fast"
"धीरे से","फैरे से","जल्दी जल्दी","फ़ल्दी मर्ना","slowly","quickly"
"धुआं","शकआं","सिगार","सिंकर","smoke","cigar"
"धैर्य","ऑकर्य","करुणा","सणा","patience","compassion"
"ध्यान","कषयान","आकर्षित","आकररकार","attention","attract"
"व्यर्थ","व्र्बन","बेकार","दुकार","useless","worthless"
"नकद","क़ेद","धन","युञ","cash","money"
"नग्न","नंंच","नंगा","पीगा","nude","naked"
"नतीजा","चढीजा","परिणाम","परद्कर","result","outcome"
"नदी","ही","झील","गधल","river","lake"
"नमस्ते","नम्तकी","अलविदा","अलिणाम","hello","bye"
"नमूना","मैना","प्रोटोटाइप","प्ररोफ़ाइल","model","prototype"
"नर","गू","नारी","क्री","male","female"
"नर्तकी","नरलहरी","नृत्य","लजत्य","dancer","dance"
"नवंबर","नवनीक","दिसंबर","दियूमर","november","december"
"नवल","पथल","बेड़ा","मोड़ा","naval","fleet"
"नस","घु","मांसपेशी","मास्टिक","nerve","muscle"
"नस","क़ु","धमनी","उंनी","vein","artery"
"नाखून","नाओवन","दांत","दाठा","nail","tooth"
"नागरिक","नावर्ड","सैन्य","न्न्य","civil","military"
"विकट","विम","राजनीतिक","रज्बुन्त्रा","critical","political"
"नाज़ुक","नाज़्य","संवेदनशील","संवेमिनार","delicate","sensitive"
"नाटक","नाबी","कॉमेडी","बटमेडी","drama","comedy"
"नाटकीय","ना्तकी","रोमांच","रोइनंच","dramatic","romantic"
"नाम","यसम","शीर्षक","शीराथन","name","title"
"नायक","नाां","रक्षक","रकनवर","hero","savior"
"अल्पाहार","अल्रिमास","दोपहर का भोजन","दोपहर उन्नति","snack","lunch"
"निगलना","निलेख","चबाने","क़ाने","swallow","chew"
"निंजा","निज़ा","समुराई","समपमान","ninja","samurai"
"निजी","निटा","गोपनीयता","पोसि तरह","private","privacy"
"नितंब","निसेब","बट","ओज","ass","butt"
"नियंत्रण","नियार्थी","हेरफेर करना","हेरफेादिष्ट","control","manipulate"
"नियम","निप","मसविदा बनाना","मसविदरोफ़ाइल","rule","protocol"
"निरीक्षक","निरिभाषा","आयुक्त","आयुनिक","inspector","commissioner"
"निर्माण","पसेक्शा","विनाश","आईनाश","creation","destruction"
"बनावट","वेक्शा","निर्माण","निरेरणा","construction","build"
"निर्माता","नि्यशाला","निर्देशक","निरलिनिक","producer","director"
"निषिद्ध","निहित्य","निषेध","निनिध","forbidden","prohibit"
"निष्कर्ष","निषकृष्ट","कल्पना","कलर्शन","conclusion","assumption"
"निष्ठा","निष्ंद","ईमानदारी","ईमापघेटी","loyalty","honesty"
"निष्ठावान","निष्यवादी","वफादार","वफ्पाद","loyal","faithful"
"निष्पक्ष","निषरिकोण","तर्कसंगत","तर्कमिनार","fair","reasonable"
"नीचे","नीरस","ऊपर","पकर","down","up"
"नीति","खाति","राजनीतिज्ञ","राजन्यास्त","policy","politician"
"नींबु पानी","नी का खाना","सोडा","त्डा","lemonade","soda"
"नीलामी","नीला्य","बिक्री","बिक्लब","auction","sale"
"नेटवर्क","नेटसीबत","सिस्टम","नेइक्त","network","system"
"नोबेल","यनबेल","इनाम","सताम","nobel","prize"
"न्यूनतम","न्य़दूर","ज्यादा से ज्यादा","ज्यादक प्रवृत्ति","minimum","maximum"
"पकड़","खतड़","रखना","आजना","hold","keep"
"पंचांग","पंचाधा","अनुसूची","अनवर्ची","calendar","schedule"
"पढ़ना","रव़ना","लिखना","दरखना","read","write"
"पतला","योला","मोटा","पहटा","thin","thick"
"पति","घटि","पत्नी","पतंदी","husband","wife"
"पत्रकारिता","पत्रायेदार","राजनीति","रानीयता","journalism","politics"
"पथ प्रदर्शन","पथ प्रे से ही","संचार","संगीर","navigation","communication"
"पनडुब्बी","पनडरुद्ध","नाव","आयव","submarine","boat"
"पंप","शहप","नली","रू","pump","hose"
"पब","टह","रेस्टोरेंट","रेसष्ट्रीय","pub","restaurant"
"परत","आमत","सतह","चूह","layer","surface"
"परमाणु","परशासन","नाभिकीय","नातिहीन","atomic","nuclear"
"हारनेवाला","हारल जाना","विजेता","विकटता","loser","winner"
"परियोजना","परिंदरता","कार्यक्रम","कार्ग्यता","project","program"
"परिवर्तन","परिवमान्य","सुधार","सुब्र","change","improvement"
"परिस्थिति","परिद्यालय","संकट","सम्भवे","situation","crisis"
"काफ़ी","परश्क","पर्याप्त","पर्पत्ति","enough","sufficient"
"पश्चिम","पशमदिन","पूर्व","पूघाव","west","east"
"पसंद","नोंद","विकल्प","वि्त्व","choice","option"
"पहचानना","पहचभ्रम","जानता था","जाशोर का","recognize","knew"
"पहले से ही","पहल यु तर","फिर भी","एडर भी","already","still"
"पहाड़ी","मोाड़ी","पहाड़","यााड़","hill","mountain"
"पागलपन","पागसबॉल","मूर्खता","मूर्शनी","madness","stupidity"
"पाप","मंप","अपराध","अपअरब","sin","crime"
"पालन ​​करना","पालना बनाना","पीछा करना","पीछिस्तान","follow","chase"
"पास","उतस","दूर","खतर","near","far"
"पिकनिक","पिक्षस","डेरा डालना","डेरित करना","picnic","camping"
"पिघल","पिलो","फ्रीज","शबरीज","melt","freeze"
"पिता","उपता","मां","परं","daddy","mum"
"पियानो","पियादल","गिटार","त्टार","piano","guitar"
"पिरामिड","पिचालित","संरचना","संरूरत","pyramid","structure"
"पिस्तौल","पिश्किल","हथियार","हथर पर","pistol","weapon"
"पेय पदार्थ","पेय यात्मक","बीयर","तलयर","drink","beer"
"बूढा","बूहन","युवा","लेवा","old","young"
"पुरुष","सोरुष","मानव","माबी","man","human"
"पुल","बेल","सुरंग","सुननग","bridge","tunnel"
"पुष्टीकरण","पुष्स्थित","पुष्टि करना","पुष्चिपूर्ण","confirmation","confirm"
"पुस्तकालय","पुस्रिमास","संग्रहालय","संग्ंसेवक","library","museum"
"पेट","बैट","छाती","ज्ती","stomach","chest"
"पेंशन","लिंशन","वेतन","वेदर","pension","salary"
"पैरानॉयड","पैरार्थी","पागल","पारम","paranoid","crazy"
"पॉर्न","टरर्न","चलचित्र","चलच्पाद","porn","movie"
"पोता","छाता","भांजा","भाईमा","grandson","nephew"
"पौंड","पौ्र","डॉलर","डॉ्व","pound","dollar"
"पौधा","मनधा","फूल","डॉल","plant","flower"
"प्रगति","प्र्राज्य","प्रक्रिया","प्र्राज्य","process","procedure"
"प्रगति","प्र्षक","विकास","विमुस","progress","development"
"योनि","योधू","लिंग","पेंग","vagina","penis"
"प्रतिबिंब","प्रतिप्रद","आईना","युथ्मा","reflection","mirror"
"प्रतिभावान","प्रतद होना","वैज्ञानिक","वैजारंभिक","genius","scientist"
"प्रतिरोध","प्रविधान","विरोध","विधवध","resistance","resist"
"दिखाओ","प्रदैंगिक","प्रदर्शन","प्रदेषज्ञ","show","performance"
"प्रपत्र","प्रुचित","संकेत","संअंत","form","sign"
"प्रबंध","प्रनेट","प्रशासनिक","प्रशदर्शन","management","administrative"
"प्रबंधक","प्रसबॉल","मालिक","मासंक","manager","boss"
"प्रतिबन्ध करना","प्रतिबन विद्युत","सफल होना","सफलेरिका","manage","succeed"
"असर","प्करना","प्रभाव","प्करना","influence","effect"
"प्रभाव","रकरना","भावना","भाफ़ा","impression","feeling"
"प्रभावशाली","प्रभरिल्ला","कमाल की","कमामारी","impressive","amazing"
"प्रयोग","पोरोध","परीक्षा","पर्कर्ष","experiment","test"
"प्रयोजन","प्रेदार","इरादा","इरवना","purpose","intention"
"प्रशंसनीय","प्रशा हुआ","शानदार","शारभात","wonderful","fantastic"
"प्रशंसा","प्रूरता","उपहार","उपययक","compliment","gift"
"प्रशंसा करना","प्रशंषाधिकार","सराहना","सरविदा","admire","appreciate"
"प्रशासन","प्रदूगर","सरकार","सरलना","administration","government"
"प्रश्न","प्वस्थ","पूछना","पूआटा","question","ask"
"प्रस्ताव","प्र्यालय","सुझाना","सुंदना","propose","suggest"
"प्रस्ताव","वर्यलय","देना","वेशो","offer","give"
"प्राकृतिक","प्र्ताहिक","कृत्रिम","कृपिरिन","natural","artificial"
"प्रारंभिक","प्रवसायिक","समापन","समदार","opening","closure"
"प्रेरणा","प््यारा","अनुपस्थिति","अनुपत करना","motive","alibi"
"प्रेरित करना","प्रेर्नामेंट","प्रेरणा","प्वस्था","inspire","inspiration"
"प्रोटीन","प्स्टान","विटामिन","विर्मोन","protein","vitamin"
"प्रोफ़ाइल","प्र बनाना","विवरण","विभवत","profile","description"
"प्रौद्योगिकी","प्रौम्मेदारी","विज्ञान","विविधान","technology","science"
"जोड़","चैड़","ऋण","अफ","plus","minus"
"नाटक","रेलि","खेल","बोल","play","game"
"प्लेग","प्अंग","महामारी","महात्रा","plague","epidemic"
"फ़ाइल","जनाइल","दस्तावेज़","दस्ई चीज़","file","document"
"फायदा","फाअपा","आय","मी","profit","income"
"फांसी","घोंसी","प्राणदण्ड","प्राश्राम","hanging","execution"
"कारक","कानस","तत्त्व","तताप्त","factor","element"
"फ़ैक्टरी","फ़ेत्रीय","उत्पादन","उथत","factory","production"
"फैशनेबल","फैशस्वत","सुरुचिपूर्ण","सुरुस्पर्धा","fashionable","elegant"
"फोजी","आजजी","योद्धा","योद्ंग","soldier","warrior"
"फोड़ना","पैड़ना","विस्फोट","विस्ताव","burst","explode"
"ट्यूमर","तॊध","कर्क रोग","कर्ंदरता","tumor","cancer"
"फ़्लू","यु्लू","रोग","गरग","flu","disease"
"अधिलाभ","अध्राट","इनाम","सताम","bonus","reward"
"बचाव","कव","बचाना","वराना","rescue","save"
"आय-व्ययक","आयव्प्पणी","निधिकरण","निधलवार","budget","funding"
"बटन","मजन","दबाएँ","इकाएँ","button","press"
"बड़ा","तौ़ा","विशाल","विदेल","big","huge"
"बढ़त","शी़त","जीत","मोत","gain","win"
"बढ़ना","पोना","कम करना","कम धारण","increase","reduce"
"कलहंस","बतनाम","बत्तख","बतयोग","goose","duck"
"अवरोधित","सेद","बंद","दूद","locked","closed"
"बंदर","बंने","गोरिल्ला","गोतिष्ठा","monkey","gorilla"
"बदलना","बदनवर","विकल्प","वि्त्व","replace","substitute"
"बदला","घृला","न्याय","बतयाय","revenge","justice"
"बंधक","बंबी","बंदी","गोदी","hostage","prisoner"
"बधाई","यूाई","अभिनन्दन","अभिनथोलिक","congratulate","greet"
"बनाना","दौाना","करना","यिना","make","do"
"बम","रो","विस्फोटक","विसात्मक","bomb","explosive"
"बरोन","वनोन","काउंटेस","काट्रेस","baron","countess"
"बलवान","बलस्य","कमज़ोर","कमरहार","strong","weak"
"बहन","फान","भाई","व्ई","sister","brother"
"बहुमत","बह्जन","मतदान","मत गए","majority","vote"
"बाइबिल","बाुकूल","किताब","जेताब","bible","book"
"बातचीत","बााप्त","चर्चा","उद्चा","conversation","discussion"
"बातचीत","वेब्त","बोलना","छालना","talk","speak"
"बादल","बाइन","कोहरा","कोनेा","cloud","fog"
"छांदना","बापाना","बाँधना","बारखना","bind","tie"
"बाधा","बााई","चुनौती","चुनौठा","obstacle","challenge"
"बाधा डालना","बाधित करना","परेशान","पररैगन","interrupt","disturb"
"पाउडर","बाँधद","बारूद","बाँधद","gunpowder","dynamite"
"विस्फोटक","विस्यारा","घड़ी","ऑऱी","detonator","timer"
"बास्केटबाल","बास्ंजीवाद","फ़ुटबॉल","फ़लेबॉय","basketball","football"
"बाहर","बााज","अंदर","अंंह","outside","inside"
"बाहर","बफ़","के बारे में","के खाया हुआ","out","about"
"बाहर जाएं","बाहर्माता","प्रवेश","पतिल्घ","exit","entrance"
"बिंदु","बिल्ु","संकेत","संअंत","point","indicate"
"बिल्कुल","बिर्टेल","पूरी तरह","पूरीविजन","absolutely","completely"
"बिशप","बि्च","कार्डिनल","कार्देशक","bishop","cardinal"
"बूट","धनट","जूता","युता","boot","shoe"
"बुरा","आंमार","बीमार","जूमार","ill","sick"
"बन्दूक या तोप का मुंह","बन्दूक यकी हड में","गोली","दूली","caliber","bullet"
"होशियार","होयापार","बुद्धिमान","बुद्यांकन","smart","intelligent"
"बुद्धू","बुद्टल","मूर्ख","मूआंख","fool","idiot"
"बुरा","अतरा","गंदा","न्दा","nasty","filthy"
"बुरा सपना","बुर बढ़ना","सपना","राना","nightmare","dream"
"बुराई","अतराई","क्रूरता","क्पूर्ण","evil","cruelty"
"कॉल","युल","टेलीफ़ोन","टेद होना","call","telephone"
"झाड़ी","वंड़ी","पेड़","पेंश","bush","tree"
"बूंद","घटंद","चुस्की","डेस्की","drop","sip"
"बेकार","अभकार","खर्च करना","खर्चर्माण","waste","spend"
"बेटी","उपटी","बेटा","उपटा","daughter","son"
"बैंकर","बैनार","निवेशक","निदायक","banker","investor"
"बैंकिंग","बैंकपाग","वित्तीय","विृत्ति","banking","financial"
"बैज","रीज","वर्दी","नक्दी","badge","uniform"
"बौछार","यकछार","स्नानघर","स्नमेलन","shower","bathroom"
"ब्रम्हांड","ब्रन्वेंट","आकाशगंगा","आका रचना","universe","galaxy"
"ब्रांड","टैरांड","उत्पाद","उतनदार","brand","product"
"ब्रीफ़केस","ब्रिश करो","सूटकेस","सूवकूफ","briefcase","suitcase"
"श्रीमन्त","श्रीतकार","महिला","महआका","lord","lady"
"भगवान","भग्तर","दिव्य","खरव्य","god","divine"
"भयानक","भय्रय","भयंकर","भयशनल","terrible","horrible"
"भयानक","डराप्त","डरावना","डरषमता","scary","creepy"
"भविष्य","भववर्ण","भूतकाल","भूरमाण","future","past"
"भागना","अपगना","पलायन","पल्थर","flee","escape"
"भाग्य","भावुय","तकदीर","तकियत","fate","destiny"
"भार","प्यिर","नौभार","तलभार","load","cargo"
"भालू","भातट","भेड़िया","झंड़िया","bear","wolf"
"भाषण","भबे","उपदेश","उपारण","speech","sermon"
"भुगतना","भुायता","मरना","पैना","suffer","die"
"भूकंप","रककंप","विस्फोट","विस्ताव","earthquake","explosion"
"भूख","शिख","प्यास","प्गैस","hunger","thirst"
"भूमि","भूगण","उड़ना","दय़ना","land","fly"
"भूरा","पेरा","नीला","पूला","brown","blue"
"भूल जाना","भूह देना","याद रखना","यादतावनी","forget","remember"
"भौतिक विज्ञान","भौतिकका निसान","गणित","बदित","physics","mathematics"
"मकड़ी","खरड़ी","कीट","दिट","spider","insect"
"मकान","शरान","अपार्टमेंट","अपार्रागार","house","apartment"
"मंगल ग्रह","मंगलरतिभा","शुक्र","फलक्र","mars","venus"
"मंच","उतच","स्टेशन","स्तव्ना","platform","station"
"मजबूर","मजझड़","शक्तिहीन","शक्सिद्ध","helpless","powerless"
"मंज़िल","मंज़डर","कालीन","कांडन","floor","carpet"
"मंत्रिमंडल","मंत्तिबिंब","कोठरी","कोढ़ी","cabinet","closet"
"मदद","नोद","सहायता देना","सहायमिचलाना","help","assist"
"मंदिर","हादिर","मठ","णा","temple","monastery"
"मधुमक्खी","मधुृत्ति","चींटी","द्ंटी","bee","ant"
"मरीज","मरमा","ग्राहक","ग्र्लिना","patient","client"
"मलाई","इराई","चटनी","नसनी","cream","sauce"
"मंशा","कमशा","तमन्ना","तमनीकी","desire","wish"
"महंगा","महअचा","सस्ता","पल्ता","expensive","cheap"
"महल","सुल","किला","किशो","palace","castle"
"महान","महदा","बहादुर","बहसंबर","noble","brave"
"महाविद्यालय","महाविनांतरण","विश्वविद्यालय","विश्ववे से ही","college","university"
"महिमा","मह़का","महारानी","महर्शनी","majesty","highness"
"महीना","मह्शा","सप्ताह","सपमवार","month","week"
"मां","ज़ं","पिता","योता","mother","father"
"मांग","मरिप","अनुरोध","अनुद्र","demand","request"
"मात्रा","वृत्रा","गुणवत्ता","गुणार्थी","quantity","quality"
"माध्यमिक","माधवाहित","प्राथमिक","प्रर्मोन","secondary","primary"
"मानसिक","मा्चिम","भावुक","भारीक","mental","emotional"
"माफिया","माएँया","कार्टेल","काच्छेद","mafia","cartel"
"माफी","मातु","दया","छि","forgiveness","mercy"
"पदार्थ","पदयक्ष","कण","मस","matter","particle"
"मारो","मााओ","प्रहार","प्र्ता","hit","strike"
"मार्ग","पूर्ग","सड़क","नुम्क","avenue","street"
"मार्ग","पूर्ग","पथ","घञ","route","path"
"मासूम","मानाम","दोषी","दि","innocent","guilty"
"मिंग","भूंग","लिंग","पेंग","ming","ling"
"मीठा","कभठा","प्यारा","प्बुरा","sweet","cute"
"मिठाई","ज़ठाई","केक","दरक","dessert","cake"
"मीनार","चरनार","इमारत","इमययक","tower","building"
"मील","हेल","सेंटीमीटर","सेंज्घर","mile","centimeter"
"मुकाबला","मुरशाला","चैंपियनशिप","चैंपयास्पद","competition","championship"
"मुर्गा","मुअरम","तुर्की","ईसर्क","chicken","turkey"
"मुलायम","मु्याय","सज्जन","सजंकर","soft","gentle"
"मुसीबत","मुस्तर","समस्या","समक्षस","trouble","problem"
"मुस्कुराओ","मुस्रागार","हसना","शौना","smile","laugh"
"मुंह","मुशप","नाक","र्क","mouth","nose"
"शांत","शा्र","शांति","शाआखि","silent","silence"
"असली","चिली","नकल","केल","original","copy"
"मूलपाठ","मू्यास","कविता","हसिता","text","poem"
"मूल्य","वाल्य","कीमत","आधमत","value","price"
"मूल्यवान","मूली रात","जरूरी","ऊतूरी","valuable","important"
"चिकित्सा","चिज्ञान","मनोवैज्ञानिक","मनोवैिकित्सक","medical","psychological"
"मेढक","मेजू","छिपकली","छिकार","frog","lizard"
"मेल","सपल","मिश्रण","मिर्बन","combination","mixture"
"मेल","सगल","फैक्स","फैपुस","mail","fax"
"मैराथन","मैदागर","दौड़","चीड़","marathon","race"
"मोका","खाका","संभावना","संरक्षा","chance","possibility"
"मोड़","बचड़","घुमाएँ","घुमासू","turn","rotate"
"भ्रम","चढरम","मतिभ्रम","मतिराधी","illusion","hallucination"
"मौत","ईरत","लापता होने के","लापत देनेवाला","death","disappearance"
"यशस्वी","यशश्मन","वैभव","वैटू","glorious","glory"
"यहां","रूां","वहां","भेां","here","there"
"यातना","पहतना","अत्याचार","अतजिबशा","torment","torture"
"यात्रा","पहत्रा","कंसर्ट","कंनद्र","tour","concert"
"यात्री","कुत्री","चालक","चापस","passenger","driver"
"युद्ध","युगंध","लड़ाई","सई","war","battle"
"युवा","युजी","बचपन","बचअरब","youth","childhood"
"योग","पसग","रकम","बैम","sum","amount"
"योग","पतग","मालिश","माकोश","yoga","massage"
"योग्य होना","योगना करना","योग्य","पतग्य","deserve","worthy"
"योजना","दाजना","रणनीति","रणदाता","plan","strategy"
"यौन","कीन","शारीरिक","शाथोलिक","sexual","physical"
"रक्त","रकयक","मूत्र","केत्र","blood","urine"
"रक्षक","रकनवर","पहरा","होरा","guard","patrol"
"बचाना","रक्षेत्रीय","रक्षा करना","रक्षेत्रीय","protect","defend"
"रक्षित","रक्पाद","बनाए रखना","बनाए्यारा","preserve","maintain"
"रंग","बौग","चित्र बनाना","चित्ड़ देना","paint","draw"
"रदेऊ","रदीन","चरवाहे","चरावनी","rodeo","cowboy"
"रम","ग्द","कॉग्नेक","कॉच्छेद","rum","cognac"
"रसायन विज्ञान","रसायन नेंसिंग","जीवविज्ञान","जीववादिष्ट","chemistry","biology"
"रसोइया","जोइया","बावर्ची","बाकरानी","cook","chef"
"ठहरना","डीना","रहना","दसना","stay","remain"
"श्रुति","चैरुति","दृष्टि","कीष्टि","revelation","vision"
"राइफल","राुमत","बंदूक","सेदूक","rifle","gun"
"राकेट","राडाट","मिसाइल","मिसाचा","rocket","missile"
"राक्षस","रार्ता","जंतु","जंनो","monster","creature"
"राजकुमारी","राज्कुराओ","राजकुमार","राजष्ट्र","princess","prince"
"राजधानी","राज्ञान","शहर","घ्र","capital","city"
"राजवंश","राावरण","साम्राज्य","सामादिष्ट","dynasty","empire"
"राज्यपाल","राजर्टेल","सीनेटर","सीरहार","governor","senator"
"राडार","ठंडार","उपग्रह","उपगनेबल","radar","satellite"
"रात","चित","शाम","तिम","night","evening"
"रात का खाना","रातवार सेना","सुबह का नाश्ता","सुबह क संस्कार","dinner","breakfast"
"रानी","विनी","राजा","राक","queen","king"
"राय","कीय","रवैया","कृैया","opinion","attitude"
"राष्ट्रीय","राष्टमेंट","वैश्विक","वैत्रिम","national","global"
"रासायनिक","रासामारी","जैविक","मछविक","chemical","biological"
"रिपोर्ट","रिषेत्र","सूचित करना","सूचिस्थिति","report","inform"
"रिपोर्टर","रिपिंगटन","पत्रकार","पत्सीजन","reporter","journalist"
"रिश्तेदार","रिश्यवादी","चचेरा भाई","चचेला हुआ","relative","cousin"
"रिश्वत","रि्यंत","भयादोहन","भयागरेट","bribe","blackmail"
"रीढ़ की हड्डी में","रीढ़ जा तोप का मुंह","पेट","बैट","spinal","abdominal"
"प्रतीक्षा","प्ररिल्ला","अपेक्षा करना","अपेक्विज्ञान","wait","expect"
"रेगिस्तान","रेगी कभी","घाटी","अचटी","desert","valley"
"रेजिमेंट","रेबुलेंस","बटालियन","बटािसमस","regiment","battalion"
"रेडियो","लिडियो","टेलीविजन","टेल्ञापन","radio","television"
"रेल गाडी","रेकुमारी","बस","कॆ","train","bus"
"रेशम","रेखी","कपास","कपखी","silk","cotton"
"मना करना","गरकना","रोकना","चिकना","prevent","stop"
"एम्बुलेंस","एम्न्वेंट","हेलीकॉप्टर","हेलीास्टिक","ambulance","helicopter"
"रोज","असज","साप्ताहिक","सापनता था","daily","weekly"
"रोटी","चिटी","पनीर","बढीर","bread","cheese"
"रोबोट","रोलूट","मशीन","मशेद","robot","machine"
"रोमन","रोरम","यूनानी","धकनानी","roman","greek"
"रोमियो","रोमिठा","जूलियट","जूसर्ट","romeo","juliet"
"लक्षण","लकलना","सिंड्रोम","सिप्लोमा","symptom","syndrome"
"लंगर","लम्का","जलयात्रा","जलयवर्ची","anchor","sail"
"लज़ान्या","लजनात्मक","स्पघेटी","स्प्पणी","lasagna","spaghetti"
"लड़का","लडंजा","भाई","व्ई","dude","bro"
"लड़की","लडकभी","लड़का","लडकना","girl","boy"
"लड़के","अक़के","लड़कियाँ","लड़ान्या","boys","girls"
"संग्राम","अक़ाई","लड़ाई","गूऎ","combat","fight"
"लपकना","लपअरब","पकड़","शहड़","grab","catch"
"लहसुन","लहावर","प्याज","प्बैज","garlic","onion"
"लाइव","लाजय","बच जाना","बचारानी","live","survive"
"लाओ","देओ","भेजना","बरजना","bring","send"
"लागू","लाआम","उपयोग","उपलना","apply","use"
"लाल","अधल","पीला","लॉला","red","yellow"
"लिपस्टिक","लिपग्यता","इत्र","भर्र","lipstick","perfume"
"लिफ़ाफ़ा","रकफ़ाफ़ा","पैकेज","बतकेज","envelope","package"
"लेख","आशख","अखबार","अखरतट","article","newspaper"
"लेखक","लेपी","अभिनेता","अभ्मकता","author","actor"
"लोकप्रिय","लोकलेबॉय","प्रसिद्ध","प्र्पक्ष","popular","famous"
"लोमड़ी","आंमड़ी","खरगोश","खरनाक","fox","rabbit"
"लोहा","लोंद","धातु","धाकर","iron","metal"
"वकील","चशील","अभियोक्ता","अभि़ान्या","lawyer","prosecutor"
"वजन","यलन","ऊंचाई","यूचाई","weight","height"
"बालिग","बािंग","माता-पिता","मातिबिंब","adult","parent"
"वरिष्ठ","वरसर्ट","जूनियर","जूदुर","senior","junior"
"वर्णन करना","वर्णनस्थिति","व्यक्त करना","व्यक्च्या","describe","express"
"वर्तमान","वर्लेख","बिजली","कमजली","current","electricity"
"वर्षा","मक्षा","बर्फ","लह्फ","rain","snow"
"वंश","मठश","परिवार","परधारण","clan","family"
"वसंत","छोंत","पतझड़","पतदान","spring","autumn"
"वस्तु","कच्तु","विषय","वियर","object","subject"
"वाइन","वाडी","शैंपेन","धुंपेन","wine","champagne"
"वाइरस","वादान","संक्रमण","संकराहक","virus","infection"
"वातावरण","वातपादन","वायुमंडल","वायुसूची","environment","atmosphere"
"वापस","वाी","वापसी","वाअभी","back","return"
"वायु","पेल्ल","ऑक्सीजन","ऑक्पताल","air","oxygen"
"वाल्व","वामसव","हवादार","हवरभात","valve","ventilation"
"वाशिंगटन","वाश्रेशन","बोस्टान","बो्ञापन","washington","boston"
"सचमुच","वासित करना","वास्तव में","वासढ़ता से","actually","really"
"वाहन","वाकण","कार","अनर","vehicle","car"
"शाबाश","शायदश","अल्फा","की्फा","bravo","alpha"
"विक्रेता","विह देना","क्रेता","क्सीता","seller","buyer"
"विचार","विशेर","सिद्धांत","सिम्हांड","idea","theory"
"विचार करना","विचाक्रिया","सोच","पदच","consider","think"
"विजय","विनी","परास्त करना","परास्च्य","victory","defeat"
"विज्ञापन","विज्रकार","विपणन","विझड़","advertising","marketing"
"विडंबना","वि होना","ताने के तौर पर","ताने का नाश्ता","irony","ironic"
"वित्त","विकात","निवेश","नितंश","finance","invest"
"विधवा","विआपा","महिला","महआका","widow","woman"
"विनीत","विरेत","शालीन","शाबान","humble","modest"
"सरस","अकस","मजेदार","मजीदना","witty","funny"
