"zh_cue","zh_fake_cue","zh_target","zh_fake_target","en_cue","en_target"
"活的","泥色","死的","社强","alive","dead"
"图画","育资","照片","滋人","picture","photo"
"甜美","空毒","可爱","要操","sweet","cute"
"关系","吸程","友谊","妇搅","relationship","friendship"
"经验","权友","知识","不校","experience","knowledge"
"聪明","烟登","智能","体扯","smart","intelligent"
"相机","下炮","话筒","长糖","camera","microphone"
"惊喜","配探","失望","述婿","surprise","disappointment"
"岩块","向撞","石头","重观","rock","stone"
"实践","信取","锻炼","条奴","practice","exercise"
"研究","承片","学习","院吊","research","study"
"气体","段嘴","燃料","壳首","gas","fuel"
"帮派","端胆","团体","力皮","gang","group"
"洗澡","此传","浴室","肉航","shower","bathroom"
"观光","收贬","音乐会","会斑","tour","concert"
"喉咙","漏弱","脖子","俗心","throat","neck"
"千个","暴穿","一百","患联","thousand","hundred"
"系列","例高","片段","词定","series","episode"
"救援","军课","搭救","轰扣","rescue","save"
"肩膀","灯相","膝盖","示求","shoulder","knee"
"保证","色蜂","承诺","处节","guarantee","promise"
"目的","店授","主题","气吉","object","subject"
"任务","悉课","使命","地拨","task","mission"
"网络","掉邮","系统","子身","network","system"
"忠诚","门为","可信","程领","loyal","faithful"
"三明治","嘂比爷","汉堡包","土徜下","sandwich","hamburger"
"电影","售腰","剧院","俗哨","cinema","theater"
"代表","市脸","经典","片赶","typical","classic"
"督察","白离","委员","数玉","inspector","commissioner"
"火箭","瞒赐","导弹","分跳","rocket","missile"
"感人","爱出","惊人","撤编","impressive","amazing"
"短裙","度闲","裙子","纸家","skirt","dress"
"狐狸","票睡","兔子","府迁","fox","rabbit"
"海盗","补头","水手","多股","pirate","sailor"
"行政","附微","政府","情乐","administration","government"
"殖民地","征客","联邦体","法携","colony","federation"
"阴道","域评","阳具","子情","vagina","penis"
"化学","求挂","生物","心熊蒯","chemistry","biology"
"化学的","测匝场","生物的","黠焊收","chemical","biological"
"传感器","言同玊","发射机","堪衔猥","sensor","transmitter"
"支撑","滑颁","保持","尚向","stay","remain"
"区域","冲追","地带","垢慌","area","zone"
"发觉","盖办","理解","胡等","realize","understand"
"记载","谋侄","录制","镇任","record","recording"
"纸张","拆大","港币","变勤","paper","pen"
"艰难","锋岂","困苦","注游","tough","hard"
"地面","批压","毛毯","吻油","floor","carpet"
"现金","眺线","钞票","探疤","cash","money"
"简单","情惠","容易","爆之","simply","simple"
"艺术","瘩燥","文学","现球","art","literature"
"秘密","酿政","隐私","面航","private","privacy"
"绝对","拳寒","完全","到以","absolutely","completely"
"懦夫","博利","笨蛋","创匠","chicken","turkey"
"重量","言用","高度","熟罐","weight","height"
"牢房","去哀","监狱","驰进","cell","prison"
"挖掘","兴力","埋葬","注誉","dig","bury"
"植物","弄劳","花卉","每海","plant","flower"
"单元","补输","部门","巢好","unit","division"
"慢慢","护识","迅速","苦下","slowly","quickly"
"糖果","调草","巧克力","上弃","sugar","chocolate"
"潜力","龟免","天赋","阉解","potential","talent"
"链条","蒙谢","绳索","城钱","chain","rope"
"首都","憨期","城市","餐心","capital","city"
"布偶","被详","玩具","悔群","doll","toy"
"圆圈","雕面","三角","割捷","circle","triangle"
"慈善","书止","捐款","胶果","charity","donation"
"沉默","作浑","安静","士账","silent","silence"
"指甲","昏制","牙齿","帝织","nail","tooth"
"日常","无镇","每周","玉拆","daily","weekly"
"耐心","命菜","同情","窥掉","patience","compassion"
"方法","往庇","技术","变意","method","technique"
"专辑","开温","歌曲","源教","album","song"
"紧急","殖准","迫切","圆生","urgent","emergency"
"礼貌","上仪","友好","然头","polite","friendly"
"周年","息画","生日","版坐","anniversary","birthday"
"狭窄","课道","宽阔","光老","narrow","wide"
"瘟疫","出易","流行","积次","plague","epidemic"
"拍卖","速血","销售","皮钱","auction","sale"
"问候","车做","礼物","钟丈","compliment","gift"
"野蛮","霸汗","残忍","烧映","brutal","cruel"
"乘客","景急","司机","分失","passenger","driver"
"成分","盖权","元素","鸟选","factor","element"
"内部","扭立","外面","主种","internal","external"
"讽刺","弄特","揶揄","卫犯","irony","ironic"
"南部","感户","西部","语数","southern","western"
"黑手党","忈好党","卡特尔","淫带","mafia","cartel"
"宇航员","幽总囧","飞行员","蕾改花","astronaut","pilot"
"今日","阀渎","昨天","贴杂","today","yesterday"
"职业","生难","工作","谚提","job","work"
"身体","打馈","尸首","修铜","body","corpse"
"半点","冷蝗","一刻","伏专","half","quarter"
"麻烦","夭直","问题","行柠","trouble","problem"
"支持","印精","帮助","菜若","support","assistance"
"复仇","林变","正义","何多","revenge","justice"
"模型","福定","雏形","军送","model","prototype"
"允许","高金","赞同","腔言","permission","approval"
"胃部","凭场","胸膛","母室","stomach","chest"
"拒绝","案疙","接受","足荫","refuse","accept"
"数据","安名","信息","刑别","data","information"
"全部","管碎","整体","淀圈","total","complete"
"收藏","黯核","搜罗","谣敌","collect","gather"
"生气","做莲","愤怒","战住","anger","rage"
"降低","庖获","升高","留投","lower","upper"
"道路","灯千","小径","鱼阴","route","path"
"环境","布素","气氛","曱有","environment","atmosphere"
"丛林","校岁","森林","处素","jungle","forest"
"程序","对板","机器","后合","robot","machine"
"泥泞","行达","沙子","壁装","mud","sand"
"徽章","照掉","制服","海贺","badge","uniform"
"神经","慢相","肌肉","谈持","nerve","muscle"
"清醒","极漏","沉醉","鹰浪","sober","drunk"
"组成","钱角","混合","齐五","combination","mixture"
"淹没","及谢","游泳","矿人","drown","swim"
"阶段","墙饯","时期","节郑","phase","period"
"阴谋","璨地","欺骗","尊手","conspiracy","fraud"
"闲话","骨禁","丑闻","揭头","gossip","scandal"
"特权","香铝","荣誉","考属","privilege","honor"
"氏族","日竹","家庭","貌盘","clan","family"
"色情","商伏","电影","俸植","porn","movie"
"服务员","炸坐","侍应生","热垫","waiter","waitress"
"奖金","幼焊","报酬","残贿","bonus","reward"
"蜘蛛","铁嚷","昆虫","量钢","spider","insect"
"驴子","正粪","马儿","心脱","donkey","horse"
"腰子","糖定","肝脏","坚茶","kidney","liver"
"日历","面定","计划","丝中","calendar","schedule"
"津贴","调霉","薪水","聚制","pension","salary"
"殷勤","喧绕","热情","手医","enthusiasm","passion"
"洒脱","产近","自由","选子","freely","free"
"管辖","感叉","权威","湾出","jurisdiction","authority"
"军团","事敌","兵营","子钢","regiment","battalion"
"启发","统泥","灵感","童钢","inspire","inspiration"
"航站","青装","机场","手期","terminal","airport"
"瑜伽","直然","按摩","撰患","yoga","massage"
"铁骑","弒泪","炮兵","难盗","cavalry","artillery"
"民用","协节","军用","票供","civil","military"
"研讨","和笔","演讲","扑走","seminar","lecture"
"阿司匹林","镜官","吗啡","冻计","aspirin","morphine"
"光盘","子袋","视频","气接","dvd","video"
"凯撒","横趣","罗马","爱改","caesar","rome"
"安全","春器","保护","满镇","safe","secure"
"校准","士马","维修","惊回","fix","repair"
"杀手","危封","凶手","牙精","killer","murderer"
"公平","升翼","合理","税发","fair","reasonable"
"清空","公力","装满","图落","empty","full"
"喂养","煞管","吃饭","世杆","feed","eat"
"双倍","特人","三重","经指","double","triple"
"受苦","榨急","死亡","国无","suffer","die"
"信用","疫煤","贷款","上洼","credit","loan"
"半夜","带应","中午","抗手","midnight","noon"
"中断","指音","打扰","击泻","interrupt","disturb"
"地位","蚓卧","职务","软医","status","position"
"魅力","宽抗","美丽","滚煤","charm","beauty"
"网络","蜂学","主页","茶红","internet","web"
"射手","解钟","刺客","剧秘","shooter","sniper"
"疯狂","道农","愚蠢","肠节","madness","stupidity"
"月台","景笑","车站","然馑","platform","station"
"苹果","液合","水果","气阻","apple","fruit"
"离开","白情","逃脱","地态","flee","escape"
"汤匙","奏位","叉子","断射","spoon","fork"
"工场","子选","车间","取庄","workshop","garage"
"好客","出望","感激","和援","hospitality","gratitude"
"土豆","琴跑","番茄","楼取","potato","tomato"
"院长","纹租","教授","楼情","dean","professor"
"苦难","强寒","酷刑","大掩","torment","torture"
"避难","熟绑","庇护所","梅款","refuge","shelter"
"片剂","山局","药丸","违踪","tablet","pill"
"静脉","导拖","动脉","管案","vein","artery"
"男爵","茶光","女爵","降不","baron","countess"
"公斤","裂取","克数","风姑","kilo","gram"
"卖家","宜才","买方","记翘","seller","buyer"
"王国","迷石","皇帝","鞋车","imperial","emperor"
"军团","怒倒","部队","低查","legion","army"
"开车","狐台","驾驭","人礼","drive","ride"
"落下","莽洗","坍塌","陷矮","fall","collapse"
"智慧","命右","大脑","死酷","brain","cerebral"
"教会","勾稿","教堂","地查","church","chapel"
"突然","实古","不料","顺绩","suddenly","unexpectedly"
"抉择","晚处","选择","通剪","choose","select"
"店铺","惧于","仓库","葬慈","shop","store"
"月亮","越势","太阳","推痰","moon","sun"
"营地","台质","村庄","请物","camp","village"
"目的","席局","意图","缠称","purpose","intention"
"柔软","衰来","温和","疑力","soft","gentle"
"大碗","钱名","盘子","滚持","bowl","plate"
"闪耀","是复","明亮","邮亲","shine","bright"
"情妇","蕉石","爱人","女想","mistress","lover"
"继续","惨猛","维持","号喝","proceed","continue"
"金属","对毡","银器","解监","golden","silver"
"郡县","身完","地区","活密","county","district"
"冲突","案街","争议","拼马","conflict","dispute"
"靴子","轮场","皮鞋","事叉","boot","shoe"
"动物","垫动","马戏","田友","zoo","circus"
"工具","待面","仪器","造凯","tool","instrument"
"错误","下仿","过失","读鸽","error","mistake"
"多数","内乐","投票","为炒","majority","vote"
"奖杯","语费","勋章","恋抵","trophy","medal"
"可口","姜聚","美味","流凉","tasty","delicious"
"唇部","下入","脸颊","摧绰","lip","cheek"
"威严","故育","殿下","藕尖","majesty","highness"
"技术","听货","机械","西正","technical","mechanical"
"蛋白质","矿笔","维他命","抄枪吸","protein","vitamin"
"罗盘","鱼平","地图","酱探","compass","map"
"生锈","内刀","灰尘","净罪","rusty","dusty"
"牢固","补往","坚定","乐苍","firmly","strongly"
"荷尔蒙","预员","肾上腺","掌瞎","hormone","adrenaline"
"罗密欧","战透尛","朱丽叶","促密棋","romeo","juliet"
"夏洛克","签流燚","沃森","到法","sherlock","watson"
"带来","劝症","发送","风坏","bring","send"
"食物","垫场","一餐","牧通","food","meal"
"顶端","服头","底部","转管","top","bottom"
"证据","台心","证明","跳妹","evidence","proof"
"受害","厄汤","攻击","梳版","victim","attacker"
"皮肤","淫铲","组织","体酒","skin","tissue"
"注意","心困","吸引","根倒","attention","attract"
"承认","接以","坦白","和投","admit","confess"
"担心","阴死","紧张","道汗","worried","nervous"
"沙滩","道集","海岸","捕反","beach","coast"
"建议","营元","劝告","淫划","advice","advise"
"结果","查子","产物","露防","result","outcome"
"勇气","农杉","决心","线缩","courage","determination"
"可笑","弱门","荒诞","溜现","ridiculous","absurd"
"生病","风茶","恶心","干报","ill","sick"
"确实","改美","实际","擦文","literally","practically"
"用具","传怎","装备","体手","equipment","equip"
"猴子","去杜","猩猩","题野","monkey","gorilla"
"宝藏","漆教","财富","会辄","treasure","wealth"
"需要","请术","请求","骨上","demand","request"
"部分","顿票","段落","重安","section","paragraph"
"平衡","市导","和谐","原倒","balance","harmony"
"原因","触兄","托辞","下肉","motive","alibi"
"恢复","搬见","愈合","坛如","recover","heal"
"护送","碰残","陪伴","窗版","escort","accompany"
"提示","碎煎","警报","物可","alert","alarm"
"评论","华理","陈述","材窝","comment","statement"
"高阶","绳达","初级","落户","senior","junior"
"侮辱","油帮","冒犯","叫亮","insult","offend"
"反抗","与杯","抵制","一疑","resistance","resist"
"爆裂","扰唱","炸开","耳切","burst","explode"
"无偿","兵剪","自愿","防起","volunteer","voluntarily"
"喇叭","热限","哨子","有标","horn","whistle"
"抗议","胧业","示威","岳亡","protest","demonstration"
"谦卑","醉络","端庄","安黑","humble","modest"
"辉煌","列彩","荣耀","软理","glorious","glory"
"幼稚","阔残","悲观","体割","naive","cynical"
"青蛙","尘酱","蜥蜴","断聚","frog","lizard"
"日落","激数","黎明","学项","sunset","dawn"
"昵称","处赛","姓名","积文","nickname","surname"
"丝绸","北油","棉花","求黄","silk","cotton"
"口红","反偶","香水","进山","lipstick","perfume"
"咳嗽","会妓","发热","圣住","cough","fever"
"层次","启土","表面","破人","layer","surface"
"大蒜","惹介","洋葱","执烤","garlic","onion"
"松鼠","航罩","浣熊","机集","squirrel","raccoon"
"棱锥","温耳","结构","贬觉","pyramid","structure"
"无知","诵收","傲慢","大弹","ignorance","arrogance"
"赤裸","名任","光溜","级指","nude","naked"
"水兵","出遗","海军","掳罢","marine","navy"
"长跑","于守","比赛","洋盘","marathon","race"
"舱体","星思","探测","调记","capsule","probe"
"其次","实试","首要","家碎","secondary","primary"
"竞技","凶青","牛仔","共泊","rodeo","cowboy"
"文凭","不线","毕业","据空","diploma","graduate"
"障碍","匀鱼","挑战","偏文","obstacle","challenge"
"高潮","货体","勃起","不词","orgasm","erection"
"半径","颊火","周长","普善","radius","perimeter"
"超人","来瓷","蝙蝠侠","承去趸","superman","batman"
"太平洋","问钱槑","大西洋","躞吃闷","pacific","atlantic"
"离开","投滩","放弃","让举","leave","abandon"
"查看","召约","核实","生点","check","verify"
"正面","坐音","后部","荣疹","front","rear"
"臀部","迫瓜","屁股","讯大","ass","butt"
"最后","诈情","终于","安火","finally","eventually"
"推动","缜负","拉住","界退","push","pull"
"应该","鱼先","值得","闭特","deserve","worthy"
"看法","付灭","观点","心焊","view","perspective"
"桌子","烟寄","书房","铁请","desk","office"
"演讲","气报","传道","世拿","speech","sermon"
"人群","念衍","观众","零慕","crowd","audience"
"害怕","阻箱","吓唬","丁本","scare","frighten"
"无用","盛凡","不值","出落","useless","worthless"
"荷载","席咪","货物","区盛","load","cargo"
"竞争","看力","选举","票言","campaign","election"
"触发","子找","激活","贱老","trigger","activate"
"对立","畜罐","相反","遮延","opposite","contrary"
"赌博","到男","扑克","真力","gambling","poker"
"候选","浸徒","选民","高周","candidate","voter"
"水泵","子堵","软管","嫁平","pump","hose"
"极端","圃法","致命","邮新","deadly","fatal"
"烤箱","水肉","火炉","达程","oven","stove"
"排除","绪看","去掉","称租","eliminate","remove"
"脆弱","尿航","敏感","函轨","delicate","sensitive"
"成人","叙光","父母","差卖","adult","parent"
"熔化","制激","冻结","理敌","melt","freeze"
"才干","机监","能力","发帽","capacity","ability"
"出现","鼎剪","发生","道种","occur","happen"
"贿赂","主支","勒索","设隔","bribe","blackmail"
"总和","充贯","数量","墙追","sum","amount"
"保存","版栽","维持","短碰","preserve","maintain"
"爱好","新骂","运动","质妇","hobby","sport"
"猪肉","工流","肉类","商草","pork","meat"
"抛锚","参解","航行","句温","anchor","sail"
"大鹅","万公","小鸭","棚利","goose","duck"
"碳素","散遭","氢气","疗业","carbon","hydrogen"
"片段","霍脏","碎块","亭幼","fragment","piece"
"奉承","义混","佩服","米办","flatter","impress"
"声纳","松居","丁","常惊","ping","ding"
"原子","讲断","核能","谢版","atomic","nuclear"
"诺奖","飞状","奖项","待奖","nobel","prize"
"打击","纸过","碰撞","藏抱","hit","strike"
"声音","税子","口音","焦罢","voice","accent"
"伙计","孽宪","兄弟","原怯","dude","bro"
"烹饪","越自","厨师","爵与","cook","chef"
"保卫","订站","巡逻","翻拯","guard","patrol"
"厚重","招除","坚实","叔电","heavy","heavily"
"基地","性湖","总部","薪远","base","headquarters"
"命运","积掩","定数","火权","fate","destiny"
"新鲜","铺见","提神","辱队","fresh","refresh"
"可怕","曲塘","怪异","友办","scary","creepy"
"吸吮","职标","舔舐","直家","suck","lick"
"垃圾","概爹","废物","星液","trash","garbage"
"悲惨","品口","可怜","来诬","miserable","pathetic"
"安排","弱卖","组织","尖法","arrange","organize"
"概念","战题","定义","为幸","concept","definition"
"倡导","牙住","建议","迷送","propose","suggest"
"预算","自吻","经费","紧疆","budget","funding"
"商标","王拓","产品","紧员","brand","product"
"接待","蒸场","聚会","酒道","reception","party"
"吞咽","狭船","咀嚼","讲印","swallow","chew"
"打针","悭茶","注射","导急","needle","syringe"
"联盟","车奋","团队","人沼","league","team"
"新郎","会豁","新娘","闪胆","groom","bride"
"饥饿","态滚","口渴","抛香","hunger","thirst"
"禁止","球卷","遏制","挑夜","forbidden","prohibit"
"无助","热进","虚弱","怀间","helpless","powerless"
"粮食","想泥","面粉","笛火","grain","flour"
"贫困","劳音","苦难","红大","poverty","misery"
"本能","译屋","直觉","火长","instinct","intuition"
"进化","内失","突变","去苏","evolution","mutation"
"广告","半疤","营销","行旧","advertising","marketing"
"柜子","菜调","壁橱","包轴","cabinet","closet"
"低估","乳踪","夸大","荧伍","underestimate","exaggerate"
"望远镜","视运","显微镜","画岗","telescope","microscope"
"捆绑","扬训","领带","庄诊","bind","tie"
"保守","贪诣","自由","素非","conservative","liberal"
"阀门","古旅","通风","货熬","valve","ventilation"
"插入","子堕","放进","狂牌","insert","put"
"腹泻","逃知","呕吐","书逆","diarrhea","nausea"
"数目","日称","质量","用装","quantity","quality"
"天然","令历","人造","诗侨","natural","artificial"
"偶然","文波","故意","粉完","accidentally","intentionally"
"虫子","某定","小蛇","许表","worm","snake"
"保姆","横义","女佣","癌红","nanny","maid"
"印记","存议","签名","资定","stamp","signature"
"飓风","世酱","旋风","罪主","hurricane","tornado"
"番茄酱","栏控","蛋黄酱","殿着","ketchup","mayonnaise"
"火药","游公","炸药","钦字","gunpowder","dynamite"
"王朝","流奇","帝国","起民","dynasty","empire"
"导航","眼男","通信","户析","navigation","communication"
"保养","量主","维护","厄责","service","maintenance"
"额外","缺涌","附加","完到","extra","additional"
"鲔鱼","现刷","龙虾","扰砌","tuna","lobster"
"佣兵","统堵","刺客","示化","mercenary","assassin"
"专家","口民","学者","令椅","analyst","investigator"
"月球","提艺","太阳","冬逼","lunar","solar"
"管理","热开","行政","出丰","management","administrative"
"不幸","做队","厄运","分准","unfortunate","misfortune"
"绑架","笼血","诱拐","症酋","kidnap","abduct"
"小吃","搜解","午餐","浸差","snack","lunch"
"测试","刺火","检查","省笔","examination","inspection"
"辞职","债老","解雇","心要","resignation","dismissal"
"神奇","入猪","超常","出问","supernatural","paranormal"
"卓越","亲紧","非凡","飞疚","exceptional","remarkable"
"青春","恶暑","少年","马钳","teenage","teenager"
"基因","今藤","指纹","筒漆","dna","fingerprint"
"地区","贴玩","局部","发押","regional","local"
"能够","工好","提供","知开","enable","provide"
"宽面","低敢","意粉","事踪","lasagna","spaghetti"
"新闻","家尖","政治","土冷","journalism","politics"
"解剖学","速共","心理学","改鬼","anatomy","psychology"
"肉桂","尝本","香草","布歹","cinnamon","vanilla"
"不会","子中","无法","归楼","inability","unable"
"刺探","平说","破坏","字受","espionage","sabotage"
"想象","童打","创造","道物","imagination","creativity"
"天然","熟师","通常","这洗","naturally","generally"
"偶尔","昆罪","很少","除赞","occasionally","rarely"
"惩罚","掌叶","监禁","光书","penalty","imprisonment"
"擂台","油中","战场","位放","arena","battlefield"
"孤儿院","拍甜","修道院","凳匹","orphanage","convent"
"富翁","贿给","商人","和笔","millionaire","entrepreneur"
"柠檬","挑例","苏打","重祭","lemonade","soda"
"绑匪","功暖","赎金","爆境","kidnapper","ransom"
"操作","腰颊","功能","选水","operational","functional"
"字典","稿肉","短语","决质","dictionary","phrase"
"租户","饶闯","房东","周位","tenant","landlord"
"不合理","氼人复","不可靠","回呷福","unreasonable","irresponsible"
"轰动的","慑困","壮观的","志菜","sensational","spectacular"
"财政","稿陪","金融","水僻","financially","financing"
"时髦","糠预","优雅","琴亲","fashionable","elegant"
"炸药","附果","计时","增退","detonator","timer"
"同情","支乞","慷慨","笑挂","compassionate","generous"
"武器","荣战","军火","霄炮","arsenal","armory"
"海军","托子","舰队","泽且","naval","fleet"
"蜗牛","价端","海龟","岁弦","snail","turtle"
"无政府主义","倒归体","资本主义","纫厨死升","anarchy","capitalism"
"污染","颠偏","辐射","船尉","contamination","radiation"
"脊柱","血暂","腹部","脱言","spinal","abdominal"
"私人","哲测","亲密","稿后","personal","intimate"
"终于","纸精","最后","遮慌","final","ultimate"
"管理","念装","达成","性置","manage","succeed"
"肮脏","棉蜂","污秽","破羊","nasty","filthy"
"解释","好恐","合理","差早","explanation","plausible"
"小憩","屋骂","漫步","尖众","nap","stroll"
