"pt_cue","pt_fake_cue","pt_target","pt_fake_target","en_cue","en_target"
"superior","tolia","inferior","inferigueia","top","bottom"
"paraíso","palhemso","inferno","injohnno","paradise","hell"
"fonte","blete","informante","inkleinmante","source","informant"
"relatar","chilatório","informar","inalmar","report","inform"
"infeliz","infenels","infortúnio","incluístúnio","unfortunate","misfortune"
"dose","resse","injeção","injeremy","dose","injection"
"injustiça","insigutiça","injusto","intrepto","injustice","unfair"
"aranha","aramai","inseto","mesinto","spider","insect"
"exame","sarme","inspeção","inspenhei","examination","inspection"
"inspirar","inspinhos","inspiração","inspiranhões","inspire","inspiration"
"ferramenta","shayeramenta","instrumento","minstamento","tool","instrument"
"esperto","esperiatro","inteligente","inteliatraíste","smart","intelligent"
"propósito","obexaustivo","intenção","intenberg","purpose","intention"
"acidentalmente","seqüesdentalmente","intencionalmente","intecionaxiphan","accidentally","intentionally"
"excitante","excifrõeste","interessante","interespleite","exciting","interesting"
"pessoal","transoal","íntimo","exertimo","personal","intimate"
"instinto","inseleito","intuição","inconsção","instinct","intuition"
"sem utilidade","stackhousem utilidade","inútil","raftil","useless","worthless"
"verão","velhi","inverno","injohnno","summer","winter"
"banqueiro","bannockro","investidor","investituíam","banker","investor"
"analista","anatomyta","investigador","incluíamtigador","analyst","investigator"
"examinar","aperminar","investigar","investimesha","examine","investigate"
"finança","fiaqueça","investir","invesguem","finance","invest"
"entrar","enclau","ir","ne","enter","go"
"irmã","ircao","irmão","irtua","sister","brother"
"ironia","pucnia","irônico","elípnico","irony","ironic"
"irracional","irraciodei","irresponsável","irrespondrias","unreasonable","irresponsible"
"armadilha","armadiríeis","isca","prica","trap","bait"
"camisa","camicros","jaqueta","jafronta","shirt","jacket"
"ombro","omjos","joelho","joepers","shoulder","knee"
"técnico","gramnico","jogador","jogações","coach","player"
"jogar","josete","jogo","joset","play","game"
"diamante","diacrestte","jóia","dvia","diamond","jewel"
"artigo","artituir","jornal","grinal","article","newspaper"
"repórter","rehámster","jornalista","aguennalista","reporter","journalist"
"tribunal","tribukows","juiz","jupé","court","judge"
"junho","juges","julho","juran","june","july"
"romeu","roteur","julieta","juliraim","romeo","juliet"
"senior","seguíaor","júnior","damônier","senior","junior"
"xingar","dexgar","juramento","muramenas","swear","oath"
"ilegal","ilezia","legal","juaplaudico","illegal","legal"
"vingança","vincresça","justiça","amartiça","revenge","justice"
"aqui","alui","lá","ze","here","there"
"fora","meira","dentro","dranto","outside","inside"
"rã","gö","lagarto","laconsto","frog","lizard"
"rio","feo","lago","larin","river","lake"
"atum","atu","lagosta","laplanta","tuna","lobster"
"chupar","tirpar","lamber","atuber","suck","lick"
"verde","tóide","laranja","latourja","green","orange"
"limpar","caipar","lavagem","lavalhas","clean","wash"
"dragão","drapou","leão","lebi","dragon","lion"
"esqueço","esabraço","lembrar","junbrar","forget","remember"
"pano","patia","lenço","farço","cloth","handkerchief"
"mito","micas","lenda","toyda","myth","legend"
"oeste","antte","leste","warte","west","east"
"conservador","conservanau","liberal","libenoit","conservative","liberal"
"membro","sobrol","líder","lícía","member","leader"
"táxi","tánhá","limusine","livinganie","taxi","limousine"
"bonito","bonimo","lindo","gosdo","pretty","beautiful"
"ming","bong","ling","lisz","ming","ling"
"arte","chate","literatura","literalingara","art","literature"
"bíblia","bíveio","livro","liovy","bible","book"
"lixeira","graxo","lixo","liquam","trash","garbage"
"urso","losso","lobo","lonia","bear","wolf"
"regional","varigional","local","lorus","regional","local"
"lugar, colocar","lugar, cozursky","localização","localiri","place","location"
"paranoico","paranoigland","louco","róico","paranoid","crazy"
"campeão","cameri","lutador","lutações","champion","fighter"
"combate","blutbate","lutar","lucre","combat","fight"
"trevas","deivas","luz","ziz","darkness","light"
"ketchup","ketblum","maionese","apresonese","ketchup","mayonnaise"
"pasta","tuire","mala de viagem","molu de versoldo","briefcase","suitcase"
"papai","pazos","mamãe","mazao","daddy","mum"
"trazer","tracon","mandar","cordar","bring","send"
"bombear","guarbear","mangueira","manchasra","pump","hose"
"amanhã","amadog","manhã","mafiz","tomorrow","morning"
"controlar","contrais","manipular","manipuríeis","control","manipulate"
"parceiro","partoutro","mano","maqui","dude","bro"
"mel","oul","manteiga","mangoldga","honey","butter"
"preservar","presergens","manter","mandra","preserve","maintain"
"serviço","tranviço","manutenção","manunallyção","service","maintenance"
"bússola","ilíasola","mapa","matur","compass","map"
"robô","rotu","máquina","máadorna","robot","machine"
"marinho","marições","marinha","marições","marine","navy"
"pirata","piacerta","marinheiro","marizaçoro","pirate","sailor"
"anúncio","uníscio","marketing","markechar","advertising","marketing"
"bastão","basqui","martelo","adultelo","stick","hammer"
"ioga","renga","massagem","massanhos","yoga","massage"
"engolir","engoethe","mastigar","mastições","swallow","chew"
"envenenar","polig","matar","mamos","poison","kill"
"física","anessica","matemática","matexiphantica","physics","mathematics"
"boa","cea","mau","giu","good","bad"
"mínimo","adonimo","máximo","adoximo","minimum","maximum"
"técnico","gramnico","mecânico","metriusnico","technical","mechanical"
"troféu","tromós","medalha","medagens","trophy","medal"
"artefato","artematos","medalhão","medabert","artifact","medallion"
"álcool","guincool","droga","driagae","alcohol","drug"
"horror","horjay","medo","zindo","horror","fear"
"meia-noite","meiacrestte","meio-dia","scroodia","midnight","noon"
"mudança","mulherça","melhoria","metrairia","change","improvement"
"mais","maye","menos","melan","plus","minus"
"aviso","merso","mensagem","atrasagem","warning","message"
"mentira","atratira","mentiroso","exaustiroso","lie","liar"
"ferro","susro","metal","meper","iron","metal"
"quilômetro","krishmetro","metro","meler","kilometer","meter"
"câmera","fenômera","microfone","miblackfone","camera","microphone"
"telescópio","tetravôcópio","microscópio","midlandcópio","telescope","microscope"
"civil","ciços","militares","militachyon","civil","military"
"embaixada","empressoda","ministério","michelltério","embassy","ministry"
"embaixador","empressodor","ministro","mieléctro","ambassador","minister"
"segundo","seoverdo","minuto","minatoma","second","minute"
"pobreza","poajuiza","miséria","miséções","poverty","misery"
"perdão","perpen","misericórdia","misericórground","forgiveness","mercy"
"tarefa","tarelhos","missão","bersão","task","mission"
"foguete","foamorte","míssil","mísbeu","rocket","missile"
"segredo","secaindo","mistério","queitério","secret","mystery"
"combinação","combafor","mistura","queitura","combination","mixture"
"humilde","huguarde","modesto","mosciuto","humble","modest"
"seco","blico","molhado","mozartdo","dry","wet"
"creme","sarme","molho","moret","cream","sauce"
"tela","quila","monitor","monicles","screen","monitor"
"colina","equilina","montanha","aprotanha","hill","mountain"
"soma","crema","montante","aprotante","sum","amount"
"número","playmero","morada","queirada","number","address"
"banana","baadorna","morango","moobrigo","banana","strawberry"
"aspirina","astronôrina","morfina","wildfina","aspirin","morphine"
"sofra","sovon","morrer","morpio","suffer","die"
"vivo","videi","morta","ceita","alive","dead"
"terra","chera","mosca","vanca","land","fly"
"templo","cleppora","mosteiro","queiteiro","temple","monastery"
"hotel","hoxas","motel","mozia","hotel","motel"
"tanque","plique","motor","mográ","tank","engine"
"às vezes","às vleil","muitas vezes","vuitas bléia","sometimes","often"
"extremamente","exavarmente","muito","nicto","extremely","very"
"viúva","sépva","mulher","mupõem","widow","woman"
"internacional","inshoshannacional","mundo","anodo","international","world"
"nervo","saívo","músculo","birdculo","nerve","muscle"
"biblioteca","bibliodlandsca","museu","munhe","library","museum"
"jazz","jaro","música","clausica","jazz","music"
"álbum","álvak","música","clausica","album","song"
"cantor","candei","músico","whitsico","singer","musician"
"evolução","granlução","mutação","mutens","evolution","mutation"
"país","papu","nação","namen","country","nation"
"afogar","oligar","nadar","nalha","drown","swim"
"boca","ranca","nariz","naqui","mouth","nose"
"diarréia","diarzers","náusea","náuriz","diarrhea","nausea"
"positivo","poexaustivo","negativo","tordativo","positive","negative"
"com ciumes","com cialya","nervoso","thunvoso","jealous","angry"
"preocupado","sandupado","nervoso","thunvoso","worried","nervous"
"chuva","funva","neve","neram","rain","snow"
"nuvem","nukin","névoa","néjie","cloud","fog"
"noivo","talvo","noiva","galva","groom","bride"
"saudável","crisdável","normal","norcon","healthy","normal"
"sul","byl","norte","juste","south","north"
"excepcional","excepciodei","notável","notáquio","exceptional","remarkable"
"canal","carás","notícias","norobôscias","channel","news"
"velho","vería","novo","nomia","old","young"
"nu","siu","despido","siu","nude","naked"
"atômico","chicmico","nuclear","nutriaar","atomic","nuclear"
"indústria","indúschar","negócio","neguibi","industry","business"
"claramente","saphiramente","obviamente","obviaatraíste","clearly","obviously"
"mar","eir","oceano","esnovano","sea","ocean"
"sulista","supõemta","ocidental","anesdental","southern","western"
"cobrir","stopa","ocultar","braltar","cover","hide"
"insulto","inkrypto","ofender","anunder","insult","offend"
"leilão","leiman","oferta","quelta","auction","sale"
"oficialmente","seqüescialmente","oficial","exercial","officially","official"
"carvão","cartes","óleo","dâeo","coal","oil"
"comboio","comqueo","ônibus","béabus","train","bus"
"hoje","hocão","ontem","onnar","today","yesterday"
"escolha","escobrir","opção","opsie","choice","option"
"inimigo","apermigo","oponente","krisnente","enemy","opponent"
"planeta","queineta","órbita","aquibita","planet","orbit"
"olho","olpy","orelha","zarlha","eye","ear"
"arranjo","arameijo","organizar","organichiwa","arrange","organize"
"rachadura","ravenodura","orifício","guarfício","crack","hole"
"primavera","unila","outono","cleptono","spring","autumn"
"setembro","setemlham","outubro","outugues","september","october"
"escutar","escurun","ouvir","ourad","listen","hear"
"ninho","nicia","ovo","óio","nest","egg"
"ar","ço","oxigênio","stargênio","air","oxygen"
"envelope","envecharpo","pacote","paabaste","envelope","package"
"monge","trage","padre","paxes","monk","priest"
"adulto","causto","pai","kii","adult","parent"
"mãe","eio","pai","kii","mother","father"
"entusiasmo","entutankhaasmo","paixão","paijes","enthusiasm","passion"
"seminário","seminálhões","palestra","palessing","seminar","lecture"
"tio","puo","papai","paody","uncle","dad"
"eterno","tresno","para sempre","pria menpre","eternal","forever"
"seção","seten","parágrafo","parágramercy","section","paragraph"
"sobrenatural","somanganatural","paranormal","paralingmal","supernatural","paranormal"
"evitar","ceptar","pare","pacos","prevent","stop"
"matéria","imporveis","partícula","aguentícula","matter","particle"
"chegada","aprogada","partida","constida","arrival","departure"
"torneio","tordent","partida","constida","tournament","match"
"futuro","oporturo","passado","imensado","future","past"
"bilhete","biinalte","passaporte","passaqueiate","ticket","passport"
"borboleta","hillsboleta","pássaro","señosaro","butterfly","bird"
"dirigir","diritown","passeio","pasçais","drive","ride"
"cochilo","thota","passeio","pasçais","nap","stroll"
"miserável","miserátrais","patético","padawantico","miserable","pathetic"
"ganso","busso","pato","crito","goose","duck"
"guarda","equida","patrulha","patruções","guard","patrol"
"quebra","quegio","pausa","arasa","smash","break"
"fragmento","aquimento","peça","cança","fragment","piece"
"comando","colhesdo","pedido","peabando","command","order"
"rocha","rosel","pedra","peten","rock","stone"
"estômago","tremmago","peito","valto","stomach","chest"
"tubarão","tubalhas","peixe","quexe","shark","fish"
"vagina","fringina","pênis","pêchi","vagina","penis"
"considerar","considevíeis","pensar","pendes","consider","think"
"pouco","pejohnno","pequeno","pejohnno","little","small"
"ideal","kraal","perfeito","pertracto","ideal","perfect"
"batom","bavet","perfume","consfume","lipstick","perfume"
"pergunta","perafasta","perguntar","perprestar","question","ask"
"risco","acico","perigo","perinhas","risk","danger"
"arriscado","artlandcado","perigoso","perigoblins","risky","dangerous"
"raio","raga","perímetro","perímenahem","radius","perimeter"
"estágio","estánhar","período","peofendo","phase","period"
"ficar","ficos","permanecer","permanemouth","stay","remain"
"seguir","sebas","perseguir","perserant","follow","chase"
"personagem","personatalya","personalidade","linquenalidade","character","personality"
"visão","vislização","perspectiva","soutupectiva","view","perspective"
"interromper","intergeistper","perturbar","perturling","interrupt","disturb"
"frango","inesgo","peru","pites","chicken","turkey"
"caçando","careisdo","pescaria","pescações","hunting","fishing"
"garganta","gararesta","pescoço","charcoço","throat","neck"
"população","popudrões","pessoas","transoas","population","people"
"truque","digque","piada","screada","trick","joke"
"astronauta","astroafronta","piloto","masloto","astronaut","pilot"
"artista","arplanta","pintor","bertor","artist","painter"
"tigela","changela","placa","serca","bowl","plate"
"preparação","preparanhões","planejamento","masejamento","preparation","planning"
"cimento","cinhosto","plástico","plítico","cement","plastic"
"explicação","esfiscação","plausível","karssível","explanation","plausible"
"cinzas","evizas","pó","úl","ash","dust"
"oxidado","cluído","poeirento","poeimenta","rusty","dusty"
"texto","tunto","poema","poeling","text","poem"
"jogatina","transgatina","poker","pokopf","gambling","poker"
"jornalismo","aguennalismo","política","poexaustica","journalism","politics"
"política","poexaustica","político","poexaustico","policy","politician"
"crítico","sheltico","político","poexaustico","critical","political"
"inserir","insemann","por","eyr","insert","put"
"volta","burta","ao redor","pocria","round","around"
"vaca","roica","porco","dreco","cow","pig"
"janela","bournela","porta","crita","window","door"
"portal","restal","portão","porven","portal","gate"
"baía","baxá","porto","rento","bay","harbor"
"status","starin","posição","posivais","status","position"
"chance","aceice","possibilidade","linquesibilidade","chance","possibility"
"dourado","nheirado","prateado","aceta","golden","silver"
"literalmente","literalatraíste","praticamente","bigueticamente","literally","practically"
"confortável","conaguentável","prazeroso","ianteroso","comfortable","pleasant"
"necessário","nemouthsário","precisar","precipres","necessary","need"
"valor","vanes","preço","menço","value","price"
"presa","consa","predador","ifundagor","prey","predator"
"xerife","amasrife","prefeito","precogsto","sheriff","mayor"
"nobel","notlev","prêmio","lizmio","nobel","prize"
"punir","pureu","prender","prichadu","punish","arrest"
"preocupação","preocutão","receio","preocupatochique","concern","worry"
"pronto","bridto","preparar","prepanhei","ready","prepare"
"elogio","tingio","presente","preabaste","compliment","gift"
"chanceler","elecceler","presidente","presiguaiste","chancellor","president"
"pulso","gerso","pressão","preslos","pulse","pressure"
"botão","boran","pressione","sunnysione","button","press"
"branco","glauco","preto","jesto","white","black"
"secundário","searshadário","primário","acalmário","secondary","primary"
"relativo","varativo","primo","harmo","relative","cousin"
"princesa","acoscesa","principe","acoscipe","princess","prince"
"cela","adoplula","prisão","prirem","cell","prison"
"pena","carna","prisão","prirem","penalty","imprisonment"
"refém","retuá","prisioneiro","prisioprothero","hostage","prisoner"
"privado","achavado","privacidade","seqüesvacidade","private","privacy"
"dificuldade","difibethesdade","problema","propharma","trouble","problem"
"processar","proatrasar","procedimento","macedimento","process","procedure"
"fábrica","fácharca","produção","produrant","factory","production"
"marca","blica","produtos","produrant","brand","product"
"criar","cron","produzir","produmond","create","produce"
"reitor","sistor","professor","profesquem","dean","professor"
"aluna","breni","professora","procalypsora","student","teacher"
"amador","merdor","profissional","protecçäosional","amateur","professional"
"projeto","aleijeto","programa","proqueima","project","program"
"proibido","apalbido","proibir","proiast","forbidden","prohibit"
"garantia","garanquei","promessa","protransa","guarantee","promise"
"advogado","admillsgado","promotor","promocles","lawyer","prosecutor"
"propriedade","protecçäoedade","proprietário","protecçäoetário","property","owner"
"continuar","exaustinuar","prosseguir","prossezard","proceed","continue"
"regra","reneo","protocolo","gladstocolo","rule","protocol"
"modelo","moderick","protótipo","aguentótipo","model","prototype"
"evidência","cresdência","prova","nhava","evidence","proof"
"probabilidade","linquabilidade","provável","prováquia","probability","likely"
"talvez","podepeãs","provavelmente","provavelatraíste","maybe","probably"
"habilitar","habilivings","providenciar","seqüesvidenciar","enable","provide"
"anatomia","flectomia","psicologia","aguencologia","anatomy","psychology"
"médico","quindico","psicológico","seqüescológico","medical","psychological"
"multidão","multigues","público","púfresco","crowd","audience"
"escalar","escabrão","pular","pudes","climb","jump"
"empurrar","emchilre","puxar","pucon","push","pull"
"quantidade","acrestidade","qualidade","grizzlidade","quantity","quality"
"base","tásse","quartel general","guartil gennof","base","headquarters"
"terceiro","terburyro","quarto","aphasto","third","fourth"
"sala","sados","quarto","aphasto","room","bedroom"
"dois","ewis","quatro","quavrax","two","four"
"pão","jmo","queijo","amêijo","bread","cheese"
"contaminação","contaminocovis","radiação","radiacrest","contamination","radiation"
"devagar","devalium","rapidamente","rapidaatraíste","slowly","quickly"
"distância","displaycia","rapidez","rapichas","distance","speed"
"ocasionalmente","freqüensionalmente","raramente","raracluíste","occasionally","rarely"
"camundongo","gusse","rato","ratalhõesna","mouse","rat"
"justo","lhera","razoável","ralheivel","fair","reasonable"
"verdadeiro","verdaliyahro","real","relem","TRUE","real"
"otimista","erecmista","realista","varalista","optimistic","realistic"
"na verdade","na realidersham","realmente","varvimente","actually","really"
"gerador","geragens","reator","reafitt","generator","reactor"
"somente","sobroute","recentemente","vercentemente","just","recently"
"bônus","bôzei","recompensa","varvicompensa","bonus","reward"
"internet","interbury","rede","bande","internet","web"
"aumentar","aumenções","reduzir","redumond","increase","reduce"
"comida","colhesda","refeição","refeijões","food","meal"
"limonada","livinganada","refrigerante","sifrierante","lemonade","soda"
"rainha","brenha","rei","uii","queen","king"
"real","relem","reino","vorno","royal","kingdom"
"filosofia","filosomewhe","religião","reliches","philosophy","religion"
"eliminar","acorminar","remover","remorais","eliminate","remove"
"contratar","conaceitar","renda","inada","hire","rent"
"lucro","ludos","renda","inada","profit","income"
"consertar","conadaptar","reparar","repanhei","fix","repair"
"apavorante","apavoluçäote","assustador","varpusstador","scary","creepy"
"sujo","sudam","repugnante","verpugnante","dirty","disgusting"
"carreira","truireira","reputação","marputação","career","reputation"
"quente","clante","frio","restlessado","hot","cold"
"seqüestrador","sanditrador","resgate","obrigate","kidnapper","ransom"
"resistência","sesistnecia","resistir","resisguem","resistance","resist"
"responda","restruida","responder","responchos","answer","reply"
"bar","aír","restaurante","restaucluíste","pub","restaurant"
"resultado","varvicado","desfecho","varviqueicho","result","outcome"
"de volta","de voperd","retorna","regresna","back","return"
"coletar","coleahua","reunir","reureu","collect","gather"
"playboy","playpoly","revista","replanta","playboy","magazine"
"pobre","podez","rico","rimen","poor","rich"
"sorrir","elirir","risada","rinhosda","smile","laugh"
"estrada","esacorda","rodovia","rodoroff","road","highway"
"césar","cémia","roma","flemo","caesar","rome"
"dramático","aguenmático","romântico","roexaustico","dramatic","romantic"
"roubar","herbar","assaltar","assauvou","steal","rob"
"roubo","bambo","assalto","asseuto","theft","robbery"
"avenida","ocornida","rua","gea","avenue","street"
"reconhecer","varonhecer","sabia","sajar","recognize","knew"
"espionagem","espionadricks","sabotar","saboxing","espionage","sabotage"
"caixa","limxa","sacola","saçõesla","box","bag"
"sopa","soker","salada","saçõesda","soup","salad"
"pensão","penlos","salário","saláções","pension","salary"
"herói","hebab","salvador","consvador","hero","savior"
"resgate","obrigate","salvar","quivar","rescue","save"
"ninja","ninnif","samurai","samulões","ninja","samurai"
"bota","tacta","sapato","mapato","boot","shoe"
"radar","rapri","satélite","tungstélite","radar","satellite"
"felicitar","felicifrões","saudar","lindar","congratulate","greet"
"fome","marme","sede","lóide","hunger","thirst"
"previdência","previlhões","segurança","segulhõesça","security","safety"
"protegido","protelhar","seguro","segulhar","safe","secure"
"escolher","escobaum","selecione","seleciotoshik","choose","select"
"mês","ros","semana","acalmana","month","week"
"diário","loirio","semanalmente","semazursimente","daily","weekly"
"nunca","avoca","sempre","semtao","never","ever"
"parlamento","masarlamento","senado","seguirdo","parliament","senate"
"governador","gokrishnador","senador","senações","governor","senator"
"código","afirdigo","senha","sepul","code","password"
"senhor","sechal","senhora","seguisra","lord","lady"
"inquilino","ingramslino","senhorio","seaviário","tenant","landlord"
"ficar de pé","fucir dres","sentar","cultar","stand","sit"
"impressão","imemulsão","sentimento","sensaçäodome","impression","feeling"
"agulha","cislha","seringa","seamarga","needle","syringe"
"fala","trola","sermão","sertem","speech","sermon"
"escravo","esequívo","servo","enevo","slave","servant"
"turnê","yeur","show","shpá","tour","concert"
"silencioso","silenciosomething","silêncio","siegipcio","silent","silence"
"ok","gá","sim","mym","okay","yeah"
"bandeira","queideira","símbolo","frinbolo","flag","symbol"
"simplesmente","simigualmente","simples","simpard","simply","simple"
"frequência","frequênnho","sinal","sidiu","frequency","signal"
"formulário","queimato","assinar","sidiu","form","sign"
"sintoma","agratoma","síndrome","afrodrome","symptom","syndrome"
"rede","apode","sistema","adoptema","network","system"
"apelido","equilido","sobrenome","solunome","nickname","surname"
"viver","viais","sobreviver","sobreviathan","live","survive"
"neto","douto","sobrinho","sobriaulo","grandson","nephew"
"lua","dya","sol","yol","moon","sun"
"lunar","lutás","solar","sociá","lunar","solar"
"exigem","bengem","solicitação","solicitakehaya","demand","request"
"ruído","enedo","som","mõem","noise","sound"
"sombra","somgio","sombrio","hunbrio","shadow","dark"
"cápsula","ginssula","sonda","whida","capsule","probe"
"pesadelo","pealmôndelo","sonho","sobia","nightmare","dream"
"voz","zoz","sotaque","sotalhan","voice","accent"
"solitário","sozições","sozinho","sozições","alone","lonely"
"substituir","substipert","substituto","aprentituto","replace","substitute"
"o suficiente","o suficiegewing","suficiente","netherficiente","enough","sufficient"
"propor","prosel","sugerir","sugemann","propose","suggest"
"objeto","obmeto","sujeito","sutracto","object","subject"
"leite","ocute","suco","sucum","milk","juice"
"camada","caçõesda","superfície","superfítland","layer","surface"
"inferior","sel maixo","superior","superichito","lower","upper"
"conclusão","congressão","suposição","suposides","conclusion","assumption"
"cego","celen","surdo","plodo","blind","deaf"
"dúvida","fragvida","suspeito","apropeito","doubt","suspect"
"potencial","posiçäocial","talento","tanhisto","potential","talent"
"chão","chal","tapete","taquarte","floor","carpet"
"noite","krate","tarde","cinde","night","evening"
"caracol","caraguês","tartaruga","agüentaruga","snail","turtle"
"olá","drá","tchau","buau","hello","bye"
"cinema","ciacalma","teatro","teagens","cinema","theater"
"pele","pecrar","tecido","anuncido","skin","tissue"
"método","prestodo","técnica","olímnica","method","technique"
"chamar","chares","telefone","bralefone","call","telephone"
"rádio","rágou","televisão","tevingos","radio","television"
"calor","cateu","temperatura","sanduiperatura","heat","temperature"
"vento","carto","tempestade","temafrontade","wind","storm"
"sargento","sarcristo","tenente","teabaste","sergeant","lieutenant"
"golfe","sinfe","tênis","têvão","golf","tennis"
"experimentar","experichardatar","tentar","tencia","try","attempt"
"audição","audinhas","tentativas","abruptativas","hearing","trial"
"ideia","idrua","teoria","teodles","idea","theory"
"gerir","geven","ter sucesso","ter sucekraut","manage","succeed"
"segunda-feira","sebethesdafeira","terça","jança","monday","tuesday"
"experimento","expericharestar","teste","acete","experiment","test"
"testemunha","aprontemunha","testemunho","chutemunho","witness","testimony"
"nome","nocar","título","clastulo","name","title"
"cobertor","coberfest","toalha","toamingo","blanket","towel"
"batata","baaperta","tomate","toaconte","potato","tomato"
"furacão","furabert","tornado","shannado","hurricane","tornado"
"tormento","torquayto","tortura","efectura","torment","torture"
"agricultor","bitocultor","trabalhador","trabrosidor","farmer","worker"
"trabalho","trabakers","trabalhar","trabakers","job","work"
"moderno","moaquino","tradicional","ladicional","modern","traditional"
"triste","fracte","trágico","emergico","sad","tragic"
"derrubar","sarterrubar","trago","rengo","drop","sip"
"espião","esging","traidor","alardor","spy","traitor"
"chave","perve","trancar","transís","key","lock"
"mover","moris","transferir","aprenferir","move","transfer"
"sensor","senteá","transmissor","aprenmissor","sensor","transmitter"
"frente","oceâte","traseira","tranhasra","front","rear"
"terapia","teragens","tratamento","matramento","therapy","treatment"
"um","mè","três","trut","one","three"
"círculo","trasculo","triângulo","aguenângulo","circle","triangle"
"metade","meacende","trimestre","tribuintre","half","quarter"
"duplo","dubet","triplo","trifec","double","triple"
"coroa","cosad","trono","verno","crown","throne"
"relâmpago","varlampago","trovão","troars","lightning","thunder"
"ponte","auste","túnel","tútai","bridge","tunnel"
"distintivo","disexaustivo","uniforme","aperforme","badge","uniform"
"faculdade","uniquíssidade","universidade","uniriquíssidade","college","university"
"sangue","sandar","urina","chona","blood","urine"
"aplique","aplican","usar","quar","apply","use"
"comum","conak","usual","irial","ordinary","usual"
"normalmente","aguenmalmente","usualmente","opresalmente","normally","usually"
"antídoto","masítodo","vacina","coincina","antidote","vaccine"
"deserto","deamisto","vale","vadas","desert","valley"
"merecer","merequin","valioso","vasubooso","deserve","worthy"
"zumbi","erebi","vampiro","anespiro","zombie","vampire"
"rodeio","roflin","vaqueiro","vagensro","rodeo","cowboy"
"luminária","luminálhões","vela","touila","lamp","candle"
"âncora","frescora","velejar","veletics","anchor","sail"
"caixão","caicom","velório","velóções","coffin","funeral"
"devagar","devalium","velozes","veloving","slow","fast"
"fracassado","aguencassado","vencedora","aguarcedora","loser","winner"
"comprar","comvros","vender","vontri","buy","sell"
"chegar","cheche","venha","vemen","arrive","come"
"válvula","scatvula","ventilação","exaustilação","valve","ventilation"
"marte","lette","vênus","vêgie","mars","venus"
"verifica","verichareca","verificar","verifiqueisa","check","verify"
"saia","saló","vestir","vesdei","skirt","dress"
"dvd","dab","vídeo","vílov","dvd","video"
"acampamento","triunpamento","vila","rella","camp","village"
"revelação","cevelação","visão","vilos","revelation","vision"
"proteína","proboiúna","vitamina","aguentamina","protein","vitamin"
"uísque","cãique","vodka","jitka","whiskey","vodka"
"voluntário","voluntálhões","voluntariamente","voluntexiphan","volunteer","voluntarily"
"pousar","fessar","voo","nyo","landing","flight"
"maioria","aponoria","voto","sunto","majority","vote"
"sherlock","sherdacks","watson","watroid","sherlock","watson"
"área","cúea","zona","panna","area","zone"
