zh_cue,zh_target,en_cue,en_target,zh_fake_cue,zh_fake_target
牢房,监狱,cell,prison,去哀,驰进
挖掘,埋葬,dig,bury,兴力,注誉
植物,花卉,plant,flower,弄劳,每海
单元,部门,unit,division,补输,巢好
慢慢,迅速,slowly,quickly,护识,苦下
糖果,巧克力,sugar,chocolate,调草,上弃
潜力,天赋,potential,talent,龟免,阉解
链条,绳索,chain,rope,蒙谢,城钱
首都,城市,capital,city,憨期,餐心
布偶,玩具,doll,toy,被详,悔群
圆圈,三角,circle,triangle,雕面,割捷
慈善,捐款,charity,donation,书止,胶果
沉默,安静,silent,silence,作浑,士账
指甲,牙齿,nail,tooth,昏制,帝织
日常,每周,daily,weekly,无镇,玉拆
耐心,同情,patience,compassion,命菜,窥掉
方法,技术,method,technique,往庇,变意
专辑,歌曲,album,song,开温,源教
紧急,迫切,urgent,emergency,殖准,圆生
礼貌,友好,polite,friendly,上仪,然头
周年,生日,anniversary,birthday,息画,版坐
狭窄,宽阔,narrow,wide,课道,光老
瘟疫,流行,plague,epidemic,出易,积次
拍卖,销售,auction,sale,速血,皮钱
问候,礼物,compliment,gift,车做,钟丈
野蛮,残忍,brutal,cruel,霸汗,烧映
乘客,司机,passenger,driver,景急,分失
成分,元素,factor,element,盖权,鸟选
内部,外面,internal,external,扭立,主种
讽刺,揶揄,irony,ironic,弄特,卫犯
南部,西部,southern,western,感户,语数
黑手党,卡特尔,mafia,cartel,忈好党,淫带
宇航员,飞行员,astronaut,pilot,幽总囧,蕾改花
今日,昨天,today,yesterday,阀渎,贴杂
职业,工作,job,work,生难,谚提
身体,尸首,body,corpse,打馈,修铜
半点,一刻,half,quarter,冷蝗,伏专
麻烦,问题,trouble,problem,夭直,行柠
支持,帮助,support,assistance,印精,菜若
复仇,正义,revenge,justice,林变,何多
模型,雏形,model,prototype,福定,军送
允许,赞同,permission,approval,高金,腔言
胃部,胸膛,stomach,chest,凭场,母室
拒绝,接受,refuse,accept,案疙,足荫
数据,信息,data,information,安名,刑别
全部,整体,total,complete,管碎,淀圈
收藏,搜罗,collect,gather,黯核,谣敌
生气,愤怒,anger,rage,做莲,战住
降低,升高,lower,upper,庖获,留投
道路,小径,route,path,灯千,鱼阴
环境,气氛,environment,atmosphere,布素,曱有
丛林,森林,jungle,forest,校岁,处素
程序,机器,robot,machine,对板,后合
泥泞,沙子,mud,sand,行达,壁装
徽章,制服,badge,uniform,照掉,海贺
神经,肌肉,nerve,muscle,慢相,谈持
清醒,沉醉,sober,drunk,极漏,鹰浪
组成,混合,combination,mixture,钱角,齐五
淹没,游泳,drown,swim,及谢,矿人
阶段,时期,phase,period,墙饯,节郑
阴谋,欺骗,conspiracy,fraud,璨地,尊手
闲话,丑闻,gossip,scandal,骨禁,揭头
特权,荣誉,privilege,honor,香铝,考属
氏族,家庭,clan,family,日竹,貌盘
色情,电影,porn,movie,商伏,俸植
服务员,侍应生,waiter,waitress,炸坐,热垫
奖金,报酬,bonus,reward,幼焊,残贿
蜘蛛,昆虫,spider,insect,铁嚷,量钢
驴子,马儿,donkey,horse,正粪,心脱
腰子,肝脏,kidney,liver,糖定,坚茶
日历,计划,calendar,schedule,面定,丝中
津贴,薪水,pension,salary,调霉,聚制
殷勤,热情,enthusiasm,passion,喧绕,手医
洒脱,自由,freely,free,产近,选子
管辖,权威,jurisdiction,authority,感叉,湾出
军团,兵营,regiment,battalion,事敌,子钢
启发,灵感,inspire,inspiration,统泥,童钢
航站,机场,terminal,airport,青装,手期
瑜伽,按摩,yoga,massage,直然,撰患
铁骑,炮兵,cavalry,artillery,弒泪,难盗
民用,军用,civil,military,协节,票供
研讨,演讲,seminar,lecture,和笔,扑走
阿司匹林,吗啡,aspirin,morphine,镜官,冻计
光盘,视频,dvd,video,子袋,气接
凯撒,罗马,caesar,rome,横趣,爱改
安全,保护,safe,secure,春器,满镇
校准,维修,fix,repair,士马,惊回
杀手,凶手,killer,murderer,危封,牙精
公平,合理,fair,reasonable,升翼,税发
清空,装满,empty,full,公力,图落
喂养,吃饭,feed,eat,煞管,世杆
双倍,三重,double,triple,特人,经指
受苦,死亡,suffer,die,榨急,国无
信用,贷款,credit,loan,疫煤,上洼
半夜,中午,midnight,noon,带应,抗手
中断,打扰,interrupt,disturb,指音,击泻
地位,职务,status,position,蚓卧,软医
魅力,美丽,charm,beauty,宽抗,滚煤
网络,主页,internet,web,蜂学,茶红
射手,刺客,shooter,sniper,解钟,剧秘
疯狂,愚蠢,madness,stupidity,道农,肠节
月台,车站,platform,station,景笑,然馑
苹果,水果,apple,fruit,液合,气阻
离开,逃脱,flee,escape,白情,地态
汤匙,叉子,spoon,fork,奏位,断射
工场,车间,workshop,garage,子选,取庄
好客,感激,hospitality,gratitude,出望,和援
土豆,番茄,potato,tomato,琴跑,楼取
院长,教授,dean,professor,纹租,楼情
苦难,酷刑,torment,torture,强寒,大掩
避难,庇护所,refuge,shelter,熟绑,梅款
片剂,药丸,tablet,pill,山局,违踪
静脉,动脉,vein,artery,导拖,管案
男爵,女爵,baron,countess,茶光,降不
公斤,克数,kilo,gram,裂取,风姑
卖家,买方,seller,buyer,宜才,记翘
王国,皇帝,imperial,emperor,迷石,鞋车
军团,部队,legion,army,怒倒,低查
开车,驾驭,drive,ride,狐台,人礼
落下,坍塌,fall,collapse,莽洗,陷矮
智慧,大脑,brain,cerebral,命右,死酷
教会,教堂,church,chapel,勾稿,地查
突然,不料,suddenly,unexpectedly,实古,顺绩
抉择,选择,choose,select,晚处,通剪
店铺,仓库,shop,store,惧于,葬慈
月亮,太阳,moon,sun,越势,推痰
营地,村庄,camp,village,台质,请物
目的,意图,purpose,intention,席局,缠称
柔软,温和,soft,gentle,衰来,疑力
大碗,盘子,bowl,plate,钱名,滚持
闪耀,明亮,shine,bright,是复,邮亲
情妇,爱人,mistress,lover,蕉石,女想
继续,维持,proceed,continue,惨猛,号喝
金属,银器,golden,silver,对毡,解监
郡县,地区,county,district,身完,活密
冲突,争议,conflict,dispute,案街,拼马
靴子,皮鞋,boot,shoe,轮场,事叉
动物,马戏,zoo,circus,垫动,田友
工具,仪器,tool,instrument,待面,造凯
错误,过失,error,mistake,下仿,读鸽
多数,投票,majority,vote,内乐,为炒
奖杯,勋章,trophy,medal,语费,恋抵
可口,美味,tasty,delicious,姜聚,流凉
唇部,脸颊,lip,cheek,下入,摧绰
威严,殿下,majesty,highness,故育,藕尖
技术,机械,technical,mechanical,听货,西正
蛋白质,维他命,protein,vitamin,矿笔,抄枪吸
罗盘,地图,compass,map,鱼平,酱探
生锈,灰尘,rusty,dusty,内刀,净罪
牢固,坚定,firmly,strongly,补往,乐苍
荷尔蒙,肾上腺,hormone,adrenaline,预员,掌瞎
罗密欧,朱丽叶,romeo,juliet,战透尛,促密棋
夏洛克,沃森,sherlock,watson,签流燚,到法
带来,发送,bring,send,劝症,风坏
食物,一餐,food,meal,垫场,牧通
顶端,底部,top,bottom,服头,转管
证据,证明,evidence,proof,台心,跳妹
受害,攻击,victim,attacker,厄汤,梳版
皮肤,组织,skin,tissue,淫铲,体酒
注意,吸引,attention,attract,心困,根倒
承认,坦白,admit,confess,接以,和投
担心,紧张,worried,nervous,阴死,道汗
沙滩,海岸,beach,coast,道集,捕反
建议,劝告,advice,advise,营元,淫划
结果,产物,result,outcome,查子,露防
勇气,决心,courage,determination,农杉,线缩
可笑,荒诞,ridiculous,absurd,弱门,溜现
生病,恶心,ill,sick,风茶,干报
确实,实际,literally,practically,改美,擦文
用具,装备,equipment,equip,传怎,体手
猴子,猩猩,monkey,gorilla,去杜,题野
宝藏,财富,treasure,wealth,漆教,会辄
需要,请求,demand,request,请术,骨上
部分,段落,section,paragraph,顿票,重安
平衡,和谐,balance,harmony,市导,原倒
原因,托辞,motive,alibi,触兄,下肉
恢复,愈合,recover,heal,搬见,坛如
护送,陪伴,escort,accompany,碰残,窗版
提示,警报,alert,alarm,碎煎,物可
评论,陈述,comment,statement,华理,材窝
高阶,初级,senior,junior,绳达,落户
侮辱,冒犯,insult,offend,油帮,叫亮
反抗,抵制,resistance,resist,与杯,一疑
爆裂,炸开,burst,explode,扰唱,耳切
无偿,自愿,volunteer,voluntarily,兵剪,防起
喇叭,哨子,horn,whistle,热限,有标
抗议,示威,protest,demonstration,胧业,岳亡
谦卑,端庄,humble,modest,醉络,安黑
辉煌,荣耀,glorious,glory,列彩,软理
幼稚,悲观,naive,cynical,阔残,体割
青蛙,蜥蜴,frog,lizard,尘酱,断聚
日落,黎明,sunset,dawn,激数,学项
昵称,姓名,nickname,surname,处赛,积文
丝绸,棉花,silk,cotton,北油,求黄
口红,香水,lipstick,perfume,反偶,进山
咳嗽,发热,cough,fever,会妓,圣住
层次,表面,layer,surface,启土,破人
大蒜,洋葱,garlic,onion,惹介,执烤
松鼠,浣熊,squirrel,raccoon,航罩,机集
棱锥,结构,pyramid,structure,温耳,贬觉
无知,傲慢,ignorance,arrogance,诵收,大弹
赤裸,光溜,nude,naked,名任,级指
水兵,海军,marine,navy,出遗,掳罢
长跑,比赛,marathon,race,于守,洋盘
舱体,探测,capsule,probe,星思,调记
其次,首要,secondary,primary,实试,家碎
竞技,牛仔,rodeo,cowboy,凶青,共泊
文凭,毕业,diploma,graduate,不线,据空
障碍,挑战,obstacle,challenge,匀鱼,偏文
高潮,勃起,orgasm,erection,货体,不词
半径,周长,radius,perimeter,颊火,普善
超人,蝙蝠侠,superman,batman,来瓷,承去趸
太平洋,大西洋,pacific,atlantic,问钱槑,躞吃闷
离开,放弃,leave,abandon,投滩,让举
查看,核实,check,verify,召约,生点
正面,后部,front,rear,坐音,荣疹
臀部,屁股,ass,butt,迫瓜,讯大
最后,终于,finally,eventually,诈情,安火
推动,拉住,push,pull,缜负,界退
应该,值得,deserve,worthy,鱼先,闭特
看法,观点,view,perspective,付灭,心焊
桌子,书房,desk,office,烟寄,铁请
演讲,传道,speech,sermon,气报,世拿
人群,观众,crowd,audience,念衍,零慕
害怕,吓唬,scare,frighten,阻箱,丁本
无用,不值,useless,worthless,盛凡,出落
荷载,货物,load,cargo,席咪,区盛
竞争,选举,campaign,election,看力,票言
触发,激活,trigger,activate,子找,贱老
对立,相反,opposite,contrary,畜罐,遮延
赌博,扑克,gambling,poker,到男,真力
候选,选民,candidate,voter,浸徒,高周
水泵,软管,pump,hose,子堵,嫁平
极端,致命,deadly,fatal,圃法,邮新
烤箱,火炉,oven,stove,水肉,达程
排除,去掉,eliminate,remove,绪看,称租
脆弱,敏感,delicate,sensitive,尿航,函轨
成人,父母,adult,parent,叙光,差卖
熔化,冻结,melt,freeze,制激,理敌
才干,能力,capacity,ability,机监,发帽
出现,发生,occur,happen,鼎剪,道种
贿赂,勒索,bribe,blackmail,主支,设隔
总和,数量,sum,amount,充贯,墙追
保存,维持,preserve,maintain,版栽,短碰
爱好,运动,hobby,sport,新骂,质妇
猪肉,肉类,pork,meat,工流,商草
抛锚,航行,anchor,sail,参解,句温
大鹅,小鸭,goose,duck,万公,棚利
碳素,氢气,carbon,hydrogen,散遭,疗业
片段,碎块,fragment,piece,霍脏,亭幼
奉承,佩服,flatter,impress,义混,米办
声纳,丁,ping,ding,松居,常惊
原子,核能,atomic,nuclear,讲断,谢版
诺奖,奖项,nobel,prize,飞状,待奖
打击,碰撞,hit,strike,纸过,藏抱
声音,口音,voice,accent,税子,焦罢
伙计,兄弟,dude,bro,孽宪,原怯
烹饪,厨师,cook,chef,越自,爵与
保卫,巡逻,guard,patrol,订站,翻拯
厚重,坚实,heavy,heavily,招除,叔电
基地,总部,base,headquarters,性湖,薪远
命运,定数,fate,destiny,积掩,火权
新鲜,提神,fresh,refresh,铺见,辱队
可怕,怪异,scary,creepy,曲塘,友办
吸吮,舔舐,suck,lick,职标,直家
垃圾,废物,trash,garbage,概爹,星液
悲惨,可怜,miserable,pathetic,品口,来诬
安排,组织,arrange,organize,弱卖,尖法
概念,定义,concept,definition,战题,为幸
倡导,建议,propose,suggest,牙住,迷送
预算,经费,budget,funding,自吻,紧疆
商标,产品,brand,product,王拓,紧员
接待,聚会,reception,party,蒸场,酒道
吞咽,咀嚼,swallow,chew,狭船,讲印
打针,注射,needle,syringe,悭茶,导急
联盟,团队,league,team,车奋,人沼
新郎,新娘,groom,bride,会豁,闪胆
饥饿,口渴,hunger,thirst,态滚,抛香
禁止,遏制,forbidden,prohibit,球卷,挑夜
无助,虚弱,helpless,powerless,热进,怀间
粮食,面粉,grain,flour,想泥,笛火
贫困,苦难,poverty,misery,劳音,红大
本能,直觉,instinct,intuition,译屋,火长
进化,突变,evolution,mutation,内失,去苏
广告,营销,advertising,marketing,半疤,行旧
柜子,壁橱,cabinet,closet,菜调,包轴
低估,夸大,underestimate,exaggerate,乳踪,荧伍
望远镜,显微镜,telescope,microscope,视运,画岗
捆绑,领带,bind,tie,扬训,庄诊
保守,自由,conservative,liberal,贪诣,素非
阀门,通风,valve,ventilation,古旅,货熬
插入,放进,insert,put,子堕,狂牌
腹泻,呕吐,diarrhea,nausea,逃知,书逆
数目,质量,quantity,quality,日称,用装
天然,人造,natural,artificial,令历,诗侨
偶然,故意,accidentally,intentionally,文波,粉完
虫子,小蛇,worm,snake,某定,许表
保姆,女佣,nanny,maid,横义,癌红
印记,签名,stamp,signature,存议,资定
飓风,旋风,hurricane,tornado,世酱,罪主
番茄酱,蛋黄酱,ketchup,mayonnaise,栏控,殿着
火药,炸药,gunpowder,dynamite,游公,钦字
王朝,帝国,dynasty,empire,流奇,起民
导航,通信,navigation,communication,眼男,户析
保养,维护,service,maintenance,量主,厄责
额外,附加,extra,additional,缺涌,完到
鲔鱼,龙虾,tuna,lobster,现刷,扰砌
佣兵,刺客,mercenary,assassin,统堵,示化
专家,学者,analyst,investigator,口民,令椅
月球,太阳,lunar,solar,提艺,冬逼
管理,行政,management,administrative,热开,出丰
不幸,厄运,unfortunate,misfortune,做队,分准
绑架,诱拐,kidnap,abduct,笼血,症酋
小吃,午餐,snack,lunch,搜解,浸差
测试,检查,examination,inspection,刺火,省笔
辞职,解雇,resignation,dismissal,债老,心要
神奇,超常,supernatural,paranormal,入猪,出问
卓越,非凡,exceptional,remarkable,亲紧,飞疚
青春,少年,teenage,teenager,恶暑,马钳
基因,指纹,dna,fingerprint,今藤,筒漆
地区,局部,regional,local,贴玩,发押
能够,提供,enable,provide,工好,知开
宽面,意粉,lasagna,spaghetti,低敢,事踪
新闻,政治,journalism,politics,家尖,土冷
解剖学,心理学,anatomy,psychology,速共,改鬼
肉桂,香草,cinnamon,vanilla,尝本,布歹
不会,无法,inability,unable,子中,归楼
刺探,破坏,espionage,sabotage,平说,字受
想象,创造,imagination,creativity,童打,道物
天然,通常,naturally,generally,熟师,这洗
偶尔,很少,occasionally,rarely,昆罪,除赞
惩罚,监禁,penalty,imprisonment,掌叶,光书
擂台,战场,arena,battlefield,油中,位放
孤儿院,修道院,orphanage,convent,拍甜,凳匹
富翁,商人,millionaire,entrepreneur,贿给,和笔
柠檬,苏打,lemonade,soda,挑例,重祭
绑匪,赎金,kidnapper,ransom,功暖,爆境
操作,功能,operational,functional,腰颊,选水
字典,短语,dictionary,phrase,稿肉,决质
租户,房东,tenant,landlord,饶闯,周位
不合理,不可靠,unreasonable,irresponsible,氼人复,回呷福
轰动的,壮观的,sensational,spectacular,慑困,志菜
财政,金融,financially,financing,稿陪,水僻
时髦,优雅,fashionable,elegant,糠预,琴亲
炸药,计时,detonator,timer,附果,增退
同情,慷慨,compassionate,generous,支乞,笑挂
武器,军火,arsenal,armory,荣战,霄炮
海军,舰队,naval,fleet,托子,泽且
蜗牛,海龟,snail,turtle,价端,岁弦
无政府主义,资本主义,anarchy,capitalism,倒归体,纫厨死升
污染,辐射,contamination,radiation,颠偏,船尉
脊柱,腹部,spinal,abdominal,血暂,脱言
私人,亲密,personal,intimate,哲测,稿后
终于,最后,final,ultimate,纸精,遮慌
管理,达成,manage,succeed,念装,性置
肮脏,污秽,nasty,filthy,棉蜂,破羊
解释,合理,explanation,plausible,好恐,差早
小憩,漫步,nap,stroll,屋骂,尖众
