"tr_cue","tr_fake_cue","tr_target","tr_fake_target","en_cue","en_target"
"ölüm","ölıl","kaybolma","kayayırma","death","disappearance"
"kayıt","kaşaf","kaydetme","kacai","record","recording"
"kurtarmak","kuraçılmak","korumak","kayıt eijing","rescue","save"
"hadise","quay","kaza","kalık","incident","accident"
"kaybeden","becerikyecek","kazanan","kazabeth","loser","winner"
"edinmek","kakorkmak","kazanmak","kabald","gain","win"
"köpek","köunt","kedi","rildi","dog","cat"
"tatlı","noklı","pasta","kuv","dessert","cake"
"saygı","kengı","güven","kezdinden ömin","respect","confidence"
"başkent","başekly","şehir","bunt","capital","city"
"kurbağa","kuzbağa","kertenkele","inançtenkele","frog","lizard"
"atıcı","garcı","keskin nişancı","kezgin nibenci","shooter","sniper"
"gözyaşı","göz ymody","kesik","dolmek","tear","cut"
"cehalet","cehaving","kibir","kigun","ignorance","arrogance"
"turnuva","odaknuva","maç","lütrit","tournament","match"
"anahtar","anahron","kilit","kiçuk","key","lock"
"kiracı","kirapist","ev sahibi","kibaya peren","tenant","landlord"
"kiralama","kileceklama","kira","kibaya bermek","hire","rent"
"karakter","kachester","kişilik","kişiıyor","character","personality"
"kutsal kitap","kutsal kcelyn","kitap","kiang","bible","book"
"kalabalık","kavabalık","izleyici","üçüle","crowd","audience"
"parçalamak","transparamparça etmek","kırmak","rulmak","smash","break"
"yaz","azz","kış","kıh mezsimi","summer","winter"
"erkekler","eriti","kızlar","zaklar","boys","girls"
"tipik","tiena","klasik","kladel","typical","classic"
"hastane","açıktane","klinik","taynik","hospital","clinic"
"büyük","bürao","kocaman","pecaman","big","huge"
"tat","dımak pevki","koku","kolet","taste","smell"
"el","çe","kol","byl","hand","arm"
"bakmak","lunmak","izlemek","kol svelt","look","watch"
"imkansız","imasılsız","kolay","komir","impossible","easy"
"yüzük","yüely","kolye","derye","ring","necklace"
"drama","asıma","komedi","kozedi","drama","comedy"
"müfettiş","müfetines","komisyon üyesi","koyisyon öyesi","inspector","commissioner"
"ırkçı","ırmçı","komünist","komüward","racist","communist"
"tur","arr","konser","konnal","tour","concert"
"durum","dular","pozisyon","kotik","status","position"
"sohbet","kokorkmak","konuşmak","kokorkmak","talk","speak"
"rom","azm","konyak","konnus","rum","cognac"
"orijinal","aleyjinal","kopya","ifaya","original","copy"
"dehşet","gönku","korku","gönku","horror","fear"
"ürkütmek","martmak","korkutmak","korsarsmak","scare","frighten"
"iyi","yai","kötü","gittü","good","bad"
"takip etmek","takip ebably","kovalamak","kovalaurent","follow","chase"
"rodeo","roiji","kovboy","kovkit","rodeo","cowboy"
"kamp","kave","köy","fty","camp","village"
"sokmak","ranmak","koymak","kofmak","insert","put"
"kraliçe","aileliçe","kral","krus","queen","king"
"asil","asrt","krallık","gençlık","royal","kingdom"
"durum","dular","kriz","krrp","situation","crisis"
"biraz","bigis","küçük","küole","little","small"
"göz","maz","kulak","kurir","eye","ear"
"uygulamak","uygulaurent","kullanmak","kulkorkmak","apply","use"
"çamur","çarah","kum","erm","mud","sand"
"ulusal","adisal","küresel","küreborn","national","global"
"ayı","dakorkmak","kurt","kuza","bear","wolf"
"kahraman","programan","kurtarıcı","ajanstarıcı","hero","savior"
"komisyon","koilüzyon","komite","kuçem","commission","committee"
"kelebek","kelenald","kuş","teş","butterfly","bird"
"güç","radvet","kuvvet","gruvet","strength","force"
"akraba","prograba","kuzen","kukâr","relative","cousin"
"güney","güneş ışminsky","kuzey","kubum","south","north"
"lezzetli","uçurzetli","enfes","uçurzetli","tasty","delicious"
"tutucu","tuturist","liberal","libeford","conservative","liberal"
"koy","zly","liman","liniz","bay","harbor"
"taksi","girsi","limuzin","limukesh","taxi","limousine"
"ming","mice","ling","lios","ming","ling"
"ganimet","ganiikie","madalya","maaşımya","trophy","medal"
"eser","esqu","madalyon","mailüzyon","artifact","medallion"
"dükkan","hırkan","mağaza","masforza","shop","store"
"rehin","resüz","mahkum","mahrow","hostage","prisoner"
"mahrem","tiel","gizlilik","evergremiyet","private","privacy"
"robot","rorıl","makine","maaşımne","robot","machine"
"minimum","mininist","maksimum","maksirist","minimum","maximum"
"adil","adrt","makul","maers","fair","reasonable"
"emlak","emrir","mal sahibi","mal sahratch","property","owner"
"yetimhane","yeamanthane","dergah","maalıştır","orphanage","convent"
"tapınak","tapınak şakak ransky","manastır","maalıştır","temple","monastery"
"kontrol","kontkün","manipule etmek","benipule ehmek","control","manipulate"
"açıklama","inanlama","mantıklı","manonaylı","explanation","plausible"
"yoga","garga","masaj","mapio","yoga","massage"
"fizik","fikum","matematik","mabomatik","physics","mathematics"
"kahverengi","elektverengi","mavi","marun","brown","blue"
"ketçap","ketşiı","mayonez","mayodard","ketchup","mayonnaise"
"kültür","pastür","medeniyet","medeninally","culture","civilization"
"teknik","tekdün","mekanik","mekabart","technical","mechanical"
"telgraf","telgugh","mektup","mekcer","telegram","letter"
"kumaş","kuann","mendil","menmud","cloth","handkerchief"
"bağışlama","bainançlama","merhamet","açıkhamet","forgiveness","mercy"
"sabır","sagei","merhamet","açıkhamet","patience","compassion"
"üs","tehir","karargah","merdai","base","headquarters"
"kalibre","kaspectreli","mermi","tutmi","caliber","bullet"
"demir","dejın","metal","menim","iron","metal"
"kilometre","kilookingre","metre","ayare","kilometer","meter"
"engel","enrış","meydan okumak","meydan okterfly","obstacle","challenge"
"elma","bahma","meyve","mezve","apple","fruit"
"süt","irt","meyve suyu","meyve sacock","milk","juice"
"mezar","mekun","mezarlık","meaçıklık","grave","cemetery"
"diploma","atışloma","mezun olmak","mezun ooters","diploma","graduate"
"ishal","isley","mide bulantısı","mihe bureztısı","diarrhea","nausea"
"kamera","edilmera","mikrofon","mikroiser","camera","microphone"
"teleskop","telescent","mikroskop","mikrospard","telescope","microscope"
"toplam","adamlamak","miktar","ititar","sum","amount"
"milyon","unuyon","milyar","senyar","million","billion"
"mühendis","mühenlard","mimar","mirey","engineer","architect"
"görev","göbum","misyon","lamyon","task","mission"
"aspirin","aspicard","morfin","yumfin","aspirin","morphine"
"otel","otch","motel","modia","hotel","motel"
"tank","taah","motor","momim","tank","engine"
"elmas","elçim","mücevher","mücevland","diamond","jewel"
"üretici","ayırtici","yönetici","müret","producer","director"
"belki","sinki","muhtemelen","elekttemelen","maybe","probably"
"sansasyonel","fıksasyonel","muhteşem","muhtegiz","sensational","spectacular"
"ideal","kökal","mükemmel","mükemkins","ideal","perfect"
"lamba","eyaba","mum","erm","lamp","candle"
"hasta","çıkta","müşteri","ilerteri","patient","client"
"evrim","evdey","mutasyon","muilüzyon","evolution","mutation"
"mütevazı","mütenecekzı","alçakgönüllü","mütenecekzı","humble","modest"
"memnun","siknun","mutlu","şeylu","satisfied","happy"
"kütüphane","kümilkshane","müze","verze","library","museum"
"caz","ltz","müzik","müliş","jazz","music"
"alet","alci","enstrüman","müzik alaworld","tool","instrument"
"şarkıcı","oluşkıcı","müzisyen","müzisford","singer","musician"
"ara sıra","ara slünç","nadiren","nadialar","occasionally","rarely"
"yumuşak","yumumond","nazik","nakum","soft","gentle"
"sebep","sedüt","neden","nelim","reason","cause"
"büyük baba","büyük bering","nene","kanne","grandfather","grandmother"
"zevk","zepü","neşe","nerır","pleasure","joy"
"final","firüm","nihai","niite","final","ultimate"
"amaç","amgı","niyet","nimiz","purpose","intention"
"sağlıklı","sağkrallı","normal","gölmal","healthy","normal"
"atomik","mitmik","nükleer","martleer","atomic","nuclear"
"ne","öğ","o","b","what","that"
"nobel","nomat","ödül","ödre","nobel","prize"
"bonus","bosım","mükafat","ödre","bonus","reward"
"çalışma masası","çazışma azsası","ofis","ojis","desk","office"
"kızgınlık","kızuzaklık","öfkelenmek","öfkeöidürmek","anger","rage"
"kız","azz","oğlan","oğğiz","girl","boy"
"abur cubur","abel pabur","öğle yemeği","öfbe bemeği","snack","lunch"
"gece yarısı","gene yabısı","öğlen","öğsak","midnight","noon"
"öğrenmek","öğedilmek","öğretmek","öğedilmek","learn","teach"
"öğrenci","kangrenci","öğretmen","öğedilmen","student","teacher"
"kız evlat","kız ejong","oğul","omul","daughter","son"
"tavsiye","progsiye","öğüt vermek","idiy vermek","advice","advise"
"hava","haba","oksijen","oksilard","air","oxygen"
"sınıf","sıgaç","okul","trul","class","school"
"deniz","decek","okyanus","okyaberg","sea","ocean"
"sıradan","sırapist","olağan","olamus","ordinary","usual"
"şans","şala","olasılık","anımsılık","chance","possibility"
"deney","derir","test","ölbas","experiment","test"
"zehir","zedem","öldürmek","ölzeltmek","poison","kill"
"meydana gelmek","meydana gerength","olmak","ozmak","occur","happen"
"acı çekmek","orlanmak","ölmek","öldüy","suffer","die"
"canlı","şüplı","ölü","çıü","alive","dead"
"ölümüne","ölümpur","ölümcül","ölümfek","deadly","fatal"
"olumlu","pozilong","olumsuz","ucunsuz","positive","negative"
"yüzyıl","yüzens","on yıl","oncell","century","decade"
"izin","vain","onay","onhe","permission","approval"
"onay","franla","onaylamak","ayırlamak","confirmation","confirm"
"ikincil","ikinrer","birincil","öncedars","secondary","primary"
"üye","bse","lider","önyıp","member","leader"
"anlam","ancik","önem","önlt","meaning","importance"
"değerli","dekompli","önemli","ilerli","valuable","important"
"teklif etmek, önermek","desteklif etmek, önermek","önermek","aletmek","propose","suggest"
"ayrıcalık","ayrıcaworth","onur","onba","privilege","honor"
"burada","prograda","orada","kasda","here","there"
"kaz","ltz","ördek","örhım","goose","duck"
"lejyon","zilyon","ordu","lundu","legion","army"
"vahşi orman","oryim","orman","oryim","jungle","forest"
"tren","reen","otobüs","otoled","train","bus"
"ayakta durmak","ayakta duuntry","oturmak","edilmak","stand","sit"
"çoğunluk","çodostluk","oy","ig","majority","vote"
"oynamak","gelna","oyun","ohun","play","game"
"oyuncak bebek","ozencak becek","oyuncak","osuncak","doll","toy"
"antrenör","anç","oyuncu","unutcu","coach","player"
"sadakât","sadaleyn","özveri","alisveri","fidelity","devotion"
"mektup","dantup","paket","paham","envelope","package"
"ipek","ippe","pamuk","pahio","silk","cotton"
"peşin","pezım","para","kurra","cash","money"
"bölüm","bötip","paragraf","patentraf","section","paragraph"
"doğaüstü","doolittüstü","paranormal","paranordecek","supernatural","paranormal"
"bankacılık","elektkacılık","finansal","parapist","banking","financial"
"fragman","itacman","parça","olaça","fragment","piece"
"ruj","noj","parfüm","parlei","lipstick","perfume"
"ışıltı","parağırlık","parlaklık","parrir","shine","bright"
"dna","kzl","parmak izi","pazmak özi","dna","fingerprint"
"resepsiyon","realitysiyon","parti","olati","reception","party"
"madde","koğim","parçacık","eleştika","matter","particle"
"bilet","bimiz","pasaport","pasanell","ticket","passport"
"deprem","depmar","patlama","oyunlama","earthquake","explosion"
"patlamak","sezlamak","patlatmak","patrickmak","burst","explode"
"bomba","tesba","patlayıcı","everglayıcı","bomb","explosive"
"yönetici","yönetimothy","patron","sorron","manager","boss"
"cumartesi","cugoldstesi","pazar","palün","Saturday","Sunday"
"reklâm","reknuk","pazarlama","parentslama","advertising","marketing"
"vajina","alerjina","penis","peğan","vagina","penis"
"görüş","gömüz","perspektif","mildpektif","view","perspective"
"ekmek","eksil","peynir","kılnir","bread","cheese"
"astronot","astroving","pilot","pihur","astronaut","pilot"
"edepsiz","chessiz","pis","işs","nasty","filthy"
"hazırlık","hakrallık","planlama","unutlama","preparation","planning"
"çimento","çicristo","plastik","skantik","cement","plastic"
"kumar","kuong","poker","porum","gambling","poker"
"kritik","tiptik","politik","polisans","critical","political"
"politika","politilecek","politikacı","belitikacı","policy","politician"
"yeşil","yeçun","turuncu","anahtakal","green","orange"
"resmen","ateşkelimenin tam anlamıyla","pratikte","risktikte","literally","practically"
"prenses","prenkül","prens","priss","princess","prince"
"dekan","decep","profesör","profenell","dean","professor"
"amatör","uçutör","profesyonel","obofesyonel","amateur","professional"
"proje","suçje","program","proglıp","project","program"
"işlem","işnal","prosedür","proselans","process","procedure"
"kural","kunie","protokol","protosans","rule","protocol"
"model","mopar","prototip","protoudou","model","prototype"
"anatomi","oluştomi","psikoloji","elektkoloji","anatomy","psychology"
"tıbbi","swebi","psikolojik","prikolojik","medical","psychological"
"tüttürmek","sigara irength","puro","redro","smoke","cigar"
"kıç","beek","popo","nst","ass","butt"
"bulaşma","budistma","radyasyon","ölümyasyon","contamination","radiation"
"keşiş","kexer","rahip","rarok","monk","priest"
"düşman","benman","rakip","rahar","enemy","opponent"
"sincap","sinnük","rakun","radip","squirrel","raccoon"
"jeneratör","jeneradecek","reaktör","reakfast","generator","reactor"
"resmi olarak","resmi olhultz","resmi","mutmi","officially","official"
"sanatçı","sarockçı","ressam","mutsam","artist","painter"
"pub","umb","restoran","adamtoran","pub","restaurant"
"sezar","sekie","roma","çırma","caesar","rome"
"dramatik","eleşmatik","romantik","roürettik","dramatic","romantic"
"ruh","röh","tin","och","soul","spirit"
"kâbus","kâxon","rüya","gizya","nightmare","dream"
"yarın","yalet","sabah","sadız","tomorrow","morning"
"akşam yemegi","akşam yemaworld","kahvaltı","bezah jehvaltısı","dinner","breakfast"
"ispiyonculuk","cablokluk","sabotaj","sabohers","espionage","sabotage"
"sadık","samaz","vefalı","samaz","loyal","faithful"
"gün batımı","gun batrefıl","şafak","şaeks","sunset","dawn"
"kör","cir","sağır","saliş","blind","deaf"
"etkinleştirme","blackskinleştirme","sağlamak","dostlamak","enable","provide"
"plaj","plüp","kıyı","sasur","beach","coast"
"komplo","asislo","sahtekar","progtekar","conspiracy","fraud"
"hile","durle","şaka","şasem","trick","joke"
"saç","anç","sakal","sajik","hair","beard"
"sessizlik","ilişsizlik","sakinlik","saözellik","quiet","calm"
"örtmek","kahew","saklamak","unutlamak","cover","hide"
"aptal","apsim","salak","sarir","fool","idiot"
"çorba","depba","salata","oğullata","soup","salad"
"kurban","kurnem","saldırgan","saldırford","victim","attacker"
"istila","isaraçla","saldırı","ayırdırı","invasion","attack"
"pazartesi günü","kazartesi sünü","salı","solı","monday","tuesday"
"kişisel","kişiyeering","samimi","ailemimi","personal","intimate"
"şarap","şazie","şampanya","gençpanya","wine","champagne"
"yarışma","yaunutma","şampiyona","elektpiyonluk","competition","championship"
"ninja","ezija","samuray","samuiser","ninja","samurai"
"masa","şişlo","sandalye","açıkdalye","table","chair"
"rüşvet","rüşkil","şantaj","şanhis","bribe","blackmail"
"mil","oll","santimetre","augustimetre","mile","centimeter"
"kilise","kiönemse","şapel","şabit","church","chapel"
"kask","kauf","şapka","teyka","helmet","hat"
"ayık","ayah","sarhoş","saryik","sober","drunk"
"kırmızı","edilmızı","sarı","ayırı","red","yellow"
"öpmek","meycük","sarılmak","sainanmak","kiss","hug"
"albüm","alguk","şarkı","içekı","album","song"
"müzayede","azik artzırma","satış","sagit","auction","sale"
"satın almak","satın aoking","satmak","tılmak","buy","sell"
"savaş","sazör","muharebe","sanif","war","battle"
"arena","mehna","savaş alanı","saben akanı","arena","battlefield"
"asker","asyip","savaşçı","sarockçı","soldier","warrior"
"şampiyon","gençpiyon","savaşçı","sarockçı","champion","fighter"
"avukat","avunel","savcı","evicı","lawyer","prosecutor"
"korumak","korubens","savunmak","saulaşmak","protect","defend"
"hak etmek","hak eşizm","saygıdeğer","sofgıdeğer","deserve","worthy"
"baron","bacar","kontes","sapor","baron","countess"
"seçim","seras","seçenek","seçeling","choice","option"
"kampanya","oyunpanya","seçim","sekır","campaign","election"
"tercih etmek","ünç","seçmek","günme","choose","select"
"aday","quay","seçmen","günmen","candidate","voter"
"pişirmek","piöpüşmek","şef","arf","cook","chef"
"yoksulluk","yokdostluk","sefalet","sefaiziy","poverty","misery"
"tebrik etmek","tebrik eality","selamlamak","sedeceklamak","congratulate","greet"
"bayrak","mevrak","sembol","tipbol","flag","symbol"
"ilçe","ilşim","semt","seja","county","district"
"parlamento","parlagraysto","senato","sebeto","parliament","senate"
"vali","revli","senatör","senakavt","governor","senator"
"semptom","semphen","sendrom","sendvut","symptom","syndrome"
"beyin","betık","serebral","seballral","brain","cerebral"
"galeri","veynleri","sergi","yangi","gallery","exhibition"
"ılık","mjık","serin","senar","warm","cool"
"zorlu","tuklu","çetin","eart","tough","hard"
"gürültü","gürültüuntry","ses","lms","noise","sound"
"sessiz","gülsiz","sessizlik","ilişsizlik","silent","silence"
"metres","metvar","sevgili","inangili","mistress","lover"
"güzel","gükım","sevimli","semertli","nice","lovely"
"melek","mevay","şeytan","muttan","angel","devil"
"içgüdü","içgüdüworth","sezgi","bosgi","instinct","intuition"
"sıkıca","sıuzunca","şiddetle","testdetle","firmly","strongly"
"kodu","ruldu","kod","tayre","code","password"
"tütün","tünie","sigara","omurgara","tobacco","cigarette"
"büyü","bümis","büyücü","sihirrell","magic","wizard"
"metin","hötin","şiir","şitün","text","poem"
"tüfek","tüiss","ateşli silah","sişir","rifle","gun"
"tabanca","taaçıkca","silâh","sifag","pistol","weapon"
"kıskanç","kısrack","kızgın","sibizli","jealous","angry"
"endişeli","endiamondli","asabi","sibizli","worried","nervous"
"sıklık","norlık","sinyal","turyal","frequency","signal"
"komut","emedilmek","emir","sipamond","command","order"
"tatlı","noklı","şirin","şiler","sweet","cute"
"hayvanat bahçesi","geyvanat zahçesi","sirk","siby","zoo","circus"
"şirket","donket","ortaklık","posket","company","corporation"
"bulut","bufee","sis","sös","cloud","fog"
"bardak","barkus","şişe","şitun","glass","bottle"
"ağ","ña","sistem","sisnon","network","system"
"beyaz","behio","siyah","sinıt","white","black"
"gazetecilik","tezetecilik","politika","siyaring","journalism","politics"
"ısı","sıağırlık","sıcaklık","sıağırlık","heat","temperature"
"moda","numda","şık","jık","fashionable","elegant"
"bazen","bania","sıklıkla","sınlıkla","sometimes","often"
"iğne","ödüne","şırınga","şımortga","needle","syringe"
"kutu","kusız","sırt çantası","dırt mastası","box","bag"
"sıvı","sıkol","akışkan","sıfuz","liquid","fluid"
"kömür","kölua","yağ","sıvırinç","coal","oil"
"dedikodu","dedirecekdu","skandal","skanrer","gossip","scandal"
"fırın","fızam","soba","şamba","oven","stove"
"limonata","livingsnata","soda","nizda","lemonade","soda"
"sarımsak","saunutsak","soğan","sored","garlic","onion"
"sıcak","sıpez","soğuk","sotav","hot","cold"
"köşe","kögan","sokak","sodeş","corner","alley"
"bulvar","bulyüm","sokak","sodeş","avenue","street"
"ilkbahar","baund","sonbahar","sonbaking","spring","autumn"
"ilelebet","sonlan","ebedi","safsuza kabar","eternal","forever"
"sonuç","sodeh","netice","soute","result","outcome"
"nihayet","nihamish","sonuçta","soboksta","finally","eventually"
"soru","sonün","sormak","soh","question","ask"
"mantıksız","makul olmventry","sorumsuz","sorumland","unreasonable","irresponsible"
"sorun","soney","problem","soney","trouble","problem"
"krema","koem","sos","res","cream","sauce"
"rumuz","takmavenk","soyadı","soalındı","nickname","surname"
"hırsızlık","çaazaltması","soygun","soylia","theft","robbery"
"söylemek","söyleopar","anlatmak","söyleopar","say","tell"
"aşırmak","devmak","soygunculuk","vaşmak","steal","rob"
"güvence","gaeleşti","vaat","söz vevinç","guarantee","promise"
"lazanya","lauderya","spagetti","eşitgetti","lasagna","spaghetti"
"hobi","içebi","spor","spnt","hobby","sport"
"ritim","ridan","stil","zeil","rhythm","style"
"plan","auan","strateji","straterecek","plan","strategy"
"günah","gücie","suç","anç","sin","crime"
"şikayet","şikazanç","suçlama","inanlama","complaint","accusation"
"masum","macen","suçlu","baslu","innocent","guilty"
"misafirperverlik","nizafirperverlik","minnettarlık","lafran","hospitality","gratitude"
"kuşkulanmak","canhe","şüphelenmek","ulaşheli","doubt","suspect"
"daima","her znesy","sürekli","süçiftli","always","constantly"
"binmek","vetmek","sürmek","fetmek","drive","ride"
"yolcu","sağcu","sürücü","sürüford","passenger","driver"
"açlık","açgöz","susuzluk","suikasluk","hunger","thirst"
"tas","hts","tabak","tageç","bowl","plate"
"alay","alkı","tabur","tagel","regiment","battalion"
"taç","anç","taht","taca","crown","throne"
"beğenmek","beişitmek","takdir etmek","tagbir ebmek","admire","appreciate"
"lig","igg","takım","tayun","league","team"
"takvim","takbün","çizelge","takzır","calendar","schedule"
"talihsiz","taönemsiz","talihsizlik","taurantsizlik","unfortunate","misfortune"
"boş","meş","dolu","beh poku","empty","full"
"kesinlikle","kedeceklikle","tamamen","tamaaşıy","absolutely","completely"
"toplam","toptük","eksiksiz","taeverglamak","total","complete"
"düzeltmek","düödeşmek","tamirat","tamiting","fix","repair"
"tanık","tahar","tanıklık","takançlık","witness","testimony"
"kavram","kavlıp","tanım","tamüş","concept","definition"
"profil","prosur","tanım","tamüş","profile","description"
"tanımak","tanıford","bilmek","tanıford","recognize","knew"
"görmek","renmek","tanışmak","takorkmak","see","meet"
"sohbet","kokorkma","tartışma","açıktışma","conversation","discussion"
"kaya","kasin","taş","geş","rock","stone"
"noel","noyum","tatil","taung","christmas","holiday"
"tilki","wheki","tavşan","tavrik","fox","rabbit"
"terapi","prograpi","tedavi","tedaland","therapy","treatment"
"çavuş","çapai","teğmen","acamen","sergeant","lieutenant"
"risk","rijo","tehlike","adamlike","risk","danger"
"riskli","vinçli","tehlikeli","abartlikeli","risky","dangerous"
"yöntem","yönrüz","teknik","tekdün","method","technique"
"kablo","onulo","tel","bop","cable","wire"
"aramak","ğırmak","telefon","teleiser","call","telephone"
"radyo","gruyo","televizyon","telenecekyon","radio","television"
"haziran","haziford","temmuz","temnün","june","july"
"golf","goda","tenis","temat","golf","tennis"
"fikir","fimus","teori","tekem","idea","theory"
"bal","hél","tereyağı","terenecekğı","honey","butter"
"ayrılmak","ratmak","terk etmek","terk esett","leave","abandon"
"minnettar","kartnettar","teşekkür","tebekkür efmek","grateful","thank"
"sinema","siayırma","tiyatro","tisenkro","cinema","theater"
"süvari","bratvari","topçu","kukçu","cavalry","artillery"
"biriktirmek","adamlamak","toplamak","adamlamak","collect","gather"
"konferans","konfecock","toplantı","odaklantı","conference","meeting"
"toplum","toptük","topluluk","toprar","society","community"
"ritüel","öpüştüel","tören","tömuz","ritual","ceremony"
"kül","hél","toz","maz","ash","dust"
"paslı","şırlı","tozlu","yutlu","rusty","dusty"
"üzücü","üzvet","trajik","travol","sad","tragic"
"ticari","maclam","tüccar","beşcar","commercial","merchant"
"köprü","eyarü","tünel","tüjik","bridge","tunnel"
"tavuk","taurt","hindi","lovskiye","chicken","turkey"
"tutmak","mermak","bulundurmak","urt","hold","keep"
"coşku","hefil","tutku","merku","enthusiasm","passion"
"cezalandırmak","cezalandırenerys","tutuklamak","tuinançlamak","punish","arrest"
"bir","öb","üç","üv","one","three"
"daire","dakun","üçgen","üçana","circle","triangle"
"çift","çinç","üçlü","maclü","double","triple"
"konmak","kace","uçmak","uçğım","land","fly"
"iniş","inec","uçuş","uçmu","landing","flight"
"pahalı","mashırslı","ucuz","iguz","expensive","cheap"
"ülke","tehke","millet","bius","country","nation"
"tahıl","taadi","un","öy","grain","flour"
"rozet","rorod","üniforma","utanforma","badge","uniform"
"kolej","kocom","üniversite","macgyversite","college","university"
"popüler","popürick","ünlü","stelü","popular","famous"
"fabrika","atışrika","üretim","zettim","factory","production"
"oluşturmak","adamturmak","üretmek","seltmek","create","produce"
"korkutucu","elektkutucu","ürpertici","üraugustici","scary","creepy"
"marka","adaka","ürün","ürwe","brand","product"
"aşağıdaki","daha ddilly","yukarıdaki","ite","lower","upper"
"gururlu","guzur dupmak","heyecanlı","ailerılmış","proud","excited"
"radar","ramün","uydu","dindu","radar","satellite"
"asmak","çaklı","idam","uygulaurent","hanging","execution"
"denge","sahge","uyum","fium","balance","harmony"
"dinlenmek","dinedilmek","uyumak","yükmak","rest","sleep"
"bilirkişi","uzyim","uzman","uzyim","expert","specialist"
"kısa","kımız","uzun","ryun","short","long"
"boyut","bokok","uzunluk","omuzluk","size","length"
"konuşma","kokorkma","vaaz","vacek","speech","sermon"
"çöl","hél","vadi","valar","desert","valley"
"zombi","adibi","vampir","vamamı","zombie","vampire"
"tarçın","tarvir","vanilya","vatrakya","cinnamon","vanilla"
"hazine","hapartne","varlık","geçlık","treasure","wealth"
"çıkarım","çötez","varsayım","varsaatin","conclusion","assumption"
"mars","maım","venüs","veter","mars","venus"
"sensör","senhon","verici","veriarty","sensor","transmitter"
"şov","gösedilmek","gösteri","vemız","show","performance"
"teklif","tekhur","vermek","rülmek","offer","give"
"dvd","mäd","video","viloz","dvd","video"
"protein","kenttein","vitamin","vitaokul","protein","vitamin"
"viski","çokki","votka","sınka","whiskey","vodka"
"çarpmak","zanmak","vurmak","vubor","hit","strike"
"alışılmadık","olağan dmestr","yabancı","yaakılcı","unusual","strange"
"ufo","övo","uzaylı","yaakılcı","ufo","alien"
"kapmak","yakalaurent","yakalamak","yakalaurent","grab","catch"
"gaz","ltz","yakıt","yaama","gas","fuel"
"emmek","yumek","yalamak","yalauren","suck","lick"
"yalan","yafet","yalancı","yaakılcı","lie","liar"
"tek başına","tek başmecek","yalnız","ununız","alone","lonely"
"dudak","dukus","yanak","yaşun","lip","cheek"
"sahte","nupara yahmak","yanliş","yannür","fake","FALSE"
"doğal","dopoc","yapay","yahım","natural","artificial"
"inşaat","inşairin","inşa etmek","yakip","construction","build"
"piramit","piraward","yapı","yakip","pyramid","structure"
"yapmak","lışmak","etmek","lışmak","make","do"
"dövme","brome","yara","yaraesar","tattoo","scar"
"süpermen","süedilmen","batman","yarasaterly","superman","batman"
"hayal gücü","hapal sücü","yaratıcılık","tabatıcılık","imagination","creativity"
"canavar","canading","yaratık","yarapist","monster","creature"
"yardım etmek","yardım banks","destek olmak","tutdım","help","assist"
"destek","desque","yardım","tutdım","support","assistance"
"maraton","marapist","yarış","yacon","marathon","race"
"yasaklı","yaağırlı","yasaklamak","yaeverglamak","forbidden","prohibit"
"yasadışı","yasadırecek","yasal","yarır","illegal","legal"
"kanepe","dizüs","yatak","yanüp","sofa","bed"
"oda","üra","yatak odası","yabak ebası","room","bedroom"
"finansman","figoldman","yatırım","yatıimak","finance","invest"
"bankacı","unutkacı","yatırımcı","yaborımcı","banker","investor"
"şair","şatan","yazar","yakun","poet","writer"
"okuma","hasma","yazma","yamaz","reading","writing"
"okumak","patman","yazmak","yabı yafmak","read","write"
"kapan","tuzak kuhultz","tuzak","bem","trap","bait"
"beslemek","adamlemek","yemek yemek","yetin","feed","eat"
"yiyecek","yizecek","yemek","yetin","food","meal"
"küfür","kükot","yemin","yeral","swear","oath"
"tümör","tüsıi","kanser","bepgeç bungu","tumor","cancer"
"taze","tarın","yenilemek","yenileopold","fresh","refresh"
"zafer","zamik","mağlubiyet","hızmek","victory","defeat"
"mekan","cir","konum","yör","place","location"
"bölgesel","bölgetirt","lokal","yecon","regional","local"
"yer değiştirmek","fer dekistirmek","yerine geçirmek","yerine geterfly","replace","substitute"
"potansiyel","potansihardt","yetenek","yeteling","potential","talent"
"yeterli","yekompli","elverişli","yekompli","enough","sufficient"
"yargı","tutgı","otorite","milki","jurisdiction","authority"
"temizlemek","teken","yıkamak","yıunutma","clean","wash"
"yaratma","yaayırma","yıkım","yırol","creation","destruction"
"solucan","solubert","yılan","yığiz","worm","snake"
"ünlü","memlü","star","yılzör","celebrity","star"
"odaklanma","ömak","konsantrasyon","yoğunoturtmak","focus","concentrate"
"mevcudiyet","mevcudilocks","yokluk","balluk","presence","absence"
"güzergah","güzereter","patika","yöz","route","path"
"yönetmek","yöezilmek","yönetimsel","yöneider","management","administrative"
"gezegen","gezerick","yörünge","yöesirge","planet","orbit"
"damlatmak","düriltmek","yudumlamak","yueverglamak","drop","sip"
"aşağı","yatğı","yukarı","yumurtrı","down","up"
"düşük","düica","yüksek","uyusek","low","high"
"ağırlık","gençlık","yükseklik","yükkrallik","weight","height"
"haşmet","marilynteli","yücelik","yükkrallik","majesty","highness"
"yuva","yuger","yumurta","yuanahta","nest","egg"
"roma","çırma","yunan","yumuz","roman","greek"
"koşmak","matmak","yürümek","yürüland","run","walk"
