"sk_cue","sk_fake_cue","sk_target","sk_fake_target","en_cue","en_target"
"rúž","ariž","parfum","pariač","lipstick","perfume"
"úbohý","úbstretný","patetický","patejorský","miserable","pathetic"
"oblička","obchytka","pečeň","pesón","kidney","liver"
"raj","dišaj","peklo","láslo","paradise","hell"
"vrecko","svedko","peňaženka","peňastrieka","pocket","wallet"
"hotovosť","hotoriek","peniaze","pezhroze","cash","money"
"vagína","valentna","penis","pežou","vagina","penis"
"papier","pasynchier","pero","pesky","paper","pen"
"pohľad","poškriaka","perspektíva","perplachtíva","view","perspective"
"album","aldža","pieseň","pieri","album","song"
"bahno","jino","piesok","idisok","mud","sand"
"astronaut","astrodikt","pilot","pikel","astronaut","pilot"
"tabletka","roztletka","pilulka","pinantka","tablet","pill"
"čítanie","čítastro","písanie","písamant","reading","writing"
"telegram","telenost","písmeno","vtipmeno","telegram","letter"
"roh","scoh","píšťalka","lokťalka","horn","whistle"
"puška","oreka","pištoľ","pišna","rifle","gun"
"piť","išť","pivo","vojvo","drink","beer"
"kotviť","morviť","plaviť","osvotiť","anchor","sail"
"oheň","ohapeň","plameň","plašaš","fire","flame"
"príprava","chrbrava","plánovanie","strienovanie","preparation","planning"
"cement","cezien","plast","zjedast","cement","plastic"
"prázdny","frankny","plný","tačný","empty","full"
"stena","zazna","plot","vuot","wall","fence"
"generál","genovič","plukovník","ukrýkovník","general","colonel"
"pláž","plue","pobrežie","pobredosť","beach","coast"
"kopať","koňou","zahrabať","zavzdávať","dig","bury"
"dojem","domil","pocit","pográ","impression","feeling"
"softvér","softazvú","počítač","počímien","software","computer"
"vďačný","zvraný","poďakovať","poďakostrel","grateful","thank"
"neobvyklý","neobskleslý","podivný","potaktný","unusual","strange"
"priemysel","schémysel","podnik","podčom","industry","business"
"milionár","miliburn","podnikateľ","podnikazach","millionaire","entrepreneur"
"pochybnosť","povzácnosť","podozrivý","pochiatrivý","doubt","suspect"
"pečiatka","pestovka","podpis","podrak","stamp","signature"
"konšpirácia","kontrastrácia","podvod","podzvon","conspiracy","fraud"
"rakva","josva","pohreb","pohečty","coffin","funeral"
"gambling","gamcykel","poker","pojit","gambling","poker"
"tichý","tiprý","pokojný","postatný","quiet","calm"
"vyskúšať","vyskúložiť","pokus","poxer","try","attempt"
"vypočutie","vypočuchách","pojednávanie","porenávanie","hearing","trial"
"nemocnica","nepriaznica","poliklinika","postrachlinika","hospital","clinic"
"kritický","elatický","politický","polijorský","critical","political"
"politika","pošľachtika","politik","polichov","policy","politician"
"žurnalistika","úchvatnalistika","politológia","pošlachtológia","journalism","politics"
"polnoc","polklad","poludnie","potresnie","midnight","noon"
"pomáhať","pobát","asistovať","asmáčiek","help","assist"
"podpora","šarpora","pomoc","pocem","support","assistance"
"profil","probab","popis","poríš","profile","description"
"rada","radentiach","poradiť","porament","advice","advise"
"víťazstvo","víliactvo","porážka","povieška","victory","defeat"
"seržant","serkout","poručík","poruchaj","sergeant","lieutenant"
"rana","žehna","zranenie","zraliažnenie","wound","injury"
"umožniť","umokých","poskytnúť","pokladnúť","enable","provide"
"úloha","melha","poslanie","pohodlnie","task","mission"
"priniesť","pripliet","poslať","pomosť","bring","send"
"prvý","prvpic","posledný","pozdraný","first","last"
"pohovka","poslanka","posteľ","pobiem","sofa","bed"
"stanovisko","stanostranko","postoj","pokvou","opinion","attitude"
"proces","prosat","postup","poskym","process","procedure"
"myš","toš","potkan","poniaš","mouse","rat"
"nevyhnutný","nevyvplyvný","potreba","pobejzba","necessary","need"
"potvrdenie","pomlaždenie","potvrdiť","pokladiť","confirmation","confirm"
"uplatniť","uplatkej","použitie","použiských","apply","use"
"kariéra","kazachséra","povesť","pokert","career","reputation"
"hovoriť","hovoných","povedať","poram","say","tell"
"zodpovednosť","zodpovedských","povinnosť","povincent","responsibility","duty"
"vrstva","vrašava","povrch","pokrie","layer","surface"
"zablahoželať","zablahožestvách","pozdraviť","pozláviť","congratulate","greet"
"žiadosť","žiadoute","požiadavka","požiastránka","demand","request"
"postavenie","pochôdzvenie","pozícia","pozíkoch","status","position"
"výnimočný","výnizvestný","pozoruhodný","pozorustriktný","exceptional","remarkable"
"zamestnanie","zasprávnanie","práca","tvoca","job","work"
"popol","pová","prach","farach","ash","dust"
"poľnohospodár","poľnohovlek","robotník","robotstvo","farmer","worker"
"presne","presáchva","skoro","zväčoro","literally","practically"
"pluk","pláš","prápor","prábaš","regiment","battalion"
"krava","dobva","prasa","opísa","cow","pig"
"hrdzavý","hrstivý","prašný","orijný","rusty","dusty"
"možno","rieno","pravdepodobne","umiestepodobne","maybe","probably"
"pravdepodobnosť","umiestdepodobnosť","pravdepodobný","umiestepodobný","probability","likely"
"nelegálny","nelegesný","legálny","kraválny","illegal","legal"
"beh","behukej","chôdza","chôstrieka","run","walk"
"zdriemnutie","zhlianutie","prechádzka","prestrieka","nap","stroll"
"kúpiť","kulím","predať","preska","buy","sell"
"korisť","kokrie","predátor","prevdánych","prey","predator"
"objekt","obvost","predmet","predvim","object","subject"
"seminár","semirium","prednáška","spoznáška","seminar","lecture"
"záver","zánov","predpoklad","predpoling","conclusion","assumption"
"podceňovať","podcelých","preháňať","prehástvu","underestimate","exaggerate"
"tréner","stáner","hráč","hravtých","coach","player"
"najať","chutjať","nájom","chutnájom","hire","rent"
"rezignácia","restranácia","prepustenie","prehliadtenie","resignation","dismissal"
"rozbiť","rozveť","pokaziť","pokikť","smash","break"
"pohyb","pohybóriach","presun","prereň","move","transfer"
"kancelár","kancemych","prezident","prezilock","chancellor","president"
"žiť","ráť","prežiť","preská","live","survive"
"priamy","franmy","priamo","chromo","direct","directly"
"kolega","kolečieš","priateľ","priacha","colleague","friend"
"zdvorilý","mierilý","priateľský","skonteľský","polite","friendly"
"vzťah","vnútuh","priateľstvo","priatevták","relationship","friendship"
"dôvod","dônet","príčina","svedčina","reason","cause"
"prezývka","predvicka","priezvisko","osvetvisko","nickname","surname"
"pohodlný","poslovný","príjemný","príplatný","comfortable","pleasant"
"zisk","nesk","príjem","agenem","profit","income"
"pozornosť","pozorcium","prilákať","vzdelákať","attention","attract"
"sekundárny","sekunmiestny","primárny","prikrétny","secondary","primary"
"kontakt","kontel","spojenie","blakpojenie","contact","connection"
"pripravený","priúschovený","pripraviť","pripracif","ready","prepare"
"prisahať","pristoč","prísaha","noldsaha","swear","oath"
"doraziť","konziť","prísť","konsť","arrive","come"
"záliv","zázač","prístav","prabral","bay","harbor"
"úkryt","úkryznačko","prístrešok","prívňajšok","refuge","shelter"
"nástroj","náracích","prístroj","prístiev","tool","instrument"
"pripustiť","pritiahtiť","priznať","prirosť","admit","confess"
"hlas","mias","prízvuk","prinaj","voice","accent"
"nepríjemnosť","nepríjemal","problém","probmeľ","trouble","problem"
"amatérsky","amairánsky","profesionálny","profesihviezdny","amateur","professional"
"dekan","degor","profesor","profeznam","dean","professor"
"projekt","provers","program","progvie","project","program"
"právnik","právhom","prokurátor","chádzkurátor","lawyer","prosecutor"
"pravidlo","praskytlo","protokol","protoring","rule","protocol"
"model","močie","prototyp","protochum","model","prototype"
"faktor","väčtor","prvok","prlým","factor","element"
"anatómia","symptómia","psychológia","psycholóstvom","anatomy","psychology"
"lekársky","lekarabsky","psychologický","psyotriaslogický","medical","psychological"
"dav","lúv","publikum","dialikum","crowd","audience"
"potešenie","potešlovať","radosť","rapium","pleasure","joy"
"hnev","acev","zlosť","zlorge","anger","rage"
"raketa","rauprata","strela","staprasta","rocket","missile"
"nádor","nápes","rakovina","chvíľkovina","tumor","cancer"
"ruka","skáka","rameno","oznámeto","hand","arm"
"večera","veprípra","raňajky","rastánky","dinner","breakfast"
"zajtra","zajšok","ráno","väzno","tomorrow","morning"
"únosca","plodca","výkupné","výkupsom","kidnapper","ransom"
"generátor","generárskych","reaktor","reakfast","generator","reactor"
"optimistický","zblázmistický","realistický","realisvrajtský","optimistic","realistic"
"pravda","liarda","skutočnosť","reštauny","TRUE","real"
"krčma","ijeb","reštaurácia","redeklarácia","pub","restaurant"
"výrobca","výzvraca","riaditeľ","riadikoch","producer","director"
"kazár","kagye","rím","nym","caesar","rome"
"dynastia","dyskotie","ríša","meša","dynasty","empire"
"urobiť","urochi","robiť","rovek","make","do"
"dospelý","dotrvalý","rodič","rolek","adult","parent"
"rod","klim","rodina","romestna","clan","family"
"dramatický","chekmatický","romantický","rozvestnický","dramatic","romantic"
"odvaha","odopieha","rozhodnosť","rozhodgins","courage","determination"
"podobný","podstupný","odlišný","dziny","similar","different"
"sladký","zlepký","roztomilý","umbertomilý","sweet","cute"
"uvedomiť","uvedosvort","rozumieť","rozchiet","realize","understand"
"spravodlivý","arodlivý","rozumný","straumný","fair","reasonable"
"kalendár","kalenliam","rozvrh","rozpeľ","calendar","schedule"
"lov","losladký","rybolov","rybosvedčenie","hunting","fishing"
"žralok","žramen","ryba","rylan","shark","fish"
"pomaly","posculy","rýchlo","štvrlo","slowly","quickly"
"vzdialenosť","vzdialetých","rýchlosť","rýchal","distance","speed"
"pomalý","pomakých","rýchly","raily","slow","fast"
"špionáž","špicond","sabotáž","sabošiak","espionage","sabotage"
"polievka","ponautka","šalát","šaorientový","soup","salad"
"samozrejme","dzene","očividne","samozchváľme","clearly","obviously"
"víno","vínriť","šampanské","stvopanské","wine","champagne"
"súťaž","súbik","šampionát","šampirand","competition","championship"
"ninja","anoja","samuraj","samunách","ninja","samurai"
"radar","rašli","satelit","satebral","radar","satellite"
"sukňa","alfňa","šaty","šahaj","skirt","dress"
"kapacita","kapaleto","schopnosť","sprosnosť","capacity","ability"
"povolenie","povoleopard","schválenie","sprielenie","permission","approval"
"tvrdohlavý","okradhlavý","sebecký","sesladký","stubborn","selfish"
"stáť","stoc","sedieť","seling","stand","sit"
"manažér","mananích","šéf","aréf","manager","boss"
"variť","vanos","šéfkuchár","šéfkulant","cook","chef"
"tlačiť","svečiť","ťahať","imhať","push","pull"
"nočná mora","stripnomora","sen","sún","nightmare","dream"
"parlament","parlabiek","senát","seniš","parliament","senate"
"guvernér","guvermies","senátor","senáklad","governor","senator"
"južný","nafiumný","severný","seslušný","south","north"
"frekvencia","klinvencia","signál","mednál","frequency","signal"
"sila","silalo","tlak","tlalo","strength","force"
"úzky","tilký","široký","šivšetký","narrow","wide"
"klebeta","klesiem","škandál","škanťaž","gossip","scandal"
"hojnosť","vášnosť","škaredý","probredý","disgusting","ugly"
"prekvapenie","chlapvapenie","sklamanie","traumanie","surprise","disappointment"
"liezť","siesť","skočiť","sločiť","climb","jump"
"trieda","mierda","škola","zísla","class","school"
"záver","zálium","koniec","konton","end","finish"
"skrinka","skrinchod","skriňa","aeroňa","cabinet","closet"
"pokorný","pohlučný","skromný","skrosný","humble","modest"
"zakryť","apusť","skryť","skísť","cover","hide"
"banda","bajún","skupina","zdrapona","gang","group"
"experiment","ochraniment","skúška","späška","experiment","test"
"vynikajúci","umiestnikajúci","skvelý","stanlý","excellent","great"
"silný","kovný","slabý","cenbý","strong","weak"
"úžasný","úžavný","sláva","debva","glorious","glory"
"populárny","poputriedny","slávny","mlápny","popular","famous"
"pozerať","vzhlililať","sledovať","frandovať","look","watch"
"mesiac","mešvic","slnko","krnko","moon","sun"
"záruka","záchvaka","sľub","ksub","guarantee","promise"
"otrok","otlan","sluha","vojha","slave","servant"
"opatrovateľka","striebrovateľka","chyžná","klopka","nanny","maid"
"úsmev","sámev","smiech","smiest","smile","laugh"
"smrteľný","rozpteľný","osudný","osudteľný","deadly","fatal"
"dážď","dafu","sneh","snáp","rain","snow"
"strelec","strepad","ostreľovač","ofstrokovač","shooter","sniper"
"pamätník","pahlasník","socha","sokej","monument","statue"
"limonáda","liochutnáda","sóda","hajda","lemonade","soda"
"lunárny","ludielny","solárny","soriadny","lunar","solar"
"kapsula","vzacula","sonda","karda","capsule","probe"
"lazane","lakostne","špagety","drigety","lasagna","spaghetti"
"miestnosť","mieptok","spálňa","spátňa","room","bedroom"
"oddych","obrdych","spánok","spákok","rest","sleep"
"odborník","odslušník","špecialista","špeciašľachta","expert","specialist"
"odporný","spoporný","špinavý","stránavý","nasty","filthy"
"básnik","nejnik","spisovateľ","transovateľ","poet","writer"
"späť","spístla","návrat","saltrat","back","return"
"vidieť","vilrieť","stretnúť","stresluť","see","meet"
"spoločnosť","spoločket","komunita","komunenta","society","community"
"konflikt","komunient","spor","spatror","conflict","dispute"
"rúra","rubtra","sporák","spostrák","oven","stove"
"záľuba","zástroba","šport","špost","hobby","sport"
"varovanie","varus","správa","vražva","warning","message"
"nesprávny","sketkusý","správny","spravisný","wrong","correct"
"pomsta","posian","spravodlivosť","spravodlitiach","revenge","justice"
"sprevádzať","levášať","odprevádzať","vtipvádzať","escort","accompany"
"už","svuž","stále","kosle","already","still"
"nástupište","oznapište","stanica","dvihnica","platform","station"
"šerif","ševn","starosta","stahingto","sheriff","mayor"
"spokojný","splotrybný","šťastný","diačný","satisfied","happy"
"federálny","fedemiestny","štátny","ušokný","federal","state"
"udiať","uriať","nastať","nastačať","occur","happen"
"mlieko","úsmeko","šťava","kilva","milk","juice"
"kŕmiť","kŕmiriať","jesť","bejksiť","feed","eat"
"tlačidlo","tlachelo","stlačenie","stluščinie","button","press"
"tisíc","tižam","sto","dro","thousand","hundred"
"stôl","satav","stolička","stokrátka","table","chair"
"hrôza","hrolio","strach","kerach","horror","fear"
"starosť","štvaktosť","obava","obkata","concern","worry"
"recepcia","retrukcia","večierok","večierno","reception","party"
"desivý","depoprvý","strašidelný","vlašidelný","scary","creepy"
"plán","ploj","stratégia","mutégia","plan","strategy"
"konferencia","konferentnosť","stretnutie","chrisnutie","conference","meeting"
"zlatý","citný","strieborný","vlastborný","golden","silver"
"ihla","macla","striekačka","vlastkačka","needle","syringe"
"trhať","roztrpieť","strihať","trauhať","tear","cut"
"robot","rokán","stroj","loroj","robot","machine"
"krík","kruj","strom","stam","bush","tree"
"skúmať","skúseliť","študovať","dievdovať","research","study"
"monštrum","monstráž","stvorenie","chodrenie","monster","creature"
"polovica","palostrážca","štvrtina","štvrťmil","half","quarter"
"tretí","zbatí","štvrtý","muknutý","third","fourth"
"rytmus","dedmus","štýl","štuš","rhythm","style"
"dva","svav","štyri","gatri","two","four"
"trpezlivosť","trpezlitiach","súcit","súkro","patience","compassion"
"súd","súdnydoch","sudca","prudca","court","judge"
"odmietnuť","odlúchnuť","prijať","prijavať","refuse","accept"
"súkromný","súhľadný","súkromie","súkrokie","private","privacy"
"súčet","subie","množstvo","mnojstko","sum","amount"
"zásnuby","zásnujeska","svadba","skutba","engagement","wedding"
"nerv","nekr","sval","puval","nerve","muscle"
"svedok","vhodok","svedectvo","svetazstvo","witness","testimony"
"medzinárodný","medziúchvatný","svetový","utetový","international","world"
"temnota","kimnota","svetlo","tretlo","darkness","light"
"lampa","skampa","sviečka","vstupka","lamp","candle"
"súmrak","sutkrak","úsvit","kradsvit","sunset","dawn"
"reč","rač","kázeň","kazies","speech","sermon"
"vlajka","vzťaka","symbol","vnúbol","flag","symbol"
"dcéra","pišra","syn","món","daughter","son"
"príznak","prídok","syndróm","synvrch","symptom","syndrome"
"vnuk","aluk","synovec","synochol","grandson","nephew"
"chlieb","klieb","syr","šar","bread","cheese"
"sieť","sijo","systém","sysvon","network","system"
"tajomstvo","nadomstvo","záhada","zajomka","secret","mystery"
"potenciál","potenzre","talent","tapult","potential","talent"
"tu","rov","tam","juf","here","there"
"tanečník","tachodník","tanec","ťažik","dancer","dance"
"ťažký","bloký","ťažko","bomko","heavy","heavily"
"metóda","meglenda","technika","dievnika","method","technique"
"dospievajúci","dospievasvor","teenager","tenaštval","teenage","teenager"
"narodenie","narodeštruk","tehotenstvo","tehotentiach","birth","pregnancy"
"kvapalina","teštvina","tekutina","techstrina","liquid","fluid"
"hovor","hovokrat","telefón","telepnot","call","telephone"
"rádio","rábov","televízia","televífeld","radio","television"
"golf","goba","tenis","temok","golf","tennis"
"myšlienka","myšťák","teória","teokin","idea","theory"
"teplo","chrabo","teplota","scholota","heat","temperature"
"hlad","ľuad","smäd","sked","hunger","thirst"
"tichý","tiporý","ticho","tijed","silent","silence"
"liga","likšakva","tím","tjum","league","team"
"meno","máňov","titul","tiots","name","title"
"koža","kožiš","tkanivo","hajznivo","skin","tissue"
"pulz","pubi","tlak","utak","pulse","pressure"
"tieňový","tičavý","tmavý","kimvý","shadow","dark"
"čo","leko","to","tušo","what","that"
"otočiť","otáčatocť","otáčať","točiťokoť","turn","rotate"
"hurikán","huririam","tornádo","plasnádo","hurricane","tornado"
"dezert","degorn","torta","rinta","dessert","cake"
"moderný","mokantný","tradičný","tralestný","modern","traditional"
"smutný","súmetný","tragický","trabandký","sad","tragic"
"zlodej","skodej","zločinec","zvokozec","thief","criminal"
"jeden","jelas","tri","ruli","one","three"
"dvojitý","dvojtritý","trojitý","hvietritý","double","triple"
"kruh","kraha","trojuholník","umiesťholník","circle","triangle"
"koruna","komierna","trón","tutoh","crown","throne"
"most","mopte","tunel","tučtok","bridge","tunnel"
"kura","popra","morka","motiatko","chicken","turkey"
"tuhý","tupadý","tvrdý","fildý","tough","hard"
"mesiac","medzač","týždeň","týžuj","month","week"
"denný","kaznikný","týždenný","brendenný","daily","weekly"
"oko","tlop","ucho","seho","eye","ear"
"držať","drdať","zachovať","vrecvať","hold","keep"
"užitočný","hroztočný","účinný","úližký","useful","effective"
"vplyv","vapiv","účinok","ciunok","influence","effect"
"učiť","učiťruť","naučiť","učať","learn","teach"
"študent","štuming","učiteľ","halteľ","student","teacher"
"fenomén","fenožiam","udalosť","níslosť","phenomenon","event"
"rana","tít","úder","pter","hit","strike"
"púšť","púpe","údolie","chélie","desert","valley"
"služby","blekba","údržba","množba","service","maintenance"
"bulvár","mierda","ulica","zdeca","avenue","street"
"roh","goch","alej","tridej","corner","alley"
"uchmatnúť","striktnúť","chytať","pišvoknúť","grab","catch"
"vyslobodiť","vysžibodiť","zachrániť","závzacniť","rescue","save"
"obchod","obchopos","sklad","tučad","shop","store"
"prírodný","prirostranný","umelý","vyklý","natural","artificial"
"neúmyselne","neumtiahne","úmyselne","dravselne","accidentally","intentionally"
"vyčistiť","užitýtiť","umyť","umrčiť","clean","wash"
"únos","sios","uniesť","bmiesť","kidnap","abduct"
"odznak","odcvik","uniforma","kresforma","badge","uniform"
"utiecť","uteoť","uniknúť","uzanúť","flee","escape"
"vysokoškolský","vysokoškmentný","univerzitný","vlastiverzitý","college","university"
"zombie","zomrák","upír","ukír","zombie","vampire"
"absolútne","absosmiešne","úplne","pubne","absolutely","completely"
"celkový","censomný","úplný","kozný","total","complete"
"lojalita","loprázdlita","úprimnosť","estritkosť","loyalty","honesty"
"slušný","smubný","úprimný","úposobný","decent","honest"
"jurisdikcia","jusisdiktia","úrad","erad","jurisdiction","authority"
"úradne","trvane","úradný","chamný","officially","official"
"nahnevať","člániť","uraziť","mamziť","insult","offend"
"zvládnuť","uzadnúť","uspieť","hviezniť","manage","succeed"
"právo","spôvo","ústava","stinva","law","constitution"
"hrdina","hrmena","záchranca","strážtica","hero","savior"
"základňa","zádomňa","riaditeľstvo","riaditrona","base","headquarters"
"deka","treka","uterák","utelaj","blanket","towel"
"obeť","trebeť","útočník","špočník","victim","attacker"
"invázia","inváhach","útok","olok","invasion","attack"
"pondelok","pondesiel","utorok","utocak","monday","tuesday"
"mrhať","mršať","utratiť","trostiť","waste","spend"
"chudoba","liardoba","bieda","spada","poverty","misery"
"trest","trigihet","uväznenie","blonenie","penalty","imprisonment"
"úver","suner","pôžička","poslitka","credit","loan"
"ukázať","edadať","označiť","ibnačiť","point","indicate"
"pôsobivý","pôsochmurný","úžasný","úžiatný","impressive","amazing"
"okuliare","stávliare","čiapka","blúpka","glasses","cap"
"otvorenie","otvorekord","zatvorenie","blúvrenie","opening","closure"
"zotavenie","zotavských","uzdravenie","ukľudvenie","recover","heal"
"jún","lučún","júl","mažúl","june","july"
"hniezdo","oriendo","vajce","lutce","nest","egg"
"protijed","protidoviezť","vakcína","sliecína","antidote","vaccine"
"príves","príňov","dodávka","klovka","trailer","van"
"škorica","zmierica","vanilka","vavzorka","cinnamon","vanilla"
"nadšenie","punšenie","vášeň","vázan","enthusiasm","passion"
"cela","lečla","väzenie","väzetách","cell","prison"
"rukojemník","rukovlastník","väzeň","peneň","hostage","prisoner"
"dnes","mávšok","včera","tolra","today","yesterday"
"východ","výhoch","vchod","pihod","exit","entrance"
"pohostinnosť","pohonaských","vďačnosť","trasnosť","hospitality","gratitude"
"noc","nála","večer","vekan","night","evening"
"technológia","vlastnológia","veda","pomda","technology","science"
"génius","géliam","vedec","veňuj","genius","scientist"
"rozoznať","rozoskup","vedieť","venoť","recognize","knew"
"veliteľ","velikoch","kapitán","kapikoch","commander","captain"
"senzačný","senplodný","veľkolepý","stroskolepý","sensational","spectacular"
"súcitný","súdrobný","veľkorysý","stroskorysý","compassionate","generous"
"extrémne","exstupne","veľmi","tormi","extremely","very"
"ventil","múdtil","ventilácia","uzdratilácia","valve","ventilation"
"mars","mauč","venuša","vedač","mars","venus"
"lojálny","lokrasny","verný","veskocný","loyal","faithful"
"dôverovať","dôveroidiť","veriť","venyť","trust","believe"
"slovo","sľubvo","veta","posta","word","sentence"
"zjavenie","chvívenie","vízia","vizecent","revelation","vision"
"dvd","tód","video","vijav","dvd","video"
"lyžica","lyštetca","vidlička","štetlička","spoon","fork"
"nádej","nágov","viera","brára","hope","faith"
"nevinný","nechodný","vinný","troliný","innocent","guilty"
"proteín","chesteín","vitamín","vitadých","protein","vitamin"
"porazený","porastranný","víťaz","víhla","loser","winner"
"správa","sprápešť","vláda","konda","administration","government"
"vpravo","strelvo","vľavo","úbyvo","right","left"
"medveď","kopveď","vlk","lík","bear","wolf"
"vonku","múdku","vnútri","vlajri","outside","inside"
"nikdy","niors","vôbec","vôsat","never","ever"
"člen","agen","vodca","hluca","member","leader"
"cestujúci","strietujúci","vodič","votar","passenger","driver"
"uhlík","uhdár","vodík","volot","carbon","hydrogen"
"whisky","kvitky","vodka","penka","whiskey","vodka"
"občiansky","obšvédsky","vojenský","vobritský","civil","military"
"kampaň","kamomi","voľba","hluba","campaign","election"
"kandidát","kanduchta","volič","vohar","candidate","voter"
"chuť","chús","čuch","aluch","taste","smell"
"ufo","mijo","mimozemšťan","mimozebars","ufo","alien"
"zabijak","zabinách","vrah","vrej","killer","murderer"
"žoldnier","upadnier","atentátnik","atenej","mercenary","assassin"
"samovražda","samohniezda","vražda","škanda","suicide","murder"
"kopec","kodio","vrch","vrša","hill","mountain"
"krabica","talica","taška","čierka","box","bag"
"handrička","hanstako","vreckovka","spodkovka","cloth","handkerchief"
"sanitka","sanovečka","vrtuľník","vrúvodník","ambulance","helicopter"
"prirodzene","prirokradne","všeobecne","všehľadne","naturally","generally"
"motýľ","mokyv","vták","efák","butterfly","bird"
"trik","trheň","vtip","žrip","trick","joke"
"vtipný","vostný","zábavný","adopný","witty","funny"
"vybavenie","vybaveských","vybaviť","vybastviť","equipment","equip"
"komisia","komilých","výbor","výdapať","commission","committee"
"vybrať","vyuliť","zvoliť","zvohrad","choose","select"
"výstavba","výškraba","postaviť","vybudostrel","construction","build"
"bomba","henba","výbušný","výškodný","bomb","explosive"
"západný","záterený","východný","výslušný","west","east"
"úplatok","uliatok","vydieranie","vychádzranie","bribe","blackmail"
"komentár","komencích","vyhlásenie","vystriesenie","comment","statement"
"pozorovanie","pozorovastvách","hodnotenie","vytriasťotenie","observation","evaluation"
"nobel","novárk","cena","cenoských","nobel","prize"
"získať","neskať","vyhrať","vytieť","gain","win"
"šou","hiu","predstavenie","predňam","show","performance"
"obesenie","obechci","poprava","poponaštval","hanging","execution"
"chutný","roztný","vynikajúci","umiestnikajúci","tasty","delicious"
"počítať","počíkoch","vypočítať","vypočíských","count","calculate"
"počúvať","počuciť","počuť","počonieť","listen","hear"
"vytvárať","vytvástať","vyrábať","vyrárieť","create","produce"
"továreň","továchod","výroba","ošetroba","factory","production"
"značka","bramka","výrobok","výrociam","brand","product"
"preskúmať","preskúlať","vyšetrovať","vysynchrovať","examine","investigate"
"analytik","analychov","vyšetrovateľ","vytriasťovateľ","analyst","investigator"
"snímač","hamač","vysielač","vysiedzím","sensor","transmitter"
"hmotnosť","žmurnosť","výška","kloka","weight","height"
"výsledok","výtvardok","dôsledok","dôsleland","result","outcome"
"nízky","duneky","vysoký","vychický","low","high"
"veličenstvo","veličenskych","výsosť","výstrč","majesty","highness"
"galéria","galkých","výstava","výkratva","gallery","exhibition"
"vydesiť","vydement","vystrašiť","vyzväčšiť","scare","frighten"
"dole","dopus","hore","chutre","down","up"
"pokrok","pokark","vývoj","vývových","progress","development"
"rómeo","dromeo","júlia","júlžan","romeo","juliet"
"význam","výstaň","dôležitosť","dôvaž","meaning","importance"
"prekážka","presledka","výzva","výdix","obstacle","challenge"
"predný","tračný","zadný","opný","front","rear"
"zdravie","zdraram","vzdelanie","štarlanie","health","education"
"hrdý","hrnulý","vzrušený","uvoľšený","proud","excited"
"sherlock","týždbina","watson","kovson","sherlock","watson"
"bezpečný","bezvhodný","zabezpečiť","zachráňpečiť","safe","secure"
"otráviť","očistviť","zabiť","zahre","poison","kill"
"zachovať","zavražvať","udržiavať","udravať","preserve","maintain"
"voľne","ľudne","zadarmo","zakrátmo","freely","free"
"riť","rima","zadok","zatel","ass","butt"
"zakázaný","zatliesaný","zakázať","zakástvať","forbidden","prohibit"
"pacient","paniel","zákazník","záslušník","patient","client"
"účel","ričel","zámer","zábom","purpose","intention"
"kľúč","dotče","zámok","záfer","key","lock"
"južný","sopný","západný","záslušný","southern","western"
"zabudnúť","zavšimnúť","zapamätať","zapachnieť","forget","remember"
"turnaj","vinnaj","zápas","zábak","tournament","match"
"lichotiť","lichtratiť","zapôsobiť","zapôsoskiť","flatter","impress"
"čip","tlip","zariadenie","zatknešdenie","chip","device"
"zabrániť","zaškorniť","zastaviť","zalienkiť","prevent","stop"
"strela","štvela","strielať","zachválať","shot","shoot"
"uzamknuté","stiknuté","zatvorené","zachráňrené","locked","closed"
"trestať","svetať","zatýkať","zatýdniť","punish","arrest"
"vzrušujúci","priešujúci","zaujímavý","strejímavý","exciting","interesting"
"utopiť","ročpiť","plávať","plárieť","drown","swim"
"maratón","maradoch","závod","záľaš","marathon","race"
"otvoriť","otvovlastiť","zavrieť","zaišieť","open","close"
"záznam","záslal","nahrávanie","nahostanie","record","recording"
"zbierať","skverať","zhromaždiť","značaždiť","collect","gather"
"ahoj","ahoms","dovidenia","hunhonia","hello","bye"
"pištoľ","pišzen","zbraň","zbôň","pistol","weapon"
"dedičstvo","dedroč","zdediť","suldiť","heritage","inherit"
"vdova","sakva","žena","rálna","widow","woman"
"mužský","idužý","ženský","rálny","male","female"
"slobodný","slobistranný","ženatý","ženaprogý","single","married"
"kontaminácia","vychstaminácia","žiarenie","lošenie","contamination","radiation"
"leto","legál","zima","grema","summer","winter"
"šelma","agóma","zviera","živoschop","beast","animal"
"aukcia","otecia","zľava","krsva","auction","sale"
"zmena","viana","zlepšenie","exišenie","change","improvement"
"hriech","hríbech","zločin","zloďou","sin","crime"
"červená","franvená","žltá","sľutá","red","yellow"
"dobrý","domorý","zlý","petlý","good","bad"
"úspech","úspeša","zlyhanie","žiadhanie","success","failure"
"chaos","nados","zmätok","ciatok","chaos","confusion"
"kombinácia","kombinávrhár","zmes","zmia","combination","mixture"
"úmrtie","úmlevie","zmiznutie","osobnutie","death","disappearance"
"roztaviť","roztapriť","zmraziť","znešziť","melt","freeze"
"skúsenosť","skúserial","znalosť","znamoch","experience","knowledge"
"formulár","perulár","podpísať","schopísať","form","sign"
"stvorenie","adoprenie","zničenie","opračenie","creation","destruction"
"zvýšiť","meršiť","znížiť","vonžiť","increase","reduce"
