target_word_unique,word_combo_related,cue_word_related,word_combo_unrelated,cue_word_unrelated
nož,mečnož,meč,miljanož,milja
prisega,prisečiprisega,priseči,tekmovanjeprisega,tekmovanje
obala,plažaobala,plaža,venobala,ven
občinstvo,množicaobčinstvo,množica,sprejemobčinstvo,sprejem
občutek,vtisobčutek,vtis,piknikobčutek,piknik
občutljiv,delikatenobčutljiv,delikaten,originalobčutljiv,original
obdobje,fazaobdobje,faza,opicaobdobje,opica
običajno.1,ponavadiobičajno,ponavadi,veterobičajno,veter
običajen,navadenobičajen,navaden,vezobičajen,vez
objem,poljubobjem,poljub,razpokaobjem,razpoka
obleka,kriloobleka,krilo,oditiobleka,oditi
obljuba,jamstvoobljuba,jamstvo,tehničenobljuba,tehničen
obrok,hranaobrok,hrana,zahodobrok,zahod
obseg,polmerobseg,polmer,kokainobseg,kokain
obtožba,pritožbaobtožba,pritožba,varenobtožba,varen
očarljiv,privlačenočarljiv,privlačen,spredajočarljiv,spredaj
oče,matioče,mati,hrepenenjeoče,hrepenenje
očka,stricočka,stric,zgoditi seočka,zgoditi se
ocean,morjeocean,morje,profilocean,profil
očitno,jasnoočitno,jasno,narednikočitno,narednik
oddajnik,senzoroddajnik,senzor,žalostenoddajnik,žalosten
odziv,odgovorodziv,odgovor,okoodziv,oko
odhod,prihododhod,prihod,svinjinaodhod,svinjina
odločnost,pogumodločnost,pogum,verigaodločnost,veriga
odnos,mnenjeodnos,mnenje,živalski vrtodnos,živalski vrt
odobritev,dovoljenjeodobritev,dovoljenje,glasodobritev,glas
neuspeh,uspehneuspeh,uspeh,tušneuspeh,tuš
rešitelj,junakrešitelj,junak,anatomijarešitelj,anatomija
odsotnost,prisotnostodsotnost,prisotnost,zmajodsotnost,zmaj
odstavek,odsekodstavek,odsek,hvaleženodstavek,hvaležen
odstraniti,izločitiodstraniti,izločiti,čebelaodstraniti,čebela
odpustitev,odpovedodpustitev,odpoved,žlicaodpustitev,žlica
pisarna,pisalna mizapisarna,pisalna miza,bratipisarna,brati
ogaben,umazanogaben,umazan,potresogaben,potres
ograja,zidograja,zid,topiti seograja,topiti se
ogrlica,prstanogrlica,prstan,okrajogrlica,okraj
ogromen,velikogromen,velik,hčiogromen,hči
vzdrževati,ohranitivzdrževati,ohraniti,senzacionalenvzdrževati,senzacionalen
nafta,premognafta,premog,odnosnafta,odnos
oklep,ščitoklep,ščit,brutalenoklep,brutalen
okoli,okrogelokoli,okrogel,gestaokoli,gesta
oktober,septemberoktober,september,protistrupoktober,protistrup
okužba,virusokužba,virus,poveljnikokužba,poveljnik
omaka,kremaomaka,krema,prisečiomaka,priseči
omara,kabinetomara,kabinet,prepoznatiomara,prepoznati
operacija,operiratioperacija,operirati,vtisoperacija,vtis
opis,profilopis,profil,državaopis,država
definicija,pojemdefinicija,pojem,študentdefinicija,študent
opremiti,opremaopremiti,oprema,zunajopremiti,zunaj
opravičiti,odpustitiopravičiti,odpustiti,zdravopravičiti,zdrav
oranžna,zelenaoranžna,zelena,preprečitioranžna,preprečiti
orbita,planetorbita,planet,aspirinorbita,aspirin
avtoriteta,oblastavtoriteta,oblast,tumoravtoriteta,tumor
organizirati,ureditiorganizirati,urediti,ventilorganizirati,ventil
oropati,krastioropati,krasti,absolutnooropati,absolutno
orožje,pištolaorožje,pištola,plusorožje,plus
osamljen,samosamljen,sam,lazanjaosamljen,lazanja
značaj,karakterznačaj,karakter,slepznačaj,slep
osredotočiti se,fokusosredotočiti se,fokus,šminkaosredotočiti se,šminka
ostati,obstatiostati,obstati,zlatostati,zlat
sumiti,dvomitisumiti,dvomiti,mednarodensumiti,mednaroden
osvežiti,svežosvežiti,svež,odpovedosvežiti,odpoved
otrok,dojenčekotrok,dojenček,območjeotrok,območje
otroštvo,mladostotroštvo,mladost,zakonotroštvo,zakon
namigovati,kazatinamigovati,kazati,triknamigovati,trik
paket,ovojnicapaket,ovojnica,dramatičenpaket,dramatičen
palec,prstpalec,prst,veličanstvopalec,veličanstvo
paluba,kabinapaluba,kabina,aktivenpaluba,aktiven
paradižnik,krompirparadižnik,krompir,bojparadižnik,boj
paranormalen,nadnaravenparanormalen,nadnaraven,matiparanormalen,mati
parfum,šminkaparfum,šminka,nočna moraparfum,nočna mora
patruljirati,stražitipatruljirati,stražiti,desnapatruljirati,desna
penis,vaginapenis,vagina,zamenjatipenis,zamenjati
popolen,idealenpopolen,idealen,tisočpopolen,tisoč
pero,papirpero,papir,marinecpero,marinec
perspektiva,pogledperspektiva,pogled,septemberperspektiva,september
pesem,albumpesem,album,idealenpesem,idealen
pesem.1,besedilopesem,besedilo,pacientpesem,pacient
pijan,trezenpijan,trezen,orodjepijan,orodje
pilot,astronavtpilot,astronavt,cezarpilot,cezar
pisanje,branjepisanje,branje,dobičekpisanje,dobiček
pisatelj,pesnikpisatelj,pesnik,puškapisatelj,puška
pištola,puškapištola,puška,ritempištola,ritem
pivo,pijačapivo,pijača,kamppivo,kamp
plača,pokojninaplača,pokojnina,obrnitiplača,obrniti
plamen,ogenjplamen,ogenj,aktovkaplamen,aktovka
plastika,cementplastika,cement,poskusplastika,poskus
krožnik,skledakrožnik,skleda,moderenkrožnik,moderen
plavati,utonitiplavati,utoniti,poročevalecplavati,poročevalec
plenilec,plenplenilec,plen,ustnicaplenilec,ustnica
ples,plesalecples,plesalec,odvetnikples,odvetnik
uiti,bežatiuiti,bežati,posebenuiti,poseben
poceni,dragpoceni,drag,knjižnicapoceni,knjižnica
praznik,božičpraznik,božič,ponudbapraznik,ponudba
dedovati,dediščinadedovati,dediščina,diplomadedovati,diploma
podgana,mišpodgana,miš,zasebnopodgana,zasebno
podpis,žigpodpis,žig,luninpodpis,lunin
pogosto,včasihpogosto,včasih,okejpogosto,okej
pogreb,krstapogreb,krsta,delujočpogreb,delujoč
korito,straniščekorito,stranišče,NLPkorito,NLP
iti,vstopitiiti,vstopiti,količinaiti,količina
poker,kockanjepoker,kockanje,želodecpoker,želodec
pokopališče,grobpokopališče,grob,nanestipokopališče,nanesti
poldan,polnočpoldan,polnoč,vohunpoldan,vohun
političen,kritičenpolitičen,kritičen,metuljpolitičen,metulj
politik,politikapolitik,politika,najmanjpolitik,najmanj
politika,novinarstvopolitika,novinarstvo,nohtpolitika,noht
polkovnik,generalpolkovnik,general,svilapolkovnik,svila
poln,prazenpoln,prazen,usodapoln,usoda
položaj,statuspoložaj,status,samskipoložaj,samski
pomemben,dragocenpomemben,dragocen,trpinčenjepomemben,trpinčenje
pomembnost,pomenpomembnost,pomen,varuškapomembnost,varuška
patetičen,nesrečenpatetičen,nesrečen,okuspatetičen,okus
asistirati,pomagatiasistirati,pomagati,črpalkaasistirati,črpalka
pomoč,podporapomoč,podpora,ravnopomoč,ravno
pomočnik,tajnikpomočnik,tajnik,škorenjpomočnik,škorenj
popoln,skupenpopoln,skupen,dušapopoln,duša
popolnoma,absolutnopopolnoma,absolutno,doberpopolnoma,dober
popravilo,popravitipopravilo,popraviti,lisicapopravilo,lisica
zapravljati,potratazapravljati,potrata,navadenzapravljati,navaden
poraz,zmagaporaz,zmaga,zvezdnikporaz,zvezdnik
poročen,samskiporočen,samski,filozofijaporočen,filozofija
poročnik,narednikporočnik,narednik,zadovoljenporočnik,zadovoljen
zakon,ločitevzakon,ločitev,enotazakon,enota
poroka,zarokaporoka,zaroka,črvporoka,črv
posameznik,osebaposameznik,oseba,rogposameznik,rog
poškodba,ranapoškodba,rana,utrujenpoškodba,utrujen
poizkus,poskuspoizkus,poskus,prikolicapoizkus,prikolica
poslati,prinestiposlati,prinesti,polnočposlati,polnoč
posel,industrijaposel,industrija,bogposel,bog
slišati,poslušatislišati,poslušati,očalaslišati,očala
posojilo,kreditposojilo,kredit,zalivposojilo,zaliv
postaja,peronpostaja,peron,uspehpostaja,uspeh
postelja,kavčpostelja,kavč,novinarstvopostelja,novinarstvo
pošten,spodobenpošten,spodoben,opremapošten,oprema
poštenost,zvestobapoštenost,zvestoba,bančnikpoštenost,bančnik
postopek,procespostopek,proces,vednopostopek,vedno
steza,potsteza,pot,inšpektorsteza,inšpektor
vleči,rinitivleči,riniti,turnirvleči,turnir
potni list,vozovnicapotni list,vozovnica,pojempotni list,pojem
potrditi,potrditevpotrditi,potrditev,pokojninapotrditi,pokojnina
potreba,potrebnopotreba,potrebno,razburljivopotreba,razburljivo
povedati,rečipovedati,reči,dinastijapovedati,dinastija
povezava,stikpovezava,stik,straniščepovezava,stranišče
površina,slojpovršina,sloj,živpovršina,živ
pozdraviti,čestitatipozdraviti,čestitati,pepelpozdraviti,pepel
prah,pepelprah,pepel,genijprah,genij
praktično,dobesednopraktično,dobesedno,danespraktično,danes
prati,čistprati,čist,opozoriloprati,opozorilo
prašič,kravaprašič,krava,kapacitetaprašič,kapaciteta
zakonito,nezakonitozakonito,nezakonito,prinestizakonito,prinesti
pravilno,narobepravilno,narobe,veličastenpravilno,veličasten
pravica,maščevanjepravica,maščevanje,živecpravica,živec
predanost,zvestobapredanost,zvestoba,tatpredanost,tat
predavanje,seminarpredavanje,seminar,nadnaravenpredavanje,nadnaraven
namigniti,predlagatinamigniti,predlagati,dediščinanamigniti,dediščina
osebek,predmetosebek,predmet,avtogramosebek,avtogram
predpostavka,zaključekpredpostavka,zaključek,zadetipredpostavka,zadeti
stol,mizastol,miza,društvostol,društvo
predsednik,kanclerpredsednik,kancler,vsebovatipredsednik,vsebovati
preiskovati,pregledatipreiskovati,pregledati,popularenpreiskovati,popularen
preiskovalec,analitikpreiskovalec,analitik,krilopreiskovalec,krilo
zlomiti,razbitizlomiti,razbiti,stadionzlomiti,stadion
prenesti,premaknitiprenesti,premakniti,večenprenesti,večen
prepovedati,prepovedanoprepovedati,prepovedano,fokusprepovedati,fokus
prestol,kronaprestol,krona,opazovanjeprestol,opazovanje
preplašiti,prestrašitipreplašiti,prestrašiti,kostpreplašiti,kost
preteklost,prihodnostpreteklost,prihodnost,ključpreteklost,ključ
pretiravati,podcenjevatipretiravati,podcenjevati,skalapretiravati,skala
potrditi.1,preveritipotrditi,preveriti,okrogelpotrditi,okrogel
preživeti,živetipreživeti,živeti,protestpreživeti,protest
prezračevanje,ventilprezračevanje,ventil,uradenprezračevanje,uraden
okoli.1,venokoli,ven,upravaokoli,uprava
pričakovati,počakatipričakovati,počakati,polmerpričakovati,polmer
pričanje,pričapričanje,priča,strokovnjakpričanje,strokovnjak
priti,prispetipriti,prispeti,magijapriti,magija
priimek,vzdevekpriimek,vzdevek,učitipriimek,učiti
prijatelj,kolegaprijatelj,kolega,kreditprijatelj,kredit
prijateljstvo,odnosprijateljstvo,odnos,sobaprijateljstvo,soba
prijateljski,vljudenprijateljski,vljuden,načrtprijateljski,načrt
prijeten.1,udobenprijeten,udoben,plezatiprijeten,plezati
primaren,sekundarenprimaren,sekundaren,pornografijaprimaren,pornografija
princ,princesaprinc,princesa,koledarprinc,koledar
pripraviti,pripravljenpripraviti,pripravljen,verjetnostpripraviti,verjetnost
pristanišče,zalivpristanišče,zaliv,sladkorpristanišče,sladkor
pritisk,utrippritisk,utrip,nagnusenpritisk,nagnusen
pritisniti,gumbpritisniti,gumb,razdaljapritisniti,razdalja
privlačiti,pozornostprivlačiti,pozornost,grozaprivlačiti,groza
spovedati,priznatispovedati,priznati,nizekspovedati,nizek
problem,težavaproblem,težava,smrtproblem,smrt
prodati,kupitiprodati,kupiti,vzdevekprodati,vzdevek
prodaja,dražbaprodaja,dražba,česenprodaja,česen
profesor,dekanprofesor,dekan,spoštovanjeprofesor,spoštovanje
program,projektprogram,projekt,ureditiprogram,urediti
proizvajati,ustvaritiproizvajati,ustvariti,talecproizvajati,talec
proizvodnja,tovarnaproizvodnja,tovarna,očkaproizvodnja,očka
prošnja,zahtevaprošnja,zahteva,mitprošnja,mit
prost,prostoprost,prosto,inženirprost,inženir
prostovoljno,prostovoljecprostovoljno,prostovoljec,vhodprostovoljno,vhod
protokol,praviloprotokol,pravilo,piratprotokol,pirat
prototip,modelprototip,model,prigrizekprototip,prigrizek
prsni koš,želodecprsni koš,želodec,upravljatiprsni koš,upravljati
prstni odtis,dnaprstni odtis,dna,okusenprstni odtis,okusen
prvenstvo,tekmovanjeprvenstvo,tekmovanje,sestraprvenstvo,sestra
psihologija,anatomijapsihologija,anatomija,suhpsihologija,suh
psihološki,medicinskipsihološki,medicinski,vevericapsihološki,veverica
ptica,metuljptica,metulj,ukazptica,ukaz
puran,piščanecpuran,piščanec,ponospuran,ponos
pustiti,dovolitipustiti,dovoliti,slojpustiti,sloj
postaviti,vstavitipostaviti,vstaviti,umetnostpostaviti,umetnost
dirka,maratondirka,maraton,kaznovatidirka,kaznovati
računalnik,programska opremaračunalnik,programska oprema,blatoračunalnik,blato
rak,tumorrak,tumor,anonimenrak,anonimen
izstrelek,raketaizstrelek,raketa,nezmožnostizstrelek,nezmožnost
rakun,vevericarakun,veverica,tabletarakun,tableta
odkupnina,ugrabiteljodkupnina,ugrabitelj,mingodkupnina,ming
razočaranje,presenečenjerazočaranje,presenečenje,pričarazočaranje,priča
razstava,galerijarazstava,galerija,počakatirazstava,počakati
razumeti,zavedati serazumeti,zavedati se,ogenjrazumeti,ogenj
razumen,pravičenrazumen,pravičen,jazzrazumen,jazz
razvoj,napredekrazvoj,napredek,bolnišnicarazvoj,bolnišnica
reaktor,generatorreaktor,generator,osebareaktor,oseba
resničen,praviresničen,pravi,ligaresničen,liga
realističen,optimističenrealističen,optimističen,kapsularealističen,kapsula
redko,občasnoredko,občasno,žilaredko,žila
religija,filozofijareligija,filozofija,smrtonosenreligija,smrtonosen
res,pravzapravres,pravzaprav,kolegares,kolega
restavracija,gostilnarestavracija,gostilna,aidsrestavracija,aids
riba,morski pesriba,morski pes,prostoriba,prosto
ribolov,lovribolov,lov,tihribolov,tih
bogat,revenbogat,reven,utežbogat,utež
jahati,vozitijahati,voziti,čipjahati,čip
rim,cezarrim,cezar,naravnorim,naravno
robček,krparobček,krpa,pravirobček,pravi
rojstni dan,obletnicarojstni dan,obletnica,grehrojstni dan,greh
roka,dlanroka,dlan,potencialroka,potencial
romantičen,dramatičenromantičen,dramatičen,statiromantičen,stati
rop,krajarop,kraja,prebivalstvorop,prebivalstvo
rumena,rdečarumena,rdeča,hranitirumena,hraniti
sabotaža,vohunstvosabotaža,vohunstvo,dremežsabotaža,dremež
sadje,jabolkosadje,jabolko,čeladasadje,čelada
jadro,sidrojadro,sidro,podporajadro,podpora
mornar,piratmornar,pirat,predstavamornar,predstava
šala,trikšala,trik,dlanšala,dlan
samostan,tempeljsamostan,tempelj,odgovorsamostan,odgovor
ženski samostan,sirotišnicaženski samostan,sirotišnica,lažženski samostan,laž
samurai,nindžasamurai,nindža,množicasamurai,množica
pesek,blatopesek,blato,plačanecpesek,plačanec
satelit,radarsatelit,radar,sesanjesatelit,sesanje
škandal,govoriceškandal,govorice,dnaškandal,dna
sčasoma,končnosčasoma,končno,člansčasoma,član
še,žeše,že,rojstvoše,rojstvo
sebičen,trmastsebičen,trmast,železosebičen,železo
zaščiten,varenzaščiten,varen,rekazaščiten,reka
štab,bazaštab,baza,jamstvoštab,jamstvo
šef,menedžeršef,menedžer,znamkašef,znamka
senat,parlamentsenat,parlament,gostoljubnostsenat,gostoljubnost
senator,guvernersenator,guverner,težavasenator,težava
pridiga,govorpridiga,govor,ljubosumenpridiga,ljubosumen
sestanek,konferencasestanek,konferenca,kupitisestanek,kupiti
sevanje,kontaminacijasevanje,kontaminacija,razredsevanje,razred
sever,jugsever,jug,producentsever,producent
streljati,strelstreljati,strel,kodastreljati,koda
rešiti,osvoboditirešiti,osvoboditi,svežrešiti,svež
šibek,močenšibek,močen,izkušnjašibek,izkušnja
signal,frekvencasignal,frekvenca,samomorsignal,samomor
sila,močsila,moč,zdravjesila,zdravje
srebrn,zlatsrebrn,zlat,užiteksrebrn,užitek
simbol,zastavasimbol,zastava,nočsimbol,noč
sin,hčisin,hči,orgazemsin,orgazem
sindrom,simptomsindrom,simptom,odgovornostsindrom,odgovornost
požirek,kapljapožirek,kaplja,naivenpožirek,naiven
širok,ozekširok,ozek,trezenširok,trezen
sistem,omrežjesistem,omrežje,lunasistem,luna
sedeti,statisedeti,stati,regimentsedeti,regiment
skrbeti,skrbskrbeti,skrb,kozarecskrbeti,kozarec
skriti,pokritiskriti,pokriti,vozovnicaskriti,vozovnica
skrivnost,tajnostskrivnost,tajnost,počitiskrivnost,počiti
skromen,poniženskromen,ponižen,taksiskromen,taksi
skupina,tolpaskupina,tolpa,naravenskupina,naraven
skupnost,društvoskupnost,društvo,neuporabenskupnost,neuporaben
slab,doberslab,dober,gostilnaslab,gostilna
slabost,driskaslabost,driska,odporenslabost,odporen
slanina,toastslanina,toast,neposredenslanina,neposreden
slasten,okusenslasten,okusen,nasprotnoslasten,nasprotno
veličastnost,veličastenveličastnost,veličasten,pojasniloveličastnost,pojasnilo
slaven,popularenslaven,popularen,bombaslaven,bomba
slikar,umetnikslikar,umetnik,zelenaslikar,zelena
obred,ritualobred,ritual,košarkaobred,košarka
služabnik,suženjslužabnik,suženj,nareditislužabnik,narediti
služkinja,varuškaslužkinja,varuška,albumslužkinja,album
smeh,nasmehsmeh,nasmeh,predmetsmeh,predmet
nuja,urgentennuja,urgenten,modelnuja,model
smešen,duhovitsmešen,duhovit,nebosmešen,nebo
smeti,odpadkismeti,odpadki,iglasmeti,igla
kača,črvkača,črv,vljudenkača,vljuden
sneg,dežsneg,dež,ugrabiteljsneg,ugrabitelj
posnetek,snematiposnetek,snemati,situacijaposnetek,situacija
ostrostrelec,strelecostrostrelec,strelec,osvoboditiostrostrelec,osvoboditi
sočutje,potrpežljivostsočutje,potrpežljivost,piramidasočutje,piramida
gazirana pijača,limonadagazirana pijača,limonada,kraljicagazirana pijača,kraljica
sodnik,sodiščesodnik,sodišče,lepsodnik,lep
sok,mlekosok,mleko,pristaneksok,pristanek
šola,razredšola,razred,nagonšola,nagon
sončev,luninsončev,lunin,bremesončev,breme
solata,juhasolata,juha,supermansolata,superman
sonce,lunasonce,luna,čarsonce,čar
sonda,kapsulasonda,kapsula,pogumsonda,pogum
zvok,hrupzvok,hrup,potnikzvok,potnik
špageti,lazanjašpageti,lazanja,prisotnostšpageti,prisotnost
spalnica,sobaspalnica,soba,zaskrbljenspalnica,zaskrbljen
kolaps,padeckolaps,padec,menedžerkolaps,menedžer
spanje,počitekspanje,počitek,kugaspanje,kuga
specialist,strokovnjakspecialist,strokovnjak,zaslužitispecialist,zaslužiti
spektakularen,senzacionalenspektakularen,senzacionalen,branjespektakularen,branje
duh,dušaduh,duša,članekduh,članek
dno,vrhdno,vrh,preveritidno,preveriti
spor,konfliktspor,konflikt,tolpaspor,tolpa
sporazum,pogodbasporazum,pogodba,odraselsporazum,odrasel
masaža,jogamasaža,joga,smodnikmasaža,smodnik
sporočilo,opozorilosporočilo,opozorilo,revščinasporočilo,revščina
šport,hobišport,hobi,zarotašport,zarota
sposobnost,kapacitetasposobnost,kapaciteta,modensposobnost,moden
sprehod.1,dremežsprehod,dremež,gotovinasprehod,gotovina
sprejeti,zavrnitisprejeti,zavrniti,stolpsprejeti,stolp
spremljati,spremstvospremljati,spremstvo,grobspremljati,grob
srčkan,prijazensrčkan,prijazen,držatisrčkan,držati
srečati,videtisrečati,videti,palicasrečati,palica
srečen,zadovoljensrečen,zadovoljen,alkoholsrečen,alkohol
starš,odraselstarš,odrasel,jutristarš,jutri
stavba,stolpstavba,stolp,topelstavba,topel
poved,besedapoved,beseda,ženinpoved,ženin
besedna zveza,slovarbesedna zveza,slovar,proračunbesedna zveza,proračun
udariti,zadetiudariti,zadeti,umetnikudariti,umetnik
štedilnik,pečicaštedilnik,pečica,rezultatštedilnik,rezultat
steklenica,kozarecsteklenica,kozarec,klenksteklenica,klenk
štiri,dvaštiri,dva,prvakštiri,prvak
sto,tisočsto,tisoč,krastisto,krasti
strah,grozastrah,groza,ogljikstrah,ogljik
strast,navdušenjestrast,navdušenje,natakarstrast,natakar
strategija,načrtstrategija,načrt,vstopitistrategija,vstopiti
ulica.1,avenijaulica,avenija,operiratiulica,operirati
stroj,robotstroj,robot,financiratistroj,financirati
strokovnjak,amaterstrokovnjak,amater,potrditevstrokovnjak,potrditev
zgradba,piramidazgradba,piramida,zaščititizgradba,zaščititi
študija,raziskavaštudija,raziskava,sencaštudija,senca
stil,ritemstil,ritem,pristatistil,pristati
super,odličnosuper,odlično,marssuper,mars
sveča,svetilkasveča,svetilka,kirurgsveča,kirurg
svetovati,nasvetsvetovati,nasvet,piščanecsvetovati,piščanec
pastila,tabletapastila,tableta,odpuščanjepastila,odpuščanje
talent,potencialtalent,potencial,belatalent,bela
tam,tukajtam,tukaj,snovtam,snov
teden,mesecteden,mesec,naiventeden,naiven
tedensko,dnevnotedensko,dnevno,kronatedensko,krona
tehnika,metodatehnika,metoda,kanclertehnika,kancler
telefon,klictelefon,klic,občudovatitelefon,občudovati
televizija,radiotelevizija,radio,zatočiščetelevizija,zatočišče
temen,sencatemen,senca,vinotemen,vino
temperatura,vročinatemperatura,vročina,priznatitemperatura,priznati
tenis,golftenis,golf,prazentenis,prazen
teorija,idejateorija,ideja,prispetiteorija,prispeti
test,poskustest,poskus,grmtest,grm
vzdržljiv,odporenvzdržljiv,odporen,frekvencavzdržljiv,frekvenca
misliti,upoštevatimisliti,upoštevati,virmisliti,vir
tišina,tihtišina,tih,zbratitišina,zbrati
tkivo,kožatkivo,koža,nobelovatkivo,nobelova
tisto,kajtisto,kaj,dvdtisto,dvd
torba,škatlatorba,škatla,potrebnotorba,potrebno
torek,ponedeljektorek,ponedeljek,krpatorek,krpa
tornado,orkantornado,orkan,suženjtornado,suženj
tovor,bremetovor,breme,prekletstvotovor,prekletstvo
tožilec,odvetniktožilec,odvetnik,nadziratitožilec,nadzirati
tradicionalen,moderentradicionalen,moderen,sekundatradicionalen,sekunda
tragičen,žalostentragičen,žalosten,plentragičen,plen
prodajalna,trgovinaprodajalna,trgovina,norecprodajalna,norec
tri,enatri,ena,tipičentri,tipičen
sojenje,zaslišanjesojenje,zaslišanje,potratasojenje,potrata
trikotnik,krogtrikotnik,krog,vlaktrikotnik,vlak
trojen,dvojentrojen,dvojen,vplivtrojen,vpliv
tovornjak,džiptovornjak,džip,trgatitovornjak,trgati
tunel,mosttunel,most,jogatunel,joga
želva,polžželva,polž,procesželva,proces
ubežnik,begunecubežnik,begunec,hišaubežnik,hiša
ubiti,zastrupitiubiti,zastrupiti,nenavadenubiti,nenavaden
učinek,vplivučinek,vpliv,skledaučinek,skleda
učinkovit,koristenučinkovit,koristen,dedekučinkovit,dedek
poučevati,učitipoučevati,učiti,arenapoučevati,arena
učitelj,študentučitelj,študent,kapljaučitelj,kaplja
ugled,karieraugled,kariera,driskaugled,driska
uho,okouho,oko,nesmiselnuho,nesmiseln
tekma,turnirtekma,turnir,nebogljentekma,nebogljen
uloviti,zgrabitiuloviti,zgrabiti,preprostouloviti,preprosto
zadnji,končenzadnji,končen,gnezdozadnji,gnezdo
umazan,ogabenumazan,ogaben,statusumazan,status
umeten,naravenumeten,naraven,tajnikumeten,tajnik
umor,samomorumor,samomor,impresivnoumor,impresivno
uničenje,ustvarjanjeuničenje,ustvarjanje,možuničenje,mož
uniforma,značkauniforma,značka,kandidatuniforma,kandidat
univerza,fakultetauniverza,fakulteta,nemogočeuniverza,nemogoče
upirati se,odporupirati se,odpor,polovicaupirati se,polovica
uporabiti,nanestiuporabiti,nanesti,sendvičuporabiti,sendvič
upraven,vodenjeupraven,vodenje,kajupraven,kaj
uradnik,uradenuradnik,uraden,rituradnik,rit
urin,kriurin,kri,pripravljenurin,pripravljen
urnik,koledarurnik,koledar,jugurnik,jug
usoden,smrtonosenusoden,smrtonosen,zdajusoden,zdaj
uspeti,upravljatiuspeti,upravljati,sovraštvouspeti,sovraštvo
ustava,zakonustava,zakon,pacifikustava,pacifik
ustaviti,preprečitiustaviti,preprečiti,celicaustaviti,celica
ustvarjalnost,domišljijaustvarjalnost,domišljija,nindžaustvarjalnost,nindža
vaba,pastvaba,past,zvezenvaba,zvezen
telovaditi,vadititelovaditi,vaditi,pajektelovaditi,pajek
vampir,zombivampir,zombi,pogovoriti sevampir,pogovoriti se
vanilja,cimetvanilja,cimet,ževanilja,že
varnost,varovanjevarnost,varovanje,bravovarnost,bravo
vas,kampvas,kamp,simptomvas,simptom
včeraj,danesvčeraj,danes,pogoltnitivčeraj,pogoltniti
večer,nočvečer,noč,kremavečer,krema
poznati,prepoznatipoznati,prepoznati,značkapoznati,značka
vedeti,zdajvedeti,zdaj,nalogavedeti,naloga
radodaren,sočutenradodaren,sočuten,invazijaradodaren,invazija
venera,marsvenera,mars,velikvenera,velik
vera,upanjevera,upanje,vozilovera,vozilo
verjeti,zaupativerjeti,zaupati,fantjeverjeti,fantje
verjetno,verjetnostverjetno,verjetnost,pogledativerjetno,pogledati
verjetno.1,mordaverjetno,morda,vodenjeverjetno,vodenje
prepričljiv,pojasniloprepričljiv,pojasnilo,sijajprepričljiv,sijaj
veselje,užitekveselje,užitek,prodajalecveselje,prodajalec
vhod,izhodvhod,izhod,juhavhod,juha
video,dvdvideo,dvd,palačavideo,palača
višina,utežvišina,utež,konfliktvišina,konflikt
visokost,veličanstvovisokost,veličanstvo,premogvisokost,premog
vitamin,beljakovinavitamin,beljakovina,trmastvitamin,trmast
vizija,razodetjevizija,razodetje,generalvizija,general
vlada,upravavlada,uprava,počasenvlada,počasen
vodik,ogljikvodik,ogljik,slikavodik,slika
vodka,viskivodka,viski,kritičenvodka,kritičen
vojaški,civilenvojaški,civilen,duhovitvojaški,duhovit
vojska,legijavojska,legija,starejšivojska,starejši
volitve,kampanjavolitve,kampanja,gripavolitve,gripa
volivec,kandidatvolivec,kandidat,oviravolivec,ovira
vonj,okusvonj,okus,nepravičnostvonj,nepravičnost
voznik,potnikvoznik,potnik,slovarvoznik,slovar
vprašati,vprašanjevprašati,vprašanje,pogodbavprašati,pogodba
vrat,grlovrat,grlo,močvrat,moč
vrata,oknovrata,okno,komplimentvrata,kompliment
vrata.1,vhodvrata,vhod,dokazilovrata,dokazilo
vreden,zaslužitivreden,zaslužiti,karnevalvreden,karneval
vrednotenje,opazovanjevrednotenje,opazovanje,odločiti sevrednotenje,odločiti se
vrniti,nazajvrniti,nazaj,pomotomavrniti,pomotoma
vročina,kašeljvročina,kašelj,karaktervročina,karakter
vrv,verigavrv,veriga,končenvrv,končen
vsebina,vsebovativsebina,vsebovati,Romeovsebina,Romeo
vzdrževanje,servisvzdrževanje,servis,kotvzdrževanje,kot
vzrok,razlogvzrok,razlog,sirotišnicavzrok,sirotišnica
bojevnik,vojakbojevnik,vojak,odsekbojevnik,odsek
gledati,pogledatigledati,pogledati,stricgledati,stric
watson,sherlockwatson,sherlock,katolikwatson,katolik
splet,internetsplet,internet,prestolnicasplet,prestolnica
zahodni,južnizahodni,južni,agentzahodni,agent
piščalka,rogpiščalka,rog,vesoljepiščalka,vesolje
volk,medvedvolk,medved,projektvolk,projekt
svet,mednarodensvet,mednaroden,cementsvet,cement
pisati,bratipisati,brati,izbirapisati,izbira
za vedno,večenza vedno,večen,ozekza vedno,ozek
zabava,sprejemzabava,sprejem,kečapzabava,kečap
zadaj,spredajzadaj,spredaj,amaterzadaj,amater
zadnji.1,prvizadnji,prvi,kanalzadnji,kanal
zagotoviti,omogočitizagotoviti,omogočiti,strelazagotoviti,strela
zajec,lisicazajec,lisica,radiozajec,radio
zajtrk,večerjazajtrk,večerja,zlozajtrk,zlo
ključavnica,ključključavnica,ključ,drugjeključavnica,drugje
zaprtje,otvoritevzaprtje,otvoritev,peszaprtje,pes
dejanje,gestadejanje,gesta,cestadejanje,cesta
