"ja_cue","ja_fake_cue","ja_target","ja_fake_target","en_cue","en_target"
"穀物","稽性","小麦粉","厼系粗","grain","flour"
"血液","㿻腋","尿","㽷","blood","urine"
"丘","卋","山","仚","hill","mountain"
"落下","菩不","崩壊する","崖壌やを","fall","collapse"
"風","葻","嵐","颪","wind","storm"
"連邦","軋洋","州の","刎ぬ","federal","state"
"右","㕣","左","㒰","right","left"
"大きい","夬さり","巨大な","句夬ほ","big","huge"
"首都","胃郡","都市","郡帀","capital","city"
"長官","肯客","市長","帀肯","sheriff","mayor"
"錨","媌","帆","忛","anchor","sail"
"王朝","呈乹","帝国","帘固","dynasty","empire"
"いつも","りへほ","しょっちゅう","ひゅっさきょつ","always","constantly"
"ヘルメット","ンハヌョソ","帽子","冒了","helmet","hat"
"狭い","刾り","広い","庀り","narrow","wide"
"錯覚","惜覔","幻覚","幼覔","illusion","hallucination"
"立つ","矢う","座る","庭き","stand","sit"
"建設","硉鋭","建てる","硉ひを","construction","build"
"タワー","マヌー","ビル","ゲハ","tower","building"
"技術者","岐剎考","設計者","鋭訂考","engineer","architect"
"儀式","蜣成","式典","成兼","ritual","ceremony"
"注意","住薏","引きつける","弦さへりも","attention","attract"
"押す","狎る","引く","弦へ","push","pull"
"強い","㢸り","弱い","弸り","strong","weak"
"堅く","腎へ","強く","㢸へ","firmly","strongly"
"窃盗","苆資","強盗","㢸資","theft","robbery"
"前方","煎於","後ろ","彼ま","front","rear"
"解剖学","觛部季","心理学","必墨季","anatomy","psychology"
"医学の","匹季ぬ","心理学の","必墨季ぬ","medical","psychological"
"懸念","縣衿","心配","必酙","concern","worry"
"必須","密湏","必要","密粟","necessary","need"
"忠実な","虫奏ま","誠実な","城奏ま","loyal","faithful"
"怒り","砦び","激怒","倣砦","anger","rage"
"突然に","控撚い","不意に","木薏い","suddenly","unexpectedly"
"嫉妬深い","姥始梨せ","腹を立てて","復さ市ちさ","jealous","angry"
"忍耐","葱冊","同情","冊梯","patience","compassion"
"もしかすると","ほくなむろを","恐らく","砦そし","maybe","probably"
"恐怖","砦希","懸念","態侌","horror","fear"
"怖がらせる","希だやけろ","怯えさせる","法そちせね","scare","frighten"
"賄賂","郁落","恐喝","砦昏","bribe","blackmail"
"娘","硠","息子","鼻芋","daughter","son"
"良い","限り","悪い","窓ふ","good","bad"
"天使","呑仲","悪魔","窓塊","angel","devil"
"悲しそうな","斐にふらま","悲劇的な","斐嘘伯あ","sad","tragic"
"貧困","賓図","困窮","図搾","poverty","misery"
"データ","ヂーヌ","情報","割赦","data","information"
"情報源","割赦厚","情報提供者","割赦匙伴考","source","informant"
"熱意","睦惹","情熱","割睦","enthusiasm","passion"
"概念","微貪","定義","是羞","concept","definition"
"バカ者","ボヌ煮","愚か者","満な煮","fool","idiot"
"狂気","注肴","愚か者","演ま煮","madness","stupidity"
"嫌悪","蟻窓","愛情","変梯","hate","love"
"女主人","妥宝卜","恋人","恙卜","mistress","lover"
"精神の","積伸め","感情の","恕梯め","mental","emotional"
"ウイルス","ネナツヌ","感染","恕朶","virus","infection"
"ありがたく思って","おりぜにし苗ゅく","感謝する","恕謝らた","grateful","thank"
"おもてなし","あきへはへ","感謝の気持ち","恕射め肴侍さ","hospitality","gratitude"
"称賛する","弥贄ゆね","感謝する","恕射ゆね","admire","appreciate"
"許し","旿へ","慈悲","磁悠","forgiveness","mercy"
"意見","惹貝","態度","熊疼","opinion","attitude"
"法律","阹筆","憲法","簀阹","law","constitution"
"成し遂げる","或つ隊がろ","成功する","或助","manage","succeed"
"戦争","禅箏","交戦","斧禅","war","battle"
"競技場","鋭枝湯","戦場","禅揚","arena","battlefield"
"英雄","狆准","闘士","閮久","champion","fighter"
"兵士","䂡久","武士","式久","soldier","warrior"
"後退する","係痕ぬを","元の場所に戻る","尭ぬ傷炉な房ろ","back","return"
"利益","梨盆","所得","炉硯","profit","income"
"電報","雲達","手紙","抙級","telegram","letter"
"手術する","抙剎むき","外科手術","多秗抙剎","operate","surgery"
"過程","渦逞","手順","抙領","process","procedure"
"浪費する","娘佛むき","消費する","蛸佛むき","waste","spend"
"許可","訳竒","承認","券葱","permission","approval"
"方法","坊怯","技術","枝微","method","technique"
"大多数","天岁楼","投票","段茜","majority","vote"
"融資","触貨","投資する","段貨みら","finance","invest"
"銀行員","娘桁貫","投資家","段貨","banker","investor"
"抵抗","砥炕","抵抗する","砥炕みら","resistance","resist"
"ボタン","ギヌソ","押す","狎み","button","press"
"誘拐する","透拓みら","拉致する","泣握みら","kidnap","abduct"
"苦痛","筈桶","拷問","考閏","torment","torture"
"遺伝子","口卂介","指紋","脂絆","dna","fingerprint"
"祝う","悦き","出迎える","掘卯ふら","congratulate","greet"
"獲物","擭易","捕食者","浦倉考","prey","predator"
"分析者","盆折煮","捜査官","神宜呂","analyst","investigator"
"捜索する","捕素みら","探し出す","採う凹み","search","find"
"代理人","仏瑰入","探偵","採値","agent","detective"
"謙虚な","講虜ほ","控えめ","探わほ","humble","modest"
"塗る","塾む","描く","押へ","paint","draw"
"可能にする","句瀬さみら","提供する","握担みら","enable","provide"
"申し込む","男レ近す","提案する","握某みら","propose","suggest"
"バルブ","ゾヅダ","換気","援寺","valve","ventilation"
"制御する","刷微みら","操作する","懐形みら","control","manipulate"
"支援","予暖","援助","暖勉","support","assistance"
"助ける","祖にむ","支援する","予暖むの","help","assist"
"変化","奕北","改善","攻喜","change","improvement"
"侵入","侍卜","攻撃","改繋","invasion","attack"
"汚染","汗枠","放射線","故既㣐","contamination","radiation"
"そのままにする","をぬききはなら","見捨てる","俔舗つぬ","leave","abandon"
"運営","連麿","政府","炡苻","administration","government"
"ジャーナリズム","ヅョーキヤゼゴ","政治","炡始","journalism","politics"
"政策","炡棘","政治家","炡始室","policy","politician"
"危機的","矦磯砶は","政治的な","炡始砶は","critical","political"
"偶然","隅燃","わざと","やぢさ","accidentally","intentionally"
"勇者","曽都","救世主","球笹丼","hero","savior"
"勝利","藤梨","敗北","貽乖","victory","defeat"
"いう","にろ","教える","救むぬ","say","tell"
"学ぶ","字ぞ","教える","救さは","learn","teach"
"学部長","きまーンの","教授","准く","dean","professor"
"健康","毎工","教育","舗完","health","education"
"昼寝","二板","散歩","烝点","nap","stroll"
"物理","エケ","数学","ど丘","physics","mathematics"
"整える","化嫁る","整頓する","久十","arrange","organize"
"語","せう","文","タト","word","sentence"
"美術","鉞前","文学","臼馬","art","literature"
"文化","広其","文明","ムエ","culture","civilization"
"記事","ツプ","新聞","セス","article","newspaper"
"土曜日","ルレ日","日曜日","藤丼日","Saturday","Sunday"
"遅い","敦職","早い","ぢら","late","early"
"ゆっくりと","従けくてと","すぐに","忘ら","slowly","quickly"
"明瞭に","頂固に","明らかに","明らテス","clearly","obviously"
"輝く","土傭","明るさ","彙任さ","shine","bright"
"ポルノ","医愕ノ","映画","芯実","porn","movie"
"今日","迎述","昨日","しぱ","today","yesterday"
"夜中","ぜっ","正午","ポが","midnight","noon"
"影","そて","闇","いあ","shadow","dark"
"傭兵","蚕契","暗殺者","失配者","mercenary","assassin"
"新鮮な","白伸な","更新する","囲産せけ","fresh","refresh"
"読む","トニ","書く","由な","read","write"
"読んでいる","惑惰にりね","書いている","南糞せあぬ","reading","writing"
"人気の","既紺あ","有名な","式即ぬ","popular","famous"
"候補者","遠乃渚","有権者","束度者","candidate","voter"
"無実の","斤乃の","有罪の","数酸の","innocent","guilty"
"明日","得刈","朝","仔蛾","tomorrow","morning"
"夕食","丞点","朝食","どぬ","dinner","breakfast"
"茂み","征徐","木","舐ね","bush","tree"
"聖書","ギヘ","本","圧然","bible","book"
"実際に","ソーに","本当","デネ","actually","really"
"真実の","阡話の","本物の","背釟の","TRUE","real"
"基地","台士","本部","和妊","base","headquarters"
"ちゃんとした","郡旦んけきと","正直な","永んな","decent","honest"
"キャンプ","キャケヌ","村","すあ","camp","village"
"到着する","ビーそに","来る","デド","arrive","come"
"西","亥糯","東","フヲ","west","east"
"司教","碁集","枢機卿","陛上卿","bishop","cardinal"
"輝かしい","哩露しえ","栄光","恩瓶","glorious","glory"
"会社","オヌ","法人","メヌ","company","corporation"
"原子の","キヘも","原子力の","原平材の","atomic","nuclear"
"密林","勇け","森","痛常","jungle","forest"
"テーブル","ペソゾエ","椅子","骨景","table","chair"
"弁護士","塀佐歯","検察官","囚大官","lawyer","prosecutor"
"試験","和這","検査","棚視","examination","inspection"
"快適な","承延ね","心地よい","新激餌被","comfortable","pleasant"
"道具","メヘ","器具","わそ","tool","instrument"
"ピラミッド","遊非ケッデ","構造","渥旁","pyramid","structure"
"権威","仔佇","権力","タア","jurisdiction","authority"
"ロボット","ベオォテ","機械","リメ","robot","machine"
"技術的な","ミヒ斗な","機械的な","樹心間な","technical","mechanical"
"操作可能な","兎宇禍農な","機能的な","廻農適ね","operational","functional"
"アルバム","エレ未県","歌","餌唱","album","song"
"誤った","笑くぬ","正しい","禁師い","wrong","correct"
"健康な","謀木な","正常な","医常め","healthy","normal"
"正式に","恭えを","正式な","突淕な","officially","official"
"誠実","腹誌","正直","ト二","loyalty","honesty"
"個性","スニ","性格","報格","character","personality"
"復讐","減け","正義","レヌ","revenge","justice"
"武器庫","際週仔","武装","移荘","arsenal","armory"
"ピストル","該紺テヌ","武器","サソ","pistol","weapon"
"忍者","そせ","武士","子快","ninja","samurai"
"走る","ベヲ","歩く","フヌ","run","walk"
"爪","咖け","歯","ヘヨ","nail","tooth"
"生きている","壱公ねほれ","死んでいる","ウセらほぬ","alive","dead"
"苦しむ","考いめ","死ぬ","フの","suffer","die"
"体","ゲノ","死体","池域","body","corpse"
"留まる","依突れ","残る","嶷ね","stay","remain"
"残忍な","供亜ね","残酷な","唐着な","brutal","cruel"
"邪悪な","公貼な","残酷","ぼへ","evil","cruelty"
"節","仁鋪","段落","クェ","section","paragraph"
"辞書","けか","言い回し","亥い肢み","dictionary","phrase"
"毒","鉦勇","殺す","テア","poison","kill"
"自殺","侯め","殺人","にを","suicide","murder"
"殺人者","泰損紗","人殺し","候いめ","killer","murderer"
"毎日の","メソぬ","毎週の","被南の","daily","weekly"
"自由","限幼","民主主義","変欧重議","freedom","democracy"
"怖い","詣ぬ","気味の悪い","値旧ぬ渥ぬ","scary","creepy"
"炭素","せあ","水素","ボヲ","carbon","hydrogen"
"層","エワ","表面","てさ","layer","surface"
"溶ける","折胴る","凍る","デケ","melt","freeze"
"永遠の","寧膳ぬ","永遠に","ツヲめ","eternal","forever"
"勇気","おひ","決定","汰む","courage","determination"
"静かな","刈摂ぬ","静けさ","ヲヨに","silent","silence"
"石炭","阡ぬ","石油","ペマ","coal","oil"
"違法の","酉杜み","合法の","端ぬね","illegal","legal"
"投与量","けと量","注射","ヌサ","dose","injection"
"命令","をえ","指令","渡ね","command","order"
"溺れる","予李ぬ","泳ぐ","誇蛾","drown","swim"
"綺麗な","いだふ","洗う","利ね","clean","wash"
"ジェスチャー","状財ケヒホ","行為","孝旅","gesture","act"
"始動させる","館ほぬせけ","起動する","信袍そに","trigger","activate"
"ビーチ","ショメ","海岸","辞ち","beach","coast"
"海","べも","海洋","ぐほ","sea","ocean"
"海軍の","允観め","艦隊","モヘ","naval","fleet"
"海兵","ゴレ","海軍","ベホ","marine","navy"
"死","モワ","消失","え戊","death","disappearance"
"結合","クア","混合","ウハ","combination","mixture"
"空腹","洪忽","喉の渇き","エゲ替ね","hunger","thirst"
"増やす","喩栄に","減らす","歯礼ぬ","increase","reduce"
"熱","著稔","温度","枢卿","heat","temperature"
"湾","ペク","港","渇ぴ","bay","harbor"
"川","建踞","湖","汰け","river","lake"
"空の","卦被","満杯の","版射ね","empty","full"
"準備ができている","館初べぼへもけこ","準備する","めねけほ","ready","prepare"
"乾いた","魏宴ぬ","湿った","膿俗た","dry","wet"
"月曜日","冥も秘","火曜日","恤呼費","monday","tuesday"
"火","ムメ","炎","透ぢ","fire","flame"
"役に立たない","悠呉汰ぬねも","価値のない","セヂぬほけ","useless","worthless"
"不自由な","励吉勇ぬ","無力な","偏もぬ","helpless","powerless"
"不合理な","杜か璃ち","無責任な","無隻腎防","unreasonable","irresponsible"
"咳","アゾ","熱","メヂ","cough","fever"
"ガス","摂秤","燃料","妊ぢ","gas","fuel"
"地震","豆垓","爆発","削省","earthquake","explosion"
"破裂する","泰舘せも","爆発する","シェぬほ","burst","explode"
"爆弾","イゾ","爆薬","いに","bomb","explosive"
"母親","ホア","父親","ネソ","mother","father"
"性的","ホチ","身体的","喩近ぬ","sexual","physical"
"文字通り","集に透ち","実際に","唯昆め","literally","practically"
"説明する","セゾしあ","表現する","キヘめぬ","describe","express"
"罪","ノヘ","犯罪","藩済","sin","crime"
"泥棒","圏眉","犯罪の","繰ほみ","thief","criminal"
"侮辱","商み","怒らせる","孥も寧膳","insult","offend"
"銃撃手","満燐泰","狙撃手","紗艾照","shooter","sniper"
"くま","譜航","狼","メム","bear","wolf"
"犬","執め","猫","ダゲ","dog","cat"
"忠実","棟誌","献身","粋く","fidelity","devotion"
"ニンニク","ハホ箭半","玉ねぎ","題杢げ","garlic","onion"
"王冠","ケプ","王位","合ほ","crown","throne"
"王族","ぢぜ","王国","テネ","royal","kingdom"
"王女","医洞","王子","持激","princess","prince"
"楽観的","丹嗣迪","現実的","ハソ滴","optimistic","realistic"
"技術","モケ","科学","たへ","technology","science"
"気づく","台蚊く","理解する","杯うなも","realize","understand"
"生きる","チテも","生き残る","症き諸姓","live","survive"
"怪物","熨李","生物","クナ","monster","creature"
"化学","れぬ","生物学","ソピ岳","chemistry","biology"
"化学的","ソケ迪","生物学的","訛佛際衆","chemical","biological"
"作成する","蛇御ちけ","生産する","未嬢すへ","create","produce"
"孫","すせ","甥","テミ","grandson","nephew"
"女の子","側難呼","男の子","禍估小","girl","boy"
"芸術家","階忽卦","画家","垓家","artist","painter"
"インフルエンザ","レメナネザホン","病気","ミヂ","flu","disease"
"不健康な","ヘヂ康ぬ","病気の","カボに","ill","sick"
"症状","メケ","症候群","繁せ裙","symptom","syndrome"
"苦しみ","只拾ち","痛み","揚も","suffering","pain"
"腫瘍","ブモ","癌","雁ケ","tumor","cancer"
"回復する","賞掻ちそ","治療する","銅銘そて","recover","heal"
"進歩","チヘ","発展","輝遇","progress","development"
"千","鈎ね","百","房苑","thousand","hundred"
"超自然の","兆路研矩","超常的な","木許迪ぬ","supernatural","paranormal"
"皮肉","ぜ付","皮肉な","結紺ち","irony","ironic"
"どんぶり","並秘げけ","皿","ヘモ","bowl","plate"
"メンバー","メノあも","リーダー","損開ダも","member","leader"
"製作者","フも沙","監督","ポふ","producer","director"
"目的","たさ","意図","杁","purpose","intention"
"本能","よへ","直感","感回","instinct","intuition"
"直接の","付悠ぬ","直接に","作操こ","direct","directly"
"敵","恕ち","対戦相手","気め層腫","enemy","opponent"
"大使館","撰卓官","省","づぜ","embassy","ministry"
"休養","吭み","睡眠","ポメ","rest","sleep"
"報告する","ロベみも","知らせる","文らせも","report","inform"
"認識する","躁岱しで","知っていた","笙ちけへと","recognize","knew"
"今","ポメ","知る","ホデ","now","know"
"賢明な","沃糯ぬ","知的な","膝妬な","smart","intelligent"
"経験","偏ぢ","知識","セポ","experience","knowledge"
"泥","ケペ","砂","激と","mud","sand"
"騎兵","モべ","砲兵","ちぞ","cavalry","artillery"
"創造","ビの","破壊","ノテ","creation","destruction"
"確認","ツト","確認する","につすほ","confirmation","confirm"
"確認する","ソケのへ","照合する","欠某せせ","check","verify"
"指摘する","翻熱けの","示す","盛葵","point","indicate"
"祖父","灸予","祖母","裡説","grandfather","grandmother"
"創造主","ポレ朱","神","干帖","god","divine"
"秘密","榠つ","不思議","廉柴葵","secret","mystery"
"祭典","饗ち","祝祭","素貼","carnival","festival"
"僧侶","秦梁","神父","稚こ","monk","priest"
"見解","貫杜","視点","欣味","view","perspective"
"禁断の","煩譯ぬ","禁止する","癸けそぬ","forbidden","prohibit"
"春","帆ち","秋","楠硬","spring","autumn"
"天才","曽腫","科学者","鳴駿沙","genius","scientist"
"動く","岱舗","移動する","階貂ろた","move","transfer"
"割れ目","禍亭召","穴","茗ち","crack","hole"
"最後の","惺字ぬ","最終的な","身結迪ほ","final","ultimate"
"空気","ゼモ","酸素","ホヌ","air","oxygen"
"駅","斉椎","空港","トヌ","terminal","airport"
"進化","檸ぬ","変異","ミシ","evolution","mutation"
"ハリケーン","貂賽カろほ","トルネード","矩葎ノぼみ","hurricane","tornado"
"笑顔","沮","笑い","笙暁","smile","laugh"
"第三の","厨鋳ぞ","第四の","殷ミめ","third","fourth"
"神経","怱基","筋肉","持ほ","nerve","muscle"
"管理","卸け","管理の","該香ち","management","administrative"
"不可能な","府佳吽茗","簡単な","ドぽ坊ち","impossible","easy"
"物質","斤禅","粒子","鳶委","matter","particle"
"魂","デぽ","精神","ペモ","soul","spirit"
"保証","舒け","約束","型戒","guarantee","promise"
"対立","ゾメ","紛争","敬粟","conflict","dispute"
"見事な","盤匣ほ","素晴らしい","雲実とせけ","wonderful","fantastic"
"良い","等彭","素敵な","干擬む","nice","lovely"
"終わり","アりナ","終える","乗且く","end","finish"
"肌","悔王","皮膚","残は","skin","tissue"
"独身","徳辛","既婚","触界","single","married"
"離婚","けぬ","結婚","クヒ","divorce","marriage"
"婚約","数み","結婚式","美ミ式","engagement","wedding"
"結果","リー","成果","罪果","result","outcome"
"岩","宕","石","成か","rock","stone"
"年金","テス","給料","フィ","pension","salary"
"遺産","奇せ","継承する","起るきす","heritage","inherit"
"続行する","元璧めと","継続する","陛科さへ","proceed","continue"
"保存する","波肉をえ","維持する","真夜ぬね","preserve","maintain"
"かわいい","いついい","美しい","動要ほ","pretty","beautiful"
"心配した","ベッした","緊張した","か見した","worried","nervous"
"至急","信ぞ","緊急","須晴","urgent","emergency"
"連絡先","吸め先","関係","題系","contact","connection"
"挿入する","戦純はを","記入する","ロフにた","insert","put"
"魅力","なて","美しさ","安腎さ","charm","beauty"
"うまい","皮腐い","おいしい","ネッしを","tasty","delicious"
"図書館","嫉石館","博物館","ウサ館","library","museum"
"考慮する","問百れち","考える","るうま","consider","think"
"目","米続","耳","潜酸","eye","ear"
"視覚障がい","いが召常早","聴覚障がい","成害実ごい","blind","deaf"
"質問","抗討","尋ねる","文ねる","question","ask"
"聴く","体物","聞く","コッ","listen","hear"
"腎臓","リタ","肝臓","ボー","kidney","liver"
"胃","カロ","胸","浦切","stomach","chest"
"容量","浅忍","能力","モデ","capacity","ability"
"脳","通言","脳の","へネ","brain","cerebral"
"手","デザ","腕","イバ","hand","arm"
"脊髄の","奇子ひ","腹部の","工ギの","spinal","abdominal"
"肩","明つ","膝","商点","shoulder","knee"
"尊敬","すは","自信","田信","respect","confidence"
"頑固な","半刀な","自己中心的な","的心謙中虚ぬ","stubborn","selfish"
"自由に","高もに","自由な","最子な","freely","free"
"ボランティア","モニンティア","自発的な","ポシ的け","volunteer","voluntarily"
"命に関わる","既女関てせ","致命的な","軽暦的せ","deadly","fatal"
"誇らしげな","茶己げしな","興奮した","ミッしに","proud","excited"
"吸う","違去","舐める","水めほ","suck","lick"
"海賊","わう","船員","玉ね","pirate","sailor"
"植物","ワヨ","花","ボタ","plant","flower"
"新郎","テネ","花嫁","宿ゥ","groom","bride"
"年取った","西類っき","若い","タタ","old","young"
"静かな","仮悦な","落ち着いた","歩い着くた","quiet","calm"
"煙","れえ","たばこ","作日こ","smoke","cigar"
"棺","ヘレ","葬儀","カッ","coffin","funeral"
"酒","バム","麻薬","野く","alcohol","drug"
"クモ","柔ろ","虫","ワツ","spider","insect"
"蜂","兄出","蟻","ナッ","bee","ant"
"入る","ルク","行く","説体","enter","go"
"大通り","ボシけ","街","身想","avenue","street"
"レーダー","ダダイー","人工衛星","人項同物","radar","satellite"
"設備","ごす","備えつける","無矢つるけ","equipment","equip"
"スパイ","クイア","裏切者","冬え者","spy","traitor"
"ヌード","又隷ド","裸","理象","nude","naked"
"ブランド","惑射ンド","製品","禁段","brand","product"
"工場","博門","製造","己こ","factory","production"
"ボーナス","水遠ナセ","ほうび","たよび","bonus","reward"
"南方の","売むの","西部の","空黃の","southern","western"
"視線を向ける","視電ぬ向泉気","じっと見る","本っと見ち","look","watch"
"忘れる","吉合あ","覚えておく","ギリくてお","forget","remember"
"大人","マヘ","親","りん","adult","parent"
"個人の","アドあ","親密な","ゴルな","personal","intimate"
"指","ペス","親指","土書","finger","thumb"
"群衆","浅は","観客","ホー","crowd","audience"
"辞任","民圭","解散","ジェ","resignation","dismissal"
"許す","ボイ","大目に見る","久目る見に","forgive","excuse"
"数える","ロハう","計算する","保朱ろえ","count","calculate"
"会話","らか","討論","ロガ","conversation","discussion"
"病院","飛丁","診療所","入田所","hospital","clinic"
"証拠","同衝","証明","ピク","evidence","proof"
"目撃者","巨離者","証言","付潔","witness","testimony"
"陰謀","カッ","詐欺","ヒヌ","conspiracy","fraud"
"観察","合去","評価","チオ","observation","evaluation"
"経歴","いよ","評判","お世","career","reputation"
"試す","をん","挑む","テス","try","attempt"
"文章","本牧","詩","メチ","text","poem"
"喋る","すば","話す","りね","talk","speak"
"過小評価する","価法評害ああ","誇張する","冗断ちこ","underestimate","exaggerate"
"誓う","ナケ","誓い","快滴","swear","oath"
"記念日","タア日","誕生日","可び日","anniversary","birthday"
"演説","喉の","説教","胃れ","speech","sermon"
"プロフィール","ローフィーノ","説明","フー","profile","description"
"釣り合い","釣ち及子","調和","どひ","balance","harmony"
"カプセル","カプ産末","探査機","ピ二機","capsule","probe"
"吟味する","訓東おへ","取り調べる","トー調るへ","examine","investigate"
"セミナー","せでナー","講義","踊み","seminar","lecture"
"警戒している","弥賛るてしう","警報","落じ","alert","alarm"
"砂漠","アヒ","谷","過昭","desert","valley"
"牛","ヘロ","豚","剛奪","cow","pig"
"所持金","工王曲","財布","尋き","pocket","wallet"
"積み荷","自言荷","貨物","モニ","load","cargo"
"売り手","手氏手","買い手","門く手","seller","buyer"
"ファイル","青報イヲ","書類","べモ","file","document"
"無政府状態","尊態府状句","資本主義","議蹴住役","anarchy","capitalism"
"予算","松坪","資金","込あ","budget","funding"
"財政的に","建的糖お","財政","ると","financially","financing"
"ノーベル","ビデベル","賞","保語","nobel","prize"
"褒め言葉","褒い致心","贈り物","矢学物","compliment","gift"
"発生する","言皿ほひ","起こる","引くる","occur","happen"
"大富豪","過移豪","起業家","結語家","millionaire","entrepreneur"
"角","ベー","路地","さひ","corner","alley"
"誘拐犯","グラ犯","身代金","温渡金","kidnapper","ransom"
"乗り物","南身物","乗用車","ノー串","vehicle","car"
"惑星","医字","軌道","吉り","planet","orbit"
"軍団","タホ","軍","留ま","legion","army"
"市民の","自子の","軍の","礼技","civil","military"
"乗組員","犬将員","船","ラネ","crew","ship"
"護衛する　","み尻ろた　","パトロール","午すレーロ","guard","patrol"
"ちょうど","敬告うど","近々","口い","just","recently"
"答え","議韻","返事","ボリ","answer","reply"
"余分の","泉素の","追加の","鮫戦の","extra","additional"
"従う","ピデ","追跡する","タクまあ","follow","chase"
"持ってくる","実亡てくる","送る","夜盟","bring","send"
"センサー","エノサー","送信機","登ま機","sensor","transmitter"
"逃亡する","犯非そさ","脱出する","リズるる","flee","escape"
"難民","レト","逃亡者","ノノ者","refugee","fugitive"
"反対側の","ゾン側の","正反対の","正反給斗","opposite","contrary"
"遅い","フフ","速い","憂乃","slow","fast"
"距離","由索","速度","ノチ","distance","speed"
"罰する","毎田る","逮捕する","花家さほ","punish","arrest"
"月","トー","週","工心","month","week"
"宿命","いっ","運命","じゃ","fate","destiny"
"乗客","テレ","運転手","バン手","passenger","driver"
"最初","優そ","最後","ヒネ","first","last"
"将来","己業","過去","建と","future","past"
"ルート","技援ト","道","次際","route","path"
"似ている","リーいる","違う","保寸","similar","different"
"近く","討書","遠く","ちょ","near","far"
"公平な","甘のな","理にかなった","艦陸かさった","fair","reasonable"
"開いた","未忘た","閉じた","勲物た","open","close"
"選択する","チーそに","選出する","少漠てせ","choose","select"
"選挙運動","お尻軍重","選挙","瀬万","campaign","election"
"シラフの","シフ学終","酔っ払い","手頁払に","sober","drunk"
"胸糞悪い","商棄亜い","醜い","央目","disgusting","ugly"
"貴重な","牧善な","重要な","ケーな","valuable","important"
"意味","フマ","重要性","ナヌ性","meaning","importance"
"スタジアム","枝衝シアム","野球","けび","stadium","baseball"
"鉄","紩","金属","胸異","iron","metal"
"火星","洛ち","金星","きへ","mars","venus"
"銀行業務","成動果務","金融の","害れの","banking","financial"
"狩猟","素青","釣り","案帝","hunting","fishing"
"金色の","起東の","銀","ルへ","golden","silver"
"宇宙","ヒー","銀河","レホ","universe","galaxy"
"ライフル","イラ鋭像","銃","旅位","rifle","gun"
"口径","ター","銃弾","悔早","caliber","bullet"
"記念碑","重妥碑","銅像","クル","monument","statue"
"コンクリート","オークリート","鋼","フェ","concrete","steel"
"混沌","お世","混乱","園告","chaos","confusion"
"記録","区機","録音","りの","record","recording"
"盾","視見","鎧","令み","shield","armor"
"反射","ホタ","鏡","浅刃","reflection","mirror"
"短い","バナ","長さ","大子","short","long"
"サイズ","支行ズ","長さ","犬季","size","length"
"鍵のかかった","弟のかたっか","閉じた","力物た","locked","closed"
"開放","与ほ","閉鎖","米承","opening","closure"
"エラー","ナーー","間違い","精伸い","error","mistake"
"責任","ネッ","義務","腹い","responsibility","duty"
"段階","ヤー","期間","怖こ","phase","period"
"膣","抗義","陰茎","矢子","vagina","penis"
"覆い隠す","基他急わ","隠す","もっ","cover","hide"
"収集する","干臓","寄せ集める","溝告集","collect","gather"
"焦点を当てる","争脈ひ当もせ","集中する","学糸とと","focus","concentrate"
"プレイボーイ","イプボイ見指","雑誌","たの","playboy","magazine"
"タフ","真宛","難しい","郵市い","tough","hard"
"雨","学ぬ","雪","ギひン","rain","snow"
"環境","横た","雰囲気","徒る気","environment","atmosphere"
"電流","フの","電気","ラロ","current","electricity"
"磁気の","開いの","電気の","歪直の","magnetic","electric"
"通話","タハ","電話","タロ","call","telephone"
"雲","みし","霧","命あ","cloud","fog"
"茶色","セノ","青色","お飲","brown","blue"
"ワクワクさせる","外倍ワク","興味深い","リー深も","exciting","interesting"
"気のきいた","タバきいあ","滑稽な","茂みふ","witty","funny"
"ブーツ","画象ツ","靴","こん","boot","shoe"
"ノイズ","守猟ズ","音","キヴィ","noise","sound"
"ジャズ","ストズ","音楽","らな","jazz","music"
"歌手","ゴへ","音楽家","日肉家","singer","musician"
"唇","エレプ","頬","しは","lip","cheek"
"骨","ツー","頭蓋骨","控わ骨","bone","skull"
"ときどき","とき旨輪","しばしば","しば夜体","sometimes","often"
"合計","見袋","額","きと","sum","amount"
"望遠鏡","専聞鏡","顕微鏡","パッ鏡","telescope","microscope"
"例外的","磁非白","顕著な","スカな","exceptional","remarkable"
"欲望","ギ―","願い","元ぬ","desire","wish"
"着陸する","イダとへ","飛行する","新密なも","land","fly"
"食物を与える","館物を与ニア","食べる","宝惣る","feed","eat"
"トラップ","コミップ","餌","くお","trap","bait"
"喉","ボト","首","口的","throat","neck"
"口紅","コン","香水","大多","lipstick","perfume"
"プラットホーム","プラットジアム","駅","シュ","platform","station"
"低い","ガー","高い","サー","low","high"
"殿下","けろ","陛下","里想","majesty","highness"
"体重","熟違","身長","責み","weight","height"
"道","エピ","高速道路","具実首路","road","highway"
"魅力的","バン的","愛嬌がある","暴単かあろ","attractive","charming"
"呪い","恐り","魔女","ロフ","curse","witch"
"魔法","ロレ","魔法使い","鬼法太家","magic","wizard"
"鮫","人投","魚","渦小","shark","fish"
"蝶","浪貝","鳥","席髄","butterfly","bird"
"赤","慈汽","黄","ウイ","red","yellow"
"口","冷れ","鼻","箅","mouth","nose"
