"fr_cue","fr_fake_cue","fr_target","fr_fake_target","en_cue","en_target"
"tabac","tapha","cigarette","cigageais","tobacco","cigarette"
"légion","létium","armée","archu","legion","army"
"lent","agte","vite","iste","slow","fast"
"lentement","lentetion","rapidement","radepitique","slowly","quickly"
"données","dontins","information","forminazette","data","information"
"lesbienne","pombienne","gay","epa","lesbian","gay"
"lèvre","ryvre","joue","jomi","lip","cheek"
"liberté","ligionté","démocratie","démodestetie","freedom","democracy"
"librement","librequin","libre","lirae","freely","free"
"lier","liti","nouer","nobur","bind","tie"
"place","roeu","lieu","lico","place","location"
"ligue","licoe","équipe","duipen","league","team"
"limonade","limosphé","soda","smen","lemonade","soda"
"liquide","livulse","fluide","flopde","liquid","fluid"
"lire","jere","écrire","écridée","read","write"
"locataire","locanique","propriétaire","prioprénique","tenant","landlord"
"maison","potson","appartement","annarteforme","house","apartment"
"logiciel","logitout","ordinateur","ordinculpe","software","computer"
"loisir","jeusir","sport","réort","hobby","sport"
"lourd","lohad","lourdement","blesdement","heavy","heavily"
"lunaire","lusance","solaire","soléeje","lunar","solar"
"lundi","neadi","mardi","avidi","monday","tuesday"
"lune","lumé","soleil","sovese","moon","sun"
"lunettes","lumeuses","casquette","touquette","glasses","cap"
"mafia","madog","cartel","carrou","mafia","cartel"
"magasin","magageur","boutique","fertique","shop","store"
"magnétique","magnélaire","électrique","élecmiques","magnetic","electric"
"magnifique","magnitance","fantastique","fantaslaire","wonderful","fantastic"
"main","nami","bras","bron","hand","arm"
"maîtresse","luttresse","amant","acroreux","mistress","lover"
"majesté","maflirté","altesse","alpette","majesty","highness"
"majorité","madairerité","voter","voqué","majority","vote"
"mal","dul","cruauté","chausté","evil","cruelty"
"souffrant","soufdroit","malade","matome","ill","sick"
"malédiction","molédioments","sorcière","sorcient","curse","witch"
"malheureux","malheumore","malheur","malreté","unfortunate","misfortune"
"mallette","terlette","valise","vavait","briefcase","suitcase"
"protestation","protestasance","manifestation","manifestagramme","protest","demonstration"
"maquette","manentes","prototype","protoblin","model","prototype"
"marathon","marasuel","course","cobase","marathon","race"
"mari","maley","femme","feide","husband","wife"
"marin","macès","marine","mamore","marine","navy"
"marque","magoue","produit","proprie","brand","product"
"marron","cheron","bleu","ageu","brown","blue"
"mars","maig","vénus","vébat","mars","venus"
"homme","bemme","femme","bimme","male","female"
"mec","uic","pote","poud","dude","bro"
"impur","able","dégoûtant","dégoûreux","nasty","filthy"
"médical","médirine","psychologique","psycholotants","medical","psychological"
"membre","hémbre","chef","chuso","member","leader"
"mensonge","facsonge","menteur","prateur","lie","liar"
"cérébral","céréveur","émotif","jeutif","mental","emotional"
"mer","uor","océan","ocwen","sea","ocean"
"mercenaire","mercesique","assassin","assasdure","mercenary","assassin"
"mère","spre","père","ayre","mother","father"
"mériter","mérision","digne","diuse","deserve","worthy"
"méthode","méplose","technique","éternique","method","technique"
"sous","zas","élevé","haya","low","high"
"mile","tèle","centimètre","mentitille","mile","centimeter"
"mille","uelle","cent","épin","thousand","hundred"
"million","milriel","milliard","mildiaux","million","billion"
"millionnaire","minnionsante","entrepreneur","entreprerable","millionaire","entrepreneur"
"mince","milie","épais","éplus","thin","thick"
"mêler","mêson","mélanger","mélantant","ming","ling"
"minuit","migune","midi","mitel","midnight","noon"
"misérable","miséduire","pathétique","pathécaire","miserable","pathetic"
"moderne","moroïne","traditionnel","tardicalesnel","modern","traditional"
"moine","monue","prêtre","atêtre","monk","priest"
"mois","modu","semaine","sedable","month","week"
"miel","xuel","beurre","churre","honey","butter"
"monstre","mopotre","créature","frotture","monster","creature"
"monument","monuphar","statue","stapas","monument","statue"
"mortel","morcan","fatal","facez","deadly","fatal"
"mot","oît","phrase","rorase","word","sentence"
"motif","moger","alibi","borbi","motive","alibi"
"mur","ura","clôture","dobture","wall","fence"
"mythe","myême","légende","lémènes","myth","legend"
"naissance","frinsance","grossesse","guersesse","birth","pregnancy"
"naïf","asïf","cynique","cynaire","naive","cynical"
"naïve","nabée","stupide","brûpide","naïve","stupid"
"national","natiové","global","glogit","national","global"
"naturel","natulage","artificiel","ratifitesse","natural","artificial"
"naturellement","taurellegramme","généralement","ténéralement","naturally","generally"
"naval","nagte","flotte","fleute","naval","fleet"
"nécessaire","nécesfique","besoin","bequik","necessary","need"
"nerf","nelà","muscle","moucea","nerve","muscle"
"nettoyer","pautoyer","laver","latif","clean","wash"
"nid","ved","oeuf","hauf","nest","egg"
"ninja","rhuja","samouraï","samousort","ninja","samurai"
"nobel","nosor","prix","preq","nobel","prize"
"noble","noche","courageux","courapèce","noble","brave"
"noël","noga","vacances","vazarres","christmas","holiday"
"nom","xam","titre","êctre","name","title"
"nounou","lesnou","domestique","domeslaire","nanny","maid"
"novembre","nobeurre","décembre","dévestre","november","december"
"noyer","nodir","baignade","émognade","drown","swim"
"dénudé","dénunane","dévêtu","dévêvrir","nude","naked"
"nuage","nurte","brouillard","brouillabi","cloud","fog"
"nuit","nusi","soirée","riérée","night","evening"
"numéro","numépent","adresse","ouresse","number","address"
"objet","obtié","sujet","suman","object","subject"
"observation","observalente","évaluation","étaluament","observation","evaluation"
"obstacle","obsriole","défi","déken","obstacle","challenge"
"œil","wal","oreille","pleille","eye","ear"
"officiellement","onticiellement","officiel","offimaux","officially","official"
"offrir","ofteur","donner","susner","offer","give"
"oie","ihe","canard","cabral","goose","duck"
"ombre","omuve","foncé","grocé","shadow","dark"
"oncle","onuée","père","nére","uncle","dad"
"opérationnel","opérationtique","fonctionnel","écartionnel","operational","functional"
"opposé","chanposé","contraire","contrause","opposite","contrary"
"optimiste","optignage","réaliste","griliste","optimistic","realistic"
"orchestre","orcentret","bande","batae","orchestra","band"
"ordinaire","ordisante","habituel","habirant","ordinary","usual"
"arranger","armureger","organiser","organitique","arrange","organize"
"orgasme","orgubre","érection","bergtion","orgasm","erection"
"orgueil","orgnier","dignité","diquerté","pride","dignity"
"original","écouginal","copie","cotra","original","copy"
"orphelinat","orphelitions","couvent","cocoent","orphanage","convent"
"os","is","crâne","croûe","bone","skull"
"otage","otsue","prisonnier","prosingnon","hostage","prisoner"
"oublier","outoire","remémorer","romémotique","forget","remember"
"ouest","ouart","est","imt","west","east"
"ouragan","outafler","tornade","torguée","hurricane","tornado"
"ours","ouix","loup","lomb","bear","wolf"
"outil","ouryn","instrument","inctrasion","tool","instrument"
"ouverture","oiversons","fermeture","furmedias","opening","closure"
"ouvrir","ourish","fermer","pasmer","open","close"
"ovni","ovlar","extraterrestre","axtralerquêtes","ufo","alien"
"pacifique","pocicente","atlantique","utlanciers","pacific","atlantic"
"pain","pava","fromage","élumage","bread","cheese"
"palais","pasian","château","peuteau","palace","castle"
"papa","panus","maman","matro","daddy","mum"
"papier","pamers","stylo","urolo","paper","pen"
"papillon","pavilles","oiseau","oiveur","butterfly","bird"
"paradis","jaranage","enfer","endés","paradise","hell"
"paranoïaque","poranuyante","fou","iau","paranoid","crazy"
"pardonner","parchaîner","excuse","expuis","forgive","excuse"
"parfois","pavpion","souvent","soumeon","sometimes","often"
"parfois","pirpion","rarement","rabetour","occasionally","rarely"
"parlement","jerlevées","sénat","sésée","parliament","senate"
"discuter","équicuter","parler","parche","talk","speak"
"partir","vostir","abandonner","persdonner","leave","abandon"
"passager","cassaline","chauffeur","choifnaud","passenger","driver"
"passionnant","pastournant","intéressant","ontérestiers","exciting","interesting"
"patate","padose","tomate","tocuse","potato","tomato"
"patience","pageance","compassion","tompasture","patience","compassion"
"patient","pafiait","client","claint","patient","client"
"patrimoine","petrivisse","hériter","hurirais","heritage","inherit"
"pauvre","xaarre","riche","rique","poor","rich"
"péché","pégal","criminalité","constamminalité","sin","crime"
"peine","peloe","emprisonnement","estrisonnetoques","penalty","imprisonment"
"peinture","évanture","dessiner","decsiphon","paint","draw"
"pension","malsion","salaire","sanique","pension","salary"
"perdant","perbare","gagnant","gadante","loser","winner"
"permettre","dismettre","apporter","apchester","enable","provide"
"personnage","tersonrier","personnalité","canclusonnalité","character","personality"
"personnel","kersonture","intime","antard","personal","intimate"
"petit-fils","péditdeau","neveu","netil","grandson","nephew"
"peu","adu","petit","penus","little","small"
"peut-être","exétêtre","probablement","cropabletique","maybe","probably"
"phase","clase","période","pécière","phase","period"
"phénomène","chénoplot","événement","avénetion","phenomenon","event"
"philosophie","chilosociaux","religion","rolinuer","philosophy","religion"
"piano","openo","guitare","jeutare","piano","guitar"
"piège","piewe","appât","apgae","trap","bait"
"ding","jung","dong","dode","ping","ding"
"pique-nique","tiquetaire","camping","camlene","picnic","camping"
"pirate","pidèle","marin","mager","pirate","sailor"
"pistolet","pustoqués","arme","argé","pistol","weapon"
"plage","joage","côte","wete","beach","coast"
"plainte","ruainte","accusation","acrusacrées","complaint","accusation"
"plaisir","pliaflé","joie","stie","pleasure","joy"
"planète","plofure","orbite","ortome","planet","orbit"
"planifier","blanirect","stratégie","brontégie","plan","strategy"
"plante","ruante","fleur","gueur","plant","flower"
"plate-forme","ptalenaude","station","rection","platform","station"
"playboy","diarboi","magazine","pagaheur","playboy","magazine"
"pluie","plève","neiger","maîger","rain","snow"
"plus","amus","moins","ligos","plus","minus"
"inférieur","anfésible","supérieur","sapésible","lower","upper"
"poche","poide","portefeuille","corteveillés","pocket","wallet"
"poète","poike","écrivain","écirtois","poet","writer"
"poids","pooks","taille","dailles","weight","height"
"poison","mulson","tuer","turt","poison","kill"
"poli","pomal","amical","alijet","polite","friendly"
"politique","toliquide","politicien","bolitipable","policy","politician"
"pomme","pocoé","fruit","frart","apple","fruit"
"pompe","porge","tuyau","geyau","pump","hose"
"pont","poui","tunnel","gionel","bridge","tunnel"
"populaire","potutives","célèbre","céluque","popular","famous"
"population","tupolasance","gens","erns","population","people"
"porc","poex","viande","vibede","pork","meat"
"porno","trano","film","fiai","porn","movie"
"portail","statail","porte","poune","portal","gate"
"secourir","seballrir","sauver","créver","rescue","save"
"positif","pasignés","négatif","mégareth","positive","negative"
"pot-de-vin","diardevin","chantage","chandise","bribe","blackmail"
"potentiel","dotenjour","talent","tadins","potential","talent"
"potins","dotrez","scandale","écradale","gossip","scandal"
"poudre","popère","dynamite","rynavant","gunpowder","dynamite"
"poulet","fanlet","dinde","diabé","chicken","turkey"
"poupée","pounet","jouet","joaft","doll","toy"
"pousser","équiser","tirer","tisan","push","pull"
"premier","châmier","dernier","exénier","first","last"
"réaliser","réomiser","comprendre","canchestre","realize","understand"
"préoccupation","caréocupagraphe","inquiétude","anquiérent","concern","worry"
"préparation","pérpurapeute","planification","lanpificapables","preparation","planning"
"près","séès","loin","pline","near","far"
"présence","crésuite","absence","apsille","presence","absence"
"préserver","vépsertion","maintenir","souftenir","preserve","maintain"
"prêt","uren","préparer","drépation","ready","prepare"
"indice","intale","preuve","prilve","evidence","proof"
"prime","pruse","récompense","rocémviste","bonus","reward"
"princesse","pranféène","prince","vrinac","princess","prince"
"privé","slové","intimité","intignureté","private","privacy"
"privilège","provitrus","honneur","alineur","privilege","honor"
"probabilité","confirbabilité","probable","procarne","probability","likely"
"procéder","grocérale","continuez","cantitles","proceed","continue"
"producteur","froducrons","réalisateur","daélisacrées","producer","director"
"profil","drotat","description","desquestion","profile","description"
"profit","prinek","revenu","rèvckait","profit","income"
"proie","prièe","prédateur","crédaniel","prey","predator"
"projet","procal","programme","pronistes","project","program"
"proposer","porporont","suggérer","koisgérer","propose","suggest"
"protéger","pratérium","défendre","démestre","protect","defend"
"protéine","prosiére","vitamine","vitavais","protein","vitamin"
"pub","bib","restaurant","rescaulier","pub","restaurant"
"puissance","payesance","énergie","tremgie","power","energy"
"punir","pulas","arrêter","acrêvant","punish","arrest"
"pupitre","puditch","bureau","bupert","desk","office"
"pyramide","puraghav","structure","déshoture","pyramid","structure"
"quantité","electité","qualité","preslité","quantity","quality"
"quoi","diro","cela","cala","what","that"
"question","westlion","interroger","inperroscope","question","ask"
"matière","maduire","particule","purtigner","matter","particle"
"raciste","razième","communiste","comnucaire","racist","communist"
"radar","rapla","satellite","soteltras","radar","satellite"
"radio","ralov","télévision","fulévivante","radio","television"
"raison","litson","cause","caôle","reason","cause"
"rapporter","blesporter","informer","inforsant","report","inform"
"rayon","rapin","périmètre","péritille","radius","perimeter"
"égratignure","éfratisayer","hématome","hémigeux","scratch","bruise"
"réalité","écoulité","fantaisie","fontaident","reality","fantasy"
"recherche","réchestre","étude","étace","research","study"
"tribunal","fianbunal","juge","jach","court","judge"
"reconnaissant","recontreuxsant","remercier","cemerdale","grateful","thank"
"reconnaître","teconsphère","connu","coyau","recognize","knew"
"réflexion","réblaient","miroiter","misèreter","reflection","mirror"
"refuge","refonc","abri","étri","refuge","shelter"
"réfugié","rèfumant","fugitif","fugicler","refugee","fugitive"
"refuser","réfuront","accepter","acplanter","refuse","accept"
"régiment","rogigote","bataillon","bavaillés","regiment","battalion"
"région","réthos","zone","zoel","area","zone"
"régional","réjournal","local","loron","regional","local"
"règle","âmgle","protocole","pritoreau","rule","protocol"
"reine","poine","roi","viè","queen","king"
"relatif","relavant","cousine","sassine","relative","cousin"
"relation","relament","amitié","photié","relationship","friendship"
"remplacer","buisplater","substituer","sobstifant","replace","substitute"
"renard","retait","lapin","labar","fox","rabbit"
"réparer","réfatate","réparation","raparasance","fix","repair"
"réponse","réphoïde","réplique","réplexe","answer","reply"
"requin","resing","poisson","jouéson","shark","fish"
"réseau","rébral","système","sysbone","network","system"
"responsabilité","construcponsobilité","devoir","delion","responsibility","duty"
"rester","garter","demeurer","devoirrer","stay","remain"
"résultat","risulmène","aboutissement","consitissement","result","outcome"
"révélation","rovélaporte","vision","vicher","revelation","vision"
"rhum","mhyé","cognac","cobaan","rum","cognac"
"ridicule","ripivers","absurde","obsueur","ridiculous","absurd"
"rien","rios","quelque chose","coulquechives","nothing","something"
"risque","riptue","danger","terger","risk","danger"
"risqué","lonqué","dangereux","dongenève","risky","dangerous"
"rituel","ritice","cérémonie","câtémojours","ritual","ceremony"
"robot","rowie","machine","majoint","robot","machine"
"roche","romue","pierre","calzés","rock","stone"
"rodeo","rothy","cow-boy","ovaboy","rodeo","cowboy"
"romain","ronois","grec","grîte","roman","greek"
"roméo","ronom","juliette","jutience","romeo","juliet"
"rond","ropo","autour","envinées","round","around"
"rouge","roêle","jaune","javéi","red","yellow"
"rouge à lèvres","groue à neuvres","parfum","parjà ","lipstick","perfume"
"rouillé","rockllé","poussiéreux","pouttiémore","rusty","dusty"
"route","rodye","autoroute","outodasse","road","highway"
"itinéraire","ipinénesse","chemin","chejou","route","path"
"royal","liyal","royaume","roécume","royal","kingdom"
"avenue","avefil","rue","ëke","avenue","street"
"rythme","ryname","style","stave","rhythm","style"
"sain","inin","ordinaire","obditeurs","healthy","normal"
"saisir","saibré","attraper","assraquée","grab","catch"
"sale","able","répugnant","dépoûriez","dirty","disgusting"
"pièce","picle","chambre","chlibre","room","bedroom"
"samedi","samesées","dimanche","dibouche","saturday","sunday"
"sandwich","sundbien","hamburger","foncburter","sandwich","hamburger"
"désespéré","sanechane","impuissant","imécrasant","helpless","powerless"
"santé","jecté","éducation","érucadrer","health","education"
"satisfait","sotispées","content","coaient","satisfied","happy"
"focaliser","rocalitique","concentrer","constitrer","focus","concentrate"
"survenir","purvetant","arriver","orrition","occur","happen"
"récupérer","récubétique","guérir","sparir","recover","heal"
"sécher","séture","mouiller","pouillga","dry","wet"
"secondaire","meconstone","primaire","pritêtre","secondary","primary"
"seconde","secrire","minute","milot ","second","minute"
"secret","sebers","mystère","masvrez","secret","mystery"
"secrétaire","sucréchait","assistant","attissiez","secretary","assistant"
"section","gootion","paragraphe","darageants","section","paragraph"
"sécurité","sérablerité","sureté","sufeur","security","safety"
"seigneur","phygneur","dame","dagé","lord","lady"
"séminaire","sécisants","conférence","vonfédrons","seminar","lecture"
"sénior","sédour","junior","julors","senior","junior"
"sensationnel","sonsishrapnel","spectaculaire","sdectacufield","sensational","spectacular"
"septembre","siptèbres","octobre","ocpître","september","october"
"sergent","cérfait","lieutenant","hamptenant","sergeant","lieutenant"
"série","sénie","épisode","épipère","series","episode"
"serveur","sercent","serveuse","serpelle","waiter","waitress"
"service","serfils","maintenance","painteniens","service","maintenance"
"seul","sécué","solitaire","solinique","alone","lonely"
"sexuel","meréel","physique","vassique","sexual","physical"
"shérif","gaerif","maire","mague","sheriff","mayor"
"sherlock","amorlock","watson","gooson","sherlock","watson"
"siècle","brècle","décennie","dégoutnie","century","decade"
"sieste","sityte","flâner","bruner","nap","stroll"
"signification","sipnificapables","importance","amporphone","meaning","importance"
"tranquille","clasquille","calme","cavae","quiet","calm"
"silencieux","milenrible","silence","sirette","silent","silence"
"similaire","sinitives","différent","dippétère","similar","different"
"simplement","simblegate","facile","fucées","simply","simple"
"singe","sirae","gorille","gosulte","monkey","gorilla"
"situation","pituament","crise","crylè","situation","crisis"
"sobre","solie","ivre","dére","sober","drunk"
"société","soajusté","communauté","colluexempté","society","community"
"sœur","sœke","frère","frepe","sister","brother"
"sofa","sogin","lit","igt","sofa","bed"
"soie","sodi","coton","coléo","silk","cotton"
"sol","éal","tapis","talem","floor","carpet"
"soldat","sopfly","guerrier","anesrier","soldier","warrior"
"entreprise","solidisants","agence","agenrô","firm","agency"
"somme","soyae","montant","fectant","sum","amount"
"sortie","sormon","entrée","enfuge","exit","entrance"
"souffrance","soifsances","douleur","facleur","suffering","pain"
"souffrir","poufcoin","mourir","mougné","suffer","die"
"soupape","soubose","ventilation","vontilaporte","valve","ventilation"
"soupe","soâme","salade","sanise","soup","salad"
"souris","sounal","rat","aût","mouse","rat"
"sous-estimer","soisestinique","exagérer","prosgérer","underestimate","exaggerate"
"sous-marin","thelcarin","bateau","boties","submarine","boat"
"spécial","spéchir","unique","évique","special","unique"
"dramatique","drimanique","romantique","pomandante","dramatic","romantic"
"spinal","pictor","abdominal","aptomitoire","spinal","abdominal"
"amusant","sufsant","drôle","drève","witty","funny"
"stade","inade","baseball","basechis","stadium","baseball"
"statut","stajon","position","posigner","status","position"
"stress","strend","dépression","décharsion","stress","depression"
"succès","suctot","échec","écaic","success","failure"
"sucer","sunai","lécher","léture","suck","lick"
"mignon","mimain","joli","telli","sweet","cute"
"sud","dod","nord","nobi","south","north"
"suicide","suidell","meurtre","menétre","suicide","murder"
"suivre","taivre","pourchasser","érecchosser","follow","chase"
"superman","sopertuel","batman","évuman","superman","batman"
"supplémentaire","succlémentions","additionnel","atticalesnel","extra","additional"
"support","soppées","assistance","asissrette","support","assistance"
"debout","dévcup","assis","asbac","stand","sit"
"sûr","eyr","sécurisé","sépubain","safe","secure"
"surnaturel","sarnatunions","paranormal","peranorsence","supernatural","paranormal"
"surnom","surprè","nom","pra","nickname","surname"
"surprise","colprise","déception","dacèpment","surprise","disappointment"
"pendaison","soufdaison","exécution","evécureur","hanging","execution"
"symptôme","sompstoe","syndrome","crédrome","symptom","syndrome"
"table","ouble","chaise","cahily","table","chair"
"comprimé","équiprimé","pilule","pigène","tablet","pill"
"tâche","zuche","mission","étusion","task","mission"
"taille","tamile","longueur","ramgueur","size","length"
"tatouage","tacouple","cicatrice","ciçanique","tattoo","scar"
"taxi","pixi","limousine","pimoufler","taxi","limousine"
"technique","éternique","mécanique","xécasante","technical","mechanical"
"télégramme","tolépreuse","lettre","oittre","telegram","letter"
"télescope","télesthur","microscope","hicronance","telescope","microscope"
"témoin","tégnim","témoignage","tépoinores","witness","testimony"
"temple","tetéle","monastère","bonasriel","temple","monastery"
"obscurité","chaufcurité","lumière","lutêtre","darkness","light"
"tenir","tetal","garder","plader","hold","keep"
"terminal","acheminal","aéroport","pérogiez","terminal","airport"
"attérir","attéfact","voler","voson","land","fly"
"terrible","terdiles","horrible","malrible","terrible","horrible"
"têtu","avetu","égoïste","mèoïste","stubborn","selfish"
"texte","teuse","poème","porée","text","poem"
"thérapie","vienrapie","traitement","symptement","therapy","treatment"
"thon","thit","homard","hocure","tuna","lobster"
"tampon","sugpon","signature","rignasion","stamp","signature"
"tir","anr","tirer","tinée","shot","shoot"
"tireur","timent","sniper","tamper","shooter","sniper"
"toilettes","quélettes","évier","pirar","toilet","sink"
"chute","psyber","effondrement","ettondretique","fall","collapse"
"faux","fagé","correct","trérect","wrong","correct"
"total","todes","achevé","achelan","total","complete"
"toujours","camjours","constamment","cosomptment","always","constantly"
"tourmenter","élecmenter","torturer","chamturer","torment","torture"
"tourner","chonner","pivoter","pivosion","turn","rotate"
"tournoi","tourpel","match","maléh","tournament","match"
"soudainement","sondainetique","étonnamment","beaunamment","suddenly","unexpectedly"
"absolument","asoblunaire","complètement","cosplèteforme","absolutely","completely"
"processus","rocesslège","procédure","pocréfait","process","procedure"
"job","dèb","travail","tradrilles","job","work"
"séisme","séorme","explosion","ecploture","earthquake","explosion"
"trésor","trépis","richesse","riciente","treasure","wealth"
"esclave","eslange","serviteur","servilège","slave","servant"
"triste","troite","tragique","tracisme","sad","tragic"
"imbécile","impénant","idiot","cuiot","fool","idiot"
"trophée","trolude","médaille","métiable","trophy","medal"
"tueur","géeur","meurtrier","amoutrier","killer","murderer"
"tumeur","tucieu","cancer","alicer","tumor","cancer"
"typique","tyville","classique","clastible","typical","classic"
"atterrissage","afferrisrieur","vol","yal","landing","flight"
"autographe","épelutopraphe","photographe","chotonettes","autograph","photographer"
"rein","unrexie","foie","juie","kidney","liver"
"une","glé","trois","trèms","one","three"
"unité","lenté","division","dipicher","unit","division"
"univers","uninies","galaxie","galuait","universe","galaxy"
"collège","marlège","université","chaufvetsité","college","university"
"urgent","cegent","urgence","urverse","urgent","emergency"
"usine","usque","production","psoducment","factory","production"
"utile","lèile","efficace","effibels","useful","effective"
"vache","auche","cochon","cocuse","cow","pig"
"vagin","varée","pénis","péveu","vagina","penis"
"véhicule","vahigers","voiture","peuture","vehicle","car"
"veine","velye","artère","arvert","vein","artery"
"vendeur","venrect","acheteur","techteur","seller","buyer"
"vengeance","torgeance","justice","jussian","revenge","justice"
"vent","gact","tempête","temsûle","wind","storm"
"ver","nir","serpent","sertems","worm","snake"
"verre","véade","bouteille","boucriéme","glass","bottle"
"bas","fag","haut","aiut","down","up"
"vert","veui","orange","thange","green","orange"
"veuve","vebre","femme","feide","widow","woman"
"victime","adotime","agresseur","transseur","victim","attacker"
"vide","urde","plein","ruein","empty","full"
"vieux","oueux","jeune","jéate","old","young"
"vin","ien","champagne","créapagne","wine","champagne"
"virus","visil","infection","infécment","virus","infection"
"tournée","toirvon","concert","conclet","tour","concert"
"vivant","viplan","mort","dért","alive","dead"
"vue","vort","perspective","lourpective","view","perspective"
"voir","voon","rencontrer","roncanmain","see","meet"
"regarder","refugeder","visionner","vitourner","look","watch"
"voix","voud","accent","accour","voice","accent"
"vol","ohl","braquage","donquage","theft","robbery"
"voler","voson","dérober","dèrolule","steal","rob"
"voleur","vulone","criminel","ctimirage","thief","criminal"
"vrai","rêai","réel","rért","true","real"
"washington","wastratton","boston","hanton","washington","boston"
"whisky","étinky","vodka","tymka","whiskey","vodka"
"yoga","yojim","massage","masmais","yoga","massage"
"zombi","fiabi","vampire","exépire","zombie","vampire"
"zoo","huo","cirque","larque","zoo","circus"
