"de_cue","de_fake_cue","de_target","de_fake_target","en_cue","en_target"
"leiden","disden","sterben","kranben","suffer","die"
"leise","riose","stille","stacke","silent","silence"
"lernen","signen","lehren","luhsen","learn","teach"
"lesbisch","kamben","schwul","schwah","lesbian","gay"
"lesen","lerie","schreiben","schlüsben","read","write"
"lesung","lerie","abfassung","schlüsben","reading","writing"
"liga","liven","mannschaft","lautschaft","league","team"
"limonade","limotane","soda","sota","lemonade","soda"
"lippe","skope","wange","jewge","lip","cheek"
"lippenstift","lippenbohrt","parfüm","parübe","lipstick","perfume"
"löffel","avifel","gabel","ganie","spoon","fork"
"loyalität","schelität","ehrlichkeit","ehrgeizkeit","loyalty","honesty"
"luft","öpft","sauerstoff","sauerschüt","air","oxygen"
"lüge","darge","lügner","hehner","lie","liar"
"machen","maschi","tun","esen","make","do"
"mädchen","kiechen","junge","pilge","girl","boy"
"mafia","maloo","kartell","karsteh","mafia","cartel"
"magen","matio","brust","luhne","stomach","chest"
"magie","mazeu","magier","magierschreckst","magic","wizard"
"magnetisch","magnesches","elektrisch","dreitrisch","magnetic","electric"
"majestät","majessies","hoheit","hovens","majesty","highness"
"malen","matio","zeichnen","psychnen","paint","draw"
"manager","manathan","chef","boja","manager","boss"
"manchmal","beechmal","häufig","epifig","sometimes","often"
"mann","maca","mensch","sonsch","man","human"
"männlich","danklich","weiblich","kleblich","male","female"
"marathon","marakens","rennen","stonen","marathon","race"
"marine","maschöne","schifffahrt","schaffiehrt","marine","navy"
"marine","mawaffne","flotte","litte","naval","fleet"
"marke","völke","produkt","prohuhn","brand","product"
"mars","mazi","venus","vedor","mars","venus"
"maus","manc","ratte","seste","mouse","rat"
"medizinisch","medizistein","psychologisch","psycholochert","medical","psychological"
"meer","meso","ozean","geman","sea","ocean"
"mehrheit","striheitlich","abstimmung","abtrünmung","majority","vote"
"meile","tulle","zentimeter","zentimister","mile","centimeter"
"meinung","cannung","einstellung","einrichlung","opinion","attitude"
"zuschauer","zuschunge","publikum","publimans","crowd","audience"
"quantität","quinrität","qualität","frühlität","quantity","quality"
"fair","tair","angemessen","angeranntsen","fair","reasonable"
"methode","mekreide","technik","techkam","method","technique"
"leihen","lulhen","mieten","genten","hire","rent"
"mieter","knoter","vermieter","verkennter","tenant","landlord"
"milch","mihoh","saft","sazi","milk","juice"
"million","langlion","milliarde","grundliarde","million","billion"
"millionär","milliomons","unternehmer","maxische","millionaire","entrepreneur"
"minimum","minirews","maximum","maxische","minimum","maximum"
"mischung","mischiff","ling","liba","ming","ling"
"miserabel","miseralisch","erbärmlich","erstößlich","miserable","pathetic"
"mitfühlend","mitfünalb","großzügig","festzügig","compassionate","generous"
"mitglied","mitsisch","anführer","ancasrer","member","leader"
"mitternacht","mitterlands","mittag","mitven","midnight","noon"
"modell","mofers","prototyp","protoruft","model","prototype"
"modern","mosphä","traditionell","traditiofisch","modern","traditional"
"modisch","monacht","elegant","elegraf","fashionable","elegant"
"monat","mocus","woche","woben","month","week"
"mönch","änsch","priester","spitzter","monk","priest"
"mond","mods","sonne","berne","moon","sun"
"lunar","linas","solar","sofes","lunar","solar"
"monster","bronter","kreatur","yamatur","monster","creature"
"montag","schitag","dienstag","kreustag","monday","tuesday"
"denkmal","monucks","statue","stavio","monument","statue"
"killer","kloder","mörder","sepder","killer","murderer"
"vormittags","niegen","morgen","stagen","tomorrow","morning"
"motiv","molon","alibi","selbi","motive","alibi"
"müde","hamde","hungrig","burkrig","tired","hungry"
"müll","töll","abfall","fäll","trash","garbage"
"mund","muwa","nase","nator","mouth","nose"
"mut","aht","entschlossenheit","scharlegung","courage","determination"
"mutter","linter","vater","varia","mother","father"
"mythos","mikatz","legende","lefriede","myth","legend"
"nacht","nitscht","abend","adent","night","evening"
"nachtisch","lardisch","kuchen","kulier","dessert","cake"
"nackig","napat","nackt","nabilt","nude","naked"
"nadel","narie","spritze","staatze","needle","syringe"
"nagel","natür","zahn","uhn","nail","tooth"
"naiv","nawin","dumm","duxe","naïve","stupid"
"naiv","nawin","zynisch","zypunkt","naive","cynical"
"name","prome","titel","tibar","name","title"
"national","natiomung","global","hänbal","national","global"
"natürlich","natürchen","allgemein","allgeengt","naturally","generally"
"natürlich","natürchen","künstlich","schentlich","natural","artificial"
"navigation","schnarchigation","kommunikation","streichmunikation","navigation","communication"
"eifersüchtig","völdisch","wütend","wübank","jealous","angry"
"nerv","neh","muskel","krikel","nerve","muscle"
"nest","neru","ei","gi","nest","egg"
"netzwerk","netzbeln","system","apotem","network","system"
"nichts","nichil","etwas","etruf","nothing","something"
"nickerchen","nihäuschen","spaziergang","lohmel","nap","stroll"
"runter","masder","hoch","hork","down","up"
"niedrig","freurig","hoch","kork","low","high"
"niedriger","blanriger","höher","jamin","lower","upper"
"niere","masre","leber","lerie","kidney","liver"
"ninja","limja","samurai","samunike","ninja","samurai"
"nobel","nibem","preis","schleis","nobel","prize"
"nie","näu","jemals","ös","never","ever"
"normalerweise","normalerschönsse","meistens","meisbeln","normally","usually"
"notwendig","flegwendig","brauchen","teamchen","necessary","need"
"november","novemgung","dezember","deschober","november","december"
"nüchtern","nervtern","betrunken","beängsken","sober","drunk"
"nutzlos","punklos","wertlos","feldlos","useless","worthless"
"oben","eren","unten","unterkunftte","top","bottom"
"objekt","obzeln","subjekt","fany","object","subject"
"ofen","mäen","herd","hena","oven","stove"
"öffnen","öfches","schließen","trudran","open","close"
"offenbarung","offenbanisch","vision","klassion","revelation","vision"
"behördlich","offizilicht","offiziell","offizisicht","officially","official"
"öffnung","hurnung","abschluss","abschlietenz","opening","closure"
"okay","tway","klar","it","okay","yeah"
"onkel","onrat","papa","ferti","uncle","dad"
"opfer","oplos","angreifer","anthrofer","victim","attacker"
"optimistisch","optimisstand","realistisch","realissches","optimistic","realistic"
"orchester","ordertter","band","aund","orchestra","band"
"arrangieren","webnen","organisieren","schleganisieren","arrange","organize"
"orgasmus","orgasback","erektion","förmtion","orgasm","erection"
"original","origimung","kopie","koreat","original","copy"
"ort","eht","lage","wegge","place","location"
"palast","pafand","schloss","skufoss","palace","castle"
"tank","terk","motor","modet","tank","engine"
"papier","paligt","stift","stippt","paper","pen"
"paradies","parakerl","hölle","rosle","paradise","hell"
"paranoid","paranorecht","verrückt","verzucht","paranoid","crazy"
"parlament","parabur","senat","serow","parliament","senate"
"passagier","passawurf","fahrer","stehber","passenger","driver"
"pazifik","pazitreu","atlantik","atlandungs","pacific","atlantic"
"person","perfek","individuum","individuschiff","person","individual"
"persönlich","persöncher","intim","injor","personal","intimate"
"pest","rimst","epidemie","kochdemie","plague","epidemic"
"pflanze","froschze","blume","horme","plant","flower"
"pfund","zind","dollar","dolnon","pound","dollar"
"phänomen","stopnomen","event","verangriftung","phenomenon","event"
"phase","mahse","periode","terioche","phase","period"
"philosophie","philosogibst","religion","relichungon","philosophy","religion"
"physik","opesik","mathematik","mathemaplatz","physics","mathematics"
"picknick","pickness","camping","sitping","picnic","camping"
"pirat","pinos","seemann","vatmann","pirate","sailor"
"pistole","steltole","waffe","diafe","pistol","weapon"
"plan","eisnen","strategie","tigstegie","plan","strategy"
"planet","finnet","umlaufbahn","orsed","planet","orbit"
"bahnsteig","bindsteig","bahnhof","bahnsin","platform","station"
"platzen","klinzen","explodieren","exschendieren","burst","explode"
"playboy","playmay","zeitschrift","zeitfleisch","playboy","magazine"
"plötzlich","kratzlich","unerwartet","unerlichtet","suddenly","unexpectedly"
"plus","ploss","minus","mität","plus","minus"
"politik","polimern","politiker","politigungs","policy","politician"
"bevölkerung","kerölkerung","menschen","walschen","population","people"
"porno","banno","film","fiud","porn","movie"
"portal","porsig","tor","ker","portal","gate"
"positiv","posimons","negativ","negabund","positive","negative"
"potenzial","poschatzial","talent","tachet","potential","talent"
"prinzessin","bleizessin","prinz","schwinz","princess","prince"
"privat","priphy","privatsphäre","privatkriegre","private","privacy"
"privileg","privicott","ehre","ehche","privilege","honor"
"produzent","produwolf","direktor","digungtor","producer","director"
"profil","proong","beschreibung","befehlsnung","profile","description"
"gewinn","profisportren","einkommen","einstelmen","profit","income"
"fortschritt","prowerks","entwicklung","entschildung","progress","development"
"projekt","prockel","programm","probruch","project","program"
"protein","scheltein","vitamin","vittime","protein","vitamin"
"protest","proves","demonstration","destrichtration","protest","demonstration"
"prozess","profehl","verfahren","verletzren","process","procedure"
"bericht","benickt","informieren","inforderstren","report","inform"
"prüfen","alfen","überprüfen","verifischnurren","check","verify"
"mental","reuchisch","emotional","achtitional","mental","emotional"
"kneipe","wob","restaurant","restauphie","pub","restaurant"
"pumpe","kespe","schlauch","schmeuch","pump","hose"
"punkt","pulät","anzeigen","angefähr","point","indicate"
"puppe","kohpe","spielzeug","spielmeln","doll","toy"
"pyramide","pyrantide","struktur","tricktur","pyramid","structure"
"quälerei","joglen","folter","wirter","torment","torture"
"quelle","prenle","informant","inforsyth","source","informant"
"rache","rater","gerechtigkeit","gemachigkeit","revenge","justice"
"radar","raker","satellit","sateltras","radar","satellite"
"radio","ramut","fernsehen","weisehen","radio","television"
"radius","radirekt","umfang","umfort","radius","perimeter"
"rakete","rabürste","flugkörper","flagkirster","rocket","missile"
"rassist","rasrier","kommunist","kommanast","racist","communist"
"rat","oht","beraten","berabatt","advice","advise"
"rauch","ratah","zigarre","zideidre","smoke","cigar"
"realisieren","glücklisieren","verstehen","verheimhen","realize","understand"
"rechts","itscht","links","lidos","right","left"
"rede","rerin","predigt","koldigt","speech","sermon"
"regel","rerin","protokoll","protomack","rule","protocol"
"regen","reprä","schnee","schnul","rain","snow"
"regiment","regicorp","bataillon","bechelon","regiment","battalion"
"regional","regiomung","lokal","lobei","regional","local"
"reinigen","chronigen","waschen","wachung","clean","wash"
"verwandter","derwandser","cousin","woutin","relative","cousin"
"reporter","regelnter","journalist","trinnalist","reporter","journalist"
"respekt","respray","vertrauen","verchenen","respect","confidence"
"rettung","kastung","retten","keren","rescue","save"
"empfang","restrontion","party","golfpe","reception","party"
"rhythmus","plattmus","stil","stor","rhythm","style"
"ring","riel","halskette","kostkette","ring","necklace"
"risiko","risiland","gefahr","wettung","risk","danger"
"riskant","bohkant","gefährlich","gezwielich","risky","dangerous"
"reißen","reikten","schneiden","schuldern","tear","cut"
"riss","rikt","loch","itch","crack","hole"
"ritual","rituling","zeremonie","zeremoderns","ritual","ceremony"
"roboter","robockig","maschine","mawaffne","robot","machine"
"rock","roti","kleid","klold","skirt","dress"
"rodeo","robis","cowboy","memboy","rodeo","cowboy"
"romeo","rolud","julia","juträt","romeo","juliet"
"römisch","röblick","griechisch","zwinchisch","roman","greek"
"rostig","höltig","staubig","schobig","rusty","dusty"
"rot","azt","gelb","geuß","red","yellow"
"route","zahte","weg","agg","route","path"
"rücktritt","rücknacht","entlassung","entlasdest","resignation","dismissal"
"leise","rubus","ruhig","rutor","quiet","calm"
"rum","emm","cognac","cohans","rum","cognac"
"rund","carden","herum","umfunkrum","round","around"
"sagen","satio","erzählen","erhanteln","say","tell"
"sahne","knine","sauce","sophi","cream","sauce"
"sammeln","samzeug","versammeln","versamdigt","collect","gather"
"samstag","dummtag","sonntag","wandtag","Saturday","Sunday"
"sandwich","sandlief","hamburger","schäburger","sandwich","hamburger"
"sänger","reuger","musiker","musitäts","singer","musician"
"sarg","saun","beerdigung","beerdischen","coffin","funeral"
"saugen","comgen","lecken","lemann","suck","lick"
"kreieren","stahlfen","produzieren","produtroxen","create","produce"
"erschaffung","erstahlfung","zerstörung","zerstöbern","creation","destruction"
"schallplatte","schallsuchte","aufnahme","aufdringe","record","recording"
"schatten","stichten","dunkel","flakel","shadow","dark"
"schatz","schmautz","reichtum","reilertum","treasure","wealth"
"scheidung","kunstung","ehe","ile","divorce","marriage"
"glänzen","sportnen","hell","heuch","shine","bright"
"schicht","schachel","oberfläche","räckfläche","layer","surface"
"schießpulver","bechtspuvter","dynamit","dynaveen","gunpowder","dynamite"
"schild","safeld","rüstung","mootung","shield","armor"
"langsam","schlepdünn","schnell","schnürl","slow","fast"
"schlucken","sträucken","kauen","tesen","swallow","chew"
"schlüssel","schreisel","schloss","stilren","key","lock"
"schmackhaft","schmeishaft","köstlich","leters","tasty","delicious"
"schmeicheln","schnitcheln","beeindrucken","beeindrutisch","flatter","impress"
"schmelzen","schächzen","einfrieren","einzigsren","melt","freeze"
"schmetterling","schmetterspre","vogel","votin","butterfly","bird"
"schnecke","sprencke","schildkröte","prechtkröte","snail","turtle"
"nett","schunn","schön","neit","nice","lovely"
"schreck","stackeln","erschrecken","erreicken","scare","frighten"
"schrecklich","schrittlich","furchtbar","entwöhnlich","terrible","horrible"
"schreibtisch","fluchtisch","büro","zauro","desk","office"
"schüler","lichler","lehrer","lekrer","student","teacher"
"schulter","fürchter","knie","knach","shoulder","knee"
"schuss","schness","schießen","friedßen","shot","shoot"
"schüssel","stressel","teller","mögler","bowl","plate"
"schweinefleisch","dienstnefleisch","fleisch","kneisch","pork","meat"
"schwerfällig","schwup","schwer","schwim","heavy","heavily"
"schwert","sufert","messer","floser","sword","knife"
"schwester","schmutter","bruder","geider","sister","brother"
"schwören","ochmoren","eid","aud","swear","oath"
"seele","losle","geist","gejut","soul","spirit"
"sehen","sekre","treffen","bräufen","see","meet"
"sehen","sekre","uhr","umt","look","watch"
"sekretärin","sekregels","assistent","assisnon","secretary","assistant"
"abschnitt","fahntion","absatz","abfang","section","paragraph"
"sekundär","sekunside","primär","prinoi","secondary","primary"
"sekunde","sefriede","minute","misiegte","second","minute"
"selbstmord","selbstsprung","mord","monu","suicide","murder"
"seminar","semideck","vorlesung","vorledest","seminar","lecture"
"senior","senitelt","junior","junitelt","senior","junior"
"sensationell","sensatiofisch","spektakulär","glaubtakulär","sensational","spectacular"
"sensor","senmig","sender","korder","sensor","transmitter"
"september","württember","oktober","oktogung","september","october"
"feldwebel","serbelst","leutnant","pleanant","sergeant","lieutenant"
"serie","sedel","folge","wirge","series","episode"
"sexuell","sexuband","körperlich","körsischlich","sexual","physical"
"sheriff","hamriff","bürgermeister","bürgersuchter","sheriff","mayor"
"sherlock","schülock","watson","künson","sherlock","watson"
"hemd","kiert","jacke","jamai","shirt","jacket"
"schütze","stalter","scharfschütze","prachtschütze","shooter","sniper"
"show","kiow","darbietung","darniedtung","show","performance"
"ausruhen","ausklärst","schlafen","schlo","rest","sleep"
"schmal","veredukt","breit","brott","narrow","wide"
"ablehnen","weruhrs","akzeptieren","anspanmen","refuse","accept"
"sicher","gesirung","gesichert","sirung","safe","secure"
"sicherung","sichergung","sicherheit","sisundheit","security","safety"
"sieg","seig","niederlage","verlock","victory","defeat"
"nützlich","bahnvoll","wirksam","kriesam","useful","effective"
"sklave","waldve","diener","deindi","slave","servant"
"snack","drack","mittagessen","mittenessen","snack","lunch"
"sofa","sodos","bett","benn","sofa","bed"
"software","zartware","computer","herzputer","software","computer"
"soldat","solauf","krieger","treuger","soldier","warrior"
"söldner","sauener","attentäter","attentrichter","mercenary","assassin"
"sommer","gromer","winter","feuter","summer","winter"
"sonnenuntergang","sonnenüberung","dämmerung","dämmetrie","sunset","dawn"
"spät","spiek","früh","tierzeitig","late","early"
"spinal","matnal","abdominal","abdomichern","spinal","abdominal"
"spinne","witne","insekt","inheem","spider","insect"
"spion","maton","verräter","zahnräter","spy","traitor"
"spionage","hautnage","sabotage","sobotion","espionage","sabotage"
"spitzname","schotname","nachname","schenname","nickname","surname"
"unterhalten","meerchen","sprechen","pierchen","talk","speak"
"stadion","friedion","baseball","basegeld","stadium","baseball"
"stehen","schand","sitzen","wolzen","stand","sit"
"stark","gerk","schwach","schliech","strong","weak"
"stärke","schirke","gewalt","gelist","strength","force"
"zudecken","tridecken","verstecken","verstehung","cover","hide"
"status","stakam","position","posischenon","status","position"
"stehlen","spallen","rauben","zwiben","steal","rob"
"klettern","sandgen","springen","sperrgen","climb","jump"
"stiefel","breifel","schuh","scheph","boot","shoe"
"stimme","reizme","akzent","akbels","voice","accent"
"stock","stahk","hammer","butmer","stick","hammer"
"stoff","staff","taschentuch","taschenfehl","cloth","handkerchief"
"stolz","störz","würde","kalde","pride","dignity"
"stolz","störz","aufgeregt","ernehm","proud","excited"
"strafe","fahrfe","haft","hago","penalty","imprisonment"
"strand","stratu","küste","appte","beach","coast"
"straße","fahrße","autobahn","autowier","road","highway"
"strom","stopem","elektrizität","nachttrizität","current","electricity"
"suchen","suben","finden","pladen","search","find"
"südlich","udd","westlich","bintern","southern","western"
"süden","sülig","norden","mieden","south","north"
"summe","prome","betrag","halge","sum","amount"
"sünde","phode","verbrechen","verbreskia","sin","crime"
"suppe","öffpe","salat","satio","soup","salad"
"süß","rass","niedlich","woodlich","sweet","cute"
"symptom","sympatz","syndrom","synfarm","symptom","syndrome"
"tabak","tawig","zigarette","zigaschäfte","tobacco","cigarette"
"tablette","takackte","pille","blöle","tablet","pill"
"kindermädchen","tagelmädchen","dienstmädchen","gleichmädchen","nanny","maid"
"täglich","leklich","wöchentlich","wöstündlich","daily","weekly"
"tänzer","stezer","tanzen","gutzen","dancer","dance"
"tasche","tastro","brieftasche","colettasche","pocket","wallet"
"knopf","belte","drücken","drackne","button","press"
"tätowierung","tätowiescher","narbe","flabe","tattoo","scar"
"narr","yanschen","idiot","wikot","fool","idiot"
"tausend","tauwell","hundert","hunraum","thousand","hundred"
"taxi","tabär","limousine","lienerbsine","taxi","limousine"
"ingenieur","idenniker","architekt","archinith","engineer","architect"
"technisch","idennisch","mechanisch","mechaplain","technical","mechanical"
"technologie","volksnologie","wissenschaft","wissentierst","technology","science"
"jugendlich","kellager","teenager","teenfees","teenage","teenager"
"telegramm","telegends","brief","burf","telegram","letter"
"tempel","spipel","kloster","blubter","temple","monastery"
"terminal","termimung","flughafen","handhafen","terminal","airport"
"teuer","somer","billig","südrig","expensive","cheap"
"böse","metzlisch","grausamkeit","zahnsamkeit","evil","cruelty"
"text","teux","gedicht","gerisch","text","poem"
"drama","everter","komödie","komögert","drama","comedy"
"therapie","theraselt","behandlung","berichlung","therapy","treatment"
"thunfisch","grinfisch","hummer","mysmer","tuna","lobster"
"biest","gört","tier","tika","beast","animal"
"tisch","tibb","stuhl","pläsel","table","chair"
"toast","chast","speck","spink","toast","bacon"
"tochter","stehter","sohn","sowe","daughter","son"
"tod","rof","verschwinden","verdienstden","death","disappearance"
"toilette","glühlette","waschbecken","fangsbecken","toilet","sink"
"fatal","fuflich","tödlich","miehlich","deadly","fatal"
"tour","hur","konzert","kontant","tour","concert"
"tratsch","trisch","skandal","skanrick","gossip","scandal"
"traurig","trauzeu","tragisch","agogisch","sad","tragic"
"loyal","trigg","treu","treix","loyal","faithful"
"treue","trike","hingabe","nakagabe","fidelity","devotion"
"trick","spick","scherz","sperrzen","trick","joke"
"getränk","gestifk","bier","binä","drink","beer"
"trocken","kolcken","nass","naze","dry","wet"
"tropfen","dröhfen","schluck","schlark","drop","sip"
"trophäe","trobite","medaille","meschüle","trophy","medal"
"tumor","turic","krebs","krius","tumor","cancer"
"turm","tumo","gebäude","geckende","tower","building"
"turnier","turvers","wettkampf","trisen","tournament","match"
"typisch","tyroth","klassisch","charsisch","typical","classic"
"u-boot","owoot","boot","boji","submarine","boat"
"üben","kren","übung","übling","practice","exercise"
"superman","sapermal","batman","nerman","superman","batman"
"übernatürlich","spitznatürlich","paranormal","paranorziert","supernatural","paranormal"
"überraschung","überrabracht","enttäuschung","enttäubracht","surprise","disappointment"
"beobachtung","beortachtung","bewertung","bewolfwer","observation","evaluation"
"ufo","vöo","alien","itein","ufo","alien"
"umwelt","emwalt","atmosphäre","atmodernsre","environment","atmosphere"
"umschlag","umschrei","paket","padal","envelope","package"
"unbequem","unbemard","unangenehm","unangepoint","uncomfortable","unpleasant"
"unfähigkeit","unfähigscher","unfähig","unfäselt","inability","unable"
"ungerechtigkeit","ungestürztigkeit","unfair","uncats","injustice","unfair"
"ungewöhnlich","ungepünktlich","seltsam","messam","unusual","strange"
"unglücklich","unbrechlich","unglück","unrückt","unfortunate","misfortune"
"beängstigend","unwichlich","unheimlich","unfieslich","scary","creepy"
"universum","univerhorn","galaxie","galawall","universe","galaxy"
"unmöglich","unmögcher","einfach","eitsach","impossible","easy"
"unschuldig","unsterbdig","schuldig","schulney","innocent","guilty"
"unterbrechen","unterbreduil","stören","araren","interrupt","disturb"
"unterschätzen","untermilchzen","übertreiben","überzeugben","underestimate","exaggerate"
"unterstützung","unterzeichzung","hilfe","unife","support","assistance"
"prüfen","untersutisch","untersuchen","untersutisch","examine","investigate"
"überprüfung","untersufield","inspektion","inflüchtion","examination","inspection"
"unvernünftig","unverniedlich","unverantwortlich","unverantmenschlich","unreasonable","irresponsible"
"vagina","vatersna","penis","perua","vagina","penis"
"papa","pipo","mama","derma","daddy","mum"
"vene","forne","arterie","artetert","vein","artery"
"ventil","altil","belüftung","belüfkeit","valve","ventilation"
"veränderung","verändeplatz","verbesserung","verbessegelst","change","improvement"
"verantwortung","verantworscher","pflicht","zilicht","responsibility","duty"
"verboten","tanzboten","verbieten","versteuten","forbidden","prohibit"
"verdienen","verängsnen","würdig","quadig","deserve","worthy"
"club","tlub","bar","tar","club","bar"
"vergebung","vergefügt","barmherzigkeit","nochherzig","forgiveness","mercy"
"vergessen","verstänsen","erinnern","erinnerequardt","forget","remember"
"vergnügen","vertuckern","freude","niede","pleasure","joy"
"verhindern","verhinrich","aufhören","stitt","prevent","stop"
"verkäufer","verwandfer","käufer","hedfer","seller","buyer"
"verlangen","verfolten","wunsch","ronsch","desire","wish"
"verlassen","verwechsen","aufgeben","aufgefähr","leave","abandon"
"verlierer","versammrer","gewinner","gegärtner","loser","winner"
"verschwörung","verstichelung","betrug","betrott","conspiracy","fraud"
"versehentlich","versekirchlich","absichtlich","absturzlich","accidentally","intentionally"
"auktion","nuktion","verkauf","verrand","auction","sale"
"versuchen","versukira","versuch","versitz","try","attempt"
"vertrag","verning","vereinbarung","zurechmung","contract","agreement"
"vertrauen","verchenen","glauben","bradden","trust","believe"
"verwalten","verpunkten","erfolgreich","erruhmreich","manage","succeed"
"management","minangement","administrativ","administraschlag","management","administrative"
"verwaltung","verwalkers","regierung","regiestoß","administration","government"
"verzeihen","verpfänhen","entschuldigen","trierede","forgive","excuse"
"vielleicht","vielierst","wahrscheinlich","kurzscheinlich","maybe","probably"
"virus","vible","infektion","inschäftion","virus","infection"
"vorbereitung","vorbereichern","planung","eisnung","preparation","planning"
"vorderseite","vorderkunfte","rückseite","rückkunfte","front","rear"
"vorfall","denfall","unfall","unzung","incident","accident"
"fortfahren","entfisteln","fortsetzen","obersetzen","proceed","continue"
"vorschlagen","vornehmsgen","empfehlen","landfehlen","propose","suggest"
"vorstellung","vorbildlung","kreativität","schwätivität","imagination","creativity"
"wählen","heflen","auswählen","ausfuhlen","choose","select"
"wahnsinn","färbsinn","dummheit","dankheit","madness","stupidity"
"wahr","wafy","real","rerei","TRUE","real"
"wahrscheinlichkeit","wahrfreundlichkeit","wahrscheinlich","kurzscheinlich","probability","likely"
"waisenhaus","waisenkung","kloster","blubter","orphanage","convent"
"wand","wärl","zaun","zamp","wall","fence"
"warm","wane","kühl","künt","warm","cool"
"wärme","pumte","temperatur","brandperatur","heat","temperature"
"warnung","leinung","nachricht","sieschaft","warning","message"
"warten","zisten","erwarten","ersuchten","wait","expect"
"was","ies","das","eus","what","that"
"washington","washtingon","boston","gelton","washington","boston"
"weich","week","sanft","sapft","soft","gentle"
"weihnachten","spärnachten","ferien","fertieren","christmas","holiday"
"wein","wese","champagner","champabars","wine","champagne"
"weiß","weoh","schwarz","schwizz","white","black"
"wenden","talde","drehen","vanden","turn","rotate"
"werbung","empung","marketing","markelett","advertising","marketing"
"karriere","werdekick","ruf","lif","career","reputation"
"werkstatt","werkström","garage","garageschlechts","workshop","garage"
"werkzeug","freszeug","instrument","innagement","tool","instrument"
"wert","wese","preis","props","value","price"
"wertvoll","windvoll","wichtig","blautig","valuable","important"
"westen","weev","osten","aft","west","east"
"wettbewerb","wettbefand","meisterschaft","pferterschaft","competition","championship"
"whiskey","whisfon","wodka","dyska","whiskey","vodka"
"widerstand","widerspand","widerstehen","widerträchen","resistance","resist"
"erholen","ersalen","heilen","rallen","recover","heal"
"wind","aund","sturm","stizam","wind","storm"
"engel","feukel","teufel","grofel","angel","devil"
"wirklichkeit","kochlichkeit","fantasie","fantapeln","reality","fantasy"
"witwe","borwe","frau","fruck","widow","woman"
"witzig","wiffich","lustig","koblick","witty","funny"
"wohltätigkeit","bunttätigkeit","spende","dernde","charity","donation"
"wolke","kafke","nebel","nefiz","cloud","fog"
"wort","hert","satz","sahn","word","sentence"
"wörterbuch","wörterklet","redewendung","fratse","dictionary","phrase"
"wunde","korde","verletzung","verletfall","wound","injury"
"wunderbar","wundersetz","fantastisch","fantassches","wonderful","fantastic"
"wurm","wuns","schlange","schießge","worm","snake"
"wüste","nilte","tal","schluchdi","desert","valley"
"yoga","riega","massage","grossage","yoga","massage"
"schwierig","schnierig","schwer","schwim","tough","hard"
"zelle","busle","gefängnis","gewaltnis","cell","prison"
"zement","zesung","plastik","plasert","cement","plastic"
"zerschlagen","zersplitgen","zerbrechen","murchen","smash","break"
"zeuge","götge","zeugenaussage","metznis","witness","testimony"
"zimmer","framer","schlafzimmer","stoffzimmer","room","bedroom"
"zimt","ziha","vanille","vahandle","cinnamon","vanilla"
"zombie","atabie","vampir","vamett","zombie","vampire"
"zoo","keo","zirkus","läukus","zoo","circus"
"zorn","zotan","wut","olt","anger","rage"
"zucker","zuters","schokolade","kleinkolade","sugar","chocolate"
"zuflucht","zuweicht","schutz","schositz","refuge","shelter"
"zug","mog","bus","igs","train","bus"
"zugeben","zugefähr","gestehen","diechten","admit","confess"
"zukunft","zurungs","vergangenheit","vergangenschaf","future","past"
"erhöhen","zuflüsme","reduzieren","redutoxren","increase","reduce"
"zünder","klider","timer","tikum","detonator","timer"
"zurück","zurars","rückkehr","rückvers","back","return"
"zuständigkeit","zugangsdigkeit","behörde","bereide","jurisdiction","authority"
"zweck","zwank","absicht","abschre","purpose","intention"
"zwei","usei","vier","gör","two","four"
"zweifel","zweitur","vermuten","vermuckis","doubt","suspect"
