"el_cue","el_fake_cue","el_target","el_fake_target","en_cue","en_target"
"πλειοψηφία","ωπλωοπηφία","ψήφος","ρόφος","majority","vote"
"η φυσική","η φυσιές","μαθηματικά","μαευματικά","physics","mathematics"
"ήδη","γάβη","ακόμη","άκρνη","already","still"
"ημερολόγιο","ήμερολυριο","πρόγραμμα","πρόγρααγα","calendar","schedule"
"ήρωας","γήωας","σωτήρας","εφτήρας","hero","savior"
"ησυχία","ησύδια","ηρεμία","ηριχία","quiet","calm"
"ηττημένος","βατημένος","νικητής","ροκητής","loser","winner"
"θάλασσα","ρίλασσα","ωκεανός","tεεανός","sea","ocean"
"θαλάσσια","θαλάυχια","πολεμικό ναυτικό","πόιομικο ναυτικο","marine","navy"
"θάμνος","θάκλος","δέντρο","δέρνρο","bush","tree"
"θανάσιμα","θανάγεμα","μοιραίος","μοιριώος","deadly","fatal"
"θάνατος","θάναμες","εξαφάνιση","έξαφοπιση","death","disappearance"
"θάρρος","θάνθος","προσδιορισμός","πρόσδιορισιος","courage","determination"
"θαυμάζω","θαυμπίω","εκτιμώ","έκτιπo","admire","appreciate"
"θέα","χρά","προοπτική","προοαρική","view","perspective"
"θείος","ανίος","μπαμπάς","μπάμνις","uncle","dad"
"θεός","ρπός","θεϊκός","θεοτός","god","divine"
"θεραπεία","θεραπερή","θεραπευτική αγωγή","θεραπευτικιραγωγή","therapy","treatment"
"θερμότητα","θειζότητα","θερμοκρασία","θερμοκατσία","heat","temperature"
"θέση","βήση","τοποθεσία","τόποθεαμα","place","location"
"θετικός","ρντικός","αρνητικός","αρρατικός","positive","negative"
"θηρίο","θήλμο","ζώο","έοο","beast","animal"
"θησαυρός","θήσαυρεθ","πλούτος","πλλήτος","treasure","wealth"
"θόρυβος","θόρυγκς","ήχος","kρός","noise","sound"
"θραύσμα","θραύτοα","κομμάτι","κοακάτι","fragment","piece"
"θύμα","λίμα","επιτεθείς","επιτοδείς","victim","attacker"
"θυμός","φλμός","οργή","όρπε","anger","rage"
"ιατρικός","chτρικός","ψυχολογικός","χεχολογικός","medical","psychological"
"ιδανικός","κβανικός","τέλειος","λίλειος","ideal","perfect"
"ιδέα","ίδρτ","θεωρία","θεωριέ","idea","theory"
"ιδιοκτησία","ιδιοηθησία","ιδιοκτήτης","ιδδικτήτης","property","owner"
"ιδιοφυία","ιδιοπρία","επιστήμονας","επισπόμονας","genius","scientist"
"ιδιωτικός","ιδειτικός","μυστικότητα","ελστικότητα","private","privacy"
"ικανοποιημένοι","ικανοποικεένοι","ευτυχισμένος","ευτυπωσμένος","satisfied","happy"
"ιός","ώμς","μόλυνση","μολυβόη","virus","infection"
"ιούνιος","ιομάιος","ιούλιος","ηχύλιος","june","july"
"ιππικό","ιπνοκό","πυροβολικό","πυρουςλικό","cavalry","artillery"
"ισορροπία","ισορσαπία","αρμονία","άρμουδα","balance","harmony"
"εφαρμόζω","ίσοσουν","χρήση","χρύτη","apply","use"
"ισχυρός","ίσχυλης","αδύναμος","αδννάκος","strong","weak"
"καγκελάριος","νιγκελάριος","πρόεδρος","πρόεσιος","chancellor","president"
"καθαρή","καθανώ","πλύση","σδύση","clean","wash"
"καθημερινά","κάθημεριαμ","εβδομαδιαίος","διδομαδιαίος","daily","weekly"
"καθολικός","καταλικός","χριστιανός","χρισμεανός","catholic","christian"
"καίσαρας","καίσυλας","ρώμη","αίμη","caesar","rome"
"κακό","μικό","σκληρότητα","σκλήπττητα","evil","cruelty"
"καλλιτέχνης","κάλλιτδυνης","ζωγράφος","ζώγρντος","artist","painter"
"καλόγερος","καλόδορος","παπάς","πάνις","monk","priest"
"καλοκαίρι","κάλοκαετι","χειμώνας","χερεώνας","summer","winter"
"καλός","καρίς","κακό","μικό","good","bad"
"κάλυμμα","καλυπάα","κρύβω","κρίλω","cover","hide"
"καλώδιο","κανάδιο","σύρμα","σνλία","cable","wire"
"καμπάνια","κάμπτεια","εκλογή","έκλοαv","campaign","election"
"καμπίνα","κάμποτα","κατάστρωμα","κατατέρωμα","cabin","deck"
"κανάλι","καζήλι","νέα","ύπα","channel","news"
"καναπές","κάναδες","κρεβάτι","κριθάτι","sofa","bed"
"κανέλα","κάυχλα","βανίλια","βανίασα","cinnamon","vanilla"
"κανόνας","κάσονας","πρωτόκολλο","πρωτοκολήσ","rule","protocol"
"κανονίζω","κανονίσσ","οργανώνω","όργαρενω","arrange","organize"
"κανονικά","καγωνικά","συνήθως","συνήετς","normally","usually"
"κάνω αναφορά","κακή αναφορα","πληροφορώ","πληρεμορώ","report","inform"
"καπηλειό","καυολειό","εστιατόριο","εσορατόριο","pub","restaurant"
"καπνός","κάπνοπ","πούρο","ποόγο","smoke","cigar"
"καπνός","κάπνοπ","τσιγάρο","τσίγελο","tobacco","cigarette"
"κάρβουνο","καρβμώνο","λάδι","λάκω","coal","oil"
"καριέρα","κάρινγα","φήμη","hyμή","career","reputation"
"καρναβάλι","κάρναβσοι","φεστιβάλ","φεστατάλ","carnival","festival"
"καρφί","καοτί","δόντι","έτντι","nail","tooth"
"καρχαρίας","κάρχαρδις","ψάρι","όμρι","shark","fish"
"κατά λάθος","κατα λώτος","εκ προθέσεως","εκαεροθέσεως","accidentally","intentionally"
"καταγγελία","κάταγγελασ","κατηγορία","κατηγουώα","complaint","accusation"
"καταπιεί","καταεμεί","μασάω","μαίδω","swallow","chew"
"κατάρα","κάειρα","μάγισσα","μάνοσσα","curse","witch"
"κατασκευή","κατασκυφή","χτίζω","σιίζω","construction","build"
"κατασκήνωση","κάτασκπτωση","χωριό","πηριό","camp","village"
"κατασκοπεία","κατασκοπούα","σαμποτάζ","σαμπχλάζ","espionage","sabotage"
"κατάσκοπος","κατάταοπος","προδότης","προδίνης","spy","traitor"
"κατάσταση","κάμισταση","κρίση","κρούη","situation","crisis"
"κατάσταση","κάμισταση","θέση","υρσή","status","position"
"μαγαζί","κατάστευα","κατάστημα","κατάστευα","shop","store"
"καταφύγιο","κατασίγιο","άσυλο","καταφύυρο","refuge","shelter"
"κάτω","κατλό","πάνω","πάξε","down","up"
"καφέ","κάιξ","μπλε","μπμί","brown","blue"
"κάψουλα","κάvευλα","εξετάζω","κάθεντρας","capsule","probe"
"κείμενο","κέτρενο","ποίημα","πόμιμα","text","poem"
"κέρατο","κέπττο","σφυρίζω","μαυγίζω","horn","whistle"
"κέρδος","κένιος","νίκη","πήκη","gain","win"
"κέρδος","κένιος","εισόδημα","ειυίδημα","profit","income"
"κέτσαπ","κετσίτ","μαγιονέζα","μαρχονέζα","ketchup","mayonnaise"
"κεφάλαιο","κεγέλαιο","πόλη","πόνε","capital","city"
"κιλό","κίβω","γραμμάριο","γραμφίριο","kilo","gram"
"ρίσκο ","νόνδυνος","κίνδυνος","κίζευνος","risk","danger"
"κινηματογράφος","κίνηματογρντος","θέατρο","πίατρο","cinema","theater"
"κίνηση","άλνηση","μεταφορα","μέταεγρα","move","transfer"
"κίνητρο","κίβιτρο","άλλοθι","αλμύθι","motive","alibi"
"κλέβω","κλάθω","ληστεύω","ταστεύω","steal","rob"
"κλειδί","κλέιoo","κλειδαριά","κλειικριά","key","lock"
"κλειδωμένος","κλειεςμένος","κλειστό","κλνωστό","locked","closed"
"κλέφτης","κλίκτης","εγκληματίας","έγκληματασς","thief","criminal"
"κληρονομία","κλήρονομηθ","κληρονομώ","κληροναχώ","heritage","inherit"
"κλήση","κλέφη","τηλέφωνο","τηλέντνο","call","telephone"
"κλοπή","σιοπή","ληστεία","ταστετία","theft","robbery"
"κοινοβούλιο","κοινλλούλιο","γερουσία","γειαυσία","parliament","senate"
"κοινωνία","κοιννεία","κοινότητα","κοσκότητα","society","community"
"κοίτα","κόπαα","παρακολουθώ","παρακολοονώ","look","watch"
"κοκαΐνη","κόκασηη","ηρωίνη","ηρζώνη","cocaine","heroin"
"κολακεύω","κόλακενς","εντυπωσιάζω","εντυπωιράζω","flatter","impress"
"κολλέγιο","κόλλεζιο","πανεπιστήμιο","πανεπιστέκιο","college","university"
"κόλπος","κόμεος","πέος","ήβος","vagina","penis"
"κομητεία","κοτοτεία","περιοχή","περισοή","county","district"
"κοντά","κοκιά","μακριά","μάκροψ","near","far"
"κόρη","τάρη","υιός","σηός","daughter","son"
"κορίτσι","αιρίτσι","αγόρι","άγινι","girl","boy"
"κόσμιος","κοσμήμς","τίμιος","τιάκος","decent","honest"
"κοτόπουλο","κοράπουλο","γαλοπούλα","τοτεκία","chicken","turkey"
"κουβέρτα","κουβέρον","πετσέτα","πειρέτα","blanket","towel"
"κούκλα","κόραλα","παιχνίδι","παιχνίσο","doll","toy"
"κουμπί","κουμάζ","τύπος","ξέπος","button","press"
"κουρασμένος","κονςασμένος","πεινασμένος","πεινομμένος","tired","hungry"
"κουτάλι","κουτίζι","πιρούνι","πισωύνι","spoon","fork"
"κουτί","κοϊνί","τσάντα","ικάντα","box","bag"
"κουτσομπολιό","κουτσοπρολιό","σκάνδαλο","σκλάδαλο","gossip","scandal"
"κραγιόν","κράγερν","άρωμα","άριςα","lipstick","perfume"
"κράνος","κρόμος","καπέλο","καόχλο","helmet","hat"
"κρασί","κρφαί","σαμπάνια","σάμπρδια","wine","champagne"
"κρατήστε","κρατήσαμ","διατήρηση","δίατοδηση","hold","keep"
"κρέμα","κρσχά","σάλτσα","σαπέσα","cream","sauce"
"κρέμασμα","κρέλασμα","εκτέλεση","εκτέφαση","hanging","execution"
"κρίσιμος","κρισιμότ","πολιτικός","πουλτικός","critical","political"
"κτηνώδης","κτήνοτης","σκληρός","σκθαρός","brutal","cruel"
"κτύπημα","κτάτημα","απεργία","αποβγία","hit","strike"
"κυβερνήτης","κυβεκτήτης","γερουσιαστής","ορρουσιαστής","governor","senator"
"κύκλος","θέκλος","τρίγωνο","τράςωνο","circle","triangle"
"κυνήγι","κυφάγι","αλιεία","αλμπία","hunting","fishing"
"κυριολεκτικά","κυριολαμτικά","πρακτικά","προωτικά","literally","practically"
"κύτταρο","ρώτταρο","φυλακή","λιλακή","cell","prison"
"κώδικας","όχδικας","κωδικός πρόσβασης","κωφικομόσβαης","code","password"
"λαζάνια","λάμινια","μακαρόνια","μακαλίνια","lasagna","spaghetti"
"σφάλμα","λάδως","λάθος","όωθος","error","mistake"
"λάρυγγας","λάιμμα","λαιμός","λαδρός","throat","neck"
"λάμπα","λαόρα","κερί","κέλλ","lamp","candle"
"λάμψη","λάξοη","λαμπρός","λάμπχεσ","shine","bright"
"λανθασμένος","λανθημμένος","σωστός","σωστάζ","wrong","correct"
"λάσπη","λάακη","άμμος","εύμος","mud","sand"
"λεγεώνας","λέγεωτας","στρατός","στράυνς","legion","army"
"λεία","ιλία","αρπακτικός","αρπανσικός","prey","predator"
"εγχειρίζω ","λεαρουργεί","χειρουργική επέμβαση","χειπρουτρηκή","operate","surgery"
"λεμονάδα","λεμονάρκ","σόδα","άμδα","lemonade","soda"
"λένε","λέπι","διηγούμαι ","λέηλ","say","tell"
"λέξη","όιξη","πρόταση","πρόθαση","word","sentence"
"λεξικό","λερωκό","φράση","φρόνη","dictionary","phrase"
"λεπτός","λεφλός","ευαίσθητος","έυρεσθητος","delicate","sensitive"
"λεπτός","λεφλός","πυκνός","πυκνάι","thin","thick"
"λεσβία","λετιία","γκέι","γκάλ","lesbian","gay"
"λέσχη","λέΐνη","μπαρ","μπύυ","club","bar"
"λευκό","λεγμό","μαύρος","μάλφος","white","black"
"λεωφόρος","λέωφρεος","δρόμος","δρόμησ","avenue","street"
"λίρα","λιώvα","δολάριο","δοζόριο","pound","dollar"
"λίγο","τέγο","μικρό","μιιμό","little","small"
"λογισμικό","λογιαλικό","υπολογιστής","υπολλειστή","software","computer"
"λόγος","κίγος","αιτία","άιναα","reason","cause"
"λόφος","άλφος","βουνό","βοοδό","hill","mountain"
"λοχίας","λόπιας","υπολοχαγός","υπολοχαγιέ","sergeant","lieutenant"
"λυπημένος","χεπημένος","τραγικός","τρημικός","sad","tragic"
"μαγεία","μαδρία","μάγος","μάρας","magic","wizard"
"μάγειρας","μάχοιρας","σεφ","άρφ","cook","chef"
"μαγνητικός","μααπητικός","ηλεκτρικός","ηλεκπαικός","magnetic","electric"
"μαθαίνω","μάθαναω","διδάσκω","διδάπλω","learn","teach"
"φοιτητής","μάθητης σχολυτου","δάσκαλος","reσκάλος","student","teacher"
"μαλακός","μάλανος","ευγενής","έυγεινς","soft","gentle"
"μαλλιά","μάλλαλ","γενειάδα","γευριάδα","hair","beard"
"μαραθώνας","μαραίωνας","αγώνας","αγώνομ","marathon","race"
"μάρκα","μάαψα","προϊόν","πρησόν","brand","product"
"μάρτυρας","μάρτυριτ","μαρτυρία","μαρτονία","witness","testimony"
"μάτι","ρέτι","αυτί","άυin","eye","ear"
"μαφία","μάσωα","καρτέλ","μαρτέλ","mafia","cartel"
"μάχη","τήχη","πάλη","πάππ","combat","fight"
"μεγαλείο","μέγαλεκη","υψηλότητα","paηλότητα","majesty","highness"
"μεγάλο","μέπιλο","τεράστιος","τερασταίς","big","huge"
"μέγεθος","μέγεχης","μήκος","είκος","size","length"
"μέθοδος","έρθοδος","τεχνική","τεσμική","method","technique"
"μέλι","θόλι","βούτυρο","βούταιο","honey","butter"
"μέλισσα","μελιούα","μυρμήγκι","μυρμφώκι","bee","ant"
"μελλοντικός","μειωοντικός","παρελθόν","το παρδηθόν","future","past"
"μέλος","ψίλχα","ηγέτης","έαντης","member","leader"
"μεσάνυχτα","μέτονυχτα","μεσημέρι","μεορμέρι","midnight","noon"
"πράκτορας","υόσο","ντεντεκτίβ","ύτεντεκτpa","agent","detective"
"μετάξι","μετάυρ","βαμβάκι","βαισάκι","silk","cotton"
"μετρητά","μενμητά","χρήματα","υχήματα","cash","money"
"μετρώ","μώδε","υπολογίζω","υπολαλίζω","count","calculate"
"μήλο","μήπω","φρούτο","καοφός","apple","fruit"
"μήνας","μήvυς","εβδομάδα","έβδοποδα","month","week"
"μητέρα","ποτέρα","πατέρας","πάγορας","mother","father"
"μηχανικός","μηχαμηκός","αρχιτέκτονας","αρλητέκτονας","engineer","architect"
"μινγκ","μίσυα","εδώδιμος ιχθύς του βορρά","εθιχύς","ming","ling"
"μικρός","μιοιός","μακρύς","μάκριο","short","long"
"κουβέντα","μιλαφίε","μιλώ","βυλώ","talk","speak"
"μίλι","πήλι","εκατοστόμετρο","εκαταντόμετρο","mile","centimeter"
"μισθοφόρος","μιλαοφόρος","δολοφόνος","δολοφότες","mercenary","assassin"
"μισώ","μίlu","αγάπη","άγβρη","hate","love"
"μνημείο","μνσπείο","άγαλμα","άγδομα","monument","statue"
"μοντέρνος","μόους","κομψός","κογνός","fashionable","elegant"
"μοίρα","μοσία","πεπρωμενο","πέπρανενο","fate","destiny"
"μόλις","ρέλις","πρόσφατα","πρόσvτα","just","recently"
"μόλυνση","μόκενση","ακτινοβολία","άκτινοβουλα","contamination","radiation"
"μονάδα","τανάδα","διαίρεση","ευαίρεση","unit","division"
"ανύπαντρος ","μονότσινο","παντρεμένος","πάντρετενος","single","married"
"μόνος","μόπλς","μοναχικός","μοριχικός","alone","lonely"
"μοντέλο","μόντκιο","πρωτότυπο","προτύο","model","prototype"
"μοντέρνο","μοντέρετ","παραδοσιακός","παραδοτεακός","modern","traditional"
"αίτηση","μοηλή","υπογράφω","σημάμε","form","sign"
"μπανάνα","μπάναξα","φράουλα","φρίτυλα","banana","strawberry"
"μπάσκετ","μπργκέτ","ποδόσφαιρο","ποδόμεαιρο","basketball","football"
"κορυφή","μπλοσώα","πάτος ","κατωυδέρος","top","bottom"
"μπορεί","μπεκεί","πιθανώς","πιθακάς","maybe","probably"
"μπότα","μπόχ","παπούτσι","πάπορεσι","boot","shoe"
"μπράβο","μπράχω","άλφα","αλέι","bravo","alpha"
"μύθος","μνλάς","θρύλος","θρσμός","myth","legend"
"μυστικό","ελστικό","μυστήριο","ελστήριο","secret","mystery"
"μωρό","μωλί","παιδί","παϊνί","baby","child"
"φέρνω","ύαιμερεις","στέλνω","στείδωτε","bring","send"
"ναός","ύαψη","μοναστήρι","μοκοστήρι","temple","monastery"
"ναυτικός","ναικικός","στόλος","στχτός","naval","fleet"
"νεολαία","ύεολιαα","παιδική ηλικία","πιδικέσηλι","youth","childhood"
"νεύρο","ύεπιο","μυς","ζίς","nerve","muscle"
"νεφρό","νευιό","συκώτι","συρέτι","kidney","liver"
"νηφάλιος","νησήλιος","μεθυσμένος","μεθυμαένος","sober","drunk"
"νίκη","νιίο","ήττα","ίητα","victory","defeat"
"νοέμβριος","ύογαβριος","δεκέμβριος","δεκέευριος","november","december"
"νόμος","κίμος","σύνταγμα","υίνταγμα","law","constitution"
"νόμπελ","τάμπελ","βραβείο","βροξείο","nobel","prize"
"νοσοκομείο","νοσοκοιλίο","κλινική","κλελική","hospital","clinic"
"νότιος","άλτιος","δυτικός","οντικός","southern","western"
"νότος","νόρμς","βόρειος","oρέιος","south","north"
"νταντά","ντανοί","υπηρέτρια","υπήρξερια","nanny","maid"
"ντους","ίζους","τουαλέτα","τόυαρττα","shower","bathroom"
"νύχτα","cuχτά","απόγευμα","απόγκαμα","night","evening"
"νωτιαίος","βδτιαίος","κοιλιακός","κομειακός","spinal","abdominal"
"ξαφνικά","ξαιτικά","απρόσμενα","άπιεσμενα","suddenly","unexpectedly"
"ξενοδοχειο","ξενοέρχειο","μοτέλ","μούπλ","hotel","motel"
"ξεχνάμε","ξεχνέςε","θυμάμαι","θυίμαι","forget","remember"
"ξηρός","ξήλης","βρεγμένος","απεγμένος","dry","wet"
"όγκος","έακος","καρκίνος","καιείνος","tumor","cancer"
"οδηγώ","οδαπώ","βόλτα","βόθρα","drive","ride"
"παραβάν","zeόνη","οθόνη","αεόνη","screen","monitor"
"οικονομικά","λεκονομικά","χρηματοδότηση","χρηματαλότηση","financially","financing"
"όμηρος","άβηρος","φυλακισμένος","λιλακισμένος","hostage","prisoner"
"ομιλία","ομοφία","κήρυγμα","κηρυτήα","speech","sermon"
"ομολογώ","ομοληχώ","παραδέχομαι","ομολφθώ","admit","confess"
"όμορφη","όμορτζ","υπέροχο","ώρηθος","nice","lovely"
"ομοσπονδιακός","ενοσπονδιακός","κράτος","κάμισταση","federal","state"
"όνομα","ρχόμα","τίτλος","έγτλος","name","title"
"οπλοστάσιο","οππεστάσιο","πανοπλία","πιλοστάσιο","arsenal","armory"
"οργασμός","ορπεσμός","στύση","ανεγέωση","orgasm","erection"
"ορκίζομαι","ορκίεςμαι","όρκος","όρμης","swear","oath"
"ορμόνη","ορμόλο","αδρεναλίνη","άδρεναγανη","hormone","adrenaline"
"κόλπος","μόμος","λιμάνι","λιέτνι","bay","harbor"
"ορφανοτροφείο","ορφαεξτροφείο","γυναικεία μονή","κειαμοόν","orphanage","convent"
"ορχήστρα","όροαστρα","μπάντα","όγνη","orchestra","band"
"οστό","όσημ","κρανίο","κράνηκ","bone","skull"
"ουίσκι","ουίσσε","βότκα","γάτκα","whiskey","vodka"
"ουρανός","ουραφές","ουράνιος","ουράωπος","sky","heavenly"
"όχημα","ήγημα","αυτοκίνητο","άυτοχονητο","vehicle","car"
"παγίδα","παγίστ","δόλωμα","δορόμα","trap","bait"
"παίζω","πανάω","παιχνίδι","παιχνίσο","play","game"
"παλαιός","πάλατες","νέος","έδος","old","young"
"παλάτι","παλάνγ","κάστρο","μίστρο","palace","castle"
"πανί","πάιβ","μαντήλι","μάντσoι","cloth","handkerchief"
"πανούκλα","πάνοδηλα","επιδημία","εποπημία","plague","epidemic"
"πάντα","πάκια","συνεχώς","συύεοις","always","constantly"
"παππούς","παεβούς","γιαγιά","γιονιά","grandfather","grandmother"
"παράγοντας","πάχηγοντας","στοιχείο","στόιχειμ","factor","element"
"παραγωγός","παραγωνής","διευθυντής","δίευθυντνι","producer","director"
"παράδεισος","παραδεώρος","κόλαση","κόλαιπ","paradise","hell"
"παράθυρο","παράθυνσ","πόρτα","πόφια","window","door"
"παραίτηση","παραώνηση","απόλυση","άπνουση","resignation","dismissal"
"παραλία","πάραυλα","ακτή","άκοι","beach","coast"
"παράλογος","παράσωγος","ανεύθυνος","ανεύμανος","unreasonable","irresponsible"
"παρανοϊκός","παρανοαλός","τρελός","τρέλια","paranoid","crazy"
"παράνομος","παράαρμος","νομικός","νοκακός","illegal","legal"
"παρασκευή","παραβαευή","σχεδίαση","σχέδειση","preparation","planning"
"παρατήρηση","πάραδιρηση","εκτίμηση","εκτίμητρ","observation","evaluation"
"παρατσούκλι","παρατσούλωι","επώνυμο","αβώνυμο","nickname","surname"
"παραφροσύνη","παρανςοσύνη","βλακεία","βλάκραα","madness","stupidity"
"παρόμοιος","παρόγριος","διαφορετικός","διαφοργαικός","similar","different"
"παρουσία","παροτεία","απουσία","απισσία","presence","absence"
"πατάτα","παίζτα","ντομάτα","ύομρα","potato","tomato"
"τσιπάκι","παταμέκι","συσκευή","δισκευή","chip","device"
"πατερούλης","παγιρούλης","μαμά","μάκι","daddy","mum"
"πάτωμα","ύφτωμα","χαλί","χάπρα","floor","carpet"
"πείνα","ραίνα","δίψα","δίst","hunger","thirst"
"πείραμα","πέτσαμα","δοκιμή","δοκιτά","experiment","test"
"πειρατής","πειρομής","ναύτης","ύαζωης","pirate","sailor"
"πεισματάρης","πεισμαιέρης","εγωιστικός","εγιστικύ","stubborn","selfish"
"περιβάλλον","πέριαςλλον","ατμόσφαιρα","ατμόρναιρα","environment","atmosphere"
"περιγράφω","πέριγρταω","εκφράζω","εξεγές","describe","express"
"περιέχω","πέριχνω","περιεχόμενο","περιθεόμενο","contain","content"
"περίμενε","περίνινε","αναμένω","αναμύψω","wait","expect"
"περιοδεία","περιζοεία","συναυλία","συναρωία","tour","concert"
"περιοχή","περιξεή","ζώνη","όγνη","area","zone"
"περιστατικό","περιρματικό","ατύχημα","ατάπημα","incident","accident"
"περιφερειακό","περιφερενοκό","τοπικός","τολοκός","regional","local"
"πεταλούδα","πεταταύδα","πουλί","ποναί","butterfly","bird"
"πηγή","πήκτ","πληροφορητής","πληροφορνμής","source","informant"
"πιάνο","φράνο","κιθάρα","κιεύρα","piano","guitar"
"πιθανότητα","πιθαέστητα","πιθανός","πιθαλές","probability","likely"
"πίθηκος","πίθηγης","γορίλλας","γορίποας","monkey","gorilla"
"πικνίκ","πιρδίκ","κατασκήνωση","κάτασκγλωση","picnic","camping"
"πινγκ","πιθήκ","κωδώνισμα","κώιγνισμα","ping","ding"
"χαμηλότερος","πίο χακυλα","ανώτερος","άναχερος","lower","upper"
"πιστόλι","πισταύι","όπλο","όπτη","pistol","weapon"
"έμπιστος","πιστήθ","πιστός","πιακός","loyal","faithful"
"πιστότητα","πίστεωητα","αφοσίωση","επλάμια","fidelity","devotion"
"πίστωση","πιστήλη","δάνειο","δάνεαν","credit","loan"
"πίσω","όπσω","επιστροφη","έπιστρχνη","back","return"
"πλανήτης","πλανύνης","τροχιά","τραψιά","planet","orbit"
"πλατφόρμα","πλατάμρμα","σταθμός","στάθηκς","platform","station"
"πληγή","πλχνή","βλάβη","βλέφη","wound","injury"
"πλήθος","πλυκός","κοινό","κοερό","crowd","audience"
"πληθυσμός","πλναυσμός","άνθρωποι","άνθρριοι","population","people"
"πλήρωμα","πλσπώμα","πλοίο","πλγρό","crew","ship"
"πλοήγηση","πλήκγηση","επικοινωνία","επικοιοινία","navigation","communication"
"πνευματώδης","εφευματώδης","αστείος","ασηρίος","witty","funny"
"πνίγω","πύεφω","ζάλη","ζάκω","drown","swim"
"ποιητής","ποιηθώς","συγγραφέας","συγγράβλας","poet","writer"
"ποινή","κλινή","φυλάκιση","φυλάδαση","penalty","imprisonment"
"πόλεμος","πόλειας","μάχη","τήσχη","war","battle"
"πολιτική","πουλτική","πολιτικός","πουλτικός","policy","politician"
"κουλτούρα","πουλτισμός","πολιτισμός","πουλτισμός","culture","civilization"
"πολύτιμος","πόεπτιμος","σπουδαίος","σπουκείος","valuable","important"
"ποντίκι","ποντύνι","αρουραίος","αρθρραίος","mouse","rat"
"πορνογραφία","ποαιογραφία","ταινία","ταταία","porn","movie"
"ποσότητα","πόνητητα","ποιότητα","ποδίτητα","quantity","quality"
"ποτάμι","ποτάιρ","λίμνη","λίταη","river","lake"
"ποτέ","νητέ","πάντα","πάθεα","never","ever"
"ποτήρι","πολώρι","μπουκάλι","μπόυρλλι","glass","bottle"
"ποτό","ιπτό","μπύρα","θούρα","drink","beer"
"πουκάμισο","πουκύτισο","σακάκι","σάμακι","shirt","jacket"
"πράγματι","αγάγματι","πραγματικά","πράγματιιο","actually","really"
"πραγματικότητα","προχματικότητα","φαντασία","φάντασαν","reality","fantasy"
"πρακτική","προωτική","άσκηση","άσριση","practice","exercise"
"πράσινος","πρμέινος","πορτοκαλί","πόρτοκροι","green","orange"
"πρεσβεία","πρεσινία","υπουργείο","ριουργείο","embassy","ministry"
"πρεσβευτής","πρεσβεριής","υπουργός","υπουακός","ambassador","minister"
"πριγκίπισσα","πριγκίντσσα","πρίγκιπας","πρίγκιτρς","princess","prince"
"προβολή","πρσιολή","εκτέλεση","εκτέφαση","show","performance"
"προειδοποίηση","προευποποίηση","μήνυμα","μηγόμα","warning","message"
"προνόμιο","πρόνολιο","τιμή","τίακ","privilege","honor"
"πρόοδος","πρόουμς","ανάπτυξη","ανάπορξη","progress","development"
"προπονητής","προπονολής","παίχτης","παλέτης","coach","player"
"προσβολή","προσαρλή","προσβάλλω","προσβάρθω","insult","offend"
"προσγείωση","προστηίωση","πτήση","πτίλη","landing","flight"
"προσοχή","προσηλή","προσελκύω","προσλακύω","attention","attract"
"προσπαθήστε","προσπαβέστε","απόπειρα","απόπτορα","try","attempt"
"προστατεύω","προστατεμά","υπερασπίζω","υπερασιάζω","protect","defend"
"προσφορά","πρόσφοντ","δίνω","εώνω","offer","give"
"πρόσφυγας","πρόσφυμπς","φυγάς","φυΐάς","refugee","fugitive"
"προσωπικός","προσωπικεί","οικείος","όικελες","personal","intimate"
"πρόσωπο","πρόσυνο","άτομο","έρομο","person","individual"
"προτείνω","προτώννω","υπαινίσομαι","πρότμονω","propose","suggest"
"προϋπολογισμός","προϋαπλογισμός","χρηματοδότηση","χρηματαλότηση","budget","funding"
"προφίλ","προφές","περιγραφή","περισσαφή","profile","description"
"κολατσιό","πτοχειόρο","μεσημεριανό","μεντμεριανό","snack","lunch"
"προχωρώ","προχυθώ","συνεχίζω","ναδηυνεχίσει","proceed","continue"
"πρύτανης","πράιανης","καθηγητής","καθηεντής","dean","professor"
"πρώτα","πρίπα","τελευταίος","τέλευτρδος","first","last"
"πρωταθλητής","πρωτοςλητής","μαχητής","μαχηθώς","champion","fighter"
"πρωτεΐνη","πρωτέανη","βιταμίνη","βίταγανη","protein","vitamin"
"πρωτότυπο","προχότυπο","αντίγραφο","αντίγρωνο","original","copy"
"σταγόνα","πτήλη","γουλιά","γοασιά","drop","sip"
"πτώση","πτήλη","κατάρρευση","κατάηκευση","fall","collapse"
"πύλη","λήλη","αυλόπορτα","ζέλη","portal","gate"
"πυξίδα","πυξίωσ","χάρτης","πόρτης","compass","map"
"πυραμίδα","ιεραμίδα","δομή","δόακ","pyramid","structure"
"πύργος","ζυργός","κτίριο","θείριο","tower","building"
"πυρίτιδα","πυρίγεδα","δυναμίτιδα","δυύαυρτιδα","gunpowder","dynamite"
"πυροκροτητής","πυρογοοτητής","χρονόμετρο","μετρωνωλην ώραν","detonator","timer"
"πωλητής","kαλητής","αγοραστής","αγικαστής","seller","buyer"
"ραβδί","ραδωί","σφυρί","σφναί","stick","hammer"
"ραδιόφωνο","ρατηόφωνο","τηλεόραση","τηιδόραση","radio","television"
"ραντάρ","ρατιάρ","δορυφόρος","δόρυσμρος","radar","satellite"
"ρατσιστής","ραρτιστής","κομμουνιστικός","κοκαουνιστικός","racist","communist"
