en_target,en_cue,en_fake_cue,en_fake_target,cs_cue,cs_target,cs_fake_target,cs_fake_cue,da_cue,da_target,da_fake_target,da_fake_cue,de_cue,de_target,de_fake_target,de_fake_cue,ja_target,ja_cue,ja_fake_target,ja_fake_cue,ko_target,ko_cue,ko_fake_cue,ko_fake_target,ru_target,ru_cue,ru_fake_cue,ru_fake_target,tr_target,tr_cue,tr_fake_cue,tr_fake_target,en_word_combo,en_target_word_unique,cs_word_combo,cs_target_word_unique,ja_word_combo,ja_target_word_unique,ko_word_combo,ko_target_word_unique,tr_word_combo,tr_target_word_unique,ru_word_combo,ru_target_word_unique
castle,palace,palang,hontle,palác,hrad,hret,panuk,palads,slot,gaot,patakt,palast,schloss,skufoss,pafand,城,宮,壃,寤,성,궁전,안관,선데,замок,дворец,двобер,зарем,kale,saray,satiş,lemle,palacecastle,castle,paláchrad,hrad,宮城,城,궁전성,성,saraykale,kale,дворецзамок,замок
cat,dog,dok,cet,pes,kočka,konía,mis,hund,kat,git,omd,hund,katze,fesze,huds,猫,犬,ダゲ,執め,고양이,개,경황,에스이,кошка,собака,соусбака,ковшка,kedi,köpek,köunt,rildi,dogcat,cat,peskočka,kočka,犬猫,猫,개고양이,고양이,köpekkedi,kedi,собакакошка,кошка
catch,grab,griv,capih,lapnout,chytit,doltit,orinout,gribe,fange,modge,retbe,greifen,fangen,thegen,seitfen,キャッチ,掴む,キャプ手,ぎね,잡다,붙잡다,미스다,원동,ловить,хватать,охотать,лоствить,yakalamak,kapmak,yakalaurent,yakalaurent,grabcatch,catch,lapnoutchytit,chytit,掴むキャッチ,キャッチ,붙잡다잡다,잡다,kapmakyakalamak,yakalamak,хвататьловить,ловить
cause,reason,hagson,cadae,důvod,příčina,techčina,důlík,begrundelse,årsag,årdis,grird,grund,ursache,ansurche,taund,原因,理由,厚困,現申,원인,이유,마랑,져꺼,повод,причина,мальчина,повочина,neden,sebep,sedüt,nelim,reasoncause,cause,důvodpříčina,příčina,理由原因,原因,이유원인,원인,sebepneden,neden,причинаповод,повод
cemetery,grave,grane,feldtery,hrob,hřbitov,hřbiťan,hruč,gravsted,kirkegård,kirbekant,alarsted,grab,friedhof,friedran,graßt,お墓,墓,シッ,波れ,묘지,무덤,저을,네씨,кладбище,могила,мовергла,одесбище,mezarlık,mezar,mekun,meaçıklık,gravecemetery,cemetery,hrobhřbitov,hřbitov,墓お墓,お墓,무덤묘지,묘지,mezarmezarlık,mezarlık,могилакладбище,кладбище
centimeter,mile,midy,cenglitter,míle,centimetr,gislatimetr,harle,mil,centimeter,mystetimeter,tel,meile,zentimeter,zentimister,tulle,センチメートル,マイル,ライチメートル,スパル,센티미터,마일,능한,센티칼에,сантиметр,миля,милязг,сантиманго,santimetre,mil,oll,augustimetre,milecentimeter,centimeter,mílecentimetr,centimetr,マイルセンチメートル,センチメートル,마일센티미터,센티미터,milsantimetre,santimetre,милясантиметр,сантиметр
cerebral,brain,clain,prenbral,mozek,intelektuální,intefrastruktuální,momím,hjerne,cerebral,cerevisk,sværne,gehirn,zerebral,zerebort,gelard,脳の,脳,へネ,通言,대뇌의,뇌,군한,매뇌의,головной,мозг,мопл,боровной,serebral,beyin,betık,seballral,braincerebral,cerebral,mozekintelektuální,intelektuální,脳脳の,脳の,뇌대뇌의,대뇌의,beyinserebral,serebral,мозгголовной,головной
ceremony,ritual,blasual,bloodemony,rituál,obřad,obžet,rituchod,ritual,ceremoni,skræmremoni,ritusind,ritual,zeremonie,zeremoderns,rituling,式典,儀式,成兼,蜣成,행사,의식,레어,능에,церемония,ритуал,ритурист,церемоствия,tören,ritüel,öpüştüel,tömuz,ritualceremony,ceremony,rituálobřad,obřad,儀式式典,式典,의식행사,행사,ritüeltören,tören,ритуалцеремония,церемония
chair,table,taute,chuor,stůl,židle,žinae,stíň,bord,stol,gaol,bont,tisch,stuhl,pläsel,tibb,椅子,テーブル,骨景,ペソゾエ,의자,책상,프랑블,이카,стул,стол,струл,крдул,sandalye,masa,şişlo,açıkdalye,tablechair,chair,stůlžidle,židle,テーブル椅子,椅子,책상의자,의자,masasandalye,sandalye,столстул,стул
challenge,obstacle,obstalags,chaltebbe,překážka,výzva,výnud,převznika,hindring,udfordring,udforstisk,ungdring,hindernis,herausforderung,herausfordebleich,hinderschö,障害,障害物,同寺,章宙勿,도전,장애물,뷰를,로움,вызов,препятствие,препятмость,вызроф,meydan okumak,engel,enrış,meydan okterfly,obstaclechallenge,challenge,překážkavýzva,výzva,障害物障害,障害,장애물도전,도전,engelmeydan okumak,meydan okumak,препятствиевызов,вызов
champagne,wine,awne,chamsione,víno,šampaňské,nikno,nigno,vin,champagne,uansvarne,bærn,wein,champagner,champabars,wese,シャンパン,ワイン,サインパン,不忙ン,샴페인,와인,의야,밝히인,шампанское,вино,акно,шампанцирь,şampanya,şarap,şazie,gençpanya,winechampagne,champagne,vínošampaňské,šampaňské,ワインシャンパン,シャンパン,와인샴페인,샴페인,şarapşampanya,şampanya,виношампанское,шампанское
championship,competition,competivates,champiousuke,soutěž,mistrovství,mistrovpadlo,soumut,konkurrence,mesterskab,mistænskab,konstantrence,wettbewerb,meisterschaft,pferterschaft,wettbefand,チャンピオンシップ,競争,スタンピオンシップ,土ク,선수권 대회,경쟁,디언,선톨권 졌단,чемпионат,конкуренция,конкуренность,отравпионат,şampiyona,yarışma,yaunutma,elektpiyonluk,competitionchampionship,championship,soutěžmistrovství,mistrovství,競争チャンピオンシップ,チャンピオンシップ,경쟁선수권 대회,선수권 대회,yarışmaşampiyona,şampiyona,конкуренциячемпионат,чемпионат
chapel,church,chack,chnuel,kostel,kaple,chele,znatel,kirke,kapel,karak,bedke,kirche,kapelle,kamittle,gelche,チャペル,教会,チャッノ,前尺,예배당,교회,버크에,초래당,часовня,церковь,цердырь,часогня,şapel,kilise,kiönemse,şabit,churchchapel,chapel,kostelkaple,kaple,教会チャペル,チャペル,교회예배당,예배당,kiliseşapel,şapel,церковьчасовня,часовня
charming,attractive,attumptive,thoning,přitažlivý,okouzlující,usvědlující,přislechlivý,tiltrækkende,charmerende,strømmerende,tilflugtskende,attraktiv,charmant,charmiss,atmesttiv,愛嬌がある,魅力的,暴単かあろ,バン的,매력적인,멋진,적좋은인,이틀적인,очаровательный,привлекательный,пристрасткательный,непредровательный,alımlı,çekici,çefranci,idamlı,attractivecharming,charming,přitažlivýokouzlující,okouzlující,魅力的愛嬌がある,愛嬌がある,멋진매력적인,매력적인,çekicialımlı,alımlı,привлекательныйочаровательный,очаровательный
chase,follow,saclow,chire,následovat,honit,hopře,následoslech,følge,jage,spige,føldig,folgen,jagen,jamai,mutgen,追跡する,従う,タクまあ,ピデ,뒤쫓다,따르다,스티다,겸통다,гнаться,следить,ободить,сфалься,kovalamak,takip etmek,takip ebably,kovalaurent,followchase,chase,následovathonit,honit,従う追跡する,追跡する,따르다뒤쫓다,뒤쫓다,takip etmekkovalamak,kovalamak,следитьгнаться,гнаться
cheap,expensive,expendant,chiep,drahý,levný,misný,svěhý,dyrt,billig,terlig,gårt,teuer,billig,südrig,somer,安い,高い,宏き,宮き,싼,비싼,캐서도,연희 싼,дешевый,дорогой,довагой,дешестёр,ucuz,pahalı,mashırslı,iguz,expensivecheap,cheap,drahýlevný,levný,高い安い,安い,비싼싼,싼,pahalıucuz,ucuz,дорогойдешевый,дешевый
cheek,lip,fip,chamk,ret,tvář,fít,plář,læbe,kind,dænd,venbe,lippe,wange,jewge,skope,頬,唇,しは,エレプ,볼,입술,담고인,최무,щека,губа,пруба,ущка,yanak,dudak,dukus,yaşun,lipcheek,cheek,rettvář,tvář,唇頬,頬,입술볼,볼,dudakyanak,yanak,губащека,щека
cheese,bread,bruld,cheely,chléb,sýr,tmr,zeléb,brød,ost,ukt,brys,brot,käse,stise,brihs,チーズ,パン,ナーズ,パシ,치즈,빵,거뛸,그브,сыр,хлеб,хлаг,амр,peynir,ekmek,eksil,kılnir,breadcheese,cheese,chlébsýr,sýr,パンチーズ,チーズ,빵치즈,치즈,ekmekpeynir,peynir,хлебсыр,сыр
chef,cook,coku,chib,kuchařka,šéfkuchař,šéfkuspím,kučástka,kok,køkkenchef,ulk,føk,koch,chefkoch,komo,itsch,シェフ,料理,巫業フ,丙分,요리사,요리하다,패택열,과의사,шеф-повар,повар,энсвар,шефпоедешь,şef,pişirmek,piöpüşmek,arf,cookchef,chef,kuchařkašéfkuchař,šéfkuchař,料理シェフ,シェフ,요리하다요리사,요리사,pişirmekşef,şef,поваршеф-повар,шеф-повар
chest,stomach,stomods,inest,žaludek,hruď,hrtj,hryj,mave,bryst,brolt,maski,magen,brust,luhne,matio,胸,胃,浦切,カロ,가슴,배,배아,막일,грудная клетка,живот,жилувот,грезьжная глекка,göğüs,mide,kamaz,göhuş,stomachchest,chest,žaludekhruď,hruď,胃胸,胸,배가슴,가슴,midegöğüs,göğüs,животгрудная клетка,грудная клетка
chew,swallow,crawlow,chun,polykat,žvýkat,zděkat,polyžích,sluge,tygge,gløge,majsme,schlucken,kauen,tesen,sträucken,噛む,飲む,嘔め,飽ぬ,씹다,삼키다,다집카,살바,жевать,глотать,бентать,жетесь,çiğnemek,yutmak,müsmak,enernemek,swallowchew,chew,polykatžvýkat,žvýkat,飲む噛む,噛む,삼키다씹다,씹다,yutmakçiğnemek,çiğnemek,глотатьжевать,жевать
child,baby,bados,choid,mimino,dítě,průtě,mitechno,baby,barn,banp,batel,baby,kind,kiza,bagie,子,赤ちゃん,个,亦きゅふ,어린이,아기,렌을,지명이,ребенок,младенец,младежка,реберинг,çocuk,bebek,beros,çosat,babychild,child,miminodítě,dítě,赤ちゃん子,子,아기어린이,어린이,bebekçocuk,çocuk,младенецребенок,ребенок
childhood,youth,yorah,childlion,mládí,dětství,bydství,lindí,ungdom,barndom,samudom,skodom,jugend,kindheit,denkheit,judeln,子供時代,青年時代,个佛晴伏,静干晴伏,어린 시절,청소년,떠연올,접시 근절,детство,молодежь,моломинс,ошиство,çocukluk,gençlik,bestlik,çodostluk,youthchildhood,childhood,mládídětství,dětství,青年時代子供時代,子供時代,청소년어린 시절,어린 시절,gençlikçocukluk,çocukluk,молодежьдетство,детство
chocolate,sugar,horar,chairlate,cukr,čokoláda,cuhl,cuub,sukker,chokolade,skramkolade,nytker,zucker,schokolade,kleinkolade,zuters,チョコレート,シュガー,漬色コレート,ショカー,초콜릿,설탕,언십,아이릿,шоколад,сахар,савищ,шокочил,çikolata,şeker,şeyip,çileceklata,sugarchocolate,chocolate,cukrčokoláda,čokoláda,シュガーチョコレート,チョコレート,설탕초콜릿,초콜릿,şekerçikolata,çikolata,сахаршоколад,шоколад
christian,catholic,cathadic,everytian,katolík,křesťan,křesšlu,katokrat,katolsk,kristen,krident,kacinsk,katholisch,christlich,schwetian,kathomiert,キリスト教徒,カトリック,キリズト白神,脂輪リック,기독교,가톨릭,서를릭,씩만,христианин,католик,католибр,христиамость,hristiyan,katolik,katorant,hıristirecek,catholicchristian,christian,katolíkkřesťan,křesťan,カトリックキリスト教徒,キリスト教徒,가톨릭기독교,기독교,katolikhristiyan,hristiyan,католикхристианин,христианин
cigar,smoke,smire,onear,kouř,doutník,šrouník,koúm,ryge,cigar,kikkinik,amage,rauch,zigarre,zideidre,ratah,たばこ,煙,作日こ,れえ,시가,연기,타뇨,재결,сигара,курить,индеить,силола,puro,tüttürmek,sigara irength,redro,smokecigar,cigar,kouřdoutník,doutník,煙たばこ,たばこ,연기시가,시가,tüttürmekpuro,puro,куритьсигара,сигара
cigarette,tobacco,tochonco,cigapults,tabák,cigareta,cigaplachta,tacuj,tobak,cigaret,cigastol,tokes,tabak,zigarette,zigaschäfte,tawig,シガレット,タバコ,スポレット,もしコ,담배,타바고,럽의,런지,сигарета,табак,тапия,сиосмотрета,sigara,tütün,tünie,omurgara,tobaccocigarette,cigarette,tabákcigareta,cigareta,タバコシガレット,シガレット,타바고담배,담배,tütünsigara,sigara,табаксигарета,сигарета
circus,zoo,yko,hencus,zoo,cirkus,dánkus,žao,zoo,cirkus,cirpyr,snov,zoo,zirkus,läukus,keo,サーカス,動物園,サー凍習,レー遠,서커스,동물원,기거원,교류스,цирк,зоопарк,ситпарк,фырк,sirk,hayvanat bahçesi,geyvanat zahçesi,siby,zoocircus,circus,zoocirkus,cirkus,動物園サーカス,サーカス,동물원서커스,서커스,hayvanat bahçesisirk,sirk,зоопаркцирк,цирк
city,capital,capiford,saty,hlavní město,město,ustouní rekto,rekto,hovedstad,by,ferti,kapinens,hauptstadt,stadt,stoft,hauptstras,都市,首都,郡帀,胃郡,도시,수도,롬콜,펠은,город,столица,опублица,голие,şehir,başkent,başekly,bunt,capitalcity,city,hlavní městoměsto,město,首都都市,都市,수도도시,도시,başkentşehir,şehir,столицагород,город
civilization,culture,temture,civitantstion,kultura,civilizace,pozdravilizace,chyttura,kultur,civilisation,civilisajestæt,psytur,kultur,zivilisation,zischrecklisation,mietur,文明,文化,ムエ,広其,문명,문화,모가,페르,цивилизация,культура,груптура,цивилизаткнешь,medeniyet,kültür,pastür,medeninally,culturecivilization,civilization,kulturacivilizace,civilizace,文化文明,文明,문화문명,문명,kültürmedeniyet,medeniyet,культурацивилизация,цивилизация
classic,typical,erecical,claskle,typický,klasický,klaďoučký,tysladký,typisk,klassisk,landsisk,tyfast,typisch,klassisch,charsisch,tyroth,クラシック,典型的,タイシック,くネ的,고전적인,전형적인,적문자인,완수 있는,классический,типичный,типлудный,партсический,klasik,tipik,tiena,kladel,typicalclassic,classic,typickýklasický,klasický,典型的クラシック,クラシック,전형적인고전적인,고전적인,tipikklasik,klasik,типичныйклассический,классический
client,patient,pamount,ivient,trpěliví,klienta,trtkliví,trstřízliví,patient,klient,klihov,pavidst,patient,klient,delent,gesteudig,クライアント,患者,クライアデ,串者,고객,환자,인내빼앗는,워링,клиент,пациент,пацистие,клирья,müşteri,hasta,çıkta,ilerteri,patientclient,client,trpělivíklienta,klienta,患者クライアント,クライアント,환자고객,고객,hastamüşteri,müşteri,пациентклиент,клиент
clinic,hospital,sidepital,granic,nemocnice,klinika,uvolnika,neprázdnice,hospital,klinik,kliben,hospiligt,krankenhaus,klinik,dopnik,tierkenhaus,診療所,病院,入田所,飛丁,진료소,병원,르크,테디소,клиника,больница,следница,спраника,klinik,hastane,açıktane,taynik,hospitalclinic,clinic,nemocniceklinika,klinika,病院診療所,診療所,병원진료소,진료소,hastaneklinik,klinik,больницаклиника,клиника
close,open,ssen,clote,otevřít,zavřít,zanaut,otevust,åbne,lukke,irt,nomme,öffnen,schließen,trudran,öfches,閉じた,開いた,勲物た,未忘た,닫다,열다,주저있다,저대,близкий,открытый,открыщавый,вдозкий,kapatmak,açmak,açkü,kasör,openclose,close,otevřítzavřít,zavřít,開いた閉じた,閉じた.1,열다닫다,닫다,açmakkapatmak,kapatmak,открытыйблизкий,близкий
closed,locked,lonet,cluled,zamčený,zavřený,zašpatný,zaopačný,låst,lukket,anaket,eust,gesperrt,geschlossen,gekriegtsen,getriert,閉じた,鍵のかかった,力物た,弟のかたっか,닫힌,잠긴,겨힝다갇,히런,закрытый,заблокированный,заткнукированный,занекото,kapalı,kilitli,kiateşli,kaakıllı,lockedclosed,closed,zamčenýzavřený,zavřený,鍵のかかった閉じた,閉じた,잠긴닫힌,닫힌,kilitlikapalı,kapalı,заблокированныйзакрытый,закрытый
closet,cabinet,cabiface,aneset,kabinet,skříň,zoříň,kasvinet,kabinet,skab,sala,kabiskop,schrank,kasten,wisten,schrelk,クローゼット,戸棚,鹸察ーゼット,イ気,벽장,내각,펠이,애프,шкаф,кладовка,кабдовка,шкeм,dolap,kabin,kapartne,doğüş,cabinetcloset,closet,kabinetskříň,skříň,戸棚クローゼット,クローゼット,내각벽장,벽장,kabindolap,dolap,кладовкашкаф,шкаф
closure,opening,cheting,defsure,otvíračka,zavíračka,zavízkouška,otvízkouška,åbning,lukning,hytning,åbtion,öffnung,abschluss,abschlietenz,hurnung,閉鎖,開放,米承,与ほ,폐쇄,열리는,입프수,리엘,закрытие,открытие,открыдень,закрыдешь,kapanış,açılış,açıyup,kaatılma,openingclosure,closure,otvíračkazavíračka,zavíračka,開放閉鎖,閉鎖,열리는폐쇄,폐쇄,açılışkapanış,kapanış,открытиезакрытие,закрытие
coast,beach,beteh,cobut,pláž,pobřeží,poslanží,plag,strand,kyst,håst,stebun,strand,küste,appte,stratu,海岸,ビーチ,辞ち,ショメ,해안,해변,수노,주미,побережье,пляж,плем,поберевестье,kıyı,plaj,plüp,sasur,beachcoast,coast,plážpobřeží,pobřeží,ビーチ海岸,海岸,해변해안,해안,plajkıyı,kıyı,пляжпобережье,побережье
coffee,cup,eop,takfee,hrnek,káva,hrákl,pokls,kop,kaffe,gylfe,fip,becher,kaffee,kafbon,bestim,コーヒー,カップ,コー疎度,デブプ,커피,컵,리부,란타,кофе,кружка,омужка,котофе,kahve,fincan,çaycan,alıve,cupcoffee,coffee,hrnekkáva,káva,カップコーヒー,コーヒー,컵커피,커피,fincankahve,kahve,кружкакофе,кофе
cognac,rum,amm,cozano,rum,koňak,kokol,jem,rom,cognac,slunak,blam,rum,cognac,cohans,emm,コニャック,ラム,とてャック,カヴ,코냑,럼 주,상온주,낭포,коньяк,ром,кеом,корьез,konyak,rom,azm,konnus,rumcognac,cognac,rumkoňak,koňak,ラムコニャック,コニャック,럼 주코냑,코냑,romkonyak,konyak,ромконьяк,коньяк
cold,hot,wot,culk,horký,studený,frandený,becký,varm,kold,kope,murm,heiß,kalt,kams,hele,冷たい,温かい,伶にり,榅,추운,더운,것조,흑사,холодный,горячий,горяженый,ходартный,soğuk,sıcak,sıpez,sotav,hotcold,cold,horkýstudený,studený,温かい冷たい,冷たい.1,더운추운,추운,sıcaksoğuk,soğuk,горячийхолодный,холодный
collapse,fall,fari,coltache,pád,kolaps,peť,konaši,fald,kollaps,irolaps,pild,herbst,zusammenbruch,zusammensträu,hemast,崩壊する,落下,崖壌やを,菩不,무너지다,떨어지다,떨어타를,무너더를,обвал,падение,гведение,обналд,çökmek,düşmek,rilmek,çöcap,fallcollapse,collapse,pádkolaps,kolaps,落下崩壊する,崩壊する,떨어지다무너지다,무너지다,düşmekçökmek,çökmek,падениеобвал,обвал
colonel,general,backeral,colokul,generál,plukovník,geohrál,všeovzdušné,general,oberst,egerst,genesker,general,oberst,lierst,ginaldal,大佐,大将,夭伍,夭漑,대령,장군,다깝,로로,полковник,генерал,ледерал,полбильник,albay,generavite,gekat,alpel,generalcolonel,colonel,generálplukovník,plukovník,大将大佐,大佐,장군대령,대령,generavitealbay,albay,генералполковник,полковник
come,arrive,arlieu,cogi,přijet,přijít,přimus,přisah,ankomme,komme,urime,anstænme,ankommen,kommen,kommennder,angreimen,来る,到着する,デド,ビーそに,오다,도착하다,동윷하다,적일,приходить,прибывать,прибомать,прихоскить,gelmek,varmak,kunmak,çirmek,arrivecome,come,přijetpřijít,přijít,到着する来る,来る,도착하다오다,오다,varmakgelmek,gelmek,прибыватьприходить,приходить
comedy,drama,kidma,peenedy,drama,komedie,komeranč,stuma,drama,komedie,komerant,lukme,drama,komödie,komögert,everter,コメディー,ドラマ,禅争ディー,ダイマ,코메디,드라마,파이마,은묻디,комедия,драма,скома,коменюсь,komedi,drama,asıma,kozedi,dramacomedy,comedy,dramakomedie,komedie,ドラマコメディー,コメディー,드라마코메디,코메디,dramakomedi,komedi,драмакомедия,комедия
commissioner,inspector,intraitor,commiscatcher,inspektor,komisař,komijekt,intimtor,inspektør,kommissær,kommisrekt,indrømtør,inspektor,kommissar,kommisweis,inmelstor,コミッショナー,インスペクタ,ゴッショナー,インスペブン,위원,조사관,명계,히만,комиссар,инспектор,инспедитор,комисучим,komisyon üyesi,müfettiş,müfetines,koyisyon öyesi,inspectorcommissioner,commissioner,inspektorkomisař,komisař,インスペクタコミッショナー,コミッショナー,조사관위원,위원,müfettişkomisyon üyesi,komisyon üyesi,инспекторкомиссар,комиссар
committee,commission,commistors,commitcast,komise,výbor,výlyn,kootřese,kommission,komité,kavmark,kommisment,kommission,ausschuss,ausschäft,komplottsion,委員会,委任状,李唐企,李伝条,위원회,수수료,료원다,아리회,комитет,комиссия,комистесия,комихаль,komite,komisyon,koilüzyon,kuçem,commissioncommittee,committee,komisevýbor,výbor,委任状委員会,委員会,수수료위원회,위원회,komisyonkomite,komite,комиссиякомитет,комитет
communication,navigation,navigabytes,communicaressed,navigace,sdělení,čtyřlení,navistrukce,navigation,kommunikation,kommunikajestæt,drengation,navigation,kommunikation,streichmunikation,schnarchigation,コミュニケーション,ナビゲーション,託明ュニケーション,状猟ゲーション,의사 소통,항해,잇과,의게에통,коммуникация,навигация,навигарольд,коммуникастрюля,iletişim,navigasyon,navilecekyon,iletional,navigationcommunication,communication,navigacesdělení,sdělení,ナビゲーションコミュニケーション,コミュニケーション,항해의사 소통,의사 소통,navigasyoniletişim,iletişim.1,навигациякоммуникация,коммуникация
communist,racist,accist,commupole,rasista,komunista,komulebrita,ralebrita,racist,kommunist,kommustyr,ratekt,rassist,kommunist,kommanast,rasrier,共産主義者,人種差別主義者,葉師主我日,るね工別主我日,공산주의자,인종 차별 주의자,뱅다주희자,휠철주의자,коммунист,расист,рапинг,коммунистичель,komünist,ırkçı,ırmçı,komüward,racistcommunist,communist,rasistakomunista,komunista,人種差別主義者共産主義者,共産主義者,인종 차별 주의자공산주의자,공산주의자,ırkçıkomünist,komünist,расисткоммунист,коммунист
community,society,sociload,maraamunity,společnost,společenství,společenpadla,společkách,samfund,fællesskab,fællesment,samsked,gesellschaft,gemeinschaft,gewoltschaft,geselschlupf,コミュニティ,社会,趣後ュニティ,めっ,지역 사회,사회,릇이,매로 다니,сообщество,общество,общенутство,сообщегнатство,topluluk,toplum,toptük,toprar,societycommunity,community,společnostspolečenství,společenství,社会コミュニティ,コミュニティ,사회지역 사회,지역 사회,toplumtopluluk,topluluk,обществосообщество,сообщество
compassion,patience,patiable,compastors,trpělivost,soucit,přecit,trpělistroj,tålmodighed,medfølelse,skræmfølelse,tålmoskift,geduld,mitgefühl,mitgenier,gefood,同情,忍耐,冊梯,葱冊,동정심,인내심,리꼬심,총종심,сострадание,терпение,терперение,создатьдание,merhamet,sabır,sagei,açıkhamet,patiencecompassion,compassion,trpělivostsoucit,soucit.1,忍耐同情,同情,인내심동정심,동정심,sabırmerhamet,merhamet.1,терпениесострадание,сострадание
complete,total,tomor,compence,celkový,úplný,uboný,zpátkový,total,komplet,komvert,tomer,gesamt,komplett,komplaus,gewegt,完全な,全体の,宅歪よ,歪件ぬ,온전한,총,습이,올려한,целостный,целый,друлый,целомохный,eksiksiz,toplam,toptük,taeverglamak,totalcomplete,complete,celkovýúplný,úplný,全体の完全な,完全な,총온전한,온전한,toplameksiksiz,eksiksiz,целыйцелостный,целостный
completely,absolutely,abhoarsely,comridgely,absolutně,zcela,trpla,absochvalně,absolut,fuldstændig,stopstændig,absofisk,absolut,vollständig,hausständig,absobill,完全に,絶対に,宅歪は,給封は,완전히,물론,널한,보중히,полностью,абсолютно,абсорально,полнодишь,tamamen,kesinlikle,kedeceklikle,tamaaşıy,absolutelycompletely,completely,absolutnězcela,zcela,絶対に完全に,完全に,물론완전히,완전히,kesinlikletamamen,tamamen,абсолютнополностью,полностью
computer,software,sancware,comfriger,software,počítač,počímers,zbytware,software,computer,mutaputer,fortjere,software,computer,herzputer,zartware,コンピューター,ソフトウェア,コソクリーター,ソフトウ旨令,컴퓨터,소프트웨어,소프걸웨어,터상손,компьютер,программное обеспечение,программное обесройство,компьюкрёст,bilgisayar,yazılım,yazıford,bilgisaşecek,softwarecomputer,computer,softwarepočítač,počítač,ソフトウェアコンピューター,コンピューター,소프트웨어컴퓨터,컴퓨터,yazılımbilgisayar,bilgisayar,программное обеспечениекомпьютер,компьютер
concentrate,focus,fosky,concenscope,zaměřit,soustředit,souhmoždit,zaměkčit,fokusere,koncentrere,konstruktrere,foløvelsere,fokus,konzentrieren,konzenfischren,foral,集中する,焦点を当てる,学糸とと,争脈ひ当もせ,집중,초점을 맞추다,력무다,네딜,концентрироваться,фокусироваться,фофисироваться,конценстыл,konsantrasyon,odaklanma,ömak,yoğunoturtmak,focusconcentrate,concentrate,zaměřitsoustředit,soustředit,焦点を当てる集中する,集中する,초점을 맞추다집중,집중,odaklanmakonsantrasyon,konsantrasyon,фокусироватьсяконцентрироваться,концентрироваться
concert,tour,tobo,condeth,prohlídka,koncert,konstro,proznámka,turné,koncert,konkant,vigné,tour,konzert,kontant,hur,コンサート,旅行,旅桁,じょ,콘서트,관광,비츠,서쪽트,концерт,тур,сур,конконт,konser,tur,arr,konnal,tourconcert,concert,prohlídkakoncert,koncert,旅行コンサート,コンサート,관광콘서트,콘서트,turkonser,konser,турконцерт,концерт
confess,admit,adins,conmise,připustit,doznat,dozvěd,přistoutit,indrømme,tilstå,tilget,instrume,zugeben,gestehen,diechten,zugefähr,打ち明ける,認める,托さ時はろ,詔ぬむ,자백하다,인정하다,인정과들,트잇,признаваться,сознаваться,состиваться,признаткнуться,günah çıkartmak,itiraf etmek,itiraf euntry,itiraf eusand,admitconfess,confess,připustitdoznat,doznat,認める打ち明ける,打ち明ける,인정하다자백하다,자백하다,itiraf etmekgünah çıkartmak,günah çıkartmak,сознаватьсяпризнаваться,признаваться
confidence,respect,retinct,confinates,úcta,důvěra,důstaura,šita,respekt,selvtillid,tilbor,søspakt,respekt,vertrauen,verchenen,respray,自信,尊敬,田信,すは,신뢰,존경,클과,단이,уверенность,уважение,уближение,уверенство,güven,saygı,kengı,kezdinden ömin,respectconfidence,confidence,úctadůvěra,důvěra,尊敬自信,自信,존경신뢰,신뢰,saygıgüven,güven,уважениеуверенность,уверенность
confirm,confirmation,confirmanence,conhiko,potvrzení,potvrdit,poproudit,poslechzení,bekræftelse,bekræfte,bagplette,beslittelse,bestätigung,bestätigen,bestärtiksen,bestärtikung,確認する,確認,につすほ,ツト,확인하다,확인,질콤,매이더하,подтверждать,подтверждение,подвлаждение,подтверствам,onaylamak,onay,franla,ayırlamak,confirmationconfirm,confirm,potvrzenípotvrdit,potvrdit,確認確認する,確認する,확인확인하다,확인하다,onayonaylamak,onaylamak,подтверждениеподтверждать,подтверждать
confusion,chaos,chius,confutors,chaos,zmatek,trátek,nejos,kaos,forvirring,forvirskab,kaker,chaos,verwechslung,verfrachlung,notos,混乱,混沌,園告,お世,혼동,혼돈,함이,똥키,путаница,хаос,ханд,пусплетница,"bilinç bulanıklığı, konfüzyon",kaos,kagel,"edebilinç bulanıklığı, konfüzyon",chaosconfusion,confusion,chaoszmatek,zmatek,混沌混乱,混乱,혼돈혼동,혼동,"kaosbilinç bulanıklığı, konfüzyon","bilinç bulanıklığı, konfüzyon",хаоспутаница,путаница
connection,contact,congaan,connecness,kontakt,spojení,ukryjení,konlark,kontakt,forbindelse,forsvarsdelse,konfert,kontakt,verbindung,verbingley,koniert,関係,連絡先,題系,吸め先,연결,연락하다,호소플,맥류,связь,контакт,констот,сверь,iletişim,irtibat,iletional,koğ,contactconnection,connection,kontaktspojení,spojení,連絡先関係,関係,연락하다연결,연결,irtibatiletişim,iletişim,контактсвязь,связь
constantly,always,altors,conquately,vždy,neustále,neustájmout,ďády,altid,konstant,kontient,aldom,immer,ständig,sitzdig,impul,しょっちゅう,いつも,ひゅっさきょつ,りへほ,지속적으로,언제나,구하나,배트적으로,постоянно,всегда,всебей,поздравянно,sürekli,daima,her znesy,süçiftli,alwaysconstantly,constantly,vždyneustále,neustále,いつもしょっちゅう,しょっちゅう,언제나지속적으로,지속적으로,daimasürekli,sürekli,всегдапостоянно,постоянно
