"nl_cue","nl_fake_cue","nl_target","nl_fake_target","en_cue","en_target"
"plus","plon","minus","mitie","plus","minus"
"seconde","sestemde","minuut","midokt","second","minute"
"armoede","orbaidde","ellende","akkende","poverty","misery"
"zonde","daide","misdaad","miswond","sin","crime"
"succes","tilces","mislukking","mislukraak","success","failure"
"diarree","siegree","misselijkheid","missementsheid","diarrhea","nausea"
"taak","liak","missie","carsie","task","mission"
"wolk","woes","mist","mium","cloud","fog"
"nobel","nabol","moedig","haldig","noble","brave"
"lastig","lotsug","moeilijk","kastleik","tough","hard"
"kans","awns","mogelijkheid","mogesteldheid","chance","possibility"
"knap","fnip","mooi","movy","pretty","beautiful"
"zelfmoord","zelfstorm","moord","modod","suicide","murder"
"killer","lipper","moordenaar","wijsdenaar","killer","murderer"
"aspirine","asgangsrine","morfine","grovine","aspirin","morphine"
"hotel","hogie","motel","mogra","hotel","motel"
"tank","tame","motor","mosie","tank","engine"
"bibliotheek","bibliofoons","museum","muserend","library","museum"
"zanger","sepger","musicus","musiwood","singer","musician"
"evolutie","randlutie","mutatie","mutalent","evolution","mutation"
"jazz","jaba","muziek","muvoer","jazz","music"
"geheim","govins","mysterie","sparterie","secret","mystery"
"bloot","flaat","naakt","isakt","nude","naked"
"beschrijven","bestuursven","uitdrukken","aatdrakken","describe","express"
"droog","drijg","nat","lpt","dry","wet"
"land","laak","natie","nanen","country","nation"
"kleinzoon","klaandoek","neef","nely","grandson","nephew"
"familielid","famimentslid","neef","nely","relative","cousin"
"invoegen","inzichgen","neerzetten","doodzetten","insert","put"
"positief","posicaan","negatief","negabeys","positive","negative"
"keel","zwul","nek","ulk","throat","neck"
"bezorgd","bazoend","nerveus","nerread","worried","nervous"
"mond","moit","neus","neta","mouth","nose"
"onvermogen","onvermonisch","niet in staat","brui in stuut","inability","unable"
"kanaal","kawel","nieuws","nieunu","channel","news"
"al","un","nog steeds","gim staads","already","still"
"dringend","sleigond","noodgeval","stukgevol","urgent","emergency"
"zuiden","greden","noorden","overden","south","north"
"gezond","gedoel","normaal","chemaal","healthy","normal"
"atomisch","otamig","nucleair","nucleret","atomic","nuclear"
"zee","oge","oceaan","quiaan","sea","ocean"
"morgen","lingen","ochtend","neptend","tomorrow","morning"
"zonsondergang","strucondergang","zonsopgang","strucapgong","sunset","dawn"
"oefenen","oefelaren","oefening","oefereer","practice","exercise"
"officieel","officikaart","beambte","betemand","officially","official"
"september","sepblueber","oktober","oktotijd","september","october"
"steenkool","steendogs","olie","twie","coal","oil"
"omlaag","omlijs","omhoog","omdorp","down","up"
"ongemakkelijk","ongemakkescreen","onaangenaam","onaangedoold","uncomfortable","unpleasant"
"anoniem","anozins","onbekend","onbestem","anonymous","unknown"
"dienst","dienti","onderhoud","onterbal","service","maintenance"
"beschermen","bestadsmen","onderhouden","onzichthouden","preserve","maintain"
"bovenkant","baventeen","onderkant","onderblod","top","bottom"
"miljonair","miljowind","ondernemer","ondernetisch","millionaire","entrepreneur"
"voorwerp","voorcard","onderwerp","underloed","object","subject"
"examineren","oxaminoren","onderzoeken","onderschapken","examine","investigate"
"analist","norlist","onderzoeker","onderschapker","analyst","investigator"
"onrecht","onschul","oneerlijk","oneerwaar","injustice","unfair"
"conflict","condriet","onenigheid","onenigtisch","conflict","dispute"
"incident","incifoon","ongeluk","ongetijn","incident","accident"
"zojuist","zoflits","onlangs","ongyang","just","recently"
"diner","daplo","ontbijt","ontboro","dinner","breakfast"
"vergeten","vergerakt","onthouden","antsponden","forget","remember"
"conferentie","strafferentie","ontmoeting","ontmoehaad","conference","meeting"
"uitbarsting","uitbarluidt","ontploffen","ontspanfen","burst","explode"
"ontslag","ontnaar","ontheffing","onthuffeng","resignation","dismissal"
"vluchten","froottun","ontsnappen","antklimpen","flee","escape"
"kidnappen","kidparren","ontvoeren","ontslagren","kidnap","abduct"
"voortgang","vvartzond","ontwikkeling","ontwikketeers","progress","development"
"onredelijk","onredejaars","onverantwoordelijk","onverantslachtsdelijk","unreasonable","irresponsible"
"plotseling","tremseling","onverwacht","anverhoold","suddenly","unexpectedly"
"nooit","troit","ooit","aeit","never","ever"
"oog","yeg","oor","aer","eye","ear"
"reden","recla","oorzaak","aarvold","reason","cause"
"west","weto","oosten-","hoftan","west","east"
"bewonderen","beschikderen","waarderen","wordaren","admire","appreciate"
"terug","tarog","terugkeer","tarogkoor","back","return"
"trots","traas","opgewonden","opgerechtden","proud","excited"
"gezondheid","gestigheid","opleiding","opleitjes","health","education"
"uitzonderlijk","uitzonderhouds","opmerkelijk","opmerkeraars","exceptional","remarkable"
"vermelding","vermelbour","opname","opnatuur","record","recording"
"laag","lary","oppervlak","apperloed","layer","surface"
"redden","moedan","opslaan","opsprin","rescue","save"
"keuze","brize","optie","opkno","choice","option"
"toevallig","tavoelig","opzettelijk","opzetterecht","accidentally","intentionally"
"groen","kruun","oranje","dwarje","green","orange"
"afspreken","afvaarken","organiseren","organiseplaats","arrange","organize"
"volwassen","volgingsen","ouder","oubol","adult","parent"
"uit","idt","over","xeer","out","about"
"natuurlijk","natorlook","algemeen","olgamoen","naturally","generally"
"verplaatsen","forplotsoen","overdracht","avervroogd","move","transfer"
"onderschatten","onderbroekten","overdrijven","overhaalven","underestimate","exaggerate"
"toernooi","vietnooi","wedstrijd","fodstraad","tournament","match"
"leven","kuven","overleven","castleven","live","survive"
"oom","aem","pa","gy","uncle","dad"
"ezel","himel","paard","snard","donkey","horse"
"route","dunte","pad","ogd","route","path"
"envelop","envefuus","pakket","floket","envelope","package"
"sectie","loutie","paragraaf","parachael","section","paragraph"
"bovennatuurlijk","bovennaschijnlijk","paranormaal","paranorvrouw","supernatural","paranormal"
"lippenstift","lippentoets","parfum","paroek","lipstick","perfume"
"ontvangst","antbloest","partij","parkom","reception","party"
"ticket","oxyket","paspoort","pospoerd","ticket","passport"
"enthousiasme","schoolthousiasme","passie","zeesie","enthusiasm","passion"
"bewaker","bewagons","patrouille","panieuwsle","guard","patrol"
"verpletteren","forploateren","breken","krukin","smash","break"
"papier","parein","pen","cun","paper","pen"
"vagina","varendna","penis","peler","vagina","penis"
"ideaal","touaal","perfect","pertern","ideal","perfect"
"straal","stoknal","perimeter","perimenings","radius","perimeter"
"karakter","komerstar","persoonlijkheid","perdraaglijkheid","character","personality"
"visie","viley","perspectief","perhekstief","view","perspective"
"bril","brosi","pet","latge","glasses","cap"
"lijden","keiden","pijn","pidu","suffering","pain"
"tablet","taklin","pil","esl","tablet","pill"
"astronaut","astrodors","piloot","pitrok","astronaut","pilot"
"geweer","getjes","pistool","pislaat","rifle","gun"
"ruimte","plught","plaats","plaart","place","location"
"voorbereiding","ringsberoding","planning","kleinong","preparation","planning"
"cement","celers","plastic","graptic","cement","plastic"
"verantwoordelijkheid","verantdresscodelijkheid","plicht","plicik","responsibility","duty"
"proberen","prabaren","poging","pinoar","try","attempt"
"gokken","floken","poker","poman","gambling","poker"
"beleid","besief","politicus","politifield","policy","politician"
"journalistiek","wraaknalistiek","politiek","polagoot","journalism","politics"
"kritisch","leatisch","politiek","polagoot","critical","political"
"portaal","redtaal","poort","poalt","portal","gate"
"zak","ulk","portemonnee","portekaartnee","pocket","wallet"
"status","sotas","positie","posinaas","status","position"
"letterlijk","latterstuf","praktisch","troetisch","literally","practically"
"toespraak","genspraak","preek","praak","speech","sermon"
"kanselier","kansevens","president","presitair","chancellor","president"
"comfortabel","complexetabel","prettig","spentig","comfortable","pleasant"
"monnik","monste","priester","zoelstur","monk","priest"
"waarde","ceerde","prijs","prads","value","price"
"nobel","norij","prijs","prads","nobel","prize"
"secundair","zocenduur","primair","prifier","secondary","primary"
"prinses","knipses","prins","ranins","princess","prince"
"prive","prafo","privacy","neervacy","private","privacy"
"moeilijkheden","malekhooda","probleem","proploeg","trouble","problem"
"proces","frappos","procedure","proceduresienstadt","process","procedure"
"verhoor","forhaar","proces","prolia","hearing","trial"
"creëren","haarëren","produceren","prodecupoerd","create","produce"
"merk","meey","product","proaugh","brand","product"
"fabriek","faneert","productie","prostratie","factory","production"
"amateur","surteur","professioneel","professiostrijd","amateur","professional"
"decaan","devast","professor","profesdeed","dean","professor"
"project","prozers","programma","proschume","project","program"
"regel","rerij","protocol","protokaan","rule","protocol"
"model","mosie","prototype","wachttotype","model","prototype"
"anatomie","anatowood","psychologie","maardolochie","anatomy","psychology"
"medisch","metract","psychologisch","psocholoward","medical","psychological"
"menigte","melonkte","publiek","pupleit","crowd","audience"
"fase","mense","periode","poriade","phase","period"
"marathon","marapler","race","rator","marathon","race"
"raket","raron","projectiel","frajectal","rocket","missile"
"muis","gais","rat","ksat","mouse","rat"
"generator","generamisch","reactor","reaccent","generator","reactor"
"optimistisch","optimisnoegd","realistisch","realisseerd","optimistic","realistic"
"rechtbank","rechtzing","rechter","vrouter","court","judge"
"held","heut","redder","porder","hero","savior"
"eerlijk","arloek","redelijk","redesche","fair","reasonable"
"administratie","adminichollstie","regering","regevech","administration","government"
"producent","produtoor","regisseur","regisdoek","producer","director"
"repareren","reparedwood","reparatie","reparagraaf","fix","repair"
"carrière","carrièresienstadt","reputatie","reputalaans","career","reputation"
"kroeg","spoeg","restaurant","restaucier","pub","restaurant"
"resultaat","resulmerk","uitkomst","atfoomst","result","outcome"
"groot","grist","reusachtig","egoiachtig","big","huge"
"rit","fot","rijden","studen","drive","ride"
"arm","uim","rijk","rieb","poor","rich"
"dynastie","dytructie","rijk","rieb","dynasty","empire"
"schat","scut","rijkdom","soerdum","treasure","wealth"
"dramatisch","dramanierd","romantisch","romunchack","dramatic","romantic"
"caesar","lutsar","rome","parme","caesar","rome"
"ronde","netde","rondom","woonom","round","around"
"dutje","bamje","rondslenteren","ronddouchteren","nap","stroll"
"prooi","shooi","roofdier","stakdoer","prey","predator"
"spionage","spaontige","sabotage","paontoge","espionage","sabotage"
"soep","sori","salade","saduurde","soup","salad"
"pensioen","pensihart","salaris","salaslag","pension","salary"
"ninja","womja","samurai","samukner","ninja","samurai"
"melk","meap","sap","arp","milk","juice"
"radar","rahen","satelliet","satelboom","radar","satellite"
"room","rosi","saus","sadi","cream","sauce"
"roddel","butdel","schandaal","schanlair","gossip","scandal"
"zoet","klet","schattig","schatzoe","sweet","cute"
"bot","uat","schedel","speldel","bone","skull"
"kalender","kavaarder","schema","spelma","calendar","schedule"
"monster","terster","schepsel","zachtsel","monster","creature"
"schot","scimt","schieten","splunton","shot","shoot"
"schild","schiol","pantser","potners","shield","armor"
"artiest","arvoets","schilder","borstder","artist","painter"
"slak","reak","schildpad","schildcho","snail","turtle"
"bemanning","bemantels","schip","screp","crew","ship"
"laars","luwse","schoen","sceden","boot","shoe"
"klas","klen","school","scotrel","class","school"
"charme","marcho","schoonheid","stuurdhoed","charm","beauty"
"lees","letje","schrijf","spruuk","read","write"
"lezen","lerijk","schrijven","spraakven","reading","writing"
"toevluchtsoord","tavluchtstoem","schuilplaats","blaafsplijt","refuge","shelter"
"onschuldig","onzichtdig","schuldig","stortdig","innocent","guilty"
"muur","mupo","schutting","speurting","wall","fence"
"kiezen","wolzen","selecteren","seschitteren","choose","select"
"parlement","parleboog","senaat","sestad","parliament","senate"
"gouverneur","gouvertand","senator","senalist","governor","senator"
"bediende","bewustde","serveerster","sermaakster","waiter","waitress"
"rook","roay","sigaar","sihals","smoke","cigar"
"tabak","tavia","sigaret","siganals","tobacco","cigarette"
"frequentie","freadoptie","signaal","sigwel","frequency","signal"
"rust","sart","slaap","slosap","rest","sleep"
"kamer","kotin","slaapkamer","karstkimer","room","bedroom"
"ader","adol","slagader","slogaren","vein","artery"
"beheren","behelaas","slagen","chegen","manage","succeed"
"arena","hoxna","slagveld","slagneel","arena","battlefield"
"pomp","sump","slang","salg","pump","hose"
"worm","woia","slang","salg","worm","snake"
"goed","garo","slecht","slecik","good","bad"
"druppel","frappol","slokje","koesie","drop","sip"
"toets","toses","slot","sleu","key","lock"
"huurling","kaarlong","sluipmoordenaar","walfsmuurdenaar","mercenary","assassin"
"schutter","spoerter","sluipschutter","flaschotter","shooter","sniper"
"opening","ginning","sluiting","spijting","opening","closure"
"scheur","trixon","snee","sangs","tear","cut"
"regenen","regetrok","sneeuw","sneehy","rain","snow"
"traag","tregk","snel","thel","slow","fast"
"langzaam","naagzoem","snel","thel","slowly","quickly"
"afstand","afneerd","snelheid","straheid","distance","speed"
"weg","eug","snelweg","sneltis","road","highway"
"capsule","heersule","sonde","avede","capsule","probe"
"lasagne","latyrone","spaghetti","spakristi","lasagna","spaghetti"
"deskundige","daskondufe","specialist","speciadeerd","expert","specialist"
"sensationeel","sensatiostrijd","spectaculair","spectacuzucht","sensational","spectacular"
"pop","elp","speelgoed","speelteld","doll","toy"
"geroosterd brood","geroesterd froid","spek","spoc","toast","bacon"
"spelen","spalen","videospel","vadeospal","play","game"
"coach","blach","speler","garler","coach","player"
"reflectie","rekwartie","spiegel","crisgel","reflection","mirror"
"zenuw","zevet","spier","frier","nerve","muscle"
"hobby","tesby","sport","enort","hobby","sport"
"praten","sasten","spreken","ploeken","talk","speak"
"beklimmen","behulpmen","springen","drinkgen","climb","jump"
"naald","nangd","spuit","truit","needle","syringe"
"beton","bezan","staal","koaal","concrete","steel"
"federaal","fedemort","staat","stert","federal","state"
"hoofdstad","foohsted","stad","haad","capital","city"
"raken","floen","slaan","rukin","hit","strike"
"monument","monukaar","standbeeld","gransboold","monument","statue"
"platform","platfels","station","zelftion","platform","station"
"hoek","deek","steeg","staag","corner","alley"
"rots","frins","steen","creen","rock","stone"
"voorstellen","voorraadlen","voorleggen","vierlogen","propose","suggest"
"meerderheid","longderheid","stem","stum","majority","vote"
"beroemdheid","berachthijd","ster","guer","celebrity","star"
"stevig","sterot","sterk","koerk","firmly","strongly"
"ritme","purme","stijl","stomel","rhythm","style"
"stil","stea","stilte","spette","silent","silence"
"tafel","taan","stoel","pioel","table","chair"
"as","un","stof","stirm","ash","dust"
"roestig","guuftig","stoffig","stefkot","rusty","dusty"
"onderbreken","onderschapken","storen","breren","interrupt","disturb"
"wind","ound","storm","sitham","wind","storm"
"laan","pian","straat","strane","avenue","street"
"besmetting","bereikting","straling","branling","contamination","radiation"
"plan","gean","strategie","luistegie","plan","strategy"
"oorlog","uirrit","strijd","gorijd","war","battle"
"soldaat","solkert","strijder","schimder","soldier","warrior"
"binden","voldan","stropdas","stropbia","bind","tie"
"piramide","piratrouwde","structuur","steeltuur","pyramid","structure"
"onderzoek","onderdend","studie","stuses","research","study"
"vlag","vlof","symbool","symtock","flag","symbol"
"symptoom","stoetoom","syndroom","turdroom","symptom","syndrome"
"netwerk","sorwerk","systeem","uriteem","network","system"
"toetje","toestu","taart","taelt","dessert","cake"
"potentieel","potentikaart","talent","tavang","potential","talent"
"nagel","nalis","tand","tare","nail","tooth"
"vloer","vlair","tapijt","tadits","floor","carpet"
"doos","glis","tas","egs","box","bag"
"liga","lovir","team","teva","league","team"
"methode","mezwadde","techniek","stelniek","method","technique"
"zacht","zakit","teder","temis","soft","gentle"
"tegenovergestelde","poortruimstelde","tegendeel","tegenboog","opposite","contrary"
"ongelukkig","angelukmaard","tegenslag","tiginmost","unfortunate","misfortune"
"vijand","vijdij","tegenstander","tagenlijdster","enemy","opponent"
"formulier","formukant","ondertekenen","onkertabenen","form","sign"
"verven","vyrvon","tekenen","tekelaar","paint","draw"
"telefoongesprek","telefaangevroogd","telefoon","telecier","call","telephone"
"verrassing","verrashard","teleurstelling","terongstilling","surprise","disappointment"
"radio","rague","televisie","televimaakt","radio","television"
"warmte","sparte","temperatuur","temperamaakt","heat","temperature"
"golf","gaur","tennis","dranis","golf","tennis"
"galerij","galevert","tentoonstelling","tenlijststelling","gallery","exhibition"
"experiment","experiscoop","test","onst","experiment","test"
"bioscoop","biasbous","theater","hartater","cinema","theater"
"idee","idpo","theorie","hartorie","idea","theory"
"tiener-","palner","puber","kaner","teenage","teenager"
"playboy","playjas","tijdschrift","toogschraft","playboy","magazine"
"detonator","detonamisch","timer","ticon","detonator","timer"
"naam","nane","titel","tiaan","name","title"
"erkennen","arkoffen","toegeven","toegelijk","admit","confess"
"trouw","traiw","toewijding","taawoezer","fidelity","devotion"
"scherm","scheia","monitor","namator","screen","monitor"
"aardappel","ruimoppel","tomaat","tolang","potato","tomato"
"orkaan","orjoen","tornado","shannado","hurricane","tornado"
"keten","kanis","touw","toky","chain","rope"
"modern","mowekt","traditioneel","traditiostrijd","modern","traditional"
"triest","triend","tragisch","chigisch","sad","tragic"
"duw","caw","trekken","kleuken","push","pull"
"kroon","smoon","troon","tramn","crown","throne"
"loyaal","froaal","trouw","triew","loyal","faithful"
"brug","breu","tunnel","edinel","bridge","tunnel"
"knoflook","kuitlook","ui","ny","garlic","onion"
"obstakel","obwijnkel","uitdaging","uitdabeer","obstacle","challenge"
"tenslotte","tenmelkte","uiteindelijk","atendejoors","finally","eventually"
"verspillen","forspollun","uitgeven","ootgelik","waste","spend"
"apparatuur","apparamaakt","uitrusten","ootklinten","equipment","equip"
"opmerking","opmerdeur","uitspraak","genspraak","comment","statement"
"veiling","midling","uitverkoop","uitverdens","auction","sale"
"voorstelling","vierstollang","uitvoering","aatvuiders","show","performance"
"finaal","celaas","ultiem","ulleis","final","ultimate"
"speciaal","specisers","uniek","unchok","special","unique"
"insigne","onsagnu","uniform","roeform","badge","uniform"
"college","callije","universiteit","universiriyah","college","university"
"bloed","bluld","urine","sysne","blood","urine"
"soms","soom","vaak","valy","sometimes","often"
"tegengif","tegennuud","vaccin","dodcin","antidote","vaccine"
"moeder","subder","vader","vakan","mother","father"
"kerstmis","karsthif","vakantie","vastratie","christmas","holiday"
"woestijn","woesrist","vallei","volduk","desert","valley"
"nep","elp","vals","vazo","fake","FALSE"
"zombie","caybie","vampier","zuspier","zombie","vampire"
"aanhanger","aansluiger","busje","vifje","trailer","van"
"vertrouwen","verjaarwen","geloven","galiffen","trust","believe"
"grijpen","kriepon","vangen","fongan","grab","catch"
"kaneel","kaveld","vanille","varendel","cinnamon","vanilla"
"koe","ife","varken","nieken","cow","pig"
"kampioen","snelpioen","vechter","schotur","champion","fighter"
"beveiliging","beveilitouws","veiligheid","vooligen","security","safety"
"bedrijf","buloest","vennootschap","vendrijschap","company","corporation"
"ventiel","venjoen","ventilatie","moordtilatie","valve","ventilation"
"mars","mave","venus","velia","mars","venus"
"dichtbij","tachtbuu","ver","iar","near","far"
"bedekken","fudikken","verbergen","verpandgen","cover","hide"
"verandering","verandelaars","verbetering","verbetekaart","change","improvement"
"verboden","tromboden","verbieden","vergaatden","forbidden","prohibit"
"contact","contern","verbinding","verbinteam","contact","connection"
"twijfelen","twijanen","verdenken","verzetsten","doubt","suspect"
"beschermen","bestadsmen","verdedigen","schiededigen","protect","defend"
"verdubbelen","varstabelen","verdrievoudigen","verstandsvoudigen","double","triple"
"dood","dorg","verdwijning","verscanning","death","disappearance"
"fout","foap","vergissing","vergisteer","error","mistake"
"controleren","kantruliref","verifiëren","verifieplaats","check","verify"
"jubileum","jubiletisch","verjaardag","vertroudog","anniversary","birthday"
"campagne","bouwpagne","verkiezing","verkiekamp","campaign","election"
"kopen","konij","verkopen","verkowitz","buy","sell"
"vertrekken","verduisken","verlaten","stallaten","leave","abandon"
"toekomst","toenacht","verleden","castleden","future","past"
"zege","carge","verlies","vervens","victory","defeat"
"toenemen","schonemen","verminderen","verklaadderen","increase","reduce"
"capaciteit","capacifixen","vermogen","vermonoxi","capacity","ability"
"vers","vely","vernieuwen","vertrapwen","fresh","refresh"
"spion","vison","verrader","stuwrader","spy","traitor"
"smakelijk","smakesche","verrukkelijk","verrukketeers","tasty","delicious"
"vergelijkbaar","vergestuurbaar","verschillend","verpleeglend","similar","different"
"brengen","etengen","versturen","vermantren","bring","send"
"zeggen","acagen","vertellen","verslaglen","say","tell"
"aankomst","aannacht","vertrek","verdrie","arrival","departure"
"hoop","hols","vertrouwen","verjaarwen","hope","faith"
"respect","resleef","vertrouwen","verjaarwen","respect","confidence"
"vervangen","vertrekgen","vervanging","vervanwaar","replace","substitute"
"wachten","wochtif","verwachten","verzetsten","wait","expect"
"chaos","steos","verwardheid","vergrifheid","chaos","confusion"
"elimineren","elismanoren","verwijderen","vertrouwderen","eliminate","remove"
"schepping","steunping","verwoesting","versnipting","creation","destruction"
"eis","ais","verzoek","verzets","demand","request"
"dvd","ofd","video","vinik","dvd","video"
"twee","twop","vier","viso","two","four"
"derde","badde","vierde","windde","third","fourth"
"naar","sear","vies","viot","nasty","filthy"
"zoeken","traope","vinden","vicaden","search","find"
"dna","sav","vingerafdruk","vongerafsters","dna","fingerprint"
"haai","hatz","vis","mys","shark","fish"
"openbaring","openbatros","visie","viley","revelation","vision"
"jagen","jayin","vissen","spisen","hunting","fishing"
"eiwit","eiful","vitamine","viseerdmine","protein","vitamin"
"vuur","vums","vlam","vlie","fire","flame"
"varkensvlees","vurkensbaars","vlees","vlows","pork","meat"
"land","laak","vlieg","chieg","land","fly"
"vloeistof","fluisstof","vloeibaar","vloeiraat","liquid","fluid"
"marine","mawaarne","vloot","croot","naval","fleet"
"landen","disden","vlucht","igucht","landing","flight"
"vlinder","grijder","vogel","vorij","butterfly","bird"
"leeg","lese","vol","uml","empty","full"
"zien","soen","ontmoeten","ankmoeden","see","meet"
"genoeg","gesoim","voldoende","valkuurde","enough","sufficient"
"commando","kimmonde","bevel","biffel","command","order"
"absoluut","absostin","volledig","volleverd","absolutely","completely"
"eeuwig","eeuzan","voor altijd","voir alious","eternal","forever"
"doel","smil","voornemen","plannemen","purpose","intention"
"altijd","almigh","voortdurend","rechtdurend","always","constantly"
"in staat stellen","on sief spokkan","voorzien in","voorvech in","enable","provide"
"lepel","lerie","vork","zark","spoon","fork"
"jeep","jenk","vrachtauto","droefsouta","jeep","truck"
"vraag","olaag","vragen","kisgen","question","ask"
"ongebruikelijk","ongezichtskelijk","vreemd","vreesc","unusual","strange"
"verschrikkelijk","verstandskelijk","vreselijk","vreserend","terrible","horrible"
"plezier","plejoen","vreugde","krankde","pleasure","joy"
"collega","hartlega","vriend","oliend","colleague","friend"
"beleefd","bavloed","vriendelijk","druufdeloek","polite","friendly"
"relatie","relawaai","vriendschap","scholdschup","relationship","friendship"
"vrijelijk","olijekep","vrij","olij","freely","free"
"vrijwilliger","kwuudwilliger","vrijwillig","melswillig","volunteer","voluntarily"
"laat","labi","vroeg","iloeg","late","early"
"tevreden","tejaarden","vrolijk","alalijk","satisfied","happy"
"weduwe","weduwelijkstaart","vrouw","olouw","widow","woman"
"echtgenoot","ochtgehuum","vrouw","olouw","husband","wife"
"mannelijk","monnerend","vrouwelijk","bankwelijk","male","female"
"nutteloos","nutteming","waardeloos","woerdarend","useless","worthless"
"verdien","varmoel","waardig","zelfdig","deserve","worthy"
"trots","traas","waardigheid","zelfdigheid","pride","dignity"
"waarschijnlijkheid","waarplaatslijkheid","waarschijnlijk","zolfschijnlijk","probability","likely"
"misschien","nosschoen","waarschijnlijk","zolfschijnlijk","maybe","probably"
"code","terde","wachtwoord","bluckwaard","code","password"
"rennen","bomnen","wandeling","wandesche","run","walk"
"lip","sep","wang","wakt","lip","cheek"
"pistool","pusloot","wapen","watie","pistol","weapon"
"arsenaal","arselend","wapenkamer","wanachtkamer","arsenal","armory"
"toilet","tielot","wasbak","borbak","toilet","sink"
"eekhoorn","raghoorn","wasbeer","wasrens","squirrel","raccoon"
"schoon","schopi","wassen","borsen","clean","wash"
"koolstof","knufstof","waterstof","waterkomt","carbon","hydrogen"
"sherlock","shermaak","watson","kinson","sherlock","watson"
"internet","intertrum","web","fub","internet","web"
"maand","mayad","week","weom","month","week"
"weerstand","upunstond","verzetten","wierstond","resistance","resist"
"dagelijks","dagejaagd","wekelijks","weketeert","daily","weekly"
"verlangen","verkwisgen","wens","owns","desire","wish"
"internationaal","onfernokeniel","wereld","webied","international","world"
"boer","boxe","werker","sponnur","farmer","worker"
"zuidelijk","zuidesche","westelijk","westesche","southern","western"
"nu","fy","weten","welij","now","know"
"technologie","druumnologie","wetenschap","wetenseerd","technology","science"
"genie","gehan","wetenschapper","wetenhoofdper","genius","scientist"
"illegaal","offedaar","legaal","fedaar","illegal","legal"
"district","disgrant","wijk","wihs","county","district"
"zaak","zoik","winkel","buikel","shop","store"
"verliezer","verwaarzer","winnaar","buinaar","loser","winner"
"verdienen","verstannen","winnen","buinen","gain","win"
"zomer","zoton","winter","boitar","summer","winter"
"fysica","heensica","wiskunde","daarkunde","physics","mathematics"
"herkennen","niekonnen","wist","winy","recognize","knew"
"magie","macel","wizard","wihawk","magic","wizard"
"whisky","ransky","wodka","gylka","whiskey","vodka"
"woede","maide","razernij","vasdenoe","anger","rage"
"beer","beso","wolf","wotz","bear","wolf"
"jungle","yelgle","woud","naud","jungle","forest"
"brutaal","taltaal","wreed","queed","brutal","cruel"
"slecht","sleink","wreedheid","muidheid","evil","cruelty"
"lap","irp","zakdoek","zakkort","cloth","handkerchief"
"huid","huep","zakdoek","zakkort","skin","tissue"
"modder","conder","zand","hend","mud","sand"
"anker","anman","zeil","zene","anchor","sail"
"veilig","chalig","zeker","zeman","safe","secure"
"af en toe","if un taf","zelden","opiden","occasionally","rarely"
"sensor","senchy","zender","itader","sensor","transmitter"
"bezorgdheid","zormen","zorgen","fesardhuid","concern","worry"
"onwel","onbek","ziek","zida","ill","sick"
"griep","gromp","ziekte","evente","flu","disease"
"gouden","ritden","zilver","goover","golden","silver"
"woord","bjord","zin","ofn","word","sentence"
"woordenboek","klimdenboek","zin","ofn","dictionary","phrase"
"staan","fluun","zitten","gooten","stand","sit"
"maan","lyan","zon","ron","moon","sun"
"zaterdag","zatermijn","zondag","zonber","Saturday","Sunday"
"gebied","fobuud","zone","bunni","area","zone"
"maan-","lyan","zonne-","chine","lunar","solar"
"dochter","montter","zoon","gron","daughter","son"
"lucht","ischt","zuurstof","plinstuf","air","oxygen"
"hard","zler","zwaar","ouaar","heavy","heavily"
"sterk","guerk","zwak","ouak","strong","weak"
"geboorte","geschute","zwangerschap","woesgerschap","birth","pregnancy"
"wit","obt","zwart","jaart","white","black"
"verdrinken","verwoesken","zwemmen","viermen","drown","swim"
