"ru_cue","ru_fake_cue","ru_target","ru_fake_target","en_cue","en_target"
"сентябрь","звутябрь","октябрь","октерть","september","october"
"тунец","тулом","омар","егар","tuna","lobster"
"риск","ритр","опасность","обезность","risk","danger"
"рискованный","школькованный","опасный","епастный","risky","dangerous"
"оперировать","опереттовать","хирургия","хирувимгия","operate","surgery"
"профиль","промикс","описание","сильсание","profile","description"
"понятие","веснятие","определение","трансделение","concept","definition"
"планета","среднета","орбита","кладбита","planet","orbit"
"устраивать","догостраивать","организовывать","органикренивать","arrange","organize"
"пистолет","пистонишь","оружие","орубылье","pistol","weapon"
"арсенал","арселон","оружейный склад","окружежный шклед","arsenal","armory"
"свежий","свенежий","освежать","удивжать","fresh","refresh"
"весна","вшина","осень","осаль","spring","autumn"
"оставаться","мнетаваться","пребывать","пребувать","stay","remain"
"правый","пазвый","левый","ледявый","right","left"
"предотвращать","предыньвращать","останавливать","удонавливать","prevent","stop"
"откликаться","отвекаться","отвечать","отверанс","answer","reply"
"грязный","рьёзный","отвратительный","отвратинесчастный","dirty","disgusting"
"мать","мация","отец","отзо","mother","father"
"успех","усбух","неудача","шерудача","success","failure"
"превосходный","превоссмертно","отличный","отстраный","excellent","great"
"мнение","ролние","позиция","позициласс","opinion","attitude"
"днк","ирк","отпечаток пальца","отпечаток радльца","dna","fingerprint"
"приносить","принокрить","отправлять","отпрастве","bring","send"
"положительный","положиместный","отрицательный","отрицаромный","positive","negative"
"присутствие","присутмость","отсутствие","отсутмость","presence","absence"
"рабочий стол","пылочий стол","офис","гмис","desk","office"
"официально","предоциально","официальный","предоциальный","officially","official"
"официант","официверс","официантка","официлюдка","waiter","waitress"
"наблюдение","набчеление","оценка","аванка","observation","evaluation"
"привлекательный","пристрасткательный","очаровательный","непредровательный","attractive","charming"
"понятно","попускно","очевидно","смотвидно","clearly","obviously"
"крайне","скройне","очень","глень","extremely","very"
"ошибка","охвака","заблуждение","заблужрилка","error","mistake"
"кабина","кабинди","палуба","палукров","cabin","deck"
"дядя","акудя","папа","палоч","uncle","dad"
"сверхъестественный","сверхъдобественный","паранормальный","курдранормальный","supernatural","paranormal"
"код","лод","пароль","пачень","code","password"
"прием","пригиём","мероприятие","мероприятикуй","reception","party"
"сторожить","стражур","патруль","патподь","guard","patrol"
"влагалище","предугалище","пенис","песом","vagina","penis"
"датчик","церчик","преобразователь","преобразострелчик","sensor","transmitter"
"переезжать","переществать","переносить","перевзрывить","move","transfer"
"громить","гростить","ломать","ломашать","smash","break"
"радиус","радидум","периметр","перихард","radius","perimeter"
"фаза","фазагс","период","перистик","phase","period"
"точка зрения","точка зренты","перспектива","перотрастива","view","perspective"
"альбом","драбом","песня","эмоня","album","song"
"грязь","градь","песок","пенток","mud","sand"
"почка","слика","печень","пелясь","kidney","liver"
"духовка","доховль","печь","ричь","oven","stove"
"напиток","напищень","пиво","дозво","drink","beer"
"астронавт","астровсем","летчик","гречатчик","astronaut","pilot"
"поэт","поэтаж","писатель","писаства","poet","writer"
"винтовка","вингрузка","пушка","пушкалет","rifle","gun"
"телеграмма","телестинема","письмо","сельмо","telegram","letter"
"чтение","хелние","написание","напирование","reading","writing"
"тонуть","тостуть","плавать","ужлавать","drown","swim"
"пожар","поцим","пламя","безмя","fire","flame"
"подготовка","подгорызка","планирование","сверстнирование","preparation","planning"
"цемент","чамент","пластик","платист","cement","plastic"
"миска","мисча","тарелка","плапредна","bowl","plate"
"внук","двук","племянник","плеязычник","grandson","nephew"
"хороший","хоротерий","плохой","плосер","good","bad"
"якорь","жакорь","парус","сварус","anchor","sail"
"сбегать","сбескать","побег","посак","flee","escape"
"проигравший","проискорвший","победитель","победизатель","loser","winner"
"одерживать","одюбливать","побеждать","побемнать","gain","win"
"пляж","плем","побережье","поберевестье","beach","coast"
"слой","кной","поверхность","покальность","layer","surface"
"комплимент","компливишт","подарок","подамьен","compliment","gift"
"готовый","госювый","подготавливать","подготоплесс","ready","prepare"
"сохранять","сохрастять","поддерживать","поддержиствовать","preserve","maintain"
"сомневаться","сомнеткаться","подозревать","подозренивать","doubt","suspect"
"бланк","бсенк","подписываться","подпиментывать","form","sign"
"печать","пелочь","подпись","поткись","stamp","signature"
"подростковый","поднеловковый","подросток","подропан","teenage","teenager"
"подтверждение","подвлаждение","подтверждать","подтверствам","confirmation","confirm"
"водить","водкнить","ездить","еспись","drive","ride"
"благотворительность","благотвориставлень","пожертвование","поскользвование","charity","donation"
"разрешать","разрегрузать","позволять","позвобрачить","allow","let"
"состояние","стингание","положение","позижение","status","position"
"азартная игра","флиртатная игра","покер","помяг","gambling","poker"
"оставлять","покиствлять","покидать","покиборг","leave","abandon"
"продавец","провдовец","покупатель","покупасьянс","seller","buyer"
"доверять","довестачь","верить","верастер","trust","believe"
"полночь","полторчь","полдень","полмыть","midnight","noon"
"арена","бодна","поле битвы","поле библизь","arena","battlefield"
"посадка","поавиака","полет","покип","landing","flight"
"политический курс","повстретический курс","политик","потолитик","policy","politician"
"журналистка","журнастьянка","политика","повстретика","journalism","politics"
"критический","критиражеский","политический","политиготский","critical","political"
"генерал","ледерал","полковник","полбильник","general","colonel"
"абсолютно","абсорально","полностью","полнодишь","absolutely","completely"
"целый","друлый","целостный","целомохный","total","complete"
"пустой","пулистой","полный","шевный","empty","full"
"одеяло","строяло","полотенце","полокрыльце","blanket","towel"
"вставлять","ществлять","помещать","поместечь","insert","put"
"картофель","картостия","помидор","помихаль","potato","tomato"
"осознавать","осонизвать","понимать","понистрать","realize","understand"
"победа","потильда","поражение","поражество","victory","defeat"
"сообщать","соотшать","информировать","изветермировать","report","inform"
"всегда","всебей","постоянно","поздравянно","always","constantly"
"выкрадывать","выкабывать","похищать","покрищать","kidnap","abduct"
"гроб","груд","похороны","похоствены","coffin","funeral"
"объяснение","встреяснение","правдоподобный","оскордобный","explanation","plausible"
"ошибочный","ошифрочный","правильный","праславный","wrong","correct"
"администрация","админибратия","правительство","правиупрямство","administration","government"
"рождество","рождесертво","каникулы","дранникулы","christmas","holiday"
"буквально","буктентно","практически","незнатически","literally","practically"
"лояльность","сияльность","преданность","преданство","fidelity","devotion"
"шпион","вмеон","предатель","предаства","spy","traitor"
"выдвигать","выдлогать","предлагать","предластить","propose","suggest"
"слово","конво","предложение","некроложение","word","sentence"
"вккючать","вклюствать","предоставлять","предоставскить","enable","provide"
"заккючение","заключепец","предположение","оскорбложение","conclusion","assumption"
"миллионер","неприлионер","предприниматель","предпринимандра","millionaire","entrepreneur"
"шоу","швоу","представление","прокраросление","show","performance"
"канцлер","ранцилер","президент","презикрой","chancellor","president"
"симпатичный","неприпатичный","красивый","бельсивый","pretty","beautiful"
"славный","саловный","чудный","пребельный","nice","lovely"
"алкоголь","алконент","наркотик","дырмотик","alcohol","drug"
"корона","котельна","трон","пцон","crown","throne"
"грех","вудх","преступление","преструпоение","sin","crime"
"преуменьшать","преумернять","преувеличивать","преувеличистингс","underestimate","exaggerate"
"управлять","праздлять","преуспевать","преуспегребать","manage","succeed"
"поздравлять","поздрагувать","салютовать","салютортовать","congratulate","greet"
"внимание","охотмание","привлекать","привлеским","attention","attract"
"нобелевская","нобениклая","приз","прад","nobel","prize"
"сознаваться","состиваться","признаваться","признаткнуться","admit","confess"
"задница","взядница","попа","пропа","ass","butt"
"ловушка","ломатька","приманка","прислуманка","trap","bait"
"отказывать","отхайзывать","принимать","принистрать","refuse","accept"
"принцесса","сдерцесса","принц","прайц","princess","prince"
"прибывать","прибомать","приходить","прихоскить","arrive","come"
"причина","мальчина","повод","повочина","reason","cause"
"убежище","одолжище","приют","удают","refuge","shelter"
"комфортный","комфаршный","приятный","приятвый","comfortable","pleasant"
"неприятность","непризадность","проблема","просматма","trouble","problem"
"слушание","слушейние","разбирательство","распольрательство","hearing","trial"
"экспертиза","экстрактиза","проверка","продружка","examination","inspection"
"проверять","пронингать","верифицировать","вестофицировать","check","verify"
"кабель","калабь","провод","проживод","cable","wire"
"растрачивать","расткачивать","расходовать","восходовать","waste","spend"
"проект","проатр","программа","провзломма","project","program"
"дремать","фитмать","прогуливаться","проньонкиваться","nap","stroll"
"покупать","покустать","продавать","продамент","buy","sell"
"аукцион","гольцион","продажа","осуждажа","auction","sale"
"продолжать","продолстать","продлевать","продолскимать","proceed","continue"
"создавать","сольетвать","производить","произвочить","create","produce"
"завод","вкларод","производство","прозвогство","factory","production"
"адвокат","айтвокат","прокурор","нехваткуратура","lawyer","prosecutor"
"речь","рейм","проповедь","проповеер","speech","sermon"
"вопрос","востоп","спрашивать","прослуш","question","ask"
"просто","просубо","простой","прожой","simply","simple"
"враг","врык","противник","прочальник","enemy","opponent"
"страшный","уменьный","жуткий","жутальный","scary","creepy"
"правило","недовило","протокол","процокоз","rule","protocol"
"модель","модубь","прототип","протонут","model","prototype"
"любительский","любиствельский","профессиональный","профессошальный","amateur","professional"
"декан","делжан","профессор","професрелл","dean","professor"
"теплый","журлый","прохладный","проткладный","warm","cool"
"процесс","сворцесс","процедура","аушведура","process","procedure"
"первый","пеньвый","последний","последкер","first","last"
"взбираться","прайраться","прыгать","элигать","climb","jump"
"медицинский","медикринский","психологический","психоческий","medical","psychological"
"анатомия","флиртомия","психология","психолокость","anatomy","psychology"
"бабочка","бавитька","птица","охоца","butterfly","bird"
"калибр","катуар","пуля","пувой","caliber","bullet"
"раздел","размыс","параграф","пулытграф","section","paragraph"
"хаос","ханд","путаница","пусплетница","chaos","confusion"
"пепел","пепуф","пыль","арль","ash","dust"
"ржавый","слювый","пыльный","пылофный","rusty","dusty"
"пытаться","пырваться","стараться","сцуваться","try","attempt"
"мучение","муствение","пытка","тщака","torment","torture"
"трезвый","брилвый","пьяный","потьяный","sober","drunk"
"работа","рапланта","труд","трудав","job","work"
"фермер","изумер","работник","радневник","farmer","worker"
"загрязнение","загнулнение","радиация","радожция","contamination","radiation"
"удовольствие","удоследствие","радость","раслать","pleasure","joy"
"разговор","разгосточ","говорить","говаристингс","talk","speak"
"блок","бнут","отдел","взгляделение","unit","division"
"похожий","похожертный","другой","другожат","similar","different"
"сюрприз","уцеприз","разочарование","неудачарование","surprise","disappointment"
"прогресс","проджерс","развитие","развимушка","progress","development"
"творчество","чрезчество","разрушение","разрушекласс","creation","destruction"
"справедливый","участведливый","разумный","бракумный","fair","reasonable"
"опухоль","опулорм","рак","хяк","tumor","cancer"
"ракета","ралиста","снаряд","лиряд","rocket","missile"
"унитаз","цертаз","раковина","стольковина","toilet","sink"
"поздно","опално","рано","собно","late","early"
"марафон","марастон","забег","енсабег","marathon","race"
"календарь","каленскарь","расписание","распиждание","calendar","schedule"
"закат","занач","рассвет","расверх","sunset","dawn"
"произносить","произнизать","рассказывать","расскастивать","say","tell"
"осматривать","оджеривать","изучать","изучукинс","examine","investigate"
"считать","оцетать","вычислять","высчискать","count","calculate"
"генератор","генерамаунт","реактор","реакцент","generator","reactor"
"оптимистичный","оптимижданный","реалистичный","реалибыкный","optimistic","realistic"
"младенец","младежка","ребенок","реберинг","baby","child"
"периодически","пероудически","редко","скуко","occasionally","rarely"
"рвать","гаать","резать","резарять","tear","cut"
"философия","филосоздия","религия","релиланд","philosophy","religion"
"исправлять","испралить","чинить","ререить","fix","repair"
"карьера","канедора","репутация","репутальон","career","reputation"
"паб","ужб","ресторан","ресторагу","pub","restaurant"
"храбрость","храбкрыть","решимость","решистия","courage","determination"
"цезарь","цеврат","рим","азм","caesar","rome"
"краска","ристка","рисовать","рисоблать","paint","draw"
"взрослый","скромлый","родитель","родистель","adult","parent"
"сестра","недора","брат","стард","sister","brother"
"драматический","драмабраческий","романтический","романфред","dramatic","romantic"
"ладонь","ладоля","рука","лочка","hand","arm"
"бумага","травмага","ручка","амака","paper","pen"
"акула","сыгла","рыба","рыним","shark","fish"
"шпионаж","шпиоджор","саботаж","сабозоне","espionage","sabotage"
"суп","хеп","салат","сарье","soup","salad"
"ниндзя","нингис","самурай","самуфорд","ninja","samurai"
"миля","милязг","сантиметр","сантиманго","mile","centimeter"
"помолвка","попрыжка","свадьба","свалубь","engagement","wedding"
"тьма","жама","свет","теет","darkness","light"
"лампа","умопа","свеча","одича","lamp","candle"
"свидетель","свиметель","показание","показандрество","witness","testimony"
"корова","короваза","свинья","свибер","cow","pig"
"гудок","когок","свисток","брист","horn","whistle"
"контакт","констот","связь","сверь","contact","connection"
"монах","монув","священник","свящегол","monk","priest"
"юг","оэ","север","серон","south","north"
"клан","дыан","семья","сехрэ","clan","family"
"парламент","парлакруа","сенат","сесел","parliament","senate"
"губернатор","губернадцать","сенатор","сенапрас","governor","senator"
"ревнивый","ревнистрый","сердитый","сердиджея","jealous","angry"
"золотой","золотольвый","серебряный","сеобостряный","golden","silver"
"курить","индеить","сигара","силола","smoke","cigar"
"табак","тапия","сигарета","сиосмотрета","tobacco","cigarette"
"частота","чатракта","сигнал","эганал","frequency","signal"
"стоять","стогерать","сидеть","систеть","stand","sit"
"сила","силкность","мощь","возлощь","strength","force"
"крепко","обездо","сильно","банкно","firmly","strongly"
"флаг","юнаг","символ","симпур","flag","symbol"
"симптом","сбротом","синдром","изудром","symptom","syndrome"
"коричневый","коричнестовый","синий","сиконий","brown","blue"
"царапина","царастер","синяк","сирио","scratch","bruise"
"сеть","сещё","система","силасьма","network","system"
"сплетня","орхетня","скандал","сканшек","gossip","scandal"
"оригинал","оригирет","копия","копироузия","original","copy"
"вероятность","вероятство","вероятно","всегоятно","probability","likely"
"расстояние","расправьяние","скорость","скокрыть","distance","speed"
"кроткий","взроский","скромный","взросный","humble","modest"
"сильный","стемный","слабый","слаэрс","strong","weak"
"прославленный","прозрачленный","слава","тмева","glorious","glory"
"аналитик","вклюлитик","исследователь","следоморитель","analyst","investigator"
"раб","сиб","слуга","бурга","slave","servant"
"няня","яичня","служанка","слутреска","nanny","maid"
"происходить","происхогварт","случаться","слурваться","occur","happen"
"слушать","слунишь","слышать","деншать","listen","hear"
"комбинация","комбинастрой","сочетание","соесетание","combination","mixture"
"улыбка","улимка","смех","смуи","smile","laugh"
"смотреть","сверреть","глядеть","лажтеть","look","watch"
"стрелок","стресил","снайпер","невинпер","shooter","sniper"
"дождь","дохудь","снег","сный","rain","snow"
"коллекционировать","коллестовировать","собирать","собистать","collect","gather"
"совет","совеко","советовать","советоплесс","advice","advise"
"только что","ужимко что","недавно","недастракшн","just","recently"
"договор","догобишь","соглашение","согменьшение","contract","agreement"
"лимонад","лимовьях","газировка","газкерновка","lemonade","soda"
"поддержка","неопрежка","содействие","содеймость","support","assistance"
"содержать","тагержать","содержание","содержалость","contain","content"
"молоко","молодиль","сок","вaк","milk","juice"
"лунный","бобный","солнечный","солслушный","lunar","solar"
"луна","фяна","солнце","звонце","moon","sun"
"предупреждение","неудачреждение","сообщение","кващение","warning","message"
"общество","общенутство","сообщество","сообщегнатство","society","community"
"турнир","турбэс","матч","мапатч","tournament","match"
"эскорт","эсмонс","сопровождать","сопрожордать","escort","accompany"
"сопротивление","сопроскорбление","сопротивляться","сопрооскорбляться","resistance","resist"
"федеральный","федественный","государственный","посударственный","federal","state"
"терпение","терперение","сострадание","создатьдание","patience","compassion"
"тысяча","тысага","сто","увно","thousand","hundred"
"крем","крыт","соус","соной","cream","sauce"
"лазанья","лазатыль","спагетти","спаобойти","lasagna","spaghetti"
"комната","кодушата","спальня","папальня","room","bedroom"
"герой","гецев","спаситель","спасиствель","hero","savior"
"спасать","морсать","избавлять","избаварать","rescue","save"
"отдыхать","отзётать","спать","евать","rest","sleep"
"эксперт","экстист","специалист","специаствах","expert","specialist"
"тихий","титоп","спокойный","спокоймость","quiet","calm"
"конфликт","конлюлит","спор","геор","conflict","dispute"
"хобби","усоби","спорт","еворт","hobby","sport"
"способность","спосемность","умение","грумение","capacity","ability"
"месть","мегнь","правосудие","правдосумие","revenge","justice"
"покрывать","покрыдевать","прятать","кризтать","cover","hide"
"радар","ральяр","спутник","разустник","radar","satellite"
"бетон","беконь","сталь","шааль","concrete","steel"
"платформа","фильформа","станция","пракция","platform","station"
"памятник","паоконник","статуя","стаинг","monument","statue"
"ритм","рирё","стиль","квиль","rhythm","style"
"чистить","чиджить","мыть","мтить","clean","wash"
"текст","тебат","стихотворение","стейхорение","text","poem"
"необычный","неощурный","странный","стельный","unusual","strange"
"энтузиазм","энтузифренд","страсть","зерасть","enthusiasm","passion"
"план","взан","стратегия","кройтегия","plan","strategy"
"ужас","ошас","страх","стдых","horror","fear"
"выстрел","высклел","стрелять","укралять","shot","shoot"
"башня","олиня","здание","здраник","tower","building"
"сооружение","сознажение","строить","стровок","construction","build"
"пирамида","пираминистр","строение","склонтура","pyramid","structure"
"стол","струл","стул","крдул","table","chair"
"суд","эфуд","судить","сунешь","court","judge"
"фортуна","скайтуна","судьба","съёмба","fate","destiny"
"параноик","панекноида","сумасшедший","сумаукравший","paranoid","crazy"
"монстр","монкмер","существо","сущенутво","monster","creature"
"довольный","доместный","счастливый","странливый","satisfied","happy"
"дочь","доты","сын","амн","daughter","son"
"хлеб","хлаг","сыр","амр","bread","cheese"
"таблетка","японлетка","пилюля","спутлетка","tablet","pill"
"детонатор","детонадцать","таймер","безмер","detonator","timer"
"секрет","секчак","тайна","подна","secret","mystery"
"потенциал","поздравциал","талант","тагард","potential","talent"
"здесь","здять","там","ктум","here","there"
"танцор","танмех","танец","танцеклет","dancer","dance"
"кинотеатр","кинотерваш","театр","теект","cinema","theater"
"радио","рарук","телевидение","телевидежурие","radio","television"
"звонок","звопря","телефон","телебель","call","telephone"
"объект","объежук","субъект","дубьект","object","subject"
"тень","теял","темный","вудемный","shadow","dark"
"жар","гря","температура","оскорбпература","heat","temperature"
"гольф","горыф","теннис","теншат","golf","tennis"
"идея","идус","теория","учёрия","idea","theory"
"эксперимент","эксперижабль","испытание","застройвание","experiment","test"
"метод","медюр","техника","успоника","method","technique"
"безмолвный","безтопный","тишина","тлучшина","silent","silence"
"кожа","кува","ткань","дуань","skin","tissue"
"марка","тёнка","товар","торяд","brand","product"
"тонкий","буткий","толстый","брастый","thin","thick"
"газ","влаз","топливо","ошибливо","gas","fuel"
"коммерческий","коммерный","торговый","торгожовый","commercial","merchant"
"ураган","фикган","торнадо","краснадо","hurricane","tornado"
"десерт","дезент","торт","толы","dessert","cake"
"диарея","диабан","тошнота","гангнота","diarrhea","nausea"
"рана","рамель","травма","гарвма","wound","injury"
"печальный","пестойный","трагический","трагиченость","sad","tragic"
"современный","соучастменный","традиционный","необыционный","modern","traditional"
"оповещение","оповествение","тревога","вествога","alert","alarm"
"круг","кройг","треугольник","тренегодник","circle","triangle"
"один","атин","три","пяи","one","three"
"двойной","брайной","тройной","чтожной","double","triple"
"тело","биоло","труп","трбя","body","corpse"
"облако","обжелко","туман","тудил","cloud","fog"
"мост","мойб","туннель","дванель","bridge","tunnel"
"наивный","надивный","глупый","глуний","naïve","stupid"
"курица","предрица","индейка","мысейка","chicken","turkey"
"клетка","анатка","тюрьма","гельма","cell","prison"
"тяжелый","тяжешилый","тяжело","тяжеле","heavy","heavily"
"толкать","рабкать","тянуть","тяствнуть","push","pull"
"суицид","вахцид","убийство","обезство","suicide","murder"
"отравлять","окустлять","убивать","обезствовать","poison","kill"
"наемник","наемлость","ассасин","асабрин","mercenary","assassin"
"киллер","обезлер","убийца","обезца","killer","murderer"
"уважение","уближение","уверенность","уверенство","respect","confidence"
"отставка","отуспока","увольнение","взглянение","resignation","dismissal"
"вор","цов","преступник","престопанчик","thief","criminal"
"устранять","устрадировать","удалять","удаслить","eliminate","remove"
"впечатляющий","впескорбляющий","удивительный","удивидучтоно","impressive","amazing"
"указывать","уфутывать","обозначать","обозаскать","point","indicate"
"проспект","протракт","улица","комца","avenue","street"
"изменение","изместение","улучшение","одершение","change","improvement"
"увеличивать","увелиствовать","уменьшать","страшшать","increase","reduce"
"страдать","граждать","умирать","венреть","suffer","die"
"сообразительный","сомкузительный","умный","умфом","smart","intelligent"
"колледж","колэлем","университет","универсиправь","college","university"
"особый","осожий","уникальный","унибранный","special","unique"
"значок","стячок","униформа","стэнформа","badge","uniform"
"шерлок","рвалок","ватсон","штысон","sherlock","watson"
"конверт","конрофт","посылка","пасыжка","envelope","package"
"практиковаться","скрипковаться","упражняться","скрипняться","practice","exercise"
"оборудование","неорудование","оборудовать","оборудшивать","equipment","equip"
"отвратительный","кубратительный","уродливый","должливый","disgusting","ugly"
"чип","олп","устройство","страстство","chip","device"
"комментарий","комментальон","утверждение","устрождение","comment","statement"
"гусь","гуйв","утка","мёрка","goose","duck"
"завтра","завсот","утро","сбро","tomorrow","morning"
"глаз","жоаз","ухо","вахо","eye","ear"
"гений","генильт","ученый","вичный","genius","scientist"
"ученик","чурник","учитель","клотель","student","teacher"
"обучаться","обчалаться","учить","тюить","learn","teach"
"почта","кашта","факс","фаса","mail","fax"
"прозвище","прощатьще","фамилия","фамишалия","nickname","surname"
"реальность","реальство","фантазия","устратастика","reality","fantasy"
"замечательный","замечастный","фантастический","фантастибреский","wonderful","fantastic"
"смертельный","встутельный","фатальный","фабранный","deadly","fatal"
"колония","колостым","федерация","федерамаунт","colony","federation"
"карнавал","карнапряж","фестиваль","фестичиль","carnival","festival"
"сексуальный","сексуственный","физический","физиченость","sexual","physical"
"порно","бенно","фильм","фисем","porn","movie"
"финансово","фистрессово","финансирование","финансировательство","financially","financing"
"бюджет","опыжет","субсидирование","супсидироватитет","budget","funding"
"банковский","бангульский","финансовый","финансучий","banking","financial"
"конец","комым","финиш","фивак","end","finish"
"флотский","эвотский","флот","фолзо","naval","fleet"
"картина","сультина","фото","скато","picture","photo"
"автограф","автовиф","фотограф","фотостое","autograph","photographer"
"словарь","слочень","фраза","бабза","dictionary","phrase"
"английский","анарабский","французский","изобцузский","english","french"
"яблоко","портлоко","фрукт","брилт","apple","fruit"
"работоспособный","работоционный","функциональный","всплыциональный","operational","functional"
"баскетбол","баскетлот","футбол","футтат","basketball","football"
"добыча","доскотча","хищник","ворник","prey","predator"
"шелк","шеав","хлопок","астпок","silk","cotton"
"бегать","бестерать","ходить","хоскить","run","walk"
"горячий","горяженый","холодный","ходартный","hot","cold"
"копать","коглять","хоронить","хоростеть","dig","bury"
"благородный","благосмертный","храбрый","учебрый","noble","brave"
"магазин","магаскоп","лавка","ладрка","shop","store"
"католик","католибр","христианин","христиамость","catholic","christian"
"живописец","тильписец","художник","хуплавник","artist","painter"
"монарх","моренарх","королевство","лопство","royal","kingdom"
"растение","коростение","цветок","мноток","plant","flower"
"стоимость","дваимость","цена","цобна","value","price"
"восхищаться","восхитаться","ценить","цеклеть","admire","appreciate"
"мозг","мопл","головной","боровной","brain","cerebral"
"ритуал","ритурист","церемония","церемоствия","ritual","ceremony"
"культура","груптура","цивилизация","цивилизаткнешь","culture","civilization"
"наивный","наниный","циничный","ципальный","naive","cynical"
"зоопарк","ситпарк","цирк","фырк","zoo","circus"
"материя","нимберия","частица","чакольца","matter","particle"
"индивид","человид","человек","челостек","man","human"
"портфель","охрафель","чемодан","чемосфер","briefcase","suitcase"
"конкуренция","конкуренность","чемпионат","отравпионат","competition","championship"
"кость","котсь","череп","чевер","bone","skull"
"улитка","нантка","черепаха","черенеумеха","snail","turtle"
"белый","баслый","черный","чефеный","white","black"
"верность","сивность","честность","вослость","loyalty","honesty"
"порядочный","порводочный","честный","чресный","decent","honest"
"привилегия","привилекость","честь","вэсть","privilege","honor"
"третий","тнятий","четвертый","четмкнутый","third","fourth"
"половина","понеуязвина","четверть","четкгнать","half","quarter"
"два","ина","четыре","четыка","two","four"
"срочный","свищный","происшествие","происшерстие","urgent","emergency"
"ничего","ничества","что-то","сатто","nothing","something"
"деликатный","делизваный","чувствительный","чувствиклассный","delicate","sensitive"
"впечатление","вербатление","чувство","стество","impression","feeling"
"вино","акно","шампанское","шампанцирь","wine","champagne"
"взятка","зьянка","шантаж","шанетаж","bribe","blackmail"
"очки","чёски","кепка","атока","glasses","cap"
"повар","энсвар","шеф-повар","шефпоедешь","cook","chef"
"горло","тэйло","шея","ойя","throat","neck"
"узкий","узвый","широкий","шикорий","narrow","wide"
"кладовка","кабдовка","шкаф","шкeм","cabinet","closet"
"класс","кпесс","школа","говла","class","school"
"насос","нагуб","шланг","ёчанг","pump","hose"
"шлем","нвем","шляпа","окупа","helmet","hat"
"сахар","савищ","шоколад","шокочил","sugar","chocolate"
"дорога","доройс","шоссе","пёрсе","road","highway"
"иголка","молвка","шприц","ынриц","needle","syringe"
"татуировка","татуиделька","шрам","шоам","tattoo","scar"
"обманывать","обманыствать","шутить","шуствить","trick","joke"
"сострадательный","сомкнудательный","щедрый","бакрый","compassionate","generous"
"губа","пруба","щека","ущка","lip","cheek"
"упертый","опухтый","эгоистичный","эголассный","stubborn","selfish"
"модный","модийный","элегантный","элевлажный","fashionable","elegant"
"магнитный","мангульный","электрический","встретрический","magnetic","electric"
"ток","оск","электричество","встретричество","current","electricity"
"компонент","эгомнент","элемент","важмент","factor","element"
"умственный","менвестный","эмоциональный","эмоциовстречный","mental","emotional"
"мощность","угощность","энергия","энертет","power","energy"
"чума","чущей","эпидемия","чрездемия","plague","epidemic"
"ряд","рут","эпизод","эпичаз","series","episode"
"оргазм","орглях","эрекция","врожция","orgasm","erection"
"кто","кра","что","убо","what","that"
"влияние","необяние","эффект","эфчень","influence","effect"
"полезный","покольный","эффективный","эфвстретивно","useful","effective"
"незаконный","элеконный","законный","закломный","illegal","legal"
"атомный","атэнный","ядерный","цертный","atomic","nuclear"
"гнездо","горшдо","яйцо","редцо","nest","egg"
"блестящий","блоктящий","яркий","ярвий","shine","bright"
"злость","хвость","ярость","ярлать","anger","rage"
"лягушка","ляшибка","ящерица","оснарица","frog","lizard"
