"fa_cue","fa_fake_cue","fa_target","fa_fake_target","en_cue","en_target"
"راز","نگز","معما","معاق","secret","mystery"
"راضی","رايز","خوشحال","خودمال","satisfied","happy"
"رانندگی کردن","رااون","راندن","سوارجاردن","drive","ride"
"راهب","راقۀ","اسقف","دزلی","bishop","cardinal"
"راهب","راقۀ","کشیش","کشتا","monk","priest"
"ربات","پتات","دستگاه","بلتگاه","robot","machine"
"رد کردن","ردمهردن","پذیرفتن","فترنپ","refuse","accept"
"رژ لب","رژلبب","عطر","يجر","lipstick","perfume"
"رسما","فلما","رسمی","تحمی","officially","official"
"رسیدن","تحیدن","آمدن","فيا","arrive","come"
"رشوه","اغوه","باج ‎‌گیری","جرگب","bribe","blackmail"
"رعد","نگبرق","برق","رعیایو","lightning","thunder"
"رقابت","بیابت","قهرمانی","نجرمانی","competition","championship"
"رقصنده","چوصنده","رقص","صیص","dancer","dance"
"ضبط","ويورد","ضبط کردن","دغط","record","recording"
"آبجو","مف","مشروب","گلیاک","rum","cognac"
"رمز","يکز","کلمه عبور","کلمهرلبور","code","password"
"رنج کشیدن","رنهابردن","مردن","مرشه","suffer","die"
"رنج","رنانکشیدن","درد","هيد","suffering","pain"
"رنگ قهوه ای","قهوهرأی","آبی","فسی","brown","blue"
"رنگ کردن","رنپاکردن","نقاشی کشیدن","قرعهدنشی","paint","draw"
"روباه","رودـه","خرگوش","آلگوش","fox","rabbit"
"روح","لاح","روان","اورن","soul","spirit"
"رودخانه","رولاانه","دریاچه","دریادی","river","lake"
"روزانه","رورينه","هفتگی","گشتگی","daily","weekly"
"روزنامه نگاری","روزنامتجنگاری","سیاست","مراست","journalism","politics"
"روش","یدش","تکنیک","تکميک","method","technique"
"لیلی","آزمو","ژولیت","املیت","romeo","juliet"
"رومی","رووم","یونانی","هانانی","roman","greek"
"روند","کاند","روش","یدش","process","procedure"
"ریتم","ریقا","سبک","يرک","rhythm","style"
"زامبی","زادقی","خون آشام","شمانخ","zombie","vampire"
"زباله","زبالكيها","آشغال","صناله","trash","garbage"
"زخم","زخمیدیردن","جراحت","صدرو","wound","injury"
"زغال سنگ","زغالپینگ","روغن","روژی","coal","oil"
"فرود آمدن","دوفران","پرواز کردن","پرریز","land","fly"
"زمین لرزه","زمینینرزه","انفجار","انسیار","earthquake","explosion"
"زنبور عسل","زنبوشکعسل","مورچه","مودکه","bee","ant"
"زنجیر","زنتگر","طناب","ضماب","chain","rope"
"زنده","زنست","مرده","مرست","alive","dead"
"زندگی کردن","زنست","زنده ماندن","زنده ماناپ","live","survive"
"زنگ زدن","زنابزدن","تلفن","فلتن","call","telephone"
"زنگ زده","زنیخزده","خاکی","گرلوب","rusty","dusty"
"زیردریایی","جمردریایی","قایق","قاكس","submarine","boat"
"ژست","تسژ","کردار","عموجکردن","gesture","act"
"ژنراتور","عدراتور","راکتور","چيکتور","generator","reactor"
"مرداد","ژولا","شهریور","دیلای","june","july"
"سؤال","لسوال","پرسیدن","سیرپدن","question","ask"
"ساحل","ساحلضرریا","دریا کنار","سالآ","beach","coast"
"ساخت و ساز","اخس و زاس","ساختن","ساسين","construction","build"
"درست کردن","ساسين","انجام دادن","مجاح","make","do"
"ساکت","سایس","آرام","اروپش","quiet","calm"
"سالگرد","سادهرد","روز تولد","روحزت","anniversary","birthday"
"سالم","سانن","معمولی","معموهب","healthy","normal"
"ساندویچ","سانديچچ","همبرگر","همبرسم","sandwich","hamburger"
"سایه","ونیه","تاریک","تالاک","shadow","dark"
"سبز","گنز","نارنجی","نارنزو","green","orange"
"سپاسگزار","آیاسگزار","تشکر کردن","متصلرم","grateful","thank"
"آبان","سپتايار","آذر","اکمپر","september","october"
"سپر","یمر","زِرِه","زرجتپوش","shield","armor"
"سخت","سخنشاست","دشوار","ربت","tough","hard"
"سخن","خمن","خطبه","جیبه","speech","sermon"
"سر و صدا","سرجی قدا","صدا","حها","noise","sound"
"سرانجام","سرانرشم","در نهایت","دريوهایت","finally","eventually"
"سرباز","سرترز","جنگجو","جنآشو","soldier","warrior"
"سرفه","سرفهمىردن","تب","اص","cough","fever"
"سرقت","چوقت","دزدی","نوقت","theft","robbery"
"سرگرمی","سرگراه","ورزش","وررس","hobby","sport"
"پایتخت","سرمایهیهپایتخت","شهر","بتر","capital","city"
"تقدیر","تدیرق","سرنوشت","اينوشت","fate","destiny"
"سرویس","سرحاس","نگهداری","کشهداری","service","maintenance"
"سزار","دسزار","رم","صو","caesar","rome"
"سزاوار","سزاورن","ارزشمند","ارزشتاد","deserve","worthy"
"سس گوجه","سسبروجه","مایونز","مااينز","ketchup","mayonnaise"
"سفارت","نوارت","وزارتخانه","وزارهدانه","embassy","ministry"
"سفید","فلید","سیاه","دشاه","white","black"
"سفیر","رجیر","وزیر","وزاب","ambassador","minister"
"سقوط","سقسف","فروپاشی","شپافر","fall","collapse"
"سکو","گمو","ایستگاه","ایارگاه","platform","station"
"سگ","رۀ","گربه","گروگ","dog","cat"
"سلام","زيام","خدا حافظ","خدا حاثم","hello","bye"
"سلامتی","سلدستی","تحصیلات","تحزيلات","health","education"
"سلسله","سلقوه","امپراتوری","امپريشوری","dynasty","empire"
"سریال","سلقوه","قسمت","عشمت","series","episode"
"سلطنتی","سلسرتی","پادشاهی","پارااهی","royal","kingdom"
"سلول","سلدر","زندان","تعدان","cell","prison"
"سم","یقی","کشتن","نگتن","poison","kill"
"سمینار","سميهار","سخنرانی","سخابانی","seminar","lecture"
"سنجاب","سنديب","راکون","راتتن","squirrel","raccoon"
"سنسور","موسور","فرستنده","فرستيمه","sensor","transmitter"
"صخره","خرصه","سنگ","بپگ","rock","stone"
"سنگین","سنينن","به شدت","بهطردت","heavy","heavily"
"سواره نظام","سواركسنظام","توپخانه","توعنانه","cavalry","artillery"
"سوپ","راپ","سالاد","ساکند","soup","salad"
"سوپرمن","شنورمن","بتمن","کسمن","superman","batman"
"سود","وسد","درآمد","دردند","profit","income"
"آمپول","سوبش","سرنگ","نانگ","needle","syringe"
"سوگند","سولود","قسم","مسق","swear","oath"
"سومین","ئيم","چهارمین","چهارغون","third","fourth"
"سیاره","لياره","مدار","دموار","planet","orbit"
"سیب","جعب","میوه","میپا","apple","fruit"
"سیب زمینی","سیرمزمینی","گوجه فرنگی","گوجهديرنگی","potato","tomato"
"سیر","مبر","پیاز","ملاز","garlic","onion"
"تکامل","سیفاتکاملی","جهش","ظرش","evolution","mutation"
"سیمان","سینگن","پلاستیک","اخاستیکی","cement","plastic"
"سینما","سیخدا","تئاتر","صراتر","cinema","theater"
"گلوله","ولگه","شلیک","نتیک","shot","shoot"
"شاعر","شابط","نویسنده","نوترنده","poet","writer"
"شام","فيم","صبحانه","صبجونه","dinner","breakfast"
"فرصت","شانسختفرصت","امکان","نکام","chance","possibility"
"شانه","قانک","زانو","آزنو","shoulder","knee"
"شاهد","شانج","شهادت","شهدمت","witness","testimony"
"پرنسس","سسنپ","شاهزاده","شاتفاده","princess","prince"
"شاید","شابه","احتمالاً","محلتم","maybe","probably"
"شایعه","شايمات","رسوایی","ايوایی","gossip","scandal"
"شب","ضی","عصر","ثر","night","evening"
"شبکه","عزکه","سیستم","ندستم","network","system"
"شجاعت","شجييت","عزم","مقم","courage","determination"
"شخص","کبص","فرد","کبصی","person","individual"
"داداش","کبص","برادر","برافروسان","dude","bro"
"شخصی","کبصی","صمیمی","لزیمی","personal","intimate"
"سیرت","شخشدت","شخصیت","شخبتت","character","personality"
"شراب","شرشت","شامپاین","شاهااین","wine","champagne"
"شرکت","شریس","آژانس","جرانس","firm","agency"
"کمپانی","پمکنی","اداره","رهدرا","company","corporation"
"مولانا","شروطک","شمس","وایکون","sherlock","watson"
"شریف","شرصد","شجاع","قفاع","noble","brave"
"شعاع","شعدز","محیط","محژت","radius","perimeter"
"جادو","ودج","جادوگر","جادوسم","magic","wizard"
"شک","صم","مشکوک شدن","کوشدکن","doubt","suspect"
"شکار","فدار","شکارچی","فدارچی","prey","predator"
"صید کردن","دصید","ماهیگیری","ماگرگیری","hunting","fishing"
"شکایت","غرایت","اتهام","کمهام","complaint","accusation"
"شگفت انگیز","شگفترینگیز","خارق العاده","خارقينلعاده","wonderful","fantastic"
"شمردن","گيردن","محاسبه","محلهبه","count","calculate"
"شمشیر","شمثار","چاقو","چاگس","sword","knife"
"شنبه","شندش","یکشنبه","یکشندش","Saturday","Sunday"
"شنوایی","ناوایی","آزمایش","زامایش","hearing","trial"
"شهرستان","ابرستان","ناحیه","نانسه","county","district"
"شواهد","هشبات","مدرک","درمک","evidence","proof"
"شوخ","ليخ","بامزه","خندهوسار","witty","funny"
"شوهر","شولس","زن","همئو","husband","wife"
"شیپور","شیيگر","سوت","سوچيزدن","horn","whistle"
"شیر","یتر","آب میوه","آبدریوه","milk","juice"
"دریچه","شیر فلود","تهویه","دئویه","valve","ventilation"
"دلنشین","هورین","جذاب","ذجداب","sweet","cute"
"شیشه","شیان","بطری","تدری","glass","bottle"
"شیمیایی","شیشهایی","زیستی","بیولوژمتی","chemical","biological"
"صبر","ونر","دلسوزی","سزوید","patience","compassion"
"صبر","صباحکن","انتظار","اندوار","wait","expect"
"بیمار","فرور","مراجع","مشنهی","patient","client"
"صحبت کردن","قهبت","حرف زدن","گفبت","talk","speak"
"صدا","یقا","لهجه","رؤجه","voice","accent"
"صدراعظم","عامظ","رئيس جمهور","میس همدور","chancellor","president"
"صفحه نمایش","صفحهکتمایش","مانیتور","ماسنتور","screen","monitor"
"صلاحیت قضایی","صلاحیترمضایی","قدرت","پنرت","jurisdiction","authority"
"اقیانوس آرام","تقیونوس طلاس","اقیانوس اطلس","اقیانويتاطلس","pacific","atlantic"
"صنعت","ژاعت","کسب و کار","کسب کپکار","industry","business"
"ضمانت","رقانت","قول","فجده","guarantee","promise"
"طاعون","طاگلن","همه‌ گیری","بیماریتکمه گیر","plague","epidemic"
"طبیعی","طبگلی","ساختگی","سابچگی","natural","artificial"
"طرح","بیح","برنامه","برنارو","project","program"
"برنامه","مهنب","راهبرد","راهبيا","plan","strategy"
"طعم","مظع","بو","یز","taste","smell"
"طلاق","طلزت","ازدواج","ازدومر","divorce","marriage"
"طلایی","زتدای","نقره اي","قفدن","golden","silver"
"مسخره","هدسم","کنایه آمیز","طوجون","irony","ironic"
"طوفان","فنفان","گردباد","گردبیر","hurricane","tornado"
"ظرفیت","ظرکيت","توانایی","توانشنی","capacity","ability"
"ظریف","ظرصي","حساس","تقاس","delicate","sensitive"
"عادی","بیدی","معمولی","معموهب","ordinary","usual"
"ممتاز","تزام","عالی","پسلی","excellent","great"
"مأمور","پسمل","کاراگاه","کاراميه","agent","detective"
"عامل","پسمل","عنصر","وفصر","factor","element"
"ناتوانی","مبز","عاجز","قادرمحبود","inability","unable"
"شماره","لبد","نشانی","تمانی","number","address"
"عذاب","خصاب","شکنجه","شکصله","torment","torture"
"عرصه","عرضگ","میدان جنگ","میداقشجنگ","arena","battlefield"
"عروسک","عردیک","اسباب بازی","اسباضابازی","doll","toy"
"نوزاد","عزتام","کودک","کوقد","baby","child"
"عسل","یخل","کره","هنه","honey","butter"
"عصب","ریب","ماهیچه","ماهیئت","nerve","muscle"
"عضو","اخو","رهبر","رهئي","member","leader"
"عالی جناب","نجعای","حضرت","بزقای","majesty","highness"
"علامت بیماری","علريت","سندرم","سنرشم","symptom","syndrome"
"شیمی","شیطو","زیست","زیسترلناسی","chemistry","biology"
"عمل کردن","عموزکردن","عمل جراحي","عمل جرپزي","operate","surgery"
"عملیاتی","عماباتی","کاربردی","زکاری","operational","functional"
"عمو","معو","بابا","باگه","uncle","dad"
"ژنرال","عمتنی","سرهنگ","سرسبگ","general","colonel"
"عنکبوت","وفکبوت","حشره","رهشز","spider","insect"
"عینک","زحنک","کلاه لبه دار","کلاهيوبه دار","glasses","cap"
"غاز","تلز","اردک","ارچن","goose","duck"
"غذا","تبا","وعده غذایی","زعدایی","food","meal"
"غرب","سوف","شرق","ویق","west","east"
"غرق شدن","غروششدن","شنا کردن","شنچیکردن","drown","swim"
"غروب خورشید","غروبوشورشید","سپیده دم","گریده دم","sunset","dawn"
"غرور","نيور","احترام","کرريت","pride","dignity"
"غریزه","گییزه","بینش","زانش","instinct","intuition"
"غلات","لثات","ارد","تند","grain","flour"
"غمگین","ترگین","غم انگیز","غمچينگیز","sad","tragic"
"غیر مجاز","دئرتماز","مجاز","اباز","illegal","legal"
"غیر معمول","غیر معیال","عجیب","صحیب","unusual","strange"
"غیر ممکن","غیابممکن","آسان","خيان","impossible","easy"
"غیر منطقی","غیر منچشی","وظیفه نشناس","پتیفه نشناس","unreasonable","irresponsible"
"دست سازه","زهست","گردن بند","خجال","artifact","medallion"
"دوره","شيز","مرحله","حلمره","phase","period"
"مسافت","فاطيه","سرعت","سرتس","distance","speed"
"پرونده","فاقه","مدرک","بپد","file","document"
"فدرال","گذرال","دولت","دودا","federal","state"
"فر","عي","اجاق گاز","اجاقیشاز","oven","stove"
"یاد گرفتن","فربتگرفتن","تدریس کردن","تدریدجکردن","learn","teach"
"فرار کردن","فراتلیردن","در رفتن","درطيفتن","flee","escape"
"فراموش کردن","نظاموش کردن","به یاد آوردن","یاینآوردن","forget","remember"
"فرد مشهور","فرنرمشهور","ستاره","ستنده","celebrity","star"
"فردا","فرلت","صبح","جيح","tomorrow","morning"
"فرزند","سپنر","پسر","خنتر","daughter","son"
"فرشته","فرميه","شیطان","شیگدن","angel","devil"
"فرکانس","زشکانس","علامت","کیامت","frequency","signal"
"فرم","زام","امضا","امضابنکردن","form","sign"
"فرمان","فرلين","سفارش","مزارش","command","order"
"فرماندار","فرانندار","سناتور","صداتور","governor","senator"
"فرمانده","فرمااره","کاپیتان","کاشتتان","commander","captain"
"فرهنگ","فریبگ","تمدن","ييدن","culture","civilization"
"فرهنگ لغت","هگنر سپت","عبارت","نتارت","dictionary","phrase"
"فروتن","فرهون","متواضع","ضعوات","humble","modest"
"فرود","فرودتخمدن","پرواز","پرریز","landing","flight"
"فروشنده","فرتبنده","خریدار","آلیدار","seller","buyer"
"استرس","سترات","افسردگی","افسربلی","stress","depression"
"فشار دادن","فشاروشادن","کشیدن","کشهمن","push","pull"
"فضانورد","رژانورد","خلبان","آتبان","astronaut","pilot"
"فعال","کهال","فعالیت","فعالمن","active","activity"
"فعال کردن","فعالفعردن","ارائه دادن","ارائــدادن","enable","provide"
"فقر","شغر","بدبختی","بدمیتی","poverty","misery"
"الان","وفط","به تازگی","به تباگی","just","recently"
"فقیر","عنیر","ثروتمند","رخوتمند","poor","rich"
"چاپلوسی کردن","فلفکر","تاثیر گذاشتن","تاثیارگذاشتن","flatter","impress"
"فلسفه","فلكله","مذهب","مذدث","philosophy","religion"
"فن آوری","فندهوری","علم","علوميوایه","technology","science"
"فنجان","فنمین","قهوه","صحوه","cup","coffee"
"فنی","عتی","مکانیکی","نفانیکی","technical","mechanical"
"حقه","فورآو فن","شوخی","شوخیتوردن","trick","joke"
"فوری","ستری","اضطراری","گسطراری","urgent","emergency"
"فراطبیعی","فوقايدادهای","ماوراطبیعی","ماوراء الطبیدر","supernatural","paranormal"
"فیزیک","فیونک","ریاضیات","ریاضيدت","physics","mathematics"
"قاتل","قااج","آدمکش","قااط","killer","murderer"
"قاشق","شقیف","چنگال","چنبول","spoon","fork"
"قاعده","ذعقد","پروتکل","پروتيه","rule","protocol"
"قانون","تونون","قانون اساسي","قانوپیاساسي","law","constitution"
"قبر","افر","قبرستان","یترستان","grave","cemetery"
"قبلاً","ذلقب","هنوز","هندر","already","still"
"قبیله","قبشیه","خانواده","جونواده","clan","family"
"قدرت","قدنا","انرژی","انزگی","power","energy"
"پیر","قدتای","جوان","وجان","old","young"
"قرارداد","قرارييد","توافق","توضیق","contract","agreement"
"قربانی","قربازد","حمله کننده","حملهسگننده","victim","attacker"
"قرمز","قرتل","زرد","دلز","red","yellow"
"قرن","صین","دهه","دهبکاله","century","decade"
"قصر","طتر","قلعه","عهقل","palace","castle"
"قطار","طراث","اتوبوس","اتپيوس","train","bus"
"قطب نما","قطالنما","نقشه","نقرا","compass","map"
"قطره","عجره","جرعه","وبز","drop","sip"
"قطعه","عجعه","تکه","کجعه","fragment","piece"
"قفل شده","خصل","بسته","كاته","locked","closed"
"قمار","صراس","ورق بازی","پوين","gambling","poker"
"قمری","سرری","شمسی","خوبمیدی","lunar","solar"
"قند","اذد","شکلات","پالات","sugar","chocolate"
"مبارز","رزاب","جنگنده","جنسیده","champion","fighter"
"قهرمان","صحرمان","ناجی","جنیب","hero","savior"
"قورباغه","قولناغه","مارمولک","ماسکولک","frog","lizard"
"قوی","ضای","ضعیف","ضعمس","strong","weak"
"کائنات","کائنوس","کهکشان","کهاتان","universe","galaxy"
"کابل","کائي","سیم","يسم","cable","wire"
"کابوس","کادیس","رویا","رولش","nightmare","dream"
"کابین","کاونن","عرشه","اقشه","cabin","deck"
"کابینت","کابیاو","کمد لباس","کماطلباس","cabinet","closet"
"کاتولیک","يستولیک","مسیحی","مسکجی","catholic","christian"
"شغل","غشل","کار","ستر","job","work"
"کارخانه","کاگمانه","تولید","توهيد","factory","production"
"کارشناس","کامعناس","متخصص","متصيص","expert","specialist"
"کارگاه","گرکاه","گاراژ","خوراژ","workshop","garage"
"کارناوال","کارناوتی","جشنواره","رجنواره","carnival","festival"
"کاسه","کابا","بشقاب","صفرث","bowl","plate"
"کاغذ","کاذه","خودکار","خوتیار","paper","pen"
"کافی","کارس","بس","تس","enough","sufficient"
"کالبد شکافی","کایلد","تحلیل","لحتیز","autopsy","analysis"
"دهانه تفنگ","کالولش","گلوله","گلرـه","caliber","bullet"
"کاملا","کايتا","به طور کامل","بهباور","absolutely","completely"
"کاناپه","کاناشي","تخت","چکتر","sofa","bed"
"کانال","کامپل","اخبار","پلبار","channel","news"
"کپسول","وصسول","پویشگر","پوپاگر","capsule","probe"
"قرآن","راقن","کتاب","کتیر","bible","book"
"کتابخانه","کتچرخانه","موزه","گيزه","library","museum"
"کثیف","کثوع","چندش آور","نيدش آور","dirty","disgusting"
"کربن","کررل","هیدروژن","شمدروژن","carbon","hydrogen"
"کرم","زام","مار","رتر","worm","snake"
"خامه","مخراه","سس","سبش","cream","sauce"
"نوروز","کریسصد","تعطیلات","تعفول","christmas","holiday"
"سود","کسموکردن","پیروزی","پیروحي","gain","win"
"کش رفتن","کشتلفتن","دزدیدن","زررت","steal","rob"
"کشور","نگور","ملت","ضات","country","nation"
"کف","ژا","فرش","وجش","floor","carpet"
"کلاس","هااس","مدرسه","مدیمه","class","school"
"کلانتر","کلانید","شهردار","شهباار","sheriff","mayor"
"کلاه ایمنی","کلاهلشیمنی","کلاه","هااه","helmet","hat"
"کلمه","تلها","جمله","زیله","word","sentence"
"کلید","کلتش","قفل","نذل","key","lock"
"مسجد","کلــا","نمازخانه","چالر","church","chapel"
"کلیه","رتیه","کبد","تعد","kidney","liver"
"کم","زش","زیاد","اراد","low","high"
"کمترین","دهترین","بیشترین","بینمرین","minimum","maximum"
"کمک کردن","جشک","یاری رساندن","کمریکردن","help","assist"
"کمیسیون","کمیسجان","کمیته","کمعیه","commission","committee"
"کنترل","کناتل","دستکاری","دستکارفـکردن","control","manipulate"
"کنفرانس","کندوانس","ملاقات","ملدهات","conference","meeting"
"کوتاه","کورخه","بلند","طورکنی","short","long"
"کور","شگر","کر","يز","blind","deaf"
"کوسه","کورب","ماهی","ندهی","shark","fish"
"کوکائین","کوکايان","هروئین","هرهنین","cocaine","heroin"
"کویر","کوکل","دره","يته","desert","valley"
"کیف","دلف","چمدان","تادان","briefcase","suitcase"
"کیلو","تولو","گرم","علام","kilo","gram"
"کیلومتر","اسلومتر","متر","تمر","kilometer","meter"
"گارسون","يپرسون","پیشخدمت","پیشخنست","waiter","waitress"
"گاز","شيز","سوخت","سولن","gas","fuel"
"گالری","گاپای","نمایشگاه","نمایتشاه","gallery","exhibition"
"گاهی","هگی","به ندرت","به نومت","occasionally","rarely"
"بعضی وقت ها","گايت","غالبا","کيلبا","sometimes","often"
"گاو","يجو","خوک","غلک","cow","pig"
"گران","تاان","ارزان","اراين","expensive","cheap"
"گرسنگی","گردرگی","تشنگی","تشيهی","hunger","thirst"
"آوردن","دروان","ارسال","ارچيل","bring","send"
"قاپیدن","پقیدن","گرفتن","گريين","grab","catch"
"گرم","لیم","سرد","لبد","warm","cool"
"گروگان","گرافان","زندانی","تعدانی","hostage","prisoner"
"گروهبان","گراشبان","ستوان","زهوان","sergeant","lieutenant"
"گزارش دادن","خیارش","به اطلاع رساندن","به اطلاعیاساندن","report","inform"
"گفتگو","گفاخو","بحث","کهث","conversation","discussion"
"گفتن","عجتن","بیان کردن","قهتن","say","tell"
"گل و لای","وتبای","شن","تع","mud","sand"
"گلف","رپف","تنیس","تنکت","golf","tennis"
"گلو","فمو","گردن","گرشه","throat","neck"
"گناه","آواه","جرم","نسم","sin","crime"
"گنج","جيج","ثروت","ضدوت","treasure","wealth"
"غذا","چمدال","رستوران","تحتوران","pub","restaurant"
"گوش دادن","گويشکنید","شنیدن","شنمین","listen","hear"
"گوشت خوک","خفش","گوشت","گوبی","pork","meat"
"گوشه","بدشه","کوچه","کوکت","corner","alley"
"گیاه","طلاه","گل","عي","plant","flower"
"لازانیا","لازاکيا","ماکارونی","شيکارونی","lasagna","spaghetti"
"لازم","لایس","نیاز داشتن","نیازاحاشتن","necessary","need"
"نازک","لاثی","ضخیم","خضیم","thin","thick"
"لامپ","پلام","شمع","شمتمشمع","lamp","candle"
"لانه","لامو","تخم مرغ","تخايمرغ","nest","egg"
"لایه","ودیه","سطح","وتح","layer","surface"
"لب","نج","گونه","نهگ","lip","cheek"
"لبخند","لبناد","خنده","هسده","smile","laugh"
"لذت","وجت","شادی","شارد","pleasure","joy"
"زن همجنس گرا","ژيبین","مرد همجنس گرا","غرج کردن","lesbian","gay"
"سپاه","پهراس","ارتش","ارید","legion","army"
"نفرین","صلنت","جادوگر","جادوسم","curse","witch"
"لنگر","لنوت","دریانوردی","سفسطدریایی","anchor","sail"
"لیگ","شهگ","تیم","چنم","league","team"
"لیموناد","لیکاناد","نوشابه","جوکنشیرین","lemonade","soda"
"مادر","ماول","پدر","فتر","mother","father"
"ماراتن","مايختن","مسابقه","مسابجا","marathon","race"
"راه انداختن","خاتندن","فعال کردن","حکال","trigger","activate"
"مافیا","مانچا","اتحادیه","کائيل","mafia","cartel"
"ماندن","مادان","اقامت کردن","قمتام","stay","remain"
"مانع","عنامت","چالش","گته","obstacle","challenge"
"مهتاب","نجه","آفتاب","زبتاب","moon","sun"
"ماه","نجه","هفته","يسته","month","week"
"ماهی تن","ماهیدسن","خرچنگ","خربزگ","tuna","lobster"
"موش","سونت","موش صحرایی","ژنرایی","mouse","rat"
"مایع","ماگد","سیال","لیاس","liquid","fluid"
"مایل","ماوش","سانتی متر","سانتششمتر","mile","centimeter"
"مایه تاسف","مایهسماسف","بد شانسی","بدزهانسی","unfortunate","misfortune"
"مبارزه کردن","مبارزهعدن","جنگیدن","گنخیدن","combat","fight"
"متن","نکین","شعر","يبر","text","poem"
"مثبت","قیبت","منفی","مناي","positive","negative"
"مجازات","ابازات","زندان","تعدان","penalty","imprisonment"
"مجلس","کالس","سِنا","مجلسدننا","parliament","senate"
"مجموع","فهموع","مقدار","میونن","sum","amount"
"محافظت","محافیث","دفاع","كراع","protect","defend"
"محافظه کار","محافظهئزار","لیبرال","لیبرهن","conservative","liberal"
"محبوب","محعصب","معروف","توروف","popular","famous"
"باریک","کبریک","پهن","وسچت","narrow","wide"
"محکم","محئه","به شدت","بهطردت","firmly","strongly"
"محل","صال","مکان","یکل","place","location"
"محیط","محثن","اتمسفر","اتمسمد","environment","atmosphere"
"مخاطب","مخچوب","ارتباط","ارتبمز","contact","connection"
"مخالف","نفالف","متضاد","ضدمتد","opposite","contrary"
"مخزن","گيزن","موتور","انتور","tank","engine"
"مد روز","مداپوز","شیک","کیشر","fashionable","elegant"
"مدل","اخل","نمونه اولیه","نمونگراولیه","model","prototype"
"مدنی","جمنی","نظامی","نظرهی","civil","military"
"مدیر","مداب","رئيس","چسيس","manager","boss"
"مدیریت","مدامیت","دولت","دودا","administration","government"
"ریاست","مدامیت","اداری","حراری","management","administrative"
"تشریفات","ریفشریت","مراسم","اساسم","ritual","ceremony"
"مربی","مربیرچرزشی","بازیکن","باارکن","coach","player"
"مرد","ئيد","انسان","انشين","man","human"
"مرگ","نيگ","ناپدید شدن","ناپدیدفادن","death","disappearance"
"مرگبار","مريزار","کشنده","نگنده","deadly","fatal"
"مریخ","ریخمن","زهره","هرنه","mars","venus"
"مزدور","مزاير","قاتل","قااط","mercenary","assassin"
"کشاورز","مزرعلبدار","کارگر","کاشار","farmer","worker"
"مسئوليت","مسئوورت","وظیفه","وظشمه","responsibility","duty"
"مسابقات","مسابالت","رقابت","ثبرات","tournament","match"
"مسافر","مسنلر","راننده","راننست","passenger","driver"
"مستاجر","انتاجر","صاحب خانه","صاحبقتانه","tenant","landlord"
"مستعمره","مستعشبه","اتحادیه","فدراجعون","colony","federation"
"مستقیم","مسابیم","به طور مستقیم","بهوور قسمین","direct","directly"
"مسخره","خردنده","چرند","آبند","ridiculous","absurd"
"مسیر","مسبی","راه","رته","route","path"
"مشابه","شبامته","متفاوت","متهمسان","similar","different"
"توصیه","مشاوبر","نصیحت کردن","توسده","advice","advise"
"مشخصات","مشاوات","توصیف","بیح","profile","description"
"مشکل","مشگن","مسئله","مسگـه","trouble","problem"
"بررسی","معکونه","بازرسی","باردسی","examination","inspection"
"بررسی کردن","معاینهجفردن","تحقیق کردن","فلقیق کردن","examine","investigate"
"معبد","معئل","صومعه","صويخه","temple","monastery"
"معده","معاي","قفسه سینه","بطسه سیخه","stomach","chest"
"معشوقه","معشوجا","عاشق","عاشقآگدن","mistress","lover"
"معمول","معیال","کلاسیک","هااسیک","typical","classic"
"معنی","معدي","اهمیت","اهیست","meaning","importance"
"مغازه","مغيره","فروشگاه","فرهنگاه","shop","store"
"مغرور","ويرور","هیجان زده","براننپخته","proud","excited"
"مغز","هسز","مخ","خنرد","brain","cerebral"
"مغناطیسی","مغنااسسی","برقی","فيق","magnetic","electric"
"مفهوم","مفبتم","تعریف","شوریف","concept","definition"
"مفید","راید","تاثير گذار","تادمر ذارگ","useful","effective"
"مقاله","گناله","روزنامه","روکرامه","article","newspaper"
"مقاومت","جکاومت","مقاومت کردن","مقاومتلهردن","resistance","resist"
"ارزش","دندار","قیمت","لرمت","value","price"
"کوچولو","چلوکو","کم","کمنوهمیت","little","small"
"مکیدن","دکیمن","لیسیدن","سبودیتن","suck","lick"
"ملکه","پسکه","پادشاه","پارااه","queen","king"
"ملی","ومی","جهانی","یوانی","national","global"
"ممنوع","اقنوع","ممنوع کردن","عنوقب","forbidden","prohibit"
"منبع","تنبع","مخبر","مشجمع","source","informant"
"منطقه ای","منطقیکای","محلی","تکلی","regional","local"
"مهر","هرنم","امضاء","امروء","stamp","signature"
"مهمان نوازی","نهنام نوذی","حق شناسی","حقالناسی","hospitality","gratitude"
"مهندس","مهسیس","معمار","معاور","engineer","architect"
"مو","یت","ریش","ینش","hair","beard"
"موز","يتز","توت فرنگی","تووافرنگی","banana","strawberry"
"موشک","سکتن","راکت","موعم","rocket","missile"
"ماده","موربع","ذره","مظه","matter","particle"
"موفقیت","مواریت","شکست","بشست","success","failure"
"میراث","ستراث","به ارث بردن","تراثب","heritage","inherit"
"میز مطالعه","میکلمطالعه","دفتر","یوتر","desk","office"
"میل","يکل","آرزو","وزر","desire","wish"
"میلیون","مییسون","میلیارد","بیلیست","million","billion"
"میلیونر","میلییدر","کارآفرین","کارآفرعو","millionaire","entrepreneur"
"میمون","نامون","گوریل","گومول","monkey","gorilla"
"لورل","میفت","هاردی","دهردی","ming","ling"
