"ar_cue","ar_fake_cue","ar_target","ar_fake_target","en_cue","en_target"
"مرساة","متفرف","شراع","ريمت","anchor","sail"
"عسل","اوزل","زبدة","دهدة","honey","butter"
"مراجع","لأور","عميل","فطون","patient","client"
"كوب","ذباج","زجاجة","اجزس","glass","bottle"
"عضو","اجو","زعيم","ذنيم","member","leader"
"خطوبة","السلتباط","زفاف","فاراو","engagement","wedding"
"ركن","منافوث","زقاق","دزاق","corner","alley"
"نبتة","مصزم","زهرة","تصرة","plant","flower"
"طلاق","إقاق","زواج","تذاج","divorce","marriage"
"زوج","العشج","زوجة","تاجة","husband","wife"
"شارة","أصرة","زى موحد","موليحد","badge","uniform"
"راكب","رالص","سائق","سامض","passenger","driver"
"الساحة","السانج","ساحة المعركة","الموحكة","arena","battlefield"
"سحر","اعر","ساحر","ساخة","magic","wizard"
"جذاب","للاناشره","فاتن","ساخة","attractive","charming"
"لعنة","ارنة","ساحرة","ساتنة","curse","witch"
"شاطئ بحر","شاغرار","ساحل","ساها","beach","coast"
"مفارقة","يسرية","ساخر","ساهل","irony","ironic"
"ساذج","ساوغ","ساخرة","ساوعاة","naive","cynical"
"أرضية","أراضة","سجادة","بعياد","floor","carpet"
"ضفدع","عادع","سحلية","تظالية","frog","lizard"
"سخيف","عاذيف","غير معقول","جذيف","ridiculous","absurd"
"ورم","طدا","سرطان","سرحون","tumor","cancer"
"تونة","اهنة","سرطان البحر","سربحر","tuna","lobster"
"مسافه: بعد","مسافق","سرعة","سرون","distance","speed"
"سرقة","ادقة","سلب","سرنه","theft","robbery"
"كنبة","كنـه","سرير","فوير","sofa","bed"
"البحرية","الدفرية","أسطول","فويع","naval","fleet"
"لاجئ","لاقر","هارب","سريعف","refugee","fugitive"
"طبقة","طباء","سطح - المظهر الخارجي","اقدارجي","layer","surface"
"راضي","راجه","سعيدة","بذيدة","satisfied","happy"
"طاقم","درقم","سفينة","كرينة","crew","ship"
"رصين","تجين","سكران","لقران","sober","drunk"
"سيف","فوف","سكين","رتين","sword","knife"
"مسدس","مسغر","سلاح","سولسل","pistol","weapon"
"سلاح الفرسان","سلاسان","سلاح المدفعية","المقصعية","cavalry","artillery"
"الأمان","الفاسن","سلامة","يدامة","security","safety"
"حلزون","حلاتن","سلحفاة","سلمراة","snail","turtle"
"حساء","لياء","سلطة","سلني","soup","salad"
"حياة مهنية","حياوز","سمعة","زوعة","career","reputation"
"سمك القرش","الوساش","سمك","لقيكا","shark","fish"
"نحيف","نحها","سميك","سمروت","thin","thick"
"ظفر","وأمار","ضرس","وضاو","nail","tooth"
"ميل","لإلسف","سنتيمتر","سنتيفار","mile","centimeter"
"غير ممكن","غيلمن","سهل","رتل","impossible","easy"
"حائط","حتامز","سور","يبر","wall","fence"
"جيد","قوعد","سيئة","سيصع","good","bad"
"مقطورة","مخلم","شاحنة صغيرة","سيارك","trailer","van"
"الصحافة","الهوافة","السياسة","سيعدة","journalism","politics"
"ناقد","ائج","سياسي","سيعتي","critical","political"
"سياسات","سيكرات","سياسي","سيعتي","policy","politician"
"دخان","ضحان","سيجارة","سيينر","smoke","cigar"
"تبغ","الحدغ","سيجارة","سيينرة","tobacco","cigarette"
"مالك","شع","سيدة","سيتز","lord","lady"
"يركض","يريغ","يمشي","افر","run","walk"
"حديقة حيوان","حديقوان","سيرك","عارك","zoo","circus"
"حاكم","محافكم","سيناتور","سينانر","governor","senator"
"جيب","تكب","شاحنة","شافظة","jeep","truck"
"طريق","الهييل","شارع","شايز","avenue","street"
"عصا","وها","مطرقة","شايسش","stick","hammer"
"خمر","كتر","شامبانيا","شامبكريا","wine","champagne"
"صيف","الولف","شتاء","خجاء","summer","winter"
"نبيل","المثويل","شجاع","نضاع","noble","brave"
"شجيرة","عشع","شجرة","جورة","bush","tree"
"بقرة","بقـا","خنزير","شخكه","cow","pig"
"امتياز","ظيف","شرف","ظيف","privilege","honor"
"غرب","اوب","شرق","تكق","west","east"
"نادي","الاعدي","حانة","شرظر","club","bar"
"انطباع","انقضاع","شعور","اضور","impression","feeling"
"حماس","لساس","شغف","ـوف","enthusiasm","passion"
"تعافي","استعرضة","شفاء - يشفى","شمشفى","recover","heal"
"بيت","رارت","شقة","تظر","house","apartment"
"أخت","كلافت","شقيق","آنيق","sister","brother"
"شاكر","شوارفي","شكر","إفر","grateful","thank"
"جنوب","جنائ","شمال","ثوال","south","north"
"القمري","اللحري","شمسي","عـوسي","lunar","solar"
"مصباح","باباح","شمعة","ريعة","lamp","candle"
"الشاهد","الشاقب","شهادة","برداة","witness","testimony"
"ملعقة","ملرثة","شوكة","شيواط","spoon","fork"
"السكر","الاعقراف","شوكولاتة","شوكوحل","sugar","chocolate"
"لا شيئ","اللنيئ","شيئا ما","شيرة ما","nothing","something"
"ملاك","تجاك","شيطان","شيذين","angel","devil"
"ممتلكات","هخايطة","مالك","حمحب","property","owner"
"خلوق","مقدال","صادق","قصالع","decent","honest"
"قذيفة","ستروخ","صاروخ","هيروخ","rocket","missile"
"بوق","اعق","صافرة","قوفرة","horn","whistle"
"غدا","دحا","صباح","وظاح","tomorrow","morning"
"فتاة","فتحاف","صبي","صرصي","girl","boy"
"زر","عظ","يضغط","لهافف","button","press"
"مراسل","مرصيل","صحافي","صحندي","reporter","journalist"
"علاقة","خطاقة","صداقة","صدكية","relationship","friendship"
"معدة","رودة","صدر","اطر","stomach","chest"
"زميل","يكية","صديق","حقيق","colleague","friend"
"قليل","جنيل","صغير","قنير","little","small"
"كبير","حداديم","صغير","عاجيرة","old","young"
"ظرف","موغشي","شحنة","بوايقة","envelope","package"
"الخرسانة","الحتسانة","صلب","ثوكب","concrete","steel"
"كريمة","جويم","صلصة","ساصلحا","cream","sauce"
"رسمة","اغرة","صورة","فوتنسرافية","picture","photo"
"خاطئ","يشام","صحيح","حاح","wrong","correct"
"الصيد","التهد","صيد السمك","حسمك","hunting","fishing"
"سحاب","قرموق","ضباب","غضاباف","cloud","fog"
"قوي","فذيار","ضعيف","ازيف","strong","weak"
"قوة","خيوق","طاقة","طانا","power","energy"
"طاه","يطقاز","شيف","لدوز","cook","chef"
"دكتور جراح","دكراح","طبيب","طابفي","surgeon","doctor"
"قمح","آيح","طحين","ممين","grain","flour"
"طريق","طرتم","ممر","لشيق","route","path"
"فخ","رؤ","طُعم","حتموق","trap","bait"
"تطور","ضرور","طفره","اوره","evolution","mutation"
"رضيع","إهل","طفل","فزيل","baby","child"
"مطالبة","قديب","طلب","إقب","demand","request"
"بطاطة","البطويس","طماطم","طموشم","potato","tomato"
"تطوع","شايوع","طوعا، بمحض ارادتك","طوادك","volunteer","voluntarily"
"قصيرة","ربيرة","طويل","ذكيل","short","long"
"رائد فضاء","راثواء","طيار","إضار","astronaut","pilot"
"غرفة المركب","المضئرة","سطح المركب","ظفينة","cabin","deck"
"ضعيف","عاوصي","عاجز","عادئة","helpless","powerless"
"صحي","سركيح","عادي","لصدي","healthy","normal"
"عار","ناذة","عاري","بيرياة","nude","naked"
"عشيقة","دفيقة","عاشق","طعاصا","mistress","lover"
"ريح","هوح","عاصفه","قعازبه","wind","storm"
"عقلي","جالي","عاطفي","كاعوي","mental","emotional"
"العبقري","الإمقري","عالم","عاعه","genius","scientist"
"وطني","لصني","عالمي","عاركي","national","global"
"مزارع","مزرج","عامل","عاسي","farmer","worker"
"انتقام","تعتقام","عدالة","لمالة","revenge","justice"
"البارون","الباحن","كونتيسة","موزل","baron","countess"
"فايروس","فأورس","عدوى","قمثوى","virus","infection"
"عديم الفائدة","عدتن","عديم القيمة","تريمة","useless","worthless"
"يغفر","مقفراق","يعذر","اعر","forgive","excuse"
"تاج","يامج","عرش","قاش","crown","throne"
"تعرف","تعمك","عرف","تغوف","recognize","knew"
"زوج","تذج","عروس","يصوس","groom","bride"
"عروسة","لعظا","لعبة","دجابه","doll","toy"
"فراشة","فرلة","عصفور","عصكير","butterfly","bird"
"حليب","حاولم","عصير","خدير","milk","juice"
"عصب","تخب","عضلة","اتلة","nerve","muscle"
"أحمر الشفاه","الشتقه","عطر","ونر","lipstick","perfume"
"جوع","فكرع","عطش","قاش","hunger","thirst"
"مئة عام","شطة عام","عقد، عشر سنوات","سوجات","century","decade"
"ضد","دسس","عكس","عذك","opposite","contrary"
"علاج نفسي","علاجبي","علاج","تراج","therapy","treatment"
"تقنية","مينية","علم","خطاوم","technology","science"
"تشريح","سرايح","علم النفس","علكن","anatomy","psychology"
"بطريق الخطأ","بوطارار","عمدا","أشدا","accidentally","intentionally"
"نقيب الشرطة","صوحيف","عمدة","اردة","sheriff","mayor"
"حرفيا","حراذا","عمليا","بوليا","literally","practically"
"بطبيعة الحال","بطبينك","عموما","عمكها","naturally","generally"
"رقم","إصام","عنوان","جموان","number","address"
"مستشفى","مسبث","عيادة","عينار","hospital","clinic"
"ذكرى سنوية","سداياف","عيد الميلاد","عيليلاد","anniversary","birthday"
"أدغال","غاه","غابة","فيتوبة","jungle","forest"
"يمين","الخريح","يسار","نحدر","right","left"
"غيور","اللور","غاضب","غاظه","jealous","angry"
"بعض الأحيان","بعقيان","غالبا","غادثا","sometimes","often"
"جنون","كماون","غباء","إساوث","madness","stupidity"
"ساذج","ساوغ","غبي","زمي","naïve","stupid"
"مغفل","مجيئن","غبي","زمي","fool","idiot"
"إسهال","ذتهال","غثيان","يانز","diarrhea","nausea"
"وجبة خفيفة","بيبة","غداء","زنار","snack","lunch"
"كيلو","كيهي","جرام","اوام","kilo","gram"
"غرفة","ابال","غرفة نوم","غراوم","room","bedroom"
"غير عادي","غاهدي","غريب","غرفاي","unusual","strange"
"ينظف","ينرأ","يغسل","شعلف","clean","wash"
"حنق","ضابب","غضب","فدبو","anger","rage"
"جهل","شفل","غطرسة","غطقبة","ignorance","arrogance"
"قرد","لند","غوريلا","غوريبه","monkey","gorilla"
"حضور","آنور","غياب","تشاب","presence","absence"
"بيانو","اخانو","غيتار","غيلير","piano","guitar"
"غير مريح","غيمريح","غير سارة","غيجارة","uncomfortable","unpleasant"
"عجز","ورز","غير قادر","غاقدر","inability","unable"
"غير منطقى","غيطقى","غير مسؤول","غيسول","unreasonable","irresponsible"
"ظلم","beم","غير منصف","غيأقف","injustice","unfair"
"فأر","الؤثر","جرذ","يغرث","mouse","rat"
"بريد","بارره","فاكس","فارح","mail","fax"
"تفاحة","تفيتة","فاكهة","فاصرة","apple","fruit"
"قرفة","قرمي","فانيلا","فاغلا","cinnamon","vanilla"
"مرحلة","مرهمة","فترة","إقرة","phase","period"
"غروب الشمس","غرشمس","فجر","ذار","sunset","dawn"
"خطف","يوف","فدية","رشية","kidnapper","ransom"
"فخور","يذور","فرح","قيح","proud","excited"
"شخص","ليص","فرد","طاد","person","individual"
"قوة","الخضافب","جبر","موض","strength","force"
"خاص","مبص","فريدة من نوعها","فريع","special","unique"
"الدوري","العمريار","فريق","فرتم","league","team"
"تنورة","غاورة","فستان","تمتان","skirt","dress"
"ذهبي","وزبي","فضة","لخة","golden","silver"
"نميمة","لاجيمة","فضيحة","عويحة","gossip","scandal"
"مفيد","مفتا","فعال","عقال","useful","effective"
"إيماءة","إيمابع","فعل","إدل","gesture","act"
"صنع","حفع","فعل","إدل","make","do"
"الجزء","الفيء","فقرة","تشرة","section","paragraph"
"ينظر في","انكو","يفكر في","فكلهفي","consider","think"
"حديد","طليد","معدن","لمز","iron","metal"
"الفندق","الأطدق","فندق صغير","فندير","hotel","motel"
"ويسكي","وياوي","فودكا","بلدكا","whiskey","vodka"
"المثالي","الصيالي","ممتاز","فوساحسن","ideal","perfect"
"اليوم","الأفم","الأمس","فيليمس","today","yesterday"
"أخيرا","أخطوا","في النهاية","فيحفلة","finally","eventually"
"في الخارج","الخاكن","في داخل","فيبزاخل","outside","inside"
"بروتين","برهمين","فيتامين","فيمحمين","protein","vitamin"
"دي في دي","ديتيي","فيديو","ولديو","dvd","video"
"مرض الإيدز","مساعت","فيروس نقص المناعة المكتسبة","فاروس","aids","hiv"
"إباحية","إبعة","فيلم","فيزي","porn","movie"
"قائد","القارق","كابتن","قائد المنتأم","commander","captain"
"القاتل","القاشي","قاتل","قالف","killer","murderer"
"مرتزق","المرحدقة","قاتل","قالف","mercenary","assassin"
"مميت","حريت","قاتلة - مهلك","قامهلك","deadly","fatal"
"غواصة","غوطرة","قارب","قائه","submarine","boat"
"وحشي","قامك","قاسية","لوسية","brutal","cruel"
"محكمة","ملزم تنس","قاضي","قالف","court","judge"
"غير شرعي","خودر","قانوني","قاتعني","illegal","legal"
"يمسك","إخمواف","قبض","قباولى","grab","catch"
"خوذة","خوشى","قبعة","ادعة","helmet","hat"
"نظارات","اهارات","قبعة","ادعة","glasses","cap"
"رفض","يطض","قبول","مضول","refuse","accept"
"الانتحار","الانتحقي","قتل","وخل","suicide","murder"
"سم","اص","قتل","وخل","poison","kill"
"مصير","تظر","قدر","رور","fate","destiny"
"سعة","القسلية","قدرة","شيرة","capacity","ability"
"مقرف","مقسي","قذرة","تقرة","nasty","filthy"
"افتح","افثل","قريب","وكيب","open","close"
"معسكر","معغفر","قرية","داية","camp","village"
"نص","ثف","قصيدة","اضيدة","text","poem"
"مهبل","المهدد","قضيب","تؤيب","vagina","penis"
"وحدة","هيدة","قطاع","بهاع","unit","division"
"كلب","حيب","قطة","تعة","dog","cat"
"شظية","يئية","قطعة","وخعة","fragment","piece"
"يحول دون","يحولنتون","قف","إط","prevent","stop"
"مفتاح","مفاروح","قفل","لذل","key","lock"
"خاتم","ادس","قلادة","جنوادة","ring","necklace"
"قصر","كاور","قلعة","جنعة","palace","castle"
"همّ","يذ","قلق","كمق","concern","worry"
"ورق","ثوق","قلم جاف","قلوزجاف","paper","pen"
"نفاية","يضتم","قمامة","مهامة","trash","garbage"
"رامي","الرافق","قناص","طياص","shooter","sniper"
"فنجان","موجان","قهوة","وصاطيف","cup","coffee"
"ضغط عصبى","صاعابي","كآبة","جاحة","stress","depression"
"جسم غامض","جامض","كائن فضائي","كائي","ufo","alien"
"شاعر","شالد","كاتب","كامو","poet","writer"
"المافيا","الملد","كارتل","كاقيل","mafia","cartel"
"كافية","تشفية","كاف","قوف","enough","sufficient"
"راهب","راطي","كاهن","كالد","monk","priest"
"الكتاب المقدس","الكدس","كتاب","مقاب","bible","book"
"فوج","وذج","كتيبة","كتبهة","regiment","battalion"
"خدش","غيش","كدمة","ذومة","scratch","bruise"
"كذب","راضك","كذاب","نياب","lie","liar"
"ورشة عمل","ورويمل","كراج","كرتا","workshop","garage"
"فخر","همر","كرامة","بقامة","pride","dignity"
"كرة سلة","كرغاسلة","كرة القدم","كروذ","basketball","football"
"طاولة","جدبي","كرسي","كراه","table","chair"
"رحيم","السعمة","كريم","جويم","compassionate","generous"
"الشفرة","الخاورة","كلمه السر","كلمعر","code","password"
"كنيسة","دميسة","كنيسة صغيرة","كنيرة","church","chapel"
"تيار كهربائي","حاقق","كهرباء","رغرباء","current","electricity"
"مغناطيسي","حيناطيسي","كهربائي","ذرربائي","magnetic","electric"
"كوكب المريخ","كومرخ","كوكب الزهرة","كوكمرة","mars","venus"
"جنرال لواء","جزلاء","كولونيل","كوفينيل","general","colonel"
"دراما","تحاما","كوميديا","كوميائا","drama","comedy"
"رم","كأ","كونياك","كوشباك","rum","cognac"
"صندوق","طودوق","كيس","اطس","box","bag"
"حلوى","حلين","كيك","ظرك","dessert","cake"
"مدرب رياضي","مدرضي","لاعب","لاكة","coach","player"
"استثنائية","استثناسة","لافت للنظر","اللنف","exceptional","remarkable"
"هيئة","رونة","لجنة","روناف","commission","committee"
"لحم خنزير","خنيبر","لحم","يازك","pork","meat"
"خبز محمص","خبحص","لحم مقدد","ماقفع","toast","bacon"
"شعر","ربار","لحية","كزية","hair","beard"
"طيب المذاق","طحلاق","لذيذ","لذاغ","tasty","delicious"
"لين","سنانق","لطيف","كاتيف","soft","gentle"
"القمار","الزاريف","لعبة البوكر","البنتر","gambling","poker"
"لعب","فئب","لعبه","لعدي","play","game"
"مؤتمر","مؤوفر","لقاء","اصاء","conference","meeting"
"اسم الشهرة","اسهارة","لقب","نيب","nickname","surname"
"اسم","زام","لقب","نيب","name","title"
"إطلاق النار","إطلار","لهب","حوب","fire","flame"
"صوت بشري","صوشري","لهجة","هرجة","voice","accent"
"صحن","كرن","طاسة","صلحة","bowl","plate"
"محافظ","خلافظ","ليبرالية","ليبرمض","conservative","liberal"
"سيارة اجره","سياجره","ليموزين","ليلمزين","taxi","limousine"
"مينغ","ميمن","لينغ","ليدو","ming","ling"
"نعش","شاشف","مأتم","تمتم","coffin","funeral"
"حزين","رقين","مأساوي","أجساوي","sad","tragic"
"ملجا","فرودأ","مأوى","لذوى","refuge","shelter"
"فقط","طايط","مؤخرا","مؤاوق","just","recently"
"أمامي","صعلامي","مؤخرة","مؤاثة","front","rear"
"شركة","شرعب","مؤسسة","مؤظية","company","corporation"
"سابقا","سارسا","ما يزال","ماسنزال","already","still"
"ألف","يـف","مائة","مافع","thousand","hundred"
"السائل","السالس","مائع","ماخن","liquid","fluid"
"كيمياء","أشمياء","مادة الاحياء","مادياء","chemistry","biology"
"قنبلة","عجبلة","مادة متفجرة","مفوقة","bomb","explosive"
"مستقبل","مستقطة","ماضي","مازة","future","past"
"السيولة النقدية","السيمسة","مال","لتل","cash","money"
"بابا","ئدي","ماما","لرما","daddy","mum"
"كاتشب","كامكب","مايونيز","مايورنز","ketchup","mayonnaise"
"مباشر","مبرارة","مباشرة","مبكررة","direct","directly"
"يقلل من شأن","يقلافن","مبالغة","كمالغة","underestimate","exaggerate"
"جاف","تيف","مبتل","مبشي","dry","wet"
"متأخر","متبار","مبكرا","مبطوا","late","early"
"محل تجاري","متلا","متجر","متلا","shop","store"
"مكتبة","مكوعة","متحف","متئى","library","museum"
"شهادة دبلوم","شدلوم","متخرج","متدفج","diploma","graduate"
"خبير","فجاير","متخصص","متفرص","expert","specialist"
"كيلومتر","كيلوير","متر","ابر","kilometer","meter"
"غير مرتبطة","غمارطة","متزوجة","ماردجة","single","married"
"علامة مرض","علافر","متلازمة","متلاختة","symptom","syndrome"
"قلق","جنق","متوتر","متيقر","worried","nervous"
"منخفض","جنيل","عالي","متاكط","low","high"
"على قيد الحياة","قلاواة","متوفى","متسكى","alive","dead"
"دائرة","داظمة","مثلث","مثطخ","circle","triangle"
"مثير","عدير","مثير للانتباه","ماتباه","exciting","interesting"
"بائس","فتار","مثير للشفقة","مافقة","miserable","pathetic"
"بحرية","بحاماة","مجانا","نتانا","freely","free"
"المجيد","البأيد","مجد","لند","glorious","glory"
"لص","طف","مجرم","مجيو","thief","criminal"
"بلاي بوي","بلافوي","مجلة","صيلة","playboy","magazine"
"البرلمان","البرابان","مجلس الشيوخ","اتايوخ","parliament","senate"
"عصابة","نضرابة","مجموعة","مجراعة","gang","group"
"المذعور","المذنير","مجنون","ابنون","paranoid","crazy"
"تلسكوب","تليسوب","مجهر","مجارو","telescope","microscope"
"غامض","مجسجل","مجهول","مجصيل","anonymous","unknown"
"جندي","تأدي","محارب","قرارب","soldier","warrior"
"ندوة","بـوة","محاضرة","محاضعا","seminar","lecture"
"يحاول","مجاول","محاولة","محاوقف","try","attempt"
"لطيف","كتيف","محبوب","محشرب","nice","lovely"
"متواضع","متوابق","محتشم","محهضم","humble","modest"
"خزان","فمان","محرك","محاف","tank","engine"
"منصة","لمنامج","محطة","ياطة","platform","station"
"جيب","تكب","محفظة نقود","محنقود","pocket","wallet"
"المحلل","المحدو","محقق","محاطى","analyst","investigator"
"إقليمي","اسليمي","محلي","فئولي","regional","local"
"نصف القطر","نصف التزر","محيط","محظافر","radius","perimeter"
"بحر","نطر","محيط","محاقرف","sea","ocean"
"مصدر","لتدر","مخبر","مخال","source","informant"
"مماثل","ممهيل","مختلف","مخارف","similar","different"
"مخلص","مخاث","مؤمن","مخذب","loyal","faithful"
"مسخ","روخ","مخلوق","مخشاق","monster","creature"
"خروج","هدوج","مدخل","مدكب","exit","entrance"
"صف دراسي","صحراسي","مدرسة","مدقبة","class","school"
"أبدي","أبقا","مدى الحياة","لحيتا","eternal","forever"
"منتج","ماندس","مدير","أفير","producer","director"
"عاصمة","رلمال","مدينة","أفينة","capital","city"
"بريء","برضف","مذنب","سجنب","innocent","guilty"
"مثير","عديرة","مذهل","مذحت","sensational","spectacular"
"انعكاس","انتىاس","مرآة","مفراف","reflection","mirror"
"شعائر","أديراق","مراسم","ماريمك","ritual","ceremony"
"يرافق","مرافنه","يصاحب","مراعا","escort","accompany"
"شاشة","شارفاق","مراقب","مربوب","screen","monitor"
"سن المراهقة","سنذقة","مراهقة","مرمشقة","teenage","teenager"
"بكل سرور","بكسرور","مرح","الح","pleasure","joy"
"شباب","فناب","مرحلة الطفولة","مراحملة","youth","childhood"
"أنفلونزا","أنفلوناض","مرض","هاض","flu","disease"
"معتل الصحة","ياف","مريض","هاض","ill","sick"
"خليج","شرون","مرفأ","مرجو","bay","harbor"
"مخيف","يريف","مريب","مرفي","scary","creepy"
"عادل","معفت","معقول","مسجمل","fair","reasonable"
"سكرتير","سكرتاح","مساعد","مسديد","secretary","assistant"
"الدعم","البتم","مساعدة","مساعما","support","assistance"
"يدعم","مساعما","يساعد","مساعما","help","assist"
"كبسولة","حفسولة","مسبار","مساؤر","capsule","probe"
"بشكل طبيعي","طبينج","عادة","مستخهر","normally","usually"
"سينما","سييتا","مسرح","مسكس","cinema","theater"
"كاثوليكي","كاتدليكي","مسيحي","مسثري","catholic","christian"
"شك","ئق","مشتبه فيه","مشتبديه","doubt","suspect"
"تاجر","تائج","مشتر","مشجي","seller","buyer"
"يلمع","يلتح","مشرق","مشاج","shine","bright"
"عصير الليمون","اللأطون","مشروب غازي","مشروزي","lemonade","soda"
"مشكلة","مشاوة","متاعب","مشصية","trouble","problem"
"شائع","وإع","مشهور","مشجعر","popular","famous"
"الاموات الاحياء","الاحتموء","مصاص دماء","مصاصراء","zombie","vampire"
"طبيعي","تزيعي","مصطنع","مصبضع","natural","artificial"
"مضاد سمي","مضامامي","مصل","غفل","antidote","vaccine"
"توقيع","توجرعه","مصور فوتوغرافي","مورافي","autograph","photographer"
"لسوء الحظ","لساعاف","مصيبة","بجيبة","unfortunate","misfortune"
"حالة","فوجرة","أزمة","بجيبة","situation","crisis"
"بارع","باته","مضحك","ميضكه","witty","funny"
"يبتلع","اللعونو","يمضغ","قبغ","swallow","chew"
"محطة","لشفية","مطار","عرار","terminal","airport"
"إتبع","إتيز","مطاردة","تغاردة","follow","chase"
"حانة","حايا","مطعم","عرعم","pub","restaurant"
"تحكم","مراقين","تلاعب","معالـت","control","manipulate"
"عادي","عاون","معتاد","أستاد","ordinary","usual"
"صالة عرض","صاتفرض","معرض","معفت","gallery","exhibition"
"حرب","قوب","معركة","معزوة","war","battle"
"تفسير","تفتشر","معقول","معاهل","explanation","plausible"
"لازانيا","لاعلنيا","معكرونة","نشكرونة","lasagna","spaghetti"
"طالب علم","طالبكلم","معلم","معاعه","student","teacher"
"بيانات","اخانات","معلومة","معلواز","data","information"
"صدئ","نبئ","مغبر","دوبر","rusty","dusty"
"مقفل","مقان","مغلق","حيلق","locked","closed"
"مولد كهرباء","كلوباء","مفاعل","مفسول","generator","reactor"
"مفتش","عمتش","مفوض","مفسن","inspector","commissioner"
"بطل","فضاول","مقاتل","دماتل","champion","fighter"
"وصول","لكول","مغادرة","تفال","arrival","departure"
"قبر","ستير","مقبرة","اجبرة","grave","cemetery"
"مجموع","مجيـع","مقدار","مقتور","sum","amount"
"مركز","يتآمكز","مقر رئيسي","اظر","base","headquarters"
"قذر","رخر","مقزز","مقفه","dirty","disgusting"
"في مكان آخر","فيهيكان","مكان ما","مكانعرا","elsewhere","somewhere"
"حمام","المعام","مغسلة","مكتبير","toilet","sink"
"طاولة","ماكاث","مكتب","ثوركز","desk","office"
"ملكة","ملقك","ملك","تجك","queen","king"
"مليون","ملامن","مليار","لقيار","million","billion"
"ممارسة","مماربت","تمرين","الريادو","practice","exercise"
"فارغة","فانبة","ممتلىء","ممتلكب","empty","full"
"رويال","لفيال","مملكة","ممتيام","royal","kingdom"
"قماش","قمخل","منديل","منهال","cloth","handkerchief"
"بطانية","ترانية","منشفة","منصحة","blanket","towel"
"مساحة","مسدسة","منطقة","منكدة","area","zone"
"مقاطعة","مقزرعة","منطقة","منكدة","county","district"
"ضحية","جبية","مهاجم","مهتحم","victim","attacker"
"الكرنفال","تذكرنفال","مهرجان","مهتهان","carnival","festival"
"مهمة","مهتر","شغل","رامة","task","mission"
"مهندس","ميهؤوس","مهندس معماري","مهعاري","engineer","architect"
"الإذن","الداوخن","موافقة","موافعا","permission","approval"
"يعاني","نساني","يموت","زات","suffer","die"
"السبب","الصفب","مسبب","قمومن","reason","cause"
"أسبرين","أساقين","مورفين","موتاين","aspirin","morphine"
"موسيقى الجاز","موسينز الجاز","موسيقى","موسيغي","jazz","music"
"مغني","حيني","موسيقي او عازف","موسيتح","singer","musician"
"شيء","فوف","موضوع","موتفعات","object","subject"
"فرن","فيأن","موقد","مورل","oven","stove"
"مكان","وران","موقعك","مواشك","place","location"
"رأي","سبي","موقف سلوك","موفاوك","opinion","attitude"
"القدره","الإلره","موهبة","مورصة","potential","talent"
"غنيمة","خميمة","ميدالية","مينيلية","trophy","medal"
"الأداة","الالاة","ميداليون","ميابليون","artifact","medallion"
"تقني","رتني","ميكانيكي","ميكانياك","technical","mechanical"
"الة تصوير","الوتصوير","ميكروفون","ميكرقبون","camera","microphone"
"من حين اخر","حينحسخر","نادرا","ناهيا","occasionally","rarely"
"النادل","الانيافع","نادلة","ناتوة","waiter","waitress"
"زائد","أزئد","ناقص","ناكاكف","plus","minus"
"الأكبر","اطل","الأصغر","قموارة","senior","junior"
"مشهور","نجاحسبير","نجم","دحامة","celebrity","star"
"وشم","ضتم","ندب","طؤوب","tattoo","scar"
"نشيط","نشظر","نشاط","نشكة","active","activity"
"فكرة","ذارة","نظرية","اهرية","idea","theory"
"حسنا","يفنا","نعم","زيم","okay","yeah"
"طبي","تزي","نفسيّ","نفمك","medical","psychological"
"فحم","شجم","نفط","ساط","coal","oil"
"كوبري","كورسي","نفق","قاق","bridge","tunnel"
"إيجابي","تبجابي","نفي","قعي","positive","negative"
"محادثة","محاداذ","نقاش","للاش","conversation","discussion"
"نقل","صال","تحويل","صال","move","transfer"
"خدعة","العضعة","نكتة","غلتة","trick","joke"
"منوال","علوال","نمط","طافاط","rhythm","style"
"ذري","السهي","نووي","شياوي","atomic","nuclear"
"هدف","فوف","نية","بكية","purpose","intention"
"اتصال","يتمن","هاتف","هاوط","call","telephone"
"صدقة","الاكعيرية","هبة","لطاثة","charity","donation"
"غزو","لبو","هجوم","طيوم","invasion","attack"
"هادئ","هاهز","ساكن","هدلص","quiet","calm"
"إطراء","لصراء","هدية","فجانية","compliment","gift"
"فرار","نطار","هرب","جبب","flee","escape"
"وهم","ائسم","هلوسة","هلكتة","illusion","hallucination"
"سياره اسعاف","سيسعاف","هليكوبتر","هلبنوبتر","ambulance","helicopter"
"ساندويتش","ساندمرتش","همبرغر","همبربط","sandwich","hamburger"
"هنا","صرا","هناك","نزاك","here","there"
"كربون","أنبون","هيدروجين","هيدريلين","carbon","hydrogen"
"هرم","ذتم","هيكل","هيرح","pyramid","structure"
"شيرلوك","شيئيوك","واتسون","واراون","sherlock","watson"
"المسئولية","المستسلية","واجب","واصر","responsibility","duty"
"ضيق","تزثق","واسع","واقق","narrow","wide"
"طاعون","طافين","وباء","وبسي","plague","epidemic"
"ملف","فوف","وثيقة","لزيقة","file","document"
"غذاء","عكاء","وجبة","وجاه","food","meal"
"وجبة عشاء","خطبة عشاء","وجبة افطار","اتفار","dinner","breakfast"
"يلهم","ركهم","وحي - الهام","وحتهام","inspire","inspiration"
"وحده","وحقي","وحيدا","هييدا","alone","lonely"
