"sr_cue","sr_fake_cue","sr_target","sr_fake_target","en_cue","en_target"
"отпор","отпорство","одупирати се","функлирати","resistance","resist"
"услуга","услубро","одржавање","источжавање","service","maintenance"
"присуство","присуност","одсуство","одсупруг","presence","absence"
"неожењен","мајњен","ожењен","ожебар","single","married"
"тетоважа","тетовалност","ожиљак","џонљак","tattoo","scar"
"море","могуђ","океан","заман","sea","ocean"
"штит","трит","оклоп","гулоп","shield","armor"
"округао","плуао","укруг","укрем","round","around"
"жупанија","стварпанија","округ","туруг","county","district"
"бруталан","брутаског","окрутан","обичтан","brutal","cruel"
"зло","ело","окрутност","остатност","evil","cruelty"
"септембар","секундбар","октобар","октослим","september","october"
"ветар","ветиш","олуја","ураја","wind","storm"
"ризичан","ризистим","опасан","кансан","risky","dangerous"
"ризик","риксти","опасност","грусност","risk","danger"
"профил","прокас","опис","опхи","profile","description"
"украсти","успести","опљачкати","странкати","steal","rob"
"чист","чипо","опрати","бранти","clean","wash"
"опрема","срећма","опремити","истомити","equipment","equip"
"жалба","жафан","оптужба","оптубро","complaint","accusation"
"избор","изсле","опција","страја","choice","option"
"планета","стигнета","орбита","ухвабити","planet","orbit"
"уредити","здондити","организовати","организоватињства","arrange","organize"
"витрина","витристан","ормар","орсоа","cabinet","closet"
"арсенал","арсестра","оружарница","орудре","arsenal","armory"
"пиштољ","пистру","оружје","осроје","pistol","weapon"
"свеж","сваж","освежити","остатжи","fresh","refresh"
"нежан","нелност","осетљив","осебрио","delicate","sensitive"
"утисак","утибим","осећање","осесту","impression","feeling"
"остати","иденти","преостати","преиденти","stay","remain"
"сумња","супод","осумњичени","страмњичени","doubt","suspect"
"мајка","једка","отац","отзa","mother","father"
"киднаповати","асинаповати","отети","трити","kidnap","abduct"
"днк","дук","отисак прста","отисак пглeдa","dna","fingerprint"
"отмичар","отмибњак","откупнина","откуастрона","kidnapper","ransom"
"оставка","астрока","отпуштање","отпустрпљење","resignation","dismissal"
"чекати","чекаквог","очекивати","стваркивати","wait","expect"
"јасно","јаште","очигледно","очимрачно","clearly","obviously"
"рај","окј","пакао","панеш","paradise","hell"
"коверат","ковепсио","пакет","пацам","envelope","package"
"прст","јост","палац","пароб","finger","thumb"
"кабина","касрећна","палуба","палудост","cabin","deck"
"свила","дејла","памук","пабеш","silk","cotton"
"кромпир","крорлин","парадајз","парасној","potato","tomato"
"натприродан","дoвoљприродан","паранормалан","паранормастрпљив","supernatural","paranormal"
"кармин","прмин","парфем","паржву","lipstick","perfume"
"карта за вожњу","карула шкарца","пасош","пацир","ticket","passport"
"јадан","јашња","патетичан","патетињство","miserable","pathetic"
"гуска","гумао","патка","дигка","goose","duck"
"стражар","страгих","патрола","пажљивла","guard","patrol"
"разбити","остабити","сломити","сломиспех","smash","break"
"миш","мијер","пацов","паћим","mouse","rat"
"вагина","вазлатна","пенис","пешаш","vagina","penis"
"полупречник","полупрезвој","обим","опер","radius","perimeter"
"поглед","пограм","перспектива","остваспектива","view","perspective"
"шоу","стоу","изведба","оствафодба","show","performance"
"блато","радто","песак","петон","mud","sand"
"албум","рубум","песма","педог","album","song"
"текст","терут","песма","педог","text","poem"
"рерна","кљерна","шпорет","ушрет","oven","stove"
"ћебе","ћелс","пешкир","пекорд","blanket","towel"
"пити","пист","пиво","угово","drink","beer"
"трезан","тредем","пијан","пиној","sober","drunk"
"астронаут","основнаут","пилот","пишал","astronaut","pilot"
"таблета","тагред","пилула","пилудост","tablet","pill"
"читање","читастич","писање","писастан","reading","writing"
"читати","чинденти","писати","пирденти","read","write"
"песник","пезнао","писац","пипте","poet","writer"
"питање","питастич","питати","пилденти","question","ask"
"пушка","пумон","пиштољ","пишним","rifle","gun"
"браон","изаон","плава","урови","brown","blue"
"ватра","вамио","пламен","плапом","fire","flame"
"брдо","бршем","планина","истинина","hill","mountain"
"припрема","приустима","планирање","огромнирање","preparation","planning"
"цемент","цеслим","пластика","одвестика","cement","plastic"
"пензија","вероватзија","плата","лтета","pension","salary"
"плашити","плашититланд","уплашити","плашитиблдор","scare","frighten"
"плесач","плелук","плесати","ствосати","dancer","dance"
"утопити се","гoдипити","пливати","утаквати","drown","swim"
"крађа","спођа","пљачка","стаска","theft","robbery"
"добити","доухвати","победити","поздравдити","gain","win"
"губитник","гусредник","победник","подручник","loser","winner"
"бежати","берлинти","побећи","познаоћи","flee","escape"
"промена","стварменити","побољшање","поздравшање","change","improvement"
"рана","разго","повреда","поаманда","wound","injury"
"слој","слод","површина","повросновна","layer","surface"
"гурати","смрарати","вући","вуздраћи","push","pull"
"поноћ","посмo","подне","броне","midnight","noon"
"честитати","стварститати","поздравити","поздрависност","congratulate","greet"
"популаран","популалност","познати","поиденти","popular","famous"
"биоскоп","хејскоп","позориште","позорилност","cinema","theater"
"особа","сенба","појединац","поједиством","person","individual"
"коцкање","стрикање","покер","попим","gambling","poker"
"комплимент","комплиског","поклон","поглас","compliment","gift"
"покушати","играчкушати","покушај","покуслио","try","attempt"
"новинарство","новинарлност","политика","полиопљачка","journalism","politics"
"политика","полигирачка","политичар","политисност","policy","politician"
"критички","критиском","политички","поздравтички","critical","political"
"статус","стаесн","положај","полојент","status","position"
"помоћи","потели","припомоћи","припоскву","help","assist"
"секретар","секреском","помоћник","поуредник","secretary","assistant"
"подршка","подрквог","помоћ","поуред","support","assistance"
"средити","сревисност","поправити","поправисност","fix","repair"
"победа","поаманда","пораз","поџер","victory","defeat"
"клан","днан","породица","поространца","clan","family"
"упозорење","стварзорење","порука","поручист","warning","message"
"наредник","наштитник","поручник","поуметник","sergeant","lieutenant"
"индустрија","индужностја","бизнис","поздрамвати","industry","business"
"потврда","поправда","потврдити","посклади","confirmation","confirm"
"пратити","идентити","јурити","подручра","follow","chase"
"печат","пепри","потпис","потнет","stamp","signature"
"донети","довембао","послати","посларлост","bring","send"
"освета","очајта","правда","ствада","revenge","justice"
"истинит","опронит","прави","свеви","true","real"
"незаконит","незакоглeдa","законит","окранит","illegal","legal"
"божић","боњац","празник","праклин","christmas","holiday"
"буквално","бубреглно","практично","ускотично","literally","practically"
"пратња","прајаш","пратити","убијтити","escort","accompany"
"пепео","пекар","прашина","отвошина","ash","dust"
"зарђао","бејнао","прашњав","праграф","rusty","dusty"
"такмичење","стрпљекурење","првенство","прeвиство","competition","championship"
"плен","езен","предатор","пребављаш","prey","predator"
"завера","скривера","превара","изјавара","conspiracy","fraud"
"семинар","семислиш","предавање","ствардавање","seminar","lecture"
"сензор","сенчеш","предајник","преуметник","sensor","transmitter"
"предлагати","ствардлагати","предложити","ствардложити","propose","suggest"
"објекат","објећу","субјекат","субзне","object","subject"
"верност","опуност","оданост","предобњак","fidelity","devotion"
"канцелар","огромцеларки","председник","страседник","chancellor","president"
"милионер","милиоством","предузетник","предупуравник","millionaire","entrepreneur"
"живети","жиобрати","преживети","стварживети","live","survive"
"надимак","надиквог","презиме","услузиме","nickname","surname"
"потез","попша","пренос","прецио","move","transfer"
"круна","узена","престо","прешком","crown","throne"
"потцењивати","неколицењивати","претеривати","нeкoлитеривати","underestimate","exaggerate"
"закључак","закљуству","претпоставка","стварпоставка","conclusion","assumption"
"топао","тођај","хладан","претресђен","hot","cold"
"приватан","призгодно","приватност","приватство","private","privacy"
"пажња","папан","привући","основући","attention","attract"
"признати","присхвати","исповедити","пристојти","admit","confess"
"удобан","чујбан","пријатан","пријасниш","comfortable","pleasant"
"колега","колезбеј","пријатељ","пријаслио","colleague","friend"
"учтив","учшто","пријатељски","пријаспортски","polite","friendly"
"однос","одцио","пријатељство","прилајтељаност","relationship","friendship"
"контакт","конлест","веза","вељу","contact","connection"
"секундаран","сестромдаран","примаран","примтупна","secondary","primary"
"принцеза","уплацеза","принц","првaц","princess","prince"
"спреман","спрежио","припремити","стварпремити","ready","prepare"
"пулс","пумту","притисак","притиквог","pulse","pressure"
"дугме","рашме","притиснути","ствартиснути","button","press"
"одбити","одехвати","прихватити","ствархватити","refuse","accept"
"профит","огромфит","приход","привин","profit","income"
"гадан","гаске","прљав","пркуд","nasty","filthy"
"невоља","неволски","проблем","проброј","trouble","problem"
"проверавати","нeкoливеравати","потврдити","стварвердити","check","verify"
"протраћити","програње","проводити","стварводити","waste","spend"
"пројекат","ствујекат","програм","проквим","project","program"
"аукција","уторција","продаја","огледаја","auction","sale"
"купити","кусхвати","продати","окледати","buy","sell"
"направити","направод","произвести","произвеглeдa","create","produce"
"марка","зника","производ","проитрик","brand","product"
"фабрика","фастрика","производња","произволност","factory","production"
"ракета","рафронта","пројектил","пројеквреј","rocket","missile"
"тражити","трагледга","пронаћи","гладнаћи","search","find"
"говор","гошај","проповед","проповелност","speech","sermon"
"непријатељ","исправпријатељ","противник","проследник","enemy","opponent"
"владавина","огромдавина","правила","пратолтер","rule","protocol"
"модел","мосор","прототип","протобром","model","prototype"
"аматерски","утортерски","професионалан","професионастрпљив","amateur","professional"
"декан","дефре","професор","профеминг","dean","professor"
"процес","прорир","процедура","стварцедура","process","procedure"
"посматрање","посматралност","процена","клинцена","observation","evaluation"
"будућност","будућатво","прошлост","протлмен","future","past"
"анатомија","источтомија","психологија","вeрoвaтхологија","anatomy","psychology"
"медицински","медиспортски","психолошки","огромхолошки","medical","psychological"
"лептир","лестро","птица","тврца","butterfly","bird"
"гомила","утакмила","публика","пуистока","crowd","audience"
"генерал","генебљен","пуковник","пуспремник","general","colonel"
"празан","працом","пун","овн","empty","full"
"пуцањ","пудих","пуцати","пуборити","shot","shoot"
"посао","повер","рад","орд","job","work"
"фармер","фарали","радник","бланик","farmer","worker"
"задовољство","задовољуност","радост","разнат","pleasure","joy"
"напредак","напретрес","развој","рајвид","progress","development"
"фаза","глуза","период","перислов","phase","period"
"сличан","кљачан","различит","разлископ","similar","different"
"размотрити","озбиљмотрити","мислити","озбиљмислити","consider","think"
"изненађење","изненађестронг","разочарање","нeкoлизочарање","surprise","disappointment"
"правичан","правонон","разуман","разуском","fair","reasonable"
"схватити","одлутити","разумети","озбиљзумети","realize","understand"
"тумор","тучег","рак","орк","tumor","cancer"
"веверица","веверилност","ракун","радич","squirrel","raccoon"
"касно","кавиш","рано","равам","late","early"
"календар","каквомдар","распоред","распорнај","calendar","schedule"
"војник","војком","ратник","тврник","soldier","warrior"
"софтвер","софспех","рачунар","рачуштен","software","computer"
"генератор","генерамплет","реактор","реаквљам","generator","reactor"
"оптимистичан","углавмистичан","реалистичан","реалистимплекс","optimistic","realistic"
"продуцент","продутраг","редитељ","редислио","producer","director"
"филозофија","стрпљелозофија","религија","религилберт","philosophy","religion"
"каријера","каријелност","репутација","нeкoлипутација","career","reputation"
"паб","гоб","ресторан","рестостио","pub","restaurant"
"повремено","поврестварно","ретко","убрко","occasionally","rarely"
"рећи","ремто","казати","шкарзати","say","tell"
"реч","жач","реченица","реосновница","word","sentence"
"ајкула","скрикула","риба","рарба","shark","fish"
"лов","лоф","риболов","рибоминг","hunting","fishing"
"цезар","цећик","рим","пем","caesar","rome"
"одрасла особа","одразвој осемп","родитељ","родиспортски","adult","parent"
"сродник","сродлот","рођак","ролта","relative","cousin"
"годишњица","годистранца","рођендан","робњакдан","anniversary","birthday"
"драматичан","драматињство","романтичан","романтињство","dramatic","romantic"
"одвратан","одвралекс","ружан","рујиб","disgusting","ugly"
"шака","срка","рука","спака","hand","arm"
"пукотина","украткотина","рупа","руним","crack","hole"
"ужина","ужизаг","ручак","рушке","snack","lunch"
"шпијунажа","играчјунажа","саботажа","саботалност","espionage","sabotage"
"савет","санос","саветовати","нeкoливетовати","advice","advise"
"идеалан","окруалан","савршен","саврствар","ideal","perfect"
"садржати","озбиљдржати","садржај","садрстер","contain","content"
"прекрити","прекривалност","сакрити","саиденти","cover","hide"
"супа","суног","салата","асагента","soup","salad"
"поштовање","поздраврање","самопоуздање","вeрoвaтмопоуздање","respect","confidence"
"нинџа","ваљџа","самурај","самуспорт","ninja","samurai"
"ноћна мора","истрана мора","сан","сао","nightmare","dream"
"стрпљење","исправње","саосећање","саосестрпљење","patience","compassion"
"конференција","стрпљеференција","састанак","састастиш","conference","meeting"
"радар","ражга","сателит","сатеспао","radar","satellite"
"мртвачки сандук","мртвачки састингс","сахрана","саобична","coffin","funeral"
"спасити","трејсити","сачувати","огромчувати","rescue","save"
"сведок","свежђе","сведочанство","сведочанлност","witness","testimony"
"међународни","исправђународни","свет","двет","international","world"
"сијати","дручјати","светао","свешен","shine","bright"
"тама","тарк","светло","свешња","darkness","light"
"лампа","лачао","свећа","крића","lamp","candle"
"монах","моруј","свештеник","светломник","monk","priest"
"крава","утива","свиња","пшења","cow","pig"
"тврдоглав","тврдојорк","себичан","себицикл","stubborn","selfish"
"југ","јуч","север","сепход","south","north"
"стајати","тванати","седети","украдети","stand","sit"
"база","бављу","централа","седирект","base","headquarters"
"камп","кадeo","село","себан","camp","village"
"парламент","парласког","сенат","сетон","parliament","senate"
"гувернер","гуверквих","сенатор","сенаглас","governor","senator"
"цепати","цешми","сећи","сегао","tear","cut"
"фреквенција","фреструкција","сигнал","оминал","frequency","signal"
"снага","радга","сила","систи","strength","force"
"застава","задњегва","симбол","фунбол","flag","symbol"
"симптом","систвима","синдром","упродром","symptom","syndrome"
"кћерка","брика","син","систи","daughter","son"
"хлеб","хлух","сир","кар","bread","cheese"
"мрежа","сножа","систем","сиштољ","network","system"
"трач","одлач","скандал","сканзде","gossip","scandal"
"уклонити","стрепљемонити","одстранити","фрамнути","eliminate","remove"
"уточиште","сврачиште","склониште","уртаниште","refuge","shelter"
"попети се","попетиздрав","скочити","одлачити","climb","jump"
"понизан","понистра","скроман","скрожем","humble","modest"
"прикупити","оставкупити","скупити","златпити","collect","gather"
"јак","енк","слаб","ераб","strong","weak"
"славан","слаком","слава","днева","glorious","glory"
"сладак","слачеш","симпатичан","симлавој","sweet","cute"
"тост","јаст","сланина","дрешнина","toast","bacon"
"уметник","шмитник","сликар","слибро","artist","painter"
"телеграм","телеквој","писмо","засмо","telegram","letter"
"роб","ерб","слуга","прога","slave","servant"
"дадиља","дадирект","служавка","слуоблака","nanny","maid"
"повећати","поздравћати","смањити","одлуњити","increase","reduce"
"ђубре","плабре","смеће","квиће","trash","garbage"
"осмех","џимех","смех","смас","smile","laugh"
"комбинација","стрпљебинација","мешавина","изашавина","combination","mixture"
"духовит","духоспао","смешан","смезио","witty","funny"
"чврсто","гнесто","снажно","снаску","firmly","strongly"
"стрелац","стрежиш","снајпер","снаблем","shooter","sniper"
"киша","кимем","снег","снисци","rain","snow"
"снимак","снивој","снимање","играмање","record","recording"
"лимунада","лиспремнада","газирани сок","кендани ток","lemonade","soda"
"млеко","кућко","сок","хак","milk","juice"
"лунарни","лукључни","соларни","содневни","lunar","solar"
"капсула","каукрала","сонда","чујда","capsule","probe"
"крем","краб","сос","аус","cream","sauce"
"одмор","одчег","спавати","обровати","rest","sleep"
"соба","сојеш","спаваћа соба","споваћа ситингс","room","bedroom"
"јунак","јуњен","спаситељ","спасислио","hero","savior"
"сензационалан","сензационастрпљив","спектакуларан","нeкoлитакуларни","sensational","spectacular"
"стручњак","струхват","специјалиста","нeкoлицијалиста","expert","specialist"
"унутрашњи","унутраквој","спољашњи","спољамљен","internal","external"
"сукоб","сучић","свађа","свох","conflict","dispute"
"хоби","ховом","спорт","објерт","hobby","sport"
"капацитет","капациглeдa","способност","способство","capacity","ability"
"златни","имотан","сребрни","отвобрна","golden","silver"
"задовољан","задоволност","срећан","срегле","satisfied","happy"
"мишљење","мизграње","став","стор","opinion","attitude"
"одељак","одесио","пасус","паспом","section","paragraph"
"уметнути","цртенути","ставити","предвити","insert","put"
"рута","слата","стаза","умрза","route","path"
"увек","кјек","стално","ставак","always","constantly"
"сиротиште","сиротилност","манастир","манамурс","orphanage","convent"
"кућа","спићу","стан","стир","house","apartment"
"перон","веруфон","станица","уклоница","platform","station"
"станар","ставет","станодавац","стаслевац","tenant","landlord"
"споменик","одлуменик","статуа","стазач","monument","statue"
"чудовиште","чудовисност","створење","главрење","monster","creature"
"ритам","ришла","стил","стеј","rhythm","style"
"сто","ико","столица","укралица","table","chair"
"хиљада","одлуљада","стотина","обратина","thousand","hundred"
"ентузијазам","ентузијастинкт","страст","страпа","enthusiasm","passion"
"план","плил","стратегија","албертегија","plan","strategy"
"пирамида","стватрамида","грађевина","инстинтина","pyramid","structure"
"истраживање","истражистрпљење","студија","обрадија","research","study"
"судба","педба","судбина","зграбина","fate","destiny"
"суд","анд","судија","супротја","court","judge"
"рочиште","рослуо","суђење","опређење","hearing","trial"
"месец","мерлс","сунце","хтеце","moon","sun"
"насупрот","насузних","супротно","суочајно","opposite","contrary"
"видети","висхвати","сусрести се","сухтевсти","see","meet"
"детонатор","детонаглeдa","тајмер","тајсле","detonator","timer"
"потенцијал","поздравцијал","таленат","талезбеј","potential","talent"
"овде","мерде","тамо","слимо","here","there"
"чинија","чишаш","тањир","табет","bowl","plate"
"стриц","абриц","тата","тавог","uncle","dad"
"погрешан","погреског","тачан","ташио","wrong","correct"
"тежак","теден","чврст","чврџет","tough","hard"
"радио","разре","телевизија","нeкoлилевизија","radio","television"
"позив","налсив","телефон","вeрoвaтлефон","call","telephone"
"топлота","тодрвета","температура","нeкoлимпература","heat","temperature"
"голф","гогон","тенис","тетру","golf","tennis"
"идеја","књија","теорија","озбиљорија","idea","theory"
"под","ард","тепих","телет","floor","carpet"
"оптерећење","довољрећење","терет","тећој","load","cargo"
"експеримент","експериством","тест","теџи","experiment","test"
"метод","мериз","техника","опреника","method","technique"
"течност","идуност","течан","момчан","liquid","fluid"
"лига","литву","тим","ђам","league","team"
"тинејџерски","тинејистински","тинејџер","тинејграм","teenage","teenager"
"тих","тид","тишина","уплашина","silent","silence"
"кожа","кодом","ткиво","ујаво","skin","tissue"
"шта","тва","тај","иј","what","that"
"ураган","ураест","торнадо","срећнадо","hurricane","tornado"
"десерт","депуст","торта","дента","dessert","cake"
"тужан","тујеш","трагичан","трагистим","sad","tragic"
"модеран","модесној","традиционалан","традиционастрпљив","modern","traditional"
"оркестар","оркеблем","бенд","датка","orchestra","band"
"кичмени","бајмени","трбушни","трбустиш","spinal","abdominal"
"реклама","реклакомер","трговац","тргоспод","commercial","merchant"
"потребан","потрехолност","потреба","остаба","necessary","need"
"један","морна","три","нои","one","three"
"маратон","марадајз","трка","ричка","marathon","race"
"двоструки","оставструки","троструки","блиструк","double","triple"
"круг","крид","троугао","троузмеш","circle","triangle"
"рођење","роштиљње","трудноћа","враноћа","birth","pregnancy"
"адвокат","адвопим","тужилац","тужиству","lawyer","prosecutor"
"мост","моџу","тунел","тужак","bridge","tunnel"
"пилетина","пилеискрена","ћурка","укока","chicken","turkey"
"напољу","претпољу","унутра","унуљео","outside","inside"
"апсолутно","овлалутно","потпуно","окрутпуно","absolutely","completely"
"понедељак","понеделност","уторак","утлених","monday","tuesday"
"самоубиство","самоубимплекс","убиство","јанство","suicide","murder"
"отров","отгoв","убити","јефти","poison","kill"
"злочинац","тванац","убица","тваца","killer","murderer"
"увредити","изјадити","вређати","изјадити","insult","offend"
"ударац","пездрац","напад","удапад","hit","strike"
"страшан","страдњу","ужасан","ужашиш","terrible","horrible"
"ланац","лашту","уже","вае","chain","rope"
"поносан","поноквог","узбуђен","узбустим","proud","excited"
"прекидати","стваркидати","ометати","вероватнетати","interrupt","disturb"
"разлог","раклес","узрок","узфер","reason","cause"
"значка","аманка","униформа","скамнорма","badge","uniform"
"укусан","хтесан","сластан","слупис","tasty","delicious"
"излаз","изљим","улаз","краз","exit","entrance"
"авенија","стјунија","улица","женца","avenue","street"
"сокак","двакак","уличица","ствачица","corner","alley"
"зграбити","стигбити","ухватити","мговити","grab","catch"
"финансирати","фимпрерати","уложити","кратжити","finance","invest"
"угаљ","онљен","нафта","рофта","coal","oil"
"патити","идентити","умрети","ушлати","suffer","die"
"факултет","факурург","универзитет","универзиблдор","college","university"
"стварање","агенрање","уништење","страштење","creation","destruction"
"обичан","дерчан","уобичајен","уобичастром","ordinary","usual"
"доле","доуп","горе","осре","down","up"
"применити","стварменити","користити","стратистити","apply","use"
"надлежност","стрпљерижност","надлежни","кратважни","jurisdiction","authority"
"направити","направисност","урадити","омлудити","make","do"
"радни сто","раднитвих","канцеларија","скедарија","desk","office"
"чип","лоп","уређај","урекол","chip","device"
"крв","тув","урин","мрин","blood","urine"
"сам","саслу","усамљен","офимљен","alone","lonely"
"снаћи се","златвљатићи","успети","украти","manage","succeed"
"сачувати","озбиљчувати","одржавати","стрпљепоставити","preserve","maintain"
"закон","загле","устав","ojтав","law","constitution"
"турнир","тумрус","утакмица","дрвемица","tournament","match"
"утицај","утифон","ефекат","ефекон","influence","effect"
"око","сро","уво","нуо","eye","ear"
"мито","серто","уцена","превицена","bribe","blackmail"
"ученик","семник","учитељ","учизно","student","teacher"
"учити","наузвранти","подучавати","глачавати","learn","teach"
"пошта","понуо","факс","фара","mail","fax"
"стварност","стварство","фантазија","огромтазија","reality","fantasy"
"предиван","пресрежан","фантастичан","озбиљтастичан","wonderful","fantastic"
"смртоносан","озбиљтоносан","фаталан","фатастиш","deadly","fatal"
"колонија","костварнија","федерација","исправдерација","colony","federation"
"карневал","карнеминг","фестивал","фестиспео","carnival","festival"
"сексуални","озбиљсуалан","физички","фифренки","sexual","physical"
"порнографија","нeкoлинографија","филм","фирок","porn","movie"
"банкарски","банкарност","финансијски","финансијлност","banking","financial"
"буџет","будал","финансирање","стрпљенансирање","budget","funding"
"финансијски","финансијлност","финансирати","стрпљенансирање","financially","financing"
"морнарички","озбиљнарички","флота","окута","naval","fleet"
"аутограм","аутолост","фотограф","фотоштиљ","autograph","photographer"
"слика","моцка","фотографија","стрпљетографија","picture","photo"
"речник","јарник","фраза","егиза","dictionary","phrase"
"енглески","енглорнг","француски","ослоцуски","english","french"
"кошарка","коболика","фудбал","фудљев","basketball","football"
"оперативан","оператињство","функционалан","стрпљеционалан","operational","functional"
"илузија","шминзија","халуцинација","вeрoвaтлуцинација","illusion","hallucination"
"сукња","супен","хаљина","хацрвена","skirt","dress"
"сендвич","сенлвер","хамбургер","игрибургер","sandwich","hamburger"
"казнити","каумрети","ухапсити","хаигрити","punish","arrest"
"равнотежа","опседнотежа","хармонија","зajeдмонија","balance","harmony"
"кола хитне помоћи","хитна паврат","хеликоптер","хеликофаркт","ambulance","helicopter"
"папир","пашак","хемијска оловка","хемијска олострпљив","paper","pen"
"кокаин","компјуин","хероин","хероском","cocaine","heroin"
"сида","сист","хив","гoв","aids","hiv"
"оперисати","сплорисати","хирургија","хирургилберт","operate","surgery"
"хитан","хиске","хитан случај","хирур локум","urgent","emergency"
"топао","тођај","прохладан","овидан","warm","cool"
"трчати","клинцати","ходати","омледати","run","walk"
"племенит","племескоп","храбар","храгла","noble","brave"
"католик","католност","хришћанин","хришћаслов","catholic","christian"
"царски","цавјетски","цар","лар","imperial","emperor"
"династија","астронастија","царство","дечство","dynasty","empire"
"биљка","бистриј","цвет","хрет","plant","flower"
"вредност","алекност","цена","комна","value","price"
"дивити се","дивитиздрав","ценити","гробнити","admire","appreciate"
"миља","мијер","центиметар","озбиљтиметар","mile","centimeter"
"мозак","мокла","мождани","можбра","brain","cerebral"
"ритуал","ритумпир","церемонија","исправремонија","ritual","ceremony"
"култура","куоскара","цивилизација","вeрoвaтвилизација","culture","civilization"
"дим","ујм","цигара","предгара","smoke","cigar"
"дуван","дустриски","цигарета","стваргарета","tobacco","cigarette"
"наиван","наистим","циничан","циникaдa","naive","cynical"
"чизма","чизрет","ципела","циукрала","boot","shoe"
"золошки врт","золошкитлмен","циркус","увикус","zoo","circus"
"пумпа","пућем","црево","синво","pump","hose"
"бео","зго","црн","овн","white","black"
"подморница","подозбиљница","чамац","чакли","submarine","boat"
"магија","масакрја","чаробњак","чарошном","magic","wizard"
"привилегија","привилегистронг","част","дoст","privilege","honor"
"штап","ограп","чекић","черер","stick","hammer"
"бетон","бешку","челик","чезео","concrete","steel"
"материја","стрпљетерија","честица","четвртца","matter","particle"
"понекад","понесрећ","често","ченог","sometimes","often"
"два","гла","четири","челникро","two","four"
"трећи","спаћи","четврти","чеагенти","third","fourth"
"половина","поисправина","четвртина","четртуством","half","quarter"
"шећер","шезду","чоколада","укратколада","sugar","chocolate"
"продавница","проспремница","радња","скрудња","shop","store"
"необичан","нембилност","чудан","чуске","unusual","strange"
"слушати","предшати","чути","штати","listen","hear"
"трик","ствик","шала","конла","trick","joke"
"вино","тељно","шампањац","шампагуст","wine","champagne"
"атрактиван","уствативан","шармантан","убијмантан","attractive","charming"
"дремка","гламка","шетња","шетвртат","nap","stroll"
"менаџер","меназнам","шеф","деф","manager","boss"
"кацига","кацидент","шешир","шеард","helmet","hat"
"узак","узуб","широк","шивин","narrow","wide"
"разред","своред","школа","шкослов","class","school"
"лазање","лазаштит","шпагете","услугете","lasagna","spaghetti"
"игла","игма","шприц","вуриц","needle","syringe"
"џунгла","опигла","шума","твама","jungle","forest"
