fa_cue,fa_target,type,cue_type,target_type,fa_cosine
پمپ,یاری رساندن,unrelated,word,word,
بزرگ,ناجی,unrelated,word,word,0.144204329375547
کربن,پناه‌ گاه,unrelated,word,word,
سود,نوشتن,unrelated,word,word,0.137108355111205
اشاره کردن,رحم,unrelated,word,word,
میراث,شهریور,unrelated,word,word,
دوز,مدرک,unrelated,word,word,0.0704801855993413
ابزار,مست,unrelated,word,word,0.0797455700779138
هیجان انگیز,به طور مستقیم,unrelated,word,word,
غریزه,مدرسه,unrelated,word,word,0.0901435799588597
سرمایه,مشکوک شدن,unrelated,word,word,
بررسی کردن,آره,unrelated,word,word,
غیر منطقی,شاهد,unrelated,word,word,
الماس,عجیب,unrelated,word,word,0.0911845955641389
حقه,نشان دادن,unrelated,word,word,
خبرنگار,شنا کردن,unrelated,word,word,
لذت,محلی,unrelated,word,word,0.125052921670292
دادگاه,تعویض کردن,unrelated,word,word,
شیر,شهادت,unrelated,word,word,0.0567212793761461
مرداد,بی‌رحمی,unrelated,word,word,
بالا رفتن,منابع مالی,unrelated,word,word,
انتقام,پنبه,unrelated,word,word,0.0379449333845507
ملکه,نوشابه,unrelated,word,word,0.0756272738535509
تشخیص,در نهایت,unrelated,word,word,
تجربه,گره زدن,unrelated,word,word,
عالیجناب,حریم شخصی,unrelated,word,word,
رودخانه,گرد و خاک,unrelated,word,word,
مستاجر,نشیمنگاه,unrelated,word,word,
اول,اهانت,unrelated,word,word,0.0451395209570922
لبخند,معالجه,unrelated,word,word,0.0364808831435432
عضو,پایانی,unrelated,word,word,0.102211666385811
سمینار,گوشت,unrelated,word,word,0.126043841249337
اندازه,ناشناخته,unrelated,word,word,0.143792303008959
اجازه,جهنم,unrelated,word,word,0.114499883991475
احتمال,آماده کردن,unrelated,word,word,
تاکسی,متواضع,unrelated,word,word,0.0551856721483987
اژدها,غیبت,unrelated,word,word,0.132727058933181
کلیه,خدا حافظ,unrelated,word,word,
قورباغه,اتاق خواب,unrelated,word,word,
ماهی تن,درجه حرارت,unrelated,word,word,
منطقه ای,کیک,unrelated,word,word,
بی کس,سیال,unrelated,word,word,
نفرت,موفق شدن,unrelated,word,word,
خوراک مختصر,نمونه اولیه,unrelated,word,word,
ربات,معمولا,unrelated,word,word,0.105532926343367
زن روز,منطقه,unrelated,word,word,
سرویس,تصدیق کردن,unrelated,word,word,
قطب نما,بارداری,unrelated,word,word,
طلاق,خطرناک,unrelated,word,word,0.0934976777925349
مجرد,موقعیت,unrelated,word,word,0.125877059500768
کلانتر,برنامه ریزی,unrelated,word,word,
گوشت خوک,خروج,unrelated,word,word,
جام,ربودن,unrelated,word,word,0.0796838613254852
دست سازه,سرد,unrelated,word,word,
کنفرانس,حمله کننده,unrelated,word,word,
آهن,خود خواه,unrelated,word,word,
کیلومتر,افتخار,unrelated,word,word,0.0309081594126139
مدنی,خواهرزاده,unrelated,word,word,0.131432344107138
بازتاب,تعقیب کردن,unrelated,word,word,
خطا,پنیر,unrelated,word,word,0.123491213499584
ترکیب,شفا دادن,unrelated,word,word,
فروتن,ارتباط,unrelated,word,word,0.106229816042672
پول نقد,سرنوشت,unrelated,word,word,
صفحه نمایش,زود,unrelated,word,word,
فردا,والدین,unrelated,word,word,0.0687717515370025
آسپرین,مدار,unrelated,word,word,0.122526859017641
تپه,راکتور,unrelated,word,word,0.138885784580505
بابا,تولید,unrelated,word,word,0.118581177305534
عصب,نقره اي,unrelated,word,word,
جاز,دریا کنار,unrelated,word,word,
تکامل,عمو زاده,unrelated,word,word,
برهنه,شکست,unrelated,word,word,0.0446615625145786
کشور,توصیف,unrelated,word,word,0.0859208431028335
گلو,کاپیتان,unrelated,word,word,0.145078552478704
نگران,ارتفاع,unrelated,word,word,0.103226393462969
نیمه شب,ارسال,unrelated,word,word,
سالم,معذور داشتن,unrelated,word,word,
اتمی,دره,unrelated,word,word,0.0558158256455773
به وضوح,بازیگر,unrelated,word,word,
دریا,قسمت,unrelated,word,word,0.111847566247729
آبان,چشم انداز,unrelated,word,word,
میز مطالعه,فولاد,unrelated,word,word,
رسما,تهویه,unrelated,word,word,0.0432240215797413
زغال سنگ,حضرت,unrelated,word,word,
ترتیب دادن,برنامه,unrelated,word,word,
هوا,خانواده,unrelated,word,word,0.103034505755173
پاكت نامه,چکش,unrelated,word,word,
رنج,موتور,unrelated,word,word,0.0236660507777562
اشتیاق,خرج کردن,unrelated,word,word,
واژن,بخش,unrelated,word,word,0.101779459764005
دوره,کم,unrelated,word,word,0.139122727338553
سیرت,حساس,unrelated,word,word,0.142132226512264
فرهنگ لغت,بیمار,unrelated,word,word,
جنسی,اتفاق افتادن,unrelated,word,word,
قطعه,خشمگین,unrelated,word,word,0.0669314360714887
فضانورد,آمدن,unrelated,word,word,0.0820129955877844
آماده سازی,زندان,unrelated,word,word,
سیمان,جهان,unrelated,word,word,0.0914173494851327
کاسه,اثر,unrelated,word,word,0.0512121337418144
خط مشی,همبرگر,unrelated,word,word,
روزنامه نگاری,تخت,unrelated,word,word,
وضع,کثیف,unrelated,word,word,0.145943176588409
درمانده,رقابت,unrelated,word,word,0.101601376150424
به معنای واقعی کلمه,کاراگاه,unrelated,word,word,
شکار,زشت,unrelated,word,word,0.0964177535109312
آماده,متفاوت,unrelated,word,word,0.146271612469746
صدراعظم,تکنیک,unrelated,word,word,0.112816313399844
دکمه,بیماری,unrelated,word,word,0.0902044175579975
پرنسس,جمع آوری,unrelated,word,word,
سلول,متوقف کردن,unrelated,word,word,
گروگان,تولید کردن,unrelated,word,word,
خصوصی,موش صحرایی,unrelated,word,word,
مشکل,سناتور,unrelated,word,word,0.146673479799747
کارخانه,صبح,unrelated,word,word,0.100129063658931
اماتور,عقب,unrelated,word,word,0.133460536153579
ممنوع,پیامد,unrelated,word,word,0.136537816202345
ضمانت,مرکز فرماندهی,unrelated,word,word,
مدل,اضطراری,unrelated,word,word,0.0850345263144702
پزشکی,کلاه,unrelated,word,word,0.0821030112870561
فشار دادن,خیلی,unrelated,word,word,
درج کردن,مرده,unrelated,word,word,
نیم,مقاومت کردن,unrelated,word,word,
سنجاب,کتاب,unrelated,word,word,0.14508845732805
آلودگی,سرمایه گذار,unrelated,word,word,
خشم,اجاره دادن,unrelated,word,word,
گاهی,تکه,unrelated,word,word,0.0657969849634312
خوش بین,محیط,unrelated,word,word,
جلو,واقعا,unrelated,word,word,0.149554342583497
افزایش دادن,کوچه,unrelated,word,word,
تازه,رهایی,unrelated,word,word,0.0959069893841171
ماندن,عکس,unrelated,word,word,0.10555026266043
استخدام,تمام کردن,unrelated,word,word,
پاسخ,صومعه,unrelated,word,word,0.0486944660609515
تقاضا,شیر نر,unrelated,word,word,
رانندگی کردن,کفش,unrelated,word,word,
کش رفتن,صد,unrelated,word,word,
سرقت,جایی,unrelated,word,word,0.0923996297410435
زنجیر,عزم,unrelated,word,word,0.0918182968702913
دور زدن,پاسداری,unrelated,word,word,
امنیت,ساده,unrelated,word,word,0.0381078482325619
لنگر,امریکا,unrelated,word,word,0.0910647408907802
دزد دریایی,پروتکل,unrelated,word,word,
حقوق بازنشستگی,تایید,unrelated,word,word,
حراج,نظریه,unrelated,word,word,0.0118944569390951
نینجا,دستمال کاغذی,unrelated,word,word,
قهرمان,بسته,unrelated,word,word,0.0985475418487986
خال کوبی,منهای,unrelated,word,word,
تقویم,شاهزاده,unrelated,word,word,0.0639670420256746
کلاس,تابش - تشعشع,unrelated,word,word,
نابغه,گذشته,unrelated,word,word,0.130404149184355
بی خطر,اتهام,unrelated,word,word,
مجلس,یخ زدن,unrelated,word,word,
سرپناه,تلویزیون,unrelated,word,word,0.0839489259389268
گلوله,به سرعت,unrelated,word,word,
مریض,دهه,unrelated,word,word,0.0239749047721889
مهر,درمانگاه,unrelated,word,word,0.0895770020687873
طلایی,اقامت کردن,unrelated,word,word,
به سادگی,گرفتن,unrelated,word,word,
توالت,ارتباط,unrelated,word,word,0.0756074433493223
قطره,معلم,unrelated,word,word,0.10860769208968
ایستادن,سرمایه گذاری,unrelated,word,word,
کوچولو,اخبار,unrelated,word,word,0.0332788392879914
باران,اتحادیه,unrelated,word,word,0.110034942493588
هیچ چی,لیموزین,unrelated,word,word,
در جای دیگر,مجرم,unrelated,word,word,
فرزند,درشت,unrelated,word,word,0.0900710392613314
آلبوم,متر,unrelated,word,word,0.0722133585032474
سر و صدا,سرآشپز,unrelated,word,word,
لازانیا,راه,unrelated,word,word,0.0913832276046456
صحبت کردن,خون آشام,unrelated,word,word,
مسافت,فشار دادن,unrelated,word,word,
هدر دادن,آزمایش,unrelated,word,word,
سرگرمی,مخ,unrelated,word,word,0.105062147451807
فرد مشهور,اقیانوس اطلس,unrelated,word,word,
فدرال,طعمه,unrelated,word,word,0.0918992997297509
سکو,وظیفه نشناس,unrelated,word,word,
قبلاً,گوجه فرنگی,unrelated,word,word,
صخره,شعر,unrelated,word,word,0.145827142072612
جلوگیری کردن,نارنجی,unrelated,word,word,
مغازه,ریاضیات,unrelated,word,word,0.0521042558148785
موز,عصبانیت,unrelated,word,word,0.133037254402233
خیابان اصلی,نظام سرمایه داری,unrelated,word,word,
چرت زدن,خرابکاری,unrelated,word,word,
جنون,بندرگاه,unrelated,word,word,0.0406867082826802
جایگزین کردن,آلت تناسلی,unrelated,word,word,
کافی,ملت,unrelated,word,word,0.107247264871906
پیشنهاد,گرم,unrelated,word,word,0.14537695737786
عمل کردن,خیابان,unrelated,word,word,
غرق شدن,جادوگر,unrelated,word,word,
روش,مجله,unrelated,word,word,0.144363746854033
زنگ زدن,خارجی,unrelated,word,word,
رادیو,خرگوش,unrelated,word,word,0.0617555150387315
گرما,اداره,unrelated,word,word,0.100842293150604
تاج پادشاهی,هفتگی,unrelated,word,word,
رعد,ارائه دادن,unrelated,word,word,
نام,کاربردی,unrelated,word,word,0.129250295938436
پتو,عدالت,unrelated,word,word,0.11867749058413
عروسک,باهوش,unrelated,word,word,0.110503614542279
جاسوس,ظهر,unrelated,word,word,0.131845297452195
حرکت کردن,سیگار,unrelated,word,word,
بوته,تست,unrelated,word,word,0.101031694729709
شنوایی,فرش,unrelated,word,word,0.113603807756322
دایره,دوست داشتني,unrelated,word,word,
دو برابر,منحصر بفرد,unrelated,word,word,
دوشنبه,غلط,unrelated,word,word,0.0464423911443343
جوجه,نصیحت کردن,unrelated,word,word,
چندش آور,فشار,unrelated,word,word,
نهایی,استعداد,unrelated,word,word,0.0779446300606079
ناگهان,شیراز,unrelated,word,word,0.0329572922246129
ناشناس,سرطان,unrelated,word,word,0.097570734268807
کویر,تامین مالی,unrelated,word,word,
زامبی,به تازگی,unrelated,word,word,
تریلی,کوشش,unrelated,word,word,0.068902918627732
دریچه,سازمان دادن,unrelated,word,word,
بسیار,مدرک,unrelated,word,word,0.0322571191845271
اکثریت,چادر زدن,unrelated,word,word,
جیب,آدم فضایی,unrelated,word,word,
سرباز,فعالیت,unrelated,word,word,0.110814857348908
تمیز,نعوظ,unrelated,word,word,0.14762950760525
مولانا,نبرد,unrelated,word,word,0.00471240242950304
قوی,سطح,unrelated,word,word,0.135809961810208
گنج,نیروی دریایی,unrelated,word,word,
تپانچه,جهانی,unrelated,word,word,0.0869695292511512
ماه,جنگنده,unrelated,word,word,0.0948048361257767
روزانه,کمک مالی,unrelated,word,word,
جنوبی,عروس,unrelated,word,word,0.133897234578548
باریک,تا ابد,unrelated,word,word,
سود,پرواز,unrelated,word,word,0.0907800560275284
کابل,گیجی,unrelated,word,word,0.0426970027531835
نفرین,محموله,unrelated,word,word,0.0618355211555977
خرس,افسردگی,unrelated,word,word,0.127445475693825
بیوه,ون,unrelated,word,word,0.140174388153601
شغل,ماهیچه,unrelated,word,word,0.108232682934477
بلا استفاده,انجمن,unrelated,word,word,
سزاوار,متخصص,unrelated,word,word,0.083890067820325
بخوان,دفتر,unrelated,word,word,0.125366241583375
شاعر,سوراخ,unrelated,word,word,0.1471221787789
قرمز,کارگردان,unrelated,word,word,0.0529682063948663
ترک کردن,لباس,unrelated,word,word,
نخاعی,تاثیر گذاشتن,unrelated,word,word,
آدم ربایی,اشتباه,unrelated,word,word,
حضور,ماکارونی,unrelated,word,word,0.0262261856777615
نویسنده,دلار,unrelated,word,word,0.143514125317977
انگیزه,گل,unrelated,word,word,0.115514472086517
بشقاب پرنده,روشویی,unrelated,word,word,
تاثیرگذار,آدم کشی,unrelated,word,word,
کالبد شکافی,به شدت,unrelated,word,word,
مهندس,رأی دهنده,unrelated,word,word,
انبار مهمات,فارغ التحصیل,unrelated,word,word,
طبیعی,گروه,unrelated,word,word,0.149369335109063
حمایت کردن,دریانوردی,unrelated,word,word,
قربانی,با ایمان,unrelated,word,word,
نظر,جسد,unrelated,word,word,0.0625818758012396
صلاحیت قضایی,پیاز,unrelated,word,word,
تله,مردم,unrelated,word,word,0.0896703601752099
کاناپه,روشن,unrelated,word,word,0.119383671972595
پروانه,سیاسی,unrelated,word,word,0.0708213353026217
قرآن,خرچنگ,unrelated,word,word,0.134027009382771
برج,پذیرفتن,unrelated,word,word,0.0836749708922443
دهانه تفنگ,مسافرخانه,unrelated,word,word,
باسن,رسمی,unrelated,word,word,0.0338912098265439
ساکت,ارد,unrelated,word,word,0.0737531576562582
پیک نیک,احساس,unrelated,word,word,
هرج و مرج,کمد لباس,unrelated,word,word,
قصر,ویدیو,unrelated,word,word,0.110126782308864
قاپیدن,علم,unrelated,word,word,
مسجد,جایزه,unrelated,word,word,0.0317067258185806
زیبا,مادر بزرگ,unrelated,word,word,
گران,روزنامه نگار,unrelated,word,word,
بلع,دیروز,unrelated,word,word,0.0761268092147979
معمول,سه,unrelated,word,word,0.125984538801292
باز کردن,مجسمه,unrelated,word,word,
ساحل,مکانیکی,unrelated,word,word,0.11906150197158
سقوط,موسیقی دان,unrelated,word,word,
جامعه,صندلی,unrelated,word,word,0.039659612156933
تور,موجود,unrelated,word,word,0.0891130552153159
مخاطب,بازار یابی,unrelated,word,word,
گرم,ساختمان,unrelated,word,word,0.102224731080259
فامیل,درد,unrelated,word,word,0.113990347150197
دزد,تعلق خاطر,unrelated,word,word,
اشک,کامیون,unrelated,word,word,0.0653095964236232
دلنشین,درآمد,unrelated,word,word,0.0956767316849463
عمو,تماشا کردن,unrelated,word,word,
سایه,مطالعه,unrelated,word,word,0.105884990173262
غروب خورشید,تشکر کردن,unrelated,word,word,
زنده,سانتی متر,unrelated,word,word,
کابین,سنگ,unrelated,word,word,0.103179652426229
خوش طعم,اثر انگشت,unrelated,word,word,
فرشته,بیسبال,unrelated,word,word,0.089370897459637
غرور,بوقلمون,unrelated,word,word,0.0560225325513799
گفتگو,بیشه,unrelated,word,word,0.119970371607599
آنفولانزا,انتخابات,unrelated,word,word,0.13071964152096
پرونده,بر خلاف انتظار,unrelated,word,word,
دیر,گرگ,unrelated,word,word,0.123751775036082
غیر ممکن,دانشگاه,unrelated,word,word,
خوراندن,زرد,unrelated,word,word,
فرار کردن,بلند,unrelated,word,word,
پدیده,مردن,unrelated,word,word,0.112581486199862
تمرین,آرزو,unrelated,word,word,0.0819017319644962
ترکیدن,معما,unrelated,word,word,0.0927821172997979
زمین لرزه,چندش آور,unrelated,word,word,
داخلی,آب میوه,unrelated,word,word,
شگفت انگیز,فرودگاه,unrelated,word,word,
مرگبار,مذهب,unrelated,word,word,0.059848580193959
سرفه,اطلاعات,unrelated,word,word,0.0825812869740688
پایان دادن,ناپدید شدن,unrelated,word,word,
آتش,فهمیدن,unrelated,word,word,0.0705858016511802
فرود,آشغال,unrelated,word,word,0.0350968449404714
ابر,پول,unrelated,word,word,0.107726689754584
با ادب,در رفتن,unrelated,word,word,
ارتباط,روغن,unrelated,word,word,0.0686857228244737
کائنات,سوت,unrelated,word,word,0.135412708211243
کارگاه,گونه,unrelated,word,word,0.0905224776587741
مدخل,به طور داوطلبانه,unrelated,word,word,
تعریف و تمجید,دروازه,unrelated,word,word,
پیشنهاد,تصادف,unrelated,word,word,0.0580365614810268
با شکوه,درست,unrelated,word,word,
پدر بزرگ,وانیل,unrelated,word,word,
تبریک گفتن,حیوان,unrelated,word,word,
دسته,تخیل,unrelated,word,word,0.119690461915211
به وقوع پیوستن,بابا,unrelated,word,word,
سخت,حالت تهوع,unrelated,word,word,
تعادل,بازرگان,unrelated,word,word,0.0561693698852729
بازیابی کردن,افسانه,unrelated,word,word,
گوش دادن,کوه,unrelated,word,word,
آسمان,بامزه,unrelated,word,word,0.0475470342000552
وزن,بالگرد,unrelated,word,word,0.123971101146606
امبولانس,توت فرنگی,unrelated,word,word,
ایدز,رستوران,unrelated,word,word,0.103217301539805
امتیاز,طوفان,unrelated,word,word,-0.00261146729633532
خر,سیگار,unrelated,word,word,0.0662624322927048
بوسه,تقلب,unrelated,word,word,0.12358334932582
احمق,فروشگاه,unrelated,word,word,0.0793513017315551
معنی,شکلات,unrelated,word,word,0.0727760964728818
مجازات,شرق,unrelated,word,word,0.0825531168629943
شخص,مه,unrelated,word,word,0.116594251578655
گزارش دادن,کلاه لبه دار,unrelated,word,word,
منبع,فکر کردن,unrelated,word,word,
زخم,غم انگیز,unrelated,word,word,
خارج,تجهیز کردن,unrelated,word,word,
هدف,زمستان,unrelated,word,word,0.0134337035673612
به طور تصادفی,برگشت,unrelated,word,word,
تحلیلگر,فعال کردن,unrelated,word,word,
کارمند ارشد,واقعی,unrelated,word,word,
غیر مجاز,جوان,unrelated,word,word,
تلگراف,برگزیدن,unrelated,word,word,
محافظه کار,اسباب بازی,unrelated,word,word,
لورل,زانو,unrelated,word,word,0.0564084956282473
حفظ کردن,شهردار,unrelated,word,word,
کنترل,دادستان,unrelated,word,word,0.128574488571417
تبلیغات,خائن,unrelated,word,word,0.0786871826619881
سس گوجه,مهمانی,unrelated,word,word,
تلسکوپ,بریدن,unrelated,word,word,0.0963739989774464
سفیر,حشره,unrelated,word,word,0.0490682224328148
سفارت,هماهنگی,unrelated,word,word,0.1268604174065
به علاوه,سلاح,unrelated,word,word,
فقر,پیغام,unrelated,word,word,0.000848978819224129
فیلم پورن,دوست,unrelated,word,word,
قاتل,ناحیه,unrelated,word,word,0.0978401541549469
خواننده,ستوان,unrelated,word,word,0.0505627056695863
دریایی,خودکار,unrelated,word,word,0.130819573280389
انگشتر,غرور,unrelated,word,word,0.0867797223923679
نوه,اتوبوس,unrelated,word,word,0.13219824199283
کانال,قدم زدن,unrelated,word,word,
جنوب,برنامه,unrelated,word,word,0.0988736167373388
دهان,اخراج,unrelated,word,word,0.088889961992349
دشمن,کبد,unrelated,word,word,0.124077081482738
سبز,احترام,unrelated,word,word,0.0213845967009198
فرمان,پرنده,unrelated,word,word,0.139661075070735
نتیجه,اجاق گاز,unrelated,word,word,
بخش,جنگجو,unrelated,word,word,0.0592734412209441
بلیط,پنهان کردن,unrelated,word,word,
رمز,شلیک,unrelated,word,word,0.134457426833057
مسیر,مدال,unrelated,word,word,0.0856159694841956
بدبخت,بحث,unrelated,word,word,0.132768811881506
رژ لب,تمرکز,unrelated,word,word,
توضیح,شکوه,unrelated,word,word,0.0943133875222704
مربی,بس,unrelated,word,word,0.0384430224539348
بحرانی,رئيس,unrelated,word,word,0.0359593101057484
نبض,پرواز کردن,unrelated,word,word,
ارزش,جمجمه,unrelated,word,word,0.134841431561613
شاید,بی نیرو,unrelated,word,word,
برند,سخاوتمند,unrelated,word,word,0.113403906914831
رئیس دانشگاه,ثروت,unrelated,word,word,
وکیل,رقص,unrelated,word,word,0.00967174016603423
فعال کردن,اغراق کردن,unrelated,word,word,
روباه,تعمیر کردن,unrelated,word,word,
ژنراتور,قصاص,unrelated,word,word,0.0795993790035789
الان,کمک کردن,unrelated,word,word,
فراموش کردن,سرنگ,unrelated,word,word,
از بین بردن,کارگر,unrelated,word,word,
پاداش,یکشنبه,unrelated,word,word,0.132603466508259
سزار,خلبان,unrelated,word,word,0.1315119099252
نجات,تک تیرانداز,unrelated,word,word,
انتخاب کردن,ارزیابی,unrelated,word,word,
آوردن,مجاز,unrelated,word,word,0.149898767273155
سخن,پُر,unrelated,word,word,
برده,گردباد,unrelated,word,word,0.142652330974478
بی صدا,ماهیگیری,unrelated,word,word,
استخوان,در باره,unrelated,word,word,
بتن,جادوگر,unrelated,word,word,0.0829268669898347
باد,بطور کلی,unrelated,word,word,
فر,بازیکن,unrelated,word,word,0.0488168509991016
غیر معمول,کشتن,unrelated,word,word,
آدم ساده,جرعه,unrelated,word,word,
اداره کردن,قفسه سینه,unrelated,word,word,
مهتاب,سیستم,unrelated,word,word,0.0439692567461498
لایه,رخصت,unrelated,word,word,0.114809588238264
پرچم,قاتل,unrelated,word,word,0.101546298663252
آمپول,خلاقیت,unrelated,word,word,0.131166058986422
یاد گرفتن,نام خانوادگی,unrelated,word,word,
دانش آموز,تعریف,unrelated,word,word,
لیگ,سالاد,unrelated,word,word,0.0803492653899326
گفتن,گیتار,unrelated,word,word,0.0896019169744575
سپاسگزار,پاراگراف,unrelated,word,word,0.0766124689843638
اینجا,دنگ دنگ صدا دادن,unrelated,word,word,
نازک,کشیش,unrelated,word,word,0.118090749054057
بستن,معمولی,unrelated,word,word,0.0545529138111387
ضامن بمب,عجیب و غریب,unrelated,word,word,
پوست,خریدار,unrelated,word,word,0.116533909806027
سیب زمینی,گناهکار,unrelated,word,word,
ناخن,سیاست,unrelated,word,word,0.0881461061658063
طوفان,مختل کردن,unrelated,word,word,
درمان,حقوق,unrelated,word,word,0.126041937146723
پل,از قصد,unrelated,word,word,
ناتوانی,راکت,unrelated,word,word,0.0515183863949746
ویژه,اعتماد,unrelated,word,word,0.108776362537428
به طور معمول,رویا,unrelated,word,word,
اردوگاه,شربت,unrelated,word,word,0.0503402213238943
پروتئین,دفن کردن,unrelated,word,word,
نگاه کردن,احتمال دارد,unrelated,word,word,
نامزدی,خارق العاده,unrelated,word,word,
کشاورز,باج ‎‌گیری,unrelated,word,word,
دغدغه,جهش,unrelated,word,word,0.10437607511128
پیر,میدان جنگ,unrelated,word,word,
حوزه,کودک,unrelated,word,word,0.121225130002506
راه انداختن,گزینه,unrelated,word,word,
ریاست,احتمالاً,unrelated,word,word,
قرارداد,پرسیدن,unrelated,word,word,0.056298176969051
تحسین,تلفن,unrelated,word,word,0.0745132539341825
تنبیه کردن,مسابقه,unrelated,word,word,
غفلت,زنگ خطر,unrelated,word,word,
اقیانوس آرام,قانون اساسي,unrelated,word,word,
نان تست,ارتش,unrelated,word,word,
شیمی,درخواست,unrelated,word,word,0.113194618289024
رنگ قهوه ای,طناب,unrelated,word,word,
دسر,مالک,unrelated,word,word,0.0926341301669144
سگ,بستن,unrelated,word,word,0.0927442902888382
ژنرال,بیشترین,unrelated,word,word,0.0383204115547847
اقرار کردن,ماموریت,unrelated,word,word,
بدن,مالی,unrelated,word,word,0.0843348482352203
نمایش سوارکاری,بهبود,unrelated,word,word,
گناه,روز تولد,unrelated,word,word,
فروردین,مخلوط,unrelated,word,word,
سرسپردگی,فیلم سینما,unrelated,word,word,
مستقیم,جواهر,unrelated,word,word,0.0526793129209381
تعجب,جای زخم,unrelated,word,word,
شهرستان,گردنبند,unrelated,word,word,0.12764556053004
فوری,به یاد آوردن,unrelated,word,word,
هرگز,دستگیری,unrelated,word,word,0.0976827074326115
محبوب,مخبر,unrelated,word,word,0.137592292195928
نر,سپیده دم,unrelated,word,word,
بانکداری,گردن بند,unrelated,word,word,
شوخ,نظامی,unrelated,word,word,0.139458972442909
دلسوز,نقاشی کشیدن,unrelated,word,word,
پوشاندن,دیوانه,unrelated,word,word,0.066768393150409
چاپلوسی کردن,مقدار,unrelated,word,word,
عنکبوت,اختلاف نظر,unrelated,word,word,
الهام بخشیدن,سرعت,unrelated,word,word,
مسخره,دائماً,unrelated,word,word,
هنر,قرار دادن,unrelated,word,word,
دوربین,ساختن,unrelated,word,word,0.138546949197574
خودکشی کردن,علامت,unrelated,word,word,
مثبت,کهکشان,unrelated,word,word,0.107437972221346
سوگند,سس,unrelated,word,word,0.119213324367383
توهین,داخل,unrelated,word,word,0.0803374192689646
سیاره,حرف زدن,unrelated,word,word,
پذیرش,جذاب,unrelated,word,word,0.115230056591029
نمایش,ملوان,unrelated,word,word,-0.0159668916212166
متن,حماقت,unrelated,word,word,0.0915636474653809
قمار,اردیبهشت,unrelated,word,word,
کپسول,واقع بین,unrelated,word,word,
روند,لاک پشت,unrelated,word,word,
آدم ربا,برف,unrelated,word,word,
درست است، واقعی,نشانی,unrelated,word,word,
در حقیقت,امن,unrelated,word,word,
درست کردن,موزه,unrelated,word,word,
مقاومت,شگفت انگیز,unrelated,word,word,
بازگشت,وزیر,unrelated,word,word,0.0640770421982302
یک دنده,رم,unrelated,word,word,
نوجوان,هیجان زده,unrelated,word,word,
به کار بردن,قبرستان,unrelated,word,word,
پادزهر,آذر,unrelated,word,word,
بازنده,سِنا,unrelated,word,word,
جادو,کیف پول,unrelated,word,word,
بین المللی,تنها,unrelated,word,word,
اضافه,نقاش,unrelated,word,word,0.137634474889865
قطار,مثلث,unrelated,word,word,0.147185381541685
لامپ,رای,unrelated,word,word,0.0562152843522817
آشوب,برادر,unrelated,word,word,0.0971350464870554
وحشی,زِرِه,unrelated,word,word,
درست کردن,خدمتگزار,unrelated,word,word,
لانه,آخر,unrelated,word,word,0.083364655871757
مادر,ماوراطبیعی,unrelated,word,word,
ترسناک,ایمان,unrelated,word,word,0.0412320522048874
نیروی دریایی,حوله,unrelated,word,word,
ذوب شدن,حصار,unrelated,word,word,
همکار,قانع‌کننده,unrelated,word,word,
زرنگ,بد شانسی,unrelated,word,word,
شمشیر,فرد,unrelated,word,word,0.108091401151646
اعتبار,مراسم خاکسپاری,unrelated,word,word,
فیزیک,راه رفتن,unrelated,word,word,
آناتومی,تحقیق کردن,unrelated,word,word,
بطور آهسته,دولت,unrelated,word,word,
گل و لای,ویتامین,unrelated,word,word,
خامه,عصر,unrelated,word,word,0.12396844638081
پژوهش,آدمکش,unrelated,word,word,0.0629233580249461
علامت بیماری,روستا,unrelated,word,word,
شبکه,جنگیدن,unrelated,word,word,0.0742587862088499
ازمایش,رقت انگیز,unrelated,word,word,
شاهد,ناامیدی,unrelated,word,word,0.105253395522961
سینما,آسان,unrelated,word,word,0.0507166706754403
در نظر گرفتن,نور,unrelated,word,word,
غمگین,فرستنده,unrelated,word,word,0.135972444680903
جیپ,دانش,unrelated,word,word,0.0631683662113069
بی عدالتی,بو,unrelated,word,word,
پایین تر,خاکی,unrelated,word,word,
تابستان,الهی,unrelated,word,word,0.0320241810745313
امروز,عملا,unrelated,word,word,0.126209790590723
بیرون از,هدیه,unrelated,word,word,
خواهر,قهرمانی,unrelated,word,word,0.113539901473029
مغز,امضا,unrelated,word,word,0.106513510980793
رقابت,قسم,unrelated,word,word,0.091846652360122
نوزاد,الهام,unrelated,word,word,0.0748260822110128
تنباکو,پادشاه,unrelated,word,word,0.111359496315
مشخصات,اقیانوس,unrelated,word,word,0.0803639105987772
مبارزه کردن,جذب کردن,unrelated,word,word,
غلات,کنایه آمیز,unrelated,word,word,
قاشق,نیت,unrelated,word,word,0.0665855958508671
زباله,معمولی,unrelated,word,word,0.129489598793659
خسته,تاثير گذار,unrelated,word,word,
ویروس,مراجع,unrelated,word,word,0.121983436843021
دلنشین,قضاوت کردن,unrelated,word,word,
مسابقات,کشیدن,unrelated,word,word,0.0312120553145124
مقاله,روان,unrelated,word,word,0.146385041052487
ساختن,دشوار,unrelated,word,word,0.125450803368421
استثنایی,منفجر شدن,unrelated,word,word,
دراماتیک,بسته بندی,unrelated,word,word,
چکمه,دستیار,unrelated,word,word,0.10799124227463
مهیج,نگهداری کردن,unrelated,word,word,
بنای تاریخی,حمام,unrelated,word,word,
هرم,دلسوزی,unrelated,word,word,0.048681905462712
زندگی کردن,کشتی,unrelated,word,word,
