"fa_target","fa_cue","type","target_type","cue_type","fa_cosine"
"سپری کردن","هدر","related","word","word",NA
"قصد","هدف","related","word","word",0.2102068517826
"موضوع","هدف - شی","related","word","word",NA
"نظام سرمایه داری","هرج و مرج","related","word","word",NA
"همیشه","هرگز","related","word","word",0.198745779132166
"ساخت","هرم","related","word","word",0.150911984904225
"صد","هزار","related","word","word",0.47960378203155
"زنگ خطر. هشدار","هشدار","related","word","word",NA
"پیغام","هشدار","related","word","word",0.258275516693642
"دوست","همکار","related","word","word",0.407217346509252
"دائمی","همیشه","related","word","word",0.358138963059732
"ادبیات","هنر","related","word","word",0.389656025414185
"نقاش","هنرمند","related","word","word",0.563811008941156
"گردان","هنگامه","related","word","word",0.163236828594043
"اکسیژن","هوا","related","word","word",0.38048599580438
"آدرنالین","هورمون","related","word","word",0.473342531537666
"باهوش","هوشمندانه","related","word","word",0.293795191315711
"مستی","هوشیار","related","word","word",0.388305947191985
"زشت","هيژن","related","word","word",NA
"جالب هست","هیجان انگیز","related","word","word",NA
"چیزی","هیچ چی","related","word","word",NA
"موجود","هیولا","related","word","word",0.26671359064141
"بخش","واحد","related","word","word",0.398078621946156
"برو","وارد","related","word","word",0.11813495983955
"آلت تناسلی","واژن","related","word","word",NA
"بوستون","واشنگتن","related","word","word",0.329851527884671
"فانتزی","واقعیت","related","word","word",0.396722198485898
"ناگوار","وحشتناک","related","word","word",0.432861277253923
"ظالمانه","وحشی","related","word","word",0.179492114013849
"عزیمت، خروج","ورود","related","word","word",NA
"ارتفاع","وزن","related","word","word",0.302909085614132
"ماشین","وسیله نقلیه","related","word","word",NA
"موقعیت","وضع","related","word","word",0.306863367902752
"بحران","وضعیت","related","word","word",0.29958265850774
"ماموریت","وظیفه","related","word","word",0.393621943955584
"با ایمان","وفادار","related","word","word",NA
"صداقت","وفاداری","related","word","word",0.408920713737848
"تعلق خاطر","وفاداری","related","word","word",NA
"مزاحم","وقفه","related","word","word",0.180714810541336
"دادستان","وکیل","related","word","word",0.338040217609085
"عفونت","ویروس","related","word","word",0.412088397883549
"مالک","ویژگی","related","word","word",0.122130959737372
"منحصر بفرد","ویژه","related","word","word",NA
"ودکا","ویسکی","related","word","word",0.404024438224411
"شریان","وین","related","word","word",0.350553701745687
"کندن","یتیم خانه","related","word","word",NA
"سه","یک","related","word","word",0.377315013828682
"خود خواه","یک دنده","related","word","word",NA
"ماساژ دادن","یوگا","related","word","word",NA
"اثر انگشت","حوزه","unrelated","word","word",NA
"بیگانه","سالم","unrelated","word","word",0.0936780532833753
"شعله","بار","unrelated","word","word",0.130283148867207
"فدیه","صنعت","unrelated","word","word",NA
"ربودن","نتیجه","unrelated","word","word",0.173838250633206
"بدبینانه","کتابخانه","unrelated","word","word",0.164909619932366
"احمق","تهیه کننده","unrelated","word","word",NA
"رایگان","از بین بردن","unrelated","word","word",NA
"دموکراسی","رسیدن","unrelated","word","word",0.292494015313211
"مورفین","منطقه ای","unrelated","word","word",NA
"آسمانی","دیپلم","unrelated","word","word",0.293102172393522
"گیجی","هیولا","unrelated","word","word",0.403673737764024
"ترانه","کاغذ","unrelated","word","word",0.10563955269468
"تابش - تشعشع","خواندن","unrelated","word","word",NA
"آماده کردن","پرچم","unrelated","word","word",NA
"برنامه ریزی","هوشیار","unrelated","word","word",NA
"روانشناسی","باروت","unrelated","word","word",0.103047916693617
"مرض","بررسی","unrelated","word","word",0.060543382745637
"سریع","نوین","unrelated","word","word",0.331492133591912
"گذشته","تازه","unrelated","word","word",0.126032866935811
"تا ابد","اتاق","unrelated","word","word",NA
"مه","یتیم خانه","unrelated","word","word",NA
"پنبه","محیط","unrelated","word","word",0.0920310753344095
"ابزار","ساکت","unrelated","word","word",0.129342067136041
"اتاق خواب","فعال کردن","unrelated","word","word",NA
"هسته ای","بهشت","unrelated","word","word",NA
"تصویب","بودجه","unrelated","word","word",0.272738693069638
"اجازه دهید","دیدن","unrelated","word","word",NA
"راه رفتن","عجز","unrelated","word","word",NA
"احتمال دارد","قانون","unrelated","word","word",NA
"احساس","سوزن","unrelated","word","word",0.180396567757249
"ادم سفیه و احمق","طرح","unrelated","word","word",NA
"موفق شدن","عالی","unrelated","word","word",NA
"ادامه هید","خصوصی","unrelated","word","word",NA
"دوستی","رم","unrelated","word","word",0.0996082190011343
"روستا","دست کم گرفتن","unrelated","word","word",NA
"مهم","دکمه","unrelated","word","word",0.0233492160815578
"جوان","کش رفتن","unrelated","word","word",NA
"باند","معبد","unrelated","word","word",0.129275920859155
"نعوظ","باشه","unrelated","word","word",0.164361511720791
"برداشتن","وحشی","unrelated","word","word",0.0363693345221349
"تامین مالی","روزانه","unrelated","word","word",NA
"تست","کلاه ایمنی","unrelated","word","word",NA
"شیر نر","پوست","unrelated","word","word",NA
"بیسبال","هنر","unrelated","word","word",0.25110586112369
"قابل توجه","سنجاب","unrelated","word","word",NA
"زور","نمایش","unrelated","word","word",-0.0398396484052492
"اجاره دادن","گاز","unrelated","word","word",NA
"جمجمه","هوا","unrelated","word","word",0.122915935707512
"اخراج","جنسی","unrelated","word","word",0.16693376488572
"افسانه","مد روز","unrelated","word","word",NA
"همراهی کردن","نوجوان","unrelated","word","word",NA
"حالت تهوع","سیب","unrelated","word","word",NA
"درست","نام تجاری","unrelated","word","word",NA
"شور","شیر","unrelated","word","word",0.0858096182675047
"قطع کردن","رمز","unrelated","word","word",NA
"ضربه","جنگ","unrelated","word","word",0.158095234680454
"کپی 🀄","رنج بردن","unrelated","word","word",NA
"اضافی","فرار کردن","unrelated","word","word",NA
"بیانیه","عمومی","unrelated","word","word",0.391231164601973
"وام","پول نقد","unrelated","word","word",NA
"تظاهرات","پیراهن","unrelated","word","word",0.104659683896034
"ایمان داشتن","نیم","unrelated","word","word",NA
"بسته","دریا","unrelated","word","word",0.12792178490724
"امریکا","مهندس","unrelated","word","word",0.190481810999317
"كاهش دادن","تاکسی","unrelated","word","word",NA
"زیبایی","هیجان انگیز","unrelated","word","word",NA
"چشم انداز","صفحه نمایش","unrelated","word","word",NA
"اعتراف کردن","رعد و برق","unrelated","word","word",NA
"رای","صلاحیت قضایی","unrelated","word","word",NA
"دانستن","خوب","unrelated","word","word",0.233604922146727
"لبخ","تجاری","unrelated","word","word",NA
"دارو","خوش بینانه","unrelated","word","word",NA
"جواهر","با ادب","unrelated","word","word",NA
"الهام","ناشناس","unrelated","word","word",0.150294575597375
"حرفه ای","گفتن","unrelated","word","word",NA
"بالگرد","استعفا","unrelated","word","word",0.094826673887049
"امپراتور","نظارت","unrelated","word","word",0.124246707094077
"افتخار و احترام","هرج و مرج","unrelated","word","word",NA
"دیروز","مدل","unrelated","word","word",0.0157458356640494
"ایمنی","عملیاتی","unrelated","word","word",0.44178601690023
"ایمان","تابستان","unrelated","word","word",0.0997860325613153
"زرادخانه","اصابت","unrelated","word","word",0.248794026184682
"گزینه","ربات","unrelated","word","word",0.111051290650793
"انتخاب کنید","نجیب","unrelated","word","word",NA
"عدالت","زغال سنگ","unrelated","word","word",NA
"طول","جانور","unrelated","word","word",0.173080250918992
"تئوری","طلایی","unrelated","word","word",0.270307128476716
"شست","سخن، گفتار","unrelated","word","word",NA
"فرانسوی","گلف","unrelated","word","word",0.100775031840681
"alibi","ممنوع","unrelated","word","word",NA
"فلز","امروز","unrelated","word","word",0.178221047899429
"آخر","بد","unrelated","word","word",0.146804305711363
"تخریب","کسب کردن","unrelated","word","word",NA
"تولید کردن","نگران کننده","unrelated","word","word",NA
"اچآیوی","مفید","unrelated","word","word",NA
"کامل","لاغر","unrelated","word","word",0.134471779380961
"نشستن","کیلومتر","unrelated","word","word",0.130617429004125
"وب","وضعیت","unrelated","word","word",0.0871203068598512
"آنجا","قرمز","unrelated","word","word",0.108036570697438
"مهربان","ازمایش","unrelated","word","word",0.111012188110914
"شکوه","قبر","unrelated","word","word",0.154240076792132
"مادر","ترکیبی","unrelated","word","word",0.100961371231223
"طوفان","بیمارستان","unrelated","word","word",0.12618951394682
"محموله","سپاسگزار","unrelated","word","word",0.12953385591106
"برف","واژن","unrelated","word","word",0.150770615333792
"دینامیت","سنسور","unrelated","word","word",0.226518556744886
"شمار","قمری","unrelated","word","word",0.10627247016084
"بستن","نان","unrelated","word","word",0.0809427195614353
"آینه","پشت سر هم","unrelated","word","word",NA
"کمیسیونر، رئیس پلیس","هتل","unrelated","word","word",NA
"برگشت","کافی","unrelated","word","word",0.152424447461463
"برنده","گوش کنید","unrelated","word","word",NA
"بازی","سبز","unrelated","word","word",0.094219352733515
"شفا دادن","نظر","unrelated","word","word",NA
"بار","آشوب","unrelated","word","word",0.19150737080468
"آره","تعجب","unrelated","word","word",0.244297617872027
"سیرک","تمرین","unrelated","word","word",0.347557570209669
"خواب","حلقوی","unrelated","word","word",0.197016607413124
"پایین","به طور تصادفی","unrelated","word","word",NA
"پرش","در نظر گرفتن","unrelated","word","word",NA
"والدین","شخصیت","unrelated","word","word",0.355289975090688
"سرمایه گذار","بلا استفاده","unrelated","word","word",NA
"مالی","بابا","unrelated","word","word",0.135879230495119
"بهانه","دزد دریایی","unrelated","word","word",NA
"فولاد","شیرین","unrelated","word","word",0.0907444733572346
"خدمتکار","پادزهر","unrelated","word","word",0.138079839170522
"سیاسی","دادگاه","unrelated","word","word",0.171247060229544
"پاراگراف","همکار","unrelated","word","word",0.13565570529309
"رحم","بسیار","unrelated","word","word",0.0337655187499802
"بیمار","عمو یا دایی","unrelated","word","word",NA
"ظلم و ستم","خاکستر","unrelated","word","word",NA
"تأسفبار - رقت انگیز","بانکدار","unrelated","word","word",NA
"جسد","دسته","unrelated","word","word",0.154616527363476
"آلفا","سس گوجه","unrelated","word","word",NA
"ساختمان","کابوس","unrelated","word","word",0.134890961407995
"خدمتگزار","مستعمره","unrelated","word","word",0.212706708785921
"تصدیق کردن","خر","unrelated","word","word",NA
"برهنه","انبار مهمات","unrelated","word","word",NA
"بزرگ","تحلیلگر","unrelated","word","word",0.0359310092345498
"چرت زدن","ابدی","unrelated","word","word",NA
"فوتبال","نگه داشتن","unrelated","word","word",NA
"بسیار","روند","unrelated","word","word",0.221025853318153
"زیبا","دنبال کردن","unrelated","word","word",NA
"به سرعت","تریلر","unrelated","word","word",NA
"بی ارزش","سرنوشت","unrelated","word","word",NA
"جویدن","شانه","unrelated","word","word",0.181835687020927
"گذرنامه","ثابت","unrelated","word","word",0.123414355694175
"انفجار","لازانیا","unrelated","word","word",0.107001855086527
"مجسمه","خداوند","unrelated","word","word",0.200799104385507
"ساده","ارتباط","unrelated","word","word",0.124073761394308
"از قصد","دخانیات","unrelated","word","word",NA
"بطور کلی","مفهوم","unrelated","word","word",NA
"معمولا","بازرس","unrelated","word","word",0.0413059779591593
"منهای","راحت","unrelated","word","word",0.0284396674501594
"عملا","صبور","unrelated","word","word",0.0312833868531232
"به طور مشخص","سایه","unrelated","word","word",NA
"به وقوع پیوستن","ساحل دریا","unrelated","word","word",NA
"فصل پاييز","استثنایی","unrelated","word","word",NA
"جهنم","پاسخ","unrelated","word","word",0.148554986212046
"کفش","باران","unrelated","word","word",0.0944655153338485
"درخت","قهرمان","unrelated","word","word",0.094239079688717
"منابع مالی","درست است، واقعی","unrelated","word","word",NA
"در آغوش گرفتن","دریایی","unrelated","word","word",NA
"امن است","تبلیغات","unrelated","word","word",NA
"سکوت","پوند","unrelated","word","word",0.0941578659415368
"غیر منصفانه","بسیار","unrelated","word","word",NA
"گناهکار","زمین","unrelated","word","word",0.0995269038510086
"درمانگاه","رادیو","unrelated","word","word",0.144720745136118
"جهان","انگیزه","unrelated","word","word",0.105907335580354
"زن","مغازه","unrelated","word","word",0.204546515980146
"واکسن","قطعه","unrelated","word","word",0.146709319120279
"دیوانه","دهان","unrelated","word","word",0.0882430642847463
"دستمال کاغذی","طوفان","unrelated","word","word",NA
"پاسخ","بچه دار","unrelated","word","word",NA
"بسته بندی","اتمی","unrelated","word","word",NA
"پایان دادن","قرارداد","unrelated","word","word",NA
"فرودگاه","ساندویچ","unrelated","word","word",0.207954757586143
"مرکز فرماندهی","سلطنتی","unrelated","word","word",NA
"بالا بردن","گیاه","unrelated","word","word",NA
"بالا","ایده آل","unrelated","word","word",NA
"استعداد","خداوند","unrelated","word","word",0.167332050696306
"حوله","جلوگیری کردن","unrelated","word","word",NA
"سرآشپز","ددین","unrelated","word","word",NA
"مادر بزرگ","جعبه","unrelated","word","word",NA
"رویداد","سالگرد","unrelated","word","word",0.258153893194701
"مهمانی - جشن","کارناوال","unrelated","word","word",NA
"سمبل","بین المللی","unrelated","word","word",NA
"پرنده","محافظت","unrelated","word","word",0.0985693031687141
"ویتامین","هشدار","unrelated","word","word",0.124181138397635
"روانشناسی","چرت زدن","unrelated","word","word",NA
"مطالعه","سفیر","unrelated","word","word",0.115781462142757
"فکس","شعاع","unrelated","word","word",0.179898214526936
"دختران","امید","unrelated","word","word",0.154351857515013
"منفجر کردن","الکل","unrelated","word","word",NA
"تونل","شاید","unrelated","word","word",0.114894719191718
"شلنگ","پویش","unrelated","word","word",NA
"پناه","فقیر","unrelated","word","word",0.220613890983119
"فراری","جنوب","unrelated","word","word",0.15601376910463
"در، درب","توهم","unrelated","word","word",NA
"دروازه","یک دنده","unrelated","word","word",NA
"فیلم سینما","پناهنده","unrelated","word","word",NA
"بافت","ایجاد کردن","unrelated","word","word",NA
"پنهان شدن","جنوبی","unrelated","word","word",NA
"پول","رودخانه","unrelated","word","word",0.103456356646574
"دلار","بلع","unrelated","word","word",0.0595826866848502
"انتخابات","خوب","unrelated","word","word",0.136465650736772
"فهمیدن","لذت","unrelated","word","word",0.0414868274922198
"گیتار","مکیدن","unrelated","word","word",0.351967252919266
"مجله","روزنامه نگاری","unrelated","word","word",NA
"ژاکت","بدن","unrelated","word","word",0.182383603937354
"شکست دادن","اشتیاق","unrelated","word","word",NA
"توسعه","فرهنگ لغت","unrelated","word","word",NA
"دادن","معنی","unrelated","word","word",0.15954765778281
"پیشنهاد می دهد","لیموناد","unrelated","word","word",NA
"چادر زدن","احساس؛ عقیده؛ گمان","unrelated","word","word",NA
"دینگ","ایدز","unrelated","word","word",0.257802850412402
"تایید","آزادی","unrelated","word","word",0.280476266716889
"زمستان","وضع","unrelated","word","word",0.163564296278445
"مراسم خاکسپاری","تمرکز","unrelated","word","word",NA
"تخت پادشاهی","رنج کشیدن","unrelated","word","word",NA
"سبک","تجربه","unrelated","word","word",0.207724128765958
"تازه کردن","رادار","unrelated","word","word",NA
"بیکن","بنای تاریخی","unrelated","word","word",NA
"لیموزین","غریزه","unrelated","word","word",0.309329589710618
"سلام","سلسله","unrelated","word","word",0.0249566676496994
"قرص","شانس. فرصت","unrelated","word","word",NA
"بازار یابی","باشگاه","unrelated","word","word",NA
"سلاح","ناراحت","unrelated","word","word",0.159575516363882
"کوه","لازم","unrelated","word","word",0.0897737032179037
"بازرگان","طلسم","unrelated","word","word",0.127490942440596
"دانش","مبارزه کن","unrelated","word","word",NA
"تجهیز کردن","ساخت و ساز","unrelated","word","word",NA
"قدردانی","آتش","unrelated","word","word",0.104027065698726
"محقق","مزرعه دار","unrelated","word","word",NA
"دستگاه","گزارش","unrelated","word","word",0.122640502784178
"سازمان دادن","واقعیت","unrelated","word","word",NA
"ترساندن","فعال","unrelated","word","word",0.21124735533838
"ترس","بهار","unrelated","word","word",0.182039560288371
"عجیب و غریب","کلید","unrelated","word","word",NA
"سوراخ","گاهی","unrelated","word","word",0.0989575368304817
"رها کردن","به طور معمول","unrelated","word","word",NA
"مخلوط","دزد","unrelated","word","word",0.033756137666924
"ون","پایین","unrelated","word","word",0.148903791853213
"می دانند","غروب خورشید","unrelated","word","word",NA
"عکس","سلسله","unrelated","word","word",0.124926055025597
"هماهنگی","خشم","unrelated","word","word",0.189501992493893
"اختلاف نظر","اعتماد","unrelated","word","word",NA
"ناامید کننده","میمون","unrelated","word","word",NA
"کیفیت","پژوهش","unrelated","word","word",0.20162500132921
"هدیه","تابوت","unrelated","word","word",0.180965556009656
"بهبود","اینترنت","unrelated","word","word",0.142140496116236
"تفنگ","خسته","unrelated","word","word",0.0470207738130688
"درخواست","گروگان","unrelated","word","word",0.172704482079659
"برنامه","تشخیص","unrelated","word","word",0.056571076000454
"تلاش کردن","دور زدن","unrelated","word","word",NA
"میکروسکوپ","کمیسیون","unrelated","word","word",0.292929208672727
"حرف","بتن","unrelated","word","word",0.103162689825272
"طعمه","آدم ربا","unrelated","word","word",NA
"تمرکز","اداره کردن","unrelated","word","word",NA
"ورزش","خودکشی کردن","unrelated","word","word",NA
"شستشو","حرارت","unrelated","word","word",0.214302532754549
"دستگیری","زنجیر","unrelated","word","word",0.300670041643818
"کثیف","خط مشی","unrelated","word","word",NA
"متاهل","مسابقات","unrelated","word","word",-0.00126539634747797
"تنهایی","فوت و فن","unrelated","word","word",NA
"حمله","سیب زمینی","unrelated","word","word",NA
"مدیر","کشور","unrelated","word","word",0.0301585136244404
"فرو رفتن","نگهبان","unrelated","word","word",NA
"اعتماد به نفس","قدرت","unrelated","word","word",NA
"جذب کردن","بخشش","unrelated","word","word",NA
"کنسرت","مقاومت","unrelated","word","word",0.0438893014884586
"بیان","ذهنی","unrelated","word","word",0.305411654840495
"محتمل","مسئوليت","unrelated","word","word",0.0989058384385045
"تقلب","حقوق بازنشستگی","unrelated","word","word",NA
"بارداری","کاسه","unrelated","word","word",0.0498312422023905
"سرطان","حاوی","unrelated","word","word",0.155334003878544
"توجیه","قمار","unrelated","word","word",0.131654086877351
"جبران کردن","حلقه","unrelated","word","word",NA
"تک تیرانداز","رومو","unrelated","word","word",NA
"تعمیر","فرزند دختر","unrelated","word","word",NA
"اولیه","مرگ","unrelated","word","word",0.156883414855964
"بزرگراه","شایعات","unrelated","word","word",0.132259530730943
"برق","با شکوه","unrelated","word","word",NA
"موسیقی","نامزدی","unrelated","word","word",0.265527225056827
"خرابکاری","سلامتی","unrelated","word","word",0.278416293691858
"خائن","سیر","unrelated","word","word",0.0826074550557618
"انجمن","رقصنده","unrelated","word","word",0.123483225382232
"حیوان","سود","unrelated","word","word",0.0984080516605348
"مدال","شب","unrelated","word","word",0.0736862504054776
"جایزه","غمگین","unrelated","word","word",0.259319951087648
"جایگزین","توطئه","unrelated","word","word",0.0953011886621154
"عقب","قبیله","unrelated","word","word",0.031322381913105
"صندلی","دوش","unrelated","word","word",0.138044894266479
"جذاب","تاج پادشاهی","unrelated","word","word",NA
"دکتر","غیرواقعی، ساختگی","unrelated","word","word",NA
"پیدا کردن","توالت","unrelated","word","word",NA
"کیسه","شرلوک","unrelated","word","word",0.10210006872765
"غلط","سرمایه، پایتخت","unrelated","word","word",NA
"متوقف کردن","بازی","unrelated","word","word",NA
"کامل","حفظ","unrelated","word","word",0.135672687414085
"جمع آوری","ورود","unrelated","word","word",NA
"حضار","به وقوع پیوستن","unrelated","word","word",NA
"مردم","سینما","unrelated","word","word",0.209900339013818
"فیزیکی","تحسین","unrelated","word","word",0.329189991805905
"نبرد","طعم","unrelated","word","word",0.153570201064025
"جنگل","هيژن","unrelated","word","word",NA
"دانشمند","مراسم","unrelated","word","word",0.0915904250653945
"شمالی","خواندن","unrelated","word","word",0.14695371493135
"غربی","تعداد","unrelated","word","word",0.127359005573216
"حماقت","رسما","unrelated","word","word",0.0905780119766764
"ارتباط","نوبل","unrelated","word","word",0.103929190128669
"غرور","جامعه","unrelated","word","word",0.162743314244756
"دوران کودکی","غذا","unrelated","word","word",NA
"بوقلمون","کاناپه","unrelated","word","word",0.157719780027822
"کیف پول","وزن","unrelated","word","word",NA
"کامیون","پختن","unrelated","word","word",0.117395920264405
"قدم زدن","فلسفه","unrelated","word","word",NA
"گوش","توضیح","unrelated","word","word",0.148739381308256
"چشم انداز","آسپرین","unrelated","word","word",NA
"شگفت انگیز","فرود آمدن","unrelated","word","word",NA
"چکش","اندیشه","unrelated","word","word",0.112950833006137
"این","قرن","unrelated","word","word",0.130414184380023
"تصادف","فروشنده","unrelated","word","word",0.140747976133244
"محتوا","شخصی","unrelated","word","word",0.235733282973937
"فروش","ماهی تن","unrelated","word","word",NA
"درجه حرارت","امبولانس","unrelated","word","word",NA
"شهرت، آبرو","هدر","unrelated","word","word",NA
"منتقل کردن","شخص","unrelated","word","word",NA
"خشمگین","شعبده بازي","unrelated","word","word",NA
"دیدنی و جذاب - تماشایی","اضافی","unrelated","word","word",NA
"غیبت","ترک","unrelated","word","word",0.207789708918805
"دفن کردن","مقدار","unrelated","word","word",NA
"حفظ","ایستادن","unrelated","word","word",0.143672673013011
"حقوق","افشا","unrelated","word","word",0.0685861518480209
"لاک پشت","رنگ کردن","unrelated","word","word",NA
"گردنبند","درست","unrelated","word","word",0.0945945012939598
"اعدام","مغز","unrelated","word","word",0.0399567973366034
"معاونت","سرقت","unrelated","word","word",0.200985233503953
"منطقه","عزیزم","unrelated","word","word",0.115459969566277
"داخل","کوکائین","unrelated","word","word",0.140218273195695
"در باره","حرفه","unrelated","word","word",NA
"گرد و خاک","ادامه دادن","unrelated","word","word",NA
"جای زخم","عامل","unrelated","word","word",NA
"پر شده","شام","unrelated","word","word",NA
"اپارتمان","مقدار کمی","unrelated","word","word",NA
"روزنامه نگار","فاصله","unrelated","word","word",NA
"الهام","گنج","unrelated","word","word",0.262193201112037
"بانوی","خراش","unrelated","word","word",0.155489092184168
"کشتی","ترساندن","unrelated","word","word",0.0872552731067269
"اسب","به طور طبیعی","unrelated","word","word",NA
"کبودی","موفقیت","unrelated","word","word",0.28725395773818
"گرگ","فرهنگ","unrelated","word","word",0.0865144469983997
"ورود","سرویس","unrelated","word","word",0.159701760064091
"فروش","ارشد","unrelated","word","word",0.107494101172505
"گرسنه","معده","unrelated","word","word",0.221275994389568
"مرطوب","بازتاب","unrelated","word","word",0.242611355218986
"خشم","دست","unrelated","word","word",0.218753001082333
"حریم خصوصی","جاده","unrelated","word","word",NA
"سیاستمدار","صبر کن","unrelated","word","word",NA
"اشتباه کردن","سیاره","unrelated","word","word",NA
"خطر","ظرفیت","unrelated","word","word",0.211964043840412
"خطرناک","موز","unrelated","word","word",0.0756086272685548
"بندرگاه","مثبت","unrelated","word","word",0.115058393773645
"نوشتن","صبر","unrelated","word","word",0.0975255344334384
"نوشتن","فایل","unrelated","word","word",0.184741086635878
"نوازنده","الهام بخشیدن","unrelated","word","word",NA
"برادر","گرفتن","unrelated","word","word",0.0882787707873886
"دوست داشتني","خانه","unrelated","word","word",NA
"بد","محبوب","unrelated","word","word",0.144717859658226
"عکاس","قطار - تعلیم دادن","unrelated","word","word",NA
"آدم کشی","آسمان","unrelated","word","word",NA
"خوردن","دارچین","unrelated","word","word",0.243805250805438
"ناهار","تقویم","unrelated","word","word",0.16993846669698
"واقع بین","فرمانده","unrelated","word","word",NA
"خوشمزه - لذیذ","آماده سازی","unrelated","word","word",NA
"ادرار کردن","صدا","unrelated","word","word",NA
"خیابان","در حقیقت","unrelated","word","word",NA
"خلاقیت","تعادل","unrelated","word","word",0.221647692114377
"کمک مالی","گروهبان","unrelated","word","word",NA
"قضاوت کردن","ماه","unrelated","word","word",NA
"اطلاعات","ارگاسم","unrelated","word","word",0.125808938788955
"سرمایه گذاری","خطرناک","unrelated","word","word",NA
"وانیل","نبض","unrelated","word","word",0.148937312745658
"سرد","مخالف","unrelated","word","word",0.10968377594205
"عروس","طبیعی","unrelated","word","word",0.0691293168498255
"لباس","نژاد پرست","unrelated","word","word",NA
"معلم","بی عدالتی","unrelated","word","word",NA
"دانشگاه","شکار","unrelated","word","word",0.0723786692711069
"به طور داوطلبانه","زنگ زدن","unrelated","word","word",NA
"مثلث","فنی","unrelated","word","word",0.119925742071875
"دستیار","پدیده","unrelated","word","word",0.30894161652781
"سیگار","شیپور","unrelated","word","word",0.292610007927805
"پسر","تور","unrelated","word","word",0.101376963055042
"استاد","چشم","unrelated","word","word",0.183797893182661
"جایی","کوسه","unrelated","word","word",0.107693200246714
"واقعا","غرق شدن","unrelated","word","word",NA
"فکر","وفاداری","unrelated","word","word",0.124274303292846
"قرار دادن","محافظه کار","unrelated","word","word",NA
"روشن","از لحاظ مالی","unrelated","word","word",NA
"استفاده کنید","استادیوم","unrelated","word","word",NA
"ترک کرد","کربن","unrelated","word","word",NA
"واقعی","کارشناس","unrelated","word","word",0.161895324295872
"رفتار","وحشتناک","unrelated","word","word",0.135178966151082
"بی نیرو","درج کردن","unrelated","word","word",NA
"زنگ تفريح","سنگین","unrelated","word","word",NA
"دروغ گو","گل و لای","unrelated","word","word",NA
"خارجی","فروتن","unrelated","word","word",0.188525195003704
"اقیانوس","امپراتوری","unrelated","word","word",0.338606205472013
"ناوگان","تله","unrelated","word","word",0.126365657632872
"نیروی دریایی","گلو","unrelated","word","word",NA
"جنایی","قربانی","unrelated","word","word",0.426227330071605
"ملوان","مجازات","unrelated","word","word",0.0754849788594953
"بازو","اکثریت","unrelated","word","word",0.0792518812641118
"اغراق کردن، مبالغه","خشک","unrelated","word","word",NA
"گروه","مدیر","unrelated","word","word",0.173128757556114
"کیک","گرسنگی","unrelated","word","word",0.27087533717945
"حریف","خارج کردن","unrelated","word","word",NA
"مطبوعات","نیمه شب","unrelated","word","word",NA
"سخاوتمند","لامپ","unrelated","word","word",0.119306021302007
"علت","لایه","unrelated","word","word",0.127546669648456
"تعقیب","کابینه","unrelated","word","word",0.253149487060044
"بینی","فدرال","unrelated","word","word",0.100476146725548
"چهار","قاتل","unrelated","word","word",0.145817945325966
"سه گانه","انتخاب","unrelated","word","word",NA
"سیگار","خلیج","unrelated","word","word",0.255541357423031
"دور و بر","جاسوسی","unrelated","word","word",NA
"چرخاندن","الماس","unrelated","word","word",0.22875594000933
"میکروفون","شهرستان","unrelated","word","word",0.0153021233723643
"تزریق","پتانسیل","unrelated","word","word",0.323178473272753
"حمام","فقط","unrelated","word","word",0.200213661188335
"سهشنبه","به وضوح","unrelated","word","word",NA
"دقیقه","حراج","unrelated","word","word",0.122667610443726
"ویدیو","جوانان","unrelated","word","word",0.0206731334241009
"فارغ التحصیل","سواره نظام","unrelated","word","word",NA
"ملاقات","براوو","unrelated","word","word",0.125791432254403
"زود","قورباغه","unrelated","word","word",0.0843137482723901
"حصار","گران","unrelated","word","word",0.0924241442185991
"عاطفی","نر","unrelated","word","word",0.121521714885737
"یخ زدگی","راندن","unrelated","word","word",NA
"دلپذیر","یک","unrelated","word","word",0.491278031492907
"ماهواره","چشمگیر","unrelated","word","word",0.15787814806346
"تلویزیون","بطور آهسته","unrelated","word","word",NA
"رمز و راز","زامبی","unrelated","word","word",NA
"خوشحال","آهسته. تدریجی","unrelated","word","word",NA
"سوار کردن","پذیرش","unrelated","word","word",NA
"اصلی","گرفتن","unrelated","word","word",0.0795177700575299
"کشیش","الاغ","unrelated","word","word",0.236190387622228
"دستگاه","خدمه","unrelated","word","word",0.109743406931162
"تایید کنید","عرصه","unrelated","word","word",NA
"عطر","احتمال","unrelated","word","word",0.0842264945605426
"رسمی","معشوقه","unrelated","word","word",0.157652037072207
"بیا","ژوئن","unrelated","word","word",0.144882349606462
"قید","واشنگتن","unrelated","word","word",0.117766999414076
"رعد و برق","مهمان نوازی","unrelated","word","word",NA
"قهرمانی","معاینه","unrelated","word","word",0.288499836767813
"رقص","لبخند","unrelated","word","word",0.176707100037942
"ضبط","امنیت","unrelated","word","word",0.115434811401404
"کنیاک","اسکورت","unrelated","word","word",0.168840487856681
"کلمه عبور","تراشه","unrelated","word","word",NA
"مردن","پسران","unrelated","word","word",0.127987967927063
"درد","اجازه","unrelated","word","word",0.0951527776439742
"آبی","فرم","unrelated","word","word",0.0863600438683794
"قرعه کشی","کالوبر","unrelated","word","word",NA
"خرگوش","ماه","unrelated","word","word",0.038309948803599
"روح","نقطه","unrelated","word","word",0.101281893977013
