"fa_cue","fa_target","fa_fake_target","fa_fake_cue","en_cue","en_target"
"دومین","دقیقه","چمیقه","دویون","second","minute"
"دی وی دی","ویدیو","مقدیو","دی وزندی","dvd","video"
"دیپلم","فارغ التحصیل","فارغجملتحصیل","دیجزم","diploma","graduate"
"دیدن","ملاقات","ملدهات","دیشه","see","meet"
"دیر","زود","تخد","لشر","late","early"
"دیوار","حصار","سكار","آموار","wall","fence"
"ذهنی","عاطفی","عالزی","مئنی","mental","emotional"
"ذوب شدن","یخ زدگی","یخرادگی","زکب شدن","melt","freeze"
"راحت","دلپذیر","دلوایر","راطم","comfortable","pleasant"
"رادار","ماهواره","مانکاره","راهير","radar","satellite"
"رادیو","تلویزیون","تلویفرون","رايگو","radio","television"
"راز","رمز و راز","رمز تهراز","نگز","secret","mystery"
"راضی","خوشحال","خودمال","رايز","satisfied","happy"
"راندن","سوار کردن","سوارجاردن","رااون","drive","ride"
"راهب","اصلی","دزلی","راقۀ","bishop","cardinal"
"راهب","کشیش","کشتا","راقۀ","monk","priest"
"ربات","دستگاه","بلتگاه","پتات","robot","machine"
"رد کردن","تایید کنید","تابسد کنید","ردمهردن","refuse","accept"
"رژ لب","عطر","يجر","رژلبب","lipstick","perfume"
"رسما","رسمی","تحمی","فلما","officially","official"
"رسیدن","بیا","فيا","تحیدن","arrive","come"
"رشوه","قید","تقد","اغوه","bribe","blackmail"
"رعد و برق","رعد و برق","رعایو برق","رعد نگبرق","lightning","thunder"
"رقابت","قهرمانی","نجرمانی","بیابت","competition","championship"
"رقصنده","رقص","صیص","چوصنده","dancer","dance"
"رکورد","ضبط","دغط","ويورد","record","recording"
"رم","کنیاک","گلیاک","مف","rum","cognac"
"رمز","کلمه عبور","کلمهرلبور","يکز","code","password"
"رنج بردن","مردن","مرشه","رنهابردن","suffer","die"
"رنج کشیدن","درد","هيد","رنانکشیدن","suffering","pain"
"رنگ قهوه ای","آبی","فسی","رنگ قهوهرأی","brown","blue"
"رنگ کردن","قرعه کشی","قرعهدنشی","رنپاکردن","paint","draw"
"روباه","خرگوش","آلگوش","رودـه","fox","rabbit"
"روح","روح","لاح","لاح","soul","spirit"
"رودخانه","دریاچه","دریادی","رولاانه","river","lake"
"روزانه","هفتگی","گشتگی","رورينه","daily","weekly"
"روزنامه نگاری","سیاست","مراست","روزنامتجنگاری","journalism","politics"
"روش","تکنیک","تکميک","یدش","method","technique"
"رومو","ژولیت","املیت","آزمو","romeo","juliet"
"رومی","یونانی","هانانی","رووم","roman","greek"
"روند","روش","یدش","کاند","process","procedure"
"ریتم","سبک","يرک","ریقا","rhythm","style"
"زامبی","خون آشام","خوبآآشام","زادقی","zombie","vampire"
"زباله ها","زباله","صناله","زبالكيها","trash","garbage"
"زخمی کردن","صدمه","صدرو","زخمیدیردن","wound","injury"
"زغال سنگ","روغن","روژی","زغالپینگ","coal","oil"
"زمین","پرواز","پرریز","سفین","land","fly"
"زمین لرزه","انفجار","انسیار","زمینینرزه","earthquake","explosion"
"زنبور عسل","مورچه","مودکه","زنبوشکعسل","bee","ant"
"زنجیر","طناب","ضماب","زنتگر","chain","rope"
"زنده","مرده","مرست","زنست","alive","dead"
"زنده","زنده ماندن","زنده ماناپ","زنست","live","survive"
"زنگ زدن","تلفن","تلke","زنابزدن","call","telephone"
"زنگ زده","گرداب","گرلوب","زنیخزده","rusty","dusty"
"زیردریایی","قایق","قاكس","جمردریایی","submarine","boat"
"ژست","عمل کردن","عموجکردن","oiت","gesture","act"
"ژنراتور","راکتور","چيکتور","عدراتور","generator","reactor"
"ژوئن","جولای","دیلای","ژولا","june","july"
"سؤال","پرسیدن","پروردن","coال","question","ask"
"ساحل دریا","ساحل","سالآ","ساحلضرریا","beach","coast"
"ساخت و ساز","ساختن","ساسين","ساخت واغاز","construction","build"
"ساختن","انجام دادن","انجام دارش","ساسين","make","do"
"ساکت","ارامش","اروپش","سایس","quiet","calm"
"سالگرد","روز تولد","روحزتولد","سادهرد","anniversary","birthday"
"سالم","معمولی","معموهب","سانن","healthy","normal"
"ساندویچ","همبرگر","همبرسم","سانديچچ","sandwich","hamburger"
"سایه","تاریک","تالاک","ونیه","shadow","dark"
"سبز","نارنجی","نارنزو","گنز","green","orange"
"سپاسگزار","متشکرم","متصلرم","آیاسگزار","grateful","thank"
"سپتامبر","اکتبر","اکمپر","سپتايار","september","october"
"سپر","زره پوش","زرجتپوش","یمر","shield","armor"
"سخت است","سخت","ربت","سخنشاست","tough","hard"
"سخن، گفتار","خطبه","جیبه","خطن، گفتار","speech","sermon"
"سر و صدا","صدا","حها","سرجی صدا","noise","sound"
"سرانجام","در نهایت","دريوهایت","سرانرشم","finally","eventually"
"سرباز","جنگجو","جنآشو","سرترز","soldier","warrior"
"سرفه کردن","تب","اص","سرفهمىردن","cough","fever"
"سرقت","سرقت","نوقت","چوقت","theft","robbery"
"سرگرمی","ورزش","وررس","سرگراه","hobby","sport"
"سرمایه، پایتخت","شهر","بتر","سرمایهیهپایتخت","capital","city"
"سرنوشت","سرنوشت","اينوشت","اينوشت","fate","destiny"
"سرویس","نگهداری","کشهداری","سرحاس","service","maintenance"
"سزار","رم","صو","چـار","caesar","rome"
"سزاوار","ارزشمند","ارزشتاد","سزاورن","deserve","worthy"
"سس گوجه","مایونز","مااينز","سسبروجه","ketchup","mayonnaise"
"سفارت","وزارتخانه","وزارهدانه","نوارت","embassy","ministry"
"سفید","سیاه","دشاه","مزید","white","black"
"سفیر","وزیر","وزاب","رجیر","ambassador","minister"
"سقوط","سقوط - فروپاشی","رشوط  فروپاشی","سقسف","fall","collapse"
"سکو","ایستگاه","ایارگاه","گمو","platform","station"
"سگ","گربه","گروگ","رۀ","dog","cat"
"سلام","خدا حافظ","خدا حاثم","زيام","hello","bye"
"سلامتی","تحصیلات","تحزيلات","سلدستی","health","education"
"سلسله","امپراتوری","امپريشوری","سلقوه","dynasty","empire"
"سلسله","قسمت","عشمت","سلقوه","series","episode"
"سلطنتی","پادشاهی","پارااهی","سلسرتی","royal","kingdom"
"سلول","زندان","تعدان","سلدر","cell","prison"
"سمی","کشتن","نگتن","یقی","poison","kill"
"سمینار","سخنرانی","سخابانی","سميهار","seminar","lecture"
"سنجاب","راکون","راتتن","سنديب","squirrel","raccoon"
"سنسور","فرستنده","فرستيمه","موسور","sensor","transmitter"
"سنگ","سنگ","بپگ","بپگ","rock","stone"
"سنگین","به شدت","بهطردت","سنينن","heavy","heavily"
"سواره نظام","توپخانه","توعنانه","سواركسنظام","cavalry","artillery"
"سوپ","سالاد","ساکند","راپ","soup","salad"
"سوپرمن","بتمن","کسمن","سوپرخر","superman","batman"
"سود","درآمد","دردند","ــد","profit","income"
"سوزن","سرنگ","نانگ","سوبش","needle","syringe"
"سوگند","سوگند - دشنام","سوييد  دشنام","سولود","swear","oath"
"سوم","چهارمین","چهارغون","ئيم","third","fourth"
"سیاره","مدار","تيار","لياره","planet","orbit"
"سیب","میوه","میپا","جعب","apple","fruit"
"سیب زمینی","گوجه فرنگی","گوجهديرنگی","سیرمزمینی","potato","tomato"
"سیر","پیاز","ملاز","مبر","garlic","onion"
"سیر تکاملی","جهش","ظرش","سیفاتکاملی","evolution","mutation"
"سیمان","پلاستیکی","اخاستیکی","سینگن","cement","plastic"
"سینما","تئاتر","صراتر","سیخدا","cinema","theater"
"شات","شلیک","نتیک","اکت","shot","shoot"
"شاعر","نویسنده","نوترنده","شابط","poet","writer"
"شام","صبحانه","صبجونه","فيم","dinner","breakfast"
"شانس. فرصت","امکان پذیری","امکاانپذیری","شانسختفرصت","chance","possibility"
"شانه","زانو","آزنو","شاشی","shoulder","knee"
"شاهد","شهادت","شهدمت","شانج","witness","testimony"
"شاهزاده","شاهزاده","شاتفاده","شاتفاده","princess","prince"
"شاید","شاید","شابه","گرید","maybe","probably"
"شایعات","رسوایی","ايوایی","شايمات","gossip","scandal"
"شب","شب","ثر","ضی","night","evening"
"شبکه","سیستم","ندستم","عزکه","network","system"
"شجاعت","عزم","مقم","شجييت","courage","determination"
"شخص","شخصی","کبصی","کبص","person","individual"
"شخص","برافروختن","برافروسان","کبص","dude","bro"
"شخصی","صمیمی","لزیمی","کبصی","personal","intimate"
"شخصیت","شخصیت","شخبتت","شخشدت","character","personality"
"شراب","شامپاین","شاهااین","شرشت","wine","champagne"
"شرکت","آژانس","جرانس","شریس","firm","agency"
"شرکت","شرکت","شریس","شریس","company","corporation"
"شرلوک","واتسون","وایکون","شروطک","sherlock","watson"
"شریف","شجاع","قفاع","شرصد","noble","brave"
"شعاع","محیط","محژت","شعدز","radius","perimeter"
"شعبده بازي","جادوگر","جادوسم","شعبدیهبازي","magic","wizard"
"شک","مشکوک شدن","مشکوک خون","صم","doubt","suspect"
"شکار","شکارچی","فدارچی","فدار","prey","predator"
"شکار","ماهیگیری","ماگرگیری","فدار","hunting","fishing"
"شکایت","اتهام","کمهام","غرایت","complaint","accusation"
"شگفت انگیز","خارق العاده","خارقينلعاده","شگفترینگیز","wonderful","fantastic"
"شمردن","محاسبه","محلهبه","گيردن","count","calculate"
"شمشیر","چاقو","چاگس","شمثار","sword","knife"
"شنبه","یکشنبه","یکشندش","شندش","Saturday","Sunday"
"شنوایی","آزمایش","زامایش","ناوایی","hearing","trial"
"شهرستان","ناحیه","نانسه","ابرستان","county","district"
"شواهد و مدارک","اثبات","هشبات","شواهتزو مدارک","evidence","proof"
"شوخ","خنده دار","خندهوسار","ليخ","witty","funny"
"شوهر","همسر","همئو","شولس","husband","wife"
"شیپور","سوت زدن","سوچيزدن","شیيگر","horn","whistle"
"شیر","آب میوه","آبدریوه","یتر","milk","juice"
"شیر فلکه","تهویه","دئویه","شیر فلود","valve","ventilation"
"شیرین","جذاب","جذبی","هورین","sweet","cute"
"شیشه","بطری","تدری","شیان","glass","bottle"
"شیمیایی","بیولوژیکی","بیولوژمتی","شیشهایی","chemical","biological"
"صبر","رحم و شفقت - دلسوزی","رحم و شفقت فولسوزی","ونر","patience","compassion"
"صبر کن","انتظار","اندوار","صباحکن","wait","expect"
"صبور","مشتری","مشنهی","فرور","patient","client"
"صحبت","صحبت","گفبت","قهبت","talk","speak"
"صدا","لهجه","رؤجه","یقا","voice","accent"
"صدف","رئيس جمهور","مـيس جمهور","طوف","chancellor","president"
"صفحه نمایش","مانیتور","ماسنتور","صفحهکتمایش","screen","monitor"
"صلاحیت قضایی","قدرت","پنرت","صلاحیترمضایی","jurisdiction","authority"
"صلح جو","اقیانوس اطلس","اقیانويتاطلس","صلح re","pacific","atlantic"
"صنعت","کسب و کار","کسب کپکار","ژاعت","industry","business"
"ضمانت","وعده","فجده","رقانت","guarantee","promise"
"طاعون","بیماری همه گیر","بیماریتکمه گیر","طاگلن","plague","epidemic"
"طبیعی","ساختگی","سابچگی","طبگلی","natural","artificial"
"طرح","برنامه","برنارو","بیح","project","program"
"طرح","راهبرد","راهبيا","بیح","plan","strategy"
"طعم","بو","یز","عظم","taste","smell"
"طلاق","ازدواج","ازدومر","طلزت","divorce","marriage"
"طلایی","نقره اي","نقرهlمي","ازایی","golden","silver"
"طلسم","طوفان","طوجون","هدسم","irony","ironic"
"طوفان","گردباد","گردبیر","فنفان","hurricane","tornado"
"ظرفیت","توانایی","توانشنی","ظرکيت","capacity","ability"
"ظریف","حساس","تقاس","ظرصي","delicate","sensitive"
"عادی","معمولی","معموهب","بیدی","ordinary","usual"
"عالی","عالی","پسلی","پسلی","excellent","great"
"عامل","کاراگاه","کاراميه","پسمل","agent","detective"
"عامل","عنصر","وفصر","پسمل","factor","element"
"عجز","قادر نبود","قادرمحبود","مبز","inability","unable"
"عدد","نشانی","تمانی","لبد","number","address"
"عذاب","شکنجه","شکصله","خصاب","torment","torture"
"عرصه","میدان جنگ","میداقشجنگ","عرضگ","arena","battlefield"
"عروسک","اسباب بازی","اسباضابازی","عردیک","doll","toy"
"عزیزم","کودک","کوقد","عزتام","baby","child"
"عسل","کره","هنه","یخل","honey","butter"
"عصب","ماهیچه","ماهیئت","ریب","nerve","muscle"
"عضو","رهبر","رهئي","اخو","member","leader"
"عظمت","بزرگی","بزقای","chمت","majesty","highness"
"علامت","سندرم","سنرشم","علريت","symptom","syndrome"
"علم شیمی","زیست شناسی","زیسترلناسی","علم شیطو","chemistry","biology"
"عمل کردن","عمل جراحي","عمل جرپزي","عموزکردن","operate","surgery"
"عملیاتی","کاربردی","کاربازی","عماباتی","operational","functional"
"عمو یا دایی","بابا","باگه","عمو یازیایی","uncle","dad"
"عمومی","سرهنگ","سرسبگ","عمتنی","general","colonel"
"عنکبوت","حشره","hoره","وفکبوت","spider","insect"
"عینک","کلاه لبه دار","کلاهيوبه دار","زحنک","glasses","cap"
"غاز","اردک","ارچن","تلز","goose","duck"
"غذا","وعده غذایی","yeده غذایی","تبا","food","meal"
"غرب","شرق","ویق","سوب","west","east"
"غرق شدن","شنا کردن","شنچیکردن","غروششدن","drown","swim"
"غروب خورشید","سپیده دم","گریده دم","غروبوشورشید","sunset","dawn"
"غرور","کرامت","کرريت","نيور","pride","dignity"
"غریزه","بینش","زانش","گییزه","instinct","intuition"
"غلات","ارد","وند","لثات","grain","flour"
"غمگین","غم انگیز","غمچينگیز","گرگین","sad","tragic"
"غیر مجاز","مجاز","اباز","رئر مجاز","illegal","legal"
"غیر معمول","عجیب","صحیب","غیر معیال","unusual","strange"
"غیر ممکن","آسان","خيان","غیابممکن","impossible","easy"
"غیر منطقی","وظیفه نشناس","پتیفه نشناس","غیر منچشی","unreasonable","irresponsible"
"غیرواقعی، ساختگی","مدال","خجال","غیرومرعی، ساختگی","artifact","medallion"
"فاز","عادت زنانه","عادت زنابغ","شيز","phase","period"
"فاصله","سرعت","سرتس","فاطيه","distance","speed"
"فایل","سند","بپد","فاقه","file","document"
"فدرال","دولت","دودا","گذرال","federal","state"
"فر","اجاق گاز","اجاقیشاز","عي","oven","stove"
"فرا گرفتن","تدریس کردن","تدریدجکردن","فربتگرفتن","learn","teach"
"فرار کردن","در رفتن","درطيفتن","فرارلیردن","flee","escape"
"فراموش کردن","یاد آوردن","یاینآوردن","نظاموش کردن","forget","remember"
"فرد مشهور","ستاره","ستنده","فرنرمشهور","celebrity","star"
"فردا","صبح","جيح","فرلت","tomorrow","morning"
"فرزند دختر","فرزند پسر","فرزنارپسر","فرزنويدختر","daughter","son"
"فرشته","شیطان","شیگدن","فرميه","angel","devil"
"فرکانس","علامت","کیامت","زشکانس","frequency","signal"
"فرم","امضاء کردن","امضابنکردن","زام","form","sign"
"فرمان","سفارش","مزارش","فرلين","command","order"
"فرماندار","سناتور","صداتور","فرانندار","governor","senator"
"فرمانده","کاپیتان","کاشتتان","فرمااره","commander","captain"
"فرهنگ","تمدن","ييدن","فریبگ","culture","civilization"
"فرهنگ لغت","عبارت","نتارت","فرهنگ سپت","dictionary","phrase"
"فروتن","فروتن","فرشمن","فرهون","humble","modest"
"فرود آمدن","پرواز","پرریز","فرودتخمدن","landing","flight"
"فروشنده","خریدار","آلیدار","فرتبنده","seller","buyer"
"فشار","افسردگی","افسربلی","maار","stress","depression"
"فشار دادن","کشیدن","کشهمن","فشاروشادن","push","pull"
"فضانورد","خلبان","آتبان","رژانورد","astronaut","pilot"
"فعال","فعالیت","فعالمن","کهال","active","activity"
"فعال کردن","ارائه دادن","ارائــدادن","فعالفعردن","enable","provide"
"فقر","بدبختی","بدمیتی","شغر","poverty","misery"
"فقط","به تازگی","به تباگی","وفط","just","recently"
"فقیر","ثروتمند","رخوتمند","عنیر","poor","rich"
"فلاتر","تاثیر گذاشتن","تاثیارگذاشتن","فلفکر","flatter","impress"
"فلسفه","مذهب","مذدث","فلكله","philosophy","religion"
"فن آوری","علوم پایه","علوميوایه","فندهوری","technology","science"
"فنجان","قهوه","صحوه","فنمین","cup","coffee"
"فنی","مکانیکی","نفانیکی","عتی","technical","mechanical"
"فوت و فن","شوخی کردن","شوخیتوردن","فورآو فن","trick","joke"
"فوری","اضطراری","گسطراری","ستری","urgent","emergency"
"فوقالعادهای","ماوراء الطبیعه","ماوراء الطبیدر","فوقايدادهای","supernatural","paranormal"
"فیزیک","ریاضیات","ریاضيدت","فیونک","physics","mathematics"
"قاتل","قاتل","قااط","قااج","killer","murderer"
"قاشق","چنگال","چنبول","قاok","spoon","fork"
"قانون","پروتکل","پروتيه","تونون","rule","protocol"
"قانون","قانون اساسي","قانوپیاساسي","تونون","law","constitution"
"قبر","قبرستان","یترستان","افر","grave","cemetery"
"قبلا، پیش از این","هنوز","هندر","قبلا، پیش ازاشین","already","still"
"قبیله","خانواده","جونواده","قبشیه","clan","family"
"قدرت","انرژی","انزگی","قدنا","power","energy"
"قدیمی","جوان","خاان","قدتای","old","young"
"قرارداد","توافق","توضیق","قرارييد","contract","agreement"
"قربانی","حمله کننده","حملهسگننده","قربازد","victim","attacker"
"قرمز","رنگ زرد","رنگ ائد","قرتل","red","yellow"
"قرن","ده ساله","دهبکاله","صین","century","decade"
"قصر","قلعه","قلقل","طتر","palace","castle"
"قطار - تعلیم دادن","اتوبوس","اتپيوس","قطار  تعلیممفادن","train","bus"
"قطب نما","نقشه","نقرا","قطالنما","compass","map"
"قطره","لرز","وبز","عجره","drop","sip"
"قطعه","قطعه","عجعه","عجعه","fragment","piece"
"قفل شده","بسته","كاته","خصل شده","locked","closed"
"قمار","پوکر","پوين","طرار","gambling","poker"
"قمری","خورشیدی","خوبمیدی","سرری","lunar","solar"
"قند","شکلات","پالات","اذد","sugar","chocolate"
"قهرمان","جنگنده","جنسیده","صحرمان","champion","fighter"
"قهرمان","نجات دهنده","نجات دكرده","صحرمان","hero","savior"
"قورباغه","مارمولک","ماسکولک","قولناغه","frog","lizard"
"قوی","ضعیف","ضعمس","ضای","strong","weak"
"کائنات","کهکشان","کهاتان","کائنوس","universe","galaxy"
"کابل","سیم","يسم","کائي","cable","wire"
"کابوس","رویا","رولش","کادیس","nightmare","dream"
"کابین","عرشه","اقشه","کاونن","cabin","deck"
"کابینه","کمد لباس","کماطلباس","کابیاو","cabinet","closet"
"کاتولیک","مسیحی","مسکجی","يستولیک","catholic","christian"
"کار","کار","ستر","ستر","job","work"
"کارخانه","تولید","توهيد","کاگمانه","factory","production"
"کارشناس","متخصص","متصيص","کامعناس","expert","specialist"
"کارگاه آموزشی","گاراژ","خوراژ","کارگاه آمودسی","workshop","garage"
"کارناوال","جشنواره","رجنواره","کارناوتی","carnival","festival"
"کاسه","صفحه","صفرث","کابا","bowl","plate"
"کاغذ","خودکار","خوتیار","کاذه","paper","pen"
"کافی","کافی","کارس","کارس","enough","sufficient"
"کالبد شکافی","تحلیل و بررسی","تحلیزهو بررسی","کایلد شکافی","autopsy","analysis"
"کالوبر","گلوله","گلرـه","کالولش","caliber","bullet"
"کاملا","به طور کامل","بهباور کامل","کايتا","absolutely","completely"
"کاناپه","بستر","چکتر","کاناشي","sofa","bed"
"کانال","اخبار","پلبار","کامپل","channel","news"
"کپسول","پویشگر","پوپاگر","وصسول","capsule","probe"
"کتاب مقدس","کتاب","کتیر","کتاب مبیس","bible","book"
"کتابخانه","موزه","گيزه","کتچرخانه","library","museum"
"کثیف","چندش آور","نيدش آور","کثوع","dirty","disgusting"
"کربن","هیدروژن","شمدروژن","کررل","carbon","hydrogen"
"کرم","مار","رتر","زام","worm","snake"
"کرم رنگ","سس","gr","کردىرنگ","cream","sauce"
"کریسمس","تعطیل","تعفول","کریسصد","christmas","holiday"
"کسب کردن","پیروزی","پیروحي","کسموکردن","gain","win"
"کش رفتن","غارت","زررت","کشتلفتن","steal","rob"
"کشور","ملت","ضات","نگور","country","nation"
"کف","فرش","وجش","ژا","floor","carpet"
"کلاس","مدرسه","مدیمه","هااس","class","school"
"کلانتر","شهردار","شهباار","کلانید","sheriff","mayor"
"کلاه ایمنی","کلاه","هااه","کلاهلشیمنی","helmet","hat"
"کلمه","جمله","زیله","کلها","word","sentence"
"کلید","قفل کردن","نذل کردن","کلتش","key","lock"
"کلیسا","کپلر","چالر","کلــا","church","chapel"
"کلیه","کبد","تعد","رتیه","kidney","liver"
"کم","زیاد","اراد","زش","low","high"
"کمترین","بیشترین","بینمرین","دهترین","minimum","maximum"
"کمک","کمک کردن","کمریکردن","جشک","help","assist"
"کمیسیون","کمیته","کمعیه","کمیسجان","commission","committee"
"کنترل","دستکاری کردن","دستکارفـکردن","کناتل","control","manipulate"
"کنفرانس","ملاقات","ملدهات","کندوانس","conference","meeting"
"کوتاه","طولانی","طورکنی","کورخه","short","long"
"کور","کر","يز","شگر","blind","deaf"
"کوسه","ماهی","ندهی","کورب","shark","fish"
"کوکائین","هروئین","هرهنین","کوکايان","cocaine","heroin"
"کویر","دره","يته","کوکل","desert","valley"
"کیف","چمدان","تادان","دلف","briefcase","suitcase"
"کیلو","گرام","علام","تولو","kilo","gram"
"کیلومتر","متر","نار","اسلومتر","kilometer","meter"
"گارسون","پیشخدمت","پیشخنست","يپرسون","waiter","waitress"
"گاز","سوخت","سولن","شيز","gas","fuel"
"گالری","نمایشگاه","نمایتشاه","گاپای","gallery","exhibition"
"گاه و بیگاه","به ندرت","به نومت","گابهو بیگاه","occasionally","rarely"
"گاهی","غالبا","کيلبا","گايت","sometimes","often"
"گاو","خوک","غلک","يجو","cow","pig"
"گران","ارزان","اراين","تاان","expensive","cheap"
"گرسنگی","تشنگی","تشيهی","گردرگی","hunger","thirst"
"گرفتن","ارسال","ارچيل","گريين","bring","send"
"گرفتن","گرفتن","گريين","گريين","grab","catch"
"گرم","سرد","لبد","لیم","warm","cool"
"گروگان","زندانی","تعدانی","گرافان","hostage","prisoner"
"گروهبان","ستوان","زهوان","گراشبان","sergeant","lieutenant"
"گزارش","به اطلاع رساندن","به اطلاعیاساندن","خیارش","report","inform"
"گفتگو","بحث","کهث","گفاخو","conversation","discussion"
"گفتن","گفتن","قهتن","عجتن","say","tell"
"گل و لای","شن","تع","گل وتبای","mud","sand"
"گلف","تنیس","تنکت","رپف","golf","tennis"
"گلو","گردن","گرشه","فمو","throat","neck"
"گناه","جرم","نسم","آواه","sin","crime"
"گنج","ثروت","ضدوت","جيج","treasure","wealth"
"گودال","رستوران","تحتوران","چمدال","pub","restaurant"
"گوش کنید","شنیدن","شنمین","گويشکنید","listen","hear"
"گوشت خوک","گوشت","گوبی","گوشت خفش","pork","meat"
"گوشه","کوچه","کوکت","بدشه","corner","alley"
"گیاه","گل","عي","طلاه","plant","flower"
"لازانیا","ماکارونی","شيکارونی","لازاکيا","lasagna","spaghetti"
"لازم","نیاز داشتن","نیازاحاشتن","لایس","necessary","need"
"لاغر","ضخیم","puیم","لاثی","thin","thick"
"لامپ","شمع شمع","شمتمشمع","لاck","lamp","candle"
"لانه","تخم مرغ","تخايمرغ","لامو","nest","egg"
"لایه","سطح","وتح","ودیه","layer","surface"
"لب","گونه","گوار","نج","lip","cheek"
"لبخند","خنده","هسده","لبناد","smile","laugh"
"لذت","شادی","شارد","وجت","pleasure","joy"
"لزبین","گیج کردن","غرج کردن","ژيبین","lesbian","gay"
"لژیون","ارتش","ارید","crیون","legion","army"
"لعنت","جادوگر","جادوسم","صلنت","curse","witch"
"لنگر","سفر دریایی","سفسطدریایی","لنوت","anchor","sail"
"لیگ","تیم","چنم","شهگ","league","team"
"لیموناد","جوش شیرین","جوکنشیرین","لیکاناد","lemonade","soda"
"مادر","پدر","فتر","ماول","mother","father"
"ماراتن","مسابقه","مسابجا","مايختن","marathon","race"
"ماشه","فعال کردن","حکال کردن","ودشه","trigger","activate"
"مافیا","کارتل","کائيل","مانچا","mafia","cartel"
"ماندن","ماندن","مادان","مادان","stay","remain"
"مانع","چاه","گته","ماgo","obstacle","challenge"
"ماه","آفتاب","زبتاب","نجه","moon","sun"
"ماه","هفته","يسته","نجه","month","week"
"ماهی تن","خرچنگ","خربزگ","ماهیدسن","tuna","lobster"
"ماوس","موش صحرایی","موش ژنرایی","کـوس","mouse","rat"
"مایع","مایع","مااك","ماگد","liquid","fluid"
"مایل","سانتی متر","سانتششمتر","ماوش","mile","centimeter"
"مایه تاسف","بد شانسی","بدزهانسی","مایهسماسف","unfortunate","misfortune"
"مبارزه کن","مبارزه کردن","مبارزهبيردن","مبارزهعدن","combat","fight"
"متن","شعر","يبر","كین","text","poem"
"مثبت","منفی","مناي","قیبت","positive","negative"
"مجازات","زندان","تعدان","ابازات","penalty","imprisonment"
"مجلس","مجلس سنا","مجلسدننا","کالس","parliament","senate"
"مجموع","میزان","میونن","فهموع","sum","amount"
"محافظت","دفاع","كراع","محافیث","protect","defend"
"محافظه کار","لیبرال","لیبرهن","محافظهئزار","conservative","liberal"
"محبوب","معروف","توروف","محعصب","popular","famous"
"محدود، تنگ","وسیع","وسچت","محدوئل تنگ","narrow","wide"
"محکم","به شدت","بهطردت","محئه","firmly","strongly"
"محل","محل","یکل","صال","place","location"
"محیط","اتمسفر","اتمسمد","محثن","environment","atmosphere"
"مخاطب","ارتباط","ارتبمز","مخچوب","contact","connection"
"مخالف","مخالف","مخحرف","نفالف","opposite","contrary"
"مخزن","موتور","انتور","گيزن","tank","engine"
"مد روز","ظریف","ظرty","مداپوز","fashionable","elegant"
"مدل","نمونه اولیه","نمونگراولیه","اخل","model","prototype"
"مدنی","نظامی","نظرهی","جمنی","civil","military"
"مدیر","رئيس","چسيس","مداب","manager","boss"
"مدیریت","دولت","دودا","مدامیت","administration","government"
"مدیریت","اداری","حراری","مدامیت","management","administrative"
"مراسم","مراسم","اساسم","اساسم","ritual","ceremony"
"مربی ورزشی","بازیکن","باارکن","مربیرچرزشی","coach","player"
"مرد","انسان","انشين","ئيد","man","human"
"مرگ","ناپدید شدن","ناپدیدفادن","نيگ","death","disappearance"
"مرگبار","کشنده","نگنده","مريزار","deadly","fatal"
"مریخ","سیاره زهره","نكاره زهره","مرآت","mars","venus"
"مزدور","قاتل","قااط","مزاير","mercenary","assassin"
"مزرعه دار","کارگر","کاشار","مزرعلبدار","farmer","worker"
"مسئوليت","وظیفه","وظشمه","مسئوورت","responsibility","duty"
"مسابقات","همخوانی داشتن","همخوانوهداشتن","مسابالت","tournament","match"
"مسافر","راننده","راننست","مسنلر","passenger","driver"
"مستاجر","صاحب خانه","صاحبقتانه","انتاجر","tenant","landlord"
"مستعمره","فدراسیون","فدراجعون","مستعشبه","colony","federation"
"مستقیم","به طور مستقیم","بههوور مستقیم","مسابیم","direct","directly"
"مسخره - مضحک","چرند","آبند","مسخره  مضثت","ridiculous","absurd"
"مسیر","مسیر","مسبی","مسبی","route","path"
"مشابه","ناهمسان","متهمسان","گلابه","similar","different"
"مشاوره","توصیه","توسده","مشاوبر","advice","advise"
"مشخصات","شرح","بیح","مشاوات","profile","description"
"مشکل","مسئله","مسگـه","مشگن","trouble","problem"
"معاینه","بازرسی","باردسی","معکونه","examination","inspection"
"معاینه کردن","تحقیق کردن","فلقیق کردن","معاینهجفردن","examine","investigate"
"معبد","صومعه","صويخه","معئل","temple","monastery"
"معده","قفسه سینه","بطسه سینه","معاي","stomach","chest"
"معشوقه","عاشق شدن","عاشقآگدن","معشوجا","mistress","lover"
"معمول","کلاسیک","هااسیک","معیال","typical","classic"
"معنی","اهمیت","اهیست","معدي","meaning","importance"
"مغازه","فروشگاه","فرهنگاه","مغيره","shop","store"
"مغرور","برانگیخته","براننپخته","ويرور","proud","excited"
"مغز","مغزی","حمزی","هسز","brain","cerebral"
"مغناطیسی","برق","فيق","مغنااسسی","magnetic","electric"
"مفهوم","تعریف","شوریف","مفبتم","concept","definition"
"مفید","تاثير گذار","تادمر گذار","راید","useful","effective"
"مقاله","روزنامه","روکرامه","گناله","article","newspaper"
"مقاومت","مقاومت کردن","مقاومتلهردن","جکاومت","resistance","resist"
"مقدار","قیمت","لرمت","دندار","value","price"
