"en_target","en_cue","en_fake_cue","en_fake_target"
"speak","talk","tavy","faeak"
"specialist","expert","extems","spetoonist"
"spectacular","sensational","sensavoredal","grandtacular"
"speed","distance","distains","spurd"
"spend","waste","waque","spord"
"spirit","soul","sogh","jourit"
"sport","hobby","iniby","spatt"
"star","celebrity","valentity","stsa"
"state","federal","praceral","stice"
"statement","comment","complet","steamment"
"station","platform","spanform","cretion"
"statue","monument","monulars","montue"
"steel","concrete","concants","stafl"
"still","already","alrells","strul"
"stone","rock","rova","stepe"
"stop","prevent","pregeon","stie"
"store","shop","shif","stite"
"storm","wind","ornd","stanm"
"stove","oven","ssen","stshe"
"strange","unusual","unseatal","straore"
"strategy","plan","fean","sculpegy"
"strawberry","banana","badats","corolberry"
"street","avenue","avpace","strecy"
"strike","hit","ult","strisk"
"stroll","nap","eop","stroro"
"strongly","firmly","bioply","tionally"
"structure","pyramid","pyraahy","shrivture"
"study","research","resuance","stsay"
"stupid","naïve","naboe","ginpid"
"stupidity","madness","ousness","heartpidity"
"style","rhythm","rhytdt","strre"
"subject","object","obtens","subsets"
"substitute","replace","recause","substizles"
"succeed","manage","preage","sucrade"
"sufficient","enough","enourk","suffilette"
"suggest","propose","propled","sugcuit"
"suitcase","briefcase","briefpies","suitmost"
"sun","moon","haon","vvn"
"sunday","saturday","saturgles","sunlin"
"surface","layer","cuser","panface"
"surgery","operate","opership","sumaery"
"surname","nickname","sidename","surtans"
"survive","live","scve","surrism"
"suspect","doubt","domot","suskees"
"swim","drown","dricn","swol"
"symbol","flag","flpp","symamo"
"syndrome","symptom","skewtom","synborne"
"syringe","needle","vitdle","syprive"
"system","network","somwork","sysrou"
"talent","potential","potengles","seaent"
"teach","learn","leinn","teenh"
"teacher","student","humdent","exacher"
"team","league","leagir","koam"
"technique","method","methín","technials"
"teenager","teenage","teenlye","stenoger"
"telephone","call","caby","firephone"
"television","radio","rabee","woodvision"
"tell","say","uey","koll"
"temperature","heat","heco","temperalysts"
"tennis","golf","goua","tenter"
"test","experiment","experinates","kost"
"testimony","witness","nevness","southtimony"
"thank","grateful","crawlful","diank"
"that","what","whco","thco"
"theater","cinema","thatema","thetass"
"theory","idea","idov","apolory"
"there","here","heit","diere"
"thick","thin","diin","voick"
"think","consider","conkeeper","thuck"
"thirst","hunger","hulter","thiris"
"three","one","voe","thgue"
"throne","crown","crlen","throus"
"thumb","finger","delger","thweb"
"thunder","lightning","lightries","timeder"
"tie","bind","bitc","rve"
"timer","detonator","scraponator","tierr"
"tissue","skin","skto","lovsue"
"title","name","imme","tiest"
"tomato","potato","bratto","thalto"
"tooth","nail","naug","toshh"
"tornado","hurricane","hurrilift","salinado"
"torture","torment","pliment","clature"
"towel","blanket","blandid","beeel"
"toy","doll","gell","efy"
"traditional","modern","modbel","tradinatesal"
"tragic","sad","eud","crisic"
"traitor","spy","isy","healtor"
"transfer","move","mour","transsia"
"transmitter","sensor","sengal","recommitter"
"treatment","therapy","darkapy","toastment"
"tree","bush","trsh","buee"
"trial","hearing","seising","danal"
"triangle","circle","polcle","triantoni"
"triple","double","jigble","buiple"
"truck","jeep","ucep","buuck"
"tuesday","monday","montov","freiday"
"tunnel","bridge","brange","jamnel"
"turkey","chicken","whereen","turkof"
"turtle","snail","twail","sectle"
"ugly","digusting","diakosing","texly"
"ultimate","final","fiple","ultiwork"
"unable","inability","instockity","unhelp"
"understand","realize","realders","underpered"
"unexpectedly","suddenly","crypdenly","unexaboundedly"
"unfair","injustice","injushold","unquer"
"uniform","badge","bakke","uniheim"
"unique","special","gincial","unroue"
"university","college","colfest","greenversity"
"unknown","anonymous","arousmous","unitous"
"unpleasant","uncomfortable","uncomalienable","unscramant"
"up","down","dosk","tz"
"upper","lower","kimer","uphol"
"urine","blood","blxed","otine"
"use","apply","apmit","ooe"
"usual","ordinary","ordisuke","aaral"
"usually","normally","nortently","glynally"
"vaccine","antidote","antisers","vacpare"
"valley","desert","deucrt","denley"
"vampire","zombie","bevbie","meypire"
"van","trailer","chairer","ign"
"vanilla","cinnamon","deadnamon","bayinla"
"ventilation","valve","varae","ventilabeled"
"venus","mars","fers","vezes"
"verify","check","chikk","physify"
"very","extremely","exsuredly","rury"
"video","dvd","nld","vikyo"
"village","camp","caif","vilhard"
"vision","revelation","revelabeled","vities"
"vitamin","protein","prothor","vitalogue"
"vodka","whiskey","wheakey","puska"
"voluntarily","volunteer","voluncuse","volunfriendily"
"vote","majority","masagacity","vouc"
"voter","candidate","candimock","tiser"
"waitress","waiter","frater","waitneen"
"walk","run","ynn","waoy"
"wallet","pocket","weeket","pinlet"
"warrior","soldier","solmael","wartrom"
"wash","clean","clien","waks"
"watch","look","loku","warmh"
"watson","sherlock","whatlock","ripson"
"weak","strong","strose","doak"
"wealth","treasure","thorsure","wealgo"
"weapon","pistol","pisars","weekon"
"web","internet","intertwin","hib"
"wedding","engagement","enjustment","motding"
"week","month","nanth","weom"
"weekly","daily","rowly","quesly"
"western","southern","southsey","westget"
"wet","dry","nty","olt"
"whistle","horn","hopo","chertle"
"wide","narrow","holrow","wisy"
"wife","husband","radband","wilc"
"win","gain","mpin","ldn"
"winner","loser","kruer","winsis"
"winter","summer","unimer","stater"
"wire","cable","capac","erre"
"wish","desire","decose","orsh"
"witch","curse","cuame","ortch"
"wizard","magic","donic","jayard"
"wolf","bear","llar","wofo"
"woman","widow","gauow","fuman"
"work","job","mcb","wogh"
"worker","farmer","faaber","verter"
"world","international","tetrodotoxinternational","furld"
"worry","concern","conorin","desry"
"worthless","useless","refless","forceless"
"worthy","deserve","decrete","worlus"
"write","read","resh","wrore"
"writer","poet","poral","wreger"
"writing","reading","versing","fliring"
"yeah","okay","okpa","zaah"
"yellow","red","ild","citlow"
"yesterday","today","topus","hampterday"
"young","old","lyd","adung"
"zone","area","arag","zolt"
