"da_cue","da_target","da_fake_target","da_fake_cue","en_cue","en_target"
"maling","tegne","mulne","macher","paint","draw"
"manager","chef","chrb","manalist","manager","boss"
"mand","human","hustr","cond","man","human"
"mand","kone","cerne","cond","husband","wife"
"mandag","tirsdag","darkdag","mangie","monday","tuesday"
"mandskab","skib","skez","funkskab","crew","ship"
"måne","sol","ail","eksne","moon","sun"
"måned","uge","yse","målio","month","week"
"manglende evne","ude af stand","ude atormand","højskolende evne","inability","unable"
"mappe","kuffert","begfert","dejpe","briefcase","suitcase"
"marathon","race","racestatsankla","marattray","marathon","race"
"mareridt","drøm","drrå","maregarn","nightmare","dream"
"marine","flåde","hofde","mabjørne","marine","navy"
"mars","venus","vetan","madr","mars","venus"
"måske","sandsynligvis","krigssynligvis","målzo","maybe","probably"
"mave","bryst","brnit","manøv","stomach","chest"
"medfølende","gavmild","gavnoud","medfølendestruction","compassionate","generous"
"medicinsk","psykologisk","psykolokraft","medivands","medical","psychological"
"medlem","leder","lefon","medins","member","leader"
"mellemmåltid","frokost","fradost","melspørgsmåltid","snack","lunch"
"mening","holdning","mundning","megent","opinion","attitude"
"mental","følelsesmæssig","følelsesmæsbrændt","menrie","mental","emotional"
"mercenary","assassin","asåbensin","mercelits","mercenary","assassin"
"metode","teknik","arinik","metodestruction","method","technique"
"midnat","middag","midlin","midsom","midnight","noon"
"mil","centimeter","narkotimeter","rtl","mile","centimeter"
"miljø","atmosfære","atmosfæreceptblok","conjø","environment","atmosphere"
"million","milliard","millidets","hjemlion","million","billion"
"millionær","iværksætter","indånsætter","millioholdt","millionaire","entrepreneur"
"ming","ling","lici","fæng","ming","ling"
"minimum","maksimum","maksiflet","miniops","minimum","maximum"
"mistress","lover","loair","mistwell","mistress","lover"
"mod","beslutsomhed","behjælpsomhed","wed","courage","determination"
"model","prototype","salvatotype","mokra","model","prototype"
"moderne","traditionel","uskylditionel","mokratne","modern","traditional"
"modgift","vaccine","knivcine","modpost","antidote","vaccine"
"modsat","modsætning","modsætster","modmor","opposite","contrary"
"modstand","modstå","modbre","helstand","resistance","resist"
"monument","statue","stavac","schument","monument","statue"
"mor","far","oor","irr","mother","father"
"morder","morder","frider","frider","killer","murderer"
"mørke","lys","gts","pulke","darkness","light"
"motiv","alibi","dukbi","monar","motive","alibi"
"mudder","sand","sate","beader","mud","sand"
"mund","næse","grese","muen","mouth","nose"
"munk","præst","prett","muli","monk","priest"
"mus","rotte","ødete","bbs","mouse","rat"
"myte","legende","leligtde","vate","myth","legend"
"nægte","acceptere","acforagtere","toote","refuse","accept"
"nær ved","langt","lamot","nærovse","near","far"
"naive","kynisk","kyners","lømve","naive","cynical"
"naïve","dum","ræm","natse","naïve","stupid"
"nål","sprøjte","sprøoie","ejl","needle","syringe"
"nanny","stuepige","stutrange","vikny","nanny","maid"
"narre","idiot","tætot","regre","fool","idiot"
"nat","aften","afske","ønt","night","evening"
"national","global","smibal","natiosons","national","global"
"naturlig","kunstig","kunsvar","nafestlig","natural","artificial"
"naturligt","generelt","genehira","naturchok","naturally","generally"
"navigation","meddelelse","medfortaelse","trækgation","navigation","communication"
"navn","titel","ticia","narp","name","title"
"ned","op","ue","oyd","down","up"
"nederdel","kjole","fægle","nederdellesandwich","skirt","dress"
"nederste","øverst","lmerst","nevalgste","lower","upper"
"nerve","muskel","musøgt","lydve","nerve","muscle"
"netværk","system","syspil","rygværk","network","system"
"ninja","samurai","samuova","nista","ninja","samurai"
"nobel","præmie","præfly","nosti","nobel","prize"
"nødvendig","brug for","brugstär","nødvenstre","necessary","need"
"nøgen","nøgen","nødud","nødud","nude","naked"
"nøgle","låse","dumse","arile","key","lock"
"nok","tilstrækkelig","tilholdskelig","ulk","enough","sufficient"
"normalt","som regel","som rlays","nordist","normally","usually"
"november","december","deraanber","lovbøber","november","december"
"nu","ved godt","vedeport","ui","now","know"
"nummer","adresse","strækse","gasmer","number","address"
"nuværende","elektricitet","statstricitet","nuværendestruction","current","electricity"
"nyre","lever","leste","virre","kidney","liver"
"nyttig","effektiv","effekfest","padtig","useful","effective"
"obduktion","analyse","retslyse","obdukster","autopsy","analysis"
"objekt","emne","banne","obveau","object","subject"
"observation","evaluering","evaluehvalp","observanaugh","observation","evaluation"
"offer","angriber","anskafber","ofrin","victim","attacker"
"officielt","officiel","offiseksuel","officitrons","officially","official"
"øge","reducere","voldtægtsofreducere","døe","increase","reduce"
"øje","øre","tze","iye","eye","ear"
"okay","ja","ue","okeg","okay","yeah"
"økonomisk","finansiering","finansienawalt","økonokers","financially","financing"
"ond","grusomhed","kloksomhed","eld","evil","cruelty"
"onkel","far","oor","ondyr","uncle","dad"
"ønske","ønske","ønnen","ønnen","desire","wish"
"operationel","funktionelt","woodtionelt","strafrationel","operational","functional"
"operere","kirurgi","kingsgi","drømrere","operate","surgery"
"opgave","mission","tersion","navigave","task","mission"
"opkald","telefon","kængurustyltelefon","bekald","call","telephone"
"opmærksomhed","at tiltrække","at tiltræmonia","opstemtsomhed","attention","attract"
"optage","indspilning","indrejsning","håndtage","record","recording"
"optimistisk","realistisk","realigions","optiminique","optimistic","realistic"
"ord","dømme","mobme","ded","word","sentence"
"ordbog","udtryk","udbert","rambog","dictionary","phrase"
"orgasme","erektion","knevtion","orsoreme","orgasm","erection"
"original","kopi","komon","origister","original","copy"
"orkan","tornado","hundnado","orsur","hurricane","tornado"
"ørken","dal","egl","ørlig","desert","valley"
"orkester","band","bala","orkeklok","orchestra","band"
"orm","slange","smitge","mum","worm","snake"
"orphanage","kloster","virster","höxenhanage","orphanage","convent"
"øve sig","dyrke motion","dyrke mlilei","tja sig","practice","exercise"
"overraskelse","skuffelse","quinfelse","overrarumvæse","surprise","disappointment"
"overveje","tænke","ungke","sørøveje","consider","think"
"ovn","komfur","komgil","món","oven","stove"
"på mode","elegant","elebudt","på mliff","fashionable","elegant"
"pacific","atlantisk","atlanskab","pacidogs","pacific","atlantic"
"pæn","dejlig","mislig","tán","nice","lovely"
"palads","slot","slæg","pafers","palace","castle"
"papir","pen","mán","paski","paper","pen"
"paradis","helvede","sørøvede","parahorn","paradise","hell"
"paranoid","helt vildt","helt vfodt","paratree","paranoid","crazy"
"parat","forberede","forberedestruction","padom","ready","prepare"
"parlament","senat","sedæk","parlabais","parliament","senate"
"passager","chauffør","chaufsig","uforsager","passenger","driver"
"patient","klient","klipos","pagions","patient","client"
"pension","løn","rán","modsion","pension","salary"
"person","individuel","individuelskerjeg","perper","person","individual"
"personlig","intim","ingus","perfestlig","personal","intimate"
"pest","epidemi","epidemilieportræt","pemar","plague","epidemic"
"picnic","camping","opeping","picstød","picnic","camping"
"pige","dreng","abeng","komge","girl","boy"
"pind","hammer","prømer","pixi","stick","hammer"
"pine","tortur","spitur","cerne","torment","torture"
"ping","ding","dica","pikf","ping","ding"
"pirat","sømand","søsken","piett","pirate","sailor"
"pistol","våben","vådig","pitets","pistol","weapon"
"placere","beliggenhed","beliggenbrugs","håndcere","place","location"
"plan","strategi","druktegi","svan","plan","strategy"
"planet","kredsløb","kredslår","vinnet","planet","orbit"
"plante","blomst","bleyst","halvte","plant","flower"
"platform","station","partion","næstform","platform","station"
"playboy","magasin","magadres","playkar","playboy","magazine"
"pludselig","uventet","snertet","skimselig","suddenly","unexpectedly"
"plus","minus","mitan","drus","plus","minus"
"politik","politiker","politistisk","polifest","policy","politician"
"populær","berømt","benørd","popuping","popular","famous"
"porno","film","fiin","porpart","porn","movie"
"portal","port","ponal","porregn","portal","gate"
"positiv","negativ","negabyte","posiberg","positive","negative"
"post","fax","oix","pous","mail","fax"
"potentiel","talent","tasøgt","ponarkotiel","potential","talent"
"presserende","nødsituation","nødsituaderjeg","genopserende","urgent","emergency"
"prinsesse","prins","prers","klassesse","princess","prince"
"privat","privatliv","prihedsliv","vervat","private","privacy"
"privilegium","ære","cae","pritræskoegium","privilege","honor"
"problemer","problem","proheim","projektmer","trouble","problem"
"producent","direktør","direkchen","produskud","producer","director"
"profil","beskrivelse","bekendtvelse","probos","profile","description"
"profit","indkomst","menkomst","prosch","profit","income"
"projekt","program","profilm","proveau","project","program"
"protein","vitamin","vitabelt","tjentein","protein","vitamin"
"protest","demonstration","demontaguetion","holtest","protest","demonstration"
"prøve","forsøg","forban","spave","try","attempt"
"provision","udvalget","udbrudget","provicepo","commission","committee"
"pub","restaurant","restaustod","umb","pub","restaurant"
"puls","tryk","trvu","puer","pulse","pressure"
"pumpe","slange","smitge","urope","pump","hose"
"pund","dollar","swelar","cond","pound","dollar"
"punkt","angive","anstalve","puoot","point","indicate"
"pyramide","struktur","svindtur","pyramidestruction","pyramid","structure"
"racist","kommunist","kommulans","rarion","racist","communist"
"råd","rådgive","rådkvaltve","ofd","advice","advise"
"radar","satellit","satelfred","raagt","radar","satellite"
"radio","television","kængurustyltelevision","racon","radio","television"
"radius","omkreds","omkunst","radister","radius","perimeter"
"rædsel","frygt","frikt","jobsel","horror","fear"
"ræv","kanin","kagre","dåv","fox","rabbit"
"raket","missil","misgod","ratur","rocket","missile"
"rapport","informere","instinkmere","himport","report","inform"
"realisere","forstå","forlyn","voldtægtsofrealisere","realize","understand"
"reception","parti","stati","recepster","reception","party"
"redde","gemme","litme","bagde","rescue","save"
"rede","æg","vy","voldtægtsofrede","nest","egg"
"regiment","bataljon","batalnalds","registik","regiment","battalion"
"regional","lokal","lolid","voldtægtsofregional","regional","local"
"regn","sne","coe","reic","rain","snow"
"reklame","marketing","markespil","voldtægtsofreklame","advertising","marketing"
"ren","vask","mosk","udn","clean","wash"
"rent faktisk","virkelig","preskelig","vash faktisk","actually","really"
"reporter","journalist","stiknalist","ledsater","reporter","journalist"
"resignation","afskedigelse","afskedistriktse","voldtægtsofresignation","resignation","dismissal"
"respekt","tillid","tilbor","renzekt","respect","confidence"
"resultat","resultat","voldtægtsofresultat","voldtægtsofresultat","result","outcome"
"ret","dommer","færmer","ugt","court","judge"
"retfærdig","rimelig","rimester","uforfærdig","fair","reasonable"
"rette op","reparation","voldtægtsofreparation","retteclan","fix","repair"
"riffel","pistol","pivogn","yasfel","rifle","gun"
"rigtigt","ægte","solte","kertigt","TRUE","real"
"ring","halskæde","målskide","ridy","ring","necklace"
"risikabel","farligt","skeligt","risikazonsk","risky","dangerous"
"risiko","fare","nøvre","risisten","risk","danger"
"ristet brød","bacon","barøv","ristetbørns","toast","bacon"
"ritual","ceremoni","ceremonisketsjer","ritution","ritual","ceremony"
"robot","maskine","mahjerne","romig","robot","machine"
"rød","gul","ryl","ird","red","yellow"
"rodeo","cowboy","sørboy","rolum","rodeo","cowboy"
"røg","cigar","cilie","ceg","smoke","cigar"
"rolige","berolige","beroligesandwich","overlige","quiet","calm"
"roman","græsk","grnik","roset","roman","greek"
"romeo","juliet","miniet","roebs","romeo","juliet"
"royal","kongerige","ledsagerige","lytal","royal","kingdom"
"rum","cognac","tvænac","påm","rum","cognac"
"rund","rundt om","rundtall","pånd","round","around"
"rusten","støvet","ungvet","ruling","rusty","dusty"
"rute","sti","kii","cente","route","path"
"rytme","stil","stsi","urime","rhythm","style"
"sælger","køber","kødøk","rafger","seller","buyer"
"særlig","enestående","eneståendestruction","toglig","special","unique"
"samfund","fællesskab","fællestisk","samdons","society","community"
"sammensværgelse","svig","knig","sammenkobletgelse","conspiracy","fraud"
"samtale","diskussion","diskusfolk","håndtale","conversation","discussion"
"sandsynlighed","sandsynligvis","krigssynligvis","krigssynlighed","probability","likely"
"sandwich","hamburger","guldburger","sandwire","sandwich","hamburger"
"sanger","musiker","musistan","grager","singer","musician"
"sår","skade","midde","utr","wound","injury"
"se","kigge på","kiggeois","gæ","look","watch"
"se","møde","belde","gæ","see","meet"
"sejr","nederlag","nederover","sehe","victory","defeat"
"sekretær","assistent","assigjort","sekredisk","secretary","assistant"
"seksuel","fysisk","fytret","ledsael","sexual","physical"
"sekund","minut","mibig","sefing","second","minute"
"sekundær","primær","prifix","sekunnoid","secondary","primary"
"selskab","virksomhed","gramsomhed","passkab","company","corporation"
"selvmord","mord","mogw","selvburn","suicide","murder"
"seminar","foredrag","strearag","semikeys","seminar","lecture"
"senior-","junior-","junitets","fængselsvæsenior","senior","junior"
"sensationel","spektakulære","hawaitakulære","fængselsvæsensationel","sensational","spectacular"
"sensor","transmitter","narkomitter","senpus","sensor","transmitter"
"sent","tidlig","snulig","seou","late","early"
"september","oktober","oktodoks","krontember","september","october"
"sergent","løjtnant","løjtfrit","rumgent","sergeant","lieutenant"
"serie","episode","brænsode","sekam","series","episode"
"service","vedligeholdelse","vedligeholdelsemesters","servicestatsankla","service","maintenance"
"sheriffer","borgmester","tankmester","shestrofer","sheriff","mayor"
"sherlock","watson","kokson","manglock","sherlock","watson"
"shield","rustning","fritning","shkild","shield","armor"
"shooter","snigskytte","naviskytte","uhenter","shooter","sniper"
"sige","fortælle","forspejle","genge","say","tell"
"sikker","sikker","friker","friker","safe","secure"
"sikkerhed","sikkerhed","sikstighed","sikstighed","security","safety"
"silke","bomuld","bovood","rejke","silk","cotton"
"situation","krise","medse","situamantø","situation","crisis"
"sjæl","ånd","eld","sjux","soul","spirit"
"skab","closet","gavset","skrg","cabinet","closet"
"skab","fremstille","fremoverle","skrg","create","produce"
"skabelse","ødelæggelse","brystlæggelse","skaspadse","creation","destruction"
"skæbne","skæbne","svanne","størne","fate","destiny"
"skærmbillede","overvåge","mordvåge","proudbillede","screen","monitor"
"skål","plade","drede","skgr","bowl","plate"
"skat","rigdom","lyddom","skoi","treasure","wealth"
"ske","gaffel","gaflus","mue","spoon","fork"
"skilsmisse","ægteskab","ægteborg","fængsmisse","divorce","marriage"
"skinne","bright","brigku","sporne","shine","bright"
"skjorte","jakke","urike","deporte","shirt","jacket"
"skræmme","skræmme","krydsme","standme","scare","frighten"
"skræmmende","uhyggelig","verogelig","standmende","scary","creepy"
"skrivebord","kontor","kondel","skrivetræk","desk","office"
"skubbe","trække","gramke","smækbe","push","pull"
"skud","skyde","morde","skft","shot","shoot"
"skulder","knæ","teæ","sparder","shoulder","knee"
"sky","tåge","psyge","xty","cloud","fog"
"skygge","mørk","møod","mangge","shadow","dark"
"sladre","skandale","krypdale","sølvre","gossip","scandal"
"slave","tjener","kærner","matve","slave","servant"
"sluge","tygge","gløge","brige","swallow","chew"
"smadre","pause","lytse","dradre","smash","break"
"smag","lugt","luwa","smhi","taste","smell"
"smal","bred","heed","nial","narrow","wide"
"smart","intelligent","intellitirap","drart","smart","intelligent"
"smelte","fryse","frlde","fjolte","melt","freeze"
"smigre","imponere imponere","imponere impondagskost","lejgre","flatter","impress"
"smil","grine","borne","smsi","smile","laugh"
"smuk","smuk","smrv","smar","pretty","beautiful"
"snavset","ulækkert","slurkert","skroset","dirty","disgusting"
"snegl","turtle","cornle","snbal","snail","turtle"
"sober","beruset","berudolf","solie","sober","drunk"
"sød","cute","kitte","oid","sweet","cute"
"sofa","seng","sefo","sokus","sofa","bed"
"software","computer","skatputer","fonsvare","software","computer"
"søg","finde","torde","abg","search","find"
"soldat","kriger","medger","soljeg","soldier","warrior"
"solnedgang","daggry","dagped","solnedsted","sunset","dawn"
"søm","tand","tapi","iem","nail","tooth"
"sommer","vinter","plater","katmer","summer","winter"
"sommerfugl","fugl","fuou","sommerblem","butterfly","bird"
"sommetider","tit","påt","grundmetider","sometimes","often"
"sønnesøn","nevø","nedv","sønnelært","grandson","nephew"
"søster","bror","brnt","søligt","sister","brother"
"spændende","interessant","interesloven","volddende","exciting","interesting"
"spil","spil","spsh","spoo","play","game"
"spild","bruge","finge","spood","waste","spend"
"spinal","abdominal","abdomistisk","cional","spinal","abdominal"
"spion","forræder","forræning","spurn","spy","traitor"
"spionage","sabotage","voldtægtssabotage","dragnage","espionage","sabotage"
"spørgsmål","spørge","stofge","spørgslog","question","ask"
"sprække","hul","esl","stjekke","crack","hole"
"stå","sidde","mærde","gaå","stand","sit"
"stadion","baseball","basemisk","stadrat","stadium","baseball"
"stædig","selvisk","selhine","zepdig","stubborn","selfish"
"stærk","svag","dsag","stunk","strong","weak"
"status","position","posident","stanin","status","position"
"stemme","accent","acneys","filmme","voice","accent"
"stille","stilhed","tiskhed","kample","silent","silence"
"stjæle","røve","vejve","skrøle","steal","rob"
"stof","particle","bejdsticle","sthu","matter","particle"
"støj","lyd","ærd","stlp","noise","sound"
"stolt","begejstret","begejlands","stukt","proud","excited"
"stolthed","værdighed","landdighed","stanshed","pride","dignity"
"stor","kæmpe stor","kæmpepsånd","gaor","big","huge"
"størrelse","længde","slynde","olymrelse","size","length"
"støvle","sko","myo","skænle","boot","shoe"
"straf","fængsling","skilsling","garaf","penalty","imprisonment"
"straffe","anholdelse","angrebsdelse","statsfe","punish","arrest"
"strand","kyst","håst","stmind","beach","coast"
"stress","depression","deringsion","streel","stress","depression"
"strøm","energi","brangi","stepm","power","energy"
"studerende","lærer","læsio","studerendestruction","student","teacher"
"styre","lykkes","tinkes","lønre","manage","succeed"
"styring","manipulere","manipulerespørgsel","musring","control","manipulate"
"styrke","kraft","kromt","skamke","strength","force"
"succes","fiasko","fialarm","kælces","success","failure"
"suge","slikke","drykke","finge","suck","lick"
"sukker","chokolade","chokoladestruction","neuker","sugar","chocolate"
"sult","tørst","særst","sugs","hunger","thirst"
"sum","beløb","begun","röm","sum","amount"
"sund og rask","normal","norsin","sund moralsk","healthy","normal"
"sundhed","uddannelse","faldskærmsuddannelse","holdhed","health","education"
"superman","batman","lønman","susynsman","superman","batman"
"supernatural","paranormal","paranorsters","suagustinatural","supernatural","paranormal"
"suppe","salat","sabys","frype","soup","salad"
"support","hjælp","ønælp","ratport","support","assistance"
"sværd","kniv","knjo","svoyd","sword","knife"
"sværge","ed","sæ","stenge","swear","oath"
"svar","svar","woar","svov","answer","reply"
"svinekød","kød","rnd","svineness","pork","meat"
"svulst","kræft","kroot","svlåst","tumor","cancer"
"syd","nord","nosy","ærd","south","north"
"syd-","vestlig","vestment","oud","southern","western"
"syg","syg","igg","igg","ill","sick"
"symptom","syndrom","syngrid","symplak","symptom","syndrome"
"synd","forbrydelse","forløsladelse","cond","sin","crime"
"taber","vinder","modder","tamin","loser","winner"
"tablet","pille","medle","loylet","tablet","pill"
"tælle","beregn","beless","mople","count","calculate"
"tæppe","håndklæde","gelsklæde","urepe","blanket","towel"
"tag fat","fangst","fastst","tagoval","grab","catch"
"tage med","sende","norde","tagehels","bring","send"
"taknemmelig","takke","hvike","brændnemmelig","grateful","thank"
"tale","prædiken","prædiscip","kolle","speech","sermon"
"tale","tale","kolle","kolle","talk","speak"
"tålmodighed","medfølelse","ningsfølelse","tålmofølsomhed","patience","compassion"
"tank","motor","mokes","tart","tank","engine"
"tåre","skære","fylre","ferre","tear","cut"
"tårn","bygning","krening","acrn","tower","building"
"tatovering","ar","ue","tatoveløsla","tattoo","scar"
"taxa","limousine","litirapsine","tajø","taxi","limousine"
"teenage","teenager","kængurustylteenager","kængurustylteenage","teenage","teenager"
"teknisk","mekanisk","mekatens","rignisk","technical","mechanical"
"teknologi","videnskab","videntisk","landsnologi","technology","science"
"tekst","digt","algt","teelt","text","poem"
"telegram","brev","brvo","teleligt","telegram","letter"
"teleskop","mikroskop","mifrokost","teneskud","telescope","microscope"
"tempel","kloster","virster","temsia","temple","monastery"
"terapi","behandling","beskytling","kængurustylterapi","therapy","treatment"
"terminal","lufthavn","luftgeon","fængselsvagterminal","terminal","airport"
"tilbage","vend tilbage","vandtårlbage","åbenbage","back","return"
"tilbud","give","bagve","tilfri","offer","give"
"tilflugt","ly","sæ","tilstrøm","refuge","shelter"
"tilfreds","lykkelig","smugkelig","tilstedt","satisfied","happy"
"tilgive","undskyldning","undbremsning","imoogive","forgive","excuse"
"tilgivelse","barmhjertighed","løslahjertighed","bejdsgivelse","forgiveness","mercy"
"tilladelse","godkendelse","narkokendelse","tillationsse","permission","approval"
"tillid","tro på","troskt","tildeo","trust","believe"
"tilstedeværelse","fravær","frarus","tilstedeværelsemesters","presence","absence"
"tiltrækkende","charmerende","strømmerende","tilkunstkende","attractive","charming"
"tjener","servitrice","servitricestatsankla","kærner","waiter","waitress"
"to","fire","skere","ue","two","four"
"tobak","cigaret","cigation","touns","tobacco","cigarette"
"tog","bus","øbs","alg","train","bus"
"toilet","håndvask","hånddrik","toetet","toilet","sink"
"tom","fuld","fume","amm","empty","full"
"top","bund","busi","ælp","top","bottom"
"tør","våd","æld","uor","dry","wet"
"total","komplet","kombudt","tober","total","complete"
"trække på","løve","renve","trækkemad","dragon","lion"
"træner","spiller","landler","husner","coach","player"
"træt","sulten","neuten","trfu","tired","hungry"
"tredje","fjerde","elekde","voldje","third","fourth"
"trick","joke","likke","flyck","trick","joke"
"trist","tragisk","tragark","alist","sad","tragic"
"trofæ","medalje","meligtje","chafæ","trophy","medal"
"troskab","hengivenhed","hengivenskabs","chaskab","fidelity","devotion"
"tunfisk","hummer","dræmer","tunført","tuna","lobster"
"tung","tungt","tubet","tuet","heavy","heavily"
"tur","koncert","konchip","eir","tour","concert"
"tur","rotere","snittere","eir","turn","rotate"
"turnering","match","petch","turnesten","tournament","match"
"tusind","hundrede","tidsrede","tugies","thousand","hundred"
"tvivl","formode","forpids","øjivl","doubt","suspect"
"tynd","tyk","ørk","cind","thin","thick"
"typisk","classic","clasbos","tygins","typical","classic"
"tyv","kriminel","krimirisk","civ","thief","criminal"
"tyveri","røveri","spilveri","håndveri","theft","robbery"
"ubehageligt","ubehagelig","brandhagelig","ubehagetrans","uncomfortable","unpleasant"
"ubrugelig","værdiløs","værdicher","øresgelig","useless","worthless"
"ud","om","ue","tz","out","about"
"uden for","inde","infor","udenhear","outside","inside"
"udløser","aktiver","aktidigt","udløgrin","trigger","activate"
"udsigt","perspektiv","perhedstiv","udspør","view","perspective"
"udstyr","udstyre","udbrudre","udgreb","equipment","equip"
"udvikling","mutation","moontion","udviktors","evolution","mutation"
"ufo","alien","uopen","azo","ufo","alien"
"uheldig","ulykke","smerke","fjoldig","unfortunate","misfortune"
"uhyre","væsen","vælig","sopre","monster","creature"
"ulovlig","gyldige","virkdige","brodlig","illegal","legal"
"umulig","let","ght","keylig","impossible","easy"
"undersøge","undersøge","unklandsøge","unklandsøge","examine","investigate"
"undersøgelse","inspektion","inputation","unasylansøgelse","examination","inspection"
"undervandsbåd","båd","æld","understrømbåd","submarine","boat"
"undervurdere","overdrive","vanddrive","undervurdereceptblok","underestimate","exaggerate"
"ungdom","barndom","åbendom","tændom","youth","childhood"
"univers","galakse","gafredse","belvers","universe","galaxy"
"uretfærdighed","urimelig","størmelig","voldsfærdighed","injustice","unfair"
"urimelig","uansvarlig","uanstænlig","olymmelig","unreasonable","irresponsible"
"usædvanlig","mærkelig","spejkelig","kropvanlig","unusual","strange"
"uskyldig","skyldig","stifdig","skilddig","innocent","guilty"
"utilsigtet hændelse","ulykke","smerke","frokostsigtet hændelse","incident","accident"
"uvidenhed","arrogance","arrogancestatsankla","gnavdenhed","ignorance","arrogance"
"væg","hegn","heme","agg","wall","fence"
"vægt","højde","chade","væak","weight","height"
"vælge","vælg","væiv","gruge","choose","select"
"værdi","pris","stis","cendi","value","price"
"værdifuld","vigtig","cultig","værdimirs","valuable","important"
"værelse","soveværelse","fredsværelse","væklasse","room","bedroom"
"værksted","garage","neutrage","snaksted","workshop","garage"
"værktøj","instrument","infragment","snaktøj","tool","instrument"
"væske","væske","værei","værei","liquid","fluid"
"vagina","penis","pefra","græsina","vagina","penis"
"vagt","patrulje","pasmedje","vaak","guard","patrol"
"valg","mulighed","muskelhed","vaea","choice","option"
"varm","fedt nok","fedtelsk","vano","warm","cool"
"varme","temperatur","brændperatur","kenme","heat","temperature"
"ved en fejltagelse","med vilje","med virarm","ved en fejltagtormand","accidentally","intentionally"
"vej","highway","sekhway","rij","road","highway"
"velgørenhed","donation","donaster","velgøvidsthed","charity","donation"
"velsmagende","lækker","sygker","luxemmagende","tasty","delicious"
"vene","pulsåre","allsåre","skine","vein","artery"
"vente","forventer","forbløfter","prote","wait","expect"
"ventil","ventilation","ventilaments","særtil","valve","ventilation"
"vidne","vidnesbyrd","vidneshrow","busne","witness","testimony"
"vidunderlig","fantastisk","fantations","viskrædderlig","wonderful","fantastic"
"vin","champagne","nikslagne","ynn","wine","champagne"
"vind","storm","gaorm","lend","wind","storm"
"vindue","dør","ilr","vinvar","window","door"
"virkelighed","fantasi","hjemtasi","grundkelighed","reality","fantasy"
"virus","infektion","infekster","vichs","virus","infection"
"vittig","sjov","sjnn","negtig","witty","funny"
"voksen","forælder","forælling","bælsen","adult","parent"
"vrede","raseri","stelseri","lukde","anger","rage"
"washington","boston","boskab","skrothington","washington","boston"
"west","øst","adt","slst","west","east"
"whisky","vodka","dapka","skesky","whiskey","vodka"
"ydmyg","beskeden","betragden","ydbér","humble","modest"
"yoga","massage","hundsage","berga","yoga","massage"
"zombie","vampire","festpire","jegbie","zombie","vampire"
"zoologisk have","cirkus","cirled","zoolokalnum have","zoo","circus"
