"af_cue","af_target","type","cue_type","target_type","af_cosine"
"varkvleis","vleis","related","word","word",0.789738538140262
"land","vlieg","related","word","word",0.167512031175721
"vloeibaar","vloeiend","related","word","word",0.477231688036623
"mariene","vloot","related","word","word",0.285841629730011
"marine -","vloot","related","word","word",NA
"landing","vlug","related","word","word",0.365331705706944
"vlugteling","vlugteling","related","word","word",1
"skoenlapper","voël","related","word","word",0.331448496240123
"voertuig","voertuig","related","word","word",1
"leegmaak","vol","related","word","word",NA
"genoeg","voldoende","related","word","word",0.492220678711651
"einde","voltooi","related","word","word",0.238552534565738
"ideale","voltooi","related","word","word",0.0937176874518634
"woord","vonnis","related","word","word",0.111677184335059
"gereed","voorberei","related","word","word",0.401297147965664
"in staat stel","voorsien","related","word","word",NA
"voorstel","voorstel","related","word","word",1
"altyd","voortdurend","related","word","word",0.275242535329043
"vraag","vra","related","word","word",0.438260155143673
"vrag","vrag","related","word","word",1
"jeep","vragmotor","related","word","word",0.286940362803468
"sitty","vreemd","related","word","word",NA
"ongewoon","vreemde","related","word","word",0.209322470482707
"gruwel","vrees","related","word","word",0.297026260888627
"voer","vreet","related","word","word",0.216929025411017
"plesier","vreugde","related","word","word",0.303564154118913
"beleef","vriendelik","related","word","word",0.152144932098644
"kollega","vriendin","related","word","word",0.349103967146565
"verhouding","vriendskap","related","word","word",0.449365790215314
"smelt","vries","related","word","word",0.329210407146668
"laat","vroeg","related","word","word",0.273075227401466
"amateur","vrou","related","word","word",0.137034938971361
"man","vrou","related","word","word",0.545746215979437
"weduwee","vrou","related","word","word",0.445020554758509
"manlik","vrou","related","word","word",0.324646892750238
"appel","vrugte","related","word","word",0.415093348372051
"vrylik","vry","related","word","word",0.460933683165396
"medelydend","vrygewig","related","word","word",NA
"vrywilliger","vrywillig","related","word","word",0.832471749365798
"sleg","vuil","related","word","word",0.254278923522719
"weggooigoed","vullis","related","word","word",NA
"werkswinkel","vulstasie","related","word","word",0.316736927892738
"lepel","vurk","related","word","word",0.480500303046805
"bewonder","waardeer","related","word","word",0.370349862664231
"nutteloos","waardeloos","related","word","word",0.661743849210263
"verdien","waardig","related","word","word",0.118229015658841
"trots","waardigheid","related","word","word",0.401400900524826
"in werklikheid","waarlik","related","word","word",NA
"waarskynlikheid","waarskynlik","related","word","word",0.643597733322954
"kan wees","waarskynlik","related","word","word",NA
"kode","wagwoord","related","word","word",0.295724731114746
"vuil","walglik","related","word","word",0.302839580439794
"lip","wang","related","word","word",0.301857349871064
"pistool","wapen","related","word","word",0.220247036406243
"skoon","was","related","word","word",0.1061267086149
"toilet","wasbak","related","word","word",0.425748142017443
"eekhoring","wasbeer","related","word","word",NA
"slak","waterskilpad","related","word","word",NA
"pomp","waterslang","related","word","word",0.309707389047228
"koolstof","waterstof","related","word","word",0.621133718328536
"sherlock","watson","related","word","word",0.292848494372324
"internet","web","related","word","word",0.43823369725312
"maand","week","related","word","word",0.511552434338415
"daagliks","weekliks","related","word","word",0.505052948754668
"legioen","weermag","related","word","word",0.365295261754921
"nou","weet","related","word","word",0.208784093755214
"wins","wen","related","word","word",0.225841692874815
"verloorder","wenner","related","word","word",0.278102189367896
"begeerte","wens","related","word","word",0.33562048712083
"planeet","wentel","related","word","word",0.535468851702006
"internasionaal","wêreld","related","word","word",0.324566496277269
"taak","werk","related","word","word",0.399123444113166
"boer","werker","related","word","word",0.342489052978499
"ware","werklike","related","word","word",0.365952560393155
"suidelik","westelik","related","word","word",0.570415103125579
"tegnologie","wetenskap","related","word","word",0.505098922594755
"genie","wetenskaplike","related","word","word",0.213446692998273
"onwettig","wettig","related","word","word",0.729270589631526
"toneelstuk","wild","related","word","word",0.112392579849422
"winkel","winkel","related","word","word",1
"somer","winter","related","word","word",0.683895777730583
"fisika","wiskunde","related","word","word",0.561877715448707
"wayy","wodka","related","word","word",NA
"woede","woede","related","word","word",1
"jaloers","woedend","related","word","word",0.397640592575864
"verdra","wolf","related","word","word",0.116538700908058
"huis","woonstel","related","word","word",0.391176777839835
"oerwoud","woud","related","word","word",0.610730184746959
"brutaal","wreed","related","word","word",0.394648786237217
"boos","wreedheid","related","word","word",0.253063466673354
"nou","wyd","related","word","word",0.16768013889208
"vorm","seun","unrelated","word","word",0.0628875110312142
"verskriklik","weermag","unrelated","word","word",0.125231380357838
"nag","reputasie","unrelated","word","word",-0.00464671188821826
"punt","maaltyd","unrelated","word","word",0.135229419943405
"gemaklik","verbetering","unrelated","word","word",0.216899836510147
"voortgaan","manipuleer","unrelated","word","word",0.241394807396095
"prokureur","handelaar","unrelated","word","word",0.318308119745883
"afsluiting","oor","unrelated","word","word",0.171709402896193
"verduideliking","ooreenkoms","unrelated","word","word",0.168759691715636
"aandag","kasteel","unrelated","word","word",0.114497918034323
"romp","dokter","unrelated","word","word",0.10326887393799
"weier","gevaar","unrelated","word","word",0.138982004225605
"slagoffer","stasie","unrelated","word","word",0.137055770132755
"piesang","sneesdoekie","unrelated","word","word",NA
"strik","meel","unrelated","word","word",0.176309675491545
"spoeg","epidemie","unrelated","word","word",0.1199142683711
"belaglik","gravin","unrelated","word","word",0.103245885388492
"bestuur","spier","unrelated","word","word",0.161576412319511
"hormoon","fisies","unrelated","word","word",0.214638734164083
"advies","plastiek","unrelated","word","word",0.0984228916714656
"bedanking","hek","unrelated","word","word",0.108717543743623
"toekomstig","olie","unrelated","word","word",NA
"totaal","federasie","unrelated","word","word",0.134568910879484
"omkoopgeld","oseaan","unrelated","word","word",0.140624806436285
"oorspronklik","voldoende","unrelated","word","word",0.0745346787121764
"opening","oppervlak","unrelated","word","word",0.107531289223361
"reeks","uitslag","unrelated","word","word",0.178293199554541
"teenwoordigheid","siekte","unrelated","word","word",0.206322638841066
"ferm","vreugde","unrelated","word","word",0.119894237335062
"front","daardie","unrelated","word","word",0.131550669128832
"padda","alibi","unrelated","word","word",0.241543787378151
"stem","helder","unrelated","word","word",0.209485473384879
"outeur","motel","unrelated","word","word",0.164625173501308
"sneller","lesing","unrelated","word","word",0.119647159071389
"aktief","konsentreer","unrelated","word","word",0.223141735901834
"waaksaam","mikroskoop","unrelated","word","word",0.186508493149845
"bravo","opdrag","unrelated","word","word",0.107621330229893
"motief","abdominale","unrelated","word","word",0.192105513337826
"nooit","vries","unrelated","word","word",0.167706186203479
"afrika","bekoorlik","unrelated","word","word",0.158839173811817
"amptelik","dink","unrelated","word","word",0.0826911651100985
"lykskouing","wang","unrelated","word","word",0.258324359230741
"antwoord","kitaar","unrelated","word","word",0.0432425052386556
"ingenieur","boot","unrelated","word","word",0.197443365199547
"hand","optrede","unrelated","word","word",0.187386831076337
"straf","roofdier","unrelated","word","word",0.280737704409183
"onkunde","medelye","unrelated","word","word",0.413748126492368
"ruitery","waarlik","unrelated","word","word",0.0574239648036398
"sekretaris","samestelling","unrelated","word","word",0.0872962213563069
"stille oseaan","daad","unrelated","word","word",NA
"omgewing","baard","unrelated","word","word",0.100267252016095
"hemp","boek","unrelated","word","word",0.2124586812185
"hare","neus","unrelated","word","word",0.278205462551436
"bestuurder","afsluiting","unrelated","word","word",0.210216127831416
"reënbui","versoek","unrelated","word","word",0.121731471593575
"uiters","beloning","unrelated","word","word",0.0909272731426075
"stadion","verdeling","unrelated","word","word",0.0407361962374461
"regiment","wagwoord","unrelated","word","word",0.148768216935246
"superman","spandeer","unrelated","word","word",0.0611186309154515
"rusbank","burgemeester","unrelated","word","word",0.189409605059749
"dankbaar","administratief","unrelated","word","word",0.127220804885772
"doel","snelweg","unrelated","word","word",0.112250271302
"som","iets","unrelated","word","word",0.0849296872506438
"sameswering","verskeep","unrelated","word","word",0.165215787216522
"begroting","boonste","unrelated","word","word",0.0771425095653539
"hallo","perd","unrelated","word","word",0.0703004845186077
"begeleiding","gay","unrelated","word","word",0.123066134027671
"graf","monitor","unrelated","word","word",0.0999489120287803
"kis","naak","unrelated","word","word",0.252230830576122
"grawe","vra","unrelated","word","word",0.108213209745338
"terapie","posisie","unrelated","word","word",0.100410911024821
"nodig","verwer","unrelated","word","word",0.14010278277913
"onderneming","waterskilpad","unrelated","word","word",NA
"aantreklik","temperatuur","unrelated","word","word",0.156770469396425
"kosbaar","oor die algemeen","unrelated","word","word",NA
"betekenis","katoen","unrelated","word","word",0.0507188265926033
"finansies","kampioenskap","unrelated","word","word",0.185366143145105
"belediging","bestuurder","unrelated","word","word",0.0960291725571926
"bankier","toespraak","unrelated","word","word",0.113534885379865
"waarborg","eerlikheid","unrelated","word","word",0.282993145088042
"bonus","groot","unrelated","word","word",0.217134897973927
"erken","definisie","unrelated","word","word",0.207334070237142
"reklame","liefhebber","unrelated","word","word",0.188650641939484
"voorbereiding","wêreld","unrelated","word","word",0.118839818088708
"proefneming","set","unrelated","word","word",0.153405217225282
"tel","funksioneel","unrelated","word","word",0.0962430136381812
"heuwel","slaapkamer","unrelated","word","word",0.168157602176857
"gewilde","bestraling","unrelated","word","word",0.0918656717028354
"steel","kers","unrelated","word","word",0.259284243613922
"wond","erf","unrelated","word","word",0.121287649626958
"kultuur","gelukkig","unrelated","word","word",0.106784709764943
"profiel","ster","unrelated","word","word",0.136791679413928
"klagte","weet","unrelated","word","word",0.200701808114137
"nederig","paranormale","unrelated","word","word",0.215562752964409
"geselskap","verbied","unrelated","word","word",0.101146987256836
"kontaminasie","bruid","unrelated","word","word",0.0977806419772842
"passasier","kok","unrelated","word","word",0.0438125490838302
"sak","distrik","unrelated","word","word",0.201888179277742
"sê","telefoon","unrelated","word","word",0.255299856541985
"aanneming","bord","unrelated","word","word",0.0961074693199941
"tjek","dik","unrelated","word","word",0.147011004939177
"bewysstuk","preek","unrelated","word","word",0.146854632507845
"drankie","gorilla","unrelated","word","word",0.19203618209097
"miljoen","poker","unrelated","word","word",0.139762101970551
"buitekant","iewers","unrelated","word","word",0.16111162313138
"chemie","bystaan","unrelated","word","word",0.17415270489931
"chemies","omtrek","unrelated","word","word",0.150842095571511
"fabriek","verlaat","unrelated","word","word",0.183789490156391
"verbruin","toewyding","unrelated","word","word",NA
"top","herfs","unrelated","word","word",0.0667634962493374
"bybel","gewoon","unrelated","word","word",0.146462245805037
"waarskuwing","dame","unrelated","word","word",0.0674702195273786
"bos","belegger","unrelated","word","word",0.142382079604748
"laer","sleg","unrelated","word","word",0.0974879817213525
"duikboot","nie in staat","unrelated","word","word",NA
"bak","geskryf","unrelated","word","word",0.0977937238868041
"maag","staptog","unrelated","word","word",0.143504386173665
"washington","globaal","unrelated","word","word",0.0933597314466019
"glas","rondom","unrelated","word","word",0.20590589364101
"heuning","akkedis","unrelated","word","word",0.229998437353395
"konstruksie","alarm","unrelated","word","word",0.188181533102014
"gas","drukkie","unrelated","word","word",0.242402208046805
"verbrysel","droom","unrelated","word","word",0.241928276346765
"telegram","sand","unrelated","word","word",0.0727744968866696
"man","groep","unrelated","word","word",0.115517826309713
"suster","prototipe","unrelated","word","word",0.0450693728282925
"stalkneg","lemoen","unrelated","word","word",NA
"huishoudelik","atmosfeer","unrelated","word","word",NA
"sheriff","fotos","unrelated","word","word",0.159465453867188
"afrig","bataljon","unrelated","word","word",0.172151090612454
"ekstra","familie","unrelated","word","word",0.0547674418279727
"kollekteer","wreed","unrelated","word","word",0.07796499056797
"help","aaklig","unrelated","word","word",0.206716721093487
"katoliek","ouer","unrelated","word","word",0.156132439162577
"rum","vlugteling","unrelated","word","word",0.0595281255771165
"rodeo","kliënt","unrelated","word","word",0.169773558217302
"skrikwekkend","leuenaar","unrelated","word","word",0.347306365681981
"gebaar","sluipmoordenares","unrelated","word","word",NA
"hier","vrou","unrelated","word","word",0.154927106032767
"wat","badkamer","unrelated","word","word",0.274189206007811
"heer","sindroom","unrelated","word","word",0.0499080726023078
"gasvryheid","veroorsaak","unrelated","word","word",0.0951870170597768
"danseres","eer","unrelated","word","word",0.189423733090349
"edel","lank","unrelated","word","word",0.156374250428615
"verbind","inspeksie","unrelated","word","word",0.170076791659233
"saak","verdedig","unrelated","word","word",0.207161487952719
"konsep","dinamiet","unrelated","word","word",0.179319455525926
"kajuit","son","unrelated","word","word",0.176888312927409
"eeu","toneelspeler","unrelated","word","word",0.136223418638508
"vryheid","huwelik","unrelated","word","word",0.102869425997376
"protesteer","bykomend","unrelated","word","word",0.163534670551812
"spanning","donderweer","unrelated","word","word",0.201380124555125
"november","koning","unrelated","word","word",0.147515374717653
"venster","heks","unrelated","word","word",0.228315163390643
"slaaf","prakties","unrelated","word","word",0.110900982283834
"dier","kennis","unrelated","word","word",0.168119962510246
"maer","voltooi","unrelated","word","word",0.0393971550109312
"soms","frans","unrelated","word","word",0.12315741248772
"kruitstof","christen","unrelated","word","word",NA
"ping","afskrif","unrelated","word","word",0.193112792114662
"oorweeg","dekade","unrelated","word","word",0.189574173290398
"maandag","maksimum","unrelated","word","word",0.0658678660239829
"dirigeer","vanielje","unrelated","word","word",0.115924840099357
"konflik","professor","unrelated","word","word",0.127101490805215
"graaf","oktober","unrelated","word","word",0.0794566725276577
"maak","lek","unrelated","word","word",0.18982668140412
"chirurg","mutasie","unrelated","word","word",0.247074639100156
"lêer","adrenalien","unrelated","word","word",0.195792518796379
"timmer","kommissaris","unrelated","word","word",0.107193388231303
"weerlig","nek","unrelated","word","word",0.177333013517635
"skaduwee","fantasie","unrelated","word","word",0.264415562815279
"lewendig","winkel","unrelated","word","word",0.0711526228280166
"gif","prosedure","unrelated","word","word",0.181280845676773
"blind","pantser","unrelated","word","word",0.20432327855511
"kampeer","sentreerder","unrelated","word","word",NA
"honger","inkomste","unrelated","word","word",0.189639833443549
"muur","storm","unrelated","word","word",0.236838385046031
"kabel","spaar","unrelated","word","word",0.114427190177607
"een","behoefte","unrelated","word","word",0.134303991654007
"omsirkel","sous","unrelated","word","word",0.106148329409584
"dubbel","noodgeval","unrelated","word","word",0.181635757007747
"nugter","vuil","unrelated","word","word",0.268044645970773
"nagmerrie","uitheemse","unrelated","word","word",0.18451988246314
"pols","elektrisiteit","unrelated","word","word",0.18506169316147
"soen","ja","unrelated","word","word",0.15614052774524
"sonsondergang","geweer","unrelated","word","word",0.127681096288271
"vinger","van","unrelated","word","word",0.174464500505671
"engel","troon","unrelated","word","word",0.159739320599437
"alkohol","ooste","unrelated","word","word",0.110033006203185
"vloek","demokrasie","unrelated","word","word",0.129816112354345
"gans","verminder","unrelated","word","word",0.122670371355705
"alleen","siek","unrelated","word","word",0.273244820702411
"eenvoudig","huur","unrelated","word","word",0.170276778118237
"voorreg","loods","unrelated","word","word",0.0740723085744907
"ordentlik","beskrywing","unrelated","word","word",0.139041720494263
"lojaliteit","vasbeslotenheid","unrelated","word","word",0.402087026236333
"bruikbaar","dapper","unrelated","word","word",0.193241217973465
"eiendom","koffie","unrelated","word","word",0.114738591506719
"nes","duiwel","unrelated","word","word",0.215513444181219
"modieus","koninkryk","unrelated","word","word",0.143913599476232
"magneties","neef","unrelated","word","word",0.135073075668382
"huidig","sakdoek","unrelated","word","word",0.173115149382609
"faktor","vleis","unrelated","word","word",0.146124249374113
"armoede","ingewing","unrelated","word","word",0.137757188545233
"verstandelike","moord","unrelated","word","word",0.215683031027998
"mag","beroof","unrelated","word","word",0.167329062369478
"miljoener","wolf","unrelated","word","word",NA
"teenmiddel","gevoel","unrelated","word","word",0.235577222238034
"plaag","gram","unrelated","word","word",0.0955711846331525
"erfenis","mes","unrelated","word","word",0.107664787869734
"observasie","getroud","unrelated","word","word",0.0624727290095604
"familiestam","blou","unrelated","word","word",NA
"realiteit","belangrik","unrelated","word","word",0.285707929233097
"wonderlik","paragraaf","unrelated","word","word",0.202870753325264
"dodelike","driehoek","unrelated","word","word",0.136097917407433
"kolonie","lughawe","unrelated","word","word",0.143815992837453
"karnaval","fataal","unrelated","word","word",0.145414197914122
"bankwese","regter","unrelated","word","word",0.159879587075563
"finansieel","skandaal","unrelated","word","word",0.192018919194701
"seksueel","baie","unrelated","word","word",0.173466754445722
"pornage","fotograaf","unrelated","word","word",NA
"horing","deeltjie","unrelated","word","word",0.189330674794218
"handtekening","demonstrasie","unrelated","word","word",0.186277357187911
"prent","adviserend","unrelated","word","word",NA
"fout","intiem","unrelated","word","word",0.147115796553914
"engels","knie","unrelated","word","word",0.167228495333252
"woordeboek","oordra","unrelated","word","word",0.0727285872387986
"operasionaliseer","eenvoudig","unrelated","word","word",NA
"ingaan","sonkrag","unrelated","word","word",0.117803136046227
"lemonade","mier","unrelated","word","word",NA
"kraak","waterstof","unrelated","word","word",0.188975801279841
"gyselares","kaas","unrelated","word","word",NA
"lesbiese","gemeenskap","unrelated","word","word",0.306488051801525
"gebeur","diensmeisie","unrelated","word","word",0.186735395479535
"verskynsel","ontmoet","unrelated","word","word",0.142322750813565
"toring","lot","unrelated","word","word",0.212540503135508
"aansoek doen","strategie","unrelated","word","word",NA
"teks","entstof","unrelated","word","word",0.0981519143919279
"aanbied","ry","unrelated","word","word",0.185187511710293
"rooi","televisie","unrelated","word","word",0.165430380790491
"siel","dors","unrelated","word","word",0.300639090824022
"diploma","lied","unrelated","word","word",0.137408292367256
"hoeveelheid","winter","unrelated","word","word",0.0785150086838687
"geheim","vertroue","unrelated","word","word",0.136802030985758
"skare","ontbyt","unrelated","word","word",0.14716856409028
"paranoïes","handdoek","unrelated","word","word",0.258926751515428
"kleinmaak","timer","unrelated","word","word",NA
"hoop","militêre","unrelated","word","word",0.086653577014283
"tevrede","kalkoen","unrelated","word","word",0.189155002408815
"toernooi","imponeer","unrelated","word","word",0.124625395858336
"samelewing","vrugte","unrelated","word","word",0.0847224582907932
"vergifnis","pragtige","unrelated","word","word",0.200629748006772
"herstel","vlug","unrelated","word","word",0.129865712837593
"wraak","naby","unrelated","word","word",0.126121853618846
"jurisdiksie","psigologies","unrelated","word","word",0.0988777139366579
"onthulling","simbool","unrelated","word","word",0.132601168811395
"kompliment","verfris","unrelated","word","word",NA
"leesstuk","meer","unrelated","word","word",NA
"gesluit","skoen","unrelated","word","word",0.151564374828461
"geraas","knte","unrelated","word","word",NA
"lojaal","straat","unrelated","word","word",0.120618731701997
"enkel","tand","unrelated","word","word",0.22982920452021
"getuie","rykdom","unrelated","word","word",0.215042332188616
"risiko","aanvaar","unrelated","word","word",0.178269392935538
"gewaag","vitamien","unrelated","word","word",0.0982794741858786
"straf","plofbaar","unrelated","word","word",0.190240565430914
"geveg","losprys","unrelated","word","word",0.256562489414257
"oplaag","pil","unrelated","word","word",0.1361852787825
"geweer","opsie","unrelated","word","word",0.116243846747702
"herken","eier","unrelated","word","word",0.128215655739765
"gewoon","vader","unrelated","word","word",0.23078547475904
"gewoonlik","wreedheid","unrelated","word","word",0.183879810267077
"vandag","vergroot","unrelated","word","word",0.0580277413171143
"vertroue","koerant","unrelated","word","word",0.128300270654048
"nasionaal","slaap","unrelated","word","word",0.029744440809689
"glorieriek","skrywer","unrelated","word","word",NA
"filosofie","wenner","unrelated","word","word",0.125806536260542
"toestemming","medalje","unrelated","word","word",0.133169877932472
"duur","wapen","unrelated","word","word",0.0753183409741637
"aap","lokasie","unrelated","word","word",0.150339407453046
"kilo","uiters","unrelated","word","word",0.125314224373872
"toertjie","universiteit","unrelated","word","word",0.120199194947341
"baron","korporasie","unrelated","word","word",0.177938303399622
"romeinse","sivineer","unrelated","word","word",NA
"ontvangstoonbank","bodem","unrelated","word","word",NA
"bende","dood","unrelated","word","word",0.206808528908637
"gelukwens","vervoerwa","unrelated","word","word",NA
"groot","moordenaar","unrelated","word","word",0.0947792260916985
"uitmuntend","pyn","unrelated","word","word",0.11527652341457
"jakkals","mayonnaise","unrelated","word","word",0.129803802469717
"illusie","sigaret","unrelated","word","word",0.183421177279712
"ring","verstaan","unrelated","word","word",0.0812329270296673
"toebroodjie","selde","unrelated","word","word",0.11545737708121
"stok","koeël","unrelated","word","word",0.277024304155324
"kombers","direk","unrelated","word","word",0.202547358200044
"kommersiële","ontplof","unrelated","word","word",0.16183538790911
"seël","mikrofoon","unrelated","word","word",0.206551563181473
"taai","teleurstelling","unrelated","word","word",0.187429188834584
"oorskot","gewoonlik","unrelated","word","word",0.12076021382081
"baai","kus","unrelated","word","word",0.43290166478168
"smaaklik","tiener","unrelated","word","word",0.166381498439867
"portaal","intelligent","unrelated","word","word",0.0535584693884402
"vloek","senuweeagtig","unrelated","word","word",0.311712615436007
"paradys","week","unrelated","word","word",0.13291813733372
"skyn","inleidend","unrelated","word","word",0.0548980812477435
"ambulans","slagveld","unrelated","word","word",0.152084639166253
"lug","vol","unrelated","word","word",0.155336979715033
"arsenaal","kom","unrelated","word","word",0.151380306279771
"lente","kreatuur","unrelated","word","word",0.0896666877972869
"kokaïen","paadjie","unrelated","word","word",0.163569980551292
"regmaak","werk","unrelated","word","word",0.253445592701035
"helm","satelliet","unrelated","word","word",0.162206403839204
"duisend","stilte","unrelated","word","word",0.239805269293119
"moeg","onregverdig","unrelated","word","word",0.198735521336007
"basis","genees","unrelated","word","word",0.0376505101665737
"laag","wetenskap","unrelated","word","word",0.128275133550699
"majesteit","klein","unrelated","word","word",0.0656728324526924
"gewig","voorberei","unrelated","word","word",0.0736714879252236
"luister","bus","unrelated","word","word",0.236670523960234
"voorkoms","gegradueerde","unrelated","word","word",0.13289974927926
"hou","toestel","unrelated","word","word",0.150132357203253
"opinie","ui","unrelated","word","word",0.146650982925274
"huurder","geslote","unrelated","word","word",0.128159202089291
"steunstuk","kern","unrelated","word","word",NA
"huur","walglik","unrelated","word","word",0.152331351942791
"skei","prins","unrelated","word","word",0.140632444715588
"flous","dikwels","unrelated","word","word",0.304063735341217
"niks","oggend","unrelated","word","word",0.0496725114047071
"elders","vang","unrelated","word","word",0.155322682722606
"vlei","matroos","unrelated","word","word",0.141580837703049
"persoon","tornado","unrelated","word","word",0.108779251705581
"virus","dinsdag","unrelated","word","word",0.14788436744946
"bron","skouspelagtige","unrelated","word","word",0.0135179895204118
"data","sap","unrelated","word","word",0.13432849416694
"uitgang","agter","unrelated","word","word",0.138925578055541
"instink","ruik","unrelated","word","word",0.331911516627812
"wins","woonstel","unrelated","word","word",0.0763748801650971
"sekondêre","hard","unrelated","word","word",0.0855788281121805
"spinnekop","liberaal","unrelated","word","word",0.12248322121117
"ondersoek","batman","unrelated","word","word",0.163889774047982
"inspireer","jaag","unrelated","word","word",0.202163196995753
"dosis","skrikmaak","unrelated","word","word",NA
"werktuig","haas","unrelated","word","word",0.225966909055688
"slim","bedank","unrelated","word","word",0.151074516429876
"opwindende","teer","unrelated","word","word",0.187408865564385
"persoonlik","eend","unrelated","word","word",0.140097065142037
"val","sirkus","unrelated","word","word",0.0912367537147792
"ironie","wodka","unrelated","word","word",0.128290394428942
"okay","rekenaar","unrelated","word","word",NA
"volg","pers","unrelated","word","word",0.11717242970739
"pos","spuitnaald","unrelated","word","word",NA
"verslaggewer","spek","unrelated","word","word",0.122203669194094
"ou","vulstasie","unrelated","word","word",0.186590737866372
"junie","nasie","unrelated","word","word",0.0712140968532909
"romeo","skedule","unrelated","word","word",0.163693152190973
"senior","kantoor","unrelated","word","word",0.295505290852261
"diamant","kolonel","unrelated","word","word",0.17781654657481
"kompas","inval","unrelated","word","word",0.109009901591037
"brood","berg","unrelated","word","word",0.136890993876828
"hoender","verjaardag","unrelated","word","word",0.101693122242869
"stil","onderhoud","unrelated","word","word",0.237451369664984
"piekniek","wyd","unrelated","word","word",0.114891043113065
"kompetisie","energie","unrelated","word","word",0.125213534515624
"gewas","'n teken gee","unrelated","word","word",NA
"lessenaar","kelnerin","unrelated","word","word",0.22398500907037
"bril","visvang","unrelated","word","word",0.220868581652222
"kerk","vinnig","unrelated","word","word",0.0930464060247003
"anargie","sinies","unrelated","word","word",0.241153646701978
"bevelvoerder","meisietjie","unrelated","word","word",0.139191879586715
"biskop","aanvaller","unrelated","word","word",0.148737764008197
"mafia","afdanking","unrelated","word","word",0.242028738616829
"kabinet","seil","unrelated","word","word",0.114366317007824
"paleis","slaan","unrelated","word","word",0.184199523730794
"hond","teater","unrelated","word","word",0.170993967879009
"sy","altyd","unrelated","word","word",0.22284971018459
"vorstelik","onlangs","unrelated","word","word",0.124646813927749
"dinasties","vriendelik","unrelated","word","word",0.140663609225892
"kelner","orde","unrelated","word","word",0.137153811151783
"ondervinding","aanklaer","unrelated","word","word",0.264225693469146
"atomies","woud","unrelated","word","word",0.0970554274186531
"lamp","skerpskutter","unrelated","word","word",0.158880234721546
"kandidaat","redder","unrelated","word","word",0.204408823094755
"baba","lelik","unrelated","word","word",0.1959232374806
"jeug","passie","unrelated","word","word",0.284915952350193
"klavier","brandstof","unrelated","word","word",0.0995317754329287
"duidelik","groep","unrelated","word","word",0.150019200461164
"tipies","onderhou","unrelated","word","word",0.136202510410845
"tweede","probeer","unrelated","word","word",0.143744443381614
"klein","voorsien","unrelated","word","word",0.119832471838338
"geduldig","vreet","unrelated","word","word",0.319540627941452
"hospitaal","kap","unrelated","word","word",0.112887650541298
"tempel","dwelm","unrelated","word","word",0.0605835173389889
"weeshuis","speurder","unrelated","word","word",0.246266574696957
"skrapie","maklik","unrelated","word","word",NA
"skouer","biologies","unrelated","word","word",0.18100914031768
"keer","beproef","unrelated","word","word",0.132080234331969
"kaliber","swangerskap","unrelated","word","word",0.147087335585056
"nagereg","steeg","unrelated","word","word",NA
"warm","ver","unrelated","word","word",0.139801282064171
"lidwoord","voorstel","unrelated","word","word",0.154918492333333
"aktetas","wasbeer","unrelated","word","word",NA
"koppie","vloot","unrelated","word","word",0.00576425630014942
"kok","fantasties","unrelated","word","word",0.126070398983664
"generaal","kompleet","unrelated","word","word",0.139094426017297
"aankom","skedel","unrelated","word","word",0.139769462251409
"drama","aandui","unrelated","word","word",0.0565473371275306
"kommissie","sak","unrelated","word","word",0.0888479283073053
"inspektrise","komedie","unrelated","word","word",NA
"navigasie","kardinaal","unrelated","word","word",0.124538820167448
"rassis","behandeling","unrelated","word","word",0.236807459247975
"absoluut","stad","unrelated","word","word",0.0978351400539584
"koningin","houding","unrelated","word","word",0.150345414845998
"koninklike","bevestig","unrelated","word","word",0.138346977248296
"kontak","ongeluk","unrelated","word","word",0.147869396091461
"fokus","dorpie","unrelated","word","word",0.131953718371765
"toer","verbasend","unrelated","word","word",0.0812175598502342
"hoes","halsband","unrelated","word","word",0.305783557103573
"verkoper","ministerie","unrelated","word","word",0.2041430516261
"geselskap","werklike","unrelated","word","word",0.164104003280854
"verkeerde","klooster","unrelated","word","word",0.111738273961158
"sluk","miv","unrelated","word","word",0.227376584244115
"krag","spesialis","unrelated","word","word",0.0603188478606722
"verbeelding","opgewonde","unrelated","word","word",0.26043024530723
"monster","ingang","unrelated","word","word",0.107339815854138
"tuna","gavangene","unrelated","word","word",NA
"situasie","geld","unrelated","word","word",0.238275279775313
"soldaat","luitenant","unrelated","word","word",0.447602475992767
"natuurlik","gees","unrelated","word","word",0.196704942235946
"strand","krygsman","unrelated","word","word",0.145252042215301
"half","rot","unrelated","word","word",0.180584946415014
"eerste","bemarking","unrelated","word","word",0.148414108594063
"glimlag","kou","unrelated","word","word",0.232609810960652
"kort","standbeeld","unrelated","word","word",0.120001212157989
"krediet","belê","unrelated","word","word",0.199730493404835
"draak","vind","unrelated","word","word",0.131047213519117
"mite","ellende","unrelated","word","word",0.161685026603414
"lid","kapel","unrelated","word","word",0.152543143522364
"suig","boodskap","unrelated","word","word",0.175479237206716
"grawe","negatief","unrelated","word","word",0.0883159785761804
"groen","junior","unrelated","word","word",0.17754145795789
"grootte","gaskoeldrank","unrelated","word","word",0.131627875568527
"seminaar","sokker","unrelated","word","word",0.270907836395163
"leuen","bedrag","unrelated","word","word",0.164912228176473
"nier","arm","unrelated","word","word",0.217475447544696
"konserwatief","ding","unrelated","word","word",0.0671023522883848
"album","ouma","unrelated","word","word",0.17098973240077
"haat","bro","unrelated","word","word",NA
