"af_target","af_cue","af_fake_cue","af_fake_target","en_cue","en_target"
"musiekgroep","orkes","oring","mutuurgroep","orchestra","band"
"musikant","sangeres","sangeluid","musislag","singer","musician"
"mutasie","evolusie","winslusie","mutalent","evolution","mutation"
"naak","naak","naza","ïnak","nude","naked"
"naarheid","diarree","diarhoor","psalheid","diarrhea","nausea"
"naby","oopmaak","oopspan","nafer","open","close"
"nasie","nasie","navor","navor","country","nation"
"nat","afdroog","afskoot","eut","dry","wet"
"nederlaag","oorwinning","oorwingerd","nederhout","victory","defeat"
"neef","familielid","familiestron","newn","relative","cousin"
"negatief","positief","posigers","neganaat","positive","negative"
"nek","keel","kewê","tsk","throat","neck"
"neus","mond","mogo","ylus","mouth","nose"
"nie in staat","onmag","onale","hieron staat","inability","unable"
"noodgeval","dringend","ranggend","spiegeval","urgent","emergency"
"noord","suid","surk","nogad","south","north"
"normaal","gesond","getigd","norwell","healthy","normal"
"nuus","kanaal","kakant","tfus","channel","news"
"oefen","beoefen","beoetuut","oebum","practice","exercise"
"oggend","more","viere","ogsaal","tomorrow","morning"
"oktober","september","marstember","oktoloog","september","october"
"olie","steenkool","steenklim","zoie","coal","oil"
"omheen","uit","glt","omlets","out","about"
"omtrek","radius","radiseer","omdies","radius","perimeter"
"onaangenaam","ongemaklik","ongesluitlik","onaangestryd","uncomfortable","unpleasant"
"onbekend","anoniem","anoruim","onbestof","anonymous","unknown"
"onderhou","bewaar","beguur","onderpies","preserve","maintain"
"onderhoud","diens","ditos","ondervlei","service","maintenance"
"onderrig","leer","puer","ondertaal","learn","teach"
"ondersoek","ondersoek","onderliks","onderlist","examine","investigate"
"ondersoeker","ontleder","ontlevski","onderplankker","analyst","investigator"
"onderwerp","objek","obpye","onderslag","object","subject"
"onderwyser","student","unident","onderwylings","student","teacher"
"ongeluk","ongelukkig","ongelukstown","ongetree","unfortunate","misfortune"
"ongeluk","voorval","voormes","ongetree","incident","accident"
"onlangs","net","odt","onclass","just","recently"
"onnosel","naïef","nawoo","onnochro","naïve","stupid"
"onnoselheid","waansin","carlsin","onnoselmouth","madness","stupidity"
"onregverdig","onreg","onlin","onregverkeers","injustice","unfair"
"ontbyt","aandete","stapete","ontlue","dinner","breakfast"
"onthou","vergeet","vernaut","ontski","forget","remember"
"ontmoet","sien","siah","ontfrey","see","meet"
"ontplof","gebars","getail","ontrief","burst","explode"
"ontploffing","aardbewing","tuisbewing","ontplofkoop","earthquake","explosion"
"ontsnap","vlug","vlcz","onttamp","flee","escape"
"ontvoer","ontvoer","ontspel","ontneel","kidnap","abduct"
"ontwikkeling","vooruitgang","vooruitklop","ontwikkenaars","progress","development"
"onverantwoordelik","onredelik","onredenaars","onverantwoordelikheidsteu","unreasonable","irresponsible"
"onverwags","skielik","sharlik","onverdisj","suddenly","unexpectedly"
"onwaar","namaaksel","naboomsel","onlang","fake","FALSE"
"oor","oog","ieg","xir","eye","ear"
"oor die algemeen","natuurlikerwyse","staatsgymnatuurlikerwyse","oor die aldrecht","naturally","generally"
"oorbly","bly","uny","oorlan","stay","remain"
"oordra","verhuis","verskie","oortum","move","transfer"
"ooreenkoms","kontrak","konlaas","ooreenband","contract","agreement"
"oorleef","leef","leba","oormerk","live","survive"
"oorlog","oorlog","oormus","oormus","war","battle"
"ooste","weste","prite","brate","west","east"
"opdrag","taak","tayy","opreld","task","mission"
"opgewonde","trotse","breuse","opgedraaide","proud","excited"
"opname","opgawe","opvolgwe","opnamelanchthon","record","recording"
"oppervlak","laag","lays","oppermers","layer","surface"
"opponent","vyand","vydoe","opposorg","enemy","opponent"
"oprigting","orgasme","ortromme","oprigheid","orgasm","erection"
"opsetlik","per ongeluk","per ongtingė","optaamlik","accidentally","intentionally"
"opsie","keuse","sumse","opleg","choice","option"
"optrede","wys","yds","opvolgde","show","performance"
"opvoeding","gesondheid","gedigtheid","opvoeters","health","education"
"opvolg","bestuur","benaars","opmeng","manage","succeed"
"opwaarts","af","ey","opstreek","down","up"
"orde","bevel","bedus","nende","command","order"
"organiseer","reël","remie","organigings","arrange","organize"
"oseaan","see","rse","fasaan","sea","ocean"
"ouer","volwasse","volgingse","haner","adult","parent"
"oulike","soet","sofo","oukerske","sweet","cute"
"ouma","oupa","dispa","tasma","grandfather","grandmother"
"pa","oom","xim","ër","uncle","dad"
"paadjie","roete","ekste","enanjie","route","path"
"pakkie","koevert","koebars","hilkie","envelope","package"
"pantser","skild","skond","openser","shield","armor"
"paragraaf","gedeelte","geloofte","paradarto","section","paragraph"
"paranormale","supernatuurlike","supernaheidsallike","paranormaleraarspaar","supernatural","paranormal"
"parfuum","lipstiffie","lippynsfie","parraud","lipstick","perfume"
"paspoort","kaartjie","kaartkus","roopoort","ticket","passport"
"passie","entoesiasme","entoesiasmelanchthon","nensie","enthusiasm","passion"
"pateties","ellendig","ellentyns","patenant","miserable","pathetic"
"patrollie","wag","mbg","parentlie","guard","patrol"
"pen","papier","pasert","kün","paper","pen"
"penis","vagina","spongina","pedae","vagina","penis"
"perd","donkie","kelkie","peat","donkey","horse"
"pers","knoop","vroop","peni","button","press"
"persoonlikheid","karakter","kachester","perbruiklikheid","character","personality"
"perspektief","beskou","bestam","perreustief","view","perspective"
"pil","tablet","tamieë","tml","tablet","pill"
"plaaslik","streek-","strepa","plaaswer","regional","local"
"plaasvervanger","vervang","vergent","noordvervanger","replace","substitute"
"plastiek","sement","selaar","leestiek","cement","plastic"
"plig","verantwoordelikheid","verantgeschiedelikheid","pllf","responsibility","duty"
"plofbaar","bombardeer","bombarbond","pelsbaar","bomb","explosive"
"poker","dobbel","setbel","potie","gambling","poker"
"politiek","joernalisme","raadsnalisme","poliaans","journalism","politics"
"politiese","krities","tonties","polimaçonse","critical","political"
"politikus","gedragslyn","gebreeklyn","politigroep","policy","politician"
"posisie","status","distus","posiklus","status","position"
"praat","praat","preet","preet","talk","speak"
"pragtige","mooi","moff","leeftige","pretty","beautiful"
"prakties","letterlik","letmaaklik","maasties","literally","practically"
"preek","spraak","zaraak","propk","speech","sermon"
"president","kanselier","kanseseum","presisied","chancellor","president"
"priester","monnik","mondri","kranster","monk","priest"
"prins","prinses","chroses","thins","princess","prince"
"privaatheid","privaat","pristal","pritiekheid","private","privacy"
"probeer","verhoor","verfeer","profied","try","attempt"
"probleem","moeilikheid","chlolikheid","progreer","trouble","problem"
"produk","handelsmerk","handelsdoel","probra","brand","product"
"produksie","fabriek","fakruis","provoorsie","factory","production"
"produseer","skep","skii","produking","create","produce"
"professor","dekaan","deleen","profesmens","dean","professor"
"program","projek","progue","progies","project","program"
"prosedure","proses","protor","steinsedure","process","procedure"
"protokol","bepaling","bepatrol","protowick","rule","protocol"
"prototipe","model","moson","asimptotipe","model","prototype"
"prys","nobelp","nodess","geys","nobel","prize"
"prys","waarde","deurde","geys","value","price"
"psigologies","medies","mesmel","psigolostryd","medical","psychological"
"pyn","lyding","lysis ","uin","suffering","pain"
"reaktor","kragopwekker","woordopwekker","reaksent","generator","reactor"
"realisties","optimisties","optimisbruik","realisskool","optimistic","realistic"
"redder","held","het ","bunder","hero","savior"
"redelik","jaarbeurs","noorbeurs","redebuut","fair","reasonable"
"regering","administrasie","adminissubduksie","regestel","administration","government"
"regisseur","produsent","produlier","registuin","producer","director"
"regter","hof","xtf","plater","court","judge"
"rekenaar","soluta","solutablishment","rekelers","software","computer"
"reputasie","beroep","begees","reputalaans","career","reputation"
"resies","marnahon","marnaand","restau","marathon","race"
"restaurant","kroeg","krakg","restausoen","pub","restaurant"
"romanties","dramaties","dramabaar","romanskry","dramatic","romantic"
"rome","keiser","aarser","visme","caesar","rome"
"rondom","ronde","plede","blomom","round","around"
"roofdier","prooi","prrii","bourdier","prey","predator"
"rooftog","diefstal","sjiestal","ringtog","theft","robbery"
"rot","muis","hlis","änt","mouse","rat"
"roteer","draai","guaai","roërei","turn","rotate"
"ruik","smaak","smurk","ruea","taste","smell"
"ry","bestuur","benaars","vl","drive","ride"
"ryk","arm","uim","ilk","poor","rich"
"rykdom","skat","peat","agadom","treasure","wealth"
"sabotasie","spioenasie","gaamsoenasie","sabotadeusz","espionage","sabotage"
"sak","boks","liks","žek","box","bag"
"sakdoek","doek","doce","sakjord","cloth","handkerchief"
"sakeonderneming","industrie","indussaak","sakeondernestreeks","industry","business"
"salaris","pensioen","pensikaat","salanaar","pension","salary"
"samestelling","wet","szt","sameningsling","law","constitution"
"samurai","ninja","aapja","samuject","ninja","samurai"
"sand","modder","erider","sabo","mud","sand"
"sap","melk","meco","cep","milk","juice"
"satelliet","radar","ragon","satelgeld","radar","satellite"
"seil","anker","antro","sefa","anchor","sail"
"selde","per geleentheid","per geleensults","rasde","occasionally","rarely"
"selfsugtig","hardnekkig","edelnekkig","taalsugtig","stubborn","selfish"
"senafe","parlement","parletjie","throafe","parliament","senate"
"senator","goewerneur","goewerbald","senaweek","governor","senator"
"sensitief","delikaat","delifish","sensigers","delicate","sensitive"
"sentimeter","myl","vll","sentimeterskirchhof","mile","centimeter"
"sentreerder","sensor","seneen","senswaarder","sensor","transmitter"
"senuweeagtig","bekommerd","bekomsoof","stralsundsenuweeagtig","worried","nervous"
"serebrale","brein","auein","serebraleraarspaar","brain","cerebral"
"seremonie","ritueel","riturand","seremogorov","ritual","ceremony"
"set","invoeg","inteek","nkt","insert","put"
"seun","dogter","oerter","segh","daughter","son"
"seun","meisie","sowsie","segh","girl","boy"
"siek","siek","sizi","siat","ill","sick"
"siekte","griep","grrap","leefte","flu","disease"
"sielkunde","anatomie","meertomie","palmkunde","anatomy","psychology"
"sigaar","rook","romu","sireau","smoke","cigar"
"sigaret","tabak","tamir","siganooi","tobacco","cigarette"
"silwer","goud","goim","poswer","golden","silver"
"simbool","vlag","vlee","simvoet","flag","symbol"
"sindroom","simptoom","snortoom","sintroue","symptom","syndrome"
"sinies","naïef","nawoo","sinoom","naive","cynical"
"sink","kapsule","noorsule","siky","capsule","probe"
"sirkus","dieretuin","diereraar","topkus","zoo","circus"
"sisteem","netwerk","lamwerk","sispier","network","system"
"sit","staan","oraan","ubt","stand","sit"
"sivineer","god","jad","sivivors","god","divine"
"sjampanje","wyn","ørn","tsoepanje","wine","champagne"
"sjokolade","suiker","chaker","prinskolade","sugar","chocolate"
"skandaal","skinderstorie","checkderstorie","vragdaal","gossip","scandal"
"skedel","been","bevo","tusdel","bone","skull"
"skedule","kalender","kavaarder","woondule","calendar","schedule"
"skenking","liefdadigheid","chrisdadigheid","soogking","charity","donation"
"skerpskutter","shooter","tankter","skerplangter","shooter","sniper"
"skiet","skut","aput","skrut","shot","shoot"
"skoen","stewel","sterie","skdyn","boot","shoe"
"skool","klas","kloo","skenl","class","school"
"skoonheid","bekoring","bekodeer","troudheid","charm","beauty"
"skouspelagtige","sensasioneel","sensasiostroom","skouspelagtigeslagschro","sensational","spectacular"
"skrikmaak","skrikmaak","skrikspan","skrikspan","scare","frighten"
"skryf","lees","lejo","apryf","read","write"
"skrywer","digter","halter","pryswer","poet","writer"
"skuiling","toevlug","toeklap","klinling","refuge","shelter"
"skuldig","onskuldig","onbaatdig","deutdig","innocent","guilty"
"slaai","sop","opp","aiaai","soup","salad"
"slaan","getref","gecies","aiaan","hit","strike"
"slaap","rusteken","egipteken","aiaap","rest","sleep"
"slaapkamer","kamer","kason","kaartkamer","room","bedroom"
"slagaar","aar","itr","slagsug","vein","artery"
"slagveld","arena","douna","gaanveld","arena","battlefield"
"slang","wurm","wutt","arang","worm","snake"
"sleg","goed","goie","sllt","good","bad"
"sluipmoordenares","huursoldaat","huursolfied","vriendmoordenares","mercenary","assassin"
"sluit","sleutel","sleulis","aiuit","key","lock"
"sneesdoekie","skin","skul","southdoekie","skin","tissue"
"sneeu","reën","remat","snkou","rain","snow"
"snelweg","pad","ved","snelkop","road","highway"
"sny","skeur","kreur","oky","tear","cut"
"sokker","basketbal","basketsiek","broker","basketball","football"
"son","maan","blan","orn","moon","sun"
"sondag","saterdag","saterbron","sonërs","Saturday","Sunday"
"sone","area","arou","magne","area","zone"
"sonkrag","maan","blan","werkrag","lunar","solar"
"sous","room","roso","ttus","cream","sauce"
"spaar","red","oyd","spinr","rescue","save"
"spaghetti","lasagne","lasacorn","naishetti","lasagna","spaghetti"
"span","liga","liker","spoc","league","team"
"spandeer","afval","afley","spanhoek","waste","spend"
"speelding","pop","upp","treinding","doll","toy"
"spek","heildronk","heildinck","spuu","toast","bacon"
"spesialis","kenner","basner","brandsialis","expert","specialist"
"speurder","agent","agret","smeltder","agent","detective"
"spieël","weerkaatsing","weerkaatheid","freeël","reflection","mirror"
"spier","senuwee","senudant","spror","nerve","muscle"
"spoed","afstand","afgings","vroed","distance","speed"
"sport","stokperdjie","vaarperdjie","spitt","hobby","sport"
"sprerkkamer","opereer","simreer","straigkamer","operate","surgery"
"spring","klim","klwo","speang","climb","jump"
"spuitnaald","naald","nathd","spuitbaars","needle","syringe"
"staal","konkreet","konsteel","stell","concrete","steel"
"staat","federaal","fedeflek","steet","federal","state"
"stad","kapitaal","kapiwing","stva","capital","city"
"standbeeld","monument","monuburg","groepbeeld","monument","statue"
"stap","wedloop","domloop","stou","run","walk"
"staptog","slapie","slawer","stapsin","nap","stroll"
"stasie","verhoog","vertoem","dissie","platform","station"
"steeds","alreeds","alsteps","steeag","already","still"
"steeg","hoek","hoku","stmag","corner","alley"
"steen","rots","rohi","stoon","rock","stone"
"stembriefie","meerderheid","sandderheid","stemmendfie","majority","vote"
"ster","celebrity","celecountty","orer","celebrity","star"
"sterf","ly","vl","stoef","suffer","die"
"sterk","stewig","gaswig","ryerk","firmly","strongly"
"sterrestelsel","heelal","borsal","brandrestelsel","universe","galaxy"
"steur","onderbreek","onderplein","sticr","interrupt","disturb"
"stilte","stil","chil","heelte","silent","silence"
"stoel","tafel","tamis","bloel","table","chair"
"stof","as","ël","reof","ash","dust"
"stoof","oond","xind","starf","oven","stove"
"stop","voorkom","sorgkom","stak","prevent","stop"
"storm","wind","ound","stnam","wind","storm"
"stowwerig","verroes","verpied","ewigwerig","rusty","dusty"
"straat","laan","gdan","stramo","avenue","street"
"strategie","beplan","bestap","ruimtegie","plan","strategy"
"struktuur","piramide","piravreugde","stieftuur","pyramid","structure"
"studeer","navors","natrys","stulaar","research","study"
"stuk","brokstuk","poorstuk","stow","fragment","piece"
"stuur","bring","esing","styir","bring","send"
"styl","ritme","sufme","stoy","rhythm","style"
"susterskind","kleinseun","kleinvuur","susterstoor","grandson","nephew"
"suurstof","lug","urg","suursien","air","oxygen"
"swaar","swaar","etaar","etaar","heavy","heavily"
"swak","sterk","ryerk","etak","strong","weak"
"swangerskap","geboorte","gevrugte","kinggerskap","birth","pregnancy"
"swart","wit","ngt","lyart","white","black"
"swem","verdrink","verricks","swnn","drown","swim"
"talent","potensieël","polymassieël","tabeen","potential","talent"
"tamatie","aartappel","identappel","tamamann","potato","tomato"
"tand","spyker","bapker","taci","nail","tooth"
"teater","bioskoop","biovleis","tearing","cinema","theater"
"teendeel","teenoorgestelde","vaartsoorgestelde","puntdeel","opposite","contrary"
"teenstand bied","teenstand","leibstand","teenstandkaidō","resistance","resist"
"teer","sag","tig","aser","soft","gentle"
"tegniek","metode","meliefde","tegraak","method","technique"
"teken","verf","vept","terie","paint","draw"
"teken","frekwensie","frefunksie","terie","frequency","signal"
"telefoon","roep","rodo","telebeid","call","telephone"
"teleurstelling","verras","veront","tedraalstelling","surprise","disappointment"
"televisie","radio","raluk","televirchow","radio","television"
"temperatuur","hitte","akate","temperarings","heat","temperature"
"tennis","golf","aalf","tendae","golf","tennis"
"teorie","idee","quee","te	ons","idea","theory"
"terugsending","steun","stlan","terugsentreer","back","return"
"teug","laat val","laatwoel","terr","drop","sip"
"tevrede","bedwing","berings","tehuisde","contain","content"
"tiener","tiener","ramner","domner","teenage","teenager"
"timer","detonator","detonaslaan","ticon","detonator","timer"
"titel","naam","naey","tilis","name","title"
"toerus","toerusting","toerusplek","toebou","equipment","equip"
"toespraak","nommer","erdmer","toespring","number","address"
"toestel","rotsskerf","rotssjenq","toetief","chip","device"
"toeval","inval","inmes","toeley","invasion","attack"
"toewyding","getrouheid","geneesheid","toewyclif","fidelity","devotion"
"toneelspeler","breier","reuker","toplantspeler","coach","player"
"tonnel","brug","brfy","tonmis","bridge","tunnel"
"tornado","orkaan","ortant","nuusnado","hurricane","tornado"
"tou","ketting","fynting","awu","chain","rope"
"towenaar","towerkuns","towerpark","towelers","magic","wizard"
"tradisioneel","modern","mobeth","tradisiostroom","modern","traditional"
"tragies","treurig","weelrig","traseen","sad","tragic"
"trek","stoot","steet","trld","push","pull"
"tronk","sel","hül","trekk","cell","prison"
"troon","kroon","krakn","trien","crown","throne"
"troue","verlowing","verloseer","trine","engagement","wedding"
"tydperk","fase","biese","eerperk","phase","period"
"tydskrif","speel seun","speelbrein","kolskrif","playboy","magazine"
"ui","knoffel","norofel","py","garlic","onion"
"uit te druk","beskryf","bewinds","uit terplek","describe","express"
"uitdaging","hindernis","teksdernis","uitdapark","obstacle","challenge"
"uiteindelik","ten einde laaste","ten einde laschwick","uitvaartdelik","finally","eventually"
"uiters","finaal","fikant","uiskap","final","ultimate"
"uitheemse","ufo","exo","uit diese","ufo","alien"
"uitkies","kies","hwes","tokkies","choose","select"
"uitslag","resultaat","resulklep","uitnaal","result","outcome"
"uitstalling","gallery","jeuglery","uitdrukling","gallery","exhibition"
"uitverkoping","veiling","erfling","uitverkograaf","auction","sale"
"uitvoering","hang","hauf","uitvoeders","hanging","execution"
"uitwerking","invloed","instoel","uitwerheid","influence","effect"
"uniek","spesiaal","spesistuk","chiek","special","unique"
"uniform","wapen","waëls","stuform","badge","uniform"
"universiteit","kollege","vuurlege","universigings","college","university"
"urine","bloed","unoed","nisne","blood","urine"
"vader","moeder","burder","vakan","mother","father"
"vakansie","kersfees","ryksfees","vavoorsie","christmas","holiday"
"vallei","woestyn","diertyn","brolei","desert","valley"
"vampier","zombie","lusbie","uurpier","zombie","vampire"
"van","bynaam","byprys","cyn","nickname","surname"
"vang","gryp","grëf","vado","grab","catch"
"vanielje","kaneel","kavoer","vaachaje","cinnamon","vanilla"
"vark","koei","kovo","vaba","cow","pig"
"vasbeslotenheid","moed","mowg","vasbeslotengracht","courage","determination"
"vegter","kampioen","kampifish","croter","champion","fighter"
"veilig","veilig","gualig","erflig","safe","secure"
"veiligheid","sekuriteit","sekurichard","veiliggaam","security","safety"
"vel","bedekking","bedekseer","eil","cover","hide"
"ventilasie","klep","klig","woordtilasie","valve","ventilation"
"venus","mars","majo","vedan","mars","venus"
"ver","naby","nalen","gir","near","far"
"verbasend","indrukwekkend","indrukwekplaas","verbanach","impressive","amazing"
"verbetering","kleingeld","kleindorf","verbetenaars","change","improvement"
"verbied","verbode","langbode","verdrie","forbidden","prohibit"
"verbod","klub","ceub","vercis","club","bar"
"verdedig","beskerm","beliers","verdestel","protect","defend"
"verdeling","eenheid","wilheid","verdebuut","unit","division"
"verdink","twyfel","naifel","verraak","doubt","suspect"
"verdwyning","dood","dohu","verdwyseer","death","disappearance"
"verfris","vars","vano","verblas","fresh","refresh"
"vergadering","konferensie","konferentargs","vergadelaars","conference","meeting"
"vergroot","onderskat","onderkerk","vervraag","underestimate","exaggerate"
"verhoor","gehoor","gefeer","verfeer","hearing","trial"
"verhuur","toelaat","toeband","vervoud","allow","let"
"verjaardag","herdenking","herdenseer","verfrisdag","anniversary","birthday"
"verkiesing","veldtog","deeltog","verkieteer","campaign","election"
"verklaring","opmerking","opmertjie","verklameer","comment","statement"
"verkoop","koop","koró","versons","buy","sell"
"verkoue","warm","waba","verteus","hot","cold"
"verlaat","verlaat","verhout","verhout","leave","abandon"
"verminder","verhoog","vertoem","vernaamder","increase","reduce"
"vermoë","kapasiteit","kapasigings","vernel","capacity","ability"
"vernietiging","skepping","skeptief","vernietikloks","creation","destruction"
"veroorsaak","rede","digde","veroortrie","reason","cause"
"verraaier","spioeneer","spioeping","verloofer","spy","traitor"
"verskeep","bemanning","bemansjet","versterf","crew","ship"
"verskillend","dieselfde","diejaarde","verskilpads","similar","different"
"verskoon","vergewe","saamgewe","verbrook","forgive","excuse"
"versoek","eis","ors","verbrok","demand","request"
"verstaan","besef","becis","verdraag","realize","understand"
"vertrek","aankoms","aanhout","verstan","arrival","departure"
"vertroue","respek","resaag","verbrood","respect","confidence"
"vervoerwa","sleepwa","vloedwa","verkruiwa","trailer","van"
"verwag","wag","mbg","verbok","wait","expect"
"verwarring","chaos","walos","verwarhawk","chaos","confusion"
"verwer","kunstenares","swaartenares","verdae","artist","painter"
"verwyder","elimineer","elimiping","verwyking","eliminate","remove"
"video","dvd","ved","vifix","dvd","video"
"vier","twee","wree","dwer","two","four"
"vierde","derde","oudde","paarde","third","fourth"
"vind","soek","sodo","vige","search","find"
"vingerafdruk","dna","rta","vingerafskeid","dna","fingerprint"
"vinnig","stadig","aardig","aranig","slow","fast"
"vinnig","stadig","aardig","aranig","slowly","quickly"
"vir ewig","ewig","azig","vir pans","eternal","forever"
"visvang","haai","hadu","visvolk","shark","fish"
"visvang","jag","deg","visvolk","hunting","fishing"
"vitamien","proteïen","proterald","vitatext","protein","vitamin"
"vlam","vuur","ogur","myam","fire","flame"
"vleis","varkvleis","sprovleis","vliss","pork","meat"
"vlieg","land","iend","chieg","land","fly"
"vloeiend","vloeibaar","skeidbaar","vloeitol","liquid","fluid"
"vloot","mariene","mavergne","myoot","marine","navy"
"vloot","marine -","marisloh","myoot","naval","fleet"
"vlug","landing","uniding","loug","landing","flight"
"vlugteling","vlugteling","evanteling","evanteling","refugee","fugitive"
"voël","skoenlapper","snaarlapper","vomie","butterfly","bird"
"voertuig","voertuig","brentuig","brentuig","vehicle","car"
"vol","leegmaak","breemaak","iil","empty","full"
"voldoende","genoeg","gevegs","volkruide","enough","sufficient"
"voltooi","einde","oesde","volmorf","end","finish"
"voltooi","ideale","maatale","volmorf","ideal","perfect"
"vonnis","woord","worsd","vondae","word","sentence"
"voorberei","gereed","geboes","selfberei","ready","prepare"
"voorsien","in staat stel","in staatailed","voorstof","enable","provide"
"voorstel","voorstel","voorneer","voorneer","propose","suggest"
"voortdurend","altyd","alpek","voortdumies","always","constantly"
"vra","vraag","olaag","zoa","question","ask"
"vrag","vrag","vrys","ëlag","load","cargo"
"vragmotor","jeep","jeka","heermotor","jeep","truck"
"vreemd","sitty","poety","vreezl","witty","funny"
"vreemde","ongewoon","ongemelk","kweekde","unusual","strange"
"vrees","gruwel","symwel","vrnks","horror","fear"
"vreet","voer","oeer","vrunt","feed","eat"
"vreugde","plesier","redsier","preekde","pleasure","joy"
"vriendelik","beleef","begolf","bloemdelik","polite","friendly"
"vriendin","kollega","hartlega","vrienmus","colleague","friend"
"vriendskap","verhouding","verhoubaar","stringskap","relationship","friendship"
"vries","smelt","smoot","vrnds","melt","freeze"
"vroeg","laat","lapi","snoeg","late","early"
"vrou","amateur","kerteur","geou","amateur","professional"
"vrou","man","eun","geou","husband","wife"
"vrou","weduwee","weduhoor","geou","widow","woman"
"vrou","manlik","loklik","geou","male","female"
"vrugte","appel","aplia","stamte","apple","fruit"
"vry","vrylik","vrybui","nay","freely","free"
"vrygewig","medelydend","medelykloof","deurgewig","compassionate","generous"
"vrywillig","vrywilliger","vrywillikings","vrywilners","volunteer","voluntarily"
"vuil","sleg","sloo","vusj","nasty","filthy"
"vullis","weggooigoed","weglaatgoed","tanlis","trash","garbage"
"vulstasie","werkswinkel","graanwinkel","reisstasie","workshop","garage"
"vurk","lepel","lelia","dyrk","spoon","fork"
"waardeer","bewonder","begeerder","waarhoek","admire","appreciate"
"waardeloos","nutteloos","nuttemann","waardenaar","useless","worthless"
"waardig","verdien","verstem","deurdig","deserve","worthy"
"waardigheid","trots","geots","tweedigheid","pride","dignity"
"waarlik","in werklikheid","in werklibucks","waarbui","actually","really"
"waarskynlik","waarskynlikheid","skoolskynlikheid","tweeskynlik","probability","likely"
"waarskynlik","kan wees","kansteps","tweeskynlik","maybe","probably"
"wagwoord","kode","nende","erfwoord","code","password"
"walglik","vuil","sail","punglik","dirty","disgusting"
"wang","lip","oup","wama","lip","cheek"
"wapen","pistool","pissuil","waëls","pistol","weapon"
"was","skoon","skien","gns","clean","wash"
"wasbak","toilet","zhulet","washem","toilet","sink"
"wasbeer","eekhoring","eekhomosi","wasteks","squirrel","raccoon"
"waterskilpad","slak","slum","watervlerkpad","snail","turtle"
"waterslang","pomp","simp","waterpaaie","pump","hose"
"waterstof","koolstof","koolsien","waterkend","carbon","hydrogen"
"watson","sherlock","shervlek","pilson","sherlock","watson"
"web","internet","interdruk","umb","internet","web"
"week","maand","mabod","wezi","month","week"
"weekliks","daagliks","slapliks","weekgieë","daily","weekly"
"weermag","legioen","legifish","weersia","legion","army"
"weet","nou","ciu","bnet","now","know"
"wen","wins","uyns","ern","gain","win"
"wenner","verloorder","vergeefder","eksner","loser","winner"
"wens","begeerte","bestipte","wepe","desire","wish"
"wentel","planeet","platuut","wenlis","planet","orbit"
"wêreld","internasionaal","internasioborough","wêheim","international","world"
"werk","taak","tayy","wedu","job","work"
"werker","boer","puer","kasker","farmer","worker"
"werklike","ware","prore","sienlike","TRUE","real"
"westelik","suidelik","voordelik","stratelik","southern","western"
"wetenskap","tegnologie","graannologie","wetenders","technology","science"
"wetenskaplike","genie","geska","wetenborouglike","genius","scientist"
"wettig","onwettig","onkragtig","moltig","illegal","legal"
"wild","toneelstuk","toneelkrag","wiek","play","game"
"winkel","winkel","boekel","boekel","shop","store"
"winter","somer","soson","boeter","summer","winter"
"wiskunde","fisika","fisident","markkunde","physics","mathematics"
"wodka","wayy","waiq","fürka","whiskey","vodka"
"woede","woede","peide","nkode","anger","rage"
"woedend","jaloers","jaforts","taddend","jealous","angry"
"wolf","verdra","versou","woky","bear","wolf"
"woonstel","huis","meis","voedstel","house","apartment"
"woud","oerwoud","ariwoud","frud","jungle","forest"
"wreed","brutaal","eletaal","ngeed","brutal","cruel"
"wreedheid","boos","boin","broekheid","evil","cruelty"
"wyd","nou","ciu","ofd","narrow","wide"
