"ko_target","ko_cue","ko_fake_cue","ko_fake_target","en_cue","en_target"
"안개","구름","럽은","맣게","cloud","fog"
"안녕","안녕하세요","그놈하세요","라렌","hello","bye"
"안전","보안","퍼에","샌가","security","safety"
"안전한","안전한","타이한","없어한","safe","secure"
"앉다","서다","쿠르","원사","stand","sit"
"알고있다","지금","티에","알고ld","now","know"
"알려지지 않은","익명의","산장의","알려줄께 않은","anonymous","unknown"
"알리다","보고서","국에서","기했다","report","inform"
"알았다","인정하다","인정들과","들이다","recognize","knew"
"알약","태블릿","깊이릿","사빈","tablet","pill"
"알파의","브라보","이동보","까먹의","bravo","alpha"
"암","종양","원생","모랄","tumor","cancer"
"암살자","용병","허벅","짐승자","mercenary","assassin"
"압력","맥박","펴줘","터나","pulse","pressure"
"애인","정부","치로","던것","mistress","lover"
"야구","경기장","날려장","r의","stadium","baseball"
"약속하다","보장하다","보장거나","약속자는","guarantee","promise"
"약탈","뇌물","맨슘","동업","bribe","blackmail"
"약한","강한","건만","로부","strong","weak"
"양","합집합","있질합","거창","sum","amount"
"양초","램프","식한","기일","lamp","candle"
"양탄자","바닥","절해","무릅자","floor","carpet"
"양파","마늘","통으","대했","garlic","onion"
"어두운","그림자","떠났자","통하운","shadow","dark"
"어딘가에","다른 곳에서는","한다 곳에서는","어딘수록","elsewhere","somewhere"
"어린","낡은","저조","렸고","old","young"
"어린 시절","청소년","떠올년","접근 시절","youth","childhood"
"어린이","아기","렌을","지명이","baby","child"
"어시스턴트","비서","기과","진범스턴트","secretary","assistant"
"어업","수렵","용으","날두","hunting","fishing"
"어제","오늘","낸건","툼은","today","yesterday"
"얼다","녹다","망스","일마","melt","freeze"
"엄청난","훌륭한","숙고한","둘러난","excellent","great"
"에너지","힘","군다","절제지","power","energy"
"엔진","탱크","안느","루로","tank","engine"
"여권","티켓","엣이","비츠","ticket","passport"
"여성","과부","레임","토닌","widow","woman"
"여자","남성","이벌","렀고","male","female"
"여자애들","소년들","리스들","여자국이","boys","girls"
"역","플랫폼","카르폼","슈림","platform","station"
"역겨운","더러운","양육운","대지운","dirty","disgusting"
"연결","연락하다","있다하다","맥류","contact","connection"
"연료","가스","브랑","나르","gas","fuel"
"연습","관행","저새","족과","practice","exercise"
"연합","식민지","sv지","아올","colony","federation"
"열개의","세기","려니","형을의","century","decade"
"열정","열광","언즈","폰과","enthusiasm","passion"
"영감","고무하다","종말하다","셀링","inspire","inspiration"
"영광","거룩한","레나한","온과","glorious","glory"
"영원히","영원한","간다한","자동히","eternal","forever"
"영혼","영혼","아져","이뼈","soul","spirit"
"영화","포르노","작정노","랑이","porn","movie"
"예민한","연약한","뒷문한","자산한","delicate","sensitive"
"예배당","교회에","버크에","초래당","church","chapel"
"예상하다","기다리다","기다좋게","예상합니","wait","expect"
"오다","도착하다","행동하다","적일","arrive","come"
"오리","거위","골에","깝군","goose","duck"
"오줌","피","비통","귀찮","blood","urine"
"온도","열","왕권","도미","heat","temperature"
"온화한","부드러운","양말러운","기양한","soft","gentle"
"옮기다","이동하다","미국하다","교회다","move","transfer"
"옳은","잘못된","그램된","태로","wrong","correct"
"옵션","선택","늘에","철저","choice","option"
"완벽한","이상적인","그랬적인","올려한","ideal","perfect"
"완벽한","총","습이","올려한","total","complete"
"완전히","물론","널한","보증히","absolutely","completely"
"왓슨","셜록","어드","슨네","sherlock","watson"
"왕","퀸","잖은","에인","queen","king"
"왕국","왕실의","경치의","기요","royal","kingdom"
"왕자","공주님","당했님","네를","princess","prince"
"왕좌","왕관","자물","라치","crown","throne"
"외계인","ufo.","안톤o.","기적인","ufo","alien"
"외로운","홀로","브랑","중단운","alone","lonely"
"외부의","내부의","프란의","민간의","internal","external"
"왼쪽","오른쪽","영국쪽","막의","right","left"
"요구","수요","라게","템이","demand","request"
"요리사","요리하다","놀랐하다","과의사","cook","chef"
"요소","요인","린제","댓가","factor","element"
"용감한","고귀한","키모한","기어한","noble","brave"
"우둔","광기","s랑","갈리","madness","stupidity"
"우뢰","번개","염도","일마","lightning","thunder"
"우승자","실패자","상상자","됐다자","loser","winner"
"우아한","유행의","색이의","난관한","fashionable","elegant"
"우울증","스트레스","스트프가","피터증","stress","depression"
"우정","관계","워질","키면","relationship","friendship"
"운명","운명","가엔","sp","fate","destiny"
"운전사","승객","틴이","과의사","passenger","driver"
"울타리","벽","르토","고난리","wall","fence"
"웃다","웃다","멀찌","커는","smile","laugh"
"원기","모델","우랜","나마","model","prototype"
"원인","이유","마랑","껴져","reason","cause"
"웨이트리스","웨이터","비극터","유혹트리스","waiter","waitress"
"위기","상황","러기","원사","situation","crisis"
"위로","아래에","랜트에","타가","down","up"
"위성","레이더","th더","트홀","radar","satellite"
"위엄","자부심","숙이심","종목","pride","dignity"
"위원","조사관","si관","히만","inspector","commissioner"
"위원회","수수료","퇴원료","아리회","commission","committee"
"위치","장소","스찬","즐거","place","location"
"위치","상태","별한","즐거","status","position"
"위험","위험","크업","씨두","risk","danger"
"위험한","위험한","ca한","에이한","risky","dangerous"
"유권자","후보자","로비자","수태자","candidate","voter"
"유명한","인기있는","쓰겠있는","믿었한","popular","famous"
"유지","서비스","먹기스","리트","service","maintenance"
"유지하다","보존하다","하울하다","올리하다","preserve","maintain"
"유지하다","잡고있다","노린있다","올리하다","hold","keep"
"은","골든","뤼미","티라","golden","silver"
"은둔","사적인","자빠인","엘드","private","privacy"
"은하","우주","피아","배마","universe","galaxy"
"음경","질","칼텍","예후","vagina","penis"
"음악","재즈","않습","데라","jazz","music"
"음악가","가수","령께","밤이가","singer","musician"
"응","알았어","트였어","ガリ","okay","yeah"
"의도","목적","미늄","객을","purpose","intention"
"의도적으로","우연히","생물히","am적으로","accidentally","intentionally"
"의무","책임","든의","mn","responsibility","duty"
"의사","외과 의사","어렵 의사","프트","surgeon","doctor"
"의사 소통","항해","잇과","의사에게통","navigation","communication"
"의식","의식","레어","능에","ritual","ceremony"
"의심하다","의심","로로","깨어하다","doubt","suspect"
"의약품","술","알현","붓는품","alcohol","drug"
"의자","테이블","프랑블","이카","table","chair"
"이기다","얻다","밍턴","흔들다","gain","win"
"이기적인","고집스러운","거미스러운","프리적인","stubborn","selfish"
"이론","아이디어","아이후크","기해","idea","theory"
"이벤트","현상","부절","본적트","phenomenon","event"
"이빨","못","두근","t의","nail","tooth"
"이상한","특이한","채찍한","무쌍한","unusual","strange"
"이해하다","깨닫다","받기다","이해들과","realize","understand"
"인간","남성","이벌","우가","man","human"
"인격","캐릭터","사물터","봤잖","character","personality"
"인공의","자연스러운","사장스러운","총장의","natural","artificial"
"일 순위","중고등 학년","중고등 읽는","랩패순위","secondary","primary"
"일반적으로","당연히","레이히","면도적으로","naturally","generally"
"일어나 다","발생하다","달아하다","일어전사다","occur","happen"
"일요일","토요일","완수일","콘도일","Saturday","Sunday"
"일정","달력","철에","eg","calendar","schedule"
"일찍","늦은","나르","메르","late","early"
"일하다","직업","도에","립시다","job","work"
"임신","출생","긴요","몰을","birth","pregnancy"
"임차료","고용하다","고용에도","공예료","hire","rent"
"입구","출구","운의","막인","exit","entrance"
"입자","문제","필에","블에","matter","particle"
"자금 조달","예산","동도","하냐 조달","budget","funding"
"자금 조달","재정적으로","그전적으로","하냐 조달","financially","financing"
"자다","쉬다","끝입","체질","rest","sleep"
"자동차","차량","이팬","고정차","vehicle","car"
"자르다","눈물","시와","카페다","tear","cut"
"자발적으로","자원 봉사자","자원 봉총독","냅두적으로","volunteer","voluntarily"
"자본주의","무정부 상태","무정부 니오","eh주의","anarchy","capitalism"
"자비","용서","당초","iz","forgiveness","mercy"
"자주","때때로","알몸로","눈꼽","sometimes","often"
"작가","시인","있도","아와","poet","writer"
"작은","작은","평의","버텼","little","small"
"잔학","사악한","따랐한","났겠","evil","cruelty"
"잔혹한","잔인한 것","전자한 것","록우한","brutal","cruel"
"잠그다","열쇠","필에","분장다","key","lock"
"잡다","붙잡다","미스다","원동","grab","catch"
"잡지","놀러 다니는 청년","였는 다니는 청년","겁먹","playboy","magazine"
"장관","대사","졌대","온을","ambassador","minister"
"장난감","인형","환을","li감","doll","toy"
"장례식","관","오피","비디식","coffin","funeral"
"장치","칩","얻겠","고르","chip","device"
"재능","잠재적 인","달렸적 인","납고","potential","talent"
"재미있는","재치 있는","에서 있는","생겼있는","witty","funny"
"재산","보물","히만","요들","treasure","wealth"
"재정적 인","은행업","소문업","소지적 인","banking","financial"
"재킷","셔츠","티와","리개","shirt","jacket"
"재판","듣기","름은","롭군","hearing","trial"
"저것","뭐라고 요","글로고 요","싫었","what","that"
"저격병","사수","셜이","알파병","shooter","sniper"
"저녁","밤","로밀","짚지","night","evening"
"저장","구조하다","의도하다","네딜","rescue","save"
"저항하다","저항","싸웠","짜증하다","resistance","resist"
"적나라한","나체상","당뇨상","오딜라한","nude","naked"
"전기","현재의","회의의","락만","current","electricity"
"전기 같은","자극","レオ","박스 같은","magnetic","electric"
"전략","계획","고사","엣은","plan","strategy"
"전망","시현","셔우","번지","revelation","vision"
"전문가","전문가","데우가","콥터가","expert","specialist"
"전문적인","아마추어","아마셋째","바이적인","amateur","professional"
"전사","군인","냐구","s로","soldier","warrior"
"전설","신화","롭네","기랑","myth","legend"
"전시회","갤러리","카지리","변함회","gallery","exhibition"
"전염병","바이러스","바이웠던","시리병","virus","infection"
"전통적인","현대의","스트의","군대적인","modern","traditional"
"전투","전쟁","소타","픽에","war","battle"
"전투기","챔피언","끌려언","주문기","champion","fighter"
"전화","전화","어질","증은","call","telephone"
"절","부분","케에","독극","section","paragraph"
"절차","프로세스","프로릭이","임에","process","procedure"
"점검","시험","은걸","권에","examination","inspection"
"점심","간식","교인","nn","snack","lunch"
"정당성","복수","밍의","레스성","revenge","justice"
"정보","데이터","원하터","인건","data","information"
"정부","관리","u는","구로","administration","government"
"정상","건강한","놀랐한","텔은","healthy","normal"
"정오","자정","묻히","켰지","midnight","noon"
"정의","개념","절박","려나","concept","definition"
"정직","충의","탕수","펴야","loyalty","honesty"
"정치","저널리즘","저널우편","리네","journalism","politics"
"정치가","수단","채면","제공가","policy","politician"
"정치적인","비판적인","알몸적인","근처적인","critical","political"
"젖은","마른","엘의","껄끄","dry","wet"
"제거하다","제거하다","정당하다","범죄하다","eliminate","remove"
"제공하다","~ 할 수있게하다","밥만할 수있게하다","죽인하다","enable","provide"
"제국","왕조","일방","럽의","dynasty","empire"
"제목","이름","촌이","z가","name","title"
"제복","배지","겠는","네씨","badge","uniform"
"제안하다","제안하다","들으하다","고마하다","propose","suggest"
"제전","사육제","킹이제","뇌리","carnival","festival"
"제품","상표","문까","단을","brand","product"
"조각","파편","켜줘","로울","fragment","piece"
"조사","캡슐","려나","석어","capsule","probe"
"조사자","분석자","아티자","cl자","analyst","investigator"
"조사하다","조사하다","죄송하다","조사중입","examine","investigate"
"조종사","우주 비행사","우주 비느낄","받으사","astronaut","pilot"
"조종하다","제어","야와","조종들과","control","manipulate"
"조직","피부","세가","룩의","skin","tissue"
"조카","손자","보팀","파로","grandson","nephew"
"조화","균형","동을","골에","balance","harmony"
"존","지역","렐은","정옥","area","zone"
"졸업하다","졸업 증서","졸업주에서","트리하다","diploma","graduate"
"종교","철학","sp","뵈도","philosophy","religion"
"죄인","인질","엘과","신중","hostage","prisoner"
"죄책감이 드는","순결한","여태한","외부감이 드는","innocent","guilty"
"주","월","그마","할껀","month","week"
"주간","일일","게가","미도","daily","weekly"
"주다","권하다","로렐다","부리","offer","give"
"주문하다","명령","답죠","주문거나","command","order"
"주사기","바늘","가엔","받을기","needle","syringe"
"주사위","시달리다","시달사건","호흡위","suffer","die"
"주소","숫자","로움","bi","number","address"
"주스","우유","채면","떳떳","milk","juice"
"주위에","둥근","탓입","코끼에","round","around"
"주인","거주자","비용자","니로","tenant","landlord"
"주입","정량","개보","래와","dose","injection"
"주제","물체","뷰도","엄이","object","subject"
"주황색","초록","식날","그기색","green","orange"
"죽은","살아있는","살아든요","아지","alive","dead"
"죽임","독","오펠","곱하","poison","kill"
"준비하다","준비가 된","준비수배된","준비했는","ready","prepare"
"줄리엣","romeo.","rome근무","장소엣","romeo","juliet"
"줄이다","증가하다","은신하다","tv다","increase","reduce"
"중요성","의미","럽이","레스성","meaning","importance"
"중요한","귀중한","딸꾹한","을위한","valuable","important"
"쥐","쥐","臾댁","코야","mouse","rat"
"즐거운","편안","네를","시스운","comfortable","pleasant"
"증거","증거","렀지","p의","evidence","proof"
"증후군","징후","yn","뼈들군","symptom","syndrome"
"지갑","포켓","반드","리티","pocket","wallet"
"지능적인","똑똑한","혼자한","느낄적인","smart","intelligent"
"지도","나침반","갈수반","있겠","compass","map"
"지도자","회원","총구","게임자","member","leader"
"지문","dna.","dn폴락","락은","dna","fingerprint"
"지속적으로","언제나","구하나","배트적으로","always","constantly"
"지식","경험","용에","샤바","experience","knowledge"
"지역 사회","사회","릇이","잘했 사회","society","community"
"지옥","파라다이스","심심다이스","뮤씨","paradise","hell"
"지키다","보호하다","보호거죠","드라다","protect","defend"
"직관","본능","력에","반듯","instinct","intuition"
"진료소","병원","르크","테디소","hospital","clinic"
"진짜","진실","랖이","는진","TRUE","real"
"진짜","실제로","조합로","는진","actually","really"
"질병","독감","랜딩","트홀","flu","disease"
"집중","집중하다","기회하다","네딜","focus","concentrate"
"짓다","건설","든가","혼신","construction","build"
"징후","형태","vy","스인","form","sign"
"차고","작업장","했을장","러와","workshop","garage"
"착란","혼돈","함의","불똥","chaos","confusion"
"창의력","상상력","불가력","의리력","imagination","creativity"
"찾기","검색","너라","끼야","search","find"
"책","성경","역학","잤구","bible","book"
"책임지지 않는","무모한","왔습한","사건지지 않는","unreasonable","irresponsible"
"천국 같은","하늘","터면","수수 같은","sky","heavenly"
"철사","케이블","있으블","둑은","cable","wire"
"청각 장애인","눈이 먼","눈이슬링","청각 장선장","blind","deaf"
"청중","군중","가랑","재우","crowd","audience"
"체계","회로망","산더망","리시","network","system"
"체액","액체","야마","시코","liquid","fluid"
"체포","벌하다","빈둥다","틱스","punish","arrest"
"초자연적 인 것","신의 조화","싫네 조화","초자연적 인컨셉","supernatural","paranormal"
"초콜릿","설탕","언십","ai릿","sugar","chocolate"
"총","소총","직책","꼼수","rifle","gun"
"총알","구경","빙글","벅스","caliber","bullet"
"최고","최저한의","으르한의","니온","minimum","maximum"
"최근에","단지","타크","레슬에","just","recently"
"추가의","추가의","ag의","반역의","extra","additional"
"추기경","주교","먼의","펠리경","bishop","cardinal"
"추운","더운","것조","흑사","hot","cold"
"추정","결론","트씨","좌를","conclusion","assumption"
"축구","농구","꺼움","어처","basketball","football"
"출발","도착","해둔","아질","arrival","departure"
"충분한","충분한","르르한","아가한","enough","sufficient"
"충실한","충실한","허큘한","드미한","loyal","faithful"
"치료","요법","해버","과도","therapy","treatment"
"치명적인","치명적인","주님적인","차리적인","deadly","fatal"
"치유하다","다시 덮다","베르 덮다","인질하다","recover","heal"
"치즈","빵","뛸거","그브","bread","cheese"
"친구","동료","나시","세이","colleague","friend"
"친밀한","개인적인","임무적인","굴긴한","personal","intimate"
"친숙한","공손한","깨물한","유골한","polite","friendly"
"칠면조","닭","스호","형씨조","chicken","turkey"
"칠월","6 월","발키월","토랑","june","july"
"침대","소파","니드","믿었","sofa","bed"
"침묵","아빠","라랑","노프","daddy","mum"
"침실","방","앨라","리씨","room","bedroom"
"침착 한","조용한","베이한","침착유효","quiet","calm"
"카르텔","마피아","심지아","잃을텔","mafia","cartel"
"카우보이","로데오","반길오","카우워라","rodeo","cowboy"
"칼","검","껍니","녹초","sword","knife"
"캠핑","피크닉","나폴닉","벤자","picnic","camping"
"캡","안경","되잖","렐은","glasses","cap"
"커피","컵","리부","란타","cup","coffee"
"컴퓨터","소프트웨어","소프걸렸어","손상터","software","computer"
"케이크","디저트","파고트","ex크","dessert","cake"
"코","입","경황","일꺼","mouth","nose"
"코냑","럼 주","상온주","낭포","rum","cognac"
"코메디","드라마","파이마","묻은디","drama","comedy"
"콘서트","관광","비츠","서쪽트","tour","concert"
"콘텐츠","포함하다","어쨌하다","바짝츠","contain","content"
"큰 메달","인공물","붙였물","물로메달","artifact","medallion"
"키","무게","버님","철심","weight","height"
"타다","운전하다","운전ts","질색","drive","ride"
"타박상","할퀴다","쓰진다","없지상","scratch","bruise"
"탄산 음료","레몬 에이드","캣이 에이드","낫잖 음료","lemonade","soda"
"탈출하다","서두르다","서두초만","담당하다","flee","escape"
"태도","의견","밍도","테론","opinion","attitude"
"태양","달","바브","랐을","moon","sun"
"터널","다리","머가","러그","bridge","tunnel"
"터무니없는","말도 안되는","루프 안되는","출판니없는","ridiculous","absurd"
"터지다","터지다","말들다","엠파다","burst","explode"
"테니스","골프","언스","성하스","golf","tennis"
"테스트","실험","락이","장담트","experiment","test"
"텔레비전","라디오","수십오","텔레골의","radio","television"
"토끼","여우","리씨","정하","fox","rabbit"
"토마토","감자","카인","상담토","potato","tomato"
"통증","고통","트할","리토","suffering","pain"
"통풍","판막","시즘","실업","valve","ventilation"
"투옥","패널티","뒤통티","니셔","penalty","imprisonment"
"투자자","은행가","버리가","go자","banker","investor"
"투자하다","재원","티니","도시하다","finance","invest"
"투표","다수","랜딩","먼트","majority","vote"
"트럭","지프","깍쟁","력한","jeep","truck"
"팀","리그","콥의","상쾌","league","team"
"파괴","창조","리실","답군","creation","destruction"
"파리","착륙하다","지긋하다","깝네","land","fly"
"파티","리셉션","재배션","프를","reception","party"
"판매","경매","랜서","링스","auction","sale"
"판사","법원","립트","템도","court","judge"
"팔","손","할겁","단위","hand","arm"
"팔다","구입","히만","광범","buy","sell"
"패배시키다","승리","엔자","뭘하시키다","victory","defeat"
"패키지","봉투","붙었","수평지","envelope","package"
"팩스","우편","기요","지움","mail","fax"
"펜","종이","어리","캔모","paper","pen"
"편물","인터넷","찾으넷","총부","internet","web"
"편지","전보","햄씨","븐스","telegram","letter"
"평가","관찰","플릿","프트","observation","evaluation"
"평의원","지사","구불","타야원","governor","senator"
"평판","직업","도에","맨도","career","reputation"
"폐쇄","열리는","했으는","리엘","opening","closure"
"포","기병대","로미대","얼씨","cavalry","artillery"
"포식자","먹이","r을","초속자","prey","predator"
"포커","도박","틴은","겠단","gambling","poker"
"포크","숟가락","뭐한락","이넷","spoon","fork"
"폭발","지진","듣겠","크맨","earthquake","explosion"
"폭발물","폭탄","n을","하겠물","bomb","explosive"
"폭풍","바람","운건","겼지","wind","storm"
"폭풍","허리케인","허리탄은","겼지","hurricane","tornado"
"표면","층","로밀","임은","layer","surface"
"표현하다","설명하다","설명해줬","이래하다","describe","express"
"푸른","갈색","픽에","듯하","brown","blue"
"품질","수량","방네","갈테","quantity","quality"
"프랑스 국민","영어","샌드","프랑스 샜어","english","french"
"프로그램","프로젝트","프로계급","프로왔니","project","program"
"플라스틱","시멘트","던컨트","플라실도","cement","plastic"
"플레이어","코치","아노","격리이어","coach","player"
"피조사자","원천","나역","몰았사자","source","informant"
"필요","필요한","르르한","의야","necessary","need"
"하녀","여자 이름","괜찮 이름","위드","nanny","maid"
"하이브","보조기구","타야기구","아기브","aids","hiv"
"하인","노예","딩을","트니","slave","servant"
"학교","수업","글스","바꾸","class","school"
"한가롭게 이리저리 거닐다","선잠","퍼님","연주롭게 이리저리 거닐다","nap","stroll"
"한모금","하락","쏩니","방으금","drop","sip"
"할 수 없는","할 수 없음","풀지수 없음","세차수 없는","inability","unable"
"할머니","할아버지","할아철로","복수니","grandfather","grandmother"
"핥다","빨다","온김","갈리","suck","lick"
"함대","해군","톤에","곤을","naval","fleet"
"합리적인","공정한","제의한","늦는적인","fair","reasonable"
"합법적 인","불법적 인","한번적 인","마라적 인","illegal","legal"
"합의","계약","러면","스이","contract","agreement"
"항구","만","곤두","멘이","bay","harbor"
"항상","절대","엘과","해드","never","ever"
"해군","선박","설이","샌드","marine","navy"
"해안","해변","i다","일주","beach","coast"
"해임","사직","트랜","향합","resignation","dismissal"
"핵무기","원자력","볼수력","산거기","atomic","nuclear"
"햄버거","샌드위치","샌드공인","놔줘거","sandwich","hamburger"
"행동","몸짓","스해","샤바","gesture","act"
"행복하다","만족하는","끊어하는","행복해지","satisfied","happy"
"행정","관리","u는","아에","management","administrative"
"향수","립스틱","기병틱","티요","lipstick","perfume"
"허락하다","허용하다","커버하다","신부하다","allow","let"
"헌법","법","응징","온몸","law","constitution"
"헌신","충실도","이어도","찮은","fidelity","devotion"
"헤로인","코카인","진리인","자켓인","cocaine","heroin"
"헬리콥터","구급차","컴퓨차","헬리ik","ambulance","helicopter"
"현미경","망원경","분인경","반죽경","telescope","microscope"
"현실적인","낙관적 인","서천적 인","테러적인","optimistic","realistic"
"현지의","지역","렐은","치렀의","regional","local"
"형","녀석","껴져","마세","dude","bro"
"형사","에이전트","에이축소","힌다","agent","detective"
"형제","자매","꾼은","좌를","sister","brother"
"호수","강","소코","sp","river","lake"
"호스","펌프","쥴이","까운","pump","hose"
"혼례","약혼","디면","권에","engagement","wedding"
"혼합물","콤비네이션","회부네이션","뽐내물","combination","mixture"
"화가","아티스트","네이스트","리자","artist","painter"
"화난","질투하는","숨어하는","짱이","jealous","angry"
"화요일","월요일","절도일","핏줄일","monday","tuesday"
"화장실","샤워","겼다","틀렸실","shower","bathroom"
"확실히","분명히","마르히","없을히","clearly","obviously"
"확인하다","확인","질까","확인거나","confirmation","confirm"
"환각","환각","다란","럿이","illusion","hallucination"
"환상적인 것","아주 멋진","터널 멋진","환상적인델마","wonderful","fantastic"
"환영하다","축하해","대학해","근무하다","congratulate","greet"
"활동","활동적인","셔츠적인","디면","active","activity"
"활성화","방아쇠","그럽쇠","화신화","trigger","activate"
"황제","장엄한","방앗한","이클","imperial","emperor"
"회의","회의","곤란","라곤","conference","meeting"
"회전","회전하다","도덕하다","샌가","turn","rotate"
"효과","영향","폼을","따뜻","influence","effect"
"효과적인","유용한","눈깔한","모이적인","useful","effective"
"후진","상위","수적","우상","senior","junior"
"휘파람","뿔","용무","놓자람","horn","whistle"
"휴일","크리스마스","떠나스마스","리모","christmas","holiday"
"흉터","타투","탈에","리상","tattoo","scar"
"흡혈귀","좀비","기할","거랄귀","zombie","vampire"
"흥미로운","신나는","맞이는","쓰레로운","exciting","interesting"
"흥분한","자랑스러운","wo스러운","ki한","proud","excited"
"힘","힘","군다","브란","strength","force"
