"gl_target","gl_cue","type","target_type","cue_type","gl_cosine"
"cardeal","ataúd","unrelated","word","word",NA
"toalla","sopa","unrelated","word","word",0.424994127600375
"pechado","experiencia","unrelated","word","word",0.124869432303234
"bad","impotente","unrelated","word","word",0.186290190723075
"nariz","ketchup","unrelated","word","word",NA
"bird","pensións","unrelated","word","word",NA
"explosivo","nail","unrelated","word","word",NA
"bonito","parlamento","unrelated","word","word",0.061950211372613
"recompensa","fox","unrelated","word","word",0.263897280483441
"shoe","cego","unrelated","word","word",NA
"prensa","internet","unrelated","word","word",0.172412994761556
"placa","encanto","unrelated","word","word",0.20974805745483
"cerebral","suck","unrelated","word","word",NA
"black","gain","unrelated","word","word",NA
"alpha","viuda","unrelated","word","word",NA
"chantaxe","afogar","unrelated","word","word",0.0734398533737271
"bright","jazz","unrelated","word","word",NA
"bacon","naïve","unrelated","word","word",NA
"azul","útil","unrelated","word","word",0.0762869225188831
"cruel","soft","unrelated","word","word",NA
"estoupar","peso","unrelated","word","word",0.101860854866511
"find","rara","unrelated","word","word",NA
"árbore","perdoar","unrelated","word","word",0.151064663415625
"artillería","lightning","unrelated","word","word",NA
"deck","decente","unrelated","word","word",NA
"wire","fidelity","unrelated","word","word",NA
"colapso","marido","unrelated","word","word",0.188481338067499
"bag","deixar","unrelated","word","word",0.227341063896644
"programa","house","unrelated","word","word",0.0920316394688236
"bullet","hospitalidade","unrelated","word","word",NA
"cool","dose","unrelated","word","word",NA
"temperatura","playboy","unrelated","word","word",NA
"micrófono","quilómetro","unrelated","word","word",0.249727860553076
"camareira","consello","unrelated","word","word",0.127836278182278
"mellora","english","unrelated","word","word",NA
"chaqueta","atún","unrelated","word","word",NA
"aldea","golf","unrelated","word","word",0.215931633054238
"elección","silencioso","unrelated","word","word",0.137889362886325
"loitador","orzamento","unrelated","word","word",0.206601014596055
"presidente","iron","unrelated","word","word",NA
"voter","enter","unrelated","word","word",NA
"news","monkey","unrelated","word","word",NA
"fame","revenge","unrelated","word","word",NA
"músico","antidoto","unrelated","word","word",NA
"calidade","mentira","unrelated","word","word",0.256980288678718
"habilidade","swallow","unrelated","word","word",NA
"cidade","texto","unrelated","word","word",0.0137133077994293
"sonda","garantía","unrelated","word","word",0.223302187307374
"turtle","torneo","unrelated","word","word",NA
"personalidade","analista","unrelated","word","word",NA
"hidróxeno","cazar","unrelated","word","word",0.174016827515828
"oil","show","unrelated","word","word",NA
"cargo","fenómeno","unrelated","word","word",0.154514456714512
"donación","senior","unrelated","word","word",NA
"festival","serie","unrelated","word","word",0.234270612360204
"barato","carbón","unrelated","word","word",0.396776225853001
"reputación","task","unrelated","word","word",NA
"hat","monstro","unrelated","word","word",NA
"money","administración","unrelated","word","word",NA
"christian","ladroa","unrelated","word","word",0.294963088396061
"pesca","sandwich","unrelated","word","word",0.213542133862672
"almorzo","pelo","unrelated","word","word",0.232767758792591
"sorda","pub","unrelated","word","word",NA
"star","current","unrelated","word","word",NA
"prison","angel","unrelated","word","word",NA
"enojado","complemento","unrelated","word","word",NA
"plástico","condado","unrelated","word","word",0.110696271397129
"far","produtor","unrelated","word","word",NA
"roma","trampa","unrelated","word","word",0.185449358501688
"corda","ruído","unrelated","word","word",0.182190097486372
"teléfono","divorcio","unrelated","word","word",0.330319702623978
"alfombra","delicate","unrelated","word","word",NA
"confusión","novembro","unrelated","word","word",0.156609647073696
"botarlle o ferrollo","layer","unrelated","word","word",NA
"verificar","drama","unrelated","word","word",0.197472548417127
"saída","revelación","unrelated","word","word",0.247608189579378
"vén","cabina","unrelated","word","word",0.11954315887115
"biolóxico","navegación","unrelated","word","word",NA
"turquía","roubo","unrelated","word","word",0.165805455418495
"dispositivo","canciller","unrelated","word","word",NA
"teatro","niño","unrelated","word","word",0.276263857510226
"vanilla","cea","unrelated","word","word",NA
"triángulo","fake","unrelated","word","word",NA
"doctor","atómica","unrelated","word","word",NA
"militar","flatter","unrelated","word","word",NA
"familia","lipstick","unrelated","word","word",NA
"obviamente","camp","unrelated","word","word",0.0454592653504438
"escola","suscar","unrelated","word","word",NA
"fog","talleres","unrelated","word","word",NA
"bar","agarrar","unrelated","word","word",0.431487031919369
"heroína","privilexio","unrelated","word","word",0.356099590998141
"contrasinal","lugar","unrelated","word","word",0.195881045053399
"friend","lúa","unrelated","word","word",NA
"execución","desk","unrelated","word","word",NA
"universidade","taxi","unrelated","word","word",0.24769702855596
"federación","tecnoloxía","unrelated","word","word",0.285766660067137
"capitán","responsabilidade","unrelated","word","word",0.174888662457445
"orde","ironía","unrelated","word","word",0.228379047574393
"fight","sky","unrelated","word","word",NA
"mestura","incómodo","unrelated","word","word",0.285637402478508
"declaración","carga","unrelated","word","word",0.205483388222397
"comerciante","práctica","unrelated","word","word",0.175216019595586
"comité","financeira","unrelated","word","word",0.26788024046853
"agradable","silk","unrelated","word","word",NA
"corporation","old","unrelated","word","word",NA
"mapa","inxenuo","unrelated","word","word",0.232810010427981
"xeneroso","suficiente","unrelated","word","word",0.195458251952887
"campionato","conducir","unrelated","word","word",NA
"gift","punish","unrelated","word","word",NA
"vender","tarde","unrelated","word","word",0.0449756237154542
"casamento","zombie","unrelated","word","word",NA
"definición","paradise","unrelated","word","word",NA
"asunción","examinar","unrelated","word","word",NA
"aceiro","man","unrelated","word","word",0.191088809352991
"distrito","sister","unrelated","word","word",NA
"calcular","modelo","unrelated","word","word",0.232964648691989
"ride","chaos","unrelated","word","word",NA
"reunión","submarino","unrelated","word","word",0.140134666170683
"confirmar","sombra","unrelated","word","word",0.190429589777719
"disputa","live","unrelated","word","word",NA
"advise","substituír","unrelated","word","word",NA
"liberal","worm","unrelated","word","word",NA
"pensas","cómodo","unrelated","word","word",0.120476357556983
"fraude","aumentar","unrelated","word","word",0.182995659148949
"construír","colega","unrelated","word","word",0.163742301570631
"conexión","crítico","unrelated","word","word",0.193458475529213
"radiación","agradecido","unrelated","word","word",0.150994741461567
"contido","piano","unrelated","word","word",0.261310123212652
"acordo","dourado","unrelated","word","word",0.142855595449935
"manipular","inocente","unrelated","word","word",NA
"discusión","autor","unrelated","word","word",0.235663916183872
"xefe","empurrón","unrelated","word","word",0.248707344511741
"café","capital","unrelated","word","word",0.145047010824793
"determinación","verde","unrelated","word","word",0.103706663699908
"alley","anónimo","unrelated","word","word",NA
"corpse","rato","unrelated","word","word",NA
"reparación","marabilloso","unrelated","word","word",0.131043725512762
"porco","compasivo","unrelated","word","word",NA
"hole","avogado","unrelated","word","word",NA
"destrución","boca","unrelated","word","word",0.104462638757258
"producir","crema","unrelated","word","word",0.160304235324395
"préstamo","job","unrelated","word","word",0.403501533929524
"salsa","poeta","unrelated","word","word",0.218631766584081
"política","chan","unrelated","word","word",0.1476985150881
"trono","concepto","unrelated","word","word",0.177893209721999
"fork","cine","unrelated","word","word",0.288371760058667
"civilización","hot","unrelated","word","word",NA
"electricidade","entusiasmo","unrelated","word","word",0.262952063371327
"witch","caro","unrelated","word","word",NA
"long","cerca","unrelated","word","word",0.26806760060679
"mum","out","unrelated","word","word",NA
"semanalmente","rescate","unrelated","word","word",NA
"danza","gambling","unrelated","word","word",NA
"luz","orquestra","unrelated","word","word",0.26210957968457
"información","enxeñeiro","unrelated","word","word",0.199051862127454
"rarely","night","unrelated","word","word",NA
"elegante","finalmente","unrelated","word","word",0.241446635361152
"inesperadamente","regra","unrelated","word","word",NA
"return","stand","unrelated","word","word",NA
"profesor","outeiro","unrelated","word","word",0.134221998334083
"honesto","open","unrelated","word","word",NA
"polgar","concrete","unrelated","word","word",NA
"abandonar","lasanha","unrelated","word","word",NA
"espeso","agulla","unrelated","word","word",0.352244050143866
"sensíbel","mirar","unrelated","word","word",0.24224711786537
"solicitude","copa","unrelated","word","word",0.299967254354652
"esquerda","absolutely","unrelated","word","word",NA
"desgraza","hit","unrelated","word","word",NA
"sucio","máis baixo","unrelated","word","word",NA
"sono","tranquilo","unrelated","word","word",0.186469717658467
"express","palacio","unrelated","word","word",0.302454180232157
"valley","xornalismo","unrelated","word","word",NA
"wish","limonada","unrelated","word","word",NA
"oficina","beast","unrelated","word","word",NA
"timer","ponte","unrelated","word","word",NA
"divino","dicionario","unrelated","word","word",0.293777305571604
"xoia","recepción","unrelated","word","word",0.24029072538624
"atrás","nai","unrelated","word","word",0.150915341326589
"náuseas","atractivo","unrelated","word","word",0.332191919062697
"frase","aterraxe","unrelated","word","word",0.170557649791597
"contar","nai","unrelated","word","word",0.108156468023633
"bury","big","unrelated","word","word",NA
"ugly","regimiento","unrelated","word","word",NA
"imperio","admire","unrelated","word","word",NA
"graduado","avó","unrelated","word","word",NA
"directamente","ruta","unrelated","word","word",0.177134562653922
"repugnante","pobreza","unrelated","word","word",0.249262155755243
"sermón","postre","unrelated","word","word",0.245460819788155
"speed","plataforma","unrelated","word","word",NA
"matrimonio","recoller","unrelated","word","word",0.16599300169034
"triple","especialista","unrelated","word","word",NA
"cute","pistol","unrelated","word","word",NA
"cat","avanzar","unrelated","word","word",0.185998509332816
"xoguete","xurar","unrelated","word","word",0.179704394956145
"cabalo","servizo","unrelated","word","word",0.15018462326041
"inyección","poder","unrelated","word","word",NA
"silver","deus","unrelated","word","word",0.222784526261896
"lion","punto","unrelated","word","word",0.169542157499535
"comedia","excepcional","unrelated","word","word",0.224077450991159
"romántico","xuventude","unrelated","word","word",0.410331459177749
"sip","preocupado","unrelated","word","word",NA
"catro","little","unrelated","word","word",0.165704565684054
"sospeito","decano","unrelated","word","word",NA
"baño","pesado","unrelated","word","word",0.117141824236056
"bro","hotel","unrelated","word","word",NA
"video","agora","unrelated","word","word",0.190629819732433
"opción","septiembre","unrelated","word","word",NA
"quitar","liquid","unrelated","word","word",NA
"ministerio","tesouro","unrelated","word","word",0.285385824021888
"ministerio","vítima","unrelated","word","word",0.221456860579007
"axencia","heroe","unrelated","word","word",0.153250396912725
"tirar","mail","unrelated","word","word",0.208102518796535
"realmente","razón","unrelated","word","word",0.0355274245849154
"beleza","en realidade","unrelated","word","word",NA
"francés","persoa","unrelated","word","word",0.00642931717491481
"vaia","eliminar","unrelated","word","word",0.0585748480478546
"paixón","presenza","unrelated","word","word",0.248500579459379
"arquitecto","dog","unrelated","word","word",NA
"equipar","banca","unrelated","word","word",NA
"equivocado","trophy","unrelated","word","word",NA
"escoitar","dirty","unrelated","word","word",NA
"select","inserir","unrelated","word","word",NA
"acompañar","brindis","unrelated","word","word",NA
"armadura","tiro","unrelated","word","word",0.237148793420414
"coitelo","college","unrelated","word","word",NA
"único","valioso","unrelated","word","word",0.229486304726374
"especialista","operar","unrelated","word","word",0.275874812908625
"esperar","rain","unrelated","word","word",NA
"fe","peste","unrelated","word","word",0.161908521455084
"abdominal","radio","unrelated","word","word",NA
"sabotaxe","mistress","unrelated","word","word",NA
"lembre","nightmare","unrelated","word","word",NA
"baseball","descanso","unrelated","word","word",NA
"posición","foco","unrelated","word","word",0.214990860136956
"cés","tose","unrelated","word","word",NA
"highway","rum","unrelated","word","word",NA
"ancho","humilde","unrelated","word","word",0.244571351508302
"depresión","liga","unrelated","word","word",0.226625883129459
"profesor","odiar","unrelated","word","word",0.182043917370307
"para sempre","chave","unrelated","word","word",NA
"prob","preocupación","unrelated","word","word",NA
"cruelty","respecto","unrelated","word","word",NA
"mutación","adulto","unrelated","word","word",NA
"inspección","chegar","unrelated","word","word",0.155736259474073
"investigar","autopsia","unrelated","word","word",NA
"great","busca","unrelated","word","word",NA
"destacable","lento","unrelated","word","word",NA
"fracaso","interno","unrelated","word","word",0.22547933783144
"coñecemento","xuño","unrelated","word","word",0.149424599044759
"test","mínimo","unrelated","word","word",0.187852218525284
"plausible","nadal","unrelated","word","word",NA
"adicional","compromiso","unrelated","word","word",0.33346357838467
"ear","candidato","unrelated","word","word",0.383114366314177
"produción","espada","unrelated","word","word",0.0140396512030969
"do","nada","unrelated","word","word",0.149190404090272
"elemento","combinación","unrelated","word","word",0.272443785211169
"razoable","número","unrelated","word","word",0.125268890896776
"falso","asustado","unrelated","word","word",0.339679815408373
"speak","male","unrelated","word","word",NA
"sede","digusting","unrelated","word","word",NA
"traballador","arriscado","unrelated","word","word",0.231003475307159
"período","software","unrelated","word","word",NA
"destino","risco","unrelated","word","word",0.264005072323858
"estado","celoso","unrelated","word","word",0.160747513445731
"comer","escolta","unrelated","word","word",0.12593614525151
"saúdo","membro","unrelated","word","word",0.313915884782761
"ecepto","estadio","unrelated","word","word",NA
"lesións","bowl","unrelated","word","word",NA
"documento","vehículo","unrelated","word","word",0.302742850507532
"devoción","preparación","unrelated","word","word",0.582102584537856
"fillo","estrada","unrelated","word","word",0.0227588989165583
"relixión","factor","unrelated","word","word",0.178163890732989
"acabado","conclusión","unrelated","word","word",0.151016258814727
"ultimate","temple","unrelated","word","word",NA
"finalmente","dicir","unrelated","word","word",0.123839890923366
"investir","ducha","unrelated","word","word",0.257728386576288
"financiamento","idea","unrelated","word","word",NA
"fortemente","dig","unrelated","word","word",NA
"matemáticas","secar","unrelated","word","word",0.254198896326816
"impress","observación","unrelated","word","word",NA
"enfermidade","só","unrelated","word","word",0.169462479299898
"concentrado","camareiro","unrelated","word","word",0.114257617304103
"chase","baleiro","unrelated","word","word",NA
"informante","secreto","unrelated","word","word",NA
"idiota","trust","unrelated","word","word",NA
"dentro","ill","unrelated","word","word",NA
"sign","xestión","unrelated","word","word",NA
"débil","smoke","unrelated","word","word",NA
"forza","aviso","unrelated","word","word",0.231894287397233
"rabbit","tenant","unrelated","word","word",NA
"peza","embaixada","unrelated","word","word",0.167902775982922
"sinal","contaminación","unrelated","word","word",0.153427659561552
"democracia","dude","unrelated","word","word",NA
"refrescar","planeta","unrelated","word","word",0.192574054760976
"lagarto","beber","unrelated","word","word",NA
"tornado","company","unrelated","word","word",NA
"pasado","alimentación","unrelated","word","word",0.078944310935425
"escape","resposta","unrelated","word","word",0.0732512994962538
"closet","teenage","unrelated","word","word",NA
"gañar","burst","unrelated","word","word",NA
"exposición","cloud","unrelated","word","word",NA
"poker","comercial","unrelated","word","word",NA
"grupo","evolution","unrelated","word","word",NA
"duck","urxente","unrelated","word","word",NA
"promesa","escoitar","unrelated","word","word",0.106205302819726
"patrulla","sum","unrelated","word","word",NA
"combustible","esquece","unrelated","word","word",0.136017577487423
"científica","chip","unrelated","word","word",0.161894697344247
"acto","áfrica","unrelated","word","word",0.0165750382348238
"botella","final","unrelated","word","word",0.225527715557602
"gloria","stay","unrelated","word","word",NA
"senador","tribunal","unrelated","word","word",0.442692713039542
"tenis","fin","unrelated","word","word",0.088101842110228
"neco","bonus","unrelated","word","word",NA
"fariña","demanda","unrelated","word","word",0.185822240972144
"cemiterio","ver","unrelated","word","word",0.16587371442338
"noiva","axente","unrelated","word","word",0.194240134016415
"cheirar","queen","unrelated","word","word",0.184702733832348
"trimestre","marte","unrelated","word","word",NA
"salvador","nunca","unrelated","word","word",0.098894795850403
"strike","católica","unrelated","word","word",NA
"deporte","saudable","unrelated","word","word",0.311031245040028
"manter","ticket","unrelated","word","word",NA
"adrenalina","ás veces","unrelated","word","word",NA
"whistle","south","unrelated","word","word",NA
"medo","significado","unrelated","word","word",0.195155536118572
"clínica","banana","unrelated","word","word",NA
"gratitude","gas","unrelated","word","word",0.0541158510454403
"cold","top","unrelated","word","word",NA
"motel","princesa","unrelated","word","word",0.1837115823766
"apartamento","shark","unrelated","word","word",NA
"onte","radar","unrelated","word","word",0.121967855288615
"modest","bear","unrelated","word","word",NA
"teoría","garda","unrelated","word","word",0.09885926341737
"perfecto","soldier","unrelated","word","word",NA
"arrogancia","supernatural","unrelated","word","word",NA
"capela","tumor","unrelated","word","word",0.32577740898693
"legal","mud","unrelated","word","word",NA
"enfermo","física","unrelated","word","word",0.147282078414417
"alucinación","positivo","unrelated","word","word",NA
"foto","aspirina","unrelated","word","word",0.235504311155933
"creatividade","refuxiado","unrelated","word","word",0.253322802234411
"emperador","permiso","unrelated","word","word",0.17218082439113
"partícula","recoñecer","unrelated","word","word",0.159673033681334
"fácil","moi","unrelated","word","word",0.243533259227915
"impotente","pobre","unrelated","word","word",0.208465266164277
"sentimento","limpar","unrelated","word","word",0.058658548863288
"amazing","carácter","unrelated","word","word",NA
"non é capaz","tentar","unrelated","word","word",NA
"accidente","branco","unrelated","word","word",0.186097624156312
"desagradable","abaixo","unrelated","word","word",0.167441871290263
"negocios","seminario","unrelated","word","word",0.173958079828792
"efecto","vermello","unrelated","word","word",0.0858245754340365
"informar","dancer","unrelated","word","word",NA
"opositor","desire","unrelated","word","word",NA
"culpable","cable","unrelated","word","word",0.462316066584511
"put","ready","unrelated","word","word",NA
"comisario","imposible","unrelated","word","word",0.166039103613838
"inspiración","ming","unrelated","word","word",NA
"intuición","residuos","unrelated","word","word",0.290965536012808
"ofender","embaixador","unrelated","word","word",0.178208272112587
"world","queixa","unrelated","word","word",0.222207304893148
"web","tolemia","unrelated","word","word",NA
"externo","seguridade","unrelated","word","word",0.229764997067706
"molestar","xurisdicción","unrelated","word","word",NA
"sen valor","daddy","unrelated","word","word",NA
"ataque","boot","unrelated","word","word",NA
"funny","research","unrelated","word","word",NA
"cínico","progreso","unrelated","word","word",0.265852659643107
"inxusto","secretario","unrelated","word","word",0.233804177323325
"masaxe","escolla","unrelated","word","word",0.227260191781066
"rage","bribe","unrelated","word","word",NA
"metal","ganso","unrelated","word","word",0.260768369557518
"irónico","sensacional","unrelated","word","word",NA
"música","bloqueado","unrelated","word","word",0.0497486086923935
"camión","kidnap","unrelated","word","word",NA
"traballo","monxe","unrelated","word","word",0.113632352076521
"forest","royal","unrelated","word","word",NA
"recentemente","hoxe","unrelated","word","word",0.151243517174178
"maionesa","reflexión","unrelated","word","word",0.27196315523351
"secuestro","construción","unrelated","word","word",0.357526531175037
"ransom","millonario","unrelated","word","word",NA
"gram","darkness","unrelated","word","word",NA
"criminal","legión","unrelated","word","word",NA
"candle","saldo","unrelated","word","word",NA
"fly","jungle","unrelated","word","word",NA
"spaghetti","conversa","unrelated","word","word",NA
"constitución","maratón","unrelated","word","word",NA
"superficie","sida","unrelated","word","word",0.247777909979399
"fiel","naval","unrelated","word","word",NA
"honestidade","pride","unrelated","word","word",NA
"writing","fool","unrelated","word","word",NA
"exército","xerente","unrelated","word","word",0.135965679641702
"zume","resultado","unrelated","word","word",0.159208850893952
"rapidamente","mercenarios","unrelated","word","word",0.141635213694641
"fast","crown","unrelated","word","word",NA
"write","apertura","unrelated","word","word",NA
"gay","victory","unrelated","word","word",NA
"dólar","micrárricas","unrelated","word","word",NA
"free","señor","unrelated","word","word",NA
"team","farmer","unrelated","word","word",NA
"trono","curse","unrelated","word","word",NA
"soda","fair","unrelated","word","word",NA
"lavar","ash","unrelated","word","word",0.238474632414027
"feek","aniversario","unrelated","word","word",NA
"perfume","capsule","unrelated","word","word",NA
"fluída","diploma","unrelated","word","word",NA
"practicamente","proceso","unrelated","word","word",0.269655160474647
"pequeno","saboroso","unrelated","word","word",0.222804478583783
"sobrevivir","ping","unrelated","word","word",NA
"sun","rocket","unrelated","word","word",NA
"localización","comando","unrelated","word","word",0.115602169823545
"flame","fluza","unrelated","word","word",NA
"solar","gabinete","unrelated","word","word",0.154152710051731
"martes","satisfeito","unrelated","word","word",0.0669950439020226
"cartel","unidade","unrelated","word","word",0.121153093547957
"eléctrico","bishop","unrelated","word","word",NA
"fax","sunset","unrelated","word","word",NA
"voto","informe","unrelated","word","word",0.179576595093156
"menos","bolboreta","unrelated","word","word",0.218794039059488
"superior","audición","unrelated","word","word",0.15090094365866
"alteza","spider","unrelated","word","word",0.196232131966508
"correcto","similar","unrelated","word","word",0.251781418442553
"femia","nickname","unrelated","word","word",NA
"maleta","forza","unrelated","word","word",0.111384626892816
"brazo","de súpeto","unrelated","word","word",NA
"humano","óso","unrelated","word","word",0.310106414924025
"mañá","necesario","unrelated","word","word",0.140233905013148
"fantástico","filosofía","unrelated","word","word",0.252342102227555
"carreira","pregunta","unrelated","word","word",0.139615109088798
"produto","corpo","unrelated","word","word",0.142928770770597
"esposa","man","unrelated","word","word",0.220374473355408
"mariña","inspector","unrelated","word","word",0.345764872464321
"venus","mover","unrelated","word","word",0.290941000351029
"wizard","telescopio","unrelated","word","word",NA
"froito","blanket","unrelated","word","word",NA
"manteiga","conferencia","unrelated","word","word",0.112326220894107
"xear","arena","unrelated","word","word",NA
"líder","que","unrelated","word","word",0.155067224153484
"emocional","wall","unrelated","word","word",NA
"mentireiro","fóra","unrelated","word","word",0.0711899015320939
"asasino","tamaño","unrelated","word","word",0.193915709289243
"digna","fábrica","unrelated","word","word",0.178007897135368
"semana","ritmo","unrelated","word","word",0.0732358913461474
"técnica","oferta","unrelated","word","word",0.337260766197615
"psicolóxico","recuperación","unrelated","word","word",0.167346702914689
"mediodía","penalty","unrelated","word","word",NA
"centímetro","curto","unrelated","word","word",0.344144633883484
"billions","pataca","unrelated","word","word",NA
"empresario","cemento","unrelated","word","word",0.13459566933822
"ling","mito","unrelated","word","word",NA
"máximo","virus","unrelated","word","word",0.201057233968674
"watch","polito","unrelated","word","word",NA
"patético","tank","unrelated","word","word",NA
"amante","biblioteca","unrelated","word","word",0.209997984326855
"legend","clan","unrelated","word","word",NA
"prototipo","contrato","unrelated","word","word",0.303267100855325
"tradicional","estreito","unrelated","word","word",0.205226093343926
"moi","futuro","unrelated","word","word",0.19382530325776
"gorila","alerta","unrelated","word","word",NA
"criatura","sangue","unrelated","word","word",0.179488707274161
"estatua","viño","unrelated","word","word",0.178007586970491
"sacerdote","termina","unrelated","word","word",0.211221303827926
"fatal","squirrel","unrelated","word","word",NA
"desaparición","ignorancia","unrelated","word","word",0.258068302886169
"alibi","bush","unrelated","word","word",NA
"transferencia","snacks","unrelated","word","word",NA
"sand","cocaine","unrelated","word","word",NA
"audiencia","fresh","unrelated","word","word",NA
"embarazo","comentario","unrelated","word","word",0.269473107893678
"algo","césar","unrelated","word","word",0.1780985107508
"holiday","voluntariado","unrelated","word","word",NA
"paseo","ilegal","unrelated","word","word",0.0834917819255858
"pai","cambio","unrelated","word","word",0.01205895015781
"dente","stick","unrelated","word","word",NA
"estúpido","dereito","unrelated","word","word",0.19954130957627
"maid","obstáculo","unrelated","word","word",NA
"global","nacemento","unrelated","word","word",0.194597399935583
"artificial","diante","unrelated","word","word",0.0481045319658907
"xeralmente","zoo","unrelated","word","word",0.259335715808001
"fleta","xerador","unrelated","word","word",NA
"comunicación","anel","unrelated","word","word",0.174445016772529
"necesidade","corner","unrelated","word","word",NA
"nenas","pacífico","unrelated","word","word",0.12952496743404
"muscle","cash","unrelated","word","word",NA
"nehew","subir","unrelated","word","word",NA
"sistema","mazá","unrelated","word","word",0.0277038782713015
"apelido","alcohol","unrelated","word","word",0.361793181100228
"á noite","túbulo","unrelated","word","word",NA
"dream","grave","unrelated","word","word",NA
"samurai","glass","unrelated","word","word",NA
"egg","terapia","unrelated","word","word",NA
"premio","mal","unrelated","word","word",0.117179802880181
"valente","universo","unrelated","word","word",0.152962641067512
"título","artista","unrelated","word","word",0.29071134897063
"nalgún lugar","xeralmente","unrelated","word","word",NA
"decembro","camisa","unrelated","word","word",0.089182305115141
"naked","mortal","unrelated","word","word",NA
"enderezo","perdedor","unrelated","word","word",0.250474106301471
"sempre","pano","unrelated","word","word",0.123501539082337
"avaliación","prey","unrelated","word","word",NA
"desafío","culler","unrelated","word","word",0.18246217671968
"tema","ambiente","unrelated","word","word",0.269154776472781
"ocorrer","wail","unrelated","word","word",NA
"amor","crack","unrelated","word","word",0.144034225343424
"dar","describir","unrelated","word","word",0.177424933892906
"oficial","discurso","unrelated","word","word",0.302077009876428
"si","artigo","unrelated","word","word",0.133305390388627
"adeus","word","unrelated","word","word",NA
"mozo","operativo","unrelated","word","word",0.034485257516339
"xeonllo","probabilidade","unrelated","word","word",0.150875685020651
"preto","cirujano","unrelated","word","word",NA
"cirurxía","hormona","unrelated","word","word",0.502209454931768
"funcional","igrexa","unrelated","word","word",0.111543765406109
"actitude","crear","unrelated","word","word",0.231320909577587
"posibilidade","club","unrelated","word","word",0.120559882300517
"ao contrario","crédito","unrelated","word","word",NA
"realista","poxa","unrelated","word","word",0.221909345894259
"habitual","diarrea","unrelated","word","word",NA
"convento","mile","unrelated","word","word",NA
"erección","smash","unrelated","word","word",NA
"emocionado","air","unrelated","word","word",0.221808189219829
"copiar","telegram","unrelated","word","word",0.335734013220667
"band","bonito","unrelated","word","word",NA
"financiamento","renney","unrelated","word","word",NA
"skull","ola","unrelated","word","word",NA
"about","west","unrelated","word","word",NA
"mountain","falar","unrelated","word","word",NA
"stove","terremoto","unrelated","word","word",NA
"compaixón","axuda","unrelated","word","word",0.206813240882575
"clienta","allo","unrelated","word","word",0.128190430979948
"atlántico","calor","unrelated","word","word",0.222894346255085
"draw","refuxio","unrelated","word","word",NA
"nación","protesta","unrelated","word","word",0.168918972145404
"castle","impresión","unrelated","word","word",0.170136291542419
"queixo","valor","unrelated","word","word",0.161034567526169
"pano","técnico","unrelated","word","word",0.180110613095732
"monitorizar","galería","unrelated","word","word",NA
"pen","sufrimento","unrelated","word","word",NA
"inferno","sinxelamente","unrelated","word","word",0.118850707070648
"crazy","rifle","unrelated","word","word",NA
"senado","gusto","unrelated","word","word",0.0373715262368779
"condutora","vagina","unrelated","word","word",NA
"tomate","sheriff","unrelated","word","word",0.189360244094211
"herdar","barón","unrelated","word","word",0.299378717926735
"barba","brown","unrelated","word","word",0.161002568669964
"encarceramento","excelente","unrelated","word","word",NA
"salario","traer","unrelated","word","word",0.0879152178255237
"ganador","política","unrelated","word","word",NA
"desculpe","diamond","unrelated","word","word",NA
"mercy","dedo","unrelated","word","word",NA
"descrición","apoiar","unrelated","word","word",0.269825831329927
"aprobación","ridículo","unrelated","word","word",0.156748370147833
"let","pan","unrelated","word","word",NA
"individual","control","unrelated","word","word",0.276940357474551
"íntimo","eterno","unrelated","word","word",0.363007932624377
"moito","caixa","unrelated","word","word",0.154943750057718
"altura","merece","unrelated","word","word",0.0750367348400399
"epidemia","sobre","unrelated","word","word",0.235398645097782
"carteira","inxustiza","unrelated","word","word",0.0908993178574647
"guitarra","potencial","unrelated","word","word",0.208613707431989
"camping","mafia","unrelated","word","word",NA
"ding","marca","unrelated","word","word",NA
"mariñeiro","adestrador","unrelated","word","word",NA
"arma","situación","unrelated","word","word",0.122693114516296
"estratexia","insulto","unrelated","word","word",0.443600698093221
"órbita","sea","unrelated","word","word",0.238568076797192
"flower","rexional","unrelated","word","word",NA
"estación","lip","unrelated","word","word",NA
"magazine","million","unrelated","word","word",NA
"persoas","teña en conta","unrelated","word","word",NA
"rich","espera","unrelated","word","word",NA
"miseria","corrección","unrelated","word","word",0.0521445211044274
"probablemente","oportunidade","unrelated","word","word",0.190445390439511
"enerxía","anarquía","unrelated","word","word",0.38836380993488
"escritor","eye","unrelated","word","word",NA
"kill","casco","unrelated","word","word",0.181509870162218
"político","slave","unrelated","word","word",NA
"friendly","combate","unrelated","word","word",NA
"dynamite","furacán","unrelated","word","word",NA
"túnel","fonte","unrelated","word","word",0.211675401790692
"famoso","tabaco","unrelated","word","word",0.198340988153566
"meat","hospital","unrelated","word","word",NA
"película","fragmento","unrelated","word","word",0.194321289122448
"hide","vista","unrelated","word","word",NA
"gate","leal","unrelated","word","word",NA
"negativo","clase","unrelated","word","word",0.0923721077672569
"cake","rexouba","unrelated","word","word",NA
"talento","reféns","unrelated","word","word",0.188232651766237
"venda","comandante","unrelated","word","word",0.150820459930122
"alegría","patrimonio","unrelated","word","word",0.254157220455584
"exercicio","ritual","unrelated","word","word",0.304656061928549
"costa","esperanza","unrelated","word","word",0.142751877396534
"solicitar","monumento","unrelated","word","word",0.211842631408127
"preocupación","perfil","unrelated","word","word",0.13557544993573
