"gl_cue","gl_target","gl_fake_target","gl_fake_cue","en_cue","en_target"
"maxia","wizard","wiraña","macro","magic","wizard"
"mazá","froito","prénto","marao","apple","fruit"
"mel","manteiga","viñateiga","yol","honey","butter"
"melt","xear","xeses","meaz","melt","freeze"
"membro","líder","lítan","locbro","member","leader"
"mental","emocional","triuncional","mennou","mental","emotional"
"mentira","mentireiro","atractireiro","substira","lie","liar"
"mercenarios","asasino","subssino","sándwicenarios","mercenary","assassin"
"merece","digna","ranna","ocorrece","deserve","worthy"
"mes","semana","afirmana","ous","month","week"
"método","técnica","dinlnica","traitodo","method","technique"
"micrárricas","psicolóxico","amañarcolóxico","miquiñoricas","medical","psychological"
"midnight","mediodía","medionuill","ácinight","midnight","noon"
"mile","centímetro","centímesións","mitan","mile","centimeter"
"million","billions","acrílions","atrelion","million","billion"
"millonario","empresario","empresaxewar","prohilonario","millionaire","entrepreneur"
"ming","ling","lior","misí","ming","ling"
"mínimo","máximo","máximonastyrsky","mínimonastyrsky","minimum","maximum"
"mirar","watch","súbch","miche","look","watch"
"miserable","patético","paciónstico","miseracións","miserable","pathetic"
"mistress","amante","acépte","misbergs","mistress","lover"
"mito","legend","lekets","minen","myth","legend"
"modelo","prototipo","riñentotipo","préndelo","model","prototype"
"moderno","tradicional","tradicioquiños","motráeno","modern","traditional"
"moi","moi","lii","gii","extremely","very"
"monkey","gorila","goaquela","mondre","monkey","gorilla"
"monstro","criatura","amañaatura","monscen","monster","creature"
"monumento","estatua","estagard","monutiñosto","monument","statue"
"monxe","sacerdote","sapoñéndote","garxe","monk","priest"
"mortal","fatal","faqui","atotal","deadly","fatal"
"morte","desaparición","desapariqueños","zaste","death","disappearance"
"motivo","alibi","barbi","existivo","motive","alibi"
"mover","transferencia","aplauferencia","mocra","move","transfer"
"mud","sand","samu","ald","mud","sand"
"multitude","audiencia","audienxeñei","prohititude","crowd","audience"
"nacemento","embarazo","embaracións","nacesiñasto","birth","pregnancy"
"nada","algo","mongo","resda","nothing","something"
"nadal","holiday","holichón","nagen","christmas","holiday"
"nai","paseo","paciu","rii","nap","stroll"
"nai","pai","nii","rii","mother","father"
"nail","dente","varte","nady","nail","tooth"
"naïve","estúpido","esinhóspido","kelve","naïve","stupid"
"nanny","maid","maar","nadjy","nanny","maid"
"national","global","silbal","natiosións","national","global"
"natural","artificial","artificiallegheny","natución","natural","artificial"
"naturalmente","xeralmente","xeraltruírte","naturalalíñaste","naturally","generally"
"naval","fleta","tásta","nades","naval","fleet"
"navegación","comunicación","comunicatrañas","navegarough","navigation","communication"
"necesario","necesidade","necesilenskyde","necesafeway","necessary","need"
"nenos","nenas","nemer","nerar","boys","girls"
"nervio","muscle","musseo","agóvio","nerve","muscle"
"neto","nehew","échew","negri","grandson","nephew"
"network","sistema","tromtema","neopork","network","system"
"nickname","apelido","igualido","dousname","nickname","surname"
"night","á noite","á novro","niamt","night","evening"
"nightmare","dream","puram","igresmare","nightmare","dream"
"ninja","samurai","samuquel","touja","ninja","samurai"
"niño","egg","óug","niea","nest","egg"
"nobel","premio","pregos","nocos","nobel","prize"
"nobre","valente","vatriste","nodeu","noble","brave"
"nome","título","acontulo","carme","name","title"
"noutro lugar","nalgún lugar","nalgún lkills","noutro lseños","elsewhere","somewhere"
"novembro","decembro","debrosbro","nobrarbro","november","december"
"nude","naked","nacok","tride","nude","naked"
"número","enderezo","enderetrans","cíanmero","number","address"
"nunca","sempre","grupre","aboca","never","ever"
"observación","avaliación","avaliabourg","observapoñer","observation","evaluation"
"obstáculo","desafío","desaness","aguantáculo","obstacle","challenge"
"obxecto","tema","teron","obamonto","object","subject"
"ocorrer","ocorrer","ocorxan","ocornie","occur","happen"
"odiar","amor","neor","cinar","hate","love"
"oferta","dar","yor","atérta","offer","give"
"oficialmente","oficial","abrícial","deshoncialmente","officially","official"
"ok","si","ry","bm","okay","yeah"
"ola","adeus","adwás","páa","hello","bye"
"old","mozo","beizo","had","old","young"
"ombreiro","xeonllo","xeciónlo","omagarro","shoulder","knee"
"open","preto","sulto","ophi","open","close"
"operar","cirurxía","cisiónxía","dourar","operate","surgery"
"operativo","funcional","funciosións","triunrativo","operational","functional"
"opinión","actitude","actiaprende","opiriff","opinion","attitude"
"oportunidade","posibilidade","posibilidadelahaye","prehistunidade","chance","possibility"
"oposto","ao contrario","ao contrlunya","aplíto","opposite","contrary"
"optimista","realista","reaoyangta","optiaguanta","optimistic","realistic"
"ordinario","habitual","habiciónsal","ordinabeshi","ordinary","usual"
"orfanato","convento","conamisto","orciñosnato","orphanage","convent"
"orgasmo","erección","stepción","orquéimo","orgasm","erection"
"orgulloso","emocionado","sandwicionado","orleánsloso","proud","excited"
"original","copiar","copiches","energinal","original","copy"
"orquestra","band","batá","ordeñatra","orchestra","band"
"orzamento","financiamento","hollywonanciamento","orzacharyto","budget","funding"
"óso","skull","glull","aqo","bone","skull"
"out","about","abdót","ent","out","about"
"outeiro","mountain","mountrol","ouriñoro","hill","mountain"
"oven","stove","idive","goen","oven","stove"
"paciencia","compaixón","compaiseis","pacienxeñei","patience","compassion"
"paciente","clienta","atroenta","patrónsente","patient","client"
"pacífico","atlántico","achaitico","papaiñofico","pacific","atlantic"
"paint","draw","drfu","pangt","paint","draw"
"país","nación","naches","pató","country","nation"
"palacio","castle","casmoi","palabrar","palace","castle"
"pan","queixo","abáixo","eón","bread","cheese"
"pano","pano","parán","parán","cloth","handkerchief"
"pantalla","monitorizar","monitoriqueños","abritalla","screen","monitor"
"papel","pen","jnn","padiz","paper","pen"
"paradise","inferno","inalumno","paradicións","paradise","hell"
"paranoid","crazy","piazy","paracleo","paranoid","crazy"
"parlamento","senado","sesióndo","imosllamento","parliament","senate"
"pasaxeiro","condutora","amañadutora","pasaciónsro","passenger","driver"
"pataca","tomate","tomación","quistaca","potato","tomato"
"patrimonio","herdar","goudar","patrimoorhen","heritage","inherit"
"pelo","barba","aliba","pechá","hair","beard"
"penalty","encarceramento","encarceramenbayashi","penhall","penalty","imprisonment"
"pensións","salario","salachas","clusións","pension","salary"
"perdedor","ganador","ganaches","perdefrau","loser","winner"
"perdoar","desculpe","desexaspe","chandoar","forgive","excuse"
"perdón","mercy","mesty","perlao","forgiveness","mercy"
"perfil","descrición","describles","pernhe","profile","description"
"permiso","aprobación","aprobamosl","oquímiso","permission","approval"
"permitir","let","ilt","permiríao","allow","let"
"persoa","individual","individuallegheny","permed","person","individual"
"persoal","íntimo","íntimonastyrsky","tromsoal","personal","intimate"
"pesado","moito","sólto","pedirldo","heavy","heavily"
"peso","altura","alcohóra","peris","weight","height"
"peste","epidemia","epideseño","trite","plague","epidemic"
"peto","carteira","asusteira","pedin","pocket","wallet"
"piano","guitarra","abortarra","piación","piano","guitar"
"picnic","camping","cammáns","glanic","picnic","camping"
"ping","ding","dipu","pite","ping","ding"
"pirate","mariñeiro","marakharo","picheste","pirate","sailor"
"pistol","arma","arqui","pismut","pistol","weapon"
"plan","estratexia","estratemuñou","váan","plan","strategy"
"planeta","órbita","ininbita","equineta","planet","orbit"
"planta","flower","flacer","identa","plant","flower"
"plataforma","estación","estareil","plataríanlma","platform","station"
"playboy","magazine","magajohanne","persboy","playboy","magazine"
"poboación","persoas","tromsoas","poboarough","population","people"
"pobre","rich","ridas","poven","poor","rich"
"pobreza","miseria","miseault","pochanza","poverty","misery"
"pode ser","probablemente","probabletrañarte","podeneil","maybe","probably"
"poder","enerxía","aporxía","posui","power","energy"
"poeta","escritor","eselector","atraeta","poet","writer"
"poison","kill","tull","ileson","poison","kill"
"política","político","podricktico","pobriñotica","policy","politician"
"polito","friendly","frienchín","potracto","polite","friendly"
"pólvora","dynamite","mclennamite","mohnvora","gunpowder","dynamite"
"ponte","túnel","tútoa","xerte","bridge","tunnel"
"popular","famoso","quismoso","popuchos","popular","famous"
"porco","meat","megra","cilco","pork","meat"
"porn","película","pecharlcula","polé","porn","movie"
"portada","hide","berde","queitada","cover","hide"
"portal","gate","ronte","nental","portal","gate"
"positivo","negativo","neatlántivo","poatractivo","positive","negative"
"postre","cake","caxas","posbao","dessert","cake"
"potencial","talento","taríaoto","poliñascial","potential","talent"
"poxa","venda","quida","posui","auction","sale"
"pracer","alegría","alepras","tescer","pleasure","joy"
"práctica","exercicio","anuncicio","alumtica","practice","exercise"
"praia","costa","panta","prkea","beach","coast"
"pregunta","solicitar","solicidiños","prepresta","question","ask"
"preocupación","preocupación","preocupavlovsk","preocuparadzha","concern","worry"
"preocupado","nervioso","apuñavioso","holywoocupado","worried","nervous"
"preparación","planificación","planificatrañar","preparaflops","preparation","planning"
"presenza","absence","abrañace","prebrazza","presence","absence"
"preservar","manter","frater","preserquei","preserve","maintain"
"prevención","stop","stsí","prevenderl","prevent","stop"
"prey","depredador","deinquédador","avey","prey","predator"
"pride","dignidade","prohínidade","varde","pride","dignity"
"primeira","o último","o últlowe","priaclara","first","last"
"princesa","príncipe","beiscipe","asalcesa","princess","prince"
"private","privacidade","deshonvacidade","coñevate","private","privacy"
"privilexio","honor","hopra","priviletrans","privilege","honor"
"probabilidade","probable","probamosl","lingüísbabilidade","probability","likely"
"proceso","procedemento","procedelahayeto","coñéceso","process","procedure"
"produtor","director","direcbles","produbles","producer","director"
"profit","ingresos","indoñosos","problé","profit","income"
"progreso","desenvolvemento","desenvolvemenbayashi","prothurso","progress","development"
"prohibido","prohibido","deshabido","deshabido","forbidden","prohibit"
"propiedade","propietario","propietatuíñas","amañarpiedade","property","owner"
"propoñer","suxerir","suxemosl","proteñen","propose","suggest"
"propósito","intención","intendría","amañapósito","purpose","intention"
"proteína","vitamina","vitaríanlna","proxohana","protein","vitamin"
"protesta","demostración","demostrabourg","profronta","protest","demonstration"
"protexer","defender","defenglin","proteríaa","protect","defend"
"proxecto","programa","proafirma","proamonto","project","program"
"pub","restaurante","restaupoñerte","aib","pub","restaurant"
"publicidade","márketing","márkegres","publidesherdade","advertising","marketing"
"pulso","presión","clusión","vénso","pulse","pressure"
"pump","mangueira","manteñara","puúl","pump","hose"
"punish","arresto","aramonto","pulity","punish","arrest"
"punto","indicar","indireil","fruto","point","indicate"
"pyramid","estrutura","espiñastura","pyrakaya","pyramid","structure"
"que","que","uwe","hwe","what","that"
"queen","king","kiko","gruen","queen","king"
"queixa","accusation","ackinshasation","atraxa","complaint","accusation"
"quilómetro","meter","meque","quilómesións","kilometer","meter"
"química","bioloxía","biolosións","atenmica","chemistry","biology"
"racista","comunista","comuaguanta","raquenta","racist","communist"
"radar","satélite","saqueillite","rafin","radar","satellite"
"radio","perímetro","perímesións","rabíl","radius","perimeter"
"radio","televisión","televitebsk","rabíl","radio","television"
"rain","snow","aqow","rabó","rain","snow"
"rapaza","boy","emy","rapaguei","girl","boy"
"rara","estraño","estañas","rades","unusual","strange"
"rato","rat","uit","raran","mouse","rat"
"razoable","irresponsable","irresponsagorsky","razoacións","unreasonable","irresponsible"
"razón","causa","utisa","raceo","reason","cause"
"ready","prepare","equipare","regaz","ready","prepare"
"realidade","fantasía","fantamont","flintshirealidade","reality","fantasy"
"recepción","festy","ferky","receprías","reception","party"
"recoller","reúnense","inaunense","recoltros","collect","gather"
"recoñecer","sabía","salet","reexercer","recognize","knew"
"recuperación","cura","teira","recuperatrañar","recover","heal"
"reféns","prisioneiro","deshonsioneiro","rebúes","hostage","prisoner"
"reflexión","espello","estriclo","reflefort","reflection","mirror"
"refuxiado","fugitive","fumááántive","flintshirefuxiado","refugee","fugitive"
"refuxio","refuxio","refumont","refuróns","refuge","shelter"
"regimiento","batallón","baciónlón","flintshiregimiento","regiment","battalion"
"regra","protocolo","gañentocolo","ready","rule","protocol"
"relación","amizade","ocorzade","relareil","relationship","friendship"
"renney","fígado","prengado","rencir","kidney","liver"
"renuncia","dimisión","dimicros","reaprecia","resignation","dismissal"
"reporter","xornalista","amañanalista","rehamster","reporter","journalist"
"rescate","save","preve","aplicate","rescue","save"
"research","estudo","esmiñado","resedeutsch","research","study"
"residuos","gasto","vérto","resimohinos","waste","spend"
"resistencia","resistir","resisríao","reteñantencia","resistance","resist"
"respecto","confianza","smithfianza","resamonto","respect","confidence"
"responsabilidade","deber","detri","responsabilidademutsky","responsibility","duty"
"resposta","responder","responchos","reschanta","answer","reply"
"resultado","resultado","reafrontado","reafrontado","result","outcome"
"revelación","vision","visinarl","revelafríos","revelation","vision"
"revenge","xustiza","chartiza","retridge","revenge","justice"
"rexeitar","aceptar","treitar","readaptar","refuse","accept"
"rexional","local","lonos","rexiosións","regional","local"
"rexistro","gravación","gravareil","readentro","record","recording"
"rexouba","escándalo","estrañedalo","retiñaba","gossip","scandal"
"ridículo","absurdo","abpañado","rimaiúsculo","ridiculous","absurd"
"rifle","gun","iln","risúo","rifle","gun"
"río","lago","laras","aho","river","lake"
"risco","danger","esager","pínco","risk","danger"
"ritmo","estilo","estiches","básmo","rhythm","style"
"ritual","cerimonia","cerimoorhen","oportual","ritual","ceremony"
"robot","machine","madrasne","rocra","robot","machine"
"rock","pedra","peren","rozi","rock","stone"
"rocket","misiles","misigual","rocbón","rocket","missile"
"rodeo","cowboy","ansboy","rocos","rodeo","cowboy"
"rolda","arredor","arreflic","créda","round","around"
"roman","grego","paigo","roche","roman","greek"
"romeo","juliet","julicías","rodán","romeo","juliet"
"roubar","rob","umb","sinbar","steal","rob"
"roubo","roubo","pérbo","críbo","theft","robbery"
"royal","reino","posno","unyal","royal","kingdom"
"ruído","son","ryn","fúndo","noise","sound"
"rum","cognac","cogjia","aim","rum","cognac"
"run","walk","waiz","úen","run","walk"
"rusty","dusty","nasty","ruiny","rusty","dusty"
"ruta","camiño","cacíon","unita","route","path"
"saboroso","delicioso","deliciosobriñiña","sapañeiroso","tasty","delicious"
"sad","tráxico","amarxico","rnd","sad","tragic"
"safe","secure","seaborre","saxia","safe","secure"
"saída","entrada","enguinda","tánda","exit","entrance"
"sala","dormitorio","amañamitorio","samos","room","bedroom"
"saldo","harmonía","clismonía","béndo","balance","harmony"
"sandwich","hamburguesa","triunburguesa","opoñerch","sandwich","hamburger"
"sangue","urine","oíune","tregue","blood","urine"
"satisfeito","feliz","fecol","satisgoldsto","satisfied","happy"
"saturda","domingo","doabrigo","saliñada","Saturday","Sunday"
"saudable","normal","frimal","guindable","healthy","normal"
"saúde","educación","educables","burde","health","education"
"scratch","bretaña","acátaña","scheich","scratch","bruise"
"sea","océano","acríno","nua","sea","ocean"
"secar","wet","blt","sesió","dry","wet"
"sección","parágrafo","pataquígrafo","rolción","section","paragraph"
"secretario","asistente","practente","seaguantario","secretary","assistant"
"secreto","misterio","charterio","seguirto","secret","mystery"
"século","decada","decación","gañaculo","century","decade"
"secundaria","primaria","primachos","secundachíns","secondary","primary"
"segundo","minuto","miamisto","seseñado","second","minute"
"seguridade","seguridade","seabashiridade","seabashiridade","security","safety"
"seminario","conferencia","conferenpoñen","seminatasha","seminar","lecture"
"sempre","constantemente","amañartantemente","juspre","always","constantly"
"senior","junior","juniguén","seniquen","senior","junior"
"señor","lady","sedy","secer","lord","lady"
"sensacional","espectacular","estrañartacular","schaffhausensacional","sensational","spectacular"
"sensor","transmisor","alquímisor","sencal","sensor","transmitter"
"septiembre","outubro","outusiás","ecléctiembre","september","october"
"sergento","tenente","tegrarte","servíasto","sergeant","lieutenant"
"serie","episodio","acousodio","sepor","series","episode"
"servizo","mantemento","mantedraisto","consvizo","service","maintenance"
"sexual","física","prensica","seavrial","sexual","physical"
"shark","peixe","bruxe","roark","shark","fish"
"sheriff","alcalde","alofende","matriff","sheriff","mayor"
"sherlock","watson","ferson","usurlock","sherlock","watson"
"shooter","sniper","ídoper","shooling","shooter","sniper"
"show","performance","perraultmance","shlf","show","performance"
"sida","vih","rah","sible","aids","hiv"
"significado","importancia","imaguantancia","amañarnificado","meaning","importance"
"silencioso","silence","sirañace","simourghcioso","silent","silence"
"silk","algodón","algomery","sibú","silk","cotton"
"similar","diferente","difegañarte","simichel","similar","different"
"sin","crime","panme","awn","sin","crime"
"single","casado","cacióndo","sinnob","single","married"
"síntoma","síndrome","acerdrome","practoma","symptom","syndrome"
"sinxelamente","simple","cosple","sinxelatishovte","simply","simple"
"sister","brother","waother","ríater","sister","brother"
"situación","crise","buíse","situabourg","situation","crisis"
"skin","tecido","princido","vdin","skin","tissue"
"skirt","vestido","abortido","cdirt","skirt","dress"
"sky","heavenly","heatewan","vdy","sky","heavenly"
"slave","servo","atovo","fólve","slave","servant"
"smart","intelixente","inteliamañarte","bhart","smart","intelligent"
"smash","break","schak","smogh","smash","break"
"smoke","cigarro","ciclónro","cotke","smoke","cigar"
"snacks","xantar","pistar","lsacks","snack","lunch"
"só","lonely","lodolf","rb","alone","lonely"
"sober","borracho","borrazóns","soche","sober","drunk"
"sobre","paquete","paplante","sodeu","envelope","package"
"sociedade","comunidade","comudesherdade","amañarciedade","society","community"
"sofá","cama","perma","sooyi","sofa","bed"
"soft","amable","amanei","sopó","soft","gentle"
"software","ordenador","ordenacións","goldware","software","computer"
"soldier","warrior","aboirior","apéndier","soldier","warrior"
"sombra","dark","danu","sommou","shadow","dark"
"sopa","ensalada","entroullada","sorio","soup","salad"
"sorpresa","decepción","deceprías","reimpresa","surprise","disappointment"
"sorriso","rir","wer","gañariso","smile","laugh"
"south","norte","miste","sovih","south","north"
"southern","western","oputern","southenu","southern","western"
"spider","insecto","inprésto","avíder","spider","insect"
"spring","outono","aristono","yering","spring","autumn"
"spy","traidor","traizóa","oky","spy","traitor"
"squirrel","raccoon","kjelcoon","squircro","squirrel","raccoon"
"stamp","sinatura","sinaciónsra","styap","stamp","signature"
"stand","sit","urt","giand","stand","sit"
"stay","permanecer","permanegróns","stnk","stay","remain"
"stick","hammer","submer","stwok","stick","hammer"
"subestimar","esaxerar","esaxeción","subesticións","underestimate","exaggerate"
"subir","saltar","xeitar","sutus","climb","jump"
"submarino","barco","vosco","tíñanmarino","submarine","boat"
"substituír","substituíndo","substiaplaudo","substinard","replace","substitute"
"suck","lamber","folber","anck","suck","lick"
"suficiente","suficiente","surenskyciente","surenskyciente","enough","sufficient"
"sufrimento","dor","brr","suigualmento","suffering","pain"
"sufrir","morrer","morxan","sucaia","suffer","die"
"suicidio","asasinato","prohisinato","exercidio","suicide","murder"
"sum","cantidade","prohitidade","aim","sum","amount"
"sunset","dawn","daco","sunpro","sunset","dawn"
"superman","batman","kurman","supersiña","superman","batman"
"supernatural","paranormal","paranorquiño","sutrukhinatural","supernatural","paranormal"
"suscar","asustado","electado","tancar","scare","frighten"
"swallow","mastigar","efectigar","calylow","swallow","chew"
"tabaco","cigarro","ciclónro","tacrosco","tobacco","cigarette"
"tablet","pill","pigg","tatrot","tablet","pill"
"táboa","cadeira","caríanra","táard","table","chair"
"talleres","garaxe","gararían","asisleres","workshop","garage"
"tamaño","lonxitude","amañaxitude","tamois","size","length"
"tank","motor","morei","tagh","tank","engine"
"tarde","cedo","gándo","bunde","late","early"
"task","mission","opresion","taes","task","mission"
"tattoo","scar","owar","frútoo","tattoo","scar"
"taxi","limusine","transmusine","orixi","taxi","limousine"
"técnico","mecánica","meniñosnica","asernico","technical","mechanical"
"tecnoloxía","ciencia","cienfron","afronnoloxía","technology","science"
"teenage","adolescente","queillescente","teenakushi","teenage","teenager"
"telegram","carta","prota","teleplex","telegram","letter"
"telescopio","microscopio","miguiñacopio","teatrancopio","telescope","microscope"
"temple","mosteiro","moschosro","asuple","temple","monastery"
"teña en conta","entender","entención","teña en cchaft","realize","understand"
"tenant","patrón","paseán","teners","tenant","landlord"
"tenda","tenda","cóida","cóida","shop","store"
"tentar","intento","incristo","axutar","try","attempt"
"terapia","tratamento","exhortamento","teraburg","therapy","treatment"
"terceiro","en cuarto lugar","en cuarto chersky","consceiro","third","fourth"
"termina","aeroporto","aerotransto","consmina","terminal","airport"
"terremoto","explosión","explorarl","amañaremoto","earthquake","explosion"
"terrible","horrible","planrible","terrición","terrible","horrible"
"tesouro","riqueza","riapraza","terailro","treasure","wealth"
"testemuña","testemuño","testetong","testenhem","witness","testimony"
"texto","poema","atraema","mitto","text","poem"
"thousand","cen","eín","thouvóns","thousand","hundred"
"ticket","pasaporte","pasaqueilte","umsket","ticket","passport"
"tío","pai","nii","aqo","uncle","dad"
"típico","clásico","amansico","aconpico","typical","classic"
"tiro","shoot","tumot","amoro","shot","shoot"
"tolemia","estupidez","estupilangs","toletrei","madness","stupidity"
"tool","instrumento","instruquiñoto","tones","tool","instrument"
"top","bottom","huntom","fip","top","bottom"
"tormento","tortura","queitura","torliuato","torment","torture"
"torneo","match","shech","torxan","tournament","match"
"torre","construción","atratrución","camre","tower","building"
"tose","febre","fedeu","reuse","cough","fever"
"total","completa","comadapta","topis","total","complete"
"tour","concert","condeño","tobe","tour","concert"
"tour","hard","haea","tobe","tough","hard"
"traer","send","sert","lauer","bring","send"
"tráiler","van","rín","tráitao","trailer","van"
"trampa","bait","barl","choupa","trap","bait"
"tranquilo","calma","fórma","aforquilo","quiet","calm"
"trash","garbage","plumbage","isash","trash","garbage"
"tren","bus","nys","boen","train","bus"
"tribunal","xuíz","xukr","tribucles","court","judge"
"trigger","activar","actituín","bruzger","trigger","activate"
"tripulación","buque","bucou","tripulazarhe","crew","ship"
"trophy","medal","meres","tropoc","trophy","medal"
"trouble","problema","proacálma","trousos","trouble","problem"
"truco","joke","joxas","ocúco","trick","joke"
"true","real","regri","tryi","TRUE","real"
"trust","crer","iger","trput","trust","believe"
"túbulo","egoísta","trotsta","coinbulo","stubborn","selfish"
"tumor","cancro","canrel","turás","tumor","cancer"
"turno","xirar","xinei","conno","turn","rotate"
"ufo","alien","baren","ímo","ufo","alien"
"un","tres","píes","mé","one","three"
"unidade","división","diviches","cluídade","unit","division"
"universo","galaxy","gabray","presverso","universe","galaxy"
"urxente","emerxencia","asigxencia","urtiuste","urgent","emergency"
"útil","eficaz","efivet","jsil","useful","effective"
"vagina","penis","pegán","vaadorna","vagina","penis"
"valioso","é importante","rañanmportante","grizzlioso","valuable","important"
"valor","prezo","beizo","vanes","value","price"
"valve","ventilación","ventiladaíña","guave","valve","ventilation"
"vasos","cap","epp","variá","glasses","cap"
"vehículo","car","yor","screculo","vehicle","car"
"vein","arteria","arteches","vezo","vein","artery"
"vendedora","comprador","comthéodor","plourdedora","seller","buyer"
"vento","storm","stcum","pleto","wind","storm"
"ver","reunirse","reutrúese","uír","see","meet"
"verán","inverno","inríanno","veses","summer","winter"
"verde","orange","friuge","pónde","green","orange"
"vermello","amarelo","ocórrelo","vergoñalo","red","yellow"
"victory","derrota","consrota","seitory","victory","defeat"
"viño","champagne","reinpagne","vidí","wine","champagne"
"virus","infección","infecrías","vibai","virus","infection"
"vista","perspectiva","bañarpectiva","haita","view","perspective"
"vítima","atacante","frescante","acústima","victim","attacker"
"viuda","muller","griler","tonda","widow","woman"
"vivo","dead","desíg","vigai","alive","dead"
"voluntariado","voluntariamente","inequívoluntariamente","voluntariadorothée","volunteer","voluntarily"
"voz","acento","ciénto","ltz","voice","accent"
"wail","sink","sise","watt","toilet","sink"
"wall","fence","térce","brll","wall","fence"
"war","battle","duntle","jer","war","battle"
"washington","boston","saúton","washingvas","washington","boston"
"west","east","eaji","weci","west","east"
"whisky","vodka","isóka","whisné","whiskey","vodka"
"window","porta","camta","wintud","window","door"
"word","sentenza","senapraza","woci","word","sentence"
"worm","snake","eeuke","wods","worm","snake"
"xa","still","haill","lé","already","still"
"xerador","reactor","reacclón","xeraches","generator","reactor"
"xeral","coronel","corochou","xelou","general","colonel"
"xeralmente","normalmente","nortreñimente","xeralkoshite","normally","usually"
"xerente","xefe","xeris","xemoslte","manager","boss"
"xestión","administrativo","adminislingüístivo","bontión","management","administrative"
"xestionar","ter éxito","ter éxflans","prohítionar","manage","succeed"
"xogar","xogo","dango","xocho","play","game"
"xornalismo","política","poatractica","xornalismonastyrsky","journalism","politics"
"xuño","xullo","gaslo","seño","june","july"
"xurar","xuramento","xurabuñarto","xugos","swear","oath"
"xurisdicción","autoridade","autodesherdade","xurisdicbourg","jurisdiction","authority"
"xuventude","infancia","inexipcia","xuvenciónsde","youth","childhood"
"zombie","vampire","anorpire","ulibie","zombie","vampire"
"zoo","circo","níaco","fro","zoo","circus"
