"sl_target","sl_cue","sl_fake_cue","sl_fake_target","en_cue","en_target"
"ogromen","big","oog","ogrožna","big","huge"
"ohranite","ohraniti","dnevniti","dnevnite","preserve","maintain"
"oil","premoga","vljamoga","ejl","coal","oil"
"oklep","shield","upaeld","okolp","shield","armor"
"okoli","kroga","winga","grili","round","around"
"oktober","september","otretember","oktogram","september","october"
"okužbe","virus","vizer","obilbe","virus","infection"
"omaka","krema","tolma","simka","cream","sauce"
"omara","kabinet","kabitvah","ubora","cabinet","closet"
"operacija","delujejo","deusmerjejo","zmanjracija","operate","surgery"
"opis","profil","proers","nuis","profile","description"
"opredelitev","koncept","konfast","vkljudelitev","concept","definition"
"opremiti","oprema","strama","stnimiti","equipment","equip"
"oprostite","oprostite","pljustite","pljustite","forgive","excuse"
"orange","zelena","zestična","kromge","green","orange"
"orbit","planet","plašil","orvor","planet","orbit"
"organ","pristojnost","pribljenost","orlim","jurisdiction","authority"
"organizirajte","uradite","abuddite","organizibénédicte","arrange","organize"
"orožje","steal","ksual","okvije","steal","rob"
"orožje","pistol","pidrov","okvije","pistol","weapon"
"osamljen","sam","pem","dokmljen","alone","lonely"
"osebnost","znak","quak","enernost","character","personality"
"osredotočiti","focus","fovid","riccardotočiti","focus","concentrate"
"ostanite","ostanite","vščinite","jajčnite","stay","remain"
"osumljenca","dvom","ohom","osustvarca","doubt","suspect"
"osveži","svež","svax","zgraži","fresh","refresh"
"otrok","baby","banec","akrok","baby","child"
"otroštvo","mladi","spedi","stništvo","youth","childhood"
"označuje","točka","ralka","charčuje","point","indicate"
"paket","ovojnico","membnico","pabaj","envelope","package"
"palec","s prstom","tnarstom","pajal","finger","thumb"
"paluba","kabina","zdrobina","paškroba","cabin","deck"
"paradižnik","krompir","kromnez","paradipljen","potato","tomato"
"paranormal","nadnaravno","ključnaravno","paranorstnih","supernatural","paranormal"
"parfum","šminka","okenka","parvsu","lipstick","perfume"
"patrol","stražar","strasia","paprek","guard","patrol"
"penis","vagina","vaknjena","peški","vagina","penis"
"perfect","idealno","učinalno","permint","ideal","perfect"
"pero","papir","parey","burro","paper","pen"
"perspektiva","pogled","posten","peratlantiva","view","perspective"
"pesem","album","alcvo","pečih","album","song"
"pesem","besedilo","besežnjevlo","pečih","text","poem"
"pijan","trezen","trepom","pites","sober","drunk"
"pilot","astronavt","astrošanj","pimek","astronaut","pilot"
"pisanje","branje","mahnje","pisablan","reading","writing"
"pisatelj","pesnik","petnež","pisachsa","poet","writer"
"pištolo","rifle","rixas","pizmlelo","rifle","gun"
"pivo","pijača","pijasnje","ogovo","drink","beer"
"plače","penzion","okrazion","konče","pension","salary"
"plamen","ogenj","brenj","platov","fire","flame"
"plastic","cement","celand","platnis","cement","plastic"
"plate","bowl","bodum","konte","bowl","plate"
"plavati","utonil","vamnil","stvovati","drown","swim"
"plenilec","plen","žven","pleništva","prey","predator"
"ples","plesalec","plesanjar","lies","dancer","dance"
"pobeg","poleti","posprati","potlu","flee","escape"
"poceni","drago","vergo","postopni","expensive","cheap"
"počitnice","božič","bodol","počimljence","christmas","holiday"
"podedovano","dediščina","dedickensna","poriccardovano","heritage","inherit"
"podgana","miška","minij","vskegana","mouse","rat"
"podpis","žig","edg","podjec","stamp","signature"
"pogosto","včasih","kadsih","pogotnih","sometimes","often"
"pogreb","krsto","krnel","ponroe","coffin","funeral"
"point","wc","mô","počun","toilet","sink"
"pojdi","vnesite","esposite","uridi","enter","go"
"poker","iger na srečo","iger na sstonj","ponja","gambling","poker"
"pokopališče","grob","gruh","pokopalistnost","grave","cemetery"
"poldneva","polnoči","breznoči","polzljiva","midnight","noon"
"politično","kritično","krivljeno","polikšnemno","critical","political"
"politik","politika","polispletka","polikšne","policy","politician"
"politika","novinarstvo","novinarvljen","poliigračka","journalism","politics"
"polkovnik","general","geneslji","brezkovnik","general","colonel"
"poln","prazno","pradla","poji","empty","full"
"položaj","stanje","tuhnje","polotnim","status","position"
"pomembno","dragocena","obljugocena","potrično","valuable","important"
"pomembnost","pomeni","posprani","pospolnost","meaning","importance"
"pomilovanja vreden","nesrečen","neključen","pomilovanja vrbuquerque","miserable","pathetic"
"pomoč","pomoč","poklu","polee","help","assist"
"pomoč","podpora","brezpora","polee","support","assistance"
"pomočnik","sekretar","sekrednim","potravnik","secretary","assistant"
"popoln","skupaj","skugne","pomlin","total","complete"
"popolnoma","popolnoma","poskrivnoma","poskrivnoma","absolutely","completely"
"popravilo","popravi","pomembvi","posteljvilo","fix","repair"
"porabite","odpadki","odstreki","poobljubite","waste","spend"
"poraz","victory","vicdost","popii","victory","defeat"
"poročen","sam","pem","poroskih","single","married"
"poročnik","narednik","narester","pospranik","sergeant","lieutenant"
"poroka","ločitev","ločiklub","pomanjka","divorce","marriage"
"poroka","zagotavljanje","zagotavljastwood","pomanjka","engagement","wedding"
"posameznika","oseba","disba","posamestreščka","person","individual"
"poškodbe","rana","tična","posvatbe","wound","injury"
"poskus","poskusite","poexcelsite","posled","try","attempt"
"pošlji","prinesi","vljenesi","poplin","bring","send"
"poslovanje","industrija","induvzburja","potryabvanje","industry","business"
"poslušajte","poslušaj","poslustne","pozmanjšajte","listen","hear"
"posojilo","kredit","kretni","posoastrolo","credit","loan"
"postaja","platforma","oporforma","pozmerja","platform","station"
"postelja","kavč","kaaą","postephen","sofa","bed"
"pošten","dostojnik","donjalnik","poklin","decent","honest"
"poštenost","zvestoba","zvebrazba","poštetjem","loyalty","honesty"
"postopek","postopek","postoting","postoding","process","procedure"
"pot","pot","irt","ret","route","path"
"poteg","potisnite","potivljajte","pould","push","pull"
"potni list","vozovnice","vovljalnice","potnidrilj","ticket","passport"
"potrdite","potrditev","potrdivščin","pouskladite","confirmation","confirm"
"potreba","potrebno","postavno","poosvoba","necessary","need"
"povej","reči","rekon","podru","say","tell"
"povezava","kontakt","konflot","povezaključ","contact","connection"
"površina","layer","lachi","povrključna","layer","surface"
"pozdravi","čestitajte","čestilwellte","idendravi","congratulate","greet"
"prah","pepel","pešaš","pryc","ash","dust"
"praktično","dobesedno","dobesegljiv","sheltično","literally","practically"
"pranje","čisto","čilja","stenje","clean","wash"
"prašič","krava","tvova","praleg","cow","pig"
"prav","nezakonito","nezakobecketto","prrm","illegal","legal"
"pravilno","narobe","narokrat","prastveno","wrong","correct"
"pravosodje","maščevanje","mastljivanje","pravozkrižje","revenge","justice"
"predanost","fidelity","fitzwillity","predavlje","fidelity","devotion"
"predavanje","seminar","semiljem","chmondavanje","seminar","lecture"
"predlagam","predlaga","prešnjega","predlasnih","propose","suggest"
"predmet","predmet","preddie","predlij","object","subject"
"predpostavka","zaključek","zaobroček","predpovzklika","conclusion","assumption"
"predsednik","tabela","tavzarla","predsestav","table","chair"
"predsednik","kancler","kanzlic","predsestav","chancellor","president"
"preiskava","pregledati","prerokbidati","preištljiva","examine","investigate"
"preiskovalec","analitik","analikšne","preiskovastnost","analyst","investigator"
"premor","smash","phish","predri","smash","break"
"prenos","premakni","premagram","previi","move","transfer"
"prepovedati","prepovedano","ustvarpovedano","ustvarpovedati","forbidden","prohibit"
"prestol","crown","jimwn","prespar","crown","throne"
"prestrašiti","prestrašiti","prerokbošiti","prerokbošiti","scare","frighten"
"preteklost","prihodnost","prihoggett","preteforth","future","past"
"pretirano","podcenjevati","lawrencenjevati","atlantirano","underestimate","exaggerate"
"preveri","preverite","stljaverite","dljiveri","check","verify"
"preživeli","živi","dravi","obljuživeli","live","survive"
"prezračevanje","ventil","ptitil","prezračevasworth","valve","ventilation"
"približno","ven","xon","prioranžno","out","about"
"pričakovati","počakati","pospletkati","ustvarčakovati","wait","expect"
"pričanje","priča","upoča","pričastni","witness","testimony"
"pridi","prihod","prippy","študi","arrive","come"
"priimek","vzdevek","ozonvek","priirist","nickname","surname"
"prijatelj","sodelavec","sodelastnik","prijaškem","colleague","friend"
"prijateljstvo","odnos","odbek","prijaigralstvo","relationship","friendship"
"prijazno","vljudni","uličdni","prijaških","polite","friendly"
"prijetno","udobno","trebno","prijenjem","comfortable","pleasant"
"primarno","sekundarno","sekunključno","prignjeno","secondary","primary"
"princ","princesa","osvecesa","prejc","princess","prince"
"pripravite se","pripravljen","pripravšnji","pripravitechcock","ready","prepare"
"pristanišče","zaliv","zapem","pristaničljiv","bay","harbor"
"pritisk","pulse","veise","pritral","pulse","pressure"
"pritisnite","gumb","guzz","pritivljajte","button","press"
"privlačijo","pozornost","pozorstvo","priustrečijo","attention","attract"
"priznava","priznaj","pribelj","priskriva","admit","confess"
"problem","težava","tedljiva","prosmeh","trouble","problem"
"prodaj","kupite","predpite","promni","buy","sell"
"prodaja","dražba","fronba","ogledaja","auction","sale"
"profesor","dekan","debim","profežnic","dean","professor"
"program","project","prošetk","proškim","project","program"
"proizvajajo","ustvarite","atlanrite","proiführerjajo","create","produce"
"proizvodnja","tovarna","tostvena","proizvovskih","factory","production"
"prošnja","povpraševanje","obrambpraševanje","prožnih","demand","request"
"prost","prosto","prolja","print","freely","free"
"prostovoljno","prostovoljca","prostoobrazca","prostoastrono","volunteer","voluntarily"
"protokol","pravilo","dljivilo","protostja","rule","protocol"
"prototip","model","mosto","protozard","model","prototype"
"prsni koš","želodec","želotnim","prsnishad","stomach","chest"
"prstni odtis","dna","yea","prstni oklyna","dna","fingerprint"
"prvenstvo","tekmovanje","obljumovanje","prvenport","competition","championship"
"psihologija","anatomija","ustretomija","obrambhologija","anatomy","psychology"
"psihološki","medical","medivsko","psiholomljen","medical","psychological"
"ptica","butterfly","butterjard","dilca","butterfly","bird"
"puran","chicken","chiclin","puhom","chicken","turkey"
"pustiti","dovolite","doustrelite","puvljati","allow","let"
"put","vstavi","ogrovi","iht","insert","put"
"race","maraton","marapevt","stice","marathon","race"
"računalnik","programska oprema","programska oprlystock","račuoskrbnik","software","computer"
"rak","tumor","turii","hok","tumor","cancer"
"raketa","rocket","kerket","ravljata","rocket","missile"
"rakun","veverica","vednostrica","raird","squirrel","raccoon"
"ransom","ugrabitelj","ugrabiškem","rantal","kidnapper","ransom"
"razočaranje","presenečenje","presenečesworth","razočarastwood","surprise","disappointment"
"razstava","galerija","gaustvarija","razdljiva","gallery","exhibition"
"razumeti","se zavedajte","se zavedaksnost","razuatlanti","realize","understand"
"razumno","pošteno","popravno","razunjih","fair","reasonable"
"razvoj","napredek","naprevost","radsor","progress","development"
"reaktor","generator","generabljen","reakskem","generator","reactor"
"real","prav","pryc","rezno","TRUE","real"
"realističen","optimist","optistoj","realististljiv","optimistic","realistic"
"redko","občasno","občanjem","zbuko","occasionally","rarely"
"religija","filozofija","filozoustvarja","relikšnemja","philosophy","religion"
"res","pravzaprav","pravzastru","wns","actually","really"
"restavracija","gostilna","gookrona","rebeccinvracija","pub","restaurant"
"ribe","morski pes","morskinanc","rilih","shark","fish"
"ribolov","lov","šev","ribotreb","hunting","fishing"
"rich","slabo","parbo","riat","poor","rich"
"ride","drive","watve","skode","drive","ride"
"rim","cezar","cedez","olm","caesar","rome"
"robček","tkanina","učilnina","pilček","cloth","handkerchief"
"rojstni dan","obletnica","startnica","rojstnitrič","anniversary","birthday"
"roka","roka","dnika","dnika","hand","arm"
"romantic","dramatično","ognjematično","romandley","dramatic","romantic"
"rop","kraja","pirja","imp","theft","robbery"
"rumena","rdeča","skrča","rustična","red","yellow"
"sabotaža","wspionage","ohrovonage","sabotaknjen","espionage","sabotage"
"sadje","apple","myple","vpaje","apple","fruit"
"sail","sidro","sivov","sagom","anchor","sail"
"sailor","pirate","pirablja","jitlor","pirate","sailor"
"šala","trik","trum","obela","trick","joke"
"samostan","temple","temfon","samoškim","temple","monastery"
"samostan","sirotišnica","sirotilawrenca","samoškim","orphanage","convent"
"samurai","ninja","nison","samupjem","ninja","samurai"
"sand","blato","hunto","saay","mud","sand"
"satellite","radar","ramem","saffronlite","radar","satellite"
"scandal","opravljanje","brezvljanje","clasdal","gossip","scandal"
"sčasoma","končno","vlačno","faulsoma","finally","eventually"
"še vedno","že","dy","še vkall","already","still"
"sebično","trmast","trbaum","seuravno","stubborn","selfish"
"secure","sef","hof","znancure","safe","secure"
"sedež","base","bavar","seant","base","headquarters"
"šef","upravitelj","upraviškem","dif","manager","boss"
"senat","parlament","parladnom","sebek","parliament","senate"
"senator","guverner","guverstni","senavlja","governor","senator"
"sermon","govor","gotes","serdar","speech","sermon"
"sestanek","konferenca","konfevljavca","sestaštva","conference","meeting"
"sevanje","kontaminacija","graystotaminacija","sevarant","contamination","radiation"
"sever","južno","upano","sekaš","south","north"
"shoot","strel","merel","araot","shot","shoot"
"shrani","reševanje","reševastvom","oslani","rescue","save"
"šibka","močna","karna","ganka","strong","weak"
"signal","frekvenca","freigrica","siskaš","frequency","signal"
"sila","moč","ršč","najla","strength","force"
"silver","zlato","ožito","črever","golden","silver"
"simbol","oznaka","dnjaka","simdak","flag","symbol"
"sin","hči","wri","enn","daughter","son"
"sindrom","simptom","živčtom","sinklon","symptom","syndrome"
"sip","padec","pajan","imp","drop","sip"
"širok","ozko","spoko","šižah","narrow","wide"
"sistem","network","netrost","vditem","network","system"
"sit","stand","neand","itt","stand","sit"
"skrbi","skrb","skxi","urabi","concern","worry"
"skrij","pokrov","poznom","chrij","cover","hide"
"skrivnost","skrivnost","zdravnost","skončnost","secret","mystery"
"skromna","ponižen","ponišnic","skroeld","humble","modest"
"skupina","tolmarji","tolbližji","predpina","gang","group"
"skupnost","društvo","čništvo","hlepnost","society","community"
"slab","dobro","dotič","thab","good","bad"
"slabost","driska","ozeska","slatret","diarrhea","nausea"
"slanina","toast","tosut","dnevnina","toast","bacon"
"slasten","okusno","klosno","slaškem","tasty","delicious"
"slava","slavno","klinno","hajva","glorious","glory"
"slavni","popularno","popuvstveno","klinni","popular","famous"
"slikar","umetnik","rantnik","slilie","artist","painter"
"slovesnost","ritual","ritualbuquerque","slovenwood","ritual","ceremony"
"služabnik","suženj","suming","slusrečnik","slave","servant"
"služkinja","varuška","varubens","igrakinja","nanny","maid"
"smeh","nasmeh","nasexa","yoeh","smile","laugh"
"smer","nujno","grano","smru","urgent","emergency"
"smešno","witty","ihaty","moršno","witty","funny"
"smeti","trash","glish","opati","trash","garbage"
"snake","črv","zav","rajke","worm","snake"
"sneg","dež","orž","snyd","rain","snow"
"snemanje","record","reclja","snemastur","record","recording"
"sniper","strelec","vljalec","eveper","shooter","sniper"
"sočutje","potrpežljivost","potrpežljistljiv","sočudnih","patience","compassion"
"soda","limonada","liobravnada","pajda","lemonade","soda"
"sodnik","sodišče","soditelj","sovski","court","judge"
"sok","mleko","udoko","etk","milk","juice"
"šola","razred","rahlep","opela","class","school"
"solar","lunar","ludeš","sodes","lunar","solar"
"solata","juha","juješ","sozrihta","soup","salad"
"sonce","luna","žična","škice","moon","sun"
"sonda","kapsula","željsula","larda","capsule","probe"
"sound","hrup","ioup","sojil","noise","sound"
"špageti","lazanja","lazaplem","osemgeti","lasagna","spaghetti"
"spalnica","soba","sonom","utrinica","room","bedroom"
"spanje","padec","pajan","kurnje","fall","collapse"
"spanje","počitek","počidnih","kurnje","rest","sleep"
"specialist","strokovnjak","strokovsnil","speciasnjen","expert","specialist"
"spektakularno","senzacionalna","senzacionalnagravžno","obrambtakularno","sensational","spectacular"
"spirit","duša","rejša","glerit","soul","spirit"
"spodaj","vrh","ith","spoliš","top","bottom"
"spor","konflikt","konfajst","cror","conflict","dispute"
"sporazum","pogodba","poosvoba","sporascev","contract","agreement"
"sporočilo","joga","ščega","obljuročilo","yoga","massage"
"sporočilo","opozorilo","ustrezorilo","obljuročilo","warning","message"
"šport","herby","simby","oxort","hobby","sport"
"sposobnost","kapaciteta","kathleenciteta","sposobskih","capacity","ability"
"sprehod","dremež","drefro","spremel","nap","stroll"
"sprejmi","zavrni","zastični","objekmi","refuse","accept"
"spremljati","spremstvo","skrunstvo","spreprakti","escort","accompany"
"srčkan","sweet","lenet","srčgov","sweet","cute"
"srečati","glejte","grinte","egipčati","see","meet"
"srečna","zadovoljni","zadooskruni","adrena","satisfied","happy"
"starš","odrasli","odranjen","stvoš","adult","parent"
"stavba","stolp","stavp","brazba","tower","building"
"stavek","beseda","dvajseda","starah","word","sentence"
"stavek","slovar","slolek","starah","dictionary","phrase"
"stavke","hit","ket","sklike","hit","strike"
"štedilnik","pečica","oblačica","štestavnik","oven","stove"
"steklenica","glass","žoass","stezdravnica","glass","bottle"
"štiri","dva","gma","sonri","two","four"
"sto","tisoč","titun","nčo","thousand","hundred"
"strah","groza","cheza","kerah","horror","fear"
"strast","navdušenje","navduševskih","stracu","enthusiasm","passion"
"strategija","načrt","namax","oglejtegija","plan","strategy"
"street","avenue","avesak","brezet","avenue","street"
"stroj","robot","ropri","črroj","robot","machine"
"strokovnjak","amater","menter","strokovsnil","amateur","professional"
"struktura","piramida","piramišljen","ostantura","pyramid","structure"
"študija","raziskave","razichertve","oblidija","research","study"
"style","ritem","riraj","cudle","rhythm","style"
"super","odlično","skončno","sukat","excellent","great"
"sveča","svetilka","sveznačka","upoča","lamp","candle"
"svetovanje","nasvet","nasham","atlantovanje","advice","advise"
"tabletke","tablični računalnik","lockhartablični računalnik","tazajčke","tablet","pill"
"talent","potencial","potencialbuquerque","tacist","potential","talent"
"tam","tukaj","tumom","omm","here","there"
"teden","mesec","metuj","telov","month","week"
"tedensko","dnevno","hčerno","tegnilsko","daily","weekly"
"tehnika","metoda","mesklada","dravnika","method","technique"
"telefon","pokliči","pomembči","teleplja","call","telephone"
"televizija","radio","racma","televiustvarja","radio","television"
"temno","shadow","shalež","telju","shadow","dark"
"temperatura","heat","hepha","graysoperatura","heat","temperature"
"tenis","golf","gogi","teram","golf","tennis"
"teorija","ideja","stija","teoznostja","idea","theory"
"test","poskus","poseln","teuf","experiment","test"
"težko","težko","čajko","creko","tough","hard"
"think","upoštevajte","upoštestinkte","guink","consider","think"
"tišina","tiho","tidek","tisnjena","silent","silence"
"tkivo","kožo","kočje","astvo","skin","tissue"
"to","kaj","alj","dy","what","that"
"torba","škatla","škalio","memba","box","bag"
"torek","ponedeljek","ponedegwood","tonio","monday","tuesday"
"tornado","hurricane","vglavricane","vščinado","hurricane","tornado"
"tovor","load","loler","tobit","load","cargo"
"tožilec","odvetnik","odveslaj","tožitnih","lawyer","prosecutor"
"tradicionalno","moderna","moobilna","tradicioverthisno","modern","traditional"
"tragična","sad","ozd","trabrenna","sad","tragic"
"trgovina","trgovina","trgoobravna","trgoobravna","shop","store"
"tri","eno","xio","uii","one","three"
"trial","zaslišanje","zazmanjšanje","steal","hearing","trial"
"triangle","krog","luog","trianstov","circle","triangle"
"triple","double","doustra","trichi","double","triple"
"truck","jeep","jeho","trlek","jeep","truck"
"tunel","most","mous","tumiš","bridge","tunnel"
"turtle","polž","pott","turhov","snail","turtle"
"ubežnik","begunec","beguglal","jeržnik","refugee","fugitive"
"ubiti","strup","storp","septi","poison","kill"
"učinek","vpliva","uporva","učield","influence","effect"
"učinkovito","koristno","koriščem","vkljukovito","useful","effective"
"učite","naučite se","naučitestownu","tarte","learn","teach"
"učitelj","študent","štuness","krutelj","student","teacher"
"ugled","kariera","kariednjič","efled","career","reputation"
"uho","oči","fii","lzo","eye","ear"
"ujemanje","turnir","turgus","osvomanje","tournament","match"
"ulov","zgrabi","osvebi","siov","grab","catch"
"ultimate","končno","vlačno","skrivtimate","final","ultimate"
"umazano","nasty","naške","sklezano","nasty","filthy"
"umetna","naravni","naveljni","hratna","natural","artificial"
"umor","samomor","samoščaš","švor","suicide","murder"
"uničenje","ustvarjanje","lutherjanje","strečenje","creation","destruction"
"uniforma","badge","vrčge","streforma","badge","uniform"
"univerza","college","osvalege","unifranza","college","university"
"upirajte se","odpornost","odporščak","upirajtestrij","resistance","resist"
"uporaba","nanesite","naključsite","straraba","apply","use"
"upram","upravljanje","kljuvljanje","smram","management","administrative"
"uradnik","uradno","nemdno","tvednik","officially","official"
"urine","krva","njeva","gajne","blood","urine"
"urnik","koledar","koleljev","urjem","calendar","schedule"
"usodna","smrtonosno","smrtonovljen","usoram","deadly","fatal"
"uspeh","upravljanje","kljuvljanje","usohh","manage","succeed"
"ustava","zakon","zagij","tljava","law","constitution"
"ustavi","preprečiti","prevključiti","franvi","prevent","stop"
"ustvarjalnost","domišljija","domioscarja","ustvarjalskih","imagination","creativity"
"vaba","past","panc","vajev","trap","bait"
"vaja","praksa","pramet","valec","practice","exercise"
"vampire","zombi","rečbi","ohlapire","zombie","vampire"
"vanilija","cimet","citra","vaniukvarja","cinnamon","vanilla"
"varnost","varnost","sebnost","tičnost","security","safety"
"vas","kamp","kaev","jls","camp","village"
"včeraj","danes","datha","imuraj","today","yesterday"
"večer","noč","ršč","vežgi","night","evening"
"vedel","prepoznati","prepostripti","vejaš","recognize","knew"
"vedeti","zdaj","yeaj","veusmrti","now","know"
"velikodušno","sočuten","sočudnih","velikodustljiv","compassionate","generous"
"venus","mars","maža","vefer","mars","venus"
"vera","upam","očam","apara","hope","faith"
"verjeti","zaupanje","zaupatrick","franjeti","trust","believe"
"verjetno","verjetnost","verjecljal","verjemlje","probability","likely"
"verjetno","morda","čemda","verjemlje","maybe","probably"
"verjetno","pojasnilo","pojamccullo","verjemlje","explanation","plausible"
"veselje","užitek","škotek","vesestan","pleasure","joy"
"vhod","izhod","iztru","uood","exit","entrance"
"video","dvd","hyd","vilai","dvd","video"
"višina","utež","utpd","zgrešina","weight","height"
"visokost","veličanstvo","veličanvljen","visomers","majesty","highness"
"vitamin","beljakovine","beljakoobrambne","vitatost","protein","vitamin"
"vizija","razodetje","razodericks","splozija","revelation","vision"
"vlada","administracija","administracijacquart","greda","administration","government"
"vodik","carbon","carret","volya","carbon","hydrogen"
"vodka","whisky","zdrsky","gunka","whiskey","vodka"
"vojaški","civilno","cipredno","vojagnje","civil","military"
"vojska","legion","legistru","nadska","legion","army"
"volitev","kampanja","drobpanja","volicist","campaign","election"
"volivca","kandidat","kandiking","vostarca","candidate","voter"
"vonj","okus","okle","voac","taste","smell"
"voznik","potnik","postla","vozskem","passenger","driver"
"vprašaj","vprašanje","osvošanje","vpracih","question","ask"
"vrat","grlo","neilo","vrve","throat","neck"
"vrata","okno","irno","zmeta","window","door"
"vrata","portal","pornic","zmeta","portal","gate"
"vreden","zasluži","zahvalži","oboden","deserve","worthy"
"vrednotenje","opazovanje","ustrezovanje","vrebljajtenje","observation","evaluation"
"vrnite se","nazaj","nakom","vrniteharth","back","return"
"vročina","kašelj","karold","sklačina","cough","fever"
"vrv","veriga","veriščih","lav","chain","rope"
"vsebina","vsebujejo","obljubujejo","gradbina","contain","content"
"vzdrževanje","service","kljuvice","obljuževanje","service","maintenance"
"vzrok","razlog","raflji","esrok","reason","cause"
"warrior","vojak","vobol","usparior","soldier","warrior"
"watch","poglej","potraj","retch","look","watch"
"watson","sherlock","sherslom","vposon","sherlock","watson"
"web","internet","interhand","avb","internet","web"
"western","južni","upani","wethers","southern","western"
"whistle","horn","holl","whivelj","horn","whistle"
"wolf","medved","meddia","wome","bear","wolf"
"world","international","internatioruthers","wožid","international","world"
"write","preberite","uslužberite","baste","read","write"
"za vedno","večna","arina","za všlje","eternal","forever"
"zabava","recepcija","restrukcija","zaskriva","reception","party"
"zadaj","front","frazt","zašci","front","rear"
"zadnja","najprej","najpnih","zasnil","first","last"
"zagotoviti","omogoči","znangoči","zabeckettoviti","enable","provide"
"zajec","lisica","lisistič","zanam","fox","rabbit"
"zajtrk","večerja","veostaja","zajeya","dinner","breakfast"
"zaklepanje","key","azy","zaklepatrick","key","lock"
"zaključek","odpiranje","odpirastlin","zaubožček","opening","closure"
"zakon","gesta","gedno","zaseb","gesture","act"
"zakop","dig","žeg","zabul","dig","bury"
"zanimivo","razburljivo","razburkhartvo","zanimišljam","exciting","interesting"
"zapomni si","pozabi","pozaklju","zapomnithory","forget","remember"
"zapor","celica","vljalica","zadič","cell","prison"
"zapora","kazen","kapal","zapomemb","penalty","imprisonment"
"zapornika","talca","hruca","zaključnika","hostage","prisoner"
"zapri","odprto","odstanto","zafaš","open","close"
"zaprto","zaklenjeno","zakleskrivno","zastanto","locked","closed"
"zapustiti","dopust","doklet","zapuobjekti","leave","abandon"
"žarnica","žalitev","žalicist","vdihnica","insult","offend"
"zasebnost","zasebno","zagnjeno","zasebskih","private","privacy"
"zaupanje","spoštovanje","sposkrijvanje","zaupatrick","respect","confidence"
"zavetišče","zatočišče","zatočistost","zavetimnost","refuge","shelter"
"zavrti","obrat","turat","zaidenti","turn","rotate"
"zbrati","zberite","aspirite","vzgati","collect","gather"
"zdravilo","alkohol","alkošlji","oblevilo","alcohol","drug"
"zdravljenje","terapija","terabljenja","zdrastranje","therapy","treatment"
"zdravnik","kirurg","kibull","vljalnik","surgeon","doctor"
"žeja","lakota","laspekta","virja","hunger","thirst"
"želja","željo","ževec","žesto","desire","wish"
"zelo","zelo","mnolo","avalo","extremely","very"
"zemljevid","kompas","kombob","zeliščvid","compass","map"
"žena","mož","orž","marna","husband","wife"
"ženska","vdova","casva","smuska","widow","woman"
"ženska","moški","morom","smuska","male","female"
"zgonu","pozen","popal","obunu","late","early"
"zgornji","nižje","borje","klovnji","lower","upper"
"žica","kabel","kasih","žitev","cable","wire"
"zima","poletje","polexing","ljema","summer","winter"
"žival","zver","hrer","žitev","beast","animal"
"zjutraj","jutri","jukne","pirtraj","tomorrow","morning"
"zločina","sin","ejn","osrečina","sin","crime"
"zmaga","gay","ffy","pnega","gain","win"
"zmagovalec","zguba","floba","ustregovalec","loser","winner"
"zmanjšaj","porast","požanj","zmanjber","increase","reduce"
"zmede","chaos","sekos","carde","chaos","confusion"
"zmes","kombinacija","ustvarbinacija","kdes","combination","mixture"
"znak","oblika","klenka","znji","form","sign"
"znanje","izkušnje","izkuljiv","značil","experience","knowledge"
"znanost","tehnologija","graysonologija","čajnost","technology","science"
"znanstvenik","genius","genigold","znanpravnik","genius","scientist"
"znesek","vsota","rinta","whisek","sum","amount"
"zob","nail","nabru","šib","nail","tooth"
"zora","sončni zahod","sončni zknjan","zodej","sunset","dawn"
"zunanji","notranje","nobljenje","zunalašč","internal","external"
"župan","šerif","šecaš","žušel","sheriff","mayor"
"žuželka","pajek","bonek","žuoznaka","spider","insect"
"žvečiti","pogoltniti","pogolscvreti","igračiti","swallow","chew"
"zvest","loundation","lobedfordation","ckest","loyal","faithful"
"zvezda","slaven","thoven","knjida","celebrity","star"
