"hi_cue","hi_target","hi_fake_target","hi_fake_cue","en_cue","en_target"
"त्वचा","ऊतक","पञक","नऑवचा","skin","tissue"
"थका हुआ","भूखा","भूआध","थकतpppp","tired","hungry"
"थोड़ा","छोटा","छोआऐ","ज०ड़ा","little","small"
"दक्षिण","उत्तर","उतरओप","दकसस क","south","north"
"दक्षिण","वेस्टर्न","वेसएन०ए०","दकसस क","southern","western"
"दंड","कैद होना","कैज०म०म०","ترड","penalty","imprisonment"
"दयालु","उदार","उदधस","शनालु","compassionate","generous"
"दरार","छेद","८वद","दरએક","crack","hole"
"दर्ज","जाओ","નમओ","दरxj","enter","go"
"दर्शन","धर्म","धरલમ","दरबएव","philosophy","religion"
"दस लाख","एक अरब","मबईअरब","दसभ दख","million","billion"
"दस्त","जी मिचलाना","जी धpardhi","दसञश","diarrhea","nausea"
"दाई","नौकरानी","नौआर०ए०","ਕਵई","nanny","maid"
"दादा","दादी मा","hxदी मा","दाલન","grandfather","grandmother"
"दान पुण्य","दान","कlन","दानयmayur","charity","donation"
"दालचीनी","वनीला","वनचरा","दाआई०ड०","cinnamon","vanilla"
"दास","नौकर","pxकर","हऑस","slave","servant"
"दिमाग","सेरिब्रल","सेरष०पर०","réमाग","brain","cerebral"
"दिशा सूचक यंत्र","नक्शा","वज्शा","दिशा सशaddition","compass","map"
"दीपक","मोमबत्ती","मोमएन०ए०","ବରपक","lamp","candle"
"दीवार","बाड़","बाપર","kωवार","wall","fence"
"दुकान","दुकान","दुअशन","ભષकान","shop","store"
"दुखी","दयनीय","दयसआस","दुwf","miserable","pathetic"
"दुखी","दुखद","bgखद","दुwf","sad","tragic"
"दुर्भाग्य","दुर्भाग्य","दुरज०म०म०","दुरज०म०म०","unfortunate","misfortune"
"दुश्मन","प्रतिद्वंद्वी","प्रतिधpardhi","दुअलइन","enemy","opponent"
"दूत","मंत्री","ଋଷत्री","bzत","ambassador","minister"
"दूतावास","मंत्रालय","मंतआर०ए०","दूतpppp","embassy","ministry"
"दूध","रस","अष","शळध","milk","juice"
"दूरबीन","माइक्रोस्कोप","माइक्धpardhi","दूअलइन","telescope","microscope"
"दूरी","स्पीड","احपीड","hqरी","distance","speed"
"दूल्हा","दुल्हन","दुस हग","दूल्ऊछ","groom","bride"
"दूषण","विकिरण","विय		क","	iषण","contamination","radiation"
"दूसरा","मिनट","qqनट","यƨसरा","second","minute"
"दृढ़","एजेंसी","एजेंम३","दृমই","firm","agency"
"दृढ़ता से","दृढ़ता से","दृधpardhi","दृधpardhi","firmly","strongly"
"दृश्य","परिप्रेक्ष्य","परिप्धpardhi","qsश्य","view","perspective"
"देखना","घड़ी","घडoz","	fखना","look","watch"
"देखो","मिलना","टअलना","धथखो","see","meet"
"देर","शीघ्र","kqघ्र","iइर","late","early"
"देवदूत","शैतान","छथतान","देवupp","angel","devil"
"देश","राष्ट्र","राष०पर०","অসश","country","nation"
"दो","चार","ऽ	र","कऽ","two","four"
"दोहरा","ट्रिपल","ट्च०ड०","আৰहरा","double","triple"
"दौड़ना","टहल लो","टह	गलम","दौड़औट","run","walk"
"द्वार","द्वार","औऱवार","हङवार","portal","gate"
"धकेलना","खींचना","खींचsj","धकअलइन","push","pull"
"धड़कन","दबाव","दबईध","धडबएफ","pulse","pressure"
"धार्मिक संस्कार","समारोह","समएसस०","धार्मिशaddition","ritual","ceremony"
"धीरे","तेज़","vfज़","धीअओ","slow","fast"
"धीरे से","जल्दी जल्दी","जल्दधpardhi","mzरे से","slowly","quickly"
"धुआं","सिगार","ए०गार","धुऑस","smoke","cigar"
"धैर्य","दया","शना","धैपछय","patience","compassion"
"ध्यान","आकर्षित","आकरभ दख","ध्उदन","attention","attract"
"न काम की","बेकार","वझकार","न ज०म०म०","useless","worthless"
"नकद","धन","णड","धरद","cash","money"
"नंगा","नंगा","नंओज","लऱगा","nude","naked"
"नतीजा","परिणाम","पर	जमम","नतनता","result","outcome"
"नदी","झील","انल","लखी","river","lake"
"नमस्ते","अलविदा","अलभ दख","नमसibs","hello","bye"
"नमूना","प्रोटोटाइप","प्रधpardhi","laूना","model","prototype"
"नर","महिला","महगवा","णड","male","female"
"नर्तकी","नृत्य","ભરत्य","नरभ दख","dancer","dance"
"नवंबर","दिसंबर","दिसibs","नवटआन","november","december"
"नवल","बेड़ा","ह०ड़ा","stल","naval","fleet"
"नस","मांसपेशी","मातsunil","अष","nerve","muscle"
"नस","धमनी","धमठह","अष","vein","artery"
"नाखून","दांत","दाऑख","کوखून","nail","tooth"
"नागरिक","सैन्य","yfन्य","नासस क","civil","military"
"नाजुक","राजनीतिक","राजयbill","छधजुक","critical","political"
"नाज़ुक","संवेदनशील","संवेतpppp","लऐज़ुक","delicate","sensitive"
"नाटक","कॉमेडी","qvमेडी","نےटक","drama","comedy"
"नाटकीय","प्रेम प्रसंगयुक्त","प्रेम प्शaddition","नाय		क","dramatic","romantic"
"नाम","शीर्षक","शीत एक","वoम","name","title"
"नायक","रक्षक","रकलउज","ومयक","hero","savior"
"नाश्ता","दोपहर का भोजन","दोपहर धpardhi","नाश्खझ","snack","lunch"
"निगलना","चबाने","इगाने","नि	गलम","swallow","chew"
"निंजा","समुराई","समभ दख","jlंजा","ninja","samurai"
"निजी","गोपनीयता","गोपतpppp","यƨजी","private","privacy"
"नितंब","बट","षम","déतंब","ass","butt"
"नियंत्रण","हेरफेर करना","हेरफेज०म०म०","नियष०पर०","control","manipulate"
"नियम","मसविदा बनाना","मसविदधpardhi","कoयम","rule","protocol"
"निरीक्षक","आयुक्त","आयस हग","निरएन०ए०","inspector","commissioner"
"निर्माण","विनाश","बऐनाश","नितpppp","creation","destruction"
"निर्माण","निर्माण","नितajay","नितpppp","construction","build"
"निर्माता","निर्देशक","निरतpppp","निज०म०म०","producer","director"
"निषिद्ध","निषेध","फझषेध","निष०पर०","forbidden","prohibit"
"निष्कर्ष","कल्पना","कलसस क","निषए०एस०","conclusion","assumption"
"निष्ठा","ईमानदारी","ईमाष०पर०","निष्dq","loyalty","honesty"
"निष्ठावान","वफादार","वफगढ०२","निषज०म०म०","loyal","faithful"
"निष्पक्ष","यथोचित","यथणड०४","निषतpppp","fair","reasonable"
"नीचे","यूपी","यूयख","नीkω","down","up"
"नीति","राजनीतिज्ञ","राजनज०म०म०","ह०ति","policy","politician"
"नींबु पानी","सोडा","नऑडा","एदआंबु पानी","lemonade","soda"
"नीलामी","बिक्री","भळक्री","नीलाતમ","auction","sale"
"नेटवर्क","प्रणाली","प्एन०ए०","नेट	गलम","network","system"
"नोबेल","इनाम","इनxb","नोलडल","nobel","prize"
"न्यूनतम","ज्यादा से ज्यादा","ज्यादयsiddhartha","न्यगढ०२","minimum","maximum"
"पकड़","रखना","रखथश","पकଦଶ","hold","keep"
"पंचांग","अनुसूची","अनतpppp","हіचांग","calendar","schedule"
"पढ़ना","लिखो","दoखो","सआ़ना","read","write"
"पतला","मोटा","मोऔट","पतনধ","thin","thick"
"पति","बीवी","बीजऐ","arि","husband","wife"
"पत्रकारिता","राजनीति","राएन०ए०","पत्रयmayur","journalism","politics"
"पथ प्रदर्शन","संचार","संऊजर","पथ प्रधpardhi","navigation","communication"
"पनडुब्बी","नाव","खढव","पनडआई०ड०","submarine","boat"
"पंप","नली","दनी","ञङप","pump","hose"
"पब","रेस्टोरेंट","रेसधpardhi","oj","pub","restaurant"
"परत","सतह","अठह","इसत","layer","surface"
"परमाणु","नाभिकीय","नाष०पर०","परमन०i","atomic","nuclear"
"परास्त","विजेता","ङकजेता","परसस क","loser","winner"
"परियोजना","कार्यक्रम","कार्आर०ए०","परियbill","project","program"
"परिवर्तन","सुधार की","सुज०म०म०","परिव०ग०स०","change","improvement"
"परिस्थिति","संकट","नऑकट","परितsunil","situation","crisis"
"पर्याप्त","पर्याप्त","पर्ष०पर०","पर्यbill","enough","sufficient"
"पश्चिम","पूर्व","पूआजव","पश	जमम","west","east"
"पसंद","विकल्प","विअलइन","पसআৰ","choice","option"
"पहचानना","जानता था","जातsunil","पहच	जमम","recognize","knew"
"पहले से ही","फिर भी","फिर تک","पहलधpardhi","already","still"
"पहाड़ी","पहाड़","पहलओ़","पहाडह४","hill","mountain"
"पागलपन","मूर्खता","मूयbill","पागएसस०","madness","stupidity"
"पाप","अपराध","अपवर०","हoप","sin","crime"
"पालन ​​करना","पीछा करना","पीछज०म०म०","पालनधpardhi","follow","chase"
"पास","दूर","थङर","र०स","near","far"
"पिकनिक","डेरा डालना","डेरधpardhi","पिमन०i","picnic","camping"
"पिघल","फ्रीज","ପଶरीज","ہیघल","melt","freeze"
"पिता","मां","أبं","पिहe","daddy","mum"
"पियानो","गिटार","गिगथर","ixयानो","piano","guitar"
"पिरामिड","संरचना","संय		क","पिएन०ए०","pyramid","structure"
"पिस्तौल","हथियार","हथहममद","पिष०पर०","pistol","weapon"
"पीना","बीयर","ऍवयर","पीहघ","drink","beer"
"पुराना","युवा","µmवा","كلराना","old","young"
"पुरुष","मानव","सऽनव","kqरुष","man","human"
"पुल","सुरंग","लऱरंग","ہرल","bridge","tunnel"
"पुष्टीकरण","पुष्टि करना","पुष्धpardhi","पुष्तajay","confirmation","confirm"
"पुस्तकालय","संग्रहालय","संग्आई०ड०","पुस्आई०ड०","library","museum"
"पेट","छाती","छाvy","घञट","stomach","chest"
"पेंशन","वेतन","मऔतन","rjंशन","pension","salary"
"पैरानॉयड","पागल","રખगल","पैरएन०ए०","paranoid","crazy"
"पॉर्न","चलचित्र","चलचय		क","पॉपआन","porn","movie"
"पोता","भांजा","অসंजा","पोبه","grandson","nephew"
"पौंड","डॉलर","عیलर","पौવમ","pound","dollar"
"पौधा","फूल","न०ल","আৰधा","plant","flower"
"प्रक्रिया","प्रक्रिया","प्रज०म०म०","प्रज०म०म०","process","procedure"
"प्रगति","विकास","खउकास","प्	गलम","progress","development"
"प्रजनन नलिका","लिंग","लिହମ","प्रजननधpardhi","vagina","penis"
"प्रतिबिंब","आईना","आईऔए","प्रतsunil","reflection","mirror"
"प्रतिभावान","वैज्ञानिक","वैजयmayur","प्रततsunil","genius","scientist"
"प्रतिरोध","विरोध","ढठरोध","प्रतpppp","resistance","resist"
"प्रदर्शन","प्रदर्शन","प्रदआई०ड०","प्रदतajay","show","performance"
"प्रपत्र","संकेत","औशकेत","प्रसस क","form","sign"
"प्रबंध","प्रशासनिक","प्रशआई०ड०","प्णड०४","management","administrative"
"प्रबंधक","मालिक","मायडक","प्रमन०i","manager","boss"
"प्रबंधित करना","सफल होने के","सफल धpardhi","प्रबंधधpardhi","manage","succeed"
"प्रभाव","प्रभाव","प्मन०i","प्हममद","influence","effect"
"प्रभाव","भावना","ooवना","प्हममद","impression","feeling"
"प्रभावशाली","कमाल की","कमआर०ए०","प्रभयmayur","impressive","amazing"
"प्रयोग","परीक्षा","परए०एस०","प्स हग","experiment","test"
"प्रयोजन","इरादा","इरवरा","प्रवupp","purpose","intention"
"प्रशंसनीय","शानदार","शाणड०४","प्रशष०पर०","wonderful","fantastic"
"प्रशंसा","उपहार","उपयइन","प्ए०एस०","compliment","gift"
"प्रशंसा करना","सराहना","सरएसस०","प्रशंधpardhi","admire","appreciate"
"प्रशासन","सरकार","सरबएफ","प्र	जमम","administration","government"
"प्रश्न","पूछना","qwछना","प्अलइन","question","ask"
"प्रस्ताव","सुझाना","सुझाह२","प्रष०पर०","propose","suggest"
"प्रस्ताव","देना","देद०","प्रष०पर०","offer","give"
"प्राकृतिक","कृत्रिम","कृतajay","प्रतsunil","natural","artificial"
"प्रारंभिक","समापन","समवईग","प्रयmayur","opening","closure"
"प्रेरणा","अन्यत्र उपस्थिति","अन्यत्र धpardhi","प्ष०पर०","motive","alibi"
"प्रेरित करना","प्रेरणा","प्एन०ए०","प्रेरधpardhi","inspire","inspiration"
"प्रोटीन","विटामिन","विएन०ए०","प्ए०एस०","protein","vitamin"
"प्रोफ़ाइल","विवरण","विसइक","प्धpardhi","profile","description"
"प्रौद्योगिकी","विज्ञान","विआई०ड०","प्रौधpardhi","technology","science"
"प्लस","ऋण","رت","म३लस","plus","minus"
"प्ले play","खेल","ईठल","cαले play","play","game"
"प्लेग","महामारी","महष०पर०","च०लेग","plague","epidemic"
"फ़ाइल","डाक्यूमेंट","डाकधpardhi","फ़इदल","file","document"
"फायदा","आय","ov","ओओयदा","profit","income"
"फांसी","क्रियान्वयन","क्रियज०म०म०","nवंसी","hanging","execution"
"फ़ैक्टर","तत्त्व","ततवupp","फ़ष०पर०","factor","element"
"फ़ैक्टरी","उत्पादन","उत्हममद","फ़ज०म०म०","factory","production"
"फैशनेबल","सुरुचिपूर्ण","सुरुधpardhi","फैशसस क","fashionable","elegant"
"फोजी","योद्धा","योद्२ए","षबजी","soldier","warrior"
"फोड़ना","विस्फोट","विएन०ए०","फोड़१ब","burst","explode"
"फोडा","कैंसर","कैआभर","छभडा","tumor","cancer"
"फ़्लू","रोग","गळग","در्लू","flu","disease"
"बक्शीश","इनाम","इनxb","बकत एक","bonus","reward"
"बचाव","सहेजें","सहेजनङ","बचমই","rescue","save"
"बजट","वित्त पोषण","वित्तsunil","कथट","budget","funding"
"बटन","दबाएँ","बवाएँ","औपन","button","press"
"बड़ा","विशाल","झईशाल","बडcz","big","huge"
"बढ़त","जीत","ईoत","बढधई","gain","win"
"बढ़ना","कम करना","कम सibs","बढसरा","increase","reduce"
"बत्तख","बत्तख","बतपईज","बतपअन","goose","duck"
"बंद","बंद किया हुआ","बंद धpardhi","μgद","locked","closed"
"बंदर","गोरिल्ला","गोज०म०म०","yjदर","monkey","gorilla"
"बदलने के","विकल्प","विअलइन","बदलयbill","replace","substitute"
"बदला","न्याय","न्बछय","बदह५","revenge","justice"
"बंधक","बंदी","बंढ२","kgधक","hostage","prisoner"
"बधाई","नमस्कार","नमसमन०i","बधवख","congratulate","greet"
"बनाना","करना","करଆପ","बनडगा","make","do"
"बम","विस्फोटक","विसयbill","णव","bomb","explosive"
"बरोन","काउंटेस","काएन०ए०","बरଭଗ","baron","countess"
"बलवान","कमज़ोर","कमवupp","बलमअप","strong","weak"
"बहन","भाई","મકई","अखन","sister","brother"
"बहुमत","वोट","भफट","बहशअस","majority","vote"
"बाइबिल","किताब","थघताब","बाअलइन","bible","book"
"बातचीत","विचार - विमर्श","विचारधpardhi","बात एक","conversation","discussion"
"बातचीत","बोलना","अढलना","बात एक","talk","speak"
"बादल","कोहरा","हeहरा","टतदल","cloud","fog"
"बाँध","गुलोबन्द","गुलए०एस०","२डँध","bind","tie"
"बाधा","चुनौती","चुनौما","बाکے","obstacle","challenge"
"बाधा डालना","परेशान","परअलइन","बाधधpardhi","interrupt","disturb"
"बारूद","बारूद","ogरूद","آئरूद","gunpowder","dynamite"
"बारूद भरा हुआ पटाखा","घड़ी","घडoz","बारूद भरयsiddhartha","detonator","timer"
"बास्केटबाल","फ़ुटबॉल","फ़ष०पर०","बास्तsunil","basketball","football"
"बाहर","के भीतर","केष०पर०","رسहर","outside","inside"
"बाहर","के बारे में","केशaddition","رسहर","out","about"
"बाहर जाएं","प्रवेश","प्य		क","बाहयmayur","exit","entrance"
"बिंदु","संकेत मिलता है","संकेतशaddition","iलंदु","point","indicate"
"बिल्कुल","पूरी तरह","पूरष०पर०","बिए०एस०","absolutely","completely"
"बिशप","कार्डिनल","कारतpppp","१डशप","bishop","cardinal"
"बीओओटी","जूता","احता","बीय		क","boot","shoe"
"बीमार","बीमार","बीलउर","बीढकर","ill","sick"
"बुद्धि का विस्तार","गोली","ନହली","बुद्धियsiddhartha","caliber","bullet"
"बुद्धिमान","बुद्धिमान","बुदज०म०म०","बुदयmayur","smart","intelligent"
"बुद्धू","मूर्ख","२जर्ख","ढएद्धू","fool","idiot"
"बुरा","गंदा","ओऱदा","बुपऩ","nasty","filthy"
"बुरा सपना","सपना","सपkw","बुरतsunil","nightmare","dream"
"बुराई","क्रूरता","क्एन०ए०","ભષराई","evil","cruelty"
"बुलाना","telephone","teleasone","बुलाथळ","call","telephone"
"बुश","पेड़","μएड़","ନମश","bush","tree"
"बूंद","सिप","बऐप","ایंद","drop","sip"
"बेकार","खर्च करना","खर्चएन०ए०","बेओहर","waste","spend"
"बेटी","बेटा","کچटा","बेभळ","daughter","son"
"बैंकर","इन्वेस्टर","इन्वतajay","बैखपर","banker","investor"
"बैंकिंग","वित्तीय","वितajay","yvंकिंग","banking","financial"
"बैज","वर्दी","वरदवी","दऐज","badge","uniform"
"बौछार","स्नानघर","स्नवupp","८वछार","shower","bathroom"
"ब्रम्हांड","आकाशगंगा","आकातajay","ब्रज०म०म०","universe","galaxy"
"ब्रांड","उत्पाद","उतहममद","ब्राअध","brand","product"
"ब्रीफ़केस","सूटकेस","सूत एक","ब्रयmayur","briefcase","suitcase"
"भगवान","महिला","महगवा","भगलय०","lord","lady"
"भगवान","दिव्य","ह०व्य","भगलय०","god","divine"
"भयानक","भयंकर","भयरईय","भयलइल","terrible","horrible"
"भयानक","मुश्किल","मुआर०ए०","भयलइल","scary","creepy"
"भविष्य","भूतकाल","भूत एक","भवसस क","future","past"
"भागना","पलायन","पलनवर","ढयगना","flee","escape"
"भाग्य","भाग्य","भाझमय","भाचचय","fate","destiny"
"भार","माल","	cल","च०र","load","cargo"
"भालू","भेड़िया","βαड़िया","کوलू","bear","wolf"
"भाषण","उपदेश","उपतइस","४थषण","speech","sermon"
"भुगतना","मरना","मरqd","भुगढ०२","suffer","die"
"भूकंप","विस्फोट","विएन०ए०","ନହकंप","earthquake","explosion"
"भूख","प्यास","प्रधस","نہख","hunger","thirst"
"भूमि","उड़ना","खग़ना","भूभघ","land","fly"
"भूरा","नीला","नीસથ","भूμm","brown","blue"
"भूल जाओ","याद रखना","यादआर०ए०","भूए०एस०","forget","remember"
"भौतिक विज्ञान","गणित","गणময","भौतिकधpardhi","physics","mathematics"
"मकड़ी","कीट","तङट","मकमली","spider","insect"
"मकान","फ्लैट","ମତलैट","मकसऩ","house","apartment"
"मंगल ग्रह","शुक्र","शुछहर","मंगलतajay","mars","venus"
"मंच","स्टेशन","स्अलइन","ऽ	च","platform","station"
"मजबूर","शक्तिहीन","शक्तpppp","मजडइव","helpless","powerless"
"मंज़िल","गलीचा","गलवसा","حضज़िल","floor","carpet"
"मंत्रिमंडल","कोठरी","mzठरी","मंत्ज०म०म०","cabinet","closet"
"मदद","सहायता देना","सहायधpardhi","kaद","help","assist"
"मंदिर","मठ","एआ","ओ३दिर","temple","monastery"
"मधुमक्खी","चींटी","२डंटी","मधुए०एस०","bee","ant"
"मरीज","ग्राहक","ग्त एक","मरએક","patient","client"
"मलाई","चटनी","चटधआ","मलcq","cream","sauce"
"मंशा","तमन्ना","तमय		क","छधशा","desire","wish"
"महंगा","सस्ता","ससजजा","महदरा","expensive","cheap"
"महल","किला","ଧୟला","अभल","palace","castle"
"महान","बहादुर","बहसibs","महময","noble","brave"
"महाविद्यालय","विश्वविद्यालय","विश्ववधpardhi","महावितsunil","college","university"
"महिमा","महारानी","महआर०ए०","महनअा","majesty","highness"
"महीना","सप्ताह","सपअलइन","महअरा","month","week"
"मां","पिता","पिक०","મકं","mother","father"
"मांग","प्रार्थना","प्रतsunil","gjंग","demand","request"
"मात्रा","गुणवत्ता","गुणतajay","şıत्रा","quantity","quality"
"माध्यमिक","मुख्य","रङख्य","माधतpppp","secondary","primary"
"मानसिक","भावुक","µgवुक","माएसस०","mental","emotional"
"माफिया","कार्टेल","काआर०ए०","माफिନମ","mafia","cartel"
"माफी","दया","शना","माlh","forgiveness","mercy"
"मामला","कण","णन","xuमला","matter","particle"
"मारो","धरना","धरএই","माआख","hit","strike"
"मार्ग","सड़क","सडଋଷ","મટर्ग","avenue","street"
"मार्ग","पथ","ry","મટर्ग","route","path"
"मासूम","दोषी","तघषी","माकजम","innocent","guilty"
"मिंग","एक प्रकार का वृक्ष","एक प्रकाशaddition","डऐंग","ming","ling"
"मिठाई","प्यारा","थणयारा","टघठाई","sweet","cute"
"मिठाई","केक","احक","टघठाई","dessert","cake"
"मीनार","इमारत","इमबइड","मीछपर","tower","building"
"मील","सेंटीमीटर","सेंज०म०म०","wkल","mile","centimeter"
"मुकाबला","चैंपियनशिप","चैंपयmayur","मुष०पर०","competition","championship"
"मुर्गा","तुर्की","तुर्घप","मुर्sw","chicken","turkey"
"मुलायम","सज्जन","सजयएज","मु	जमम","soft","gentle"
"मुसीबत","संकट","नऑकट","मुसस क","trouble","problem"
"मुस्कुराओ","हसना","हसथश","मुसज०म०म०","smile","laugh"
"मुंह","नाक","دوक","मुله","mouth","nose"
"मूक","शांति","મટंति","वऔक","silent","silence"
"मूल","प्रतिलिपि","प्रतsunil","lwल","original","copy"
"मूलपाठ","कविता","कवयमा","मूच०ड०","text","poem"
"मूल्य","कीमत","yüमत","ऱनल्य","value","price"
"मूल्यवान","जरूरी","जरदईी","मूलतpppp","valuable","important"
"मेडिकल","मनोवैज्ञानिक","मनोवैधpardhi","मेच०ड०","medical","psychological"
"मेढक","छिपकली","छि	गलम","वऊढक","frog","lizard"
"मेल","मिश्रण","मित एक","uuल","combination","mixture"
"मेल","फैक्स","ऱफक्स","uuल","mail","fax"
"मैराथन","जाति","जाउह","मैअलइन","marathon","race"
"मोका","संभावना","संआर०ए०","मोतउ","chance","possibility"
"मोड़","घुमाएँ","घुमाढई","mjड़","turn","rotate"
"मोह माया","माया","माএই","मोज०म०म०","illusion","hallucination"
"मौत","लापता होने के","लापतशaddition","घआत","death","disappearance"
"यशस्वी","वैभव","नङभव","यशसibs","glorious","glory"
"यहां","वहां","वहpb","यहमउ","here","there"
"यातना","अत्याचार","अत्यbill","गळतना","torment","torture"
"यात्रा","कंसर्ट","कंसस क","यात्ईच","tour","concert"
"यात्री","चालक","âðलक","यात्ऊत","passenger","driver"
"युद्ध","लड़ाई","लडडओई","hqद्ध","war","battle"
"युवा","बचपन","एनएपन","युસધ","youth","childhood"
"योग","रकम","arम","ठ०ग","sum","amount"
"योग","मालिश","इआलिश","ठ०ग","yoga","massage"
"योग्य होना","योग्य","ठलग्य","योगधpardhi","deserve","worthy"
"योजना","रणनीति","रणमन०i","নমजना","plan","strategy"
"यौन","शारीरिक","शाआई०ड०","oiन","sexual","physical"
"रक्त","मूत्र","فىत्र","रकéé","blood","urine"
"रक्षक","पहरा","पहटद","रकमइष","guard","patrol"
"रक्षा करना","रक्षा करना","रक्षज०म०म०","रक्षयmayur","protect","defend"
"रक्षित","बनाए रखना","बनाएआर०ए०","रकसibs","preserve","maintain"
"रंग","खींचना","खींचsj","हoग","paint","draw"
"रदेऊ","चरवाहे","चरस हग","रदqd","rodeo","cowboy"
"रम","कॉग्नेक","कॉए०एस०","अष","rum","cognac"
"रसायन विज्ञान","जीवविज्ञान","जीववज०म०म०","रसायन धpardhi","chemistry","biology"
"रसोइया","बावर्ची","बाआर०ए०","रसोइwr","cook","chef"
"रहना","रहना","रहऔण","रहखआ","stay","remain"
"रहस्योद्घाटन","दृष्टि","दृष्ठई","रहस्योधpardhi","revelation","vision"
"राइफल","बंदूक","wkदूक","राडइड","rifle","gun"
"राकेट","मिसाइल","ढपसाइल","५जकेट","rocket","missile"
"राक्षस","जंतु","हङतु","रा	जमम","monster","creature"
"राजकुमारी","राजकुमार","राजतajay","राजज०म०म०","princess","prince"
"राजधानी","शहर","kiर","राए०एस०","capital","city"
"राजवंश","साम्राज्य","सामयmayur","राणड०४","dynasty","empire"
"राज्यपाल","सीनेटर","सीभ दख","राजष०पर०","governor","senator"
"राडार","उपग्रह","उपग	गलम","राऐनर","radar","satellite"
"रात","शाम","আৰम","kqत","night","evening"
"रात का खाना","सुबह का नाश्ता","सुबह शaddition","रातधpardhi","dinner","breakfast"
"रानी","राजा","हऔजा","रादऐ","queen","king"
"राय","रवैया","रवनगा","دوय","opinion","attitude"
"राष्ट्रीय","वैश्विक","वैतpppp","राषतsunil","national","global"
"रासायनिक","जैविक","हóविक","रासएन०ए०","chemical","biological"
"रिपोर्ट good","सूचित करना","सूचितsunil","रिपशaddition","report","inform"
"रिपोर्टर","पत्रकार","पत्स हग","रिपआर०ए०","reporter","journalist"
"रिश्तेदार","चचेरा भाई","चचेतsunil","रिशतsunil","relative","cousin"
"रिश्वत","भयादोहन","भया	जमम","रिअलइन","bribe","blackmail"
"रीढ़ की हड्डी में","पेट","મહट","रीढ़ यsiddhartha","spinal","abdominal"
"रुको","अपेक्षा करना","अपेक्धpardhi","रुxl","wait","expect"
"रेगिस्तान","घाटी","घाउप","रेगतsunil","desert","valley"
"रेजिमेंट","बटालियन","बटाहममद","रेज०म०म०","regiment","battalion"
"रेडियो","टेलीविजन","टेलतajay","रेडिओख","radio","television"
"रेल गाडी","बस","णत","रेयmayur","train","bus"
"रेशम","कपास","कपwc","झषशम","silk","cotton"
"रोकना","विराम","qqराम","छलकना","prevent","stop"
"रोगी वाहन","हेलीकॉप्टर","हेलीतsunil","रोगयmayur","ambulance","helicopter"
"रोज","साप्ताहिक","सापतsunil","टअज","daily","weekly"
"रोटी","पनीर","पनढई","iइटी","bread","cheese"
"रोबोट","मशीन","मशऊत","gàबोट","robot","machine"
"रोमन","यूनानी","यूना०व","ہیमन","roman","greek"
"रोमियो","जूलियट","जूसibs","२जमियो","romeo","juliet"
"लक्षण","सिंड्रोम","सिज०म०म०","लकगड०","symptom","syndrome"
"लंगर","जलयात्रा","जलयष०पर०","घञगर","anchor","sail"
"लज़ान्या","स्पघेटी","स्आर०ए०","लजतsunil","lasagna","spaghetti"
"लड़का","भाई","મકई","लडकना","dude","bro"
"लड़की","लड़का","pi़का","डम़की","girl","boy"
"लड़के","लड़कियाँ","लडयmayur","यज़के","boys","girls"
"लड़ाई","लड़ाई","लडडओई","लडककई","combat","fight"
"लपकना","पकड़","पकاﷲ","लपलएड","grab","catch"
"लहसुन","प्याज","غزयाज","लहमउट","garlic","onion"
"लाइव","बच जाना","बचआई०ड०","भउइव","live","survive"
"लाओ","भेजना","મખजना","xuओ","bring","send"
"लागू","उपयोग","उपमइस","दथगू","apply","use"
"लाल","पीला","पीकȧ","५जल","red","yellow"
"लिपस्टिक","इत्र","भष्र","लिपष०पर०","lipstick","perfume"
"लिफ़ाफ़ा","पैकेज","àæकेज","लिफ़ाफऐन","envelope","package"
"लेख","अखबार","अखडइव","इठख","article","newspaper"
"लेखक","अभिनेता","अभएन०ए०","दऐखक","author","actor"
"लोकप्रिय","प्रसिद्ध","प्रयbill","लोकए०एस०","popular","famous"
"लोमड़ी","खरगोश","खरफइग","परमड़ी","fox","rabbit"
"लोहा","धातु","धाथउ","लोयƨ","iron","metal"
"वकील","अभियोक्ता","अभियmayur","वकढच","lawyer","prosecutor"
"वजन","ऊंचाई","ऊंटरई","exन","weight","height"
"वयस्क","माता-पिता","मातsunil","वयरइग","adult","parent"
"वरिष्ठ","जूनियर","जूच०ड०","वरएसस०","senior","junior"
"वर्णन करना","व्यक्त करना","व्यक्ज०म०म०","वर्णनज०म०म०","describe","express"
"वर्तमान","बिजली","ढतजली","वर्य		क","current","electricity"
"वर्षा","बर्फ","बरبن","वरबईा","rain","snow"
"वंश","परिवार","परत एक","nवश","clan","family"
"वसंत","पतझड़","पतवउड","वसहघ","spring","autumn"
"वस्तु","विषय","اﷲषय","वसतओु","object","subject"
"वाइन","शैंपेन","शैंपदळ","વરइन","wine","champagne"
"वाइरस","संक्रमण","संकअलइन","वायएज","virus","infection"
"वातावरण","वायुमंडल","वायआई०ड०","वातअलइन","environment","atmosphere"
"वापस","वापसी","رقपसी","ऽ	पस","back","return"
"वायु","ऑक्सीजन","ऑक्गढ०२","०४यु","air","oxygen"
"वाल्व","हवादार","हवहममद","થયल्व","valve","ventilation"
"वाशिंगटन","बोस्टान","बोआर०ए०","वाशएन०ए०","washington","boston"
