"hi_target","hi_cue","type","target_type","cue_type","hi_cosine"
"चहलक़दमी","आंकड़े","unrelated","word","word",NA
"झूठा","सितंबर","unrelated","word","word",NA
"विवाद","शस्त्रागार","unrelated","word","word",NA
"चोट का निसान","प्रयोजन","unrelated","word","word",NA
"हवाई अड्डा","जीवित","unrelated","word","word",NA
"मिशन","ठीक","unrelated","word","word",NA
"पासपोर्ट","अर्थ","unrelated","word","word",NA
"बयान","षड़यंत्र","unrelated","word","word",NA
"टुकड़ा","ओंठ","unrelated","word","word",NA
"युक्ति","नायक","unrelated","word","word",NA
"झींगा मछली","रोटी","unrelated","word","word",NA
"मिलान","कर्मी दल","unrelated","word","word",NA
"कुर्सी","आत्मा","unrelated","word","word",NA
"यन्त्र","नवल","unrelated","word","word",NA
"लिमोसिन","केबिन","unrelated","word","word",NA
"सूअर का मांस","मील","unrelated","word","word",NA
"वैन","ताकत","unrelated","word","word",NA
"पदक","डेस्क","unrelated","word","word",NA
"हां","चर्च","unrelated","word","word",NA
"मरम्मत","क्लब","unrelated","word","word",NA
"क्लासिक","बम","unrelated","word","word",NA
"इस्पात","बुरा","unrelated","word","word",NA
"डराना","नाश्ता","unrelated","word","word",NA
"डर","प्रबंधित करना","unrelated","word","word",NA
"हस्ताक्षर","गंभीर","unrelated","word","word",NA
"रखना","इंजीनियर","unrelated","word","word",NA
"स्नातक","अनुबंध","unrelated","word","word",NA
"थैला","सामान्य रूप से","unrelated","word","word",NA
"अंगुली की छाप","असाधारण","unrelated","word","word",NA
"प्रोफ़ेसर","इस्तीफा","unrelated","word","word",NA
"वीडियो","चिड़ियाघर","unrelated","word","word",NA
"तैराकी","वंश","unrelated","word","word",NA
"कार्यालय","कोने","unrelated","word","word",NA
"यांत्रिक","स्वस्थ","unrelated","word","word",NA
"लाश","मजबूर","unrelated","word","word",NA
"डिप्रेशन","प्लस","unrelated","word","word",NA
"सिगरेट","ज़हर","unrelated","word","word",NA
"तरल","महल","unrelated","word","word",0.1313786264747
"तकनीक","हड्डी","unrelated","word","word",NA
"चाकू","असामान्य","unrelated","word","word",NA
"शादी","मुस्कुराओ","unrelated","word","word",NA
"पाना","फ़्लू","unrelated","word","word",NA
"बल","अचानक से","unrelated","word","word",NA
"सिंहासन","आम","unrelated","word","word",NA
"ताज़ा करना","चमक","unrelated","word","word",NA
"अंतिम संस्कार","कहीं","unrelated","word","word",NA
"पत्र","दीपक","unrelated","word","word",NA
"अंदाज","एक","unrelated","word","word",NA
"चिड़िया","असंभव","unrelated","word","word",NA
"चौथी","जाज","unrelated","word","word",NA
"बवंडर","प्रश्न","unrelated","word","word",NA
"तैयार","फैशनेबल","unrelated","word","word",NA
"योजना","बढ़त","unrelated","word","word",NA
"गलती","आत्मघाती","unrelated","word","word",NA
"ऊतक","गर्मी","unrelated","word","word",NA
"भूखा","समुद्री","unrelated","word","word",NA
"छोटा","बाहर","unrelated","word","word",NA
"उत्तर","मेडिकल","unrelated","word","word",NA
"वेस्टर्न","आश्चर्य","unrelated","word","word",NA
"कैद होना","महंगा","unrelated","word","word",NA
"उदार","पेंशन","unrelated","word","word",NA
"छेद","शांत","unrelated","word","word",NA
"जाओ","ट्रेलर","unrelated","word","word",NA
"धर्म","व्यक्तिगत","unrelated","word","word",NA
"एक अरब","प्रस्ताव","unrelated","word","word",NA
"जी मिचलाना","निरीक्षक","unrelated","word","word",NA
"नौकरानी","ज़रूरी","unrelated","word","word",NA
"दादी मा","संस्कृति","unrelated","word","word",NA
"दान","सीमेंट","unrelated","word","word",NA
"वनीला","सफलता","unrelated","word","word",NA
"नौकर","कैथोलिक","unrelated","word","word",NA
"सेरिब्रल","राष्ट्रीय","unrelated","word","word",NA
"नक्शा","एड्स","unrelated","word","word",NA
"मोमबत्ती","अन्याय","unrelated","word","word",NA
"बाड़","दादा","unrelated","word","word",NA
"दुकान","बुराई","unrelated","word","word",NA
"दयनीय","खरोंच","unrelated","word","word",NA
"दुखद","प्रेरणा","unrelated","word","word",NA
"दुर्भाग्य","ताल","unrelated","word","word",NA
"प्रतिद्वंद्वी","बूंद","unrelated","word","word",NA
"मंत्री","कंपनी","unrelated","word","word",NA
"मंत्रालय","शव परीक्षण","unrelated","word","word",NA
"रस","शिविर","unrelated","word","word",NA
"माइक्रोस्कोप","शहद","unrelated","word","word",NA
"स्पीड","नतीजा","unrelated","word","word",NA
"दुल्हन","लेख","unrelated","word","word",NA
"विकिरण","सोफ़ा","unrelated","word","word",NA
"मिनट","शर्लक","unrelated","word","word",NA
"एजेंसी","समाप्त","unrelated","word","word",NA
"दृढ़ता से","डिब्बा","unrelated","word","word",NA
"परिप्रेक्ष्य","मैराथन","unrelated","word","word",NA
"घड़ी","बैंकिंग","unrelated","word","word",NA
"मिलना","अनुमति","unrelated","word","word",NA
"शीघ्र","असुविधाजनक","unrelated","word","word",NA
"शैतान","नर","unrelated","word","word",NA
"राष्ट्र","दूल्हा","unrelated","word","word",NA
"चार","टकराव","unrelated","word","word",NA
"ट्रिपल","आधी रात","unrelated","word","word",NA
"टहल लो","उच्च श्रेणी का वकील","unrelated","word","word",NA
"द्वार","अजगर","unrelated","word","word",NA
"खींचना","भूख","unrelated","word","word",NA
"दबाव","उंगली","unrelated","word","word",NA
"समारोह","भार","unrelated","word","word",NA
"तेज़","क्षमता","unrelated","word","word",NA
"जल्दी जल्दी","भगवान","unrelated","word","word",NA
"सिगार","सीधे","unrelated","word","word",NA
"दया","चोरी होना","unrelated","word","word",NA
"आकर्षित","डुबकर मरना","unrelated","word","word",NA
"बेकार","आधार","unrelated","word","word",NA
"धन","ब्रांड","unrelated","word","word",NA
"नंगा","राकेट","unrelated","word","word",NA
"परिणाम","टेबल","unrelated","word","word",NA
"झील","प्रबंध","unrelated","word","word",NA
"अलविदा","शामिल होना","unrelated","word","word",NA
"प्रोटोटाइप","देर","unrelated","word","word",NA
"महिला","कदम","unrelated","word","word",NA
"नृत्य","रसायन विज्ञान","unrelated","word","word",NA
"दिसंबर","रोमियो","unrelated","word","word",NA
"बेड़ा","उल्लू बनाना","unrelated","word","word",NA
"मांसपेशी","शौचालय","unrelated","word","word",NA
"धमनी","मानसिक","unrelated","word","word",NA
"दांत","थोड़ा","unrelated","word","word",NA
"सैन्य","क्रिसमस","unrelated","word","word",NA
"राजनीतिक","महीना","unrelated","word","word",NA
"संवेदनशील","रक्षित","unrelated","word","word",NA
"कॉमेडी","कोसना","unrelated","word","word",NA
"प्रेम प्रसंगयुक्त","गैस","unrelated","word","word",NA
"शीर्षक","निष्ठावान","unrelated","word","word",NA
"रक्षक","दस्त","unrelated","word","word",NA
"दोपहर का भोजन","डाक टिकट","unrelated","word","word",NA
"चबाने","राजकुमारी","unrelated","word","word",NA
"समुराई","उत्तर","unrelated","word","word",NA
"गोपनीयता","वयस्क","unrelated","word","word",NA
"बट","निष्कर्ष","unrelated","word","word",NA
"हेरफेर करना","मकान","unrelated","word","word",NA
"मसविदा बनाना","रोकना","unrelated","word","word",NA
"आयुक्त","कलेक्ट","unrelated","word","word",NA
"विनाश","पंचांग","unrelated","word","word",NA
"निर्माण","आवृत्ति","unrelated","word","word",NA
"निर्देशक","प्रशासन","unrelated","word","word",NA
"निषेध","कीड़ा","unrelated","word","word",NA
"कल्पना","तरल","unrelated","word","word",NA
"ईमानदारी","गोली","unrelated","word","word",NA
"वफादार","ऊपर","unrelated","word","word",NA
"यथोचित","देखना","unrelated","word","word",NA
"यूपी","पॉर्न","unrelated","word","word",NA
"राजनीतिज्ञ","शेरिफ","unrelated","word","word",NA
"सोडा","radius","unrelated","word","word",NA
"बिक्री","फोड़ना","unrelated","word","word",NA
"प्रणाली","अपहरण करना","unrelated","word","word",NA
"इनाम","केबल","unrelated","word","word",NA
"ज्यादा से ज्यादा","खजाना","unrelated","word","word",NA
"रखना","शब्दकोश","unrelated","word","word",NA
"अनुसूची","शब्द","unrelated","word","word",NA
"लिखो","क्रूर","unrelated","word","word",NA
"मोटा","राक्षस","unrelated","word","word",NA
"बीवी","बेटी","unrelated","word","word",NA
"राजनीति","प्लेग","unrelated","word","word",NA
"संचार","भूरा","unrelated","word","word",NA
"नाव","नवंबर","unrelated","word","word",NA
"नली","पुस्तकालय","unrelated","word","word",NA
"रेस्टोरेंट","सुनवाई","unrelated","word","word",NA
"सतह","किरायेदार","unrelated","word","word",NA
"नाभिकीय","रोबोट","unrelated","word","word",NA
"विजेता","प्रदर्शन","unrelated","word","word",NA
"कार्यक्रम","अनुभाग","unrelated","word","word",NA
"सुधार की","चढना","unrelated","word","word",NA
"संकट","शाही","unrelated","word","word",NA
"पर्याप्त","जासूसी","unrelated","word","word",NA
"पूर्व","हरा","unrelated","word","word",NA
"विकल्प","गेलरी","unrelated","word","word",NA
"जानता था","विजय","unrelated","word","word",NA
"फिर भी","मासूम","unrelated","word","word",NA
"पहाड़","अलौकिक","unrelated","word","word",NA
"मूर्खता","दृश्य","unrelated","word","word",NA
"अपराध","स्वागत","unrelated","word","word",NA
"पीछा करना","लड़की","unrelated","word","word",NA
"दूर","कठोर","unrelated","word","word",NA
"डेरा डालना","पागलपन","unrelated","word","word",NA
"फ्रीज","दुखी","unrelated","word","word",NA
"मां","सूर्य का अस्त होना","unrelated","word","word",NA
"गिटार","पनडुब्बी","unrelated","word","word",NA
"संरचना","दक्षिण","unrelated","word","word",NA
"हथियार","वायु","unrelated","word","word",NA
"बीयर","ब्रीफ़केस","unrelated","word","word",NA
"युवा","बीमार","unrelated","word","word",NA
"मानव","बादल","unrelated","word","word",NA
"सुरंग","देखो","unrelated","word","word",NA
"पुष्टि करना","महिमा","unrelated","word","word",NA
"संग्रहालय","किशोर का","unrelated","word","word",NA
"छाती","हटाना","unrelated","word","word",NA
"वेतन","अभी - अभी","unrelated","word","word",NA
"पागल","उत्प्रेरक","unrelated","word","word",NA
"चलचित्र","पुल","unrelated","word","word",NA
"भांजा","दृढ़","unrelated","word","word",NA
"डॉलर","नाज़ुक","unrelated","word","word",NA
"फूल","अंतिम","unrelated","word","word",NA
"प्रक्रिया","आने वाला कल","unrelated","word","word",NA
"विकास","संपत्ति","unrelated","word","word",NA
"लिंग","हीरा","unrelated","word","word",NA
"आईना","न काम की","unrelated","word","word",NA
"वैज्ञानिक","देश","unrelated","word","word",NA
"विरोध","स्वर्ग","unrelated","word","word",NA
"प्रदर्शन","छड़ी","unrelated","word","word",NA
"संकेत","सुअर का मांस","unrelated","word","word",NA
"प्रशासनिक","लिपस्टिक","unrelated","word","word",NA
"मालिक","बत्तख","unrelated","word","word",NA
"सफल होने के","बाइबिल","unrelated","word","word",NA
"प्रभाव","आजादी","unrelated","word","word",NA
"भावना","राज्यपाल","unrelated","word","word",NA
"कमाल की","क्या","unrelated","word","word",NA
"परीक्षा","संभावना","unrelated","word","word",NA
"इरादा","ज़ोंबी","unrelated","word","word",NA
"शानदार","काम","unrelated","word","word",NA
"उपहार","मोह माया","unrelated","word","word",NA
"सराहना","दुखी","unrelated","word","word",NA
"सरकार","दूरबीन","unrelated","word","word",NA
"पूछना","लाओ","unrelated","word","word",NA
"सुझाना","पौंड","unrelated","word","word",NA
"देना","भगवान","unrelated","word","word",NA
"कृत्रिम","पुष्टीकरण","unrelated","word","word",NA
"समापन","चेतावनी","unrelated","word","word",NA
"अन्यत्र उपस्थिति","सदस्य","unrelated","word","word",NA
"प्रेरणा","जोखिम","unrelated","word","word",NA
"विटामिन","मधुमक्खी","unrelated","word","word",NA
"विवरण","जोखिम भरा","unrelated","word","word",NA
"विज्ञान","गाय","unrelated","word","word",NA
"ऋण","अनाथालय","unrelated","word","word",NA
"खेल","नाखून","unrelated","word","word",NA
"महामारी","कक्ष","unrelated","word","word",NA
"डाक्यूमेंट","यौन","unrelated","word","word",NA
"आय","विनोदपूर्ण","unrelated","word","word",NA
"क्रियान्वयन","कक्ष","unrelated","word","word",NA
"तत्त्व","ठोस","unrelated","word","word",NA
"उत्पादन","संचालित","unrelated","word","word",NA
"सुरुचिपूर्ण","बातचीत","unrelated","word","word",NA
"योद्धा","राजधानी","unrelated","word","word",NA
"विस्फोट","खाड़ी","unrelated","word","word",NA
"कैंसर","राय","unrelated","word","word",NA
"रोग","सेंसर","unrelated","word","word",NA
"इनाम","प्रपत्र","unrelated","word","word",NA
"सहेजें","बनाना","unrelated","word","word",NA
"वित्त पोषण","राइफल","unrelated","word","word",NA
"दबाएँ","बाहर","unrelated","word","word",NA
"विशाल","प्रशंसनीय","unrelated","word","word",NA
"जीत","निषिद्ध","unrelated","word","word",NA
"कम करना","प्रौद्योगिकी","unrelated","word","word",NA
"बत्तख","पोता","unrelated","word","word",NA
"बंद किया हुआ","सूखा","unrelated","word","word",NA
"गोरिल्ला","विशेषाधिकार","unrelated","word","word",NA
"विकल्प","जंगल","unrelated","word","word",NA
"न्याय","खुला हुआ","unrelated","word","word",NA
"बंदी","स्टेडियम","unrelated","word","word",NA
"नमस्कार","संकीर्ण","unrelated","word","word",NA
"करना","बदलने के","unrelated","word","word",NA
"विस्फोटक","गुप्त","unrelated","word","word",NA
"काउंटेस","आधा","unrelated","word","word",NA
"कमज़ोर","गारंटी","unrelated","word","word",NA
"भाई","पेट","unrelated","word","word",NA
"वोट","संकल्पना","unrelated","word","word",NA
"किताब","पब","unrelated","word","word",NA
"विचार - विमर्श","फोडा","unrelated","word","word",NA
"बोलना","पंप","unrelated","word","word",NA
"कोहरा","लड़के","unrelated","word","word",NA
"गुलोबन्द","समुद्री डाकू","unrelated","word","word",NA
"चुनौती","पढ़ना","unrelated","word","word",NA
"परेशान","कीचड़","unrelated","word","word",NA
"बारूद","किसान","unrelated","word","word",NA
"घड़ी","तार","unrelated","word","word",NA
"फ़ुटबॉल","सिनेमा","unrelated","word","word",NA
"के भीतर","संघीय","unrelated","word","word",NA
"के बारे में","शिशु","unrelated","word","word",NA
"प्रवेश","पुरुष","unrelated","word","word",NA
"संकेत मिलता है","अंतरराष्ट्रीय","unrelated","word","word",NA
"पूरी तरह","त्रुटि","unrelated","word","word",NA
"कार्डिनल","कागज़","unrelated","word","word",NA
"जूता","धड़कन","unrelated","word","word",NA
"बीमार","बुद्धिमान","unrelated","word","word",NA
"गोली","अज्ञान","unrelated","word","word",NA
"बुद्धिमान","शार्क","unrelated","word","word",NA
"मूर्ख","असलियत","unrelated","word","word",NA
"गंदा","हमेशा","unrelated","word","word",NA
"सपना","नस","unrelated","word","word",NA
"क्रूरता","भयानक","unrelated","word","word",NA
"telephone","स्वीकार करना","unrelated","word","word",NA
"पेड़","आकर्षण","unrelated","word","word",NA
"सिप","गड्ढा करना","unrelated","word","word",NA
"खर्च करना","डिप्लोमा","unrelated","word","word",NA
"बेटा","टटू","unrelated","word","word",NA
"इन्वेस्टर","दृढ़ता से","unrelated","word","word",NA
"वित्तीय","बढ़ना","unrelated","word","word",NA
"वर्दी","शल्य चिकित्सक","unrelated","word","word",NA
"स्नानघर","अच्छा","unrelated","word","word",NA
"आकाशगंगा","आशा","unrelated","word","word",NA
"उत्पाद","समाज","unrelated","word","word",NA
"सूटकेस","ज़ंग खाया हुआ","unrelated","word","word",NA
"महिला","व्याख्या","unrelated","word","word",NA
"दिव्य","टैंक","unrelated","word","word",NA
"भयंकर","आयोग","unrelated","word","word",NA
"मुश्किल","नीलामी","unrelated","word","word",NA
"भूतकाल","शिकार","unrelated","word","word",NA
"पलायन","बिशप","unrelated","word","word",NA
"भाग्य","खाना","unrelated","word","word",NA
"माल","गरज","unrelated","word","word",NA
"भेड़िया","सेलिब्रिटी","unrelated","word","word",NA
"उपदेश","भौतिक विज्ञान","unrelated","word","word",NA
"मरना","वाहवाही","unrelated","word","word",NA
"विस्फोट","गलत","unrelated","word","word",NA
"प्यास","जाँच","unrelated","word","word",NA
"उड़ना","प्रारंभिक","unrelated","word","word",NA
"नीला","दर्ज","unrelated","word","word",NA
"याद रखना","चट्टान","unrelated","word","word",NA
"गणित","विडंबना","unrelated","word","word",NA
"कीट","सड़क","unrelated","word","word",NA
"फ्लैट","ओगाज़्म","unrelated","word","word",NA
"शुक्र","साधु","unrelated","word","word",NA
"स्टेशन","अस्पताल","unrelated","word","word",NA
"शक्तिहीन","गंदा","unrelated","word","word",NA
"गलीचा","आकाश","unrelated","word","word",NA
"कोठरी","लागू","unrelated","word","word",NA
"सहायता देना","स्वामिनी","unrelated","word","word",NA
"मठ","ट्रॉफी","unrelated","word","word",NA
"चींटी","जेब","unrelated","word","word",NA
"ग्राहक","विज्ञापन","unrelated","word","word",NA
"चटनी","अंधा","unrelated","word","word",NA
"तमन्ना","समान","unrelated","word","word",NA
"सस्ता","दूतावास","unrelated","word","word",NA
"किला","साक्षी","unrelated","word","word",NA
"बहादुर","अतिमानव","unrelated","word","word",NA
"विश्वविद्यालय","गिनती","unrelated","word","word",NA
"महारानी","लक्षण","unrelated","word","word",NA
"सप्ताह","साधन","unrelated","word","word",NA
"पिता","जंजीर","unrelated","word","word",NA
"प्रार्थना","कम","unrelated","word","word",NA
"गुणवत्ता","कामचोर","unrelated","word","word",NA
"मुख्य","मामला","unrelated","word","word",NA
"भावुक","मंशा","unrelated","word","word",NA
"कार्टेल","प्रयोग","unrelated","word","word",NA
"दया","अति उत्कृष्ट","unrelated","word","word",NA
"कण","टास्क","unrelated","word","word",NA
"धरना","श्रृंखला","unrelated","word","word",NA
"सड़क","चरित्र","unrelated","word","word",NA
"पथ","एक","unrelated","word","word",0.254973006840409
"दोषी","आँसू","unrelated","word","word",NA
"एक प्रकार का वृक्ष","कम","unrelated","word","word",NA
"प्यारा","रक्षा करना","unrelated","word","word",NA
"केक","सचिव","unrelated","word","word",NA
"इमारत","टर्मिनल","unrelated","word","word",NA
"सेंटीमीटर","कानून","unrelated","word","word",NA
"चैंपियनशिप","फोजी","unrelated","word","word",NA
"तुर्की","डीएनए","unrelated","word","word",NA
"सज्जन","एश","unrelated","word","word",NA
"संकट","नंगा","unrelated","word","word",NA
"हसना","उद्योग","unrelated","word","word",NA
"नाक","वाहन","unrelated","word","word",NA
"शांति","दिशा सूचक यंत्र","unrelated","word","word",NA
"प्रतिलिपि","वर्णन करना","unrelated","word","word",NA
"कविता","अत्यंत","unrelated","word","word",NA
"कीमत","व्हिस्की","unrelated","word","word",NA
"जरूरी","देवदूत","unrelated","word","word",NA
"मनोवैज्ञानिक","फांसी","unrelated","word","word",NA
"छिपकली","एजेंट","unrelated","word","word",NA
"मिश्रण","पत्रकारिता","unrelated","word","word",NA
"फैक्स","शाही","unrelated","word","word",NA
"जाति","अनुसंधान","unrelated","word","word",NA
"संभावना","न्यूनतम","unrelated","word","word",NA
"घुमाएँ","अराजकता","unrelated","word","word",NA
"माया","फ़ैक्टरी","unrelated","word","word",NA
"लापता होने के","नदी","unrelated","word","word",NA
"वैभव","विधवा","unrelated","word","word",NA
"वहां","बिल्कुल","unrelated","word","word",NA
"अत्याचार","चिंता","unrelated","word","word",NA
"कंसर्ट","बाँध","unrelated","word","word",NA
"चालक","पिस्तौल","unrelated","word","word",NA
"लड़ाई","इकाई","unrelated","word","word",NA
"बचपन","बक्शीश","unrelated","word","word",NA
"रकम","खुराक","unrelated","word","word",NA
"मालिश","प्रभाव","unrelated","word","word",NA
"योग्य","व्यक्ति","unrelated","word","word",NA
"रणनीति","घटना","unrelated","word","word",NA
"शारीरिक","धुआं","unrelated","word","word",NA
"मूत्र","महाविद्यालय","unrelated","word","word",NA
"पहरा","नोबेल","unrelated","word","word",NA
"रक्षा करना","सत्य के प्रति निष्ठा","unrelated","word","word",NA
"बनाए रखना","सैन्य टुकड़ी","unrelated","word","word",NA
"खींचना","जातिवाद","unrelated","word","word",NA
"चरवाहे","कम समझना","unrelated","word","word",NA
"कॉग्नेक","मेल","unrelated","word","word",NA
"जीवविज्ञान","पश्चिम","unrelated","word","word",NA
"बावर्ची","नागरिक","unrelated","word","word",NA
"रहना","पहले से ही","unrelated","word","word",NA
"दृष्टि","विलोम","unrelated","word","word",NA
"बंदूक","स्मारक","unrelated","word","word",NA
"मिसाइल","जन सैलाब","unrelated","word","word",NA
"जंतु","ज़िम्मेदारी","unrelated","word","word",NA
"राजकुमार","घोंसला","unrelated","word","word",NA
"शहर","बातचीत","unrelated","word","word",NA
"साम्राज्य","कटोरा","unrelated","word","word",NA
"सीनेटर","कष्ट","unrelated","word","word",NA
"उपग्रह","प्रशंसा करना","unrelated","word","word",NA
"शाम","स्वादिष्ट","unrelated","word","word",NA
"सुबह का नाश्ता","पीना","unrelated","word","word",NA
"राजा","कारण","unrelated","word","word",NA
"रवैया","आक्रमण","unrelated","word","word",NA
"वैश्विक","अखाड़ा","unrelated","word","word",NA
"जैविक","प्रक्रिया","unrelated","word","word",NA
"सूचित करना","जुआ","unrelated","word","word",NA
"पत्रकार","करोड़पति","unrelated","word","word",NA
"चचेरा भाई","निजी","unrelated","word","word",NA
"भयादोहन","इंटरनेट","unrelated","word","word",NA
"पेट","जादू","unrelated","word","word",NA
"अपेक्षा करना","रिश्वत","unrelated","word","word",NA
"घाटी","निष्ठा","unrelated","word","word",NA
"बटालियन","आधुनिक","unrelated","word","word",NA
"टेलीविजन","टूर्नामेंट","unrelated","word","word",NA
"बस","नेटवर्क","unrelated","word","word",NA
"कपास","सीखना","unrelated","word","word",NA
"विराम","उत्तेजित करनेवाला","unrelated","word","word",NA
"हेलीकॉप्टर","चिंतित","unrelated","word","word",NA
"साप्ताहिक","उमंग","unrelated","word","word",NA
"पनीर","नीति","unrelated","word","word",NA
"मशीन","आधिकारिक तौर पर","unrelated","word","word",NA
"यूनानी","चश्मा","unrelated","word","word",NA
"जूलियट","आलू","unrelated","word","word",NA
"सिंड्रोम","सलाह","unrelated","word","word",NA
"जलयात्रा","काउंटी","unrelated","word","word",NA
"स्पघेटी","अपमान","unrelated","word","word",NA
"भाई","बटन","unrelated","word","word",NA
"लड़का","जून","unrelated","word","word",NA
"लड़कियाँ","गंभीर","unrelated","word","word",NA
"लड़ाई","असमर्थता","unrelated","word","word",NA
"पकड़","नितंब","unrelated","word","word",NA
"प्याज","उठाईगीरा","unrelated","word","word",NA
"बच जाना","स्क्रीन","unrelated","word","word",NA
"भेजना","अवलोकन","unrelated","word","word",NA
"उपयोग","वर्षा","unrelated","word","word",NA
"पीला","प्रभावशाली","unrelated","word","word",NA
"इत्र","मोड़","unrelated","word","word",NA
"पैकेज","दूसरा","unrelated","word","word",NA
"अखबार","धैर्य","unrelated","word","word",NA
"अभिनेता","मुर्गा","unrelated","word","word",NA
"प्रसिद्ध","दरार","unrelated","word","word",NA
"खरगोश","कक्षा","unrelated","word","word",NA
"धातु","चांद","unrelated","word","word",NA
"अभियोक्ता","कवि","unrelated","word","word",NA
"ऊंचाई","सागरतट","unrelated","word","word",NA
"माता-पिता","डराना","unrelated","word","word",NA
"जूनियर","सृजन करना","unrelated","word","word",NA
"व्यक्त करना","निर्माता","unrelated","word","word",NA
"बिजली","चाभी","unrelated","word","word",NA
"बर्फ","गला","unrelated","word","word",NA
"परिवार","प्ले play","unrelated","word","word",NA
"पतझड़","पिघल","unrelated","word","word",NA
"विषय","दोहरा","unrelated","word","word",NA
"शैंपेन","गपशप","unrelated","word","word",NA
"संक्रमण","विशेषज्ञ","unrelated","word","word",NA
"वायुमंडल","युद्ध","unrelated","word","word",NA
"वापसी","ओवन","unrelated","word","word",NA
"ऑक्सीजन","प्रेरित करना","unrelated","word","word",NA
"हवादार","पैरानॉयड","unrelated","word","word",NA
"बोस्टान","गायक","unrelated","word","word",NA
"सचमुच","वजन","unrelated","word","word",NA
"गाड़ी","चैनल","unrelated","word","word",NA
"अल्फा","घुड़सवार सेना","unrelated","word","word",NA
"क्रेता","कभी - कभी","unrelated","word","word",NA
"सिद्धांत","पास","unrelated","word","word",NA
"सोच","मुलायम","unrelated","word","word",NA
"परास्त करना","दयालु","unrelated","word","word",NA
"विपणन","विचार करना","unrelated","word","word",NA
"लोहे का","नियम","unrelated","word","word",NA
"निवेश","नाटकीय","unrelated","word","word",NA
"महिला","घाव","unrelated","word","word",NA
"मामूली","वाल्व","unrelated","word","word",NA
"मजेदार","कम","unrelated","word","word",NA
"इनहेरिट","अनुमति","unrelated","word","word",NA
"प्राचीन पदक","घृणा","unrelated","word","word",NA
"प्रदर्शन","ताज़ा","unrelated","word","word",NA
"विरोध","घातक","unrelated","word","word",NA
"अनोखा","अंतरिक्ष यात्री","unrelated","word","word",NA
"specialist","शोर","unrelated","word","word",NA
"सम्मान","वातावरण","unrelated","word","word",NA
"नींद","पिकनिक","unrelated","word","word",NA
"अन्वेषक","तनाव","unrelated","word","word",NA
"मानना","सुंदर हे","unrelated","word","word",NA
"टीका","सभ्य","unrelated","word","word",NA
"त्रिकोण","बाहर जाएं","unrelated","word","word",NA
"वेट्रेस","चित्र","unrelated","word","word",NA
"व्यक्ति","बारूद","unrelated","word","word",NA
"सूचित करना","रसोइया","unrelated","word","word",NA
"व्यवस्थित","अनाड़ी","unrelated","word","word",NA
"प्रशंसनीय","तरीका","unrelated","word","word",NA
"सोदागर","सामने","unrelated","word","word",NA
"वोडका","कसम खाता","unrelated","word","word",NA
"संदिग्ध व्यक्ति","किलोमीटर","unrelated","word","word",NA
"ऊर्जा","कुत्ता","unrelated","word","word",NA
"रविवार","टिप्पणी","unrelated","word","word",NA
"वाक्य","सकारात्मक","unrelated","word","word",NA
"मुहावरा","चटनी","unrelated","word","word",NA
"आश्रय","सहयोग","unrelated","word","word",NA
"भगोड़ा","कोर्ट","unrelated","word","word",NA
"दवाई","कोड","unrelated","word","word",NA
"मनोविज्ञान","विरासत","unrelated","word","word",NA
"वाटसन","माफी","unrelated","word","word",NA
"चिकित्सक","कला","unrelated","word","word",NA
"विश्लेषण","रिश्तेदार","unrelated","word","word",NA
"शस्रशाला","मलाई","unrelated","word","word",NA
"मक्खन","उपयोगी","unrelated","word","word",NA
"अटलांटिक","दंड","unrelated","word","word",NA
"विषय","सच","unrelated","word","word",NA
"संभवत","सेमिनार","unrelated","word","word",NA
"मछली","चुप","unrelated","word","word",NA
"हमेशा के लिए","तितली","unrelated","word","word",NA
"साम्राज्य","सुरक्षित","unrelated","word","word",NA
"सम्राट","अध्ययन","unrelated","word","word",NA
"आरोप","कोच","unrelated","word","word",NA
"दरिंदा","रासायनिक","unrelated","word","word",NA
"हमलावर","शायद","unrelated","word","word",NA
"मछली पकड़ने","बंद","unrelated","word","word",NA
"गाँव","वस्तु","unrelated","word","word",NA
"बच्चा","ईर्ष्या","unrelated","word","word",NA
"कवच","बैज","unrelated","word","word",NA
"निशानची","सफेद","unrelated","word","word",NA
"महापौर","लोहा","unrelated","word","word",NA
"गोली मारना","साधारण","unrelated","word","word",NA
"ध्वनि","घटित होना","unrelated","word","word",NA
"खेल","संपूर्ण","unrelated","word","word",NA
"पेशेवर","क्षेत्राधिकार","unrelated","word","word",NA
"हौज","जनक","unrelated","word","word",NA
"प्रकरण","तलाक","unrelated","word","word",NA
"ऋण","आंख","unrelated","word","word",NA
"धोखा","तैयार","unrelated","word","word",NA
"परिभाषा","साफ","unrelated","word","word",NA
"नकारात्मक","रिपोर्टर","unrelated","word","word",NA
"चौड़ा","आकर्षक","unrelated","word","word",NA
"गतिविधि","सेवा","unrelated","word","word",NA
"प्रदान करना","ज़िद्दी","unrelated","word","word",NA
"पता","एस्पिरिन","unrelated","word","word",NA
"शादी","गधा","unrelated","word","word",NA
"टीम","लाइव","unrelated","word","word",NA
"राज्य","आपरेशनल","unrelated","word","word",NA
"असली","संबंध","unrelated","word","word",NA
"शल्य चिकित्सा","रात का खाना","unrelated","word","word",NA
"सहायक","डरावनी","unrelated","word","word",NA
"गिरफ़्तार करना","तन","unrelated","word","word",NA
"हाइवे","वाशिंगटन","unrelated","word","word",NA
