"sr_cue","sr_target","type","cue_type","target_type","sr_cosine"
"губљење","проводити","related","word","word",0.401802696641776
"пројекат","програм","related","word","word",0.67619023857858
"аукција","продаја","related","word","word",0.519658294426518
"купити","продати","related","word","word",0.640998747497275
"креирај","произвести","related","word","word",NA
"марка","производ","related","word","word",0.379213074028184
"фабрички","производња","related","word","word",NA
"ракета","пројектил","related","word","word",0.643106140101301
"претрага","пронаћи","related","word","word",0.417680940860208
"говор","проповедан","related","word","word",NA
"непријатељски","противник","related","word","word",0.506570667007252
"владавина","протокол","related","word","word",0.429595722675626
"модел","прототип","related","word","word",0.533317667781783
"аматерски","професионалан","related","word","word",0.600027443699614
"декан","професор","related","word","word",0.47263882362959
"процес","процедура","related","word","word",0.778096056990335
"посматрање","процена","related","word","word",0.436760881207335
"будућност","прошлост","related","word","word",0.629085272585697
"анатомија","психологија","related","word","word",0.692926915797963
"медицински","психолошки","related","word","word",0.634677328184218
"лептир","птица","related","word","word",0.515438500718598
"гомила","публика","related","word","word",0.43124414671122
"генерал","пуковниче","related","word","word",0.478200004526379
"празан","пун","related","word","word",0.465460522037135
"пуцањ","пуцај","related","word","word",0.768697138817089
"посао","рад","related","word","word",0.466799769875357
"фармер","радник","related","word","word",0.55517900452646
"задовољство","радост","related","word","word",0.560564959048749
"напредак","развој","related","word","word",0.491439919123756
"фаза","раздобље","related","word","word",0.514722762312352
"сличан","различит","related","word","word",0.491258837160968
"размотрити","размислити","related","word","word",0.704882222840524
"изненађење","разочарање","related","word","word",0.57123238193738
"сајам","разуман","related","word","word",0.45660614010439
"схватити","разумети","related","word","word",0.603500452335208
"тумор","рак","related","word","word",0.5543911221555
"веверица","ракун","related","word","word",0.517899094967293
"касно","рано","related","word","word",0.603317762107854
"календар","распоред","related","word","word",0.484547909939822
"војник","ратник","related","word","word",0.695254235203596
"софтвер","рачунар","related","word","word",0.571921262351897
"генератор","реактор","related","word","word",0.687222419956772
"оптимистичан","реалистичан","related","word","word",NA
"продуцент","редитељ","related","word","word",0.592322221034906
"филозофија","религија","related","word","word",0.723074768038536
"каријера","репутација","related","word","word",0.562230471561281
"паб","ресторан","related","word","word",0.488132039838376
"повремено","ретко","related","word","word",0.500824759464197
"рећи","реците","related","word","word",0.421602867527808
"реч","реченица","related","word","word",0.5987166964984
"ајкула","риба","related","word","word",0.564122628040843
"ловачки","риболов","related","word","word",0.609104536929614
"цезар","рим","related","word","word",0.523280726915001
"одрасли","родитељски","related","word","word",0.53585794868121
"у односу","рођак","related","word","word",NA
"годишњица","рођендан","related","word","word",0.642696761056509
"драматичан","романтичан","related","word","word",0.769957794967558
"који се схвати","ружан","related","word","word",NA
"ручно","рука","related","word","word",0.408864517140614
"пукотина","рупа","related","word","word",0.594985108925998
"заградити се","ручак","related","word","word",NA
"шпијунажа","саботажа","related","word","word",0.655759389988102
"савет","саветовати","related","word","word",0.704773945775939
"идеалан","савршено","related","word","word",0.420065644312677
"садржати","садржај","related","word","word",NA
"покривати","сакрити","related","word","word",0.626764717927642
"супа","салата","related","word","word",0.610767411674136
"поштовање","самопоуздање","related","word","word",0.639843048814494
"нинџа","самурајски","related","word","word",NA
"ноћна мора","сањати","related","word","word",NA
"стрпљење","саосећање","related","word","word",0.648928047452195
"конференција","састанак","related","word","word",0.507158162793455
"радар","сателит","related","word","word",0.595058117717715
"мртвачки сандук","сахрана","related","word","word",NA
"спасити","сачувати","related","word","word",0.580634086954061
"сведок","сведочанство","related","word","word",0.626016938382494
"међународни","свет","related","word","word",0.414445551544127
"сијати","светао","related","word","word",NA
"мрак","светло","related","word","word",0.573788155897164
"лампа","свећа","related","word","word",0.634385977852143
"монах","свештеник","related","word","word",0.503459371460899
"крава","свиња","related","word","word",0.541943178744257
"тврдоглав","себичан","related","word","word",0.652650938492343
"јужно","северно","related","word","word",0.666844562208547
"штанд","седети","related","word","word",0.385781632352282
"база","седиште","related","word","word",0.437005104351053
"камп","село","related","word","word",0.41359868127812
"парламент","сенат","related","word","word",0.552021692910313
"гувернер","сенатор","related","word","word",0.562219208644216
"суза","сећи","related","word","word",0.430077212589738
"фреквенција","сигнал","related","word","word",0.531999270965755
"снага","сила","related","word","word",0.493750884116493
"застава","симбол","related","word","word",0.452002310762776
"симптома","синдроман","related","word","word",NA
"ћерка","сине","related","word","word",0.315564510116335
"хлеб","сир","related","word","word",0.582086489326229
"мрежа","систем","related","word","word",0.463527222876259
"трачеви","скандал","related","word","word",0.522856762026527
"елиминисати","скинути","related","word","word",0.58545686725354
"уточиште","склониште","related","word","word",0.735240456632384
"попети се","скочити","related","word","word",NA
"понизан","скроман","related","word","word",0.66613481144875
"прикупити","скупити","related","word","word",0.848173362594664
"јак","слаб","related","word","word",0.55055078534727
"славан","слава","related","word","word",0.77429354665439
"сладак","сладак","related","word","word",1
"тост","сланина","related","word","word",0.464236219565514
"уметник","сликар","related","word","word",0.633903230867092
"телеграм","слово","related","word","word",0.429544863672805
"роб","слуга","related","word","word",0.527575375417688
"дадиља","служавка","related","word","word",0.612208923629414
"повећати","смањити","related","word","word",0.709614066493482
"смеће","смеће","related","word","word",1
"осмех","смех","related","word","word",0.826488758115248
"комбинација","смеша","related","word","word",NA
"духовит","смешан","related","word","word",0.539004556173682
"чврсто","снажно","related","word","word",0.535544717144251
"стрелац","снајпер","related","word","word",0.597687634696092
"киша","снијег","related","word","word",0.474338303937342
"запис","снимање","related","word","word",0.413572673969127
"лимунада","сода","related","word","word",0.687097532237251
"млеко","сок","related","word","word",0.595577321814016
"лунарни","соларни","related","word","word",0.830496357957602
"капсула","сонда","related","word","word",0.56587602774489
"крем","сос","related","word","word",0.559403312341198
"одмор","спавати","related","word","word",0.410206000997157
"соба","спаваћа соба","related","word","word",NA
"јунак","спаситељ","related","word","word",0.563334763110381
"сензационалан","спектакуларни","related","word","word",NA
"стручњак","специјалиста","related","word","word",0.54273576661196
"унутрашњи","спољашњи","related","word","word",0.724506211768345
"сукоб","спор","related","word","word",0.436081020271232
"хоби","спортови","related","word","word",0.506256646754709
"капацитет","способност","related","word","word",0.588973355235474
"златан","сребрна","related","word","word",0.517381338684165
"задовољан","срећан","related","word","word",0.544611756734108
"мишљење","став","related","word","word",0.472672587287804
"одељак","ставак","related","word","word",NA
"уметнути","ставити","related","word","word",NA
"рута","стаза","related","word","word",0.474936312094181
"увек","стално","related","word","word",0.483227248647953
"сиротиште","стан","related","word","word",0.485176147845531
"кућу","стан","related","word","word",0.549829308882291
"платформа","станица","related","word","word",0.481356638450727
"станар","становник","related","word","word",0.666992589761688
"споменик","статуа","related","word","word",0.510354061791525
"чудовиште","створење","related","word","word",0.614858150644515
"ритам","стил","related","word","word",0.485493595489907
"сто","столица","related","word","word",0.592988905234144
"хиљада","стотину","related","word","word",0.64389322246198
"ентузијазам","страст","related","word","word",0.583645359494059
"план","стратегија","related","word","word",0.452628306963873
"пирамида","структура","related","word","word",0.623072216082932
"истраживање","студија","related","word","word",0.447612927867856
"судбина","судбина","related","word","word",1
"суд","судија","related","word","word",0.706969682454336
"слух","суђење","related","word","word",0.387459708601802
"месец","сунце","related","word","word",0.466464320989898
"насупрот","супротно","related","word","word",0.77158279625292
"видети","сусрет","related","word","word",0.396344085287328
"детонатор","тајмер","related","word","word",0.646799928355101
"потенцијал","таленат","related","word","word",0.546636945695392
"овде","тамо","related","word","word",0.452033799794284
"кугла","тањир","related","word","word",0.576714443076094
"ујак","тата","related","word","word",0.47494618629394
"погрешан","тачан","related","word","word",0.576915824112914
"тежак","тежак","related","word","word",1
"радио","телевизија","related","word","word",0.429032853308465
"назвати","телефонирати","related","word","word",0.534902804413684
"топлота","температура","related","word","word",0.600958210223124
"голф","тенис","related","word","word",0.641148917989822
"идеја","теорија","related","word","word",0.567177988426132
"под","тепих","related","word","word",0.441599652833005
"оптеретити","терет","related","word","word",NA
"експеримент","тест","related","word","word",0.474909904258078
"метод","техника","related","word","word",0.48863004375649
"течност","течност","related","word","word",1
"лига","тим","related","word","word",0.386354520154785
"тинејџерски","тинејџер","related","word","word",NA
"ћудљив","тишина","related","word","word",NA
"кожа","ткиво","related","word","word",0.541956768707032
"шта","то","related","word","word",0.43524151932245
"ураган","торнадо","related","word","word",0.595557446085482
"десерт","торта","related","word","word",0.54064290262251
"тужан","трагичан","related","word","word",0.658198635247748
"модеран","традиционалан","related","word","word",0.633621719007089
"оркестар","трака","related","word","word",0.45595334368772
"кичма","трбушан","related","word","word",NA
"комерцијалан","трговац","related","word","word",NA
"неопходан","требати","related","word","word",0.439481159912598
"једна","три","related","word","word",0.33500356458332
"маратон","трка","related","word","word",0.483636303811338
"удвостручити","трострук","related","word","word",NA
"круг","троугао","related","word","word",0.533079716746384
"рођење","трудноћа","related","word","word",0.512252052155075
"адвокат","тужилац","related","word","word",0.586541302213935
"мост","тунел","related","word","word",0.486746887011702
"пилетина","ћурка","related","word","word",0.640337883660672
"напољу","у","related","word","word",0.39201864447326
"апсолутно","у потпуности","related","word","word",NA
"понедељак","у уторак","related","word","word",NA
"самоубиство","убиство","related","word","word",0.901626594208633
"отров","убити","related","word","word",0.413012605552564
"убица","убица","related","word","word",1
"увредити","увредити","related","word","word",1
"погодити","ударац","related","word","word",0.495195405556517
"страшан","ужасан","related","word","word",0.669079273202632
"ланац","уже","related","word","word",0.436005335461981
"поносан","узбуђен","related","word","word",0.558403601489659
"прекидати","узнемиравати","related","word","word",0.602203296753171
"разлог","узрок","related","word","word",0.427039012291718
"значка","уједначен","related","word","word",NA
"укусан","укусан","related","word","word",1
"излаз","улаз","related","word","word",0.779102042269492
"авенија","улица","related","word","word",0.575889458806157
"угао","уличица","related","word","word",0.396240778196304
"зграбити","улов","related","word","word",0.501608809644151
"финансија","уложити","related","word","word",0.456176936743457
"угљен","уље","related","word","word",0.50742765978542
"патити","умрети","related","word","word",0.574694656960291
"факултет","универзитет","related","word","word",0.637353735122111
"стварање","уништење","related","word","word",0.587604062878445
"обичан","уобичајен","related","word","word",0.707151912111001
"надиграти се","уп","related","word","word",NA
"применити","употреба","related","word","word",0.424761714091157
"јурисдикција","управа","related","word","word",NA
"направити","урадите","related","word","word",0.392434163991982
"радни сто","уред","related","word","word",NA
"чип","уређај","related","word","word",0.512447411761074
"крв","урин","related","word","word",0.478995912718462
"сама","усамљен","related","word","word",0.398512885585412
"управљати","успети","related","word","word",0.509578910496375
"сачувати","успоставити","related","word","word",0.488353081562659
"закон","устав","related","word","word",0.462064280998515
"турнир","утакмица","related","word","word",0.543089012188517
"утицај","утицај","related","word","word",1
"око","ухо","related","word","word",0.399397495829139
"мито","уцењивање","related","word","word",NA
"ученик","учитељ","related","word","word",0.627710134225884
"научити","учити","related","word","word",0.867702124670546
"пошта","факс","related","word","word",0.464742835182266
"стварност","фантазија","related","word","word",0.618689887776695
"предивна","фантастичан","related","word","word",0.523486947298581
"смртоносан","фаталан","related","word","word",0.680912512241028
"колонија","федерација","related","word","word",0.610580471491862
"карневал","фестивал","related","word","word",0.726824360965362
"сексуалан","физички","related","word","word",NA
"порнографија","филм","related","word","word",0.481240385338411
"банкарство","финансијски","related","word","word",NA
"буџет","финансирање","related","word","word",0.553799799148359
"финансијски","финансирање","related","word","word",0.734718291152481
"морнарички","флота","related","word","word",0.510682179441781
"аутограм","фотограф","related","word","word",0.669992860959095
"слика","фотографија","related","word","word",0.601720931785284
"речник","фраза","related","word","word",0.552768323751631
"енглески језик","француски","related","word","word",NA
"кошарка","фудбал","related","word","word",0.608260571342658
"оперативан","функционалан","related","word","word",0.61069986098143
"илузија","халуцинација","related","word","word",0.705255577307548
"сукња","хаљина","related","word","word",0.6497455000294
"сендвич","хамбургер","related","word","word",0.640988020659267
"казнити","хапшење","related","word","word",0.467287482292584
"равнотежа","хармонија","related","word","word",0.572763724753987
"хитна помоћ","хеликоптер","related","word","word",NA
"папир","хемијска оловка","related","word","word",NA
"кокаин","хероин","related","word","word",0.630110045159212
"помагање","хив","related","word","word",0.528451012854729
"радити","хирургија","related","word","word",0.414244646397745
"хитан","хитан","related","word","word",1
"топло","хладан","related","word","word",0.554955023320486
"трцати","ходати","related","word","word",NA
"племенит","храбар","related","word","word",0.571041778960724
"католички","хришћанин","related","word","word",0.615138779787908
"царински","цар","related","word","word",NA
"династија","царство","related","word","word",0.503025737673458
"постројење","цвет","related","word","word",0.429272550662717
"вредност","цена","related","word","word",0.574839456985653
"дивити се","ценити","related","word","word",NA
"миља","центиметар","related","word","word",0.474567383916776
"мозак","церебралан","related","word","word",NA
"ритуал","церемонија","related","word","word",0.547192729857269
"култура","цивилизација","related","word","word",0.608838278286626
"дим","цигара","related","word","word",0.36840414218399
"дувански","цигарета","related","word","word",NA
"наиван","циничан","related","word","word",0.707960114360435
"покретање","ципела","related","word","word",0.390566586092679
"золошки врт","циркус","related","word","word",NA
"пумпа","црево","related","word","word",0.536978613890433
"бео","црн","related","word","word",0.551364904989363
"подморница","чамац","related","word","word",0.453848192701227
"магија","чаробњак","related","word","word",0.476685573367345
"привилегија","част","related","word","word",0.560552367245209
"залепити","чекић","related","word","word",0.511050740550645
"бетон","челик","related","word","word",0.529484141021471
"материсати","честица","related","word","word",NA
"понекад","често","related","word","word",0.40606136511151
"два","четворо","related","word","word",0.439288292633369
"трећи","четврти","related","word","word",0.59109384256236
"половина","четрталан","related","word","word",NA
"шећер","чоколада","related","word","word",0.631118887048136
"продавница","чувати","related","word","word",0.345876438637861
"необичан","чудан","related","word","word",0.669996079424548
"слушати","чути","related","word","word",0.635753730624192
"приредити","шала","related","word","word",0.388796792050135
"вино","шампањац","related","word","word",0.549620905643127
"атрактиван","шармантан","related","word","word",0.673425649667976
"дремкати","шетати се","related","word","word",NA
"менаџер","шеф","related","word","word",0.553451332030742
"кацига","шешир","related","word","word",0.583161446787894
"узак","широк","related","word","word",0.524340529104017
"класа","школски","related","word","word",0.457578284666942
"лазање","шпагете","related","word","word",0.47609123263935
"игла","шприц","related","word","word",0.469559807694535
"џунгла","шума","related","word","word",0.618143609628426
"фирма","столица","unrelated","word","word",0.42868310070034
"управљање","чекић","unrelated","word","word",0.36453704180655
"хормон","опремити","unrelated","word","word",NA
"број","сонда","unrelated","word","word",0.394068622517126
"терминал","брзина","unrelated","word","word",0.508987676158285
"окидач","аутомобил","unrelated","word","word",0.398096238499802
"активан","мртав","unrelated","word","word",0.468052115703252
"глас","приватност","unrelated","word","word",0.349842699070874
"упозорити","венчање","unrelated","word","word",0.360884303671253
"мотив","износ","unrelated","word","word",0.394283432149957
"браво","лак","unrelated","word","word",0.41550255125921
"африка","ерекција","unrelated","word","word",0.46344406754759
"обдукција","јако","unrelated","word","word",0.33587235496511
"смешан","занимљив","unrelated","word","word",0.556025074661352
"незнање","држава","unrelated","word","word",0.378508487927318
"вена","лук","unrelated","word","word",0.304687931279782
"коњица","женско","unrelated","word","word",0.392684790691812
"инжењер","хитан","unrelated","word","word",0.499236489600976
"плаћеник","цигарета","unrelated","word","word",0.368529600212424
"пацифички","свет","unrelated","word","word",NA
"животна средина","акценат","unrelated","word","word",NA
"возити","близу","unrelated","word","word",0.333540949019602
"возило","пораз","unrelated","word","word",0.288264562674785
"пут","психолошки","unrelated","word","word",0.34106924722932
"деда","фаталан","unrelated","word","word",0.351569223088299
"клуб","сусрет","unrelated","word","word",0.4209850231661
"пуковник","бол","unrelated","word","word",0.304699450408514
"супермен","писац","unrelated","word","word",0.41001401107032
"сеф","новац","unrelated","word","word",0.417981577586534
"сигурност","створење","unrelated","word","word",0.306340760726275
"бескористан","информације","unrelated","word","word",0.391534901740599
"стадион","гладан","unrelated","word","word",0.404761760220868
"слободно","мучење","unrelated","word","word",0.359325675925226
"љутња","дужина","unrelated","word","word",0.498050683587052
"хемија","епидемија","unrelated","word","word",0.846421063284884
"хемијски","група","unrelated","word","word",0.376471790969744
"рат","пријатељство","unrelated","word","word",0.319196750116228
"избеглица","сине","unrelated","word","word",0.308208581744617
"отворен","летети","unrelated","word","word",0.301418975791214
"сиромашан","класичан","unrelated","word","word",0.575665423744761
"благо","отац","unrelated","word","word",0.335919280715535
"бог","голи","unrelated","word","word",0.353436456900787
"хорор","купатило","unrelated","word","word",0.497163752577342
"арена","памук","unrelated","word","word",0.466502520573013
"патња","образовање","unrelated","word","word",0.42099515129119
"грип","вакцина","unrelated","word","word",0.531657159959083
"болестан","лизање","unrelated","word","word",0.316489622771078
"шампион","алиби","unrelated","word","word",0.3891102304054
"борба","рано","unrelated","word","word",0.346076718669701
"вашингтон","невеста","unrelated","word","word",0.384781819280498
"стакло","дивизија","unrelated","word","word",0.382993635638252
"коса","доручак","unrelated","word","word",0.333383310318829
"развод","октобар","unrelated","word","word",0.392294168631666
"сестра","демонстрација","unrelated","word","word",0.462123722786864
"кицош","додатни","unrelated","word","word",0.587037004248464
"зрно","хероин","unrelated","word","word",0.498908975125522
"спор","родитељски","unrelated","word","word",0.414758386099809
"растојање","инструмент","unrelated","word","word",0.455713774441629
"полако","температура","unrelated","word","word",0.409860372123188
"посада","болестан","unrelated","word","word",0.351599489222189
"вредан","ухо","unrelated","word","word",0.344850867941657
"протући","реците","unrelated","word","word",NA
"зомби","енергија","unrelated","word","word",0.465826844239501
"нло","повући","unrelated","word","word",0.373150968731093
"цимет","локални","unrelated","word","word",0.428603747373063
"приколица","уп","unrelated","word","word",0.411320285249264
"схерлоцк","пљачка","unrelated","word","word",0.473719400408756
"интернет","тамо","unrelated","word","word",0.362653630274815
"пракса","седети","unrelated","word","word",0.444259198194324
"одличан","борити се","unrelated","word","word",NA
"саосећајан","договор","unrelated","word","word",0.409809696880923
"марса","лепота","unrelated","word","word",0.441568953517201
"вентил","гробље","unrelated","word","word",0.399928183520533
"ангажовање","често","unrelated","word","word",0.34876698062023
"надати се","очигледно","unrelated","word","word",NA
"одан","сос","unrelated","word","word",0.341629631583547
"поверење","затвор","unrelated","word","word",0.34324660994025
"вероватноћа","проблем","unrelated","word","word",0.32771310243921
"можда","извршење","unrelated","word","word",0.315563391589725
"објашњење","протокол","unrelated","word","word",0.424439165049789
"канал","скандал","unrelated","word","word",0.518063711753148
"ноћ","језеро","unrelated","word","word",0.355235017072426
"природњак","морнарица","unrelated","word","word",NA
"проклетство","концентрат","unrelated","word","word",NA
"двд","плашити се","unrelated","word","word",NA
"откровење","јесен","unrelated","word","word",0.479681021137953
"кашика","велики","unrelated","word","word",0.427023314635663
"тежина","халуцинација","unrelated","word","word",0.577611197663442
"низак","у","unrelated","word","word",0.416393041566181
"величанство","манастир","unrelated","word","word",0.428607085765525
"беланчевина","тунел","unrelated","word","word",NA
"управа","крив","unrelated","word","word",0.336908472934834
"својство","заједница","unrelated","word","word",NA
"виски","уједначен","unrelated","word","word",NA
"угљеник","поручити","unrelated","word","word",NA
"члан","торнадо","unrelated","word","word",0.418334699012465
"путник","сликар","unrelated","word","word",0.51697590683418
"погон","финансијски","unrelated","word","word",0.46813892836409
"грађан","предмет","unrelated","word","word",NA
"легија","цвет","unrelated","word","word",0.412644352589032
"медвед","перформансе","unrelated","word","word",0.43530093369576
"јабука","западни","unrelated","word","word",0.372077656067235
"анђео","практично","unrelated","word","word",0.433580258055688
"грло","запамтити","unrelated","word","word",0.463287249882154
"прозор","брзо","unrelated","word","word",0.300856036560863
"назад","механички","unrelated","word","word",0.418559827351828
"изузетно","спаваћа соба","unrelated","word","word",NA
"свемир","квалитет","unrelated","word","word",0.442805982709961
"радионица","батаљон","unrelated","word","word",0.512466816417928
"лезбијка","спавати","unrelated","word","word",0.438997762929123
"клавир","хеликоптер","unrelated","word","word",0.410803779804109
"кувар","одговорити","unrelated","word","word",0.326528258973572
"уморан","лет","unrelated","word","word",0.32039504060014
"већина","гориво","unrelated","word","word",0.386009404400755
"кандидат","у уторак","unrelated","word","word",NA
"гледати","депресија","unrelated","word","word",0.36279394800573
"национални","мишић","unrelated","word","word",0.444336515015806
"аутор","лажно","unrelated","word","word",0.341819710296746
"наиван","узрок","unrelated","word","word",0.454719083252393
"лудило","осећај","unrelated","word","word",0.36319961544222
"слеп","непознат","unrelated","word","word",0.457558185437068
"разговарати","притиснути","unrelated","word","word",0.408389780227159
"голуб","борац","unrelated","word","word",0.484766834772407
"гасни","изванредан","unrelated","word","word",NA
"манкирати","животињски","unrelated","word","word",NA
"нижи","негде","unrelated","word","word",0.336824281988491
"главни град","магазин","unrelated","word","word",NA
"конструкција","ретко","unrelated","word","word",0.405676531165659
"шериф","остати","unrelated","word","word",0.353055919328746
"килограм","недеља","unrelated","word","word",0.391653498668214
"грешка","криза","unrelated","word","word",0.522774747431963
"гроб","пуцај","unrelated","word","word",0.325072952663298
"кашаљ","умрети","unrelated","word","word",0.397309732152962
"муња","долар","unrelated","word","word",0.367058586304786
"барон","бјегунац","unrelated","word","word",NA
"стомак","дефиниција","unrelated","word","word",0.368924237930854
"банда","знак","unrelated","word","word",0.304694336086736
"римски","вежби","unrelated","word","word",0.404454156598467
"кап","ходати","unrelated","word","word",0.384420924624589
"жаба","експлозија","unrelated","word","word",0.488570647023375
"добро","смех","unrelated","word","word",0.309997151027208
"залазак сунца","једрити","unrelated","word","word",NA
"близу","ефикасан","unrelated","word","word",0.476778170109414
"господар","закренути","unrelated","word","word",NA
"понудити","децембар","unrelated","word","word",0.364914934091106
"палата","донација","unrelated","word","word",0.485581613381118
"танак","салата","unrelated","word","word",0.431636033597536
"децаци","уређај","unrelated","word","word",NA
"век","давалац","unrelated","word","word",0.443134961381763
"гест","пошаљи","unrelated","word","word",0.354948362769001
"слобода","значај","unrelated","word","word",0.369416080647316
"протест","пилот","unrelated","word","word",0.417338211782476
"стрес","инспекција","unrelated","word","word",0.440077116743647
"догодити се","романтичан","unrelated","word","word",NA
"беба","зацелити","unrelated","word","word",0.430340029016138
"агент","несрећа","unrelated","word","word",0.310150505829256
"младост","шеф","unrelated","word","word",0.275809324841545
"концепт","одбранити","unrelated","word","word",0.441288091978637
"новембар","леш","unrelated","word","word",0.328215057953556
"девојка","награда","unrelated","word","word",0.406578799951303
"јединица","око","unrelated","word","word",0.32417632357852
"барут","океан","unrelated","word","word",0.480617472171733
"пинг","чамац","unrelated","word","word",0.343582557031494
"диплома","алармни","unrelated","word","word",NA
"директан","агенција","unrelated","word","word",0.351394684879777
"разговор","замрзнути","unrelated","word","word",0.393514228556698
"на врху","признати","unrelated","word","word",NA
"волонтерски","одлазак","unrelated","word","word",NA
"довољно","примарна","unrelated","word","word",0.383114273956968
"феномен","дете","unrelated","word","word",0.37570178760718
"уговор","комплетан","unrelated","word","word",0.444938374720998
"додатни","снимање","unrelated","word","word",0.422453447796919
"дозволити","отпуштање","unrelated","word","word",0.451764460627062
"доказ","пословати","unrelated","word","word",0.375742102009127
"досије","камповање","unrelated","word","word",0.312811444557381
"фунта","научник","unrelated","word","word",0.333593452540257
"пустиња","помоћи","unrelated","word","word",0.281675634276066
"милосрђе","јаје","unrelated","word","word",0.504605166589575
"вечерати","бака","unrelated","word","word",0.381978634543405
"заслужити","шала","unrelated","word","word",0.400796001371744
"понос","кеса","unrelated","word","word",0.413946437067666
"стићи","огроман","unrelated","word","word",0.377703941112349
"дијамантски","огледало","unrelated","word","word",0.441720565546943
"грм","жена","unrelated","word","word",0.319187352621548
"савезљив","миран","unrelated","word","word",NA
"алкохол","достојанство","unrelated","word","word",0.354547252357546
"кратак","наредити","unrelated","word","word",0.358718872814175
"величина","хемијска оловка","unrelated","word","word",NA
"одговорност","цена","unrelated","word","word",0.423131321082334
"душа","настави","unrelated","word","word",0.318466980414478
"провалити","желети","unrelated","word","word",0.430087034360192
"бомба","тужилац","unrelated","word","word",0.39901227614512
"земљотрес","сателит","unrelated","word","word",0.544200653041094
"модни","патка","unrelated","word","word",0.370241321432176
"магнетни","бијес","unrelated","word","word",NA
"тренутни","вероватно","unrelated","word","word",0.364431356887863
"фактор","венес","unrelated","word","word",0.474539243125979
"ментални","наранџаста","unrelated","word","word",0.490457046759824
"снага","злочин","unrelated","word","word",0.344221570063259
"куга","комад","unrelated","word","word",0.382681381594013
"серија","нацртати","unrelated","word","word",0.408788428895409
"оргазам","опљачкати","unrelated","word","word",0.391134997413607
"корисно","милост","unrelated","word","word",0.320689880478615
"прогутати","спектакуларни","unrelated","word","word",0.534508791998749
"глад","пешкир","unrelated","word","word",0.341017502748376
"жеља","трагичан","unrelated","word","word",0.386366481009269
"мужа","пребатор","unrelated","word","word",NA
"удовица","опрати","unrelated","word","word",0.467357098142397
"мушки","хладан","unrelated","word","word",0.4053691948925
"звер","снијег","unrelated","word","word",0.360159654271619
"кабл","мамац","unrelated","word","word",0.46193203313344
"рецепција","вратити се","unrelated","word","word",NA
"црвено","невероватно","unrelated","word","word",0.432230575847204
"забрањен","краљ","unrelated","word","word",0.332656202219943
"забринутост","зона","unrelated","word","word",0.457592852034961
"крај","поздравити","unrelated","word","word",0.407835672679835
"пољубити","рођак","unrelated","word","word",0.382178201177011
"предњи део","одржавање","unrelated","word","word",NA
"први","спор","unrelated","word","word",0.30981537307815
"дупе","изазов","unrelated","word","word",0.317080287002717
"држати","продаја","unrelated","word","word",0.311022767421513
"заправо","пилула","unrelated","word","word",0.392381795605695
"кредит","маслац","unrelated","word","word",0.394224358183846
"друштво","савршено","unrelated","word","word",0.365974036244656
"закуни се","надимак","unrelated","word","word",NA
"кључ","професионалан","unrelated","word","word",0.392443959171404
"копати","факс","unrelated","word","word",0.347555953179632
"ред","забринути","unrelated","word","word",0.38673029305654
"најам","потврди","unrelated","word","word",0.387025615121203
"заменити","изразити","unrelated","word","word",0.606182692125662
"растопити","заиста","unrelated","word","word",NA
"узбудљив","архитекта","unrelated","word","word",0.508625164893168
"јужни","сенатор","unrelated","word","word",0.421289474272443
"заборавити","шампањац","unrelated","word","word",0.420727152362897
"отварање","икад","unrelated","word","word",0.250350329092137
"казна","врат","unrelated","word","word",0.331522378091196
"ћелија","краљевство","unrelated","word","word",0.368534909881022
"закључан","мирис","unrelated","word","word",0.312452569088931
"талац","сила","unrelated","word","word",0.422119439444434
"вечни","опција","unrelated","word","word",0.338517182605449
"спречити","финансирање","unrelated","word","word",0.454392307307251
"захвалан","артерија","unrelated","word","word",0.31816024545379
"гостопримство","капитализам","unrelated","word","word",0.564583771591699
"потражња","импресионирати","unrelated","word","word",0.524514108803925
"опоравити се","комуникација","unrelated","word","word",NA
"хаос","литература","unrelated","word","word",0.433490452941533
"званично","експлозиван","unrelated","word","word",NA
"позната личност","перспективан","unrelated","word","word",NA
"рог","комитет","unrelated","word","word",0.354350768732877
"бука","бесплатно","unrelated","word","word",0.430997648350091
"торањ","прашњав","unrelated","word","word",NA
"здраво","креативност","unrelated","word","word",0.337126389757596
"лисица","плави","unrelated","word","word",0.428120841284983
"лето","свиња","unrelated","word","word",0.341900931658019
"грех","стан","unrelated","word","word",0.361286979107008
"лопов","пећ","unrelated","word","word",0.328705839757983
"црв","ракун","unrelated","word","word",0.52759385139956
"образац","напад","unrelated","word","word",0.394352336733503
"искуство","смеша","unrelated","word","word",NA
"сада","задњица","unrelated","word","word",0.39949988987291
"препознати","груди","unrelated","word","word",0.426542924107435
"значење","циркус","unrelated","word","word",0.377295695950015
"област","гаража","unrelated","word","word",0.456887469804651
"загађење","лечење","unrelated","word","word",0.686654284344151
"наказати","камион","unrelated","word","word",NA
"игра","зецач","unrelated","word","word",NA
"тренер","кравата","unrelated","word","word",0.405435354931249
"лутка","мотел","unrelated","word","word",0.404623213156629
"будала","демократија","unrelated","word","word",0.450523572767259
"препрека","ткиво","unrelated","word","word",0.450456961235749
"кампања","лука","unrelated","word","word",0.405374211627636
"изузетан","снажно","unrelated","word","word",0.410840956126487
"висећи","војни","unrelated","word","word",0.409252914671787
"опростити","министарство","unrelated","word","word",0.387697703796314
"шпијунски","минут","unrelated","word","word",0.340509364338833
