"sr_target","sr_cue","sr_fake_cue","sr_fake_target","en_cue","en_target"
"одговорити","одговор","одгослио","стрпљеговорити","answer","reply"
"одлазак","долазак","доласком","одлашла","arrival","departure"
"одлучност","храброст","ужиброст","окрутност","courage","determination"
"одобрење","дозвола","доустала","спрабрење","permission","approval"
"одолети","отпорност","отпорство","функлети","resistance","resist"
"одржавање","служба","слубро","источжавање","service","maintenance"
"одсуство","присуство","присуност","одсупруг","presence","absence"
"ожењен","једно","мајно","ожебар","single","married"
"ожиљак","тетоважа","тетовалност","џонљак","tattoo","scar"
"океан","море","могућ","заман","sea","ocean"
"оклоп","штит","твит","rvлоп","shield","armor"
"око","рунда","плуда","ouо","round","around"
"округ","жупанија","стварпанија","tyруг","county","district"
"окрутан","бруталан","брутаског","обичтан","brutal","cruel"
"окрутност","зли","ери","остатност","evil","cruelty"
"октобар","септембар","секундбар","октослим","september","october"
"олуја","ветар","вериш","уреја","wind","storm"
"опасан","ризичан","ризистим","кансан","risky","dangerous"
"опасност","ризиковати","ризикомплексти","грусност","risk","danger"
"опис","профил","прокас","опhi","profile","description"
"опљачкати","украсти","успести","странкати","steal","rob"
"опрати","чист","чипа","братти","clean","wash"
"опремити","опрема","срећма","истомити","equipment","equip"
"оптужба","жалба","жафан","оптубро","complaint","accusation"
"опција","избор","изсле","стрија","choice","option"
"орбити","планета","стигнета","ухвабити","planet","orbit"
"организовати","уредити","згоддити","организоватињства","arrange","organize"
"ормар","кабинет","кабистан","орсоа","cabinet","closet"
"оружар","арсенал","арсестра","орудре","arsenal","armory"
"оружје","пиштољ","пистру","освоје","pistol","weapon"
"освјежи","свеж","свжa","остатжи","fresh","refresh"
"осетљив","деликатан","деликалност","осебрио","delicate","sensitive"
"осећај","утисак","утибим","осесту","impression","feeling"
"остати","остати","иденти","иденти","stay","remain"
"осумњичити","сумња","супод","странмњичити","doubt","suspect"
"отац","мајка","једка","отзa","mother","father"
"отети","киднап","асинап","трити","kidnap","abduct"
"отисак прста","днк","гдк","отисак пглeдa","dna","fingerprint"
"откупнина","киднаппер","киднабњак","откуастрона","kidnapper","ransom"
"отпуштање","оставка","астрока","отпустрпљење","resignation","dismissal"
"очекивати","чекати","чекаквог","стваркивати","wait","expect"
"очигледно","јасно","јаште","очимрачно","clearly","obviously"
"пакао","рај","ogј","панеш","paradise","hell"
"пакет","коверат","ковепсио","пацам","envelope","package"
"палац","прст","jeст","паром","finger","thumb"
"палуба","кабина","касрећна","палудост","cabin","deck"
"памук","свила","дјела","пабеш","silk","cotton"
"парадајз","кромпир","крорлин","парасној","potato","tomato"
"паранормалан","натприродан","дoвoљприродан","паранормастрпљив","supernatural","paranormal"
"парфем","руж","прж","паржву","lipstick","perfume"
"пасош","улазница","улашкарца","пацир","ticket","passport"
"патетичан","јадан","јашња","патетињство","miserable","pathetic"
"патка","гуска","гутао","дигка","goose","duck"
"патрола","стражар","страгих","пажљивла","guard","patrol"
"пауза","разбити","остабити","пауспех","smash","break"
"пацов","миша","мијер","паћим","mouse","rat"
"пенис","вагина","вазлатна","пешаш","vagina","penis"
"периметар","радијус","радизвој","перимелност","radius","perimeter"
"перспективан","поглед","пограм","остваспективан","view","perspective"
"перформансе","прикажи","ставкажи","остваформансе","show","performance"
"песак","блато","радто","петон","mud","sand"
"песма","албум","rjбум","педог","album","song"
"песма","текст","терут","педог","text","poem"
"пећ","пећница","кључница","ušћ","oven","stove"
"пешкир","покривач","покријлсе","пекорд","blanket","towel"
"пиво","попити","посхвати","угово","drink","beer"
"пијан","трезан","тредем","пиној","sober","drunk"
"пилот","астронаут","основнаут","пишал","astronaut","pilot"
"пилула","таблет","тагред","пилудост","tablet","pill"
"писање","читање","читастич","писастан","reading","writing"
"писати","читати","чииденти","пииденти","read","write"
"писац","песник","пезнао","пипте","poet","writer"
"питати","питање","питастич","пииденти","question","ask"
"пиштољ","пушка","пумон","пишним","rifle","gun"
"плави","смеђа","изађа","удови","brown","blue"
"пламен","ватра","варио","плапом","fire","flame"
"планина","брдо","бршем","истинина","hill","mountain"
"планирање","припрема","приустима","огромнирање","preparation","planning"
"пластика","цемент","цеслим","одвестика","cement","plastic"
"плата","пензионисати","вeрoвaтзионисати","лтета","pension","salary"
"плашити се","плашити се","плашититланд","плашитиблдор","scare","frighten"
"плесати","плесач","плелук","ствосати","dancer","dance"
"пливати","утопити","гoдипити","утаквати","drown","swim"
"пљачка","крађа","спођа","станка","theft","robbery"
"победити","добити","доухвати","поздравдити","gain","win"
"победник","губитник","гууредник","подручник","loser","winner"
"побјећи","бежати","берлинти","познаоћи","flee","escape"
"побољшање","променити","стварменити","поздравшање","change","improvement"
"повреда","рана","разго","поаманда","wound","injury"
"површина","слој","слдо","повросновна","layer","surface"
"повући","гурати","стварати","поздраћи","push","pull"
"подне","поноћ","посмo","броне","midnight","noon"
"поздравити","честитати","стварститати","поздрависност","congratulate","greet"
"познати","популаран","популалност","поиденти","popular","famous"
"позориште","биоскоп","хејскоп","позорилност","cinema","theater"
"појединац","особа","сенба","поједиством","person","individual"
"покер","коцкање","стрикање","попим","gambling","poker"
"поклон","комплимент","комплиског","поглас","compliment","gift"
"покушај","покушати","играчкушати","покуслио","try","attempt"
"политика","новинарство","новинарлност","полиопљачка","journalism","politics"
"политичар","политика","полииграчка","политисност","policy","politician"
"политички","критичан","критиском","поздравтички","critical","political"
"положај","статус","стаесн","полојент","status","position"
"помоћи","помоћ","полет","помоскву","help","assist"
"помоћник","секретар","секреском","поуредник","secretary","assistant"
"помоћник","подршка","подрквог","поуредник","support","assistance"
"поправити","поправити","поправисност","поправисност","fix","repair"
"пораз","победа","поаманда","поџер","victory","defeat"
"породица","клана","бодна","поространца","clan","family"
"поручити","упозорење","стварзорење","поручилност","warning","message"
"поручник","наредник","наштитник","поуметник","sergeant","lieutenant"
"пословати","индустрија","индужностја","поздраввати","industry","business"
"потврди","потврда","поправда","посклади","confirmation","confirm"
"потера","пратити","идентити","подручра","follow","chase"
"потпис","печат","пепси","потнет","stamp","signature"
"пошаљи","довести","довежбао","пошарлот","bring","send"
"правда","освета","очајта","ствада","revenge","justice"
"прави","истинито","опронито","свеви","TRUE","real"
"правни","незаконит","незакоглeдa","ограни","illegal","legal"
"празник","божић","боњац","праклин","christmas","holiday"
"практично","буквално","бубреглно","ускотично","literally","practically"
"пратећи","пратња","прајаш","убијтећи","escort","accompany"
"прашина","пепео","пекар","отвошина","ash","dust"
"прашњав","ручни","бејни","праграф","rusty","dusty"
"првенство","конкуренција","стрпљекуренција","прeвиство","competition","championship"
"пребатор","плен","ezен","пребављаш","prey","predator"
"превара","завера","скривера","изјавара","conspiracy","fraud"
"предавање","семинар","семислиш","ствардавање","seminar","lecture"
"предајник","сензор","сенчеш","преуметник","sensor","transmitter"
"предложити","предложити","ствардложити","ствардложити","propose","suggest"
"предмет","објект","објећu","предзне","object","subject"
"предовост","верност","опуност","предобњак","fidelity","devotion"
"председник","канцеларки","огромцеларки","страседник","chancellor","president"
"предузетник","милионер","милиоством","предууправник","millionaire","entrepreneur"
"преживети","живети","жиобрати","стварживети","live","survive"
"презиме","надимак","надиквог","услузиме","nickname","surname"
"пренос","потез","попша","прецио","move","transfer"
"престор","круна","узена","прешком","crown","throne"
"претеривати","подцењивање","нeкoлицењивање","нeкoлитеривати","underestimate","exaggerate"
"претпоставка","закључак","закљуству","стварпоставка","conclusion","assumption"
"прехлађен","топло","тођај","претресђен","hot","cold"
"приватност","приватно","призгодно","приватство","private","privacy"
"привући","пажња","папан","основући","attention","attract"
"признати","пустити","пуухвати","пристојти","admit","confess"
"пријатан","удобан","чујбан","пријасниш","comfortable","pleasant"
"пријатељ","колега","колезбеј","пријаслио","colleague","friend"
"пријатељски","учтив","учшто","пријаспортски","polite","friendly"
"пријатељство","однос","одцио","пријатељлност","relationship","friendship"
"прикључак","контакт","конлест","прикљуслио","contact","connection"
"примарна","секундаран","сестромдаран","приступна","secondary","primary"
"принц","принцеза","уплацеза","првaц","princess","prince"
"припремити","спреман","спрежио","стварпремити","ready","prepare"
"притисак","пулс","пумпу","притиквог","pulse","pressure"
"притиснути","дугме","рашме","ствартиснути","button","press"
"прихватити","одбити","одухвати","ствархватити","refuse","accept"
"приход","зарадити","огромрадити","привин","profit","income"
"прљав","гадан","гаске","пркуд","nasty","filthy"
"проблем","невоља","неволски","проброј","trouble","problem"
"проверити","проверавати","нeкoливеравати","стварверити","check","verify"
"проводити","губљење","гуиграње","стварводити","waste","spend"
"програм","пројекат","ствујекат","проквим","project","program"
"продаја","аукција","уторција","огледаја","auction","sale"
"продати","купити","кусхвати","огледати","buy","sell"
"произвести","креирај","креизвод","произвеглeдa","create","produce"
"производ","марка","зника","проитрик","brand","product"
"производња","фабрички","фаструки","произволност","factory","production"
"пројектил","ракета","рафронта","пројеквреј","rocket","missile"
"пронаћи","претрага","прегледга","гладнаћи","search","find"
"проповедан","говор","гошај","проповелност","speech","sermon"
"противник","непријатељски","исправпријатељски","проследник","enemy","opponent"
"протокол","владавина","огромдавина","протолтер","rule","protocol"
"прототип","модел","мосор","протобром","model","prototype"
"професионалан","аматерски","утортерски","професионастрпљив","amateur","professional"
"професор","декан","дефре","профеминг","dean","professor"
"процедура","процес","прорир","стварцедура","process","procedure"
"процена","посматрање","посматралност","клинцена","observation","evaluation"
"прошлост","будућност","будућство","протлмен","future","past"
"психологија","анатомија","источтомија","вeрoвaтхологија","anatomy","psychology"
"психолошки","медицински","медиспортски","огромхолошки","medical","psychological"
"птица","лептир","лестро","тврца","butterfly","bird"
"публика","гомила","утакмила","пуистока","crowd","audience"
"пуковниче","генерал","генебљен","пуспремниче","general","colonel"
"пун","празан","прагом","овн","empty","full"
"пуцај","пуцањ","пудих","пубор","shot","shoot"
"рад","посао","повер","ogд","job","work"
"радник","фармер","фаррли","бланик","farmer","worker"
"радост","задовољство","задовољлност","разнат","pleasure","joy"
"развој","напредак","напретрес","рајвид","progress","development"
"раздобље","фаза","глуза","раздослов","phase","period"
"различит","сличан","кључан","разлископ","similar","different"
"размислити","размотрити","озбиљмотрити","озбиљмислити","consider","think"
"разочарање","изненађење","изненађестронг","нeкoлизочарање","surprise","disappointment"
"разуман","сајам","сатон","разуском","fair","reasonable"
"разумети","схватити","одлутити","озбиљзумети","realize","understand"
"рак","тумор","тучег","ogк","tumor","cancer"
"ракун","веверица","веверилност","радич","squirrel","raccoon"
"рано","касно","кавиш","равам","late","early"
"распоред","календар","каквомдар","распознај","calendar","schedule"
"ратник","војник","војком","тврник","soldier","warrior"
"рачунар","софтвер","софспех","рачуштен","software","computer"
"реактор","генератор","генерамплет","реаквљам","generator","reactor"
"реалистичан","оптимистичан","углавмистичан","реалистимплекс","optimistic","realistic"
"редитељ","продуцент","продутраг","редислио","producer","director"
"религија","филозофија","стрпљелозофија","религилберт","philosophy","religion"
"репутација","каријера","каријелност","нeкoлипутација","career","reputation"
"ресторан","паб","лоб","рестостио","pub","restaurant"
"ретко","повремено","поврестварно","убрко","occasionally","rarely"
"реците","рећи","ресто","шкарците","say","tell"
"реченица","реч","žaч","реосновница","word","sentence"
"риба","ајкула","скрикула","барба","shark","fish"
"риболов","ловачки","лофренки","рибоминг","hunting","fishing"
"рим","цезар","цекић","пем","caesar","rome"
"родитељски","одрасли","одразвој","родиспортски","adult","parent"
"рођак","у односу","у однрлот","ролта","relative","cousin"
"рођендан","годишњица","годистранца","робњакдан","anniversary","birthday"
"романтичан","драматичан","драматињство","романтињство","dramatic","romantic"
"ружан","који се схвати","који се схмплекс","рујим","digusting","ugly"
"рука","ручно","кљуно","спака","hand","arm"
"рупа","пукотина","украткотина","руним","crack","hole"
"ручак","заградити се","заградитистинкт","рушке","snack","lunch"
"саботажа","шпијунажа","играчјунажа","саботалност","espionage","sabotage"
"саветовати","савет","санос","нeкoливетовати","advice","advise"
"савршено","идеалан","окруалан","саврстварно","ideal","perfect"
"садржај","садржати","озбиљдржати","садрстер","contain","content"
"сакрити","покривати","покривалност","саиденти","cover","hide"
"салата","супа","суног","саагента","soup","salad"
"самопоуздање","поштовање","поздраввање","вeрoвaтмопоуздање","respect","confidence"
"самурајски","нинџа","ваљџа","самуспортски","ninja","samurai"
"сањати","ноћна мора","испрана мора","саосвети","nightmare","dream"
"саосећање","стрпљење","исправње","саосестрпљење","patience","compassion"
"састанак","конференција","стрпљеференција","састастиш","conference","meeting"
"сателит","радар","рашка","сатеспао","radar","satellite"
"сахрана","мртвачки сандук","мртвачки састингс","саобична","coffin","funeral"
"сачувати","спасити","трејсити","огромчувати","rescue","save"
"сведочанство","сведок","свежђе","сведочанлност","witness","testimony"
"свет","међународни","исправђународни","ðuет","international","world"
"светао","сијати","дручјати","свењен","shine","bright"
"светло","мрак","мркс","свешња","darkness","light"
"свећа","лампа","лачао","крића","lamp","candle"
"свештеник","монах","моруј","светломник","monk","priest"
"свиња","крава","убива","пшења","cow","pig"
"себичан","тврдоглав","тврдојорк","себицикл","stubborn","selfish"
"северно","јужно","јучан","сепходно","south","north"
"седети","штанд","тванд","украдети","stand","sit"
"седиште","база","бављу","седирект","base","headquarters"
"село","камп","кадeo","себан","camp","village"
"сенат","парламент","парласког","сетон","parliament","senate"
"сенатор","гувернер","гуверквих","сенаглас","governor","senator"
"сећи","суза","сушти","секао","tear","cut"
"сигнал","фреквенција","фреструкција","оминал","frequency","signal"
"сила","снага","радга","систи","strength","force"
"симбол","застава","задњегва","фунбол","flag","symbol"
"синдроман","симптома","систвима","упродроман","symptom","syndrome"
"сине","ћерка","брика","систи","daughter","son"
"сир","хлеб","хлvx","вaр","bread","cheese"
"систем","мрежа","сножа","сиштољ","network","system"
"скандал","трачеви","одлучеви","сканзде","gossip","scandal"
"скинути","елиминисати","стрпљеминисати","франнути","eliminate","remove"
"склониште","уточиште","сврачиште","устаниште","refuge","shelter"
"скочити","попети се","попетиздрав","одлачити","climb","jump"
"скроман","понизан","понистра","скрожем","humble","modest"
"скупити","прикупити","оставкупити","златпити","collect","gather"
"слаб","јак","енк","ераб","strong","weak"
"слава","славан","слалом","днева","glorious","glory"
"сладак","сладак","слачеш","славој","sweet","cute"
"сланина","тост","јаст","древнина","toast","bacon"
"сликар","уметник","штитник","слибро","artist","painter"
"слово","телеграм","телеквој","знаво","telegram","letter"
"слуга","роб","erб","прога","slave","servant"
"служавка","дадиља","дадирект","слуоблака","nanny","maid"
"смањити","повећати","поздравћати","одлуњити","increase","reduce"
"смеће","смеће","плаће","криће","trash","garbage"
"смех","осмех","џимех","смлс","smile","laugh"
"смеша","комбинација","стрпљебинација","изаша","combination","mixture"
"смешан","духовит","духоспао","смезио","witty","funny"
"снажно","чврсто","гнесто","снаску","firmly","strongly"
"снајпер","стрелац","стрежиш","снаблем","shooter","sniper"
"снијег","киша","кинем","снисци","rain","snow"
"снимање","запис","завој","играмање","record","recording"
"сода","лимунада","лиспремнада","кенда","lemonade","soda"
"сок","млеко","кућко","хак","milk","juice"
"соларни","лунарни","лукључни","содневни","lunar","solar"
"сонда","капсула","каукрала","чујда","capsule","probe"
"сос","крем","крab","azс","cream","sauce"
"спавати","одмор","одчег","отровати","rest","sleep"
"спаваћа соба","соба","сојеш","спаваћа сстингс","room","bedroom"
"спаситељ","јунак","јуњен","спасислио","hero","savior"
"спектакуларни","сензационалан","сензационастрпљив","нeкoлитакуларни","sensational","spectacular"
"специјалиста","стручњак","струхват","нeкoлицијалиста","expert","specialist"
"спољашњи","унутрашњи","унутраквој","спољамљен","internal","external"
"спор","сукоб","сучић","спox","conflict","dispute"
"спортови","хоби","ховом","објетови","hobby","sport"
"способност","капацитет","капациглeдa","способство","capacity","ability"
"сребрна","златан","имотан","отвобрна","golden","silver"
"срећан","задовољан","задоволност","срегле","satisfied","happy"
"став","мишљење","мииграње","стtp","opinion","attitude"
"ставак","одељак","одесио","стапом","section","paragraph"
"ставити","уметнути","црвенути","предвити","insert","put"
"стаза","рута","слата","убрза","route","path"
"стално","увек","kjек","ставак","always","constantly"
"стан","сиротиште","сиротилност","стip","orphanage","convent"
"стан","кућу","стићу","стip","house","apartment"
"станица","платформа","вeруформа","уклоница","platform","station"
"становник","станар","ставет","стаследник","tenant","landlord"
"статуа","споменик","одлуменик","стазач","monument","statue"
"створење","чудовиште","чудовисност","главрење","monster","creature"
"стил","ритам","ришла","стеј","rhythm","style"
"столица","сто","ikо","укралица","table","chair"
"стотину","хиљада","одлуљада","обратину","thousand","hundred"
"страст","ентузијазам","ентузијастинкт","страпа","enthusiasm","passion"
"стратегија","план","плjl","албертегија","plan","strategy"
"структура","пирамида","стваррамида","истинтура","pyramid","structure"
"студија","истраживање","истражистрпљење","обрадија","research","study"
"судбина","судбина","уметбина","зграбина","fate","destiny"
"судија","суд","ајд","супротја","court","judge"
"суђење","слух","слшо","одређење","hearing","trial"
"сунце","месец","мерлс","хтеце","moon","sun"
"супротно","насупрот","насузних","суочајно","opposite","contrary"
"сусрет","видети","висхвати","сухтев","see","meet"
"тајмер","детонатор","детонаглeдa","тајсле","detonator","timer"
"таленат","потенцијал","поздравцијал","талезбеј","potential","talent"
"тамо","овде","мерде","слимо","here","there"
"тањир","кугла","кушаш","тапет","bowl","plate"
"тата","ујак","nbак","тавог","uncle","dad"
"тачан","погрешан","погреског","ташио","wrong","correct"
"тежак","тежак","теден","теџет","tough","hard"
"телевизија","радио","разре","нeкoлилевизија","radio","television"
"телефонирати","назвати","наследти","вeрoвaтлефонирати","call","telephone"
"температура","топлота","тодрвета","нeкoлимпература","heat","temperature"
"тенис","голф","гогон","тетру","golf","tennis"
"теорија","идеја","књија","озбиљорија","idea","theory"
"тепих","под","ајд","телет","floor","carpet"
"терет","оптеретити","дoвoљретити","тећој","load","cargo"
"тест","експеримент","експериством","теци","experiment","test"
"техника","метод","мериз","опреника","method","technique"
"течност","течност","идуност","монност","liquid","fluid"
"тим","лига","литву","ðaм","league","team"
"тинејџер","тинејџерски","тинејистински","тинејграм","teenage","teenager"
"тишина","ћудљив","ћусниш","уплашина","silent","silence"
"ткиво","кожа","кодом","ујаво","skin","tissue"
"то","шта","тва","ij","what","that"
"торнадо","ураган","ураест","срећнадо","hurricane","tornado"
"торта","десерт","депуст","дента","dessert","cake"
"трагичан","тужан","тујеш","трагистим","sad","tragic"
"традиционалан","модеран","модесној","традиционастрпљив","modern","traditional"
"трака","оркестар","оркеблем","датка","orchestra","band"
"трбушан","кичма","бајма","трбустиш","spinal","abdominal"
"трговац","комерцијалан","комерцијастрпљив","тргоспод","commercial","merchant"
"требати","неопходан","неопхолност","остабати","necessary","need"
"три","једна","морна","нои","one","three"
"трка","маратон","марадајз","ричка","marathon","race"
"трострук","удвостручити","оставстручити","блиструк","double","triple"
"троугао","круг","крид","троузмеш","circle","triangle"
"трудноћа","рођење","роштиљње","усраноћа","birth","pregnancy"
"тужилац","адвокат","адвопим","тужиству","lawyer","prosecutor"
"тунел","мост","мобу","тужак","bridge","tunnel"
"ћурка","пилетина","пилеискрена","укока","chicken","turkey"
"у","напољу","претпољу","оо","outside","inside"
"у потпуности","апсолутно","овлалутно","окруттпуности","absolutely","completely"
"у уторак","понедељак","понеделност","у утзних","monday","tuesday"
"убиство","самоубиство","самоубимплекс","јанство","suicide","murder"
"убити","отров","отгoв","јефти","poison","kill"
"убица","убица","тваца","тваца","killer","murderer"
"увредити","увредити","изјадити","изјадити","insult","offend"
"ударац","погодити","поздравдити","удатељ","hit","strike"
"ужасан","страшан","страдњу","ужашиш","terrible","horrible"
"уже","ланац","лашту","vае","chain","rope"
"узбуђен","поносан","поноквог","узбустим","proud","excited"
"узнемиравати","прекидати","стваркидати","вeрoвaтнемиравати","interrupt","disturb"
"узрок","разлог","раклес","узфер","reason","cause"
"уједначен","значка","аманка","сканначен","badge","uniform"
"укусан","укусан","хтесан","укупис","tasty","delicious"
"улаз","излаз","изљим","kgаз","exit","entrance"
"улица","авенија","стјунија","женца","avenue","street"
"уличица","угао","dwао","ствачица","corner","alley"
"улов","зграбити","стигбити","mgов","grab","catch"
"уложити","финансија","фиимпресија","кратжити","finance","invest"
"уље","угљен","днљен","pčе","coal","oil"
"умрети","патити","идентити","уплати","suffer","die"
"универзитет","факултет","факурург","универзиблдор","college","university"
"уништење","стварање","агенрање","страштење","creation","destruction"
"уобичајен","обичан","деччан","уобичастром","ordinary","usual"
"уп","надиграти се","надигратистронг","оц","down","up"
"употреба","применити","стварменити","стратреба","apply","use"
"управа","јурисдикција","стрпљерисдикција","кратва","jurisdiction","authority"
"урадите","направити","направисност","одлудите","make","do"
"уред","радни сто","раднитвих","ckед","desk","office"
"уређај","чип","лоп","урекол","chip","device"
"урин","крв","тув","ммин","blood","urine"
"усамљен","сама","саслу","офимљен","alone","lonely"
"успети","управљати","златвљати","украти","manage","succeed"
"успоставити","сачувати","озбиљчувати","стрпљепоставити","preserve","maintain"
"устав","закон","загле","ojтав","law","constitution"
"утакмица","турнир","туррус","дрвемица","tournament","match"
"утицај","утицај","утифон","утикон","influence","effect"
"ухо","око","сро","нoо","eye","ear"
"уцењивање","мито","секто","прeвињивање","bribe","blackmail"
"учитељ","ученик","сенник","учизно","student","teacher"
"учити","научити","наузвратти","глати","learn","teach"
"факс","пошта","понуо","фара","mail","fax"
"фантазија","стварност","стварство","огромтазија","reality","fantasy"
"фантастичан","предивна","пресрећна","озбиљтастичан","wonderful","fantastic"
"фаталан","смртоносан","озбиљтоносан","фатастиш","deadly","fatal"
"федерација","колонија","костварнија","исправдерација","colony","federation"
"фестивал","карневал","карнеминг","фестиспео","carnival","festival"
"физички","сексуалан","озбиљсуалан","фифренки","sexual","physical"
"филм","порнографија","нeкoлинографија","фирок","porn","movie"
"финансијски","банкарство","банкарност","финансијлност","banking","financial"
"финансирање","буџет","будал","стрпљенансирање","budget","funding"
"финансирање","финансијски","финансијлност","стрпљенансирање","financially","financing"
"флота","морнарички","озбиљнарички","окута","naval","fleet"
"фотограф","аутограм","аутолост","фотоштиљ","autograph","photographer"
"фотографија","слика","морка","стрпљетографија","picture","photo"
"фраза","речник","јарник","егиза","dictionary","phrase"
"француски","енглески језик","енглески јстронг","ослоцуски","english","french"
"фудбал","кошарка","кооблика","фудљев","basketball","football"
"функционалан","оперативан","оператињство","стрпљеционалан","operational","functional"
"халуцинација","илузија","шминзија","вeрoвaтлуцинација","illusion","hallucination"
"хаљина","сукња","супен","хацрвена","skirt","dress"
"хамбургер","сендвич","сенлвер","игрибургер","sandwich","hamburger"
"хапшење","казнити","каумрети","хаиграње","punish","arrest"
"хармонија","равнотежа","опседнотежа","зajeдмонија","balance","harmony"
"хеликоптер","хитна помоћ","хитна пзврат","хеликофаркт","ambulance","helicopter"
"хемијска оловка","папир","пашак","хемијска олострпљив","paper","pen"
"хероин","кокаин","компјуин","хероском","cocaine","heroin"
"хив","помагање","помагалност","гoв","aids","hiv"
"хирургија","радити","сплодити","хирургилберт","operate","surgery"
"хитан","хитан","хиске","хирур","urgent","emergency"
"хладан","топло","тођај","овидан","warm","cool"
"ходати","трцати","клинцати","огледати","run","walk"
"храбар","племенит","племескоп","храгла","noble","brave"
"хришћанин","католички","католичлност","хришћаслов","catholic","christian"
"цар","царински","цавјетски","lnр","imperial","emperor"
"царство","династија","астронастија","дечство","dynasty","empire"
"цвет","постројење","постројелност","hpет","plant","flower"
"цена","вредност","алекност","конна","value","price"
"ценити","дивити се","дивитиздрав","гробнити","admire","appreciate"
"центиметар","миља","мијер","озбиљтиметар","mile","centimeter"
"церебралан","мозак","мокла","церебраством","brain","cerebral"
"церемонија","ритуал","ритумпир","исправремонија","ritual","ceremony"
"цивилизација","култура","куоскара","вeрoвaтвилизација","culture","civilization"
"цигара","дим","ujм","предгара","smoke","cigar"
"цигарета","дувански","дустриски","стваргарета","tobacco","cigarette"
"циничан","наиван","наистим","циникaдa","naive","cynical"
"ципела","покретање","покреталност","циукрала","boot","shoe"
"циркус","золошки врт","золошкитлмен","увикус","zoo","circus"
"црево","пумпа","пућем","синво","pump","hose"
"црн","бео","zgо","овн","white","black"
"чамац","подморница","подозбиљница","чакли","submarine","boat"
"чаробњак","магија","масакрја","чарошном","magic","wizard"
"част","привилегија","привилегистронг","дoст","privilege","honor"
"чекић","залепити","огромлепити","черер","stick","hammer"
"челик","бетон","бешку","чезео","concrete","steel"
"честица","материсати","стрпљетерисати","четвртца","matter","particle"
"често","понекад","понесрећ","ченог","sometimes","often"
"четворо","два","гла","челникро","two","four"
"четврти","трећи","спаћи","чеагенти","third","fourth"
"четрталан","половина","поисправина","четртаством","half","quarter"
"чоколада","шећер","шезду","укратколада","sugar","chocolate"
"чувати","продавница","проспремница","скривати","shop","store"
"чудан","необичан","необилност","чуске","unusual","strange"
"чути","слушати","предшати","штати","listen","hear"
"шала","приредити","стварредити","конла","trick","joke"
"шампањац","вино","течно","шампагуст","wine","champagne"
"шармантан","атрактиван","уствативан","убијмантан","attractive","charming"
"шетати се","дремкати","глаткати","шетатизврат","nap","stroll"
"шеф","менаџер","меназнам","dlф","manager","boss"
"шешир","кацига","кацидент","шеард","helmet","hat"
"широк","узак","узub","шивин","narrow","wide"
"школски","класа","своса","шкослов","class","school"
"шпагете","лазање","лазаштит","услугете","lasagna","spaghetti"
"шприц","игла","игda","влриц","needle","syringe"
"шума","џунгла","опигла","твама","jungle","forest"
