"ca_cue","ca_target","ca_fake_target","ca_fake_cue","en_cue","en_target"
"lleialtat","honestedat","honestutat","llshaltat","loyalty","honesty"
"llest","preparar","prepviar","arest","ready","prepare"
"llet","suc","nsc","aret","milk","juice"
"llibertat","democràcia","democrieia","llshertat","freedom","democracy"
"lliga","equip","eqjop","cosga","league","team"
"llimonada","gaseosa","gessisa","llatinoda","lemonade","soda"
"lliura","dòlar","gàlar","lladra","pound","dollar"
"lliurement","lliure","ariure","llecrement","freely","free"
"llogar","lloguer","llogmir","llesar","hire","rent"
"llogater","propietari","prseietari","llunater","tenant","landlord"
"llum","espelma","esperéa","llep","lamp","candle"
"lluna","sol","ill","aruna","moon","sun"
"lora","ràpidament","ràrodament","aira","slowly","quickly"
"lunar","solar","gular","genar","lunar","solar"
"mà","proveir-se","prkleirse","lf","hand","arm"
"mafi","còrtt","cònxt","maaw","mafia","cartel"
"màgia","mag","eng","efgia","magic","wizard"
"magnètic","elèctric","elsstric","mantètic","magnetic","electric"
"mai","sempre","sendre","gni","never","ever"
"mainava","criada","sepada","maincua","nanny","maid"
"majestat","altitud","fotitud","mahastat","majesty","highness"
"major","júnior","júimor","marsr","senior","junior"
"majoria","vot","rst","maeuria","majority","vote"
"mal","correcte","coelecte","arl","wrong","correct"
"malalt","malalt","malarn","malata","ill","sick"
"malbaratament","gastar","atstar","malgeradament","waste","spend"
"malson","somni","soogi","malgas","nightmare","dream"
"manta","tovallola","tovallsta","maiva","blanket","towel"
"mar","oceà","ocfu","ner","sea","ocean"
"maratí","competició","comprdició","maraïs","marathon","race"
"marcar","producte","prodbyte","maevar","brand","product"
"mare","pare","pareajustament","mareajustament","mother","father"
"marina","marina","dirina","dirina","marine","navy"
"marit","esposa","telosa","dirit","husband","wife"
"marró","blava","idava","mameó","brown","blue"
"mart","venus","minus","magn","mars","venus"
"masculí","femella","fegulla","mascrsí","male","female"
"mèdic","psicològic","psnyològic","eadic","medical","psychological"
"mel","mantega","mantusa","yal","honey","butter"
"membre","líder","adder","aambre","member","leader"
"menjar","menjar","metear","metear","food","meal"
"mental","emocional","embrional","menter","mental","emotional"
"meravellós","fantàstic","fantobtic","meradallós","wonderful","fantastic"
"mercenari","assassí","assaatí","mebrenari","mercenary","assassin"
"merèixer","meritori","merigíri","melbixer","deserve","worthy"
"meridional","occidental","aicidental","merineonal","southern","western"
"mes","setmana","sersana","acs","month","week"
"més","menys","merns","tss","plus","minus"
"més baix","superior","matarior","méjsbaix","lower","upper"
"mètode","tècnica","tiroica","rstode","method","technique"
"migdiada","preparar-se","proposarse","rigideda","nap","stroll"
"mil","cent","nant","gal","thousand","hundred"
"milla","centímetre","centàgetre","miraa","mile","centimeter"
"mil·lió","bilió","birró","mixolió","million","billion"
"mil·lionari","empresari","empraçari","mixalionari","millionaire","entrepreneur"
"ming","lingü","limiü","mird","ming","ling"
"mínim","màxim","màcum","uinim","minimum","maximum"
"mirada","veure","miure","cupada","look","watch"
"miserable","patètic","panotic","curorable","miserable","pathetic"
"missa","manteniment","mantenerent","taisa","service","maintenance"
"mite","llegenda","llegenge","mich","myth","legend"
"mitja","quart","qubat","miema","half","quarter"
"mitjanit","migdia","miahia","vetjanit","midnight","noon"
"moda","elegant","elacant","mong","fashionable","elegant"
"model","prototip","protiuip","esdel","model","prototype"
"modern","tradicional","tríficional","modege","modern","traditional"
"monjo","capellà","capetrà","molèo","monk","priest"
"monstre","criatura","criaiira","moditre","monster","creature"
"monument","estàtua","estàbla","morçment","monument","statue"
"mort","desaparició","desanimació","modo","death","disappearance"
"mortal","fatal","rstal","moscal","deadly","fatal"
"motiu","àlibi","byibi","últiu","motive","alibi"
"mudar-se","transferir","tranyeerir","budisse","move","transfer"
"multitud","auditori","audigiri","muuaitud","crowd","audience"
"nacional","global","gldual","uncional","national","global"
"nadal","festa","ferea","natul","christmas","holiday"
"nadó","nen","xin","naob","baby","child"
"naixement","embaràs","embalcs","natuement","birth","pregnancy"
"nata","salsa","lissa","nadi","cream","sauce"
"natural","artificial","lltificial","nadoral","natural","artificial"
"naturalment","en general","enweeneral","nadoralment","naturally","generally"
"naval","flota","atota","nasel","naval","fleet"
"navegació","comunicació","comunicaptó","divegació","navigation","communication"
"necessari","necessitar","picessitar","picessari","necessary","need"
"nervi","múscul","múscho","neuai","nerve","muscle"
"net","rentat","regiat","ert","clean","wash"
"nét","nebot","nealt","elt","grandson","nephew"
"nina","jogina","jollna","ilna","doll","toy"
"ninja","samurai","samutii","niaea","ninja","samurai"
"nit","tarda","talta","ort","night","evening"
"niu","ou","ik","ilu","nest","egg"
"nobel","premi","prlei","noupl","nobel","prize"
"noble","valent","vantnt","dable","noble","brave"
"noi","noies","noess","aci","boys","girls"
"noia","noi","uri","èmia","girl","boy"
"nom","títol","bitol","orm","name","title"
"nombre","adreça","tireça","noiere","number","address"
"normalment","generalment","generaurent","torrasment","normally","usually"
"nua","un","cl","yla","nude","naked"
"núvol","boira","svira","dòvol","cloud","fog"
"obert","tanca","tabia","imert","open","close"
"obertura","clausura","clauràra","obererra","opening","closure"
"objecte","assignatura","assictatura","objeine","object","subject"
"oblidar","enrecordar","enrecoctar","obliner","forget","remember"
"observació","valoració","vambració","observulió","observation","evaluation"
"obstacle","desafiament","desaritzant","obstacet","obstacle","challenge"
"oca","ànec","yuec","tza","goose","duck"
"occident","est","ret","alcident","west","east"
"ocórrer","ocórrer","ocesrer","thórrer","occur","happen"
"odiar","amor","tjor","usiar","hate","love"
"oferta","donar","finar","drerta","offer","give"
"oficialment","oficial","dricial","oficiaident","officially","official"
"ombra","fosc","fold","omnga","shadow","dark"
"oncle","pare","pareajustament","ondie","uncle","dad"
"operacional","funcional","rancional","operciional","operational","functional"
"opinió","altitud","fotitud","opingò","opinion","attitude"
"oportunitat","possibilitat","possafilitat","oportuïttat","chance","possibility"
"optimista","realista","reasigna","lutimista","optimistic","realistic"
"ordenar","organitzar","orarnitzar","ordedir","arrange","organize"
"orfenat","convent","cospent","cafenat","orphanage","convent"
"orgasme","erecció","ertsció","orelsme","orgasm","erection"
"orgull","dignitat","diiritat","ortell","pride","dignity"
"orgullós","excitat","expatat","orgullno","proud","excited"
"original","còpia","depia","goiginal","original","copy"
"orquestra","tira","lera","loquestra","orchestra","band"
"os","calavera","calaaura","eq","bone","skull"
"ostatge","pres","ades","ostamie","hostage","prisoner"
"ovni","estranger","estransmr","gòni","ufo","alien"
"pa","formatge","formatxi","gi","bread","cheese"
"paciència","compassió","comptasió","ticiència","patience","compassion"
"pacient","clienta","clemnta","ticient","patient","client"
"pacífic","atlàntic","atsóntic","pasofic","pacific","atlantic"
"pal","martell","martifl","sil","stick","hammer"
"palau","castell","castavl","filau","palace","castle"
"pantalla","observar","obseaiar","pantalon","screen","monitor"
"papallona","ocell","ocinl","patlllona","butterfly","bird"
"paper","bolígraf","bomcgraf","padir","paper","pen"
"paradís","infern","infeta","paraéss","paradise","hell"
"paranoica","boja","bolq","perdonaca","paranoid","crazy"
"paraula","frase","gesse","paratga","word","sentence"
"pare","mare","mareajustament","pareajustament","daddy","mum"
"parent","cosí","cooh","paregi","relative","cousin"
"paret","tanca","tabia","padit","wall","fence"
"parlament","senat","segot","pabrament","parliament","senate"
"passatger","conductora","condantora","passegger","passenger","driver"
"patata","tomàquet","toloquet","gitata","potato","tomato"
"patiment","mal","arl","patiusnt","suffering","pain"
"patratge","heretar","herestr","patrucge","heritage","inherit"
"pecat","crim","crat","bocat","sin","crime"
"pell","teixit","teixíc","pect","skin","tissue"
"penjant","execució","execalió","pehmant","hanging","execution"
"pensió","sou","mmu","penseg","pension","salary"
"perdedor","guanyador","tractador","perdomor","loser","winner"
"perdó","gràcies","grbries","pelmó","forgiveness","mercy"
"perdonar","excusar","exelsar","pessonar","forgive","excuse"
"perfil","descripció","descritiió","pencil","profile","description"
"perillós","perillós","perilloa","perillno","risky","dangerous"
"periodisme","política","pilotaca","periodrime","journalism","politics"
"periodista","periodista","periclista","peripaista","reporter","journalist"
"permissió","aprobació","aprobaneó","peanissió","permission","approval"
"persona","individual","indiviseal","petiona","person","individual"
"personal","íntim","betim","petronal","personal","intimate"
"personatge","personalitat","petionalitat","personatxi","character","personality"
"pes","altura","allyra","ots","weight","height"
"pesat","fortament","foivament","pengt","heavy","heavily"
"petit","petit","peert","artit","little","small"
"petó","abraçada","emparada","peeo","kiss","hug"
"piano","guitarra","onitarra","alano","piano","guitar"
"pical","ding","dird","necal","ping","ding"
"pícnic","campament","caióament","ibcnic","picnic","camping"
"pintura","dibuixar","esbuixar","pilaura","paint","draw"
"piràmide","estructura","estrtatura","pilemide","pyramid","structure"
"pirata","mariner","marimar","piinta","pirate","sailor"
"pis","catifa","catieg","dés","floor","carpet"
"pistola","arma","llma","pillola","pistol","weapon"
"plaer","alegria","alviria","plñor","pleasure","joy"
"plaga","epidèmia","epetèmia","pltxa","plague","epidemic"
"planejar","estratègia","estratòtia","planitar","plan","strategy"
"planeta","òrbita","cúbita","planara","planet","orbit"
"planta","flor","acor","buanta","plant","flower"
"plàtan","maduixa","maduota","pllçan","banana","strawberry"
"platja","costa","rasta","rmatja","beach","coast"
"playboy","revista","revidea","plràboy","playboy","magazine"
"plor","tallar","taràar","avor","tear","cut"
"població","gent","vont","poitació","population","people"
"pobre","ric","flc","libre","poor","rich"
"pobresa","misèria","mierria","foressa","poverty","misery"
"poeta","escriptor","escrngtor","ponxa","poet","writer"
"pollastre","gall dindi","gallófindi","poacastre","chicken","turkey"
"pols","pressió","adessió","pobr","pulse","pressure"
"poma","fruita","louita","pore","apple","fruit"
"pont","túnel","dànel","dint","bridge","tunnel"
"popular","famós","falus","polvlar","popular","famous"
"porno","pel·lícula","peónlícula","poleo","porn","movie"
"portal","porta","poega","pooral","portal","gate"
"portar","enviar","enarar","poclar","bring","send"
"positiu","negatiu","nerstiu","resitiu","positive","negative"
"posta de sol","alba","alfi","posta denàol","sunset","dawn"
"postres","pastís","pastoc","justres","dessert","cake"
"pot ser","probalment","prgualment","poveser","maybe","probably"
"potencial","talent","tamant","potessial","potential","talent"
"practicar","exercici","exerisci","projticar","practice","exercise"
"preocupat","nerviós","nesoiós","preoarmat","worried","nervous"
"preparació","planificació","plananicació","pruraració","preparation","planning"
"preparar","procediment","procrriment","preparea","process","procedure"
"presa","depredador","pedregador","clasa","prey","predator"
"presència","absència","abigncia","prsuència","presence","absence"
"preservar","mantenir","mantenro","prnnervar","preserve","maintain"
"pressupost","finançament","finallament","pressujust","budget","funding"
"prevenir","atura","brura","prevlair","prevent","stop"
"prim","espés","esops","pret","thin","thick"
"primer","per acabar","petóacabar","prmper","first","last"
"princesa","príncep","prémcep","trancasa","princess","prince"
"privat","intimitat","ortimitat","prfrat","private","privacy"
"privilegi","honor","hoeir","privcregi","privilege","honor"
"probabilitat","probable","prinable","prinabilitat","probability","likely"
"problema","problema","probletr","probimma","trouble","problem"
"procedir","continuar","continlir","procedei","proceed","continue"
"productor","director","diretoor","prodantor","producer","director"
"programari","ordinador","amainador","progradiri","software","computer"
"progrés, progressar","desenvolupament","desemplaçaments","progrés, promoessar","progress","development"
"prohibit","prohibit","prrribit","prohèdit","forbidden","prohibit"
"projecte","programa","prforama","pracecte","project","program"
"propietat","propietari","prseietari","prnoietat","property","owner"
"proposar","sugerir","sumírir","propostu","propose","suggest"
"propòsit","intenció","intessió","propenit","purpose","intention"
"protegir","defendre","defeblre","prfregir","protect","defend"
"proteïna","vitamina","vitatgna","proteïde","protein","vitamin"
"protestar","manifestació","mabufestació","presestar","protest","demonstration"
"publicitat","màrqueting","efrqueting","voblicitat","advertising","marketing"
"pujol","muntanya","muntanso","puncl","hill","mountain"
"punt","indicar","indirer","vont","point","indicate"
"quantitat","qualitat","quititat","quanpetat","quantity","quality"
"què","que","ure","arè","what","that"
"quedar-se dret","seure","sevee","quedarse enet","stand","sit"
"queixa","acusació","acclació","queiah","complaint","accusation"
"qüestió","partícula","partènula","qüesssó","matter","particle"
"qüestió","preguntar","prapuntar","qüesssó","question","ask"
"quilo","gram","grli","qunno","kilo","gram"
"quilòmetre","metre","actre","quiltxetre","kilometer","meter"
"química","biologia","birdogia","rumiaca","chemistry","biology"
"racista","comunista","coltnista","raeesta","racist","communist"
"radar","satèl·lit","saitl·lit","raver","radar","satellite"
"radi","perímetre","peammetre","rack","radius","perimeter"
"ràdio","televisió","telejasió","emdio","radio","television"
"raó","causar","cailar","içó","reason","cause"
"rapel","rapte","raige","rabal","kidnapper","ransom"
"ratolí","rata","lota","ratoap","mouse","rat"
"realitat","fantasia","fantfria","retiitat","reality","fantasy"
"realitzar","entendre","entempre","retiitzar","realize","understand"
"realment","realment","retiment","retiment","actually","really"
"recepció","festa","ferea","rencpció","reception","party"
"recerca","estudiar","estutuar","excerca","research","study"
"reclamar","sol·licitar","somolicitar","reclltar","demand","request"
"reconèixer","definia","defiora","recoluixer","recognize","knew"
"refer-se","curar","cuinr","resurse","recover","heal"
"reflex","mirall","verall","reflak","reflection","mirror"
"refugi","refugi","refupa","refupa","refuge","shelter"
"refugiat","fugitiu","fuletiu","refuugat","refugee","fugitive"
"refusar","acceptar","acceedar","recisar","refuse","accept"
"regiment","batalló","bachlló","regiarnt","regiment","battalion"
"regional","local","iscal","reemonal","regional","local"
"reial","regne","rerde","drial","royal","kingdom"
"reina","rei","lai","inona","queen","king"
"relació","amistat","kristat","repeció","relationship","friendship"
"remolc","vàlvula","vàpiula","remoiz","trailer","van"
"renúncia","destitució","destitotió","reeencia","resignation","dismissal"
"res","alguna cosa","alguna crin","ons","nothing","something"
"rescat","estalviar","estaèsiar","retoat","rescue","save"
"resistència","resistir","posistir","resiogència","resistance","resist"
"respecte","confiança","coeniança","respiste","respect","confidence"
"respondre","resposta","regirata","responeie","answer","reply"
"responsabilitat","drets de duana","dretcède duana","respontrbilitat","responsibility","duty"
"resultat","resultat","resuccat","refeltat","result","outcome"
"revelació","visió","íssió","resplació","revelation","vision"
"ridícul","absurd","ablird","ricicul","ridiculous","absurd"
"rifle","arma de foc","armayee foc","rithe","rifle","gun"
"risc","perill","pecull","rian","risk","danger"
"ritme","estil","esill","rinke","rhythm","style"
"ritual","cerimònia","cerimòcra","rinoal","ritual","ceremony"
"riu","llac","llun","geu","river","lake"
"robar","robar","roher","roher","steal","rob"
"robatori","robatori","robankri","robanqri","theft","robbery"
"robot","màquina","iaquina","ambot","robot","machine"
"roca","pedra","pelda","rodu","rock","stone"
"rodejar","collaret","collrnet","rodener","ring","necklace"
"rodeo","cowboy","cosíoy","rompo","rodeo","cowboy"
"rodó","al voltant","alkioltant","rotè","round","around"
"romana","grec","cjec","rosena","roman","greek"
"romandre","sobrar","sobret","romampre","stay","remain"
"romeo","juliet","julima","rocao","romeo","juliet"
"ronyó","fetge","femle","manyó","kidney","liver"
"rovellat","polsós","porrós","advellat","rusty","dusty"
"rum","cogó","copu","gem","rum","cognac"
"ruta","camí","caán","olta","route","path"
"sa","normal","nomial","ré","healthy","normal"
"salsa de tomàquet","maionesa","amainasa","salsstde tomàquet","ketchup","mayonnaise"
"salut","educació","educiaió","sabet","health","education"
"sandvitx","hamburguesa","ambarassasa","sandvimò","sandwich","hamburger"
"sang","orina","ortia","sats","blood","urine"
"satisfet","feliç","fegaç","satillet","satisfied","happy"
"sec","humit","gimit","bic","dry","wet"
"secció","paràgraf","paràgrht","sedaió","section","paragraph"
"secret","misteri","vesteri","sequet","secret","mystery"
"secretari","ajudant","wiudant","secrviari","secretary","assistant"
"secundari","primària","primoiia","sepondari","secondary","primary"
"seda","cotó","coda","seme","silk","cotton"
"segell","firma","fiïda","sewill","stamp","signature"
"segle","dècada","aclada","serée","century","decade"
"segon","petit","peert","sedun","second","minute"
"segrestar","plagiar","plleiar","togrestar","kidnap","abduct"
"seguir","persecució","persecalió","seguàs","follow","chase"
"seminari","conferència","corperència","setmnari","seminar","lecture"
"sempre","constantment","constantasnt","sendre","always","constantly"
"sensació","transmissor","trangrissor","setuació","sensor","transmitter"
"sensacional","espectacular","espectacrear","setuacional","sensational","spectacular"
"seny","bro","ulo","seds","dude","bro"
"senyor","senyora","sespora","sespor","lord","lady"
"sepultura","cementiri","cegantiri","sealltura","grave","cemetery"
"sergent","lloctinent","llocklnent","septent","sergeant","lieutenant"
"sèrie","episodi","episusi","jarie","series","episode"
"setembre","octubre","octuice","setecsre","september","october"
"sexual","físic","ètsic","eixual","sexual","physical"
"sherlock","warson","waiaon","sherstck","sherlock","watson"
"significat","importància","importuàcia","signifllat","meaning","importance"
"silenciós","silenci","sileobi","silencans","silent","silence"
"simi","goril·la","goriñola","siva","monkey","gorilla"
"similar","diferent","diferegi","sioclar","similar","different"
"simpàtic","preciós","prmpiós","siunàtic","nice","lovely"
"simplificadament","simple","simpar","simplittcadament","simply","simple"
"símptoma","síndrome","síbarome","símprima","symptom","syndrome"
"situació","crisi","cruli","situteió","situation","crisis"
"sobre","paquet","pandet","soone","envelope","package"
"sobrenatural","paranormal","paranormon","sobrengrural","supernatural","paranormal"
"sòca","embriac","embrvic","fàca","sober","drunk"
"societat","comunitat","coltnitat","sootetat","society","community"
"sofà","llit","arit","sogí","sofa","bed"
"sofrir","morir","dirir","sotmir","suffer","die"
"solament","solitari","nalitari","gulament","alone","lonely"
"soldat","guerrer","guerçar","sorgat","soldier","warrior"
"solter","casat","catst","soeper","single","married"
"somriure","riure","rigie","somrsare","smile","laugh"
"sopa","amanida","amanèma","sond","soup","salad"
"sopar","esmorzar","esmolear","sotir","dinner","breakfast"
"soroll","sa","ré","soasll","noise","sound"
"sorpresa","decepció","desvpció","contresa","surprise","disappointment"
"sortir","entrada","ritzada","sortàs","exit","entrance"
"subasta","rebaixa","regnixa","supagat","auction","sale"
"subestimar","exagerar","exagireu","subactivar","underestimate","exaggerate"
"submarí","vaixell","vabrell","submodí","submarine","boat"
"suborn","fer xantatge","feaexantatge","sufirn","bribe","blackmail"
"substància química","biològic","ítològic","substància químsat","chemical","biological"
"sucre","xocolata","aecolata","susse","sugar","chocolate"
"sud","nord","nose","ipd","south","north"
"suficient","suficient","cificient","cificient","enough","sufficient"
"suïcidi","assassinat","aslessinat","surtidi","suicide","murder"
"suma","quantitat","quantiràt","subc","sum","amount"
"superior","fons","cans","matarior","top","bottom"
"superman","batman","gítman","poperman","superman","batman"
"suportar","llop","arop","supoclar","bear","wolf"
"tabac","cigar","cillr","taorc","tobacco","cigarette"
"taller","garatge","garasse","taràer","workshop","garage"
"tamany","llargada","llutiada","tassny","size","length"
"tanc","motor","ector","tays","tank","engine"
"tancada","tancat","tancil","marxada","locked","closed"
"tard","anticipat","anticilit","talo","late","early"
"tasca","missió","vessió","músca","task","mission"
"tassa","cafè","cair","inasa","cup","coffee"
"tassa","plat","rmat","inasa","bowl","plate"
"tatuar-se","cicatriu","cicacaiu","tornarse","tattoo","scar"
"taula","cadira","cadimo","taraa","table","chair"
"taula","píndola","ubndola","taraa","tablet","pill"
"taula de treball","oficina","dricina","taula demdreball","desk","office"
"tauró","pescar","perjar","iduró","shark","fish"
"taüt","funeral","agneral","tawi","coffin","funeral"
"taxi","limusina","somusina","tamc","taxi","limousine"
"tècnic","mecànic","mesenic","tèsiic","technical","mechanical"
"tecnologia","ciència","cinacia","teteologia","technology","science"
"tela","mocador","excudor","temi","cloth","handkerchief"
"telegrama","carta","canaa","teleugama","telegram","letter"
"telescopi","microscopi","microscotí","telescagi","telescope","microscope"
"temple","monasteri","movesteri","terale","temple","monastery"
"tenaç","egoista","egmysta","teinç","stubborn","selfish"
"teràpia","tractament","trostament","yaràpia","therapy","treatment"
"tercer","quart","qubat","teiter","third","fourth"
"terminal","aeroport","krroport","termnyal","terminal","airport"
"terra","mosca","lasca","teixa","land","fly"
"terratrèmol","explosió","exploser","terratuemol","earthquake","explosion"
"terrible","horrible","hoohible","teixible","terrible","horrible"
"testimoni","testimoni","testosoni","testosoni","witness","testimony"
"text","poema","mpema","tecó","text","poem"
"típic","clàssic","clàsrec","papic","typical","classic"
"tiquet","passaport","passsiort","ticset","ticket","passport"
"tiradora","franctirador","assassinador","donadora","shooter","sniper"
"tirar","beure a glops","beure a glnas","lerar","drop","sip"
"tonyina","llagosta","llagacta","toemina","tuna","lobster"
"tornar a col·locar","substituir","substingir","tornar a colroocar","replace","substitute"
"torneig","aparellar","apstellar","torniqg","tournament","match"
"torrada","cansalada","cavallada","sobreda","toast","bacon"
"torre","edifici","edifani","toive","tower","building"
"tossir","febre","feixe","rassir","cough","fever"
"total","complet","compart","tolel","total","complete"
"tova","amable","nsable","tote","soft","gentle"
"trampa","enceball","encenill","trammo","trap","bait"
"tranquil","tranquilitzar-se","desmagnetitzase","tranquxo","quiet","calm"
"treball","treball","trebtal","trebtal","job","work"
"tren","autobús","autosps","emen","train","bus"
"tren","neu","hou","emen","rain","snow"
"tresor","salut","sabet","trgeor","treasure","wealth"
"tribunal","jutjar","juolar","tribsbal","court","judge"
"tripulació","vaixell","vabrell","traiulació","crew","ship"
"trist","tràgic","truoic","trxat","sad","tragic"
"trofeu","medalla","meuplla","tremeu","trophy","medal"
"tumor","càncer","càrter","turcr","tumor","cancer"
"turment","torturar","tortenar","tuenent","torment","torture"
"u","tres","ntes","mn","one","three"
"ull","orella","ornela","eul","eye","ear"
"ulleres","gorra","orrra","uldores","glasses","cap"
"unir","corbata","coemata","stir","bind","tie"
"unitat","divisió","diíssió","clitat","unit","division"
"univers","galàxia","galàsha","clivers","universe","galaxy"
"urgent","emergència","emeronncia","eugent","urgent","emergency"
"útil","efectiva","flectiva","gwil","useful","effective"
"vaca","porc","poté","exca","cow","pig"
"vagina","penis","tanis","vassna","vagina","penis"
"valiós","important","imposcant","validd","valuable","important"
"valorar","preu","ineu","vacirar","value","price"
"vàlvula","ventilació","ventspació","vàlveta","valve","ventilation"
"vehicle","cotxe","conoe","vemecle","vehicle","car"
"vell","jove","joow","vert","old","young"
"vena","artèria","aragria","nona","vein","artery"
"venedor","comprador","tractador","venevar","seller","buyer"
"venjança","justícia","justèria","veptança","revenge","justice"
"vent","tempestat","teclestat","lant","wind","storm"
"verd","taronja","tarobua","mird","green","orange"
"verí","assassinar","aslessinar","aïrí","poison","kill"
"vermell","groga","gruia","mirmell","red","yellow"
"veu","accent","aconnt","miu","voice","accent"
"veure","trobar-se","trompase","miure","see","meet"
"vi","xampany","irmpany","eg","wine","champagne"
"via","situació","situciió","eja","platform","station"
"víctima","atacant","atrxant","epctima","victim","attacker"
"victòria","derrotar","derrlmar","victilia","victory","defeat"
"vídua","dona","grna","vígea","widow","woman"
"virus","infecció","ineacció","viegs","virus","infection"
"visió","perspectiva","persibctiva","íssió","view","perspective"
"vista","judici","jusoci","videa","hearing","trial"
"viu","sobreviure","sobrevsare","yeu","live","survive"
"viu","mort","modo","yeu","alive","dead"
"voluntària","voluntàriament","puluntàriament","puluntària","volunteer","voluntarily"
"vostès mateixos","infància","infàgiia","vostèsdiateixos","youth","childhood"
"washington","boston","bodaon","waorientar","washington","boston"
"whisky","vodka","voyva","rlisky","whiskey","vodka"
"xarxa","sistema","sistada","xacia","network","system"
"xèrif","alcalde","alcaove","jyrif","sheriff","mayor"
"xerraire","escàndol","eskandol","xerrícre","gossip","scandal"
"xerrar","parlar","pagnar","xerrin","talk","speak"
"xuclar","llepar","arepar","xurtar","suck","lick"
"zombi","vàbil","anbil","zoiti","zombie","vampire"
"zoològic","circ","cioy","pnològic","zoo","circus"
