"ca_target,"ca_cue","type","target_type","cue_type","ca_cosine"
"mirall","reflex","related","word","word",0.436677623613151
"refugi","refugi","related","word","word",1
"fugitiu","refugiat","related","word","word",0.438219491184936
"acceptar","refusar","related","word","word",0.307124691178123
"batalló","regiment","related","word","word",0.264146139995061
"local","regional","related","word","word",0.337867197258569
"regne","reial","related","word","word",0.337861403933109
"rei","reina","related","word","word",0.581441426057376
"amistat","relació","related","word","word",0.270048238483536
"vàlvula","remolc","related","word","word",0.37728960329645
"destitució","renúncia","related","word","word",NA
"alguna cosa","res","related","word","word",NA
"estalviar","rescat","related","word","word",0.130468441997856
"resistir","resistència","related","word","word",0.554499717888212
"confiança","respecte","related","word","word",0.224509402589518
"resposta","respondre","related","word","word",0.588220229095071
"drets de duana","responsabilitat","related","word","word",NA
"resultat","resultat","related","word","word",1
"visió","revelació","related","word","word",0.285089683279736
"absurd","ridícul","related","word","word",0.402392370609059
"arma de foc","rifle","related","word","word",NA
"perill","risc","related","word","word",0.312089041827976
"estil","ritme","related","word","word",0.230081847345351
"cerimònia","ritual","related","word","word",0.193264514069312
"llac","riu","related","word","word",0.277999446827809
"robar","robar","related","word","word",1
"robatori","robatori","related","word","word",1
"màquina","robot","related","word","word",0.159629809839979
"pedra","roca","related","word","word",0.30169318544295
"collaret","rodejar","related","word","word",NA
"cowboy","rodeo","related","word","word",NA
"al voltant","rodó","related","word","word",NA
"grec","romana","related","word","word",0.108487657052988
"sobrar","romandre","related","word","word",NA
"juliet","romeo","related","word","word",0.454104959699974
"fetge","ronyó","related","word","word",0.402721451666686
"polsós","rovellat","related","word","word",NA
"cogó","rum","related","word","word",NA
"camí","ruta","related","word","word",0.250091469816478
"normal","sa","related","word","word",0.183735402216508
"maionesa","salsa de tomàquet","related","word","word",NA
"educació","salut","related","word","word",0.303021948817012
"hamburguesa","sandvitx","related","word","word",0.393964341870131
"orina","sang","related","word","word",0.380447265799897
"feliç","satisfet","related","word","word",0.275566216027844
"humit","sec","related","word","word",0.358113370375752
"paràgraf","secció","related","word","word",NA
"misteri","secret","related","word","word",0.188345340565611
"ajudant","secretari","related","word","word",0.20828051851548
"primària","secundari","related","word","word",0.318519225867898
"cotó","seda","related","word","word",0.35445289809601
"firma","segell","related","word","word",0.234122944987288
"dècada","segle","related","word","word",0.425027573952562
"petit","segon","related","word","word",0.107389144348972
"plagiar","segrestar","related","word","word",NA
"persecució","seguir","related","word","word",0.196098738562376
"conferència","seminari","related","word","word",0.185775424726107
"constantment","sempre","related","word","word",0.217049263583832
"transmissor","sensació","related","word","word",0.156448428140066
"espectacular","sensacional","related","word","word",0.176682355504176
"bro","seny","related","word","word",0.185979808282006
"senyora","senyor","related","word","word",0.81362968201444
"cementiri","sepultura","related","word","word",NA
"lloctinent","sergent","related","word","word",NA
"episodi","sèrie","related","word","word",0.286105013067913
"octubre","setembre","related","word","word",0.768163061792464
"físic","sexual","related","word","word",0.463804450278434
"warson","sherlock","related","word","word",NA
"importància","significat","related","word","word",0.214187902459722
"silenci","silenciós","related","word","word",0.81964282135848
"goril·la","simi","related","word","word",NA
"diferent","similar","related","word","word",0.248066801418189
"preciós","simpàtic","related","word","word",0.309767722956234
"simple","simplificadament","related","word","word",NA
"síndrome","símptoma","related","word","word",0.530286294203263
"crisi","situació","related","word","word",0.299709336853893
"paquet","sobre","related","word","word",0.033249819058123
"paranormal","sobrenatural","related","word","word",0.392833580927558
"embriac","sòca","related","word","word",NA
"comunitat","societat","related","word","word",0.515107738156495
"llit","sofà","related","word","word",0.39783588584618
"morir","sofrir","related","word","word",0.376854293956931
"solitari","solament","related","word","word",0.219712123509601
"guerrer","soldat","related","word","word",0.290274788630288
"casat","solter","related","word","word",0.289698517959933
"riure","somriure","related","word","word",0.650151395743055
"amanida","sopa","related","word","word",0.401008770216264
"esmorzar","sopar","related","word","word",0.47182250541196
"sa","soroll","related","word","word",0.0281630594819359
"decepció","sorpresa","related","word","word",0.227972948394918
"entrada","sortir","related","word","word",0.193193433990319
"rebaixa","subasta","related","word","word",NA
"exagerar","subestimar","related","word","word",0.375937359923048
"vaixell","submarí","related","word","word",0.326392902919671
"fer xantatge","suborn","related","word","word",NA
"biològic","substància química","related","word","word",NA
"xocolata","sucre","related","word","word",0.49595882974886
"nord","sud","related","word","word",0.486946718214515
"suficient","suficient","related","word","word",1
"assassinat","suïcidi","related","word","word",0.451979112129947
"quantitat","suma","related","word","word",0.360990578542373
"fons","superior","related","word","word",0.197127883220487
"batman","superman","related","word","word",0.506877319076337
"llop","suportar","related","word","word",0.1700676271376
"cigar","tabac","related","word","word",0.399250898980687
"garatge","taller","related","word","word",0.207880602477426
"llargada","tamany","related","word","word",NA
"motor","tanc","related","word","word",0.306965709353066
"tancat","tancada","related","word","word",0.725904451547046
"anticipat","tard","related","word","word",NA
"missió","tasca","related","word","word",0.343517398575517
"cafè","tassa","related","word","word",0.479192859001631
"plat","tassa","related","word","word",0.219836944502157
"cicatriu","tatuar-se","related","word","word",NA
"cadira","taula","related","word","word",0.353695245733475
"píndola","taula","related","word","word",0.274835666949966
"oficina","taula de treball","related","word","word",NA
"pescar","tauró","related","word","word",0.265899764546247
"funeral","taüt","related","word","word",0.288952042522438
"limusina","taxi","related","word","word",0.309131852651636
"mecànic","tècnic","related","word","word",0.532410370106149
"ciència","tecnologia","related","word","word",0.365411087079122
"mocador","tela","related","word","word",0.263299283410198
"carta","telegrama","related","word","word",0.372581548450593
"microscopi","telescopi","related","word","word",0.57313039987561
"monasteri","temple","related","word","word",NA
"egoista","tenaç","related","word","word",NA
"tractament","teràpia","related","word","word",0.203783331645782
"quart","tercer","related","word","word",0.286609119425245
"aeroport","terminal","related","word","word",0.297544669330752
"mosca","terra","related","word","word",0.114448797105868
"explosió","terratrèmol","related","word","word",0.35686468314079
"horrible","terrible","related","word","word",0.766174297150681
"testimoni","testimoni","related","word","word",1
"poema","text","related","word","word",0.448027831096301
"clàssic","típic","related","word","word",0.475986421800294
"passaport","tiquet","related","word","word",0.29664699780838
"franctirador","tiradora","related","word","word",NA
"beure a glops","tirar","related","word","word",NA
"llagosta","tonyina","related","word","word",0.427320339571008
"substituir","tornar a col·locar","related","word","word",NA
"aparellar","torneig","related","word","word",NA
"cansalada","torrada","related","word","word",0.485899805830595
"edifici","torre","related","word","word",0.321746570553505
"febre","tossir","related","word","word",0.295610186425243
"complet","total","related","word","word",0.281150982586215
"amable","tova","related","word","word",0.219267482156908
"enceball","trampa","related","word","word",NA
"tranquilitzar-se","tranquil","related","word","word",NA
"treball","treball","related","word","word",1
"autobús","tren","related","word","word",0.318885553190269
"neu","tren","related","word","word",0.152738532694536
"salut","tresor","related","word","word",0.10168342233414
"jutjar","tribunal","related","word","word",0.352991814392865
"vaixell","tripulació","related","word","word",0.287356562120131
"tràgic","trist","related","word","word",0.489579790266921
"medalla","trofeu","related","word","word",0.222508379399557
"càncer","tumor","related","word","word",0.300276831970517
"torturar","turment","related","word","word",0.330096636282167
"tres","u","related","word","word",0.325946296795264
"orella","ull","related","word","word",0.232057145684278
"gorra","ulleres","related","word","word",0.211002203177523
"corbata","unir","related","word","word",-0.0158159500060433
"divisió","unitat","related","word","word",0.251408717160441
"galàxia","univers","related","word","word",0.327877011978657
"emergència","urgent","related","word","word",0.31299672329232
"efectiva","útil","related","word","word",0.257217522055535
"porc","vaca","related","word","word",0.231574672517664
"penis","vagina","related","word","word",0.196194166050375
"important","valiós","related","word","word",NA
"preu","valorar","related","word","word",0.258394132932403
"ventilació","vàlvula","related","word","word",0.396332762747016
"cotxe","vehicle","related","word","word",0.363614039684861
"jove","vell","related","word","word",0.248948175358122
"artèria","vena","related","word","word",0.260570716109257
"comprador","venedor","related","word","word",0.534650552680987
"justícia","venjança","related","word","word",0.333897577562192
"tempestat","vent","related","word","word",0.294671400385376
"taronja","verd","related","word","word",0.35174179032121
"assassinar","verí","related","word","word",0.14734646296835
"groga","vermell","related","word","word",0.454068642327755
"accent","veu","related","word","word",0.161272264906463
"trobar-se","veure","related","word","word",NA
"xampany","vi","related","word","word",0.314470023986252
"situació","via","related","word","word",0.139431105939117
"atacant","víctima","related","word","word",0.053811612009336
"derrotar","victòria","related","word","word",0.291116314299781
"dona","vídua","related","word","word",0.352831543430789
"infecció","virus","related","word","word",0.247650508266659
"perspectiva","visió","related","word","word",0.303234812200252
"judici","vista","related","word","word",0.122383483092938
"sobreviure","viu","related","word","word",0.279356301109217
"mort","viu","related","word","word",0.185965818661597
"voluntàriament","voluntària","related","word","word",0.771016567948153
"infància","vostès mateixos","related","word","word",NA
"boston","washington","related","word","word",0.43236306031401
"vodka","whisky","related","word","word",0.567099047048831
"sistema","xarxa","related","word","word",0.351188625573154
"alcalde","xèrif","related","word","word",0.306984711692056
"escàndol","xerraire","related","word","word",0.216849034473733
"parlar","xerrar","related","word","word",0.355671771145372
"llepar","xuclar","related","word","word",0.338349431232646
"vàbil","zombi","related","word","word",NA
"circ","zoològic","related","word","word",0.253265891433523
"sobre","clau","unrelated","word","word",0.1087098104557
"amb freqüència","en una altra part","unrelated","word","word",NA
"formiga","brut","unrelated","word","word",NA
"completament","extra","unrelated","word","word",0.0939456792957591
"intencionalment","contracte","unrelated","word","word",NA
"acompanyar","imaginació","unrelated","word","word",0.0371813850296892
"activitat","pollastre","unrelated","word","word",0.125916396631996
"reunir","gira","unrelated","word","word",0.132256889634175
"confessar","amant","unrelated","word","word",0.121279730959519
"govern","examen","unrelated","word","word",0.087768838175734
"valorar","nobel","unrelated","word","word",0.323753542797741
"adolescent","caure","unrelated","word","word",0.1629249115489
"pare","salsa de tomàquet","unrelated","word","word",NA
"missatge","demà","unrelated","word","word",0.0994595386695682
"acusador","inserir","unrelated","word","word",NA
"impressionar","àfrica","unrelated","word","word",0.0263202093145059
"esport","protegir","unrelated","word","word",0.147925192703782
"professional","refer-se","unrelated","word","word",NA
"amèrica","candidat","unrelated","word","word",0.172161542237643
"detectiva","casa","unrelated","word","word",NA
"agraïr","plor","unrelated","word","word",NA
"xeringa","cuadre","unrelated","word","word",NA
"oxígen","imperial","unrelated","word","word",NA
"mentider","dramàtica","unrelated","word","word",0.203496056258882
"ajudar","migdiada","unrelated","word","word",0.124156899525991
"ajut","extremadament","unrelated","word","word",0.0844499332125123
"contrairi","astronauta","unrelated","word","word",NA
"cançó","interrompre","unrelated","word","word",0.0906310997375601
"droga","comentari","unrelated","word","word",0.128021122445252
"alarma","anomenada","unrelated","word","word",0.206767134284102
"cognom","seda","unrelated","word","word",0.238580448319504
"menjar","qüestió","unrelated","word","word",0.0462323225742649
"ceba","washington","unrelated","word","word",0.0265274277760664
"amant","assassí","unrelated","word","word",0.164392246788766
"ministeri","conservador","unrelated","word","word",0.261304972062361
"pastor","merèixer","unrelated","word","word",0.29124758945191
"helicòpter","vena","unrelated","word","word",0.101485874751961
"investigador","espectacle","unrelated","word","word",0.13235926047214
"capitalisme","calibre","unrelated","word","word",0.199251895932677
"psicologia","caixa forta","unrelated","word","word",NA
"navegar","guillot","unrelated","word","word",NA
"camp de batalla","planta","unrelated","word","word",NA
"diable","sempre","unrelated","word","word",0.14557750228262
"francès","patiment","unrelated","word","word",0.147594566771896
"humor","mal","unrelated","word","word",0.133724430665322
"aniversari","tirar","unrelated","word","word",0.046911584209399
"telèfon","entrepà","unrelated","word","word",0.255899653955972
"desconegut","caixa","unrelated","word","word",0.111215776916806
"vacuna","hospitalitat","unrelated","word","word",0.26816479810631
"deliciosa","art","unrelated","word","word",0.221704787858628
"ensenyar","població","unrelated","word","word",0.00624843192423525
"llunyà","petit","unrelated","word","word",0.200921140112503
"ací","tiradora","unrelated","word","word",NA
"saber","mafi","unrelated","word","word",NA
"insecte","primer","unrelated","word","word",0.13234129832862
"arbre","deixar","unrelated","word","word",0.113642762246295
"zona","perdonar","unrelated","word","word",0.0701435617219579
"atrapar","futur","unrelated","word","word",0.0886723402923659
"partença","instint","unrelated","word","word",NA
"venir","brut","unrelated","word","word",0.158274230129807
"armeria","suborn","unrelated","word","word",0.235212366139834
"literatura","rum","unrelated","word","word",NA
"medalló","cavalleria","unrelated","word","word",0.249197981766358
"diari","refugi","unrelated","word","word",0.130453117057912
"pintora","sopa","unrelated","word","word",NA
"cavall","ninja","unrelated","word","word",0.195123962471356
"morfina","ratolí","unrelated","word","word",0.237008260572774
"assassí","campament","unrelated","word","word",0.1504246862028
"preocupar-se","afalagar","unrelated","word","word",NA
"pilot","natural","unrelated","word","word",0.150184322674726
"atreure","silenciós","unrelated","word","word",0.154467163857809
"horripilant","entrar","unrelated","word","word",0.164582466148658
"vol","tonyina","unrelated","word","word",0.155327009045032
"nuclear","punt","unrelated","word","word",0.22211189145536
"encantador","màgia","unrelated","word","word",0.197998478825763
"reduir","banya","unrelated","word","word",0.0702584813738675
"fotògraf","similar","unrelated","word","word",0.198203053983726
"anàlisi","compassiu","unrelated","word","word",0.166634412553724
"actor","majestat","unrelated","word","word",0.0222203557194547
"àvia","ambaixada","unrelated","word","word",0.185337126948943
"carrer","estirar","unrelated","word","word",0.0649730204413102
"ahir","roca","unrelated","word","word",0.159609322156028
"port","tren","unrelated","word","word",0.188902243999827
"alt","subasta","unrelated","word","word",NA
"disparar","privat","unrelated","word","word",0.118841993987004
"dansa","analista","unrelated","word","word",0.169702334425112
"financer","diarrea","unrelated","word","word",NA
"símbol","accidentalment","unrelated","word","word",0.17100608624175
"inversor","fang","unrelated","word","word",0.145414711730511
"xiulet","granota","unrelated","word","word",0.347734169828416
"restaurant","comandament","unrelated","word","word",0.219155954641181
"comissió","què","unrelated","word","word",0.109642695643228
"quarter general","anarquia","unrelated","word","word",NA
"futbol","anatomia","unrelated","word","word",0.283173418273668
"sí","crear","unrelated","word","word",0.139337539618975
"animal","control","unrelated","word","word",0.0637856931427999
"cervesa","operacional","unrelated","word","word",NA
"llibre","sobre","unrelated","word","word",0.308916883846383
"museu","llogater","unrelated","word","word",NA
"cardinal","viu","unrelated","word","word",NA
"negre","monument","unrelated","word","word",0.171898798878861
"bruixa","esgarrapar","unrelated","word","word",0.275262268722028
"dolent","lunar","unrelated","word","word",0.093442331628095
"nas","fase","unrelated","word","word",0.14465723850476
"estupidesa","vàlvula","unrelated","word","word",0.345173248963176
"idiota","univers","unrelated","word","word",0.0551972744838317
"explosiu","torneig","unrelated","word","word",0.17010294852477
"mànega","gest","unrelated","word","word",0.190081504570798
"bonic","escalar","unrelated","word","word",0.107249369781057
"sabata","ase","unrelated","word","word",0.18581461772676
"tenda","comercial","unrelated","word","word",0.227452638405333
"pressionar","lesbiana","unrelated","word","word",0.124765163892361
"alfa","orgullós","unrelated","word","word",0.166912848703857
"lluminós","faldilla","unrelated","word","word",0.293634295615975
"broma","alimentar","unrelated","word","word",0.132509727377519
"plànol","agent","unrelated","word","word",0.269663933306548
"inmmund","llibertat","unrelated","word","word",NA
"repugnant","terra","unrelated","word","word",0.11637564890609
"cruel","contenir","unrelated","word","word",0.157034465699878
"ple","cable","unrelated","word","word",0.204204893585071
"cartera","enfocament","unrelated","word","word",0.080131241019929
"coberta","confirmació","unrelated","word","word",0.140578716125691
"barba","chaos","unrelated","word","word",NA
"cable","oferta","unrelated","word","word",0.0561108230440722
"pescar","antídot","unrelated","word","word",0.227703831646323
"corda","arribar","unrelated","word","word",0.102254274147043
"bossa","cirurgià","unrelated","word","word",0.122218755545636
"segur","paper","unrelated","word","word",0.0589279983622215
"llista","informar","unrelated","word","word",0.158057723315561
"refredat","àngel","unrelated","word","word",0.20723713757531
"guai","canvi","unrelated","word","word",0.0710521386348096
"bala","augmentar","unrelated","word","word",0.157101233666742
"temperatura","guany","unrelated","word","word",0.153365266294218
"cambrera","personatge","unrelated","word","word",0.096657883084433
"micròfon","noi","unrelated","word","word",0.160895916063742
"jaqueta","estrès","unrelated","word","word",0.146421790825159
"nació","ull","unrelated","word","word",-0.0063041674951561
"poble","heroi","unrelated","word","word",0.184507172407334
"elecció","diàriament","unrelated","word","word",NA
"lluitador","prim","unrelated","word","word",0.1095553805172
"notícies","desig","unrelated","word","word",0.0432795978159852
"president","huracà","unrelated","word","word",0.282047849492174
"votant","taxi","unrelated","word","word",0.124719177918859
"dinamita","naixement","unrelated","word","word",0.206083070764719
"famolenc","baró","unrelated","word","word",0.22290375019827
"músic","model","unrelated","word","word",0.331649309613094
"carreró","racista","unrelated","word","word",0.0867464888466842
"millora","jurar","unrelated","word","word",0.0535037833707143
"diner","fer","unrelated","word","word",0.237092413991423
"vanilla","paranoica","unrelated","word","word",NA
"superfície","secret","unrelated","word","word",0.0957967483026774
"proporcionar","propietat","unrelated","word","word",0.389240800212482
"habilitat","marró","unrelated","word","word",0.149953826898872
"ciutat","equip","unrelated","word","word",0.0860525600278737
"submergir","ambulància","unrelated","word","word",NA
"barat","tanc","unrelated","word","word",0.132539737749577
"hidrogen","tamany","unrelated","word","word",NA
"tortuga","artista","unrelated","word","word",0.267735489900189
"donació","fum","unrelated","word","word",0.0590299553104878
"carn","doble","unrelated","word","word",0.0618746987636528
"festival","útil","unrelated","word","word",0.231666861710895
"càrrega","indústria","unrelated","word","word",0.220671713010208
"reputació","pobresa","unrelated","word","word",0.235223970815683
"autopista","escut","unrelated","word","word",0.222054863538284
"maleta","conversa","unrelated","word","word",0.166897897140145
"apartament","noia","unrelated","word","word",0.0953696059553042
"barret","àlbum","unrelated","word","word",0.275234850086007
"empresonament","davant de","unrelated","word","word",NA
"aturar","nua","unrelated","word","word",0.157478765497348
"cristià","valiós","unrelated","word","word",NA
"col·lapsar","aprop","unrelated","word","word",NA
"artilleria","bisbe","unrelated","word","word",0.149916616247181
"enterrar","forn","unrelated","word","word",0.218645285384828
"sord","segell","unrelated","word","word",0.170446617342607
"celestial","brutal","unrelated","word","word",0.352287136038432
"estrella","adolescent","unrelated","word","word",0.185703167848238
"presó","diamant","unrelated","word","word",0.136350103651772
"pols","mètode","unrelated","word","word",0.151024029928726
"trobar","mitja","unrelated","word","word",0.150004768224304
"triangle","brúixola","unrelated","word","word",0.196999324233946
"cerebral","navegació","unrelated","word","word",0.190129511501354
"roma","tard","unrelated","word","word",0.136731153784715
"confusió","nit","unrelated","word","word",0.126063794562859
"plàstic","ajudar","unrelated","word","word",0.131327177734084
"teatre","bomba","unrelated","word","word",0.159763066444364
"metge","hormona","unrelated","word","word",NA
"militar","mite","unrelated","word","word",0.237734775650738
"família","taller","unrelated","word","word",0.0975341218933345
"escola","ironia","unrelated","word","word",0.162870876005941
"dent","personal","unrelated","word","word",0.0689878735580836
"pany","paret","unrelated","word","word",0.323227779912735
"òbviament","ajut","unrelated","word","word",0.117731715825664
"prohibició","taüt","unrelated","word","word",NA
"amagar","examinar","unrelated","word","word",0.227412020056014
"heroïna","estudiant","unrelated","word","word",0.229624522601606
"contrasenya","qüestió","unrelated","word","word",0.142157279096295
"missil","mental","unrelated","word","word",NA
"ràbia","aspirina","unrelated","word","word",0.294255134584553
"coll","àncora","unrelated","word","word",0.0927660686041985
"grup","cercle","unrelated","word","word",0.240058886227812
"amic","germana","unrelated","word","word",0.118188357863316
"universitat","quilo","unrelated","word","word",0.130220013442088
"trencar","intel·ligent","unrelated","word","word",NA
"ubicació","drac","unrelated","word","word",0.0616624800633289
"federacoó","lasanya","unrelated","word","word",NA
"ordre","bota","unrelated","word","word",0.227656372845933
"capità","secretari","unrelated","word","word",0.159046856592741
"combat","significat","unrelated","word","word",0.225821390330321
"mescla","virus","unrelated","word","word",NA
"declaració","dret","unrelated","word","word",0.210640688423457
"comerciant","carn de porc","unrelated","word","word",NA
"comissió","tova","unrelated","word","word",0.0434014781034535
"societat anònima","factor","unrelated","word","word",NA
"generós","creació","unrelated","word","word",0.233360198341442
"campionat","cantant","unrelated","word","word",0.224342154524094
"verí","mainava","unrelated","word","word",NA
"vendre","cuc","unrelated","word","word",0.0969425161108978
"casament","privilegi","unrelated","word","word",0.240138723667606
"calcular","dit","unrelated","word","word",0.10375543435773
"districte","refugiat","unrelated","word","word",0.23895847007058
"habitual","dirigir","unrelated","word","word",0.0871571104955708
"deixar","classificar","unrelated","word","word",NA
"definició","vista","unrelated","word","word",0.126497982136314
"suposició","cantonada","unrelated","word","word",0.159474074967732
"cavalcada","sucre","unrelated","word","word",NA
"reunió","opinió","unrelated","word","word",0.305818261173254
"creure","copejar","unrelated","word","word",0.229543048763291
"confirmar","comprar","unrelated","word","word",0.195320718042667
"disputa","raó","unrelated","word","word",0.133346549533945
"agradable","crític","unrelated","word","word",0.193272010815215
"rebre","reclamar","unrelated","word","word",0.230490195489662
"aconsellar","perdedor","unrelated","word","word",0.107748606385218
"armari","escollir","unrelated","word","word",0.0301056907724122
"liberal","dna","unrelated","word","word",NA
"pensar","fort","unrelated","word","word",0.0505048013193301
"frau","botiga","unrelated","word","word",0.0759524432335338
"construir","tela","unrelated","word","word",0.0852726080327015
"conexió","aniversari","unrelated","word","word",NA
"radiació","procedir","unrelated","word","word",0.213027070734975
"cumplir","baix","unrelated","word","word",NA
"content","canal","unrelated","word","word",0.0552502510231199
"acord","resistència","unrelated","word","word",0.114936433857004
"manipular","preparar","unrelated","word","word",0.207183399517137
"discussió","tecnologia","unrelated","word","word",0.208546116684994
"colpejar","lliga","unrelated","word","word",0.312184777936922
"determinació","voluntària","unrelated","word","word",0.314217139649935
"tron","cobrir","unrelated","word","word",0.0695641423595339
"real","desertar","unrelated","word","word",0.127193317929702
"passejar","regiment","unrelated","word","word",0.107676765991871
"fax","llimonada","unrelated","word","word",0.219583877454712
"rodar","pacient","unrelated","word","word",0.0528241921102247
"cadàver","objecte","unrelated","word","word",0.254818664412548
"destrucció","especial","unrelated","word","word",0.0793924228371461
"produir","trist","unrelated","word","word",0.092265223427253
"deixar","diccionari","unrelated","word","word",0.199464537011075
"polític","portar","unrelated","word","word",0.120891587964112
"forat","entorn","unrelated","word","word",0.152300603952947
"foto","sergent","unrelated","word","word",0.167264867282176
"serp","ràdio","unrelated","word","word",0.0646552990371933
"xef","protestar","unrelated","word","word",0.196712671482743
"cul","sensacional","unrelated","word","word",0.0855176812631658
"forquilla","clau","unrelated","word","word",0.304890833002058
"civilització","mirada","unrelated","word","word",0.216696811893325
"llarg","admetre","unrelated","word","word",0.0896319038829337
"informació","observació","unrelated","word","word",0.399507886380723
"plata","ombra","unrelated","word","word",0.179981898872185
"a sobre de","arrabassar","unrelated","word","word",NA
"contrari","mil","unrelated","word","word",0.107348443387639
"darrere","bàsquet","unrelated","word","word",0.167261561691596
"desembre","de tant en tant","unrelated","word","word",NA
"inesperadament","arribada","unrelated","word","word",NA
"rarament","habitació","unrelated","word","word",0.0658828218435693
"utilitzar","cambrer","unrelated","word","word",0.138938967541851
"professor","mil·lió","unrelated","word","word",NA
"abandonar","broma","unrelated","word","word",0.0184890026179435
"sensible","torrada","unrelated","word","word",0.303927744846077
"matí","pis","unrelated","word","word",0.122749298949892
"honest","sexual","unrelated","word","word",0.245119246134131
"desgràcia","vermell","unrelated","word","word",0.151824357025431
"dormir","temple","unrelated","word","word",0.0695423360080829
"expressar","lleialtat","unrelated","word","word",0.20590386184806
"vall","suïcidi","unrelated","word","word",0.124503887826581
"desitjar","alcohol","unrelated","word","word",0.129650614227458
"destí","descans","unrelated","word","word",0.377243981430873
"jornitzador","estret","unrelated","word","word",NA
"divina","boig","unrelated","word","word",0.0576581328079913
"joia","meravellós","unrelated","word","word",0.172763825369309
"semanalment","carretera","unrelated","word","word",NA
"nàusea","canó","unrelated","word","word",NA
"frase","verd","unrelated","word","word",0.0998046941403652
"lleig","vent","unrelated","word","word",0.25235079218476
"dimarts","tercer","unrelated","word","word",0.254149888040199
"imperi","insult","unrelated","word","word",0.219262668824434
"graduat","resultat","unrelated","word","word",0.167492462080915
"dir","capa","unrelated","word","word",0.0677974164006567
"administratiu","dencent","unrelated","word","word",NA
"triomfar","hulla","unrelated","word","word",NA
"directament","marina","unrelated","word","word",0.142419477904521
"polític","gallet","unrelated","word","word",0.196690644078456
"sermó","carnestoltes","unrelated","word","word",NA
"diumenge","permissió","unrelated","word","word",NA
"velocitat","financerament","unrelated","word","word",NA
"polze","odiar","unrelated","word","word",0.126669311719811
"uniforme","correr","unrelated","word","word",0.179795569728997
"matrimoni","gerent","unrelated","word","word",0.169476995246574
"empremta","catòlic","unrelated","word","word",0.122668016092284
"triple","rifle","unrelated","word","word",0.316972015636084
"bonic","mar","unrelated","word","word",0.179768571181649
"crueltat","construcció","unrelated","word","word",0.195446135804404
"quatre","tancada","unrelated","word","word",0.0826364646826669
"injecció","segon","unrelated","word","word",0.177771045956065
"document","whisky","unrelated","word","word",0.23093613880568
"lleó","césar","unrelated","word","word",NA
"comèdia","experiment","unrelated","word","word",0.190798386377401
"romàntic","dissabte","unrelated","word","word",0.280063361526498
"esquerre","colla","unrelated","word","word",0.0524018407220886
"sospitós","estat","unrelated","word","word",0.151802179649508
"dur","submarí","unrelated","word","word",0.12532120398069
"bany","membre","unrelated","word","word",0.0438192242563671
"vídeo","enginyer","unrelated","word","word",0.332710235987016
"amicablement","victòria","unrelated","word","word",NA
"instrument","experiència","unrelated","word","word",0.208585085122039
"opció","clau","unrelated","word","word",0.191244353384206
"treure","veu","unrelated","word","word",-0.00412050756553773
"interessant","civil","unrelated","word","word",0.167064551917826
"mastegar","badia","unrelated","word","word",0.266938020007126
"tirar","orquestra","unrelated","word","word",NA
"a algún lloc","patata","unrelated","word","word",NA
"bellesa","més","unrelated","word","word",0.188559650411562
"oponent","pirata","unrelated","word","word",0.279600086517793
"concentrar-se","esquena","unrelated","word","word",NA
"arquitecte","admirar","unrelated","word","word",0.242388566341106
"divertida","empassar","unrelated","word","word",0.192513978024139
"atmosfera","proposar","unrelated","word","word",0.105556742312616
"caminar","anfiteatre","unrelated","word","word",NA
"jugadora","oca","unrelated","word","word",NA
"dinar","perillós","unrelated","word","word",0.0619105635428415
"passió","princesa","unrelated","word","word",0.14422673728046
"empipat","mil·lionari","unrelated","word","word",NA
"harmonia","compromís","unrelated","word","word",0.213387142958721
"equipar","pecat","unrelated","word","word",NA
"errada","ideal","unrelated","word","word",0.225672814425281
"saltar","projecte","unrelated","word","word",0.0637468349835028
"servent","presència","unrelated","word","word",0.163339090839159
"seleccionar","planeta","unrelated","word","word",0.191337555382914
"escoltar","all","unrelated","word","word",0.139326671998069
"escombreria","ovni","unrelated","word","word",NA
"armadura","xarxa","unrelated","word","word",0.174753608729932
"contusió","impossible","unrelated","word","word",NA
"capella","seminari","unrelated","word","word",0.187388656232541
"espantar","internet","unrelated","word","word",0.0911433865581153
"ganivet","aire","unrelated","word","word",0.148854561003991
"genoll","àliar","unrelated","word","word",NA
"únic","de sobte","unrelated","word","word",NA
"rendiment","bo","unrelated","word","word",NA
"fe","calendari","unrelated","word","word",0.282304471688339
"esperar","cinèma","unrelated","word","word",NA
"traïdor","guanyar","unrelated","word","word",0.188522592148625
"abdominal","garantitzar","unrelated","word","word",NA
"sabotatge","filosofia","unrelated","word","word",0.20768632163775
"retornar","lent","unrelated","word","word",0.130832856349398
"dispositiu","postres","unrelated","word","word",0.169726892601981
"ós rentador","fugir","unrelated","word","word",NA
"beisbol","tassa","unrelated","word","word",0.214246905149929
"posició","vi","unrelated","word","word",0.0732895982673508
"núvia","equilibri","unrelated","word","word",0.174076413615164
"hivern","internacional","unrelated","word","word",0.133340974851977
"pit","trampa","unrelated","word","word",0.135049521967037
"depressió","mel","unrelated","word","word",0.0395863104110481
"ample","bar","unrelated","word","word",0.129549577484188
"mestra","davall","unrelated","word","word",0.210189303094452
"per sempre","bíblia","unrelated","word","word",NA
"proba","capacitat","unrelated","word","word",0.137388188733545
"mutació","masculí","unrelated","word","word",0.210653268220821
"inspecció","enemic","unrelated","word","word",0.0555732167888169
