"pt_cue","pt_target","type","cue_type","target_type","pt_cosine"
"ocasionalmente","raramente","related","word","word",0.524816103152572
"mouse","ratazana","related","word","word",0.18410185365385
"feira","razoável","related","word","word",0.110817661967947
"verdadeiro","real","related","word","word",0.51669899277236
"otimista","realista","related","word","word",0.535887217824926
"na realidade","realmente","related","word","word",NA
"gerador","reator.","related","word","word",NA
"somente","recentemente","related","word","word",0.0559554458371689
"bônus","recompensa","related","word","word",0.423161224551841
"internet","rede","related","word","word",0.40596105398577
"aumentar","reduzir","related","word","word",0.691359585278811
"comida","refeição","related","word","word",0.562605251635481
"limonada","refrigerante","related","word","word",0.578164067037023
"rainha","rei","related","word","word",0.655696368168469
"real","reino","related","word","word",0.306219929134274
"filosofia","religião","related","word","word",0.562702980796053
"eliminar","remover","related","word","word",0.53570040302516
"contratar","renda","related","word","word",0.209006607383914
"lucro","renda","related","word","word",0.359290844621358
"consertar","reparar","related","word","word",0.660952078998804
"apavorante","repugnante","related","word","word",0.413985655180044
"sujo","repugnante","related","word","word",0.413271176478709
"carreira","reputação","related","word","word",0.540043207963596
"quente","resfriado","related","word","word",0.449299139712761
"seqüestrador","resgate","related","word","word",0.373644567119128
"resistência","resistir","related","word","word",0.531322598960764
"responda","responder","related","word","word",0.705164057621483
"bar","restaurante","related","word","word",0.659301723467389
"resultado","resultado","related","word","word",1
"de volta","retorna","related","word","word",NA
"coletar.","reunir","related","word","word",NA
"playboy.","revista","related","word","word",NA
"pobre","rico","related","word","word",0.416333297848136
"sorrir","risada","related","word","word",0.326537608379362
"estrada","rodovia","related","word","word",0.589935834119368
"césar","roma","related","word","word",0.579443884667304
"dramático","romântico","related","word","word",0.491022835764508
"roubar","roubar","related","word","word",1
"roubo","roubo","related","word","word",1
"avenida","rua","related","word","word",0.495214281747794
"reconhecer","sabia","related","word","word",0.185883935962569
"espionagem","sabotar","related","word","word",0.260591637791808
"caixa","sacola","related","word","word",0.522454737899675
"sopa","salada","related","word","word",0.69206062958762
"pensão","salário","related","word","word",0.547574821604434
"herói","salvador","related","word","word",0.556512928941668
"resgate","salvar","related","word","word",0.316348782694105
"ninja.","samurai","related","word","word",NA
"bota","sapato","related","word","word",0.635936769101219
"radar","satélite","related","word","word",0.562932244661765
"felicitar","saudar","related","word","word",0.49354835769461
"fome","sede","related","word","word",0.521690001857812
"segurança","segurança","related","word","word",1
"seguro","seguro","related","word","word",1
"escolher","selecione.","related","word","word",NA
"mês","semana","related","word","word",0.733124104572897
"diário","semanalmente","related","word","word",0.281040210189491
"nunca","sempre","related","word","word",0.431738423889957
"parlamento","senado","related","word","word",0.520932292924828
"governador","senador","related","word","word",0.541681746333732
"código","senha","related","word","word",0.5714366249752
"senhor","senhora","related","word","word",0.674436121101209
"inquilino","senhorio","related","word","word",0.649325736255501
"ficar de pé","sentar","related","word","word",NA
"impressão","sentindo-me","related","word","word",NA
"agulha","seringa","related","word","word",0.607703692016658
"fala","sermão","related","word","word",0.168100299217753
"escravo","servo","related","word","word",0.500701419959872
"tour","show","related","word","word",0.439475733984397
"silencioso","silêncio","related","word","word",0.537632476440721
"ok","sim","related","word","word",0.623528029395346
"bandeira","símbolo","related","word","word",0.391020504259451
"simplesmente","simples","related","word","word",0.352182997075278
"frequência","sinal","related","word","word",0.317379680901242
"formato","sinal","related","word","word",0.175692063366621
"sintoma","síndrome","related","word","word",0.485810124995846
"rede","sistema","related","word","word",0.405426928138761
"apelido","sobrenome","related","word","word",0.790448611708102
"viver","sobreviver","related","word","word",0.430773195506738
"neto","sobrinho","related","word","word",0.541580701716597
"lua","sol","related","word","word",0.434679057695409
"lunar","solar","related","word","word",0.374387425649534
"exigem","solicitação","related","word","word",0.272831524226963
"ruído","som","related","word","word",0.694324173979658
"sombra","sombrio","related","word","word",0.375046159547283
"cápsula","sonda","related","word","word",0.498441827791682
"pesadelo","sonhe","related","word","word",0.309047599125426
"voz","sotaque","related","word","word",0.440823408319524
"sozinho","sozinho","related","word","word",1
"substituir","substituto","related","word","word",0.644269810448203
"o suficiente","suficiente","related","word","word",NA
"propor","sugerir","related","word","word",0.554008414481708
"objeto","sujeito","related","word","word",0.384114792446886
"leite","sumo","related","word","word",0.59974938912499
"camada","superfície","related","word","word",0.454476614556057
"mais baixo","superior","related","word","word",NA
"conclusão","suposição","related","word","word",0.403300796817089
"cego","surdo","related","word","word",0.669322176410701
"dúvida","suspeito","related","word","word",0.218376441976091
"potencial","talento","related","word","word",0.511989219133942
"chão","tapete","related","word","word",0.536291119314585
"noite","tarde","related","word","word",0.49722650121141
"caracol","tartaruga","related","word","word",0.407411319066471
"olá","tchau","related","word","word",0.51623252048557
"cinema","teatro","related","word","word",0.626598774338424
"pele","tecido","related","word","word",0.469719262076168
"método","técnica","related","word","word",0.543902861133335
"chamar","telefone","related","word","word",0.206402231675173
"rádio","televisão","related","word","word",0.517090608858082
"calor","temperatura","related","word","word",0.508415930298325
"vento","tempestade","related","word","word",0.520308087321595
"sargento","tenente","related","word","word",0.697019794332263
"golfe","tênis","related","word","word",0.5700895526881
"experimentar","tentar","related","word","word",0.329873094431969
"audição","tentativas","related","word","word",0.110025903329624
"ideia","teoria","related","word","word",0.498858776806086
"gerir","ter sucesso","related","word","word",NA
"segunda-feira","terça","related","word","word",NA
"experimentar","teste","related","word","word",0.263484580471169
"testemunha","testemunho","related","word","word",0.616095134088431
"nome","título","related","word","word",0.380614148583727
"cobertor","toalha","related","word","word",0.533527452313301
"batata","tomate","related","word","word",0.592317988443176
"furacão","tornado","related","word","word",0.420305725555002
"tormento","tortura","related","word","word",0.452790449052922
"agricultor","trabalhador","related","word","word",0.561294391286374
"trabalho","trabalhar","related","word","word",0.512399086804537
"moderno","tradicional","related","word","word",0.476258765495215
"triste","trágico","related","word","word",0.52495827545983
"derrubar","trago","related","word","word",0.115498568347598
"espião","traidor","related","word","word",0.617398929474105
"chave","trancar","related","word","word",0.407206125255384
"mover","transferir","related","word","word",0.353948825568319
"sensor","transmissor","related","word","word",0.545830210997422
"frente","traseira","related","word","word",0.367838976108389
"terapia","tratamento","related","word","word",0.587637288012276
"1","três","related","word","word",0.226946888505082
"círculo","triângulo","related","word","word",0.517833721500913
"metade","trimestre","related","word","word",0.200768386815917
"duplo","triplo","related","word","word",0.633599662933154
"coroa","trono","related","word","word",0.540994010631849
"relâmpago","trovão","related","word","word",0.515501139443745
"ponte","túnel","related","word","word",0.405341481807129
"distintivo","uniforme","related","word","word",0.497370887545204
"escola superior","universidade","related","word","word",NA
"sangue","urina","related","word","word",0.573670976035907
"aplique","usar","related","word","word",0.253908052909894
"comum","usual","related","word","word",0.325723546183293
"normalmente","usualmente","related","word","word",0.610541802439919
"antídoto","vacina","related","word","word",0.633828834005631
"deserto","vale","related","word","word",0.282692920175787
"merecer","valioso","related","word","word",0.223715588577242
"zumbi","vampiro","related","word","word",0.320568076375511
"rodeio","vaqueiro","related","word","word",0.417035156114985
"luminária","vela","related","word","word",0.400270230371982
"âncora","velejar","related","word","word",0.340525227131401
"caixão","velório","related","word","word",0.418747452685135
"devagar","velozes","related","word","word",0.261994454062963
"fracassado","vencedora","related","word","word",0.212708463630431
"comprar","vender","related","word","word",0.693690014123205
"chegar","venha","related","word","word",0.269173541767213
"válvula","ventilação","related","word","word",0.471370056573139
"marte","vênus","related","word","word",0.598401883288442
"verifica","verificar","related","word","word",0.675761716838487
"saia","vestir","related","word","word",0.289904042369974
"dvd","vídeo","related","word","word",0.556772640684181
"acampamento","vila","related","word","word",0.39028471987528
"revelação","visão","related","word","word",0.357099383990583
"proteína","vitamina","related","word","word",0.635122015912596
"uísque","vodka","related","word","word",0.657615010463356
"voluntário","voluntariamente","related","word","word",0.542453756041075
"pousar","voo","related","word","word",0.362265580385697
"maioria","voto","related","word","word",0.289557592432507
"sherlock.","watson.","related","word","word",NA
"área","zona","related","word","word",0.81101027469717
"suave","atirar","unrelated","word","word",0.0744810358779101
"sair","justiça","unrelated","word","word",0.0904573739722819
"espinal","íntimo","unrelated","word","word",0.147187280171429
"seqüestrar","cicatriz","unrelated","word","word",0.00602413884072968
"beijo","conselho","unrelated","word","word",0.198213894863529
"refúgio","evento","unrelated","word","word",0.207230200988934
"ridículo","frio","unrelated","word","word",0.196842587912035
"piquenique","comunidade","unrelated","word","word",0.119161507658865
"recusar","puxar","unrelated","word","word",0.177186326886946
"incidente","rede","unrelated","word","word",0.070003988120169
"baixa","show","unrelated","word","word",0.0876072975894958
"concreto","baseball.","unrelated","word","word",NA
"escolta","fotógrafo","unrelated","word","word",0.165152783948299
"ocorrer","fortemente","unrelated","word","word",0.144152007423858
"contrato","estrangeiro","unrelated","word","word",0.187473443766979
"confiar em","plausível","unrelated","word","word",NA
"reclamação","calma","unrelated","word","word",0.0410401145575836
"extra","administrativo","unrelated","word","word",0.22790551650991
"gestão","trago","unrelated","word","word",0.0305042040404515
"adolescência","jóia","unrelated","word","word",0.123149831803151
"hormônio","sobrenome","unrelated","word","word",0.185638072537562
"terminal","porto","unrelated","word","word",0.367002765598751
"banheiro","análise","unrelated","word","word",0.113505245798233
"empresa","alegria","unrelated","word","word",0.0925934466923799
"calendário","divisão","unrelated","word","word",0.0456196660311765
"grato","perigo","unrelated","word","word",0.167677590303869
"já","notável","unrelated","word","word",0.120617045486788
"ajuda","escrever","unrelated","word","word",0.128336169402999
"alerta","dar","unrelated","word","word",0.136386410249557
"prazer","predador","unrelated","word","word",0.0975027563276865
"bravo","marketing","unrelated","word","word",0.0734064206779885
"nada","humano","unrelated","word","word",0.228230999868727
"seda","documento","unrelated","word","word",0.0204256095736213
"motivo","vaqueiro","unrelated","word","word",0.140768767549381
"lanche","privacidade","unrelated","word","word",0.100221426756792
"majestade","atirador de elite","unrelated","word","word",NA
"baixo","velejar","unrelated","word","word",0.0855818462243155
"peso","transmissor","unrelated","word","word",0.129960403210183
"ilusão","café da manhã","unrelated","word","word",NA
"pôr do sol","pacote","unrelated","word","word",NA
"amante","orifício","unrelated","word","word",0.0858914543655257
"odiar","teatro","unrelated","word","word",0.209794372329334
"vermelho","recentemente","unrelated","word","word",0.121550725596048
"susto","brinquedo","unrelated","word","word",0.147556362976828
"áfrica","cronômetro","unrelated","word","word",0.0753074917151212
"educado","ratazana","unrelated","word","word",0.128173941982878
"colega","pedra","unrelated","word","word",0.111783335219845
"relação","avó","unrelated","word","word",0.150152638881968
"estreito","máximo","unrelated","word","word",0.0988240713918169
"autópsia","sonda","unrelated","word","word",0.295596783384046
"corre","senhora","unrelated","word","word",0.0811089455263767
"orgulhoso","clínica","unrelated","word","word",0.0885901954146215
"fera","definição","unrelated","word","word",0.0323031191486151
"aniversário","muito","unrelated","word","word",0.142111741767563
"agarrar","minuto","unrelated","word","word",0.132391146219339
"casa","vênus","unrelated","word","word",0.206021789675927
"admirar","comédia","unrelated","word","word",0.17282089200238
"permissão","inferno","unrelated","word","word",0.0765363423246934
"que","senhorio","unrelated","word","word",0.218792637158874
"cabo","pare","unrelated","word","word",0.0708353939641875
"cabine","estado","unrelated","word","word",0.0946813813654585
"lama","defender","unrelated","word","word",0.122505122317862
"pistola","charuto","unrelated","word","word",0.25288751217286
"rifle","interessante","unrelated","word","word",0.0816333956117245
"escudo","brilhante","unrelated","word","word",0.18942591485028
"gabinete","tartaruga","unrelated","word","word",0.0743596023895394
"fazer compras","jornal","unrelated","word","word",NA
"engenheiro","amante","unrelated","word","word",0.268007431873386
"ignorância","engraçado","unrelated","word","word",0.0815035642085089
"arsenal.","furgão","unrelated","word","word",NA
"veia","sede","unrelated","word","word",0.145497067272167
"natural","com licença","unrelated","word","word",NA
"cavalaria","heroína","unrelated","word","word",0.120980048533233
"arbusto","arma de fogo","unrelated","word","word",NA
"suicídio","prata","unrelated","word","word",0.0652128194795648
"mercenário","ativar","unrelated","word","word",0.118600150635287
"assassino","ling.","unrelated","word","word",NA
"carimbo","refeição","unrelated","word","word",0.0678068022424445
"apoio, suporte","explosão","unrelated","word","word",NA
"secretário","cristão","unrelated","word","word",0.106353565433745
"veja","boné","unrelated","word","word",0.233388231905856
"chifre","promotor","unrelated","word","word",0.159417745196783
"vítima","pássaro","unrelated","word","word",0.110539583403032
"invasão","investigador","unrelated","word","word",0.112668217668344
"atirador","intenção","unrelated","word","word",0.0846493217103568
"tomada","túnel","unrelated","word","word",0.0897274730314787
"opinião","gratidão","unrelated","word","word",0.183337936868842
"acionar","discussão","unrelated","word","word",0.115750534963724
"ativo","museu","unrelated","word","word",0.0974032971453811
"pacífico","risada","unrelated","word","word",0.0456702398662054
"meio ambiente","passaporte","unrelated","word","word",NA
"gesto","gay.","unrelated","word","word",NA
"autor","abraço","unrelated","word","word",0.0518953443895349
"atenção","pedido","unrelated","word","word",0.147246520541152
"exposição","lixo","unrelated","word","word",0.0706728210996838
"fresco","garoto","unrelated","word","word",0.194149280289716
"presença","produtos","unrelated","word","word",0.109707143524671
"jurisdição","inverno","unrelated","word","word",0.0673376435168378
"observação","reparar","unrelated","word","word",0.169990705069723
"vô","permanecer","unrelated","word","word",0.0891096076885921
"castanho","depressão","unrelated","word","word",0.154784569023262
"brinde","mutação","unrelated","word","word",0.0713574425757882
"calibre","empréstimo","unrelated","word","word",0.088654057243459
"orquestra","espírito","unrelated","word","word",0.0233454966919631
"chuveiro","confidencial","unrelated","word","word",0.0871546345116215
"caro","cerebral","unrelated","word","word",0.103131729202758
"cabelo","financiamento","unrelated","word","word",0.218154438347011
"submarino","correto","unrelated","word","word",0.0903265829245902
"equipe técnica","importante","unrelated","word","word",NA
"clube","ouvir","unrelated","word","word",0.0925520832790109
"estádio","escândalo","unrelated","word","word",0.18189868677238
"guerra","papai","unrelated","word","word",0.119401343538164
"regimento","ofender","unrelated","word","word",0.127144983018152
"canela","encantador","unrelated","word","word",0.140797087738631
"sóbrio","nervoso","unrelated","word","word",0.356982368628306
"canto","porta","unrelated","word","word",0.209627502212922
"charme","comprimido","unrelated","word","word",0.097070250965266
"milhão","instrumento","unrelated","word","word",0.104162327196048
"química","bochecha","unrelated","word","word",0.141359109515379
"químico","garçonete","unrelated","word","word",0.145964808899774
"lábio","alto","unrelated","word","word",0.210541445131821
"sobremesa","finalizar","unrelated","word","word",0.150081024743285
"copos","sentar","unrelated","word","word",0.233507127737808
"doce","enterrar","unrelated","word","word",0.122068050093738
"washington.","sabia","unrelated","word","word",NA
"mão","grego","unrelated","word","word",0.151465931308064
"brilhar","condessa","unrelated","word","word",0.064305755624506
"boneca","sugerir","unrelated","word","word",0.0874036059917336
"xingamento","terça","unrelated","word","word",0.188312743454097
"magia","noiva","unrelated","word","word",0.160147203947415
"bunda","mamãe","unrelated","word","word",0.390777852316461
"corpo","período","unrelated","word","word",0.150764084230458
"tabela","casado","unrelated","word","word",0.0875300316986065
"xícara","armaduras","unrelated","word","word",0.114218004835466
"jantar","celestial","unrelated","word","word",0.165013433923369
"contar","barco","unrelated","word","word",0.142637397334827
"quieto","ir","unrelated","word","word",0.19538172844289
"sofá","sentindo-me","unrelated","word","word",NA
"jipe","aniversário","unrelated","word","word",0.116310948159926
"rota","neve","unrelated","word","word",0.147017199195815
"concorrência","prosseguir","unrelated","word","word",0.150157492839959
"arena","escola","unrelated","word","word",0.260092256009672
"tumor","festival","unrelated","word","word",0.107695908802263
"papel","colar","unrelated","word","word",0.287126358277253
"igreja","dinheiro","unrelated","word","word",0.20251363010835
"anarquia","fantasia","unrelated","word","word",0.221979501259765
"comandante","personalidade","unrelated","word","word",0.0591923721196478
"bispo","deixar","unrelated","word","word",0.10720215925793
"carga","corrida","unrelated","word","word",0.192204226694407
"veículo","lagarto","unrelated","word","word",0.170276059166936
"telegrama","voto","unrelated","word","word",0.176725097660455
"bolso","assassinato","unrelated","word","word",0.120428453481152
"máfia","chocolate","unrelated","word","word",0.043255302253438
"solteiro","rapidamente","unrelated","word","word",-0.00662827362892679
"divórcio","falha","unrelated","word","word",0.139871325237454
"noivado","fecho","unrelated","word","word",0.240615607835192
"palácio","pescoço","unrelated","word","word",0.137720123036383
"razão","partida","unrelated","word","word",0.0944510969468357
"asno","completamente","unrelated","word","word",0.106113735521447
"alho","comunista","unrelated","word","word",0.0860358028695933
"atrasado","medalhão","unrelated","word","word",0.119233089093507
"céu","mecânico","unrelated","word","word",0.116871813202848
"cova","impressão digital","unrelated","word","word",NA
"mil","salário","unrelated","word","word",0.247973603052664
"milha","sinal","unrelated","word","word",0.218328376736179
"muro","surdo","unrelated","word","word",0.141227560052053
"fora","novo","unrelated","word","word",0.169971857582754
"cérebro","bêbado","unrelated","word","word",0.167299345405806
"ritual","guerreiro","unrelated","word","word",0.271257162030929
"beber","lá","unrelated","word","word",0.256009977547764
"incêndio","coelho","unrelated","word","word",0.141047456602568
"vinho","ônibus","unrelated","word","word",0.11331279677449
"suborno","biológico","unrelated","word","word",0.107973398557343
"capacete","faz","unrelated","word","word",0.1491854937503
"fumaça","cardeal","unrelated","word","word",0.159151015960275
"gerente","vender","unrelated","word","word",0.186104809189726
"cozinheiro","tentativas","unrelated","word","word",0.0291903045636403
"vazio","radiação","unrelated","word","word",0.151329055550303
"gosto","fatal","unrelated","word","word",0.071732241982674
"açúcar","refrigerante","unrelated","word","word",0.476629660978965
"tatuagem","greve","unrelated","word","word",0.0999219360775935
"capital","garotas","unrelated","word","word",0.0839419642488364
"tecnologia","império","unrelated","word","word",0.282738568079931
"gênio","apreciar","unrelated","word","word",0.187391597273305
"tabaco","marinha","unrelated","word","word",0.211668153366763
"ingênuo","intuição","unrelated","word","word",0.232589872097273
"jardim zoológico","montante","unrelated","word","word",NA
"operar","trabalhador","unrelated","word","word",0.183735788541071
"cultura","lago","unrelated","word","word",0.0678799116598684
"típica","diretamente","unrelated","word","word",0.153091383208577
"paciente","constituição","unrelated","word","word",0.128022590678268
"hospital","democracia","unrelated","word","word",0.139166349115954
"verme","encantador","unrelated","word","word",0.174000181931295
"raposa","por","unrelated","word","word",0.13563202018194
"cair","fechar","unrelated","word","word",0.205661085404872
"anel","geralmente","unrelated","word","word",0.11261472486072
"cansado","campo de batalha","unrelated","word","word",NA
"perdoar","esposa","unrelated","word","word",0.184743753902148
"gás","diretor","unrelated","word","word",0.133988460554771
"drama","mensagem","unrelated","word","word",0.100115166969013
"alimentação","diabo","unrelated","word","word",0.0607170263146087
"comercial","protótipo","unrelated","word","word",0.257717013009405
"inspetor","militares","unrelated","word","word",0.10019130162001
"comissão","ensinar","unrelated","word","word",0.138562509835278
"paciência","fruta","unrelated","word","word",0.20054819661959
"absolutamente","pato","unrelated","word","word",0.152221164978209
"total","ministro","unrelated","word","word",0.145645891469844
"vendedor","mandar","unrelated","word","word",0.111948600104989
"entender","mulher","unrelated","word","word",0.17929269454011
"tamanho","externo","unrelated","word","word",0.139322574902793
"tábua","livro","unrelated","word","word",0.226508335348422
"programas","civilização","unrelated","word","word",0.148214602620769
"navegação","devoção","unrelated","word","word",0.190268786307068
"sociedade","poker.","unrelated","word","word",NA
"racista","ferida","unrelated","word","word",0.0512056906885223
"foco","semanalmente","unrelated","word","word",0.128367218154624
"barão","agendar","unrelated","word","word",0.0661011672866137
"passageiro","causa","unrelated","word","word",0.169672701500856
"contato","ciência","unrelated","word","word",0.0662617545102494
"admitem","em algum lugar","unrelated","word","word",NA
"respeito","arame","unrelated","word","word",0.037447509831097
"delicado","mistério","unrelated","word","word",0.203145075388779
"confirmação","queijo","unrelated","word","word",0.0892052934591246
"caos","global","unrelated","word","word",0.344287524145505
"derreter","dólar","unrelated","word","word",0.132854333454426
"rum","fogão","unrelated","word","word",0.164204511342457
"vejo","posição","unrelated","word","word",0.120727279460285
"agora","maionese","unrelated","word","word",0.0978424635533251
"experiência","suspeito","unrelated","word","word",0.154864337525804
"conselho","música","unrelated","word","word",0.129100861459277
"sempre","governo","unrelated","word","word",0.147205466828904
"lei","cobra","unrelated","word","word",0.149006637337162
"torre","carta","unrelated","word","word",0.209746416550202
"construção","acampamento","unrelated","word","word",0.109403896679007
"dizer","voluntariamente","unrelated","word","word",0.184764980433527
"conter","reunir","unrelated","word","word",0.305260007177237
"oposto","frota","unrelated","word","word",0.0848455465041396
"orfanato","rei","unrelated","word","word",0.0496305544058574
"original","cerca","unrelated","word","word",0.15285149163609
"nobre","dispositivo","unrelated","word","word",0.0945796073938781
"cadeia","talento","unrelated","word","word",0.0126139173429343
"em geral","peixe","unrelated","word","word",NA
"companhia","pressão","unrelated","word","word",0.0800834379915462
"errado","gravata","unrelated","word","word",0.142519922961948
"maratona","escapar","unrelated","word","word",0.094770334518832
"rasgar","atividade","unrelated","word","word",0.0789807629029426
"praia","provavelmente","unrelated","word","word",0.172712842852532
"osso","abduct.","unrelated","word","word",NA
"bebê","aço","unrelated","word","word",0.0779801672955878
"imaginação","piada","unrelated","word","word",0.257072794270556
"monstro","compaixão","unrelated","word","word",0.204849630115013
"pecado","arsenal","unrelated","word","word",0.0773146613887992
"ladrao","tênis","unrelated","word","word",0.108664089387045
"situação","vela","unrelated","word","word",0.0803161353812147
"católico","nuclear","unrelated","word","word",0.17542650960669
"detonador","bruxo","unrelated","word","word",0.217815961441385
"brutal","circo","unrelated","word","word",0.115969436370778
"mal","feio","unrelated","word","word",0.202384889249418
"inocente","cliente","unrelated","word","word",0.342313182949606
"recuperar","saudar","unrelated","word","word",0.161088580632949
"dançarino","rapidez","unrelated","word","word",0.114897157852894
"oferta","calcular","unrelated","word","word",-0.00608058602817963
"século","título","unrelated","word","word",0.115188604811633
"comente","psicológico","unrelated","word","word",0.121421102083751
"dedo","boston","unrelated","word","word",0.0933521407912316
"proteger","adolescente","unrelated","word","word",0.0708981584852632
"conceito","baunilha","unrelated","word","word",0.178048206564076
"permitir","faca","unrelated","word","word",0.0452103815826003
"certo","guitarra","unrelated","word","word",0.159337715118312
"saboroso","pensar","unrelated","word","word",0.154648339878794
"renúncia","dedão","unrelated","word","word",0.0849455707678372
"liberdade","manipular","unrelated","word","word",0.147510545007498
"protesto","bacon","unrelated","word","word",0.129087405432074
"unha","manter","unrelated","word","word",0.0407799620428471
"estresse","vodka","unrelated","word","word",0.115044274042946
"vitória","empregada","unrelated","word","word",0.0871425984627578
"obstáculo","usual","unrelated","word","word",0.0729255454447671
"desconfortável","cemitério","unrelated","word","word",0.18834316354838
"morte","caminho","unrelated","word","word",0.0641461659787256
"surpresa","tecido","unrelated","word","word",0.0489116159016082
"anônimo","inesperadamente","unrelated","word","word",0.178992428551343
"perfil","máquina","unrelated","word","word",0.0810138743482991
"desejo","especialista","unrelated","word","word",0.085686254341494
"pintar","armazenar","unrelated","word","word",0.254075018841823
"progresso","aprovação","unrelated","word","word",0.24329877184444
"destino","eleitor","unrelated","word","word",0.172582329057811
"criação","chefe de cozinha","unrelated","word","word",NA
"coragem","árvore","unrelated","word","word",0.112018703329777
"agente","guaxinim","unrelated","word","word",0.18492990461905
"responsabilidade","comprador","unrelated","word","word",0.107378239632569
"fidelidade","quarto","unrelated","word","word",0.0837077945665024
"novembro","banda","unrelated","word","word",0.125199267879972
"anjo","agradecer","unrelated","word","word",0.16813470841422
"semelhante","perspectiva","unrelated","word","word",0.2159895480394
"orgulho","computador","unrelated","word","word",0.106099052217316
"pólvora","curar","unrelated","word","word",0.118887537820656
"ping.","congelar","unrelated","word","word",NA
"dinheiro","cavalo","unrelated","word","word",0.251978178281742
"direto","impotente","unrelated","word","word",0.0532188924566367
"produtor","estratégia","unrelated","word","word",0.1226365448276
"conversação","elemento","unrelated","word","word",0.149380207593489
"lasca","corajoso","unrelated","word","word",0.116311785883595
"conflito","trono","unrelated","word","word",0.199487187914181
"aproximar","intencionalmente","unrelated","word","word",0.215451625572196
"município","absurdo","unrelated","word","word",0.152198593668221
"deus","honesto","unrelated","word","word",0.252613983186687
"unidade","marinheiro","unrelated","word","word",0.126541960142508
"caridade","infortúnio","unrelated","word","word",0.117891840046029
"arquivo","coronel","unrelated","word","word",0.196056557257107
"gripe","filho","unrelated","word","word",0.143882720432833
"doente","metal","unrelated","word","word",0.108449624177416
"libra","realista","unrelated","word","word",0.150062449251592
"sábado","proibir","unrelated","word","word",0.155694856201343
"sofrimento","cópia de","unrelated","word","word",NA
"descanso","informar","unrelated","word","word",0.0642222880584651
"cirurgião","crise","unrelated","word","word",0.118893832188147
"primeiro","programa","unrelated","word","word",0.106007185462597
"difícil","revista","unrelated","word","word",0.09078322422316
"saúde","batalha","unrelated","word","word",0.105685193308406
"influência","explosivo","unrelated","word","word",0.0983596858284508
"útil","espaguete","unrelated","word","word",0.0725202696017173
"teimoso","grosso","unrelated","word","word",0.322802561240407
"elegante","sistema","unrelated","word","word",0.121778369942754
"campanha","inferior","unrelated","word","word",0.0301028918376009
"candidato","amarelo","unrelated","word","word",0.0761187783545935
"fator","impressionar","unrelated","word","word",0.100070542781985
"atual","bruxa","unrelated","word","word",0.0406937377928889
"magnético","assobiar","unrelated","word","word",0.126541669094005
"em outro lugar","silêncio","unrelated","word","word",NA
"dados","américa","unrelated","word","word",0.115417781689717
"urgente","possibilidade","unrelated","word","word",0.159711603477216
"mental","superfície","unrelated","word","word",0.118899729319823
"milionário","mosca","unrelated","word","word",0.16335169634651
"babá","microscópio","unrelated","word","word",0.0997990599683276
"crédito","teste","unrelated","word","word",0.116867660702135
"atraente","passado","unrelated","word","word",0.116513600414025
"legais","cortar","unrelated","word","word",0.0861389077715071
"procurar","cadeira","unrelated","word","word",0.0368455912386619
"conferência","estação","unrelated","word","word",0.223191653380027
"potência","equipe","unrelated","word","word",0.152092108726622
"inteligente","sobrinho","unrelated","word","word",0.229655835135507
"aprender","assistir","unrelated","word","word",0.201167265515759
"escavação","conexão","unrelated","word","word",0.20798873354713
"saída","salvar","unrelated","word","word",0.137731933989969
"praga","acreditam","unrelated","word","word",0.175430051167782
"series","acontecer","unrelated","word","word",0.149629373735517
"equipamento","eficaz","unrelated","word","word",0.208616500409856
"liga","matemática","unrelated","word","word",0.117198324116933
"orgasmo","construir","unrelated","word","word",0.056684955363061
"erro","psicologia","unrelated","word","word",0.0763999592029868
"fofoca","atuação","unrelated","word","word",0.200018741720091
"fugir","falar","unrelated","word","word",0.312859802393043
"classe","espetacular","unrelated","word","word",0.215284189360443
"leitura","homem morcego","unrelated","word","word",NA
"leitura","martelo","unrelated","word","word",0.115578550997592
"poeta","altura","unrelated","word","word",0.0741173965584112
"escrivaninha","cidade","unrelated","word","word",0.178248705921723
"lasanha.","mapa","unrelated","word","word",NA
"especialista","preocupação","unrelated","word","word",0.193314347604557
"reflexão","ganhar","unrelated","word","word",0.0964899780976298
"aguarde","físico","unrelated","word","word",0.0821411076849891
"sensacional","perímetro","unrelated","word","word",0.092230187274103
"alma","vídeo","unrelated","word","word",0.0748148346192884
"passatempo","encontro","unrelated","word","word",0.209706892345238
"marido","o negócio","unrelated","word","word",NA
"plataforma","alteza","unrelated","word","word",-0.0142687849125514
"federal","tornado","unrelated","word","word",0.152523551499821
"monumento","artificial","unrelated","word","word",0.216197922751076
"ritmo","cirurgia","unrelated","word","word",0.114449754958402
"ufo.","prisão","unrelated","word","word",NA
"incomum","voo","unrelated","word","word",0.0952574994644672
"plano","religião","unrelated","word","word",0.14543793702711
"celebridade","delicioso","unrelated","word","word",0.10551753693438
"pirâmide","tempestade","unrelated","word","word",0.21144377723874
"pesquisa","durar","unrelated","word","word",0.0835125888839817
"loucura","avaliação","unrelated","word","word",0.13184251044861
"ingênuo","cadáver","unrelated","word","word",0.156561352160798
"carne de porco","elétrico","unrelated","word","word",NA
"fenômeno","sol","unrelated","word","word",0.129237276131882
"finalmente","ocidental","unrelated","word","word",0.108466188309853
"subestimar","descrição","unrelated","word","word",0.120622907005978
"excelente","notícias","unrelated","word","word",0.107649600458333
"especial","manhã","unrelated","word","word",0.15824338115533
