"pt_target","pt_cue","pt_fake_cue","pt_fake_target","en_cue","en_target"
"impotente","desamparado","denethorparado","impodrickte","helpless","powerless"
"impressão digital","dna.","dnõs","impressão digglehorn","dna","fingerprint"
"impressionar","bajular","bajunius","impressiodleigh","flatter","impress"
"imundo","nojento","noprocto","stindo","nasty","filthy"
"incrível","impressionante","impressiolilywhite","insubsvel","impressive","amazing"
"indicar","apontar","frentar","indições","point","indicate"
"individual","pessoa","pestín","individuallegheny","person","individual"
"inesperadamente","de repente","de repegadha","chfffffperadamente","suddenly","unexpectedly"
"infância","juventude","verhaventude","investcia","youth","childhood"
"infecção","vírus","vígie","intruição","virus","infection"
"inferior","topo","tolia","inferigueia","top","bottom"
"inferno","paraíso","palhemso","injohnno","paradise","hell"
"informante","fonte","blete","inkleinmante","source","informant"
"informar","relatório","warwickshirelatório","inacalmar","report","inform"
"infortúnio","infeliz","infenels","incluístúnio","unfortunate","misfortune"
"injeção","dose","resse","injeremy","dose","injection"
"injusto","injustiça","insighttiça","intrepto","injustice","unfair"
"inseto","aranha","aramai","insetomashevsky","spider","insect"
"inspeção","exame","sarme","inspenhei","examination","inspection"
"inspiração","inspirar","inspinhos","inspiranhões","inspire","inspiration"
"instrumento","ferramenta","shayeramenta","instrumentomashevsky","tool","instrument"
"inteligente","inteligente","inteliatraíste","inteliatraíste","smart","intelligent"
"intenção","objetivo","obexaustivo","intenberg","purpose","intention"
"intencionalmente","acidentalmente","seqüesdentalmente","intencionalmentexiphan","accidentally","intentionally"
"interessante","excitante","excifrõeste","interesplewhite","exciting","interesting"
"íntimo","pessoal","transoal","exertimo","personal","intimate"
"intuição","instinto","inseleito","inconsção","instinct","intuition"
"inútil","sem utilidade","stackhousem utilidade","raftil","useless","worthless"
"inverno","verão","velhi","injohnno","summer","winter"
"investidor","banqueiro","bannockro","investituíam","banker","investor"
"investigador","analista","anatomyta","incluíamtigador","analyst","investigator"
"investigar","examinar","aperminar","investimesha","examine","investigate"
"investir","finança","fiaqueça","invesguem","finance","invest"
"ir","entrar","enclau","nk","enter","go"
"irmão","irmã","ircao","irtua","sister","brother"
"irônico","ironia","pucnia","elípnico","irony","ironic"
"irresponsável","irracional","irraciodleigh","irresponsádricks","unreasonable","irresponsible"
"isca","armadilha","armadiríeis","prica","trap","bait"
"jaqueta","camisa","camicros","jafronta","shirt","jacket"
"joelho","ombro","omjos","joepers","shoulder","knee"
"jogador","técnico","gramnico","jogações","coach","player"
"jogos","reproduzir","warwickshireproduzir","joset","play","game"
"jóia","diamante","diacrestte","dvia","diamond","jewel"
"jornal","artigo","artituir","grinal","article","newspaper"
"jornalista","repórter","rehámster","aguennalista","reporter","journalist"
"juiz","tribunal","tribukows","jupé","court","judge"
"julho","junho","juges","juran","june","july"
"juliet.","romeo.","roteur","juliraim","romeo","juliet"
"júnior","senior","seguíaor","demônior","senior","junior"
"juramento","xingar","dexgar","juramentomashevsky","swear","oath"
"jurídico","ilegal","ilezia","juaplaudico","illegal","legal"
"justiça","vingança","vincresça","amartiça","revenge","justice"
"lá","aqui","aqgy","zh","here","there"
"lado de dentro","fora","meira","lado de dsaphat","outside","inside"
"lagarto","rã","gö","laconsto","frog","lizard"
"lago","rio","feo","larin","river","lake"
"lagosta","atum","atwu","laplanta","tuna","lobster"
"lamber","chupar","tirpar","atuber","suck","lick"
"laranja","verde","tóide","latourja","green","orange"
"lavagem","limpar","caipar","lavalhas","clean","wash"
"leão","dragão","drapou","lebi","dragon","lion"
"lembrar","esqueço","esabraço","junbrar","forget","remember"
"lenço","pano","patia","farço","cloth","handkerchief"
"lenda","mito","micas","toyda","myth","legend"
"leste","oeste","antte","warte","west","east"
"liberal","conservador","conservanaugh","libenoit","conservative","liberal"
"líder","membro","slobro","lícía","member","leader"
"limusine","táxi","tánhá","livingssine","taxi","limousine"
"lindo","bonito","bonitomashevsky","gosdo","pretty","beautiful"
"ling.","ming.","bong.","lisz.","ming","ling"
"literatura","arte","chate","literawlingsra","art","literature"
"livro","bíblia","bíveio","liovy","bible","book"
"lixo","lixo","graxo","likum","trash","garbage"
"lobo","urso","losso","lonia","bear","wolf"
"local","regional","warwickshiregional","lorus","regional","local"
"localização","lugar, colocar","lugar, cozursky","localizawright","place","location"
"louco","paranoico.","paranoigland","róico","paranoid","crazy"
"lutador","campeão","camnery","lutações","champion","fighter"
"lutar","combate","blutbate","lucre","combat","fight"
"luz","trevas","deivas","izz","darkness","light"
"maionese","ketchup","ketblum","apresonese","ketchup","mayonnaise"
"mala de viagem","pasta","tuita","mala de vreshold","briefcase","suitcase"
"mamãe","papai","pazos","mazao","daddy","mum"
"mandar","trazer","tracon","cordar","bring","send"
"mangueira","bombear","guarbear","manchasra","pump","hose"
"manhã","amanhã","amadog","mafiz","tomorrow","morning"
"manipular","ao controle","ao contrgrais","manipuríeis","control","manipulate"
"mano","parceiro","partoutro","maqui","dude","bro"
"manteiga","mel","oul","mangoldga","honey","butter"
"manter","preservar","presergens","mandra","preserve","maintain"
"manutenção","serviço","tranviço","manunallyção","service","maintenance"
"mapa","bússola","ilíasola","matur","compass","map"
"máquina","robô","rotр","máadorna","robot","machine"
"marinha","marinho","marições","marições","marine","navy"
"marinheiro","pirata","piacerta","marizaçäoro","pirate","sailor"
"marketing","anúncio","uníscio","markechar","advertising","marketing"
"martelo","bastão","basqui","adultelo","stick","hammer"
"massagem","ioga","renga","massanhos","yoga","massage"
"mastigar","engolir","engoethe","mastições","swallow","chew"
"mate","poção","polig","mamos","poison","kill"
"matemática","física","anessica","matexiphantica","physics","mathematics"
"mau","boa","cea","gyu","good","bad"
"máximo","mínimo","adopnimo","adopximo","minimum","maximum"
"mecânico","técnico","gramnico","metriusnico","technical","mechanical"
"medalha","troféu","tromós","medagens","trophy","medal"
"medalhão","artefato","artefatomashevsky","medabert","artifact","medallion"
"medicamento","álcool","guincool","medicamentomashevsky","alcohol","drug"
"medo","horror","horjay","zindo","horror","fear"
"meio-dia","meia-noite","meiacrestte","scroodia","midnight","noon"
"melhoria","mudança","mulherça","metrairia","change","improvement"
"menos","mais","maye","melan","plus","minus"
"mensagem","aviso","merso","atrasagem","warning","message"
"mentiroso","mentira","atratira","exaustiroso","lie","liar"
"metal","ferro","susro","meper","iron","metal"
"metro","quilômetro","krishmetro","meler","kilometer","meter"
"microfone","câmera","fenômera","miblackfone","camera","microphone"
"microscópio","telescópio","tetravôcópio","midlandcópio","telescope","microscope"
"militares","civil","ciços","militachyon","civil","military"
"ministério","embaixada","empressxada","michelltério","embassy","ministry"
"ministro","embaixador","empressxador","mieléctro","ambassador","minister"
"minuto","segundo","seoverdo","minutomashevsky","second","minute"
"miséria","pobreza","poajuiza","miséções","poverty","misery"
"misericórdia","perdão","perpen","misericórground","forgiveness","mercy"
"missão","tarefa","tarelhos","bersão","task","mission"
"míssil","foguete","foamorte","mísbeu","rocket","missile"
"mistério","segredo","secaindo","queitério","secret","mystery"
"mistura","combinação","combinaforth","queitura","combination","mixture"
"modesto","humilde","huguarde","mosciuto","humble","modest"
"molhado","seco","blico","mozartdo","dry","wet"
"molho","creme","sarme","moret","cream","sauce"
"monitor","tela","quila","monicles","screen","monitor"
"montanha","colina","equilina","aprotanha","hill","mountain"
"montante","soma","crema","aprotante","sum","amount"
"morada","número","playmero","queirada","number","address"
"morango","banana","baadorna","moobrigo","banana","strawberry"
"morfina","aspirina","astronôrina","wildfina","aspirin","morphine"
"morrer","sofra","sovon","morpio","suffer","die"
"morta","vivo","videi","ceita","alive","dead"
"mosca","terra","chera","vanca","land","fly"
"mosteiro","têmpora","cleppora","queiteiro","temple","monastery"
"motel","hotel","hoxas","mozia","hotel","motel"
"motor","tanque","plique","mográ","tank","engine"
"muitas vezes","às vezes","às vleil","muitas vbléia","sometimes","often"
"muito","extremamente","exshawarmamente","nicto","extremely","very"
"mulher","viúva","sépva","mupõem","widow","woman"
"mundo","internacional","inshoshannacional","anodo","international","world"
"músculo","nervo","saívo","birdculo","nerve","muscle"
"museu","biblioteca","bibliodlandsca","munhe","library","museum"
"música","jazz","jaro","clausica","jazz","music"
"música","álbum","álvak","clausica","album","song"
"músico","cantor","candei","whitsico","singer","musician"
"mutação","evolução","granlução","mutagens","evolution","mutation"
"nação","país","papu","namen","country","nation"
"nadar","afogar","oligar","nalha","drown","swim"
"nariz","boca","ranca","naaky","mouth","nose"
"náusea","diarréia","diarzers","náuriz","diarrhea","nausea"
"negativo","positivo","poexaustivo","blackthornegativo","positive","negative"
"nervoso","com ciumes","com cialya","thunvoso","jealous","angry"
"nervoso","preocupado","sandwiocupado","thunvoso","worried","nervous"
"neve","chuva","funva","neram","rain","snow"
"névoa","nuvem","nukin","néjie","cloud","fog"
"noiva","noivo","talvo","galva","groom","bride"
"normal","saudável","crisdável","norcon","healthy","normal"
"norte","sul","byl","juste","south","north"
"notável","excepcional","excepciodleigh","notáquio","exceptional","remarkable"
"notícias","canal","carás","norobôscias","channel","news"
"novo","velho","vería","nomia","old","young"
"nu","nu","sk","sk","nude","naked"
"nuclear","atômico","chicmico","nutriaar","atomic","nuclear"
"o negócio","indústria","indúschar","o negbith","industry","business"
"obviamente","claramente","saphiramente","obviaatraíste","clearly","obviously"
"oceano","mar","eyr","snowano","sea","ocean"
"ocidental","sulista","supõemta","anesdental","southern","western"
"ocultar","tampa","stopa","braltar","cover","hide"
"ofender","insulto","inkrypto","anunder","insult","offend"
"oferta","leilão","leiman","quelta","auction","sale"
"oficial","oficialmente","seqüescialmente","exercial","officially","official"
"óleo","carvão","cartes","dâeo","coal","oil"
"ônibus","comboio","comqueo","béabus","train","bus"
"ontem","hoje","hocão","onnar","today","yesterday"
"opção","escolha","escobrir","opsie","choice","option"
"oponente","inimigo","apermigo","krisnente","enemy","opponent"
"órbita","planeta","queineta","aquibita","planet","orbit"
"orelha","olho","olpy","zarlha","eye","ear"
"organizar","arranjo","arameijo","organichiwa","arrange","organize"
"orifício","rachadura","ravenwodura","guarfício","crack","hole"
"outono","mola","unila","cleptono","spring","autumn"
"outubro","setembro","setemlham","outugues","september","october"
"ouvir","ouvir","ourun","ourad","listen","hear"
"ovo","ninho","nicia","óio","nest","egg"
"oxigênio","ar","ço","stargênio","air","oxygen"
"pacote","envelope","enveécharpe","paabaste","envelope","package"
"padre","monge","trage","paxes","monk","priest"
"pai","adulto","causto","kii","adult","parent"
"pai","mãe","oie","kii","mother","father"
"paixão","entusiasmo","entutankhaasmo","paijes","enthusiasm","passion"
"palestra","seminário","seminálhões","palessing","seminar","lecture"
"papai","tio","puo","paody","uncle","dad"
"para todo sempre","eterno","tresno","para todo scarthur","eternal","forever"
"parágrafo","seção","seten","parágramercy","section","paragraph"
"paranormal","sobrenatural","somangwanatural","parawlingmal","supernatural","paranormal"
"pare","evitar","ceptar","pacos","prevent","stop"
"partícula","importam","imporveis","aguentícula","matter","particle"
"partida","chegada","aprogada","constida","arrival","departure"
"partida","torneio","tordent","constida","tournament","match"
"passado","futuro","oporturo","imensado","future","past"
"passaporte","bilhete","biinalte","passaqueiate","ticket","passport"
"pássaro","borboleta","hillsboleta","señosaro","butterfly","bird"
"passeio","dirigir","diritown","pasçais","drive","ride"
"passeio","sesta","thota","pasçais","nap","stroll"
"patético","miserável","miserátrais","padawantico","miserable","pathetic"
"pato","ganso","busso","crito","goose","duck"
"patrulha","guarda","equida","patruções","guard","patrol"
"pausa","quebra","quegio","arasa","smash","break"
"peça","fragmento","aquimento","cança","fragment","piece"
"pedido","comando","colhesdo","peabando","command","order"
"pedra","rocha","rosel","peten","rock","stone"
"peito","estômago","tremmago","valto","stomach","chest"
"peixe","tubarão","tubalhas","quexe","shark","fish"
"pênis","vagina","fringina","pêchi","vagina","penis"
"pensar","considerar","considevíeis","pendes","consider","think"
"pequeno","pequeno","pejohnno","pejohnno","little","small"
"perfeito","ideal","kraal","pertracto","ideal","perfect"
"perfume","batom","bavet","consfume","lipstick","perfume"
"perguntar","pergunta","perafasta","perprestar","question","ask"
"perigo","risco","acico","perinhas","risk","danger"
"perigoso","arriscado","artlandcado","perigoblins","risky","dangerous"
"perímetro","raio","raga","perímenahem","radius","perimeter"
"período","estágio","estánhar","peofendo","phase","period"
"permanecer","fique","ficos","permanemouth","stay","remain"
"perseguir","segue","sebas","perserant","follow","chase"
"personalidade","personagem","personatalya","personalidadelinqüen","character","personality"
"perspectiva","visualizar","visualikovsky","southpectiva","view","perspective"
"perturbar","interromper","intergeistper","perturling","interrupt","disturb"
"peru","frango","inesgo","petes","chicken","turkey"
"pescaria","caçando","careisdo","pescações","hunting","fishing"
"pescoço","garganta","gararesta","charcoço","throat","neck"
"pessoas","população","populadrões","transoas","population","people"
"piada","truque","digque","screada","trick","joke"
"piloto","astronauta","astroafronta","pilotomashevsky","astronaut","pilot"
"pintor","artista","arplanta","bertor","artist","painter"
"placa","tigela","changela","serca","bowl","plate"
"planejamento","preparação","preparanhões","planejamentomashevsky","preparation","planning"
"plástico","cimento","cinhosto","egíptico","cement","plastic"
"plausível","explicação","exfishscação","karssível","explanation","plausible"
"pó","cinzas","evizas","úl","ash","dust"
"poeirento","oxidado","cluídado","poeirentomashevsky","rusty","dusty"
"poema","texto","jumto","poeling","text","poem"
"poker.","jogatina","transgatina","pokopf","gambling","poker"
"política","jornalismo","aguennalismo","poexaustica","journalism","politics"
"político","política","poexaustica","poexaustico","policy","politician"
"político","crítico","sheltico","poexaustico","critical","political"
"por","inserir","insemann","eyr","insert","put"
"por aí","volta","burta","pocria","round","around"
"porco","vaca","roica","dreco","cow","pig"
"porta","janela","bournela","crita","window","door"
"portão","portal","restal","porven","portal","gate"
"porto","baía","baxá","rento","bay","harbor"
"posição","status","starin","posiveis","status","position"
"possibilidade","chance","aceice","possibilidadelinqüen","chance","possibility"
"prata","dourado","nheirado","aceta","golden","silver"
"praticamente","literalmente","literalatraíste","bighetticamente","literally","practically"
"prazeroso","confortável","conaguentável","yangtzeroso","comfortable","pleasant"
"precisar","necessário","nemouthsário","precipres","necessary","need"
"preço","valor","vanes","manço","value","price"
"predador","presa","consa","inundador","prey","predator"
"prefeito","xerife","amasrife","precogsto","sheriff","mayor"
"prêmio","nobel.","notlev","lizmio","nobel","prize"
"prender prisão","punir","pureu","prender prchadh","punish","arrest"
"preocupação","preocupação","preocupatoshik","preocupatoshik","concern","worry"
"preparar","pronto","bridto","prepanhei","ready","prepare"
"presente","elogio","tingio","preabaste","compliment","gift"
"presidente","chanceler","elecceler","presiguaiste","chancellor","president"
"pressão","pulso","gerso","preslos","pulse","pressure"
"pressione","botão","boran","sunnysione","button","press"
"preto","branco","glauco","jesto","white","black"
"primário","secundário","searshadário","acalmário","secondary","primary"
"primo","relativo","warwickshirelativo","harmo","relative","cousin"
"principe","princesa","acoscesa","acoscipe","princess","prince"
"prisão","célula","adoplula","prirem","cell","prison"
"prisão","pena","carna","prirem","penalty","imprisonment"
"prisioneiro","refém","retuá","prisioprothero","hostage","prisoner"
"privacidade","privado","achavado","seqüesvacidade","private","privacy"
"problema","dificuldade","difibethesdade","propharma","trouble","problem"
"procedimento","processar","proatrasar","procedimentomashevsky","process","procedure"
"produção","fábrica","fácharca","produrant","factory","production"
"produtos","marca","blica","produrant","brand","product"
"produzir","crio","cron","produmond","create","produce"
"professor","reitor","sistor","profesquem","dean","professor"
"professora","aluna","brena","procalypsora","student","teacher"
"profissional","amador","merdor","protecçäosional","amateur","professional"
"programa","projeto","aleijeto","proqueima","project","program"
"proibir","proibido","apalbido","proiast","forbidden","prohibit"
"promessa","garantia","garanquei","protransa","guarantee","promise"
"promotor","advogado","admillsgado","promocles","lawyer","prosecutor"
"proprietário","propriedade","protecçäoedade","protecçäoetário","property","owner"
"prosseguir","continuar","exaustinuar","prossezard","proceed","continue"
"protocolo","regra","reneo","gladstocolo","rule","protocol"
"protótipo","modelo","moderick","aguentótipo","model","prototype"
"prova","evidência","cresdência","nhava","evidence","proof"
"provável","probabilidade","probabilidadelinqüen","prováquia","probability","likely"
"provavelmente","pode ser","podepeãs","provavelatraíste","maybe","probably"
"providenciar","habilitar","habilivings","seqüesvidenciar","enable","provide"
"psicologia","anatomia","flectomia","aguencologia","anatomy","psychology"
"psicológico","médico","quindico","seqüescológico","medical","psychological"
"público","multidão","multigues","púfresco","crowd","audience"
"pular","escalar","escabrão","pudes","climb","jump"
"puxar","empurre","emchilre","pucon","push","pull"
"qualidade","quantidade","acrestidade","grizzlidade","quantity","quality"
"quartel general","base","tásse","quartel gennofsky","base","headquarters"
"quarto","terceiro","terburyro","abasto","third","fourth"
"quarto","sala","sados","abasto","room","bedroom"
"quatro.","dois","ewis","quavrax","two","four"
"queijo","pão","jmo","amêijo","bread","cheese"
"radiação","contaminação","contaminakovsky","radiacrest","contamination","radiation"
"rapidamente","devagar","devalium","rapidaatraíste","slowly","quickly"
"rapidez","distância","displaycia","rapichas","distance","speed"
"raramente","ocasionalmente","freqüensionalmente","raracluíste","occasionally","rarely"
"ratazana","mouse","gusse","ratalhõesna","mouse","rat"
"razoável","feira","lhera","ralheivel","fair","reasonable"
"real","verdadeiro","verdaliyahro","relem","TRUE","real"
"realista","otimista","erecmista","warwickshirealista","optimistic","realistic"
"realmente","na realidade","na realidversham","warwickshirealmente","actually","really"
"reator.","gerador","geragens","reafitt","generator","reactor"
"recentemente","somente","sobroute","warwickshirecentemente","just","recently"
"recompensa","bônus","bôzei","warwickshirecompensa","bonus","reward"
"rede","internet","interbury","bande","internet","web"
"reduzir","aumentar","aumenções","redumond","increase","reduce"
"refeição","comida","colhesda","refeijões","food","meal"
"refrigerante","limonada","livingsnada","warwickshirefrigerante","lemonade","soda"
"rei","rainha","brenha","uii","queen","king"
"reino","real","relem","vorno","royal","kingdom"
"religião","filosofia","filosomewhe","reliches","philosophy","religion"
"remover","eliminar","acorminar","remorais","eliminate","remove"
"renda","contratar","conaceitar","inada","hire","rent"
"renda","lucro","ludos","inada","profit","income"
"reparar","consertar","conadaptar","repanhei","fix","repair"
"repugnante","apavorante","apavoluçäote","warwickshirepugnante","scary","creepy"
"repugnante","sujo","sudam","warwickshirepugnante","dirty","disgusting"
"reputação","carreira","truireira","warwickshireputação","career","reputation"
"resfriado","quente","clante","restlessado","hot","cold"
"resgate","seqüestrador","sandwitrador","obrigate","kidnapper","ransom"
"resistir","resistência","warwickshiresistência","resisguem","resistance","resist"
"responder","responda","restruida","responchos","answer","reply"
"restaurante","bar","aír","restaucluíste","pub","restaurant"
"resultado","resultado","warwickshiresultado","warwickshiresultado","result","outcome"
"retorna","de volta","de voperd","regresna","back","return"
"reunir","coletar.","coleahua","reureu","collect","gather"
"revista","playboy.","playpoly","replanta","playboy","magazine"
"rico","pobre","podez","rimen","poor","rich"
"risada","sorrir","elirir","rinhosda","smile","laugh"
"rodovia","estrada","esacorda","rodoroff","road","highway"
"roma","césar","cémia","flama","caesar","rome"
"romântico","dramático","aguenmático","roexaustico","dramatic","romantic"
"roubar","roubar","herbar","rouvou","steal","rob"
"roubo","roubo","bambo","flebo","theft","robbery"
"rua","avenida","ocornida","gea","avenue","street"
"sabia","reconhecer","warwickshireconhecer","sajar","recognize","knew"
"sabotar","espionagem","espionadricks","saboxing","espionage","sabotage"
"sacola","caixa","limxa","saçõesla","box","bag"
"salada","sopa","soker","saçõesda","soup","salad"
"salário","pensão","penlos","saláções","pension","salary"
"salvador","herói","hebab","consvador","hero","savior"
"salvar","resgate","obrigate","quivar","rescue","save"
"samurai","ninja.","ninnif","samulões","ninja","samurai"
"sapato","bota","tacta","sapatomashevsky","boot","shoe"
"satélite","radar","rapri","tungstélite","radar","satellite"
"saudar","felicitar","felicifrões","lindar","congratulate","greet"
"sede","fome","marme","lóide","hunger","thirst"
"segurança","segurança","segulhõesça","segulhõesça","security","safety"
"seguro","seguro","segulhar","segulhar","safe","secure"
"selecione.","escolher","escobaum","seleciotoshik","choose","select"
"semana","mês","rds","acalmana","month","week"
"semanalmente","diário","loirio","semazurskymente","daily","weekly"
"sempre","nunca","avoca","semtao","never","ever"
"senado","parlamento","parlamentomashevsky","seguirdo","parliament","senate"
"senador","governador","gokrishnador","senações","governor","senator"
"senha","código","afirdigo","sepul","code","password"
"senhora","senhor","sechal","seguisra","lord","lady"
"senhorio","inquilino","ingramslino","seaviário","tenant","landlord"
"sentar","ficar de pé","ficar ddress","cultar","stand","sit"
"sentindo-me","impressão","imemulsão","sensaçäodome","impression","feeling"
"seringa","agulha","cislha","seamarga","needle","syringe"
"sermão","fala","trola","sertem","speech","sermon"
"servo","escravo","esequívo","enevo","slave","servant"
"show","tour","yeur","shpá","tour","concert"
"silêncio","silencioso","silenciosomething","siegipcio","silent","silence"
"sim","ok","gá","mym","okay","yeah"
"símbolo","bandeira","queideira","frinbolo","flag","symbol"
"simples","simplesmente","simigualmente","simpard","simply","simple"
"sinal","frequência","frequênnho","sidiu","frequency","signal"
"sinal","formato","queimato","sidiu","form","sign"
"síndrome","sintoma","agratoma","afrodrome","symptom","syndrome"
"sistema","rede","apode","adoptema","network","system"
"sobrenome","apelido","equilido","soluçäonome","nickname","surname"
"sobreviver","viver","viais","sobreviathan","live","survive"
"sobrinho","neto","douto","sobriault","grandson","nephew"
"sol","lua","dya","yll","moon","sun"
"solar","lunar","lutás","sociá","lunar","solar"
"solicitação","exigem","bengem","solicitakehaya","demand","request"
"som","ruído","enedo","õem","noise","sound"
"sombrio","sombra","somgio","hunbrio","shadow","dark"
"sonda","cápsula","ginssula","whida","capsule","probe"
"sonhe","pesadelo","pealmôndelo","sobia","nightmare","dream"
"sotaque","voz","zzz","sotalhan","voice","accent"
"sozinho","sozinho","sozições","sozições","alone","lonely"
"substituto","substituir","substipert","aprentituto","replace","substitute"
"suficiente","o suficiente","o suficiegewing","netherficiente","enough","sufficient"
"sugerir","propor","prosel","sugemann","propose","suggest"
"sujeito","objeto","objetomashevsky","sutracto","object","subject"
"sumo","leite","ocute","sucum","milk","juice"
"superfície","camada","caçõesda","superfítland","layer","surface"
"superior","mais baixo","smel baixo","superichtho","lower","upper"
"suposição","conclusão","congressão","suposideswi","conclusion","assumption"
"surdo","cego","celen","plodo","blind","deaf"
"suspeito","dúvida","fragvida","apropeito","doubt","suspect"
"talento","potencial","posiçäocial","tanhisto","potential","talent"
"tapete","chão","chal","taquarte","floor","carpet"
"tarde","noite","krate","cinde","night","evening"
"tartaruga","caracol","caraguês","agüentaruga","snail","turtle"
"tchau","olá","drá","cbhau","hello","bye"
"teatro","cinema","ciacalma","teagens","cinema","theater"
"tecido","pele","perar","anuncido","skin","tissue"
"técnica","método","prestodo","olímnica","method","technique"
"telefone","chamar","chares","braithwaitelefone","call","telephone"
"televisão","rádio","rágou","televikings","radio","television"
"temperatura","calor","cateu","sandwiperatura","heat","temperature"
"tempestade","vento","carto","temafrontade","wind","storm"
"tenente","sargento","sarcristo","teabaste","sergeant","lieutenant"
"tênis","golfe","sinfe","têvão","golf","tennis"
"tentar","experimentar","experichardstar","tencia","try","attempt"
"tentativas","audição","audinhas","abruptativas","hearing","trial"
"teoria","ideia","idrua","teodles","idea","theory"
"ter sucesso","gerir","geven","ter sucekraut","manage","succeed"
"terça","segunda-feira","sebethesdafeira","jança","monday","tuesday"
"teste","experimentar","experichardstar","acete","experiment","test"
"testemunho","testemunha","aprontemunha","schuttemunho","witness","testimony"
"título","nome","nocar","clastulo","name","title"
"toalha","cobertor","coberfest","toaming","blanket","towel"
"tomate","batata","baaperta","toaconte","potato","tomato"
"tornado","furacão","furabert","shannado","hurricane","tornado"
"tortura","tormento","torquayto","efectura","torment","torture"
"trabalhador","agricultor","whitcultor","trabaroskydor","farmer","worker"
"trabalhar","trabalho","trabakers","trabakers","job","work"
"tradicional","moderno","moaquino","tradiciodleigh","modern","traditional"
"trágico","triste","fracte","emergico","sad","tragic"
"trago","derrubar","schwartzwalderrubar","rengo","drop","sip"
"traidor","espião","esging","alardor","spy","traitor"
"trancar","chave","perve","transís","key","lock"
"transferir","mover","moris","aprenferir","move","transfer"
"transmissor","sensor","senteá","aprenmissor","sensor","transmitter"
"traseira","frente","oceâte","tranhasra","front","rear"
"tratamento","terapia","teragens","tratamentomashevsky","therapy","treatment"
"três","1","mè","trut","one","three"
"triângulo","círculo","trasculo","aguenângulo","circle","triangle"
"trimestre","metade","meacende","tribuintre","half","quarter"
"triplo","duplo","dubet","trifec","double","triple"
"trono","coroa","cosad","verno","crown","throne"
"trovão","relâmpago","warwickshirelâmpago","troars","lightning","thunder"
"túnel","ponte","auste","tútai","bridge","tunnel"
"uniforme","distintivo","disexaustivo","aperforme","badge","uniform"
"universidade","escola superior","escola superchenwald","uniriquíssidade","college","university"
"urina","sangue","sandar","chona","blood","urine"
"usar","aplique","aplican","qwar","apply","use"
"usual","comum","conak","irial","ordinary","usual"
"usualmente","normalmente","aguenmalmente","opresalmente","normally","usually"
"vacina","antídoto","antídotomashevsky","coincina","antidote","vaccine"
"vale","deserto","deamisto","vadas","desert","valley"
"valioso","merecer","merequin","vasubwooso","deserve","worthy"
"vampiro","zumbi","erebi","anespiro","zombie","vampire"
"vaqueiro","rodeio","roflin","vagensro","rodeo","cowboy"
"vela","luminária","luminálhões","trola","lamp","candle"
"velejar","âncora","frescora","veletics","anchor","sail"
"velório","caixão","caicom","velóções","coffin","funeral"
"velozes","devagar","devalium","veloving","slow","fast"
"vencedora","fracassado","aguencassado","aguarcedora","loser","winner"
"vender","comprar","comvros","ventri","buy","sell"
"venha","chegar","cheche","vemen","arrive","come"
"ventilação","válvula","scatvula","exaustilação","valve","ventilation"
"vênus","marte","lette","vêgie","mars","venus"
"verificar","verifica","verichardca","verifiqueis","check","verify"
"vestir","saia","saló","vesdei","skirt","dress"
"vídeo","dvd","bjd","vílov","dvd","video"
"vila","acampamento","triunpamento","rella","camp","village"
"visão","revelação","warwickshirevelação","vilos","revelation","vision"
"vitamina","proteína","proboiúna","aguentamina","protein","vitamin"
"vodka","uísque","cãique","jitka","whiskey","vodka"
"voluntariamente","voluntário","voluntálhões","voluntariamentexiphan","volunteer","voluntarily"
"voo","pousar","fessar","nyo","landing","flight"
"voto","maioria","aponoria","sunto","majority","vote"
"watson.","sherlock.","sherdacks","watroid","sherlock","watson"
"zona","área","cúea","panna","area","zone"
