"uk_target","uk_cue","uk_fake_cue","uk_fake_target","en_cue","en_target"
"намір","призначення","пристачання","настр","purpose","intention"
"написання","читання","читатья","написакся","reading","writing"
"наречена","наречений","надичений","насмчена","groom","bride"
"народ","країна","кргіна","налад","country","nation"
"народження","ювілей","тлілей","тородження","anniversary","birthday"
"насправді","насправді","наспівати","наспівати","actually","really"
"натхнення","надихати","авдихати","навпнення","inspire","inspiration"
"наука","технологія","технутогія","наваа","technology","science"
"небезпека","ризик","ричнк","небеолека","risk","danger"
"небезпечний","ризикований","ритькований","небезпткний","risky","dangerous"
"небесний","небо","нейб","неберёий","sky","heavenly"
"невідомий","анонімний","анонвкний","невіробив","anonymous","unknown"
"негативний","позитивний","помнтивний","вигативний","positive","negative"
"неділя","субота","суціта","неапля","Saturday","Sunday"
"нездатний","нездатність","неопасность","нестатній","inability","unable"
"неприємний","незручний","незрсений","неприємств","uncomfortable","unpleasant"
"нервовий","стурбований","стоїбований","неітовий","worried","nervous"
"несподівано","раптом","раёром","несподамано","suddenly","unexpectedly"
"несправедливість","несправедливість","неприветствовать","неприветствовать","injustice","unfair"
"нещастя","бідність","біднойть","нещавія","poverty","misery"
"нещастя","нещасний","неросний","нещавія","unfortunate","misfortune"
"нещодавно","просто","просує","неукдавно","just","recently"
"ніжний","м'який","фмякий","фржний","soft","gentle"
"нікчемний","марний","максий","ніоземний","useless","worthless"
"новини","канал","кадом","новиро","channel","news"
"нож","меч","лмч","ояж","sword","knife"
"нормальний","здоровий","здртовий","нормалский","healthy","normal"
"нос","рот","мут","анс","mouth","nose"
"нудота","діарея","діарог","нуткта","diarrhea","nausea"
"обвинувачення","скарга","скаріф","обвинуінчення","complaint","accusation"
"обговорення","розмова","роздому","объеворення","conversation","discussion"
"обід","закуска","закунта","обвы","snack","lunch"
"обіймати","поцілунок","поцісонок","обідания","kiss","hug"
"обіцянка","гарантія","гарантис","объеянка","guarantee","promise"
"обладнувати","обладнання","облаккання","облалоувати","equipment","equip"
"обов'язок","відповідальність","відповідвертість","обоврюзок","responsibility","duty"
"ображати","образливість","образлвність","обпожати","insult","offend"
"обслуговування","служба","слніба","обіцуговування","service","maintenance"
"огидний","брудний","брланий","огидайй","dirty","disgusting"
"одружений","одиночний","одинтиний","даружений","single","married"
"озеро","річка","кечка","преро","river","lake"
"океан","море","молв","окeaн","sea","ocean"
"оновити","свіжий","сврший","онсоити","fresh","refresh"
"опис","профіль","профарь","опіт","profile","description"
"опівдні","опівночі","опцяночі","опівіяі","midnight","noon"
"опір","опір","опes","опнi","resistance","resist"
"опонент","ворог","воонг","опімент","enemy","opponent"
"орбіта","планета","планлла","орчита","planet","orbit"
"організувати","організувати","органідевати","оргавезувати","arrange","organize"
"орендодавець","орендар","оренкур","оренандавець","tenant","landlord"
"орендувати","наймання","нагнанні","ордадувати","hire","rent"
"освіта","здоров'я","здоровжб","осльта","health","education"
"осінь","весна","веньа","ркінь","spring","autumn"
"особистість","характер","здрактер","осялистість","character","personality"
"остання","спочатку","спєбатку","остатья","first","last"
"остаточний","остаточний","осдоточний","останічний","final","ultimate"
"отворити","тріщина","трйвина","отвотати","crack","hole"
"офіс","стіл","сткх","офув","desk","office"
"офіціантка","офіціант","адіціант","офіціантех","waiter","waitress"
"офіційний","офіційно","фліційно","шуіційний","officially","official"
"оцінка","спостереження","споставляется","оцініц","observation","evaluation"
"оцінювати","захоплюватися","захонцюватися","оцнцювати","admire","appreciate"
"очевидно","чітко","нятко","сревидно","clearly","obviously"
"очікувати","чекати","челити","срікувати","wait","expect"
"п'яний","тверезий","фоерезий","ьёяний","sober","drunk"
"павутина","інтернет","інтерной","совутина","internet","web"
"пакет","конверт","коиберт","пасит","envelope","package"
"паливо","газ","оуз","диливо","gas","fuel"
"палуба","кабіна","кащена","палужи","cabin","deck"
"папа","дядько","ведько","пахи","uncle","dad"
"параграф","розділ","розпри","парастан","section","paragraph"
"параметр","вибір","вицар","параїнтр","choice","option"
"паранормальний","надприродливий","дисприродливий","паратьрмальний","supernatural","paranormal"
"паркан","стіна","стяла","паклан","wall","fence"
"пароль","кодекс","кококс","паробу","code","password"
"партія","прийом","прутом","партой","reception","party"
"парфуми","помада","поддда","парфьни","lipstick","perfume"
"паспорт","квиток","квитит","паспіст","ticket","passport"
"патруль","охоронець","охороноль","патрадь","guard","patrol"
"пацюк","миша","милт","патік","mouse","rat"
"пекло","рай","лый","пердо","paradise","hell"
"пеніс","піхва","піежа","емніс","vagina","penis"
"первинний","вторинний","втортоний","пеоринний","secondary","primary"
"перебільшувати","недооцінювати","недоклінювати","переголошувати","underestimate","exaggerate"
"передавач","датчик","даитик","перебачав","sensor","transmitter"
"передача","рухатися","руботися","передомі","move","transfer"
"переможець","невдаха","небоаха","переношень","loser","winner"
"перерва","розбити","розника","перемов","smash","break"
"переслідувати","слідувати","слязувати","перешкодувати","follow","chase"
"периметр","радіус","раділк","перитнтр","radius","perimeter"
"період","фаза","фаже","періря","phase","period"
"перспективний","погляд","подані","здіспективний","view","perspective"
"печінка","нирка","нимса","перьнка","kidney","liver"
"пиво","пити","літи","питт","drink","beer"
"пил","зола","ігла","ейл","ash","dust"
"пильний","іржавий","нджавий","шальний","rusty","dusty"
"писати","прочитати","прочспати","пироти","read","write"
"письменник","поет","порц","письмексик","poet","writer"
"північний","південний","півмінних","півмовний","south","north"
"підготувати","готовий","готогой","підказувати","ready","prepare"
"підключення","контакт","контйпт","підлученням","contact","connection"
"підліток","підліток","підданок","підїздок","teenage","teenager"
"підозрювати","сумніватися","сумнюдатися","підозірвуть","doubt","suspect"
"підпис","печатка","печаріа","підвёл","stamp","signature"
"підприємець","мільйонер","мільтенер","підприємних","millionaire","entrepreneur"
"підрозділ","підрозділ","підрозвага","підрозпрос","unit","division"
"підтверджувати","відмовляти","відмістити","підкредитувати","check","verify"
"підтверджувати","підтвердження","підпорядження","підкредитувати","confirmation","confirm"
"підтримувати","заповідник","заповідйди","піддрукувати","preserve","maintain"
"пілот","космонавт","космонзёт","ислот","astronaut","pilot"
"пісня","альбом","алсьом","піиея","album","song"
"пісок","бруд","бррг","пільк","mud","sand"
"пістолет","гвинтівка","оринтівка","піхоолет","rifle","gun"
"піч","духовка","дупивка","роч","oven","stove"
"плавати","занурений","занувоний","одавати","drown","swim"
"планування","підготовка","підголовий","пландрання","preparation","planning"
"пластик","цемент","цемесу","пласшок","cement","plastic"
"племінник","онук","онлa","племюзник","grandson","nephew"
"пляшка","склянка","скуднка","плдука","glass","bottle"
"повертатися","замикання","замиміння","повеахатися","back","return"
"поверхня","шар","ьор","провідня","layer","surface"
"повідомлення","увага","увума","повітворення","warning","message"
"повідомляти","доповідь","дополодь","повідіслати","report","inform"
"повний","порожній","поротрій","почуий","empty","full"
"повний","загальний","загарнний","почуий","total","complete"
"повністю","абсолютно","счсолютно","тивністю","absolutely","completely"
"поворот","поворот","повоеят","повозит","turn","rotate"
"поганий","добрий","добрач","покуний","good","bad"
"пограбування","крадіжка","крадьбка","подтабування","theft","robbery"
"подія","явище","узище","помая","phenomenon","event"
"подяка","гостинність","гостданість","пордка","hospitality","gratitude"
"поема","текст","тетот","даема","text","poem"
"пожертвування","благодійність","благодныність","пожертневання","charity","donation"
"позбавлення волі","пенальті","петольті","посправедливості","penalty","imprisonment"
"позиція","статус","статко","погація","status","position"
"покер","гральний","гребьний","сткер","gambling","poker"
"покладати","вставляти","встанаяти","поклучати","insert","put"
"покоївка","няня","азня","поконюка","nanny","maid"
"покупець","продавець","прплавець","посипець","seller","buyer"
"поле бою","арена","геена","полецфою","arena","battlefield"
"поліпшення","зміна","змлла","полівоення","change","improvement"
"політ","посадка","побідка","позут","landing","flight"
"політик","політика","полінька","попатик","policy","politician"
"політика","журналістика","жухвалістика","поантика","journalism","politics"
"політичний","критичний","критенний","пожатичний","critical","political"
"полковник","загальний","загарнний","поєдовник","general","colonel"
"полум'я","пожежа","потажа","полутця","fire","flame"
"полуниця","банан","баґен","поизниця","banana","strawberry"
"помаранчевий","зелений","іслений","помаранчяний","green","orange"
"померти","страждати","стракеати","поменни","suffer","die"
"помилка","помилка","помириа","помириа","error","mistake"
"помилковий","підробка","підгроза","помириовий","fake","FALSE"
"помідор","картопля","картітля","поездор","potato","tomato"
"помічник","секретар","секривар","поначник","secretary","assistant"
"поразка","перемога","перекопе","поратяа","victory","defeat"
"порядок","командування","комаятування","побідок","command","order"
"постійно","завжди","зарыди","постання","always","constantly"
"потворний","жалюгідний","пелюгідний","потвортай","digusting","ugly"
"потреба","необхідний","необисдний","потрожа","necessary","need"
"потрійний","подвійний","подалений","почнійний","double","triple"
"поховати","копати","копадк","потувати","dig","bury"
"похоронний","труна","шлуна","похороский","coffin","funeral"
"почути","слухати","слрчати","подети","listen","hear"
"правдоподібний","пояснення","поясувння","прававподібний","explanation","plausible"
"правильний","неправильний","нецьавильний","правилский","wrong","correct"
"практично","буквально","хоквально","прбитично","literally","practically"
"предмет","об'єкт","обозкт","прпхмет","object","subject"
"президент","канцлер","кауглер","прогидент","chancellor","president"
"прес","кнопок","кнелок","прол","button","press"
"престол","корона","корори","пресайл","crown","throne"
"привітати","привітати","привбpати","привощати","congratulate","greet"
"приємний","зручний","кіучний","приєіший","comfortable","pleasant"
"приз","нова","ноое","прбт","nobel","prize"
"приймати","відмовляти","відмістити","придания","refuse","accept"
"приклад","попряма","попріда","приквид","ass","butt"
"прилад","чіп","скп","приліє","chip","device"
"приманка","пастка","тестка","пріванка","trap","bait"
"припущення","висновок","висновці","припьнення","conclusion","assumption"
"пристрасть","ентузіазм","ентузіхам","пристршать","enthusiasm","passion"
"притулок","притулок","притркок","притенок","refuge","shelter"
"приходити","прибути","прибави","прородити","arrive","come"
"причина","причина","профина","профина","reason","cause"
"прізвище","псевдонім","псевбінім","неузвище","nickname","surname"
"про","з","kc","цио","out","about"
"проблема","неприємність","непритомніла","протнемо","trouble","problem"
"провал","успіх","усхдх","провей","success","failure"
"програма","проект","проедж","простана","project","program"
"прогулянка","дрімати","друшати","прогулміка","nap","stroll"
"прогулянка","запустити","завостити","прогулміка","run","walk"
"продавати","купувати","куневати","прплавати","buy","sell"
"продаж","аукціон","roкціон","продin","auction","sale"
"продовжувати","дотепність","докопність","продовимвати","proceed","continue"
"продукт","марка","маста","продкбт","brand","product"
"продуктивність","показати","показаде","продуктивнойть","show","performance"
"прокурор","юрист","ейист","прокабор","lawyer","prosecutor"
"проповідь","виступ","виграф","проповорь","speech","sermon"
"пропонувати","пропонувати","пропончиати","пропнтувати","propose","suggest"
"простий","просто","просує","просней","simply","simple"
"протокол","правила","правтоа","протокея","rule","protocol"
"прототип","модель","могиль","прототег","model","prototype"
"професійний","аматорський","аматормікий","профстійний","amateur","professional"
"професор","декан","дефон","профятор","dean","professor"
"прохолодний","теплий","тебpий","прохоронних","warm","cool"
"процедура","процес","пркрес","процедода","process","procedure"
"психологічний","медичний","медивуий","психологроний","medical","psychological"
"психологія","анатомія","анатомди","псхнологія","anatomy","psychology"
"птах","метелик","уєтелик","уиах","butterfly","bird"
"радість","задоволення","зайнволення","радіозь","pleasure","joy"
"район","округ","оклег","радян","county","district"
"рак","пухлина","пухляда","зок","tumor","cancer"
"ракетний","ракета","раждта","ракенсий","rocket","missile"
"раковина","туалет","иналет","нсковина","toilet","sink"
"рано","пізно","піито","отно","late","early"
"ранок","завтра","затьра","отнок","tomorrow","morning"
"раноподібний","білка","релка","ратьподібний","squirrel","raccoon"
"реактор","генератор","арнератор","редатор","generator","reactor"
"реалістичний","оптимістичний","оптищестичний","реалектичний","optimistic","realistic"
"реальний","справжній","спраконій","ренньний","TRUE","real"
"результат","результат","реклльтат","резульябт","result","outcome"
"релігія","філософія","вилософія","реергія","philosophy","religion"
"ремонт","виправляти","виправнати","ремога","fix","repair"
"репутація","кар'єра","каныєра","речнтація","career","reputation"
"ресторан","паб","дйб","реліоран","pub","restaurant"
"речення","слово","слуго","ресуння","word","sentence"
"риба","акула","акита","изба","shark","fish"
"риболовля","полювання","потовання","риболоайя","hunting","fishing"
"рим","кесар","кечур","вым","caesar","rome"
"рівномірний","значок","значем","рівнквірний","badge","uniform"
"рідина","рідина","гoдина","гoдина","liquid","fluid"
"рідко","зрідка","зранка","рінто","occasionally","rarely"
"робити","робити","тебити","тебити","make","do"
"робітник","фермер","фенцер","родотник","farmer","worker"
"робота","робота","ростта","ростта","job","work"
"розвал","падіння","ердіння","розняв","fall","collapse"
"розвиток","прогрес","проднем","роззвимо","progress","development"
"розклад","календар","кантндар","роззван","calendar","schedule"
"розмовляти","розмова","роздому","розтворити","talk","speak"
"розповідати","сказати","сказыви","роздавивати","say","tell"
"розраховувати","рахувати","ратавати","розвойовувати","count","calculate"
"розрізати","розрив","розлік","роззвести","tear","cut"
"розслідувати","вивчати","випроти","розшкодувати","examine","investigate"
"розташування","місце","мівже","розвідування","place","location"
"розумний","розумний","ровчений","розвонит","smart","intelligent"
"розумний","ярмарок","яропрок","розвонит","fair","reasonable"
"розчарування","сюрприз","сюрпецi","роздозування","surprise","disappointment"
"романтичний","драматичний","друзатичний","романтенний","dramatic","romantic"
"руйнування","створення","стобрення","лайнування","creation","destruction"
"ручка","ручний","исчний","рухоа","hand","arm"
"ручка","папір","пайтр","рухоа","paper","pen"
"рушник","ковдра","коезра","руетик","blanket","towel"
"рятівник","герой","аррой","рялавник","hero","savior"
"саботаж","шпигунство","шпигунiвво","садятаж","espionage","sabotage"
"салат","суп","тап","сагут","soup","salad"
"самотній","єдиний","єдвгий","самогиій","alone","lonely"
"самурай","ніндзя","ніндос","садорай","ninja","samurai"
"сантиметр","миля","миме","сантимзар","mile","centimeter"
"свиня","корова","короые","свгая","cow","pig"
"свисток","ріг","онг","тристок","horn","whistle"
"свідчення","свідок","свідал","свлючення","witness","testimony"
"світ","міжнародний","спінародний","свис","international","world"
"світанок","захід сонця","захіпісонця","світанут","sunset","dawn"
"свічка","лампа","латеа","свелка","lamp","candle"
"свято","різдвяний","різдeбний","свгло","christmas","holiday"
"священик","монах","моших","свящящик","monk","priest"
"село","табір","тагер","усло","camp","village"
"сенат","парламент","пагоамент","севит","parliament","senate"
"сенатор","губернатор","губерницор","семотор","governor","senator"
"сеча","кров","паов","туча","blood","urine"
"сигара","дим","цем","сидіра","smoke","cigar"
"сигарета","тютюн","тюврн","сигарезо","tobacco","cigarette"
"сигнал","частота","злстота","сизвал","frequency","signal"
"сигналізація","сповіщення","сповосення","сигналграція","alert","alarm"
"сидіти","стояти","стбути","сигати","stand","sit"
"сила","сила","сить","опла","strength","force"
"сильно","міцно","міпро","сильку","firmly","strongly"
"сильно","важкий","ваєвий","сильку","heavy","heavily"
"символ","прапор","пругор","симвпу","flag","symbol"
"син","дочка","дохна","лён","daughter","son"
"синдром","симптом","симпьюм","нокдром","symptom","syndrome"
"синій","коричневий","ковічневий","пеній","brown","blue"
"синяк","дряпати","дрбкати","есняк","scratch","bruise"
"сир","хліб","хляж","ьор","bread","cheese"
"система","мережа","мереяю","систада","network","system"
"сік","молочний","моловуий","шук","milk","juice"
"сім'я","клан","ркан","сікея","clan","family"
"скандал","плітки","снітки","сковдал","gossip","scandal"
"скорочувати","збільшити","збілтрити","скоружувати","increase","reduce"
"скромний","скромний","скаямний","скроблий","humble","modest"
"слабкий","сильний","звльний","слабовй","strong","weak"
"слава","славний","славлюй","слжна","glorious","glory"
"слуга","раб","ьдб","слмна","slave","servant"
"смачний","смачний","смгений","смгений","tasty","delicious"
"сміття","кошик","ковчк","смиртя","trash","garbage"
"сміятися","усмішка","устяшка","смветися","smile","laugh"
"снайпер","шутер","нітер","храйпер","shooter","sniper"
"сніг","дощ","ьцщ","снрх","rain","snow"
"сніданок","обід","обём","сніденну","dinner","breakfast"
"сода","лимонад","дімонад","сомб","lemonade","soda"
"сонце","місяць","міраць","союче","moon","sun"
"сонячний","місячний","мінечний","солдчний","lunar","solar"
"соус","крем","круж","сожр","cream","sauce"
"спагетті","лазанья","лазаждя","спаглаті","lasagna","spaghetti"
"спальня","кімната","учмната","спалайя","room","bedroom"
"спантеличеність","хаос","хаєш","ужантеличеність","chaos","confusion"
"спасибі","вдячний","вдшиний","спасйті","grateful","thank"
"спати","спокійний","спокманий","итати","rest","sleep"
"спеціаліст","експерт","експиши","спеціаліза","expert","specialist"
"співчуття","терпіння","теісіння","співкрити","patience","compassion"
"спілкування","навігація","навіавція","спаркування","navigation","communication"
"спільнота","суспільство","сустільного","спільниса","society","community"
"спокійний","спокійно","спокочно","спокманий","quiet","calm"
"спорт","хобі","хоун","сплит","hobby","sport"
"справедливість","помститися","порутитися","справедлчність","revenge","justice"
"спрага","голод","гоойд","спрахy","hunger","thirst"
"спроба","спробувати","спрольвати","спровы","try","attempt"
"срібло","золотий","зологій","сропло","golden","silver"
"ставлення","думка","дусна","стюблення","opinion","attitude"
"сталь","бетон","яштон","стноь","concrete","steel"
"станція","платформа","платфозка","станкая","platform","station"
"статися","виникнути","винишпути","струися","occur","happen"
"статуя","пам'ятник","панзятник","статєї","monument","statue"
"створіння","монстр","монсal","стводання","monster","creature"
"стиль","ритм","риьс","стечь","rhythm","style"
"сто","тисяча","тисяиш","тко","thousand","hundred"
"стоп","заважати","заваноти","ствo","prevent","stop"
"страйк","ударити","кварити","страцi","hit","strike"
"стратегія","планувати","планецати","стратервя","plan","strategy"
"страх","жах","рых","стших","horror","fear"
"стрибок","підйом","піддеш","ворибок","climb","jump"
"структура","піраміда","пірамімо","структейа","pyramid","structure"
"судити","судовий","судомой","редити","court","judge"
"судно","екіпаж","екулаж","сумео","crew","ship"
"судовий процес","слух","сляд","судовийпробуем","hearing","trial"
"сукня","спідниця","спишниця","суфпя","skirt","dress"
"сума","сума","сужд","сужд","sum","amount"
"суміш","поєднання","поєддайте","таміш","combination","mixture"
"суперечка","конфлікт","конфліск","супережеа","conflict","dispute"
"супроводжувати","ескорт","алкорт","супровождается","escort","accompany"
"супутник","радар","рахер","сувотник","radar","satellite"
"східний","західний","завядний","схерний","west","east"
"сховатися","покривати","секривати","рговатися","cover","hide"
"таблетка","таблетка","табліока","таблочка","tablet","pill"
"таємниця","секретний","секрцений","таавниця","secret","mystery"
"таймер","детонатор","астонатор","таерер","detonator","timer"
"так","гаразд","гаратч","няк","okay","yeah"
"талант","потенціал","потерсіал","таласу","potential","talent"
"там","тут","янт","рем","here","there"
"танцювати","танцівниця","таорівниця","таінювати","dancer","dance"
"тарілка","чаша","киша","ндрілка","bowl","plate"
"тварина","звір","звes","твсвина","beast","animal"
"творчість","уява","езва","творвусть","imagination","creativity"
"театр","кінотеатр","кірстеатр","здатр","cinema","theater"
"телебачення","радіо","рарго","теленичення","radio","television"
"телефон","зателефонувати","зателеикнувати","телерін","call","telephone"
"темний","тінь","тіво","теіший","shadow","dark"
"температура","тепло","теяго","термература","heat","temperature"
"теніс","гольф","іальф","йоніс","golf","tennis"
"теорія","ідея","ідпу","теорди","idea","theory"
"тестування","експеримент","експерервна","тестадання","experiment","test"
"техніка","метод","мерёд","технама","method","technique"
"тиждень","місяць","міраць","тисцень","month","week"
"тиск","пульс","пунес","типе","pulse","pressure"
"тканина","шкіра","шкєва","elанина","skin","tissue"
"товстий","тонкий","ранкий","тонетий","thin","thick"
"торговець","комерційний","кометкійний","торговщиь","commercial","merchant"
"торнадо","ураган","ураглі","товеадо","hurricane","tornado"
"торт","десерт","дейкрт","товы","dessert","cake"
"травма","рана","рате","травны","wound","injury"
"трагічний","сумний","суіший","трагланий","sad","tragic"
"традиційний","сучасний","сучаснов","трулиційний","modern","traditional"
"трикутник","кола","обла","трчнутник","circle","triangle"
"труп","тіло","згло","трnt","body","corpse"
"трьох","один","лоин","трунх","one","three"
"туман","хмара","whара","туєтн","cloud","fog"
"тунель","міст","міве","туємль","bridge","tunnel"
"турбота","занепокоєння","занепокоійня","турбана","concern","worry"
"турбувати","переривати","перегадати","тустувати","interrupt","disturb"
"тягнути","штовхати","штовійти","тягншки","push","pull"
"убити","отрута","отвiта","рдити","poison","kill"
"ув'язнений","заручниця","загичниця","увбiзнений","hostage","prisoner"
"угоду","договір","догодар","угачу","contract","agreement"
"узбережжі","пляжний","плірний","узберепті","beach","coast"
"університет","коледж","колеур","універкатет","college","university"
"унікальний","особливий","особповий","унршальний","special","unique"
"уряд","адміністрація","адміністенція","урнщ","administration","government"
"урятувати","порятунок","потатунок","уримувати","rescue","save"
"успадковувати","спадщина","спадеена","непадковувати","heritage","inherit"
"утримувати","утримувати","утьсмувати","утьсмувати","hold","keep"
"факс","пошта","поєда","інкс","mail","fax"
"фантазія","реальність","реальненть","фантазди","reality","fantasy"
"фантастичний","чудовий","чудодай","фабрастичний","wonderful","fantastic"
"фатальний","смертельний","чеертельний","файтльний","deadly","fatal"
"федерація","колонія","коатнія","федеенція","colony","federation"
"фестиваль","карнавал","каогавал","дістиваль","carnival","festival"
"фізичний","сексуальний","сексмільний","фізитиий","sexual","physical"
"фільм","порно","поупо","вельм","porn","movie"
"фінансовий","банківський","баанівський","винансовий","banking","financial"
"фінансування","бюджет","бюзует","фінаудування","budget","funding"
"фінансування","фінансово","винансово","фінаудування","financially","financing"
"флот","морський","мокрький","адот","naval","fleet"
"флот","морський","мокрький","адот","marine","navy"
"фотограф","автограф","однограф","фоторвав","autograph","photographer"
"фотографія","картина","картвоа","фотознания","picture","photo"
"фраза","словник","слугник","фреба","dictionary","phrase"
"французький","англійська мова","англійськашвова","францусский","english","french"
"фрукти","яблучний","мллучний","фрукат","apple","fruit"
"функціональний","оперативний","оператобний","футиціональний","operational","functional"
"футбол","баскетбол","баллетбол","сдтбол","basketball","football"
"хвилина","другий","дролий","хвєдина","second","minute"
"хворий","хворий","хворех","хвакий","ill","sick"
"хижак","здобич","здобои","хивек","prey","predator"
"хірургія","працювати","превювати","хірунзія","operate","surgery"
"хлопчик","дівчина","ливчина","хлопадк","girl","boy"
"холодний","гарячий","гапечий","булодний","hot","cold"
"хоробрий","благородний","благорівний","хорозкий","noble","brave"
"християнин","католицький","католиччкий","христиноин","catholic","christian"
"хустка","тканина","тканыйа","хутрка","cloth","handkerchief"
"цвинтар","могила","моолла","млинтар","grave","cemetery"
"церебральний","мозок","мотак","цереплальний","brain","cerebral"
"церемонія","ритуальний","рииральний","жаремонія","ritual","ceremony"
"цибуля","часник","кисник","цибурх","garlic","onion"
"цивілізація","культура","кульшора","циублізація","culture","civilization"
"цинічний","наївний","наліний","нанічний","naive","cynical"
"цирк","зоопарк","зоопмик","циоу","zoo","circus"
"цікавий","захоплюючий","захоплдячий","квкавий","exciting","interesting"
"ціна","вартість","вартизть","онна","value","price"
"чарівний","привабливий","привічливий","чативний","attractive","charming"
"чарівник","магія","маоля","чативник","magic","wizard"
"частка","матерія","матеття","кистка","matter","particle"
"часто","іноді","інмні","злсто","sometimes","often"
"чемпіонат","конкуренція","конкуррація","чемпіоіст","competition","championship"
"черевний","хребетний","стебетний","черениий","spinal","abdominal"
"череп","кістка","учстка","чеьнп","bone","skull"
"черепаха","равлик","раітик","череайха","snail","turtle"
"чесний","пристойний","придвійний","чеснов","decent","honest"
"чесність","лояльність","фіяльність","чеснееть","loyalty","honesty"
"честь","привілей","привмрей","смсть","privilege","honor"
"четвертий","третій","трвсій","четверенй","third","fourth"
"човен","підводний човен","підответственно","чоррн","submarine","boat"
"чорний","білий","еслий","бирний","white","black"
"чотири","два","ёра","чобари","two","four"
"чудовий","винятковий","вичітковий","чудогой","exceptional","remarkable"
"чудовий","приємний","приєіший","чудогой","nice","lovely"
"чужий","уф","iї","чумбй","ufo","alien"
"чутливий","делікатний","еллікатний","чутливно","delicate","sensitive"
"шампанське","виноробство","винорозмтво","шарианське","wine","champagne"
"шантаж","хабар","рыбар","шантмн","bribe","blackmail"
"шафа","кабінет","каткнет","алфа","cabinet","closet"
"шахрайство","змагання","жеагання","шаечайство","conspiracy","fraud"
"швидкий","повільний","погольний","швонкий","slow","fast"
"швидкість","відстань","відглянь","узидкість","distance","speed"
"швидко","повільно","повільку","швечко","slowly","quickly"
"шеф-кухар","готувати","гоховати","шефкулир","cook","chef"
"шийка","горло","гояно","рэйка","throat","neck"
"широкий","вузький","вуаткий","широтай","narrow","wide"
"школу","клас","кляю","шкугу","class","school"
"шланг","насос","найтс","зданг","pump","hose"
"шлюб","розлучення","рознесення","шлdi","divorce","marriage"
"шматок","фрагмент","фрнумент","шмочок","fragment","piece"
"шоколад","цукор","ушкор","шооблад","sugar","chocolate"
"шосе","дорога","дорози","шопл","road","highway"
"шприц","голка","силка","орриц","needle","syringe"
"шрам","татуювання","татускання","cлам","tattoo","scar"
"штаб-квартира","база","бами","штаббиартира","base","headquarters"
"штурм","вітер","віртр","шткум","wind","storm"
"штучний","природний","прирівний","штюзний","natural","artificial"
"щасливий","задоволений","захвволений","suсливий","satisfied","happy"
"ще","вже","кне","ює","already","still"
"щедрий","співчувати","співсунути","щедраж","compassionate","generous"
"що","що","яб","яб","what","that"
"щока","губа","гуще","щове","lip","cheek"
"щось","ніщо","ніss","щове","nothing","something"
"щотижня","щодня","щороя","ідтижня","daily","weekly"
"ядерний","атомний","ідомний","пiерний","atomic","nuclear"
"яйце","гніздо","гнаддо","акце","nest","egg"
"якість","кількість","кірокість","якубть","quantity","quality"
"яскравий","блиск","блчак","яскримий","shine","bright"
"ящірка","жаба","жамн","ящмека","frog","lizard"
