"uk_cue","uk_target","type","cue_type","target_type","uk_cosine"
"падіння","вентиляція","unrelated","word","word",NA
"ніколи","скандал","unrelated","word","word",NA
"плече","чутливий","unrelated","word","word",NA
"ліга","детермінація","unrelated","word","word",NA
"павук","звільнення","unrelated","word","word",NA
"драма","хижак","unrelated","word","word",NA
"інспектор","риболовля","unrelated","word","word",NA
"комісія","короля","unrelated","word","word",NA
"програмне забезпечення","паркан","unrelated","word","word",NA
"расист","бостон","unrelated","word","word",NA
"закон","спальня","unrelated","word","word",NA
"консультація","брат","unrelated","word","word",NA
"приватний","обіймати","unrelated","word","word",NA
"зосереджувати","прізвище","unrelated","word","word",NA
"турист","аудиторія","unrelated","word","word",NA
"ром","гамбургер","unrelated","word","word",NA
"оригінальний","нездатний","unrelated","word","word",NA
"королівський","вибори","unrelated","word","word",NA
"королева","інфекція","unrelated","word","word",NA
"компанія","місія","unrelated","word","word",NA
"господиня","вертоліт","unrelated","word","word",NA
"алмаз","помаранчевий","unrelated","word","word",NA
"пов'язувати","статуя","unrelated","word","word",NA
"чарівність","віра","unrelated","word","word",NA
"кредит","довго","unrelated","word","word",NA
"становище","поразка","unrelated","word","word",NA
"злодій","вчора","unrelated","word","word",NA
"окуляри","ватсон","unrelated","word","word",NA
"лисиця","діяльність","unrelated","word","word",NA
"відносний","цибуля","unrelated","word","word",NA
"калібр","нікчемний","unrelated","word","word",NA
"сорочка","безпечний","unrelated","word","word",NA
"дракон","чорний","unrelated","word","word",NA
"міф","люди","unrelated","word","word",NA
"неможливий","утримувати","unrelated","word","word",NA
"темрява","звук","unrelated","word","word",NA
"лорд","липень","unrelated","word","word",NA
"сержант","копіювати","unrelated","word","word",NA
"семінар","досягати успіху","unrelated","word","word",NA
"смоктати","чемпіонат","unrelated","word","word",NA
"червень","шосе","unrelated","word","word",NA
"кашель","сміття","unrelated","word","word",NA
"консервативний","індивідуальний","unrelated","word","word",NA
"правий","полуниця","unrelated","word","word",NA
"член","леді","unrelated","word","word",NA
"диван","молодший","unrelated","word","word",NA
"алкоголь","розумний","unrelated","word","word",NA
"терапія","очікувати","unrelated","word","word",NA
"таксі","хворий","unrelated","word","word",NA
"мін","матч","unrelated","word","word",NA
"джунглі","наука","unrelated","word","word",NA
"земля","ядерний","unrelated","word","word",NA
"мистецтво","спільнота","unrelated","word","word",NA
"тунець","мішок","unrelated","word","word",NA
"ненависть","воїн","unrelated","word","word",NA
"населення","труп","unrelated","word","word",NA
"людина","величезний","unrelated","word","word",NA
"гнів","любов","unrelated","word","word",NA
"налякати","покер","unrelated","word","word",NA
"нервовий","освіта","unrelated","word","word",NA
"свинина","затвердження","unrelated","word","word",NA
"може бути","від'їзд","unrelated","word","word",NA
"магазин","небезпечний","unrelated","word","word",NA
"кетчуп","ліворуч","unrelated","word","word",NA
"мінімальний","периметр","unrelated","word","word",NA
"мало","череп","unrelated","word","word",NA
"фарбувати","ймовірно","unrelated","word","word",NA
"тато","штаб-квартира","unrelated","word","word",NA
"контроль","мертвий","unrelated","word","word",NA
"реклама","медаль","unrelated","word","word",NA
"йога","самурай","unrelated","word","word",NA
"вугілля","остання","unrelated","word","word",NA
"мед","конфіденційність","unrelated","word","word",NA
"фізика","епізод","unrelated","word","word",NA
"піратський","вовка","unrelated","word","word",NA
"турнір","офіційний","unrelated","word","word",NA
"робот","фрукти","unrelated","word","word",NA
"транспортний засіб","ззаду","unrelated","word","word",NA
"трофей","кримінальний","unrelated","word","word",NA
"артефакт","максимальний","unrelated","word","word",NA
"шериф","сік","unrelated","word","word",NA
"живий","свиня","unrelated","word","word",NA
"залізо","зарозумілість","unrelated","word","word",NA
"кілометр","вибирати","unrelated","word","word",NA
"технічний","традиційний","unrelated","word","word",NA
"солодкий","шприц","unrelated","word","word",NA
"прощення","виграти","unrelated","word","word",NA
"майбутнє","гра","unrelated","word","word",NA
"чистий","намисто","unrelated","word","word",NA
"телескоп","бавовна","unrelated","word","word",NA
"камеру","висота","unrelated","word","word",NA
"мільйон","розповідати","unrelated","word","word",NA
"посольство","орбіта","unrelated","word","word",NA
"посла","патруль","unrelated","word","word",NA
"плюс","лін","unrelated","word","word",NA
"завдання","таймер","unrelated","word","word",NA
"капітал","спасибі","unrelated","word","word",NA
"регіональний","вільний","unrelated","word","word",NA
"коробка","причина","unrelated","word","word",NA
"мовчазний","майонез","unrelated","word","word",NA
"шанс","підготувати","unrelated","word","word",NA
"сухий","притулок","unrelated","word","word",NA
"старий","інформатор","unrelated","word","word",NA
"старший","ручка","unrelated","word","word",NA
"палиця","університет","unrelated","word","word",NA
"сиріт","частка","unrelated","word","word",NA
"храм","телебачення","unrelated","word","word",NA
"екран","королівство","unrelated","word","word",NA
"оргазм","водій","unrelated","word","word",NA
"аспірин","реальний","unrelated","word","word",NA
"готель","пил","unrelated","word","word",NA
"страшний","турбота","unrelated","word","word",NA
"ланцюг","артилерія","unrelated","word","word",NA
"кошмар","тунель","unrelated","word","word",NA
"бібліотека","квартал","unrelated","word","word",NA
"джаз","інформація","unrelated","word","word",NA
"співак","адреналін","unrelated","word","word",NA
"бджола","запам'ятати","unrelated","word","word",NA
"еволюція","зустрічатися","unrelated","word","word",NA
"круглий","вибух","unrelated","word","word",NA
"випадково","розмовляти","unrelated","word","word",NA
"навпаки","новини","unrelated","word","word",NA
"навчатися","фінансовий","unrelated","word","word",NA
"бонус","капелюх","unrelated","word","word",NA
"дозволяти","будувати","unrelated","word","word",NA
"терміновий","дивовижний","unrelated","word","word",NA
"приносити","фантазія","unrelated","word","word",NA
"вічний","доріжка","unrelated","word","word",NA
"кільце","адміністративний","unrelated","word","word",NA
"призначення","біологічний","unrelated","word","word",NA
"читання","адреса","unrelated","word","word",NA
"наречений","інвестор","unrelated","word","word",NA
"країна","жінка","unrelated","word","word",NA
"ювілей","супроводжувати","unrelated","word","word",NA
"насправді","опис","unrelated","word","word",NA
"надихати","робота","unrelated","word","word",NA
"технологія","вантаж","unrelated","word","word",NA
"ризик","галюкування","unrelated","word","word",NA
"ризикований","ремонт","unrelated","word","word",NA
"небо","туман","unrelated","word","word",NA
"анонімний","виробляти","unrelated","word","word",NA
"позитивний","пісня","unrelated","word","word",NA
"субота","комедія","unrelated","word","word",NA
"нездатність","поле бою","unrelated","word","word",NA
"незручний","стоп","unrelated","word","word",NA
"стурбований","шлюб","unrelated","word","word",NA
"раптом","хустка","unrelated","word","word",NA
"несправедливість","зірка","unrelated","word","word",NA
"бідність","високість","unrelated","word","word",NA
"нещасний","політика","unrelated","word","word",NA
"просто","газета","unrelated","word","word",NA
"м'який","трагічний","unrelated","word","word",NA
"марний","статися","unrelated","word","word",NA
"канал","справедливість","unrelated","word","word",NA
"меч","політик","unrelated","word","word",NA
"здоровий","факс","unrelated","word","word",NA
"рот","знав","unrelated","word","word",NA
"діарея","честь","unrelated","word","word",NA
"скарга","стратегія","unrelated","word","word",NA
"розмова","супутник","unrelated","word","word",NA
"закуска","зазвичай","unrelated","word","word",NA
"поцілунок","дрібний","unrelated","word","word",NA
"гарантія","помилка","unrelated","word","word",NA
"обладнання","ворота","unrelated","word","word",NA
"відповідальність","сир","unrelated","word","word",NA
"образливість","шоколад","unrelated","word","word",NA
"служба","зовнішній","unrelated","word","word",NA
"брудний","функціональний","unrelated","word","word",NA
"одиночний","прес","unrelated","word","word",NA
"річка","гідність","unrelated","word","word",NA
"море","раковина","unrelated","word","word",NA
"свіжий","сніданок","unrelated","word","word",NA
"профіль","політичний","unrelated","word","word",NA
"опівночі","фільм","unrelated","word","word",NA
"опір","ручка","unrelated","word","word",NA
"ворог","електрика","unrelated","word","word",NA
"планета","лімузин","unrelated","word","word",NA
"організувати","цирк","unrelated","word","word",NA
"орендар","математика","unrelated","word","word",NA
"наймання","допомога","unrelated","word","word",NA
"здоров'я","приходити","unrelated","word","word",NA
"весна","підозрювати","unrelated","word","word",NA
"характер","приманка","unrelated","word","word",NA
"спочатку","молодий","unrelated","word","word",NA
"остаточний","виконання","unrelated","word","word",NA
"тріщина","шланг","unrelated","word","word",NA
"стіл","негативний","unrelated","word","word",NA
"офіціант","суперечка","unrelated","word","word",NA
"офіційно","нещодавно","unrelated","word","word",NA
"спостереження","клятва","unrelated","word","word",NA
"захоплюватися","реалістичний","unrelated","word","word",NA
"чітко","лихоманка","unrelated","word","word",NA
"чекати","живопис","unrelated","word","word",NA
"тверезий","помилковий","unrelated","word","word",NA
"інтернет","урятувати","unrelated","word","word",NA
"конверт","їсти","unrelated","word","word",NA
"газ","північний","unrelated","word","word",NA
"кабіна","долар","unrelated","word","word",NA
"дядько","поема","unrelated","word","word",NA
"розділ","високий","unrelated","word","word",NA
"вибір","яйце","unrelated","word","word",NA
"надприродливий","м'ясо","unrelated","word","word",NA
"стіна","архітектор","unrelated","word","word",NA
"кодекс","символ","unrelated","word","word",NA
"прийом","несправедливість","unrelated","word","word",NA
"помада","гаманець","unrelated","word","word",NA
"квиток","температура","unrelated","word","word",NA
"охоронець","передавач","unrelated","word","word",NA
"миша","сума","unrelated","word","word",NA
"рай","вчений","unrelated","word","word",NA
"піхва","спрага","unrelated","word","word",NA
"вторинний","вагітність","unrelated","word","word",NA
"недооцінювати","боротися","unrelated","word","word",NA
"датчик","фінансування","unrelated","word","word",NA
"рухатися","футбол","unrelated","word","word",NA
"невдаха","озеро","unrelated","word","word",NA
"розбити","швидкий","unrelated","word","word",NA
"слідувати","сода","unrelated","word","word",NA
"радіус","мотузка","unrelated","word","word",NA
"фаза","танцювати","unrelated","word","word",NA
"погляд","ліжка","unrelated","word","word",NA
"нирка","директор","unrelated","word","word",NA
"пити","інвестувати","unrelated","word","word",NA
"зола","запах","unrelated","word","word",NA
"іржавий","галактика","unrelated","word","word",NA
"прочитати","проповідь","unrelated","word","word",NA
"поет","церебральний","unrelated","word","word",NA
"південний","одружений","unrelated","word","word",NA
"готовий","добровільно","unrelated","word","word",NA
"контакт","широкий","unrelated","word","word",NA
"підліток","відбиток пальця","unrelated","word","word",NA
"сумніватися","монтаж","unrelated","word","word",NA
"печатка","мрія","unrelated","word","word",NA
"мільйонер","паранормальний","unrelated","word","word",NA
"підрозділ","мовчання","unrelated","word","word",NA
"відмовляти","машина","unrelated","word","word",NA
"підтвердження","піч","unrelated","word","word",NA
"заповідник","лобстер","unrelated","word","word",NA
"космонавт","маркетинг","unrelated","word","word",NA
"альбом","рівномірний","unrelated","word","word",NA
"бруд","енергія","unrelated","word","word",NA
"гвинтівка","дуже","unrelated","word","word",NA
"духовка","їжа","unrelated","word","word",NA
"занурений","повністю","unrelated","word","word",NA
"підготовка","ціна","unrelated","word","word",NA
"цемент","розраховувати","unrelated","word","word",NA
"онук","алея","unrelated","word","word",NA
"склянка","вечір","unrelated","word","word",NA
"замикання","шрам","unrelated","word","word",NA
"шар","ображати","unrelated","word","word",NA
"увага","міністерство","unrelated","word","word",NA
"доповідь","абсурдний","unrelated","word","word",NA
"порожній","прокурор","unrelated","word","word",NA
"загальний","друг","unrelated","word","word",NA
"абсолютно","якість","unrelated","word","word",NA
"поворот","визначення","unrelated","word","word",NA
"добрий","кава","unrelated","word","word",NA
"крадіжка","партія","unrelated","word","word",NA
"явище","доля","unrelated","word","word",NA
"гостинність","підтримувати","unrelated","word","word",NA
"текст","вражаючий","unrelated","word","word",NA
"благодійність","арешт","unrelated","word","word",NA
"пенальті","пакет","unrelated","word","word",NA
"статус","син","unrelated","word","word",NA
"гральний","відповідати","unrelated","word","word",NA
"вставляти","клініка","unrelated","word","word",NA
"няня","ящірка","unrelated","word","word",NA
"продавець","привітати","unrelated","word","word",NA
"арена","нож","unrelated","word","word",NA
"зміна","грудень","unrelated","word","word",NA
"посадка","переможець","unrelated","word","word",NA
"політика","зона","unrelated","word","word",NA
"журналістика","додатковий","unrelated","word","word",NA
"критичний","система","unrelated","word","word",NA
"загальний","ідіот","unrelated","word","word",NA
"пожежа","військовий","unrelated","word","word",NA
"банан","суміш","unrelated","word","word",NA
"зелений","бар","unrelated","word","word",NA
"страждати","музика","unrelated","word","word",NA
"помилка","залишати","unrelated","word","word",NA
"підробка","дружній","unrelated","word","word",NA
"картопля","нервовий","unrelated","word","word",NA
"секретар","краватка","unrelated","word","word",NA
"перемога","захворювання","unrelated","word","word",NA
"командування","подія","unrelated","word","word",NA
"завжди","зброю","unrelated","word","word",NA
"жалюгідний","грецький","unrelated","word","word",NA
"необхідний","надзвичайний","unrelated","word","word",NA
"подвійний","сто","unrelated","word","word",NA
"копати","чесність","unrelated","word","word",NA
"труна","навмисно","unrelated","word","word",NA
"слухати","спати","unrelated","word","word",NA
"пояснення","судно","unrelated","word","word",NA
"неправильний","вибуховий","unrelated","word","word",NA
"буквально","приємний","unrelated","word","word",NA
"об'єкт","мокрий","unrelated","word","word",NA
"канцлер","місто","unrelated","word","word",NA
"кнопок","снайпер","unrelated","word","word",NA
"корона","травма","unrelated","word","word",NA
"привітати","палуба","unrelated","word","word",NA
"зручний","павутина","unrelated","word","word",NA
"нова","фестиваль","unrelated","word","word",NA
"відмовляти","розслідувати","unrelated","word","word",NA
"попряма","чудовий","unrelated","word","word",NA
"чіп","позбавлення волі","unrelated","word","word",NA
"пастка","ставлення","unrelated","word","word",NA
"висновок","паспорт","unrelated","word","word",NA
"ентузіазм","вбивство","unrelated","word","word",NA
"притулок","кішка","unrelated","word","word",NA
"прибути","біль","unrelated","word","word",NA
"причина","злочинність","unrelated","word","word",NA
"псевдонім","підпис","unrelated","word","word",NA
"з","консультувати","unrelated","word","word",NA
"неприємність","професійний","unrelated","word","word",NA
"успіх","французький","unrelated","word","word",NA
"проект","дно","unrelated","word","word",NA
"дрімати","ван","unrelated","word","word",NA
"запустити","винищувач","unrelated","word","word",NA
"купувати","зима","unrelated","word","word",NA
"аукціон","камінь","unrelated","word","word",NA
"дотепність","покладати","unrelated","word","word",NA
"марка","папа","unrelated","word","word",NA
"показати","милий","unrelated","word","word",NA
"юрист","фотографія","unrelated","word","word",NA
"виступ","великий","unrelated","word","word",NA
"пропонувати","потреба","unrelated","word","word",NA
"просто","свідчення","unrelated","word","word",NA
"правила","цвинтар","unrelated","word","word",NA
"модель","демонстрація","unrelated","word","word",NA
"аматорський","птах","unrelated","word","word",NA
"декан","осінь","unrelated","word","word",NA
"теплий","яскравий","unrelated","word","word",NA
"процес","продавати","unrelated","word","word",NA
"медичний","масаж","unrelated","word","word",NA
"анатомія","глухий","unrelated","word","word",NA
"метелик","малювати","unrelated","word","word",NA
"задоволення","доказ","unrelated","word","word",NA
"округ","відеоролик","unrelated","word","word",NA
"пухлина","група","unrelated","word","word",NA
"ракета","зрештою","unrelated","word","word",NA
"туалет","аварія","unrelated","word","word",NA
"пізно","гей","unrelated","word","word",NA
"завтра","монастир","unrelated","word","word",NA
"білка","втеча","unrelated","word","word",NA
"генератор","демократія","unrelated","word","word",NA
"оптимістичний","пристрасть","unrelated","word","word",NA
"справжній","звичайний","unrelated","word","word",NA
"результат","спроба","unrelated","word","word",NA
"філософія","фотограф","unrelated","word","word",NA
"виправляти","горила","unrelated","word","word",NA
"кар'єра","полум'я","unrelated","word","word",NA
"паб","повертатися","unrelated","word","word",NA
"слово","рушник","unrelated","word","word",NA
"акула","витрачати","unrelated","word","word",NA
"полювання","кінь","unrelated","word","word",NA
"кесар","порядок","unrelated","word","word",NA
"значок","політ","unrelated","word","word",NA
"рідина","квартира","unrelated","word","word",NA
"зрідка","тягнути","unrelated","word","word",NA
"робити","бетмен","unrelated","word","word",NA
"фермер","померти","unrelated","word","word",NA
"робота","небезпека","unrelated","word","word",NA
"падіння","запитувати","unrelated","word","word",NA
"прогрес","зрозуміти","unrelated","word","word",NA
"календар","лють","unrelated","word","word",NA
"розмова","підтверджувати","unrelated","word","word",NA
"сказати","коліна","unrelated","word","word",NA
"рахувати","судовий процес","unrelated","word","word",NA
"розрив","доктор","unrelated","word","word",NA
"вивчати","хвилина","unrelated","word","word",NA
"місце","чотири","unrelated","word","word",NA
"розумний","ефект","unrelated","word","word",NA
"ярмарок","бекон","unrelated","word","word",NA
"сюрприз","четвертий","unrelated","word","word",NA
"драматичний","повний","unrelated","word","word",NA
"створення","обслуговування","unrelated","word","word",NA
"ручний","безвідповідальний","unrelated","word","word",NA
"папір","десь","unrelated","word","word",NA
"ковдра","повідомлення","unrelated","word","word",NA
"герой","дурість","unrelated","word","word",NA
"шпигунство","християнин","unrelated","word","word",NA
"суп","зрадник","unrelated","word","word",NA
"єдиний","верхній","unrelated","word","word",NA
"ніндзя","талант","unrelated","word","word",NA
"миля","ваніль","unrelated","word","word",NA
"корова","тварина","unrelated","word","word",NA
"ріг","брехун","unrelated","word","word",NA
"свідок","героїн","unrelated","word","word",NA
"міжнародний","пляшка","unrelated","word","word",NA
"захід сонця","розвиток","unrelated","word","word",NA
"лампа","флот","unrelated","word","word",NA
"різдвяний","цивілізація","unrelated","word","word",NA
"монах","вижити","unrelated","word","word",NA
"табір","робити","unrelated","word","word",NA
"парламент","всередині","unrelated","word","word",NA
"губернатор","металевий","unrelated","word","word",NA
"кров","власник","unrelated","word","word",NA
"дим","сильно","unrelated","word","word",NA
"тютюн","сонячний","unrelated","word","word",NA
"частота","вивчення","unrelated","word","word",NA
"сповіщення","підрозділ","unrelated","word","word",NA
"стояти","повідомляти","unrelated","word","word",NA
"сила","легенда","unrelated","word","word",NA
"міцно","провал","unrelated","word","word",NA
"важкий","малий","unrelated","word","word",NA
"прапор","журналіст","unrelated","word","word",NA
"дочка","важливість","unrelated","word","word",NA
"симптом","горілка","unrelated","word","word",NA
"коричневий","відсутність","unrelated","word","word",NA
"дряпати","слава","unrelated","word","word",NA
"хліб","вилка","unrelated","word","word",NA
"мережа","жалюгідний","unrelated","word","word",NA
"молочний","краса","unrelated","word","word",NA
"клан","раноподібний","unrelated","word","word",NA
"плітки","черевний","unrelated","word","word",NA
"збільшити","захищати","unrelated","word","word",NA
"скромний","жарт","unrelated","word","word",NA
"сильний","реактор","unrelated","word","word",NA
"славний","світанок","unrelated","word","word",NA
"раб","період","unrelated","word","word",NA
"смачний","іронічний","unrelated","word","word",NA
"кошик","акт","unrelated","word","word",NA
"усмішка","капіталізм","unrelated","word","word",NA
"шутер","атмосфера","unrelated","word","word",NA
"дощ","фізичний","unrelated","word","word",NA
"обід","грім","unrelated","word","word",NA
"лимонад","чужий","unrelated","word","word",NA
"місяць","штучний","unrelated","word","word",NA
"місячний","можливість","unrelated","word","word",NA
"крем","сміятися","unrelated","word","word",NA
"лазанья","часто","unrelated","word","word",NA
"кімната","лизати","unrelated","word","word",NA
"хаос","зачинено","unrelated","word","word",NA
"вдячний","синій","unrelated","word","word",NA
"спокійний","іграшка","unrelated","word","word",NA
"експерт","багатство","unrelated","word","word",NA
"терпіння","радість","unrelated","word","word",NA
"навігація","вправа","unrelated","word","word",NA
"суспільство","офіс","unrelated","word","word",NA
"спокійно","морфін","unrelated","word","word",NA
"хобі","забавний","unrelated","word","word",NA
"помститися","поворот","unrelated","word","word",NA
"голод","товстий","unrelated","word","word",NA
"спробувати","пацюк","unrelated","word","word",NA
"золотий","гідний","unrelated","word","word",NA
"думка","тестування","unrelated","word","word",NA
"бетон","несподівано","unrelated","word","word",NA
"платформа","килимок","unrelated","word","word",NA
"виникнути","концентрат","unrelated","word","word",NA
"пам'ятник","викладач","unrelated","word","word",NA
"монстр","бабуся","unrelated","word","word",NA
"ритм","графиня","unrelated","word","word",NA
"тисяча","приз","unrelated","word","word",NA
"заважати","виклик","unrelated","word","word",NA
"ударити","пеніс","unrelated","word","word",NA
"планувати","допомагати","unrelated","word","word",NA
"жах","салат","unrelated","word","word",NA
"підйом","моторошний","unrelated","word","word",NA
"піраміда","пароль","unrelated","word","word",NA
"судовий","мера","unrelated","word","word",NA
"екіпаж","народження","unrelated","word","word",NA
"слух","ракетний","unrelated","word","word",NA
"спідниця","метр","unrelated","word","word",NA
"сума","використання","unrelated","word","word",NA
"поєднання","карта","unrelated","word","word",NA
"конфлікт","гармонія","unrelated","word","word",NA
"ескорт","щока","unrelated","word","word",NA
"радар","нос","unrelated","word","word",NA
"західний","батько","unrelated","word","word",NA
"покривати","машина","unrelated","word","word",NA
"таблетка","спагетті","unrelated","word","word",NA
"секретний","ліберальний","unrelated","word","word",NA
"детонатор","катування","unrelated","word","word",NA
"гаразд","дружба","unrelated","word","word",NA
"потенціал","комісар","unrelated","word","word",NA
"тут","відчуття","unrelated","word","word",NA
"танцівниця","злий","unrelated","word","word",NA
"чаша","правдоподібний","unrelated","word","word",NA
"звір","будівля","unrelated","word","word",NA
"уява","божественний","unrelated","word","word",NA
"кінотеатр","надавати","unrelated","word","word",NA
"радіо","оновити","unrelated","word","word",NA
"зателефонувати","випускник","unrelated","word","word",NA
"тінь","йти","unrelated","word","word",NA
"тепло","турбувати","unrelated","word","word",NA
"гольф","обов'язок","unrelated","word","word",NA
"ідея","нудота","unrelated","word","word",NA
"експеримент","альфа","unrelated","word","word",NA
"метод","сеча","unrelated","word","word",NA
"місяць","параметр","unrelated","word","word",NA
"пульс","каплиця","unrelated","word","word",NA
"шкіра","смачний","unrelated","word","word",NA
"тонкий","дивний","unrelated","word","word",NA
"комерційний","близький","unrelated","word","word",NA
"ураган","куртка","unrelated","word","word",NA
"десерт","сонце","unrelated","word","word",NA
"рана","мінус","unrelated","word","word",NA
"сумний","ще","unrelated","word","word",NA
"сучасний","мити","unrelated","word","word",NA
"кола","швидкість","unrelated","word","word",NA
"тіло","стиль","unrelated","word","word",NA
"один","зловмисник","unrelated","word","word",NA
"хмара","таємниця","unrelated","word","word",NA
"міст","сигнал","unrelated","word","word",NA
"занепокоєння","буква","unrelated","word","word",NA
"переривати","процедура","unrelated","word","word",NA
"штовхати","капітан","unrelated","word","word",NA
"отрута","скромний","unrelated","word","word",NA
"заручниця","знаменитий","unrelated","word","word",NA
"договір","ковбойський","unrelated","word","word",NA
"пляжний","водневий","unrelated","word","word",NA
"коледж","милосердя","unrelated","word","word",NA
"особливий","вітрило","unrelated","word","word",NA
"адміністрація","зброя","unrelated","word","word",NA
"порятунок","елегантний","unrelated","word","word",NA
"спадщина","виробництво","unrelated","word","word",NA
"утримувати","дружина","unrelated","word","word",NA
"пошта","коли-небудь","unrelated","word","word",NA
"реальність","стрибок","unrelated","word","word",NA
"чудовий","свисток","unrelated","word","word",NA
"смертельний","електричний","unrelated","word","word",NA
"колонія","офіціантка","unrelated","word","word",NA
"карнавал","підтверджувати","unrelated","word","word",NA
"сексуальний","прохолодний","unrelated","word","word",NA
"порно","жувати","unrelated","word","word",NA
"банківський","вибухнути","unrelated","word","word",NA
"бюджет","збирати","unrelated","word","word",NA
"фінансово","почути","unrelated","word","word",NA
"морський","бізнес","unrelated","word","word",NA
"морський","тарілка","unrelated","word","word",NA
"автограф","тиск","unrelated","word","word",NA
"картина","натхнення","unrelated","word","word",NA
"словник","бажання","unrelated","word","word",NA
"англійська мова","знак","unrelated","word","word",NA
"яблучний","далеко","unrelated","word","word",NA
"оперативний","закінчити","unrelated","word","word",NA
"баскетбол","параграф","unrelated","word","word",NA
"другий","гонка","unrelated","word","word",NA
"хворий","голодний","unrelated","word","word",NA
"здобич","робітник","unrelated","word","word",NA
"працювати","егоїстичний","unrelated","word","word",NA
"дівчина","загалом","unrelated","word","word",NA
"гарячий","успадковувати","unrelated","word","word",NA
"благородний","дух","unrelated","word","word",NA
"католицький","торнадо","unrelated","word","word",NA
"тканина","співчуття","unrelated","word","word",NA
"могила","відьма","unrelated","word","word",NA
"мозок","кафедра","unrelated","word","word",NA
"ритуальний","помічник","unrelated","word","word",NA
"часник","прилад","unrelated","word","word",NA
"культура","сигналізація","unrelated","word","word",NA
"наївний","лідер","unrelated","word","word",NA
"зоопарк","інтуїція","unrelated","word","word",NA
"захоплюючий","бейсбол","unrelated","word","word",NA
"вартість","фраза","unrelated","word","word",NA
"привабливий","руйнування","unrelated","word","word",NA
"магія","замку","unrelated","word","word",NA
"матерія","жовтий","unrelated","word","word",NA
"іноді","речення","unrelated","word","word",NA
"конкуренція","теніс","unrelated","word","word",NA
"хребетний","гравець","unrelated","word","word",NA
"кістка","вампір","unrelated","word","word",NA
"равлик","сила","unrelated","word","word",NA
"пристойний","жорстокість","unrelated","word","word",NA
"лояльність","відмовлятися","unrelated","word","word",NA
"привілей","ресторан","unrelated","word","word",NA
"третій","вбивця","unrelated","word","word",NA
"підводний човен","зміст","unrelated","word","word",NA
"білий","кузен","unrelated","word","word",NA
"два","замок","unrelated","word","word",NA
"винятковий","отворити","unrelated","word","word",NA
"приємний","сукня","unrelated","word","word",NA
"уф","коханець","unrelated","word","word",NA
"делікатний","прогулянка","unrelated","word","word",NA
"виноробство","пластик","unrelated","word","word",NA
"хабар","позиція","unrelated","word","word",NA
"кабінет","замінник","unrelated","word","word",NA
"змагання","відданість","unrelated","word","word",NA
"повільний","валіза","unrelated","word","word",NA
"відстань","достатні","unrelated","word","word",NA
"повільно","подяка","unrelated","word","word",NA
"готувати","долина","unrelated","word","word",NA
"горло","щасливий","unrelated","word","word",NA
"вузький","назавжди","unrelated","word","word",NA
"клас","первинний","unrelated","word","word",NA
"насос","спорт","unrelated","word","word",NA
"розлучення","божевільний","unrelated","word","word",NA
"фрагмент","сенат","unrelated","word","word",NA
"цукор","станція","unrelated","word","word",NA
"дорога","створіння","unrelated","word","word",NA
"голка","ранок","unrelated","word","word",NA
"татуювання","орендодавець","unrelated","word","word",NA
"база","щедрий","unrelated","word","word",NA
"вітер","динаміт","unrelated","word","word",NA
"природний","ванна кімната","unrelated","word","word",NA
"задоволений","підприємець","unrelated","word","word",NA
"вже","сидіти","unrelated","word","word",NA
"співчувати","знання","unrelated","word","word",NA
"що","квітка","unrelated","word","word",NA
"губа","щось","unrelated","word","word",NA
"ніщо","ліки","unrelated","word","word",NA
"щодня","спокійний","unrelated","word","word",NA
"атомний","вихід","unrelated","word","word",NA
"гніздо","музикант","unrelated","word","word",NA
"кількість","минуле","unrelated","word","word",NA
"блиск","лев","unrelated","word","word",NA
"жаба","автобус","unrelated","word","word",NA
"смскний","підрозділ","nonword","nonword","word",NA
"інходент","воїн","nonword","nonword","word",NA
"подлг","почути","nonword","nonword","word",NA
"фізка","яскравий","nonword","nonword","word",NA
"жирівництво","віл","nonword","nonword","word",NA
"гоміон","лекція","nonword","nonword","word",NA
"чичто","нервовий","nonword","nonword","word",NA
"термювал","цинічний","nonword","nonword","word",NA
"жеве","ящірка","nonword","nonword","word",NA
"тремер","намисто","nonword","nonword","word",NA
"фотор","орендодавець","nonword","nonword","word",NA
"гопас","замку","nonword","nonword","word",NA
"ект","винним","nonword","nonword","word",NA
"могав","рівномірний","nonword","nonword","word",NA
"брімо","альфа","nonword","nonword","word",NA
"saрика","небесний","nonword","nonword","word",NA
"пытопсія","фотографія","nonword","nonword","word",NA
"покаразо","ефект","nonword","nonword","word",NA
"лезеон","давати","nonword","nonword","word",NA
"ірна","четвертий","nonword","nonword","word",NA
"кавалеття","небезпека","nonword","nonword","word",NA
"іновнер","синій","nonword","nonword","word",NA
"втрыгнення","сума","nonword","nonword","word",NA
"тихоокажнський","інструмент","nonword","nonword","word",NA
"середовиог","група","nonword","nonword","word",NA
"натомі","заява","nonword","nonword","word",NA
"діорсь","дрібний","nonword","nonword","word",NA
"шочю","протокол","nonword","nonword","word",NA
"аздний","розташування","nonword","nonword","word",NA
"скчебниця","трикутник","nonword","nonword","word",NA
"батення","дослідник","nonword","nonword","word",NA
"клед","пропонувати","nonword","nonword","word",NA
"поlf","ворота","nonword","nonword","word",NA
"дорослін","правдоподібний","nonword","nonword","word",NA
"масл","аудиторія","nonword","nonword","word",NA
"еркровення","дух","nonword","nonword","word",NA
"нерозвонил","обладнувати","nonword","nonword","word",NA
