"word_combo","pt_cue","pt_target","type","cue_type","target_type","M_Z","SD_Z","SE_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"brindeestação","brinde","estação","unrelated","word","word",-0.374424784876108,0.633827656857389,0.0870629243922071,53,57,57,1,1,51,57,1,0.894736842105263,TRUE,TRUE,TRUE
"brindejitka","brinde","jitka","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brinhosfamos","brinhos","famos","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brinhosinvestigador","brinhos","investigador","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brinhosmorpio","brinhos","morpio","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brinhospacote","brinhos","pacote","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brodacaminhada","broda","caminhada","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brodacultar","broda","cultar","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brodapraso","broda","praso","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brodatransferir","broda","transferir","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bruneiadultelo","brunei","adultelo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bruneicadáver","brunei","cadáver","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bruneyinseto","bruney","inseto","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bruneytransriado","bruney","transriado","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brutalarmaduras","brutal","armaduras","unrelated","word","word",0.125001239338021,0.95961641524593,0.110806959132204,75,77,80,0,0.9625,75,80,0,0.9375,FALSE,TRUE,TRUE
"brutalcruel","brutal","cruel","related","word","word",-0.571700644760988,0.6804727841805,0.0909320006938428,56,58,61,1,0.950819672131147,59,61,1,0.967213114754098,FALSE,TRUE,TRUE
"brutalifundagor","brutal","ifundagor","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brutaltõem","brutal","tõem","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bulprescular","bul","prescular","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bulzona","bul","zona","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"burrobokov","burro","bokov","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"burrocavalo","burro","cavalo","related","word","word",-0.591500119732667,0.414285732982023,0.0580116060991673,51,56,58,1,0.96551724137931,57,58,1,0.982758620689655,TRUE,TRUE,TRUE
"burrocigarro","burro","cigarro","unrelated","word","word",-0.450321506896449,0.844854865638441,0.107296675232811,62,71,72,0,0.986111111111111,71,72,0,0.986111111111111,FALSE,TRUE,TRUE
"burroinada","burro","inada","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"burtaatirador de elite","burta","atirador de elite","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"burtahanta","burta","hanta","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"burtaselecione","burta","selecione","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"burtauirei","burta","uirei","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bússoianteroso","bússo","ianteroso","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bussoinvesguem","busso","invesguem","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bússoladonse","bússola","donse","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bússolagravidez","bússola","gravidez","unrelated","word","word",-0.629860677755023,0.576089757552106,0.0731634723726264,62,68,68,0,1,64,68,0,0.941176470588235,TRUE,TRUE,TRUE
"bússolamacedimento","bússola","macedimento","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bússolamapa","bússola","mapa","related","word","word",-0.506841100672541,0.96349755905336,0.117709961428205,67,73,74,2,0.986486486486487,71,73,3,0.972602739726027,FALSE,TRUE,TRUE
"bussomano","busso","mano","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bússonadar","bússo","nadar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bússoprotótipo","bússo","protótipo","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bússosunto","bússo","sunto","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"buzinaarlitisoria","buzina","arlitisoria","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"buzinaassobiar","buzina","assobiar","related","word","word",-0.314330241788181,0.708632516395101,0.0759733803420837,87,90,92,1,0.978260869565217,78,92,1,0.847826086956522,TRUE,TRUE,TRUE
"buzinacavações","buzina","cavações","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"buzinagole","buzina","gole","unrelated","word","word",0.314674036629775,1.69030541821682,0.263981355903615,41,46,54,1,0.851851851851852,45,54,1,0.833333333333333,FALSE,TRUE,FALSE
"buzinavitamina","buzina","vitamina","unrelated","word","word",-0.253353084526006,0.859995318475873,0.124129632155966,48,52,52,0,1,50,52,0,0.961538461538462,FALSE,TRUE,FALSE
"byldestino","byl","destino","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bylpecialistaca","byl","pecialistaca","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cabelobarba","cabelo","barba","related","word","word",-0.538469583053092,0.641447445060138,0.0699876540791455,84,91,93,2,0.978494623655914,89,92,3,0.967391304347826,TRUE,TRUE,TRUE
"cabelopreiteira","cabelo","preiteira","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cabelosidiu","cabelo","sidiu","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cabelowatson","cabelo","watson","unrelated","word","word",0.804847617340115,1.13837929788116,0.261162122046462,19,25,55,2,0.454545454545455,52,55,2,0.945454545454545,FALSE,TRUE,FALSE
"cabereisadicional","cabereis","adicional","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cabereisaliscício","cabereis","aliscício","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cabereisdranto","cabereis","dranto","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cabereisneve","cabereis","neve","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cabinealargu","cabine","alargu","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cabineconvés","cabine","convés","related","word","word",0.190578371916279,1.01817627076153,0.102330565471494,99,106,116,1,0.913793103448276,113,117,0,0.965811965811966,FALSE,TRUE,TRUE
"cabineobviaatraíste","cabine","obviaatraíste","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cabinepedra","cabine","pedra","unrelated","word","word",-0.649198808498653,0.442090644390315,0.0552613305487893,64,70,70,1,1,63,70,1,0.9,TRUE,TRUE,TRUE
"caboarame","cabo","arame","related","word","word",-0.134538805074233,0.685311235069174,0.0877451123212165,61,67,70,2,0.957142857142857,62,70,2,0.885714285714286,TRUE,TRUE,TRUE
"caboconfusão","cabo","confusão","unrelated","word","word",-0.45741873844452,0.589365642576859,0.0680540824785733,75,81,82,0,0.98780487804878,74,82,0,0.902439024390244,TRUE,TRUE,TRUE
"caboprodurant","cabo","produrant","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caboserca","cabo","serca","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caçandocolapso","caçando","colapso","unrelated","word","word",0.100073365514555,0.739541654378208,0.109039468179552,46,48,50,2,0.96,50,51,1,0.980392156862745,FALSE,TRUE,FALSE
"caçandopescaria","caçando","pescaria","related","word","word",-0.381394919800858,0.693195796376864,0.0918160262082627,57,61,61,2,1,60,62,1,0.967741935483871,FALSE,TRUE,TRUE
"caçandoserca","caçando","serca","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caçarcolapso","caçar","colapso","unrelated","word","word",-0.13337673886542,0.662620668694851,0.0976980875810349,46,51,52,1,0.980769230769231,51,53,0,0.962264150943396,FALSE,TRUE,FALSE
"caçarexaspa","caçar","exaspa","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caçarpescar","caçar","pescar","related","word","word",-0.680075448639374,0.482099030697016,0.0710816241463479,46,50,51,1,0.980392156862745,47,51,1,0.92156862745098,TRUE,TRUE,FALSE
"cachmeatar","cachme","atar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cachmedeseaustivo","cachme","deseaustivo","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caçõesdarede","caçõesda","rede","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caçõesdawhitsico","caçõesda","whitsico","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cadeiacorda","cadeia","corda","related","word","word",-0.425104789589941,1.03578682325088,0.147969546178697,49,51,51,0,1,49,51,0,0.96078431372549,FALSE,TRUE,FALSE
"cadeiadeterminação","cadeia","determinação","unrelated","word","word",-0.120722069220949,0.903105027124448,0.126459998326794,51,53,53,0,1,53,53,0,1,FALSE,TRUE,TRUE
"cadeiaquivar","cadeia","quivar","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cadorinqueinmante","cador","inqueinmante","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cadorlixo","cador","lixo","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cadorprotransa","cador","protransa","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cadortalento","cador","talento","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caicomeletricidade","caicom","eletricidade","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caicommin","caicom","min","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caicomradiação","caicom","radiação","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caicomsensaçäodome","caicom","sensaçäodome","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caiparinvestituíam","caipar","investituíam","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caiparprecisar","caipar","precisar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caiparprisioprotero","caipar","prisioprotero","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caipartraseira","caipar","traseira","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cãiqueainda","cãique","ainda","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caíqueentersecto","caíque","entersecto","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caíquemúsica","caíque","música","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cãiquevarpusstador","cãique","varpusstador","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caircolapso","cair","colapso","related","word","word",0.00562328073144386,0.86424677704008,0.108884859211292,63,66,66,0,1,64,66,0,0.96969696969697,FALSE,TRUE,TRUE
"cairestituir","cair","estituir","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cairmiblachone","cair","miblachone","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cairmúsico","cair","músico","unrelated","word","word",-0.679277732102054,0.335621058477193,0.0461010978654831,53,59,60,1,0.983333333333333,56,60,1,0.933333333333333,TRUE,TRUE,TRUE
"caixabolsa","caixa","bolsa","related","word","word",-0.683264808897398,0.393214609927435,0.0540121805724963,53,55,57,0,0.964912280701754,55,57,0,0.964912280701754,TRUE,TRUE,TRUE
"caixacardeal","caixa","cardeal","unrelated","word","word",0.259758206794119,1.07307065058126,0.126462588953045,72,79,91,3,0.868131868131868,87,92,2,0.945652173913043,FALSE,TRUE,TRUE
"caixainvestimecha","caixa","investimecha","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caixãoarmadunhol","caixão","armadunhol","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caixãoorelha","caixão","orelha","unrelated","word","word",-0.371422901360294,0.779534464118377,0.108101980052698,52,53,53,1,1,52,53,1,0.981132075471698,FALSE,TRUE,TRUE
"caixãosaçõesda","caixão","saçõesda","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caixãosede","caixão","sede","unrelated","word","word",-0.295753777606136,0.664858725887945,0.0873002276520062,58,59,59,1,1,59,60,0,0.983333333333333,TRUE,TRUE,TRUE
"caixãovelório","caixão","velório","related","word","word",-0.308201593040979,0.776449853873245,0.0884846729393966,77,78,79,3,0.987341772151899,76,79,3,0.962025316455696,TRUE,TRUE,TRUE
"caixasacola","caixa","sacola","related","word","word",-0.330271712005449,0.846401566666277,0.115180664212481,54,57,60,0,0.95,56,60,0,0.933333333333333,FALSE,TRUE,TRUE
"caixaserrotal","caixa","serrotal","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cakettcriatura","cakett","criatura","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cakettdivinhas","cakett","divinhas","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calaçõesíntimo","calações","íntimo","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calaçõesmontepar","calações","montepar","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calendárioagendar","calendário","agendar","related","word","word",-0.432958573533446,0.835228778480171,0.106074160941196,62,67,67,0,1,63,64,3,0.984375,FALSE,TRUE,TRUE
"calendáriomozartdo","calendário","mozartdo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calendárioprincipe","calendário","principe","unrelated","word","word",-0.307206634873825,0.829707815505935,0.0964515743998574,74,80,89,4,0.898876404494382,88,90,3,0.977777777777778,FALSE,TRUE,TRUE
"calendáriovimança","calendário","vimança","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calhausdadecidade","calhausdade","cidade","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calhausdadecomprador","calhausdade","comprador","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calhausdadefemon","calhausdade","femon","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calhausdaderela","calhausdade","rela","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calhauslicoconirmar","calhauslico","conirmar","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calhauslicocristão","calhauslico","cristão","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calhauslicoescharla","calhauslico","escharla","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calhauslicogravidez","calhauslico","gravidez","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calibrebala","calibre","bala","related","word","word",-0.4970590546662,0.611002564666034,0.0658861009823517,86,91,94,2,0.968085106382979,82,94,2,0.872340425531915,TRUE,TRUE,TRUE
"calibreeventualmente","calibre","eventualmente","unrelated","word","word",-0.13030199951138,0.895775893607987,0.109436443189861,67,69,69,0,1,68,69,0,0.985507246376812,FALSE,TRUE,TRUE
"calibreguaxigarta","calibre","guaxigarta","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calibrenaqui","calibre","naqui","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calibrepai","calibre","pai","unrelated","word","word",-0.787908163609507,0.369162596683016,0.0538478990265088,47,50,50,1,1,46,50,1,0.92,TRUE,TRUE,FALSE
"calicaisaguentamina","calicais","aguentamina","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calicaisdivino","calicais","divino","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calicaisfilme","calicais","filme","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calicaisfútes","calicais","fútes","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calorarma de rensky","calor","arma de rensky","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calorcontraísa","calor","contraísa","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calorcorporação","calor","corporação","unrelated","word","word",0.0771671192557007,1.09604520969062,0.116838811932087,88,93,93,1,1,90,93,1,0.967741935483871,FALSE,TRUE,TRUE
"calorosoarmabrés","caloroso","armabrés","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calorosoblico","caloroso","blico","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calorosoconstrução","caloroso","construção","unrelated","word","word",-0.222772518391024,0.886837864461872,0.119581193249478,55,60,60,1,1,57,60,1,0.95,FALSE,TRUE,TRUE
"calorosoedifício","caloroso","edifício","unrelated","word","word",-0.500845587944768,0.384450401692113,0.0543694972132771,50,54,56,0,0.964285714285714,53,56,0,0.946428571428571,TRUE,TRUE,TRUE
"calorosofrio","caloroso","frio","related","word","word",-0.662183888739369,0.749736316077776,0.0865720927817485,75,82,85,1,0.964705882352941,84,85,1,0.988235294117647,TRUE,TRUE,TRUE
"calortemperatura","calor","temperatura","related","word","word",-0.52427621025556,0.456300371660532,0.0549321095057066,69,72,73,0,0.986301369863014,72,73,0,0.986301369863014,TRUE,TRUE,TRUE
"camachirosoalarudor","camachiroso","alarudor","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camachirosovitamina","camachiroso","vitamina","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camadaaceta","camada","aceta","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camadadeixar","camada","deixar","unrelated","word","word",-0.526002622350459,0.621611761889027,0.0789447727047186,62,68,69,0,0.985507246376812,67,69,0,0.971014492753623,TRUE,TRUE,TRUE
"camadapecialistaca","camada","pecialistaca","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camadasuperfície","camada","superfície","related","word","word",-0.37588151579379,0.579623153575634,0.0724528941969542,64,70,70,2,1,66,70,2,0.942857142857143,TRUE,TRUE,TRUE
"camashirosoabdomilhões","camashiroso","abdomilhões","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camashirosolouco","camashiroso","louco","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"câmeraacomgo","câmera","acomgo","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"câmeraconstruir","câmera","construir","unrelated","word","word",-0.202403382472549,0.903348917296708,0.100372101921856,81,86,86,1,1,78,84,3,0.928571428571429,FALSE,TRUE,TRUE
"câmeradistraisão","câmera","distraisão","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"câmeramicrofone","câmera","microfone","related","word","word",-0.356402724264306,0.695428151204265,0.0849600708223577,67,73,75,2,0.973333333333333,71,74,3,0.959459459459459,TRUE,TRUE,TRUE
"camerialtelefô","cameri","altelefô","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camericheirafa","cameri","cheirafa","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cameriempregada","cameri","empregada","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camerireparar","cameri","reparar","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camicrosanespiro","camicros","anespiro","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camicrosinfortúnio","camicros","infortúnio","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camicroski","camicros","ki","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camicrosmecânico","camicros","mecânico","nonword","nonword","word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camisacasaco","camisa","casaco","related","word","word",-0.610508010679597,0.661415618101334,0.0758695747100843,76,78,79,1,0.987341772151899,76,79,1,0.962025316455696,TRUE,TRUE,TRUE
"camisajaqueta","camisa","jaqueta","related","word","word",-0.419550019690628,0.680423891954358,0.0825135169624022,68,74,75,0,0.986666666666667,75,75,0,1,TRUE,TRUE,TRUE
"camisamapontamento","camisa","mapontamento","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camisareceio","camisa","receio","unrelated","word","word",-0.361491176279228,0.741873472977347,0.0991370128649046,56,62,62,0,1,61,62,0,0.983870967741935,FALSE,TRUE,TRUE
"camisaseleciotoshik","camisa","seleciotoshik","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"campanhaconhaque","campanha","conhaque","unrelated","word","word",0.330762630333534,1.01685961291594,0.145265658987991,49,50,63,0,0.793650793650794,61,62,1,0.983870967741935,FALSE,TRUE,FALSE
"campanhadómen","campanha","dómen","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"campanhaeleição","campanha","eleição","related","word","word",-0.380090240133929,0.724803812987279,0.0842567318122879,74,77,78,0,0.987179487179487,76,78,0,0.974358974358974,TRUE,TRUE,TRUE
"campanhatungstélite","campanha","tungstélite","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"campeãoacoscipe","campeão","acoscipe","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"campeãolutador","campeão","lutador","related","word","word",-0.389549298800033,0.828304571299551,0.108761718578746,58,63,63,0,1,63,63,0,1,FALSE,TRUE,TRUE
"campeãomesamento","campeão","mesamento","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"campeãoquatro","campeão","quatro","unrelated","word","word",-0.616075086299469,0.468348212805435,0.0580914462706522,65,69,71,0,0.971830985915493,70,71,0,0.985915492957746,TRUE,TRUE,TRUE
"camundongoespañolgeiro","camundongo","españolgeiro","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camundongofotógrafo","camundongo","fotógrafo","unrelated","word","word",-0.366438802418051,0.787979736396693,0.109273128600187,52,52,53,1,0.981132075471698,36,52,2,0.692307692307692,FALSE,TRUE,TRUE
"camundongorato","camundongo","rato","related","word","word",-0.68361234521363,0.54812763055009,0.0679868651762921,65,69,69,1,1,57,69,1,0.826086956521739,TRUE,TRUE,TRUE
"canalarma de rensky","canal","arma de rensky","nonword","word","nonword",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
