"word_combo","sr_cue","sr_target","type","cue_type","target_type","sr_cosine","M_Z","SD_Z","sr_Z","sampleN","target_correct","target_answeredN","target_timeoutN","target_prop_correct","cue_correct","cue_answeredN","cue_timeoutN","cue_prop_correct","done_both","done_totalN","done"
"витристанпратолтер","витристан","пратолтер","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вицишвласник","вициш","власник","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вицишиспрарвероватан","вициш","испрарвероватан","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"виштепримаран","виште","примаран","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"виштесастастиш","виште","састастиш","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"владавинанемоћан","владавина","немоћан","unrelated","word","word",0.506289305650192,-0.487399271915619,0.638906241750048,0.260832380961149,6,8,8,0,1,7,8,0,0.875,FALSE,FALSE,FALSE
"владавинаправила","владавина","правила","related","word","word",0.431780267024279,-0.44932994705292,0.952332308619259,0.238083077154815,16,18,18,0,1,15,18,0,0.833333333333333,FALSE,FALSE,FALSE
"владавинаурекол","владавина","урекол","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вовлтета","вов","лтета","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вовнежан","вов","нежан","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вожњавиглатко","вожња","виглатко","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вожњавозити се","вожња","возити се","related","word","word",NA,-0.41636310469494,0.888458228894316,0.229398928287242,15,17,17,1,1,17,17,1,1,FALSE,FALSE,FALSE
"вожњахирургија","вожња","хирургија","unrelated","word","word",0.499091469803945,-0.275716998990259,0.485324872741649,0.146330954937367,11,11,11,1,1,10,11,1,0.909090909090909,FALSE,FALSE,FALSE
"вожондинг","вожон","динг","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вожонченог","вожон","ченог","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"возаутобус","воз","аутобус","related","word","word",0.651447785609819,-0.805324030052887,0.267977339175554,0.0497621426219911,29,29,29,0,1,28,29,0,0.96551724137931,FALSE,FALSE,FALSE
"возилоаутомобил","возило","аутомобил","related","word","word",0.554978498889613,-0.697511440602166,0.376168573700893,0.0594774738535867,40,41,41,0,1,40,41,0,0.975609756097561,FALSE,FALSE,FALSE
"возилобрига","возило","брига","unrelated","word","word",0.370088275541611,-0.949114841111012,0.422335793724578,0.117134873825981,13,13,13,1,1,13,13,1,1,FALSE,FALSE,FALSE
"возилонауспех","возило","науспех","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"возобичтан","воз","обичтан","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"возпрофесионалан","воз","професионалан","unrelated","word","word",0.353817334166198,0.627139706620137,1.06651700796475,0.30787694082188,12,14,14,1,1,14,15,0,0.933333333333333,FALSE,FALSE,FALSE
"војкомвојска","војком","војска","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"војкомстрамњичени","војком","страмњичени","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"војникдецембар","војник","децембар","unrelated","word","word",0.418684549986204,-0.58864089149535,0.399774038730587,0.096959446356822,17,18,18,0,1,18,18,0,1,FALSE,FALSE,FALSE
"војникпредража","војник","предража","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"војникратник","војник","ратник","related","word","word",0.695254235203596,-0.628264162212401,1.30939841125162,0.256794155770747,26,27,29,0,0.931034482758621,28,29,0,0.96551724137931,FALSE,FALSE,FALSE
"воуспелоалфа","воуспело","алфа","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"воуспелолимуосновна","воуспело","лимуосновна","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вреданважан","вредан","важан","related","word","word",0.607732212185092,-0.7531196804874,0.553994908856713,0.127095148575918,19,19,19,0,1,19,19,0,1,FALSE,FALSE,FALSE
"вреданжурка","вредан","журка","unrelated","word","word",0.338077721279761,-0.877132685665838,0.113799822511064,0.0304142818937203,14,16,16,0,1,15,16,0,0.9375,FALSE,FALSE,FALSE
"вредануртаниште","вредан","уртаниште","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вредностжица","вредност","жица","unrelated","word","word",0.345534277173897,-0.829872573271813,0.758171970366681,0.23975502844564,10,10,10,0,1,10,10,0,1,FALSE,FALSE,FALSE
"вредностнечљукни","вредност","нечљукни","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вредностцена","вредност","цена","related","word","word",0.574839456985652,-0.511965977263892,0.809704821958802,0.2024262054897,16,18,18,0,1,17,18,0,0.944444444444444,FALSE,FALSE,FALSE
"врмромантичан","врм","романтичан","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"врмсмрга","врм","смрга","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"врхдно","врх","дно","related","word","word",0.447743682848777,-0.791572976026089,0.502917128400791,0.129852644187915,15,16,17,0,0.941176470588235,17,17,0,1,FALSE,FALSE,FALSE
"врхписастан","врх","писастан","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"врхцртати","врх","цртати","unrelated","word","word",0.333206912950581,-0.621948835638765,0.343737027395446,0.114579009131815,9,9,9,1,1,9,9,1,1,FALSE,FALSE,FALSE
"вушпредајник","вуш","предајник","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вушпроквим","вуш","проквим","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вц шољавеза","вц шоља","веза","unrelated","word","word",NA,0.254215447672241,1.60868172673399,0.446168034741642,13,14,14,0,1,6,13,1,0.461538461538462,FALSE,FALSE,FALSE
"вц шољадрадeм","вц шоља","драдeм","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"вц шољалавабо","вц шоља","лавабо","related","word","word",NA,0.0638030760291607,0.985922591757585,0.254564118568452,15,18,18,1,1,9,18,1,0.5,FALSE,FALSE,FALSE
"гoвзагрљај","гoв","загрљај","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гoвзахвалити","гoв","захвалити","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гoвкомуникацијалност","гoв","комуникацијалност","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гoвтрбустиш","гoв","трбустиш","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гoдипитиинстранција","гoдипити","инстранција","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гoдипитиогрлица","гoдипити","огрлица","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гаданосећање","гадан","осећање","unrelated","word","word",0.350123358706749,-0.625539751325614,0.384071624010207,0.110871927755195,12,12,12,0,1,11,12,0,0.916666666666667,FALSE,FALSE,FALSE
"гаданприлајтељаност","гадан","прилајтељаност","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гаданпрљав","гадан","прљав","related","word","word",0.55060993803731,-0.717368440607553,0.23934463364113,0.0690928443308995,12,12,12,0,1,12,12,0,1,FALSE,FALSE,FALSE
"галеријааларм","галерија","аларм","unrelated","word","word",0.417029205265412,-0.673457637040412,0.378293545178205,0.075658709035641,25,29,30,0,0.966666666666667,28,30,0,0.933333333333333,FALSE,FALSE,FALSE
"галеријавeрoвaтмопоуздање","галерија","вeрoвaтмопоуздање","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"галеријаизложба","галерија","изложба","related","word","word",0.603156234055391,-0.458409299984285,0.600884936239607,0.15514782340286,15,15,15,0,1,15,15,0,1,FALSE,FALSE,FALSE
"гаостваријапрвенство","гаостварија","првенство","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гаостваријаспремвисати","гаостварија","спремвисати","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гаранбрак","гаран","брак","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гаранфинансијлност","гаран","финансијлност","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гаранцијагорњи","гаранција","горњи","unrelated","word","word",0.41358785107102,-0.772578400135781,0.378864603310471,0.114231975957061,11,12,12,0,1,11,12,0,0.916666666666667,FALSE,FALSE,FALSE
"гаранцијаобећање","гаранција","обећање","related","word","word",0.477249650694129,-0.304443335650221,0.509282583839443,0.153554476623468,11,12,12,0,1,12,12,0,1,FALSE,FALSE,FALSE
"гаранцијасвешња","гаранција","свешња","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гаскеоклоп","гаске","оклоп","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гаскеудаса","гаске","удаса","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гвитавиљушка","гвита","виљушка","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гвитастрапа","гвита","страпа","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гвожђеметал","гвожђе","метал","related","word","word",0.516172763547044,-0.675970422288132,0.41456905279364,0.131098245424649,10,11,11,0,1,11,11,0,1,FALSE,FALSE,FALSE
"гвожђеомледати","гвожђе","омледати","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гвожђепроводити","гвожђе","проводити","unrelated","word","word",0.420517963023888,0.177185555607824,0.901665940173229,0.225416485043307,16,16,16,0,1,14,15,1,0.933333333333333,FALSE,FALSE,FALSE
"гвотљудобромплетно","гвотљу","добромплетно","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гвотљунож","гвотљу","нож","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"генебљенпоздравшање","генебљен","поздравшање","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"генебљеншешир","генебљен","шешир","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"генералкатом","генерал","катом","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"генералпрошлост","генерал","прошлост","unrelated","word","word",0.283010720790667,-0.136508896155757,1.24181714339568,0.320635807693755,15,17,17,0,1,17,17,0,1,FALSE,FALSE,FALSE
"генералпуковник","генерал","пуковник","related","word","word",0.574658092100187,-0.580698319869699,0.566980067590535,0.123725194155467,21,21,21,0,1,20,21,0,0.952380952380952,FALSE,FALSE,FALSE
"генерамплетлестамње","генерамплет","лестамње","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"генерамплетповратак","генерамплет","повратак","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"генераторвљена","генератор","вљена","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"генератористражитељ","генератор","истражитељ","unrelated","word","word",0.440017348641726,0.174390431193156,0.963609489418923,0.221067178179679,19,19,20,0,0.95,19,20,0,0.95,FALSE,FALSE,FALSE
"генераторреактор","генератор","реактор","related","word","word",0.687222419956772,-0.22428206389161,0.65395303281507,0.16884994701964,15,15,16,0,0.9375,14,16,0,0.875,FALSE,FALSE,FALSE
"генијенаучник","геније","научник","related","word","word",0.528391920739854,-0.654008980670182,0.522825266156906,0.0954543973025933,30,32,32,2,1,32,32,2,1,FALSE,FALSE,FALSE
"генијеспрабрење","геније","спрабрење","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"генијетунел","геније","тунел","unrelated","word","word",0.403424588326737,-0.465254943001801,0.619910698922583,0.186910108350289,11,11,11,1,1,10,11,1,0.909090909090909,FALSE,FALSE,FALSE
"геовванземаљски","геов","ванземаљски","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"геовогледаја","геов","огледаја","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гестможбра","гест","можбра","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гестчин","гест","чин","related","word","word",0.467723973972264,-0.847325006889534,0.362570337712118,0.0631153945079912,33,36,39,0,0.923076923076923,33,39,0,0.846153846153846,FALSE,FALSE,FALSE
"гестчудан","гест","чудан","unrelated","word","word",0.458337619919656,-0.578683810578806,0.75074809623089,0.160060031919037,22,23,23,0,1,19,23,0,0.826086956521739,FALSE,FALSE,FALSE
"главни градград","главни град","град","related","word","word",NA,-1.0033531423688,0.288908009458448,0.0536488705184455,29,32,32,0,1,31,32,0,0.96875,FALSE,FALSE,FALSE
"главни градлетро","главни град","летро","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"главни градромантичан","главни град","романтичан","unrelated","word","word",NA,-0.502228671746021,0.453886191324691,0.136851835831588,11,12,12,0,1,12,12,0,1,FALSE,FALSE,FALSE
"гладжеђ","глад","жеђ","related","word","word",0.499496854067138,-0.851804208681038,0.450886482061607,0.150295494020536,9,10,11,0,0.909090909090909,10,11,0,0.909090909090909,FALSE,FALSE,FALSE
"гладзуб","глад","зуб","unrelated","word","word",0.397967612765942,-0.63761694183958,0.605019076555462,0.138800895453661,19,21,21,0,1,21,21,0,1,FALSE,FALSE,FALSE
"гладпуистока","глад","пуистока","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"глађатјесен","глађат","јесен","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"глађатмруб","глађат","мруб","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"глаљуди","гла","људи","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гламкадежиш","гламка","дежиш","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гламкадрога","гламка","дрога","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гласакценат","глас","акценат","related","word","word",0.46930807043704,-0.327482275934808,0.766786591652962,0.175912908646171,19,22,22,1,1,21,22,1,0.954545454545455,FALSE,FALSE,FALSE
"гласенергија","глас","енергија","unrelated","word","word",0.291054740155037,-0.716930422310379,0.453350553902382,0.0872473547776021,27,28,30,0,0.933333333333333,28,29,1,0.96551724137931,FALSE,FALSE,FALSE
"глассповаћа ситингс","глас","споваћа ситингс","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"глашкослов","гла","шкослов","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"глежнеправедан","глеж","неправедан","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"глежстварцедура","глеж","стварцедура","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"глузавозитиблдор","глуза","возитиблдор","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"глузаплесати","глуза","плесати","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гнездојаје","гнездо","јаје","related","word","word",0.583178479340135,-0.930430977701435,0.55728883270883,0.113756106623991,24,27,28,0,0.964285714285714,28,28,0,1,FALSE,FALSE,FALSE
"гнездопарадајз","гнездо","парадајз","unrelated","word","word",0.505022075065553,-0.469294645718237,0.477383907446881,0.11934597686172,16,18,18,1,1,18,18,1,1,FALSE,FALSE,FALSE
"гнездополинстан","гнездо","полинстан","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гнесордужност","гнесор","дужност","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гнесорклоки","гнесор","клоки","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гнестомама","гнесто","мама","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гнестонасле","гнесто","насле","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гобверодостан","гоб","веродостан","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гобђаво","гоб","ђаво","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"говорморнарица","говор","морнарица","unrelated","word","word",0.252966465724902,-0.142641508983193,0.594695408897069,0.114449184804186,27,32,35,2,0.914285714285714,34,35,2,0.971428571428571,FALSE,FALSE,FALSE
"говорпроповед","говор","проповед","related","word","word",0.517522525741345,0.382447196770171,0.733788799653612,0.221245647619664,11,11,13,0,0.846153846153846,13,13,0,1,FALSE,FALSE,FALSE
"говоррајвид","говор","рајвид","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гогонгорила","гогон","горила","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гогонурекол","гогон","урекол","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"годистранцавозити се","годистранца","возити се","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"годистранцаумреција","годистранца","умреција","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"годишњицапоздравити","годишњица","поздравити","unrelated","word","word",0.463069519630991,-0.230419892447394,0.715354296097307,0.238451432032436,9,9,9,0,1,9,9,0,1,FALSE,FALSE,FALSE
"годишњицарођендан","годишњица","рођендан","related","word","word",0.642696761056509,-0.660053274752742,0.38158829101318,0.115053198698515,11,13,13,1,1,14,14,0,1,FALSE,FALSE,FALSE
"годишњицасканзде","годишњица","сканзде","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"голфаутобус","голф","аутобус","unrelated","word","word",0.441033557089414,-0.848701576426587,0.28903390159815,0.0834369004463098,12,12,12,0,1,12,12,0,1,FALSE,FALSE,FALSE
"голфпознаоћи","голф","познаоћи","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"голфтенис","голф","тенис","related","word","word",0.641148917989823,-0.97589323538499,0.222401225782632,0.0574237495754832,15,15,15,0,1,14,15,0,0.933333333333333,FALSE,FALSE,FALSE
"гомилавероберасти","гомила","вероберасти","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гомилакапетан","гомила","капетан","unrelated","word","word",0.304871828731998,-0.627067990839172,0.350463194853763,0.116821064951254,9,10,10,0,1,10,10,0,1,FALSE,FALSE,FALSE
"гомилапублика","гомила","публика","related","word","word",0.43124414671122,-0.776434977373266,0.35718171514076,0.0990643837383219,13,16,16,0,1,16,16,0,1,FALSE,FALSE,FALSE
"гоњацвеома","гоњац","веома","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гоњацироникaдa","гоњац","ироникaдa","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"госдоушник","гос","доушник","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"господиндама","господин","дама","related","word","word",0.395344834941469,-0.771044810588563,0.492467944489313,0.11011918006177,20,21,21,0,1,21,21,0,1,FALSE,FALSE,FALSE
"господинепидемија","господин","епидемија","unrelated","word","word",0.366137193409036,-0.202510327525683,0.735024629148952,0.221618264232473,11,12,13,1,0.923076923076923,13,13,1,1,FALSE,FALSE,FALSE
"господинпацам","господин","пацам","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"госпоквихкеса","госпоквих","кеса","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"госпоквихнауспех","госпоквих","науспех","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"госпретресђен","гос","претресђен","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гостопримлностадреса","гостопримлност","адреса","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гостопримлностамени","гостопримлност","амени","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гостопримствозахвалност","гостопримство","захвалност","related","word","word",0.628309508070482,-0.526992737604314,0.348645347932296,0.0821764965840233,18,20,20,0,1,19,20,0,0.95,FALSE,FALSE,FALSE
"гостопримствонаграда","гостопримство","награда","unrelated","word","word",0.504012907828141,-0.336026972552083,0.876815140737804,0.234338703441203,14,14,14,1,1,12,14,1,0.857142857142857,FALSE,FALSE,FALSE
"гостопримствонемопред","гостопримство","немопред","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гошајвеударца","гошај","веударца","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"гошајелектричан","гошај","електричан","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"грxoпогубљење","грxo","погубљење","nonword","nonword","word",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"грxoполојент","грxo","полојент","nonword","nonword","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"грађевинабитка","грађевина","битка","unrelated","word","word",0.483775291102837,-0.738738366978212,0.479800134668717,0.110073700006218,19,19,19,0,1,16,18,1,0.888888888888889,FALSE,FALSE,FALSE
"грађевинаградити","грађевина","градити","related","word","word",0.586697404735831,-0.488801134041209,0.415380175441862,0.0906433855307795,21,24,24,1,1,23,24,1,0.958333333333333,FALSE,FALSE,FALSE
"грађевиназаман","грађевина","заман","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"грехзлочин","грех","злочин","related","word","word",0.519964941260203,-0.631241533272646,0.407140072276344,0.0743332672166791,30,32,33,1,0.96969696969697,29,33,1,0.878787878787879,FALSE,FALSE,FALSE
"грехстолица","грех","столица","unrelated","word","word",0.422629589177091,-0.888272295223818,0.269569863653319,0.0898566212177731,9,10,10,0,1,10,10,0,1,FALSE,FALSE,FALSE
"грехтабет","грех","табет","nonword","word","nonword",0.584710982607377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"грипболест","грип","болест","related","word","word",0.471165912247722,-0.782526785284893,0.637463077731718,0.19220234968557,11,11,11,0,1,10,11,0,0.909090909090909,FALSE,FALSE,FALSE
"грипнаука","грип","наука","unrelated","word","word",0.440383581764514,-0.794581631332894,0.491127022478376,0.173639624009209,8,9,10,0,0.9,9,10,0,0.9,FALSE,FALSE,FALSE
