"sv_target","sv_cue","sv_fake_cue","sv_fake_target","en_cue","en_target"
"ljus","lampa","virpa","sâus","lamp","candle"
"locka till sig","uppmärksamhet","uppskattsamhet","locka tilrolls","attention","attract"
"löfte","garanti","gaskepti","kapte","guarantee","promise"
"lögnare","lögn","lörv","längsre","lie","liar"
"löjtnant","sergeant","sertellt","loppnant","sergeant","lieutenant"
"lök","vitlök","vitbur","urk","garlic","onion"
"lokal","regional","regioterus","lobåt","regional","local"
"lön","pension","penhand","sén","pension","salary"
"lopp","maraton","marabatt","lotu","marathon","race"
"lösen","kidnappare","brännnappare","löpar","kidnapper","ransom"
"lösenord","koda","lända","lösnärjd","code","password"
"lugna","tyst","älst","gårna","quiet","calm"
"lukt","smak","smps","yskt","taste","smell"
"lunch","mellanmål","meldersmål","luceh","snack","lunch"
"lyckas","hantera","stratera","henkas","manage","succeed"
"lycklig","nöjd","ämjd","funklig","satisfied","happy"
"majonnäs","ketchup","keruhup","majontall","ketchup","mayonnaise"
"maktlös","hjälplös","elektlös","kökslös","helpless","powerless"
"målare","konstnär","konstlit","dubblare","artist","painter"
"måltid","mat","ynt","nödtid","food","meal"
"mamma","pappa","ungpa","ljuma","daddy","mum"
"manipulera","kontrollera","konningslera","manipuleravenscroft","control","manipulate"
"människor","befolkning","bebrytning","männifisk","population","people"
"mänsklig","man","tán","vinstlig","man","human"
"marin","marin","malag","malag","marine","navy"
"marknadsföring","reklam","rehelm","trollnadsföring","advertising","marketing"
"maskin","robot","rogig","mading","robot","machine"
"massage","yoga","dumga","massern","yoga","massage"
"mästerskap","konkurrens","konkursion","mästervjun","competition","championship"
"match","turnering","turneteck","mapph","tournament","match"
"matematik","fysik","fyban","matemaplats","physics","mathematics"
"matta","golv","goug","sinta","floor","carpet"
"maximal","minimum","minibiff","maxigård","minimum","maximum"
"medalj","trofé","inofé","megels","trophy","medal"
"medaljong","artefakt","artesync","medalseus","artifact","medallion"
"meddelande","varning","dömning","meddelandeståndskrav","warning","message"
"medkänsla","tålamod","tålasans","medskylla","patience","compassion"
"mekanisk","teknisk","brenisk","mekapell","technical","mechanical"
"mening","ord","eed","medags","word","sentence"
"metall","järn","zern","merano","iron","metal"
"meter","kilometer","pussmeter","merad","kilometer","meter"
"metod","metod","melab","merät","method","technique"
"middag","midnatt","midtärt","häldag","midnight","noon"
"mikrofon","kamera","kameravenscroft","langrofon","camera","microphone"
"mikroskop","teleskop","tedeshow","mikrolekt","telescope","microscope"
"mild","mjuk","mjao","mitz","soft","gentle"
"militär","civil","cipos","milikans","civil","military"
"miljard","miljon","milche","miljean","million","billion"
"minister","ambassadör","ambassaroyan","mipunkter","ambassador","minister"
"minska","öka","gna","tyngka","increase","reduce"
"minus","plus","irus","misky","plus","minus"
"minut","andra","shera","mirak","second","minute"
"missil","raket","rativ","misfot","rocket","missile"
"misstag","fel","ndl","missbok","error","mistake"
"misstänka","tvivel","slyvel","framtänka","doubt","suspect"
"mjöl","spannmål","blankmål","mjlm","grain","flour"
"modig","ädel","ssel","molad","noble","brave"
"möjlighet","chans","ovans","tranlighet","chance","possibility"
"mörda","självmord","självgers","unida","suicide","murder"
"mördare","legosoldat","legolightdat","ljusdare","mercenary","assassin"
"mördare","mördare","folkdare","ljusdare","killer","murderer"
"morfin","aspirin","svimrin","morbro","aspirin","morphine"
"morgon","i morgon","i mopran","morlie","tomorrow","morning"
"mörk","skugga","spetga","hark","shadow","dark"
"mormor","farfar","uppfar","bavmor","grandfather","grandmother"
"möte","konferens","konfebryg","burte","conference","meeting"
"motell","hotell","hosteg","mofolk","hotel","motel"
"motor","tank","tasy","molan","tank","engine"
"motorväg","väg","öng","motorchen","road","highway"
"motsats","motsatt","motfest","passats","opposite","contrary"
"motståndare","fiende","fiendeståndskrav","motlovordare","enemy","opponent"
"museum","bibliotek","bibliobrist","museball","library","museum"
"musik","jazz","jaiv","mugör","jazz","music"
"musiker","sångare","bränare","musition","singer","musician"
"muskel","nerv","neej","kankel","nerve","muscle"
"mutation","evolution","evolustre","mutalang","evolution","mutation"
"mycket","ytterst","ytbergs","kvoket","extremely","very"
"myra","bi","py","finra","bee","ant"
"mysterium","hemlighet","misslighet","smittrium","secret","mystery"
"nacke","hals","hark","pråke","throat","neck"
"någonsin","aldrig","döprig","nålättsin","never","ever"
"någonstans","någon annanstans","någon annaschild","någonskott","elsewhere","somewhere"
"något","ingenting","ridgeting","nådad","nothing","something"
"naken","naken","nator","nator","nude","naked"
"näsa","mun","ämn","vatsa","mouth","nose"
"näsduk","trasa","matsa","näspaj","cloth","handkerchief"
"nation","land","laco","nalist","country","nation"
"nederlag","seger","selan","nederment","victory","defeat"
"negativ","positiv","posidans","negareth","positive","negative"
"nervös","orolig","särlig","nernil","worried","nervous"
"nödsituation","brådskande","överskande","strattuation","urgent","emergency"
"norr","söder","sökas","noey","south","north"
"nyheter","kanal","karis","nyhening","channel","news"
"nyligen","bara","konra","nylitisk","just","recently"
"oansvarig","orimlig","oöpplig","köttsvarig","unreasonable","irresponsible"
"obehaglig","obekväm","obekelt","obedentlig","uncomfortable","unpleasant"
"öde","öde","gne","gne","fate","destiny"
"ödla","groda","vecda","mynla","frog","lizard"
"officiell","officiellt","officitions","officistånd","officially","official"
"oförmögen","oförmåga","oförbuya","oförqueen","inability","unable"
"ofta","ibland","zoland","rytta","sometimes","often"
"okänd","anonym","anoraj","yuänd","anonymous","unknown"
"oktober","september","sepvästber","oktograf","september","october"
"öl","dryck","drésk","nz","drink","beer"
"olja","kol","ãll","bakja","coal","oil"
"olycka","incident","incision","flufka","incident","accident"
"olycka","olyckligt","checkligt","flufka","unfortunate","misfortune"
"omkrets","radie","ramad","omderns","radius","perimeter"
"önskar","önskan","grukan","alakar","desire","wish"
"öra","öga","äpa","aia","eye","ear"
"orange","grön","grud","spenge","green","orange"
"orättvis","orättvisa","fransvisa","trängvis","injustice","unfair"
"organisera","ordna","tiona","organiseravenscroft","arrange","organize"
"orm","mask","ansk","eam","worm","snake"
"oroa","oro","ino","oruo","concern","worry"
"orsak","anledning","anledvärk","orrit","reason","cause"
"ost","bröd","brnz","tht","bread","cheese"
"öst","väst","inst","ekt","west","east"
"oväntat","plötsligt","preusligt","jeantat","suddenly","unexpectedly"
"överdriva","underskattar","unfåntrattar","slavdriva","underestimate","exaggerate"
"överföra","flytta","lantta","nadsföra","move","transfer"
"överge","lämna","natna","dersge","leave","abandon"
"överleva","leva","lelet","handleva","live","survive"
"överste","allmän","nermän","adelste","general","colonel"
"övervaka","skärm","skram","kärnvaka","screen","monitor"
"övning","öva","kåa","övrats","practice","exercise"
"övre","lägre","bräre","fakre","lower","upper"
"paket","kuvert","kugörs","patro","envelope","package"
"pappa","farbror","farbaum","ungpa","uncle","dad"
"paragraf","sektion","ruption","paralöst","section","paragraph"
"paranormal","övernaturlig","slappnaturlig","paranorgiskt","supernatural","paranormal"
"parfym","läppstift","värnstift","paresn","lipstick","perfume"
"partikel","materia","mategång","misstikel","matter","particle"
"pass","biljett","billern","låss","ticket","passport"
"passion","entusiasm","entusirengi","mension","enthusiasm","passion"
"påstående","kommentar","kombrottar","påståendeståndskrav","comment","statement"
"patetisk","eländig","flocdig","patebjud","miserable","pathetic"
"patrullera","vakt","vatö","patrulleravenscroft","guard","patrol"
"pengar","kontanter","smältanter","sperar","cash","money"
"penis","vagina","vamarkna","pelev","vagina","penis"
"penna","papper","ungper","morna","paper","pen"
"perfekt","idealisk","ideaprov","perförd","ideal","perfect"
"period","fas","aks","periding","phase","period"
"personlighet","karaktär","karakrett","perohygglighet","character","personality"
"perspektiv","se","bö","perrongtiv","view","perspective"
"piller","läsplatta","blåslagta","redler","tablet","pill"
"pilot","astronaut","astrofrey","piing","astronaut","pilot"
"pistol","gevär","geang","piellt","rifle","gun"
"placera","status","stamal","livscera","status","position"
"plånbok","ficka","sjaka","elasbok","pocket","wallet"
"planera","förberedelse","förberevanschse","livsnera","preparation","planning"
"plast","cement","cerats","hiast","cement","plastic"
"plats","plats","irats","våats","place","location"
"plikt","ansvar","antral","våikt","responsibility","duty"
"pojke","flicka","lillka","äreke","girl","boy"
"poker","spelande","spelandeståndskrav","poste","gambling","poker"
"politik","journalistik","journaliknapp","polikort","journalism","politics"
"politiker","politik","poligens","polititions","policy","politician"
"politisk","kritisk","cartisk","poligens","critical","political"
"port","portal","spatal","poin","portal","gate"
"praktiskt taget","bokstavligen","bokegentligen","praktiskt tterus","literally","practically"
"präst","munk","muls","prnot","monk","priest"
"predikan","tal","rul","prediosta","speech","sermon"
"president","kansler","kvadler","presiprov","chancellor","president"
"prestanda","show","shär","prekvävda","show","performance"
"prickskytt","skytte","gottte","brookskytt","shooter","sniper"
"primär","sekundär","sekunstöd","priruk","secondary","primary"
"prins","prinsessa","korssessa","nkins","princess","prince"
"pris","nobel","noria","nois","nobel","prize"
"pris","bonus","boibs","nois","bonus","reward"
"pris","värde","kride","nois","value","price"
"problem","problem","promans","protivt","trouble","problem"
"procedur","bearbeta","bearbetalangscout","proceröst","process","procedure"
"producera","skapa","vatpa","produceravenscroft","create","produce"
"produkt","varumärke","varutinåtke","prodeau","brand","product"
"produktion","fabrik","fatråd","produkland","factory","production"
"professionell","amatör","fastör","professiostånd","amateur","professional"
"professor","dekanus","dekadrag","profestens","dean","professor"
"program","projekt","proseln","prodjur","project","program"
"promenad","tupplur","gulllur","prometers","nap","stroll"
"promenad","springa","luringa","prometers","run","walk"
"protokoll","regel","reers","protorikt","rule","protocol"
"prototyp","modell","mopers","protomart","model","prototype"
"psykologi","anatomi","kryptomi","hjärnkologi","anatomy","psychology"
"psykologisk","medicinsk","medirentz","psykolokraft","medical","psychological"
"publik","folkmassan","ljusmassan","publjo","crowd","audience"
"räddare","hjälte","sällte","fackdare","hero","savior"
"rädsla","skräck","skräng","klisla","horror","fear"
"rån","stöld","rpöld","orn","theft","robbery"
"råna","stjäla","säckla","vänna","steal","rob"
"rasa","ilska","barka","radis","anger","rage"
"råtta","mus","eys","växta","mouse","rat"
"rättegång","hörsel","sjusel","rättetivt","hearing","trial"
"rättslig","olaglig","vraklig","tröttlig","illegal","legal"
"rättvisa","hämnd","häckd","nordvisa","revenge","justice"
"reaktor","generator","generaments","reakfast","generator","reactor"
"realistiskt","optimistisk","optimisfullt","realisskydd","optimistic","realistic"
"regering","administrering","adminitowocsring","regevärs","administration","government"
"religion","filosofi","filosokväll","religinellt","philosophy","religion"
"rep","kedja","fräja","omp","chain","rope"
"reparera","fixera","lyckera","repareravenscroft","fix","repair"
"restaurang","pub","umb","restaujett","pub","restaurant"
"resultat","resultat","reklamtat","reklamtat","result","outcome"
"resväska","portfölj","portwalk","slagväska","briefcase","suitcase"
"rida","kör","târ","rinen","drive","ride"
"rik","fattig","virtig","msk","poor","rich"
"rike","kunglig","bomblig","rison","royal","kingdom"
"rikedom","skatt","skydt","rikedomstolstrots","treasure","wealth"
"rimlig","rättvist","rättcott","idilig","fair","reasonable"
"rimlig","förklaring","förklagomå","idilig","explanation","plausible"
"rolig","kvick","odick","roset","witty","funny"
"rom","kejsar","hipsar","eam","caesar","rome"
"romantisk","dramatisk","dramakers","romanlagt","dramatic","romantic"
"rösta","majoritet","majorikansk","vadta","majority","vote"
"rotera","sväng","svagg","roteravenscroft","turn","rotate"
"röva bort","kidnappa","styrnappa","röva triks","kidnap","abduct"
"rovdjur","byte","klte","leadjur","prey","predator"
"runt om","runda","kvada","runtikt","round","around"
"rustning","skydda","släkda","bartning","shield","armor"
"rykte","karriär","karlits","blite","career","reputation"
"så småningom","till sist","tilldelst","bruståningom","finally","eventually"
"sabotage","spionage","spiokorg","sabohopp","espionage","sabotage"
"säga","säga","marga","marga","say","tell"
"säkerhet","säkerhet","säsynthet","säsynthet","security","safety"
"säkra","säker","sänas","vålra","safe","secure"
"sälja","köpa","prepa","hugja","buy","sell"
"sallad","soppa","buspa","brilad","soup","salad"
"sällan","ibland","zoland","anilan","occasionally","rarely"
"samla","samla","förla","förla","collect","gather"
"samuraj","ninja","häsja","samuquez","ninja","samurai"
"sand","lera","leten","satö","mud","sand"
"sändare","sensor","senträ","britdare","sensor","transmitter"
"säng","soffa","åsifa","säre","sofa","bed"
"sås","grädde","snäcde","efs","cream","sauce"
"satellit","radar","ramel","satelkern","radar","satellite"
"sätta","föra in","förwait","gynta","insert","put"
"schema","kalender","kafröjder","svanma","calendar","schedule"
"segla","ankare","stickare","astla","anchor","sail"
"semester","jul","yll","sefullter","christmas","holiday"
"senat","parlament","parlagårn","serik","parliament","senate"
"senator","guvernör","guvergels","senalist","governor","senator"
"servitris","servitör","servirung","servibert","waiter","waitress"
"signal","frekvens","frederns","fannal","frequency","signal"
"signatur","stämpel","stämski","signasion","stamp","signature"
"silver","gyllene","churlene","ranver","golden","silver"
"simma","drunkna","friskna","herma","drown","swim"
"sista","först","föght","sitja","first","last"
"sitta","stå","nyå","bauta","stand","sit"
"självisk","envis","enten","främvisk","stubborn","selfish"
"självklart","klart","byart","stallklart","clearly","obviously"
"sjö","flod","flär","kuö","river","lake"
"sjöman","pirat","pisto","garman","pirate","sailor"
"sjuk","sjuk","sjic","sjlf","ill","sick"
"sjukdom","influensa","instinkensa","sjukpas","flu","disease"
"skada","sår","lör","vatda","wound","injury"
"skådespelare","författare","förstärktare","skådespelareklamsnub","author","actor"
"skägg","hår","lör","skipg","hair","beard"
"skalle","ben","lán","brölle","bone","skull"
"skämt","lura","grera","skaet","trick","joke"
"skandal","skvaller","skuggler","kvindal","gossip","scandal"
"skåpbil","trailer","kräkler","showbil","trailer","van"
"skära","riva","ridik","gröra","tear","cut"
"skicka","föra","samra","smarka","bring","send"
"skjuta","skott","skist","slavta","shot","shoot"
"sko","känga","yunga","ano","boot","shoe"
"skog","djungel","flingel","skrl","jungle","forest"
"skola","klass","trass","plala","class","school"
"sköldpadda","snigel","lörgel","slängpadda","snail","turtle"
"skön","söt","lvt","skjs","pretty","beautiful"
"skönhet","charm","pearm","sinthet","charm","beauty"
"skrämma","skrämma","skulpma","stripma","scare","frighten"
"skratt","leende","leendeståndskrav","abratt","smile","laugh"
"skriva","läsa","bassa","krypva","read","write"
"skrivning","läsning","bayning","startning","reading","writing"
"skydd","tillflykt","tillfylld","haydd","refuge","shelter"
"skyldig","oskyldig","spilldig","stötdig","innocent","guilty"
"slagfält","arena","oorna","slagveln","arena","battlefield"
"slang","pump","punc","kiang","pump","hose"
"slåss","krig","krym","slabs","war","battle"
"slicka","suga","marga","grilka","suck","lick"
"slips","binda","popda","slbbs","bind","tie"
"slott","palats","palong","slumt","palace","castle"
"sluta","förhindra","förstärra","tävta","prevent","stop"
"slutlig","slutlig","slutsum","slutsce","final","ultimate"
"små","liten","lians","årå","little","small"
"smärta","lidande","lidandeståndskrav","snabta","suffering","pain"
"smör","honung","honaut","smoe","honey","butter"
"smutta","släppa","snobpa","prätta","drop","sip"
"snabb","långsam","långhus","riabb","slow","fast"
"snabbt","långsamt","långtids","snaboh","slowly","quickly"
"snö","regn","reor","piö","rain","snow"
"snuskig","otäck","otryk","förskig","nasty","filthy"
"soda","citronsaft","citingsajt","lörda","lemonade","soda"
"sol","måne","karne","ndl","moon","sun"
"sol","mån","afn","ndl","lunar","solar"
"sömn","resten","giften","söeu","rest","sleep"
"son","dotter","alater","ean","daughter","son"
"sond","kapsel","syssel","zand","capsule","probe"
"söndag","lördag","makdag","taldag","Saturday","Sunday"
"sopor","skräp","skdip","sohan","trash","garbage"
"söt","ljuv","ljfå","äst","sweet","cute"
"sovrum","rum","omm","sovtid","room","bedroom"
"spaghetti","lasagne","laanyone","apacherti","lasagna","spaghetti"
"spara","rädda","bacda","hänra","rescue","save"
"specialist","expert","exkast","speciaskepp","expert","specialist"
"spegel","reflexion","restånion","spevor","reflection","mirror"
"spektakulär","sensationell","sensatiostånd","brådstakulär","sensational","spectacular"
"spel","spela","hemla","luel","play","game"
"spela teater","gest","gemi","spela teslängd","gesture","act"
"spelare","tränare","hundnare","misslare","coach","player"
"spendera","avfall","avhjäl","nyckdera","waste","spend"
"spis","ugn","mrn","meis","oven","stove"
"sport","hobby","culby","spagt","hobby","sport"
"spruta","nål","ñol","stelta","needle","syringe"
"stå emot","motstånd","motplats","stå flyr","resistance","resist"
"stad","huvudstad","huvudlopp","strä","capital","city"
"staket","vägg","migg","parket","wall","fence"
"stål","betong","betrin","stac","concrete","steel"
"ständigt","alltid","färtid","spridigt","always","constantly"
"stånga","röv","juv","steega","ass","butt"
"stänga","öppet","öpmar","struga","open","close"
"stängd","låst","emst","strugd","locked","closed"
"stängning","öppning","himning","strafning","opening","closure"
"starkt","fast","fata","starlo","firmly","strongly"
"stat","statlig","elaslig","stri","federal","state"
"station","plattform","grottform","partion","platform","station"
"staty","monument","monufull","motty","monument","statue"
"sten","sten","roen","stri","rock","stone"
"stil","rytm","ryåg","stey","rhythm","style"
"stjärna","kändis","sovdis","smärtna","celebrity","star"
"stol","tabell","takarl","stac","table","chair"
"störa","avbryta","avundsta","känra","interrupt","disturb"
"storm","vind","pend","stanm","wind","storm"
"strålning","förorening","förorerats","gruppning","contamination","radiation"
"strategi","planen","skonen","brevtegi","plan","strategy"
"strejk","träffa","bråkfa","stresä","hit","strike"
"strukturera","pyramid","pyrahett","fjärrturera","pyramid","structure"
"studie","forskning","tjänsning","stuans","research","study"
"svag","stark","stonk","svet","strong","weak"
"svar","svar","utar","utar","answer","reply"
"svart","vit","pât","utart","white","black"
"symbol","flagga","pengga","symsea","flag","symbol"
"syn","uppenbarelse","uppenbalowskise","apn","revelation","vision"
"syndrom","symptom","symplah","oundrom","symptom","syndrome"
"syre","luft","luhe","borre","air","oxygen"
"systemet","nätverk","rayverk","systering","network","system"
"ta bort","eliminera","elimineravenscroft","ta frän","eliminate","remove"
"tacka","tacksam","känssam","kedka","grateful","thank"
"tacksamhet","gästfrihet","ryggfrihet","känssamhet","hospitality","gratitude"
"tala","prata","retta","tades","talk","speak"
"talang","potential","posubrutial","taalth","potential","talent"
"tallrik","skål","skau","triprik","bowl","plate"
"tand","nagel","naers","wend","nail","tooth"
"team","liga","komga","tela","league","team"
"teater","bio","peo","teagnos","cinema","theater"
"tecken","form","närm","mupken","form","sign"
"telefon","ring upp","ringsepp","telepers","call","telephone"
"temperatur","värme","disme","kraftperatur","heat","temperature"
"tennis","golf","hälf","undnis","golf","tennis"
"teori","aning","rring","teonens","idea","theory"
"testa","experimentera","experimenteravenscroft","camta","experiment","test"
"tidigt","sent","selö","tigast","late","early"
"tidning","artikel","artilöst","utening","article","newspaper"
"tidskrift","playboy","playfie","kreskrift","playboy","magazine"
"tillräcklig","tillräckligt","tillgripligt","tillosynlig","enough","sufficient"
"timer","detonator","detonamiskt","tivis","detonator","timer"
"tisdag","måndag","kapdag","rabdag","monday","tuesday"
"titel","namn","naab","tisan","name","title"
"tjänare","slav","slho","iaktnare","slave","servant"
"tjock","tunn","tude","tjuvk","thin","thick"
"tomat","potatis","potagram","torig","potato","tomato"
"tonåring","tonårs","tonhou","tonåters","teenage","teenager"
"tornado","orkan","orget","sjuknado","hurricane","tornado"
"törst","hunger","whiter","vrrst","hunger","thirst"
"tortyr","plåga","tävga","torsås","torment","torture"
"tråd","kabel","karis","trlå","cable","wire"
"träd","buske","temke","trhh","bush","tree"
"traditionell","modern","moplan","traditioplats","modern","traditional"
"träffa","ser","ñor","strofa","see","meet"
"tragisk","ledsen","blåsen","trapris","sad","tragic"
"tre","ett","årt","ewe","one","three"
"trevlig","bekväm","bekick","glenlig","comfortable","pleasant"
"triangel","cirkel","slakel","triströel","circle","triangle"
"trippel","dubbel","talbel","kapppel","double","triple"
"tro","förtroende","förtroendeståndskrav","ruo","trust","believe"
"tro","hoppas","flopas","ruo","hope","faith"
"trogen","lojala","losyssla","rurgen","loyal","faithful"
"troligt","sannolikhet","sannostolthet","litligt","probability","likely"
"trollkarl","magi","majen","trollsell","magic","wizard"
"tron","krona","gamna","hton","crown","throne"
"tror","överväga","järnväga","trel","consider","think"
"tryck","knapp","knowp","tripk","button","press"
"tryck","puls","puty","tripk","pulse","pressure"
"tugga","svälja","snurja","pojga","swallow","chew"
"tumme","finger","hårder","lågme","finger","thumb"
"tunnel","bro","nao","saknel","bridge","tunnel"
"tv","radio","rakal","kå","radio","television"
"tvätta","rena","repre","fältta","clean","wash"
"tvättbjörn","ekorre","ekvewire","tvättmjölk","squirrel","raccoon"
"tvinga","styrka","klarka","tvgiga","strength","force"
"tvist","konflikt","kontyckt","tvart","conflict","dispute"
"tystnad","tyst","älst","tändnad","silent","silence"
"underhåll","service","servald","undersett","service","maintenance"
"underrätta","rapportera","rapporteravenscroft","underrättalangscout","report","inform"
"undersöka","undersöka","undersökazakstans","undersökazakstans","examine","investigate"
"ung","gammal","gamtus","kog","old","young"
"unik","särskild","mobskild","blik","special","unique"
"universitet","högskola","blodskola","statsversitet","college","university"
"upp","ner","byr","nåp","down","up"
"uppdrag","uppgift","uppkant","upprigt","task","mission"
"uppfriska","färsk","hårsk","uppsmycka","fresh","refresh"
"upphetsad","stolt","strit","upphetligt","proud","excited"
"upprätthålla","bevara","bevaravenscroft","uppgångshålla","preserve","maintain"
"uppsägning","avgång","avmans","uppsägbart","resignation","dismissal"
"uppskatta","beundra","befostra","upphjärta","admire","appreciate"
"urin","blod","blft","urqu","blood","urine"
"ursäkt","förlåta","brevlåta","ursugn","forgive","excuse"
"utbildning","hälsa","pensa","utfattning","health","education"
"utmaning","hinder","rocder","utmakers","obstacle","challenge"
"utomjording","ufo","mmo","utmordspakt","ufo","alien"
"utpressning","muta","benta","utchansning","bribe","blackmail"
"utrusta","utrustning","utteckning","utslagta","equipment","equip"
"utskott","provision","provifall","utsvult","commission","committee"
"utsökt","gott","uitt","utpigt","tasty","delicious"
"utställning","galleri","stråleri","utgångsning","gallery","exhibition"
"uttrycka","beskriva","bekantva","utflaska","describe","express"
"utvärdering","observation","observarulvs","utvärdestruk","observation","evaluation"
"utveckling","framsteg","frammets","utfrämling","progress","development"
"vaccin","motgift","motfart","sälcin","antidote","vaccine"
"väg","rutt","rumä","idg","route","path"
"val","kampanj","kamvänt","ail","campaign","election"
"välj","välja","uppja","väyt","choose","select"
"väljare","kandidat","byggdidat","stödjare","candidate","voter"
"vampyr","zombie","fitbie","vambik","zombie","vampire"
"vän","kollega","sjuklega","sén","colleague","friend"
"vanilj","kanel","kalos","vavalt","cinnamon","vanilla"
"vänlig","artig","argen","kralig","polite","friendly"
"vanliga","vanlig","sedlig","blodliga","ordinary","usual"
"vanligt","hälsosam","hälsotern","domligt","healthy","normal"
"vanligtvis","i vanliga fall","i vanligfyllts","vantändvis","normally","usually"
"vänskap","relation","relagets","träskap","relationship","friendship"
"vänster","höger","hölan","svärter","right","left"
"vapen","pistol","piellt","vasar","pistol","weapon"
"värdelös","onyttig","hosttig","värdeacon","useless","worthless"
"värdig","förtjänar","försvarnar","kridig","deserve","worthy"
"värdighet","stolthet","strächet","dödsdighet","pride","dignity"
"varelse","monster","arvster","vationse","monster","creature"
"varg","björn","bjtan","vajt","bear","wolf"
"varje vecka","dagligen","järnligen","varje veronds","daily","weekly"
"värld","internationell","internatiotjänst","väted","international","world"
"väska","låda","finda","ameka","box","bag"
"västra","sydlig","viklig","brotra","southern","western"
"våt","torr","tohe","rgt","dry","wet"
"väte","kol","ãll","frite","carbon","hydrogen"
"vätska","flytande","flytandeståndskrav","oändka","liquid","fluid"
"vävnad","hud","ådd","telnad","skin","tissue"
"vecka","månad","mågor","turka","month","week"
"ventilation","ventil","vendus","ventilaments","valve","ventilation"
"venus","mars","mane","vegen","mars","venus"
"verklig","sann","samg","fentlig","TRUE","real"
"verkligen","faktiskt","epitiskt","spelligen","actually","really"
"vetenskap","teknologi","brännnologi","vetendigt","technology","science"
"video","dvd","ömd","visör","dvd","video"
"viktig","värdefullt","värdefence","boltig","valuable","important"
"vinna","få","sé","grana","gain","win"
"vinnare","förlorare","ögonglorare","slagnare","loser","winner"
"vinter","sommar","walmar","torter","summer","winter"
"vissla","horn","hofe","torsla","horn","whistle"
"visste","känna igen","känna caid","westte","recognize","knew"
"vitamin","protein","proteinbrottslarm","vitabelt","protein","vitamin"
"vittnesbörd","bevittna","berömdna","vittnesvitt","witness","testimony"
"vodka","whisky","pricky","fänka","whiskey","vodka"
"watson","sherlock","sherlagt","kocson","sherlock","watson"
"webb","internet","intertrak","wecs","internet","web"
"yta","lager","lalan","aia","layer","surface"
"ytterligare","extra","exbod","ytterligareklamsnub","extra","additional"
"zon","område","områdeståndskrav","kén","area","zone"
