pt_cue,pt_target,type,cue_type,target_type,pt_br_cosine
tubarão,senha,unrelated,word,word,0.139044254086308
caçando,colapso,unrelated,word,word,0.0851414617785912
planta,acordo,unrelated,word,word,0.145491017323613
terra,estilo,unrelated,word,word,0.0433074388994415
força,café,unrelated,word,word,0.0457558978898587
eterno,transferir,unrelated,word,word,0.0855168056714935
conspiração,mau,unrelated,word,word,0.0971321669298388
grátis,lá,unrelated,word,word,0.110234498912783
inglês,reduzir,unrelated,word,word,0.0790870670406707
susto,fraco,unrelated,word,word,0.138360730915793
maçã,despido,unrelated,word,word,0.140687113318737
jogar,fax,unrelated,word,word,0.131567827169533
coletar,silêncio,unrelated,word,word,0.0398415393486853
suave,vencedora,unrelated,word,word,0.115406184722937
rapazes,monitor,unrelated,word,word,0.062093866596406
nacional,cópia,unrelated,word,word,0.0913450960652458
entrar,pescoço,unrelated,word,word,0.0908317020042869
diploma,herdar,unrelated,word,word,0.134533659423392
quilo,íntimo,unrelated,word,word,0.118299559178647
excelente,banda,unrelated,word,word,0.100746987514809
rifle,carta,unrelated,word,word,0.0714818865803237
sanduíche,usar,unrelated,word,word,0.0780394648507738
bastão,conheça,unrelated,word,word,0.095812838168282
pano,terça,unrelated,word,word,0.062985149951019
baía,empréstimo,unrelated,word,word,0.0623528332756867
base,elétrico,unrelated,word,word,0.03978423505378
baixo,confessar,unrelated,word,word,0.0998792469605343
majestade,dedão,unrelated,word,word,0.118001216488408
estrada,ato,unrelated,word,word,0.0726350719175826
rachadura,psicologia,unrelated,word,word,0.137093910674728
natal,armaria,unrelated,word,word,0.0649029841107856
decente,dispositivo,unrelated,word,word,0.12909642115236
terrível,líder,unrelated,word,word,0.118004529511956
bombear,ajudar,unrelated,word,word,0.145707016600408
carbono,abrigo,unrelated,word,word,0.0347929708214272
lucro,escrevendo,unrelated,word,word,0.126458448876571
dados,absurdo,unrelated,word,word,0.0448406484694157
herança,julho,unrelated,word,word,0.115916451049491
dose,documento,unrelated,word,word,0.0396565002676618
ferramenta,bêbado,unrelated,word,word,0.104236948118056
excitante,diretamente,unrelated,word,word,0.0532824540554852
instinto,escola,unrelated,word,word,0.0533762624690494
finança,suspeito,unrelated,word,word,0.113878220378035
examinar,sim,unrelated,word,word,0.14136064499491
irracional,álibi,unrelated,word,word,0.138634153472932
truque,indicar,unrelated,word,word,0.0921560779886962
repórter,nadar,unrelated,word,word,0.0651222143140266
prazer,local,unrelated,word,word,0.0330168103925555
leite,testemunho,unrelated,word,word,0.123093607008309
romeu,conteúdo,unrelated,word,word,0.0740334332651654
junho,crueldade,unrelated,word,word,0.0560518252415777
vingança,algodão,unrelated,word,word,0.0267872426989979
envenenar,declaração,unrelated,word,word,0.0939017188161785
rainha,refrigerante,unrelated,word,word,0.0861493171157006
real,preço,unrelated,word,word,0.120179973296872
experiência,gravata,unrelated,word,word,0.147029080642134
senhor,privacidade,unrelated,word,word,0.117092506613078
rio,pó,unrelated,word,word,0.104849363692535
inquilino,traseiro,unrelated,word,word,0.128356463135569
primeiro,ofender,unrelated,word,word,0.135284660110463
sorrir,tratamento,unrelated,word,word,0.11491544456306
membro,final,unrelated,word,word,0.0618746857313306
seminário,carne de boi,unrelated,word,word,
mito,exibição,unrelated,word,word,0.108121059926784
tamanho,desconhecido,unrelated,word,word,0.0805608142908216
permitir,inferno,unrelated,word,word,0.129412048864127
probabilidade,preparar,unrelated,word,word,0.115527574927707
táxi,modesto,unrelated,word,word,0.124327517985063
dragão,ausência,unrelated,word,word,0.0701730045209483
rim,tchau,unrelated,word,word,0.116664336242762
rã,quarto,unrelated,word,word,0.0728766467692475
regional,bolo,unrelated,word,word,0.148127279292834
solitário,fluido,unrelated,word,word,0.0725754091661221
curto,massagem,unrelated,word,word,0.120210153855351
odiar,ter sucesso,unrelated,word,word,
robô,usualmente,unrelated,word,word,0.0409870717067058
playboy,zona,unrelated,word,word,0.0957997242101468
babá,importância,unrelated,word,word,0.0336289866504935
bússola,gravidez,unrelated,word,word,0.147644140311469
divórcio,perigoso,unrelated,word,word,0.0706710073804444
solteiro,posição,unrelated,word,word,0.11518347142809
ioga,túnel,unrelated,word,word,0.0340960403297241
xerife,planejamento,unrelated,word,word,0.142389841810009
comida,comissário,unrelated,word,word,0.0944194075881241
carne de porco,partida,unrelated,word,word,
troféu,raptar,unrelated,word,word,0.147952312899355
artefato,frio,unrelated,word,word,0.127232909727232
conferência,agressor,unrelated,word,word,0.051606100239765
ferro,egoísta,unrelated,word,word,0.135775850139527
quilômetro,honra,unrelated,word,word,-0.0195834709337903
civil,sobrinho,unrelated,word,word,0.0568829063054191
reflexão,perseguir,unrelated,word,word,0.0813315455117599
falta,queijo,unrelated,word,word,0.0726048566220092
humilde,comunicação,unrelated,word,word,0.127576205642824
tela,cedo,unrelated,word,word,0.0625892594135057
aspirina,órbita,unrelated,word,word,0.0762006239556013
colina,reator,unrelated,word,word,0.141481813371688
papai,produção,unrelated,word,word,0.0889399219355246
nervo,prateado,unrelated,word,word,0.139701830866459
biblioteca,barato,unrelated,word,word,0.0935871258992208
jazz,costa,unrelated,word,word,0.112982126830024
evolução,primo,unrelated,word,word,0.0407671268498031
segredo,civilização,unrelated,word,word,0.120726510080459
nu,derrota,unrelated,word,word,0.0839072417883957
país,descrição,unrelated,word,word,0.0858580127596227
garganta,capitão,unrelated,word,word,0.128930966450107
necessário,sacola,unrelated,word,word,0.106752131004864
preocupado,altura,unrelated,word,word,0.149011782055487
meia-noite,mandar,unrelated,word,word,
saudável,desculpar,unrelated,word,word,0.122608172663282
atômico,vale,unrelated,word,word,0.0421506330101332
claramente,ator,unrelated,word,word,0.0958823664826908
mar,episódio,unrelated,word,word,0.0797480054440792
oficialmente,ventilação,unrelated,word,word,0.0654478892205051
carvão,alteza,unrelated,word,word,0.0719060855294228
propriedade,celestial,unrelated,word,word,0.122225786865056
ar,família,unrelated,word,word,0.0222932096626722
sofrimento,motor,unrelated,word,word,0.100888499923217
adulto,imperador,unrelated,word,word,0.117244915457349
entusiasmo,gastar,unrelated,word,word,0.147881075888104
vagina,divisão,unrelated,word,word,0.134377523259121
raio,esperar,unrelated,word,word,0.0704970942384406
estágio,pequeno,unrelated,word,word,0.143281279223129
personagem,confidencial,unrelated,word,word,0.121901373375278
imagem,hidrogênio,unrelated,word,word,0.0918299330915228
autógrafo,sujeito,unrelated,word,word,0.105720707941592
dicionário,doente,unrelated,word,word,0.149753681175587
sexual,acontecer,unrelated,word,word,0.0737272015640788
fragmento,nervoso,unrelated,word,word,0.10057171697221
astronauta,venha,unrelated,word,word,0.116462675494575
preparação,prisão,unrelated,word,word,0.135985117160698
cimento,mundo,unrelated,word,word,0.120303815203152
tigela,efeito,unrelated,word,word,0.0965955008508691
política,hamburger,unrelated,word,word,0.104479392503594
jornalismo,cama,unrelated,word,word,0.0833934119428641
status,imundo,unrelated,word,word,0.0644386615811999
desamparado,partida,unrelated,word,word,0.117015113640376
literalmente,detetive,unrelated,word,word,0.0891196001174368
chanceler,técnica,unrelated,word,word,0.0495386052227583
botão,doença,unrelated,word,word,0.0631522130446113
secundário,recompensa,unrelated,word,word,-0.0110004260423862
princesa,reunir,unrelated,word,word,0.01643486276703
cela,pare,unrelated,word,word,0.00797841125469957
refém,produzir,unrelated,word,word,0.0412667067340286
privado,rato,unrelated,word,word,0.067554463573867
nobel,tecido,unrelated,word,word,0.0691040217448468
dificuldade,senador,unrelated,word,word,0.0601740685117692
amador,traseira,unrelated,word,word,0.0523002072739291
proibido,desfecho,unrelated,word,word,-0.0124093906852695
garantia,quartel general,unrelated,word,word,
regra,condessa,unrelated,word,word,0.0723085221859594
modelo,emergência,unrelated,word,word,0.0944743139343307
empurrar,muito,unrelated,word,word,0.135164875328935
inserir,morta,unrelated,word,word,0.0672351598001907
quantidade,ir,unrelated,word,word,0.0866155020120156
metade,resistir,unrelated,word,word,0.0540915197794866
contaminação,investidor,unrelated,word,word,0.0580784392045191
ocasionalmente,peça,unrelated,word,word,0.0988412750550675
otimista,perímetro,unrelated,word,word,0.0647326509173343
justo,mapa,unrelated,word,word,0.0917560740820536
aumentar,beco,unrelated,word,word,0.0577647382200409
fresco,salvar,unrelated,word,word,0.0533234860402236
ficar,foto,unrelated,word,word,0.145868909436773
responda,mosteiro,unrelated,word,word,0.017482285185483
carreira,trancar,unrelated,word,word,0.080201329196934
exigem,leão,unrelated,word,word,0.107197069053754
pobre,inspeção,unrelated,word,word,0.0936572600470276
dirigir,sapato,unrelated,word,word,0.106315757245169
roubar,centenas,unrelated,word,word,0.133467433357357
roubo,em algum lugar,unrelated,word,word,
virar,patrulha,unrelated,word,word,0.0987040982873097
espionagem,preto,unrelated,word,word,0.0938611495653515
previdência,simples,unrelated,word,word,0.14466199762835
âncora,américa,unrelated,word,word,0.110598492047124
pirata,protocolo,unrelated,word,word,0.103127288238271
pensão,confirme,unrelated,word,word,0.134784578139846
leilão,teoria,unrelated,word,word,0.0108120101638771
radar,almoço,unrelated,word,word,0.108989316794201
herói,fechar,unrelated,word,word,0.0288175810955698
calendário,principe,unrelated,word,word,0.0674101533591083
gênio,passado,unrelated,word,word,0.089099513498344
protegido,acusação,unrelated,word,word,0.130179452941423
parlamento,congelar,unrelated,word,word,0.0979727440454582
governador,jaqueta,unrelated,word,word,0.0930094170304535
refúgio,televisão,unrelated,word,word,0.0524225956114337
tiro,rapidamente,unrelated,word,word,0.0741953405457385
enfermo,década,unrelated,word,word,0.0323223673525039
simplesmente,apanhar,unrelated,word,word,0.0547817098295369
derrubar,professora,unrelated,word,word,0.044534163887234
ficar de pé,investir,unrelated,word,word,
pouco,notícias,unrelated,word,word,0.108156108437729
gosto,plástico,unrelated,word,word,0.142775789932297
verme,casamento,unrelated,word,word,0.0819820819042394
atirador,dever,unrelated,word,word,0.0869865164122819
chuva,federação,unrelated,word,word,0.0861300370849117
lunar,guaxinim,unrelated,word,word,0.112181275807428
nada,limusine,unrelated,word,word,0.106810206595563
em outro lugar,criminoso,unrelated,word,word,
filha,imenso,unrelated,word,word,0.122127950005466
álbum,metro,unrelated,word,word,0.092831199718046
ruído,chefe de cozinha,unrelated,word,word,
lasanha,caminho,unrelated,word,word,0.080308623811685
palestra,vampiro,unrelated,word,word,0.12042308822034
perito,vodka,unrelated,word,word,0.0609341441641273
distância,pressione,unrelated,word,word,0.105126733666327
desperdício,tentativas,unrelated,word,word,0.124321434810277
passatempo,cerebral,unrelated,word,word,0.104608521670622
celebridade,atlântico,unrelated,word,word,0.0502219302500807
plataforma,irresponsável,unrelated,word,word,0.132338149372306
evitar,laranja,unrelated,word,word,0.138180682064965
fazer compras,matemática,unrelated,word,word,
avenida,capitalismo,unrelated,word,word,0.122121948475507
cochilo,sabotar,unrelated,word,word,0.117991607906238
loucura,porto,unrelated,word,word,0.112758060329984
substituir,pênis,unrelated,word,word,0.105480668955946
o suficiente,nação,unrelated,word,word,
propor,grama,unrelated,word,word,0.108660994728391
sábado,produtos,unrelated,word,word,0.0629547762376526
afogar,bruxo,unrelated,word,word,0.120993123541419
potencial,braço,unrelated,word,word,0.0983637394882085
método,revista,unrelated,word,word,-0.0154556724039822
chamar,externo,unrelated,word,word,0.100288371162574
rádio,coelho,unrelated,word,word,0.0679559665499344
calor,corporação,unrelated,word,word,0.12986604163422
coroa,semanalmente,unrelated,word,word,0.0557096355845552
relâmpago,providenciar,unrelated,word,word,0.0796303705046271
nome,funcional,unrelated,word,word,0.0749124323039651
cobertor,justiça,unrelated,word,word,0.0960752127334009
boneca,inteligente,unrelated,word,word,0.138176540063323
espião,meio-dia,unrelated,word,word,
mover,charuto,unrelated,word,word,0.0613369402745069
arbusto,teste,unrelated,word,word,0.124688073974715
audição,tapete,unrelated,word,word,0.0949448906269263
círculo,amável,unrelated,word,word,0.134325911541363
segunda-feira,falso,unrelated,word,word,
frango,aconselhar,unrelated,word,word,0.01713253625035
caracol,ataque,unrelated,word,word,0.0529307798480191
digusting,pressão,unrelated,word,word,
de repente,boston,unrelated,word,word,
desconfortável,menino,unrelated,word,word,0.0990817104257314
sangue,adolescente,unrelated,word,word,0.136579649567645
comum,assinatura,unrelated,word,word,0.138090140418882
deserto,financeira,unrelated,word,word,0.0349923050878174
zumbi,recentemente,unrelated,word,word,0.122535406096735
trailer,tentar,unrelated,word,word,0.123201617120483
canela,batalhão,unrelated,word,word,0.0874979722290933
válvula,organizar,unrelated,word,word,0.103571809671158
extremamente,prova,unrelated,word,word,0.136763987387196
uísque,pular,unrelated,word,word,0.135497934323344
maioria,acampamento,unrelated,word,word,0.115135936618503
bolso,estrangeiro,unrelated,word,word,0.148296122853844
soldado,atividade,unrelated,word,word,0.0928082388513768
limpar,ereção,unrelated,word,word,0.129373356605363
sherlock,batalha,unrelated,word,word,0.0750597889367678
forte,superfície,unrelated,word,word,0.119080239930708
pistola,global,unrelated,word,word,0.110192844978179
diário,doação,unrelated,word,word,0.0787142739814491
estreito,para sempre,unrelated,word,word,
ganho,voo,unrelated,word,word,0.0634224403963724
cabo,confusão,unrelated,word,word,0.0493976771921987
viúva,furgão,unrelated,word,word,0.0646294413498729
sem utilidade,comunidade,unrelated,word,word,
merecer,especialista,unrelated,word,word,-0.0192938192181198
leitura,escritório,unrelated,word,word,0.135671790367834
poeta,orifício,unrelated,word,word,0.115280391668059
ok,muitas vezes,unrelated,word,word,
vermelho,diretor,unrelated,word,word,0.0310126442311651
espinal,impressionar,unrelated,word,word,0.0681609570448149
seqüestrar,erro,unrelated,word,word,0.113671589962856
presença,espaguete,unrelated,word,word,0.0599827273550727
autor,dólar,unrelated,word,word,0.0822539691021535
terminal,dar,unrelated,word,word,0.101391320389132
motivo,flor,unrelated,word,word,0.131288836110495
ovni,pia,unrelated,word,word,-0.0128194053401739
autópsia,fortemente,unrelated,word,word,0.0360523656334416
natural,grupo,unrelated,word,word,0.0352202357450273
"apoio, suporte",velejar,unrelated,word,word,
secretário,artificial,unrelated,word,word,0.125177096584086
vítima,fiel,unrelated,word,word,0.0869091736024768
opinião,cadáver,unrelated,word,word,0.0856625754470784
jurisdição,cebola,unrelated,word,word,0.094084655947214
primavera,garfo,unrelated,word,word,0.0880043490580292
armadilha,pessoas,unrelated,word,word,0.0242936713879822
estádio,pausa,unrelated,word,word,0.0836901536923367
borboleta,político,unrelated,word,word,0.0900410905108223
aniversário,explosivo,unrelated,word,word,0.105437551801922
bíblia,lagosta,unrelated,word,word,0.123849930985851
vidro,estúpido,unrelated,word,word,0.138255661556138
torre,aceitar,unrelated,word,word,0.0776631136529371
rabo,oficial,unrelated,word,word,0.0758122769605606
quieto,farinha de trigo,unrelated,word,word,
anarquia,armário de roupa,unrelated,word,word,
palácio,vídeo,unrelated,word,word,0.128734043014188
agarrar,ciência,unrelated,word,word,0.137182894163458
igreja,prêmio,unrelated,word,word,0.0443541357682088
atraente,avó,unrelated,word,word,0.111674025695408
caro,jornalista,unrelated,word,word,0.13285381094525
engolir,ontem,unrelated,word,word,0.0869579908144005
juventude,artéria,unrelated,word,word,0.106425810539711
típica,três,unrelated,word,word,0.122921687781491
cair,músico,unrelated,word,word,0.0139179818329597
inspetor,arma de fogo,unrelated,word,word,
sociedade,cadeira,unrelated,word,word,0.108927174490888
turnê,criatura,unrelated,word,word,0.0596608987547096
contato,marketing,unrelated,word,word,0.0798151471897485
caloroso,construção,unrelated,word,word,0.0524760079710347
relativo,dor,unrelated,word,word,0.0868357626935663
paranoico,empregada,unrelated,word,word,0.0605384986067225
ladrão,devoção,unrelated,word,word,0.0877765842012876
rasgar,caminhão,unrelated,word,word,0.0864486503300649
doce,renda,unrelated,word,word,0.104806313308185
tio,assistir,unrelated,word,word,0.129215040744909
sombra,estudo,unrelated,word,word,0.0859490641159247
pôr do sol,agradecer,unrelated,word,word,
cabine,pedra,unrelated,word,word,0.140181801225402
saboroso,impressão digital,unrelated,word,word,
estresse,gato,unrelated,word,word,0.107373177723939
criação,defender,unrelated,word,word,0.113032014225831
anjo,baseball,unrelated,word,word,0.108942881755805
orgulho,peru,unrelated,word,word,0.109305090601054
arquivo,inesperadamente,unrelated,word,word,0.0930628248716689
atrasado,lobo,unrelated,word,word,0.0334625267875386
impossível,universidade,unrelated,word,word,0.119825344880468
atual,alucinação,unrelated,word,word,0.108663889110979
series,lago,unrelated,word,word,0.0227854431931723
noite,símbolo,unrelated,word,word,0.0538601308536378
fenômeno,morrer,unrelated,word,word,0.0121009179685325
prática,desejar,unrelated,word,word,0.109773269399684
explodido,mistério,unrelated,word,word,0.097272730084334
terremoto,repugnante,unrelated,word,word,0.100771170008595
interno,suco,unrelated,word,word,0.0788742683313001
clã,rede,unrelated,word,word,0.111109661398983
maravilhoso,aeroporto,unrelated,word,word,0.0703166281914847
mortal,religião,unrelated,word,word,0.116174654546181
tosse,informação,unrelated,word,word,0.143350252462181
incêndio,compreendo,unrelated,word,word,0.0772045609527067
pousar,lixo,unrelated,word,word,0.137990253519402
nuvem,dinheiro,unrelated,word,word,0.0560888773342385
educado,escapar,unrelated,word,word,0.117474972967653
relação,óleo,unrelated,word,word,0.114955690130812
vazio,tênis,unrelated,word,word,0.067749787811371
operacional,lindo,unrelated,word,word,0.138188516031278
orçamento,frase,unrelated,word,word,0.0920498553343351
universo,assobiar,unrelated,word,word,0.140501091291219
elogio,portão,unrelated,word,word,0.0838578532061162
oferta,acidente,unrelated,word,word,0.0488669635540584
felicitar,animal,unrelated,word,word,0.0571627829942109
piano,cartel,unrelated,word,word,0.0910747914641413
ocorrer,papai,unrelated,word,word,0.138029305462048
difícil,náusea,unrelated,word,word,0.125704102357981
equilíbrio,comerciante,unrelated,word,word,0.0643701484560686
recuperar,lenda,unrelated,word,word,0.127340733925849
escutar,montanha,unrelated,word,word,0.0977490999481372
pesado,vacina,unrelated,word,word,0.113987758884828
peso,helicóptero,unrelated,word,word,0.0530966754193948
cocaína,arame,unrelated,word,word,0.143138891247086
aids,restaurante,unrelated,word,word,0.00610546681202989
privilégio,tempestade,unrelated,word,word,0.00897245338996709
burro,cigarro,unrelated,word,word,0.143186877285205
beijo,fraude,unrelated,word,word,0.10760522312225
tolo,armazenar,unrelated,word,word,0.045523958636749
significado,chocolate,unrelated,word,word,0.127262946926973
valioso,atmosfera,unrelated,word,word,0.128148280571985
pena,leste,unrelated,word,word,0.0520198485624293
relatar,boné,unrelated,word,word,0.0520186784446396
fonte,pensar,unrelated,word,word,0.0492225514516794
lesão,trágico,unrelated,word,word,0.120006681879165
fora,equipar,unrelated,word,word,0.102517931904828
propósito,inverno,unrelated,word,word,-0.0346005957136658
acidentalmente,retorna,unrelated,word,word,0.0959205812527174
analista,ativar,unrelated,word,word,0.131788001642749
camisa,receio,unrelated,word,word,0.134091438508619
ilegal,novo,unrelated,word,word,0.12692644888316
telegrama,selecione,unrelated,word,word,0.10544732925719
conservador,brinquedo,unrelated,word,word,0.128460116381104
trevas,comer,unrelated,word,word,0.100560615647592
controlar,promotor,unrelated,word,word,0.0703895634171227
anúncio,traidor,unrelated,word,word,0.0736925479290247
mínimo,político,unrelated,word,word,0.140553260261551
ketchup,festa,unrelated,word,word,0.118236901615273
comercial,intuição,unrelated,word,word,0.0537687324533302
telescópio,cortar,unrelated,word,word,0.0748375084126105
embaixador,inseto,unrelated,word,word,0.104193356329997
embaixada,harmonia,unrelated,word,word,0.103049881968775
pobreza,mensagem,unrelated,word,word,0.065780298272792
templo,estrela,unrelated,word,word,0.108453632352291
assassino,distrito,unrelated,word,word,0.121567598375343
cantor,tenente,unrelated,word,word,0.118844081953861
diarréia,reputação,unrelated,word,word,0.12027670965797
marinho,caneta,unrelated,word,word,0.089496524280819
anel,arrogância,unrelated,word,word,0.141821692703632
neto,ônibus,unrelated,word,word,0.0960276667112687
sul,agendar,unrelated,word,word,0.115384354148646
boca,demissão,unrelated,word,word,0.0901818510925507
verde,dignidade,unrelated,word,word,0.0491635454307214
comando,pássaro,unrelated,word,word,0.10748966927789
resultado,fogão,unrelated,word,word,0.0201659828852832
seção,guerreiro,unrelated,word,word,0.0606361869981363
bilhete,ocultar,unrelated,word,word,0.112505817015193
código,atirar,unrelated,word,word,0.0538686337523995
futuro,mastigar,unrelated,word,word,0.100235664694646
rota,medalha,unrelated,word,word,0.0807296898742517
miserável,discussão,unrelated,word,word,0.143577714631899
guarda,horrível,unrelated,word,word,0.0802822131071644
batom,concentrar,unrelated,word,word,0.123997783472018
explicação,glória,unrelated,word,word,0.14659685516833
técnico,suficiente,unrelated,word,word,0.0068628959054883
chance,dinamite,unrelated,word,word,0.123353572374885
pulso,mosca,unrelated,word,word,0.147075727155998
valor,crânio,unrelated,word,word,0.108786571987397
talvez,impotente,unrelated,word,word,0.108491780557096
marca,generoso,unrelated,word,word,0.1195188779932
reitor,fortuna,unrelated,word,word,0.0856237597856107
advogado,dança,unrelated,word,word,0.0519614382555871
raposa,reparar,unrelated,word,word,0.0944039170304903
camundongo,fotógrafo,unrelated,word,word,0.137905922742101
gerador,execução,unrelated,word,word,0.132978395851729
esqueço,seringa,unrelated,word,word,0.140897882000238
eliminar,trabalhador,unrelated,word,word,0.0485620173417181
bônus,domingo,unrelated,word,word,0.141738082394556
césar,piloto,unrelated,word,word,0.0889138373942098
resgate,atirador de elite,unrelated,word,word,
trazer,legal,unrelated,word,word,0.0952856140670645
fala,cheio,unrelated,word,word,0.11322481648047
escravo,tornado,unrelated,word,word,0.111397666166357
silencioso,pescaria,unrelated,word,word,0.0881121910522243
osso,cerca de,unrelated,word,word,
descanso,batman,unrelated,word,word,0.0830321047012714
concreto,bruxa,unrelated,word,word,0.106637791285047
vento,geralmente,unrelated,word,word,0.111197831214482
forno,jogador,unrelated,word,word,0.0938010174822977
incomum,matar,unrelated,word,word,0.0834803524024149
bater,suposição,unrelated,word,word,0.134731516620199
ingênuo,trago,unrelated,word,word,0.0943232612756078
objeto,comédia,unrelated,word,word,0.0907142971368103
gerir,peito,unrelated,word,word,-0.00952632270537831
pasta,habilidade,unrelated,word,word,0.0994097817341008
lua,sistema,unrelated,word,word,0.149766995704923
camada,deixar,unrelated,word,word,0.108183714187227
dúvida,trimestre,unrelated,word,word,0.048913476398525
bandeira,assassino,unrelated,word,word,0.0634163238620212
agulha,criatividade,unrelated,word,word,0.136997466396227
aprender,sobrenome,unrelated,word,word,0.0787755154334463
aluna,definição,unrelated,word,word,0.118025777089218
liga,salada,unrelated,word,word,0.110992820315272
golfe,comitê,unrelated,word,word,0.122401241254061
grato,parágrafo,unrelated,word,word,0.0820575405581129
aqui,soar,unrelated,word,word,0.144668090829913
fino,padre,unrelated,word,word,0.132764327699994
pele,comprador,unrelated,word,word,0.0714396894763664
batata,culpado,unrelated,word,word,0.110863872616062
unha,política,unrelated,word,word,0.0855382989517983
terapia,salário,unrelated,word,word,0.12025575101815
ponte,intencionalmente,unrelated,word,word,0.148901220288288
incapacidade,míssil,unrelated,word,word,0.118666210393273
abaixo,jogo,unrelated,word,word,0.0874637433829765
normalmente,sonho,unrelated,word,word,0.0686789343031887
marte,ótimo,unrelated,word,word,0.0729686830181952
acampamento,cerveja,unrelated,word,word,0.0838297025417324
proteína,enterrar,unrelated,word,word,0.0710957990422884
corre,festival,unrelated,word,word,0.0722848444412773
agricultor,chantagem,unrelated,word,word,0.0495714382540214
lendo,espetacular,unrelated,word,word,0.0788206077078941
velho,campo de batalha,unrelated,word,word,
área,criança,unrelated,word,word,0.113046802314767
gestão,provavelmente,unrelated,word,word,0.126886078823409
contrato,perguntar,unrelated,word,word,0.0813088219877414
admirar,telefone,unrelated,word,word,0.143456519960313
punir,corrida,unrelated,word,word,0.0244133797419207
ignorância,alarme,unrelated,word,word,0.0653263317522593
gerente,gratuitamente,unrelated,word,word,0.148134940637352
sobremesa,proprietário,unrelated,word,word,0.0954506129744494
cão,fecho,unrelated,word,word,0.139856022666782
general,máximo,unrelated,word,word,0.102968898222149
corpo,financeiro,unrelated,word,word,0.0786832059744865
rodeio,melhoria,unrelated,word,word,0.0885471504423271
pecado,dia de nascimento,unrelated,word,word,
novembro,mistura,unrelated,word,word,0.117933967853127
fidelidade,filme,unrelated,word,word,0.105037462041302
direto,jóia,unrelated,word,word,0.0768125372554442
urgente,lembrar,unrelated,word,word,0.0801417717293199
orgasmo,frio,unrelated,word,word,0.135378463716967
nunca,prender,unrelated,word,word,0.128091620808238
bombear,famoso,unrelated,word,word,0.0435033761817444
bancário,medalhão,unrelated,word,word,0.0941332023906833
compassivo,desenhar,unrelated,word,word,0.103375231653488
cobrir,louco,unrelated,word,word,0.070508304990099
bajular,montante,unrelated,word,word,0.0863102994903412
mudança,quarto,unrelated,word,word,0.07684444006033
aranha,disputa,unrelated,word,word,0.138149917798025
banqueiro,honestidade,unrelated,word,word,0.105424838016188
chupar,satélite,unrelated,word,word,0.0654551120995627
chave,destruição,unrelated,word,word,0.135211223046771
perdão,pílula,unrelated,word,word,0.121975529573553
aviso,público,unrelated,word,word,0.148276204376661
câmera,construir,unrelated,word,word,0.0883122806100443
foguete,esposa,unrelated,word,word,0.0654245269152453
suicídio,sinal,unrelated,word,word,0.115960519097231
positivo,galáxia,unrelated,word,word,0.126344935055863
insulto,dentro,unrelated,word,word,0.0410825362471916
planeta,falar,unrelated,word,word,0.113824025708865
papel,perigo,unrelated,word,word,0.139105893018738
população,assalto,unrelated,word,word,0.13195634662829
exposição,marinheiro,unrelated,word,word,0.0289381317845501
visão,trabalhar,unrelated,word,word,0.141529994692073
texto,estupidez,unrelated,word,word,0.140792294223358
jogatina,dezembro,unrelated,word,word,0.132066767841741
cápsula,realista,unrelated,word,word,0.0790445056312567
processar,tartaruga,unrelated,word,word,0.106232137828562
evidência,porta,unrelated,word,word,0.122124081598239
maratona,cobra,unrelated,word,word,0.0644595295887717
seqüestrador,neve,unrelated,word,word,0.121596953470507
na verdade,seguro,unrelated,word,word,
registro,exercício,unrelated,word,word,0.107281330387914
de volta,ministro,unrelated,word,word,
fofoca,prisioneiro,unrelated,word,word,0.0699214695968264
teimoso,roma,unrelated,word,word,0.0788998301789055
delicado,arquiteto,unrelated,word,word,0.145026105778358
alma,completo,unrelated,word,word,0.126394783479543
comentário,irmão,unrelated,word,word,0.13371649026688
ritmo,predador,unrelated,word,word,0.121412202579027
adolescência,animado,unrelated,word,word,0.123602701690614
ideia,espelho,unrelated,word,word,0.0774250909750605
dedo,garagem,unrelated,word,word,0.0110221692894694
aplique,cemitério,unrelated,word,word,0.0557953932569945
antídoto,outubro,unrelated,word,word,0.04261681360578
internacional,sozinho,unrelated,word,word,0.113955306252067
extra,pintor,unrelated,word,word,0.0511394718055642
áfrica,oxigênio,unrelated,word,word,0.144729312168508
com ciumes,sermão,unrelated,word,word,
invasão,amedrontar,unrelated,word,word,0.124119071498955
washington,biológico,unrelated,word,word,0.0797346627602881
luminária,voto,unrelated,word,word,0.114586225977477
caos,mano,unrelated,word,word,0.135867360640274
brutal,armaduras,unrelated,word,word,0.0802918600104186
morte,problema,unrelated,word,word,0.0807722932675322
fazer,servo,unrelated,word,word,0.122129261558098
ninho,último,unrelated,word,word,0.13969677897513
próximo,champanhe,unrelated,word,word,0.0636903045026664
mãe,paranormal,unrelated,word,word,0.0883991496994612
horror,acreditam,unrelated,word,word,0.13105558005064
derreter,cerca,unrelated,word,word,0.120093566058743
colega,plausível,unrelated,word,word,0.116694111860846
ombro,beleza,unrelated,word,word,0.102859916737085
espada,individual,unrelated,word,word,0.146559156444599
crédito,velório,unrelated,word,word,0.0720379996854615
amante,partícula,unrelated,word,word,0.0751547255592885
física,andar,unrelated,word,word,0.0569257450887619
anatomia,investigar,unrelated,word,word,0.082926454920502
devagar,estado,unrelated,word,word,0.0689515953340792
creme,tarde,unrelated,word,word,0.123103779600705
pesquisa,homicida,unrelated,word,word,0.114289923013702
