PSA_ID,link_IRB,type_IRB,submit_date_IRB,language,country,compensation,payment,sample,in_person,individual,Total_N,Keep,Exclude,Keep_Rescored,Exclude_Rescored,Female,Male,Other,Not_Say,Gender_Missing,Less_High_School,High_School,Some_College,College,Masters,Doctorate,Education_Missing,Elementary,M_Age,SD_Age,Min_Age,Max_Age,M_Age_Keep,SD_Age_Keep,Min_Age_Keep,Max_Age_Keep,M_Trials,M_Answered,M_Correct,M_Time,Med_Time
476,https://osf.io/download/4wbfd/,Rely on HU,"September 11th, 2023",Russian,Russia,"Money, Course Credit",Course credits or ~ $1 per participant,"Pool, class",No,Online testing,975,683,292,732,243,442,476,2,3,52,280,100,43,393,20,13,126,,39.02,11.71,18,83,39.7,11.86,18,83,723.12,716.7,0.95,20.27,19.12
2530,https://osf.io/download/kt82e/,No Ethics,August 30th 2022,Danish,Denmark,Money,"50 DKK, corresponding to approx. 6.67 USD","Recruitment on-campus, social media",No,Online testing,967,815,152,829,138,449,479,5,4,30,11,672,30,202,17,,35,,23.7,4.66,18,78,23.8,4.81,18,78,752.13,747.65,0.93,30.16,18.72
2539,https://osf.io/download/4fgdb/,Rely on HU,January 12th 2023,Italian,Italy,Money,7.60£/hour,Prolific database,No,Collective testing,281,257,24,261,20,140,132,5,1,3,42,111,1,92,5,10,20,,32.25,9.7,20,63,31.91,9.43,20,62,778.66,773.35,0.95,18.42,17.53
2552,https://osf.io/download/mny6w/,No Ethics,November 30th 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2620,https://osf.io/download/uf45m/,Local IRB,October 24th 2022,French,France,Course Credit,The participants got a credit of 0.4 out of 20 grading system. It is equivalent of 2% which is directly added to their final grade for one course in the department of marketing.,Pool,Yes,Twenty at a time,122,115,7,115,7,66,52,,2,2,1,,2,13,,1,105,,23.18,4.25,20,67,23.17,4.34,20,67,787.01,784.66,0.95,18.55,17.77
2629,https://osf.io/download/43tvd/,Local IRB,"June 6th, 2023",Chinese,China,Money,Undecided amount,"Pool, Social Media",No,One at a time,58,42,16,44,14,45,10,,,3,,3,3,44,4,,4,,24.64,8.88,19,57,25.19,9.48,19,57,746.31,736.74,0.91,19.33,19.45
2631,https://osf.io/download/eym69/,Local IRB,"May 2nd, 2023",German,Germany,Course Credit,0.5 credit,Pool,No,Online testing,60,57,3,57,3,49,9,1,1,,3,51,,2,,2,2,,23.1,4.67,19,45,22.86,4.55,19,45,774.91,772.95,0.93,18.22,17.59
2633,https://osf.io/download/983y6/,Rely on HU,"October 21st, 2022",English,USA,Course Credit,1 Credit per hour,Pool,No,Online testing,197,148,49,151,46,105,76,2,3,11,,163,11,22,1,,,,19.48,1.58,18,27,19.37,1.4,18,25,776.22,770.51,0.92,19.26,17.98
2635,https://osf.io/download/k6y58/,Local IRB,November 21st 2022,English,England,Course Credit,45 credits,Pool,No,Online testing,76,72,4,72,4,64,9,1,,2,4,17,3,51,,,1,,21.69,4.83,18,55,21.53,4.57,18,55,777.69,771.88,0.93,61.09,18.13
2644,https://osf.io/download/mtgcf/,Local IRB,"March 28th, 2023",Italian,Italy,Course Credit,0.1 Credit,Pool,No,One at a time,353,319,34,324,29,201,142,2,,8,25,153,6,135,4,9,21,,28.39,9.43,19,67,28.54,9.54,19,67,790.67,786.1,0.95,18.46,17.65
2646,https://osf.io/download/b3aj4/,Rely on HU,"August 14th, 2023",German,Belgium,Course Credit,0.5 credits,Pool,Yes,One at a time,81,70,11,70,11,60,16,,,5,5,65,5,1,1,1,3,,22.8,4.27,18,45,22.81,4.38,18,45,789.03,785.97,0.93,18.54,18.19
2650,https://osf.io/download/tp7s2/,No Ethics,September 27th 2022,Chinese,China,Money,¥70 per participant,Pool,No,Online testing,154,107,47,115,39,87,58,,,9,14,3,8,97,3,10,19,,31.1,10.08,20,102,30.49,8.53,20,59,747.35,743.78,0.94,19.24,17.92
2654,https://osf.io/download/zm5hx/,Local IRB,November 10th 2022,Spanish (Dialect: Rioplatense),Uruguay,"Course Credit, Lottery",Lottery Items that range from $60 - $75.,Social Media,Mix,"One at a time (Collective Testing, up to forty)",93,74,19,74,19,55,27,1,1,9,22,19,9,32,,6,5,,35.61,13.52,18,72,35.58,13.29,18,72,660.93,656.18,0.95,21.42,19.33
2655,https://osf.io/download/bsgq9/,Rely on HU,October 1st 2022,Spanish (Dialect: Rioplatense),Argentina,Money,An equivalent of $5 USD,"We have used ORSEE, and need to cite the paper as requested by the authors: Greiner, B. (2015). Subject pool recruitment procedures: organizing experiments with
ORSEE. Journal of the Economic Science Association, 1(1), 114-125",Yes,Up to 8 computers available at a time,106,97,9,99,7,73,30,1,1,1,12,35,1,46,4,,8,,30.01,17.61,18,103,28.16,13.6,18,71,793.76,790.85,0.95,18.03,17.85
2699,https://osf.io/download/f6vrs/,Rely on HU,"March 11th, 2023","French, English",Canada,Lottery,A $100 gift card commencement will occur for every 50 participants collected,Social Media (Facebook Groups),No,Collective Testing,161,107,54,110,51,91,51,1,,18,24,43,21,13,23,11,26,,48.47,18.52,19,104,47.87,16.77,19,81,729.82,726.61,0.96,18.96,17.71
2752,https://osf.io/download/wn68k/,Rely on HU,"April 1st, 2023",Spanish,Argentina,No compensation,None,Social media,No,One at a time,132,105,27,108,24,68,52,4,1,7,12,28,7,59,3,16,7,,33.73,13.31,19,102,32.51,10.92,19,70,699.23,693.45,0.95,20.21,18.3
2764,https://osf.io/download/ktz9g/,Local IRB,"July 9th, 2023","German, Turkish",Germany,"Course Credit, Money",1-course credit or 8 euro per hour.,"Social Media, Student E-mail",Yes,One at a time,105,93,12,94,11,74,29,,,2,6,79,2,4,3,2,9,,24.19,5.97,19,52,23.49,4.45,19,52,774.19,771.42,0.93,18,17.33
2765,https://osf.io/download/rf79d/,Rely on HU,"January 5th, 2023",Spanish,Spain,None,None,Class,Yes,Fifteen at a time,425,379,46,379,46,349,64,,2,10,64,4,10,343,,1,3,,20.46,3.27,18,60,20.4,2.7,18,40,791.32,789.43,0.94,20.94,17.12
2772,https://osf.io/download/s34jn/,Local IRB,January 9th 2023,"English, Chinese (both)",Canada,Course Credit,1 credit,Subject pool,No,One at a time,934,688,246,708,226,510,279,13,11,121,22,434,118,344,4,3,9,,21.85,7.8,18,103,21.43,5.25,18,103,779.18,775.06,0.93,26.81,17.81
2778,https://osf.io/download/32gdt/,Local IRB,"June 9th, 2023",Slovenian,Slovenia,None or course credit,None or .5 course credit,"Social Media, students, word of mouth",No,Online testing,41,31,10,31,10,20,16,,1,4,3,9,5,18,,2,3,1,27.43,6.13,20,43,26.81,5.89,20,43,735.45,732.9,0.95,19.77,18.89
2779,https://osf.io/download/qz947/,Local IRB,"April 28th, 2023",Thai,Thailand,Lottery,"Giving away 10 gift vouchers for each 50 participants that take part i.e. each participant has a 1 in 5 chance of winning. We are still trying to establish what kind of gift card it is possible to buy, as it's not straightforward to get Starbucks gift cards as originally planned.",Pool,No,One at a time,85,65,20,66,19,54,14,5,7,5,2,6,6,69,,2,,,21.48,2.18,18,32,21.08,1.36,18,25,742.28,739.38,0.95,18.74,18.34
2785,https://osf.io/download/za23t/,Local IRB,January 16th 2023,Slovak,Slovakia,Lottery,Chance to win 2x 10€ voucher,"Snowball sampling, e-mail, word of mouth",No,One at a time,121,35,86,52,69,87,22,,,12,28,,12,28,1,20,32,,31.47,11.53,20,102,32.09,14.14,20,102,695.17,689.63,0.95,21.93,18.07
2788,https://osf.io/download/jgbqc/,Local IRB,"February 14th, 2023",English,USA,Money,Up to $3,Mturk,No,Collective Testing,69,57,12,59,10,31,35,1,,2,6,29,,21,1,4,8,,44.45,14.82,21,88,45.68,15.11,21,88,220.67,219.16,0.93,19.47,17.5
2790,https://osf.io/download/546kv/,Local IRB,"July 21st, 2023","English, German",Ireland,None,None,"Pool, Social Media",No,Online testing,60,51,9,51,9,35,23,,,2,2,20,2,17,1,4,14,,33.53,14.64,19,76,35.02,14.98,19,76,770.59,769.61,0.95,17.26,16.67
2796,https://osf.io/download/hb3k2/,Local IRB,"August 21st, 2023",Greek,Greece,No compensation,None,Pool,Yes,One at a time,56,37,19,37,19,25,21,,,10,1,2,10,21,,4,18,,40.07,9.75,24,74,41.03,9.61,24,74,767.27,762.32,0.95,21.94,15.64
2810,https://osf.io/download/ch7pr/,Rely on HU,"May 9th, 2023",German,Germany,"Course Credit, Money",1 credit per hour or 10€ per hour,Pool,No,Thirty at a time,120,96,24,98,22,92,19,3,,6,5,102,6,1,5,,1,,22.51,3.32,19,47,22.65,3.43,19,47,776.04,772.25,0.93,18.34,17.84
2821,https://osf.io/download/b9j72/,Local IRB,"June 16th, 2023","Spanish, Portuguese",Austria,Money,"Prolific  £ 9,--/hr",Prolific,No,One at a time,133,119,14,120,13,43,80,5,,5,49,8,4,37,,5,30,,31.88,11.46,19,65,32.03,11.37,19,65,785.77,781.02,0.95,18.11,17.39
2823,https://osf.io/download/yq3h7/,Local IRB,"June 5th, 2023",Turkish,Turkey,"Course Credit, Money",3 Extra Credit Points on Final,Class,Yes,One at a time,107,83,24,83,24,72,31,,,4,3,26,4,73,,1,,,21.73,2.17,18,36,21.63,2.3,18,36,797.59,796.2,0.94,17.3,17.18
3088,https://osf.io/download/6n84g/,Local IRB,"October 20th, 2023",English,Canada,Course Credit,0.5 Credt/30 Min,Pool,online,One at a time,253,179,74,185,68,174,48,1,2,28,6,116,28,102,,,1,,20.12,3.12,18,43,20.11,2.87,18,39,788.73,782.88,0.92,19.11,17.4
2882,https://osf.io/download/2z39j/,No Ethics,"April, 17th, 2023",German,Austria,"Course Credit, Money",Course credits or EUR 10 per participant,Pool,No,One at a time,463,343,120,349,114,173,272,7,2,9,103,124,7,57,42,15,115,,33.52,11.95,18,103,34.25,11.99,18,75,780.92,777.45,0.94,18.66,17.67
2892,https://osf.io/download/tej8q/,Local IRB,"October 19th, 2023",Spanish,Chile,Money,Lottery of a gift card $50.000 CLP ($58 USD),"Pool, Social Media",Yes,Individual and Collective Testing,50,37,13,41,9,30,15,1,,4,23,16,4,3,,,4,,27.41,10.59,18,57,27.43,10.59,18,57,739.3,732.11,0.94,24.46,18.92
2922,https://osf.io/download/8px6n/,Rely on HU,"May 21st, 2023",Dutch,Belgium,Course Credit,0.5 Course credit,Pool,No,"Online testing, so unsure how many took it at the same time",128,111,17,116,12,104,16,,,8,3,21,8,91,,,5,,18.64,1.41,18,27,18.59,1.32,18,27,800,794.68,0.93,17.98,17.59
2926,https://osf.io/download/rs8tp/,Local IRB,"July 17th, 2023",Portuguese (Europoean),Portugal,Course Credit,1 Extra Credit point per 15 minutes of the study,"Pool, Social Media",No,"Online testing, one at a time",349,260,89,268,81,266,45,1,1,36,148,1,36,107,1,7,49,,23.25,8.9,18,101,23.23,7.84,18,64,779.54,776.02,0.93,21.19,17.68
2937,https://osf.io/download/hnx9s/,Local IRB,"October 30th, 2023",Mandarin Chinese; Cantonese,"Hong Kong, China",Money,40 HKD (Approximately 5 USD),Pool,No,"Online testing, one at a time",121,117,4,117,4,98,21,,1,1,1,5,1,80,,2,32,,21.37,2.22,18,29,21.39,2.22,18,29,794.87,793.01,0.96,17.97,17.73
2953,https://osf.io/download/q4nec/,Local IRB,"June 1st, 2023",Simplified Chinese,China,"Money, Food",food or money (20 RMB).,"Pool, Social Media",Both,Individual and Collective Testing (Up to 40 at a time),96,69,27,75,21,61,28,1,1,5,,20,5,66,1,3,1,,19.48,3.69,18,35,19.19,3.31,18,35,694.87,687.54,0.91,18.02,17.5
2976,https://osf.io/download/ycfn8/,Local IRB,"August 7th, 2023","Chinese (both), English","Hong Kong, China",Course credit or money,Participants will get 0.5 credits or HKD30 for 30-min experiment.,Subject pool,Yes,Up to 10 at a time,146,129,17,132,14,110,31,2,1,2,,43,2,95,,1,5,,19.47,2.63,18,35,19.54,2.7,18,35,758.14,752.53,0.93,24.8,17.95
2989,https://osf.io/download/bkjvf/,Rely on HU,"October 20th, 2023",Persian,Iran,Course Credit,2 Credits,Class,Both,One at a time,15,13,2,13,2,5,9,,,1,,3,1,10,,,1,,26.79,11.34,20,57,24.46,7.58,20,47,792.31,791.46,0.95,17.2,17.46
2998,https://osf.io/download/mzhyg/,No Ethics,None,Chinese,China,Credit,1 credit,Class,Both,One at a time,195,127,68,138,57,34,137,4,,20,122,46,18,2,1,3,3,,19.75,6.95,18,103,20.09,8.18,18,103,761.02,757.07,0.9,17.91,17.35
3143,https://osf.io/download/7h3ap/,Local IRB,"December 5th, 2023",English,Canada,Money,12 CAD per 30 minutes,Pool,Yes,Ten at a time,111,103,8,104,7,72,36,1,1,1,1,34,1,54,,7,14,,23.13,6.4,18,52,23.1,6.41,18,52,798.42,795.74,0.94,16.7,16.18
3164,https://osf.io/download/fwkus/,Rely on HU,"November 22nd, 2023",Simplified Chinese,"Hong Kong, China",Course Credit,5% of total Course Grade,Pool,Yes,Ten at a time,65,37,28,40,25,39,18,,3,5,1,6,5,30,,3,20,,23.63,4.54,18,39,22.49,3.69,18,31,783.78,776.46,0.93,18.03,18.02
3222,https://osf.io/download/mbv9x/,Local IRB,"November 21st, 2023",Italian,Italy,Course Credit,1/8 credit,Pool,Yes,One at a time,179,159,20,162,17,147,27,2,,3,5,122,4,37,2,2,7,,21.99,2.58,19,36,21.82,2.12,19,30,767.91,764.16,0.95,19.32,18.56
14,https://osf.io/download/sg5ac/,Local IRB,"June 25th, 2021","Korean, Danish, Greek, Romanian, Serbian, Portuguese",No Requirement,Money,$8.00 USD per hour,"Prolific, Bilendi",No,Yes,1285,963,322,1014,271,442,775,9,5,54,108,287,48,481,30,30,301,,38.11,13.32,19,104,38.98,13.46,19,104,749.01,743.13,0.94,26.07,18.79
ZPID,https://osf.io/download/sg5ac/,Local IRB,"June 25th, 2021","Korean, Japanese, Turkish, Russian, Czech","South Korea, Japan, Turkey, Czech Republic, Russia",Money,~$12.00 USD per hour,Bilendi/Respondi,No,One at a time,7579,4925,2654,5418,2161,2525,4501,13,38,502,,2794,467,3063,182,181,892,,46.1,15.25,18,102,45.96,14.96,18,102,680.69,671.91,0.93,25.67,18.89
No Lab ID,https://osf.io/download/sg5ac/,Local IRB,"June 25th, 2021",NA Unclear,NA Unclear,NA Unclear,NA Unclear,NA Unclear,NA Unclear,NA Unclear,136,46,90,49,87,52,28,1,3,52,3,28,54,20,3,16,12,,38.47,26.28,18,104,23.91,6.85,18,46,701.59,698.78,0.93,18.29,17.76
