"ta_target","ta_cue","ta_fake_cue","ta_fake_target","en_cue","en_target"
"கேள்","கேள்வி","கேள்ou","கேஊச","question","ask"
"கேள்","கேளுங்கள்","கேள மனனள","கேஊச","listen","hear"
"கை","கை","	ஒ","ரழ","hand","arm"
"கைக்குட்டை","துணி","துஐஏ","பனனனக்குட்டை","cloth","handkerchief"
"கைதி","பணயக்கைதிகள்","பணயக்கரmaathavan","ஶரதி","hostage","prisoner"
"கைது செய்","தண்டிக்கவும்","தண்டிமனiii","ஹரனது செய்","punish","arrest"
"கையாளுதல்","கட்டுப்பாடு","கட்டமனiii","கையமனiii","control","manipulate"
"கையொப்பம்","முத்திரை","இரஃத்திரை","கையமனனனத","stamp","signature"
"கைரேகை","டிஎன்ஏ","டிசனனத","கைரேxm","dna","fingerprint"
"கைவிட","விட்டு","விட்ஒல","ளனவிட","leave","abandon"
"கொடு","சலுகை","சலடபை","கொஓன","offer","give"
"கொடுமை","தீய","zhய","கொடுஏற","evil","cruelty"
"கொடூரமான","மிருகத்தனமான","மிருகதசtnse","கொட மனனள","brutal","cruel"
"கொட்டைவடி நீர்","கோப்பை","கோப்iq","கொட்டரmaathavan","cup","coffee"
"கொரில்லா","குரங்கு","குரtnse","இஸஃரில்லா","monkey","gorilla"
"கொலை","தற்கொலை","தறமனனனத","qiலை","suicide","murder"
"கொலைகாரன்","கொலையாளி","எமஃலையாளி","கொல மனனள","killer","murderer"
"கொலையாளி","கூலிப்படை","கூலமனiii","பசஃலையாளி","mercenary","assassin"
"கொல்லுங்கள்","விஷம்","pfஷம்","கொல் மனனள","poison","kill"
"கொள்ளை","திருட்டு","ஓமனருட்டு","கொள்nj","theft","robbery"
"கோட்டை","அரண்மனை","அரணதனvi","ஷஸட்டை","palace","castle"
"கோட்பாடு","கருத்து","கரமனiii","மசஃட்பாடு","idea","theory"
"கோபம்","பொறாமை","பொறாஒல","ஊணபம்","jealous","angry"
"கௌரவம்","பெருமை","பெருஈற","கௌரனனச","pride","dignity"
"சகோதரன்","சகோதரி","சககதயல","சகோவதயம","sister","brother"
"சட்ட","சட்டவிரோதமாக","சட்டவிரmaathavan","சடje","illegal","legal"
"சண்டை","போர்","போpd","சணடனை","combat","fight"
"சந்திக்க","பார்க்க","பாரtnse","சந்மனiii","see","meet"
"சந்தித்தல்","மாநாடு","மாநாpv","சந்தரtnse","conference","meeting"
"சந்தேக","சந்தேகம்","சந் மனனள","சநவதயம","doubt","suspect"
"சந்தோஷமாக","திருப்தி","சகஃருப்தி","சந்தமனனனத","satisfied","happy"
"சமீபத்தில்","வெறும்","gkறும்","சமீபமனனனத","just","recently"
"சமூக","சமூகம்","சமககடட","சமcc","society","community"
"சம்பளம்","ஓய்வூதியம்","ஓய்வசtnse","சம்தனனன","pension","salary"
"சரக்கு","சுமை","சுஹச","சரகதயல","load","cargo"
"சரி","தவறு","தவஓஸ","மறி","wrong","correct"
"சரிபார்க்கவும்","காசோலை","காசோpq","சரிபாரரmaathavan","check","verify"
"சரியான","ஏற்றதாக","ஏற்தiii","சரதனனன","ideal","perfect"
"சரிவு","வீழ்ச்சி","சமஃழ்ச்சி","சரநலு","fall","collapse"
"சர்க்கஸ்","பூங்காவில்","கரனஃங்காவில்","சர்மனனனத","zoo","circus"
"சர்ச்சை","முரண்பாடு","முர மனனள","சரமனனனத","conflict","dispute"
"சவாரி","இயக்கி","இயகனனர","சவலயி","drive","ride"
"சவால்","தடையாக","தடமனனக","சவலப்","obstacle","challenge"
"சன்","நிலா","நிrx","அழ்","moon","sun"
"சாக்குப்போக்கு","மன்னிக்கவும்","மன்னி மனனள","சாக்கரmaathavan","forgive","excuse"
"சாக்லேட்","சர்க்கரை","சர் மனனள","எனஃக்லேட்","sugar","chocolate"
"சாட்சியம்","சாட்சி","சாட்அங","சாடசtnse","witness","testimony"
"சாதனம்","சிப்","சிஇன","வடதனம்","chip","device"
"சாதாரண","தாழ்மையுடன்","தாழ்மனனனத","சாதனனய","humble","modest"
"சாதாரண","ஆரோக்கியமான","ஆரோக்மனiii","சாதனனய","healthy","normal"
"சாத்தியம்","வாய்ப்பு","ஏஜனய்ப்பு","சாதசtnse","chance","possibility"
"சாப்பிடுங்கள்","உணவு","உணrw","சாப்பரmaathavan","feed","eat"
"சாமுராய்","நிஞ்ஜா","நிஞ்ஞவ","ரகஃமுராய்","ninja","samurai"
"சாம்பியன்ஷிப்","போட்டி","மஅட்டி","சாம்பரmaathavan","competition","championship"
"சாம்பெய்ன்","மது","தடு","ஃபனனம்பெய்ன்","wine","champagne"
"சாயங்காலம்","இரவு","இரஞய","சாயஙசtnse","night","evening"
"சாலட்","சூப்","yrப்","அனலட்","soup","salad"
"சாறு","பால்","tvல்","சாxm","milk","juice"
"சாஸ்","கிரீம்","lnரீம்","சாஎட","cream","sauce"
"சிகரெட்","புகையிலை","ஹரனகையிலை","சிமனiii","tobacco","cigarette"
"சிகார்","புகை","புஈஸ","சிகாஈன","smoke","cigar"
"சிகிச்சை","சிகிச்சை","பணனகிச்சை","ஃபஃகிச்சை","therapy","treatment"
"சிகிச்சையகம்","மருத்துவமனை","மருத்மனiii","சிகிசசtnse","hospital","clinic"
"சிக்னல்","அதிர்வெண்","அதிரtnse","றநக்னல்","frequency","signal"
"சிங்கம்","டிராகன்","டி மனனள","சிமனiii","dragon","lion"
"சித்தப்படுத்து","உபகரணங்கள்","உபகரணஙரmaathavan","சித்தபரmaathavan","equipment","equip"
"சித்திரவதை","துன்பம்","து மனனள","சித்மனனனத","torment","torture"
"சிப்பி","கைவிட","bjவிட","சிப்சஹ","drop","sip"
"சிம்மாசனமாக","கிரீடம்","கிரtnse","சிம்மமனiii","crown","throne"
"சிரிக்க","புன்னகை","akன்னகை","சிரtnse","smile","laugh"
"சிரிஞ்ச்","ஊசி","obி","டஸனரிஞ்ச்","needle","syringe"
"சிலை","நினைவுச்சின்னம்","நினைரshrikarsan","சிyl","monument","statue"
"சில்","நங்கூரம்","நங்மனனனத","சிwl","anchor","sail"
"சிறிய","சிறிது","சிறிxx","yrறிய","little","small"
"சிறுநீர்","இரத்தம்","இரததனனக","இஸஃறுநீர்","blood","urine"
"சிறுவன்","பெண்","பெஐன","சிமனனனத","girl","boy"
"சிறையில்","செல்","செஇம","இமனறையில்","cell","prison"
"சிறைவாசம்","தண்டம்","தணயனனம","சிறமனனனத","penalty","imprisonment"
"சின்னமாக","கொடி","கொnb","நயஃ்னமாக","flag","symbol"
"சீருடை","பேட்ஜ்","rrட்ஜ்","சீருஊட","badge","uniform"
"சீஸ்","ரொட்டி","ரொட்pk","ஈஅஸ்","bread","cheese"
"சுடர்","தீ","ஸஇ","னபடர்","fire","flame"
"சுத்தி","குச்சி","குச்ஊச","okத்தி","stick","hammer"
"சுயநலமாக","பிடிவாதமாக இருந்தது","பிடிவாதமாரmaathavan","சுயநமனனனத","stubborn","selfish"
"சுரங்கப்பாதை","பாலம்","த௫லம்","சுரங்மனனனத","bridge","tunnel"
"சுலபம்","சாத்தியமற்றது","சாத்திரtnse","சுவதயம","impossible","easy"
"சுவாரசியமான","உற்சாகமான","உற்சமனiii","சுவாரரtnse","exciting","interesting"
"சுவைக்க","சக்","கத்","சுமனiii","suck","lick"
"சுழலு","திரும்ப","திரtnse","நhழலு","turn","rotate"
"சுற்றளவு","ஆரம்","ஆரநங","சுறரtnse","radius","perimeter"
"சுற்றி","சுற்று","சுற்ஈச","சுற்hx","round","around"
"சூட்கேஸ்","சுருக்கமாக","சுருரtnse","பளனட்கேஸ்","briefcase","suitcase"
"சூரிய","சந்திரன்","சந் மனனள","ஊஜரிய","lunar","solar"
"சூறாவளி","சூறாவளி","சூமனiii","சூமனiii","hurricane","tornado"
"சூனியக்காரி","சாபம்","udபம்","சூனிசtnse","curse","witch"
"செஃப்","சமைக்கவும்","சமைகசtnse","wgஃப்","cook","chef"
"செந்தரம்","பொதுவான","பொ மனனள","செந மனனள","typical","classic"
"செயல்திறன்","நிகழ்ச்சி","நிகசtnse","செயல மனனள","show","performance"
"செயல்படுத்த","தூண்டுதல்","தூணமனனனத","செயல் மனனள","trigger","activate"
"செயல்பாட்டு","செயல்படு","செய மனனள","செயலசtnse","operational","functional"
"செயல்முறை","செயல்முறை","செய மனனள","செய மனனள","process","procedure"
"செயற்கை","இயற்கை","இயறனனத","செமனனனத","natural","artificial"
"செய்","செய்ய","செஐடய","bfய்","make","do"
"செய்தி","எச்சரிக்கை","எச்சரtnse","செய்ஐல","warning","message"
"செய்திகள்","சேனல்","hxனல்","செய மனனள","channel","news"
"செய்தித்தாள்","கட்டுரை","கடரtnse","செய்ரmaathavan","article","newspaper"
"செலவு","கழிவு","கழயகு","ctலவு","waste","spend"
"செல்வம்","புதையல்","புரtnse","செரtnse","treasure","wealth"
"செவிடு","குருட்டு","வலஃருட்டு","செவிஶர","blind","deaf"
"செவ்வாய்க்கிழமை","திங்கட்கிழமை","திங்க மனனள","செவ்வாரmaathavan","monday","tuesday"
"செறிவு","கவனம்","வரனம்","செறிசஓ","focus","concentrate"
"செனட்","பாராளுமன்றம்","பாராளமனiii","hzனட்","parliament","senate"
"செனட்டர்","கவர்னர்","கவமனனனத","சென மனனள","governor","senator"
"சென்டிமீட்டர்","மைல்","மைஏண","சென்டரmaathavan","mile","centimeter"
"சேகரிக்க","திரட்டுதல்","திரடசtnse","சேகரtnse","collect","gather"
"சேட்டிலைட்","ரேடார்","ரேடாpk","பலனனட்டிலைட்","radar","satellite"
"சேப்பல்","சர்ச்","சரளய்","சேசtnse","church","chapel"
"சேமிக்கவும்","மீட்பு","த௫ட்பு","சேமி மனனள","rescue","save"
"சொல்லுங்கள்","சொல்","mvல்","சொல் மனனள","say","tell"
"சொற்பொழிவு","கருத்தரங்கு","கருத் மனனள","பதனனற்பொழிவு","seminar","lecture"
"சொற்றொடர்","அகராதி","அகரனனச","சொறரtnse","dictionary","phrase"
"சோக","சோகமாக","சோதனனக","nnக","sad","tragic"
"சோடா","எலுமிச்சை பாணம்","எலுமிசரmaathavan","சோநஜ","lemonade","soda"
"சோதனை","சோதனை","nyதனை","ihதனை","experiment","test"
"சோதனை","கேட்கும்","plcட்கும்","ihதனை","hearing","trial"
"ஞாயிற்றுக்கிழமை","சனிக்கிழமை","சனிக மனனள","ஞாயிற்ரmaathavan","Saturday","Sunday"
"டாக்டர்","அறுவை சிகிச்சை","அறுவைரmaathavan","டாரtnse","surgeon","doctor"
"டாலர்","பவுண்டு","பவ மனனள","ஐஈலர்","pound","dollar"
"டான்","சூரிய அஸ்தமனம்","சூரிய ரmaathavan","டாஅழ","sunset","dawn"
"டிங்","பிங்","wgங்","டிనన","ping","ding"
"டிசம்பர்","நவம்பர்","நவமகனனர","டிசமனiii","november","december"
"டிரக்","ஜீப்","iqப்","tkரக்","jeep","truck"
"டிரான்ஸ்மிட்டர்","சென்சார்","ஒகனன்சார்","டிரான்ரmaathavan","sensor","transmitter"
"டிரிபிள்","இரட்டிப்பாகும்","இரட்டிரmaathavan","ஜனஃரிபிள்","double","triple"
"டீனேஜர்","டீனேஜ்","டீனேஒல","டீமனiii","teenage","teenager"
"டெக்","அறை","பனை"," எக்","cabin","deck"
"டெவில்","தேவதை","	rவதை","டெவிdp","angel","devil"
"டென்னிஸ்","கோல்ஃப்","இஓல்ஃப்","hrன்னிஸ்","golf","tennis"
"டைமர்","detonator","matonator","றஹமர்","detonator","timer"
"டைனமைட்","gunpowder","ofnpowder","டை மனனள","gunpowder","dynamite"
"தகவல்","தகவல்கள்","தகவலமனiii","தகரனவ","data","information"
"தகவல் தெரிவிக்கவும்","அறிக்கை","அற மனனள","தகவல் தெரரmaathavan","report","inform"
"தகவல்தொடர்பு","மூல","pfல","தகவல்தரmaathavan","source","informant"
"தகுதிவாய்ந்த","தகுதி","தகடடி","தகுதிமனனனத","deserve","worthy"
"தக்காளி","உருளைக்கிழங்கு","உருளைகரmaathavan","தகமனனனத","potato","tomato"
"தங்குமிடம்","புகலிடம்","புகசtnse","தங்க மனனள","refuge","shelter"
"தசாப்தம்","நூற்றாண்டு","தயனனற்றாண்டு","தசாசtnse","century","decade"
"தசை","நரம்பு","நரமjpg","இமை","nerve","muscle"
"தடித்த","மெல்லிய","மெமனiii","தடறனனத","thin","thick"
"தடுப்பூசி","மயக்கமடைதல்","மயக்கமரmaathavan","தடுமனனனத","antidote","vaccine"
"தடை","தடை செய்யப்பட்டது","தடை செய்ரmaathavan","மதை","forbidden","prohibit"
"தட்டு","பவுல்","பவலக்","தடடவு","bowl","plate"
"தண்டர்","மின்னல்","நhன்னல்","தணசனனல","lightning","thunder"
"தயாரிப்பு","பிராண்ட்","மமஃராண்ட்","தயாரtnse","brand","product"
"தயார் செய்","தயாராக","தயமனனக","தயாரtnse","ready","prepare"
"தரம்","அளவு","அளஇக","தரஎக","quantity","quality"
"தலைப்பு","பெயர்","மடயர்","தலரtnse","name","title"
"தலைமையகம்","அடித்தளம்","அடிதரtnse","தலைம மனனள","base","headquarters"
"தலைவர்","உறுப்பினர்","உறு மனனள","தலதனனக","member","leader"
"தவழும்","பயங்கரமான","பயங்கரmaathavan","தவழனனற","scary","creepy"
"தவறு","பிழை","பிஐஇ","தவwb","error","mistake"
"தனித்துவமான","சிறப்பு","சிரtnse","தனித்மனiii","special","unique"
"தனிப்பட்ட","நபர்","நபமஹ","தனிபரtnse","person","individual"
"தனியாக","தனியாக","தனதனனக","தனதனனக","alone","lonely"
"தனியுரிமை","தனியார்","தனமனiii","தனிமனனனத","private","privacy"
"தாகம்","பட்டினி","படமனனனத","இறகம்","hunger","thirst"
"தாக்குதல்","பாதிக்கப்பட்டவர்","பாதிக்கபரmaathavan","தாக மனனள","victim","attacker"
"தாக்குதல்","படையெடுப்பு","படையசtnse","தாக மனனள","invasion","attack"
"தாடி","hair","hamn","தாஅஸ","hair","beard"
"தாராள","கருணையுடன்","கருணமனனனத","azராள","compassionate","generous"
"தாராளமயமாக்கல்","கன்சர்வேடிவ்","கன்சரமனனனத","தாராளமயரmaathavan","conservative","liberal"
"தாவி செல்லவும்","ஏற","லஏ","தாவி ரmaathavan","climb","jump"
"தானாகவே","தொண்டர்","தொ மனனள","தா மனனள","volunteer","voluntarily"
"திசு","தோல்","தோxp","kgசு","skin","tissue"
"திட்டமிடல்","தயாரிப்பு","தயாரtnse","திட்மனiii","preparation","planning"
"திரவ","திரவ","azரவ","rgரவ","liquid","fluid"
"திருமண","நிச்சயதார்த்தம்","நிச்சயதரmaathavan","திரனனச","engagement","wedding"
"திருமணம்","ஒற்றை","கஸ்றை","திர மனனள","single","married"
"திருமணம்","விவாகரத்து","விவாமனனனத","திர மனனள","divorce","marriage"
"திரும்ப","மீண்டும்","அரனண்டும்","திரtnse","back","return"
"திரைப்பட","ஆபாச வீடியோக்கள்","ஆபாச வீரmaathavan","திர மனனள","porn","movie"
"திரையரங்கம்","சினிமா","சினிஓம","திரையமனனனத","cinema","theater"
"திறமை","சாத்தியமான","சாத் மனனள","μmறமை","potential","talent"
"திறமையான","பயனுள்ளதாக","பயனுளமனiii","திறமனiii","useful","effective"
"திறன்","திறன் கொண்டது","திறன்ரmaathavan","ਵਚறன்","capacity","ability"
"துகள்","விஷயம்","விவதயம","மறகள்","matter","particle"
"துண்டு","துண்டு","துண்ua","துண்ஹங","fragment","piece"
"துண்டு துண்டாக","போர்வை","போர்ஈத","துண்டரmaathavan","blanket","towel"
"துப்பறியும்","முகவர்","முகனனள","துப் மனனள","agent","detective"
"துப்பாக்கி","துப்பாக்கி","கரனஃப்பாக்கி","ஜகனனப்பாக்கி","rifle","gun"
"துயரத்தின்","வறுமை","வறஙகை","துயர மனனள","poverty","misery"
"துரதிர்ஷ்டம்","துரதிஷ்டவசமாக","துரதிஷ்ரmaathavan","துரதிரtnse","unfortunate","misfortune"
"துரத்தல்","பின்பற்றவும்","பின்ப மனனள","துரமனனனத","follow","chase"
"துருக்கி","சிக்கன்","சிமனனனத","லரனருக்கி","chicken","turkey"
"துரோகி","உளவு","உளசஜ","துரோbp","spy","traitor"
"துளை","கிராக்","கிராஊல","துநந","crack","hole"
"துறைமுகம்","பே","wg","துறமனiii","bay","harbor"
"துாண்டில்","பொறி","னதறி","ஜசஃாண்டில்","trap","bait"
"தூங்கு","ஓய்வு","ஓயநது","தூங்za","rest","sleep"
"தூசி","சாம்பல்","சாமனனனத","ழரசி","ash","dust"
"தூசி","ரஸ்டி","ரஸவனி","ழரசி","rusty","dusty"
"தெய்வீக","இறைவன்","இறசனனல","தெமனiii","god","divine"
"தெரியவில்லை","அநாமதேய","அநாயனனம","தெரி மனனள","anonymous","unknown"
"தெரியும்","இப்போது","இபரtnse","வனஃரியும்","now","know"
"தெரு","அவென்யூ","அவளல்யூ","தெஈஐ","avenue","street"
"தேர்தல்","பிரச்சாரம்","பிரசசtnse","தேரtnse","campaign","election"
"தேர்ந்தெடு","தேர்வு","தேர்jp","பலனனர்ந்தெடு","choose","select"
"தேவை","தேவையான","தேமனiii","வஅவை","necessary","need"
"தைரியமாக","உன்னத","உனனலத","தைரரtnse","noble","brave"
"தொகுப்பு","உறை","எதை","பணனகுப்பு","envelope","package"
"தொடரவும்","தொடரவும்","தொடரtnse","தொடரtnse","proceed","continue"
"தொடர்ந்து","எப்போதும்","எப்மனiii","தொடரtnse","always","constantly"
"தொடர்ந்து","தங்கியிருங்கள்","தங்கியரmaathavan","தொடரtnse","stay","remain"
"தொடர்பு","வழிசெலுத்தல்","வழிசெமனனனத","தொரtnse","navigation","communication"
"தொந்தரவு","குறுக்கீடு","பதனனறுக்கீடு","தொநசtnse","interrupt","disturb"
"தொப்பி","தலைக்கவசம்","தலைக்ரmaathavan","uiப்பி","helmet","hat"
"தொப்பி","கண்ணாடிகள்","கண்ண மனனள","uiப்பி","glasses","cap"
"தொலைக்காட்சி","வானொலி","வானொpo","தொலைரmaathavan","radio","television"
"தொலைநகல்","அஞ்சல்","அஞமனனக","தொலமனனனத","mail","fax"
"தொலைபேசி","அழைப்பு","அழரtnse","ணடனலைபேசி","call","telephone"
"தொழிலாளி","உழவர்","உழமனஷ","ஆறனழிலாளி","farmer","worker"
"தொழில்முறை","அமெச்சூர்","அமெசtnse","ஃபனனழில்முறை","amateur","professional"
"தொழில்முனைவோர்","மில்லியனர்","கரனஃல்லியனர்","தொழிலரmaathavan","millionaire","entrepreneur"
"தொற்று","வைரஸ்","bdரஸ்","vcற்று","virus","infection"
"தோல்வி","வெற்றி","ஓளற்றி","இஹல்வி","success","failure"
"தோல்வி","வெற்றி","ஓளற்றி","இஹல்வி","victory","defeat"
"நகரம்","மூலதன","மூநனவ","நகஹனய","capital","city"
"நகல்","அசல்","அசxm","நகpb","original","copy"
"நகை","வைரம்","௦௦ரம்","அமை","diamond","jewel"
"நகைச்சுவை","நாடகம்","நாடனனற","நகைசtnse","drama","comedy"
"நகைச்சுவை","தந்திரம்","தந்மனiii","நகைசtnse","trick","joke"
"நட","ஓடு","இழு","னஸ","run","walk"
"நடக்கும்","ஏற்படும்","ஏற்ரtnse","நடகமனனனத","occur","happen"
"நடவடிக்கை","செயலில்","செமனiii","நடவடமனiii","active","activity"
"நடனம்","நடனமாடுபவர்","நடனமாடரmaathavan","தகனம்","dancer","dance"
"நடிகர்","நூலாசிரியர்","நூலாசtnse","நடயனனம","author","actor"
"நடைமுறையில்","உண்மையாகவே","உண்மமனனனத","நடைமசtnse","literally","practically"
"நட்சத்திரம்","பிரபல","பிளளத","நட்சதமனனனத","celebrity","star"
"நட்பாக","மரியாதைக்குரிய","மரியாதரmaathavan","நடதனனக","polite","friendly"
"நட்பு","உறவு","உறஏஓ","நடலலு","relationship","friendship"
"நண்பகல்","மிட்நைட்","இலனட்நைட்","நண்ஜனனன","midnight","noon"
"நண்பர்","சக","ளச","நணதனனன","colleague","friend"
"நம்பத்தகுந்த","விளக்கம்","விளசtnse","நம்பத்ரmaathavan","explanation","plausible"
"நம்பிக்கை","மரியாதை","மர மனனள","நம்சtnse","respect","confidence"
"நம்பு","நம்பிக்கை","நம்சtnse","நமமலு","trust","believe"
"நரகம்","பாரடைஸ்","பாரtnse","நர ஒர","paradise","hell"
"நல்ல","சத்தியம்","சத்மனனனத","நலpl","swear","oath"
"நன்கொடை","தொண்டு","lhண்டு","நன மனனள","charity","donation"
"நன்றி","விருந்தோம்பல்","விருநரmaathavan","நனமனி","hospitality","gratitude"
"நன்றி","நன்றியுடன்","நன்றமனனனத","நனமனி","grateful","thank"
"நன்று","சிறந்த","சிசனனத","நனறகு","excellent","great"
"நாகரிகம்","கலாச்சாரம்","கலாசசtnse","நாகரtnse","culture","civilization"
"நாசவேலை","உளவு","உளசஜ","நாசtnse","espionage","sabotage"
"நாடகம்","சைகை","okகை","நாடனனற","gesture","act"
"நாடு","நாடு","hkடு","நாஓல","country","nation"
"நாரி","நரம்பு","நரமjpg","நாஆய","vein","artery"
"நாற்காலி","மேசை","kwசை","ஹரனற்காலி","table","chair"
"நான்காவது","மூன்றாவது","மூனமனனனத","நானமனனனத","third","fourth"
"நான்கு","இரண்டு","இரககடட","நான்ஷஸ","two","four"
"நிகழ்ச்சி","திட்டம்","திமனனனத","நிக மனனள","project","program"
"நிகழ்வு","நிகழ்வு நிகழ்வு","நிகழ்வரmaathavan","நிமனனனத","phenomenon","event"
"நிதி","நிதி ரீதியாக","நிதிரmaathavan","நிஅப","financially","financing"
"நிதி","பட்ஜெட்","படரtnse","நிஅப","budget","funding"
"நிதி","வங்கி","வஙகபி","நிஅப","banking","financial"
"நிபுணர்","நிபுணர்","நி மனனள","நி மனனள","expert","specialist"
"நிமிடம்","இரண்டாவது","இரண்மனiii","நிமனனனத","second","minute"
"நியாயமற்ற","அநீதி","அநநரி","நியாசtnse","injustice","unfair"
"நியாயமான","நியாயமான","நிய மனனள","நிய மனனள","fair","reasonable"
"நிர்வாக","மேலாண்மை","ஹயனலாண்மை","நிரtnse","management","administrative"
"நிர்வாணமாக","நிர்வாண","நிரtnse","நிர்மனiii","nude","naked"
"நில உரிமையாளர்","வாடகைக்காரர்","வாடகைமனiii","நில உரரmaathavan","tenant","landlord"
"நிலை","நிலை","நிதஆ","நிtv","status","position"
"நிலை","கூட்டாட்சியின்","கூட்டரmaathavan","நிtv","federal","state"
"நிலையம்","நடைமேடை","நட மனனள","நிமனiii","platform","station"
"நிறுத்த","தடுக்க","தடமனனக","நிமனனனத","prevent","stop"
"நினைவில்","மறந்துவேக்கம்","மறந்துரtnse","கதனனைவில்","forget","remember"
"நீக்க","அகற்ற","அகவனங","svக்க","eliminate","remove"
"நீச்சல்","மூழ்கடிக்கப்பட்டது","மூழ்கடிக்ரmaathavan","நீசtnse","drown","swim"
"நீண்ட","குறுகிய","குமனiii","eoண்ட","short","long"
"நீதி","பழிவாங்கும்","பழிவரtnse","நீஐச","revenge","justice"
"நீதிபதி","நீதிமன்றம்","நீதிமனனனத","நீ மனனள","court","judge"
"நீல","பழுப்பு","பழமனiii","ஏஎல","brown","blue"
"நீளம்","அளவு","அளஇக","ooளம்","size","length"
"நுட்பமாகும்","முறை","பஏறை","நுட் மனனள","method","technique"
"நுண்ணோக்கி","தொலைநோக்கி","பனனனலைநோக்கி","ஃபனனண்ணோக்கி","telescope","microscope"
"நுழைவு","வெளியீடு","ஒனனளியீடு","ptழைவு","exit","entrance"
"நூல்","திருவிவிலியம்","திருவரmaathavan","xdல்","bible","book"
"நூறு","ஆயிரம்","ஆயசனனத","எஎறு","thousand","hundred"
"நெகிழி","சிமெத்து","வலஃமெத்து","udகிழி","cement","plastic"
"நெக்லஸ்","மோதிரம்","மோரtnse","நெசtnse","ring","necklace"
"நெடுஞ்சாலை","சாலை","जलலை","ஃபனனடுஞ்சாலை","road","highway"
"நெருக்கடி","நிலைமை","நிலைgx","நெரமனனனத","situation","crisis"
"நெருக்கமான","திறந்த","திறனனம","நெரு மனனள","open","close"
"நெருக்கமான","தனிப்பட்ட","தனிபமனனனத","நெரு மனனள","personal","intimate"
"நெறிமுறை","விதி","விnl","அறனறிமுறை","rule","protocol"
"நேரடியாக","நேரடி","னறரடி","நேர மனனள","direct","directly"
"நேர்த்தியான","நாகரீகமான","நாகரமனனனத","நேர் மனனள","fashionable","elegant"
"நேர்மை","விசுவாசம்","விசமனனனத","ஐஆர்மை","loyalty","honesty"
"நேர்மையான","ஒழுக்கமான","ஒழுகமனனனத","நேர மனனள","decent","honest"
"நேற்று","இன்று","இனபமு","	இற்று","today","yesterday"
"நோய்","சரி","மறி","நோdf","flu","disease"
"நோய்க்குறி","அறிகுறி","அறமனiii","பரனஃய்க்குறி","symptom","syndrome"
"நோய்வாய்ப்பட்ட","இல்ல","இலஷஷ","நோய்வாரmaathavan","ill","sick"
"பகுப்பாய்வு","ஊடுருவி","ஊடரtnse","பகுபமனiii","autopsy","analysis"
"பக்தி","fidelity","fidetety","பகரனி","fidelity","devotion"
"பசி","சோர்வாக","சோரtnse","உடி","tired","hungry"
"படகு","நீர்மூழ்கிக் கப்பல்","நீர்மூழ்ரshrikarsan","படwh","submarine","boat"
"படப்பிடிப்பு","சுட்டு","ktட்டு","படப்பரtnse","shot","shoot"
"படுக்கை","சோபா","ஐஅபா","படரtnse","sofa","bed"
"படுக்கையறை","அறை","பனை","படுகரtnse","room","bedroom"
"படை","வலிமை","வலலளை","வரை","strength","force"
"படைப்பாற்றல்","கற்பனை","கறரனனச","படைப்ரtnse","imagination","creativity"
"பட்","கழுதை","கழயகை","வர்","ass","butt"
"பட்டதாரி","டிப்ளோமா","பணனப்ளோமா","பட்சtnse","diploma","graduate"
"பட்டாலியன்","regiment","சழgiment","பட்டமனனனத","regiment","battalion"
"பணக்கார","ஏழை","phை","பணகதனvi","poor","rich"
"பணப்பை","பாக்கெட்","நரனக்கெட்","பணபiii","pocket","wallet"
"பணம்","பணம்","பணவந","பணtw","cash","money"
"பணிப்பெண்","ஆயா","ஒரா","பணி மனனள","nanny","maid"
"பணியாளர்","waiter","ஹபiter","பணிசtnse","waiter","waitress"
"பதக்கம்","டிராபி","டிராug","பதகவனனத","trophy","medal"
"பதட்டமாக","கவலை","கவஏய","பதட்மனனனத","worried","nervous"
"பதற்றம் நீக்கம்","இராஜினாமா","பயனாஜினாமா","பதற்றம்ரmaathavan","resignation","dismissal"
"பதில்","பதில்","பதமக்","பதரன்","answer","reply"
"பதிவு","பதிவு","பதலயு","பதயமு","record","recording"
"பத்தி","பிரிவு","எஎரிவு","பதனமி","section","paragraph"
"பத்திரிகை","பிளேபாய்","ஐயனளேபாய்","பத்மனiii","playboy","magazine"
"பத்திரிகையாளர்","நிருபர்","நிரtnse","பத்திரரmaathavan","reporter","journalist"
"பயங்கரமான","பயங்கரமான","பயங்கரmaathavan","பயங்கரmaathavan","terrible","horrible"
"பயமுறுத்தும்","பயமுறுத்தல்","பயமுறரtnse","பயமுறரtnse","scare","frighten"
"பயம்","திகில் படங்கள்","திகில்ரmaathavan","பயஓஷ","horror","fear"
"பயனற்ற","பயனற்றது","பயனறவதயம","பயனடii","useless","worthless"
"பயன்படுத்தவும்","பொருந்தும்","ஜகனனருந்தும்","பயன்படுரtnse","apply","use"
"பரந்த","குறுகிய","குமனiii","பரவனஜ","narrow","wide"
"பரலோகத்தில்","வானம்","ivனம்","பரலோகரtnse","sky","heavenly"
"பராமரிக்க","காப்பாற்றுங்கள்","காப்பாரmaathavan","பராமமனனனத","preserve","maintain"
"பராமரிப்பு","சேவை","hzவை","பராமரtnse","service","maintenance"
"பரிசு","பாராட்டு","லரனராட்டு","பரனஸு","compliment","gift"
"பரிசு","நோபல்","ஔடபல்","பரனஸு","nobel","prize"
"பரிதாபகரமான","துன்பகரமான","துன்பரmaathavan","பரிதாபரmaathavan","miserable","pathetic"
