"ta_cue","ta_target","type","cue_type","target_type","ta_cosine"
"ஆதாரம்","அசிங்கமான","unrelated","word","word",NA
"கோபம்","மரபுரிமையாக","unrelated","word","word",NA
"ஆபத்தானது","கடிதம்","unrelated","word","word",NA
"இடர்","சேப்பல்","unrelated","word","word",NA
"நத்தை","இடியட்","unrelated","word","word",NA
"சரி","தனியாக","unrelated","word","word",NA
"அர்செனல்","அந்த","unrelated","word","word",NA
"பிஸ்டல்","கர்ப்பம்","unrelated","word","word",NA
"பரிசோதனை","குளியலறை","unrelated","word","word",NA
"காப்ஸ்யூல்","முட்டாள்","unrelated","word","word",NA
"ஆராய்ச்சி","அணு","unrelated","word","word",NA
"பச்சை","வேகமாக","unrelated","word","word",NA
"தாமதமாக","பொய்யன்","unrelated","word","word",NA
"ஆய்வாளர்","சாப்பிடுங்கள்","unrelated","word","word",NA
"எதிர்ப்பு","குடித்துவிட்டு","unrelated","word","word",NA
"மூலையில்","ஆரஞ்சு","unrelated","word","word",NA
"ஆலோசனை","போதனை","unrelated","word","word",NA
"பிராவோ","சோடா","unrelated","word","word",NA
"கோப்பு","நீண்ட","unrelated","word","word",NA
"ஆத்மா","நுண்ணோக்கி","unrelated","word","word",NA
"பாத்திரம்","சுற்றி","unrelated","word","word",NA
"பவர்","கட்டு","unrelated","word","word",NA
"ஜாஸ்","பாதுகாப்பு","unrelated","word","word",NA
"பாடகர்","ஒப்புதல்","unrelated","word","word",NA
"ஆர்கெஸ்ட்ரா","உடன்படிக்கை","unrelated","word","word",NA
"சரி","டிங்","unrelated","word","word",NA
"முட்டாள்","சோதனை","unrelated","word","word",NA
"சமநிலை","குறிக்கவும்","unrelated","word","word",NA
"தொடர்பு","நட்பு","unrelated","word","word",NA
"அருகில்","அளவு","unrelated","word","word",NA
"பயணிகள்","ஜூலை","unrelated","word","word",NA
"தயாரிப்பாளர்","paranormal","unrelated","word","word",NA
"தொட்டி","காலம்","unrelated","word","word",NA
"ரோபோ","தொப்பி","unrelated","word","word",NA
"பொறுமை","எஃகு","unrelated","word","word",NA
"ஹீரோ","நோய்க்குறி","unrelated","word","word",NA
"ராயல்","வெட்டு","unrelated","word","word",NA
"படைவீரர்","தொலைநகல்","unrelated","word","word",NA
"சிவில்","உடற்பயிற்சி","unrelated","word","word",NA
"டுனா","உயர்","unrelated","word","word",NA
"இடம்","அண்ணனினலின்","unrelated","word","word",NA
"நிழல்","துப்பாக்கி","unrelated","word","word",NA
"கலை","சிரிக்க","unrelated","word","word",NA
"சுதந்திரமாக","கவ்பாய்","unrelated","word","word",NA
"வசந்த","வேலை","unrelated","word","word",NA
"இருத்தல்","அறிக்கை","unrelated","word","word",NA
"அனுபவம் இன்றி","போக்கர்","unrelated","word","word",NA
"மோசமான","ransom","unrelated","word","word",NA
"தள்ள","பகுப்பாய்வு","unrelated","word","word",NA
"பழைய","கல்லீரல்","unrelated","word","word",NA
"இளவரசி","அக்டோபர்","unrelated","word","word",NA
"பாதிப்பு","விரைவாக","unrelated","word","word",NA
"உயிருடன்","பார்க்கவும்","unrelated","word","word",NA
"இறுதி","நல்ல","unrelated","word","word",NA
"சவப்பெட்டி","திசு","unrelated","word","word",NA
"இறுதியாக","நினைவில்","unrelated","word","word",NA
"பன்றி","பூ","unrelated","word","word",NA
"மராத்தான்","துகள்","unrelated","word","word",NA
"வசதியான","நீச்சல்","unrelated","word","word",NA
"ஏற்கனவே","நன்றி","unrelated","word","word",NA
"நில","அரசியல்","unrelated","word","word",NA
"முரண்","பராமரிக்க","unrelated","word","word",NA
"உலர்ந்த","டைமர்","unrelated","word","word",NA
"முகஸ்துதி","இணைப்பு","unrelated","word","word",NA
"கவனம்","பாட்டில்","unrelated","word","word",NA
"குரல்","கடமை","unrelated","word","word",NA
"பாலியல்","புதுப்பிப்பு","unrelated","word","word",NA
"பயிற்சி","தகவல்தொடர்பு","unrelated","word","word",NA
"எஸ்கார்ட்","சென்டிமீட்டர்","unrelated","word","word",NA
"ஒப்பந்த","வாடகை","unrelated","word","word",NA
"ரிதம்","நிர்வாக","unrelated","word","word",NA
"ஸ்மாஷ்","அழகியரூன்","unrelated","word","word",NA
"நிற்க","அமைதி","unrelated","word","word",NA
"உடல்","உத்வேகம்","unrelated","word","word",NA
"மன","தாக்குதல்","unrelated","word","word",NA
"மென்மையான","சவால்","unrelated","word","word",NA
"உணர்வை","கிராம்","unrelated","word","word",NA
"பப்","பசி","unrelated","word","word",NA
"உணவு","பையில்","unrelated","word","word",NA
"விசுவாசமுள்ள","தெரு","unrelated","word","word",NA
"உண்மை","பேருந்து","unrelated","word","word",NA
"உண்மையில்","பிரிவு","unrelated","word","word",NA
"ஆதரவு","படுக்கையறை","unrelated","word","word",NA
"செயலாளர்","செய்","unrelated","word","word",NA
"உதவி","நிலை","unrelated","word","word",NA
"ஊக்கமளிக்கும்","யோசி","unrelated","word","word",NA
"டாக்ஸி","திருமண","unrelated","word","word",NA
"மாட்சிமை","பணம்","unrelated","word","word",NA
"எடை","தொடரவும்","unrelated","word","word",NA
"குறைந்த","உறுதியை","unrelated","word","word",NA
"வேதியியல்","திட்டமிடல்","unrelated","word","word",NA
"இரசாயன","மடாலயம்","unrelated","word","word",NA
"மான்ஸ்டர்","வெளிப்புற","unrelated","word","word",NA
"நேரடி","அடையாளம்","unrelated","word","word",NA
"சொத்து","மாறாக","unrelated","word","word",NA
"சர்வதேச","மருந்து","unrelated","word","word",NA
"தேசிய","நோய்வாய்ப்பட்ட","unrelated","word","word",NA
"இரும்பு","பைலட்","unrelated","word","word",NA
"உடற்கூறியல்","அதிகபட்சம்","unrelated","word","word",NA
"மருத்துவம்","நெடுஞ்சாலை","unrelated","word","word",NA
"கொண்டிருக்கும்","நீளம்","unrelated","word","word",NA
"அவமதிப்பு","மேற்கு","unrelated","word","word",NA
"உள்ளுணர்வு","ஜூனியர்","unrelated","word","word",NA
"பிராந்திய","சொற்றொடர்","unrelated","word","word",NA
"வெளியே","மனைவி","unrelated","word","word",NA
"உறுதிப்படுத்தல்","ஃப்யூஜிடிவ்","unrelated","word","word",NA
"தைரியம்","விலை","unrelated","word","word",NA
"காரணி","முகவரி","unrelated","word","word",NA
"உருகும்","இறுதியில்","unrelated","word","word",NA
"பெருமை","துறைமுகம்","unrelated","word","word",NA
"தொழிற்சாலை","புகைப்படக்காரர்","unrelated","word","word",NA
"உருவாக்கு","மெழுகுவர்த்தி","unrelated","word","word",NA
"டோஸ்","பேட்மேன்","unrelated","word","word",NA
"வதந்திகள்","இராணுவம்","unrelated","word","word",NA
"கான்கிரீட்","வேட்டையாடு","unrelated","word","word",NA
"விவரிக்க","பரிதாபகரமான","unrelated","word","word",NA
"மற்ற இடங்களில்","கார்டினல்","unrelated","word","word",NA
"எய்ட்ஸ்","சுலபம்","unrelated","word","word",NA
"எச்சரிக்கை","ஆத்திரம்","unrelated","word","word",NA
"பாரோன்","காலை","unrelated","word","word",NA
"நோக்கம்","முக்கியத்துவம்","unrelated","word","word",NA
"நிலக்கரி","நேர்த்தியான","unrelated","word","word",NA
"எதிர்ப்பு","பல்","unrelated","word","word",NA
"திடீரென்று","விசுவாசம்","unrelated","word","word",NA
"காத்திரு","வேட்கை","unrelated","word","word",NA
"எதிரியின்","மாவட்டம்","unrelated","word","word",NA
"நேர்மறை","பில்லியன்","unrelated","word","word",NA
"தொடர்","அமைப்பு","unrelated","word","word",NA
"இல்லை","கூல்","unrelated","word","word",NA
"எரிவாயு","இழுக்கவும்","unrelated","word","word",NA
"சுட்டி","வேண்டுகோள்","unrelated","word","word",NA
"படி","ஒலி","unrelated","word","word",NA
"படித்தல்","பொருத்துக","unrelated","word","word",NA
"கவிஞர்","அமெரிக்கா அமெரிக்கா","unrelated","word","word",NA
"வெறுமனே","குளிர்","unrelated","word","word",NA
"தேனீ","துருக்கி","unrelated","word","word",NA
"நித்திய","ymrogance","unrelated","word","word",NA
"தப்பி","தாடி","unrelated","word","word",NA
"எதுவும் இல்லை","சுயநலமாக","unrelated","word","word",NA
"ஆச்சரியம்","ஆண்குறி","unrelated","word","word",NA
"நதி","ஞாயிற்றுக்கிழமை","unrelated","word","word",NA
"ufo","சரியான","unrelated","word","word",NA
"ராக்கெட்","திரையரங்கம்","unrelated","word","word",NA
"ஏற்பாடு","குழப்பம்","unrelated","word","word",NA
"மறு","நகல்","unrelated","word","word",NA
"அனுமதி","சாக்லேட்","unrelated","word","word",NA
"ஒப்புக் கொள்ளுங்கள்","எங்காவது","unrelated","word","word",NA
"சத்தம்","சேமிக்கவும்","unrelated","word","word",NA
"புகைப்பட கருவி","map","unrelated","word","word",NA
"கட்டளை","நீதிபதி","unrelated","word","word",NA
"இருள்","தொழில்முனைவோர்","unrelated","word","word",NA
"விஸ்கி","தானாகவே","unrelated","word","word",NA
"தாங்க","எறும்பு","unrelated","word","word",NA
"கலைஞர்","குழு","unrelated","word","word",NA
"அகதிகள்","குழு","unrelated","word","word",NA
"சுற்றுலா","மாற்றம்","unrelated","word","word",NA
"கடத்தல்","பணியாளர்","unrelated","word","word",NA
"முதல்","வெடிக்கும்","unrelated","word","word",NA
"எதிர்கால","விசித்திரமாக","unrelated","word","word",NA
"பொறுப்பு","விறைப்பு","unrelated","word","word",NA
"கடல்","மார்பின்","unrelated","word","word",NA
"டிக்கெட்","பீரங்கி","unrelated","word","word",NA
"குறியீடு","பரிசு","unrelated","word","word",NA
"கடற்கரை","கட்டட வடிவமைப்பாளர்","unrelated","word","word",NA
"மரண்","எதிர்ப்பாளர்","unrelated","word","word",NA
"கடற்படை","தலைப்பு","unrelated","word","word",NA
"கடன்","பிறந்தநாள்","unrelated","word","word",NA
"டெலிகிராம்","இலக்கியம்","unrelated","word","word",NA
"கடினமான","மாவு","unrelated","word","word",NA
"கடை","அற்புதம்","unrelated","word","word",NA
"வரவேற்பு","வாத்து","unrelated","word","word",NA
"பொறியாளர்","வாயில்","unrelated","word","word",NA
"கோபுரம்","எபிசோடை","unrelated","word","word",NA
"கட்டுமான","துப்பறியும்","unrelated","word","word",NA
"கட்டுதல்","மேற்பரப்பில்","unrelated","word","word",NA
"விரல்","பயம்","unrelated","word","word",NA
"எண்ண","முதன்மை","unrelated","word","word",NA
"இயற்பியல்","பறவை","unrelated","word","word",NA
"மென்பொருள்","எதிர்மறை","unrelated","word","word",NA
"பரபரப்பான","சித்திரவதை","unrelated","word","word",NA
"கேலரி","பாஸ்டன்","unrelated","word","word",NA
"திரை","முதலீடு","unrelated","word","word",NA
"தேடல்","வான்","unrelated","word","word",NA
"பிரதிபலிப்பு","முட்டாள்தனம்","unrelated","word","word",NA
"ஜன்னல்","எதிர்க்க","unrelated","word","word",NA
"மாசு","உண்மையாக","unrelated","word","word",NA
"வாள்","தொற்று","unrelated","word","word",NA
"பைரேட்","இலையுதிர்","unrelated","word","word",NA
"பணிப்பெண்","உட்கார","unrelated","word","word",NA
"தரை","செயல்முறை","unrelated","word","word",NA
"கேபிள்","சிக்னல்","unrelated","word","word",NA
"இனவெறி","உயிர் பிழைக்க","unrelated","word","word",NA
"சங்கிலி","வழக்கறிஞர்","unrelated","word","word",NA
"வெள்ளை","சீருடை","unrelated","word","word",NA
"கருவி","உற்சாகமாக","unrelated","word","word",NA
"பிறப்பு","சண்டை","unrelated","word","word",NA
"பொது","மின்சாரம்","unrelated","word","word",NA
"இணை","விரும்பத்தகாத","unrelated","word","word",NA
"பாறை","பயனற்ற","unrelated","word","word",NA
"கல்லறை","தசாப்தம்","unrelated","word","word",NA
"சிறுநீரக","நன்று","unrelated","word","word",NA
"சுகாதார","எலி","unrelated","word","word",NA
"கவசமாக","புயல்","unrelated","word","word",NA
"அக்கறை","நிபுணர்","unrelated","word","word",NA
"உரை","செஃப்","unrelated","word","word",NA
"ரோடியோ","துரத்தல்","unrelated","word","word",NA
"பிளஸ்","கிறிஸ்துவர்","unrelated","word","word",NA
"தொண்டை","வழங்கவும்","unrelated","word","word",NA
"சுத்தமான","வாரியர்","unrelated","word","word",NA
"உண்மை","கடத்தப்படுதல்","unrelated","word","word",NA
"நைட்மேர்","நடனம்","unrelated","word","word",NA
"உதடு","கைதி","unrelated","word","word",NA
"ரம்","கடினமான","unrelated","word","word",NA
"காட்டில்","உதவியாளர்","unrelated","word","word",NA
"இறப்பு","தசை","unrelated","word","word",NA
"dvd","அவசரம்","unrelated","word","word",NA
"வெறுப்பு","உளவியல்","unrelated","word","word",NA
"வியத்தகு","ஜாக்கெட்","unrelated","word","word",NA
"கண்","பாஸ்","unrelated","word","word",NA
"காயம்","உடை","unrelated","word","word",NA
"இருமல்","கத்தி","unrelated","word","word",NA
"காரணம்","ஓவியர்","unrelated","word","word",NA
"வாகன","கிருயிர்","unrelated","word","word",NA
"பிஷப்","பேனா","unrelated","word","word",NA
"மாஃபியா","சந்தித்தல்","unrelated","word","word",NA
"நிறுவனம்","நேர்மை","unrelated","word","word",NA
"துவக்க","சிரிஞ்ச்","unrelated","word","word",NA
"கட்டம்","புராண","unrelated","word","word",NA
"அரை","இனம்","unrelated","word","word",NA
"நாளை","சோதனை","unrelated","word","word",NA
"இரவு உணவு","இசைக்குழு","unrelated","word","word",NA
"கூடைப்பந்து","நிர்வாணமாக","unrelated","word","word",NA
"அடைப்பான்","இறந்துவிட்டது","unrelated","word","word",NA
"ராணி","சவாரி","unrelated","word","word",NA
"பியானோ","வைட்டமின்","unrelated","word","word",NA
"முகாம்","கொலையாளி","unrelated","word","word",NA
"கிலோ","மோசடி","unrelated","word","word",NA
"கீறல்","தடுப்பூசி","unrelated","word","word",NA
"ரோமன்","தொப்பி","unrelated","word","word",NA
"மேற்கு","கற்பனை","unrelated","word","word",NA
"கத்தோலிக்க","முகவர்","unrelated","word","word",NA
"மேல்","முயல்","unrelated","word","word",NA
"நிதானமான","புறப்பாடு","unrelated","word","word",NA
"புனைப்பெயர்","ஊழல்","unrelated","word","word",NA
"க்ளான்","தாராள","unrelated","word","word",NA
"மீட்க","இடது","unrelated","word","word",NA
"கழுதை","விஞ்ஞானி","unrelated","word","word",NA
"குப்பை","இன்னும்","unrelated","word","word",NA
"வயிற்றுப்போக்கு","ஆவி","unrelated","word","word",NA
"குழந்தை","துண்டு துண்டாக","unrelated","word","word",NA
"இளைஞர்","நுழைவு","unrelated","word","word",NA
"முத்தம்","மரணதண்டனை","unrelated","word","word",NA
"குழப்பம்","வணிக","unrelated","word","word",NA
"பம்ப்","பெரிதும்","unrelated","word","word",NA
"லீக்","பணிப்பெண்","unrelated","word","word",NA
"கும்பல்","மதிய உணவு","unrelated","word","word",NA
"தரகு","சந்தேக","unrelated","word","word",NA
"மழை","சாலட்","unrelated","word","word",NA
"சூடான","வளர்ச்சி","unrelated","word","word",NA
"கோடைக்கால","உண்மையில்","unrelated","word","word",NA
"புள்ளி","தயார் செய்","unrelated","word","word",NA
"விதிவிலக்காக","காணொளி","unrelated","word","word",NA
"அதிகரி","ஆச்சரியமாக","unrelated","word","word",NA
"அப்பாவி","பிரஞ்சு","unrelated","word","word",NA
"புகார்","கொல்லுங்கள்","unrelated","word","word",NA
"பாவம்","அதிகாரம்","unrelated","word","word",NA
"திருடன்","சாயங்காலம்","unrelated","word","word",NA
"கூடுதல்","இதுவரை","unrelated","word","word",NA
"காலனி","சிப்பி","unrelated","word","word",NA
"சூடான","ஹாம்பர்கர்","unrelated","word","word",NA
"லெஸ்பியன்","குற்ற உணர்வு","unrelated","word","word",NA
"இனிப்பு","ஆளுமை","unrelated","word","word",NA
"தளபதி","மகன்","unrelated","word","word",NA
"பணிமனை","செலவு","unrelated","word","word",NA
"பிரபஞ்சம்","தரம்","unrelated","word","word",NA
"கேள்வி","திரவ","unrelated","word","word",NA
"கேளுங்கள்","காய்ச்சல்","unrelated","word","word",NA
"கை","கேள்","unrelated","word","word",NA
"துணி","வெடிப்பு","unrelated","word","word",NA
"பணயக்கைதிகள்","பெருவாரியாக பரவும் தொற்று நோய்","unrelated","word","word",NA
"தண்டிக்கவும்","மதுக்கூடம்","unrelated","word","word",NA
"கட்டுப்பாடு","குற்றச்சாட்டு","unrelated","word","word",NA
"முத்திரை","கைவிட","unrelated","word","word",NA
"டிஎன்ஏ","சிகார்","unrelated","word","word",NA
"விட்டு","கணிதம்","unrelated","word","word",NA
"சலுகை","வெறுப்பூட்டும்","unrelated","word","word",NA
"தீய","கைக்குட்டை","unrelated","word","word",NA
"மிருகத்தனமான","விளையாட்டு","unrelated","word","word",NA
"கோப்பை","வாக்குறுதி","unrelated","word","word",NA
"குரங்கு","சம்பளம்","unrelated","word","word",NA
"தற்கொலை","துளை","unrelated","word","word",NA
"கொலையாளி","தெரியவில்லை","unrelated","word","word",NA
"கூலிப்படை","அநேகமாக","unrelated","word","word",NA
"விஷம்","ஹெலிகாப்டர்","unrelated","word","word",NA
"திருட்டு","மலிவான","unrelated","word","word",NA
"அரண்மனை","யதார்த்தமான","unrelated","word","word",NA
"கருத்து","மூடுபனி","unrelated","word","word",NA
"பொறாமை","இசை","unrelated","word","word",NA
"பெருமை","தாராளமயமாக்கல்","unrelated","word","word",NA
"சகோதரி","அழகாக","unrelated","word","word",NA
"சட்டவிரோதமாக","ஆய்வு","unrelated","word","word",NA
"போர்","கடை","unrelated","word","word",NA
"பார்க்க","காடு","unrelated","word","word",NA
"மாநாடு","அதிகாரப்பூர்வ","unrelated","word","word",NA
"சந்தேகம்","ஏவுகணை","unrelated","word","word",NA
"திருப்தி","நில உரிமையாளர்","unrelated","word","word",NA
"வெறும்","படுக்கை","unrelated","word","word",NA
"சமூகம்","கொள்ளை","unrelated","word","word",NA
"ஓய்வூதியம்","நெருக்கடி","unrelated","word","word",NA
"சுமை","நகை","unrelated","word","word",NA
"தவறு","நாடகம்","unrelated","word","word",NA
"காசோலை","துரோகி","unrelated","word","word",NA
"ஏற்றதாக","பிடித்த","unrelated","word","word",NA
"வீழ்ச்சி","எண்ணெய்","unrelated","word","word",NA
"பூங்காவில்","தொடர்ந்து","unrelated","word","word",NA
"முரண்பாடு","பாதுகாக்க","unrelated","word","word",NA
"இயக்கி","பதில்","unrelated","word","word",NA
"தடையாக","இறைச்சி","unrelated","word","word",NA
"நிலா","பிரசங்கம்","unrelated","word","word",NA
"மன்னிக்கவும்","கௌரவம்","unrelated","word","word",NA
"சர்க்கரை","விரும்பும்","unrelated","word","word",NA
"சாட்சி","தக்காளி","unrelated","word","word",NA
"சிப்","ஜனநாயகம்","unrelated","word","word",NA
"தாழ்மையுடன்","பைத்தியம்","unrelated","word","word",NA
"ஆரோக்கியமான","சர்ச்சை","unrelated","word","word",NA
"வாய்ப்பு","ரக்கூன்","unrelated","word","word",NA
"உணவு","அருங்காட்சியகம்","unrelated","word","word",NA
"நிஞ்ஜா","கட்டியெழுப்ப","unrelated","word","word",NA
"போட்டி","படை","unrelated","word","word",NA
"மது","செயற்கை","unrelated","word","word",NA
"இரவு","அமைச்சர்","unrelated","word","word",NA
"சூப்","பலவீனமான","unrelated","word","word",NA
"பால்","கழித்தல்","unrelated","word","word",NA
"கிரீம்","பொருள்","unrelated","word","word",NA
"புகையிலை","நெகிழி","unrelated","word","word",NA
"புகை","ஆய்வு","unrelated","word","word",NA
"சிகிச்சை","அமைப்பு","unrelated","word","word",NA
"மருத்துவமனை","ஈர்க்கும்","unrelated","word","word",NA
"அதிர்வெண்","நெக்லஸ்","unrelated","word","word",NA
"டிராகன்","நடவடிக்கை","unrelated","word","word",NA
"உபகரணங்கள்","சட்ட","unrelated","word","word",NA
"துன்பம்","வேண்டுமென்றே","unrelated","word","word",NA
"கைவிட","வாக்களிக்கவும்","unrelated","word","word",NA
"கிரீடம்","காற்றோட்டம்","unrelated","word","word",NA
"புன்னகை","அழகு","unrelated","word","word",NA
"ஊசி","பிடி","unrelated","word","word",NA
"நினைவுச்சின்னம்","கம்பி","unrelated","word","word",NA
"நங்கூரம்","நாகரிகம்","unrelated","word","word",NA
"சிறிது","செனட்டர்","unrelated","word","word",NA
"இரத்தம்","மதிப்பிடுதல்","unrelated","word","word",NA
"பெண்","உறுப்பு","unrelated","word","word",NA
"செல்","தலைவர்","unrelated","word","word",NA
"தண்டம்","சிகிச்சையகம்","unrelated","word","word",NA
"கொடி","கடற்படை","unrelated","word","word",NA
"பேட்ஜ்","விழா","unrelated","word","word",NA
"ரொட்டி","புகழ்","unrelated","word","word",NA
"தீ","நியாயமான","unrelated","word","word",NA
"குச்சி","மூன்று","unrelated","word","word",NA
"பிடிவாதமாக இருந்தது","புற்றுநோய்","unrelated","word","word",NA
"பாலம்","மெர்சி","unrelated","word","word",NA
"சாத்தியமற்றது","இலவச","unrelated","word","word",NA
"உற்சாகமான","உலகம்","unrelated","word","word",NA
"சக்","உள்ளே","unrelated","word","word",NA
"திரும்ப","காலாண்டு","unrelated","word","word",NA
"ஆரம்","அம்மா","unrelated","word","word",NA
"சுற்று","மரண","unrelated","word","word",NA
"சுருக்கமாக","சிகிச்சை","unrelated","word","word",NA
"சந்திரன்","நிதி","unrelated","word","word",NA
"சூறாவளி","கேக்","unrelated","word","word",NA
"சாபம்","பெண்","unrelated","word","word",NA
"சமைக்கவும்","வேடிக்கை","unrelated","word","word",NA
"பொதுவான","கேப்டன்","unrelated","word","word",NA
"நிகழ்ச்சி","உள்ளூர்","unrelated","word","word",NA
"தூண்டுதல்","தாகம்","unrelated","word","word",NA
"செயல்படு","கண்காணிக்க","unrelated","word","word",NA
"செயல்முறை","பட்","unrelated","word","word",NA
"இயற்கை","தோல்வி","unrelated","word","word",NA
"செய்ய","வாங்குபவர்","unrelated","word","word",NA
"எச்சரிக்கை","லவர்","unrelated","word","word",NA
"சேனல்","முயற்சி","unrelated","word","word",NA
"கட்டுரை","கால்பந்து","unrelated","word","word",NA
"கழிவு","காதல்","unrelated","word","word",NA
"புதையல்","செயல்திறன்","unrelated","word","word",NA
"குருட்டு","டைனமைட்","unrelated","word","word",NA
"திங்கட்கிழமை","நிதி","unrelated","word","word",NA
"கவனம்","மணப்பெண்","unrelated","word","word",NA
"பாராளுமன்றம்","உள்ளுணர்வு","unrelated","word","word",NA
"கவர்னர்","வாடிக்கையாளர்","unrelated","word","word",NA
"மைல்","உள்ளடக்கம்","unrelated","word","word",NA
"திரட்டுதல்","நிலை","unrelated","word","word",NA
"ரேடார்","கப்பலோட்டி","unrelated","word","word",NA
"சர்ச்","சூனியக்காரி","unrelated","word","word",NA
"மீட்பு","பெருமை","unrelated","word","word",NA
"சொல்","மேல்","unrelated","word","word",NA
"கருத்தரங்கு","கூடுதல்","unrelated","word","word",NA
"அகராதி","உறுதி","unrelated","word","word",NA
"சோகமாக","சரிபார்க்கவும்","unrelated","word","word",NA
"எலுமிச்சை பாணம்","தெரியும்","unrelated","word","word",NA
"சோதனை","ஸ்ட்ரோல்","unrelated","word","word",NA
"கேட்கும்","அபத்தமான","unrelated","word","word",NA
"சனிக்கிழமை","தட்டு","unrelated","word","word",NA
"அறுவை சிகிச்சை","காலணி","unrelated","word","word",NA
"பவுண்டு","கண்ணாடி","unrelated","word","word",NA
"சூரிய அஸ்தமனம்","பொதுவாக","unrelated","word","word",NA
"பிங்","எப்போதும்","unrelated","word","word",NA
"நவம்பர்","கிழக்கு","unrelated","word","word",NA
"ஜீப்","சமீபத்தில்","unrelated","word","word",NA
"சென்சார்","வரை","unrelated","word","word",NA
"இரட்டிப்பாகும்","உடல்","unrelated","word","word",NA
"டீனேஜ்","வெளிப்படையாக","unrelated","word","word",NA
"அறை","முழங்கால்","unrelated","word","word",NA
"தேவதை","வேகம்","unrelated","word","word",NA
"கோல்ஃப்","நெருக்கமான","unrelated","word","word",NA
"detonator","ஆக்ஸிஜன்","unrelated","word","word",NA
"gunpowder","எழுது","unrelated","word","word",NA
"தகவல்கள்","அணுகுமுறை","unrelated","word","word",NA
"அறிக்கை","நட","unrelated","word","word",NA
"மூல","சன்","unrelated","word","word",NA
"தகுதி","தொடர்ந்து","unrelated","word","word",NA
"உருளைக்கிழங்கு","தேவை","unrelated","word","word",NA
"புகலிடம்","விபத்து","unrelated","word","word",NA
"நூற்றாண்டு","சரக்கு","unrelated","word","word",NA
"நரம்பு","வருமானம்","unrelated","word","word",NA
"மெல்லிய","நிகழ்வு","unrelated","word","word",NA
"மயக்கமடைதல்","கலவையை","unrelated","word","word",NA
"தடை செய்யப்பட்டது","விருப்பம்","unrelated","word","word",NA
"பவுல்","மிஷன்","unrelated","word","word",NA
"மின்னல்","தாக்குதல்","unrelated","word","word",NA
"பிராண்ட்","கே","unrelated","word","word",NA
"தயாராக","தொலைக்காட்சி","unrelated","word","word",NA
"அளவு","தண்டர்","unrelated","word","word",NA
"பெயர்","பள்ளத்தாக்கு","unrelated","word","word",NA
"அடித்தளம்","செய்திகள்","unrelated","word","word",NA
"உறுப்பினர்","வெள்ளி","unrelated","word","word",NA
"பயங்கரமான","கழுவுதல்","unrelated","word","word",NA
"பிழை","இளவரசன்","unrelated","word","word",NA
"சிறப்பு","ஏற்பாடு","unrelated","word","word",NA
"நபர்","உரிமையாளர்","unrelated","word","word",NA
"தனியாக","வருகிறேன்","unrelated","word","word",NA
"தனியார்","முள் கரண்டி","unrelated","word","word",NA
"பட்டினி","பூசாரி","unrelated","word","word",NA
"பாதிக்கப்பட்டவர்","ஏலியன்","unrelated","word","word",NA
"படையெடுப்பு","மண்டலம்","unrelated","word","word",NA
"hair","முடியவில்லை","unrelated","word","word",NA
"கருணையுடன்","பதட்டமாக","unrelated","word","word",NA
"கன்சர்வேடிவ்","சிறுநீர்","unrelated","word","word",NA
"ஏற","உணர்ச்சி","unrelated","word","word",NA
"தொண்டர்","விளக்கம்","unrelated","word","word",NA
"தோல்","விதியின்","unrelated","word","word",NA
"தயாரிப்பு","குணமடைய","unrelated","word","word",NA
"திரவ","செறிவு","unrelated","word","word",NA
"நிச்சயதார்த்தம்","தகவல்","unrelated","word","word",NA
"ஒற்றை","விடுமுறை","unrelated","word","word",NA
"விவாகரத்து","கேரேஜ்","unrelated","word","word",NA
"மீண்டும்","காலை உணவு","unrelated","word","word",NA
"ஆபாச வீடியோக்கள்","கடந்த","unrelated","word","word",NA
"சினிமா","மலை","unrelated","word","word",NA
"சாத்தியமான","கயிறு","unrelated","word","word",NA
"பயனுள்ளதாக","துண்டு","unrelated","word","word",NA
"திறன் கொண்டது","மரம்","unrelated","word","word",NA
"விஷயம்","கட்சி","unrelated","word","word",NA
"துண்டு","தைரியமாக","unrelated","word","word",NA
"போர்வை","ருசியான","unrelated","word","word",NA
"முகவர்","சொல்லுங்கள்","unrelated","word","word",NA
"துப்பாக்கி","டிரான்ஸ்மிட்டர்","unrelated","word","word",NA
"வறுமை","வாசனை","unrelated","word","word",NA
"துரதிஷ்டவசமாக","பாட்டி","unrelated","word","word",NA
"பின்பற்றவும்","ஆல்பா","unrelated","word","word",NA
"சிக்கன்","தவழும்","unrelated","word","word",NA
"உளவு","முற்றிலும்","unrelated","word","word",NA
"கிராக்","மன அழுத்தம்","unrelated","word","word",NA
"பே","முன்னேற்றம்","unrelated","word","word",NA
"பொறி","motel","unrelated","word","word",NA
"ஓய்வு","ஜனாதிபதி","unrelated","word","word",NA
"சாம்பல்","பூனை","unrelated","word","word",NA
"ரஸ்டி","காணாமல் போனது","unrelated","word","word",NA
"இறைவன்","கடற்படை","unrelated","word","word",NA
"அநாமதேய","போர்","unrelated","word","word",NA
"இப்போது","நகைச்சுவை","unrelated","word","word",NA
"அவென்யூ","ஒளி","unrelated","word","word",NA
"பிரச்சாரம்","விளைவு","unrelated","word","word",NA
"தேர்வு","வெண்ணெய்","unrelated","word","word",NA
"தேவையான","பாராட்ட","unrelated","word","word",NA
"உன்னத","எதிர்பார்ப்பு","unrelated","word","word",NA
"உறை","காக்னிக்","unrelated","word","word",NA
