"es_target","es_cue","es_fake_cue","es_fake_target","en_cue","en_target"
"instrumento","herramienta","hentamienta","instjimento","tool","instrument"
"inteligente","inteligente","inapligente","inteorgente","smart","intelligent"
"intención","propósito","propedito","intempión","purpose","intention"
"intencionalmente","accidentalmente","documentarmente","decepcionasmente","accidentally","intentionally"
"intento","tratar","trbrar","incanto","try","attempt"
"interesante","excitante","cecitante","intereocupe","exciting","interesting"
"intimidad","privado","rrogado","intisfdad","private","privacy"
"íntimo","personal","perscial","ditimo","personal","intimate"
"intuición","instinto","listinto","intuttión","instinct","intuition"
"inversor","banquero","banqorro","inveoyor","banker","investor"
"invertir","finanzas","finaacas","invertel","finance","invest"
"investigacion","cápsula","napsula","investigneion","capsule","probe"
"investigador","analista","andiista","participador","analyst","investigator"
"investigar","examinar","exariana","investncar","examine","investigate"
"invierno","el verano","eladerano","invierti","summer","winter"
"inyección","dosis","docas","inlucción","dose","injection"
"ir","ingresar","ingrlear","án","enter","go"
"irónico","ironía","ironen","cronoco","irony","ironic"
"irresponsable","irrazonable","irrazonadee","irresponsavie","unreasonable","irresponsible"
"izquierda","correcto","corrasto","raquierda","right","left"
"jalar","empujar","emanjar","islar","push","pull"
"jeringuilla","aguja","agtua","jerisquilla","needle","syringe"
"joven","viejo","llejo","ueven","old","young"
"joya","diamante","dietante","adya","diamond","jewel"
"juego","jugar","magar","juizo","play","game"
"juez","corte","coome","árez","court","judge"
"jugador","entrenador","hollinador","lizador","coach","player"
"jugo","leche","leice","jumm","milk","juice"
"juguete","muñeca","muñeme","juzgete","doll","toy"
"juliet","romeo","rotso","juupet","romeo","juliet"
"júnior","mayor","mallr","ddnior","senior","junior"
"juramento","jurar","larar","soramento","swear","oath"
"justicia","venganza","verranza","justosia","revenge","justice"
"la seguridad","seguridad","seapridad","lahieguridad","security","safety"
"lagarto","rana","rald","larmrto","frog","lizard"
"lago","río","ogo","laug","river","lake"
"lamer","chupar","chomar","lasor","suck","lick"
"langosta","atún","atoc","langjita","tuna","lobster"
"largo","pequeño","pequgro","lanio","short","long"
"lavar","limpio","liadio","laber","clean","wash"
"legal","ilegal","ilegim","cagal","illegal","legal"
"lejos","cerca","cecia","lecis","near","far"
"león","continuar","continner","lemm","dragon","lion"
"lesión","herida","chrida","casión","wound","injury"
"letra","telegrama","telegreea","matra","telegram","letter"
"leyenda","mito","mism","lengnda","myth","legend"
"liberal","conservador","continuador","limpral","conservative","liberal"
"libro","biblia","birnia","litto","bible","book"
"líder","miembro","milfbro","órder","member","leader"
"limusina","taxi","taag","linfsina","taxi","limousine"
"lindo","dulce","falce","fendo","sweet","cute"
"líquido","líquido","naquido","lícaido","liquid","fluid"
"literatura","arte","arterrumpirles","literazòra","art","literature"
"lobo","oso","túo","lode","bear","wolf"
"local","regional","reasonal","loiel","regional","local"
"loco","paranoico","planteaco","ezco","paranoid","crazy"
"longitud","talla","taina","loatitud","size","length"
"luz","oscuridad","aycuridad","etz","darkness","light"
"mago","magia","maeja","urgo","magic","wizard"
"maleta","maletín","malecon","machta","briefcase","suitcase"
"malo","bien","asen","aflo","good","bad"
"mamá","papi","pací","malu","daddy","mum"
"mañana","mañana","mackna","mavona","tomorrow","morning"
"manguera","bomba","bozca","mangobra","pump","hose"
"manipular","control","conttel","manisplar","control","manipulate"
"manteca","cariño","cabaño","masfeca","honey","butter"
"mantener","preservar","preserber","mantller","preserve","maintain"
"mantenerse","sostener","sostroer","mantendise","hold","keep"
"mantenimiento","servicio","seilicio","mantennaiento","service","maintenance"
"mapa","brújula","brroula","mait","compass","map"
"mapache","ardilla","areclla","maléche","squirrel","raccoon"
"máquina","robot","rosit","naquina","robot","machine"
"marinero","pirata","carata","mariciro","pirate","sailor"
"márketing","publicidad","pusuicidad","terketing","advertising","marketing"
"martes","lunes","ognes","maeles","monday","tuesday"
"martillo","palo","aflo","maphillo","stick","hammer"
"masaje","yoga","yorí","margje","yoga","massage"
"masticar","tragar","trular","machicar","swallow","chew"
"matar","veneno","vegino","ectar","poison","kill"
"matemáticas","física","mática","mayoritacas","physics","mathematics"
"matrimonio","divorcio","dignrcio","maraimonio","divorce","marriage"
"máximo","mínimo","sinimo","máxing","minimum","maximum"
"mayonesa","salsa de tomate","salsa dedíomate","manguesa","ketchup","mayonnaise"
"mecánico","técnico","atraico","refinaco","technical","mechanical"
"medalla","trofeo","trnteo","medaina","trophy","medal"
"medallón","artefacto","artemocto","medanión","artifact","medallion"
"médico","cirujano","cirumbno","ardeco","surgeon","doctor"
"mediodía","medianoche","medianoctt","mediodse","midnight","noon"
"mejilla","labio","laneo","mecella","lip","cheek"
"mejora","cambiar","castiar","memera","change","improvement"
"menos","más","rys","tanos","plus","minus"
"mensaje","advertencia","adelrtencia","menshie","warning","message"
"mentiroso","mentir","mentel","obstinaso","lie","liar"
"mes de julio","junio","jueso","mes dedoulio","june","july"
"metal","planchar","tuanchar","ectal","iron","metal"
"metro","kilómetro","kirámetro","meato","kilometer","meter"
"mezcla","combinación","acomodación","meesla","combination","mixture"
"micrófono","cámara","vayara","micrnrono","camera","microphone"
"microscopio","telescopio","telescusio","micrsecopio","telescope","microscope"
"miedo","horror","honsor","miréo","horror","fear"
"militar","civil","cibel","minutar","civil","military"
"ministerio","embajada","amparada","ministasio","embassy","ministry"
"ministro","embajador","ensayador","ministen","ambassador","minister"
"minuto","segundo","seguíao","minudi","second","minute"
"miseria","pobreza","pobrrca","minnria","poverty","misery"
"misericordia","perdón","perdie","miseancordia","forgiveness","mercy"
"misil","cohete","colute","mimel","rocket","missile"
"misión","tarea","talba","minoón","task","mission"
"misterio","secreto","senoeto","mistasio","secret","mystery"
"modesto","humilde","huhalde","videsto","humble","modest"
"mojado","seco","osco","lizado","dry","wet"
"molestar","interrumpir","inteagrupar","dalestar","interrupt","disturb"
"monasterio","templo","tebulo","moabsterio","temple","monastery"
"monitor","pantalla","panttala","monimar","screen","monitor"
"montaña","colina","comona","monteca","hill","mountain"
"monto","suma","suer","banto","sum","amount"
"moretón","rasguño","rasgíbo","morevan","scratch","bruise"
"morfina","aspirina","aspirido","mogaina","aspirin","morphine"
"morir","sufrir","suhuir","mopar","suffer","die"
"mosca","tierra","tinara","motea","land","fly"
"motel","hotel","hobbl","hatel","hotel","motel"
"motor","tanque","tacoue","mordr","tank","engine"
"muchachas","niños","maños","muesachas","boys","girls"
"muerto","vivo","virí","ejerto","alive","dead"
"mujer","masculino","mascrnino","najer","male","female"
"mujer","vdo","jio","najer","widow","woman"
"mundo","internacional","inteitacional","murao","international","world"
"músculo","nervio","neudio","dnsculo","nerve","muscle"
"museo","biblioteca","bibliotení","uiseo","library","museum"
"música","jazz","jais","molaca","jazz","music"
"músico","cantante","tentante","mutaco","singer","musician"
"mutación","evolución","evolnsión","lización","evolution","mutation"
"muy","extremadamente","extraditamente","apy","extremely","very"
"nación","país","pasq","narías","country","nation"
"nadar","ahogar","ahsmar","nassr","drown","swim"
"naranja","verde","vejee","péranja","green","orange"
"nariz","boca","boll","nakaz","mouth","nose"
"náusea","diarrea","dirtrea","lsusea","diarrhea","nausea"
"navegar","ancla","ankia","nanagar","anchor","sail"
"necesitar","necesario","delegario","ricesitar","necessary","need"
"negativo","positivo","poastivo","negangvo","positive","negative"
"negocio","industria","induceria","rigocio","industry","business"
"negro","blanco","blrico","neojo","white","black"
"nervioso","preocupado","preobiendo","aliviaso","worried","nervous"
"niebla","nube","nutt","nigola","cloud","fog"
"nieve","lluvia","lláiia","nifie","rain","snow"
"niño","bebé","beyl","nidi","baby","child"
"noche","noche","nosee","kache","night","evening"
"normal","saludable","saludalae","hirmal","healthy","normal"
"norte","sur","ntr","nombe","south","north"
"notable","excepcional","nocepcional","katable","exceptional","remarkable"
"notario","inspector","inspecmar","curario","inspector","commissioner"
"noticias","canal","tinal","katicias","channel","news"
"novia","acicalar","rlicalar","notía","groom","bride"
"nuclear","atómico","atraíco","nuetear","atomic","nuclear"
"obviamente","claramente","cabremente","avivamente","clearly","obviously"
"occidental","meridional","mevadional","ocutdental","southern","western"
"oceano","mar","ier","adeano","sea","ocean"
"octubre","septiembre","senbiembre","ocngbre","september","october"
"ofender","insulto","insunso","avender","insult","offend"
"oficial","oficialmente","ofrecismente","rvicial","officially","official"
"oficina","escritorio","esenitorio","ofnsina","desk","office"
"oler","gusto","agsto","lter","taste","smell"
"opción","elección","elecerón","opiaón","choice","option"
"oración","palabra","palacía","leeción","word","sentence"
"orbita","planeta","plpleta","orthta","planet","orbit"
"oreja","ojo","byo","orvia","eye","ear"
"organizar","arreglar","arreglig","organimor","arrange","organize"
"orina","sangre","sangto","orlla","blood","urine"
"oscuro","sombra","cumbra","osisro","shadow","dark"
"otoño","primavera","prcravera","otrfo","spring","autumn"
"oxígeno","aire","slre","oxibeno","air","oxygen"
"padre","adulto","adhito","pajae","adult","parent"
"padre","madre","matie","pajae","mother","father"
"pájaro","mariposa","marchása","páebro","butterfly","bird"
"pañuelo","tela","terf","payselo","cloth","handkerchief"
"papá","tío","mno","pató","uncle","dad"
"paquete","sobre","soele","pagaete","envelope","package"
"paranormal","sobrenatural","sobrteatural","paralirmal","supernatural","paranormal"
"párrafo","sección","seveión","párrwho","section","paragraph"
"partícula","importar","impourar","partifula","matter","particle"
"partido","torneo","tornis","parteno","tournament","match"
"pasado","futuro","fuforo","cupado","future","past"
"pasaporte","billete","tellete","pasaverte","ticket","passport"
"paseo","conducir","conditir","paojo","drive","ride"
"paseo","siesta","rmesta","paojo","nap","stroll"
"pasión","entusiasmo","entusivamo","parlón","enthusiasm","passion"
"pastel","postre","podere","palael","dessert","cake"
"patético","miserable","ártirable","apestoco","miserable","pathetic"
"pato","ganso","gaajo","paol","goose","duck"
"patrón","gerente","ogrente","patrue","manager","boss"
"patrulla","guardia","guartaa","patreala","guard","patrol"
"pavo","pollo","wello","pagu","chicken","turkey"
"pedazo","fragmento","frrómento","ondazo","fragment","piece"
"pedido","mando","iéndo","pedian","command","order"
"pedir","pregunta","pregpita","endir","question","ask"
"pelear","combate","cochate","pelena","combat","fight"
"película","pornografía","cordegrafía","pevacula","porn","movie"
"peligro","riesgo","rinigo","moligro","risk","danger"
"peligroso","arriesgado","sintegrado","meteoroso","risky","dangerous"
"pene","vagina","vannna","pelu","vagina","penis"
"pensar","considerar","considocar","petiar","consider","think"
"pequeña","poco","popu","pequiya","little","small"
"perfecto","ideal","iditl","pealecto","ideal","perfect"
"perfume","lápiz labial","lápiz labitr","peorume","lipstick","perfume"
"perímetro","radio","raono","peonmetro","radius","perimeter"
"periódico","artículo","arezculo","perfumaco","article","newspaper"
"periodista","reportero","repohiero","perimaista","reporter","journalist"
"período","fase","desse","peonodo","phase","period"
"permanecer","quédate","qulmate","permanecci","stay","remain"
"perseguir","seguir","seucir","pelleguir","follow","chase"
"personalidad","personaje","personzae","personecidad","character","personality"
"perspectiva","vista","vitaa","persfactiva","view","perspective"
"pesca","caza","beza","ansca","hunting","fishing"
"petróleo","carbón","caarón","petráseo","coal","oil"
"pez","tiburón","kaburón","etz","shark","fish"
"píldora","tableta","taggeta","báldora","tablet","pill"
"piloto","astronauta","astrntauta","elloto","astronaut","pilot"
"pintor","artista","artifia","nantor","artist","painter"
"pistola","rifle","rimne","pistíaa","rifle","gun"
"planificación","preparación","sesperación","supervisación","preparation","planning"
"plata","dorado","odiodo","tuata","golden","silver"
"plataforma","cabina","caprna","platlborma","cabin","deck"
"plato","bol","iel","tuato","bowl","plate"
"plausible","explicación","vindicación","plipsible","explanation","plausible"
"poder","tesoro","casoro","polvr","treasure","wealth"
"poema","texto","teumo","poita","text","poem"
"póker","juego","jurno","fvker","gambling","poker"
"política","periodismo","perirnismo","solitaca","journalism","politics"
"político","crítico","costoco","solitaco","critical","political"
"político","política","solitaca","solitaco","policy","politician"
"polvo","ceniza","juniza","poxto","ash","dust"
"polvoriento","oxidado","mediado","podeoriento","rusty","dusty"
"poner","insertar","insenaar","potor","insert","put"
"porque","razón","ralyn","poncue","reason","cause"
"portón","portal","poinal","poamón","portal","gate"
"posibilidad","oportunidad","oporlenidad","posieslidad","chance","possibility"
"posición","estado","cupado","posideón","status","position"
"prácticamente","literalmente","lntentamente","triplicamente","literally","practically"
"precio","valor","vabir","prrdio","value","price"
"premio","nobel","jebel","prcrio","nobel","prize"
"prensa","botón","boicn","pájasa","button","press"
"preocuparse","preocupación","especupación","preocallase","concern","worry"
"preparar","listo","lizao","prepliar","ready","prepare"
"presidente","canciller","catailler","presetente","chancellor","president"
"presión","legumbres","letúmbres","presaln","pulse","pressure"
"préstamo","crédito","crrlito","prlotamo","credit","loan"
"prima","relativo","reretivo","prena","relative","cousin"
"primario","secundario","degradario","trazario","secondary","primary"
"príncipe","princesa","peinarsa","prnucipe","princess","prince"
"prisión","multa","mueja","nsisión","penalty","imprisonment"
"prisión","célula","válula","nsisión","cell","prison"
"prisionero","rehén","redmn","guisionero","hostage","prisoner"
"probable","probabilidad","prinabilidad","prinable","probability","likely"
"probablemente","quizás","quizty","exorablemente","maybe","probably"
"problema","problema","problean","prrolema","trouble","problem"
"procedimiento","proceso","procnio","procinimiento","process","procedure"
"producción","fábrica","cítrica","prodsución","factory","production"
"produce","crear","critr","prodede","create","produce"
"producto","marca","maeza","producci","brand","product"
"profesional","aficionado","ferroviado","prdresional","amateur","professional"
"profesor","estudiante","espidiante","prcresor","student","teacher"
"profesor","decano","decama","prcresor","dean","professor"
"programa","proyecto","prtrecto","prgarama","project","program"
"prohibir","prohibido","prohchido","prohshir","forbidden","prohibit"
"promesa","garantía","curantía","pidiesa","guarantee","promise"
"protocolo","regla","remea","przcocolo","rule","protocol"
"prototipo","modelo","modeme","prviotipo","model","prototype"
"proveer","habilitar","hamplitar","prfreer","enable","provide"
"prueba","evidencia","álidencia","prueme","evidence","proof"
"prueba","escuchando","escumpando","prueme","hearing","trial"
"prueba","experimentar","experiquntar","prueme","experiment","test"
"psicología","anatomía","slatomía","privalogía","anatomy","psychology"
"psicológico","médico","ardeco","orinalógico","medical","psychological"
"pueblo","acampar","ackepar","puhilo","camp","village"
"puerta","ventana","veicana","puanta","window","door"
"puerto","bahía","bagüa","iverto","bay","harbor"
"pulgar","dedo","undo","puocar","finger","thumb"
"que","qué","nté","gre","what","that"
"queso","pan","tín","qunio","bread","cheese"
"radiación","contaminación","obsesionación","cascación","contamination","radiation"
"rápidamente","lentamente","wendimente","capilamente","slowly","quickly"
"rápido","describir","descripor","depido","describe","express"
"rápido","lento","ranto","depido","slow","fast"
"rata","ratón","eptón","uita","mouse","rat"
"raza","maratón","maracun","rade","marathon","race"
"razonable","justo","lasto","ralenable","fair","reasonable"
"reactor","generador","andarador","refrtor","generator","reactor"
"realista","optimista","optisfsta","reariote","optimistic","realistic"
"rebaja","subasta","susante","redija","auction","sale"
"recolectar","recolectar","recoleilar","recolergar","collect","gather"
"recompensa","prima","prena","recopilasa","bonus","reward"
"recordar","olvidar","envidar","recordio","forget","remember"
"reducir","aumento","samento","rectcir","increase","reduce"
"refugio","refugio","relegio","refuejo","refuge","shelter"
"regalo","cumplido","cubilido","regara","compliment","gift"
"regreso","espalda","espagea","reeseso","back","return"
"reino","real","regr","inono","royal","kingdom"
"reír","sonreír","sonryor","rexo","smile","laugh"
"religión","filosofía","filososna","religias","philosophy","religion"
"reloj","mira","arra","recrj","look","watch"
"rendimiento","show","shrn","condimiento","show","performance"
"renta","contratar","contnstar","vanta","hire","rent"
"reparar","reparar","reterar","reterar","fix","repair"
"reputación","carrera profesional","carrerouprofesional","redatación","career","reputation"
"rescate","secuestrador","reaccionador","refrate","kidnapper","ransom"
"resistirse","resistencia","resistrocia","resistobse","resistance","resist"
"respuesta","responder","respsider","rencuesta","answer","reply"
"restaurante","pub","imb","restaumente","pub","restaurant"
"retirar","eliminar","elimpaar","redarar","eliminate","remove"
"reunión","conferencia","cobrerencia","reucial","conference","meeting"
"reunirse","ver","bor","reuniéra","see","meet"
"revista","playboy","plciboy","revitaa","playboy","magazine"
"rey","reina","inona","ary","queen","king"
"rico","pobre","poice","ricoexistencia","poor","rich"
"robar","robar","rotir","rotir","steal","rob"
"robo","hurto","huyeo","rood","theft","robbery"
"roca","rock","rodi","cica","rock","stone"
"rodilla","hombro","hoduro","rodiina","shoulder","knee"
"roma","césar","busar","ront","caesar","rome"
"romántico","dramático","grandioco","dominarco","dramatic","romantic"
"saber","ahora","itora","savar","now","know"
"sabotaje","espionaje","esatonaje","sabotail","espionage","sabotage"
"sacerdote","monje","sanje","sansrdote","monk","priest"
"salario","pensión","peución","usarrio","pension","salary"
"salida","llegada","rrogada","polida","arrival","departure"
"salir","resultado","sahuciado","sawar","result","outcome"
"salsa","crema","crgia","frasa","cream","sauce"
"salto","escalada","amparada","saajo","climb","jump"
"saludar","felicitar","valicitar","sarodar","congratulate","greet"
"salvador","héroe","goroe","bastador","hero","savior"
"salvar","rescate","reanate","saañar","rescue","save"
"samurai","ninja","manja","sallrai","ninja","samurai"
"satélite","radar","ramer","saonlite","radar","satellite"
"secuestrar","secuestrar","secuestrul","secuestrul","kidnap","abduct"
"sed","hambre","habére","ind","hunger","thirst"
"sede","base","especializabase","bide","base","headquarters"
"seguir","continuar","continner","seitir","proceed","continue"
"seguro","a salvo","bksalvo","segusa","safe","secure"
"seleccione","escoger","escordr","irleccione","choose","select"
"semana","mes","gos","himana","month","week"
"semanal","a diario","odiáario","seronal","daily","weekly"
"senado","parlamento","paquamento","aviado","parliament","senate"
"senador","gobernador","hollinador","pirador","governor","senator"
"señal","frecuencia","freclincia","sehil","frequency","signal"
"sencillo","simplemente","diablemente","selfillo","simply","simple"
"sendero","ruta","rubi","señáero","route","path"
"señora","señor","sepcr","señole","lord","lady"
"sensible","delicado","solitado","sensatle","delicate","sensitive"
"sentarse","pararse","pasease","espiarse","stand","sit"
"sentimiento","impresión","impresaln","seshimiento","impression","feeling"
"sermón","habla","harba","semeón","speech","sermon"
"serpiente","gusano","guacno","seofiente","worm","snake"
"servidor","esclavo","esclijo","serveror","slave","servant"
"si","bueno","burgo","né","okay","yeah"
"siempre","nunca","nulea","siemuge","never","ever"
"siempre","eterno","smerno","siemuge","eternal","forever"
"silbar","bocina","zacina","sirjar","horn","whistle"
"silencio","silencio","sipincio","aplencio","silent","silence"
"silla","mesa","merán","singa","table","chair"
"símbolo","bandera","fundera","zimbolo","flag","symbol"
"sin valor","inútil","inúfoy","sicovalor","useless","worthless"
"síndrome","síntoma","síntrga","igndrome","symptom","syndrome"
"sistema","la red","laiked","sistréa","network","system"
"sobre","fuera","rdera","sonme","out","about"
"sobrevivir","en vivo","enxxivo","sobrevafir","live","survive"
"sobrino","nieto","rdeto","soimino","grandson","nephew"
"soda","limonada","seminada","soun","lemonade","soda"
"sol","luna","aina","zel","moon","sun"
"solar","lunar","luccr","allar","lunar","solar"
"solicitud","demanda","deannda","soliciatd","demand","request"
"solitario","solo","sond","polítirio","alone","lonely"
"sombrero","casco","cañoo","sombtiro","helmet","hat"
"sonar","ruido","blido","annar","noise","sound"
"sorbo","soltar","sornar","solgo","drop","sip"
"sordo","ciego","ciizo","sofoo","blind","deaf"
"sospechar","duda","duje","sospectir","doubt","suspect"
"suceder","ocurrir","octerir","asceder","occur","happen"
"sueño","pesadilla","pesadiina","suojo","nightmare","dream"
"suficiente","suficiente","sufinaente","sufinaente","enough","sufficient"
"sugerir","proponer","prtioner","subtrir","propose","suggest"
"superficie","capa","caez","supelticie","layer","surface"
"superior","más bajo","máenbajo","supebais","lower","upper"
"supo","reconocer","recoexcer","suat","recognize","knew"
"suponer","espere","esmbre","sumener","wait","expect"
"suposición","conclusión","concluceón","suposiblón","conclusion","assumption"
"sustituir","reemplazar","reempolvar","sustitisr","replace","substitute"
"talento","potencial","pontncial","tarmnto","potential","talent"
"teatro","cine","cili","onatro","cinema","theater"
"técnica","método","sotodo","duchaca","method","technique"
"tejido","piel","pivo","texado","skin","tissue"
"teléfono","llamada","aliñada","tefafono","call","telephone"
"televisión","radio","raono","teleinsión","radio","television"
"tema","objeto","jojeto","tecl","object","subject"
"temperatura","calor","camer","tempamatura","heat","temperature"
"temporizador","detonador","heredador","simpatizador","detonator","timer"
"temprano","tarde","taile","tegerano","late","early"
"tenedor","cuchara","colmara","tehador","spoon","fork"
"teniente","sargento","samuento","teningte","sergeant","lieutenant"
"tenis","golf","goyó","teets","golf","tennis"
"teoría","idea","idér","teortu","idea","theory"
"testimonio","testigo","desasgo","testttonio","witness","testimony"
"tienda","tienda","kaenda","noenda","shop","store"
"timbre","silbido","aplbido","ticare","ping","ding"
"título","nombre","kambre","kntulo","name","title"
"toalla","manta","maela","totala","blanket","towel"
"tocino","tostada","imitada","toorno","toast","bacon"
"todavía","ya","ró","totovía","already","still"
"tomate","papa","expa","tomano","potato","tomato"
"tormenta","viento","emento","tompenta","wind","storm"
"tornado","huracán","hurahen","tomárdo","hurricane","tornado"
"tortuga","caracol","carakal","tortoja","snail","turtle"
"tortura","tormento","topeento","certura","torment","torture"
"trabajador","agricultor","agricurior","hollinador","farmer","worker"
"trabajo","trabajo","trodajo","trabldo","job","work"
"tradicional","moderno","modeego","traderional","modern","traditional"
"trágico","triste","tasate","trabaco","sad","tragic"
"traidor","espiar","espiec","traigar","spy","traitor"
"tranquilo","tranquilo","tranqutto","tranquodo","quiet","calm"
"transferir","moverse","naverse","transferma","move","transfer"
"transmisor","sensor","sepeor","tranbrisor","sensor","transmitter"
"trasero","parte delantera","partnudelantera","patosero","front","rear"
"tratamiento","terapia","teempia","trattoiento","therapy","treatment"
"tres","una","rga","trom","one","three"
"triángulo","circulo","circepo","trwangulo","circle","triangle"
"trimestre","medio","mengo","trimaltre","half","quarter"
"triple","doble","doree","trrtle","double","triple"
"triunfar","administrar","heministrar","triuusar","manage","succeed"
"trono","corona","tirona","trado","crown","throne"
"trueno","relámpago","retémpago","trueme","lightning","thunder"
"túnel","puente","anente","túsal","bridge","tunnel"
"ubicación","lugar","ragar","drogación","place","location"
"último","primero","primpio","hwtimo","first","last"
"último","final","ficil","hwtimo","final","ultimate"
"único","especial","escocial","ovaco","special","unique"
"uniforme","insignia","insignom","unutorme","badge","uniform"
"universidad","universidad","koiversidad","koiversidad","college","university"
"usual","ordinario","patinario","scual","ordinary","usual"
"utilizar","aplicar","silicar","oiilizar","apply","use"
"vacuna","antídoto","antídopp","varmna","antidote","vaccine"
"vainilla","canela","donela","vainepla","cinnamon","vanilla"
"valiente","noble","norve","vaerente","noble","brave"
"valioso","merecer","menscer","volcaso","deserve","worthy"
"valla","muro","muza","vadia","wall","fence"
"valle","desierto","deelecto","vaque","desert","valley"
"vampiro","zombi","zouji","vaatiro","zombie","vampire"
"vaquero","rodeo","rotio","noquero","rodeo","cowboy"
"vela","lámpara","raspara","veri","lamp","candle"
"velocidad","distancia","distlicia","velojadad","distance","speed"
"vender","comprar","cogerar","cander","buy","sell"
"venir","llegar","llocar","vejer","arrive","come"
"ventilación","válvula","colvula","destinación","valve","ventilation"
"venus","marte","acete","vecks","mars","venus"
"verdadero","cierto","sperto","verdevero","TRUE","real"
"verificar","controlar","controper","verivecar","check","verify"
"vestido","falda","fataa","vensido","skirt","dress"
"video","dvd","ñad","virad","dvd","video"
"vih","sida","apda","deh","aids","hiv"
"visión","revelación","asustación","insión","revelation","vision"
"vitamina","proteína","proteías","vistmina","protein","vitamin"
"vodka","whisky","grisky","vocãa","whiskey","vodka"
"voluntariamente","voluntario","planteario","ilustrariamente","volunteer","voluntarily"
"votante","candidato","candbrato","uetante","candidate","voter"
"votar","mayoria","mactria","uetar","majority","vote"
"vuelo","aterrizaje","atericzaje","ejelo","landing","flight"
"watson","sherlock","iderlock","wancon","sherlock","watson"
"web","internet","intechet","kob","internet","web"
"zapato","bota","bore","zaluto","boot","shoe"
"zona","área","móea","skna","area","zone"
