"es_cue","es_target","type","cue_type","target_type","es_cosine"
"respeto","ceremonia","unrelated","word","word",0.20073775639167
"confirmación","adversario","unrelated","word","word",0.0933271673345246
"caos","trimestre","unrelated","word","word",0.152870877790965
"derretir","confesar","unrelated","word","word",0.191661615167681
"experiencia","cigarrillo","unrelated","word","word",0.053132195370277
"siempre","hijo","unrelated","word","word",0.177464497467052
"ley","firmar","unrelated","word","word",0.212250135961579
"construcción","distrito","unrelated","word","word",0.177175950333463
"contiene","desarrollo","unrelated","word","word",0.246388559088345
"satisfecho","probablemente","unrelated","word","word",0.098746773602619
"opuesto","huevo","unrelated","word","word",0.111368272667839
"contrato","horrible","unrelated","word","word",0.107575755614484
"orfanato","prueba","unrelated","word","word",0.0852835529694626
"original","encantador","unrelated","word","word",0.171709732000311
"unir","votar","unrelated","word","word",0.228803420298033
"general","muchachas","unrelated","word","word",0.115893957344893
"empresa","votante","unrelated","word","word",0.204154213218661
"incorrecto","negativo","unrelated","word","word",0.353920681081393
"lágrima","juez","unrelated","word","word",0.0676251929620774
"playa","maleta","unrelated","word","word",0.211846222671276
"hueso","puerta","unrelated","word","word",0.174214567633154
"imaginación","fuerza","unrelated","word","word",0.307992787913946
"confianza","mojado","unrelated","word","word",0.0675576588987493
"niñera","eléctrico","unrelated","word","word",0.149020474709606
"monstruo","la seguridad","unrelated","word","word",NA
"pecado","casi nunca","unrelated","word","word",NA
"situación","cicatriz","unrelated","word","word",0.11451777383789
"católico","medalla","unrelated","word","word",0.129157671471949
"brutal","venus","unrelated","word","word",0.142527231121469
"mal","proveer","unrelated","word","word",0.0539849616614304
"tercera","monitor","unrelated","word","word",0.0974916711162347
"dos","silbar","unrelated","word","word",0.147938036176211
"espada","regreso","unrelated","word","word",0.145285356431161
"garganta","basura","unrelated","word","word",0.166303428108744
"cadena","cáncer","unrelated","word","word",0.0458850821063566
"inocente","prisión","unrelated","word","word",0.295442526427122
"aniversario","informar","unrelated","word","word",0.212904098648266
"recuperar","billón","unrelated","word","word",0.097887575439506
"bailarín","corporación","unrelated","word","word",0.0864606891313818
"oferta","lavar","unrelated","word","word",0.0597722821471116
"realmente","festival","unrelated","word","word",0.180134566318902
"responsabilidad","tres","unrelated","word","word",0.128284765115498
"fuerte","aceptar","unrelated","word","word",0.117094416956793
"siglo","tradicional","unrelated","word","word",0.236028558489531
"sorpresa","mañana","unrelated","word","word",0.249410795946112
"decir","langosta","unrelated","word","word",0.125257525422061
"comentario","error","unrelated","word","word",0.272760735344562
"proteger","habitación","unrelated","word","word",0.0801612947186522
"concepto","encontrar","unrelated","word","word",0.128589597224804
"permitir","importante","unrelated","word","word",0.162083573879579
"sabroso","estado","unrelated","word","word",0.094704658638973
"ladrón","hermano","unrelated","word","word",0.217433068770532
"libertad","desayuno","unrelated","word","word",0.123056418772588
"ángel","jeringuilla","unrelated","word","word",0.0891687472548131
"protesta","cuchillo","unrelated","word","word",0.0414260696307121
"casa","raza","unrelated","word","word",0.113062235086024
"pasatiempo","prohibir","unrelated","word","word",0.194181929880204
"presa","asesino","unrelated","word","word",0.249408620847415
"estrés","alrededor","unrelated","word","word",0.10606853102153
"obstáculo","triángulo","unrelated","word","word",0.230690391145782
"incómodo","contento","unrelated","word","word",0.326945121060605
"muerte","rápidamente","unrelated","word","word",0.0721434531383333
"progreso","firma","unrelated","word","word",0.0581113693627778
"cena","federación","unrelated","word","word",0.127114758697036
"aplastar","carretera","unrelated","word","word",0.159909347418312
"anónimo","título","unrelated","word","word",0.136908158890086
"perfil","comunicación","unrelated","word","word",0.163121576188346
"deseo","edificio","unrelated","word","word",0.117413510350712
"desgraciado","joven","unrelated","word","word",0.260871337212903
"desnudo","bote","unrelated","word","word",0.168308083255543
"resignación","lagarto","unrelated","word","word",0.0408117649259083
"destino","vitamina","unrelated","word","word",-0.00552520976388869
"creación","gratitud","unrelated","word","word",0.131918973853922
"agente","constantemente","unrelated","word","word",0.114169786837975
"evitar","flor","unrelated","word","word",0.123233780024587
"coraje","inspiración","unrelated","word","word",0.411135139408177
"fidelidad","espaguetis","unrelated","word","word",0.0954172880726649
"pintura","casado","unrelated","word","word",0.075301892229858
"noviembre","semana","unrelated","word","word",0.328878148372447
"clavo","miedo","unrelated","word","word",0.191917866231593
"similar","plata","unrelated","word","word",0.139782702289287
"orgullo","pequeña","unrelated","word","word",0.143766647301405
"pólvora","francés","unrelated","word","word",0.117378486909352
"dinero en efectivo","elemento","unrelated","word","word",NA
"directo","íntimo","unrelated","word","word",0.208575308891684
"productor","moretón","unrelated","word","word",0.10632841241105
"conversacion","cierre","unrelated","word","word",0.134020048075057
"disparo","tomate","unrelated","word","word",0.116328308563309
"chip","vacuna","unrelated","word","word",0.281447011836509
"conflicto","músico","unrelated","word","word",0.148781877555161
"condado","cocinero","unrelated","word","word",0.106550266619416
"unidad","agradable","unrelated","word","word",0.0670604408379659
"expediente","ingreso","unrelated","word","word",0.289176233818073
"libra","desconocido","unrelated","word","word",0.0519720138094468
"sufrimiento","enseñar","unrelated","word","word",0.12002823391251
"sábado","nadar","unrelated","word","word",0.21876728128625
"caridad","gato","unrelated","word","word",0.160938033528179
"descanso","tenis","unrelated","word","word",0.168372782252968
"alcohol","actuar","unrelated","word","word",0.131750601158939
"inquilino","atraer","unrelated","word","word",0.0768095063009841
"propiedad","teoría","unrelated","word","word",0.147490055065329
"difícil","cigarro","unrelated","word","word",0.125892778917343
"torre","miseria","unrelated","word","word",0.0764108477547104
"salud","america","unrelated","word","word",0.137400934943013
"influencia","vaquero","unrelated","word","word",-0.0020175847231267
"útil","lamer","unrelated","word","word",0.13839464197237
"testarudo","mejora","unrelated","word","word",0.096988099325589
"colgante","estrategia","unrelated","word","word",0.0802631443164256
"práctica","pez","unrelated","word","word",0.0893253554666678
"legión","fax","unrelated","word","word",0.0797753204113503
"nacimiento","pavo","unrelated","word","word",0.115938857017173
"cemento","fácil","unrelated","word","word",0.0972332708030885
"campaña","actor","unrelated","word","word",0.123475304603751
"actual","comprender","unrelated","word","word",0.195832894659055
"magnético","naranja","unrelated","word","word",0.216436887573283
"de moda","periodista","unrelated","word","word",NA
"factor","broma","unrelated","word","word",0.0699661886403043
"bajo","batalla","unrelated","word","word",0.0894187571005115
"tripulación","animal","unrelated","word","word",0.175919925788289
"urgente","discusión","unrelated","word","word",0.200244638251558
"orgulloso","cama","unrelated","word","word",0.108325726386253
"mental","cebolla","unrelated","word","word",0.0232858302590258
"imperial","negro","unrelated","word","word",0.193752877858097
"millonario","razonable","unrelated","word","word",0.173545261358901
"fuera de","hamburguesa","unrelated","word","word",NA
"atractivo","reducir","unrelated","word","word",0.127191902750348
"agradable","escuchar","unrelated","word","word",0.209529669120535
"búsqueda","gastar","unrelated","word","word",0.145642224212931
"energía","opción","unrelated","word","word",0.0906130619053037
"celoso","juliet","unrelated","word","word",0.140466271555291
"gripe","legal","unrelated","word","word",0.0339235099257668
"enfermo","jugador","unrelated","word","word",0.187368195198385
"grande","polvo","unrelated","word","word",0.0865509221770289
"sopa","insecto","unrelated","word","word",0.18053916498956
"aprender","honestidad","unrelated","word","word",0.18289234870053
"cavar","cirugía","unrelated","word","word",0.143741527851439
"salida","teatro","unrelated","word","word",0.169696598777864
"traer","fracaso","unrelated","word","word",0.0971346087994663
"plaga","literatura","unrelated","word","word",0.187837911418072
"serie","superior","unrelated","word","word",0.0850303561007022
"equipo","foto","unrelated","word","word",0.0963041417814113
"liga","individual","unrelated","word","word",0.194380324428133
"orgasmo","seleccione","unrelated","word","word",0.0404141850691575
"error","cruel","unrelated","word","word",0.165850788433296
"chisme","rey","unrelated","word","word",0.115826756499245
"huir","decepción","unrelated","word","word",0.164877221653204
"cubrir","imperio","unrelated","word","word",0.168602136847216
"leer","arsenal","unrelated","word","word",0.0285147101903489
"leyendo","convento","unrelated","word","word",0.144193498759507
"poeta","emergencia","unrelated","word","word",0.0244918914977861
"escucha","petróleo","unrelated","word","word",0.100318791327574
"lasaña","heroína","unrelated","word","word",0.262238620414758
"experto","paseo","unrelated","word","word",0.0719377924170602
"sensacional","evaluación","unrelated","word","word",0.080233607269698
"reflexión","oxígeno","unrelated","word","word",0.197369773900066
"aterrador","coartada","unrelated","word","word",0.123253787489334
"alma","fatal","unrelated","word","word",0.18251550697587
"esposo","pintor","unrelated","word","word",0.244060904495893
"plataforma","misil","unrelated","word","word",0.270530208947294
"federal","actitud","unrelated","word","word",0.114545238190648
"monumento","francotirador","unrelated","word","word",0.17463849968414
"oeste","sacerdote","unrelated","word","word",0.122990963227502
"ritmo","infierno","unrelated","word","word",0.123970205331304
"plan","hormiga","unrelated","word","word",0.0864899296515049
"celebridad","investigador","unrelated","word","word",0.237492045288796
"pirámide","sonar","unrelated","word","word",0.167091840990443
"investigación","coronel","unrelated","word","word",0.132601446468399
"excelente","coñac","unrelated","word","word",0.150427452232618
"locura","capacidad","unrelated","word","word",0.170100532265855
"ingenuo","famoso","unrelated","word","word",0.208736940624661
"observación","diferente","unrelated","word","word",0.116498753289108
"fenómeno","instrumento","unrelated","word","word",0.287399062733981
"subestimar","último","unrelated","word","word",0.0785866489437093
"perdonar","hombre murciélago","unrelated","word","word",NA
"terremoto","decir","unrelated","word","word",0.162279943285002
"bomba","epidemia","unrelated","word","word",0.281522753695525
"explotar","seguro","unrelated","word","word",0.146745938494441
"galería","presión","unrelated","word","word",0.0553000822827975
"interno","falso","unrelated","word","word",0.319937142843756
"raro","clásico","unrelated","word","word",0.272876942903833
"ovni","diciembre","unrelated","word","word",0.143206125156779
"culo","fe","unrelated","word","word",0.0809516016257467
"imposible","contrario","unrelated","word","word",0.203003374073116
"éxito","supo","unrelated","word","word",0.156989757941454
"falso","presidente","unrelated","word","word",0.0421167615106226
"clan","detener","unrelated","word","word",0.154330779946516
"popular","agencia","unrelated","word","word",0.0669608953058809
"realidad","ayudar","unrelated","word","word",0.15007850479617
"maravilloso","delicioso","unrelated","word","word",0.575951213955385
"mortal","que","unrelated","word","word",0.179063351685676
"correo","altura","unrelated","word","word",0.0643314260200698
"esperar","honor","unrelated","word","word",0.166295288835097
"colonia","plausible","unrelated","word","word",0.0876028178845621
"aficionado","creatividad","unrelated","word","word",0.17484054647517
"carnaval","estudio","unrelated","word","word",0.164232109101608
"tos","márketing","unrelated","word","word",0.0969458787265198
"leal","pedido","unrelated","word","word",0.0609931688021243
"navidad","mantenerse","unrelated","word","word",0.073300683854494
"recepción","pedazo","unrelated","word","word",0.0577080056185471
"final","domingo","unrelated","word","word",0.146438989179003
"finalmente","modesto","unrelated","word","word",0.114085843021458
"financialmente","adolescente","unrelated","word","word",0.0827914361376655
"bancario","explosivo","unrelated","word","word",0.131445000981145
"sello","visión","unrelated","word","word",0.037769125787457
"formulario","elección","unrelated","word","word",0.10902331359025
"abogado","tortura","unrelated","word","word",0.114905594602958
"sexual","algo","unrelated","word","word",0.143596139806133
"planta","estrella","unrelated","word","word",0.159645233770976
"naval","excusa","unrelated","word","word",0.0605281619116854
"cima","egoísta","unrelated","word","word",0.145165439662793
"presupuesto","poder","unrelated","word","word",0.18167978158407
"imagen","fiel","unrelated","word","word",0.25399486040565
"autógrafo","testimonio","unrelated","word","word",0.198370086023358
"victoria","uniforme","unrelated","word","word",0.154492727682801
"inglés","watson","unrelated","word","word",0.19848969661137
"tirador","champán","unrelated","word","word",0.154801801630475
"diccionario","suficiente","unrelated","word","word",0.0739178245507307
"conspiración","aprobación","unrelated","word","word",0.205744180200674
"plátano","valla","unrelated","word","word",0.19123626661011
"cálido","partícula","unrelated","word","word",0.148940366286317
"caliente","espíritu","unrelated","word","word",0.150435241817727
"manzana","octubre","unrelated","word","word",0.165019028919491
"fuego","norte","unrelated","word","word",0.173099437946442
"pesado","dibujar","unrelated","word","word",0.137726344114693
"firmemente","emocionado","unrelated","word","word",0.0989266228219991
"fuerza","trueno","unrelated","word","word",0.257364638447987
"refugiado","molestar","unrelated","word","word",0.0880638115650963
"operacional","escándalo","unrelated","word","word",0.137676879503641
"ataúd","prueba","unrelated","word","word",0.108174781843101
"enojo","algun lado","unrelated","word","word",NA
"baloncesto","tienda","unrelated","word","word",0.14388619193348
"universo","peligroso","unrelated","word","word",0.149610993625622
"perdedor","fantasía","unrelated","word","word",0.205576613001051
"ganar","muy","unrelated","word","word",0.108223976230141
"taller","rata","unrelated","word","word",0.0336985855334181
"gas","gente","unrelated","word","word",0.142232939634728
"desperdicio","tortuga","unrelated","word","word",0.132038125198065
"perro","fiscal","unrelated","word","word",0.133570657338139
"lésbico","carne","unrelated","word","word",0.070617242285007
"normalmente","acompañar","unrelated","word","word",0.123214958490714
"naturalmente","cráneo","unrelated","word","word",0.139121133248494
"compasivo","escribiendo","unrelated","word","word",0.0810602704067932
"población","prueba","unrelated","word","word",0.116262199904316
"girar","salvar","unrelated","word","word",0.126761357272415
"nacional","organizar","unrelated","word","word",0.256247734541314
"glorioso","criada","unrelated","word","word",0.0772469092405355
"administración","mamá","unrelated","word","word",0.176088543176328
"mono","píldora","unrelated","word","word",0.105928783157927
"lentes","elevado","unrelated","word","word",0.0340336396025407
"registro","paquete","unrelated","word","word",0.190664628636044
"agradecido","compasión","unrelated","word","word",0.310499504897548
"ingenioso","disparo","unrelated","word","word",0.15177666107637
"diploma","perfecto","unrelated","word","word",0.13251202311295
"kilo","bolígrafo","unrelated","word","word",0.184277828167036
"libremente","sol","unrelated","word","word",0.0708824486666363
"hospitalidad","resistirse","unrelated","word","word",0.187591796281275
"romano","sermón","unrelated","word","word",0.129172659995726
"delgado","irónico","unrelated","word","word",0.251815268690535
"pandilla","nación","unrelated","word","word",0.224646011915854
"soldado","senado","unrelated","word","word",0.145873353439461
"piano","siempre","unrelated","word","word",0.145482349873527
"habitación","episodio","unrelated","word","word",0.156389613860667
"número","armonía","unrelated","word","word",0.092698321497611
"hablar","global","unrelated","word","word",0.113260407582525
"sólo","notable","unrelated","word","word",0.144022667272108
"hacer","tema","unrelated","word","word",0.169072487623191
"cansado","tormenta","unrelated","word","word",0.148803861737175
"sandwich","cartel","unrelated","word","word",0.122071993825329
"grano","belleza","unrelated","word","word",0.222234426539804
"ambulancia","biología","unrelated","word","word",0.0793755514201386
"herencia","libro","unrelated","word","word",0.188976671519906
"amigo","contenido","unrelated","word","word",0.12435812192239
"hermana","confianza","unrelated","word","word",0.141710735481851
"bonito","capitalismo","unrelated","word","word",0.0906695387792887
"cocaína","estructura","unrelated","word","word",0.139541586227793
"carbón","escritor","unrelated","word","word",0.100908803254674
"riñón","frase","unrelated","word","word",-0.000168612352243255
"hija","matrimonio","unrelated","word","word",0.301884020510517
"superhombre","accidente","unrelated","word","word",0.03661286329661
"lealtad","jugo","unrelated","word","word",0.0768142216611861
"bueno","injusto","unrelated","word","word",0.176337711262338
"privilegio","mundo","unrelated","word","word",0.186009221464677
"abeja","tranquilo","unrelated","word","word",0.115803567646769
"terrible","fraude","unrelated","word","word",0.174435733677901
"golpear","abadejo","unrelated","word","word",0.108043894785144
"adn","completo","unrelated","word","word",0.140303516505903
"nido","conejo","unrelated","word","word",0.31047423945161
"hombre","armada","unrelated","word","word",0.178931597144541
"baño","grabación","unrelated","word","word",0.115251324766635
"tonto","morir","unrelated","word","word",0.181869125556285
"dinastía","documento","unrelated","word","word",0.150272108817313
"sentido","banda","unrelated","word","word",0.0558485371888298
"valioso","médico","unrelated","word","word",0.179008743885957
"indefenso","mezcla","unrelated","word","word",0.0149973188411593
"halagar","armario","unrelated","word","word",0.0383077592722661
"incapacidad","izquierda","unrelated","word","word",0.159263085618931
"impresionante","psicológico","unrelated","word","word",0.226369722268466
"punto","fotógrafo","unrelated","word","word",0.0865647278530641
"persona","confirmar","unrelated","word","word",0.171916089510581
"de repente","venir","unrelated","word","word",NA
"juventud","navegar","unrelated","word","word",0.0550706165552552
"virus","evento","unrelated","word","word",0.18831778578543
"paraíso","porque","unrelated","word","word",0.153830475161203
"datos","grupo","unrelated","word","word",0.180706420471422
"fuente","conductor","unrelated","word","word",0.191657093474091
"informe","padre","unrelated","word","word",0.211668134504244
"ganancia","camarera","unrelated","word","word",0.106672569058952
"injusticia","construir","unrelated","word","word",0.125784117778275
"araña","adrenalina","unrelated","word","word",0.239344976633771
"examen","orina","unrelated","word","word",0.324393744655963
"inspirar","caballo","unrelated","word","word",0.0650028725483255
"herramienta","ministerio","unrelated","word","word",0.132020101793083
"inteligente","ciudad","unrelated","word","word",0.178506756455167
"propósito","interesante","unrelated","word","word",0.196287781825027
"accidentalmente","cable","unrelated","word","word",0.236496866327046
"tratar","cuello","unrelated","word","word",0.121776069107152
"excitante","electricidad","unrelated","word","word",0.150814449790242
"privado","financiero","unrelated","word","word",0.194250838929509
"personal","rescate","unrelated","word","word",0.143935065464981
"instinto","rápido","unrelated","word","word",0.128896128967878
"banquero","centenar","unrelated","word","word",0.0615471803246881
"finanzas","produce","unrelated","word","word",0.0856423174401419
"cápsula","nervioso","unrelated","word","word",0.142611339283024
"analista","cuatro","unrelated","word","word",0.133160720704678
"examinar","sin valor","unrelated","word","word",NA
"el verano","trono","unrelated","word","word",NA
"dosis","abrazo","unrelated","word","word",0.281169332714283
"ingresar","eficaz","unrelated","word","word",0.103240999885483
"ironía","tocino","unrelated","word","word",0.175072496525383
"irrazonable","normal","unrelated","word","word",0.347717263732428
"correcto","nieve","unrelated","word","word",0.105537987170943
"empujar","sendero","unrelated","word","word",0.177407702487842
"aguja","prisión","unrelated","word","word",0.154738126514627
"viejo","zona","unrelated","word","word",0.110173831754797
"diamante","película","unrelated","word","word",0.100039087973146
"jugar","lindo","unrelated","word","word",0.210776493269491
"corte","primario","unrelated","word","word",0.170476813929823
"entrenador","siempre","unrelated","word","word",0.17874445887758
"leche","martes","unrelated","word","word",0.107693713718263
"muñeca","desagradable","unrelated","word","word",0.171247983639577
"romeo","local","unrelated","word","word",0.174112835750247
"mayor","ofender","unrelated","word","word",0.146657216823627
"jurar","psicología","unrelated","word","word",0.0244786003882176
"venganza","allí","unrelated","word","word",0.0925403371516639
"seguridad","atrapar","unrelated","word","word",0.0869469746081556
"rana","matemáticas","unrelated","word","word",0.185889828058964
"río","si","unrelated","word","word",0.1379221901905
"chupar","corte","unrelated","word","word",0.128670624814019
"atún","señora","unrelated","word","word",0.0829308464805565
"pequeño","comunidad","unrelated","word","word",0.177423716148018
"limpio","gracioso","unrelated","word","word",0.227277257782715
"ilegal","fuertemente","unrelated","word","word",0.086671946465724
"cerca","bar","unrelated","word","word",0.118856056736949
"continuar","chaqueta","unrelated","word","word",0.107071909609876
"herida","frío","unrelated","word","word",0.134603388550285
"telegrama","fuego","unrelated","word","word",0.0741497643037288
"mito","religión","unrelated","word","word",0.313047981782016
"conservador","fiesta","unrelated","word","word",0.157301941658601
"biblia","patrulla","unrelated","word","word",0.0963467378768519
"miembro","indicar","unrelated","word","word",0.0995300733946631
"taxi","constitución","unrelated","word","word",0.0143387182640196
"dulce","pistola","unrelated","word","word",0.153563272096563
"líquido","artería","unrelated","word","word",0.232725772053175
"arte","notario","unrelated","word","word",0.197209442104456
"oso","estupidez","unrelated","word","word",0.134981910523091
"regional","personalidad","unrelated","word","word",0.173350595123495
"paranoico","explosión","unrelated","word","word",0.00701619845519372
"talla","polvoriento","unrelated","word","word",0.0596444229944835
"oscuridad","manteca","unrelated","word","word",0.158411280071499
"magia","juego","unrelated","word","word",0.20356587602209
"maletín","retirar","unrelated","word","word",0.168837454425976
"bien","silencio","unrelated","word","word",0.143202238192051
"papi","condesa","unrelated","word","word",0.116638025776281
"mañana","metro","unrelated","word","word",0.127694524246214
"bomba","letra","unrelated","word","word",0.135207771967025
"control","sensible","unrelated","word","word",0.151914846890339
"cariño","mujer","unrelated","word","word",0.182226154629682
"preservar","piloto","unrelated","word","word",0.1374469130659
"sostener","teléfono","unrelated","word","word",0.134272911990215
"servicio","cristiano","unrelated","word","word",0.185000172210842
"brújula","circo","unrelated","word","word",0.0233310939399469
"ardilla","televisión","unrelated","word","word",0.127391283537783
"robot","árbol","unrelated","word","word",0.130462266216803
"pirata","flota","unrelated","word","word",0.283291831585617
"publicidad","agujero","unrelated","word","word",0.0862994798961188
"lunes","mediodía","unrelated","word","word",0.652313618248462
"palo","atmósfera","unrelated","word","word",0.0458546447303259
"yoga","barba","unrelated","word","word",0.0641691314334079
"tragar","micrófono","unrelated","word","word",0.130409834362775
"veneno","hablar","unrelated","word","word",0.11822910349228
"física","hidrógeno","unrelated","word","word",0.284351132097623
"divorcio","reactor","unrelated","word","word",0.172902491716419
"mínimo","pene","unrelated","word","word",0.145418508704666
"salsa de tomate","con frecuencia","unrelated","word","word",NA
"técnico","precio","unrelated","word","word",0.136701389234399
"trofeo","definición","unrelated","word","word",0.107110581171677
"artefacto","correcto","unrelated","word","word",0.171937881974152
"cirujano","mosca","unrelated","word","word",0.0093221979234295
"medianoche","infección","unrelated","word","word",0.120261532942735
"labio","verdadero","unrelated","word","word",0.0914448316415924
"cambiar","empresario","unrelated","word","word",0.128724684101393
"más","armadura","unrelated","word","word",0.118325862528459
"advertencia","actividad","unrelated","word","word",0.159188341430966
"mentir","frio","unrelated","word","word",0.126284567300691
"junio","metal","unrelated","word","word",0.100837716316738
"planchar","loco","unrelated","word","word",0.0838314731750569
"kilómetro","esposa","unrelated","word","word",0.102644002533943
"combinación","mes de julio","unrelated","word","word",NA
"cámara","menos","unrelated","word","word",0.147789469439249
"telescopio","estúpido","unrelated","word","word",0.132803403511087
"horror","semanal","unrelated","word","word",0.173713991799747
"civil","concentrado","unrelated","word","word",0.0951807119456987
"embajada","pedir","unrelated","word","word",0.168051157464851
"embajador","premio","unrelated","word","word",0.136101385382829
"segundo","adiós","unrelated","word","word",0.0572936626318301
"pobreza","señal","unrelated","word","word",0.118852618649129
"perdón","exagerar","unrelated","word","word",0.221511427573128
"cohete","suponer","unrelated","word","word",0.131819223394686
"tarea","velocidad","unrelated","word","word",0.169613398680972
"secreto","come","unrelated","word","word",0.0505231222491458
"humilde","efecto","unrelated","word","word",0.0268748893774846
"seco","escribe","unrelated","word","word",0.10078918633967
"interrumpir","investigacion","unrelated","word","word",0.134355167764738
"templo","perspectiva","unrelated","word","word",0.0438078160648284
"pantalla","recolectar","unrelated","word","word",0.0781351957126176
"colina","promesa","unrelated","word","word",0.175191946114297
"suma","determinación","unrelated","word","word",0.208886929920081
"rasguño","cementerio","unrelated","word","word",0.151160463459697
"aspirina","callejón","unrelated","word","word",0.148129890415573
"sufrir","cerveza","unrelated","word","word",0.0916934071125121
"tierra","morfina","unrelated","word","word",0.128402332152518
"hotel","combatiente","unrelated","word","word",0.0908937269829243
"tanque","hace poco","unrelated","word","word",NA
"niños","extraño","unrelated","word","word",0.194329564483039
"vivo","ejército","unrelated","word","word",0.0756461859798979
"masculino","arrogancia","unrelated","word","word",0.141167140101407
"vdo","girar","unrelated","word","word",0.124596291356336
"internacional","planificación","unrelated","word","word",0.219049796212155
"nervio","extraterrestre","unrelated","word","word",0.189772693531596
"biblioteca","alarma","unrelated","word","word",0.187125309325163
"jazz","pájaro","unrelated","word","word",0.192042960206698
"cantante","campo de batalla","unrelated","word","word",NA
"evolución","disputa","unrelated","word","word",0.158816313220168
"extremadamente","plato","unrelated","word","word",0.116039204293467
"país","microscopio","unrelated","word","word",0.0838221809872746
"ahogar","bala","unrelated","word","word",0.0952280751618653
"verde","romántico","unrelated","word","word",0.177047996928793
"boca","trágico","unrelated","word","word",0.0723730555251189
"diarrea","adicional","unrelated","word","word",0.157083793460472
"ancla","permanecer","unrelated","word","word",0.181115240280238
"necesario","algodón","unrelated","word","word",0.131937518775325
"positivo","mapache","unrelated","word","word",0.129926815411231
"industria","vuelo","unrelated","word","word",0.0340527647076892
"blanco","temprano","unrelated","word","word",0.0593021809911266
"preocupado","destino","unrelated","word","word",0.0776634333567139
"nube","cliente","unrelated","word","word",0.0843023094046251
"lluvia","museo","unrelated","word","word",0.0659028208771517
"bebé","tejido","unrelated","word","word",0.246935103920132
"noche","niño","unrelated","word","word",0.139443396015638
"saludable","amistad","unrelated","word","word",0.249957205489335
"sur","duro","unrelated","word","word",0.156542961099397
"excepcional","división","unrelated","word","word",0.165658333849761
"inspector","temperatura","unrelated","word","word",0.14711371581571
"canal","tenedor","unrelated","word","word",0.205349778944369
"acicalar","cerdo","unrelated","word","word",0.181215661716635
"atómico","salario","unrelated","word","word",0.0902358970860096
"claramente","gasolina","unrelated","word","word",0.0887082047972429
"meridional","chocolate","unrelated","word","word",0.18972811090381
"mar","descanso","unrelated","word","word",0.133715927207022
"septiembre","fuertemente","unrelated","word","word",0.104454722903319
"insulto","web","unrelated","word","word",0.0289918944273409
"oficialmente","espejo","unrelated","word","word",0.0115473166661029
"escritorio","líder","unrelated","word","word",0.12026378124954
"gusto","ataque","unrelated","word","word",0.103356847439001
"elección","delincuente","unrelated","word","word",0.0973063469223832
"palabra","dispositivo","unrelated","word","word",0.137863336756276
"planeta","guitarra","unrelated","word","word",0.0472471512715307
"ojo","servidor","unrelated","word","word",0.1448702639642
"arreglar","comprador","unrelated","word","word",0.16225173377909
"sangre","fresa","unrelated","word","word",0.251963841426668
"sombra","fondos","unrelated","word","word",0.133242205648884
"primavera","bolsa","unrelated","word","word",0.121749341931229
"aire","dinamita","unrelated","word","word",0.172535910993979
"adulto","intento","unrelated","word","word",0.114820641060659
"madre","camioneta","unrelated","word","word",0.21058996099868
"mariposa","sugerir","unrelated","word","word",0.067312079055703
"tela","posibilidad","unrelated","word","word",0.124429612986512
"tío","reino","unrelated","word","word",0.165371825993929
"sobre","amanecer","unrelated","word","word",0.0834029787494541
"sobrenatural","alfa","unrelated","word","word",0.188231225552847
"sección","programa","unrelated","word","word",0.12538276575397
"importar","video","unrelated","word","word",0.106441905654762
"torneo","descripción","unrelated","word","word",0.0290606705986406
"futuro","ejecución","unrelated","word","word",0.13811373839993
"billete","departamento","unrelated","word","word",0.145332672058898
"conducir","triple","unrelated","word","word",0.0501976563171842
"siesta","cerrar con llave","unrelated","word","word",NA
"entusiasmo","educación","unrelated","word","word",0.202749533488319
"postre","gracias","unrelated","word","word",0.17344517811291
"miserable","sed","unrelated","word","word",0.159882132706151
"ganso","profesor","unrelated","word","word",0.121009115343885
"gerente","todavía","unrelated","word","word",0.10230782613846
"guardia","equipar","unrelated","word","word",0.206151216057002
"pollo","misterio","unrelated","word","word",0.14861186256186
"fragmento","obviamente","unrelated","word","word",0.166045699942167
"mando","vih","unrelated","word","word",0.0743804430943158
"pregunta","deseo","unrelated","word","word",0.192501297558257
"combate","mutación","unrelated","word","word",0.143903640630637
"pornografía","alucinación","unrelated","word","word",0.203476198143468
"riesgo","chantaje","unrelated","word","word",0.201014658683523
"arriesgado","béisbol","unrelated","word","word",0.0661121964894588
"vagina","diente","unrelated","word","word",0.280549373488155
"considerar","entrada","unrelated","word","word",0.129330984886702
"poco","finalizar","unrelated","word","word",0.134500118672384
"ideal","desgracia","unrelated","word","word",0.210000955822074
"lápiz labial","transferir","unrelated","word","word",NA
"radio","corbata","unrelated","word","word",0.157533034004892
"artículo","pañuelo","unrelated","word","word",0.173066124943802
"reportero","completamente","unrelated","word","word",0.123431656787157
"fase","asqueroso","unrelated","word","word",0.0989687672165001
"quédate","perseguir","unrelated","word","word",0.0769915366410815
"seguir","limusina","unrelated","word","word",0.0614537817762693
"personaje","culpable","unrelated","word","word",0.240212806316156
"vista","arrestar","unrelated","word","word",0.138955842663204
"caza","brillante","unrelated","word","word",0.0149679477322676
"carbón","orbita","unrelated","word","word",0.114601660853112
"tiburón","galaxia","unrelated","word","word",0.105005934816428
"tableta","incapaz","unrelated","word","word",0.120828468719013
"astronauta","escapar","unrelated","word","word",0.0798591478319901
"artista","símbolo","unrelated","word","word",0.259614063996863
