hi_cue,hi_target,type,cue_type,target_type,hi_cosine
शॉट,जल्दी जल्दी,unrelated,word,word,
बुरा,दशक,unrelated,word,word,
डाक टिकट,क्लिनिक,unrelated,word,word,
स्वर्ण,रहना,unrelated,word,word,
सरलता से,पकड़,unrelated,word,word,
शौचालय,संबंध,unrelated,word,word,
बूंद,अध्यापक,unrelated,word,word,
खड़ा होना,निवेश,unrelated,word,word,
थोड़ा,समाचार,unrelated,word,word,
स्वाद,प्लास्टिक,unrelated,word,word,
कीड़ा,शादी,unrelated,word,word,
शूटर,कर्तव्य,unrelated,word,word,
वर्षा,फेडरेशन,unrelated,word,word,
नींबु पानी,सज्जन,unrelated,word,word,
च्नद्र,रैकून,unrelated,word,word,
कुछ नहीं,लिमोसिन,unrelated,word,word,
और कहीं,अपराधी,unrelated,word,word,
बेटी,विशाल,unrelated,word,word,
एल्बम,मीटर,unrelated,word,word,
शोर,बावर्ची,unrelated,word,word,
लज़ान्या,पथ,unrelated,word,word,
बातचीत,पिशाच,unrelated,word,word,
प्रतिष्ठित,वोडका,unrelated,word,word,
दूरी,दबाएँ,unrelated,word,word,
बेकार,परीक्षण,unrelated,word,word,
शौक,सेरिब्रल,unrelated,word,word,
प्रसिद्ध व्यक्ति,अटलांटिक,unrelated,word,word,
संघीय,प्रलोभन,unrelated,word,word,
मंच,गैर जिम्मेदार,unrelated,word,word,
पहले से ही,टमाटर,unrelated,word,word,
चट्टान,कविता,unrelated,word,word,
मना करना,नारंगी,unrelated,word,word,
मिल,गणित,unrelated,word,word,
केला,तेज़ी,unrelated,word,word,
मार्ग,पूंजीवाद,unrelated,word,word,
झपकी,तोड़-फोड़,unrelated,word,word,
मजबूती से,भावुक,unrelated,word,word,
पागलपन,बंदरगाह,unrelated,word,word,
बदलना,लिंग,unrelated,word,word,
काफ़ी,राष्ट्र,unrelated,word,word,
प्रस्ताव,ग्राम,unrelated,word,word,
शनिवार,उत्पाद,unrelated,word,word,
संचालित,सड़क,unrelated,word,word,
डूबना,जादूगर,unrelated,word,word,
क्षमता,बाजू,unrelated,word,word,
तरीका,पत्रिका,unrelated,word,word,
कॉल,बाहरी,unrelated,word,word,
रेडियो,खरगोश,unrelated,word,word,
गर्मी,निगम,unrelated,word,word,
ताज,साप्ताहिक,unrelated,word,word,
आकाशीय विद्युत,प्रदान करना,unrelated,word,word,
नाम,कार्यात्मक,unrelated,word,word,
कंबल,न्याय,unrelated,word,word,
गुड़िया,बुद्धिमान,unrelated,word,word,
जासूस,दोपहर,unrelated,word,word,
कदम,सिगार,unrelated,word,word,
सेंसर,संकट,unrelated,word,word,
झाड़ी,परीक्षा,unrelated,word,word,
सुनवाई,कालीन,unrelated,word,word,
वृत्त,प्यारा,unrelated,word,word,
दोहरा,अनोखा,unrelated,word,word,
सोमवार,असत्य,unrelated,word,word,
मुर्गा,सलाह देना,unrelated,word,word,
घोंघा,हमला,unrelated,word,word,
घृणित,दबाव,unrelated,word,word,
अंतिम,प्रतिभा,unrelated,word,word,
अचानक से,बोस्टान,unrelated,word,word,
बैज,जानता था,unrelated,word,word,
अनाम,कर्क रोग,unrelated,word,word,
असुविधाजनक,लड़का,unrelated,word,word,
रक्त,किशोर,unrelated,word,word,
साधारण,हस्ताक्षर,unrelated,word,word,
रेगिस्तान,फाइनेंसिंग,unrelated,word,word,
ज़ोंबी,हाल ही में,unrelated,word,word,
ट्रेलर,प्रयास,unrelated,word,word,
दालचीनी,बटालियन,unrelated,word,word,
वाल्व,व्यवस्थित,unrelated,word,word,
अत्यंत,प्रमाण,unrelated,word,word,
व्हिस्की,कूदना,unrelated,word,word,
बहुमत,डेरा डालना,unrelated,word,word,
उम्मीदवार,सुखद,unrelated,word,word,
जेब,विदेशी,unrelated,word,word,
फोजी,गतिविधि,unrelated,word,word,
साफ,खड़ा होना,unrelated,word,word,
शर्लाक,लड़ाई,unrelated,word,word,
बलवान,सतह,unrelated,word,word,
खजाना,नौसेना,unrelated,word,word,
पिस्तौल,वैश्विक,unrelated,word,word,
महीना,योद्धा,unrelated,word,word,
रोज,दान,unrelated,word,word,
दक्षिण,दुल्हन,unrelated,word,word,
सींग,ज्योति,unrelated,word,word,
संकीर्ण,हमेशा के लिए,unrelated,word,word,
बढ़त,उड़ान,unrelated,word,word,
केबल,उलझन,unrelated,word,word,
कोसना,नौभार,unrelated,word,word,
भालू,डिप्रेशन,unrelated,word,word,
विधवा,वैन,unrelated,word,word,
रोजगार,मांसपेशी,unrelated,word,word,
व्यर्थ,समुदाय,unrelated,word,word,
योग्य होना,विशेषज्ञ,unrelated,word,word,
पढ़ना,कार्यालय,unrelated,word,word,
कवि,छेद,unrelated,word,word,
ठीक,अक्सर,unrelated,word,word,
लाल,निर्देशक,unrelated,word,word,
छुट्टी,पोशाक,unrelated,word,word,
रीढ़ की हड्डी में,प्रभावित करना,unrelated,word,word,
अपहरण करना,गलती,unrelated,word,word,
उपस्थिति,स्पघेटी,unrelated,word,word,
लेखक,डॉलर,unrelated,word,word,
टर्मिनल,देना,unrelated,word,word,
प्रेरणा,फूल,unrelated,word,word,
उफौ,हौदी,unrelated,word,word,
प्रभावशाली,हत्या,unrelated,word,word,
शव परीक्षण,दृढ़ता से,unrelated,word,word,
इंजीनियर,मतदाता,unrelated,word,word,
शस्त्रागार,स्नातक,unrelated,word,word,
प्राकृतिक,समूह,unrelated,word,word,
सहयोग,जलयात्रा,unrelated,word,word,
सचिव,कृत्रिम,unrelated,word,word,
शिकार,वफादार,unrelated,word,word,
राय,लाश,unrelated,word,word,
क्षेत्राधिकार,प्याज,unrelated,word,word,
वसंत,कांटा,unrelated,word,word,
जाल,लोग,unrelated,word,word,
स्टेडियम,तोड़ना,unrelated,word,word,
सुंदर हे,माइक्रोस्कोप,unrelated,word,word,
सोफ़ा,चमकदार,unrelated,word,word,
रासायनिक,पेट,unrelated,word,word,
तितली,राजनीतिक,unrelated,word,word,
सालगिरह,विस्फोटक,unrelated,word,word,
बाइबिल,लॉबस्टर,unrelated,word,word,
कांच,बेवकूफ,unrelated,word,word,
मीनार,स्वीकार करें,unrelated,word,word,
बन्दूक या तोप का मुंह,मोटेल,unrelated,word,word,
नितंब,अधिकारी,unrelated,word,word,
चुप,आटा,unrelated,word,word,
पिकनिक,भावना,unrelated,word,word,
अराजकता,कोठरी,unrelated,word,word,
महल,वीडियो,unrelated,word,word,
लपकना,विज्ञान,unrelated,word,word,
चर्च,इनाम,unrelated,word,word,
मनोहर,दादी मा,unrelated,word,word,
महंगा,पत्रकार,unrelated,word,word,
निगलना,बीता हुआ कल,unrelated,word,word,
युवा,धमनी,unrelated,word,word,
ठेठ,तीन,unrelated,word,word,
प्रारंभिक,प्रतिमा,unrelated,word,word,
सागरतट,यांत्रिक,unrelated,word,word,
गिरना,संगीतकार,unrelated,word,word,
निरीक्षक,बंदूक,unrelated,word,word,
समाज,कुर्सी,unrelated,word,word,
यात्रा,जंतु,unrelated,word,word,
संपर्क,विपणन,unrelated,word,word,
गरम,इमारत,unrelated,word,word,
रेशम,चरवाहे,unrelated,word,word,
रिश्तेदार,दर्द,unrelated,word,word,
पैरानॉयड,नौकरानी,unrelated,word,word,
चोर,भक्ति,unrelated,word,word,
परिस्थिति,बिक्री,unrelated,word,word,
आँसू,ट्रक,unrelated,word,word,
मीठा,आय,unrelated,word,word,
चाचा,निगरानी,unrelated,word,word,
साया,पढाई,unrelated,word,word,
सूर्यास्त,धन्यवाद,unrelated,word,word,
जीवित,सेंटीमीटर,unrelated,word,word,
केबिन,पत्थर,unrelated,word,word,
सुखद,अंगुली की छाप,unrelated,word,word,
तनाव,बिल्ली,unrelated,word,word,
निर्माण,रक्षा करना,unrelated,word,word,
देवदूत,बेसबॉल,unrelated,word,word,
गौरव,तुर्की,unrelated,word,word,
बातचीत,वन,unrelated,word,word,
फ़्लू,चुनाव,unrelated,word,word,
फ़ाइल,अप्रत्याशित रूप से,unrelated,word,word,
देर,भेड़िया,unrelated,word,word,
असंभव,विश्वविद्यालय,unrelated,word,word,
खिलाना,पीला,unrelated,word,word,
वर्तमान,मतिभ्रम,unrelated,word,word,
श्रृंखला,झील,unrelated,word,word,
भागना,लंबा,unrelated,word,word,
रात,प्रतीक,unrelated,word,word,
घटना,मरना,unrelated,word,word,
अभ्यास,तमन्ना,unrelated,word,word,
फोड़ना,रहस्य,unrelated,word,word,
भूकंप,घिनौना,unrelated,word,word,
अंदर का,रस,unrelated,word,word,
सफलता,स्टेशन,unrelated,word,word,
वंश,वेब,unrelated,word,word,
प्रशंसनीय,हवाई अड्डा,unrelated,word,word,
घातक,धर्म,unrelated,word,word,
खांसी,जानकारी,unrelated,word,word,
अंत,लापता होने के,unrelated,word,word,
आग,समझ गए,unrelated,word,word,
अवतरण,कचरा,unrelated,word,word,
बादल,धन,unrelated,word,word,
दो,तेज़,unrelated,word,word,
विनम्र,पलायन,unrelated,word,word,
संबंध,तेल,unrelated,word,word,
खाली,टेनिस,unrelated,word,word,
आपरेशनल,सुंदर,unrelated,word,word,
आय-व्ययक,वाक्यांश,unrelated,word,word,
ब्रम्हांड,सीटी,unrelated,word,word,
कार्यशाला,गाल,unrelated,word,word,
द्वार,स्वेच्छा से,unrelated,word,word,
प्रशंसा,दरवाजा,unrelated,word,word,
प्रस्ताव,दुर्घटना,unrelated,word,word,
यशस्वी,सही,unrelated,word,word,
दादा,वनीला,unrelated,word,word,
बधाई,जानवर,unrelated,word,word,
गिरोह,कल्पना,unrelated,word,word,
पियानो,कार्टेल,unrelated,word,word,
घटित होना,पिता,unrelated,word,word,
कठिन,जी मिचलाना,unrelated,word,word,
संतुलन,सोदागर,unrelated,word,word,
स्वस्थ होना,दंतकथा,unrelated,word,word,
सुनना,पहाड़,unrelated,word,word,
आकाश,मजेदार,unrelated,word,word,
अधिक वज़नदार,टीका,unrelated,word,word,
वजन,हेलीकॉप्टर,unrelated,word,word,
एम्बुलेंस,स्ट्रॉबेरी,unrelated,word,word,
स्वर्ग,पिता,unrelated,word,word,
कोकीन,वायर,unrelated,word,word,
एड्स,रेस्टोरेंट,unrelated,word,word,
विशेषाधिकार,आंधी,unrelated,word,word,
गधा,सिगरेट,unrelated,word,word,
चुम्मा,धोखा,unrelated,word,word,
बुद्धू,दुकान,unrelated,word,word,
अर्थ,चॉकलेट,unrelated,word,word,
मूल्यवान,वायुमंडल,unrelated,word,word,
दंड,पूर्व,unrelated,word,word,
व्यक्ति,कोहरा,unrelated,word,word,
रिपोर्ट,टोपी,unrelated,word,word,
स्रोत,सोच,unrelated,word,word,
घाव,दुखद,unrelated,word,word,
बाहर,लैस,unrelated,word,word,
प्रयोजन,सर्दी,unrelated,word,word,
अकस्मात,वापसी,unrelated,word,word,
विश्लेषक,सक्रिय,unrelated,word,word,
कमीज,चिंता,unrelated,word,word,
वरिष्ठ,वास्तविक,unrelated,word,word,
पकड़,सराहना,unrelated,word,word,
अवैध,युवा,unrelated,word,word,
तार,चुनें,unrelated,word,word,
अपरिवर्तनवादी,खिलौना,unrelated,word,word,
अंधेरा,खाओ,unrelated,word,word,
मिंग,घुटना,unrelated,word,word,
रक्षित,महापौर,unrelated,word,word,
नियंत्रण,अभियोक्ता,unrelated,word,word,
विज्ञापन,गद्दार,unrelated,word,word,
न्यूनतम,राजनीतिज्ञ,unrelated,word,word,
चटनी,दल,unrelated,word,word,
व्यावसायिक,सहज बोध,unrelated,word,word,
दूरबीन,कट गया,unrelated,word,word,
दूत,कीट,unrelated,word,word,
दूतावास,सद्भाव,unrelated,word,word,
जोड़,हथियार,unrelated,word,word,
गरीबी,संदेश,unrelated,word,word,
मंदिर,प्रसिद्ध अभिनेता/अभिनेत्री,unrelated,word,word,
पॉर्न,दोस्त,unrelated,word,word,
हत्यारा,जिला,unrelated,word,word,
गायक,लेफ्टिनेंट,unrelated,word,word,
दस्त,प्रतिष्ठा,unrelated,word,word,
समुद्री,कलम,unrelated,word,word,
छल्ला/घेरा,अभिमान,unrelated,word,word,
पोता,बस,unrelated,word,word,
चैनल,चहलक़दमी,unrelated,word,word,
दक्षिण,अनुसूची,unrelated,word,word,
मुंह,पदच्युति,unrelated,word,word,
दुश्मन,यकृत,unrelated,word,word,
पसंद,लिखना,unrelated,word,word,
हरा,गरिमा,unrelated,word,word,
आदेश,चिड़िया,unrelated,word,word,
नतीजा,स्टोव,unrelated,word,word,
अनुभाग,योद्धा,unrelated,word,word,
टिकट,छिपाना,unrelated,word,word,
कोड,गोली मारना,unrelated,word,word,
भविष्य,चबाने,unrelated,word,word,
मार्ग,पदक,unrelated,word,word,
दीन,चर्चा,unrelated,word,word,
रक्षक,भयंकर,unrelated,word,word,
लिपस्टिक,ध्यान केंद्रित करना,unrelated,word,word,
व्याख्या,वैभव,unrelated,word,word,
कोच,पर्याप्त,unrelated,word,word,
विकट,मालिक,unrelated,word,word,
मोका,बारूद,unrelated,word,word,
नाड़ी,उड़ना,unrelated,word,word,
मूल्य,खोपड़ी,unrelated,word,word,
साधु,सुरुचिपूर्ण,unrelated,word,word,
शायद,शक्तिहीन,unrelated,word,word,
ब्रांड,उदार,unrelated,word,word,
डीन,संपत्ति,unrelated,word,word,
वकील,नृत्य,unrelated,word,word,
सक्षम,अतिरंजना करना,unrelated,word,word,
लोमड़ी,मरम्मत,unrelated,word,word,
माउस,फोटोग्राफर,unrelated,word,word,
जनरेटर,प्राणदण्ड,unrelated,word,word,
अभी - अभी,सहायता,unrelated,word,word,
दर्शन,विवाहित,unrelated,word,word,
भूल जाना,सिरिंज,unrelated,word,word,
हटाना,मज़दूर,unrelated,word,word,
अधिलाभ,रविवार,unrelated,word,word,
सीज़र,पायलट,unrelated,word,word,
सूप,प्रवेश,unrelated,word,word,
बचाव,निशानची,unrelated,word,word,
चुनना,मूल्यांकन,unrelated,word,word,
लाओ,कानूनी,unrelated,word,word,
शब्द,दृष्टि,unrelated,word,word,
भाषण,भरा हुआ,unrelated,word,word,
दास,बवंडर,unrelated,word,word,
आवृत्ति,शांत,unrelated,word,word,
शांत,मछली पकड़ना,unrelated,word,word,
हड्डी,के बारे में,unrelated,word,word,
विश्राम,बैटमैन,unrelated,word,word,
ठोस,डायन,unrelated,word,word,
हवा,आम तौर पर,unrelated,word,word,
ओवन,खिलाड़ी,unrelated,word,word,
असामान्य,वध,unrelated,word,word,
मारो,कल्पना,unrelated,word,word,
अनाड़ी,चुस्की,unrelated,word,word,
वस्तु,कॉमेडी,unrelated,word,word,
प्रतिबन्ध करना,छाती,unrelated,word,word,
ब्रीफ़केस,योग्यता,unrelated,word,word,
चांद,सिस्टम,unrelated,word,word,
परत,होने देना,unrelated,word,word,
संदेह,त्रिमास,unrelated,word,word,
झंडा,हत्यारा,unrelated,word,word,
सुई,रचनात्मकता,unrelated,word,word,
सीखना,उपनाम,unrelated,word,word,
छात्र,परिभाषा,unrelated,word,word,
संघ,सलाद,unrelated,word,word,
कहो,गिटार,unrelated,word,word,
गोल्फ़,समिति,unrelated,word,word,
आभारी,अनुच्छेद,unrelated,word,word,
यहां,झंकार,unrelated,word,word,
पतला,पुजारी,unrelated,word,word,
छांदना,सामान्य,unrelated,word,word,
विस्फोटक,डरावना,unrelated,word,word,
त्वचा,क्रेता,unrelated,word,word,
आलू,दोषी,unrelated,word,word,
नाखून,राजनीति,unrelated,word,word,
तूफान,परेशान,unrelated,word,word,
चिकित्सा,वेतन,unrelated,word,word,
पुल,जानबूझ कर,unrelated,word,word,
असमर्थता,मिसाइल,unrelated,word,word,
विशेष,आत्मविश्वास,unrelated,word,word,
नीचे,खेल,unrelated,word,word,
सामान्य रूप से,सपना,unrelated,word,word,
मंगल ग्रह,महान,unrelated,word,word,
जाँच,तल,unrelated,word,word,
शिविर,बीयर,unrelated,word,word,
प्रोटीन,गाड़ना,unrelated,word,word,
स्वयंसेवक,खेल,unrelated,word,word,
दौड़ना,त्यौहार,unrelated,word,word,
देखना,संभावित,unrelated,word,word,
सगाई,शानदार,unrelated,word,word,
सूखा,असमर्थ,unrelated,word,word,
किसान,भयादोहन,unrelated,word,word,
वास्ता,परिवर्तन,unrelated,word,word,
पाठ,दर्शनीय,unrelated,word,word,
बूढा,लड़ाई का मैदान,unrelated,word,word,
क्षेत्रफल,बच्चा,unrelated,word,word,
उत्प्रेरक,विकल्प,unrelated,word,word,
प्रबंध,संभवत,unrelated,word,word,
अनुबंध,पूछना,unrelated,word,word,
प्रशंसा करना,टेलीफ़ोन,unrelated,word,word,
सज़ा देना,दौड़,unrelated,word,word,
अज्ञान,अलार्म,unrelated,word,word,
शांतिप्रद,संविधान,unrelated,word,word,
टोस्ट,सेना,unrelated,word,word,
रसायन विज्ञान,अनुरोध,unrelated,word,word,
भूरा,रस्सी,unrelated,word,word,
प्रबंधक,मुक्त,unrelated,word,word,
मिठाई,मालिक,unrelated,word,word,
कुत्ता,समापन,unrelated,word,word,
आम,ज्यादा से ज्यादा,unrelated,word,word,
करते,मकसद,unrelated,word,word,
तन,वित्तीय,unrelated,word,word,
रदेऊ,सुधार,unrelated,word,word,
पाप,जन्मदिन,unrelated,word,word,
नवंबर,मिश्रण,unrelated,word,word,
सत्य के प्रति निष्ठा,चलचित्र,unrelated,word,word,
सीधा,गहना,unrelated,word,word,
आश्चर्य,चोट का निसान,unrelated,word,word,
काउंटी,गले का हार,unrelated,word,word,
अति आवश्यक,याद रखना,unrelated,word,word,
ओगाज़्म,सर्दी,unrelated,word,word,
कभी नहीँ,गिरफ़्तार करना,unrelated,word,word,
बम,प्रसिद्ध,unrelated,word,word,
नकली,विस्फोट,unrelated,word,word,
लोकप्रिय,सूचना देनेवाला,unrelated,word,word,
नर,प्रभात,unrelated,word,word,
बैंकिंग,प्राचीन पदक,unrelated,word,word,
जंगल,चोट,unrelated,word,word,
सरस,सैन्य,unrelated,word,word,
करुणा,चित्र बनाना,unrelated,word,word,
आवरण,पागल,unrelated,word,word,
चापलूसी,रकम,unrelated,word,word,
परिवर्तन,चौथा,unrelated,word,word,
मकड़ी,विवाद,unrelated,word,word,
प्रेरित करना,गति,unrelated,word,word,
बैंकर,ईमानदारी,unrelated,word,word,
विडंबना,निरंतर,unrelated,word,word,
चूसना,उपग्रह,unrelated,word,word,
कला,रखना,unrelated,word,word,
चाभी,विनाश,unrelated,word,word,
माफी,गोली,unrelated,word,word,
चेतावनी,दर्शक,unrelated,word,word,
कैमरा,निर्माण,unrelated,word,word,
सेकंड,परंपरागत,unrelated,word,word,
राकेट,पत्नी,unrelated,word,word,
आत्महत्या,संकेत,unrelated,word,word,
सकारात्मक,आकाशगंगा,unrelated,word,word,
कसम खाता,चटनी,unrelated,word,word,
अपमान,अंदर,unrelated,word,word,
ग्रह,बोलना,unrelated,word,word,
अलौकिक,भाषण,unrelated,word,word,
स्वागत,प्यारा,unrelated,word,word,
कागज़,खतरा,unrelated,word,word,
आबादी,लूट,unrelated,word,word,
दिखाओ,नाविक,unrelated,word,word,
दृश्य,काम,unrelated,word,word,
मूलपाठ,मूर्खता,unrelated,word,word,
जुआ,दिसंबर,unrelated,word,word,
कैप्सूल,वास्तविक,unrelated,word,word,
प्रगति,कछुआ,unrelated,word,word,
सबूत,द्वार,unrelated,word,word,
मैराथन,साँप,unrelated,word,word,
अपहरणकर्ता,बर्फ,unrelated,word,word,
सच,पता,unrelated,word,word,
सचमुच,सुरक्षित,unrelated,word,word,
अभिलेख,व्यायाम,unrelated,word,word,
ठीक करना,संग्रहालय,unrelated,word,word,
प्रतिरोध,कमाल की,unrelated,word,word,
वापस,मंत्री,unrelated,word,word,
गपशप,बंदी,unrelated,word,word,
ज़िद्दी,रोम,unrelated,word,word,
नाज़ुक,वास्तुकार,unrelated,word,word,
प्राण,पूर्ण,unrelated,word,word,
टिप्पणी,भाई,unrelated,word,word,
ताल,दरिंदा,unrelated,word,word,
किशोर का,जोश में,unrelated,word,word,
विचार,आईना,unrelated,word,word,
उंगली,गेराज,unrelated,word,word,
लागू,कब्रिस्तान,unrelated,word,word,
विषहर औषध,अक्टूबर,unrelated,word,word,
हारनेवाला,प्रबंधकारिणी समिति,unrelated,word,word,
मंशा,छुट्टी का दिन,unrelated,word,word,
जादू,बटुआ,unrelated,word,word,
अंतरराष्ट्रीय,अकेला,unrelated,word,word,
अधिक,चित्रकार,unrelated,word,word,
अफ्रीका,ऑक्सीजन,unrelated,word,word,
ईर्ष्या,उपदेश,unrelated,word,word,
आक्रमण,डरना,unrelated,word,word,
वाशिंगटन,जैविक,unrelated,word,word,
रेल गाडी,त्रिकोण,unrelated,word,word,
दीपक,मतदान,unrelated,word,word,
वाइन,अंधेरा,unrelated,word,word,
अव्यवस्था,भाई,unrelated,word,word,
क्रूर,कवच,unrelated,word,word,
मौत,समस्या,unrelated,word,word,
बनाना,नौकर,unrelated,word,word,
घोंसला,अंतिम,unrelated,word,word,
शक्ति,बुखार,unrelated,word,word,
पास,शैंपेन,unrelated,word,word,
मां,पैरानॉर्मल,unrelated,word,word,
डरावनी,मानना,unrelated,word,word,
नवल,तौलिया,unrelated,word,word,
पिघल,बाड़,unrelated,word,word,
सहकर्मी,प्रशंसनीय,unrelated,word,word,
होशियार,दुर्भाग्य,unrelated,word,word,
कंधा,सुंदरता,unrelated,word,word,
तलवार,व्यक्तिगत,unrelated,word,word,
श्रेय,अंतिम संस्कार,unrelated,word,word,
स्वामिनी,कण,unrelated,word,word,
भौतिक विज्ञान,टहलना,unrelated,word,word,
होटल,जूलियट,unrelated,word,word,
पदार्थ,नकारात्मक,unrelated,word,word,
शरीर रचना,छान - बीन करना,unrelated,word,word,
धीरे से,राज्य,unrelated,word,word,
कीचड़,विटामिन,unrelated,word,word,
मलाई,शाम,unrelated,word,word,
कर्मी दल,उपकरण,unrelated,word,word,
अनुसंधान,कातिल,unrelated,word,word,
लक्षण,गाँव,unrelated,word,word,
नेटवर्क,लड़ाई,unrelated,word,word,
प्रयोग,दयनीय,unrelated,word,word,
साक्षी,निराशा,unrelated,word,word,
क्या,प्रशासनिक,unrelated,word,word,
सिनेमा,आसान,unrelated,word,word,
विचार करना,रोशनी,unrelated,word,word,
दुखी,ट्रांसमीटर,unrelated,word,word,
जीप,ज्ञान,unrelated,word,word,
अन्याय,गंध,unrelated,word,word,
कम,मटमैला,unrelated,word,word,
गर्मी,दिव्य,unrelated,word,word,
आज,वास्तव में,unrelated,word,word,
बाहर,उपहार,unrelated,word,word,
बहन,चैंपियनशिप,unrelated,word,word,
दिमाग,संकेत,unrelated,word,word,
मुकाबला,क़सम,unrelated,word,word,
रसोइया,ऊर्जा,unrelated,word,word,
शिशु,प्रेरणा,unrelated,word,word,
तंबाकू,राजा,unrelated,word,word,
आना,अप्रिय,unrelated,word,word,
नाटक,मोटा,unrelated,word,word,
प्रोफ़ाइल,सागर,unrelated,word,word,
संग्राम,आकर्षित,unrelated,word,word,
अनाज,ताने के तौर पर,unrelated,word,word,
चम्मच,इरादा,unrelated,word,word,
कूड़ा,साधारण,unrelated,word,word,
थका हुआ,प्रभावी,unrelated,word,word,
वाइरस,ग्राहक,unrelated,word,word,
अच्छा,न्यायाधीश,unrelated,word,word,
टूर्नामेंट,खींचना,unrelated,word,word,
लेख,आत्मा,unrelated,word,word,
सृजन करना,मुश्किल,unrelated,word,word,
असाधारण,विस्फोट,unrelated,word,word,
पब,रणनीति,unrelated,word,word,
नाटकीय,पैकेज,unrelated,word,word,
बूट,सहायक,unrelated,word,word,
संवेदनात्मक,बनाए रखना,unrelated,word,word,
स्मारक,स्नानघर,unrelated,word,word,
पिरामिड,करुणा,unrelated,word,word,
लाइव,समुंद्री जहाज,unrelated,word,word,
पति,उदारवादी,unrelated,word,word,
आवाज़,अनुमोदन,unrelated,word,word,
रात का खाना,कष्ट,unrelated,word,word,
मरीज,मछली,unrelated,word,word,
लेस्बियन,स्थान,unrelated,word,word,
तकनीकी,शुक्र,unrelated,word,word,
आदर्श,गीत,unrelated,word,word,
जन्म,फिर भी,unrelated,word,word,
भूख,वैज्ञानिक,unrelated,word,word,
आधुनिक,प्लेट,unrelated,word,word,
इंटरनेट,चुनौती,unrelated,word,word,
हाव - भाव,चारों तरफ,unrelated,word,word,
अच्छा,पूरी तरह,unrelated,word,word,
कंपनी,दिलचस्प,unrelated,word,word,
गैस,शारीरिक,unrelated,word,word,
हज़ार,उत्तम,unrelated,word,word,
कभी - कभी,इंजेक्शन,unrelated,word,word,
प्रपत्र,बहादुर,unrelated,word,word,
योजना,अनुकूल,unrelated,word,word,
ऑर्केस्ट्रा,छिपकली,unrelated,word,word,
अतिमानव,उत्कृष्ट,unrelated,word,word,
चमक,मशीन,unrelated,word,word,
करोड़पति,तत्त्व,unrelated,word,word,
बास्केटबाल,समारोह,unrelated,word,word,
बंदर,अवधि,unrelated,word,word,
सत्कार,ज़रूरत,unrelated,word,word,
आरामदायक,घोड़ा,unrelated,word,word,
वेटर,जुनून,unrelated,word,word,
युद्ध,पाना,unrelated,word,word,
ताबूत,मानव,unrelated,word,word,
बदकिस्मत,कोई चीज़,unrelated,word,word,
प्रौद्योगिकी,निर्दयी,unrelated,word,word,
यातना,जरूरी,unrelated,word,word,
महाविद्यालय,सूटकेस,unrelated,word,word,
ढाल,अनुचित,unrelated,word,word,
झूठ,कान्वेंट,unrelated,word,word,
निष्ठा,अखबार,unrelated,word,word,
श्रुति,अपराध,unrelated,word,word,
शरणार्थी,ऊपर,unrelated,word,word,
भयानक,सूचित करना,unrelated,word,word,
अनाड़ी,सप्ताह,unrelated,word,word,
पुरुष,प्राथमिक,unrelated,word,word,
अभी,जानलेवा,unrelated,word,word,
दाहिने,फ्रांसीसी,unrelated,word,word,
जगह,अफ़ीम का सत्त्व,unrelated,word,word,
देखो,महामारी,unrelated,word,word,
एक,अत्याचार,unrelated,word,word,
एहसास,मंत्रालय,unrelated,word,word,
लक़ब,बेचना,unrelated,word,word,
परियोजना,डर,unrelated,word,word,
शाही,हसना,unrelated,word,word,
ऊपर,महिला,unrelated,word,word,
उच्च श्रेणी का वकील,स्पष्टतः,unrelated,word,word,
राजवंश,बताओ,unrelated,word,word,
कार्य,जानना,unrelated,word,word,
डीवीडी,वह,unrelated,word,word,
तीसरा,करना,unrelated,word,word,
लीली,तरल,nonword,nonword,word,
त्वन्या,अतिरंजना करना,nonword,nonword,word,
अकसगलना,दशक,nonword,nonword,word,
अकदीर,प्लेट,nonword,nonword,word,
सेेला,गुणवत्ता,nonword,nonword,word,
अक्लवार,रस्सी,nonword,nonword,word,
सपाड़ा,गलती,nonword,nonword,word,
आन्सेही,रखना,nonword,nonword,word,
अचाउंटेस,उत्पादन,nonword,nonword,word,
जुञ,खतरा,nonword,nonword,word,
जोघ,छाती,nonword,nonword,word,
द्त्रि,पनीर,nonword,nonword,word,
अजलवार,निगरानी,nonword,nonword,word,
अंतररारांसीसी,अपहरण,nonword,nonword,word,
अंतरिक्य रूप से,उदारवादी,nonword,nonword,word,
अति आरामिड,हत्या,nonword,nonword,word,
अति उिकित्सक,आरोप,nonword,nonword,word,
अंशाम,कपास,nonword,nonword,word,
अतिवस्थ,सुखद,nonword,nonword,word,
अतिपत्ति,बहुत,nonword,nonword,word,
अतरबंध,पिछला,nonword,nonword,word,
उङ्पेर,तकदीर,nonword,nonword,word,
अंटी,प्रतीक,nonword,nonword,word,
अधिक वरूप में,सस्ता,nonword,nonword,word,
अंत्रा,सर्कस,nonword,nonword,word,
रव़ना,मरना,nonword,nonword,word,
अन्म,नली,nonword,nonword,word,
अनॊहि,रवि,nonword,nonword,word,
अनोपि,प्रयास,nonword,nonword,word,
अनाटेशन,वर्दी,nonword,nonword,word,
अनगा,दोषी,nonword,nonword,word,
अनसबॉल,माता-पिता,nonword,nonword,word,
अनरथम,सद्भाव,nonword,nonword,word,
अन्कार,प्यारा,nonword,nonword,word,
