en_cue,en_target,unique,en_cosine,en_fake_cue,en_fake_target,af_target,af_cue,af_cosine,af_fake_cue,af_fake_target,ar_target,ar_cue,ar_cosine,ar_fake_cue,ar_fake_target,bg_target,bg_cue,bg_cosine,bg_fake_cue,bg_fake_target,ca_target,ca_cue,ca_cosine,ca_fake_cue,ca_fake_target,cs_target,cs_cue,cs_cosine,cs_fake_cue,cs_fake_target,da_target,da_cue,da_cosine,da_fake_cue,da_fake_target,de_target,de_cue,de_cosine,de_fake_cue,de_fake_target,el_target,el_cue,el_cosine,el_fake_cue,el_fake_target,es_target,es_cue,es_cosine,es_fake_cue,es_fake_target,et_target,et_cue,et_cosine,et_fake_cue,et_fake_target,eu_target,eu_cue,eu_cosine,eu_fake_cue,eu_fake_target,fa_target,fa_cue,fa_cosine,fa_fake_cue,fa_fake_target,fi_target,fi_cue,fi_cosine,fi_fake_cue,fi_fake_target,fr_target,fr_cue,fr_cosine,fr_fake_cue,fr_fake_target,gl_target,gl_cue,gl_cosine,gl_fake_cue,gl_fake_target,he_target,he_cue,he_cosine,he_fake_cue,he_fake_target,hi_target,hi_cue,hi_cosine,hi_fake_cue,hi_fake_target,hr_target,hr_cue,hr_cosine,hr_fake_cue,hr_fake_target,hu_target,hu_cue,hu_cosine,hu_fake_cue,hu_fake_target,hy_target,hy_cue,hy_cosine,hy_fake_cue,hy_fake_target,id_target,id_cue,id_cosine,id_fake_cue,id_fake_target,it_target,it_cue,it_cosine,it_fake_cue,it_fake_target,ja_target,ja_cue,ja_cosine,ja_fake_cue,ja_fake_target,ko_target,ko_cue,ko_cosine,ko_fake_cue,ko_fake_target,lt_target,lt_cue,lt_cosine,lt_fake_cue,lt_fake_target,lv_target,lv_cue,lv_cosine,lv_fake_cue,lv_fake_target,nl_target,nl_cue,nl_cosine,nl_fake_cue,nl_fake_target,no_target,no_cue,no_cosine,no_fake_cue,no_fake_target,pl_target,pl_cue,pl_cosine,pl_fake_cue,pl_fake_target,pt_target,pt_cue,pt_cosine,pt_fake_cue,pt_fake_target,ro_target,ro_cue,ro_cosine,ro_fake_cue,ro_fake_target,ru_target,ru_cue,ru_cosine,ru_fake_cue,ru_fake_target,sk_target,sk_cue,sk_cosine,sk_fake_cue,sk_fake_target,sl_target,sl_cue,sl_cosine,sl_fake_cue,sl_fake_target,sr_target,sr_cue,sr_cosine,sr_fake_cue,sr_fake_target,sv_target,sv_cue,sv_cosine,sv_fake_cue,sv_fake_target,ta_target,ta_cue,ta_cosine,ta_fake_cue,ta_fake_target,tr_target,tr_cue,tr_cosine,tr_fake_cue,tr_fake_target,uk_target,uk_cue,uk_cosine,uk_fake_cue,uk_fake_target,ur_target,ur_cue,ur_cosine,ur_fake_cue,ur_fake_target,vi_target,vi_cue,vi_cosine,vi_fake_cue,vi_fake_target,zh_cn_target,zh_cn_cue,zh_cn_cosine,zh_cn_fake_cue,zh_cn_fake_target,zh_tw_target,zh_tw_cue,zh_tw_cosine,zh_tw_fake_cue,zh_tw_fake_target,total
shirt,jacket,shirtjacket,0.79489524,shiut,sacket,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bunda,košile,0.595748448,košzle,bundř,jakke,skjorte,0.676850721,skjortb,jakkj,jackett,hemd,0.730614063,hefd,jacketn,NA,NA,NA,NA,NA,chaqueta,camisa,0.800437706,camiss,chaquetí,jakk,särk,0.585825353,scrk,yakk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,takki,paita,0.721297658,prita,tahki,veste,chemise,0.758272419,céemise,viste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jaket,kaus,0.466765729,kauq,jafet,giacca,camicia,0.719544527,camixia,giaeca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jas,shirt,0.621735835,stirt,jau,jakke,skjorte,0.629357502,skjyrte,rakke,kurtka,koszula,0.699469185,koszuja,kurtua,casaco,camisa,0.674210829,camisc,casbco,NA,NA,NA,NA,NA,куртка,рубашка,0.674657534,аубашка,кёртка,NA,NA,NA,NA,NA,jakna,srajca,0.615591495,srabca,eakna,jakna,košulja,0.692581757,koèulja,čakna,jacka,tröja,0.632320948,tröda,aacka,NA,NA,NA,NA,NA,ceket,gömlek,0.711687157,gömlbk,chket,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
process,procedure,processprocedure,0.544282878,prohess,proceduhe,prosedure,proses,0.472693398,prosas,proseduee,NA,NA,NA,NA,NA,процедура,процеса,0.432244779,плоцеса,процедуяа,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,protseduur,protsess,0.575445978,protsiss,protsesuur,prozedura,prozesatu,0.612690226,prozesttu,wrozedura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,procédure,processus,0.51204971,processui,procéduie,NA,NA,NA,NA,NA,נוהל,הליך,0.519618506,הלכך,בוהל,NA,NA,NA,NA,NA,postupak,proces,0.67223657,prožes,pzstupak,NA,NA,NA,NA,NA,պրոցես,գործընթաց,0.581990716,գոծծընթաց,պրրցես,prosedur,proses,0.515455447,prbses,prosedar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,procedūra,procesas,0.639142588,proresas,pgocedūra,procedūra,process,0.813705607,procesđ,procrdūra,NA,NA,NA,NA,NA,prosedyre,prosess,0.567235802,propess,prosedyre,NA,NA,NA,NA,NA,procedimento,processo,0.568658117,érocesso,procedimynto,NA,NA,NA,NA,NA,процедура,процесс,0.471466539,пжоцесс,проеедура,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,postupak,proces,0.648598333,procew,postupaè,procedur,process,0.500297124,pvocess,procedcr,NA,NA,NA,NA,NA,prosedür,işlem,0.494678789,iplem,prosndür,процедура,процес,0.703455853,процеф,процедыра,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
society,community,societycommunity,0.624592031,sociexy,comtunity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,comunitat,societat,0.515107738,súcietat,comwnitat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,κοινότητα,κοινωνία,0.615165696,κοινωνχα,κψινότητα,comunidad,sociedad,0.646332466,socivdad,comunidak,kogukond,ühiskond,0.565526989,ühiðkond,koguwond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yhteisö,yhteiskunta,0.623457021,yhteifkunta,yhtnisö,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,קהילת,אגודת,0.408493112,דגודת,שהילת,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,közösség,társadalom,0.56215144,őársadalom,közösség,հանրություն,հասարակություն,0.619838081,հասարֆկություն,հանրություն,NA,NA,NA,NA,NA,comunità,società,0.547352644,sovietà,cominità,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bendruomenė,visuomenė,0.627057775,visušmenė,bendruomenn,NA,NA,NA,NA,NA,gemeenschap,samenleving,0.661004587,samenlefing,gimeenschap,fellesskap,samfunn,0.446021993,samfunl,fellevskap,społeczność,społeczeństwo,0.617326609,społeczeństwo,społhczność,comunidade,sociedade,0.595881754,ôociedade,momunidade,comunitate,societate,0.606998088,societată,comunitaoe,сообщество,общество,0.819568117,общесхво,суобщество,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gemenskap,samhälle,0.415612518,samkälle,gemenskaq,NA,NA,NA,NA,NA,cemiyet,dernek,0.506919942,oernek,cemiyen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
grandfather,grandmother,grandfathergrandmother,0.74187012,granzfather,grandmotheu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,баба,дядо,0.750126353,дяда,лаба,NA,NA,NA,NA,NA,babička,dědečka,0.492515744,dědmčka,babičkh,bedstemor,bedstefar,0.597710827,bedstefao,bedstfmor,NA,NA,NA,NA,NA,γιαγιά,παππούς,0.647185359,παππούσ,γιαγλά,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,isoäiti,isoisä,0.588722882,lsoisä,iaoäiti,NA,NA,NA,NA,NA,avoa,avó,0.529240763,aaó,avza,סבתא,סבא,0.631822707,זבא,מבתא,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nagymama,nagypapa,0.707927833,nógypapa,nkgymama,տատ,պապիկ,0.473554361,պապիզ,տաp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vecmāmiņa,vectēv,0.665941962,vectlv,vecmemiņa,grootmoeder,grootvader,0.645703909,grootvader,groobmoeder,bestemor,bestefar,0.594781435,bestyfar,beåtemor,babcia,dziadek,0.636233289,dziśdek,mabcia,NA,NA,NA,NA,NA,bunica,bunic,0.545524588,bunia,buţica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,babica,dedek,0.582208767,dedež,iabica,NA,NA,NA,NA,NA,farmor,farfar,0.68052283,faäfar,fnrmor,NA,NA,NA,NA,NA,büyükanne,büyükbaba,0.664517352,büyüçbaba,bgyükanne,NA,NA,NA,NA,NA,دادی,دادا,0.496999925,دردا,دادi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
hill,mountain,hillmountain,0.700842151,sill,mouftain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,планина,хълм,0.520782974,хелм,плмнина,NA,NA,NA,NA,NA,hora,kopec,0.441232931,kosec,cora,NA,NA,NA,NA,NA,berg,hügel,0.617859088,hrgel,bgrg,NA,NA,NA,NA,NA,montaña,colina,0.701083162,coléna,monteña,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,کوه,تپه,0.494475396,گپه,کچه,NA,NA,NA,NA,NA,montagne,colline,0.713230116,collhne,eontagne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,planina,brdo,0.442125211,jrdo,pnanina,hegy,domb,0.509358992,dímb,hecy,լեռ,բլուր,0.456961005,բլցւր,լեֆ,gunung,bukit,0.478320652,bokit,gulung,montagna,collina,0.655018964,colltna,montagnb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kalnas,kalva,0.524038023,kalve,kvlnas,NA,NA,NA,NA,NA,berg,heuvel,0.618829287,heuved,bemg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,montanha,colina,0.670209617,colinç,mentanha,munte,deal,0.57766383,deul,muntă,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,planina,brdo,0.457761544,brdd,planinv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,پہاڑ,پہاڑی,0.553640676,رہاڑی,پہبڑ,núi,đồi,0.378526625,đồm,núk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
artist,painter,artistpainter,0.734903956,artift,paintes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,художник,творец,0.601344018,твпрец,художрик,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ζωγράφος,καλλιτέχνη,0.522419634,ταλλιτέχνη,ζάγράφος,pintor,artista,0.731522434,arkista,piotor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,نقاش,هنرمند,0.563811009,هنرثند,لقاش,maalari,taiteilija,0.695459518,teiteilija,mwalari,peintre,artiste,0.697449634,vrtiste,peiktre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,slikar,umjetnik,0.726862363,umvetnik,suikar,festő,művész,0.700620922,művusz,feötő,գեղանկարիչ,արվեստագետ,0.568815503,արվեսփագետ,գեղանաարիչ,NA,NA,NA,NA,NA,pittore,artista,0.683616032,artiita,piptore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,schilder,kunstenaar,0.743757537,kunstenaaj,xchilder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pintor,artista,0.689745224,artlsta,mintor,pictor,artistă,0.512314147,agtistă,pictoo,художник,артист,0.538046951,эртист,худвжник,maliar,umelec,0.481800582,pmelec,maliar,slikar,umetnik,0.673847788,umltnik,slikkr,slikar,umetnik,0.739394853,umhtnik,slškar,målare,konstnär,0.621181354,konstnjr,måljre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
drama,comedy,dramacomedy,0.589585819,dryma,cooedy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,комедия,драма,0.604784154,драмя,вомедия,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,komedie,drama,0.422704648,zrama,komehie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,comedia,drama,0.532100598,drrma,comedir,komöödia,draama,0.495067865,draa_a,kämöödia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,komedia,draama,0.470727938,dfaama,fomedia,comédie,drame,0.504106505,dramé,comodie,NA,NA,NA,NA,NA,קומדיה,דרמה,0.481685078,דרמע,קוצדיה,NA,NA,NA,NA,NA,komedija,drama,0.556370037,dlama,komedrja,NA,NA,NA,NA,NA,կատակերգություն,դրաման,0.630739218,արաման,կատակերգությաւն,NA,NA,NA,NA,NA,commedia,dramma,0.574468237,drsmma,commfdia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,komedie,drama,0.516790188,drasa,komeeie,komedie,drama,0.399709622,drkma,komerie,NA,NA,NA,NA,NA,comédia,drama,0.476614513,draáa,comédga,comedie,dramă,0.568150886,drămă,gomedie,комедия,драма,0.507619386,дрцма,кокедия,NA,NA,NA,NA,NA,komedija,drama,0.519023087,dramf,comedija,komedija,drama,0.599311836,erama,komefija,komedi,drama,0.442355368,dramj,komeåi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
reporter,journalist,reporterjournalist,0.783917828,reportcr,journvlist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,журналист,репортер,0.783228335,репортер,журндлист,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,journalistin,reporterin,0.684594489,reporterij,journalpstin,δημοσιογράφος,ρεπόρτερ,0.749158248,ρεπόχτερ,δημοσεογράφος,periodista,reportera,0.748486774,reporteka,periodióta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,journalisti,reportteri,0.543887201,replrtteri,journalwsti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,עיתונאית,עיתונאי,0.75231688,עיכונאי,עיתונאית,NA,NA,NA,NA,NA,novinar,reporter,0.744834159,reporeer,novinaa,újságíró,riporter,0.733863398,riphrter,újságíró,NA,NA,NA,NA,NA,jurnalis,reporter,0.440621864,rgporter,jernalis,giornalista,reporter,0.818537748,leporter,uiornalista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,journalist,reporter,0.704707016,jeporter,journalkst,journalist,reporter,0.572581451,rpporter,jourjalist,dziennikarz,reporter,0.802732592,repomter,dziennikarz,NA,NA,NA,NA,NA,jurnalista,reporter,0.667311833,deporter,jmrnalista,NA,NA,NA,NA,NA,novinár,reportér,0.596211052,rhportér,novsnár,NA,NA,NA,NA,NA,novinar,reporter,0.776911092,repoèter,nnvinar,journalist,reporter,0.603827463,repårter,jourvalist,NA,NA,NA,NA,NA,gazeteci,haberci,0.474952612,çaberci,gazfteci,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
officially,official,officiallyofficial,0.568214753,offizially,offixial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,официален,официално,0.609814899,официалцо,офациален,NA,NA,NA,NA,NA,oficiální,oficiálně,0.673370416,oficválně,oficbální,officiel,officielt,0.74920384,offtcielt,xfficiel,offiziellen,offiziell,0.668675023,offizielh,offwziellen,επίσημο,επίσημα,0.484627642,ξπίσημα,επίσημκ,NA,NA,NA,NA,NA,ametlik,ametlikult,0.651752908,ametkikult,ametlõk,ofiziala,ofizialki,0.819268089,ofizialui,ofiziara,NA,NA,NA,NA,NA,virallinen,virallisesti,0.609920395,virallisbsti,uirallinen,officiel,officiellement,0.601471184,officielzement,officien,NA,NA,NA,NA,NA,רשמי,רשמית,0.468026799,רשמטת,רנמי,NA,NA,NA,NA,NA,služben,službeno,0.631502137,službeno,spužben,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ufficiale,ufficialmente,0.491177132,ufficialmeute,ufficiple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oficiāls,oficiāli,0.815946747,ociciāli,oficiālž,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oficial,oficialmente,0.477919075,oficialmecte,uficial,NA,NA,NA,NA,NA,официального,официально,0.673839656,офкциально,офнциального,NA,NA,NA,NA,NA,službeno,uradno,0.372837391,uradnd,službčno,zvanièna,zvanièno,0.672390392,zvaniènn,zvaniènu,officiell,officiellt,0.775185366,officielle,officieol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
pound,dollar,pounddollar,0.483617764,pownd,dollhr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,долар,лира,0.477544548,лиря,долаw,NA,NA,NA,NA,NA,dolar,libra,0.41428208,lióra,rolar,dollar,pund,0.552559213,puné,dsllar,NA,NA,NA,NA,NA,δολάριο,λίρα,0.478419907,λίρθ,δολάρχο,dolar,libra,0.502032645,lmbra,dolay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,دلار,پوند,0.550526153,چوند,دلثر,dollari,punta,0.566830663,pupta,nollari,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,דולר,לירה,0.427905984,ץירה,דוןר,NA,NA,NA,NA,NA,dolar,funta,0.542537238,funtž,dolae,dollár,font,0.597346287,fomt,dohlár,դոլար,ֆունտ,0.47085773,ֆունl,դհլար,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dollar,pund,0.50735936,pmnd,dollaz,dolar,funt,0.503608666,qunt,dolyr,NA,NA,NA,NA,NA,dolar,liră,0.561932477,lără,dolgr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dolar,funt,0.502314218,fund,holar,NA,NA,NA,NA,NA,dollar,pund,0.617462583,punb,dolyar,NA,NA,NA,NA,NA,dolar,pound,0.669346653,pouna,dolaz,NA,NA,NA,NA,NA,ڈالر,پاونڈ,0.56957449,پاوبڈ,ےالر,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
active,activity,activeactivity,0.544325657,activd,actiwity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aktivita,aktivní,0.428449205,akaivní,akttvita,aktivitet,aktive,0.407369129,aktrve,aktivvtet,NA,NA,NA,NA,NA,δραστηριότητα,ενεργό,0.371742721,ενθργό,δραστηριότητώ,NA,NA,NA,NA,NA,aktiivsus,aktiivne,0.569269868,aktiiane,aktiivsuð,NA,NA,NA,NA,NA,فعالیت,فعال,0.428899872,هعال,معالیت,NA,NA,NA,NA,NA,activité,actif,0.472190342,astif,actfvité,NA,NA,NA,NA,NA,פעילות,פעיל,0.471510011,בעיל,פעילוג,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tevékenység,aktív,0.375640867,aztív,teáékenység,ակտիվություն,ակտիվ,0.563189268,ևկտիվ,ակտբվություն,aktivitas,aktif,0.444000574,aktib,aktixitas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,activiteit,actief,0.506070633,actgef,actiuiteit,aktivitet,aktiv,0.460226375,akwiv,akyivitet,NA,NA,NA,NA,NA,actividade,activo,0.458361046,actdvo,aftividade,activitate,activ,0.471967126,acttv,activitîte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aktivnost,aktivni,0.515417278,aktivnu,aktivnost,aktivitet,aktiv,0.452163732,agtiv,aktivityt,activity,active,0.818314452,actize,activdty,aktivite,faal,0.383480341,faaa,abtivite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
radar,satellite,radarsatellite,0.499149031,rndar,sxtellite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,сателит,радар,0.52246981,рачар,сптелит,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,satellit,radar,0.432986509,rajar,satellbt,satellit,radar,0.467238385,radar,satellip,δορυφόρος,ραντάρ,0.491219737,ραντφρ,δορυφόρις,NA,NA,NA,NA,NA,satelliit,radar,0.482165994,rldar,satellict,NA,NA,NA,NA,NA,ماهواره,رادار,0.452580781,مادار,ماهولره,satelliitti,tutka,0.537575939,tutca,satelliittz,satellite,radar,0.552455658,radér,sazellite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,satelit,radar,0.375640817,rabar,savelit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,satelit,radar,0.450003647,rrdar,satelbt,satellitare,radar,0.50864257,raddr,satelliiare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,satellieten,radar,0.518291214,radaw,satellieteo,satellitt,radar,0.463892093,redar,satellipt,NA,NA,NA,NA,NA,satélite,radar,0.562932245,radae,hatélite,satelit,radar,0.507900384,radpr,satefit,спутник,радар,0.485635989,радаш,сеутник,NA,NA,NA,NA,NA,satelit,radar,0.457677544,rldar,sačelit,satelit,radar,0.595179772,radmr,saielit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
lamp,candle,lampcandle,0.626595629,lamh,canrle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,свещ,лампа,0.564921761,аампа,свещ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vela,lámpara,0.472555398,lámpara,veaa,küünal,lamp,0.436209201,lasp,küüdal,NA,NA,NA,NA,NA,شمع,چراغ,0.410591735,چرجغ,ظمع,NA,NA,NA,NA,NA,bougie,lampe,0.625403924,lampm,bougte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,svijeća,lampa,0.509692929,lčmpa,svdjeća,gyertya,lámpát,0.458118595,lámnát,gyejtya,NA,NA,NA,NA,NA,lilin,lampu,0.429441223,lamru,lilan,candela,lampada,0.515952087,lamyada,candfla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kaars,lamp,0.604181741,lamy,kfars,stearinlys,lampe,0.441977553,lampå,stearinlys,świeca,lampa,0.537396009,lamph,śwceca,NA,NA,NA,NA,NA,lumânare,lampa,0.518506409,lamia,lumpnare,свеча,лампа,0.525220254,лампч,сфеча,NA,NA,NA,NA,NA,sveča,svetilka,0.572525281,svetilja,szeča,sveæa,lampa,0.53819083,lampa,sreæa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mum,lamba,0.481171025,tamba,kum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nến,đèn,0.418324623,đèk,nếk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
ritual,ceremony,ritualceremony,0.649347199,iitual,peremony,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ceremoni,ritual,0.467198645,rioual,ceremoui,zeremonie,ritual,0.542463885,rhtual,zeremonig,NA,NA,NA,NA,NA,ceremonia,ritual,0.529602387,rituad,cerhmonia,tseremoonia,rituaal,0.430735457,rituaaz,tsüremoonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,seremonia,rituaali,0.603232179,rimuaali,seeemonia,cérémonie,rituel,0.494696553,rituek,cérémânie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ceremonija,ritual,0.524031461,rituaj,cerexonija,ceremónia,rituálé,0.546557758,rituáli,cersmónia,արարողություն,ծես,0.492349784,ծաս,քրարողություն,upacara,ritual,0.500126589,rituhl,rpacara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ceremonie,ritueel,0.580435387,hitueel,ceremonie,seremoni,ritual,0.398894878,rotual,seaemoni,NA,NA,NA,NA,NA,cerimónia,ritual,0.543191618,xitual,cerimgnia,ceremoni,ritual,0.543842764,ritţal,ceremdni,церемония,обряд,0.438217653,обаяд,церелония,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ceremonija,ritual,0.566440978,đitual,geremonija,ceremoni,ritual,0.471561073,rituam,ceremonj,NA,NA,NA,NA,NA,tören,ayin,0.61081803,şyin,üören,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.24324324
