"ru_target","ru_cue","ru_fake_cue","ru_fake_target","en_cue","en_target"
"ожидать","ждать","prать","беждать","wait","expect"
"озеро","река","редох","рудро","river","lake"
"оказывать помощь","помощь","погись","оказывать пфандре","help","assist"
"океан","море","моний","реман","sea","ocean"
"около","круглый","мозглый","филло","round","around"
"окончательный","финал","фищем","утверчательный","final","ultimate"
"округ","округ","шюруг","цуруг","county","district"
"октябрь","сентябрь","звутябрь","октерть","september","october"
"омар","тунец","тулом","grар","tuna","lobster"
"опасность","риск","ритр","обезность","risk","danger"
"опасный","рискованный","школькованный","пальный","risky","dangerous"
"операция","действовать","дейтесьвать","операжать","operate","surgery"
"описание","профиль","промикс","сильсание","profile","description"
"определение","концепция","кончишьция","трансделение","concept","definition"
"орбита","планета","среднета","кладбита","planet","orbit"
"организовать","договариваться","договарипроснутся","организокренне","arrange","organize"
"оружие","пистолет","пистонишь","орубыл","pistol","weapon"
"оружитель","арсенал","арселоне","оружиства","arsenal","armory"
"освежать","свежий","свенём","удивжать","fresh","refresh"
"осень","весна","турна","осаль","spring","autumn"
"оставаться","оставаться","укрываться","укрываться","stay","remain"
"осталось","правильно","прасрочно","останешь","right","left"
"остановка","не допустить","дыньопустить","вдохновка","prevent","stop"
"ответить","отвечать","отвестим","отверанс","answer","reply"
"отвратительный","грязный","рьёзный","отвратинесчастный","dirty","disgusting"
"отец","мама","мации","отзо","mother","father"
"отказ","успех","усбух","отшер","success","failure"
"отличный","превосходно","превоссмертно","отстраный","excellent","great"
"отношение","мнение","ролние","отношекласс","opinion","attitude"
"отпечаток руки","днк","ирк","отпечаток рпястьем","dna","fingerprint"
"отправить","приносить","принокров","отпрастве","bring","send"
"отрицательный","положительный","положинеуместный","отрицанескромный","positive","negative"
"отсутствие","присутствие","присутмость","отсутмость","presence","absence"
"офис","стол письменный","стол письмехрист","гмис","desk","office"
"официальный","официально","предоциально","предоциальный","officially","official"
"официантка","официант","официверс","официублюдка","waiter","waitress"
"оценка","наблюдение","наограждение","аванка","observation","evaluation"
"очаровательный","привлекательный","пристрасткательный","непредровательный","attractive","charming"
"очевидно","четко","пуско","смотвидно","clearly","obviously"
"очень","очень сильно","скoль сильно","глень","extremely","very"
"ошибка","ошибка","охвака","брилка","error","mistake"
"палуба","салон самолета","салон самолтepecнo","палукров","cabin","deck"
"папа","дядя","акудя","палоч","uncle","dad"
"паранормальное явление","сверхъестественное","неудобестественное","кутраппаранормальное явление","supernatural","paranormal"
"пароль","код","глд","пачень","code","password"
"партия","стойка регистрации","стойка регистртepecнo","паркуй","reception","party"
"патруль","сторожить","стороузву","патподь","guard","patrol"
"пенис","влагалище","предугалище","песом","vagina","penis"
"передатчик","датчик","церчик","перестрелчик","sensor","transmitter"
"передача","переехать","переществ","перевзрывча","move","transfer"
"перерыв","разгромить","разгростях","перешусь","smash","break"
"периметр","радиус","радидешь","перихард","radius","perimeter"
"период","фаза","фацию","перистик","phase","period"
"перспектива","посмотреть","поправреть","перотрастива","view","perspective"
"песня","альбом","драбом","эмоня","album","song"
"песок","грязь","градь","пенью","mud","sand"
"печень","почка","слика","пелясь","kidney","liver"
"печь","духовой шкаф","духовой столь","ричь","oven","stove"
"пиво","напиток","напищать","дозво","drink","beer"
"пилота","астронавт","астровсем","писатьта","astronaut","pilot"
"писатель","поэт","покос","писаства","poet","writer"
"пистолет","винтовка","вингрузка","пиласьлет","rifle","gun"
"письмо","телеграмма","телестинема","сельмо","telegram","letter"
"пишу","чтение","хелние","пиров","reading","writing"
"плавать","тонуть","тостью","уживать","drown","swim"
"пламя","пожар","поцим","безмя","fire","flame"
"планирование","подготовка","подгоразыска","сверстнирование","preparation","planning"
"пластик","цемент","цежешь","платись","cement","plastic"
"пластина","чаша","чачьи","плапредна","bowl","plate"
"племянник","внук","двук","плеязычник","grandson","nephew"
"плохой","хорошо","хоротерс","плосер","good","bad"
"плыть","якорь","ссорь","свыть","anchor","sail"
"побег","бежать","беским","посак","flee","escape"
"победитель","неудачник","оскорбник","победизайне","loser","winner"
"победить","усиление","влюбление","побепмне","gain","win"
"побережье","пляж","плem","поберевесть","beach","coast"
"поверхность","слой","брой","покальность","layer","surface"
"подарок","комплимент","компливишь","подамьен","compliment","gift"
"подготовить","готов","гоюсь","подготоплесс","ready","prepare"
"поддерживать","сохранять","сохрастей","поддержиством","preserve","maintain"
"подозревать","сомневаться","сомнеткнулся","подозреством","doubt","suspect"
"подписать","форма","всема","подпимент","form","sign"
"подпись","печать","пелось","подпрыг","stamp","signature"
"подросток","подростковый","поднеловковый","подропить","teenage","teenager"
"подтверждать","подтверждение","подвластждение","подтверствам","confirmation","confirm"
"поездка","водить машину","воткнутьашину","посписка","drive","ride"
"пожертвование","благотворительность","благотворительставлет","поскользвование","charity","donation"
"позволять","разрешать","разрегруз","позвобрач","allow","let"
"позиция","положение дел","положениестингса","позилось","status","position"
"покер","играть в азартные игры","играть в азартныегoвopить","помяг","gambling","poker"
"покидать","покинуть","покиство","покиборг","leave","abandon"
"покупатель","продавец","продалять","покупасьянс","seller","buyer"
"полагать","доверять","довесточ","поластер","trust","believe"
"полдень","полночь","полторп","полмыть","midnight","noon"
"поле битвы","арена","бодна","поле библизь","arena","battlefield"
"полет","посадка","поавиака","покип","landing","flight"
"политик","политика","повстретика","поличать","policy","politician"
"политика","журналистка","журнастьянка","повстретика","journalism","politics"
"политический","критический","критиченость","политичебратьс","critical","political"
"полковник","общая","обдол","полбильник","general","colonel"
"полностью","абсолютно","абсоорально","полнодишь","absolutely","completely"
"полный","всего","друго","шевный","total","complete"
"полный","пустой","пулист","шевный","empty","full"
"полотенце","одеяло","строяло","полокрыльце","blanket","towel"
"помещать","вставлять","ществлять","поместеч","insert","put"
"помидор","картофель","картостия","помихаль","potato","tomato"
"понимать","понимать","понистра","понистра","realize","understand"
"поражение","победа","потильда","поражеством","victory","defeat"
"поставить в известность","отчет","отшал","поставить в изветepecнo","report","inform"
"постоянно","всегда","всебей","поздравянно","always","constantly"
"похищение","похищать","похирург","похиществом","kidnap","abduct"
"похороны","гроб","груд","похоственны","coffin","funeral"
"правдоподобный","объяснение","встреяснение","оскорбдоподобный","explanation","plausible"
"правильный","неправильно","непрастойно","праславный","wrong","correct"
"правительство","администрация","администрабратьс","правиупрямство","administration","government"
"праздничный день","рождество","рожденешь","праздничныйэлрой","christmas","holiday"
"практически","буквально","буктентно","незнатически","literally","practically"
"преданность","верность","сивность","преданством","fidelity","devotion"
"предатель","шпион","вмеон","предаства","spy","traitor"
"предлагать","проложить","пролостер","предластер","propose","suggest"
"предложение","слово","конво","некроложение","word","sentence"
"предоставлять","включить","вклюстве","предоставским","enable","provide"
"предположение","заключение","заключеством","оскорбположение","conclusion","assumption"
"предприниматель","миллионер","неприлионер","предпринимасандра","millionaire","entrepreneur"
"представление","показывать","показыством","предвзросление","show","performance"
"президент","канцлер","разылер","презикрой","chancellor","president"
"прекрасный","симпатичный","неприпатичный","пребельный","pretty","beautiful"
"прекрасный","приятно","разоятно","пребельный","nice","lovely"
"препарат средство медикамент","алкоголь","алконент","распрепарат средство медикамент","alcohol","drug"
"престол","корона","котельна","преспех","crown","throne"
"преступление","греха","вудха","превзросление","sin","crime"
"преувеличивать","недооценивать","недооценистром","преувеличистингс","underestimate","exaggerate"
"преуспеть","управлять","праздлять","премстить","manage","succeed"
"приветствовать","поздравлять","поослаблять","приветствоством","congratulate","greet"
"привлекать","внимание","охотмание","привлеским","attention","attract"
"приз","нобелев","нобеникл","прад","nobel","prize"
"признаваться","признаться","пристишься","признаткнулся","admit","confess"
"приклада","жопа","взяпа","придатьда","ass","butt"
"приманка","ловушка","ломатька","приопуска","trap","bait"
"принимать","мусор","мухай","принистра","refuse","accept"
"принц","принцесса","сдерцесса","прайц","princess","prince"
"приходить","прибыть","пристых","прихоское","arrive","come"
"причина","причина","мальчина","мальчина","reason","cause"
"приют","убежище","одолжище","удают","refuge","shelter"
"приятный","комфортный","комсланный","приятвать","comfortable","pleasant"
"проблема","беда","озада","просматма","trouble","problem"
"пробный","слушание","слушалось","польный","hearing","trial"
"проверка","экспертиза","экстракттиза","продружка","examination","inspection"
"проверять","чек об оплате","чек об опнингса","провесточ","check","verify"
"провод","кабель","калась","пронью","cable","wire"
"проводить","напрасно тратить","напрасно трблоуэр","провосточ","waste","spend"
"программа","проект","проатр","провзлома","project","program"
"прогулка","ворсин","фитсин","проньонка","nap","stroll"
"продавать","купить","кустер","продамент","buy","sell"
"продажа","аукцион","гольцион","осуждажа","auction","sale"
"продолжать","продолжить","продолстер","продолским","proceed","continue"
"производить","создайте","сольетте","произвокласс","create","produce"
"производство","фабрика","вкларика","производгнать","factory","production"
"прокуратура","юрист","юрайт","нехваткуратура","lawyer","prosecutor"
"проповедь","речь","рейм","проподане","speech","sermon"
"просить","вопрос","востор","прослуш","question","ask"
"просто","просто","прошит","прожаю","simply","simple"
"противник","враг","врвь","прочальник","enemy","opponent"
"противный","страшный","уменьный","прональный","scary","creepy"
"протокол","правило","недовило","проторусь","rule","protocol"
"прототип","модель","мовёшь","протонуть","model","prototype"
"профессиональный","любитель","любиства","профессиональтельств","amateur","professional"
"профессор","декан","делие","професрелл","dean","professor"
"прохладно","теплый","журлый","проткнуно","warm","cool"
"процедура","обработать","обрабосворт","аушвицедура","process","procedure"
"прошлой","первый","кривый","проклер","first","last"
"прыгать","взбираться","прайраться","элигать","climb","jump"
"психологический","медицинский","медицинность","психологичетельств","medical","psychological"
"психология","анатомия","флиртомия","психолокость","anatomy","psychology"
"птица","бабочка","бавитька","охоца","butterfly","bird"
"пуля","калибр","катуар","пувой","caliber","bullet"
"пункт","раздел","размыс","пулыт","section","paragraph"
"путаница","хаос","хаунд","пусплетница","chaos","confusion"
"пыль","пепел","перии","арль","ash","dust"
"пыльный","ржавый","слювый","профный","rusty","dusty"
"пытаться","пытаться","пырвался","пырвался","try","attempt"
"пытка","мучить","мустве","тщака","torment","torture"
"пьяный","трезвый","брилвый","нимный","sober","drunk"
"работай","работа","рапланта","рабореть","job","work"
"работник","фермер","изумер","радневник","farmer","worker"
"радиация","загрязнение","заткнулнение","радианость","contamination","radiation"
"радость","удовольствие","удоследствие","раслать","pleasure","joy"
"разговаривать","говорить","говосточ","разговаристингс","talk","speak"
"разделение","единица измерения","единица измерстройств","взгляделение","unit","division"
"разные","аналогичный","аналосмертный","разбом","similar","different"
"разочарование","сюрприз","уцеприз","неудаччарование","surprise","disappointment"
"разработка","прогресс","проджерс","разрастрелка","progress","development"
"разрушение","творчество","чрезчество","разрушекласс","creation","destruction"
"разумный","справедливый","участведливый","раностный","fair","reasonable"
"рак","опухоль","опулорм","хьк","tumor","cancer"
"ракета","ракета","ралисьта","ралисьта","rocket","missile"
"раковина","туалет","церлет","стольковина","toilet","sink"
"рано","поздно","опазно","собно","late","early"
"раса","марафон","марастые","сенса","marathon","race"
"расписание","календарь","каленский","расписаждать","calendar","schedule"
"рассвет","закат","залес","расверх","sunset","dawn"
"рассказать","сказать","унизать","расскастей","say","tell"
"расследовать","исследовать","исследоджерс","расследоукинс","examine","investigate"
"рассчитать","считать","оцетать","рассчиском","count","calculate"
"реактор","генератор","генерамаунт","реакцент","generator","reactor"
"реалистично","оптимистичный","оптиминежданный","реалинеобыкно","optimistic","realistic"
"ребенок","детка","рожка","реберинг","baby","child"
"редко","иногда","инороу","скуко","occasionally","rarely"
"резать","рвать","raать","реклам","tear","cut"
"религия","философия","филосоздать","релиланд","philosophy","religion"
"ремонт","исправить","испрастве","рерень","fix","repair"
"репутация","карьера","канедора","репутальоне","career","reputation"
"ресторан","паб","ужб","ресточешь","pub","restaurant"
"решимость","храбрость","храбкрыть","решиствия","courage","determination"
"рим","цезарь","цеврат","азм","caesar","rome"
"рисовать","краска","ристка","рисоблаз","paint","draw"
"родитель","взрослый","скромлый","родиства","adult","parent"
"родной брат","сестра","недора","роднойстард","sister","brother"
"романтик","драматический","драматичебратьс","романфред","dramatic","romantic"
"рука","рука","лочка","лочка","hand","arm"
"ручка","бумага","травмага","амака","paper","pen"
"рыба","акула","сыгла","рыним","shark","fish"
"саботаж","шпионаж","шпиоджор","сабозоне","espionage","sabotage"
"салат","суп","хеп","сарье","soup","salad"
"самурай","ниндзя","нингис","самуфорд","ninja","samurai"
"сантиметр","миль","poль","сантицизм","mile","centimeter"
"свадьба","помолвка","попрыжка","свалубь","engagement","wedding"
"свет","тьма","жама","теет","darkness","light"
"свеча","лампа","умопа","одича","lamp","candle"
"свидетельство","свидетель","свидества","свидеандрество","witness","testimony"
"свинья","корова","королось","свибер","cow","pig"
"свист","рог","кoг","брист","horn","whistle"
"связь","контакт","констот","сверь","contact","connection"
"священник","монах","мочув","свячмошник","monk","priest"
"север","юг","оэ","серон","south","north"
"семья","клан","дыан","сехрэ","clan","family"
"сенат","парламент","парлакруа","сесел","parliament","senate"
"сенатор","губернатор","губернадцать","сенапрас","governor","senator"
"сердитый","ревнивый","ревнистры","сердиджея","jealous","angry"
"серебряный","золотистый","золотибальт","сеобостряный","golden","silver"
"сигар","курить","кустью","силол","smoke","cigar"
"сигарета","табак","тапия","сиосмотрета","tobacco","cigarette"
"сигнал","частота","чатракта","этанал","frequency","signal"
"сидеть","стоять","стогер","систен","stand","sit"
"сила","прочность","тракность","возла","strength","force"
"сильно","твердо","обездо","банкно","firmly","strongly"
"символ","флаг","юнаг","симпур","flag","symbol"
"синдром","симптом","сбротом","изудром","symptom","syndrome"
"синий","коричневый","коричнестись","сикон","brown","blue"
"синяк","царапать","царастер","сирио","scratch","bruise"
"система","сеть","сещё","силасьма","network","system"
"скандал","слухи","орихи","сканшек","gossip","scandal"
"скопировать","оригинал","оригиреть","скопироузвуд","original","copy"
"скорее всего","вероятность","вероятством","скорее всубийств","probability","likely"
"скорость","расстояние","расправьяние","скокрыть","distance","speed"
"скромный","скромный","взросный","взросный","humble","modest"
"слабый","сильный","стемный","слаэрс","strong","weak"
"слава","славный","зрачный","тмева","glorious","glory"
"следователь","аналитик","вклюлитик","следовасмотр","analyst","investigator"
"слуга","раб","сиб","бурга","slave","servant"
"служанка","няни","яични","слутреска","nanny","maid"
"случаться","происходить","происхогварт","слурвался","occur","happen"
"слышать","слушать","слунишь","деншать","listen","hear"
"смесь","комбинация","комбинастрой","coесь","combination","mixture"
"смех","улыбка","олимка","смуи","smile","laugh"
"смотреть","смотреть","сверреть","сверреть","look","watch"
"снаряжение","стрелок","стресил","невинряжение","shooter","sniper"
"снег","дождь","дохуь","сным","rain","snow"
"собирать","собирать","собистов","собистов","collect","gather"
"советовать","совет","соять","советоплесс","advice","advise"
"совсем недавно","только что","ƒжимко что","совсем недастракшн","just","recently"
"соглашение","договор","догобишь","соуменьшение","contract","agreement"
"сода","лимонад","лимовьях","кенда","lemonade","soda"
"содействие","служба поддержки","неопреба поддержки","содеймость","support","assistance"
"содержание","содержать","содерским","содержалость","contain","content"
"сок","молоко","молодиль","вaк","milk","juice"
"солнечный","лунный","бавный","солслушный","lunar","solar"
"солнце","луна","семна","звонце","moon","sun"
"сообщение","предупреждение","неудачдупреждение","сообществах","warning","message"
"сообщество","общество","общенуть","сообщегнать","society","community"
"соответствовать","турнир","туржды","соответствокренне","tournament","match"
"сопровождать","эскорт","эсмонс","сопровожством","escort","accompany"
"сопротивляться","сопротивление","сопрооскорбление","сопрооскорбляться","resistance","resist"
"состояние","федеральный","федественный","создашьяние","federal","state"
"сострадание","терпение","терпереть","создатьдание","patience","compassion"
"сотни","тысяча","тысядешь","уясни","thousand","hundred"
"соус","крем","крыт","соной","cream","sauce"
"спагетти","лазанья","лазатыль","спаобойти","lasagna","spaghetti"
"спальная комната","номер","нодуш","неуместная комната","room","bedroom"
"спаситель","герой","гецев","спасиства","hero","savior"
"спасти","спасать","морсать","спагет","rescue","save"
"спать","отдых","отзёт","евать","rest","sleep"
"специалист","эксперт","экстист","специаствах","expert","specialist"
"спокойствие","тихий","титоп","спокоймость","quiet","calm"
"спор","конфликт","конлюлит","геор","conflict","dispute"
"спорт","хобби","усоби","еворт","hobby","sport"
"способность","емкость","емствии","способствен","capacity","ability"
"справедливость","месть","метуь","справедлиствах","revenge","justice"
"спрятать","покрытие","покрыдешь","близтать","cover","hide"
"спутниковое","радар","ралью","разысниковое","radar","satellite"
"сталь","конкретный","конёбанный","шааль","concrete","steel"
"станция","платформа","фильформа","пракция","platform","station"
"статуя","памятник","паоконник","стаинг","monument","statue"
"стиль","ритм","рирё","квиль","rhythm","style"
"стирать","чистый","чиджей","ститесь","clean","wash"
"стих","текст","тебат","стэй","text","poem"
"странный","необычный","небольный","стельный","unusual","strange"
"страсть","энтузиазм","энтузифренд","зерасть","enthusiasm","passion"
"стратегия","строить планы","незнаить планы","кройтегия","plan","strategy"
"страх","ужастик","шарстик","стдых","horror","fear"
"стрелять","выстрелил","выпусклил","укралять","shot","shoot"
"строительство","башня","олиня","незнаительство","tower","building"
"строить","строительство","незнаительство","стровок","construction","build"
"структура","пирамида","пираминистр","склонтура","pyramid","structure"
"стул","стол","стрп","стoи","table","chair"
"судить","корт","коэф","сунешь","court","judge"
"судьба","судьба","скайба","съёмба","fate","destiny"
"сумасшедший","параноида","панеобыкноида","сумаукравший","paranoid","crazy"
"существо","монстр","монсme","сущенуть","monster","creature"
"счастливый","довольный","доместный","странливый","satisfied","happy"
"сын","дочь","доты","амн","daughter","son"
"сыр","хлеб","хлья","амр","bread","cheese"
"таблетка","таблетка","японлетка","спутлетка","tablet","pill"
"таймер","детонатор","детонадцать","безмер","detonator","timer"
"тайна","секретарь","секрекрыл","подна","secret","mystery"
"талант","потенциал","поздравциал","тагард","potential","talent"
"там","здесь","здять","poм","here","there"
"танцевать","танцор","танмех","танцеклет","dancer","dance"
"театр","кинотеатр","кинотервешь","теект","cinema","theater"
"телевидение","радио","рарук","телевидежурств","radio","television"
"телефон","вызов","выпря","телебель","call","telephone"
"тема","объект","объбук","тером","object","subject"
"темный","тень","теял","зонный","shadow","dark"
"температура","высокая температура","высокая температурагане","оскорбпература","heat","temperature"
"теннис","гольф","горыф","теншат","golf","tennis"
"теория","идея","идss","учёрия","idea","theory"
"тестовое задание","эксперимент","эксперижабль","тестовое задстройств","experiment","test"
"техника","метод","медюр","успоника","method","technique"
"тишина","тихий","титоп","улучшина","silent","silence"
"ткань","кожа","коить","duань","skin","tissue"
"товар","марка","тёнка","торяд","brand","product"
"толстый","тонкий","тонную","брастый","thin","thick"
"топливо","газа","влеза","ошибливо","gas","fuel"
"торговец","коммерческий","коммерченость","торгопись","commercial","merchant"
"торнадо","ураган","фикган","краснадо","hurricane","tornado"
"торт","десерт","дезене","толы","dessert","cake"
"тошнота","диарея","диабан","гангнота","diarrhea","nausea"
"травма повреждение","ранить","рамель","травма повреждтepecнo","wound","injury"
"трагический","печальный","пестойный","трагиченость","sad","tragic"
"традиционный","современный","соучастменный","необычдиционный","modern","traditional"
"тревога","тревога","вествога","вествога","alert","alarm"
"треугольник","круг","крою","тренегодник","circle","triangle"
"три","один","атин","пяи","one","three"
"тройной","двойной","дальной","чтожной","double","triple"
"труп","тело","биоло","трбя","body","corpse"
"туман","облако","обжестко","тудил","cloud","fog"
"туннель","мост","мохи","дванель","bridge","tunnel"
"тупой","наивный","наиввать","тунью","naïve","stupid"
"турция","курица","предрица","мысция","chicken","turkey"
"тюрьма","клетка","белька","гельма","cell","prison"
"тяжело","тяжелый","тяжешить","тяжетесь","heavy","heavily"
"тянуть","толкать","рабкать","тяство","push","pull"
"убийство","самоубийство","самостранство","обезство","suicide","murder"
"убийство","яд","жь","обезство","poison","kill"
"убийца","наемник","наемлось","обезца","mercenary","assassin"
"убийца","убийца","обезца","обезца","killer","murderer"
"уверенность","уважать","ближать","уверенством","respect","confidence"
"увольнение","отставка","отуспока","взглянение","resignation","dismissal"
"уголовное","вор","цср","угобрачное","thief","criminal"
"удалить","ликвидировать","ликвидироулингс","числить","eliminate","remove"
"удивительно","впечатляющий","впеоскорбляющий","удивидучтоно","impressive","amazing"
"указывать","точка","футка","указыский","point","indicate"
"улица","проспект","протракт","комца","avenue","street"
"улучшение","изменять","изместей","одершение","change","improvement"
"уменьшать","увеличивать","увеличиством","страшшать","increase","reduce"
"умереть","страдать","граждать","венреть","suffer","die"
"умный","умный","умков","умфом","smart","intelligent"
"университет","колледж","колэлем","универсиправь","college","university"
"уникальный","особый","осожия","унибранный","special","unique"
"униформа","значок","стячок","стэнформа","badge","uniform"
"уотсон","шерлок","рвалок","штысон","sherlock","watson"
"упаковка","конверт","конрофт","упадружка","envelope","package"
"упражнение","упражняться","скрипняться","скрипнение","practice","exercise"
"уравновешивать","оборудование","неудачрудование","необосновешивать","equipment","equip"
"уродливый","раздувание","непредувание","должливый","digusting","ugly"
"устройство","чип","олп","страстство","chip","device"
"утверждение","комментарий","комментальоне","устрождение","comment","statement"
"утка","гусь","гуve","мёрка","goose","duck"
"утро","завтра","завсот","сбро","tomorrow","morning"
"ухо","глаз","жоаз","faо","eye","ear"
"ученый","гениальность","гениальством","вичный","genius","scientist"
"учитель","ученик","тинник","клотель","student","teacher"
"учить","учить","loить","тюить","learn","teach"
"факс","почта","кашта","фаса","mail","fax"
"фамилия","прозвище","прощатьще","фамишать","nickname","surname"
"фантастика","реальность","реальством","устратастика","reality","fantasy"
"фантастический","замечательный","замечанесчастный","фантастичебратьс","wonderful","fantastic"
"фатальный","смертельный","встутельный","фабранный","deadly","fatal"
"федерация","колония","колостым","федерамаунт","colony","federation"
"фестиваль","карнавал","карнапряж","фестичьих","carnival","festival"
"физический","сексуальный","сексуственный","физиченость","sexual","physical"
"фильм","порно","бенно","фисем","porn","movie"
"финансирование","финансово","фистрессово","финансировательств","financially","financing"
"финансирование","бюджет","опыжет","финансировательств","budget","funding"
"финансовый","банковское дело","банковское дпяпппп","финансоучаст","banking","financial"
"финиш","конец","комым","фивак","end","finish"
"флот","военно-морской","военноморбратьс","флзо","naval","fleet"
"фото","картина","сультина","скато","picture","photo"
"фотограф","автограф","автовишь","фотостое","autograph","photographer"
"фраза","словарь","слочень","бабза","dictionary","phrase"
"французский","английский","анарабский","изобцузский","english","french"
"фрукты","яблоко","портлоко","брилты","apple","fruit"
"функционал","операционный","неудачрационный","всплыционал","operational","functional"
"футбол","баскетбол","баскетстия","футтат","basketball","football"
"хищник","добыча","доскотча","ворник","prey","predator"
"хлопок","шелк","шеав","астпок","silk","cotton"
"ходить","бегать","бестер","хоское","run","walk"
"холодный","горячий","горяжусь","ходартный","hot","cold"
"хоронить","копать","коголь","хоростей","dig","bury"
"храбрый","благородный","благосмертный","учебрый","noble","brave"
"хранить","магазин","магаскоп","роднить","shop","store"
"христианин","католический","католичебратьс","христиамость","catholic","christian"
"художник","художник","хутильник","хуплавник","artist","painter"
"царство","королевский","королевность","лопство","royal","kingdom"
"цветок","растение","растерять","мноток","plant","flower"
"цена","стоимость","стоистине","добна","value","price"
"ценить","восхищаться","восхиткнулся","цеклет","admire","appreciate"
"церебрал","мозг","мопл","цереланд","brain","cerebral"
"церемония","ритуал","ритурист","церемоством","ritual","ceremony"
"цивилизация","культура","груптура","цивилизаткнешь","culture","civilization"
"циничный","наивный","наиввать","ципальный","naive","cynical"
"цирк","зоопарк","ситпарк","фррк","zoo","circus"
"частица","иметь значение","иметь значкаст","чакольца","matter","particle"
"человек","человек","челощишь","челостья","man","human"
"чемодан","портфель","охрафель","чемосфер","briefcase","suitcase"
"чемпионат","конкуренция","конкуренность","отравпионат","competition","championship"
"череп","кость","котаь","четcя","bone","skull"
"черепаха","улитка","нантка","черенеумеха","snail","turtle"
"чернить","белый","бевер","роднить","white","black"
"честность","верность","сивность","письность","loyalty","honesty"
"честный","приличный","привольный","вратный","decent","honest"
"честь","привилегия","привилекость","вэсть","privilege","honor"
"четвертый","в третьих","внятетьих","четмкнутый","third","fourth"
"четверть","половина","понеуязвина","четгнуть","half","quarter"
"четыре","два","inа","четыкать","two","four"
"чрезвычайное происшествие","срочный","смешный",NA,"urgent","emergency"
"что-то","ничего","ничества","сатто","nothing","something"
"чувствительный","деликатный","делинезваный","чувствиклассный","delicate","sensitive"
"чувство","впечатление","участчатление","стество","impression","feeling"
"шампанское","вино","разно","шампанцирь","wine","champagne"
"шантажировать","взятка","зьянка","шантажироулингс","bribe","blackmail"
"шапка","очки","чёски","атока","glasses","cap"
"шеф-повар","повар","полол","шефпоедешь","cook","chef"
"шея","горло","тэйло","ойя","throat","neck"
"широкий","узкий","узвое","шировьем","narrow","wide"
"шкаф","кабинет","кабистов","шкeм","cabinet","closet"
"школа","сорт","сопе","говла","class","school"
"шланг","насос","надав","ёчанг","pump","hose"
"шляпа","шлем","нвем","окупа","helmet","hat"
"шоколад","сахар","савищ","шокочитс","sugar","chocolate"
"шоссе","дорога","доролось","пёрсе","road","highway"
"шприц","иголка","молвка","ынриц","needle","syringe"
"шрам","татуировка","татуинеделька","ƒоам","tattoo","scar"
"шутить","обманывать","обманыством","шустве","trick","joke"
"щедрый","сострадательный","сомкнутьдательный","бакрый","compassionate","generous"
"щек","губа","праба","уск","lip","cheek"
"эгоистичный","упертый","опухтый","эгоиклассный","stubborn","selfish"
"элегантный","модный","жённый","элевлажный","fashionable","elegant"
"электрический","магнитный","маггольный","встретрический","magnetic","electric"
"электричество","ток","йск","встретричество","current","electricity"
"элемент","фактор","эготор","важмент","factor","element"
"эмоциональный","ментальный","менвестный","эмоциовстречный","mental","emotional"
"энергия","власть","уеасть","энертет","power","energy"
"эпидемия","чума","чущей","чрездемия","plague","epidemic"
"эпизод","ряд","едд","эпичac","series","episode"
"эрекция","оргазм","орглях","врожция","orgasm","erection"
"это","какие","капра","убо","what","that"
"эффект","влияние","необяние","эфчень","influence","effect"
"эффективно","полезный","покольный","эфвстретивно","useful","effective"
"юридический","незаконно","элекконно","юридиченость","illegal","legal"
"ядерный","атомный","стэнный","цертный","atomic","nuclear"
"яйцо","гнездо","горшдо","редцо","nest","egg"
"яркий","блеск","блокк","ярвое","shine","bright"
"ярость","злость","хвость","ярлать","anger","rage"
"ящерица","лягушка","ляошибка","оснарица","frog","lizard"
