fi_cue,fi_target,type,cue_type,target_type,fi_cosine
neuvo,pituus,unrelated,word,word,0.141652167792031
varoitus,pestä,unrelated,word,word,0.0343258593121418
kulma,huolto,unrelated,word,word,0.134483792917474
bravo,varmuus,unrelated,word,word,0.123093265175985
summa,valtatie,unrelated,word,word,0.130732624010428
peto,nenä,unrelated,word,word,0.122122833687528
mehiläinen,poistaa,unrelated,word,word,0.12149839884561
lupa,kyyninen,unrelated,word,word,0.0578247516663112
käsi,vitsi,unrelated,word,word,0.143327480344732
legioona,kiertää,unrelated,word,word,0.134304218098311
pyöristää,hammas,unrelated,word,word,0.106608934043646
laskimo,harvoin,unrelated,word,word,0.0249592777693314
kysymys,paholainen,unrelated,word,word,0.123655254704416
palkkasoturi,hiekka,unrelated,word,word,0.146098089467154
auttaa,otsikko,unrelated,word,word,0.102647045738192
johtopäätös,kiitollisuus,unrelated,word,word,0.0630096504502807
yrittää,linna,unrelated,word,word,0.115247267980136
väkijoukko,samurai,unrelated,word,word,0.137758500990054
laatikko,kardinaali,unrelated,word,word,0.123998417701412
rykmentti,istua,unrelated,word,word,0.0736347999949877
areena,opettaa,unrelated,word,word,0.124654348184303
hiukset,watson,unrelated,word,word,0.0213566287159221
huone,ystävyys,unrelated,word,word,0.147592582895043
juoda,ling,unrelated,word,word,-0.0207831215214604
miljoona,ankka,unrelated,word,word,0.120200549956364
lahjoa,tytöt,unrelated,word,word,0.106420730595124
tyttö,analyysi,unrelated,word,word,0.0848868328232033
jalo,vasen,unrelated,word,word,0.0881479147066009
murskata,naaras,unrelated,word,word,0.0340297795277475
jätkä,demokratia,unrelated,word,word,0.142316482206848
naarmu,vastustaja,unrelated,word,word,0.117163392172248
rakentaminen,kynttilä,unrelated,word,word,0.148745621801717
kaivaa,jalkapallo,unrelated,word,word,0.0467743310821646
ala,alfa,unrelated,word,word,0.0676423466048649
hunaja,laskea,unrelated,word,word,0.10285613683795
myyjä,ilo,unrelated,word,word,0.0746800673422592
hei,auto,unrelated,word,word,0.129988020805307
kreivi,bullet,unrelated,word,word,0.0928444124788474
lasit,kuulla,unrelated,word,word,0.131996460267515
komentaja,infektio,unrelated,word,word,0.106514571528258
ajoneuvo,usko,unrelated,word,word,0.109307942204173
lastata,auringon,unrelated,word,word,0.106055871913524
lattia,kreikkalainen,unrelated,word,word,0.137233573625071
mafia,kananmuna,unrelated,word,word,0.140249031136861
hauta,seurata,unrelated,word,word,0.0515442543762585
rituaali,äiti,unrelated,word,word,0.134184341364644
este,univormu,unrelated,word,word,0.0985415723993061
seurata,sirkus,unrelated,word,word,0.138177502053711
leipä,voittaa,unrelated,word,word,0.121862292337624
vatsa,pokeri,unrelated,word,word,0.0576178536320665
sokeri,koskaan,unrelated,word,word,0.110141498551555
savu,mahdollisuus,unrelated,word,word,0.0846708833685009
kulttuuri,hermostunut,unrelated,word,word,0.0984825230939731
sairaala,kehitys,unrelated,word,word,0.127135732515577
avata,tiimi,unrelated,word,word,0.0657651293925492
komero,jatkaa,unrelated,word,word,0.0622467935331751
kuppi,arvoton,unrelated,word,word,0.136989844934681
rommi,kaukana,unrelated,word,word,0.101572705606
kuuma,menettely,unrelated,word,word,0.0866099788026264
navigointi,kuningaskunta,unrelated,word,word,0.102015590772851
kärsivällisyys,hiv,unrelated,word,word,0.139491209856505
koko,tarjoilijatar,unrelated,word,word,0.0768468018874488
ehdottomasti,ryöstää,unrelated,word,word,0.0846212850697251
kunnioittaminen,professori,unrelated,word,word,0.0748203661097846
aina,tietokone,unrelated,word,word,0.0902292058220409
laki,lapsuus,unrelated,word,word,0.101042030233686
sisältää,presidentti,unrelated,word,word,0.121513290720638
edetä,majoneesi,unrelated,word,word,0.0774206994057647
vastapäätä,herkullinen,unrelated,word,word,0.137454669205207
väärä,tapahtuma,unrelated,word,word,0.126382315968856
paroni,virasto,unrelated,word,word,0.0855858977053692
mielikuvitus,laivasto,unrelated,word,word,0.135301370087505
hirviö,kappeli,unrelated,word,word,0.148333917271609
paha,aamiainen,unrelated,word,word,0.113817336450779
tanssija,biologia,unrelated,word,word,0.144226968772065
riski,märkä,unrelated,word,word,0.0277071617394939
sokea,persoonallisuus,unrelated,word,word,0.0961171741552739
suojella,rakenne,unrelated,word,word,0.140356846938518
protesti,selvitä,unrelated,word,word,0.04126296975501
saapuminen,gorilla,unrelated,word,word,0.0743272754210931
sallimus,pekoni,unrelated,word,word,0.107092457725002
siru,ratsastaa,unrelated,word,word,0.0586325702289812
kärsiä,hurmaava,unrelated,word,word,0.123722378816686
samanlainen,poika,unrelated,word,word,0.112145825427094
ping,pullo,unrelated,word,word,0.0696113067339898
tuottaja,pohjoinen,unrelated,word,word,0.102510048774814
likainen,luopua,unrelated,word,word,0.0890853775041083
eroaminen,virkistää,unrelated,word,word,0.102799119297617
konflikti,eversti,unrelated,word,word,0.126297085299572
keskeyttää,mustelma,unrelated,word,word,0.0696430817461071
jumala,liiketoiminta,unrelated,word,word,0.0895498135945778
punta,idiootti,unrelated,word,word,0.126008632543786
hyväntekeväisyys,minuutti,unrelated,word,word,-0.0260533731190166
ikkuna,muurahainen,unrelated,word,word,0.134172022013839
maalata,adrenaliini,unrelated,word,word,0.0752842482616105
hame,tutkija,unrelated,word,word,0.0379614730743554
matkustaja,ääni,unrelated,word,word,0.128357336749202
alkoholi,onnellinen,unrelated,word,word,0.0995071418486567
hanhi,voimakkaasti,unrelated,word,word,0.122543038931224
tuhka,tervehtiä,unrelated,word,word,0.130330403585886
silmä,vastata,unrelated,word,word,0.0618319071829014
länsi,ateria,unrelated,word,word,-0.00361820286996996
hyödyllinen,rouva,unrelated,word,word,0.114233227363167
muodikas,äänite,unrelated,word,word,0.0568466661973516
tekijä,juniori,unrelated,word,word,0.108648569792865
henkinen,baari,unrelated,word,word,0.128182869383222
rutto,nukkua,unrelated,word,word,0.131945454378902
laitteet,rehellinen,unrelated,word,word,0.108155751467384
havainto,valtaistuin,unrelated,word,word,0.116451918776989
lopuksi,vene,unrelated,word,word,0.10104440024009
aliarvioida,mikrofoni,unrelated,word,word,0.125796037987762
ylpeä,heroiini,unrelated,word,word,0.0018595539387926
antaa anteeksi,mielenilmaus,unrelated,word,word,
hirttäminen,yrittäjä,unrelated,word,word,0.127414429502017
galleria,lääke,unrelated,word,word,0.074923558364081
odottaa,psykologinen,unrelated,word,word,0.148454417530624
lojaali,ydin,unrelated,word,word,-0.00118551920345472
todellisuus,puu,unrelated,word,word,0.140352484883741
hidas,hallitus,unrelated,word,word,0.0908843644920312
posti,musiikki,unrelated,word,word,0.148817002066177
siirtomaa,homo,unrelated,word,word,0.117498180226908
seinä,manipuloida,unrelated,word,word,0.133542904917286
karnevaali,arvoinen,unrelated,word,word,0.145907551563144
mestari,neljä,unrelated,word,word,0.141325179324883
dna,skandaali,unrelated,word,word,0.0201171002605536
metsästys,luhistua,unrelated,word,word,0.0757731718880239
kasvi,sopu,unrelated,word,word,0.0808548489058853
ikuinen,siirtää,unrelated,word,word,0.0270482386272455
salaliitto,huono,unrelated,word,word,0.0681548561516847
vapaasti,siellä,unrelated,word,word,0.129752129110947
englanti,vähentää,unrelated,word,word,0.0997585384262224
pelästyttää,heikko,unrelated,word,word,0.0923418176562468
pelata,faksi,unrelated,word,word,0.0832388105362528
noutaa,hiljaisuus,unrelated,word,word,0.0300688861936593
pehmeä,voittaja,unrelated,word,word,0.103683980873662
pojat,monitori,unrelated,word,word,0.0774523215430001
kilo,intiimi,unrelated,word,word,0.117414284867592
erinomainen,bändi,unrelated,word,word,0.123381796322924
syytön,ilmaista,unrelated,word,word,0.0699083833674429
voileipä,käyttää,unrelated,word,word,-0.00753413185026857
keppi,tavata,unrelated,word,word,0.0945016976638205
tyytyväinen,ajastin,unrelated,word,word,0.118945076172224
lahti,lainata,unrelated,word,word,0.059235304870409
tukikohta,sähköinen,unrelated,word,word,0.128039514448579
matala,tunnustaa,unrelated,word,word,0.0781057800771764
majesteetti,peukalo,unrelated,word,word,0.10879276407184
joulu,armeija,unrelated,word,word,0.0838118246543947
kauhea,johtaja,unrelated,word,word,0.106614062948418
pumppu,avustaa,unrelated,word,word,0.102661247849258
iso,pelastaja,unrelated,word,word,0.0755404572195385
hiili,suoja,unrelated,word,word,0.132399126755717
kohta,armo,unrelated,word,word,0.129757356654846
data,absurdi,unrelated,word,word,0.149304536906929
perintö,heinäkuu,unrelated,word,word,0.125867382041722
tutkiminen,parta,unrelated,word,word,0.0889675951589878
työkalu,humalassa,unrelated,word,word,0.124626126228285
jännittävä,suoraan,unrelated,word,word,0.0381969398573809
tarkastella,joo,unrelated,word,word,0.113205080241839
kohtuuton,alibi,unrelated,word,word,0.126346198271188
nautinto,paikallinen,unrelated,word,word,0.125248532198155
tuomioistuin,korvata,unrelated,word,word,0.109712532912738
romeo,sisältö,unrelated,word,word,0.0521895231223815
kesäkuu,julmuus,unrelated,word,word,0.0864537638285507
kosto,puuvilla,unrelated,word,word,0.10880427145368
myrkyttää,lausunto,unrelated,word,word,0.0559649513067131
kuningatar,sooda,unrelated,word,word,0.0931017698446933
kuninkaallinen,hinta,unrelated,word,word,0.0779397514247891
tunnistaa,lopulta,unrelated,word,word,0.0635353395373441
kokea,solmio,unrelated,word,word,0.118574944899231
vuokralainen,pylly,unrelated,word,word,0.090121257899303
seminaari,liha,unrelated,word,word,0.120977658009019
koko,tuntematon,unrelated,word,word,0.0853055456659923
sallia,helvetti,unrelated,word,word,0.104621524814261
todennäköisyys,valmistella,unrelated,word,word,0.0852478675971405
lohikäärme,poissaolo,unrelated,word,word,0.133556060459011
munuainen,hei hei,unrelated,word,word,
alueellinen,kakku,unrelated,word,word,0.13173297712475
yksin,neste,unrelated,word,word,0.0491623456434738
viha,onnistua,unrelated,word,word,0.0770763376583212
robotti,yleensä,unrelated,word,word,0.131795495581622
playboy,vyöhyke,unrelated,word,word,0.107041059877696
lastenhoitaja,tärkeys,unrelated,word,word,0.144820057670545
palvelus,varmentaa,unrelated,word,word,0.118563231420435
kompassi,raskaus,unrelated,word,word,0.137818758989032
sinkku,asema,unrelated,word,word,0.144273972071584
jooga,tunneli,unrelated,word,word,0.132945704605362
seriffi,suunnittelu,unrelated,word,word,0.014443519227081
ruoka,komissaari,unrelated,word,word,0.121088403777149
sianliha,lähtö,unrelated,word,word,0.136719988405685
pokaali,kaapata,unrelated,word,word,0.107110532411654
konferenssi,hyökkääjä,unrelated,word,word,0.113040365884184
rauta,itsekäs,unrelated,word,word,0.144242054786721
kilometri,kunnia,unrelated,word,word,0.0507245675501542
virhe,juusto,unrelated,word,word,0.127855061388162
yhdistelmä,parantaa,unrelated,word,word,0.0834762387713057
nöyrä,viestintä,unrelated,word,word,0.040878911044698
näyttö,aikaisin,unrelated,word,word,0.0286260298861288
aspiriini,kiertorata,unrelated,word,word,0.129521397725969
isä,tuotanto,unrelated,word,word,0.0858205424056639
jazz,rannikko,unrelated,word,word,0.0955733296644001
evoluutio,serkku,unrelated,word,word,0.0624557032913893
alaston,tappio,unrelated,word,word,0.0971264500695579
maa,kuvaus,unrelated,word,word,0.122915173074296
kurkku,kapteeni,unrelated,word,word,0.0972412451711749
huolestunut,korkeus,unrelated,word,word,0.112326287337721
terve,tekosyy,unrelated,word,word,0.143384941189661
atomi-,laakso,unrelated,word,word,
meri,episodi,unrelated,word,word,0.12832893031629
syyskuu,näkökulma,unrelated,word,word,0.0978620954759091
vastaanotto,teräs,unrelated,word,word,0.116278725718473
virallisesti,ilmanvaihto,unrelated,word,word,0.0422188040747617
valkosipuli,suljettu,unrelated,word,word,0.0761152309830713
järjestää,ohjelma,unrelated,word,word,0.148809728125657
ilma,perhe,unrelated,word,word,0.092184499365433
kärsimys,moottori,unrelated,word,word,0.127760152437208
taiteilija,isku,unrelated,word,word,0.132696632545032
aikuinen,keisari,unrelated,word,word,0.145003590629685
innostus,käyttää,unrelated,word,word,0.111256105279664
säde,otaksua,unrelated,word,word,0.10343872798703
kuva,vety,unrelated,word,word,0.127673733844943
autografi,tekijä,unrelated,word,word,
seksuaalinen,tapahtua,unrelated,word,word,0.0861939318391932
lehmä,kirjallisuus,unrelated,word,word,0.118246143925172
tabletti,polttoaine,unrelated,word,word,0.144982169062717
astronautti,tulla,unrelated,word,word,0.128602086553861
käytäntö,hampurilainen,unrelated,word,word,0.126025334403309
journalismi,sänky,unrelated,word,word,0.0586698821772163
tila,likainen,unrelated,word,word,0.068784930478137
avuton,ottelu,unrelated,word,word,0.0977988623467172
kirjaimellisesti,etsivä,unrelated,word,word,0.0899342510676894
saalis,ruma,unrelated,word,word,0.0892400459324947
valmis,eri,unrelated,word,word,0.00671768889552192
liittokansleri,tekniikka,unrelated,word,word,0.0777867438661422
painike,sairaus,unrelated,word,word,0.132308759806437
toissijainen,palkinto,unrelated,word,word,0.143753369959692
prinsessa,kerätä,unrelated,word,word,0.109483084324658
selli,lopettaa,unrelated,word,word,0.0227419734517272
panttivanki,tuottaa,unrelated,word,word,0.0258745700180313
yksityinen,rotta,unrelated,word,word,0.131833061223593
nobel,kudos,unrelated,word,word,0.0694135548003124
tehdas,aamu,unrelated,word,word,0.108486528397331
amatööri,takaosa,unrelated,word,word,0.0908279649791512
kielletty,lopputulos,unrelated,word,word,0.0817835413164008
sääntö,kreivitär,unrelated,word,word,0.0469002600650631
malli,hätä,unrelated,word,word,0.0880875228097247
lääketieteellinen,hattu,unrelated,word,word,0.112992568653395
työntää,hyvin,unrelated,word,word,0.0896276584742355
lisätä,kuollut,unrelated,word,word,0.0374449029519662
määrä,mennä,unrelated,word,word,0.135966008454383
puoli,vastustaa,unrelated,word,word,0.138629376587036
viha,vuokrata,unrelated,word,word,0.0964793823377457
satunnaisesti,pala,unrelated,word,word,0.0601447889872466
optimistinen,kehä,unrelated,word,word,0.106982022567012
etuosa,todella,unrelated,word,word,0.103881670980554
lisääntyä,kuja,unrelated,word,word,0.127781989728336
pysyä,valokuva,unrelated,word,word,0.119827669547537
vuokraus,lopettaa,unrelated,word,word,0.142506219305539
vastaus,luostari,unrelated,word,word,0.131315728435482
köyhä,tarkastus,unrelated,word,word,0.127750220613587
ajaa,kenkä,unrelated,word,word,0.0430960479078408
varastaa,sata,unrelated,word,word,0.139747968276393
varkaus,jonnekin,unrelated,word,word,0.0923882032132327
ketju,päättäväisyys,unrelated,word,word,0.085486473312594
kääntää,partio,unrelated,word,word,0.0576012933894347
vakoilu,musta,unrelated,word,word,0.12107038896079
ankkuri,amerikka,unrelated,word,word,0.131029032865563
merirosvo,protokolla,unrelated,word,word,0.0392930925461103
eläke,vahvistaa,unrelated,word,word,0.0763571547580351
huutokauppa,teoria,unrelated,word,word,0.0927659619923945
ninja,nenäliina,unrelated,word,word,0.130861126030076
tutka,lounas,unrelated,word,word,0.115254216065458
sankari,sulkea,unrelated,word,word,0.0800511246179291
kalenteri,prinssi,unrelated,word,word,0.0115524999518308
nero,menneisyys,unrelated,word,word,0.123614538015631
turvallinen,syytös,unrelated,word,word,0.10064070113839
ostaa,tapaaminen,unrelated,word,word,0.0970882194347393
parlamentti,jäätyä,unrelated,word,word,0.0943156444927358
kuvernööri,takki,unrelated,word,word,0.106390273991636
turvapaikka,televisio,unrelated,word,word,0.143664914022437
laukaus,nopeasti,unrelated,word,word,0.0901834547167982
kipeä,vuosikymmen,unrelated,word,word,0.0315260984274779
kultainen,jäädä jäljelle,unrelated,word,word,
wc,yhteys,unrelated,word,word,0.0596920364803766
tippa,opettaja,unrelated,word,word,0.096135684449911
seisoa,sijoittaa,unrelated,word,word,0.110595284214737
vähän,uutiset,unrelated,word,word,0.0979073525180896
mato,häät,unrelated,word,word,0.0585440615324658
ampuja,velvollisuus,unrelated,word,word,0.0404439946439457
limsa,lempeä,unrelated,word,word,0.118402457785664
kuun,pesukarhu,unrelated,word,word,0.0805152891746089
ei mitään,limusiini,unrelated,word,word,
muualle,rikollinen,unrelated,word,word,0.0971683924396051
tytär,valtava,unrelated,word,word,0.126450332001253
albumi,metri,unrelated,word,word,0.101706382871437
melu,keittiömestari,unrelated,word,word,0.105924369525095
lasagne,polku,unrelated,word,word,0.133215652217786
ekspertti,vodka,unrelated,word,word,0.0933767756227311
tuhlata,oikeudenkäynti,unrelated,word,word,0.124505894363235
julkkis,atlantin,unrelated,word,word,0.112256710037058
liittovaltion,syötti,unrelated,word,word,0.0888777497137724
jo,tomaatti,unrelated,word,word,0.122083501705015
estää,oranssi,unrelated,word,word,0.0858150123121237
kauppa,matematiikka,unrelated,word,word,0.124855858730171
banaani,raivo,unrelated,word,word,0.119036506239055
torkut,sabotaasi,unrelated,word,word,0.0912689642362959
tiukasti,emotionaalinen,unrelated,word,word,0.144439501229883
vaihtaa,penis,unrelated,word,word,0.0533774485802461
tarpeeksi,kansakunta,unrelated,word,word,0.136326815550294
esittää,gramma,unrelated,word,word,0.0868486768162075
lauantai,tuote,unrelated,word,word,0.138411108303068
operoida,katu,unrelated,word,word,0.0992316109165733
hukkua,velho,unrelated,word,word,0.128498906381327
potentiaali,varsi,unrelated,word,word,0.0824401917034196
soittaa,ulkoinen,unrelated,word,word,0.134370496637256
radio,kani,unrelated,word,word,0.11354358991195
lämpö,yhtymä,unrelated,word,word,0.122641557195808
kruunu,viikoittain,unrelated,word,word,0.0538862604544033
salama,antaa,unrelated,word,word,0.07859680194306
nimi,toiminnallinen,unrelated,word,word,0.122694985099429
viltti,oikeus,unrelated,word,word,0.0445990507298584
liikkua,sikari,unrelated,word,word,0.051516804844887
sensori,kriisi,unrelated,word,word,0.0976066953636404
puska,testata,unrelated,word,word,0.0994210352411678
ympyrä,ihana,unrelated,word,word,0.109072472953816
ikuinen,paine,unrelated,word,word,0.111918913964319
lopullinen,lahjakkuus,unrelated,word,word,0.125737471129413
epämukava,poika,unrelated,word,word,0.107988214234666
veri,teini-ikäinen,unrelated,word,word,
tavallinen,allekirjoitus,unrelated,word,word,0.115173649104319
zombie,äskettäin,unrelated,word,word,0.133364820489315
perävaunu,koettaa,unrelated,word,word,0.0670931599841521
kaneli,pataljoona,unrelated,word,word,0.128431433161797
viski,hypätä,unrelated,word,word,0.133509555262818
enemmistö,telttailu,unrelated,word,word,0.0711777950204482
tasku,muukalainen,unrelated,word,word,0.121412273295392
puhdas,erektio,unrelated,word,word,0.117719745268351
sherlock,taistelu,unrelated,word,word,0.107383067000873
pistooli,maailmanlaajuinen,unrelated,word,word,0.121094204956324
kuukausi,taistelija,unrelated,word,word,0.105501727201342
päivittäin,lahjoitus,unrelated,word,word,0.135818467565187
kapea,iäisyys,unrelated,word,word,0.0558579516847079
saada,lento,unrelated,word,word,0.112405528541789
kaapeli,sekaannus,unrelated,word,word,0.134239256132987
kirous,rahti,unrelated,word,word,0.12380735501414
karhu,masennus,unrelated,word,word,0.138917808671997
hyödytön,yhteisö,unrelated,word,word,0.0827993215031619
ansaitseva,asiantuntija,unrelated,word,word,0.128309982386279
okei,usein,unrelated,word,word,0.0986005233001363
punainen,ohjaaja,unrelated,word,word,0.0962854991177196
jättää,mekko,unrelated,word,word,0.0464615152462097
läsnäolo,spagetti,unrelated,word,word,0.0921545146019265
tekijä,dollari,unrelated,word,word,0.0566601864324319
terminaali,antaa,unrelated,word,word,0.0737316303113948
motiivi,kukka,unrelated,word,word,0.121342042294303
ufo,pesuallas,unrelated,word,word,0.0467226459408571
vaikuttava,murha,unrelated,word,word,0.140344264444041
ruumiinavaus,voimakkaasti,unrelated,word,word,0.0588075037930932
arsenaali,valmistua,unrelated,word,word,0.108369346354845
tuki,purjehtia,unrelated,word,word,0.0773902081500356
sihteeri,keinotekoinen,unrelated,word,word,0.129971496946536
uhri,uskollinen,unrelated,word,word,0.134852369478124
mielipide,ruumis,unrelated,word,word,0.110685187026161
toimivalta,sipuli,unrelated,word,word,0.126021920098236
ansa,ihmiset,unrelated,word,word,0.113102896178895
stadion,rikkoa,unrelated,word,word,0.108861604314494
perhonen,poliittinen,unrelated,word,word,0.133085541226148
raamattu,hummeri,unrelated,word,word,0.135458502876344
lasi,tyhmä,unrelated,word,word,0.132535739646625
torni,hyväksyä,unrelated,word,word,0.112200547613721
perse,virallinen,unrelated,word,word,0.106947802403478
hiljainen,jauhot,unrelated,word,word,0.0977407323091531
piknikki,tunne,unrelated,word,word,0.118295808047062
napata,tiede,unrelated,word,word,0.100053239257224
kirkko,palkinto,unrelated,word,word,0.14722612800555
kallis,toimittaja,unrelated,word,word,0.148989192409618
niellä,eilen,unrelated,word,word,0.12789386169098
nuoriso,valtimo,unrelated,word,word,0.090643949385979
tyypillinen,kolme,unrelated,word,word,0.120874476038446
pudota,muusikko,unrelated,word,word,0.0691435830271795
tarkastaja,ase,unrelated,word,word,0.117434351772559
lämmin,rakennus,unrelated,word,word,0.140890783457687
sukulainen,kipu,unrelated,word,word,0.111521648005644
varas,omistautuminen,unrelated,word,word,0.119787817855153
tilanne,myynti,unrelated,word,word,0.140171159854464
repiä,kuorma-auto,unrelated,word,word,
makea,tulo,unrelated,word,word,0.132248850240177
setä,katsella,unrelated,word,word,0.14248272561978
varjo,tutkija,unrelated,word,word,0.127906835159698
auringonlasku,kiittää,unrelated,word,word,0.125709932276234
hytti,kivi,unrelated,word,word,0.144243030339208
luominen,puolustaa,unrelated,word,word,0.140157508327821
enkeli,baseball,unrelated,word,word,0.0210712725769101
ylpeys,kalkkuna,unrelated,word,word,0.097281228784583
puhelu,metsä,unrelated,word,word,0.13562645471582
flunssa,vaalit,unrelated,word,word,0.118212043458455
tiedosto,yllättäen,unrelated,word,word,0.101460831694582
myöhään,susi,unrelated,word,word,0.141266509249149
mahdoton,yliopisto,unrelated,word,word,0.0222939719316117
sarja,järvi,unrelated,word,word,0.148308978792282
paeta,pitkä,unrelated,word,word,0.0866738531154562
yö,symboli,unrelated,word,word,0.112525216274555
ilmiö,kuolla,unrelated,word,word,0.0533248347283104
harjoitella,toivoa,unrelated,word,word,0.13397161088102
puhjeta,mysteeri,unrelated,word,word,0.119403081161006
maanjäristys,ällöttävä,unrelated,word,word,0.0955932075857062
klaani,verkko,unrelated,word,word,0.114959770221024
tappava,uskonto,unrelated,word,word,0.137474824047278
loppu,katoaminen,unrelated,word,word,0.107172191704777
kaksi,nopea,unrelated,word,word,0.0927909874892193
kohtelias,karata,unrelated,word,word,0.134829270815049
suhde,öljy,unrelated,word,word,0.129896635231671
tyhjä,tennis,unrelated,word,word,0.0695344040796698
kohteliaisuus,portti,unrelated,word,word,0.137198460233206
tarjous,onnettomuus,unrelated,word,word,0.112764831343284
onnitella,eläin,unrelated,word,word,0.0507388177272171
jengi,fantasia,unrelated,word,word,0.11218727291763
esiintyä,isä,unrelated,word,word,0.0795917954284522
tasapaino,kauppias,unrelated,word,word,0.121945098183102
toipua,legenda,unrelated,word,word,0.112410903272045
kuunnella,vuori,unrelated,word,word,0.0993762407641015
paratiisi,isä,unrelated,word,word,0.12415347754748
aids,ravintola,unrelated,word,word,0.0459042796719321
etuoikeus,myrsky,unrelated,word,word,0.0600474966974105
aasi,savuke,unrelated,word,word,0.0971880727948308
merkitys,suklaa,unrelated,word,word,0.145885179068965
arvokas,ilmapiiri,unrelated,word,word,0.0598680862372848
rangaistus,itä,unrelated,word,word,0.056752415356753
raportti,korkki,unrelated,word,word,0.140114932312314
lähde,ajatella,unrelated,word,word,0.0294984625992879
tarkoitus,talvi,unrelated,word,word,0.103595444708085
vahingossa,palata,unrelated,word,word,0.113992946403297
analyytikko,aktivoida,unrelated,word,word,0.12604260925455
sähke,valikoida,unrelated,word,word,0.0498122320879616
konservatiivinen,lelu,unrelated,word,word,0.107362640993409
pimeys,syödä,unrelated,word,word,0.108565977392502
ming,polvi,unrelated,word,word,0.0901887126241256
mainonta,petturi,unrelated,word,word,0.104615256481863
minimi,poliitikko,unrelated,word,word,0.0824006819258156
teleskooppi,leikata,unrelated,word,word,0.0776046577041081
suurlähettiläs,hyönteinen,unrelated,word,word,0.135914952296325
suurlähetystö,harmonia,unrelated,word,word,0.0910473828605951
plus,ase,unrelated,word,word,0.0322408358882073
köyhyys,viesti,unrelated,word,word,0.135087528882941
porno,ystävä,unrelated,word,word,0.0795098713740548
pojanpoika,bussi,unrelated,word,word,0.0941971134252529
kanava,kävellä,unrelated,word,word,0.0616476688955591
etelä,ajoittaa,unrelated,word,word,0.144042384260481
vihollinen,maksa,unrelated,word,word,0.0754991110529637
valinta,kirjoittaa,unrelated,word,word,0.0799037683949582
vihreä,arvokkuus,unrelated,word,word,0.120063161732875
tulos,liesi,unrelated,word,word,0.13322923540292
lippu,piilottaa,unrelated,word,word,0.0671579505133041
koodi,ampua,unrelated,word,word,0.0804697283721864
tulevaisuus,pureskella,unrelated,word,word,0.104672716514289
vartija,kamala,unrelated,word,word,0.12926164352199
valmentaja,riittävä,unrelated,word,word,0.11710847954087
kriittinen,pomo,unrelated,word,word,0.123761339900063
tilaisuus,dynamiitti,unrelated,word,word,0.128987527852447
pulssi,lentää,unrelated,word,word,0.0852553269555886
dekaani,varallisuus,unrelated,word,word,0.120395830652931
lakimies,tanssi,unrelated,word,word,0.0901862071099906
juuri,apu,unrelated,word,word,0.146076009532675
filosofia,naimisissa,unrelated,word,word,0.106609703415425
unohtaa,ruisku,unrelated,word,word,0.0126822795604531
eliminoida,työntekijä,unrelated,word,word,0.141579983794899
caesar,lentäjä,unrelated,word,word,0.0738392414369244
pelastaa,tarkka-ampuja,unrelated,word,word,
tuoda,laillinen,unrelated,word,word,0.132007095091434
puhe,täysi,unrelated,word,word,0.0760184351056444
orja,tornado,unrelated,word,word,0.118529849504606
levätä,lepakkomies,unrelated,word,word,0.0865461361407126
betoni,noita,unrelated,word,word,0.130523462569538
tuuli,yleisesti,unrelated,word,word,0.0481012957030745
uuni,pelaaja,unrelated,word,word,0.115240609730119
naiivi,siemaus,unrelated,word,word,0.146858625359668
kohde,komedia,unrelated,word,word,0.0890361444724771
kuu,järjestelmä,unrelated,word,word,0.126194401740633
epäillä,neljäsosa,unrelated,word,word,0.0782472670067929
neula,luovuus,unrelated,word,word,0.083465590541152
oppia,sukunimi,unrelated,word,word,0.133850882604264
sanoa,kitara,unrelated,word,word,0.131835632379089
golf,komitea,unrelated,word,word,0.0891388752263989
kiitollinen,kohta,unrelated,word,word,0.118908729618756
ohut,pappi,unrelated,word,word,0.124185865825395
sitoa,yleinen,unrelated,word,word,0.0690474106387738
sytytin,kammottava,unrelated,word,word,0.12462529381477
iho,ostaja,unrelated,word,word,0.123196661673172
naula,politiikka,unrelated,word,word,0.135649515547526
silta,tarkoituksellisesti,unrelated,word,word,0.0713200927450678
alas,peli,unrelated,word,word,0.0573408112871182
mars,loistava,unrelated,word,word,0.104184544570763
proteiini,haudata,unrelated,word,word,0.119047496115284
juosta,festivaali,unrelated,word,word,0.095902997633876
katsoa,todennäköisesti,unrelated,word,word,0.103386534233039
viljelijä,kiristää,unrelated,word,word,0.0691771786235394
koskea,mutaatio,unrelated,word,word,0.0862707189567689
lukeminen,mahtava,unrelated,word,word,0.0790361129763605
johto,todennäköisesti,unrelated,word,word,0.0589715967405999
sopimus,kysyä,unrelated,word,word,0.0947011847949919
ihailla,puhelin,unrelated,word,word,0.0733318443722135
rangaista,kilpailu,unrelated,word,word,0.110509875219374
paahtoleipä,armeija,unrelated,word,word,0.125558075950987
jälkiruoka,omistaja,unrelated,word,word,0.0814054424365314
koira,sulkeminen,unrelated,word,word,0.0587973467891644
kenraali,enimmäismäärä,unrelated,word,word,0.130786605858969
keho,taloudellinen,unrelated,word,word,0.123936096142033
uskollisuus,elokuva,unrelated,word,word,0.104541630171118
lääni,kaulakoru,unrelated,word,word,0.14053034871402
kiireellinen,muistaa,unrelated,word,word,0.122054664407366
orgasmi,kylmä,unrelated,word,word,0.120705381553554
ei koskaan,pidätys,unrelated,word,word,
