"id_cue","id_target","id_fake_target","id_fake_cue","en_cue","en_target"
"membersihkan","mencuci","menckki","memberashkan","clean","wash"
"membuat","menghasilkan","menghasisaan","membint","create","produce"
"membuat","melakukan","melasekan","membint","make","do"
"membuka","menutup","menumpp","membona","open","close"
"memburu","penangkapan ikan","penangkapatjikan","membeau","hunting","fishing"
"memegang","menyimpan","megaimpan","meongang","hold","keep"
"memercayai","meyakini","loyakini","memercayer","trust","believe"
"memeriksa","memeriksa","memerivea","memerivea","check","verify"
"memerintah","memesan","medasan","memetentah","command","order"
"memilih","pilih","pickh","memiith","choose","select"
"mempekerjakan","menyewa","menyaaa","meriekerjakan","hire","rent"
"mempelajari","mengajar","menghuar","mempelesari","learn","teach"
"memperbaiki","memperbaiki","mempericiki","mempericiki","fix","repair"
"memperoleh","menang","meling","memperolcs","gain","win"
"mempertaruhkan","bahaya","bahant","mempertarusnan","risk","danger"
"mempertimbangkan","memikirkan","mewakirkan","mempernembangkan","consider","think"
"memuat","muatan","musuan","memusu","load","cargo"
"memuji","membuat terkesan","membuat terkolan","mebiji","flatter","impress"
"memukul","memukul","memuntl","measkul","hit","strike"
"memungkinkan","menyediakan","menyumiakan","merengkinkan","enable","provide"
"menakjubkan","luar biasa","luarfiiasa","menaneubkan","impressive","amazing"
"menakutkan","menakutkan","menatatkan","menakumpan","scary","creepy"
"menara","bangunan","bangeman","menane","tower","building"
"menarik","menawan","menakin","menantk","attractive","charming"
"menawarkan","memberi","memboni","menaturkan","offer","give"
"mencegah","berhenti","beldenti","mencnyah","prevent","stop"
"mencoba","percobaan","percleaan","menchoa","try","attempt"
"menculik","menculik","mencnyik","mencnyik","kidnap","abduct"
"mencuri","rampok","rampse","mencndi","steal","rob"
"mendaki","melompat","meloamat","mempaki","climb","jump"
"mendengarkan","mendengar","mendahgar","mendenganjan","listen","hear"
"menderita","menyedihkan","menychihkan","mendernia","miserable","pathetic"
"menderita","rasa sakit","rasacrakit","mendernia","suffering","pain"
"menderita","mati","mant","mendernia","suffer","die"
"mendesak","keadaan darurat","keadaan darutkt","meelesak","urgent","emergency"
"mendukung","pendampingan","pendamjangan","mendseung","support","assistance"
"menekankan","depresi","deanesi","menentnkan","stress","depression"
"meneliti","menyelidiki","menyeleniki","meneroti","examine","investigate"
"menenggelamkan","berenang","berestng","menenggelastan","drown","swim"
"mengagumi","menghargai","menghammai","mengumumi","admire","appreciate"
"mengajukan","dokumen","dollmen","mengchukan","file","document"
"mengakui","mengakui","mengakse","mengsqui","admit","confess"
"mengatakan","memberi tahu","memberèetahu","mengateran","say","tell"
"mengatur","mengatur","mengatik","mengatik","arrange","organize"
"mengelola","berhasil","beklasil","mengshola","manage","succeed"
"mengenali","tahu","tals","mengendei","recognize","knew"
"mengerikan","mengerikan","mengatikan","mengifikan","terrible","horrible"
"menggali","mengubur","mengleur","menggaum","dig","bury"
"menggambarkan","cepat","papat","mengganmarkan","describe","express"
"mengganggu","mengganggu","menggangrk","menggangrk","interrupt","disturb"
"mengganti","pengganti","penggairi","menggairi","replace","substitute"
"menggores","memar","mebur","menggotis","scratch","bruise"
"menghancurkan","merusak","merurek","menghataurkan","smash","break"
"menghapuskan","menghapus","menghames","menghapujaan","eliminate","remove"
"menghitung","menghitung","menghianng","mengjatung","count","calculate"
"menghormati","kepercayaan diri","kepercayern diri","mengukrmati","respect","confidence"
"menghukum","menangkap","melingkap","menghuiam","punish","arrest"
"mengikat","mengikat","mengrmat","mengrmat","bind","tie"
"mengikuti","mengejar","mengdiar","mengikdai","follow","chase"
"mengilhami","inspirasi","inspironi","menguahami","inspire","inspiration"
"menginginkan","mengharapkan","mengharasman","menginuankan","desire","wish"
"mengintai","pengkhianat","pengumianat","menginlli","spy","traitor"
"mengisap","menjilat","memailat","mengstap","suck","lick"
"mengizinkan","membiarkan","membiatean","mengzhinkan","allow","let"
"mengubah","peningkatan","peningantan","mengirah","change","improvement"
"mengucapkan selamat","menyapa","menyusa","mengucapkakoselamat","congratulate","greet"
"mengumpulkan","mengumpulkan","mengumputnan","mengumputnan","collect","gather"
"mengusulkan","menyarankan","meegarankan","mengrmulkan","propose","suggest"
"meninggalkan","meninggalkan","meninggardan","melenggalkan","leave","abandon"
"meningkatkan","mengurangi","mengikangi","melengkatkan","increase","reduce"
"menipu","candaan","caaaaan","meniub","trick","joke"
"menjamin","janji","ninji","menjerin","guarantee","promise"
"menjatuhkan","menyesap","menyrdap","menjatonkan","drop","sip"
"menjawab","membalas","membalra","menjawup","answer","reply"
"menjembatani","terowongan","teronnngan","menjembataed","bridge","tunnel"
"menjijikan","kotor","koler","menjblikan","nasty","filthy"
"menolak","menerima","meskrima","meailak","refuse","accept"
"mental","emosional","emosnynal","meonal","mental","emotional"
"menunjukkan","pertunjukan","pertunbekan","menunjamkan","show","performance"
"menutupi","bersembunyi","bersembului","menumppi","cover","hide"
"menyadari","memahami","memahace","menyulari","realize","understand"
"menyelamatkan","menyimpan","megaimpan","menyelmpatkan","rescue","save"
"menyetir","mengendarai","mengendaahi","menygair","drive","ride"
"menyiksa","menyiksa","menyedsa","menyedsa","torment","torture"
"menyinggung","menyinggung","meckinggung","mediinggung","insult","offend"
"menyuap","pemerasan","pemerannn","menycip","bribe","blackmail"
"menyumpahi","penyihir","penyayir","menyikpahi","curse","witch"
"merah","kuning","kusung","meish","red","yellow"
"merebut","menangkap","melingkap","meresst","grab","catch"
"merek","produk","prnguk","menak","brand","product"
"meremehkan","berlebihan","begrebihan","meredohkan","underestimate","exaggerate"
"merobek","memotong","memodung","merollk","tear","cut"
"merokok","cerutu","cewetu","meromak","smoke","cigar"
"metode","teknik","temaik","aktode","method","technique"
"mil","sentimeter","sentpieter","ful","mile","centimeter"
"mimpi buruk","mimpi","miidi","mimpawburuk","nightmare","dream"
"ming","ling","brng","reng","ming","ling"
"minimum","maksimum","makstoum","miitmum","minimum","maximum"
"minum","bir","uar","misim","drink","beer"
"miskin","kaya","katn","mitoin","poor","rich"
"mitos","legenda","lefonda","minks","myth","legend"
"modal","kota","ista","mordl","capital","city"
"model","prototipe","protbaipe","morol","model","prototype"
"modern","tradisional","tradonional","modeer","modern","traditional"
"monumen","patung","papang","mommmen","monument","statue"
"monyet","gorila","gorine","mounet","monkey","gorilla"
"motif","alibi","alrei","mongf","motive","alibi"
"mouse","tikus","tiars","morge","mouse","rat"
"mulia","kemuliaan","kemulityn","nalia","glorious","glory"
"mulut","hidung","hitong","muunt","mouth","nose"
"mungkin","mungkin","mungwan","rengkin","maybe","probably"
"murid","guru","guif","corid","student","teacher"
"musim panas","musim dingin","musiaydingin","musipepanas","summer","winter"
"musim semi","musim gugur","musitmgugur","musirpsemi","spring","autumn"
"mustahil","mudah","munih","mustevil","impossible","easy"
"musuh","lawan","lakin","muwah","enemy","opponent"
"naga","singa","tunga","onga","dragon","lion"
"naif","sinis","sists","rtif","naive","cynical"
"naif","bodoh","boaph","rtif","naïve","stupid"
"naluri","intuisi","intusni","naberi","instinct","intuition"
"nama","judul","jurll","nany","name","title"
"nama panggilan","nama belakang","namapnelakang","namacwanggilan","nickname","surname"
"nasihat","menasihati","menasihaor","nasidet","advice","advise"
"nasional","global","glmial","nasintal","national","global"
"navigasi","komunikasi","komudakasi","navirgsi","navigation","communication"
"negara","bangsa","banggi","negaas","country","nation"
"nilai","harga","hauta","amlai","value","price"
"ninja","samurai","ermurai","nippa","ninja","samurai"
"nobel","hadiah","hadibo","nogil","nobel","prize"
"nomor","alamat","almpat","nogur","number","address"
"november","desember","devamber","noveawer","november","december"
"nyaman","menyenangkan","menyusangkan","emaman","comfortable","pleasant"
"nyonya","kekasih","kekaith","olonya","mistress","lover"
"obyek","subjek","suzuek","obhak","object","subject"
"operasional","fungsional","wingsional","opersiional","operational","functional"
"optimis","realistis","reseistis","eatimis","optimistic","realistic"
"orang","individu","indiasdu","rbang","person","individual"
"orgasme","pemasangan","penesangan","jigasme","orgasm","erection"
"orkestra","pita","piny","orkeamra","orchestra","band"
"otak","cerebral","cerelwal","kuak","brain","cerebral"
"oven","kompor","koesor","ilen","oven","stove"
"pabrik","produksi","prodmisi","papuik","factory","production"
"pahlawan","penyelamat","penyelmpat","parmawan","hero","savior"
"pakar","spesialis","spanialis","alkar","expert","specialist"
"paku","gigi","blgi","pama","nail","tooth"
"palsu","salah","kelah","paryu","fake","FALSE"
"paman","ayah","rbah","pakun","uncle","dad"
"panas","dingin","ditain","paows","hot","cold"
"panas","suhu","suad","paows","heat","temperature"
"panggilan","telepon","telebin","panggiann","call","telephone"
"pantai","pesisir","pemasir","panton","beach","coast"
"pantat","pantat","pagrat","pagrat","ass","butt"
"panti asuhan","biara","esara","pantsaasuhan","orphanage","convent"
"paranoid","gila","blla","paraovid","paranoid","crazy"
"parlemen","senat","seput","pathemen","parliament","senate"
"pasifik","atlantik","celantik","pasimek","pacific","atlantic"
"pasukan","tentara","rintara","paakkan","legion","army"
"pecahan","bagian","baplan","pecapen","fragment","piece"
"pecundang","pemenang","pergnang","pecurtang","loser","winner"
"pedang","pisau","pichu","petrng","sword","knife"
"pekerjaan","kerja","kemua","pekeksaan","job","work"
"pelatih","pemain","peelin","pelajah","coach","player"
"pelayan","pelayan","peladon","periyan","waiter","waitress"
"peluang","kemungkinan","kekangkinan","peomang","chance","possibility"
"pembalasan dendam","keadilan","kensilan","pembalasanluendam","revenge","justice"
"pembukaan","penutup","penugap","pembsiaan","opening","closure"
"pembuluh darah","pembuluh darah","pembuluhnzarah","pembuluhduarah","vein","artery"
"pembunuh","pembunuh","pembntuh","pembntuh","killer","murderer"
"pemicu","mengaktifkan","mengaktinian","pemiig","trigger","activate"
"penalti","hukuman penjara","hukumadlpenjara","penarmi","penalty","imprisonment"
"penangkal","vaksin","valuin","peringkal","antidote","vaccine"
"penari","menari","menant","penant","dancer","dance"
"penciptaan","penghancuran","penghatauran","pechiptaan","creation","destruction"
"penculik","tebusan","tepisan","pencnyik","kidnapper","ransom"
"pencurian","perampokan","peramprjan","pencursen","theft","robbery"
"pendapat","sikap","takap","pendirat","opinion","attitude"
"pendaratan","penerbangan","penetrangan","pendarkuan","landing","flight"
"pendek","panjang","paliang","pendad","short","long"
"pendengaran","uji coba","ujthcoba","pendahgaran","hearing","trial"
"penembak","sniper","sniple","petambak","shooter","sniper"
"penerimaan","berpesta","berpolta","penerissan","reception","party"
"pengacara","jaksa","ocksa","penguaara","lawyer","prosecutor"
"pengadilan","hakim","hadom","pengadrman","court","judge"
"pengalaman","pengetahuan","pengplahuan","pengalnyan","experience","knowledge"
"pengamatan","evaluasi","evaleksi","pengmpatan","observation","evaluation"
"pengampunan","belas kasihan","belaenkasihan","pengamtinan","forgiveness","mercy"
"pengantin pria","pengantin perempuan","pengantiymperempuan","pengantidwpria","groom","bride"
"pengarang","aktor","kutor","pengelang","author","actor"
"pengaruh","memengaruhi","memengardii","pengarai","influence","effect"
"pengasuh","pembantu","pealantu","pengasse","nanny","maid"
"pengawal","menemani","medamani","pengoral","escort","accompany"
"pengelola","bos","els","pengelysa","manager","boss"
"pengelolaan","administratif","coministratif","pengelizaan","management","administrative"
"pengunduran diri","pemecatan","pemesstan","pengunduralydiri","resignation","dismissal"
"pengungsi","buronan","bubunan","pengunemi","refugee","fugitive"
"penjaga","patroli","patrgai","penjira","guard","patrol"
"penjelasan","masuk akal","masuciakal","penjauasan","explanation","plausible"
"penjual","pembeli","pembssi","pekaual","seller","buyer"
"pensiun","gaji","gabu","pensfin","pension","salary"
"penuh kasih","dermawan","dellawan","penujlkasih","compassionate","generous"
"penumpang","sopir","sobar","penutuang","passenger","driver"
"penyair","penulis","peerlis","penyekr","poet","writer"
"penyanyi","pemusik","pemugak","penyanft","singer","musician"
"penyelidikan","inspeksi","ineseksi","penyelenikan","examination","inspection"
"penyewa","tuan rumah","tuaniwumah","penynma","tenant","landlord"
"peralatan","melengkapi","melengkade","perapitan","equipment","equip"
"perang","pertarungan","pertchungan","pendng","war","battle"
"perangkap","umpan","zepan","perangtup","trap","bait"
"perangkat lunak","komputer","kompnker","perangkaanlunak","software","computer"
"perbankan","keuangan","ketkngan","peorankan","banking","financial"
"percakapan","diskusi","dimpusi","percakenan","conversation","discussion"
"perceraian","pernikahan","pernetahan","peoteraian","divorce","marriage"
"percobaan","uji","eoi","percngaan","experiment","test"
"perhatian","menarik","meserik","perhattin","attention","attract"
"periklanan","pemasaran","pemariran","perizaanan","advertising","marketing"
"peringatan","pesan","pelin","pelangatan","warning","message"
"peringatan","alarm","allym","pelangatan","alert","alarm"
"peringatan tahunan","hari ulang tahun","hari ulanggrahun","peringatanuvahunan","anniversary","birthday"
"perlahan-lahan","dengan cepat","denganalepat","pearahanlahan","slowly","quickly"
"perlawanan","melawan","melakin","pegjawanan","resistance","resist"
"perpustakaan","museum","muserb","pehaustakaan","library","museum"
"persiapan","perencanaan","perencanugn","pelliapan","preparation","planning"
"pertama","terakhir","terakhwa","peirama","first","last"
"pertanyaan","bertanya","beulanya","pertanekan","question","ask"
"pertunangan","pernikahan","pernetahan","pertimangan","engagement","wedding"
"perusahaan","agen","esen","perusahans","firm","agency"
"perusahaan","perusahaan","perusahamp","perusahans","company","corporation"
"perut","dada","bida","harut","stomach","chest"
"pesona","kecantikan","kehentikan","pectna","charm","beauty"
"petani","pekerja","pekemua","petaed","farmer","worker"
"peti mati","pemakaman","pemaseman","petislati","coffin","funeral"
"petir","guruh","gunah","natir","lightning","thunder"
"piano","gitar","astar","rgano","piano","guitar"
"pidato","khotbah","khmebah","piloto","speech","sermon"
"piknik","berkemah","berkemon","piteik","picnic","camping"
"pilihan","pilihan","pijahan","erlihan","choice","option"
"ping","ding","diba","trng","ping","ding"
"pintar","cerdas","cellas","pintik","smart","intelligent"
"pintu gerbang","gerbang","carbang","pintasgerbang","portal","gate"
"piramida","struktur","strusuur","piratoda","pyramid","structure"
"pisang","stroberi","strollri","tusang","banana","strawberry"
"pistol","senjata","senjnga","pinjol","pistol","weapon"
"planet","orbit","orsut","pltret","planet","orbit"
"platform","stasiun","stasshn","plathyrm","platform","station"
"playboy","majalah","magilah","playedy","playboy","magazine"
"plus","minus","miets","xtus","plus","minus"
"pompa","selang","sepeng","porna","pump","hose"
"populasi","orang-orang","jiangorang","polllasi","population","people"
"populer","terkenal","terkentu","popupur","popular","famous"
"pornografi","film","fiaj","pornixrafi","porn","movie"
"positif","negatif","negaskf","poettif","positive","negative"
"potensi","bakat","jikat","nstensi","potential","talent"
"pound","dolar","dorfr","kyund","pound","dollar"
"praktek","latihan","laschan","priatek","practice","exercise"
"pria","manusia","matisia","akia","man","human"
"pria","perempuan","pereveuan","akia","male","female"
"pribadi","intim","ingum","pribnai","personal","intimate"
"pribadi","pribadi","edibadi","pribnai","private","privacy"
"produsen","direktur","diwaktur","prodolen","producer","director"
"profil","keterangan","kelarangan","pratil","profile","description"
"properti","pemilik","perllik","properah","property","owner"
"proses","prosedur","prlledur","prosan","process","procedure"
"protein","vitamin","vikemin","protarn","protein","vitamin"
"protes","demonstrasi","demonstroli","protti","protest","demonstration"
"proyek","program","prakram","proyad","project","program"
"puas","senang","gunang","glas","satisfied","happy"
"pub","restoran","renaoran","uib","pub","restaurant"
"pujian","hadiah","hadibo","purhan","compliment","gift"
"pulih","sembuh","sembol","hilih","recover","heal"
"putih","hitam","hioom","pubuh","white","black"
"putri","pangeran","pangpkan","punai","princess","prince"
"racun","membunuh","membntuh","raynn","poison","kill"
"radar","satelit","sateint","ratur","radar","satellite"
"radio","televisi","telendsi","racko","radio","television"
"radius","perimeter","periaster","radino","radius","perimeter"
"ragu","mengira","mengaga","rakt","doubt","suspect"
"rahasia","misteri","micheri","rahanna","secret","mystery"
"raksasa","makhluk","mausluk","rarbasa","monster","creature"
"rambut","jenggot","jengfit","rambin","hair","beard"
"rantai","tali","taum","rapaai","chain","rope"
"rasa","bau","uju","rali","taste","smell"
"rasis","komunis","ikmunis","raous","racist","communist"
"ratu","raja","raou","ranj","queen","king"
"realitas","fantasi","kentasi","reseitas","reality","fantasy"
"refleksi","cermin","karmin","repueksi","reflection","mirror"
"regional","lokal","wakal","regiggal","regional","local"
"relatif","sepupu","secapu","relantf","relative","cousin"
"remaja","remaja","remall","remagi","teenage","teenager"
"rencana","strategi","strasagi","mancana","plan","strategy"
"rendah","tinggi","ganggi","renden","low","high"
"rendah hati","sederhana","sedejiana","rendahtbati","humble","modest"
"reporter","wartawan","wainawan","reharter","reporter","journalist"
"resimen","batalyon","bataiion","rejamen","regiment","battalion"
"retakan","lubang","ribang","rendkan","crack","hole"
"ribu","ratus","rafis","riag","thousand","hundred"
"rintangan","tantangan","tahaangan","nentangan","obstacle","challenge"
"riset","belajar","belanmr","esset","research","study"
"robot","mesin","iksin","rogit","robot","machine"
"rodeo","koboi","kokhi","rolto","rodeo","cowboy"
"rok","gaun","poun","hek","skirt","dress"
"roket","peluru kendali","peluruluendali","rondt","rocket","missile"
"roma","orang yunani","oranroyunani","rore","roman","greek"
"romeo","juliet","julime","rorko","romeo","juliet"
"roti","keju","keho","rove","bread","cheese"
"roti panggang","daging babi asap","danong babi asap","rotihsanggang","toast","bacon"
"rsud","klinik","kllaik","trud","hospital","clinic"
"rubah","kelinci","keliumi","rumuh","fox","rabbit"
"rum","cognac","copiac","scm","rum","cognac"
"rumah","apartemen","enartemen","rurth","house","apartment"
"rute","jalur","jacqr","otte","route","path"
"saat ini","listrik","ekstrik","saattvni","current","electricity"
"sabar","klien","klaun","rubar","patient","client"
"sabtu","minggu","mingrk","sarbu","Saturday","Sunday"
"saksi","kesaksian","kesasaian","sahki","witness","testimony"
"saku","dompet","nympet","arku","pocket","wallet"
"salah","benar","bekir","kelah","wrong","correct"
"saluran","berita","beanta","saasran","channel","news"
"sampah","sampah","sahlah","sasiah","trash","garbage"
"sandera","tawanan","tahinan","sakaera","hostage","prisoner"
"sandwich","roti isi daging","rotiwesi daging","sandbuch","sandwich","hamburger"
"sangat","sama sekali","samajlekali","sangen","absolutely","completely"
"sangat","sangat","sangen","sangen","extremely","very"
"sapi","babi","batr","ippi","cow","pig"
"saraf","otot","otba","sasef","nerve","muscle"
"sarang","telur","teter","sandng","nest","egg"
"satu","tiga","roga","saif","one","three"
"satuan","divisi","dikesi","sankan","unit","division"
"saudari","saudara laki-laki","saudartplakilaki","ndudari","sister","brother"
"saus tomat","mayones","mahnnes","brus tomat","ketchup","mayonnaise"
"saya akan","sakit","sambt","sayacokan","ill","sick"
"sayang","mentega","menttna","sannng","honey","butter"
"sayangnya","kemalangan","kedilangan","sannngnya","unfortunate","misfortune"
"sebenarnya","betulkah","betujrah","seberhrnya","actually","really"
"secara finansial","pembiayaan","pembiarsan","secaradwinansial","financially","financing"
"secara harfiah","praktis","rnaktis","secara haridah","literally","practically"
"secara resmi","resmi","reiii","secara rudmi","officially","official"
"secara sederhana","sederhana","sedejiana","secaravuederhana","simply","simple"
"secara tidak sengaja","dengan sengaja","denganfiengaja","secarayoidak sengaja","accidentally","intentionally"
"sedih","tragis","tragro","seuch","sad","tragic"
"segar","menyegarkan","menyaaarkan","digar","fresh","refresh"
"sehari-hari","mingguan","mingnaan","seririhari","daily","weekly"
"sehat","normal","amrmal","semet","healthy","normal"
"sekarang","tahu","tals","alkarang","now","know"
"sekretaris","asisten","asetten","sekrdiaris","secretary","assistant"
"seksual","fisik","uksik","seelual","sexual","physical"
"sekunder","utama","gkama","sekukner","secondary","primary"
"sel","penjara","peakara","ail","cell","prison"
"selalu","selalu","selany","selany","always","constantly"
"selatan","utara","utkua","sepitan","south","north"
"selebriti","bintang","pontang","seletuiti","celebrity","star"
"selimut","handuk","hariuk","seammut","blanket","towel"
"semak","pohon","ponin","sekok","bush","tree"
"semen","plastik","pluntik","sehan","cement","plastic"
"semesta","galaksi","galatei","seersta","universe","galaxy"
"seminar","kuliah","kuatah","semitur","seminar","lecture"
"sempit","lebar","rubar","sendit","narrow","wide"
"senapan","senjata","senjnga","senatin","rifle","gun"
"sendiri","kesepian","kesecaan","sendapi","alone","lonely"
"sendok","garpu","galhu","sendid","spoon","fork"
"seni","literatur","literakir","sett","art","literature"
"senin","selasa","sepusa","setun","monday","tuesday"
"senior","muda","muli","seonor","senior","junior"
"sensasional","spektakuler","spekolkuler","sensiuional","sensational","spectacular"
"sensor","pemancar","perencar","sensti","sensor","transmitter"
"senyum","tertawa","tertura","senyik","smile","laugh"
"september","oktober","okhaber","seyoember","september","october"
"seri","episode","rmisode","seha","series","episode"
"sersan","letnan","lepean","secuan","sergeant","lieutenant"
"seru","menarik","meserik","luru","exciting","interesting"
"serupa","berbeda","berbica","nurupa","similar","different"
"setengah","perempat","pereveat","sejangah","half","quarter"
"sheriff","walikota","waenkota","everiff","sheriff","mayor"
"sherlock","watson","waikon","shergack","sherlock","watson"
"siap","mempersiapkan","memperasapkan","sird","ready","prepare"
"sihir","penyihir","penyayir","sisnr","magic","wizard"
"sikap","bertindak","bertinack","takap","gesture","act"
"sipil","militer","milipar","siyul","civil","military"
"siput","penyu","peinu","sitrt","snail","turtle"
"situasi","krisis","krisku","siepasi","situation","crisis"
"sofa","tempat tidur","tempat tidel","soaj","sofa","bed"
"sopan","ramah","rarth","sofin","polite","friendly"
"southern","barat","baant","lauthern","southern","western"
"spesial","unik","unch","spanial","special","unique"
"spionase","sabotase","sabotarn","otionase","espionage","sabotage"
"stadion","baseball","bajiball","stadhen","stadium","baseball"
"status","posisi","pomasi","stcaus","status","position"
"stempel","tanda tangan","tandyktangan","stabpel","stamp","signature"
"suami","istri","isnai","ggami","husband","wife"
"suara","aksen","akern","itara","voice","accent"
"sudah","tetap","hitap","suich","already","still"
"sudut","gang","anng","suait","corner","alley"
"sukarelawan","secara sukarela","secaradnukarela","akkarelawan","volunteer","voluntarily"
"sumber","informan","inalrman","nember","source","informant"
"sungai","danau","dajou","sungkr","river","lake"
"sup","salad","saxed","erp","soup","salad"
"superman","batman","barnan","supeilan","superman","batman"
"surat","fax","lix","lerat","mail","fax"
"surga","neraka","riraka","suppa","paradise","hell"
"susu","jus","ols","suud","milk","juice"
"sutra","kapas","kards","sulua","silk","cotton"
"tablet","pil","oll","tablik","tablet","pill"
"takdir","takdir","tateir","tanjir","fate","destiny"
"taksi","limousine","limothine","tajai","taxi","limousine"
"tambahan","tambahan","talaahan","talaahan","extra","additional"
"tameng","baju zirah","bajuneirah","lomeng","shield","armor"
"tanah","terbang","teorang","gunah","land","fly"
"tanaman","bunga","buata","tanantn","plant","flower"
"tanda tangan","juru potret","jurulgotret","tandpltangan","autograph","photographer"
"tangan","lengan","kingan","lingan","hand","arm"
"tanggung jawab","kewajiban","kewaguban","tanggungwuawab","responsibility","duty"
"tangki","mesin","iksin","tangat","tank","engine"
"tas kantor","koper","kornr","tamtkantor","briefcase","suitcase"
"tato","bekas luka","bekaauluka","ngto","tattoo","scar"
"teknis","mekanis","mekadas","teavis","technical","mechanical"
"teknologi","sains","saess","teknolahi","technology","science"
"teks","puisi","pulki","acks","text","poem"
"telanjang","telanjang","telapaang","telaliang","nude","naked"
"telegram","surat","suant","telermam","telegram","letter"
"teleskop","mikroskop","missoskop","teleitop","telescope","microscope"
"teluk","pelabuhan","pelarthan","tetok","bay","harbor"
"tembakan","menembak","mesumbak","tereakan","shot","shoot"
"tembakau","rokok","romak","tembakup","tobacco","cigarette"
"tempat","lokasi","wakasi","teamat","place","location"
"tempat berlindung","penampungan","penandungan","tempatlserlindung","refuge","shelter"
"tempur","bertarung","bertchung","tempda","combat","fight"
"tengah malam","siang","rgang","tengahtcalam","midnight","noon"
"tenggorokan","leher","rther","tenggoelkan","throat","neck"
"tentara","pejuang","peiaang","rintara","soldier","warrior"
"tentu saja","umumnya","ndumnya","tentwosaja","naturally","generally"
"terakhir","terakhir","terakhwa","teratkir","final","ultimate"
"terapi","perlakuan","perlakhin","terato","therapy","treatment"
"terjadi","terjadi","testadi","terjnai","occur","happen"
"terkunci","tertutup","tertuten","tetsunci","locked","closed"
"terlambat","dini","ioni","tetrambat","late","early"
"terlarang","melarang","mehirang","teukarang","forbidden","prohibit"
"terminal","bandara","baikara","terminfo","terminal","airport"
"tiba","datang","motang","jeba","arrive","come"
"tiba-tiba","tiba-tiba","tibatgua","habatiba","suddenly","unexpectedly"
"tidak ada apa-apa","sesuatu","seulatu","tidak adnlapaapa","nothing","something"
"tidak berdaya","pemberian daya","pemberiatgdaya","tidauaberdaya","helpless","powerless"
"tidak berguna","tidak berguna","tidahpberguna","tidaspberguna","useless","worthless"
"tidak bersalah","bersalah","bersisah","tidaynbersalah","innocent","guilty"
"tidak biasa","aneh","ansm","tidaicbiasa","unusual","strange"
"tidak mabuk","mabuk","marnk","tidaeimabuk","sober","drunk"
"tidak nyaman","tidak menyenangkan","tidalcmenyenangkan","tidauanyaman","uncomfortable","unpleasant"
"tidak pernah","pernah","pestah","tidantpernah","never","ever"
"tidur sebentar","berjalan-jalan","bescalanjalan","tiduyasebentar","nap","stroll"
"tiket","paspor","pachor","tistt","ticket","passport"
"tinggal","tetap","hitap","ganggal","stay","remain"
"tipis","tebal","tedel","tibus","thin","thick"
"titik","menunjukkan","menunjkakan","katik","point","indicate"
"toilet","tenggelam","tengmulam","ibilet","toilet","sink"
"toko","toko","touc","touc","shop","store"
"tolong","membantu","mealantu","todeng","help","assist"
"tombol","tekan","ilkan","lumbol","button","press"
"tongkat","palu","paik","dungkat","stick","hammer"
"total","menyelesaikan","menyelajaikan","tokil","total","complete"
"trofi","medali","medana","trtui","trophy","medal"
"tua","muda","muli","gma","old","young"
"tubuh","mayat","masot","tutih","body","corpse"
"tugas","misi","oksi","tusis","task","mission"
"tuhan","bersifat ketuhanan","bersifat ketokanan","pahan","god","divine"
"tujuan","maksud","maksoy","tukaan","purpose","intention"
"tulang","tengkorak","tengcurak","delang","bone","skull"
"tulang belakang","abdominal","abimminal","tulangbrelakang","spinal","abdominal"
"tumor","kanker","kaoter","tutnr","tumor","cancer"
"tuna","lobster","loknter","urna","tuna","lobster"
"tunai","uang","ndng","tuadi","cash","money"
"tunggu","mengharapkan","mengharasman","singgu","wait","expect"
"tuntutan","meminta","memidia","jantutan","demand","request"
"tupai","raccoon","leccoon","sapai","squirrel","raccoon"
"turnamen","cocok","recok","turnamny","tournament","match"
"turun","ke atas","kejotas","tunjn","down","up"
"udara","oksigen","oksimon","ssara","air","oxygen"
"ukuran","panjang","paliang","qiuran","size","length"
"umum","kolonel","kosinel","ndum","general","colonel"
"upacara","upacara","aracara","aracara","ritual","ceremony"
"urusan","partikel","pausikel","urenan","matter","particle"
"uskup","kardinal","kaprinal","etkup","bishop","cardinal"
"vagina","penis","pelas","orgina","vagina","penis"
"virus","infeksi","intoksi","darus","virus","infection"
"wabah","epidemi","epidgsi","albah","plague","epidemic"
"wahyu","penglihatan","penglihanyn","wancu","revelation","vision"
"warisan","mewarisi","mewavasi","wangsan","heritage","inherit"
"washington","boston","vaston","deshington","washington","boston"
"wisata","konser","korner","wigeta","tour","concert"
"wiski","vodka","volea","wilei","whiskey","vodka"
"yang mulia","wanita","wahata","yangaeulia","lord","lady"
"yoga","pijat","pimit","biga","yoga","massage"
"yurisdiksi","otoritas","otkaitas","yurisdmesi","jurisdiction","authority"
"zombie","vampir","gempir","simbie","zombie","vampire"
