ur_cue,ur_target,type,cue_type,target_type,ur_cosine
بیان,چاٹنا,unrelated,word,word,
وفادار,ایٹمی,unrelated,word,word,0.0984068319363562
حقیقت,درخت,unrelated,word,word,0.12372477172922
سست,حکومت,unrelated,word,word,0.148963673516438
میل,موسیقی,unrelated,word,word,0.0928096256854465
نوآبادی,ہم جنس پرست مرد,unrelated,word,word,
دیوار,سازباز,unrelated,word,word,
جشن,قابل,unrelated,word,word,0.125489236903198
چیمپئن شپ,چار,unrelated,word,word,
ناگوار,گرج چمک,unrelated,word,word,
مالی طور پر,معیار,unrelated,word,word,
تحقیق کرنا,مکھن,unrelated,word,word,
ڈی این اے,اسکینڈل,unrelated,word,word,
شارک,پاس ورڈ,unrelated,word,word,
شکار,ڈھیرہوجانا,unrelated,word,word,
پودا,اقرار نامہ,unrelated,word,word,
طاقت,کافی,unrelated,word,word,0.121739037690779
انگریزی,کمی,unrelated,word,word,0.14757324276322
جمع کرنا,خاموشی,unrelated,word,word,
قدرتی طور پر,ایک ارب,unrelated,word,word,
نرم,فاتح,unrelated,word,word,0.106806311813461
لڑکے,مانیٹر,unrelated,word,word,0.147950549923072
قومی,نقل,unrelated,word,word,0.133458508621789
داخل ہونا,گردن,unrelated,word,word,
کلو,قلبی,unrelated,word,word,0.0987632281155472
رومن,مناسب,unrelated,word,word,0.108814218600629
معصوم,اظہار,unrelated,word,word,0.127997618486936
رائفل,خط,unrelated,word,word,0.104733294273875
چھڑی,ملاقات کرنا,unrelated,word,word,
مطمئن,ٹائمر,unrelated,word,word,
مرکزی اڈہ,برقی,unrelated,word,word,
نیچا,اعتراف,unrelated,word,word,0.0943939765633123
شان وشوکت,انگوٹھا,unrelated,word,word,
روڈ,عمل,unrelated,word,word,0.0880273224589204
دراڑ,نفسیات,unrelated,word,word,0.128492859583577
کرسمس,اسلحہ خانہ,unrelated,word,word,
مہذب,آلہ,unrelated,word,word,0.120269132959938
ہولناک,رہنما,unrelated,word,word,0.148598009514742
بڑا,نجات دہندہ,unrelated,word,word,
کاربن,پناہ لینا,unrelated,word,word,
پوائنٹ,رحم,unrelated,word,word,0.0467266164074963
ورثہ,جولائی,unrelated,word,word,0.0991510002570793
خوراک,دستاویز,unrelated,word,word,0.137919764699226
امتحان,داڑھی,unrelated,word,word,0.0871030257871068
اوزار,نشے میں مدہوش,unrelated,word,word,
سنسنی خیز,براہ راست,unrelated,word,word,
ذاتی,پیاس,unrelated,word,word,0.125239186893754
جبلت,اسکول,unrelated,word,word,0.127753823238964
مالی معاملات,مشتبہ,unrelated,word,word,
جانچ پڑتال,جی ہاں,unrelated,word,word,
غیر معقول,عذرداری,unrelated,word,word,
ڈائمنڈ,عجیب,unrelated,word,word,0.104798176243143
چال,اشارہ,unrelated,word,word,0.146768536944627
رپورٹر,تیرنا,unrelated,word,word,0.125804003235554
مسرت,مقامی,unrelated,word,word,0.0875118695934328
عدالت,متبادل,unrelated,word,word,0.138992140032479
رومیو,مواد,unrelated,word,word,0.147267686279921
چڑھنا,رقم کی فراھمی,unrelated,word,word,
انتقام,سوتی,unrelated,word,word,0.127519527726109
زہردینا,بیان,unrelated,word,word,
ملکہ,سوڈا,unrelated,word,word,0.148768178466528
شاھانہ,قیمت,unrelated,word,word,
تسلیم کرنا,بالاآخر,unrelated,word,word,
تجربہ,رسی وغیرہ سے باندھنا,unrelated,word,word,
دریا,دھول,unrelated,word,word,0.121115245261626
کرایہ دار,چوتڑ,unrelated,word,word,
پہلا,ناراض کرنا,unrelated,word,word,
سیمینار,گوشت,unrelated,word,word,0.0877599441541532
فرضی داستان,نمائش,unrelated,word,word,
اجازت دینا,جہنم,unrelated,word,word,
امکان,تیار,unrelated,word,word,0.144637793540807
ٹیکسی,انکسارپسند,unrelated,word,word,
ڈریگن,عدم موجودگی,unrelated,word,word,
مینڈک,بیڈروم,unrelated,word,word,
بام مچھلی,درجہ حرارت,unrelated,word,word,
اکیلا,سیال,unrelated,word,word,0.107216015742314
مختصر,مساج,unrelated,word,word,0.111007091612663
نفرت,کامیاب ہونا,unrelated,word,word,
ہلکا پھلکا کھانا,نمونہ,unrelated,word,word,
روبوٹ,عام طور پر,unrelated,word,word,
پلے بوائے,علاقہ,unrelated,word,word,
آیا,اہمیت,unrelated,word,word,0.136415013839234
کمپاس,حمل,unrelated,word,word,
یوگا,سرنگ,unrelated,word,word,0.09613026417048
شیرف,منصوبہ بندی,unrelated,word,word,
سور کا گوشت,روانگی,unrelated,word,word,
ٹرافی,بھگا کرلے جانا,unrelated,word,word,
انسانی ہنرکا نمونہ,ابلنا,unrelated,word,word,
کانفرنس,حملہ آور,unrelated,word,word,
لوہا,خود غرض,unrelated,word,word,
کلومیٹر,وقار,unrelated,word,word,0.0785137202486219
شہری,بھتیجا,unrelated,word,word,0.117270785645967
عکس,پیچھا کرنا,unrelated,word,word,
غلطی,پنیر,unrelated,word,word,0.0895268304767082
مجموعہ,صحت یاب ہونا,unrelated,word,word,
نقدی,مقدر,unrelated,word,word,0.116980670301484
سکرین,پہلے,unrelated,word,word,0.143148190784724
کل,والدین,unrelated,word,word,0.0906501720417062
اسپرین,مدار,unrelated,word,word,
پہاڑی,ری ایکٹر,unrelated,word,word,
باپ,پیداوار,unrelated,word,word,0.0968128168560866
اعصاب,سلور,unrelated,word,word,0.0844532939757517
کتب خانہ,سستا,unrelated,word,word,
ارتقاء,کزن,unrelated,word,word,0.0151114285361965
ملک,تفصیل,unrelated,word,word,0.123987246541174
حلق,کپتان,unrelated,word,word,0.14213402231598
ضروری,تھیلا,unrelated,word,word,0.0870353027810316
فکر مند,اونچائی,unrelated,word,word,
آدھی رات,بھیجنا,unrelated,word,word,
تندرست,معافی چاھنا,unrelated,word,word,
جوہری,وادی,unrelated,word,word,0.094741673288937
صاف طورپر,اداکار,unrelated,word,word,
ستمبر,نقطہ نظر,unrelated,word,word,
سرکاری طور پر,ہواداری,unrelated,word,word,
کوئلہ,رفعت، بلندی,unrelated,word,word,
انتظام کرنا,پروگرام,unrelated,word,word,
جائیداد,آسمانی,unrelated,word,word,0.131834571954809
مصیبت,انجن,unrelated,word,word,0.134214055505755
آرٹسٹ,ضرب لگانا,unrelated,word,word,
اندام نہانی,تقسیم,unrelated,word,word,
نصف قطر,توقع,unrelated,word,word,
مرحلہ,چھوٹا,unrelated,word,word,0.127350538589267
آٹوگراف,فاعل,unrelated,word,word,
ڈکشنری,بیمار,unrelated,word,word,0.0524884531641977
جنسی,پیش آنا,unrelated,word,word,
حصہ,ناراض ہونا,unrelated,word,word,
گائے,ادب,unrelated,word,word,0.0839990877405108
خلاباز,آنا,unrelated,word,word,0.140299684903342
تیاری,جیل,unrelated,word,word,0.104624690506997
پالیسی,ہیمبرگر,unrelated,word,word,0.128070668922796
صحافت,بستر,unrelated,word,word,0.0893028310308021
حقیقی معنی میں,جاسوس,unrelated,word,word,
وزیراعظم,تکنیک,unrelated,word,word,0.134176239732027
بٹن,بیماری,unrelated,word,word,0.0809286625490108
سیکنڈری,انعام,unrelated,word,word,0.142447937602414
شہزادی,اکھثا کرنا,unrelated,word,word,
کوٹھری,روکنا,unrelated,word,word,0.0856597535550644
نجی,چوہا,unrelated,word,word,0.0806656928640313
مصیبت,سینیٹر,unrelated,word,word,0.111346875801061
فیکٹری,صبح,unrelated,word,word,0.122720410304428
شوقین,پچھلا,unrelated,word,word,0.0787736926470739
روکنا,انجام,unrelated,word,word,0.121681601878905
گارنٹی,ہیڈکوارٹر,unrelated,word,word,0.12582954835683
اصول,نواب کی بیوی,unrelated,word,word,
طبی,ٹوپی,unrelated,word,word,0.140867556297193
داخل کرنا,مردہ,unrelated,word,word,
مقدار,جانا,unrelated,word,word,0.12602968153793
نصف,مقابلہ کرنا,unrelated,word,word,
آلودگی,سرمایہ کار,unrelated,word,word,
غصہ,کرایہ پردینا,unrelated,word,word,
کبھی کبھار,ٹکڑا,unrelated,word,word,
رجائیت پسند,محیط,unrelated,word,word,
اضافہ,تنگ گلی,unrelated,word,word,
تازه,بچانا,unrelated,word,word,0.124211553363735
قیام کرنا,فوٹو,unrelated,word,word,
کرایہ پر لینا,ختم,unrelated,word,word,
جواب دینا,خانقاہ,unrelated,word,word,
کیرئیر,تالہ,unrelated,word,word,0.0801963823080329
مطالبہ,شیر,unrelated,word,word,0.145257797223772
غریب,معائنہ,unrelated,word,word,0.086817431917197
چوری کرنا,سو,unrelated,word,word,
چوری,کہیں نہ کہیں,unrelated,word,word,
موڑنا,گشت کرنا,unrelated,word,word,
سیکورٹی,سادہ,unrelated,word,word,0.115773641441288
لنگر,امریکہ,unrelated,word,word,0.023489695031658
سمندری ڈاکو,پروٹوکول,unrelated,word,word,
پینشن,کنفرم,unrelated,word,word,
نیلامی,نظریہ,unrelated,word,word,0.111008958396441
رڈار,دوپہر کا کھانا,unrelated,word,word,
ہیرو,بند,unrelated,word,word,0.074854064885465
گودنےکا نشان,تفریق,unrelated,word,word,
کیلنڈر,شہزادہ,unrelated,word,word,0.133749441340937
کلاس,تابکاری,unrelated,word,word,0.129278351983001
عقلمند,ماضی,unrelated,word,word,0.124514484675829
محفوظ,الزام,unrelated,word,word,0.146960082525405
خریدنا,میٹنگ,unrelated,word,word,0.0782311411930759
پارلیمان,جما ہوا,unrelated,word,word,
پناہ گاہ,ٹیلی ویژن,unrelated,word,word,
نشانہ لگانا,جلدی جلدی,unrelated,word,word,
مہر,کلینک,unrelated,word,word,0.146779471366661
گولڈن,رہنا,unrelated,word,word,0.0906580827999148
سادگی سے,پکڑنا,unrelated,word,word,
قطرہ,استاد,unrelated,word,word,0.100069350004216
کھڑا ھونا,سرمایہ لگانا,unrelated,word,word,
کیڑا,شادی,unrelated,word,word,0.0994094256848934
بارش,وفاق,unrelated,word,word,0.115665057769282
لیموں پانی,دھیما,unrelated,word,word,
قمری,ریکون,unrelated,word,word,0.146700666148494
کچھ نہیں,لیموزین کار,unrelated,word,word,
کسی اورجگہ,مجرم,unrelated,word,word,
بیٹی,بہت بڑا,unrelated,word,word,
شور,شیف,unrelated,word,word,0.114077457065765
لازانیہ,پگڈنڈی,unrelated,word,word,
بات کرنا,ویمپائر,unrelated,word,word,
مشاق,ووڈکا,unrelated,word,word,
فاصلہ,پریس,unrelated,word,word,0.125368164038139
شوق,ذھنی,unrelated,word,word,
مشہور شخصیت,اٹلانٹک,unrelated,word,word,
وفاقی,چارہ,unrelated,word,word,0.119103581632203
پلیٹ فارم,غیر ذمہ دار,unrelated,word,word,
پہلے سے,ٹماٹر,unrelated,word,word,
چٹان,نظم,unrelated,word,word,0.108638315002476
بازرکھنا,نارنجی,unrelated,word,word,
دوکان,ریاضی,unrelated,word,word,0.133070548955969
کیلا,طیش,unrelated,word,word,0.143499501721125
سڑک,سرمایہ داری,unrelated,word,word,
قیلولہ کرنا,تخریب کاری,unrelated,word,word,
ثابت قدمی سے,جذباتی,unrelated,word,word,
پاگل پن,بندرگاہ,unrelated,word,word,
تبدیل کرنا,عضو تناسل,unrelated,word,word,
کافی مقدارمیں,قوم,unrelated,word,word,
تجویزدینا,گرام,unrelated,word,word,
آپریشن,گلی,unrelated,word,word,0.145214755798569
ڈوبنا,جادوگر,unrelated,word,word,
طریقہ,میگزین,unrelated,word,word,0.127742971751599
کال,بیرونی,unrelated,word,word,0.0696895272519173
گرمی,کارپوریشن,unrelated,word,word,0.100277405323369
تاج,ہفتہ وار,unrelated,word,word,
آسمانی بجلی,مہیا کرنا,unrelated,word,word,
نام,فعلی,unrelated,word,word,0.112928782746978
کمبل,انصاف,unrelated,word,word,0.0465573508161123
جاسوس,دوپہر,unrelated,word,word,0.0833687006657026
نقل مکانی,سگار,unrelated,word,word,
جھاڑی,پرکھ,unrelated,word,word,0.149889719156141
سماعت,قالین,unrelated,word,word,0.085013330395831
دگنا,منفرد,unrelated,word,word,0.085476201476007
سوموار,غلط,unrelated,word,word,0.107144451696313
چکن,مشورہ,unrelated,word,word,0.113673269618824
گھونگا,حملہ,unrelated,word,word,
حتمی,قابلیت,unrelated,word,word,0.126643403784564
اچانک,بوسٹن,unrelated,word,word,0.0791459838197186
بیج,جانتا تھا,unrelated,word,word,
گمنام,کینسر,unrelated,word,word,0.139882584557139
غیر آرام دہ,جنگجو,unrelated,word,word,
خون,ٹین ایج,unrelated,word,word,
معمولی،عام,دستخط,unrelated,word,word,
صحرا,سرمایہ کاری,unrelated,word,word,
زومبی,حال ہی میں,unrelated,word,word,
ثرالا,سعی کرنا,unrelated,word,word,
دار چینی,بٹالین,unrelated,word,word,
دریچہ,ترتیب دینا,unrelated,word,word,
وھسکی,چھلانگ,unrelated,word,word,
جیب,خلائی مخلوق,unrelated,word,word,
فوجی,چستی سے,unrelated,word,word,
صاف کرنا,عضو کی ایستادگی,unrelated,word,word,
شرلاک,لڑائی,unrelated,word,word,0.125391813946386
مضبوط,سطح,unrelated,word,word,0.145070912987945
پستول,بین الاقوامی,unrelated,word,word,
تنگ,ہمیشہ کے لئے,unrelated,word,word,
حاصل کرنا,پرواز,unrelated,word,word,
کیبل,بوکھلاہٹ,unrelated,word,word,
لعنت,جہازکا سامان,unrelated,word,word,
بیوہ,ویگن,unrelated,word,word,0.120044152907843
بیکار,گروہ,unrelated,word,word,0.132523535983887
مستحق,ماہر,unrelated,word,word,0.0843758474775199
پڑھیں,دفتر,unrelated,word,word,0.119053586013521
شاعر,سوراخ,unrelated,word,word,0.149506535563664
ٹھیک ہے,اکثر,unrelated,word,word,
سرخ,ڈائریکٹر,unrelated,word,word,0.0758141333963789
چھوڑ دینا,پوشاک,unrelated,word,word,
ریڑھ,متاثر کرنا,unrelated,word,word,
اغوا کرنا,خطاء,unrelated,word,word,
موجودگی,سپیگیٹی,unrelated,word,word,
مصنف,ڈالر,unrelated,word,word,0.0627268017634717
ٹرمینل,دینا,unrelated,word,word,0.132619321658519
محرک,پھول,unrelated,word,word,0.126904227236393
اڑن طشتری,سنک,unrelated,word,word,
متاثر کن,قتل,unrelated,word,word,
پوسٹ مارٹم,مضبوطی سے,unrelated,word,word,
بارود خانہ,گریجویٹ,unrelated,word,word,
قدرتی,گروپ,unrelated,word,word,0.144070479900785
سیکرٹری,مصنوعی,unrelated,word,word,0.100531760111493
مظلوم,قابل اعتماد,unrelated,word,word,
رائے,لاش,unrelated,word,word,0.12066192964607
دائرہ کار,پیاز,unrelated,word,word,
پھندہ,لوگ,unrelated,word,word,
اسٹیڈیم,توڑنا,unrelated,word,word,0.0272412832912487
پیارا,خوردبین,unrelated,word,word,0.147438615865539
کیمیائی,پیٹ,unrelated,word,word,0.142515704873305
سالانہ تقریب,دھماکہ خیز مواد,unrelated,word,word,
بائبل,جھینگا مچھلی,unrelated,word,word,
گلاس,بیوقوف,unrelated,word,word,0.143190217517742
مینار,قبول کرنا,unrelated,word,word,
بندوق کی نالی کا قطر,قیام گاہ,unrelated,word,word,
سیاسی افراتفری,طاق,unrelated,word,word,
محل,ویڈیو,unrelated,word,word,0.0668157203994331
جھپٹنا,سائنس,unrelated,word,word,
چرچ,انعام,unrelated,word,word,0.146292165602191
پر کشش,دادی,unrelated,word,word,
نگلنا,کل,unrelated,word,word,
جوانی,شریان,unrelated,word,word,0.123534475428466
عمومی درجے کا,تین,unrelated,word,word,
کھولنا,بت,unrelated,word,word,0.118897325880712
ساحل,مشینی,unrelated,word,word,0.0904616036564309
گرنا,موسیقار,unrelated,word,word,0.132276533662895
انسپکٹر,بند وق,unrelated,word,word,
تفریحی دورہ,مخلوق,unrelated,word,word,
گرم,عمارت,unrelated,word,word,0.10219560010288
ریشمی,گوالا,unrelated,word,word,
رشتہ دار,درد,unrelated,word,word,
خوف میں مبتلا,نوکرانی,unrelated,word,word,
چور,وفاداری,unrelated,word,word,0.133990058363044
پھاڑنا,ٹرک,unrelated,word,word,
خوش طبع,آمدنی,unrelated,word,word,
چچا,نگرانی کرنا,unrelated,word,word,
سایہ,مطالعہ,unrelated,word,word,0.14745757408591
غروب آفتاب,شکریہ,unrelated,word,word,
زندہ,سینٹی میٹر,unrelated,word,word,
مزیدار,فنگر پرنٹ,unrelated,word,word,
سڑیس,بلی,unrelated,word,word,
تخلیق,دفاع,unrelated,word,word,0.0747842312243521
فرشتہ,بیس بال,unrelated,word,word,
فخر,ٹرکی، فیل مرغ,unrelated,word,word,
فلو,انتخابات,unrelated,word,word,0.126144114831621
فائل,غیر متوقع طور پر,unrelated,word,word,
دیر,بھیڑیا,unrelated,word,word,0.113722086226749
بھاگ جانا,طویل,unrelated,word,word,
مظہرقدرت,مرجانا,unrelated,word,word,
پھٹ,اسرار,unrelated,word,word,0.0908381082915225
زلزلہ,قابل نفرت,unrelated,word,word,
اندرونی,رس,unrelated,word,word,0.0700772788326664
کامیابی,سٹیشن,unrelated,word,word,0.125808118813215
قبیلہ,ویب,unrelated,word,word,0.127269654656613
حیرت انگیز,ائیرپورٹ,unrelated,word,word,
جان لیوا,مذ ھب,unrelated,word,word,
کھانسی,معلومات,unrelated,word,word,0.127856214007729
آخر,گمشد گی,unrelated,word,word,
لینڈنگ,کوڑا کرکٹ,unrelated,word,word,
بادل,رقم,unrelated,word,word,0.072138495374226
شائستہ,فرارہونا,unrelated,word,word,
خالی,ٹینس,unrelated,word,word,0.121987764823913
کام سے متعلق,خوبصورت,unrelated,word,word,
کائنات,سیٹی,unrelated,word,word,0.115302383219122
ورکشاپ,گال,unrelated,word,word,0.0628699018307357
شا ندار دروازہ,رضاکارانہ,unrelated,word,word,
تعریف,دروازہ,unrelated,word,word,0.101248298065448
پیش کرنا,حادثہ,unrelated,word,word,
عظیم الشان,صحیح,unrelated,word,word,
دادا,وینیلا,unrelated,word,word,
مبارک دینا,جانور,unrelated,word,word,
پیانو,کارٹیل,unrelated,word,word,
واقع ہونا,باپ,unrelated,word,word,
مضبوط,متلی,unrelated,word,word,0.111673754830101
توازن,سوداگر,unrelated,word,word,0.141539346090987
شفا پانا,دیومالا,unrelated,word,word,
وزن,ہیلی کاپٹر,unrelated,word,word,
ایمبولینس,اسٹرابیری,unrelated,word,word,
استحقاق,طوفان,unrelated,word,word,0.138826622928403
چومنا,دھوکہ,unrelated,word,word,
نادان,سٹور,unrelated,word,word,0.105506092338219
قابل قدر,فضا,unrelated,word,word,
جرمانہ,مشرق,unrelated,word,word,0.111443673533302
شخص,دھند,unrelated,word,word,0.142635097743466
رپورٹ,ٹوپی,unrelated,word,word,0.0860588706317424
ذریعہ,سوچنا,unrelated,word,word,0.116947921473
باہر,سازوسامان مہیا کرنا,unrelated,word,word,
مقصد,موسم سرما,unrelated,word,word,
حادثاتی طورپر,واپسی,unrelated,word,word,
تجزیہ کار,حرکت میں لانا,unrelated,word,word,
سینئر,حقیقی,unrelated,word,word,0.0900831825741491
پکڑنا,داد دینا,unrelated,word,word,
غیر قانونی,جوان,unrelated,word,word,
ٹیلیگرام,منتحب کرنا,unrelated,word,word,
قدامت پسند,کھلونا,unrelated,word,word,
ایک قسم کا درخت,گھٹنے,unrelated,word,word,
حفاظت,میئر,unrelated,word,word,0.0556159172888556
قابو کرنا,مد‏عی,unrelated,word,word,
اشتہارات,غدار,unrelated,word,word,0.140238172102068
کم سے کم,سیاستدان,unrelated,word,word,
کیچپ,پارٹی,unrelated,word,word,
دوربین,کاٹنا,unrelated,word,word,0.124585446215311
سفیر,کیڑا,unrelated,word,word,0.133183012510626
سفارتخانہ,ہم آہنگی,unrelated,word,word,
مندر,باکمال آدمی,unrelated,word,word,
فحش,دوست,unrelated,word,word,0.118884217981951
مارنے والا,ضلع,unrelated,word,word,
سمندری,قلم,unrelated,word,word,0.0895950219082693
انگوٹھی,تکبر,unrelated,word,word,0.137672376768691
پوتا,بس,unrelated,word,word,0.110081832082708
چینل,چہل قدمی کرنا,unrelated,word,word,
منہ,برطرفی,unrelated,word,word,0.148958745279508
سبز,وقار,unrelated,word,word,0.121197421464036
کمانڈ,پرندہ,unrelated,word,word,0.0587723759142143
نتیجہ,چولہا,unrelated,word,word,
سیکشن,جنگجو,unrelated,word,word,0.136802537354991
ٹکٹ,چھپانا,unrelated,word,word,0.0382156475018762
کوڈ,گولی مارنا,unrelated,word,word,
مستقبل,چبانا,unrelated,word,word,
راسته,تمغہ,unrelated,word,word,
خستہ حال,بحث,unrelated,word,word,
حفاظت کرنا,خوفناک,unrelated,word,word,
سرخی,توجہ مرکوز کرنا,unrelated,word,word,
وضاحت,شان وشوکت,unrelated,word,word,
کوچ,حسب ضرورت,unrelated,word,word,
بحرانی,باس,unrelated,word,word,0.013084972984743
موقع,ڑائنامائیٹ,unrelated,word,word,
راھب,نفیس,unrelated,word,word,
شاید,بے بس,unrelated,word,word,
برانڈ,فراخ دل,unrelated,word,word,
ڈین,دولت,unrelated,word,word,0.121924644474815
وکیل,رقص,unrelated,word,word,0.100787673459968
قابل بنانا,بڑھاچڑھا کے بتانا,unrelated,word,word,
لومڑی,مرمت کرنا,unrelated,word,word,
جنریٹر,پھانسی دینا,unrelated,word,word,
ابھی ابھی,مدد,unrelated,word,word,
فلسفہ,شادی شدہ,unrelated,word,word,
بھول جانا,سرنج,unrelated,word,word,
ختم کرنا,کارکن,unrelated,word,word,
اضافی انعام,اتوار,unrelated,word,word,
سوپ,داخلہ,unrelated,word,word,0.0426280956046379
چھڑانا,سنائپر,unrelated,word,word,
لفظ,کشف,unrelated,word,word,0.11457052344128
تقریر,بھرا ہوا,unrelated,word,word,
خاموش,ماہی گیری,unrelated,word,word,
ہڈی,کے بارے میں,unrelated,word,word,
آرام,بیٹ مین,unrelated,word,word,
ہوا,عام طور پر,unrelated,word,word,
انوکھا,قتل کرنا,unrelated,word,word,
مارنا,مفروضہ,unrelated,word,word,0.0383583905058416
سادہ لوح,گھونٹ,unrelated,word,word,
انتظام کرنا,چھاتی,unrelated,word,word,
بریف کیس,قابلیت,unrelated,word,word,
چاند,سسٹم,unrelated,word,word,0.141217602675177
پرت,مزاحم نہ ہونا,unrelated,word,word,
شک کرنا,چوتھائی,unrelated,word,word,
پرچم,اجرتی قاتل,unrelated,word,word,
سوئی,تخلیقی صلاحیت,unrelated,word,word,
سیکھنا,کنیت,unrelated,word,word,0.0995702098220173
طالب علم,تعریف,unrelated,word,word,
کہہ دو,گٹار,unrelated,word,word,
شکر گزار,پیراگراف,unrelated,word,word,
یہاں,گھنٹی بجانا,unrelated,word,word,
پتلا,پادری,unrelated,word,word,0.0727047148600509
باندھنا,حسب معمول,unrelated,word,word,
ڈیٹونیٹر,سنسنی پیدا کرنے والا,unrelated,word,word,
جلد,خریدار,unrelated,word,word,0.125109627518327
آلو,مجرم,unrelated,word,word,0.144473474531052
طوفانی آندھی,پریشان,unrelated,word,word,
پل,جان بوجھ کر,unrelated,word,word,
نالائقی,میزائل,unrelated,word,word,
خصوصی,اعتماد,unrelated,word,word,0.103691870747421
نیچے,تفریح,unrelated,word,word,0.133898511247905
حسب معمول,خواب,unrelated,word,word,
چیک کرنا,نیچے,unrelated,word,word,
پروٹین,دفن,unrelated,word,word,0.10086969083575
رضاکار,کھیل,unrelated,word,word,0.127314444232449
دوڑنا,تہوار,unrelated,word,word,0.11655489180436
دیکھنا,عین ممکن,unrelated,word,word,
کسان,بلیک میل,unrelated,word,word,
پڑھنا,شاندار,unrelated,word,word,0.130657909222744
بوڑھا,جنگ کا میدان,unrelated,word,word,
رقبہ,بچہ,unrelated,word,word,0.110307813598815
محرک ہونا,اختیار,unrelated,word,word,
دیکھ بھال,غالبا,unrelated,word,word,
معاہدہ,پوچھنا,unrelated,word,word,0.0567642515401664
تعریف کرنا,ٹیلی فون,unrelated,word,word,
سزا,دوڑ,unrelated,word,word,0.149397518856074
جام نوش کرنا,آرمی,unrelated,word,word,
کیمسٹری,درخواست,unrelated,word,word,0.0679476071722203
مینیجر,آزاد,unrelated,word,word,0.0908526027144872
میٹھا,مالک,unrelated,word,word,0.130838441088349
کتا,بندش,unrelated,word,word,0.101990172990742
جنرل,زیادہ سے زیادہ,unrelated,word,word,
جسم,مالیاتی,unrelated,word,word,0.105544147251894
میلہ مویشیاں,بہتری,unrelated,word,word,
گناہ,سالگرہ,unrelated,word,word,0.103785456061694
نومبر,مرکب,unrelated,word,word,0.134150262031104
نمک حلالی,فلم,unrelated,word,word,
تعجب,زخم کا نشان,unrelated,word,word,
برطانوی ضلع,ہار,unrelated,word,word,
فوری طور پر,یاد رکھنا,unrelated,word,word,
ہیجان شہوت,ٹھنڈا,unrelated,word,word,
کبھی نہیں,گرفتاری,unrelated,word,word,
بم,مشہور,unrelated,word,word,0.0893433997442505
بینکاری,بڑا تمغہ,unrelated,word,word,
فارسٹ,چوٹ,unrelated,word,word,0.14874815132896
بذلہ سنج,فوج,unrelated,word,word,
کور کرنا,پاگل,unrelated,word,word,
چاپلوسی کرنا,رقم,unrelated,word,word,
تبدیلی,چوتھا,unrelated,word,word,0.0762568160538084
تحریک دینا,رفتار,unrelated,word,word,
چوسنا,سیٹلائٹ,unrelated,word,word,0.0641907744496242
آرٹ,رکھنا,unrelated,word,word,0.0962881777005295
چابی,تباہی,unrelated,word,word,0.0827291055817302
بخشش,دوا کی گولی,unrelated,word,word,
سیکنڈ,روایتی,unrelated,word,word,0.135450777092006
راکٹ,بیوی,unrelated,word,word,0.127636300794701
خودکشی,سگنل,unrelated,word,word,0.138361488250698
مثبت,کہکشاں,unrelated,word,word,0.0955391898138002
قسم کھانا,چٹنی,unrelated,word,word,
توہین,اندر,unrelated,word,word,0.0875025925279026
سیارا,بولنا,unrelated,word,word,
فوق الفطرت,لیکچر,unrelated,word,word,
استقبال,دلکش,unrelated,word,word,0.129326376371546
کاغذ,خطرہ,unrelated,word,word,0.103133150032438
نمائش,جھازراں,unrelated,word,word,
جوا,دسمبر,unrelated,word,word,0.125762889559199
کیپسول,حقیقت پسندانہ,unrelated,word,word,
عمل,کچھوا,unrelated,word,word,0.144349818399813
اغوا,برف,unrelated,word,word,0.110901213875604
سچ,ایڈریس,unrelated,word,word,0.102156868835363
دراصل,مستحکم,unrelated,word,word,0.12815665205283
درست کرنا,عجائب گھر,unrelated,word,word,
مزاحمت کرنا,حیرت انگیز,unrelated,word,word,
گپ شپ,قیدی,unrelated,word,word,
ضدی,روم,unrelated,word,word,0.0659162605312974
نازک,معمار,unrelated,word,word,0.0959580964032401
تبصرہ,بھائی,unrelated,word,word,0.135435083183563
ٹین ایجر,بہت پرجوش,unrelated,word,word,
خیال,آئینہ,unrelated,word,word,0.143699722841907
انگلی,گیراج,unrelated,word,word,
درخواست دیں,قبرستان,unrelated,word,word,
تریاق,اکتوبر,unrelated,word,word,0.12357376662972
ہارا ہوا,سینیٹ,unrelated,word,word,
آرزو,چھٹی,unrelated,word,word,0.0425847416958568
جادو,بٹوہ,unrelated,word,word,
بین اقوامی,تنہا,unrelated,word,word,
افریقی,آکسیجن,unrelated,word,word,0.134055544974722
حسد کرنا,خطبہ,unrelated,word,word,
چڑھائی,خوفزدہ کرنا,unrelated,word,word,
واشنگٹن,حیاتیاتی,unrelated,word,word,0.0932958178610705
ٹرین,مثلث,unrelated,word,word,0.111538325796107
چراغ,ووٹ,unrelated,word,word,0.0450341269186993
وائن,اندھیرا,unrelated,word,word,0.0924033703237671
بے رحم,زرہ بکتر,unrelated,word,word,
موت,مسئلہ,unrelated,word,word,0.121757620131614
بنانا,خادم,unrelated,word,word,0.0273629312450058
گھوںسلا,آخری,unrelated,word,word,
طاقت,بخار,unrelated,word,word,0.123435101706696
قریب,شیمپین,unrelated,word,word,0.094547281585659
بحریہ,تولیہ,unrelated,word,word,0.0828462051290761
پگھلا ہوا,باڑ,unrelated,word,word,
ساتھی,بظاہرمعقول,unrelated,word,word,
کندھے,خوبصورتی,unrelated,word,word,0.116985666043712
مالکن,ذرہ,unrelated,word,word,0.142867539449197
