"ur_cue","ur_target","type","cue_type","target_type","ur_cosine"
"رشوت","مایوسی","unrelated","word","word",0.203478822339005
"براؤن","قانونی","unrelated","word","word",0.145405290138284
"بند","دیکھو","unrelated","word","word",0.142962999430384
"کھولیں","ہفتے","unrelated","word","word",0.148144808966678
"بے","فورس","unrelated","word","word",0.166860578789991
"کھولنے","قبرستان","unrelated","word","word",0.0773906482468512
"بہن","دادی","unrelated","word","word",0.391998794624125
"بگ","قسط","unrelated","word","word",0.141807238117251
"بھاری","دوا","unrelated","word","word",0.181789413842211
"پوتے","مزیدار","unrelated","word","word",0.162007997698522
"تھکا ہوا","ہتھیار","unrelated","word","word",NA
"لانے","بچت","unrelated","word","word",0.199130423684499
"ریچھ","شام","unrelated","word","word",0.0955848439149816
"نوبل","مطالعہ","unrelated","word","word",0.15302555501156
"انتہائی","کنیت","unrelated","word","word",0.148931718447222
"فخر","دباؤ","unrelated","word","word",0.148790052962957
"تبدیل","انعام","unrelated","word","word",0.118606315362701
"اندھے","پاگل","unrelated","word","word",0.33559587060571
"ذائقہ","منٹ","unrelated","word","word",0.150274884972431
"شیشے","استاد","unrelated","word","word",0.107477000942543
"واشنگٹن","پتھر","unrelated","word","word",0.0734999027929888
"بات چیت","انفارمیشن","unrelated","word","word",NA
"پینے","جاسوس","unrelated","word","word",0.0706779513060071
"تبصرہ","گولی","unrelated","word","word",0.0847223400883266
"سپرمین","ارب","unrelated","word","word",NA
"بیٹی","والدین","unrelated","word","word",0.322401072209153
"اسٹینڈ","چھوڑ دو","unrelated","word","word",NA
"کمرہ","وہی","unrelated","word","word",0.197769352749207
"اندرونی","بہت پرجوش","unrelated","word","word",NA
"بحریہ","عمومی","unrelated","word","word",0.0761737144483108
"اسٹیڈیم","انجن","unrelated","word","word",0.106287982020927
"بیکار","برعکس","unrelated","word","word",0.149229257950378
"ٹوسٹ","روب","unrelated","word","word",NA
"ڈبہ","بینڈ","unrelated","word","word",0.192512334577238
"بیمار","اینٹی","unrelated","word","word",0.112079859165913
"فلو","غیر متوقع طور پر","unrelated","word","word",NA
"آرکسٹرا","بیمار","unrelated","word","word",0.175838558417459
"بولی","ڈکیتی","unrelated","word","word",0.178867014507378
"بیوقوف","درست","unrelated","word","word",0.194530837503989
"پاگل پن","فاتح","unrelated","word","word",NA
"شوہر","قابل","unrelated","word","word",0.129477358946558
"شفقت","حیرت انگیز","unrelated","word","word",NA
"خلائی مسافر","بچپن","unrelated","word","word",NA
"منک","تعمیر","unrelated","word","word",0.058414734708582
"استقبال","ٹرانسمیٹر","unrelated","word","word",0.136964150149911
"کوڈ","غلط","unrelated","word","word",0.170266749028815
"ٹکٹ","ہائیڈروجن","unrelated","word","word",0.202045822516509
"پاگل","مسلسل","unrelated","word","word",0.206088829435265
"پتھر","خوشبو","unrelated","word","word",0.175585085117816
"اعصابی","نظریہ","unrelated","word","word",0.183287940161337
"سیکنڈری","پروفیشنل","unrelated","word","word",0.358310363438246
"نجی","جان بوجھ کر","unrelated","word","word",NA
"خاموش","شادی شدہ","unrelated","word","word",NA
"تجربہ","ماہر","unrelated","word","word",0.193118134113833
"تیتلی","کینو","unrelated","word","word",NA
"راجکماری","خط","unrelated","word","word",0.120427610632873
"زمین","جمع","unrelated","word","word",0.154251059345111
"لینڈنگ","مدت","unrelated","word","word",0.151058859399448
"اصول","پاس ورڈ","unrelated","word","word",NA
"ڈین","شکریہ","unrelated","word","word",0.0977971466975538
"شوکیا","متلی","unrelated","word","word",NA
"منصوبے","رکھو","unrelated","word","word",0.101721853928132
"بٹن","نمائش","unrelated","word","word",0.261843603648152
"مداخلت","منتقلی","unrelated","word","word",0.224131628512356
"مالکن","بیڈروم","unrelated","word","word",NA
"پکڑو","چھپائیں","unrelated","word","word",0.23733680607854
"سیمنٹ","لیڈی","unrelated","word","word",0.21428728642503
"کوچ","آو","unrelated","word","word",0.207056850428991
"بولل","لوہے","unrelated","word","word",NA
"پناہ","ہوائی اڈہ","unrelated","word","word",NA
"روٹی","جونیئر","unrelated","word","word",0.12286777956329
"سیب","بھاری","unrelated","word","word",0.192366882173916
"پودا","علامات","unrelated","word","word",0.136488988381279
"سوال","مدد","unrelated","word","word",0.144465756984849
"حالت","نتیجہ","unrelated","word","word",0.164369792404111
"جوا","پلیٹ","unrelated","word","word",0.116868902694744
"میٹھی","جیکٹ","unrelated","word","word",0.230786054050635
"اچھا","درجہ حرارت","unrelated","word","word",NA
"لہسن","گھومنے","unrelated","word","word",0.181787563396594
"بھوک","لاش","unrelated","word","word",0.162280104722843
"ریڑه","مکینیکل","unrelated","word","word",NA
"بنانا","شیمپین","unrelated","word","word",0.111981628387255
"فیکٹری","فیسٹیول","unrelated","word","word",0.20813685661605
"سیکشن","سکھاؤ","unrelated","word","word",NA
"نقد","پیداوار","unrelated","word","word",0.234515631022926
"خون","خوشی","unrelated","word","word",0.166470743663775
"انتباہ","ماں","unrelated","word","word",0.0435739324457727
"لفافے","ظالمانہ","unrelated","word","word",0.210463444475802
"سرخ","سکارف","unrelated","word","word",0.304437132690378
"فنکار","ٹائی","unrelated","word","word",0.204524288800773
"آلودگی","سامعین","unrelated","word","word",0.0937040024062801
"کیبل","علاج","unrelated","word","word",0.150998276638684
"تازه","اسسٹنٹ","unrelated","word","word",0.210984348843049
"اغوا","عمارت","unrelated","word","word",0.118093470155263
"تخلیق","لیار","unrelated","word","word",NA
"پوسٹ مارٹم","شاید","unrelated","word","word",NA
"تجویز","قلعہ","unrelated","word","word",0.158900128617945
"تعریف","ورزش","unrelated","word","word",0.168455868444789
"کیپسول","درخت","unrelated","word","word",0.192081321439211
"جانچ پڑتال","جامع درس گاہ","unrelated","word","word",NA
"تجزیہ کار","داڑھی","unrelated","word","word",NA
"تاج","خطرہ","unrelated","word","word",0.0660663666660353
"تخیل","سوٹکیس","unrelated","word","word",NA
"کمانڈ","خانقاہ","unrelated","word","word",0.141843585158178
"ترقی","ملک","unrelated","word","word",0.247625833630193
"سوپ","آرمی","unrelated","word","word",0.217664855987627
"چکن","دھول","unrelated","word","word",0.219482808979398
"مشاورت","نظام","unrelated","word","word",0.20613269461714
"عذاب","گردن","unrelated","word","word",0.234382339860333
"چیک","ابتدائی","unrelated","word","word",0.0417501262164297
"تصدیق","بارود","unrelated","word","word",0.151700775001275
"حقیقت","پیٹ","unrelated","word","word",0.126639760936464
"حیرت انگیز","ہمیشہ کے لئے","unrelated","word","word",NA
"تصویر","لڑکیاں","unrelated","word","word",0.121101799370617
"تصور","فوٹوگرافر","unrelated","word","word",0.183544810820014
"صحت","دھاتی","unrelated","word","word",0.0981557756187815
"orgasm","پروٹوکول","unrelated","word","word",NA
"تعمیراتی","سینیٹر","unrelated","word","word",0.164792179244944
"پلس","چھلانگ","unrelated","word","word",0.135526583729455
"پروفائل","ضلع","unrelated","word","word",0.169225881194684
"رسم","مالک","unrelated","word","word",0.0110004171811921
"رجحان","دھماکہ خیز مواد","unrelated","word","word",NA
"جہالت","انعام","unrelated","word","word",0.078831917146066
"آواز","حدیث","unrelated","word","word",0.140256551550343
"ٹرافی","دولت","unrelated","word","word",0.0856217488153858
"تنازعہ","مبالغہیہ","unrelated","word","word",NA
"پینشن","کان","unrelated","word","word",0.158372235709765
"سنیما","حساس","unrelated","word","word",0.116013764622117
"ثقافت","لکھیں","unrelated","word","word",0.0963856092474867
"پاور","دھماکے","unrelated","word","word",0.138354544840071
"رسالہ","موم بتی","unrelated","word","word",NA
"فوکس","ہیلی کاپٹر","unrelated","word","word",NA
"انتظار کرو","جانور","unrelated","word","word",NA
"کمبل","وٹامن","unrelated","word","word",0.214162126078238
"تیار","کیا","unrelated","word","word",0.317298875460311
"ڈوب","تازہ کاری","unrelated","word","word",NA
"سست","حقیقت پسندانہ","unrelated","word","word",NA
"کوئلہ","اخبار","unrelated","word","word",0.150470131557086
"ایک","انسانی","unrelated","word","word",0.188763294770385
"ثبوت","قتل","unrelated","word","word",0.127098344778911
"ڈیٹونیٹر","عام طور پر","unrelated","word","word",NA
"پابند","کنسرٹ","unrelated","word","word",0.203636731985773
"سینسر","بیوی","unrelated","word","word",0.0824960068386216
"دگنا","کامیاب","unrelated","word","word",0.108232709174901
"جیپ","مرچنٹ","unrelated","word","word",0.217534188827369
"جلد","تجویز","unrelated","word","word",0.163470876522937
"ٹکڑا","جولائی","unrelated","word","word",0.123364027244071
"آلو","چاکلیٹ","unrelated","word","word",0.2619725984402
"جھپکی","تجزیہ","unrelated","word","word",NA
"ہیلمیٹ","ظالمانہ","unrelated","word","word",NA
"طریقہ","روشن","unrelated","word","word",0.110580347500058
"ممکنہ، استعداد","غیر ذمہ دار","unrelated","word","word",NA
"کال","خرچ","unrelated","word","word",0.15797581864168
"ریڈیو","دنیا","unrelated","word","word",0.195640006052729
"لیگ","کے بارے میں","unrelated","word","word",NA
"گالف","ترکاریاں","unrelated","word","word",0.232994242008167
"درج","نقطہ نظر","unrelated","word","word",NA
"جادو","اپنی طرف متوجہ","unrelated","word","word",NA
"آگے بڑھو","شاید ہی","unrelated","word","word",NA
"ایجنٹ","منتخب کریں","unrelated","word","word",NA
"کالج","کلینک","unrelated","word","word",0.310723531946658
"حادثے سے","تیار","unrelated","word","word",NA
"تسلیم","پیغام","unrelated","word","word",0.175044601840591
"ابھی","متغیر","unrelated","word","word",0.144278828191961
"جانور","باپ","unrelated","word","word",0.141181126782854
"عدالت","پریشان","unrelated","word","word",0.104093149638853
"دماغی","استغاثہ","unrelated","word","word",0.213192629687491
"حوصلہ افزائی","واقعی","unrelated","word","word",NA
"گناہ","ناراض","unrelated","word","word",0.188871710918212
"جنسی","سانپ","unrelated","word","word",0.13785040787963
"گردہ","حال ہی میں","unrelated","word","word",NA
"شاندار","خادم","unrelated","word","word",0.124066762118063
"آہستہ آہستہ","گشت","unrelated","word","word",NA
"جمع","تصور","unrelated","word","word",0.149824172318351
"ڈکشنری","تنخواہ","unrelated","word","word",0.216436957082259
"لفظ","آسمانی","unrelated","word","word",0.165362106257368
"آزادی","ایمان","unrelated","word","word",0.17248638478177
"تابوت","چوٹ","unrelated","word","word",0.154757369792517
"منگ","مصنوعات","unrelated","word","word",0.163294971106705
"جنگ","کھاؤ","unrelated","word","word",0.226939946373962
"فوجی","بہت","unrelated","word","word",0.265795309796908
"جنگل","واعظ","unrelated","word","word",0.111766217649945
"ایرینا","لڑاکا","unrelated","word","word",0.164850671539369
"دریا","خوبصورت","unrelated","word","word",0.23958059808234
"کرو","قید","unrelated","word","word",0.103553048448098
"جنت","گولی مار","unrelated","word","word",NA
"جواب","تصوراتی، بہترین","unrelated","word","word",NA
"بوٹ","نغمہ","unrelated","word","word",0.116609876245025
"اختیار","تین","unrelated","word","word",0.193224358603406
"جون","پیارا","unrelated","word","word",0.148885864670013
"رومیو","زبردست","unrelated","word","word",0.170970003709046
"سینئر","روم","unrelated","word","word",0.151723429523768
"ٹھیک ہے","جرم","unrelated","word","word",NA
"حاصل کرنا","روایتی","unrelated","word","word",NA
"شرٹ","دستخط","unrelated","word","word",0.237204363677572
"سیل","جاننا","unrelated","word","word",0.149418105522671
"ڈائمنڈ","قابل فہم","unrelated","word","word",NA
"چوسنا","ویٹریس","unrelated","word","word",NA
"دو","ضرورت ہے","unrelated","word","word",NA
"ٹریپ","غصہ","unrelated","word","word",0.0823688578685127
"تلوار","انفرادی","unrelated","word","word",0.125972015229124
"شکر","اعتماد","unrelated","word","word",0.101519375840117
"نگل","ڈرا","unrelated","word","word",0.286271095402577
"کریم","تابکاری","unrelated","word","word",0.0225837738899361
"روڈو","شمار","unrelated","word","word",0.1824671311831
"رن","انٹیلجنٹ","unrelated","word","word",NA
"اجازت","سہ ماہی","unrelated","word","word",NA
"کور","ریت","unrelated","word","word",0.0420417735675118
"مینڈک","سنکیکل","unrelated","word","word",NA
"کرسمس","ہنسی","unrelated","word","word",0.163963054082252
"چڑھنے","وسیع","unrelated","word","word",0.17198591084352
"لٹل","کارڈنل","unrelated","word","word",NA
"چھوڑ دو","آلہ","unrelated","word","word",NA
"تیسرے","ٹرک","unrelated","word","word",0.0860585136017333
"زخم","بطخ","unrelated","word","word",0.172373766219035
"ماؤس","براہ راست","unrelated","word","word",NA
"چرچ","میزائل","unrelated","word","word",0.231493539067969
"پیروی","مناسب","unrelated","word","word",0.11287717257295
"رکاوٹ","نفرت","unrelated","word","word",0.198916426118306
"مقابلہ","توقع","unrelated","word","word",0.189579173144442
"واقعہ","پینٹر","unrelated","word","word",0.150351522619944
"بس","مشن","unrelated","word","word",0.135208646547242
"وفاقی","توانائی","unrelated","word","word",0.227043888802688
"پیدائش","گرام","unrelated","word","word",0.11630457153307
"قسم کھانا","اسٹرابیری","unrelated","word","word",NA
"شمار","بچہ","unrelated","word","word",0.124623462662431
"نازک","ایکٹ","unrelated","word","word",0.0814425275523669
"سیکورٹی","معمار","unrelated","word","word",0.16391205286914
"امید مند","وارث","unrelated","word","word",NA
"سچ","فنکشنل","unrelated","word","word",0.177055273987701
"منصوبہ","ہتھیار","unrelated","word","word",0.111205048959517
"انتظامیہ","عزت","unrelated","word","word",0.130370073739405
"حملے","موٹی","unrelated","word","word",0.114424675095626
"مظلوم","بھتیجے","unrelated","word","word",0.14283224162328
"حوصلہ افزائی","جولیٹ","unrelated","word","word",NA
"کیمسٹری","پھول","unrelated","word","word",0.146656850765752
"کیمیائی","جہاز","unrelated","word","word",0.232094047561286
"متاثر کن","یاد رکھیں","unrelated","word","word",NA
"غلمہ","کلاسک","unrelated","word","word",NA
"خاموش","ثبوت","unrelated","word","word",0.116574206869003
"کلان","اب بھی","unrelated","word","word",NA
"مندر","ساخت","unrelated","word","word",0.172813067422832
"چینل","بحریہ","unrelated","word","word",0.259607696638296
"آخر","عنوان","unrelated","word","word",0.122789764206149
"فضلہ","پلاسٹک","unrelated","word","word",0.317561921349759
"لومڑی","ایٹمی","unrelated","word","word",0.178339515704259
"بیچنے والے","گندی","unrelated","word","word",NA
"موسم بہار","تکبر","unrelated","word","word",NA
"ٹیلیگرام","ب","unrelated","word","word",0.144683751585045
"خطرناک","شیر","unrelated","word","word",0.13140235556645
"خطرہ","جنگ","unrelated","word","word",0.165600951090189
"ڈراؤنا خواب","کبھی","unrelated","word","word",NA
"خواہش","لیمسین","unrelated","word","word",NA
"خوبصورت","برقرار رکھنا","unrelated","word","word",NA
"فیشن","مشورہ","unrelated","word","word",0.0664150646526363
"توجہ","آمدنی","unrelated","word","word",0.168284763579463
"ضد","شفا","unrelated","word","word",0.170556306413033
"دوربین","ڈویژن","unrelated","word","word",0.0614007511465202
"مطمئن","گرج","unrelated","word","word",0.148534884409163
"لپسٹک","عجیب","unrelated","word","word",NA
"آرام دہ اور پرسکون","تیز","unrelated","word","word",NA
"برم","بیئر","unrelated","word","word",NA
"خوشی","شاندار","unrelated","word","word",0.198753975225818
"ہارر","حوصلہ افزائی","unrelated","word","word",NA
"ڈراونا","دوپہر","unrelated","word","word",NA
"خوفناک","بند","unrelated","word","word",0.186927840352988
"باہر نکلیں","ناشتا","unrelated","word","word",NA
"دادا","خواہش","unrelated","word","word",0.177755323025647
"ہیئر","تشدد","unrelated","word","word",0.177794340526903
"کیل","مباحثہ","unrelated","word","word",0.138988970650277
"پلس","بت","unrelated","word","word",0.111044757000127
"گرمی","کیک","unrelated","word","word",0.117805259319594
"بش","گیراج","unrelated","word","word",NA
"مطالبہ","گھونٹ","unrelated","word","word",0.170279005908499
"مصیبت","بلیو","unrelated","word","word",0.101996612042223
"غلط","پرواز","unrelated","word","word",0.109975731478801
"ونڈو","سٹو","unrelated","word","word",NA
"فائل","البیبی","unrelated","word","word",NA
"سٹیمپ","سٹور","unrelated","word","word",NA
"نومبر","تخت","unrelated","word","word",0.131665984240779
"حفاظت","انداز","unrelated","word","word",0.159818236846362
"ڈیسک","خوردبین","unrelated","word","word",0.163248469300795
"کھدائی","انجکشن","unrelated","word","word",0.117010090781652
"دلچسپ","ٹوپی","unrelated","word","word",0.152443100810094
"پر کشش","کیڑے","unrelated","word","word",NA
"غلط","مرمت","unrelated","word","word",0.135866029444678
"دلہن","وجہ","unrelated","word","word",0.120278155249849
"دماغ","سلام","unrelated","word","word",0.0884796783989457
"بین اقوامی","تلفظ","unrelated","word","word",NA
"آئرن","ملاقات","unrelated","word","word",0.0470344761795321
"زلزلے","قسمت","unrelated","word","word",0.117227573022681
"بم","ہم جنس پرست","unrelated","word","word",NA
"پھٹ","پرندہ","unrelated","word","word",0.135559816028961
"کلاؤڈ","مخلوق","unrelated","word","word",0.138648462854858
"سازش","لڑکا","unrelated","word","word",0.120370492809154
"راھ","لاک","unrelated","word","word",NA
"روٹی","ڈائن","unrelated","word","word",0.143603630568862
"صدی","فورک","unrelated","word","word",0.169041470017924
"شراب","سگریٹ","unrelated","word","word",0.326523961201174
"آدھی رات","دھول","unrelated","word","word",NA
"سنیک","ایڈنالین","unrelated","word","word",NA
"قریب","عیسائی","unrelated","word","word",0.143665461607192
"ختم","حملہ","unrelated","word","word",0.218997194773464
"میراتھن","رقم","unrelated","word","word",0.110749086971415
"ساتھی","ہتھوڑا","unrelated","word","word",0.244599376927337
"شائستہ","سیل","unrelated","word","word",0.137059051693843
"تعلقات","قتل","unrelated","word","word",0.170765285747963
"خزانہ","وقار","unrelated","word","word",0.142233219415304
"دیکھو","دوستی","unrelated","word","word",0.150185727661549
"پیشکش","زھرہ","unrelated","word","word",0.0777558986506239
"معاملہ","بخار","unrelated","word","word",0.222548249063231
"کشیدگی","شعلہ","unrelated","word","word",0.179894073387398
"گرم","المناک","unrelated","word","word",0.088488800115258
"پروڈیوسر","وان","unrelated","word","word",0.163472205719264
"لعنت","سرکاری","unrelated","word","word",0.0764374971828352
"سرجن","مصنف","unrelated","word","word",0.228898528987687
"پاؤنڈ","پرائمری","unrelated","word","word",0.173154265155263
"غروب آفتاب","پادری","unrelated","word","word",NA
"پینٹ","ایک قسم کا جانور","unrelated","word","word",NA
"مسافر","بحالی","unrelated","word","word",0.139849233994567
"ڈراونا","پیاس","unrelated","word","word",NA
"چوری","بحران","unrelated","word","word",0.151882911657766
"پنگ","رویہ","unrelated","word","word",0.100843653115489
"یونٹ","جذبہ","unrelated","word","word",0.111327685352731
"کیبن","سادہ","unrelated","word","word",0.127132595448532
"راسته","پرسکون","unrelated","word","word",NA
"بخشش","ارادے","unrelated","word","word",0.145829900899738
"ردی کی ٹوکری","سورج","unrelated","word","word",NA
"دودھ","برو","unrelated","word","word",0.0936306330260194
"چین","بندش","unrelated","word","word",0.145212499820707
"رضاکارانہ","ساتھ ساتھ","unrelated","word","word",NA
"فاصلے","رہنا","unrelated","word","word",0.106726172767015
"رقاصہ","ہیڈکوارٹر","unrelated","word","word",0.184753762791767
"رقم","حکمت عملی","unrelated","word","word",NA
"داخل کریں","نامعلوم","unrelated","word","word",NA
"رہو","قیمت","unrelated","word","word",0.176625889633112
"رکن","زون","unrelated","word","word",0.183829772573747
"ہولڈ","ٹیلی ویژن","unrelated","word","word",NA
"آمد","طریقہ کار","unrelated","word","word",NA
"جدید","تفریق","unrelated","word","word",0.155585841530268
"چوری","قابل نہیں","unrelated","word","word",NA
"روح","مرکب","unrelated","word","word",0.23355579703192
"چمک","گلے","unrelated","word","word",0.246990914425139
"اندھیرے","سینے","unrelated","word","word",0.170239378874134
"سیسر","تحقیقات","unrelated","word","word",0.148699797561651
"کپڑے","حفاظت","unrelated","word","word",0.208776238323519
"ڈرامائی","اختیار","unrelated","word","word",0.12238643959652
"رائے","دلکش","unrelated","word","word",0.0792199979257578
"فرنٹ","ننگے","unrelated","word","word",0.164314918461193
"طبیعیات","نلی","unrelated","word","word",0.307463795155661
"مٹی","نوکرانی","unrelated","word","word",0.217096271420133
"پب","اقتدار","unrelated","word","word",0.0793061510131355
"ریکارڈ","مانیٹر","unrelated","word","word",0.239976235946364
"جنریٹر","چٹنی","unrelated","word","word",0.229636188603919
"بہترین","عام طور پر","unrelated","word","word",NA
"لائیو","مضبوطی سے","unrelated","word","word",NA
"مریخ","روانگی","unrelated","word","word",0.174603994361012
"رقبہ","مذاق","unrelated","word","word",0.0533502874706945
"کم سے کم","سٹریٹ","unrelated","word","word",NA
"ٹیکنالوجی","مجرمانہ","unrelated","word","word",0.160538781458898
"عقلمند","رسی","unrelated","word","word",0.193259065317911
"تخرکشک","معائنہ","unrelated","word","word",NA
"بیچ","صدر","unrelated","word","word",0.157236303529017
"پرامڈ","پیاز","unrelated","word","word",NA
"بس","ڈیک","unrelated","word","word",0.202912066372654
"سالگرہ","مضمون","unrelated","word","word",0.187561764674821
"ننجا","اندھیرے","unrelated","word","word",0.132493710852974
"بھیڑ","عملی طور پر","unrelated","word","word",NA
"کیڑے","انتخابات","unrelated","word","word",0.17692260014599
"جاسوسی","بندرگاہ","unrelated","word","word",0.103884146729792
"لاسگنا","چھوٹے","unrelated","word","word",NA
"شوٹر","گریجویٹ","unrelated","word","word",0.179852469358293
"مشہور شخصیت","کمپیوٹر","unrelated","word","word",NA
"روکنے","پلیئر","unrelated","word","word",0.19106773280402
"گلی","مقامی","unrelated","word","word",0.220323024144511
"تندور","چارہ","unrelated","word","word",0.282153818878595
"دکان","موسیقی","unrelated","word","word",0.198990637228354
"پلیٹ فارم","سنک","unrelated","word","word",NA
"کنکریٹ","اداکار","unrelated","word","word",0.161978115491523
"مشکل","باتھ روم","unrelated","word","word",NA
"کام کر رہا ہے","تہذیب","unrelated","word","word",NA
"گرم","لیفٹیننٹ","unrelated","word","word",0.158369595070183
"سرکاری طور پر","غدار","unrelated","word","word",NA
"چڑیا گھر","قاتل","unrelated","word","word",NA
"فعال","شکاری","unrelated","word","word",0.112853613750032
"انتشار","بیرونی","unrelated","word","word",0.165348526060606
"مالیات","آٹا","unrelated","word","word",0.194529335395318
"بینکر","بیکار","unrelated","word","word",0.214208736345257
"انجکشن","شہرت","unrelated","word","word",0.0567175725044483
"پل","درد","unrelated","word","word",0.133107473083167
"مہنگا","عدم موجودگی","unrelated","word","word",NA
"پرت","جنس","unrelated","word","word",0.162876746933412
"ٹیٹو","رومانوی","unrelated","word","word",0.213051864546712
"جانیں","پیلا","unrelated","word","word",0.105994911820344
"تمباکو نوشی","تعمیر","unrelated","word","word",NA
"تمباکو","ارد گرد","unrelated","word","word",NA
"تعدد","سردی","unrelated","word","word",0.206915406555968
"مبارک ہو","بیٹ مین","unrelated","word","word",NA
"خاندان","سالگرہ","unrelated","word","word",0.192454626620623
"سنہری","بس","unrelated","word","word",0.159508814053189
"احساس","ویمپائر","unrelated","word","word",NA
"سمندر","معمولی","unrelated","word","word",0.112373056494579
"بات چیت","تحقیقات","unrelated","word","word",NA
"علامات","پنیر","unrelated","word","word",0.169410690219486
"بیت الخلاء","خریدار","unrelated","word","word",NA
"نوکری","سرنگ","unrelated","word","word",0.143015428611854
"نصف","کچھی","unrelated","word","word",0.137413512945906
"ہزار","ٹماٹر","unrelated","word","word",0.208758203235274
"ڈرائیو","فرار","unrelated","word","word",0.178113692759408
"بریفک","جملہ","unrelated","word","word",NA
"غور","مالک مالک","unrelated","word","word",NA
"لیمونیڈ","خرگوش","unrelated","word","word",NA
"گائے","ڈراونا","unrelated","word","word",NA
"کریک","تقریب","unrelated","word","word",0.0768443531999647
"چاند","خوبصورت","unrelated","word","word",0.24092591728005
"صحافی","قیدی","unrelated","word","word",0.230797981204529
"پالیسی","سامراا","unrelated","word","word",NA
"اہم","وزارت","unrelated","word","word",0.207438279199268
"مائع","جمہوریت","unrelated","word","word",0.158952837791832
"رڈار","پناہ گاہ","unrelated","word","word",NA
"سینگ","محرک کریں","unrelated","word","word",NA
"لنگر","پیارا، دلکش","unrelated","word","word",NA
"میل","وہاں","unrelated","word","word",0.280473226610291
"پارلیمان","فروخت","unrelated","word","word",0.192590821855976
"گورنر","دور","unrelated","word","word",0.241299680727229
"پیٹ","اونچائی","unrelated","word","word",0.237991692998839
"مصروفیت","ناک","unrelated","word","word",0.108332193898002
"طلاق","ڈاکٹر","unrelated","word","word",0.177759175181507
"سنگل","نشے میں","unrelated","word","word",NA
"رات","سمجھو","unrelated","word","word",0.184768695638678
"حساس","نظم","unrelated","word","word",0.246767736834082
"شاید","لیس کرنے کی","unrelated","word","word",NA
"کبھی کبھار","پرواز","unrelated","word","word",NA
"کردار","ستارہ","unrelated","word","word",0.187996778122148
"آگ","بیوکوف","unrelated","word","word",NA
"بازیابی","غیر ملکی","unrelated","word","word",NA
"صبر","معمول","unrelated","word","word",0.152164232809185
"شکار","کاپی","unrelated","word","word",0.0906038606561237
"شک","سینٹی میٹر","unrelated","word","word",NA
"مہمانیت","مکمل طور پر","unrelated","word","word",NA
"شکر گزار","چھٹیوں","unrelated","word","word",NA
"فتح","میڈلین","unrelated","word","word",0.158680655913819
"بارون","واپسی","unrelated","word","word",0.141474050191095
"جنوب","نفسیات","unrelated","word","word",0.14218258235543
"چاند","وبا","unrelated","word","word",0.102929450503232
"دارالحکومت","علامت","unrelated","word","word",0.114170512551636
"کیریئر","فلم","unrelated","word","word",0.414466912877578
"شاہی","تباہی","unrelated","word","word",0.240716310509411
"کیلنڈر","ہو","unrelated","word","word",0.202819807161793
"ڈریگن","ناکامی","unrelated","word","word",0.18318088169005
"فرشتہ","انفیکشن","unrelated","word","word",0.134492419371297
"کک","موسیقار","unrelated","word","word",0.192194466178987
"شراب","برادری","unrelated","word","word",0.0873511925080299
"کل","الجھاؤ","unrelated","word","word",0.04568335570818
"رپورٹر","سستا","unrelated","word","word",0.151489504003852
"چانسلر","کٹ","unrelated","word","word",0.135175185635181
"صلاحیت","فیکس","unrelated","word","word",0.216152870454079
"ضروری","واش","unrelated","word","word",0.097525902693272
"کاؤنٹی","کہیں","unrelated","word","word",0.0861904058034049
"لاچار","الارم","unrelated","word","word",0.165673375343942
"عمل","گلوبل","unrelated","word","word",0.126663155335465
"ہوا","مشرق","unrelated","word","word",0.180933709312366
"طوفان","سرجری","unrelated","word","word",0.12284730798802
"مختصر","اسکینڈل","unrelated","word","word",0.183055787281089
"ظالمانہ","ہیروئن","unrelated","word","word",0.232304062947357
"بدی","شمال","unrelated","word","word",0.103644363524613
"واضح طور پر","کارگو","unrelated","word","word",NA
"قدرتی طور پر","چلنا","unrelated","word","word",NA
"عام طور پر","کنوینٹ","unrelated","word","word",NA
"غیر معمولی","گوریلا","unrelated","word","word",NA
"وٹی","تنازعہ","unrelated","word","word",0.196937030928064
"موجودگی","آواز","unrelated","word","word",0.142671881643329
"استحقاق","فکر","unrelated","word","word",0.265889164952136
"جرات","قابل ذکر","unrelated","word","word",NA
"اندام نہانی","توپ خانے","unrelated","word","word",NA
"صدقہ","برف","unrelated","word","word",0.120782995558377
"مخلص","سلطنت","unrelated","word","word",0.0831177847336362
"تھراپی","خوشگوار","unrelated","word","word",0.108666017859019
"مکہ","کل","unrelated","word","word",0.0847777343746684
"پرچم","کامل","unrelated","word","word",0.0943769021585055
"تجربہ","باڑ","unrelated","word","word",0.0921751072924807
"ٹاور","آئینے","unrelated","word","word",0.23137764800888
"پھانسی","ویڈیو","unrelated","word","word",0.161757025644715
"لفظی","جادوگر","unrelated","word","word",0.27240754554378
"صحت مند","پروگرام","unrelated","word","word",NA
"عنصر","یونیفارم","unrelated","word","word",0.145632196563777
"نام","ریاضی","unrelated","word","word",0.167451772556392
"بیوہ","متبادل","unrelated","word","word",0.160391524082907
"مرد","وینیلا","unrelated","word","word",NA
"کیتھولک","سٹیل","unrelated","word","word",0.115683228289278
"جاسوس","مصیبت","unrelated","word","word",0.123094874193408
"غصہ","عطیہ","unrelated","word","word",0.0971536849432232
"جعلی","سوڈا","unrelated","word","word",0.106795377382992
"غلطی","سخت","unrelated","word","word",0.191835708764873
"غیر معقول","ترقی","unrelated","word","word",NA
