sk_cue,sk_target,type,cue_type,target_type,sk_cosine
milión,kačica,unrelated,word,word,0.0557916392128431
úplatok,dievčatá,unrelated,word,word,0.0584936018876968
ponorka,lekára,unrelated,word,word,0.0222532658919465
dievča,analýza,unrelated,word,word,0.0990707334694203
rozbiť,ženský,unrelated,word,word,0.068983259105679
frajer,demokracia,unrelated,word,word,0.127586246362961
kopať,futbal,unrelated,word,word,0.133050142783426
priemysel,alfa,unrelated,word,word,0.0122445522781223
med,vypočítať,unrelated,word,word,0.0682070104123119
predávajúci,radosť,unrelated,word,word,0.0289561790987759
ahoj,auto,unrelated,word,word,0.115879100893612
počítať,guľka,unrelated,word,word,0.088276074091525
okuliare,počuť,unrelated,word,word,0.089194340687432
veliteľ,infekcia,unrelated,word,word,-0.0104228260108976
vozidlo,viera,unrelated,word,word,0.131692400307766
naložiť,solárny,unrelated,word,word,0.142407192321371
podlaha,grécky,unrelated,word,word,0.11993556206776
mafia,vajce,unrelated,word,word,0.0989116808601905
dôvod,elektrina,unrelated,word,word,0.121676745753849
hrob,odprevádzať,unrelated,word,word,0.0969557615367299
rituál,mama,unrelated,word,word,0.128637264089283
stôl,koncert,unrelated,word,word,0.148972386112397
prekážka,uniforma,unrelated,word,word,0.138721214104212
sledovať,cirkus,unrelated,word,word,0.14123441142942
chlieb,vyhrať,unrelated,word,word,0.0977936842797354
žalúdok,poker,unrelated,word,word,0.0559263716764882
katolík,odporučiť,unrelated,word,word,0.0946506119683135
dym,možnosť,unrelated,word,word,0.0934091985518267
zoo,postoj,unrelated,word,word,-0.0242627989438561
kultúra,nervózny,unrelated,word,word,0.0720243103916791
nemocnica,vývoj,unrelated,word,word,0.135538296811327
otvoriť,tím,unrelated,word,word,0.0555780480747699
skrinka,pokračovať,unrelated,word,word,0.089529531296216
pohár,bezcenný,unrelated,word,word,0.0871463772272779
rum,ďaleko,unrelated,word,word,0.101660160149892
horúci,postup,unrelated,word,word,0.13481093614575
rasista,predstavenie,unrelated,word,word,0.0283361629428959
trpezlivosť,hiv,unrelated,word,word,0.13420037903126
celkový,čašníčka,unrelated,word,word,0.0818444282524581
absolútne,olúpiť,unrelated,word,word,0.1452807362808
softvér,hladný,unrelated,word,word,0.0782923018804339
úcta,profesor,unrelated,word,word,0.099443967220043
potvrdenie,profesionálny,unrelated,word,word,0.127933153277283
vždy,počítač,unrelated,word,word,0.123162580159996
právo,detstvo,unrelated,word,word,0.124759206672923
obsahovať,prezident,unrelated,word,word,0.121814506203319
postupovať,majonéza,unrelated,word,word,0.034009138741567
sirotinec,príčina,unrelated,word,word,0.0765396412946866
nesprávny,udalosť,unrelated,word,word,0.100924483684507
barón,agentúra,unrelated,word,word,0.0958056069137527
monštrum,kaplnka,unrelated,word,word,0.0670769360271805
tanečník,biológia,unrelated,word,word,0.135810008559335
riziko,mokrý,unrelated,word,word,0.0241655169888234
riskantný,moč,unrelated,word,word,0.0405743187673611
slepý,osobnosť,unrelated,word,word,0.0641372763106211
storočie,naopak,unrelated,word,word,0.0574043357267653
víťazstvo,nôž,unrelated,word,word,0.0841218625930506
chrániť,konštrukcia,unrelated,word,word,0.0857312480493119
koncepcia,cestovný pas,unrelated,word,word,
sloboda,nepočujúci,unrelated,word,word,0.138082283425287
protest,prežiť,unrelated,word,word,0.0999776278868982
príchod,gorila,unrelated,word,word,0.120304030124975
agent,západný,unrelated,word,word,0.144608709602356
pokrok,kresťan,unrelated,word,word,0.126782981993275
čip,voziť,unrelated,word,word,0.116534739663569
trpieť,očarujúci,unrelated,word,word,0.122308819759467
podobný,syn,unrelated,word,word,0.0978104477054387
výrobca,severný,unrelated,word,word,0.0821292066645687
konflikt,plukovník,unrelated,word,word,0.142335155668455
prerušiť,modrina,unrelated,word,word,0.0835114625416349
boha,podnik,unrelated,word,word,0.0647812449690466
jednotka,manželstvo,unrelated,word,word,0.0617061703201224
chirurg,bohatý,unrelated,word,word,0.148243835503133
libra,idiot,unrelated,word,word,0.087108560363429
charita,minútu,unrelated,word,word,0.0509160300287397
okno,mravec,unrelated,word,word,0.12505107807972
maľovať,adrenalín,unrelated,word,word,0.126830152626323
nočná mora,parfum,unrelated,word,word,
sukňa,vyšetrovateľ,unrelated,word,word,0.100301231222572
alkohol,šťastný,unrelated,word,word,0.112924896831969
hus,ťažko,unrelated,word,word,0.14936821788097
popol,pozdraviť,unrelated,word,word,0.082737772382489
zodpovednosť,syndróm,unrelated,word,word,0.0922565961046461
strelný prach,utečenec,unrelated,word,word,
oko,odpovedať,unrelated,word,word,0.0334389847037885
zdravie,tlak,unrelated,word,word,0.134101294159836
vplyv,trojitý,unrelated,word,word,0.0944676500921011
užitočný,dáma,unrelated,word,word,0.0562990463123468
kampaň,koňak,unrelated,word,word,0.0731959099004224
magnetický,objednať,unrelated,word,word,0.132772840946342
módny,nahrávanie,unrelated,word,word,0.117193683961457
faktor,junior,unrelated,word,word,0.09335645682329
duševný,bar,unrelated,word,word,0.0970620351586756
nádrž,uväznenie,unrelated,word,word,0.114876775045933
východ,klamár,unrelated,word,word,0.0462085548464674
vybavenie,úprimný,unrelated,word,word,0.100101407759916
pozorovanie,trón,unrelated,word,word,0.0769797668626517
podceňovať,mikrofón,unrelated,word,word,0.0601213084564647
hrdý,heroín,unrelated,word,word,0.0899370074999149
odpustiť,demonštrácia,unrelated,word,word,0.027606193495489
obesenie,podnikateľ,unrelated,word,word,0.0693660991397145
galéria,droga,unrelated,word,word,0.134833467174215
čakať,psychologický,unrelated,word,word,0.115191368767781
opísať,lízať,unrelated,word,word,0.146041839242141
nádej,modrý,unrelated,word,word,0.114364760652341
realita,strom,unrelated,word,word,0.121237674581044
pomalý,vláda,unrelated,word,word,0.102066084307865
kolónia,homosexuál,unrelated,word,word,0.125483700811516
dojem,kov,unrelated,word,word,0.0891673086118849
stena,manipulovať,unrelated,word,word,0.0986926176665377
majster,štyri,unrelated,word,word,0.0260997453468719
finančne,kvalita,unrelated,word,word,0.146211028768234
hľadať,maslo,unrelated,word,word,0.0751000388787479
dna,škandál,unrelated,word,word,0.0282586110707843
žralok,heslo,unrelated,word,word,0.0508943803171221
lov,kolaps,unrelated,word,word,0.0566722988051363
závod,dohoda,unrelated,word,word,0.0788744681353656
kvapalina,byt,unrelated,word,word,0.130008883342203
pristáť,štýl,unrelated,word,word,0.0480398873427061
večný,presun,unrelated,word,word,0.149262190966893
konšpirácia,zlý,unrelated,word,word,0.114180256545185
anglický,znížiť,unrelated,word,word,0.0780905868989435
vydesiť,slabý,unrelated,word,word,0.12734132132097
jablko,nahý,unrelated,word,word,0.0228433394755604
hrať,fax,unrelated,word,word,0.141516329798387
zbierať,ticho,unrelated,word,word,0.136960636468335
prirodzene,miliarda,unrelated,word,word,0.136103741470812
mäkký,víťaz,unrelated,word,word,0.107158578375294
chlapci,monitor,unrelated,word,word,0.137078682284891
národný,kópia,unrelated,word,word,0.129494832226397
vstúpiť,krk,unrelated,word,word,0.0390827906866291
diplom,zdediť,unrelated,word,word,0.0984946501116083
kilo,intímny,unrelated,word,word,0.0472037043367143
vynikajúci,kapela,unrelated,word,word,0.146868384820322
nevinný,vyjadriť,unrelated,word,word,0.119927919574567
puška,písmeno,unrelated,word,word,0.0819933614041605
ilúzia,dodatočný,unrelated,word,word,0.0987744725963409
palica,stretnúť,unrelated,word,word,0.0659543460265689
handrička,utorok,unrelated,word,word,0.144723330684972
spokojný,časovač,unrelated,word,word,0.0604303868206111
záliv,pôžička,unrelated,word,word,0.13954150509508
základňa,elektrický,unrelated,word,word,0.128828432767792
nízky,priznať,unrelated,word,word,0.0882445375925173
veličenstvo,palec,unrelated,word,word,0.0705163961308293
prasklina,psychológia,unrelated,word,word,0.134343490335755
vianoce,zbrojnica,unrelated,word,word,0.0536462183430183
hrozný,vodca,unrelated,word,word,0.13739623368118
zisk,písanie,unrelated,word,word,0.0562949397646498
ukázať,milosrdenstvo,unrelated,word,word,0.0775167182285801
dáta,absurdný,unrelated,word,word,0.0655555686977972
dedičstvo,júl,unrelated,word,word,0.0881492686113932
dávka,dokument,unrelated,word,word,0.066550783969492
vyšetrenie,brada,unrelated,word,word,0.0402828617637331
nástroj,opitý,unrelated,word,word,0.08094408255907
vzrušujúci,priamo,unrelated,word,word,0.0523591155904601
osobný,smäd,unrelated,word,word,0.0780015553256167
inštinkt,škola,unrelated,word,word,0.144531505238189
preskúmať,hej,unrelated,word,word,0.103863977607175
nerozumný,alibi,unrelated,word,word,0.112374283324637
trik,označiť,unrelated,word,word,0.100096567545714
reportér,plávať,unrelated,word,word,-0.0164946395546402
potešenie,miestny,unrelated,word,word,0.0766413532552046
jún,krutosť,unrelated,word,word,0.104316773966447
liezť,dotovanie,unrelated,word,word,
otráviť,vyhlásenie,unrelated,word,word,0.0977388098595143
kráľovský,cena,unrelated,word,word,0.138766905135302
rozoznať,napokon,unrelated,word,word,0.129344066015693
rieka,prach,unrelated,word,word,0.13110502297556
prvý,uraziť,unrelated,word,word,0.0899948029967802
úsmev,liečba,unrelated,word,word,0.0620740446820164
člen,konečný,unrelated,word,word,0.144012414285695
seminár,mäso,unrelated,word,word,0.0792262596847814
veľkosť,neznámy,unrelated,word,word,0.13193990029451
dovoliť,peklo,unrelated,word,word,0.058715384462366
pravdepodobnosť,pripraviť,unrelated,word,word,0.105298091690505
drak,neprítomnosť,unrelated,word,word,0.0720849666262592
regionálny,torta,unrelated,word,word,0.106783393122925
nenávisť,uspieť,unrelated,word,word,0.139514654438631
občerstvenie,prototyp,unrelated,word,word,0.0638757147740739
robot,zvyčajne,unrelated,word,word,0.0969879908700888
playboy,zóna,unrelated,word,word,0.116992041127535
opatrovateľka,dôležitosť,unrelated,word,word,0.121714087410037
služby,overiť,unrelated,word,word,0.0870612075550535
kompas,tehotenstvo,unrelated,word,word,0.0546108684989301
slobodný,pozícia,unrelated,word,word,0.110049895016644
jóga,tunel,unrelated,word,word,0.0967726308886589
šerif,plánovanie,unrelated,word,word,0.0625008699619849
jedlo,komisár,unrelated,word,word,0.063370947886577
bravčové,odchod,unrelated,word,word,0.145019470880669
trofej,uniesť,unrelated,word,word,0.143103368683851
artefakt,chladný,unrelated,word,word,0.0771381724845243
konferencia,útočník,unrelated,word,word,0.116711337956922
železo,sebecký,unrelated,word,word,0.0138456025612188
občiansky,synovec,unrelated,word,word,0.0994201369949553
odraz,naháňať,unrelated,word,word,0.135591426370986
chyba,syr,unrelated,word,word,0.0876793016341897
pokorný,komunikácia,unrelated,word,word,0.110090592028416
hotovosť,údel,unrelated,word,word,0.117364931932762
obrazovka,čoskoro,unrelated,word,word,0.141738116144977
zajtra,rodič,unrelated,word,word,0.145477964478004
aspirín,orbita,unrelated,word,word,0.0935056735373258
otec,výroba,unrelated,word,word,0.102338544163971
nerv,strieborný,unrelated,word,word,0.0828333119966313
knižnica,lacný,unrelated,word,word,0.11386620743903
džez,pobrežie,unrelated,word,word,0.114017103301221
evolúcia,bratranec,unrelated,word,word,0.00546677049638767
tajomstvo,civilizácia,unrelated,word,word,0.13909138689334
krajina,popis,unrelated,word,word,0.0930618259859266
hrdlo,kapitán,unrelated,word,word,0.0467006043735329
nevyhnutný,taška,unrelated,word,word,0.142024249848273
ustarostený,výška,unrelated,word,word,0.10212427039689
polnoc,poslať,unrelated,word,word,0.0888155413717741
zdravý,ospravedlnenie,unrelated,word,word,0.121174014575327
atómový,údolie,unrelated,word,word,0.134333718277902
samozrejme,herec,unrelated,word,word,0.146314249126065
september,perspektíva,unrelated,word,word,0.0955259357182969
úradne,ventilácia,unrelated,word,word,0.125422743483485
uhlie,výsosť,unrelated,word,word,0.0772752453735517
cesnak,zatvorené,unrelated,word,word,0.0820955301645382
usporiadať,program,unrelated,word,word,0.113935452859901
nehnuteľnosť,nebeský,unrelated,word,word,0.0483057127923344
vzduch,rodina,unrelated,word,word,-0.0231049608665289
obálka,kladivo,unrelated,word,word,0.0659412702384121
utrpenie,motor,unrelated,word,word,0.00606739558522521
umelec,úder,unrelated,word,word,0.0829310385227969
dospelý,cisár,unrelated,word,word,0.0636430476025517
nadšenie,utratiť,unrelated,word,word,0.0986586852780902
polomer,očakávať,unrelated,word,word,0.107382929363211
fragment,nahnevaný,unrelated,word,word,0.0861941168546365
astronaut,prísť,unrelated,word,word,0.112778687812848
príprava,väzenie,unrelated,word,word,0.0677977713792789
cement,svetový,unrelated,word,word,0.124474502261538
misa,účinok,unrelated,word,word,0.130981940046349
politika,hamburger,unrelated,word,word,0.133643267967365
postavenie,špinavý,unrelated,word,word,0.0731825846740772
bezradný,zápas,unrelated,word,word,0.126911279697994
korisť,škaredý,unrelated,word,word,0.101586394148074
sekundárny,odmena,unrelated,word,word,0.0564295695029579
princezná,zhromaždiť,unrelated,word,word,0.0322153358517022
cela,zastaviť,unrelated,word,word,0.119610727080963
rukojemník,vyrábať,unrelated,word,word,0.0513944159582698
nobel,tkanivo,unrelated,word,word,-0.0100907662610621
záruka,riaditeľstvo,unrelated,word,word,0.132761044682318
pravidlo,grófka,unrelated,word,word,0.100862984690319
model,núdzový,unrelated,word,word,0.143876863878077
tlačiť,veľmi,unrelated,word,word,0.136781648409443
vložiť,mŕtvy,unrelated,word,word,0.092552369581962
množstvo,ísť,unrelated,word,word,0.147169903882542
polovica,odolať,unrelated,word,word,0.0528600439414412
kontaminácia,investor,unrelated,word,word,0.0275897595891686
hnev,nájom,unrelated,word,word,0.14713370093436
príležitostne,kúsok,unrelated,word,word,0.100987921789366
predný,naozaj,unrelated,word,word,0.116479547909495
spravodlivý,mapa,unrelated,word,word,0.0812162044144722
zvýšiť,alej,unrelated,word,word,0.0998819284086405
čerstvý,zachrániť,unrelated,word,word,0.11653867936662
pobyt,fotografia,unrelated,word,word,0.0921328913415685
najať,koniec,unrelated,word,word,0.115312023121169
odpoveď,kláštor,unrelated,word,word,0.0856611349345937
kariéra,zámok,unrelated,word,word,0.0785882985646483
žiadosť,lev,unrelated,word,word,0.117409464069935
chudobný,inšpekcia,unrelated,word,word,-0.0173413062605957
kradnúť,sto,unrelated,word,word,0.114743819032532
krádež,niekde,unrelated,word,word,0.0387779221660909
otočiť,hliadka,unrelated,word,word,0.0663570088258301
špionáž,čierna,unrelated,word,word,0.108371289410719
kotviť,amerika,unrelated,word,word,0.057585297234195
dôchodok,potvrdiť,unrelated,word,word,0.125229033199922
radar,obed,unrelated,word,word,0.0904610355673275
hrdina,zavrieť,unrelated,word,word,0.0936214031422488
tetovanie,mínus,unrelated,word,word,0.0756335608173976
kalendár,princ,unrelated,word,word,0.107416995962241
trieda,žiarenie,unrelated,word,word,0.143534727155079
génius,minulosť,unrelated,word,word,0.147296598994507
bezpečný,obvinenie,unrelated,word,word,0.0398610192579554
kúpiť,stretnutie,unrelated,word,word,0.102993202344481
parlament,zmraziť,unrelated,word,word,0.0781811219891281
guvernér,bunda,unrelated,word,word,0.0714816432597739
úkryt,televízia,unrelated,word,word,0.11374667088129
strela,rýchlo,unrelated,word,word,0.0828857063281734
chorý,desaťročie,unrelated,word,word,0.120388387469798
pečiatka,poliklinika,unrelated,word,word,
zlatý,zostať,unrelated,word,word,0.116437839465524
jednoducho,chytať,unrelated,word,word,0.0831149253966994
kvapka,učiteľ,unrelated,word,word,0.117508713511778
trochu,správy,unrelated,word,word,0.0615934949486813
chuť,plast,unrelated,word,word,0.103798907701555
červ,svadba,unrelated,word,word,0.0175919250136377
strelec,povinnosť,unrelated,word,word,0.12780829520779
dážď,federácia,unrelated,word,word,0.123295321075986
lunárny,mýval,unrelated,word,word,0.121004953478471
nič,limuzína,unrelated,word,word,0.066216767559409
inde,zločinec,unrelated,word,word,0.0865493411825051
dcéra,obrovský,unrelated,word,word,0.139915424559667
album,meter,unrelated,word,word,0.0919280662569125
hluk,šéfkuchár,unrelated,word,word,0.124105759046679
lazane,cesta,unrelated,word,word,0.0382508822197997
rozprávať,upír,unrelated,word,word,0.140375500327844
odborník,vodka,unrelated,word,word,0.0254204089368875
mrhať,pojednávanie,unrelated,word,word,0.134909419912663
celebrita,atlantický,unrelated,word,word,
federálny,návnada,unrelated,word,word,0.142821680700747
nástupište,nezodpovedný,unrelated,word,word,0.139323508796753
už,paradajka,unrelated,word,word,0.149900300245094
zabrániť,oranžový,unrelated,word,word,0.064319587188679
obchod,matematika,unrelated,word,word,0.143133829778203
pevne,emocionálny,unrelated,word,word,0.14937492945827
šialenstvo,prístav,unrelated,word,word,0.0826313536261051
nahradiť,penis,unrelated,word,word,0.115018134994357
dosť,národ,unrelated,word,word,0.135122938987777
navrhnúť,gram,unrelated,word,word,0.118276830227021
sobota,výrobok,unrelated,word,word,0.140243764886526
operovať,ulica,unrelated,word,word,0.119016094779106
utopiť,čarodejník,unrelated,word,word,0.0991291264682303
potenciál,rameno,unrelated,word,word,0.14138146209777
metóda,magazín,unrelated,word,word,0.0813469576173827
rádio,králik,unrelated,word,word,0.0966779010485476
teplo,korporácia,unrelated,word,word,0.0834525769189895
koruna,týždenný,unrelated,word,word,0.0910673568736079
blesk,poskytnúť,unrelated,word,word,0.0884250849628867
meno,funkčný,unrelated,word,word,0.0766485425044681
bábika,inteligentný,unrelated,word,word,0.147539017145747
špión,poludnie,unrelated,word,word,0.0479913517303515
pohyb,cigara,unrelated,word,word,0.112973495629297
snímač,kríza,unrelated,word,word,0.0486576580932079
vypočutie,koberec,unrelated,word,word,0.141258567957087
pondelok,nepravdivý,unrelated,word,word,0.149293098503123
kura,poradiť,unrelated,word,word,0.14869895216364
náhle,boston,unrelated,word,word,0.0686379670993931
odznak,vedieť,unrelated,word,word,0.142239938917449
krv,teenager,unrelated,word,word,0.0112526964912184
púšť,financovanie,unrelated,word,word,0.0661380501908587
zombie,nedávno,unrelated,word,word,0.108307305411689
škorica,prápor,unrelated,word,word,0.104237201678718
ventil,zorganizovať,unrelated,word,word,0.120672563907982
extrémne,dôkaz,unrelated,word,word,0.101464064359995
whisky,skočiť,unrelated,word,word,0.132204625052124
kandidát,príjemný,unrelated,word,word,0.11889090115097
vrecko,mimozemšťan,unrelated,word,word,0.0738912560007734
vojak,činnosť,unrelated,word,word,0.0917825449642049
vyčistiť,erekcia,unrelated,word,word,0.0869733392162533
sherlock,bitka,unrelated,word,word,0.130748298776834
silný,povrch,unrelated,word,word,0.103224153428635
poklad,námorníctvo,unrelated,word,word,0.136032642325597
pištoľ,globálny,unrelated,word,word,-0.00774391441705458
južný,nevesta,unrelated,word,word,0.0614737781169869
získať,let,unrelated,word,word,0.139582994949195
kábel,zmätok,unrelated,word,word,0.143984074061058
kliatba,náklad,unrelated,word,word,0.0500679846624129
medveď,depresia,unrelated,word,word,0.11534095119462
zamestnanie,sval,unrelated,word,word,0.0770380608208139
zbytočný,komunita,unrelated,word,word,0.0902428138266322
zaslúžiť si,špecialista,unrelated,word,word,
čítať,kancelária,unrelated,word,word,0.136943027195343
červená,riaditeľ,unrelated,word,word,0.0969103365419794
odísť,šaty,unrelated,word,word,0.101383054442322
spinálny,zapôsobiť,unrelated,word,word,
prítomnosť,špagety,unrelated,word,word,0.0405835629387702
autor,dolár,unrelated,word,word,0.0916078389019292
terminál,poskytnúť,unrelated,word,word,0.110833168364001
motív,kvetina,unrelated,word,word,0.0528240948630637
ufo,umývadlo,unrelated,word,word,0.122850997745076
pôsobivý,vražda,unrelated,word,word,0.120501521840805
pitva,silne,unrelated,word,word,0.0432616735982668
prírodný,skupina,unrelated,word,word,0.0448940523110021
podpora,plaviť,unrelated,word,word,0.13082480847831
tajomník,umelý,unrelated,word,word,0.0419056374209648
obeť,verný,unrelated,word,word,0.121349585343939
stanovisko,mŕtvola,unrelated,word,word,0.0643060659642568
pasca,ľudia,unrelated,word,word,0.069809575687562
štadión,pokaziť,unrelated,word,word,0.0993141747043565
pekný,mikroskop,unrelated,word,word,0.144509546552943
motýľ,politický,unrelated,word,word,0.148039441034951
výročie,výbušný,unrelated,word,word,0.0514202040650903
veža,prijať,unrelated,word,word,0.078531191972036
riť,úradný,unrelated,word,word,0.144670901675501
palác,video,unrelated,word,word,0.0900877147481463
uchmatnúť,veda,unrelated,word,word,0.0937411304214845
kostol,cena,unrelated,word,word,0.119508796889402
atraktívny,babička,unrelated,word,word,0.0616565779142344
drahý,novinár,unrelated,word,word,0.139716027297901
prehĺtať,včera,unrelated,word,word,0.134020701309158
typický,tri,unrelated,word,word,0.0395140845187836
otvorenie,socha,unrelated,word,word,0.0844281937616972
pláž,mechanický,unrelated,word,word,0.114402146400212
pád,hudobník,unrelated,word,word,0.148500503555659
inšpektor,pištoľ,unrelated,word,word,0.128683193132071
kontakt,marketing,unrelated,word,word,0.141809450911284
teplý,budova,unrelated,word,word,0.0687061728833188
príbuzný,bolesť,unrelated,word,word,0.127854601680566
paranoidný,chyžná,unrelated,word,word,0.121290730249679
zlodej,oddanosť,unrelated,word,word,0.0969882922892008
trhať,kamión,unrelated,word,word,0.0975081488661679
sladký,príjem,unrelated,word,word,0.110958457526595
tieňový,študovať,unrelated,word,word,0.119457153338152
súmrak,poďakovať,unrelated,word,word,0.0952057666786922
chutný,odtlačok prsta,unrelated,word,word,
stres,mačka,unrelated,word,word,0.0979296274099511
stvorenie,obhajovať,unrelated,word,word,0.127882447233094
konverzácia,les,unrelated,word,word,0.0713063378061559
súbor,nečakane,unrelated,word,word,0.0490870824500003
prúd,halucinácia,unrelated,word,word,0.0883405267758479
utiecť,dlhý,unrelated,word,word,0.0757785060591822
noc,symbol,unrelated,word,word,0.122853596439489
fenomén,zomrieť,unrelated,word,word,0.0743941648516226
zemetrasenie,nechutný,unrelated,word,word,0.099784013352221
rod,sieť,unrelated,word,word,0.077619643069542
nádherný,letisko,unrelated,word,word,0.104985395519678
smrteľný,náboženstvo,unrelated,word,word,0.145971862157222
kašeľ,informácie,unrelated,word,word,0.0763085100727148
záver,zmiznutie,unrelated,word,word,0.127631109349104
oheň,rozumieť,unrelated,word,word,0.101723109052784
pristátie,odpad,unrelated,word,word,0.064682144953359
mrak,peniaze,unrelated,word,word,0.0221141960931608
dva,rýchly,unrelated,word,word,0.114732956902235
zdvorilý,uniknúť,unrelated,word,word,0.0361422473122265
vzťah,olej,unrelated,word,word,0.062393599968287
prázdny,tenis,unrelated,word,word,0.1340734825738
rozpočet,fráza,unrelated,word,word,0.0462395373818423
vesmír,píšťalka,unrelated,word,word,0.066745561192147
portál,dobrovoľne,unrelated,word,word,0.139238911710068
kompliment,brána,unrelated,word,word,0.0663099179247439
ponúknuť,nehoda,unrelated,word,word,0.0282647108957901
dedko,vanilka,unrelated,word,word,0.0887620066370864
zablahoželať,zviera,unrelated,word,word,0.0976737344606795
klavír,kartel,unrelated,word,word,0.112002550286106
udiať,ocko,unrelated,word,word,0.129612542999838
vyváženie,obchodník,unrelated,word,word,0.147190762144274
zotavenie,legenda,unrelated,word,word,0.0875340545113878
ťažký,vakcína,unrelated,word,word,0.0495486946342774
aids,reštaurácia,unrelated,word,word,0.0502346676599711
privilégium,búrka,unrelated,word,word,-0.0382136433510715
blázon,sklad,unrelated,word,word,0.0720502218979497
význam,čokoláda,unrelated,word,word,0.0952228230179013
cenný,atmosféra,unrelated,word,word,0.100933888732947
ohlásiť,čiapka,unrelated,word,word,0.100839058288282
zdroj,myslieť,unrelated,word,word,0.0274759671755586
rana,tragický,unrelated,word,word,0.148038024794753
vonku,vybaviť,unrelated,word,word,0.12350754725594
účel,zima,unrelated,word,word,0.0943421444291648
neúmyselne,návrat,unrelated,word,word,0.0922906559460375
analytik,aktivovať,unrelated,word,word,0.096600806422801
senior,skutočnosť,unrelated,word,word,0.0444699117992336
telegram,zvoliť,unrelated,word,word,0.07636508777268
konzervatívny,hračka,unrelated,word,word,0.135712518103994
temnota,jesť,unrelated,word,word,0.0567289539510908
móda,koleno,unrelated,word,word,0.116805619010982
zachovať,starosta,unrelated,word,word,0.114595863541878
kontrolovať,prokurátor,unrelated,word,word,0.110791972249118
reklama,zradca,unrelated,word,word,0.0314797044902684
minimálny,politik,unrelated,word,word,0.139189860017675
veľvyslanectvo,harmónia,unrelated,word,word,0.101311931868122
plus,zbraň,unrelated,word,word,0.0194663872577273
chudoba,správa,unrelated,word,word,0.136463507287097
chrám,hviezda,unrelated,word,word,0.0678054737568624
porno,priateľ,unrelated,word,word,0.0779376393692839
zabijak,okres,unrelated,word,word,0.075661650558702
spevák,poručík,unrelated,word,word,0.0976483781493424
námorník,pero,unrelated,word,word,0.100598983812602
prsteň,arogancia,unrelated,word,word,0.111634023151011
vnuk,autobus,unrelated,word,word,0.136866707423472
kanál,prechádzka,unrelated,word,word,0.134053177088299
južný,rozvrh,unrelated,word,word,0.0873400527986718
ústa,prepustenie,unrelated,word,word,0.129137313283749
nepriateľ,pečeň,unrelated,word,word,0.123844697989038
výber,písať,unrelated,word,word,0.101406683698623
zelený,dôstojnosť,unrelated,word,word,0.0534757178595543
príkaz,vták,unrelated,word,word,0.108759347345342
časť,bojovník,unrelated,word,word,0.107355742712984
lístok,skryť,unrelated,word,word,0.125350557263854
kód,strielať,unrelated,word,word,0.0809805296011601
budúcnosť,žuť,unrelated,word,word,0.0494323758991985
úbohý,diskusia,unrelated,word,word,0.113939271067296
stráž,strašný,unrelated,word,word,0.0979752673122598
rúž,koncentrovať,unrelated,word,word,0.0689893697873801
vysvetlenie,sláva,unrelated,word,word,0.0226220180181143
tréner,dostatočný,unrelated,word,word,0.0794336303141327
šanca,dynamit,unrelated,word,word,0.0977924249041053
značka,veľkorysý,unrelated,word,word,0.0933017575312035
dekan,bohatstvo,unrelated,word,word,0.0945825201609262
právnik,tanec,unrelated,word,word,0.0826629871653448
fox,oprava,unrelated,word,word,0.131127162006645
myš,fotograf,unrelated,word,word,0.108755630194946
generátor,poprava,unrelated,word,word,0.0620635296647129
práve,pomoc,unrelated,word,word,0.136003487611732
filozofia,ženatý,unrelated,word,word,0.130342986933817
zabudnúť,striekačka,unrelated,word,word,0.0732047309454503
eliminovať,robotník,unrelated,word,word,0.0154178952410647
bonus,nedeľa,unrelated,word,word,0.07738565500847
kazár,pilot,unrelated,word,word,
polievka,vchod,unrelated,word,word,0.1198927098347
vyslobodiť,ostreľovač,unrelated,word,word,0.142353802980193
vybrať,hodnotenie,unrelated,word,word,0.0956778623920777
priniesť,legálny,unrelated,word,word,0.109006026051746
slovo,vízia,unrelated,word,word,0.104632961038438
reč,plný,unrelated,word,word,0.0587444374410126
otrok,tornádo,unrelated,word,word,0.0428303494500536
frekvencia,pokojný,unrelated,word,word,0.138755488971137
kosť,o,unrelated,word,word,0.119699933547247
vietor,všeobecne,unrelated,word,word,0.120879782839252
rúra,hráč,unrelated,word,word,0.0642250554437636
neobvyklý,zabiť,unrelated,word,word,0.062438766172632
objekt,komédia,unrelated,word,word,0.125873397768573
zvládnuť,hrudník,unrelated,word,word,0.0944431997474974
mesiac,systém,unrelated,word,word,0.0773624395777688
vrstva,nechať,unrelated,word,word,0.0914360140611512
pochybnosť,štvrtina,unrelated,word,word,0.108573526433491
vlajka,atentátnik,unrelated,word,word,0.130907897915262
učiť,priezvisko,unrelated,word,word,0.0710285216596012
študent,definícia,unrelated,word,word,0.0863480640656705
golf,výbor,unrelated,word,word,0.117059463760891
vďačný,odstavec,unrelated,word,word,0.0310663129230722
tenký,kňaz,unrelated,word,word,0.0923016408134539
koža,kupujúci,unrelated,word,word,0.0830988170616424
necht,politológia,unrelated,word,word,
hurikán,narušiť,unrelated,word,word,0.0983357667856039
most,úmyselne,unrelated,word,word,0.0950619206063375
neschopnosť,strela,unrelated,word,word,0.100610473105376
špeciálny,dôvera,unrelated,word,word,0.14662876182174
dole,hra,unrelated,word,word,0.0276725628920487
normálne,sen,unrelated,word,word,0.122590890113605
mars,skvelý,unrelated,word,word,0.0861084543743434
tábor,pivo,unrelated,word,word,-0.00136189225105906
