ar_target,ar_cue,ar_fake_cue,ar_fake_target,en_cue,en_target
سرطان البحر,تونة,اهنة,سرطايمالبحر,tuna,lobster
سرعة,مسافه: بعد,مسافقط بعد,سرون,distance,speed
سرقة,سرقة,ادقة,سرنه,theft,robbery
سرير,كنبة,كنـه,فوير,sofa,bed
سريع,البحرية,الدفرية,فويع,naval,fleet
سريع التبخر,لاجئ,لاat,سريعنجلتبخر,refugee,fugitive
سطح - المظهر الخارجي,طبقة,طباء,سطح  المظهر اقدارجي,layer,surface
سعيدة,راضي,راجه,بذيدة,satisfied,happy
سفينة,طاقم,درقم,كرينة,crew,ship
سكران,رصين,تجين,لقران,sober,drunk
سكين,سيف,فوف,رتين,sword,knife
سلاح,مسدس,مسغر,سلسل,pistol,weapon
سلاح المدفعية,سلاح الفرسان,سلاحيخلفرسان,سلاح المقصعية,cavalry,artillery
سلامة,الأمان,الفاان,يدامة,security,safety
سلحفاة,حلزون,حلاتن,سلمراة,snail,turtle
سلطة,حساء,لياء,سلني,soup,salad
سمعة,حياة مهنية,حياة مشوية,زوعة,career,reputation
سمك,سمك القرش,سمك الشاش,لقك,shark,fish
سميك,نحيف,نحها,سمرت,thin,thick
سن,مسمار,وأمار,وض,nail,tooth
سنتيمتر,ميل,لإل,سنتيفار,mile,centimeter
سهل,غير ممكن,غيبةممكن,رتل,impossible,easy
سور,حائط,حاnt,يبر,wall,fence
سيئة,جيد,قعد,سيصع,good,bad
سيارة نقل,عرض مختصر لفيلم,عرض مختصبرلفيلم,سياركزنقل,trailer,van
سياسة,الصحافة,الهوافة,سيعدة,journalism,politics
سياسي,حرج,ائج,سيعتي,critical,political
سياسي,سياسات,سيكرات,سيعتي,policy,politician
سيجار,دخان,ضحان,سيينر,smoke,cigar
سيجارة,التبغ,الحدغ,سيينرة,tobacco,cigarette
سيدة,رب,شع,سيتز,lord,lady
سير,يركض,يريغ,افر,run,walk
سيرك,حديقة حيوان,حديقرمحيوان,عارك,zoo,circus
سيناتور,محافظ حاكم,محافتخحاكم,سينانظر,governor,senator
شاحنة,جيب,تكب,شافظة,jeep,truck
شارع,السبيل,الهييل,شايز,avenue,street
شاكوش,عصا,ءها,شايسش,stick,hammer
شامبانيا,خمر,كتر,شامبكريا,wine,champagne
شتاء,الصيف,الولف,خجاء,summer,winter
شجاع,النبيل,المثيل,نضاع,noble,brave
شجرة,دفع,عشع,جورة,bush,tree
شخص شره,بقرة,بقـا,شخكبشره,cow,pig
شرف,شرف,ظيف,ظيف,privilege,honor
شرق,غرب,اوب,تكق,west,east
شريط,النادي,الاعدي,شرظر,club,bar
شعور,انطباع,انقضاع,اضور,impression,feeling
شغف,حماس,لساس,ـوف,enthusiasm,passion
شفاء - يشفى,استعادة,استعرضة,شفاء بمشفى,recover,heal
شقة,بيت,ررت,تظة,house,apartment
شقيق,أخت,كلت,آنيق,sister,brother
شكر,شاكر,شافي,إفر,grateful,thank
شمال,جنوب,جنائ,ثوال,south,north
شمسي,القمري,اللحري,عـسي,lunar,solar
شمعة,مصباح,باباح,ريعة,lamp,candle
شهادة,الشاهد,الشاقب,برادة,witness,testimony
شوكة,ملعقة,ملرثة,شواط,spoon,fork
شوكولاتة,السكر,العقر,شوكولاحل,sugar,chocolate
شيئا ما,لا شيئ,لالنيئ,شيرة ما,nothing,something
شيطان,ملاك,تجاك,شيذين,angel,devil
صاحب,خاصية,خايطة,حمحب,property,owner
صادق,مقبول,مقدال,صالع,decent,honest
صاروخ,صاروخ,ستروخ,هيروخ,rocket,missile
صافرة,بوق,اعق,قوفرة,horn,whistle
صباح,غدا,دحا,وظاح,tomorrow,morning
صبي,فتاة,فتحا,رصي,girl,boy
صحافة,زر,عظ,لهافة,button,press
صحافي,مراسل,مرصيل,صحندي,reporter,journalist
صداقة,علاقة,خطاقة,صدكية,relationship,friendship
صدر,معدة,رودة,اطر,stomach,chest
صديق,كلية,يكية,حقيق,colleague,friend
صغير,قليل,جنيل,قنير,little,small
صغيرة,عمر او قديم,عمر اوحدديم,عجيرة,old,young
صفقة,مغلف,مغشي,بـقة,envelope,package
صلب,الخرسانة,الحتسانة,وكب,concrete,steel
صلصة,كريم,جويم,صلحا,cream,sauce
صورة فوتوغرافية,صورة,اغرة,صورة فوتنسرافية,picture,photo
صيح,خاطئ - ظلم - يظلم,خاطئ  ظلم  يشام,حاح,wrong,correct
صيد السمك,الصيد,التهد,صيإحالسمك,hunting,fishing
ضباب,غيم,قرم,غضاب,cloud,fog
ضعيف,قوي,فذي,ازيف,strong,weak
طاقة,قوة,خية,طانا,power,energy
طاه,يطبخ,يطقظ,لده,cook,chef
طبيب,دكتور جراح,دكتوتسجراح,طبفي,surgeon,doctor
طحين,قمح,آيح,ممين,grain,flour
طريق,طريق,طرتم,لشيق,route,path
طعم,فخ,رؤ,حتم,trap,bait
طفره,تطور,ضرور,اوره,evolution,mutation
طفل,طفل,إهل,زيل,baby,child
طلب,الطلب,الدبب,إقب,demand,request
طماطم,البطاطس,البطآيس,طموشم,potato,tomato
طوعا، بمحض ارادتك,تطوع,شيوع,طوعاهدبمحض ارادتك,volunteer,voluntarily
طويل,قصيرة,ربيرة,ذكيل,short,long
طيار,رائد فضاء,رائدعوضاء,إضار,astronaut,pilot
ظهر السفينة,الطائرة,المضئرة,ظهسهالسفينة,cabin,deck
عاجزة,عاجز,عاصي,عادئة,helpless,powerless
عادي,صحيح,ركيح,لصدي,healthy,normal
عارية,ناقص,ناذة,بيرية,nude,naked
عاشق,عشيقة,دفيقة,عاصا,mistress,lover
عاصفه,ريح,هوح,عازبه,wind,storm
عاطفي,عقلي,جالي,عالوي,mental,emotional
عالم,العبقري,الإمقري,عاعه,genius,scientist
عالمي,وطني,لصني,عاركي,national,global
عامل,مزارع,مزرجع,عاسي,farmer,worker
عدالة,انتقام,تعتقام,لمالة,revenge,justice
عدل,البارون,الباحثن,مـل,baron,countess
عدوى,فايروس,فالأوس,مثوى,virus,infection
عديم القيمة,عديم الفائدة,عدتن الفائدة,عديم اتريمة,useless,worthless
عذر,اغفر,مقفر,اعر,forgive,excuse
عرش,تاج,يمج,قاش,crown,throne
عرف,تعرف,تعمك,تغف,recognize,knew
عروس,زوج,تذج,يصوس,groom,bride
عروسه لعبه,لعبة,لعظا,عروسه جابه,doll,toy
عصفور,فراشة,فرللة,عصكير,butterfly,bird
عصير,حليب,حلام,خدير,milk,juice
عضلة,عصب,تخب,اتلة,nerve,muscle
عطر,أحمر الشفاه,أحمر الشتقه,ونر,lipstick,perfume
عطش,جوع,كرع,قاش,hunger,thirst
عقد، عشر سنوات,مئة عام,شطة عام,عقد، عشر سوجات,century,decade
عكس ذلك,عكس,دسس,عكولذلك,opposite,contrary
علاج,علاج نفسي,علاجبتفسي,تراج,therapy,treatment
علم,تقنية,مينية,خطم,technology,science
علم النفس,تشريح,سيريح,علكنالنفس,anatomy,psychology
عمدا,بطريق الخطأ,بطريارالخطأ,أشدا,accidentally,intentionally
عمدة,شريف,صحيف,اردة,sheriff,mayor
عمليا,حرفيا,حراذا,بوليا,literally,practically
عموما,بطبيعة الحال,بطبينك الحال,عمكها,naturally,generally
عنوان,رقم,إصم,جموان,number,address
عيادة,مستشفى,مستشبث,عينهة,hospital,clinic
عيد الميلاد,ذكرى سنوية,ذكرى سداية,عيآنالميلاد,anniversary,birthday
غابة,غابة,غائه,توبة,jungle,forest
غادر,الصحيح,الخريح,نحدر,right,left
غاضب,غيور,للور,غاظه,jealous,angry
غالبا,بعض الأحيان,بعقفالأحيان,غادثا,sometimes,often
غباء,جنون,كمون,إساء,madness,stupidity
غبي,ساذج,ساوغ,زمي,naïve,stupid
غبي,مجنون,مجيئن,زمي,fool,idiot
غثيان,إسهال,ذتهال,avيان,diarrhea,nausea
غداء,وجبة خفيفة,بيبة خفيفة,زناء,snack,lunch
غرام,كيلو,كيهي,اوام,kilo,gram
غرفة نوم,مجال,ابال,غرفةنـوم,room,bedroom
غريب,غير عادي,غير تهدي,غرفي,unusual,strange
غسل,ينظف,ينرأ,شعل,clean,wash
غضب,غضب,ضبب,فدب,anger,rage
غطرسة,جهل,شفل,غطقبة,ignorance,arrogance
غوريلا,قرد,لند,غوريبه,monkey,gorilla
غياب,حضور,آنور,تشاب,presence,absence
غيتار,بيانو,اخانو,غيلير,piano,guitar
غير سارة,غير مريح,غيوبمريح,غيجرسارة,uncomfortable,unpleasant
غير قادر,عجز,ورز,غيعنقادر,inability,unable
غير مسؤول,غير منطقى,غيقومنطقى,غيظامسؤول,unreasonable,irresponsible
غير منصف,ظلم,beم,غيأقمنصف,injustice,unfair
فأر,الفأر,الؤثر,يغر,mouse,rat
فاكس,بريد,برره,فارح,mail,fax
فاكهة,تفاحة,تفيتة,فاصـة,apple,fruit
فانيلا,قرفة,قرمي,فاإغلا,cinnamon,vanilla
فترة,مرحلة,مرهمة,إقرة,phase,period
فجر,غروب الشمس,غروبنهلشمس,ذار,sunset,dawn
فدية,خطف,يوف,رشية,kidnapper,ransom
فرح,فخور,يذور,قيح,proud,excited
فرد,شخص,ليص,طاد,person,individual
فرض,الخضوع ل,الخضوعرب,موض,strength,force
فريدة من نوعها,خاص,مبص,فريدة منلكوعها,special,unique
فريق,الدوري,العمري,فرتم,league,team
فستان,تنورة,غرورة,تمتان,skirt,dress
فضة,ذهبي,وزبي,لخة,golden,silver
فضيحة,نميمة,لجيمة,عويحة,gossip,scandal
فعال,مفيد,مفتا,عقال,useful,effective
فعل,إيماءة,إيمابع,إدل,gesture,act
فعل,صنع,حفع,إدل,make,do
فقرة,الجزء,الفيء,تشرة,section,paragraph
فكر في,انصح,انكو,فكلهفي,consider,think
فلز,حديد,طليد,لمز,iron,metal
فندق صغير,الفندق,الأطدق,فندقوأغير,hotel,motel
فودكا,ويسكي,وياوي,بلدكا,whiskey,vodka
في احسن الاحوال,المثالي,الصيالي,فيستحسن الاحوال,ideal,perfect
في الامس,اليوم,الأفم,فيمذلامس,today,yesterday
في النهاية,أخيرا,أخطاا,فيحفلنهاية,finally,eventually
في داخل,الخارج,الخاكن,فيبزاخل,outside,inside
فيتامين,بروتين,برهمين,فيمحمين,protein,vitamin
فيديو,دي في دي,ديتيي دي,ولديو,dvd,video
فيروس العوز المناعي البشري,مساعدات,مساعترت,فيروس العوز المناعفمالبشري,aids,hiv
فيلم,إباحية,إبعاية,فيزي,porn,movie
قائد المنتخب,القائد,القارأ,قائد المنتأم,commander,captain
قاتل,القاتل,القاشي,قالف,killer,murderer
قاتل,المرتزقة,المرحدقة,قالف,mercenary,assassin
قاتلة - مهلك,مميت,حريت,قاتلئه مهلك,deadly,fatal
قارب,غواصة,غوطرة,قائه,submarine,boat
قاسية,قاسي,قامك,لوسية,brutal,cruel
قاضي,ملعب تنس,ملزم تنس,قالف,court,judge
قانوني,غير شرعي,خدر شرعي,قاتعني,illegal,legal
قبض على,إختطاف,إخمواف,قبباعلى,grab,catch
قبعة,خوذة,خوشى,ادعة,helmet,hat
قبعة,نظارات,اهارات,ادعة,glasses,cap
قبول,رفض,يطض,مضول,refuse,accept
قتل,الانتحار,الانتحقي,وخل,suicide,murder
قتل,سم,اص,وخل,poison,kill
قدر,قدر,تظر,رور,fate,destiny
قدرة,الاهلية,القسلية,شيرة,capacity,ability
قذرة,مقرف,مقسي,تقرة,nasty,filthy
قريب,افتح,افثل,وكيب,open,close
قرية,معسكر,معغفر,داية,camp,village
قصيدة,نص,ثف,اضيدة,text,poem
قضيب,المهبل,المهدد,تؤيب,vagina,penis
قطاع,وحدة,هيدة,بهاع,unit,division
قطة,كلب,حيب,تعة,dog,cat
قطعة,شظية,يئية,وخعة,fragment,piece
قف,يحول دون,يحولنتون,إط,prevent,stop
قفل,مفتاح,مفروح,لذل,key,lock
قلادة,جرس,ادس,جنادة,ring,necklace
قلعة,قصر,كـر,جنعة,palace,castle
قلق,هم,يذ,كمق,concern,worry
قلم جاف,ورق,ثوق,قلوزجاف,paper,pen
قمامة,قمامة، يدمر، يهدم,قمامة، يدمر، يضتم,مهامة,trash,garbage
قناص,الرامي,الرافق,طياص,shooter,sniper
قهوة,فنجان,موجان,meوة,cup,coffee
كآبة,ضغط عصبى,shط عصبى,eaبة,stress,depression
كائن فضائي,جسم غامض,جسناغامض,كائنللضائي,ufo,alien
كاتب,شاعر,شاـد,كامو,poet,writer
كارتل,المافيا,الماادا,كاقيل,mafia,cartel
كاف,كافية,تشفية,ـوف,enough,sufficient
كاهن,راهب,راطي,كالد,monk,priest
كتاب,الكتاب المقدس,الكتابطألمقدس,مقاب,bible,book
كتيبة,فوج,وذج,كتبهة,regiment,battalion
كدمة,خدش,غيش,ذومة,scratch,bruise
كذاب,راحه,راضك,نياب,lie,liar
كراج,ورشة عمل,ورشةويمل,كرتا,workshop,garage
كرامة,فخر,همر,بقامة,pride,dignity
كرة القدم,كرة سلة,كرغاسلة,كروذالقدم,basketball,football
كرسي,جدول,جدبي,كراه,table,chair
كريم,الرحمة,السعمة,جويم,compassionate,generous
كلمه السر,الشفرة,الخورة,كلمه اـعر,code,password
كنيسة صغيرة,كنيسة,دميسة,كنيسوأصغيرة,church,chapel
كهرباء,حاضر,حاقق,رغرباء,current,electricity
كهربائي,مغناطيسي,حيناطيسي,ذرربائي,magnetic,electric
كوكب الزهرة,كوكب المريخ,كوكباولمريخ,كوكب اأمهرة,mars,venus
كولونيل,جنرال لواء,جنرال زلاء,كوفينيل,general,colonel
كوميديا,دراما,تحاما,كوميائا,drama,comedy
كونياك,رم,كأ,كوشباك,rum,cognac
كيس,صندوق,طودوق,اطس,box,bag
كيك,حلوى,حلين,ظرك,dessert,cake
لاعب,مدرب رياضي,مدربطاياضي,لاكة,coach,player
لافت للنظر,استثنائية,استثنااسة,لافت للنتف,exceptional,remarkable
لجنة,لجنة,رونة,رونة,commission,committee
لحم,لحم خنزير,لحم خنيبر,يـم,pork,meat
لحم مقدد,خبز محمص,خبونمحمص,لحم مقفع,toast,bacon
لحية,شعر,ربر,كزية,hair,beard
لذيذ,طيب المذاق,طيب الحلاق,لذاغ,tasty,delicious
لطيف,لين,سنن,كتيف,soft,gentle
لعبة البوكر,القمار,الزاار,لعبة البنتر,gambling,poker
لعبه,لعب,ائب,لعدي,play,game
لقاء,مؤتمر,مؤوفر,اصاء,conference,meeting
لقب,اسم الشهرة,اسطنالشهرة,نيب,nickname,surname
لقب,اسم,زام,نيب,name,title
لهب,إطلاق النار,إطلاعوالنار,حوب,fire,flame
لهجة,صوت بشري,صوبتبشري,هرجة,voice,accent
لوحة,صحن,كرن,صلحة,bowl,plate
ليبرالية,محافظ,خلافظ,ليبرالمض,conservative,liberal
ليموزين,سيارة اجره,سياراواجره,ليلمزين,taxi,limousine
لينغ,مينغ,ميمن,ليدو,ming,ling
مأتم,نعش,شاش,تمتم,coffin,funeral
مأساوي,حزين,رقين,أجساوي,sad,tragic
مأوى,لجأ,ـدأ,لذوى,refuge,shelter
مؤخرا,فقط,طيط,مؤـدا,just,recently
مؤخرة,أمامي,علامي,مؤاثة,front,rear
مؤسسة,شركة,شرعب,مؤظية,company,corporation
ما يزال,سابقا,سارسا,ماسنزال,already,still
مائة,ألف,يـف,مافع,thousand,hundred
مائع,السائل,السالس,ماخن,liquid,fluid
مادة الاحياء,كيمياء,أشمياء,مادةلئلاحياء,chemistry,biology
مادة متفجرة,قنبلة,عجبلة,مادة متفوقة,bomb,explosive
ماضي,مستقبل,مستقطة,مازة,future,past
مال,السيولة النقدية,السيمسة النقدية,لتل,cash,money
ماما,أبي,ئدي,لرما,daddy,mum
مايونيز,كاتشب,كامكب,مايورنز,ketchup,mayonnaise
مباشرة,مباشرة,مبرارة,مبكررة,direct,directly
مبالغة,يقلل من شأن,يقللدلن شأن,كمالغة,underestimate,exaggerate
مبتل,جاف,تيف,مبشي,dry,wet
مبكرا,متأخر,متبار,مبطوا,late,early
متجر,متجر,متلا,متلا,shop,store
متحف,مكتبة,مكوعة,متئى,library,museum
متخرج,شهادة دبلوم,شهادئكدبلوم,متدفج,diploma,graduate
متخصص,خبير,فجير,متفرص,expert,specialist
متر,كيلومتر,كيلوحير,ابر,kilometer,meter
متزوجة,غير مرتبطة,غييثمرتبطة,متزوج \ليمتزوجة,single,married
متلازمة,علامة مرض,علامبإمرض,متلاختة,symptom,syndrome
متوتر,قلق,جنق,متيقر,worried,nervous
متوسط,قليل,جنيل,متاكط,low,high
متوفى,على قيد الحياة,على قيد الاواة,متسكى,alive,dead
مثلث,دائرة,داظمة,مثطخ,circle,triangle
مثير للانتباه,مثير,عدير,مثيرقتلانتباه,exciting,interesting
مثير للشفقة,بائس,باok,مثيرتولشفقة,miserable,pathetic
مجانا,بحرية,بحماة,نتانا,freely,free
مجد,المجيد,البأيد,لند,glorious,glory
مجرم,لص,طف,مجيو,thief,criminal
مجلة,بلاي بوي,بلاييفوي,صيلة,playboy,magazine
مجلس الشيوخ,البرلمان,البرابان,مجلس اتايوخ,parliament,senate
مجموعة,عصابة,ضرابة,مجراعة,gang,group
مجنون,المذعور,المذنير,ابنون,paranoid,crazy
مجهر,تلسكوب,تليسوب,مجرو,telescope,microscope
مجهول,مجهول,مجسجل,مجصيل,anonymous,unknown
محارب,جندي,تأدي,قرارب,soldier,warrior
محاضرة,ندوة,بـوة,محاضعا,seminar,lecture
محاولة,يحاول,مجاول,محاوقف,try,attempt
محبوب,لطيف,كتيف,محشرب,nice,lovely
محتشم,متواضع,متوابق,محهضم,humble,modest
محرك,خزان,فمان,محاف,tank,engine
محطة,برنامج,لمنامج,ياطة,platform,station
محفظة نقود,جيب,تكب,محفظوتنقود,pocket,wallet
محقق,المحلل,المحدو,محطى,analyst,investigator
محلي,إقليمي,اسليمي,ئولي,regional,local
محيط,نصف القطر,نصف التزر,محظر,radius,perimeter
محيط,لحر,نطر,محظر,sea,ocean
مخبر,مصدر,لتدر,مخال,source,informant
مختلف,مماثل,ممهيل,مخارف,similar,different
مخلص,مخلص,مخاث,مخذب,loyal,faithful
مخلوق,مسخ,روخ,مخشاق,monster,creature
مدخل,خروج,هدوج,مدكب,exit,entrance
مدرسة,صف دراسي,صفسحراسي,مدقبة,class,school
مدى الحياة,أبدي,أبقا,مدى الحيتا,eternal,forever
مدير,منتج,مندس,أفير,producer,director
مدينة,رأس المال,رألكالمال,أفينة,capital,city
مذنب,بريىء,برضهء,سجنب,innocent,guilty
مذهل,مثيرة,عديرة,مذحت,sensational,spectacular
مرآة,انعكاس,انتىاس,مرys,reflection,mirror
مراسم,شعيرة,أديرة,مريام,ritual,ceremony
مرافقة,مرافقة,مرافنه,مرافعا,escort,accompany
مراقب,شاشة,شاـر,مربوب,screen,monitor
مراهقة,سن المراهقة,سنذهلمراهقة,مرمشقة,teenage,teenager
مرح,بكل سرور,بكسبسرور,الح,pleasure,joy
مرحلة الطفولة,شباب,فناب,مرحلمنالطفولة,youth,childhood
مرض,أنفلونزا,أنفلوناض,هاض,flu,disease
مرض,سوف,ياف,هاض,ill,sick
مرفأ,شراء,شرون,مرجو,bay,harbor
مريب,مخيف,يريف,مرفي,scary,creepy
مسؤول,معرض,معفت,مسجمل,fair,reasonable
مساعد,سكرتير,سكرتاح,مسديد,secretary,assistant
مساعدة,الدعم,البتم,مساعما,support,assistance
مساعدة,مساعدة,مساعما,مساعما,help,assist
مسبار,كبسولة,حفسولة,مساؤر,capsule,probe
مستخدم,بشكل طبيعي,بشكل طبينج,مستخهر,normally,usually
مسرح,سينما,سييتا,مسكس,cinema,theater
مسيحي,كاثوليكي,كاتدليكي,مسثري,catholic,christian
مشتبه فيه,شك,ئق,مشتبدءفيه,doubt,suspect
مشتر,تاجر,تائج,مشجي,seller,buyer
مشرق,يلمع,يلتح,مشاج,shine,bright
مشروب غازي,عصير الليمون,عصير اللأطون,مشرويةغازي,lemonade,soda
مشكلة,مشكلة,مشاوة,مشصية,trouble,problem
مشهور,جمع,وإع,مشجعر,popular,famous
مصاص دماء,الاموات الاحياء,الاموات الاحتمء,مصاصروماء,zombie,vampire
مصطنع,طبيعي,تزيعي,مصبضع,natural,artificial
مصل,مضاد سمي,مضادمامي,غفل,antidote,vaccine
مصور فوتوغرافي,توقيعه,توجرعه,مصورجلوتوغرافي,autograph,photographer
مصيبة,لسوء الحظ,لسعة الحظ,بجيبة,unfortunate,misfortune
مصيبة,قارة,فجرة,بجيبة,situation,crisis
مضحك,بارع,باته,مضكه,witty,funny
مضغ,السنونو,اللعونو,قبغ,swallow,chew
مطار,طرفية,لشفية,عرار,terminal,airport
مطاردة,إتبع,إتيز,تغاردة,follow,chase
مطعم,حانة,حايا,عرعم,pub,restaurant
معالجة,مراقبة,مراقين,معالـت,control,manipulate
معتاد,عادي,عاون,أستاد,ordinary,usual
معرض,صالة عرض,صالةتفرض,معفت,gallery,exhibition
معركة,حرب,قوب,معزوة,war,battle
معقول,تفسير,تفتشر,معاهل,explanation,plausible
معكرونة,لازانيا,لاعلنيا,نشكرونة,lasagna,spaghetti
معلم,طالب علم,طالبككلم,مععه,student,teacher
معلومة,بيانات,اخانات,معلواز,data,information
مغبر,صدئ,نبئ,دوبر,rusty,dusty
مغلق,مقفل,مقان,حيلق,locked,closed
مفاعل,مولد كهرباء,مولد كلوباء,مفسول,generator,reactor
مفوض,مفتش,عمتش,مفسن,inspector,commissioner
مقاتل,بطل,ضـل,دماتل,champion,fighter
مقال,وصول,لكول,تفال,arrival,departure
مقبرة,خطير,ستير,اجبرة,grave,cemetery
مقدار,مجموع,مجيـع,مقتور,sum,amount
مقر,يتمركز,يتآمكز,اظر,base,headquarters
مقزز,قذر,رخر,مقke,dirty,disgusting
مكان ما,في مكان آخر,فيهيكان آخر,مكانعرا,elsewhere,somewhere
مكتب المدير,الحمام,المعام,مكتبئةلمدير,toilet,sink
مكتب. مقر. مركز,طاولة مكتب,طاولة مكاث,مكتب. مقر.ظوركز,desk,office
ملك,ملكة,ملقك,تجك,queen,king
مليار,مليون,ملامن,لقيار,million,billion
ممارسه الرياضه,ممارسة,مماربت,ممارسه الريادو,practice,exercise
ممتلىء,فارغة,فانبة,ممتلكب,empty,full
مملكة,رويال,لفيال,ممتية,royal,kingdom
منديل,قماش,قمخل,منهال,cloth,handkerchief
منشفة,بطانية,ترانية,منصحة,blanket,towel
منطقة,مساحة,مسدسة,منكدة,area,zone
منطقة,مقاطعة,مقزرعة,منكدة,county,district
مهاجم,ضحية,جبية,مهتحم,victim,attacker
مهرجان,الكرنفال,تذكرنفال,مهتهان,carnival,festival
مهمة,مهمة,مهتر,رامة,task,mission
مهندس معماري,مهندس,مهؤوس,مهندعكمعماري,engineer,architect
موافقة,الإذن,الدخن,موافعا,permission,approval
موت,يعاني,نساني,زات,suffer,die
موجه,السبب,الصفب,مومن,reason,cause
مورفين,أسبرين,أساقين,موتاين,aspirin,morphine
موسيقى,موسيقى الجاز,موسينز الجاز,موسيغي,jazz,music
موسيقي او عازف,مغني,حيني,موسيتح او عازف,singer,musician
موضوعات,هدف,فوف,موتفعات,object,subject
موقد,فرن,ـأن,مورل,oven,stove
موقعك,مكان,وران,مواشك,place,location
موقف سلوك,رأي,سبي,موقفاتلوك,opinion,attitude
موهبة,القدره,الإلره,مورصة,potential,talent
ميدالية,غنيمة,خميمة,مينيلية,trophy,medal
ميداليون,الأداة,الالاة,ميابليون,artifact,medallion
ميكانيكي,تقني,رتني,ميكانياك,technical,mechanical
ميكروفون,الة تصوير,الوئتصوير,ميكرقبون,camera,microphone
نادرا,من حين اخر,من حينحسخر,ناهيا,occasionally,rarely
نادلة,النادل,النافع,ناتوة,waiter,waitress
ناقص,زائد,أزئد,ناكك,plus,minus
نجارة,أول,اطل,موارة,senior,junior
نجمة,نجاح كبير,نجاحسسبير,دحمة,celebrity,star
ندب,وشم,ضتم,ؤوب,tattoo,scar
نشاط,نشيط,نشظر,نشكة,active,activity
نظرية,فكرة,ذارة,اهرية,idea,theory
نعم,حسنا,يفنا,زيم,okay,yeah
نفسي,طبي,تزي,نفمك,medical,psychological
نفط,فحم,شجم,ساط,coal,oil
نفق,كوبري,كورسي,قاق,bridge,tunnel
نفي,إيجابي,تبجابي,قعي,positive,negative
نقاش,محادثة,محاداذ,للاش,conversation,discussion
نقل,نقل,صال,صال,move,transfer
نكتة,الخدعة,العضعة,غلتة,trick,joke
نمط,على نفس المنوال,على نفوذالمنوال,ƒطط,rhythm,style
نووي,الذري,السهي,شيوي,atomic,nuclear
نية,هدف,فوف,بكة,purpose,intention
هاتف,يتصل,يتمن,هاne,call,telephone
هبة,الاعمال الخيرية,الاعدةل الخيرية,لطة,charity,donation
هجوم,غزو,لبو,طيوم,invasion,attack
هدوء,هادئ,هاهز,هدلص,quiet,calm
هدية مجانية,إطراء,لصراء,فضية مجانية,compliment,gift
هرب,فرار,نطار,جبب,flee,escape
هلوسة,وهم,ائم,هلكتة,illusion,hallucination
هليكوبتر,سياره اسعاف,سيارحكاسعاف,هلبنوبتر,ambulance,helicopter
همبرغر,ساندويتش,ساندمرتش,همبربط,sandwich,hamburger
هناك,هنا,صرا,نزاك,here,there
هيدروجين,كربون,أنبون,هيدريلين,carbon,hydrogen
هيكل,هرم,ذتم,هيرح,pyramid,structure
واتسون,شيرلوك,شيئيوك,واراون,sherlock,watson
واجب,المسئولية,المستسلية,واصر,responsibility,duty
واسع,ضيق,تزق,واقق,narrow,wide
وباء,طاعون,طافين,وبسي,plague,epidemic
وثيقة,ملف,فوف,لزيقة,file,document
وجبة,غذاء,عكاء,وجاه,food,meal
وجبة افطار,وجبة عشاء,خطبة عشاء,وجبة اتفار,dinner,breakfast
وحي - الهام,يلهم,ركهم,وحتى الهام,inspire,inspiration
وحيدا,وحده,وحقي,هييدا,alone,lonely
وداعا,أهلا,بحلا,بضاعا,hello,bye
ودود,مؤدب,مؤمج,ننود,polite,friendly
وزيرة,سفير,مذير,فكيرة,ambassador,minister
وصف,الملف الشخصي,الملف الأهصي,لكف,profile,description
وضع,إدراج,صوراج,نرع,insert,put
وضع,الحالة,السولة,نرع,status,position
وظيفي,التشغيل,التشمبل,وظزلي,operational,functional
وقت الظهيرة,منتصف الليل,منتصتطالليل,وقنىالظهيرة,midnight,noon
وكالة,مؤسسة,مؤمغة,تلالة,firm,agency
ولد عم,نسبيا,نسألا,ولآنعم,relative,cousin
ويب,إنترنت,إنلمنت,طحب,internet,web
يؤمن,آمنة,شبنة,خصمن,safe,secure
يبدو,الضوضاء,الكشضاء,يبنغ,noise,sound
يبني,اعمال بناء,اعماقنبناء,سيني,construction,build
يترك,السماح,اللساح,خبرك,allow,let
يجتمع,يجمع,يججة,يجورع,collect,gather
يجتمع,يرى,بتى,يجورع,see,meet
يحتاج,من الضروري,من الضتذري,فاتاج,necessary,need
يحدث,يحدث,يحبق,يحبق,occur,happen
يحذب,يدفع,إخفع,يحـك,push,pull
يحظر,محرم,محكت,يحبب,forbidden,prohibit
يخاف,رعب,نأب,تداف,horror,fear
يخبار,قل,ئك,إمبار,say,tell
يخبر,نقل,صال,يخاة,report,inform
يخفي,التغطية,البحطية,لسفي,cover,hide
يدور في مدار,كوكب,كوخل,يدوربعي مدار,planet,orbit
يرث,إرث,شبث,حـث,heritage,inherit
يسمع,استمع,اسلاع,يسجة,listen,hear
يشكر,حسن الضيافة,حسإعالضيافة,وتكر,hospitality,gratitude
يشير,نقطة,نقتر,يشان,point,indicate
يصدق,يثق,طيق,يصلع,trust,believe
يصلح,يصلح,يصىء,يصبن,fix,repair
يضحك,ابتسامة,مجتسامة,يضكه,smile,laugh
يطلب,سؤال,ظرال,رفلب,question,ask
يطير,الأرض,الهاض,نزير,land,fly
يعبر,يصف,قحف,كابر,describe,express
يعد,ضمان,آخان,آبد,guarantee,promise
يعطى,عرض,يصض,يعاش,offer,give
يعلم,يتعلم,يتزوم,يععه,learn,teach
