"word_combo","ja_cue","ja_target","type","cue_type","target_type","ja_cosine","M_Z","SD_Z","SE_Z","sampleN","done"
"をえ顕微鏡","をえ","顕微鏡","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"をぬききはなら悔早","をぬききはなら","悔早","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"をぬききはなら音楽家","をぬききはなら","音楽家","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"をん怒らせる","をん","怒らせる","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"をん門く手","をん","門く手","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ンークローゼット","ンー","クローゼット","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"ンー恕謝らた","ンー","恕謝らた","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ンハヌョソ貯望","ンハヌョソ","貯望","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"ンハヌョソ軍","ンハヌョソ","軍","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"一ファンタジー","一","ファンタジー","unrelated","word","word",0.395558049952956,NA,NA,NA,NA,NA
"一ポシ的け","一","ポシ的け","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"一三","一","三","related","word","word",0.86933206473918,NA,NA,NA,NA,NA
"一度もないこれまで","一度もない","これまで","related","word","word",0.962211183577428,NA,NA,NA,NA,NA
"一度もない学は久わろ","一度もない","学は久わろ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"一度もない破壊","一度もない","破壊","unrelated","word","word",0.895527950126793,NA,NA,NA,NA,NA
"一於准く","一於","准く","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"一於本物の","一於","本物の","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"一族ソピ岳","一族","ソピ岳","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"一族人工衛星","一族","人工衛星","unrelated","word","word",0.952635174293076,NA,NA,NA,NA,NA
"一族家族","一族","家族","related","word","word",0.769744606310452,NA,NA,NA,NA,NA
"一滴ホー","一滴","ホー","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"一滴一口","一滴","一口","related","word","word",0,NA,NA,NA,NA,NA
"一滴先生","一滴","先生","unrelated","word","word",0,NA,NA,NA,NA,NA
"一覗ソン神宜呂","一覗ソン","神宜呂","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"一覗ソン約束","一覗ソン","約束","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"丁療残告カー","丁療","残告カー","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"丁療筋肉","丁療","筋肉","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"三欠テア","三欠","テア","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"三欠政府","三欠","政府","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"下上","下","上","related","word","word",0.860314022609317,NA,NA,NA,NA,NA
"下冗段","下","冗段","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"下痢たの","下痢","たの","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"下痢傲慢","下痢","傲慢","unrelated","word","word",0.951619324178341,NA,NA,NA,NA,NA
"下痢吐き気","下痢","吐き気","related","word","word",0.948536130322764,NA,NA,NA,NA,NA
"下身代金","下","身代金","unrelated","word","word",0.434304103120563,NA,NA,NA,NA,NA
"不健康な何胞抂","不健康な","何胞抂","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"不健康な十年","不健康な","十年","unrelated","word","word",0,NA,NA,NA,NA,NA
"不健康な病気の","不健康な","病気の","related","word","word",0,NA,NA,NA,NA,NA
"不可コンテンツ","不可","コンテンツ","unrelated","word","word",0.807770518307062,NA,NA,NA,NA,NA
"不可ポふ","不可","ポふ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"不可不可能","不可","不可能","related","word","word",0.969375789944239,NA,NA,NA,NA,NA
"不可能なたげ","不可能な","たげ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"不可能な簡単な","不可能な","簡単な","related","word","word",0,NA,NA,NA,NA,NA
"不可能な総合大学","不可能な","総合大学","unrelated","word","word",0,NA,NA,NA,NA,NA
"不合理なアリバイ","不合理な","アリバイ","unrelated","word","word",0,NA,NA,NA,NA,NA
"不合理な伶にり","不合理な","伶にり","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"不合理な無責任な","不合理な","無責任な","related","word","word",0,NA,NA,NA,NA,NA
"不幸ななにか","不幸な","なにか","unrelated","word","word",0,NA,NA,NA,NA,NA
"不幸な不幸","不幸な","不幸","related","word","word",0,NA,NA,NA,NA,NA
"不幸な炉硯","不幸な","炉硯","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"不忙ンルフ","不忙ン","ルフ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"不忙ン電話","不忙ン","電話","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"不快なサンダー","不快な","サンダー","unrelated","word","word",0,NA,NA,NA,NA,NA
"不快なディマ","不快な","ディマ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"不快な不潔な","不快な","不潔な","related","word","word",0,NA,NA,NA,NA,NA
"不正不公平な","不正","不公平な","related","word","word",0,NA,NA,NA,NA,NA
"不正匂い","不正","匂い","unrelated","word","word",0.0255425569090192,NA,NA,NA,NA,NA
"不正季杖","不正","季杖","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"不自由なたへ","不自由な","たへ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"不自由な無力な","不自由な","無力な","related","word","word",0,NA,NA,NA,NA,NA
"不自由な試合","不自由な","試合","unrelated","word","word",0,NA,NA,NA,NA,NA
"与え害れの","与え","害れの","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"与え自由な","与え","自由な","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"与ほ寺完平てす","与ほ","寺完平てす","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"与ほ武装","与ほ","武装","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"丘反応炉","丘","反応炉","unrelated","word","word",0,NA,NA,NA,NA,NA
"丘山","丘","山","related","word","word",0.847316483341306,NA,NA,NA,NA,NA
"丘端ぬね","丘","端ぬね","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"丙分住所","丙分","住所","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"丙分畿戒ステナン","丙分","畿戒ステナン","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"丞点ケション","丞点","ケション","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"丞点ディン","丞点","ディン","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"並秘げけ危険な","並秘げけ","危険な","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"並秘げけ簀阹","並秘げけ","簀阹","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"並通クショップ久十","並通クショップ","久十","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"並通クショップ割る","並通クショップ","割る","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"串者同情","串者","同情","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"串者文ねる","串者","文ねる","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"丸稿ト万ゲ","丸稿","ト万ゲ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"丸稿バカ","丸稿","バカ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"丹嗣迪ロフ","丹嗣迪","ロフ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"丹嗣迪闘士","丹嗣迪","闘士","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"主人婦人","主人","婦人","related","word","word",0.912006790527251,NA,NA,NA,NA,NA
"主人思息","主人","思息","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"主人恋人","主人","恋人","unrelated","word","word",0.79867344964894,NA,NA,NA,NA,NA
"主留的シェワード","主留的","シェワード","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"主留的膝","主留的","膝","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"乗り物乗用車","乗り物","乗用車","related","word","word",0.925886085487724,NA,NA,NA,NA,NA
"乗り物告発","乗り物","告発","unrelated","word","word",0.960833645682352,NA,NA,NA,NA,NA
"乗り物贈侶ージ","乗り物","贈侶ージ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"乗るり分析","乗るり","分析","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"乗るり矢学物","乗るり","矢学物","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"乗客ストーブ","乗客","ストーブ","unrelated","word","word",0.479227548516083,NA,NA,NA,NA,NA
"乗客准く","乗客","准く","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"乗客運転手","乗客","運転手","related","word","word",0.695528905622332,NA,NA,NA,NA,NA
"乗組員器具","乗組員","器具","unrelated","word","word",0,NA,NA,NA,NA,NA
"乗組員囹宴","乗組員","囹宴","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"乗組員船","乗組員","船","related","word","word",0.753137680479013,NA,NA,NA,NA,NA
"乙埃失望","乙埃","失望","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"乙埃追億院","乙埃","追億院","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"九月十月","九月","十月","related","word","word",0.574635386602959,NA,NA,NA,NA,NA
"九月干擬む","九月","干擬む","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"九月献身","九月","献身","unrelated","word","word",0.576362437607645,NA,NA,NA,NA,NA
"也の土斤で救思ケティグン","也の土斤で","救思ケティグン","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"也の土斤で金融の","也の土斤で","金融の","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"也元教育","也元","教育","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"也元明らテス","也元","明らテス","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"乳母メイド","乳母","メイド","related","word","word",0,NA,NA,NA,NA,NA
"乳母総給とらもしい","乳母","総給とらもしい","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"乳母重要性","乳母","重要性","unrelated","word","word",0,NA,NA,NA,NA,NA
"乾いたカッ","乾いた","カッ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"乾いた不可能","乾いた","不可能","unrelated","word","word",0,NA,NA,NA,NA,NA
"乾いた湿った","乾いた","湿った","related","word","word",0,NA,NA,NA,NA,NA
"予暖ライオン","予暖","ライオン","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"予暖匠者","予暖","匠者","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"予李ぬバニラ","予李ぬ","バニラ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"予李ぬ症気ト","予李ぬ","症気ト","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"予算アドバイス","予算","アドバイス","unrelated","word","word",0.762787638323202,NA,NA,NA,NA,NA
"予算資金","予算","資金","related","word","word",0.893911994650139,NA,NA,NA,NA,NA
"予算軽暦的せ","予算","軽暦的せ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"争岡チェア早い","争岡チェア","早い","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"争岡チェア阪詛","争岡チェア","阪詛","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"争米俳優","争米","俳優","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"争米玉会ンチック","争米","玉会ンチック","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"争脈ひ当もせバッ能","争脈ひ当もせ","バッ能","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"争脈ひ当もせフランス語","争脈ひ当もせ","フランス語","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"事夫ごベッドルーム","事夫ご","ベッドルーム","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"事夫ごラネ","事夫ご","ラネ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"事業プログラム","事業","プログラム","related","word","word",0.876119377621128,NA,NA,NA,NA,NA
"事業ワイ言報","事業","ワイ言報","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"事業懸念","事業","懸念","unrelated","word","word",0,NA,NA,NA,NA,NA
"二りん","二","りん","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"二四","二","四","related","word","word",0.928748591026873,NA,NA,NA,NA,NA
"二断片","二","断片","unrelated","word","word",0.762776613880483,NA,NA,NA,NA,NA
"二板感情の","二板","感情の","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"二板鋭訂考","二板","鋭訂考","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"二次クラティビティ","二次","クラティビティ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"二次ほうび","二次","ほうび","unrelated","word","word",0,NA,NA,NA,NA,NA
"二次主要な","二次","主要な","related","word","word",0,NA,NA,NA,NA,NA
"亏冬え","亏","冬え","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"亏防御する","亏","防御する","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"交化ティブ子","交化ティブ","子","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"交化ティブ木薏い","交化ティブ","木薏い","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"交換するコソクリーター","交換する","コソクリーター","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"交換する代わりの","交換する","代わりの","related","word","word",0,NA,NA,NA,NA,NA
"交換する陰茎","交換する","陰茎","unrelated","word","word",0,NA,NA,NA,NA,NA
"亥糯人殺し","亥糯","人殺し","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"亥糯所街","亥糯","所街","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"亥裏賍唐天皇","亥裏賍唐","天皇","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"亥裏賍唐昨家も","亥裏賍唐","昨家も","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"亦きゅふ指紋","亦きゅふ","指紋","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"亦きゅふ稚こ","亦きゅふ","稚こ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"亦北みろリッチ","亦北みろ","リッチ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"亦北みろ練含夭季","亦北みろ","練含夭季","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"人とてャック","人","とてャック","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"人ボストン","人","ボストン","unrelated","word","word",0.429934484058656,NA,NA,NA,NA,NA
"人個人","人","個人","related","word","word",0.555182337047177,NA,NA,NA,NA,NA
"人口ソーダ","人口","ソーダ","unrelated","word","word",0.687656223650326,NA,NA,NA,NA,NA
"人口人々","人口","人々","related","word","word",0.668500350159654,NA,NA,NA,NA,NA
"人口知職ラ","人口","知職ラ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"人工物デド","人工物","デド","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"人工物冷たい","人工物","冷たい","unrelated","word","word",0,NA,NA,NA,NA,NA
"人工物大メダル","人工物","大メダル","related","word","word",0,NA,NA,NA,NA,NA
"人形おもちゃ","人形","おもちゃ","related","word","word",0.949905328621019,NA,NA,NA,NA,NA
"人形シーガ","人形","シーガ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"人形知的な","人形","知的な","unrelated","word","word",0,NA,NA,NA,NA,NA
"人投感動させる","人投","感動させる","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"人投里十","人投","里十","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"人気の庀り","人気の","庀り","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"人気の情報提供者","人気の","情報提供者","unrelated","word","word",0,NA,NA,NA,NA,NA
"人気の有名な","人気の","有名な","related","word","word",0,NA,NA,NA,NA,NA
"人種差別主義者パフォーマンス","人種差別主義者","パフォーマンス","unrelated","word","word",0,NA,NA,NA,NA,NA
"人種差別主義者共産主義者","人種差別主義者","共産主義者","related","word","word",0,NA,NA,NA,NA,NA
"人種差別主義者生頓","人種差別主義者","生頓","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"人質囚人","人質","囚人","related","word","word",0.759333967413843,NA,NA,NA,NA,NA
"人質生産する","人質","生産する","unrelated","word","word",0,NA,NA,NA,NA,NA
"人質襌路","人質","襌路","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"仁鋪オレンジ","仁鋪","オレンジ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"仁鋪㢸へ","仁鋪","㢸へ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"今うつ","今","うつ","unrelated","word","word",0.728499674464055,NA,NA,NA,NA,NA
"今カッベー","今","カッベー","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"今日うそつき","今日","うそつき","unrelated","word","word",0.95354689951932,NA,NA,NA,NA,NA
"今日庁為ク","今日","庁為ク","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"今日昨日","今日","昨日","related","word","word",0.949834253748776,NA,NA,NA,NA,NA
"今知る","今","知る","related","word","word",0.689529682153538,NA,NA,NA,NA,NA
"仏瑰入帽子","仏瑰入","帽子","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"仏瑰入渇ぴ","仏瑰入","渇ぴ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"仔佇おぞましい","仔佇","おぞましい","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"仔佇につすほ","仔佇","につすほ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"仕のギリシャ語","仕の","ギリシャ語","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"仕の唐着な","仕の","唐着な","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"他の場所でどこかに","他の場所で","どこかに","related","word","word",0.961870385631008,NA,NA,NA,NA,NA
"他の場所で夷散","他の場所で","夷散","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"他の場所で犯罪の","他の場所で","犯罪の","unrelated","word","word",0,NA,NA,NA,NA,NA
"他図ネードサソ","他図ネード","サソ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"他図ネードペン","他図ネード","ペン","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"付悠ぬ政治的な","付悠ぬ","政治的な","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"付悠ぬ話う","付悠ぬ","話う","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"代理人予暖むの","代理人","予暖むの","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"代理人探偵","代理人","探偵","related","word","word",0.740738717686012,NA,NA,NA,NA,NA
"代理人西部の","代理人","西部の","unrelated","word","word",0,NA,NA,NA,NA,NA
"以貨タロ","以貨","タロ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"以貨修復する","以貨","修復する","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"仮悦な冷たい","仮悦な","冷たい","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"仮悦な禅揚","仮悦な","禅揚","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"仲唏ハン見実","仲唏","ハン見実","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"仲唏願い","仲唏","願い","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"任个フルーツ","任个","フルーツ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"任个ポふ","任个","ポふ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"企分内部","企分","内部","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"企分夘","企分","夘","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"休養チスト","休養","チスト","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"休養バットマン","休養","バットマン","unrelated","word","word",0,NA,NA,NA,NA,NA
"休養睡眠","休養","睡眠","related","word","word",0,NA,NA,NA,NA,NA
"会社法人","会社","法人","related","word","word",0.787780401675977,NA,NA,NA,NA,NA
"会社熱","会社","熱","unrelated","word","word",0.722962160338143,NA,NA,NA,NA,NA
"会社藩済","会社","藩済","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"会話リクエスト","会話","リクエスト","unrelated","word","word",0.236833448227613,NA,NA,NA,NA,NA
"会話討論","会話","討論","related","word","word",0.436988719394911,NA,NA,NA,NA,NA
"会話題杢げ","会話","題杢げ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"会議バンド","会議","バンド","unrelated","word","word",0.788231141630812,NA,NA,NA,NA,NA
"会議ミーティング","会議","ミーティング","related","word","word",0.729274922623902,NA,NA,NA,NA,NA
"会議圧然","会議","圧然","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"似ている葉師主我日","似ている","葉師主我日","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"似ている違う","似ている","違う","related","word","word",0.638127198311886,NA,NA,NA,NA,NA
"似ている野球","似ている","野球","unrelated","word","word",0.462466104136824,NA,NA,NA,NA,NA
"低いアッパー","低い","アッパー","related","word","word",0.840756522877305,NA,NA,NA,NA,NA
"低いジェ","低い","ジェ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"低いほこりの多い","低い","ほこりの多い","unrelated","word","word",0,NA,NA,NA,NA,NA
"低い必酙","低い","必酙","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"低い打ち明ける","低い","打ち明ける","unrelated","word","word",0,NA,NA,NA,NA,NA
"低い高い","低い","高い","related","word","word",0.956472096523679,NA,NA,NA,NA,NA
"住人大家","住人","大家","related","word","word",0.788223805422446,NA,NA,NA,NA,NA
"住人考閏","住人","考閏","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"住人電気","住人","電気","unrelated","word","word",0.860117551466352,NA,NA,NA,NA,NA
"住薏いに","住薏","いに","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"住薏レース","住薏","レース","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"住虫所ウグ","住虫所","ウグ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"住虫所クライアント","住虫所","クライアント","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"体プランプ","体","プランプ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"体死体","体","死体","related","word","word",0.67918920904795,NA,NA,NA,NA,NA
"体物軽暦的せ","体物","軽暦的せ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"体物録音","体物","録音","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"体重ジュッチ","体重","ジュッチ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"体重処理","体重","処理","unrelated","word","word",0.587755819215344,NA,NA,NA,NA,NA
"体重身長","体重","身長","related","word","word",0.923430544604804,NA,NA,NA,NA,NA
"体金融の","体","金融の","unrelated","word","word",0,NA,NA,NA,NA,NA
"何それ","何","それ","related","word","word",0.86987728234474,NA,NA,NA,NA,NA
"何もないなにか","何もない","なにか","related","word","word",0.95413074511994,NA,NA,NA,NA,NA
"何もないバカ","何もない","バカ","unrelated","word","word",0.953152613011733,NA,NA,NA,NA,NA
"何もない雁ケ","何もない","雁ケ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"何必理ダ","何","必理ダ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"何管理の","何","管理の","unrelated","word","word",0,NA,NA,NA,NA,NA
"余分のサインパン","余分の","サインパン","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"余分の画家","余分の","画家","unrelated","word","word",0,NA,NA,NA,NA,NA
"余分の追加の","余分の","追加の","related","word","word",0,NA,NA,NA,NA,NA
"余去シーファックス","余去シー","ファックス","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"余去シー必理ダ","余去シー","必理ダ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"作るサーバント","作る","サーバント","unrelated","word","word",0,NA,NA,NA,NA,NA
"作る久十","作る","久十","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"作る行う","作る","行う","related","word","word",0,NA,NA,NA,NA,NA
"作成する杯うなも","作成する","杯うなも","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"作成する生産する","作成する","生産する","related","word","word",0,NA,NA,NA,NA,NA
"作成する難しい","作成する","難しい","unrelated","word","word",0,NA,NA,NA,NA,NA
"併型に上院","併型に","上院","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"併型に干擬む","併型に","干擬む","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"佻刑務所","佻","刑務所","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"佻無隻腎防","佻","無隻腎防","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"使えるいを","使える","いを","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"使える効果的","使える","効果的","related","word","word",0,NA,NA,NA,NA,NA
"使える地区","使える","地区","unrelated","word","word",0.834458774591288,NA,NA,NA,NA,NA
"例外的桶か","例外的","桶か","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"例外的爆発する","例外的","爆発する","unrelated","word","word",0,NA,NA,NA,NA,NA
"例外的顕著な","例外的","顕著な","related","word","word",0,NA,NA,NA,NA,NA
"侍卜ピク","侍卜","ピク","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"侍卜法人","侍卜","法人","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"供亜ね戦略","供亜ね","戦略","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"供亜ね難尾ャンダル","供亜ね","難尾ャンダル","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"依突れストーブ","依突れ","ストーブ","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"依突れ渡ね","依突れ","渡ね","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"価値佐親ぬ","価値","佐親ぬ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"価値価格","価値","価格","related","word","word",0.918243840964368,NA,NA,NA,NA,NA
"価値勝つ","価値","勝つ","unrelated","word","word",0.936190986121933,NA,NA,NA,NA,NA
"価法評害ああ投資する","価法評害ああ","投資する","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"価法評害ああ明的石","価法評害ああ","明的石","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"侮辱売い","侮辱","売い","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"侮辱怒らせる","侮辱","怒らせる","related","word","word",0,NA,NA,NA,NA,NA
"侮辱行く","侮辱","行く","unrelated","word","word",0.949458190366934,NA,NA,NA,NA,NA
"侯め事件","侯め","事件","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"侯め棚視","侯め","棚視","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"侵入スパバント","侵入","スパバント","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"侵入怯えさせる","侵入","怯えさせる","unrelated","word","word",0,NA,NA,NA,NA,NA
"侵入攻撃","侵入","攻撃","related","word","word",0.727071051871415,NA,NA,NA,NA,NA
"係痕ぬを売る","係痕ぬを","売る","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"係痕ぬを窓ふ","係痕ぬを","窓ふ","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"促講やをワーカー","促講やを","ワーカー","nonword","nonword","word",NA,NA,NA,NA,NA,NA
"促講やを裡説","促講やを","裡説","nonword","nonword","nonword",NA,NA,NA,NA,NA,NA
"保存するルへ","保存する","ルへ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
"保存する市長","保存する","市長","unrelated","word","word",0,NA,NA,NA,NA,NA
"保存する維持する","保存する","維持する","related","word","word",0,NA,NA,NA,NA,NA
"保守的おもちゃ","保守的","おもちゃ","unrelated","word","word",0,NA,NA,NA,NA,NA
"保守的キャオ","保守的","キャオ","nonword","word","nonword",NA,NA,NA,NA,NA,NA
