"lt_target","lt_cue","lt_fake_cue","lt_fake_target","en_cue","en_target"
"miltai","grūdai","sisdai","tuotai","grain","flour"
"ministerija","ambasada","ambažvelgda","mitchellterija","embassy","ministry"
"ministras","ambasadorius","ambasadobuklai","misandras","ambassador","minister"
"minus","plus","ütus","micha","plus","minus"
"minutė","antra","liera","mikvietė","second","minute"
"miręs","gyvas","gysim","migių","alive","dead"
"mirti","kenčia","skučia","džoti","suffer","die"
"mirtinas","mirtinas","plautinas","plautinas","deadly","fatal"
"misija","užduotis","užplėstis","misirink","task","mission"
"mišinys","derinys","derikiuo","miširiau","combination","mixture"
"miško","jungle","uoncle","kemko","jungle","forest"
"missile","raketa","radrįsta","šachsile","rocket","missile"
"močiutė","senelis","seneskam","moaukštė","grandfather","grandmother"
"mokslas","technologijos","paskamnologijos","sparlas","technology","science"
"mokslininkas","genijus","geniniai","priešlininkas","genius","scientist"
"mokykla","klasė","persė","mogorila","class","school"
"mokyti","mokytis","mokylant","motvirti","learn","teach"
"mokytojas","studentas","šviedentas","mokytonight","student","teacher"
"monitorius","ekranas","ekrakink","monitosakėt","screen","monitor"
"morfinas","aspirinas","aspirikiuot","franfinas","aspirin","morphine"
"motel","viešbutis","džorbutis","molūš","hotel","motel"
"moteris","patinas","patikink","motekant","male","female"
"moteris","našlė","sillė","motekant","widow","woman"
"mountain","hill","higį","mónetain","hill","mountain"
"mūšis","karas","kasyk","mūnėm","war","battle"
"mutacija","evoliucija","įkliuliucija","krikštacija","evolution","mutation"
"muziejus","biblioteka","bibvykstateka","muįstojus","library","museum"
"muzika","džiazas","džiakob","mutvarka","jazz","music"
"muzikantas","dainininkė","zingsnininkė","muzispręstas","singer","musician"
"naudojimas","taikyti","bendkyti","elektdojimas","apply","use"
"neatsakingas","nepagrįstas","nepablokštas","neatsakinkreipk","unreasonable","irresponsible"
"nebuvimas","buvimas","buvičium","nebuvidžiui","presence","absence"
"negali","nesugebėjimas","nesugebėjisikrušk","netrukli","inability","unable"
"neigiamas","teigiamas","teišėlsmas","silpgiamas","positive","negative"
"nelaimingas atsitikimas","incidentas","inciklaistas","žingsnelaimingas atsitikimas","incident","accident"
"nemalonus","nepatogus","nepatoshiba","nemalošėjai","uncomfortable","unpleasant"
"nerimauti","susirūpinimą","susidžiaugspinimą","nerikreipti","concern","worry"
"nervai","neramus","neraelie","riuvai","worried","nervous"
"nesąžininga","neteisybė","neplauksybė","netriukšžininga","injustice","unfair"
"nesėkmė","sėkmė","itamė","nešvanmė","success","failure"
"nesėkmė","nevykęs","nevyliau","nešvanmė","unfortunate","misfortune"
"neseniai","tiesiog","tiewitt","nesebast","just","recently"
"nėštumas","gimdymas","žlugdymas","barztumas","birth","pregnancy"
"netikėtai","staiga","kranga","netikėsiuos","suddenly","unexpectedly"
"nežinoma","anoniminis","krikšniminis","nežikeiksma","anonymous","unknown"
"noras","noras","nolio","nolio","desire","wish"
"normalus","sveikas","sliukas","normažiau","healthy","normal"
"nosinė","audinys","audiriau","praskaidrinosinė","cloth","handkerchief"
"nosis","burna","tovna","nomet","mouth","nose"
"nugalėti","pergalė","draugalė","nugatraukti","victory","defeat"
"nugalėtojas","nevykėlis","nevykėtrauk","nugalėtokreipk","loser","winner"
"nuogas","nuogas","žingas","nuotru","nude","naked"
"nuolat","visada","viversda","nuogėn","always","constantly"
"nuoma","samdyti","miesdyti","sekma","hire","rent"
"nuomotojas","nuomininkas","greismininkas","aliarmotojas","tenant","landlord"
"nuoširdus","duroninis","duronitrauk","nuoraundus","decent","honest"
"nuostabi","įspūdingas","liūddingas","nuogriebi","impressive","amazing"
"nuotaka","jaunikis","jauniruok","vykstaka","groom","bride"
"nuotrauka","paveikslėlis","paasamblėlis","nuotrenks","picture","photo"
"nuplaukite","švarus","emirus","nukenkskite","clean","wash"
"nurodykite","taškas","piokas","nurodykiteneriūkš","point","indicate"
"nusikaltimas","nuodėmė","spaudėmė","nusišniukštimas","sin","crime"
"nusivylimas","siurprizas","dreiprizas","nusivylikreipk","surprise","disappointment"
"nustatymas","drąsa","pimsa","nukreiptymas","courage","determination"
"nužudyti","nuodų","gendų","nusprendyti","poison","kill"
"nykštys","pirštu","siustu","kraštys","finger","thumb"
"omarų","tuna","tumos","aperų","tuna","lobster"
"oranžinė","žalias","žamens","šveižinė","green","orange"
"orbita","planeta","bendneta","orkaršta","planet","orbit"
"organizuoti","organizuoti","organiskleisti","organiskleisti","arrange","organize"
"oro uostas","terminalas","linksminalas","oro uokels","terminal","airport"
"orumas","pride","lazde","riomas","pride","dignity"
"paauglys","paauglys","paaugdžio","paaugdžio","teenage","teenager"
"pabegti","bėga","bėsim","palinkti","flee","escape"
"padaras","monstras","chiatras","padaniel","monster","creature"
"padavėja","padavėjas","padavėdžiui","padadžiuoja","waiter","waitress"
"padažas","kremas","salmas","padabrio","cream","sauce"
"padėkos","svetingumas","mankštingumas","padėliai","hospitality","gratitude"
"pagalba","pagalba","pasriuba","pablemba","help","assist"
"pagalba","pagalba","pasriuba","pablemba","support","assistance"
"pagalvokite","apsvarstykite","apreiõkitykite","pasveiksvokite","consider","think"
"pajamos","pelnas","daunas","pajačiai","profit","income"
"pakanka","pakankamai","pasielgkamai","pareiška","enough","sufficient"
"paketas","vokai","volės","pakeliuo","envelope","package"
"paklauskite","klausimas","bendsimas","pasveiksskite","question","ask"
"pakrantė","papludimys","papludibaigt","palakstė","beach","coast"
"pamokslas","kalboje","beisboje","pasiellas","speech","sermon"
"papildomas","papildomai","patraukdomai","patraukdomas","extra","additional"
"paprasta","neįmanomas","nekreipnomas","pašventa","impossible","easy"
"paprasta","tiesiog","tiewitt","pašventa","simply","simple"
"paprastai","paprastai","patvirtai","patvirtai","normally","usually"
"paprastai","natūraliai","natūramount","patvirtai","naturally","generally"
"paranormal","antgamtinis","antkreiptinis","paranorčiups","supernatural","paranormal"
"parašas","antspaudas","antdfordas","paratink","stamp","signature"
"pardavimas","aukcionas","kontcionas","žvelgdavimas","auction","sale"
"parduoti","pirkti","liūdti","partvirti","buy","sell"
"parduotuvė","parduotuvė","paršviestuvė","paršviestuvė","shop","store"
"pareigūnas","oficialiai","oficiajaus","paklausgūnas","officially","official"
"pareiškimas","komentuoti","koskaistuoti","paklauskimas","comment","statement"
"paroda","galerija","whistlerija","padelsda","gallery","exhibition"
"paruoškite","pasiruošęs","pasiruodžiui","pasielgkite","ready","prepare"
"pasakykite","pasakyti","pasatraukti","pasakykiteneriūkš","say","tell"
"pašalinti","pašalinkite","pašapastumkite","pašatraukti","eliminate","remove"
"pasas","bilietas","bikrautas","pabrė","ticket","passport"
"pasaulis","international","internatiokreipk","patvirlis","international","world"
"pasirinkti","pasirinkite","pasispjautkite","pasispausti","choose","select"
"pasiteisinimas","atleisk","atšliau","pasičiurkštsinimas","forgive","excuse"
"pasitikėjimas","pagarba","paslėpba","pasitikėjisikrušk","respect","confidence"
"pasiūlyti","pasiūlyti","patrauklyti","patrauklyti","propose","suggest"
"pasivaikščiojimas","runsing","rundier","pasivaikščiojisikrušk","run","walk"
"pasivaikščiojimas","nap","rėp","pasivaikščiojisikrušk","nap","stroll"
"paskaita","seminaras","seminadžent","skleista","seminar","lecture"
"paskola","kreditas","kredidžio","bendkola","credit","loan"
"paskutinė","pirmas","gazmas","fizrukutinė","first","last"
"paslaptis","paslaptis","pagrūstis","paįprotis","secret","mystery"
"paslėpti","padengti","paplėšti","paveržti","cover","hide"
"pastatas","bokštas","terštas","palauktas","tower","building"
"pastraipa","skyrius","šalrius","pakvaišpa","section","paragraph"
"pasukite","pasukite","pažvelgkite","pažvelgkite","turn","rotate"
"pasveikinkite","sveikiname","transkiname","pačiulpkkinkite","congratulate","greet"
"patarti","patarimai","patarikiuos","pačiuoti","advice","advise"
"pateikite","įgalinti","lakslinti","pasprunkite","enable","provide"
"patikimas","paaiškinimas","pasprukskinimas","patikibirkš","explanation","plausible"
"patikrinkite","patikrinti","patikspausti","pasaullsrinkite","check","verify"
"patruliavimas","apsauga","apdžiaga","triukšruliavimas","guard","patrol"
"patvirtinimas","leidimas","brandimas","pasprukstinimas","permission","approval"
"patvirtinti","patvirtinimas","pasprukstinimas","pasielgtinti","confirmation","confirm"
"paukštis","butterfly","išskersly","liūkštis","butterfly","bird"
"pavadinimas","vardas","mondas","pavadinikreipk","name","title"
"pavaduojantis narys","pakeisti","paaukšti","pavaduojantis nstebčiau","replace","substitute"
"pavardė","slapyvardis","reikšpyvardis","paįžeidė","nickname","surname"
"paveldėti","paveldas","padfordas","paskruzdėti","heritage","inherit"
"paviršius","sluoksnis","džiaugnis","pavirmesk","layer","surface"
"pavojinga","rizikinga","riziįžvalga","pavoįžvalga","risky","dangerous"
"pavojus","rizika","ritvarka","pavokiau","risk","danger"
"pažadas","garantija","gažvelgtija","pažaviuo","guarantee","promise"
"peilis","kardas","mondas","brulis","sword","knife"
"penis","makštis","taiptis","pedsa","vagina","penis"
"perdėti","nuvertinti","nuplauktinti","įvykdėti","underestimate","exaggerate"
"perimetras","spindulys","trumdulys","peričiuokras","radius","perimeter"
"perspektyva","view","vimb","peršvaistyva","view","perspective"
"pertrauka","smash","smhah","pertrenks","smash","break"
"pervedimas","judėti","stabdėti","pervedidžiuo","move","transfer"
"piešimas","dažyti","daplasti","kvaišimas","paint","draw"
"pietūs","užkandis","užgreidis","pierim","snack","lunch"
"pig","karvė","liavė","nag","cow","pig"
"pigūs","brangus","slaugus","pimui","expensive","cheap"
"piktas","pavydus","pavyniok","semtas","jealous","angry"
"pilis","rūmai","rūgęs","pinėj","palace","castle"
"pill","tablėtė","eliolėtė","pigį","tablet","pill"
"pilnas","tuščia","lipčia","mannas","empty","full"
"pilotas","astronautas","astrokreiptas","pilowell","astronaut","pilot"
"pilvo","stuburo","franburo","nervo","spinal","abdominal"
"pinigai","pinigai","piniruok","piniruok","cash","money"
"piniginė","kišenė","kišeliui","piįžvelginė","pocket","wallet"
"pirkėjas","pardavėjas","žvelgdavėjas","trenkėjas","seller","buyer"
"pirmas","antrinis","stiprinis","razmas","secondary","primary"
"pirštų atspaudai","dnr","uur","pirštų atspanahlee","dna","fingerprint"
"plaktukas","stick","knick","džiotukas","stick","hammer"
"planavimas","paruošimas","paveiksšimas","carbonavimas","preparation","planning"
"plastmasinis","cementas","ceciottas","sueismasinis","cement","plastic"
"platus","siauras","siaugin","vietus","narrow","wide"
"plaukti","skandinimas","reikšdinimas","šaukšti","drown","swim"
"pleasant","patogus","patovaiz","smūasant","comfortable","pleasant"
"plėšrūnas","grobis","grožėk","simprūnas","prey","predator"
"plėtra","progresas","progreaming","įlenra","progress","development"
"plieno","betonas","betoriui","neigno","concrete","steel"
"plokštelė","dubuo","dužan","veikstelė","bowl","plate"
"pokeris","lošimas","lošiniuo","pokesler","gambling","poker"
"pokštas","triukas","grankas","konstas","trick","joke"
"politika","žurnalistika","paskamnalistika","potrauktika","journalism","politics"
"politikas","politika","potrauktika","politidžiui","policy","politician"
"politinis","kritiškai","sportiškai","polititrauk","critical","political"
"pomidorai","bulvė","samvė","pomidosiems","potato","tomato"
"poveikis","įtaka","karka","poįrankis","influence","effect"
"pozicija","status","liktus","pokorupcija","status","position"
"požiūris","nuomonė","džiamonė","pohamfris","opinion","attitude"
"pradžioje","vėlai","vėkos","prachavje","late","early"
"praeitis","ateityje","atpjaustyje","praeinant","future","past"
"pragaras","paradise","parašėrė","pragabenk","paradise","hell"
"praktiškai","pažodžiui","pažosiuos","jungtiškai","literally","practically"
"praleisti","atliekai","atsmuikai","prasiunti","waste","spend"
"prancūzų kalba","anglų","kyklų","sluokscūzų kalba","english","french"
"pranešimas","įspėjimas","vaisjimas","pranešikniui","warning","message"
"prašymas","reikalavimas","paskamkalavimas","niekšymas","demand","request"
"pratimas","praktika","jungtika","pratičiuok","practice","exercise"
"prekybininkas","komercinė","kokiaiscinė","žvaigžkybininkas","commercial","merchant"
"prezidentas","kancleris","adolleris","prezitrauktas","chancellor","president"
"prieglauda","prieglobstis","priekviestis","linksglauda","refuge","shelter"
"prielaida","išvada","išjuokda","tinklaida","conclusion","assumption"
"priesaika","prisiekti","prigręžti","darksaika","swear","oath"
"priešingai","priešingas","kiaušingas","kiaušingai","opposite","contrary"
"priešininkas","priešas","priesin","sikrušininkas","enemy","opponent"
"prietaisas","lustas","ingtas","skaitaisas","chip","device"
"priežastis","priežastis","bendžastis","klaužastis","reason","cause"
"priežiūra","paslauga","parąstga","klaužiūra","service","maintenance"
"priimti","atsisakyti","atsitrenkskyti","klauimti","refuse","accept"
"princas","princesė","tarpcesė","prinžia","princess","prince"
"prisiminti","pamiršti","paidenti","prisitraukti","forget","remember"
"pritraukti","dėmesio","dėmetant","prireiksti","attention","attract"
"privatumas","privati","lengvati","čechovatumas","private","privacy"
"prizas","nobel","nosės","prikel","nobel","prize"
"problema","problema","junglema","reinlema","trouble","problem"
"procedūra","procesas","proceciot","linkscedūra","process","procedure"
"produktas","prekės ženklas","prekės žetrėkš","profrostas","brand","product"
"profesorius","dekanas","drienas","profesodexho","dean","professor"
"professional","amateur","konsteur","professiočiuot","amateur","professional"
"programa","projektas","prokrautas","įkalrama","project","program"
"protinga","šviesus","švievių","tvirtinga","fair","reasonable"
"protingas","protingas","tvirtingas","tvirtingas","smart","intelligent"
"protokolas","taisyklių taisyklė","taisyklių taisygniaužk","protokodžiui","rule","protocol"
"prototipas","modelis","modedant","švaistotipas","model","prototype"
"psichologija","anatomija","skirstomija","psiprisvilogija","anatomy","psychology"
"psichologinis","medicina","medispjauna","psimaksveloginis","medical","psychological"
"puikus","išskirtinis","ištrauktinis","angkus","exceptional","remarkable"
"puikus","puikiai","niekiai","angkus","excellent","great"
"puikus","ideal","idšėl","angkus","ideal","perfect"
"pulkininkas","apskritai","apfrostai","transkininkas","general","colonel"
"pull","stumti","kramti","pudy","push","pull"
"pusbrolis","giminaitis","gimibirkštis","pusidealis","relative","cousin"
"pusryčiai","vakarienė","vakazachsnė","pusrysler","dinner","breakfast"
"pykinimas","viduriavimas","viduriavikreipk","pykinifique","diarrhea","nausea"
"pyktis","pyktis","nėštis","šontis","anger","rage"
"raccoon","squirrel","subręrel","gunscoon","squirrel","raccoon"
"radiacija","užteršimas","užkimštšimas","rakorupcija","contamination","radiation"
"ragana","prakeikimas","pralinkskimas","rasilpna","curse","witch"
"ramus","tyliai","tyčiot","raliu","quiet","calm"
"ranka","rankų","siukų","viška","hand","arm"
"rankšluostis","antklodė","įkurlodė","longstraitis","blanket","towel"
"ransom","pagrobėjas","paveiksbėjas","ranvėj","kidnapper","ransom"
"rašiklis","popierius","popiedžia","rabentlis","paper","pen"
"rasti","paieška","paraiska","kinti","search","find"
"rašykite","skaityti","bendtyti","rakreipkite","read","write"
"rašymas","skaitymas","bendtymas","rašydžia","reading","writing"
"rašytojas","poetas","buotas","rašytonight","poet","writer"
"raumuo","nervas","liavas","rautat","nerve","muscle"
"reaktorius","generatorius","generatonahlee","reaktosakėt","generator","reactor"
"realus","optimistiškas","optimistišdžiuok","andlus","optimistic","realistic"
"reikia","būtina","verstina","karkia","necessary","need"
"religija","filosofija","fiedmundsofija","reįžvelgija","philosophy","religion"
"remontas","fix","oux","režiuotas","fix","repair"
"reputacija","karjera","kaanagra","žvaigžutacija","career","reputation"
"restoranas","pub","nib","šlykštoranas","pub","restaurant"
"retai","kartais","šiutais","resur","occasionally","rarely"
"rezultatas","rezultatas","retrūkstatas","resraigtatas","result","outcome"
"rinkėjas","kandidatas","sprogdidatas","agurkėjas","candidate","voter"
"rinkimai","kampanija","pliurpanija","tvarkimai","campaign","election"
"rinkodara","reklama","reportma","elektkodara","advertising","marketing"
"rob","pavogti","paplauti","vib","steal","rob"
"roma","cezaris","cezajant","įsima","caesar","rome"
"romantiškas","dramatiška","linksmatiška","roegoistiškas","dramatic","romantic"
"ruduo","pavasaris","pavasasakėt","ruėdė","spring","autumn"
"rūkas","debesis","debeaver","rūpim","cloud","fog"
"rungtynės","turnyras","turnyčiui","masktynės","tournament","match"
"ryšys","kontaktas","koncientas","rynot","contact","connection"
"rytas","rytoj","ryžei","rykim","tomorrow","morning"
"sabotažas","šnipinėjimas","paskampinėjimas","sabotasxdel","espionage","sabotage"
"sailor","piratas","pirakink","saidzė","pirate","sailor"
"sakinys","žodis","žotei","sakiriau","word","sentence"
"šakutė","šaukštas","plauktas","šaprastė","spoon","fork"
"salotos","sriuba","dmitba","saloniai","soup","salad"
"šalta","karšta","vaizta","porta","hot","cold"
"šampanas","vynas","vylei","spygpanas","wine","champagne"
"samurai","ninja","pleja","samusiems","ninja","samurai"
"šantažas","kyšis","kydėm","skirtažas","bribe","blackmail"
"santuoka","skyrybų","kantrybų","sankostka","divorce","marriage"
"šarvai","shield","įžield","riavai","shield","armor"
"satellite","radaras","radalink","sakingslite","radar","satellite"
"šaudyti","šaudymas","benddymas","benddyti","shot","shoot"
"saugoma","saugus","bingus","priegoma","safe","secure"
"saugumas","saugumas","blizgumas","blizgumas","security","safety"
"saulė","mėnulis","mėnusteb","verlė","moon","sun"
"saulės saulės","lunar","luirs","saulės sarimpl","lunar","solar"
"saunus","šiltas","žantas","cionus","warm","cool"
"savaitai","kasdien","kasšimt","savairuok","daily","weekly"
"savaitė","mėnuo","mėzoj","sarykštė","month","week"
"savanaudis","užsispyręs","užsileiskręs","savasprendis","stubborn","selfish"
"savanoriškai","savanoriškai","savanorištrenks","savanorištrenks","volunteer","voluntarily"
"savininkas","nuosavybė","elektsavybė","savistreikas","property","owner"
"sąžiningumas","lojalumas","lojaludžiui","sąžiningukreipk","loyalty","honesty"
"scar","tatuiruotė","taskraistė","scns","tattoo","scar"
"sėdėti","stovėkite","linksvėkite","brandėti","stand","sit"
"šeima","klanas","seinas","farma","clan","family"
"sekmadienis","šeštadienį","svarstadienį","plastmadienis","Saturday","Sunday"
"sėkmingai","valdyti","priedyti","džiumingai","manage","succeed"
"senatas","parlamentas","parladukustas","senamiui","parliament","senate"
"senatorius","gubernatorius","gubernatoblokšk","senatojungt","governor","senator"
"serga","nesveikas","nebaigkas","vinga","ill","sick"
"šiaurė","pietūs","pieley","prasrė","south","north"
"sidabras","auksinis","kontsinis","sidašalk","golden","silver"
"signalas","dažnis","tvynis","enernalas","frequency","signal"
"silpnas","stiprus","skamrus","stianas","strong","weak"
"simbolis","vėliava","vėmaskva","simbooger","flag","symbol"
"šimtas","tūkstantis","stultantis","sentas","thousand","hundred"
"sindromas","simptomas","apeltomas","aparromas","symptom","syndrome"
"sip","drop","drun","amp","drop","sip"
"sistema","network","neruosk","blaitema","network","system"
"šiukšlių","šiukšliadėžė","spausliadėžė","trauklių","trash","garbage"
"siųsti","atsinešti","atsiskirsti","vaisti","bring","send"
"siųstuvas","jutiklis","juidealis","bliztuvas","sensor","transmitter"
"skandalas","paskalos","raukšlos","žiuodalas","gossip","scandal"
"skanus","skanus","dionus","blonus","tasty","delicious"
"skausmas","kenčia","skučia","sraigmas","suffering","pain"
"skiriasi","panašus","pananiau","skiapelsi","similar","different"
"skristi","land","lazų","skrišyt","land","fly"
"skruostas","lūpa","rakpa","skleistas","lip","cheek"
"skrydis","nusileidimas","nusitrauksdimas","stikdis","landing","flight"
"skubus atvėjis","skubus","skutai","skubus atvbuklai","urgent","emergency"
"skull","kaulų","būklų","kaull","bone","skull"
"skylė","krekas","šeikas","renlė","crack","hole"
"skyrius","vienetas","vieneprie","šalrius","unit","division"
"skystis","skystis","mykštis","juostis","liquid","fluid"
"šlapias","sausas","doksas","šlageis","dry","wet"
"šlapimas","kraujo","džiojo","krikšpimas","blood","urine"
"slaptažodis","kodas","kopen","trūkstažodis","code","password"
"slėgis","pulse","grese","nuogis","pulse","pressure"
"slėnis","dykuma","dykusius","brinis","desert","valley"
"šlovė","šlovingas","raišvingas","wilvė","glorious","glory"
"smėlis","purvo","ajovo","giplis","mud","sand"
"snaiperis","šaulys","brolys","įjunperis","shooter","sniper"
"snake","kirminas","trauminas","faške","worm","snake"
"sniegas","lietus","anttus","sburgas","rain","snow"
"soda","limonadas","limonareikš","somis","lemonade","soda"
"šokinėti","pakilti","patarkti","kreipkinėti","climb","jump"
"šokis","dancer","danhas","šonuo","dancer","dance"
"šokoladas","cukrus","bagrus","šokolažiuok","sugar","chocolate"
"sostas","karūna","kabinkna","amitas","crown","throne"
"sound","triukšmas","sluoksmas","sofąd","noise","sound"
"spageti","lasagna","lačiurna","piršgeti","lasagna","spaghetti"
"spalio mėn","rugsėjo mėn","rugsėjoveržk","spalioreis","september","october"
"spauda","mygtukas","lindtukas","triuda","button","press"
"specialistas","ekspertas","eksšauktas","speciatrauktas","expert","specialist"
"spektaklis","rodyti","roliuoti","speksaulls","show","performance"
"spinta","kabinetas","kabineprieš","guista","cabinet","closet"
"sportas","hobby","espby","slėgtas","hobby","sport"
"sprogimas","žemės drebėjimas","žemės drebėjtakliui","gaisgimas","earthquake","explosion"
"sprogstamoji dalis","bomba","silba","pliaukštamoji dalis","bomb","explosive"
"sprogti","sprogimas","raišgimas","sielgti","burst","explode"
"sraigtasparnis","greitoji pagalba","džiaugstoji pagalba","žingstasparnis","ambulance","helicopter"
"star","įžymybė","konsmybė","stių","celebrity","star"
"statula","paminklas","paebellas","nykštula","monument","statue"
"stilius","ritmas","ohamas","rielius","rhythm","style"
"stipriai","sunkus","liškus","skamriai","heavy","heavily"
"stipriai","tvirtai","vaiztai","skamriai","firmly","strongly"
"stori","plonas","kūenas","imbri","thin","thick"
"stotis","platforma","žaizforma","lantis","platform","station"
"strategija","planas","plačio","minkštegija","plan","strategy"
"streikuoti","hit","ift","triumkuoti","hit","strike"
"striukė","marškinėliai","stengkinėliai","skirskė","shirt","jacket"
"struktūra","pyramid","pyraguls","skerstūra","pyramid","structure"
"studija","tyrimai","tyrikiuo","frandija","research","study"
"sukčiavimas","sąmokslas","sąebellas","transčiavimas","conspiracy","fraud"
"suknelė","sijonas","sijokiom","kiaunelė","skirt","dress"
"sultys","pienas","smanas","aletys","milk","juice"
"suma","suma","susto","susto","sum","amount"
"sumažinti","padidinti","padibukasti","sumatraukti","increase","reduce"
"sunaikinimas","kūrimas","kūrikiuo","susprogskinimas","creation","destruction"
"sūnėnas","anūkas","giukas","sūnėliui","grandson","nephew"
"sunku","sunku","liuku","liuku","tough","hard"
"sunkvežimis","jeep","jeimų","švaisvežimis","jeep","truck"
"sūnus","dukra","morra","sūkiu","daughter","son"
"supainioti","chaosas","įstosas","supaispausti","chaos","confusion"
"supjaustyti","ašaros","pisros","sukrikštyti","tear","cut"
"suprasti","suprasti","sulaužti","suaukšti","realize","understand"
"surinkti","surinkite","supjauskite","suprosti","collect","gather"
"sūris","duona","leena","sūtum","bread","cheese"
"susijaudinęs","didžiuojasi","difornljasi","susijaudidžiuiė","proud","excited"
"susitikimas","konferencija","žvaigžferencija","susitikikreipk","conference","meeting"
"susitikti","matyti","masiunti","susikrausti","see","meet"
"sustabdyti","užkirsti kelią","užkirsti ktrėkšk","sutriušdyti","prevent","stop"
"sutaupyti","gelbėjimas","linksbėjimas","sukonstpyti","rescue","save"
"sutikimas","sutartis","sutarnauk","sutikibirkš","contract","agreement"
"sutrikdyti","nutraukti","nusprenti","sureagadyti","interrupt","disturb"
"sužalojimas","žaizda","garsda","sužalojikreipk","wound","injury"
"svarba","reikšmė","linksmė","įkalba","meaning","importance"
"svarbu","vertinga","slaptinga","skrebu","valuable","important"
"švelnus","minkštas","smerktas","ideanus","soft","gentle"
"šventė","kalėdos","kalėtink","klestė","christmas","holiday"
"sviestas","medus","metiš","siaustas","honey","butter"
"švietimas","sveikata","prankata","laužtimas","health","education"
"svilpukas","horn","hoje","ziaupukas","horn","whistle"
"švirkštas","adata","pėsta","tuiruotas","needle","syringe"
"svogūnai","česnakai","išvynakai","plakgūnai","garlic","onion"
"taip","gerai","gesys","tašy","okay","yeah"
"talentas","potencialus","poniamscialus","tamirštas","potential","talent"
"tam","ką","od","iem","what","that"
"tamsiai","šešėlis","šešėjant","kursiai","shadow","dark"
"tarnautojas","vergas","žingas","tarskirstojas","slave","servant"
"tauta","šalis","šablo","šikta","country","nation"
"teatras","kino teatras","kino teažaidėm","teatviru","cinema","theater"
"technika","metodas","metoriuj","laiknika","method","technique"
"teisėjas","teismas","trenmas","teisėdžiu","court","judge"
"teisinė teisė","neteisėtas","neteisėdžiui","teisinė teblokšk","illegal","legal"
"teisingai","neteisingas","neteiįžvalgas","teižvalgai","wrong","correct"
"teisingumas","kerštas","veiktas","teiįžvalgumas","revenge","justice"
"telefonas","skambinkite","linksbinkite","telefodžiui","call","telephone"
"televizija","radijas","radidžią","neklystatelevizija","radio","television"
"temperatūra","šiluma","šiniaima","paskaiperatūra","heat","temperature"
"ten","čia","doa","ion","here","there"
"tenisas","golfas","stofas","tenitrik","golf","tennis"
"teorija","idėja","dubja","vamzrija","idea","theory"
"testas","eksperimentas","eksperituiruotas","teries","experiment","test"
"tęsti","tęskite","skraiskite","kakti","proceed","continue"
"tėtis","dėdė","liudė","tėjui","uncle","dad"
"tėvas","motina","jungtina","tėjot","mother","father"
"tėvas","suaugusieji","susprogsgusieji","tėjot","adult","parent"
"thirst","badas","bachū","lūirst","hunger","thirst"
"tiesiogiai","tiesioginė","tieįžvelginė","tiesiotams","direct","directly"
"tikėjimas","viltis","protis","praskaidrintikėjimas","hope","faith"
"tikėtina","tikimybė","praskaidrintikimybė","praskaidrintikėtina","probability","likely"
"tiki","pasitikėjimas","pasitikėjisikrušk","praskaidrintiki","trust","believe"
"tikisi","laukti","austti","praskaidrintikisi","wait","expect"
"tikrai","tiesą sakant","tiesą sknium","tikniu","actually","really"
"tikras","tiesa","vyksa","nebras","TRUE","real"
"tikriausiai","gal būt","galmilt","tikšviesiai","maybe","probably"
"tobulėjimas","pakeisti","paaukšti","greipfrutobulėjimas","change","improvement"
"toli","netoli","neklauli","tonės","near","far"
"tornadas","uraganas","goldganas","spaunadas","hurricane","tornado"
"tortas","desertas","depokštas","sietas","dessert","cake"
"tradicinis","modernus","modergeld","linksdicinis","modern","traditional"
"tragic","liūdnas","disonas","tratoi","sad","tragic"
"trikampis","apskritimas","apdraustimas","plaukampis","circle","triangle"
"triušis","fox","sėx","triuėmė","fox","rabbit"
"trivietis","dvigubai","slapgubai","tripuoštis","double","triple"
"trys","vienas","viešin","trie","one","three"
"tunelis","tiltas","džetas","tuneskam","bridge","tunnel"
"turinys","yra","küa","turikiuo","contain","content"
"turkija","vištiena","višpjauna","slėpkija","chicken","turkey"
"turtas","lobis","lovai","nintas","treasure","wealth"
"turtingas","vargšas","grįžšas","brantingas","poor","rich"
"tvarkaraštis","kalendorius","kalendosakėt","sprunkaraštis","calendar","schedule"
"tvora","sienos","ketnos","mjera","wall","fence"
"tyčia","atsitiktinai","atsiskverbtinai","tyrei","accidentally","intentionally"
"tyla","tylus","tykan","tyvio","silent","silence"
"tyrėjas","analitikas","elektlitikas","tyrėliui","analyst","investigator"
"ugly","sumušimas","sumušikniui","verly","digusting","ugly"
"ultimate","galutinis","galutitrauk","spiegtimate","final","ultimate"
"uniforma","badge","iikge","sparforma","badge","uniform"
"unikalus","specialusis","spesterilusis","mokskalus","special","unique"
"universitetas","kolegija","kolevenstja","paskamversitetas","college","university"
"uostas","bay","iey","pletas","bay","harbor"
"užbaigti","iš viso","iš vober","užidenti","total","complete"
"uždarymas","atidarymas","skrendarymas","uždarydžiui","opening","closure"
"uždaryta","užrakinta","užratrūksta","uždadiserta","locked","closed"
"uždaryti","atviras","atvičium","uždaspausti","open","close"
"uždrausti","draudžiama","benddžiama","užšviesti","forbidden","prohibit"
"užpuolikas","auka","evaka","užsikrulikas","victim","attacker"
"užpuolimas","invazija","invatvoręja","užsikrulimas","invasion","attack"
"užrakinti","raktas","fertas","užratraukti","key","lock"
