"lt_cue","lt_target","type","cue_type","target_type","lt_cosine"
"velnias","žiaurumas","related","word","word",0.146936181766545
"brutal","žiaurus","related","word","word",0.257737143012478
"vasara","žiemos metu","related","word","word",NA
"internetas","žiniatinklis","related","word","word",NA
"kanalas","žinios","related","word","word",0.13348580340766
"patirtis","žinios","related","word","word",0.202517294962747
"atpažinkite","žinojau","related","word","word",NA
"dabar","žinoti","related","word","word",0.199538180515737
"žiūrėkite","žiūrėti","related","word","word",0.324507797004204
"pelė","žiurkė","related","word","word",0.332855208835672
"aids","živ","related","word","word",0.514879671135127
"kritimas","žlugimas","related","word","word",0.729766138638062
"vyras","žmogus","related","word","word",0.349213707281741
"vyras","žmona","related","word","word",0.187890603092944
"gyventojų skaičius","žmonės","related","word","word",NA
"plotas","zona","related","word","word",0.226997936351284
"kapsulė","zondas","related","word","word",0.223818330793576
"žudikas","žudikas","related","word","word",1
"savižudybė","žudikas","related","word","word",0.326793933525917
"playboy","žurnalas","related","word","word",0.30569568141707
"reporteris","žurnalistas","related","word","word",0.331891357558245
"ryklys","žuvys","related","word","word",0.443695248531174
"lemputė","žvakė","related","word","word",0.3889575902471
"medžioklė","žvejyba","related","word","word",0.350709646216266
"pagrobti","atmosfera","unrelated","word","word",0.0386326382168416
"diplomas","sunaikinimas","unrelated","word","word",0.264395621628442
"juokinga","sraigtasparnis","unrelated","word","word",0.177689962835059
"vadyba","teorija","unrelated","word","word",0.294292560093683
"hormonas","teisingumas","unrelated","word","word",NA
"skaičius","radiacija","unrelated","word","word",0.131749272936968
"firma","atlygis","unrelated","word","word",0.195926482230245
"entuziazmas","vyriausybė","unrelated","word","word",0.179996411829643
"balsas","dosniai","unrelated","word","word",0.158556089715576
"aišku","orbita","unrelated","word","word",0.0459306069176205
"rokas","pabegti","unrelated","word","word",0.188676088384288
"gestas","nuostabi","unrelated","word","word",0.229991711909707
"autorius","piniginė","unrelated","word","word",0.135533762468739
"trigeris","graži","unrelated","word","word",0.060991597820397
"kampas","telefonas","unrelated","word","word",0.281381940594833
"bravo","stipriai","unrelated","word","word",0.194847614298965
"motyvas","sportas","unrelated","word","word",0.30790814663668
"ufo","psichologija","unrelated","word","word",NA
"pavargęs","planavimas","unrelated","word","word",0.119684868465115
"gerti","lagaminas","unrelated","word","word",0.149734270053865
"anglis","tėvas","unrelated","word","word",0.207184876415877
"afrika","watson","unrelated","word","word",0.263378806730782
"amžinas","ginčas","unrelated","word","word",0.241500956742778
"autopsija","laikyti","unrelated","word","word",NA
"bičių","peilis","unrelated","word","word",0.0456180945058878
"žąsys","limuzinas","unrelated","word","word",0.272475264084584
"pirmadienis","global","unrelated","word","word",0.236692580194436
"į viršų","pasivaikščiojimas","unrelated","word","word",NA
"namai","galas","unrelated","word","word",0.107863148910275
"nelaimingas","serga","unrelated","word","word",0.227513742803942
"koncepcija","civilizacija","unrelated","word","word",0.577483647915739
"profilis","jaunesnysis","unrelated","word","word",0.299347481811578
"out","švietimas","unrelated","word","word",NA
"vagystė","lydi","unrelated","word","word",0.174462242820856
"bučinys","maid","unrelated","word","word",NA
"išvykti","rinkėjas","unrelated","word","word",0.112956996170557
"raundas","vandenynas","unrelated","word","word",0.207574709134443
"skaičiuoti","temperatūra","unrelated","word","word",0.262767513109625
"inžinierius","express","unrelated","word","word",0.347485092637201
"nubausti","stipriai","unrelated","word","word",0.201851163401378
"asilas","šimtas","unrelated","word","word",0.237970191996629
"legionas","raccoon","unrelated","word","word",0.301939544499031
"nežinojimas","kriauklė","unrelated","word","word",NA
"ven","kompiuteris","unrelated","word","word",0.0221543099873323
"kavalerija","galaxy","unrelated","word","word",NA
"sekretorius","krizė","unrelated","word","word",0.213009172695431
"charakteris","išpažinimas","unrelated","word","word",NA
"samdiniai","stori","unrelated","word","word",0.229512486254129
"sveiki","svilpukas","unrelated","word","word",NA
"atvykti","instrumentas","unrelated","word","word",0.0956107120445653
"ramiojo vandenyno","vertas","unrelated","word","word",NA
"atsistatydinimas","gėlių","unrelated","word","word",0.104128147158026
"pensionas","kardinolas","unrelated","word","word",NA
"premija","siųsti","unrelated","word","word",0.104060937737749
"aplinka","grupė","unrelated","word","word",0.172020732051073
"šviežias","imperija","unrelated","word","word",0.0639294183867091
"atsakymas","apartamentai","unrelated","word","word",0.136306546557881
"atsparumas","žudikas","unrelated","word","word",NA
"atsiranda","perspektyva","unrelated","word","word",0.137454871492284
"oda","kėdė","unrelated","word","word",0.278810997488644
"minios","burtininkas","unrelated","word","word",0.258800656538937
"vėjas","galų gale","unrelated","word","word",NA
"žemas","skull","unrelated","word","word",NA
"svoris","svarbu","unrelated","word","word",0.184847581023939
"down","nuogas","unrelated","word","word",0.136502123871495
"traukinys","patruliavimas","unrelated","word","word",NA
"transporto priemonė","greitkelis","unrelated","word","word",NA
"skrudinta duona","sėkmingai","unrelated","word","word",NA
"ass","aistra","unrelated","word","word",0.183187369425385
"galas","ryšys","unrelated","word","word",0.168703305465613
"siaubas","detektyvas","unrelated","word","word",0.162676495911706
"baisi","plėtra","unrelated","word","word",NA
"spąstai","uostas","unrelated","word","word",0.226806561205283
"dauguma","dailininkas","unrelated","word","word",0.141386449255924
"orkestras","akcentas","unrelated","word","word",0.319255448467614
"bandyti","batų","unrelated","word","word",0.183321418125374
"klausymas","pleasant","unrelated","word","word",NA
"klubas","pajamos","unrelated","word","word",0.157258275211429
"plaukų","koplyčia","unrelated","word","word",0.161839580101285
"pulkas","koncentratas","unrelated","word","word",NA
"supermenas","išlieka","unrelated","word","word",0.184898371435713
"arena","užbaigti","unrelated","word","word",0.115043838322751
"įkrovos metu","vizija","unrelated","word","word",NA
"vagis","sabotažas","unrelated","word","word",NA
"panika","paprastai","unrelated","word","word",0.110435043512821
"sofa","kaklaraištis","unrelated","word","word",0.342049569691645
"stadionas","komunistas","unrelated","word","word",0.310042872750097
"bejėgis","artillery","unrelated","word","word",NA
"visuomenė","žiemos metu","unrelated","word","word",NA
"mergina","district","unrelated","word","word",NA
"nenaudingas","šantažas","unrelated","word","word",0.319622492594343
"chemija","vidurdienis","unrelated","word","word",0.195236373409983
"chemija","įspūdingas","unrelated","word","word",0.150254140082356
"stalas","vakcina","unrelated","word","word",0.101422617396806
"nešvarus","protokolas","unrelated","word","word",0.144049938571167
"gerai","romantiškas","unrelated","word","word",0.169338864766844
"vadybininkas","įtariamasis","unrelated","word","word",0.193662997038306
"vašingtonas","žinojau","unrelated","word","word",0.130215670808852
"atomic","atleidimas","unrelated","word","word",NA
"deimantas","antis","unrelated","word","word",0.292818034242704
"bananų","paviršius","unrelated","word","word",0.162675602166356
"kilnus","harmonija","unrelated","word","word",0.273313875844228
"šviesti","prancūzų kalba","unrelated","word","word",NA
"dude","pavardė","unrelated","word","word",0.228458010620796
"sesuo","užpuolimas","unrelated","word","word",0.0834487329497044
"statyba","alibi","unrelated","word","word",0.170041677583518
"caliber","arterija","unrelated","word","word",NA
"inkaras","kvepalai","unrelated","word","word",0.225646116405987
"magija","kuklus","unrelated","word","word",0.0433291884148788
"dig","žiaurus","unrelated","word","word",NA
"bazė","tortas","unrelated","word","word",0.101207586300326
"stiklas","pardavimas","unrelated","word","word",0.146938672830534
"akiniai","sukčiavimas","unrelated","word","word",0.140474247728483
"patraukti","ištikimas","unrelated","word","word",0.098424715854941
"varzybos","paskaita","unrelated","word","word",NA
"mile","perdėti","unrelated","word","word",0.0763634038508319
"smegenys","problema","unrelated","word","word",0.131063738554425
"ritualas","apgailėtina","unrelated","word","word",0.10610122685698
"veikia","valstybė","unrelated","word","word",0.0439513064468656
"dūmai","tikėjimas","unrelated","word","word",0.174107473220018
"tabako","tėvas","unrelated","word","word",0.0769212896102382
"naivus","zona","unrelated","word","word",0.18807192870793
"zoologijos sodas","šarvai","unrelated","word","word",NA
"kultūra","pasirinkti","unrelated","word","word",0.177593510636455
"baronas","laisvės atėmimas","unrelated","word","word",NA
"rodeo","vietinis","unrelated","word","word",0.104894001782142
"paranoi","epizodas","unrelated","word","word",0.303711653601215
"baugus","zondas","unrelated","word","word",NA
"dailininkas","skyrius","unrelated","word","word",0.102612248120693
"albumas","protinga","unrelated","word","word",0.111943121082361
"chirurgas","skandalas","unrelated","word","word",0.269531729105153
"svarbu","pašalinti","unrelated","word","word",0.116013165506201
"objektas","festivalis","unrelated","word","word",0.17444557925124
"dangus","miltai","unrelated","word","word",0.123987257119915
"nagai","turtingas","unrelated","word","word",0.0965822321779707
"job","dingimas","unrelated","word","word",0.162826795370057
"ūkininkas","liga","unrelated","word","word",0.0606767080185163
"saulėlydis","analizė","unrelated","word","word",0.125304382893686
"kartais","nusikaltimas","unrelated","word","word",0.0706373685234513
"viskis","intuicija","unrelated","word","word",0.177069094548965
"oras","prašymas","unrelated","word","word",0.200796522487472
"dėkingas","tikėtina","unrelated","word","word",0.128790431456696
"žavėtis","spageti","unrelated","word","word",0.224661533322061
"laisvė","investuotojas","unrelated","word","word",0.136388939433739
"protestas","sindromas","unrelated","word","word",0.252761347674301
"kabina","pagalba","unrelated","word","word",0.0993972091928204
"stresas","mašina","unrelated","word","word",0.139300743209596
"amžiaus","berniukas","unrelated","word","word",0.163377233999306
"likimas","nuotrauka","unrelated","word","word",0.0796613767903613
"agentas","pavojus","unrelated","word","word",0.0791016545619761
"ištikimybė","geltona","unrelated","word","word",0.269275733006644
"big","krikščionis","unrelated","word","word",0.154851259920696
"didenybė","žinios","unrelated","word","word",0.251594893379399
"dievui","vairuotojas","unrelated","word","word",0.127925202034287
"gunpowder","cigaras","unrelated","word","word",NA
"ping","vėžys","unrelated","word","word",0.159256015905509
"mirtis","adrenalinas","unrelated","word","word",0.212814170836539
"natural","griaustinis","unrelated","word","word",NA
"gamintojas","arklys","unrelated","word","word",0.36048245896621
"pokalbis","kaltintojas","unrelated","word","word",0.199630013023553
"apskritis","aukštas","unrelated","word","word",NA
"make","prototipas","unrelated","word","word",0.259077140760787
"failas","gram","unrelated","word","word",NA
"svaras","ištirti","unrelated","word","word",0.0509981382900201
"apmokestinimas","bendruomenė","unrelated","word","word",NA
"labdara","mėlynė","unrelated","word","word",0.2473789185495
"komplimentas","chirurgija","unrelated","word","word",NA
"kolega","klasika","unrelated","word","word",0.22863512071705
"mandagus","milijardai","unrelated","word","word",0.107794962218418
"santykiai","šiukšlių","unrelated","word","word",0.0540345067833672
"košmaras","cap","unrelated","word","word",NA
"pelenai","soda","unrelated","word","word",0.315762689570329
"pasiūlymas","paroda","unrelated","word","word",0.166775351640942
"langas","oranžinė","unrelated","word","word",0.285217411647747
"rusty","klientas","unrelated","word","word",0.134554126709865
"atsakomybė","kažkas","unrelated","word","word",0.197782708590385
"siela","remontas","unrelated","word","word",0.0801510039637476
"malonumas","garsus","unrelated","word","word",0.183339936468356
"romeo","parduoti","unrelated","word","word",0.0209062138171697
"akis","apie tai","unrelated","word","word",NA
"naudinga","daktaras","unrelated","word","word",0.0572674306874546
"įveskite","pastraipa","unrelated","word","word",0.160976045127961
"tekstas","pasitikėjimas","unrelated","word","word",0.175814567352953
"madingi","išvykimas","unrelated","word","word",NA
"dabartinis","lick","unrelated","word","word",NA
"magnetinis","cerebral","unrelated","word","word",NA
"factor","realus","unrelated","word","word",NA
"psichikos","baudžiamajame nare","unrelated","word","word",NA
"galia","metras","unrelated","word","word",0.0691676133579946
"maras","verslas","unrelated","word","word",0.239723149497569
"serija","raumuo","unrelated","word","word",0.220870805164575
"įranga","pokštas","unrelated","word","word",0.151077674546026
"orgazmas","fotografas","unrelated","word","word",0.231612774178399
"niekada","gamyba","unrelated","word","word",0.1796633956363
"apibūdinti","priimti","unrelated","word","word",0.252384031872735
"upė","sprogti","unrelated","word","word",0.0836699132697031
"paštas","savaitai","unrelated","word","word",NA
"suklastotas","liūtas","unrelated","word","word",0.378898435284817
"nuostabus","procedūra","unrelated","word","word",0.0534576294550093
"realybė","kartelis","unrelated","word","word",0.197769244418137
"kolonija","vampire","unrelated","word","word",NA
"karnavalas","svarba","unrelated","word","word",0.168090639684777
"porn","savininkas","unrelated","word","word",NA
"bjaurus","dalelė","unrelated","word","word",0.210862772794251
"bankininkystė","švirkštas","unrelated","word","word",NA
"biudžetas","uždarymas","unrelated","word","word",0.291660432742856
"finansiškai","dinamitas","unrelated","word","word",0.147070839482073
"seksualinis","draugiškas","unrelated","word","word",0.231559321757995
"autografas","šampanas","unrelated","word","word",NA
"žodynas","ding","unrelated","word","word",0.159657087303706
"pabėgėlis","mountain","unrelated","word","word",0.231388123496733
"veikimas","leitenantas","unrelated","word","word",NA
"krepšinis","amžinai","unrelated","word","word",0.0419775707308951
"fragmentas","ženklas","unrelated","word","word",0.27382239963781
"atleidimas","lizard","unrelated","word","word",NA
"priekyje","butelis","unrelated","word","word",0.131145828959498
"visata","absolventas","unrelated","word","word",NA
"pasirinkimas","karalystė","unrelated","word","word",0.202891409332794
"tikimybė","pigūs","unrelated","word","word",0.201310024641711
"pagaliau","politikas","unrelated","word","word",0.0959468229673241
"sukurti","specialistas","unrelated","word","word",0.208024020303571
"gamykla","elektra","unrelated","word","word",0.245120917912343
"seminaras","viela","unrelated","word","word",0.144744634974119
"privilegija","dirbtinis","unrelated","word","word",0.146797775504839
"populiarus","vertinimas","unrelated","word","word",0.163969931882271
"avenue","futbolas","unrelated","word","word",0.225768830909122
"lesbietė","bjaurus","unrelated","word","word",0.21601365401852
"talpa","equip","unrelated","word","word",NA
"herojus","saunus","unrelated","word","word",NA
"augalas","heroinas","unrelated","word","word",0.335818692760666
"raudona","gatvė","unrelated","word","word",0.202039973298802
"jubiliejus","false","unrelated","word","word",NA
"konfliktas","technika","unrelated","word","word",0.158868204455707
"šautuvas","priesaika","unrelated","word","word",0.164047944157792
"pistoletas","dangaus","unrelated","word","word",0.0906980881261452
"arsenal","nuolat","unrelated","word","word",0.128281904397661
"apsaugokite","negali","unrelated","word","word",0.110540986871504
"klausykitės","viršuje","unrelated","word","word",0.141110345216972
"blaivus","pasiūlyti","unrelated","word","word",0.0894945966256362
"fortepijonas","miegoti","unrelated","word","word",NA
"nacionalinis","hamburgeris","unrelated","word","word",NA
"monkey","minus","unrelated","word","word",NA
"romanas","spinta","unrelated","word","word",0.0727266355491564
"kilo","poveikis","unrelated","word","word",0.206418272359815
"graži","trikampis","unrelated","word","word",0.156318906920955
"nicos","pasveikinkite","unrelated","word","word",NA
"lėtai","filthy","unrelated","word","word",NA
"lėtai","tvarkaraštis","unrelated","word","word",0.120797291939491
"atstumas","adresas","unrelated","word","word",0.277118319237269
"kelias","greitas","unrelated","word","word",0.157025888721733
"žaibas","audinys","unrelated","word","word",0.27684220084653
"atgal","įvykis","unrelated","word","word",0.056904324689035
"charm","komisijos narys","unrelated","word","word",NA
"lapkričio mėn","programa","unrelated","word","word",NA
"gauja","paklauskite","unrelated","word","word",0.102195346364034
"terapija","nelaimingas atsitikimas","unrelated","word","word",NA
"žvėris","susijaudinęs","unrelated","word","word",0.114748483122638
"iliuzija","ciniškas","unrelated","word","word",0.184551256053464
"sandwich","savaitė","unrelated","word","word",NA
"balansas","vieta","unrelated","word","word",0.112910860280847
"šalmas","pomidorai","unrelated","word","word",0.231444406109848
"kokainas","arogancija","unrelated","word","word",0.157246450671444
"į vakarus","vedęs","unrelated","word","word",NA
"įdėti","nustatymas","unrelated","word","word",0.0834421061594268
"kvailys","masažas","unrelated","word","word",0.238169535280086
"jaudinantis","tauta","unrelated","word","word",0.169403498163968
"išeiti iš","smėlis","unrelated","word","word",NA
"inspire","pull","unrelated","word","word",NA
"trumpas","atlyginimas","unrelated","word","word",0.283110452100574
"dydis","batalionas","unrelated","word","word",0.335996318716476
"imperial","direktorius","unrelated","word","word",0.20131121371666
"dynasty","faksas","unrelated","word","word",NA
"glostymas","alus","unrelated","word","word",NA
"asmuo","biuras","unrelated","word","word",0.332555688059506
"virusas","noras","unrelated","word","word",0.280885352959028
"duomenys","ginkluotė","unrelated","word","word",0.212129754565339
"šaltinis","galimybė","unrelated","word","word",0.17225425474964
"ataskaita","draugystė","unrelated","word","word",0.15949591173839
"dozė","nuoširdus","unrelated","word","word",0.232347673805114
"egzaminas","spalio mėn","unrelated","word","word",NA
"jurisdikcija","eikite","unrelated","word","word",0.190232953825057
"įrankis","studija","unrelated","word","word",0.173985841428322
"instinktas","strategija","unrelated","word","word",0.24630335780421
"asmeninis","pagalvokite","unrelated","word","word",0.172916732980366
"finansai","karščiavimas","unrelated","word","word",NA
"bankininkas","pertrauka","unrelated","word","word",0.144350439821451
"paprastas","neigiamas","unrelated","word","word",0.221261482358757
"įrašas","denio","unrelated","word","word",0.100051336225737
"įrodymai","kurčias","unrelated","word","word",0.140061193656475
"ironija","laimėti","unrelated","word","word",0.163126469526217
"komanda","neatsakingas","unrelated","word","word",0.0192936804261357
"šnipas","emocinis","unrelated","word","word",0.271519937795544
"atkurti","išdavikas","unrelated","word","word",0.131580996594502
"gyvena","komunikatas","unrelated","word","word",NA
"išsaugoti","grožis","unrelated","word","word",0.164634075297276
"likti","nužudyti","unrelated","word","word",0.135798449149022
"vidaus","gelbėtojas","unrelated","word","word",0.0965557416027727
"pripažinti","ministras","unrelated","word","word",0.137699717171874
"sensacinga","sąžiningumas","unrelated","word","word",NA
"kliūtis","stilius","unrelated","word","word",0.15148849413983
"loyal","uždaryta","unrelated","word","word",NA
"išnagrinėti","kempingas","unrelated","word","word",NA
"atvykimas","rob","unrelated","word","word",NA
"abejojimas","dokumentas","unrelated","word","word",NA
"phenomenon","energija","unrelated","word","word",NA
"įžeidimas","pažadas","unrelated","word","word",0.275541013987523
"vyresnysis","matematika","unrelated","word","word",0.198722588248424
"įspūdis","prisiminti","unrelated","word","word",0.137529823843851
"subtilus","ministerija","unrelated","word","word",0.208674853999129
"stiprumas","nemalonus","unrelated","word","word",0.228168292202744
"balta","reputacija","unrelated","word","word",0.114472858729609
"šmaikštus","mokyti","unrelated","word","word",0.143401154520141
"šypsena","tikisi","unrelated","word","word",0.124324414271359
"stovykla","kaltas","unrelated","word","word",0.116115356274768
"vertė","laidotuvės","unrelated","word","word",0.160695834957808
"teisė","buriavimas","unrelated","word","word",NA
"gerklės","pirštų atspaudai","unrelated","word","word",NA
"įpareigoti","pusbrolis","unrelated","word","word",0.164965414853915
"kalbėti","vykdymas","unrelated","word","word",0.135303213993072
"ląstelė","injekcija","unrelated","word","word",0.431184110354271
"įkaitas","sutikimas","unrelated","word","word",0.119974979693573
"nekaltas","ginklas","unrelated","word","word",0.104780537498637
"skundas","įprasta","unrelated","word","word",0.103910023036789
"teisininkas","brave","unrelated","word","word",0.100615165845903
"skurdas","ceremonija","unrelated","word","word",0.15972895182668
"kankinimas","demokratija","unrelated","word","word",0.223701375453991
"grave","finansavimas","unrelated","word","word",0.249891333735341
"anarchija","vandenilis","unrelated","word","word",0.146363406669928
"vadas","vakarų","unrelated","word","word",0.135239573404561
"karalienė","žudikas","unrelated","word","word",0.154351135771201
"royal","įsakymas","unrelated","word","word",0.217284732199746
"vyskupas","užpuolikas","unrelated","word","word",0.29186791948529
"marine","žurnalas","unrelated","word","word",0.101803013762766
"civilinis","atsitikti","unrelated","word","word",NA
"žiedas","thirst","unrelated","word","word",NA
"kosulys","knyga","unrelated","word","word",0.110276348024041
"mafija","bait","unrelated","word","word",NA
"šuo","ragana","unrelated","word","word",0.224134391256707
"puodelis","dulkės","unrelated","word","word",0.134645782366747
"nieko","lady","unrelated","word","word",0.224144491827788
"kitur","kunigas","unrelated","word","word",0.151058623581462
"stalas","creepy","unrelated","word","word",NA
"neįprastas","paslėpti","unrelated","word","word",0.196917708060576
"maršrutas","graikų kalba","unrelated","word","word",NA
"pečių","bar","unrelated","word","word",0.0832145911900022
"piknikas","striukė","unrelated","word","word",0.239759432177841
"inkstas","pirmas","unrelated","word","word",0.0968045393304252
"tikslas","kuras","unrelated","word","word",0.250878806756036
"du","šalta","unrelated","word","word",0.100468255121736
"trečias","privatumas","unrelated","word","word",0.232119740305533
"pusė","nykštys","unrelated","word","word",0.15312307327887
"lizdas","saulė","unrelated","word","word",0.2325744376411
"grindys","tiki","unrelated","word","word",0.117415993288987
"klaida","kvapas","unrelated","word","word",0.116624084864062
"tipiškas","bullet","unrelated","word","word",NA
"pacientas","pig","unrelated","word","word",NA
"ligoninė","princas","unrelated","word","word",0.0660402884013995
"biblija","patarti","unrelated","word","word",0.130236707504073
"kiekis","idiotas","unrelated","word","word",0.065197459198611
"lyga","lyderis","unrelated","word","word",0.285309392868688
"drama","erekcija","unrelated","word","word",0.28178862316303
"inspektorius","fizinė dalis","unrelated","word","word",NA
"komisija","skylė","unrelated","word","word",0.146766104315677
"programinė įranga","sviestas","unrelated","word","word",NA
"navigacija","pyktis","unrelated","word","word",0.198840809837458
"rasistinis","nesėkmė","unrelated","word","word",NA
"dėmesys","rašymas","unrelated","word","word",0.304253319028953
"turas","žemėlapis","unrelated","word","word",0.242504665352235
"rum","puikus","unrelated","word","word",NA
"įstatymas","ultimate","unrelated","word","word",NA
"original","filmas","unrelated","word","word",NA
"bažnyčia","pamokslas","unrelated","word","word",0.0737462172390718
"įmonė","saulės saulės","unrelated","word","word",NA
"kovoti","darbas","unrelated","word","word",0.121623334998559
"čempionai","aktorius","unrelated","word","word",0.187050357212719
"nuryti","orumas","unrelated","word","word",0.164965942188304
"tualetas","batman","unrelated","word","word",NA
"katalikų","build","unrelated","word","word",0.197156025788556
"situacija","lavonas","unrelated","word","word",0.122812026152646
"apkrova","kankinimas","unrelated","word","word",NA
"skrandis","sutrikdyti","unrelated","word","word",0.195207217471523
"nuolankus","samurai","unrelated","word","word",NA
"vienuolis","abduct","unrelated","word","word",NA
"dujos","dieviškas","unrelated","word","word",0.187475539218125
"aklas","tvora","unrelated","word","word",0.169969088913438
"vaizduotė","pasiteisinimas","unrelated","word","word",0.172390636820203
"naivus","politinis","unrelated","word","word",0.181524167884341
"beprotybė","priešininkas","unrelated","word","word",0.151331505241382
"skonis","efektyvus","unrelated","word","word",0.19512241631147
"lūpų dažai","tobulėjimas","unrelated","word","word",NA
"ypač","dantis","unrelated","word","word",0.0821443172145915
"viešpats","minutė","unrelated","word","word",0.122156728514502
"portfelis","slėgis","unrelated","word","word",0.33497508372982
"karstas","kavos kava","unrelated","word","word",NA
"detonatorius","siųstuvas","unrelated","word","word",0.370666278830684
"fazė","rungtynės","unrelated","word","word",0.301551531902108
"straipsnis","mirti","unrelated","word","word",0.0720513751513759
"laikykite","jėga","unrelated","word","word",0.177549438087733
"pelnas","impress","unrelated","word","word",NA
"patenkintas","pilnas","unrelated","word","word",0.186981903583565
"telegrama","plaktukas","unrelated","word","word",0.201786207703355
"laisvai","vestuvės","unrelated","word","word",0.021668007348259
"bausmė","važiuoti","unrelated","word","word",0.0561784587013853
"įgula","ramus","unrelated","word","word",0.0803316020823372
"naval","sutaupyti","unrelated","word","word",NA
"kūnas","rasti","unrelated","word","word",0.176023957887275
"mitas","į rytus","unrelated","word","word",NA
"leisti","kairėje","unrelated","word","word",0.0303557430681862
"seržantas","baigtas","unrelated","word","word",0.332539203074974
"maratonas","platus","unrelated","word","word",0.23657029370326
"konservatyvus","bacon","unrelated","word","word",NA
"suck","kalėjimu","unrelated","word","word",NA
"birželio birželio mėn","maksimalus","unrelated","word","word",NA
"ugnis","informuoti","unrelated","word","word",0.153340407037763
"gripas","ling","unrelated","word","word",0.13862534929349
"tamsa","žarna","unrelated","word","word",0.226824937803677
"taksi","veidrodis","unrelated","word","word",0.111375634356102
"ming","vienuolynas","unrelated","word","word",0.272273606266936
"art","toli","unrelated","word","word",0.176969403967247
"liudytojas","finansavimas","unrelated","word","word",0.170949375678694
"drakonas","mikrofonas","unrelated","word","word",0.469306830454349
"varlė","duok","unrelated","word","word",0.150903552813172
"narys","kelio","unrelated","word","word",0.0492687736902354
"escort","devotimas","unrelated","word","word",NA
"grandinė","miegamasis","unrelated","word","word",0.092879459397452
"nanny","šakutė","unrelated","word","word",NA
"dėžė","įėjimas","unrelated","word","word",0.207883173336538
"maistas","prizas","unrelated","word","word",0.242506460604099
"ketchupas","išgyti","unrelated","word","word",NA
"minimumas","epidemija","unrelated","word","word",NA
"daddy","bed","unrelated","word","word",0.355565523686576
"kontrolė","meilė","unrelated","word","word",0.214767722657956
"joga","assassin","unrelated","word","word",NA
"robotas","sultys","unrelated","word","word",0.200540498660333
"fizika","nesąžininga","unrelated","word","word",0.201612431384866
"mažai","mama","unrelated","word","word",0.100504736579572
"techninis","sound","unrelated","word","word",NA
"artefaktas","plastmasinis","unrelated","word","word",NA
"trofėjaus","mielas","unrelated","word","word",NA
"krūmas","elementas","unrelated","word","word",0.338413852707122
"šilkas","paveldėti","unrelated","word","word",0.171488844576466
"neapykanta","atnaujinkite","unrelated","word","word",NA
"mistress","šeima","unrelated","word","word",NA
"lie","šaudyti","unrelated","word","word",0.115284040836732
"brown","vėžlys","unrelated","word","word",0.220343975926253
"įbraižas","mechaninė","unrelated","word","word",NA
"šerifas","sip","unrelated","word","word",NA
"berniukai","pykinimas","unrelated","word","word",0.0919274410731244
"kiauliena","nuotaka","unrelated","word","word",0.221611912734202
"iron","mokslininkas","unrelated","word","word",NA
"kilometras","nusivylimas","unrelated","word","word",0.25203971893185
"kambarys","amerika","unrelated","word","word",0.0162319359589104
"poilsis","fantastinis","unrelated","word","word",0.240868192856567
"saldus","priežiūra","unrelated","word","word",0.0958432670439096
"sostinė","paukštis","unrelated","word","word",0.146368194785991
"fotoaparatas","ever","unrelated","word","word",0.251341643201816
"teleskopas","paauglys","unrelated","word","word",0.180639805516864
"million","visiškai","unrelated","word","word",NA
"grūdai","tradicinis","unrelated","word","word",0.156693424199165
"ambasada","įrodymas","unrelated","word","word",0.170851181203884
"ambasadorius","professional","unrelated","word","word",NA
"plus","pasaulis","unrelated","word","word",0.0885827412759858
"antra","mokytojas","unrelated","word","word",0.0629774309814108
"gyvas","dešimtmetis","unrelated","word","word",0.156075476005049
"kenčia","biologinis","unrelated","word","word",0.183017407468536
"mirtinas","doleris","unrelated","word","word",0.142967947907686
"užduotis","dvasia","unrelated","word","word",0.172316553362017
"derinys","kopijavimas","unrelated","word","word",NA
"jungle","būstinė","unrelated","word","word",NA
"raketa","reaktorius","unrelated","word","word",0.318250014166815
"senelis","suknelė","unrelated","word","word",0.194627053478928
"technologijos","sėdėti","unrelated","word","word",0.0449125913620546
"genijus","žavus","unrelated","word","word",0.381240843423191
"klasė","dawn","unrelated","word","word",0.202999969300558
"mokytis","žmona","unrelated","word","word",0.100175957625008
"studentas","brangakmenis","unrelated","word","word",0.128083910946859
"ekranas","armija","unrelated","word","word",0.166765327423682
"aspirinas","braškių","unrelated","word","word",NA
"viešbutis","variklis","unrelated","word","word",0.242844597353662
"patinas","sistema","unrelated","word","word",0.125267667230225
"našlė","laikmatis","unrelated","word","word",0.139121318073009
"hill","rašytojas","unrelated","word","word",0.229274527210698
"karas","rezultatas","unrelated","word","word",0.10520279164741
"evoliucija","ugly","unrelated","word","word",NA
"biblioteka","penis","unrelated","word","word",0.082934135474157
"džiazas","nervai","unrelated","word","word",0.197392031304996
"dainininkė","dusty","unrelated","word","word",NA
"taikyti","žaidimas","unrelated","word","word",0.105550216923039
"nepagrįstas","cowboy","unrelated","word","word",NA
"buvimas","turtas","unrelated","word","word",0.193377514660414
"nesugebėjimas","crazy","unrelated","word","word",NA
"teigiamas","agentūra","unrelated","word","word",0.120438361956732
"incidentas","pilvo","unrelated","word","word",0.141493229035078
"nepatogus","muzikantas","unrelated","word","word",NA
"susirūpinimą","žiaurumas","unrelated","word","word",0.203458326856846
"neramus","skruostas","unrelated","word","word",NA
"neteisybė","girdėti","unrelated","word","word",0.0822823574818437
"sėkmė","metalas","unrelated","word","word",0.23003956814052
