"de_cue","de_target","de_fake_target","de_fake_cue","en_cue","en_target"
"lauf","spaziergang","spazierlich","laja","run","walk"
"lebend","überleben","trolleben","levard","live","survive"
"lebensmittel","mahlzeit","mclazeit","ledruckmittel","food","meal"
"leer","voll","prll","sper","empty","full"
"legion","heer","ïíer","legirish","legion","army"
"leiden","schmerzen","schiffzen","disden","suffering","pain"
"leiden","sterben","kranben","disden","suffer","die"
"leise","schweigen","dienstgen","riose","silent","silence"
"lernen","unterrichten","untergehstten","signen","learn","teach"
"lesben","fröhlich","sechlich","kamben","lesbian","gay"
"lesen","schreiben","schlüsben","lerie","read","write"
"lesen","schreiben","schlüsben","lerie","reading","writing"
"liga","mannschaft","lautschaft","liven","league","team"
"limonade","limonade","limonadeathwatch","limonadeathwatch","lemonade","soda"
"lippe","wange","yevge","scope","lip","cheek"
"lippenstift","parfüm","parübe","lippenbohrt","lipstick","perfume"
"löffel","gabel","ganie","avifel","spoon","fork"
"loyalität","ehrlichkeit","ehrgeizkeit","schelität","loyalty","honesty"
"luft","sauerstoff","sauerschüt","öpft","air","oxygen"
"lüge","lügner","hehner","darge","lie","liar"
"machen","tun","esn","maschi","make","do"
"mädchen","junge","pilge","kiechen","girl","boy"
"mafia","kartell","karsteh","maloo","mafia","cartel"
"magen","truhe","lunhe","matio","stomach","chest"
"magie","magier","magierschreckst","mazeu","magic","wizard"
"magnetisch","elektrisch","dreitrisch","magnesches","magnetic","electric"
"majestät","hoheit","hovens","majessies","majesty","highness"
"malen","zeichnen","psychnen","matio","paint","draw"
"manager","boss","boja","manathan","manager","boss"
"manchmal","häufig","epifig","beechmal","sometimes","often"
"mann","mensch","sonsch","maca","man","human"
"männlich","weiblich","kleblich","danklich","male","female"
"marathon-","rennen","stonen","marakens","marathon","race"
"marine","marine","mawaffne","maschöne","marine","navy"
"marine-","flotte","littte","mawaffne","naval","fleet"
"marke","produkt","prohuhn","völke","brand","product"
"mars","venus","vedor","mazi","mars","venus"
"maus","ratte","seste","manc","mouse","rat"
"medizinisch","psychologisch","psycholochert","medizistein","medical","psychological"
"meer","ozean","geman","meso","sea","ocean"
"mehrheitlich","abstimmung","abtrünmung","striheitlich","majority","vote"
"meile","zentimeter","zentimeternachtssnack","tulle","mile","centimeter"
"meinung","einstellung","einrichlung","cannung","opinion","attitude"
"menge","publikum","publimans","halge","crowd","audience"
"menge","qualität","frühlität","halge","quantity","quality"
"messe","angemessen","angeranntsen","synse","fair","reasonable"
"methode","technik","techkam","mekreide","method","technique"
"mieten","mieten","genten","kulten","hire","rent"
"mieter","vermieter","verkannter","knoter","tenant","landlord"
"milch","saft","sazi","mihoh","milk","juice"
"million","milliarde","grundliarde","langlion","million","billion"
"millionär","unternehmer","untergrundmer","milliomons","millionaire","entrepreneur"
"minimum","maximal","maxische","minirews","minimum","maximum"
"mischung","ling","liba","mischiff","ming","ling"
"miserabel","erbärmlich","erstößlich","miseralisch","miserable","pathetic"
"mitfühlend","großzügig","festzügig","mitfühhalb","compassionate","generous"
"mitglied","führer","casrer","mitsisch","member","leader"
"mitternacht","mittag","mitven","mitterlands","midnight","noon"
"modell","prototyp","protoruft","mofers","model","prototype"
"modern","traditionell","traditiofisch","mosphä","modern","traditional"
"modisch","elegant","elegraf","monacht","fashionable","elegant"
"monat","woche","woben","mocus","month","week"
"mönch","priester","spitzter","aench","monk","priest"
"mond","sonne","berne","mods","moon","sun"
"mond-","solar-","sofes","molo","lunar","solar"
"monster-","kreatur","yamatur","bronter","monster","creature"
"montag","dienstag","kreistag","chitag","monday","tuesday"
"monument","statue","stavio","monuckys","monument","statue"
"mörder","mörder","sepder","kloder","killer","murderer"
"morgen","morgen","stagen","niegen","tomorrow","morning"
"motiv","alibi","selbi","molon","motive","alibi"
"müde","hungrig","burkrig","hamde","tired","hungry"
"müll","müll","fäll","töll","trash","garbage"
"mund","nase","nator","muwa","mouth","nose"
"mut","festlegung","charlegung","aht","courage","determination"
"mutter","vater","varia","linter","mother","father"
"mythos","legende","lefriede","mycats","myth","legend"
"nacht","abend","abded","itcht","night","evening"
"nachtisch","kuchen","kulier","lardtisch","dessert","cake"
"nackt","nackt","nablt","napat","nude","naked"
"nadel","spritze","staatze","narie","needle","syringe"
"nagel","zahn","ughn","natür","nail","tooth"
"naiv","dumm","duxe","nawyn","naïve","stupid"
"naiv","zynisch","zypunkt","nawyn","naive","cynical"
"name","titel","tibar","prome","name","title"
"national","global","hänbal","natiomung","national","global"
"natürlich","allgemein","allgeengt","natürchen","naturally","generally"
"natürlich","künstlich","chentlich","natürchen","natural","artificial"
"navigation","kommunikation","streichmunikation","schnarchnavigation","navigation","communication"
"neidisch","wütend","wübank","völdisch","jealous","angry"
"nerv","muskel","krikel","nehh","nerve","muscle"
"nest","ei","gy","neru","nest","egg"
"netzwerk","system","apotem","netzbeln","network","system"
"nichts","etwas","etruf","nichil","nothing","something"
"nickerchen","bummel","lohmel","nihäuschen","nap","stroll"
"nieder","hoch","horc","masder","down","up"
"niedrig","hoch","horc","freurig","low","high"
"niedriger","oberer, höher","oberer, jamín","blanriger","lower","upper"
"niere","leber","lerie","masre","kidney","liver"
"ninja","samurai","samunice","lymja","ninja","samurai"
"nobel","preis-","sheis","nonie","nobel","prize"
"noch nie","je","ös","vach nie","never","ever"
"normalerweise","meistens","meisbeln","normalerschönsse","normally","usually"
"notwendig","brauchen","teamchen","flugwendig","necessary","need"
"november","dezember","deschober","novemgung","november","december"
"nüchtern","betrunken","beängsken","nervtern","sober","drunk"
"nutzlos","wertlos","feldlos","punklos","useless","worthless"
"oben","unterseite","unterkunftte","eren","top","bottom"
"objekt","fach","fany","obzeln","object","subject"
"ofen","herd","hena","mäen","oven","stove"
"offen","nah dran","tru dran","ofche","open","close"
"offenbarung","vision","klassion","offenbanisch","revelation","vision"
"offiziell","offiziell","offizisicht","offizilicht","officially","official"
"öffnung","schließung","schlietenz","hurnung","opening","closure"
"okay","ja","ht","tway","okay","yeah"
"onkel","vati","ferti","onrat","uncle","dad"
"opfer","angreifer","anthrofer","oplos","victim","attacker"
"optimistisch","realistisch","realissches","optimisstand","optimistic","realistic"
"orchester","band","ound","ordertter","orchestra","band"
"ordnen","organisieren","schlechtsorganisieren","webnen","arrange","organize"
"orgasmus","erektion","förmtion","orgasback","orgasm","erection"
"original","kopieren","koreasren","origimung","original","copy"
"ort","lage","wegge","eht","place","location"
"palast","schloss","scufoss","pafand","palace","castle"
"panzer","motor","modet","ehezer","tank","engine"
"papier","stift","stppt","paligt","paper","pen"
"paradies","hölle","rosle","parakerl","paradise","hell"
"paranoid","verrückt","verzucht","paranorecht","paranoid","crazy"
"parlament","senat","serow","parlabour","parliament","senate"
"passagier","treiber","stehber","passawurf","passenger","driver"
"pazifik","atlantisch","atlandungs","pazitreu","pacific","atlantic"
"person","individuell","individuschiff","perfek","person","individual"
"persönlich","intim","injor","persöncher","personal","intimate"
"pest","epidemie","kochdemie","rmst","plague","epidemic"
"pflanze, anlage","blume","horme","froschze, anlage","plant","flower"
"pfund","dollar","dolnon","ciund","pound","dollar"
"phänomen","veranstaltung","verangrifftung","stopnomen","phenomenon","event"
"phase","zeitraum","nessraum","macse","phase","period"
"philosophie","religion","relichungon","philosogibst","philosophy","religion"
"physik","mathematik","mathemaplatz","opesik","physics","mathematics"
"picknick","camping","sitping","pickness","picnic","camping"
"pirat","seemann","vatmann","pinos","pirate","sailor"
"pistole","waffe","diafe","steltole","pistol","weapon"
"planen","strategie","tigstegie","eisnen","plan","strategy"
"planet","orbit","orsed","finnet","planet","orbit"
"plattform","bahnhof","bahnsin","drahtform","platform","station"
"platzen","explodieren","exschendieren","klinzen","burst","explode"
"playboy","zeitschrift","zeitfleisch","playcie","playboy","magazine"
"plötzlich","unerwartet","unerleuchtet","kratzlich","suddenly","unexpectedly"
"plus","minus-","mität","pllo","plus","minus"
"politik","politiker","politigungs","polimern","policy","politician"
"population","menschen","walschen","polierstlation","population","people"
"porno","film","fiud","banno","porn","movie"
"portal","tor","ker","porsig","portal","gate"
"positiv","negativ","negabund","posimons","positive","negative"
"potenzial","talent","tachet","poschatzial","potential","talent"
"prinzessin","prinz","swinz","bleizessin","princess","prince"
"privat","privatsphäre","privatkriegre","priphy","private","privacy"
"privileg","ehren","ehche","privicott","privilege","honor"
"produzent","direktor","digungtor","produwolf","producer","director"
"profil","bezeichnung","befehlsnung","proong","profile","description"
"profitieren","einkommen","einstelmen","profisportren","profit","income"
"progress","entwicklung","entschulung","prowerks","progress","development"
"projekt","programm","probruch","prockel","project","program"
"protein","vitamin","vittime","ckeltein","protein","vitamin"
"protest","demonstration","destrichtration","progres","protest","demonstration"
"prozess","verfahren","verletzren","profehl","process","procedure"
"prüfbericht","informieren","inforderstren","weckbericht","report","inform"
"prüfen","verifizieren","verifischnurren","altfen","check","verify"
"psychisch","emotional","achttional","reichisch","mental","emotional"
"pub","restaurant","restauphie","wob","pub","restaurant"
"pumpe","schlauch","schlmach","kespe","pump","hose"
"punkt","angeben","angefähr","pulät","point","indicate"
"puppe","spielzeug","spielmeln","kohpe","doll","toy"
"pyramide","struktur","tricktur","pyramideathwatch","pyramid","structure"
"quälen","folter","wirter","joglen","torment","torture"
"quelle","informant","inforsyth","prenle","source","informant"
"rache","die gerechtigkeit","die gerechtistopps","rater","revenge","justice"
"radar","satellit","sateltras","races","radar","satellite"
"radio","fernsehen","wachsehen","ramut","radio","television"
"radius","umfang","umfort","radirekt","radius","perimeter"
"rakete","rakete","ragrößte","rabürste","rocket","missile"
"rassist","kommunistisch","kommunisplatz","rasrier","racist","communist"
"rat","beraten","berabatt","oot","advice","advise"
"rauch","zigarre","zideidre","ratah","smoke","cigar"
"realisieren","verstehen","verheimhen","glücklisieren","realize","understand"
"rechts","links","lidos","itchts","right","left"
"rede","predigt","koldigt","rerin","speech","sermon"
"regel","protokoll","protomack","rerin","rule","protocol"
"regen","schnee","schnul","reprä","rain","snow"
"regiment","bataillon","baechelon","regicorp","regiment","battalion"
"regional","lokal","lobei","regiomung","regional","local"
"reinigen","waschen","wachung","chronigen","clean","wash"
"relativ","vetter","ripter","relabert","relative","cousin"
"reporter","journalist","trinnalist","regelnter","reporter","journalist"
"respekt","vertrauen","verchenen","respray","respect","confidence"
"rettung","sparen","ckeren","kastung","rescue","save"
"rezeption","gruppe","golfpe","restrontion","reception","party"
"rhythmus","stil","stor","plattmus","rhythm","style"
"ring","halskette","kostkette","riel","ring","necklace"
"risiko","achtung","wettung","risiland","risk","danger"
"riskant","gefährlich","gezwielich","bohkant","risky","dangerous"
"riss","schneiden","schuldden","rikt","tear","cut"
"riss","loch","itch","rikt","crack","hole"
"ritual","zeremonie","zeremoderns","rituling","ritual","ceremony"
"roboter","maschine","mawaffne","robockig","robot","machine"
"rock","kleid","klold","roti","skirt","dress"
"rodeo","cowboy","memboy","robis","rodeo","cowboy"
"romeo","juliet","juträt","rolud","romeo","juliet"
"römisch","griechisch","zwinchisch","röblick","roman","greek"
"rostig","staubig","showbig","höltig","rusty","dusty"
"rot","gelb","geuß","lzt","red","yellow"
"route","weg","agg","zahte","route","path"
"rücktritt","entlassung","entlasdest","rücknacht","resignation","dismissal"
"ruhig","ruhe","rutor","rubus","quiet","calm"
"rum","cognac","cohans","emm","rum","cognac"
"runden","um herum","umfunkrum","carden","round","around"
"sagen","erzählen","erfülllen","satio","say","tell"
"sahne","soße","sophi","knine","cream","sauce"
"sammeln","versammeln","versamdigt","samzeug","collect","gather"
"samstag","sonntag","wandtag","dummtag","Saturday","Sunday"
"sandwich","hamburger","schäburger","sandlief","sandwich","hamburger"
"sänger","musiker","musitäts","reuger","singer","musician"
"sarg","beerdigung","beerdischen","saun","coffin","funeral"
"saugen","lecken","lemann","comgen","suck","lick"
"schaffen","produzieren","produtrouxren","stahlfen","create","produce"
"schaffung","zerstörung","zerstöbern","stahlfung","creation","destruction"
"schallplatte","aufzeichnung","aufdringnung","schallsuchte","record","recording"
"schatten","dunkel","flakel","stichten","shadow","dark"
"schatz","vermögen","vermösche","scmutz","treasure","wealth"
"scheiden lassen","ehe","tle","kunstden lassen","divorce","marriage"
"scheinen","hell","heuc","sportnen","shine","bright"
"schicht","oberfläche","rückfläche","scdacht","layer","surface"
"schießpulver","dynamit","dynaveen","nichtspulver","gunpowder","dynamite"
"schild","rüstung","mootung","scfeld","shield","armor"
"schleppend","schnell","schnürl","schlepdünn","slow","fast"
"schlucken","kauen","tesen","sträucken","swallow","chew"
"schlüssel","sperren","stilren","schreisel","key","lock"
"schmackhaft","lecker","leters","schmeishaft","tasty","delicious"
"schmeicheln","beeindrucken","beeindrutisch","schnitcheln","flatter","impress"
"schmelzen","einfrieren","einzigsren","schächzen","melt","freeze"
"schmetterling","vogel","votin","schmetterspre","butterfly","bird"
"schnecke","schildkröte","prachtkröte","sprencke","snail","turtle"
"schön","schön","scunn","scqin","nice","lovely"
"schrecken","erschrecken","erreichcken","starrcken","scare","frighten"
"schrecklich","entsetzlich","entwöhnlich","schrittlich","terrible","horrible"
"schreibtisch","büro","zauro","fleischtisch","desk","office"
"schüler","lehrer","macrer","lichler","student","teacher"
"schulter","knie","knac","fürchter","shoulder","knee"
"schuss","schießen","friedßen","scness","shot","shoot"
"schüssel","teller","mögler","stressel","bowl","plate"
"schweinefleisch","fleisch","hneisch","dienstnefleisch","pork","meat"
"schwer","schwer","schwim","schwup","heavy","heavily"
"schwert","messer","floser","scufert","sword","knife"
"schwester","bruder","geider","schmutter","sister","brother"
"schwören","eid","uad","ochmoren","swear","oath"
"seele","geist","gejut","losle","soul","spirit"
"sehen","treffen","bräufen","sekre","see","meet"
"sehen","uhr","mmr","sekre","look","watch"
"sekretär","assistent","assisgnon","sekregels","secretary","assistant"
"sektion","absatz","abfang","fahntion","section","paragraph"
"sekundär","primär","prinoi","sekunside","secondary","primary"
"sekunde","minute","misiegte","sefriede","second","minute"
"selbstmord","mord","monu","selbstjagd","suicide","murder"
"seminar","vorlesung","vorledest","semideck","seminar","lecture"
"senior","junior","junitelt","senitelt","senior","junior"
"sensationell","spektakulär","glaubtakulär","sensatiofisch","sensational","spectacular"
"sensor","sender","korder","senmig","sensor","transmitter"
"september","oktober","oktogung","württember","september","october"
"sergeant","leutnant","pleanant","serbelst","sergeant","lieutenant"
"serie","folge","wirge","sedel","series","episode"
"sexuell","physisch","dolsisch","sexuband","sexual","physical"
"sheriff","bürgermeister","bürgersuchtter","hamriff","sheriff","mayor"
"sherlock","watson","künson","schülock","sherlock","watson"
"shirt","jacke","jamai","kiirt","shirt","jacket"
"shooter","scharfschütze","prachtschütze","stalter","shooter","sniper"
"show","leistung","niedtung","kiow","show","performance"
"sich ausruhen","schlaf","schloo","sich ausrklärst","rest","sleep"
"sich verengen","breit","brott","sich vereduckt","narrow","wide"
"sich weigern","annehmen","anspanmen","sich weruhrs","refuse","accept"
"sicher","sicher","sirung","sirung","safe","secure"
"sicherheit","sicherheit","sisundheit","sichergung","security","safety"
"sieg","verlust","verlock","siic","victory","defeat"
"sinnvoll","wirksam","kriesam","bahnvoll","useful","effective"
"sklave","knecht","knecdi","waldve","slave","servant"
"snack","mittagessen","mitabendessen","aaack","snack","lunch"
"sofa","bett","benn","sodos","sofa","bed"
"software","computer","herzputer","zartware","software","computer"
"soldat","krieger","treuger","solauf","soldier","warrior"
"söldner","attentäter","attentäternachtssnack","sauener","mercenary","assassin"
"sommer","winter","feuter","gromer","summer","winter"
"sonnenuntergang","dämmerung","dämmetrie","sonnenunterschrie","sunset","dawn"
"spät","frühzeitig","tierzeitig","spjk","late","early"
"spinal","abdominal","abdomichern","matnal","spinal","abdominal"
"spinne","insekt","inheem","whitne","spider","insect"
"spion","verräter","zahnräter","maton","spy","traitor"
"spionage","sabotage","sabotageschlechts","hautnage","espionage","sabotage"
"spitzname","nachname","chenname","schotname","nickname","surname"
"sprechen","sprechen","pierchen","meerchen","talk","speak"
"stadion","baseball","basegeld","friedion","stadium","baseball"
"stand","sitzen","wolzen","chand","stand","sit"
"stark","schwach","sccoach","geark","strong","weak"
"stärke","gewalt","gelist","chirke","strength","force"
"startseite","verstecken","verstehung","traumseite","cover","hide"
"status","position","posischenon","stakam","status","position"
"stehlen","rauben","zwiben","spallen","steal","rob"
"steigen","springen","sperrgen","sandgen","climb","jump"
"stiefel","schuh","sceph","breifel","boot","shoe"
"stimme","akzent","akbels","reizme","voice","accent"
"stock","hammer","butmer","stahk","stick","hammer"
"stoff","taschentuch","taschenfehl","stagf","cloth","handkerchief"
"stolz","würde","calde","störz","pride","dignity"
"stolz","erregt","ernehm","störz","proud","excited"
"strafe","haft","hago","fahrfe","penalty","imprisonment"
"strand","küste","appte","stratu","beach","coast"
"straße","autobahn","autowier","fahrße","road","highway"
"strom","elektrizität","nachttrizität","stopm","current","electricity"
"suche","finden","pladen","suben","search","find"
"süd-","western","bintern","udd","southern","western"
"süden","norden","mieden","süßig","south","north"
"summe","menge","halge","prome","sum","amount"
"sünde","verbrechen","verbrescia","phode","sin","crime"
"suppe","salat","satio","öffpe","soup","salad"
"süss","niedlich","woodlich","rass","sweet","cute"
"symptom","syndrom","synfarm","sympatz","symptom","syndrome"
"tabak","zigarette","zigaschäfte","tawig","tobacco","cigarette"
"tablette","pille","blöle","takackte","tablet","pill"
"tagesmutter","dienstmädchen","gleichmädchen","tagesmutternachtssnack","nanny","maid"
"täglich","wöchentlich","wöstündlich","leklich","daily","weekly"
"tänzer","tanzen","gutzen","szezer","dancer","dance"
"tasche","brieftasche","colettasche","tastro","pocket","wallet"
"taste","drücken sie","drückensoft","belte","button","press"
"tätowierung","narbe","flabe","tätowiescher","tattoo","scar"
"täuschen","idiot","wicot","yanschen","fool","idiot"
"tausend","hundert","hunraum","tauwell","thousand","hundred"
"taxi","limousine","lienerbsine","tabär","taxi","limousine"
"techniker","architekt","archinith","idenniker","engineer","architect"
"technisch","mechanisch","mechaplain","idennisch","technical","mechanical"
"technologie","wissenschaft","wissentierst","volksnologie","technology","science"
"teenager","teenager","teenfees","kellager","teenage","teenager"
"telegramm","buchstabe","wohnstabe","telegends","telegram","letter"
"tempel","kloster","blubter","spipel","temple","monastery"
"terminal","flughafen","handhafen","termimung","terminal","airport"
"teuer","billig","südlig","somer","expensive","cheap"
"teuflisch","grausamkeit","zahnsamkeit","metzlisch","evil","cruelty"
"text","gedicht","gerisch","teux","text","poem"
"theater","komödie","komögert","everter","drama","comedy"
"therapie","behandlung","berichlung","theraselt","therapy","treatment"
"thunfisch","hummer","mysmer","grinfisch","tuna","lobster"
"tier","tier","tica","goer","beast","animal"
"tisch","sessel","pläsel","tibbh","table","chair"
"toast","speck","spink","chast","toast","bacon"
"tochter","sohn","sowe","stehter","daughter","son"
"tod","verschwinden","verdienstden","rsd","death","disappearance"
"toilette","waschbecken","fangsbecken","glühlette","toilet","sink"
"tötlich","tödlich","mehlich","fuflich","deadly","fatal"
"tour","konzert","kontant","chur","tour","concert"
"tratsch","skandal","skanric","tricsch","gossip","scandal"
"traurig","tragisch","agogisch","trauzeu","sad","tragic"
"treu","treu","trxy","trgg","loyal","faithful"
"treue","hingabe","nakagabe","trike","fidelity","devotion"
"trick","scherzen","sperrzen","spick","trick","joke"
"trinken","bier","binä","stifken","drink","beer"
"trocken","nass","naze","kolcken","dry","wet"
"tropfen","schluck","schlark","dröhfen","drop","sip"
"trophäe","medaille","meschüle","trobyte","trophy","medal"
"tumor","krebs","krjus","turic","tumor","cancer"
"turm","gebäude","geckende","tumo","tower","building"
"turnier","passen","trisen","turvers","tournament","match"
"typisch","klassisch","charsisch","tyrough","typical","classic"
"u-boot","boot","boji","owoot","submarine","boat"
"üben","die übung","can übung","kren","practice","exercise"
"übermensch","batman","nerman","überschenk","superman","batman"
"übernatürlich","paranormal","paranorziert","spitznatürlich","supernatural","paranormal"
"überraschung","enttäuschung","enttäubracht","überrabracht","surprise","disappointment"
"überwachung","auswertung","auswerwolf","überwafahrt","observation","evaluation"
"ufo","außerirdischer","außerirdidienst","vöo","ufo","alien"
"umgebung","atmosphäre","atmodernsre","umgetier","environment","atmosphere"
"umschlag","paket","padal","umschrei","envelope","package"
"unbequem","unangenehm","unangepoint","unbemard","uncomfortable","unpleasant"
"unfähigkeit","unfähig","unfäselt","unfähigscher","inability","unable"
"ungerechtigkeit","unfair","uncats","ungestürzttigkeit","injustice","unfair"
"ungewöhnlich","seltsam","messsam","ungepünktlich","unusual","strange"
"unglücklich","unglück","unrückt","unbrechlich","unfortunate","misfortune"
"unheimlich","unheimlich","unfasslich","unwichlich","scary","creepy"
"universum","galaxis","galawall","univerhorn","universe","galaxy"
"unmöglich","leicht","leboht","unmögcher","impossible","easy"
"unschuldig","schuldig","schulney","unsterbdig","innocent","guilty"
"unterbrechen","stören","araren","unterbredouil","interrupt","disturb"
"unterschätzen","übertreiben","überzeugben","untermilchzen","underestimate","exaggerate"
"unterstützung","hilfe","unife","unterzeichzung","support","assistance"
"untersuchen","untersuchen","untersutisch","untersutisch","examine","investigate"
"untersuchung","inspektion","inflüchtion","untersufield","examination","inspection"
"unvernünftig","unverantwortlich","unverantmenschlich","unvernünftigkeitscreme","unreasonable","irresponsible"
"vagina","penis","perua","vatersna","vagina","penis"
"vati","mama","derma","ferti","daddy","mum"
"vene","arterie","artetert","forne","vein","artery"
"ventil","belüftung","belüfkeit","alttil","valve","ventilation"
"veränderung","verbesserung","verbessegelst","verändeplatz","change","improvement"
"verantwortung","pflicht","cilicht","verantworscher","responsibility","duty"
"verboten","verbieten","verstauten","tanzboten","forbidden","prohibit"
"verdienen","würdig","quadig","verängsnen","deserve","worthy"
"verein","bar","ldr","verfes","club","bar"
"vergebung","barmherzig","nochherzig","vergefügt","forgiveness","mercy"
"vergessen","erinnere dich","erinnerequardt","verstänsen","forget","remember"
"vergnügen","freude","niedde","versteigen","pleasure","joy"
"verhindern","stop","sthr","verhinrich","prevent","stop"
"verkäufer","käufer","hedfer","verwandfer","seller","buyer"
"verlangen","wunsch","ronsch","verfolggen","desire","wish"
"verlassen","aufgeben","aufgefähr","verwechsen","leave","abandon"
"verlierer","gewinner","gegärtner","versammrer","loser","winner"
"verschwörung","der betrug","der btrott","versteuerung","conspiracy","fraud"
"versehentlich","absichtlich","absturzlich","versekirchlich","accidentally","intentionally"
"versteigerung","verkauf","verrand","verkaufsgerung","auction","sale"
"versuchen","versuch","versitz","versukiya","try","attempt"
"vertrag","zustimmung","zurechmung","verning","contract","agreement"
"vertrauen","glauben","bradben","verchenen","trust","believe"
"verwalten","erfolgreich","erruhmreich","verpunkten","manage","succeed"
"verwaltung","administrativ","administraschlag","verwalkers","management","administrative"
"verwaltung","regierung","regiestoß","verwalkers","administration","government"
"verzeihen","ausrede","trierede","verpfänhen","forgive","excuse"
"vielleicht","wahrscheinlich","kurzscheinlich","viellierst","maybe","probably"
"virus","infektion","inschäftion","vible","virus","infection"
"vorbereitung","planung","eisnung","vorbereichern","preparation","planning"
"vorderseite","rückseite","zahnseite","vorderkunftte","front","rear"
"vorfall","unfall","unzung","denfall","incident","accident"
"vorgehen","fortsetzen","obersetzen","rückgehen","proceed","continue"
"vorschlagen","empfehlen","landfehlen","vornehmsgen","propose","suggest"
"vorstellung","kreativität","schwätivität","vorbildlung","imagination","creativity"
"wählen","auswählen","ausfiellen","heflen","choose","select"
"wahnsinn","dummheit","dankheit","farbsinn","madness","stupidity"
"wahr","real","rerei","wafy","TRUE","real"
"wahrscheinlichkeit","wahrscheinlich","kurzscheinlich","wahrfreundlichkeit","probability","likely"
"waisenhaus","kloster","blubter","waisenkung","orphanage","convent"
"wand","zaun","zamp","waeh","wall","fence"
"warm","kühl","küut","wane","warm","cool"
"wärme","temperatur","brandperatur","pupme","heat","temperature"
"warnung","botschaft","seaschaft","leinung","warning","message"
"warten","erwarten","ersuchten","zisten","wait","expect"
"was","das","eus","lfs","what","that"
"washington","boston","gelton","wacrichton","washington","boston"
"weich","sanft","saftt","weckh","soft","gentle"
"weihnachten","ferien","feriengeschmack","spätnachten","christmas","holiday"
"wein","champagner","champabars","wese","wine","champagne"
"weiß","schwarz","schwizz","weoh","white","black"
"wende","drehen","vanhen","talde","turn","rotate"
"werbung","marketing","markelett","empbung","advertising","marketing"
"werdegang","ruf","lif","werdekick","career","reputation"
"werkstatt","garage","garageschlechts","werkström","workshop","garage"
"werkzeug","instrument","innagement","freszeug","tool","instrument"
"wert","preis","props","wese","value","price"
"wertvoll","wichtig","blautig","windvoll","valuable","important"
"west","ost","aft","weev","west","east"
"wettbewerb","meisterschaft","pferterschaft","wettbefand","competition","championship"
"whiskey","wodka","dyska","whisfon","whiskey","vodka"
"widerstand","widerstehen","widerträchhen","widerspiel","resistance","resist"
"wiederherstellung","heilen","rallen","wiederherkommstlung","recover","heal"
"wind","sturm","stzam","ound","wind","storm"
"winkel","teufel","grofel","feukel","angel","devil"
"wirklichkeit","fantasie","fantapeln","kochlichkeit","reality","fantasy"
"witwe","frau","fruc","borwe","widow","woman"
"witzig","komisch","koblick","witten","witty","funny"
"wohltätigkeit","spende","dernde","grundtätigkeit","charity","donation"
"wolke","nebel","nefiz","kafke","cloud","fog"
"wort","satz","sahn","hert","word","sentence"
"wörterbuch","phrase","fratse","wörterklet","dictionary","phrase"
"wunde","verletzung","verletfall","korde","wound","injury"
"wunderbar","fantastisch","fantassches","wundersetz","wonderful","fantastic"
"wurm","schlange","schießge","wuns","worm","snake"
"wüste","schlucht","schlucdi","nilte","desert","valley"
"yoga","massage","großsage","riega","yoga","massage"
"zäh","schwer","schwim","gnh","tough","hard"
"zelle","gefängnis","gewaltnis","busle","cell","prison"
"zement","plastik","plasert","zesung","cement","plastic"
"zerschlagen","brechen","murchen","zersplitgen","smash","break"
"zeuge","zeugnis","metznis","götge","witness","testimony"
"zimmer","schlafzimmer","staatszimmer","framer","room","bedroom"
"zimt","vanille","vahandle","ziha","cinnamon","vanilla"
"zombie","vampir","vamett","atabie","zombie","vampire"
"zoo","zirkus","läukus","keo","zoo","circus"
"zorn","wut","olt","zoam","anger","rage"
"zucker","schokolade","kleinkolade","zuters","sugar","chocolate"
"zuflucht","schutz","scsitz","zuweicht","refuge","shelter"
"zug","bus","igs","mog","train","bus"
"zugeben","beichten","dichtten","zugefähr","admit","confess"
"zukunft","vergangenheit","vergangenschaf","zurungs","future","past"
"zunahme","reduzieren","redutrouxren","zuflüsme","increase","reduce"
"zünder","timer","tikum","clider","detonator","timer"
"zurück","rückkehr","rückvers","zurars","back","return"
"zuständigkeit","behörde","bereitde","zugangsdigkeit","jurisdiction","authority"
"zweck","absicht","abschre","zwank","purpose","intention"
"zwei","vier","goer","usei","two","four"
"zweifel","vermuten","vermuckis","zweitur","doubt","suspect"
