"cs_target","cs_cue","type","target_type","cue_type","cs_cosine"
"skvělý","vynikající","related","word","word",0.622501873247366
"ředitel","výrobce","related","word","word",0.267101846407697
"narozeniny","výročí","related","word","word",0.619283171310987
"výsledek","výsledek","related","word","word",1
"univerzita","vysoká škola","related","word","word",NA
"poplach","výstražný","related","word","word",0.45468648456532
"střílet","výstřel","related","word","word",0.409973088341895
"vstup","výstup","related","word","word",0.519003748707658
"přijatelný","vysvětlení","related","word","word",0.247445274371975
"vyrobit","vytvořit","related","word","word",0.57968551016132
"mutace","vývoj","related","word","word",0.337517351252047
"studie","výzkum","related","word","word",0.55805265122735
"důležitost","význam","related","word","word",0.602158973456937
"zrádce","vyzvědač","related","word","word",0.375766735741394
"rychlost","vzdálenost","related","word","word",0.529898664411383
"kyslík","vzduch","related","word","word",0.633769835967116
"neustále","vždy","related","word","word",0.4875751018957
"zajímavý","vzrušující","related","word","word",0.561512162175093
"přátelství","vztah","related","word","word",0.483294429807276
"boston","washington","related","word","word",0.590197026756053
"vodka","whisky","related","word","word",0.585303900629311
"poslední","za prvé","related","word","word",NA
"ještěrka","žába","related","word","word",0.579643354401973
"vrah","zabiják","related","word","word",0.657592815359888
"stop","zabránit","related","word","word",0.0571989080176184
"udržovat","zachovat","related","word","word",0.620040648510532
"uložit","zachránit","related","word","word",0.30764179687113
"helikoptéra","záchranná služba","related","word","word",NA
"vrátit se","zadní","related","word","word",NA
"zakázat","zakázaný","related","word","word",0.576420914367581
"hlavní sídlo","základna","related","word","word",NA
"ústava","zákon","related","word","word",0.50156456755568
"přístav","záliv","related","word","word",0.593265070985489
"hruď","žaludek","related","word","word",0.366987405753671
"zavřeno","zamčený","related","word","word",0.437001289005523
"východní","západ","related","word","word",0.561086637750255
"svítání","západ slunce","related","word","word",NA
"svatba","zapojení","related","word","word",0.197364736317509
"zapamatovat si","zapomenout","related","word","word",NA
"říjen","září","related","word","word",0.386622021954618
"vybavit","zařízení","related","word","word",0.218311946851084
"rozzlobený","žárlivý","related","word","word",0.53020310477729
"slib","záruka","related","word","word",0.335159507434721
"hodný","zasloužit si","related","word","word",NA
"náklad","zatížení","related","word","word",0.255895454081042
"předpoklad","závěr","related","word","word",0.465992481480929
"provedení","závěsný","related","word","word",0.22429372992035
"záznam","záznam","related","word","word",1
"bezcenný","zbytečný","related","word","word",0.524685360636061
"spát","zbytek","related","word","word",0.161625796746345
"vzdělání","zdraví","related","word","word",0.300414012122944
"normální","zdravý","related","word","word",0.376340631819446
"procházka","zdřímnutí","related","word","word",0.365512476346336
"informátor","zdroj","related","word","word",0.470214286540858
"přátelský","zdvořilý","related","word","word",0.589499065296736
"vlevo, odjet","že jo","related","word","word",NA
"kov","žehlička","related","word","word",0.283179502925381
"oranžový","zelený","related","word","word",0.68174235070752
"národ","země","related","word","word",0.39945153700055
"pracovník","zemědělec","related","word","word",0.466008418240156
"výbuch","zemětřesení","related","word","word",0.457081226676012
"nevěsta","ženich","related","word","word",0.717533353544653
"tepna","žíla","related","word","word",0.580171952243572
"příjem","zisk","related","word","word",0.473411589628324
"vyhrát","získat","related","word","word",0.481849856898668
"přežít","žít","related","word","word",0.511079127824964
"ráno","zítra","related","word","word",0.520395429704322
"atmosféra","životní prostředí","related","word","word",NA
"vidění","zjevení","related","word","word",0.505557802301355
"inspekce","zkouška","related","word","word",0.414810131930831
"znalost","zkušenosti","related","word","word",0.42892905956202
"stříbrný","zlatý","related","word","word",0.649560480093102
"krutost","zlo","related","word","word",0.384589100105965
"zločinec","zloděj","related","word","word",0.623230047597438
"zlepšení","změna","related","word","word",0.343698367766766
"produkt","značka","related","word","word",0.279643843318262
"trápit se","znepokojení","related","word","word",NA
"vrah","žoldák","related","word","word",0.412729048847723
"upír","zombie","related","word","word",0.476556283420177
"cirkus","zoo","related","word","word",0.404416176243524
"vyléčit","zotavit se","related","word","word",NA
"hudebník","zpěvák","related","word","word",0.682135596594143
"informovat","zpráva","related","word","word",0.324928481703976
"novinář","zpravodaj","related","word","word",0.546583417754858
"ryba","žralok","related","word","word",0.596447423977024
"vítěz","ztroskotanec","related","word","word",0.367926831883154
"politika","žurnalistika","related","word","word",0.515417259097241
"harmonie","zůstatek","related","word","word",0.122168658648531
"myslet si","zvážit","related","word","word",NA
"snížit","zvýšit","related","word","word",0.701475445246663
"zcela","tetování","unrelated","word","word",0.115873980197583
"amerika","velvyslanec","unrelated","word","word",0.196074339447607
"sbohem","žít","unrelated","word","word",0.164242581952689
"hiv","potvrzení","unrelated","word","word",0.192703684596415
"nahý","součet","unrelated","word","word",0.0385888685893118
"aktivita","trofej","unrelated","word","word",0.138055858394881
"kufr","rezavý","unrelated","word","word",0.244927749706076
"píseň","vlasy","unrelated","word","word",0.108285077205437
"lék","skála","unrelated","word","word",0.123945978812195
"profesionální","těžký","unrelated","word","word",0.144603996527017
"ministerstvo","přezdívka","unrelated","word","word",0.0637183726627151
"vyšetřovatel","kolo","unrelated","word","word",0.113158401567553
"kapitalismus","zůstatek","unrelated","word","word",0.28956072582886
"psychologie","hrdý","unrelated","word","word",0.0864559855478756
"ďábel","otevírací","unrelated","word","word",0.0927543813173211
"francouzština","trpět","unrelated","word","word",0.0609513777080364
"neznámý","teplo","unrelated","word","word",0.105257851743139
"použití","jazz","unrelated","word","word",0.0692883919925271
"bojiště","oblíbený","unrelated","word","word",0.0554629148148524
"medailon","mor","unrelated","word","word",0.11850096127327
"zbrojnice","angličtina","unrelated","word","word",0.141078941329685
"morfium","spinalý","unrelated","word","word",NA
"pilot","zvážit","unrelated","word","word",0.102341857783856
"jaderný","třída","unrelated","word","word",0.178954131207409
"prodej","aréna","unrelated","word","word",0.0730124051867762
"fotograf","hedvábí","unrelated","word","word",0.127354714882528
"herec","suchý","unrelated","word","word",0.116279928322146
"ulice","žurnalistika","unrelated","word","word",0.214655646177983
"fantastický","lžíce","unrelated","word","word",0.176308079475853
"jahoda","chytrý","unrelated","word","word",0.0697782235829149
"investor","afrika","unrelated","word","word",0.149331083705236
"finanční","aktivní","unrelated","word","word",0.28992443955468
"hraběnka","knihovna","unrelated","word","word",0.283107240404949
"fotbal","svoboda","unrelated","word","word",0.172335833517572
"spisovatel","chléb","unrelated","word","word",0.114643484979099
"procházka","chyba","unrelated","word","word",0.276536396952056
"zvíře","seminář","unrelated","word","word",0.0265783791403179
"ocel","majestát","unrelated","word","word",0.170717309251936
"bezmocný","zkouška","unrelated","word","word",0.034023004584954
"bezpečnost","polovina","unrelated","word","word",0.202722857355055
"zajistit","krev","unrelated","word","word",0.127414281402162
"nespravedlivý","klan","unrelated","word","word",0.165496279418517
"rezervovat","filozofie","unrelated","word","word",0.126624184918425
"černá","chřipka","unrelated","word","word",0.228212287596742
"kardinál","nemocný","unrelated","word","word",0.191666591394072
"pozdravit","hrdlo","unrelated","word","word",0.0766860473374721
"písek","básník","unrelated","word","word",0.170710315737963
"idiot","rada","unrelated","word","word",0.102337886783558
"hrom","měsíc","unrelated","word","word",0.132586270701834
"prát se","hrůza","unrelated","word","word",NA
"explozivní","značka","unrelated","word","word",0.135941530153539
"roztomilý","zjevení","unrelated","word","word",0.105846517946729
"odměna","veletrh","unrelated","word","word",0.126000928193583
"boty","puška","unrelated","word","word",0.214784599500462
"taška","rostlina","unrelated","word","word",0.328605435068122
"rajče","senior","unrelated","word","word",0.152884379961288
"alfa","koupit","unrelated","word","word",0.0930021824455296
"krutý","chudý","unrelated","word","word",0.304036041227591
"víčko","ambasáda","unrelated","word","word",0.0844887196476708
"minulý","zakázaný","unrelated","word","word",0.217965570753701
"božský","mrak","unrelated","word","word",0.179100804854375
"vězení","zelený","unrelated","word","word",0.051718227236684
"řím","hotovost","unrelated","word","word",0.101601007122081
"kompletní","slovo","unrelated","word","word",0.0734834519854358
"plastický","starý","unrelated","word","word",0.285067521570012
"důležité","čerstvý","unrelated","word","word",0.132913502599769
"hadice","žoldák","unrelated","word","word",0.0101448645343515
"obnovit","brambor","unrelated","word","word",0.0745768452525034
"had","aspirin","unrelated","word","word",0.219699262480409
"červenec","špatně","unrelated","word","word",0.123589225028143
"žlutá","uhlí","unrelated","word","word",0.176185243405544
"cibule","otrok","unrelated","word","word",0.0981269913084313
"řidič","nahradit","unrelated","word","word",0.15236434537121
"zmatek","trpěliví","unrelated","word","word",0.105161555230563
"osobnost","oficiálně","unrelated","word","word",0.136407086666934
"dar","půlnoc","unrelated","word","word",0.0795715609074707
"paluba","odejít","unrelated","word","word",0.162345123946707
"biologie","najednou","unrelated","word","word",0.130319917226779
"biologický","výročí","unrelated","word","word",0.106672579148599
"doktor","úcta","unrelated","word","word",0.121563811821648
"dívky","módní","unrelated","word","word",0.183582323748228
"sýr","tableta","unrelated","word","word",0.201762672684062
"klášter","důvod","unrelated","word","word",0.153481141836907
"hájit","naděje","unrelated","word","word",0.133429562528795
"choroba","západ slunce","unrelated","word","word",NA
"bída","federální","unrelated","word","word",0.0880767988626765
"bohatý","medvěd","unrelated","word","word",0.122904234859271
"čich","drby","unrelated","word","word",0.132987758786158
"lahodné","vždy","unrelated","word","word",0.11273969321864
"služka","královna","unrelated","word","word",0.466148403016284
"chyba","tma","unrelated","word","word",0.216505264926829
"inteligentní","šílenství","unrelated","word","word",0.0723878569400965
"detektivní","třetí","unrelated","word","word",0.200672916921568
"přístroj","tekutý","unrelated","word","word",0.272219981937181
"císař","římský","unrelated","word","word",0.432703040110141
"adresa","málo","unrelated","word","word",0.0698038634923944
"servírka","tenký","unrelated","word","word",0.103129647038911
"napsat","soucitný","unrelated","word","word",0.151289587603443
"umýt","roztržení","unrelated","word","word",0.214929044752286
"válečný","zapomenout","unrelated","word","word",0.182561439950945
"noviny","hýbat se","unrelated","word","word",NA
"vůdce","počet obyvatel","unrelated","word","word",NA
"že","válka","unrelated","word","word",0.224894927810859
"otvor","přistání","unrelated","word","word",0.218699107554994
"psaní","přijet","unrelated","word","word",0.13596797238038
"čokoláda","navigace","unrelated","word","word",0.226822821637015
"mikroskop","mléko","unrelated","word","word",0.156962816183494
"další","tisíc","unrelated","word","word",0.208175665812534
"informace","pohár","unrelated","word","word",0.142960287763577
"publikum","změna","unrelated","word","word",0.107634175493138
"injekce","slavný","unrelated","word","word",0.0746524476798015
"syn","proud","unrelated","word","word",0.0874005453055495
"babička","orchestr","unrelated","word","word",0.152323347054511
"zdědit","realita","unrelated","word","word",0.0507494424411506
"ručník","kancléř","unrelated","word","word",0.13073279286501
"profesor","charitativní","unrelated","word","word",0.0625664983996373
"citlivý","ahoj","unrelated","word","word",0.121710279961767
"týdně","důkaz","unrelated","word","word",0.0213154249815468
"strašidelný","modelka","unrelated","word","word",0.117265049589105
"sníh","sukně","unrelated","word","word",0.18587405982434
"dort","ubohý","unrelated","word","word",0.11897105733687
"klenot","mimo","unrelated","word","word",0.10846972689037
"škaredý","nerv","unrelated","word","word",0.189565307906671
"garáž","okres","unrelated","word","word",0.160812712246393
"absolvovat","jurisdikce","unrelated","word","word",0.115127879367636
"dítě","drak","unrelated","word","word",0.212792173824405
"hodinky","vložit","unrelated","word","word",0.103594633050108
"chlapec","poušť","unrelated","word","word",0.0621908965065963
"otisk prstu","privilegium","unrelated","word","word",NA
"včera","motiv","unrelated","word","word",0.0943359684059716
"to jo","strýc","unrelated","word","word",NA
"dobrovolně","fyzika","unrelated","word","word",0.0862677313083515
"špatný","vztah","unrelated","word","word",0.195225684667145
"pocit","sendvič","unrelated","word","word",0.148283471917192
"horní","zákon","unrelated","word","word",0.172837593231438
"nahoru","podlaha","unrelated","word","word",0.211200380821359
"doprovázet","vlajka","unrelated","word","word",0.102289194134903
"prakticky","servis","unrelated","word","word",0.118244692437168
"rodič","nenávist","unrelated","word","word",0.142682050312396
"teenager","soud","unrelated","word","word",0.134953886416559
"dostatečný","inspektor","unrelated","word","word",0.211098231049639
"krásná","terapie","unrelated","word","word",0.124548484096827
"nechat","student","unrelated","word","word",0.116980881326163
"levný","tabák","unrelated","word","word",0.24226694895808
"lev","speciální","unrelated","word","word",-0.0271348215455464
"komedie","popsat","unrelated","word","word",0.121840563094936
"romantický","unést","unrelated","word","word",0.187158329372362
"skandál","slušný","unrelated","word","word",0.169185416249718
"minuta","lesk","unrelated","word","word",0.132708540518243
"držet","kašel","unrelated","word","word",0.0732416374668825
"plat","bonbón","unrelated","word","word",0.215437050560069
"důkaz","silný","unrelated","word","word",0.172320828587453
"byt","řízení","unrelated","word","word",0.0564455052702135
"duch","kariéra","unrelated","word","word",0.116876888681307
"emocionální","aplikovat","unrelated","word","word",0.142555408120711
"věřit","inženýr","unrelated","word","word",0.139801940246974
"způsobit","delikátní","unrelated","word","word",0.119727660949906
"čtyři","noc","unrelated","word","word",0.097017593150882
"video","deka","unrelated","word","word",0.052253912114979
"trojnásobný","parlament","unrelated","word","word",0.0110915939993587
"říše","déšť","unrelated","word","word",0.0846270737878684
"truck","zdravý","unrelated","word","word",0.0443012509552623
"les","nevinný","unrelated","word","word",0.146743888114168
"test","džíp","unrelated","word","word",0.159447017333558
"specialista","podpěra, podpora","unrelated","word","word",NA
"živel","kód","unrelated","word","word",0.230428119080087
"nepravdivé","pozornost","unrelated","word","word",0.0808720744908547
"doba","bezmocný","unrelated","word","word",0.128574135262418
"stát","sebevražda","unrelated","word","word",0.0655401879755605
"náboženství","mluvit","unrelated","word","word",0.092292997094755
"ultimátni","duše","unrelated","word","word",NA
"investovat","technologie","unrelated","word","word",0.250205246687782
"financování","vánoce","unrelated","word","word",0.135249297235223
"agentura","památník","unrelated","word","word",0.149825318413146
"podepsat","milionář","unrelated","word","word",0.141440603544533
"mikrofon","vesmír","unrelated","word","word",0.11533705967138
"kus","národní","unrelated","word","word",0.0322414882240012
"signál","pobyt","unrelated","word","word",0.117790147270841
"chirurgická operace","obilí","unrelated","word","word",NA
"matematika","ming","unrelated","word","word",0.13749262582034
"výstava","výsledek","unrelated","word","word",0.0786707191829535
"skupina","hobby","unrelated","word","word",0.155768424032021
"postel","kapacita","unrelated","word","word",0.171698699148077
"reaktor","hurikán","unrelated","word","word",0.230975201002262
"vědec","svačina","unrelated","word","word",0.113477302195541
"akt","rána","unrelated","word","word",0.0820907976771415
"tenis","pochybovat","unrelated","word","word",0.0899070377480441
"senátor","originál","unrelated","word","word",-0.000812813149281921
"poker","chrám","unrelated","word","word",0.162429969711503
"bavlna","zombie","unrelated","word","word",0.0768237308820155
"čepice","hlad","unrelated","word","word",0.101021680599832
"žízeň","boj","unrelated","word","word",0.118352402868275
"přízvuk","malovat","unrelated","word","word",0.169315285860841
"město","dost","unrelated","word","word",0.127879254028762
"želva","tady","unrelated","word","word",0.14563613464847
"hlídka","ušlechtilý","unrelated","word","word",0.0982943551735332
"zvuk","dvd","unrelated","word","word",0.140875031694599
"částice","karneval","unrelated","word","word",0.0877596939420553
"výška","podzim","unrelated","word","word",0.0963962435466282
"modrý","továrna","unrelated","word","word",0.126587756824914
"vztek","myš","unrelated","word","word",0.00947956066005327
"vejce","chudoba","unrelated","word","word",0.106842835549731
"sport","kuře","unrelated","word","word",0.164178147785242
"cena","sklenka","unrelated","word","word",0.367079677853265
"studený","poptávka","unrelated","word","word",0.0630543698766448
"adrenalin","oběť","unrelated","word","word",0.138655351419214
"dno","smrtící","unrelated","word","word",0.117064479586866
"restaurace","číslo","unrelated","word","word",0.156974265718136
"motel","anarchie","unrelated","word","word",0.0448036984537158
"peníze","počet","unrelated","word","word",0.11954757003505
"hra","fáze","unrelated","word","word",0.335376513559753
"zachránce","trápení","unrelated","word","word",0.197453452423571
"krk","hrdost","unrelated","word","word",0.172765567199903
"důstojnost","urazit","unrelated","word","word",0.185347830424185
"vzrušený","osádka","unrelated","word","word",0.0807808683032894
"zločin","nízký","unrelated","word","word",0.173442558717878
"hřbitov","rezignace","unrelated","word","word",0.0845889707143958
"hrozný","střízlivý","unrelated","word","word",0.235331724321542
"strach","bestie","unrelated","word","word",0.169422137484798
"tornádo","washington","unrelated","word","word",0.176568062184485
"kachna","uprchlík","unrelated","word","word",0.178950904708012
"převod","realizovat","unrelated","word","word",0.228367016211341
"teorie","formulář","unrelated","word","word",0.0411253182167116
"perfektní","kompliment","unrelated","word","word",0.184653186843233
"právní","brutální","unrelated","word","word",0.209679095829824
"halucinace","hlavní město","unrelated","word","word",NA
"úžasný","kontaminace","unrelated","word","word",0.0737950015141857
"nehoda","tábor","unrelated","word","word",0.137857536906352
"komisař","polévka","unrelated","word","word",0.119815712630085
"inspirace","úplatek","unrelated","word","word",0.137505697310197
"intuice","milión","unrelated","word","word",0.0657833118910871
"web","kletba","unrelated","word","word",0.0582172785745518
"záchvat","tělo","unrelated","word","word",0.171279858362083
"architekt","pokrok","unrelated","word","word",0.148170322101908
"ironický","urgentní","unrelated","word","word",0.198213393381
"ovoce","činidlo","unrelated","word","word",0.261427747340363
"podzim","představivost","unrelated","word","word",0.0358066754105474
"očividně","vyděsit","unrelated","word","word",0.156823655599067
"hudba","dobře","unrelated","word","word",0.162618341528652
"zabít","kampaň","unrelated","word","word",0.101120586252844
"tři","záliv","unrelated","word","word",0.122836335836793
"jednoduchý","absolutně","unrelated","word","word",0.133654947747456
"divize","puls","unrelated","word","word",0.0876351165234385
"stříkačka","mýtus","unrelated","word","word",0.135503270935005
"událost","autor","unrelated","word","word",0.149155062037349
"jídlo","riziko","unrelated","word","word",0.175008862309513
"ještě pořád","neobvyklý","unrelated","word","word",NA
"západní","paranoidní","unrelated","word","word",0.145049285017748
"severní","špinavý","unrelated","word","word",0.128845569693801
"masáž","chuť","unrelated","word","word",0.238813215681326
"autorita","číst","unrelated","word","word",0.143812053243362
"drát","sobota","unrelated","word","word",0.132674808521301
"plán","nyní","unrelated","word","word",0.108447660698012
"volby","vlastnictví","unrelated","word","word",0.180179688235714
"zprávy","rum","unrelated","word","word",0.122272748879802
"prezident","ukázat","unrelated","word","word",0.16574730447723
"volič","amatér","unrelated","word","word",0.245058674058818
"schopnost","prodejna","unrelated","word","word",0.0993780929185353
"peněženka","střelec","unrelated","word","word",0.218053262832307
"sonda","kruh","unrelated","word","word",0.161519180604393
"pověst","most","unrelated","word","word",0.0982791760548121
"festival","rameno","unrelated","word","word",-0.0156180799213781
"horečka","velitel","unrelated","word","word",0.114705023596129
"křesťan","lhát","unrelated","word","word",0.219562803662011
"dělostřelectvo","ideál","unrelated","word","word",0.0320614641907219
"majonéza","žába","unrelated","word","word",0.293776383209747
"strom","tvrdý","unrelated","word","word",0.128261079456626
"gram","popel","unrelated","word","word",0.226553290891842
"metr","ráj","unrelated","word","word",0.0574236130855565
"divadlo","moře","unrelated","word","word",0.146526571076398
"rodina","průmysl","unrelated","word","word",0.159765784789271
"kytara","kuchařka","unrelated","word","word",0.315858541361723
"čarodějnice","chránit","unrelated","word","word",0.10062880766582
"zámek","virus","unrelated","word","word",0.248154648050681
"uklidnit","závěsný","unrelated","word","word",0.0535350548787612
"bar","krmit","unrelated","word","word",0.122579739731699
"muzeum","trpělivost","unrelated","word","word",0.0955324502011859
"lis","dítě","unrelated","word","word",0.0472933623978912
"heslo","protest","unrelated","word","word",0.0838150182522407
"heroin","stoupání","unrelated","word","word",0.200712112408095
"přítel","varování","unrelated","word","word",0.136988458765637
"kolem","blázen","unrelated","word","word",0.202552119106899
"federace","červené","unrelated","word","word",0.0460589182786387
"směs","bůh","unrelated","word","word",0.105039384504744
"prohlášení","nepříjemný","unrelated","word","word",0.129395940572467
"obchodník","soubor","unrelated","word","word",0.169201387363094
"příjemný","roh","unrelated","word","word",0.0813568537190181
"výbor","gesto","unrelated","word","word",0.149155227101448
"mapa","bible","unrelated","word","word",0.254018354492359
"dárek","nájemce","unrelated","word","word",0.218940230222495
"dokončit","císařský","unrelated","word","word",0.10872901549905
"nakonec","smlouva","unrelated","word","word",0.120483008272463
"setkání","zkušenosti","unrelated","word","word",0.177734698242379
"spor","unavený","unrelated","word","word",0.125267486307729
"stavět","protijed","unrelated","word","word",0.0835139916948563
"spojení","anatomie","unrelated","word","word",0.0779120887426178
"záření","gauč","unrelated","word","word",0.0983822075163726
"diskuse","whisky","unrelated","word","word",0.137839235358998
"liberální","konstrukce","unrelated","word","word",0.151640679950688
"pohřbít","hospoda","unrelated","word","word",0.145362261896496
"hora","pravděpodobnost","unrelated","word","word",0.143396836588323
"dravec","většina","unrelated","word","word",0.094735831399846
"trůn","diamant","unrelated","word","word",0.209582949986265
"bunda","řetěz","unrelated","word","word",0.185173010064774
"lebka","záchranná služba","unrelated","word","word",NA
"kaple","jehla","unrelated","word","word",0.159106382359328
"plachta","štít","unrelated","word","word",0.304738259783278
"prodat","krátký","unrelated","word","word",0.0726602693889668
"doutník","potěšení","unrelated","word","word",0.186612006763187
"kouzelník","orgasmus","unrelated","word","word",0.135185947062
"krása","lepit","unrelated","word","word",0.068968028719575
"loupež","názor","unrelated","word","word",0.0033719510057737
"král","banán","unrelated","word","word",0.116285157854934
"království","raketa","unrelated","word","word",0.0964027708989552
"dlouho","šek","unrelated","word","word",0.053293471032153
"prase","lékařský","unrelated","word","word",0.0739441409665968
"půjčka","mars","unrelated","word","word",0.108769925214414
"omáčka","nudný","unrelated","word","word",0.134819096663713
"moč","potenciál","unrelated","word","word",0.0873431471503965
"politický","vlastně","unrelated","word","word",0.166087528512846
"jíst","taxi","unrelated","word","word",0.135922649586394
"trojúhelník","zasloužit si","unrelated","word","word",NA
"šéfkuchař","někdy","unrelated","word","word",0.100961946064681
"civilizace","kopec","unrelated","word","word",0.145258656473463
"krocan","článek","unrelated","word","word",0.249153605529127
"tkáň","hnízdo","unrelated","word","word",0.18625690466685
"špagety","biskup","unrelated","word","word",0.117506894299225
"kancelář","sát","unrelated","word","word",0.0546433280663231
"játra","doprovod","unrelated","word","word",0.115442498251739
"armáda","kost","unrelated","word","word",0.131461455516466
"psychologický","silnice","unrelated","word","word",0.0600954639449684
"kladivo","riskantní","unrelated","word","word",0.083485317471381
"gay","vítězství","unrelated","word","word",0.0827168596984152
"jasný","jev","unrelated","word","word",0.197384927301451
"zima","dobrý","unrelated","word","word",0.141557736679989
"lhář","překvapení","unrelated","word","word",0.176052484398574
"dolar","sbírat","unrelated","word","word",0.131036759637861
"zapůsobit","netvor","unrelated","word","word",0.104405007977705
"tým","připustit","unrelated","word","word",0.101832403501256
"soda","pohled","unrelated","word","word",0.130518864023874
"králičí","záruka","unrelated","word","word",0.100007423352445
"cestovní pas","nezbytný","unrelated","word","word",NA
"prosinec","vyhledávání","unrelated","word","word",0.126786358576513
"věřící","druhý","unrelated","word","word",0.150937173736218
"rybolov","žíla","unrelated","word","word",0.156872138584391
"vidlička","základna","unrelated","word","word",0.292201513928336
"kartel","stres","unrelated","word","word",0.154621770836743
"elektrický","kilometr","unrelated","word","word",0.206916162627778
"výsost","množství","unrelated","word","word",0.15504467131943
"malý","čip","unrelated","word","word",0.200600348666986
"kreslit","přistát","unrelated","word","word",0.170343484946507
"šéf","klavír","unrelated","word","word",0.0852994270916323
"manželka","ráže","unrelated","word","word",0.156856373965625
"závod","prostě","unrelated","word","word",0.117869901576257
"venuše","trik","unrelated","word","word",0.0961752247436404
"otec","ledvina","unrelated","word","word",0.174360531141109
"nůž","jižní","unrelated","word","word",0.045850085107846
"vlk","plán","unrelated","word","word",0.172512852248981
"jemný","šance","unrelated","word","word",0.069635203290179
"slunce","prsten","unrelated","word","word",0.14428453389367
"týden","mnich","unrelated","word","word",0.135411236421016
"sluneční","všeobecné","unrelated","word","word",0.0832206631194811
"technika","připravený","unrelated","word","word",0.105035973042472
"svět","horní","unrelated","word","word",0.0152324824621342
"máslo","mozek","unrelated","word","word",0.202446825918631
"centimetr","výstražný","unrelated","word","word",0.0821256473238984
"miliarda","moderní","unrelated","word","word",0.146345602648303
"podnikatel","říci","unrelated","word","word",0.0998900002650356
"uvnitř","metoda","unrelated","word","word",0.0677153472800634
"ling","síla","unrelated","word","word",0.040148470176929
"maximum","u","unrelated","word","word",0.13630091691715
"talíř","česnek","unrelated","word","word",0.361110187026856
"umístění","výjimečný","unrelated","word","word",0.0976542948134977
"bojovník","kolonie","unrelated","word","word",0.1073961353096
"dětství","budoucnost","unrelated","word","word",0.221536749892801
"džus","spravovat","unrelated","word","word",0.103845313974753
"kázání","katolík","unrelated","word","word",0.296984559646749
"mluvit","kredit","unrelated","word","word",0.133208644547355
"kněz","paní","unrelated","word","word",0.0711444227794764
"kvalitní","vlak","unrelated","word","word",0.075873709528925
"prototyp","pusa","unrelated","word","word",0.0982340285351981
"tradiční","dospělý","unrelated","word","word",0.181291757818644
"elegantní","příchod","unrelated","word","word",0.140136403886536
"epidemický","víno","unrelated","word","word",0.0614731078082149
"oceán","pitva","unrelated","word","word",0.073308588231105
"námořnický","potrestat","unrelated","word","word",0.0920047196885817
"tunel","úspěch","unrelated","word","word",0.113817909612092
"alibi","vtipný","unrelated","word","word",0.122431336081724
"pták","vyzvědač","unrelated","word","word",0.219464220229548
"intelektuální","střelný prach","unrelated","word","word",NA
"pravděpodobně","přítomnost","unrelated","word","word",0.150963258738836
"mlha","dívka","unrelated","word","word",0.268030000086928
"člověk","královský","unrelated","word","word",0.147588077358198
"ženský","urvat","unrelated","word","word",0.134040719555169
"krysa","blahopřání","unrelated","word","word",0.0466878544662548
"legenda","singl","unrelated","word","word",0.114339697321799
"dát","naivní","unrelated","word","word",0.0906332370023399
"víra","vdova","unrelated","word","word",0.153457946910605
"rakovina","kůže","unrelated","word","word",0.277654267350071
"paranormální","opice","unrelated","word","word",0.161626298656713
"motor","směšný","unrelated","word","word",0.161070315966795
"vášeň","pomoc","unrelated","word","word",0.14853167493506
"záměrně","krém","unrelated","word","word",0.0601135422976662
"náhradní","chutný","unrelated","word","word",0.0886074733194794
"cynický","hazardní hry","unrelated","word","word",NA
"hloupý","pomsta","unrelated","word","word",0.139063526456921
"nečekaně","plošina","unrelated","word","word",0.13570995500909
"hostinský","zloděj","unrelated","word","word",0.318725388254639
"flotila","cement","unrelated","word","word",0.118461088391504
"energie","svázat","unrelated","word","word",0.103475853465367
"pivo","námořní","unrelated","word","word",0.169874238630561
"opačný","cukr","unrelated","word","word",0.0660877374740945
"nástroj","jóga","unrelated","word","word",0.126753784299499
"globální","vnuk","unrelated","word","word",0.00669426324698045
"těhotenství","objekt","unrelated","word","word",0.139644041196169
"honit","bezpečnostní","unrelated","word","word",0.0508461029483455
"stát se","praxe","unrelated","word","word",NA
"sdělení","keř","unrelated","word","word",0.0579954199415398
"navrhnout","romeo","unrelated","word","word",0.0910141504404697
"titul","odmítnout","unrelated","word","word",0.197590424494
"mrtvý","problémy","unrelated","word","word",0.12526792117541
"přístup","utrpení","unrelated","word","word",0.125148675673975
"nebeský","síť","unrelated","word","word",0.108543565158629
"zub","velmi","unrelated","word","word",0.087941946315027
"někde","dosti","unrelated","word","word",0.14256575958149
"často","nehet","unrelated","word","word",0.149087310917984
"klinika","touha","unrelated","word","word",0.267128834859826
"nemocný","báječné","unrelated","word","word",0.0818472862442116
"snadný","kouzlo","unrelated","word","word",0.0431666240357398
"milovat","relativní","unrelated","word","word",0.135375040862452
"podivný","zvýšit","unrelated","word","word",0.087668850739272
"nepříjemný","přinést","unrelated","word","word",0.140195212374982
"nezodpovědný","doslova","unrelated","word","word",0.0815140589549578
"oponent","planeta","unrelated","word","word",0.136206099343126
"sval","naproti","unrelated","word","word",0.0331080956013474
"neschopný","sluch","unrelated","word","word",0.127882005803178
"neštěstí","dvojnásobek","unrelated","word","word",0.107481251572595
"špinavý","umění","unrelated","word","word",0.0974135170160774
"stvoření","pravidlo","unrelated","word","word",0.15667840847907
"vinenský","kontakt","unrelated","word","word",NA
"potřeba","soustředit se","unrelated","word","word",NA
"arogance","mezinárodní","unrelated","word","word",0.154881441319635
"něco","tát","unrelated","word","word",0.181433884079441
